"शीर्षक","विवरण"
"सेनेगलविरुद्ध कोलम्बियाको गोल","मस्को : जारी विश्वकप फुटबलअन्तर्गत पहिलो चरणको अन्तिम खेलको पहिलो म्याचमा कोलम्बियाले सेनेगलविरुद्ध पहिलो गोल गरेको छ । समूह एच अन्तर्गत बिहीबार साँझ जारी खेलको ७४ मिनेटमा कोलम्बियाका लागि यारी मिनाले गोल गरेका हुन् । दुई खेलबाट सेनेगलले चार अंक जोड्दा कोलम्बिया तीन अंकमा सीमित थियो । सेनेगलविरुद्ध कोलम्बियाले एक गोलको अग्रतालाई कायम राखे उ दोस्रो चरणमा प्रवेश गर्नेछ । समान समयमा जारी पोल्यान्ड र जापानविरुद्धको खेलमा पोल्यान्डले एक गोल गरेको छ । पोल्यान्डभने दुई खेलबाट बाहिरिसकेको देश हो । जापानको दुई खेलबाट चार अंक छ ।"
"विश्वकप फुटबल: ८२ वर्षपछि बेल्जियमसँग इङ्ल्यान्ड पराजित","कालिलिनग्राद: विश्व कप फुटबल अन्तर्गत समूह चरणको अन्तिम खेलमा बेल्जियमले इङ्ल्यान्डलार्इ ८२ वर्षपछि पराजित गरेको छ । अदनान जानुजार्इ निर्णायक गोल गरेपछि समूह जी बाट सबै तीन खेल जितेको बेल्जियम ९ अंकसहित शीर्ष स्थानमा रहेर अन्तिम १६ मा प्रवेश गरेको छ । अन्तिम १६ मा बेल्जियमले समूह एच को उपविजेता जापानसँग प्रतिस्पर्धा गर्ने छ । बेल्जियमका अदनान जानुजाइले ५१ औँ मिनेटमा गोल गर्दै जित दिलाएका हुन् । बेल्जियमसँग पराजित भएपछि इङ्ल्यान्ड समूहका २ खेलमा जित र एक हारसहित उपविजेता बनेर अन्तिम १६ मा पुगेको छ । अब उसले क्वार्टर फाइनलका लागि समूह एचको विजेता कोलम्बियासँग प्रतिस्पर्धा गर्ने छ । समूह विजेता च्याम्पियन पछिल्ला पाँच विश्व कप फाइनल खेल्ने १० टिममा केबल फ्रान्स मात्रै समूहको शीर्ष स्थानमा थिएन । सन् २००६ मा फ्रान्स विश्वविजेता बन्न सकेन । सन् १९९८ देखि सन् २०१४ सम्म समूहको शीर्ष स्थानमा रहेका टोलीले विश्वविजेता बनेका छन् । ८२ वर्षपछिको जित इङ्ल्यान्ड र बेल्जियम २१ पटक भिडेका थिए । जसमा केबल एक पटकमात्रै बेल्जियम विजयी भएको थियो । अर्कातिर इङ्ल्यान्डले १५ वटा जित दर्ता गरेको थियो । बेल्जियम ९ मे १९३६ मा भएको खेलमा इङ्ल्यान्डविरूद्ध ३२ ले विजयी भएको थियो । त्यसयछि यही विश्वकपमा मात्रै उसले इङ्ल्यान्डलार्इ हराउन सकेको हो । बेल्जियमले २८ जुनमा यसभन्दा अघि पनि २ पटक खेलिसकेको छ । तर दुवैमा हार मिलेको अवस्थामा यो पटक भने उसले जित निकाल्यो । यसअघि १९८२ जुन २८ मा उसलार्इ पोल्यान्डले ३० र १९८६ जुन २८ मा फ्रान्सले ४२ ले हराएको थियो । इङ्ल्यान्डको ८ गोल इङ्ल्यान्डको टिमले समूह चरणमा अहिलेसम्म ८ गोल गरेको छ । तर बेल्जियमविरूद्ध उसका धारिला स्ट्राइकर फेल भए । यसभन्दा पहिले इङ्ल्यान्डले सन् १९६६ को विश्वपकपमा ८ भन्दा धेरै गोल गरेको थियो । त्यो बेला उसले ११ गोल गरेको थियो । समूह चरणमा ११ गोल गर्दै त्यो बेला इङ्ल्यान्डले विश्वकपको उपाधि पनि उचालेको थियो । ह्यारी केनले समूह चरणमा पाँच गोल गरेका थिए । उनी भन्दा धेरै इङ्ल्यान्डका लागि सन् १९८६ को विश्व कपमा ग्यारी लिनेकरले ६ गोल गरेका थिए । त्यो बेला लिनेकरले गोल्डेन बुट पनि जितेका थिए । लुकाकुको चार गोल बेल्जियमका प्रमुख स्ट्राइकर रोमेलु लुकाकु चोटका कारण इङ्ल्यान्डविरूद्ध मैदानमा उत्रिएनन् । उनले पनि यो विश्वकपमा पनामा र ट्युनिसयाविरूद्ध चार गोल गर्दै गोल्डेन बुटको दाबेदारीमा उभ्याएका छन् ।"
"माइतीघर मण्डलामा प्रदर्शन रोक्न यो उत्तर कोरिया होइन : विश्वप्रकाश","काठमाडौं : कांग्रेस प्रवक्ता विश्वप्रकाश शर्माले सिंहदरबार नजिकै माइतीघर मण्डलामा प्रदर्शनमा प्रतिबन्ध लगाउने गृह मन्त्रालयको निर्णयप्रति आक्रोश व्यक्त गरेका छन् । प्रवक्ता शर्माले सरकारले तोकेको निषेधाज्ञा उचित समयमा तोडिने चेतावनीसमेत दिएका छन् । शर्माले अमेरिका, स्वीट्जरल्यान्ड, जापानको उदाहरण दिँदै सिंहदरबार नजिकै प्रदर्शन रोक लगाउनु उचित नभएको उनको भनाइ छ । उनले प्रदर्शनमा रोक लगाउने सरकारको निर्णयप्रति आक्रोश व्यक्त गर्दै यो उत्तर कोरिया नभएर नेपाल भएको सम्झाएका छन् । सामाजिक सञ्जालमा सक्रिय शर्माले बिहीबार साँझ ट्विट गर्दै सरकारको निर्णयको चर्को विरोध गरेका हुन् । निषेधाज्ञाः उचित समयमा तोडिनेछ, शर्माले ट्विटरमा लेखेका छन्, अमेरिकामा ह्वाइटहाउस सामुन्ने, स्वीट्जरल्यान्ड वा जापानमा सरकारको नाकै अघि विरोध प्रदर्शन गर्न पाइन्छ । तर, सिंहदरबार नजिक माइतीघर मण्डलामा समेत प्रदर्शनमा रोक लगाउने सरकारलाई स्मरण गराउँछु यो उत्तर कोरिया होइन नेपाल हो । सँगै उनले सरकारको यो निर्णयको नियतमै खोट भएकोसमेत बताएका छन् । निर्णयको नियतमा खोट छ, उनले थप लेखेका छन् ।"
"संसदीय समितिको नेतृत्व कांग्रेसलाई दिनु बाध्यकारी छैन","संसदीय समितिको नेतृत्व कांग्रेसलाई दिनु बाध्यकारी छैन"
"सेनेगललाई पछि पार्दै जापान कसरी पुग्यो अन्तिम १६ मा ?","मस्को : रुस विश्वकप अन्तर्गत समूह एच बाट जापान र कोलम्बिया अन्तिम १६ मा प्रवेश गरेका छन् । बिहीबार साँझ भएको खेलमा पोल्यान्डसँग १० ले पराजित भए पनि जापान फेयर प्लेको आधारमा अन्तिम १६ मा प्रवेश गरेको हो । सेनेगलले ६ वटा पहेलो कार्ड खाँदा जापानले चार मात्र कार्ड पाएको आधारमा सेनेगललाई पहिलो चरणबाट बिदा गर्दै जापाना अन्तिम १६ मा पुगेको हो । कोलम्बियाले भने सेनेगललाई १० ले पराजित गर्दै अन्तिम १६ मा स्थान पक्का गरेको हो । जापान र सेनेगलको अंक र गोल भिन्नता बराबरी भए पनि जापानले फेयर प्लेका आधारमा अन्तिम १६ मा स्थान बनाएको हो । समूहगत चरणको तीन खेलमा जापानले चार तथा सेनेगलले ६ पहेलो कार्ड पाएका थिए । दोस्रो चरणमा पुग्न बराबरी गरे मात्र पनि प्रयाप्त रहने भएकाले जापान बराबरी गर्ने मनसायले मैदान उत्रिएको थियो । जापानले रक्षात्मक खेल खेल खेल्दै पहिलो हाफ बराबरीमा सकिएको थियो । यसको विपरीत पोल्यान्ड भने जितकै लागि मैदान उत्रिएको थियो । पोल्यान्डले पहिलो हाफमा बलमा नियन्त्रण राखे पनि गोल भने गर्न सकेन । दोस्रो हाफमा दुवै टोलीले आक्रामक खेल खेले । दुवै पोस्टमा लगातार आक्रमण हुँदा बाजी भने पोल्यान्डले मार्यो । पोल्यान्डले खेलको ५९औं मिनेटमा सुरुवाती अग्रता बनायो । पोल्यान्डले पाएको फ्रिकिकमा राफेल कुर्जावाले उपलब्ध गराएको बललाई भलीमार्फत जान बेड्नारेकले गोल गरेका थिए । समूह एचकै अर्को खेलमा कोलम्बियाले सेनेगललाई १० गोलले पराजित गर्यो । पहिलो हाफ यी टोलीले पनि बराबरी खेलेका थिए । दुवै टोलीले सुरुदेखि नै आक्रमण बुने पनि गोल भने गर्न सकेनन् । खेलको ३१ औं मिनेटमा आफ्ना स्टार खेलाडी जेम्स रोड्रिगेज घाइते भएर मैदान छाडेपछि कोलम्बिया दबाबमा परेको थियो । दोस्रो हाफमा कोलम्बियाले सुरुवाती अग्रता बनायो । खेलको ७४औं मिनेटमा ऐरी मीनाले गोल गर्दै टोलीलाई सुरुवाती अग्रता दिलाएका थिए । एक गोलले पछि परेपछि सेनेगलले गोलका लागि लगातार विपक्षी पोस्ट्मा आक्रमण बुने पनि गोल भने गर्न सकेन । पुरानै खेलाडीको भरमा रुस यात्रा गरेको जापानले पहिलोपटक सन् १९९८ को विश्वकप खेलेको थियो । त्यसयता जापानले नियमित विश्वकप खेल्दै आएको छ । विश्वकप फुटबलमा जापान पहिलो चरण पार गर्दै प्रिक्वार्टरफाइनल चरणमा पुगेको यो तेस्रो पटक हो । जापान सन् २००२ मा आफ्नै देशले आयोजना गरेको र सन् २०१० मा दक्षिण अफ्रिकाले आयोजना गरेको विश्वकपमा प्रिक्वार्टरफाइनलसम्म पुगेको थियो ।"
"इरानबाट तेल आयात कम गर्दै भारत","नयाँदिल्ली : भारतीय तेल मन्त्रालयले इरानबाट आयात गरिने पेट्रोलियम पदार्थ आयात कम गर्ने भएको छ । आगामी नोभेम्बर महिनादेखि इरानी पेट्रोलियम पदार्थको आयात घटाउन पेट्रोलियम प्रशोधन कम्पनीहरूलाई निर्देशन दिएको छ । यसलाई अमेरिकाद्वारा इरानमाथि लगाइएको प्रतिबन्धको असर भएको अनुमान गरिएको छ । भारत सरकारले भने अमेरिकाद्वारा लगाइएको नाकाबन्दी आफूले पालन नगर्ने स्पष्ट पारेको छ । संयुक्त राष्ट्रसंघको नाकाबन्दी मात्र पालना गरिने उसको भनाइ छ । अमेरिकाले इरानबाट तेल आयात नगर्न सबैलाई आह्वान गर्दै आएको छ । इरानबाट सबैभन्दा बढी पेट्रोलियम पदार्थ आयात गर्ने मुलुक चीन हो र दोस्रोमा भारत पर्छ । भारतीय तेल मन्त्रालयले बिहीबार तेल प्रशोधक कम्पनीहरूसँग छलफल पनि गरेको थियो । छलफलका क्रममा इरानबाट आयात गरिने तेलको विकल्प खोज्न पनि सरकारले आदेश दिएको छ । यो आदेशबाट तेल प्रशोधक कम्पनीले कम्पनी बन्द गर्नुको विकल्प नभएको बताएका छन् । यसअघि भारतले इरानबाट कहिले पनि तेल आयात बन्द गरेको थिएन । अमेरिकी विदेश मन्त्रालयले इरानबाट तेल आयात गर्ने मुलुकको उत्पादन नकिन्ने चेतावनी दिएको छ । यसैगरी संयुक्त राष्ट्रसंघका लागि अमेरिकी स्थायी प्रतिनिधि निक्की हेलीले भारतीय प्रधानमन्त्री नरेन्द्र मोदीलाई इरानमाथिको तेलको निर्भरता कम गर्न आग्रह गरेकी छन् । हेली हाल भारत भ्रमणमा छन् । मोदीसँग आग्रह गर्नुपूर्व उनले अमेरिकी विदेशमन्त्री माइक पोम्पियोसँग कुराकानी गरेकी थिइन् ।"
"पराजित भएर पनि जापान अन्तिम १६ मा : कोलम्बिया समूह विजेता","मस्को : रुस विश्वकप अन्तर्गत समूह एच बाट कोरिया र कोलम्बिया अन्तिम १६ मा प्रवेश गरेका छन् । बिहीबार साँझ भएको खेलमा पोल्यान्डसँग १० ले पराजित भए पनि जापान फेयर प्लेको आधारमा अन्तिम १६ मा प्रवेश गरेको हो । कोलम्बियाले भने सेनेगललाई १० ले पराजित गर्दै अन्तिम १६ मा स्थान पक्का गरेको हो । जापान र सेनेगलको अंक र गोल भिन्नता बराबरी भए पनि जापानले फेयर प्लेका आधारमा अन्तिम १६ मा स्थान बनाएको हो । समूहगत चरणको तीन खेलमा जापानले चार तथा सेनेगलले ६ पहेलो कार्ड पाएका थिए । दोस्रो चरणमा पुग्न बराबरी गरे मात्र पनि प्रयाप्त रहने भएकाले जापान बराबरी गर्ने मनसायले मैदान उत्रिएको थियो । जापानले रक्षात्मक खेल खेल खेल्दै पहिलो हाफ बराबरीमा सकिएको थियो । यसको विपरीत पोल्यान्ड भने जितकै लागि मैदान उत्रिएको थियो । पोल्यान्डले पहिलो हाफमा बलमा नियन्त्रण राखे पनि गोल भने गर्न सकेन । दोस्रो हाफमा दुवै टोलीले आक्रामक खेल खेले । दुवै पोस्टमा लगातार आक्रमण हुँदा बाजी भने पोल्यान्डले मार्यो । पोल्यान्डले खेलको ५९औं मिनेटमा सुरुवाती अग्रता बनायो । पोल्यान्डले पाएको फ्रिकिकमा राफेल कुर्जावाले उपलब्ध गराएको बललाई भलीमार्फत जान बेड्नारेकले गोल गरेका थिए । समूह एचकै अर्को खेलमा कोलम्बियाले सेनेगललाई १० गोलले पराजित गर्यो । पहिलो हाफ यी टोलीले पनि बराबरी खेलेका थिए । दुवै टोलीले सुरुदेखि नै आक्रमण बुने पनि गोल भने गर्न सकेनन् । खेलको ३१ औं मिनेटमा आफ्ना स्टार खेलाडी जेम्स रोड्रिगेज घाइते भएर मैदान छाडेपछि कोलम्बिया दबाबमा परेको थियो । दोस्रो हाफमा कोलम्बियाले सुरुवाती अग्रता बनायो । खेलको ७४औं मिनेटमा ऐरी मीनाले गोल गर्दै टोलीलाई सुरुवाती अग्रता दिलाएका थिए । एक गोलले पछि परेपछि सेनेगलले गोलका लागि लगातार विपक्षी पोस्ट्मा आक्रमण बुने पनि गोल भने गर्न सकेन । पुरानै खेलाडीको भरमा रुस यात्रा गरेको जापानले पहिलोपटक सन् १९९८ को विश्वकप खेलेको थियो । त्यसयता जापानले नियमित विश्वकप खेल्दै आएको छ । विश्वकप फुटबलमा जापान पहिलो चरण पार गर्दै प्रिक्वार्टरफाइनल चरणमा पुगेको यो तेस्रो पटक हो । जापान सन् २००२ मा आफ्नै देशले आयोजना गरेको र सन् २०१० मा दक्षिण अफ्रिकाले आयोजना गरेको विश्वकपमा प्रिक्वार्टरफाइनलसम्म पुगेको थियो ।"
"जापानविरुद्ध पोल्यान्डको पहिलो गोल","मस्को : जारी विश्वकप फुटबलअन्तर्गत पहिलो चरणको अन्तिम खेलको पहिलो म्याचमा पोल्याान्डले जापानविरुद्ध पहिलो गोल गरेको छ । समूह एच अन्तर्गत एसियाली राष्ट्र जापानमाथि पोल्यान्डले खेलको ६० मिनेटमा गोल गरेको हो । पोल्यान्ड पहिलो चरणबाट बाहिरिसकेको टिम हो । जापानको भने चार अंक थियो । दोस्रो चरणका लागि जापानमाथि जित्नैपर्ने दबाब छ । अहिले जारी कोलम्बिया र सेनेगलको खेल बराबरीमा चलिरहेको छ ।"
"""निर्माणाधीन घरमा खस्यो जहाज","पाइलटसहित कम्तिमा पाँचको मृत्यु"",""मुम्बई: यहाँको घाटकोपर इलाकामा बिहीबार एक चार्टर्ड प्लेन निर्माणाधीन घरमाथि खसेको छ । यो दुर्घटनामा कम्तिमा पनि पाँचजनाले ज्यान गुमाएका छन् । ज्यान गुमाउनेमा पाइलट मारिया कुबेर, कोपाइलट प्रदीप राजपुत, एयरक्राफ्ट मेन्टेनेन्स इन्जिनियर मनीष पाण्डे र सुरभि रहेका छन् । त्यसक्रममा अर्का एजनाको पनि ज्यान गएको छ । जहाज दिउँसो करिब सवा १ बजे घाटकोपरको सर्वोदय नगरस्थित बाक्लो बस्तीको एउटा घरमा खसेको हो । यो घटनापछि जहाज दुर्घटनाबारेको अनुसन्धान ब्यूरो (एएआईबी) ले छानबिन थाल्ने भएको छ । बस्तीमाथिबाट उडिरहेको जहाज दुर्घटनापछि एक व्यक्तिलाई आगोको लप्काले घेरेको देखिएको एक प्रत्यक्षदर्शीले बताएका छन् । प्रत्यक्षदर्शीका अनुसार बस्तीमा खस्न नदिन पाइलटले जहाजलाई निर्माणाधीन भवनतर्फ सोझ्याएका थिए । घटनास्थल नजिक रहेका माणिकलालका अनुसार जहाज रुखमा ठोक्किएपछि निर्माणाधीन भवनमा खसेको भारतीय सञ्चारमाध्यमले जनाएका छन् । यो भवनमा धेरै मजदुरले काम गर्दै आएका छन् । दुर्घटना खाना खाने समयमा भएकाले धेरै मानिसले ज्यान जोगाएका छन् । समाचार अनुसार यो जहाज उत्तर प्रदेश सरकारको बताइएको थियो । तर उत्तर प्रदेशका मुख्यमन्त्री योगी आदित्यनाथका प्रमुख सचिव एसपी गोयलले मुम्बईमा दुर्घटनामा परेको जहाज सन् २०१४ मै बेचिएको बताएका छन् । मुख्य सचिव सूचना अधिकारी अवस्थीका अनुसार उत्तर प्रदेश सरकारबाट यूभी एभिएशनलले यो जहाज किनेको थियो । यस कम्पनीका म्यानेजिङ डाइरेक्टर दीपक कोठारी छन् । एयरोमार्केट वेबसाइटका अनुसार बिचक्राफ्ट किङ एयर सी ९ नामको यस जहाजको मूल्य ८ लाख २५ हजार डलर रहेको छ ।"""
"पाँच बर्षमा रेल आउने पक्का !","पाँच बर्षमा रेल आउने पक्का !"
