"शीर्षक","विवरण"
"क्यान्सरपीडित सिलवाललाई स्पेनबाट सहयोग","बेसीशहरः ब्लड क्यान्सरबाट पीडित उदीपुरका गौरव सिलवालको उपचारका लागि स्पेनमा रहेका प्रवासीहरुले सहयोग गरेका छन् । स्पेनमा रहेको नेपाली समाज पाइस भास्कोमा आवद्ध नेपालीले सिलवालको उपचारका लागि ५८ हजार २ सय ८३ रुपैयाँ पठाएका हुन् । बेसीशहर नगरपालिका१ उदिपुरका १७ वर्षीय सिलवालको हाल काठमाण्डौस्थित सिभिल अस्पतालमा उपचार भइरहेको छ । छोराको उपचारका लागि जुटाएको रकम सकिएपछि बेखर्ची अभिभावकले मिडियामार्फत् आर्थिक सहयोगको अपिल गरेपछि प्रवासीहरुले रकम उठाएर पठाएका हुन् । उक्त रकम अन्नपूर्णकर्मी नवीनराज कुइँकेलमार्फत् विरामीका बुबा मिलनबाबु सिलवालाई हस्तान्तरण गरिएको छ । स्पेन भास्कोमा बस्ने ३१ जनाले सहयोग रकम संकलन गरेका थिए । त्यहाँ रहेका चोगबा शेर्पा, रमेश पण्डित, कृष्ण सिग्देल, इन्द्रबहादुर गुरुङ, हिमालय रेष्टुरेष्ट, रघुनाथ विष्ट, तारादेवी पोख्रेल, प्रकाशबाबु त्रिपाठीले सहयोग गरेका हुन् । सहयोग गर्नेमा साहिला अलिमान्ता सियोन, गंगाराम सापकोटा, दयाराम भट्टराई, दीपेन्द्रप्रसाद आचार्य, ईश्वर बस्ताकोटी, सविन बस्नेत, रमिला चौलागाई र सुरेन्द्र पौडेल छन् । यस्तै श्वैजन अधिकारी, निर्मला पौडेल, अर्विन्दकुमार यादव, गगन भण्डारी, विश्सु खड्का, तिलक गुरुङ, तिलक खड्का, रमेश तामाङ, हरि गुरुङ, स्वागत सेढाई, दामोदर निरौला, महनारायण चौधरी, पूर्णप्रसाद राई, कृष्ण परियार र ऋषि आचार्यले सहयोग रकम जुटाएका थिए । सिलवालको उपचारमा समस्या भएकोबारे अन्नपूर्ण पोष्ट न्युज पोर्टल र अन्नपूर्णपोष्ट दैनिक पत्रिकामा समाचार आएपछि अन्नपूर्ण मिडिया नेट्वर्कका अध्यक्ष रामेश्वर थापाले एक लाख दश हजार रुपैयाँ नगद सहयोग गरेका थिए । गौरव सिग्मा कलेजमा १२ कक्षामा अध्ययनरत छन् । छोराको उपचारका लागि सुरुमा खर्च धान्न सकिएला भन्ने सोंच राखे पनि खर्च धान्न नसकेपछि सहयोगको अपिल गरिएको आमा सुशीलाले बताइन । निजामती कर्मचारी अस्पतालमा उपचाररत गौरवलाई तीन साइकल केमोथेरापी दिइसकिएको छ । ६ महिनासम्म अस्पतालमा राखेर उपचार गर्नुपर्ने भएपछि सिलवाल परिवारलाई खर्च धान्न धौधौ छ । हालसम्म करिब १२ लाख खर्च भएको परिवारले जनाएको छ ।"
"मदिरा र विलासिताका वस्तुमा समाजवाद नखोज्नुस्","काठमाडौँ: अर्थमन्त्री डा युवराज खतिवडाले मदिरा र विलासिताका बस्तुमा समाजावाद नखोज्न सुझाव दिएका छन् । 'कस्ता खाले करका सिद्धान्त अपनाएका छौँ भन्ने ढंगबाट कर नीति अपनाइएको छ', आर्थिक विधेयकमाथि संशोधन दर्ता गराएका सांसदहरुको प्रश्नको जवाफ दिँदै उनले सोमबार संसदमा भने, 'मदिरा र विलासिताको वस्तुमा समाजवाद नखोज्नुस ।' आर्थिक विधेयकमाथि संशोधन दर्ता गराएका सांसदहरुले उठाएको प्रश्नको जवाफ दिने क्रमा उनले आन्तरिक उत्पादन र उद्योग संरक्षणमा ध्यान दिएको बताए । 'विलासी, स्वास्थ्यमा असर पार्ने वस्तुमा कर बढाएका छौँ, आन्तरिक उत्पादन र उद्योगलाई संरक्षणमा ध्यान दिइएको छ', उनले भने, 'तीन पुस्तासम्मको सम्पत्ति हस्तान्तरमा कुनै कर लाग्दैन, कृषियोग्य जमीनमा व्यापक रुपमा हुँदै आएको प्लटिङलाई रोक्न पाँच प्रतिशत कर लगाइएको हो । हामीले प्रगतिशील कर प्रणालीको ढाँचा अपनाएका छौँ ।' शिक्षा र स्वास्थ्यमा नागरिकले तिर्ने करलाई व्यवस्थित गर्न तथा दूरसञ्चार कम्पनीले पाउनुपर्ने सेवा र करको दायरा खुम्चने भएकाले ११ प्रतिशत लगाइँदै आएको करमा २ प्रतिशत बढाएर १३ प्रतिशत पुर्याइएको बताउँदै डा खतिवडाले किसानलाई व्यवसायमै अनुदान दिने भएको हुँदा मूल्य अभिवृद्धि कर फिर्ता लिने कुरा जायज नभएको टिप्पणी गरे । 'कर प्रणालीलाई पारदर्शी, करदातामैत्री विलासिताकामा बढी आवश्यकता र उत्पादनका क्षेत्रमा कम कर लगाइने नीति अपनाएका छौँ', उनले भने, 'हामीले आवश्यकता पूरा भएपछि मात्र निकासी गर्ने कि नगर्ने भन्ने नीतिका आधारमा रोडाढुंगा निकासीसम्बन्धीको विषयलाई टुङ्ग्याउनुपर्छ ।' विश्व व्यापार संगठन र साप्टाका कारण कतिपय वस्तुमा चाहेर पनि कर बढाउन नसकिने बताउँदै अर्थमन्त्रीले आयकरका दर दक्षिण एशियाली मुलुकका हाराहारीमै रहेको दाबी गरे ।"
"""प्रदेश राजधानी पोखरा","सांसदहरु भन्छन्ः काठमाडौँ जस्तो नबिग्रोस"",""पोखराः प्रदेश ४ को स्थायी राजधानी पोखरा पक्का भएको छ । प्रदेश सभाको सोमबारको बैठकमा सहभागी ५२ जना सबै सांसदको एकमतले राजधानी पोखरा बनाउने प्रस्ताव पारित गरेको हो । नेकपाका सांसद कृष्णबहादुर थापाले पोखरालाई प्रदेशको राजधानी तोकियोस् भनेर राखेको प्रस्तावलाई प्रतिपक्ष कांग्रेसका प्रमुख सचेतक मणिभद्र शर्माले समर्थन गरेका थिए । सभामुखको जिम्मेवारी सम्हालेकी उपसभामुख सिर्जना शर्माले मत विभाजनका आधारण उक्त प्रस्तावलाई निणयार्थ प्रस्तुत गरेकी थिइन् । ५९ सांसद रहेको सभामा उपस्थित ५२ जना सबै सांसदले पोखरालाई राजधानी तोकियोस् भन्ने प्रस्तावको पक्षमा हस्ताक्षर गरी मत जाहेर गरे । विपक्षमा शून्य मत परेपछि सभामुख शर्माले प्रदेश सभाको दुईतिहाई मतबाट उक्त प्रस्ताव पारित भएको घोषणा गरिन् । सभामुख नेत्रनाथ अधिकारी बिरामी परेर लामो समयदेखि उपस्थित हुन नसकेको हुँदा उपसभामुख शर्माले उनको जिम्मेवारी सम्हालेकी छन् । २ मत त्यस कारण घटेको थियो भने ६ जना सांसद सोमबार अनुपस्थित भएका हुन् । मतदान प्रक्रिया सुरु भएर सभाका ढोका बन्द भइसकेपछि पुग्नाले अर्थमन्त्री किरण गुरुङले मत राख्न पाएनन् । नेकपाका सांसदहरु विनोद केसी, जनकलाल श्रेष्ठ, जूनादेवी नेपाली र कांग्रेस सांसद मेखलाल श्रेष्ठ सोमबार अनुपस्थित थिए । प्रदेश राजधानी तोक्ने विषयको छलफलमा आइत र सोमबार गरी ४० सांसदले भाग लिए । सबै सांसदले राजधानी पोखरा नै हुनुपर्ने विचार व्यक्त गरे । कांग्रेस सांसद कुमार खड्काले राजधानी बनाइसकेपछि यातायात व्यवस्थित हुनुपर्ने धारणा राखे । उनले पोखराको भौगर्भिक अवस्थाका कारण भूमिगत रेल चलाउन नसकिने हुँदा स्थल यातायातको विकल्प नभएको बताए । सत्तारुढ नेकपाका सांसद धनञ्जय दवाडीले पोखरा राजधानीको स्वाभाविक हकदार भएको बताए । पोखराले आज पनि कलासाहित्यका माध्यमबाट अगुवाइ गरिरहेकै छ, अब पोखराले सिंगो देशको राजनीतिक नेतृत्व गर्नुपर्छ, उनले आइतबार भनेका थिए, तर हिजो पोखरामा चिलगाडी चढेर ठेला आएको थियो, अब विचार पनि चिलगाडी चढेर ठेला लिएर नआओस्, विचारको पनि उडानै हुन सकोस् । मधेस, खसान र भोटसँग नेपालले सम्पर्क सम्बन्ध स्थापित गर्ने सेतु पनि हिजोका दिनमा पोखरै रहेको र गोरखा राज्यले कास्कीलाई आँखा लगाउन नसकेको स्मरण पनि सांसद दवाडीले गरे । नेकपा सांसद राजीव पहारीले पोखरा राजधानी बनिसकेपछि छाडा चौपायको लावालस्कर देखिन नहुने विचार व्यक्त गरे । उनले भने, राजधानीबासीले स्वच्छ पिउने पानी खान पाउनुपर्यो । प्रदेश राजधानी र नामांकन सम्बन्धमा बनेको समितिले बुझाएको प्रतिवेदन टेबुल भएपछि आइतबारबाट त्यसमाथि सभामा छलफल सुरु भएको हो । प्रदेश सभाको सोमबारको बैठकमा नेकपाका सांसद विकास लम्सालले पोखरालाई राजधानी बनाइरहँदा यसको भूबनोटबारे ख्याल गरिनुपर्ने बताए । धेरै जनघनत्व भयो भने व्यवस्थापन कठिन हुनसक्छ, उनले भने, अहिले पनि विज्ञले साढे २ तलेभन्दा अग्ला घर बनाउन नहुने सुझाव दिँदा पनि १०१२ तले घर बनिरहेका छन् । प्रदेश सभामा कायम सदस्यको दुईतिहाइ मतले राजधानी तोक्नसक्ने व्यवस्था संविधानले गरेको छ । त्यसैअनुसार प्रदेश ४ को राजधानी प्रदेश सभाले तोकेको हो । यसअघि प्रदेश सभाले राजधानी र नामांकन विषयमा सुझाव दिन गएको चैत १२ गते समिति गठन गरेको थियो । समितिको प्रतिवेदन २१ जेठमा सभामा बुझाइ १० असारमा टेबुल भएको थियो । २ दिनको छलफलबाट राजधानी तोकिएपछि अब भने नामांकनको काम बाँकी भएको छ । समितिले प्रदेश राजधानी पोखरा तोक्न र नाम क्रमशः गण्डकी, तमुवानमगराँत, गोरखा र धौलागिरि राख्न प्राथमिकतासहित सिफारिस गरेको थियो ।"""
"ललितपुर महानगरको जलमार्ग (फोटो फिचर)","काठमाडौँः राजधानी उपत्यका अर्थात् हरेक हिसाबले देशकै केन्द्रीय भूभाग । कयौँ सुविधायुक्त राजधानी उपत्यकालाई सानातिना बिपदले पनि नछुनुपर्ने हो । तर, एकैदिन पानी पर्यो भने राजधानी सहर जलमग्न भएर यहाँका सडक जलमार्गमा परिणत हुन्छन् । सोमबार पाटन सहरको महापाल क्षेत्र डुंगा चलाउन लायक भएको थियो । सडकभरी पानी भरिएपछि दुई पांग्रे सवारीसाधन गुडाउन सर्वसाधरणलाई धौधौ परेको थियो । ढलनिकासको उचित प्रबन्ध नहुँदा तथा अन्य भौतिक पूर्वाधार निर्माणमा पनि लापरबाही गरिँदा राजधानी उपत्यकाका अधिकांश सडक केही बेरको बर्षातले जलमग्न हुने गरेका छन् ।"
"टिपरको ठक्करबाट दुईको मृत्यु","दमक : झापाको गौरादहमा टिपरको ठक्करबाट दुईजनाको मृत्यु भएको छ । टिपरको ठक्करबाट मोटरसाइकलमा सवार दुईजनाको घटनास्थलमै मृत्यु भएको हो । पाडाजुङ्गीगौरीगञ्ज सडकखण्डमा सोमबार दिउँसो साढे तीन बजे पाडाजुङ्गीतर्फ आउँदै गरेको मे ४ प १४७४ नम्बरको मोटरसाइकललाई ना ३ ख ८४७४ नम्बरको टिपरले ठक्कर दिँदा दुवैजनाको घटनास्थलमै मृत्यु भएको प्रहरीले जनाएको छ । मृतकको नाम खुल्न सकेको छैन । चालकसहित टिपरलाई प्रहरीले नियन्त्रणमा लिएको छ । टिप्परको ठक्करबाट स्कुटरमा सवार दुई महिला गम्भीर घाइते टिप्परले ठक्कर दिँदा महिलाको मृत्यु, आक्रोशित सर्वसाधारणद्वारा आगजनी टिप्परले फेरि लियो ज्यान, अर्का एकजना घाइते"
"""यस्तो संयोग: ब्राजिल सात पटक पास","मेक्सिको सातै पटक फेल"",रूस: विश्वकप फुटबल प्रतियोगिता अन्तर्गत सोमबार भएको ब्राजिल र मेक्सिकोको प्रिक्वार्टर फाइनलको खेलमा एउटा रोचक संयोग बनेको छ । खेलको दोस्रो हाफमा नेमार र रोबर्टो फर्मिन्होको गोलमा ब्राजिल विजयी बन्दा अनौठो रेकर्ड बनेको हो । ब्राजिलले मेक्सिकोविरुद्धको यो जितसँगै विश्वकपमा लगातार सातौँ पटक क्वार्टरफाइलनको यात्रा तय गरेको छ । अर्कातिर समूह चरणमा साविक विजेता जर्मनीलाई पराजित गर्दै अघि बढेको मेक्सिको भने लगातार सातौँ पटक विश्वकपको क्वार्टर फाइनलमा पुग्न असफल बनेको छ ।"
"जहाज नउडेपछि राजेश हमाल एकसातादेखि डोल्पामै","डोल्पा : यहाँ भारी वर्षाका कारण तीन दिनदेखि हवाई सेवा अवरुद्ध भएको छ । हवाई सेवा अवरुद्ध भएपछि विमानस्थलमा यात्रुहरु अलपत्र परेका छन् । वर्षाका कारण तीन दिनदेखि डोल्पाको जुफाल विमानस्थलमा कुनै पनि जहाजले उडान भर्न नसकेपछि यात्रु मर्कामा परेका हुन् । नेपालगञ्ज र सुर्खेतबाट उडान हुने डोल्पाको जुफाल विमानस्थलमा लगातार तीन दिनदेखि हवाई उडान नहुँदा नेपालगञ्ज, सुर्खेतबाट डोल्पा र डोल्पाबाट तराईका विभिन्न जिल्लामा जाने यात्रुहरु विमानस्थलमा अलपत्र परेका छन् । सांस्कृतिक महोत्सवमा डोल्पा पुगेका महानायक राजेश हमाललगायतका एक दर्जन कलाकारको टोली एक सातादेखि जुफाल बिमानस्थलमा नै अड्किएको छ ।जहाजको पर्खाइमा रहेका छौं, वर्षाले उडान भएको छैन, मौसममा सुधार आउने अवस्था पनि छैन, हिँडेर जान सकिदैन, गायिका कृति पाण्डेले दुखेसो पोखिन ।' गएको शुक्रबार समिट यएरले एकैपटक जुफाल बिमानस्थलमा अवतरण गरेपश्चात् कुनै पनि अन्य जहाजले उडान भर्न नसकेको समिट एयरका स्टेसन इन्चार्ज पूर्णजंग शाहीले जानकारी दिए । उनका अनुसार मौसममा परिर्वतन आएपछि जुफाल बिमानस्थलमा कुनै पनि नीजि तथा सरकारी जहाजले उडान भर्न नसकेको बताए । मौसममा समस्या आएका कारण कुनै पनि उडान गर्न कठिन भएको जुफाल बिमानस्थल कार्यालय डोल्पाले जानकारी दिएको छ । अग्ला पहाड र हिमाली जिल्ला भएको कारण बिहान बाहेक अन्य समयमा उडान भर्न हावाको उच्च चापले नसकिने नेपालगञ्ज बिमानस्थलाको कार्यालय बताएको छ । हवाई उडानको क्षेत्रमा सबै प्राविधिक कुराहरु पूरा नभए जबरजस्ती उडान गर्न नसकिने जहाज कम्पनीहरु बताउँछन् । सडकले नजोडिएको जिल्ला डोल्पामा एक मात्र भरपर्दो यातायातको माध्याम हवाई सेवा नै हो । वर्षाको समयमा जाजरकोट डोल्पाको सड्क पनि जोखिम रहेकाले पैदल यात्रा गर्न जोखिम भएको यात्रु बताउँछन् । 'दैनिक यात्रुको चाप बढ्दो छ तर वर्षाको कारण उडान हुँदैन, हामीले यात्रुको मर्का बुझेर हुँदैन' सिता यएरका स्टेसन ईन्र्चाज मुकुन्द पौडेलले बताए । उनले भने, 'धेरै दिनदेखि उडान नभए पछि यात्रुको चाप बढेको हो, मौसम सफा रहे सबै जहाजले उडान भर्ने र यात्रु सबै गन्तव्य जाने उनले दावी गरे । मौसममा आएको परिर्वतन र ठूलो वर्षाका कारण कर्णाली प्रदेशको राजधानी सुर्खेतबाट हुने भनिएको नियमित उडान समेत प्रभावित भएको छ । यही १५ गते मुख्यमन्त्री र पर्यटन मन्त्रीले संयुक्त रुपमा सिता एयरको जहाज उडानका लागि औपचारिकता दिने भनिए पनि मौसमकै कारण उद्घघाटन हुन सकेन । सुर्खेतबाट डोल्पाका लागि सिधा हवाई उडान भर्ने जिम्मा सिता एयरले लिएको छ । नियमित उडानका लागि सम्झौता गरिए पनि सम्झौता भएकै दिनबाट डोल्पामा उडान भर्न सकेको छैन । सम्झौताअनुसार नियमित उडान भर्ने भनिए पनि वर्षा र मौसम खराबीले उडान भर्न नसकेको सिता एयरले जानकारी दिएको छ । जतिवटा निजी तथा सरकारी बिमान कम्पनीले जहाज थप गरे पनि डोल्पामा भने यात्रुले सास्ती खेप्नबाट छुट्कारा नपाएको नागारिकको गुनासो छ । टिकटका लागि माथिल्लो अोहदासम्म पावर लगाउनुपर्ने सिन्डीकेट कायमै रहेको स्थानीय बताउँछन् । हाल डोल्पामा तारा, गोमा, मकालु र नेपाल एयरलाइन्सले उडान भर्ने गरेका छन् ।वर्षायाम सुरु भए सँगै डोल्पामा हवाई उडान प्रभावित हुँदै आएको छ । जुम्ला एयरपोर्टमा ताराको जहाज दुर्घटना, यात्रु सुरक्षित जुम्ला एयरपोर्टमा यसरी दुर्घटनामा पर्यो ताराको जहाज (भिडियो)"
"नाटकीय खेलमा जापानलाई ३२ ले हराउँदै बेल्जियम क्वार्टरफाइनलमा","काठमाडौं : बेल्जियम विश्वकप फुटबलको क्वार्टरफाइनल प्रवेश गरेको छ । रसियामा सोमबार भएको खेलको अतिरिक्त समयको अन्तिम मिनेटमा गरेको तेस्रो गोलले बेल्जियम क्वार्टरफाइनल प्रवेश गरेको हो । बेल्जियमले सेमिफाइनल प्रवेशका लागि ब्राजिलसँग भिड्नेछ । दोस्रो हाफ सुरु भएलगत्तै जापानले पाँच मिनेटको अन्तरमा दुई गोल गर्दै अग्रता लिएको थियो । ४८ मिनेटमा जेन्की हारागुची र ५२ मिनेटमा ताकासी इनुईले गोल गरी जापानलाई अग्रता दिलाएका थिए । तर ६९ मिनेटमा जन भेर्टोनघेनले बेल्जियमलाई गोलरहित स्थितिबाट जोगाएका थिए । त्यसको ५ मिनेटमै मारौने फेलानीले गोल गरी २२ को बराबरट्ठमा खेललाई लगेका थिए । ४ मिनेटको अतिरिक्त समयमा जापानले पाएको दुई कर्नर खेल गए लगत्तै बल पाएको बेल्जियमले मौकाको भरपुर सदुपयोग गर्यो । अतिरिक्त समयको अन्तिम मिनेटमा नासिर चाद्लीले गरेको गोल नै निर्णायक बन्यो । फेयर प्लेबाट सुपर सिक्टिनमा परेको जापान यो हारसँगै विश्वकपबाट बाहिरिएको छ ।"
"महोत्तरीमा सर्पको टोकाइबाट एकैदिन चारजनाको मृत्यु","बर्दिबासः बिषालु सर्पको टोकाइबाट महोत्तरीमा एकै दिन चारजनाको मृत्यु भएको छ । सर्पदशंबाट बर्दिवास नगरपालिका५ का २७ वर्षीय बलबहादुर तामाङ र वडा नम्बर ६ का ७३ वर्षीय तिलकमाया राउतको प्रहरीले जनाएको छ । त्यस्तै गौशला नगरपालिका१२ बस्ने ३६ वर्षीय सुशीलकुमार सिंह र ११ वर्षीय मनिष राउतको सर्पको टोकाइबाट मृत्यु भएको छ । सर्पले टोकेको सिंह र राउतको उपचारका लागि ल्याउँदै गर्दा बाटोमा मृत्यु भएको बर्दिवास३ गौरीडाँडास्थित सर्पदंश उपचार केन्द्रले जनाएको छ । एक बालक, २ युवा र एक वृद्धको सोमबारै चारजनाको सर्प टोकाइका मृत्यु भएको छ । बर्दिवास नगरपालिकामा २ जनाको र गौशाला नगरपालिकामा २ जनाको मृत्यु भएको हो । मृत्कमा कोब्रा र करेत सर्पको टोकाईको लक्षण देखा परेको सर्पदंश उपचार केन्द्रले जनाएको छ । उनीहरु सबैलाई आइतबार राति सुतेकै ठाउँमा सर्पले टोकेको थियो । चारजनाको उपचारकै क्रममा बाटोमा ल्याउँदै गर्दा ज्यान गएको थियो । सर्पको टोकाइबाट एक सातअघि बर्दिवास१ की एक वर्षीया बालिकाको मृत्यु भएको थियो । वर्षातसँगै महोत्तरी जिल्लामा सर्पदंशको घटना बढेको छ । बास बस्ने दुलामा पानी पसेपछि सर्पहरु घरआँगन र ओछ्यानसम्म बासको खोजीमा पुग्दा सर्पदंशको घटना बढेको हो । आव २०७४०७५ मा मात्रै २ सय ६३ जना सर्पदंशका बिरामीको उपचार गरिएकोमा असार महिनामा मात्र उपचार केन्द्रले ३१ जनाको सर्पदंशका बिरामीको उपचार गरेको जनाएको छ ।"
"पहिलो हाफमा ब्राजिलमेक्सिको गोलरहित बराबर","काठमाडौँः यो पटकको विश्वकपको दाबेदारका रुपमा हेरिएको ब्राजिलले मेक्सिकोसँग पहिलो हाफ बराबरी खेलेको छ । बलियो भनिएको ब्राजिललाई मेक्सिकोले सुरुमा दबाबमा राख्यो । उसले केही राम्रा मुभ निकालेर ब्राजिलविरुद्ध आफू कम्जोर नभएको संकेत दियो । अर्कातिर ब्राजिलले पनि मेक्सिकोको डी बक्समा केही राम्रा मुभ निकाले पनि स्कोर गर्न सकेन । एकै महादेशका यी बलिया टोलीबीचको भिडन्तमा पहिलो हाफमा बल पोजेसन भने मेक्सिकोले आफ्नो पक्षमा राख्यो । मेक्सिकोका लोझानोले ब्राजिलविरुद्ध केही राम्रा प्रयास गरे । तर, ब्राजिलले मेक्सिकोको डी बस्कमा केही राम्रा दबाब दिन सक्यो । मेक्सिकोले ५१ प्रतिशत बल पोजेसन बनायो भने ब्राजिल केही दबाबमा पर्दै ४९ प्रतिशत पोजेसन बनाउन सक्यो । ब्राजिलले ११ पटक गोलका लागि प्रयास गर्दा मेक्सिकोले ४ पटक गोलको प्रयास गर्यो । दुवै टिमले ३३ पटक कर्णर किकको अवसर पाए । ब्राजिलले ९ पटक फ्री किक हान्दा मेक्सिकोले चार पटक हानेको छ ।"
