"शीर्षक","विवरण"
"मनाङको फु खोलामा दुईजना बेपत्ता","मनाङ : रोल्पा घर भएका शीतल पुनमगर र रमेश बुढामगर भोर्दिन खोलानजिकै फु खोला तर्ने क्रममा खोलाले बगाएर बेपत्ता भएका छन् । नार्पाभूमि गाउँपालिका४ को वडा भवनमा ज्यामी काम गर्दै आएका १९ वर्षीय पुनमगर र २० वर्षीय बुढामगर असार २६ गते घरमा फोन गर्न भनी फुको क्याङ भन्ने ठाउँमा आउँदै गर्दा खोला तर्ने क्रममा खोलाले बगाएर बेपत्ता भएका हुन् । २०७४ चैतमा ज्यामी काम गर्न मनाङ छिरेका पुनमगर र बुढामगर हालसम्म वेपत्ता भएको जिल्ला प्रहरी कार्यालय मनाङले जनाएको हो । उनीहरुको खोजीकार्यका लागि जिल्ला प्रहरी कार्यालय मनाङ, अस्थायी प्रहरी चौकी, प्याखुका प्रहरी जवान तथा धारापानी प्रहरी चौकी लागिपरेका छन् । बेंसीसहरस्थित लमजुङ जिल्ला प्रहरीलाई पनि खोजी कार्य जारी राख्न जिल्ला प्रहरी कार्यालय मनाङले अनुरोध गरेको छ । रासस खोलाले बगाएर तीन बालकको मृत्यु लिखु खोलाले बगाएर युवकको मृत्यु खोलाले बगाएर बालकको मृत्यु विश्वकप हेरेर फर्कँदै गरेका युवा खोलाले बगाएर बेपत्ता खोलाले बगाएर मृत्यु भेलमा आएको दाउरा काट्न जाँदा खोलाले बगाएर मृत्यु खोलाले बगाएर सवओभरसियरको मृत्यु खोलाले बगाएर वृद्धको मृत्यु"
"सुन तस्करी रोक्न भारतसँग सहयोग मागियो","काठमाडौँः गृहमन्त्री रामबहादुर थापा बादलसँग नेपालका लागि भारतीय राजदूत मञ्जीवसिंह पुरीले बिहीबार भेटवार्ता गरेका छन् । गृहमन्त्रालयमा भएको भेटवार्तामा दुई देशबीचको सम्बन्ध, आपसी सहकार्य र सहयोगको विषयमा केन्द्रीत रहेको थियो । गृहमन्त्रीले नेपालको विविध क्षेत्रका साथै सुरक्षा निकायको तालिम र भौतिक सामाग्रीमा भारतले गर्दै आएको सहयोगप्रति राजदुत पुरीमार्फत भारत सरकारलाई धन्यवाद दिँदै आगामी दिनमा पनि त्यसले निरन्तरा पाउने विश्वास जनाए । उनले भारत सरकारको सहयोगमा काभ्रेमा बन्न लागेको नेपाल प्रहरीको तालिम केन्द्र छिटो निर्माण हुने वातावरण बनाउन भारतीय राजदुतलाई आग्रह गरे । यस्तै खुला सिमको फाइदा उठाउँदै हुने मानवतस्करीबारे पनि दुईजनाबीच छलफल भएको थियो । दुईजनाबीचको भेटका क्रममा पछिल्लो समय भइरहेको सुन तस्करीबारे पनि गहन छलफल भएको बताइएको छ । गृहमन्त्री थापाले सुन तस्करी रोक्नका लागि भारतीय पक्षको सहयोग जरुरी रहेको पनि राजदूतसँग बताएका थिए । त्यसैगरी लागूपदार्थको ओसारपसार लगायतका अपराधविरुद्ध भारत सरकारको सहयोगका लागि आग्रह गर्दै गृहमन्त्री थापाले यस्ता अपराधविरुद्ध दुई देशको संयुक्त सहकार्य आवश्यक रहेकोमा जोड दिए । जवाफमा राजदुत पुरीले यस्तो सहयोग गर्न भारत तयार रहेको बताए । राजदुत पुरीले नेपाल प्रहरीको तालिम केन्द्र निर्माणकार्यको विषयलाई आफुले प्रमुख प्राथमिकतामा राखेको भन्दै यो सम्बन्धी कार्य अघि बढीसकेको जानकारी दिए । भेटमा उनले गृहमन्त्री थापालाई भारत भ्रमणको लागि आग्रह समेत गरे ।"
"योगेशको प्रश्न: गोविन्द केसी सही भए किन कांग्रेसलाई भोट मागे ?","काठमाडौँः नेपाल कम्युनिस्ट पार्टीका नेता तथा सांसद योगेश भट्टराईले डा गोविन्द केसीको जिद्धीले मुलुक नै बन्धक बनेको बताएका छन् । एपी वान टेलिभिजनको कार्यक्रम एपी सेन्टरमा बिहीबार सहभागी हुँदै नेता भट्टराईले केसीका सबै माग हुबहु पुरा नहुने कुरा पनि बताएका छन् । गोविन्द केसीको ढिटले नेपाल बन्धक भएको छ । उनका सबै माग हामी पुरा गर्न सक्दैनौ, माग पुरा गर्न पनि लजिक चाहियो नि जिद्धीले मात्रै हुँदैन, भट्टराईले भने, माथेमा आयोगले पाँचवटा भन्दा मेडिकल कलेज खोल्न नदिने प्रतिवेदन कुन लजिकमा दियो ? हामी सातवटा प्रदेशमा एक एकवटा सरकारी मेडिकल कलेज लगानीमा खोल्ने तयारीमा छौँ, तर यहाँ एकजनाका कारण मुलुक नै बन्धक हुने अवस्था आएको छ । अहिलेका समस्या समाधानका लागि डाक्टर केसीले आफ्नो ढिट त्याग्नुपर्ने भट्टराईलले बताए । गोविन्द केसीको ढिटले समस्या भएको छ । गोविन्द केसीले डिन र रेक्टर बनाउने होइन, उनले भने, त्यो काम त त्रिभुवन विश्वविद्यालयको हो । मापदण्ड पुरा गरेको छैन भने मेडिकल कलेजलाई मान्यता दिनै हुँदैन । हामी त्यो कुरामा सचेत छौँ । भट्टराईले दम्भले होइन, तर्कसहित कुनै पनि कुरामा अडान राख्नुपर्ने बताए । हामी अहिले पनि गोविन्द केसीका हुबहु माग पुरा गर्न सक्दैनौँ, उनले भने, हामीले यो कुरा दम्भले होइन, तर्कसहित भनेका छौँ । भट्टराईले केसीका सबै माग पुरा हुनै नसक्ने पनि बताए । केसीका सबै कुरा भनेको हामी मान्दैनौँ, गोविन्द केसीको कुरा सतप्रतिशत सही भने उनले कांग्रेसलाई किन भोट मागेर हिँडे ?, भट्टराईले भने, थेसिस छ एन्टी थेसिस पनि छ, यो कुरा हामीले बुझ्न जरुरी छ । भिडियो"
"केसी प्रकरणमा प्रधानमन्त्री र सरकार बेइमान","काठमाडौँः नेपाल चिकित्सक संघका अध्यक्ष मुक्तिराम श्रेष्ठले डा गोविन्द केसीका माग सम्बोधन गर्ने कुरामा नेपाल कम्युनिस्ट पार्टी नेतृत्वको सरकारले बेइमानी गरेको आरोप लगाएका छन् । एपी वान टेलिभिजनको कार्यक्रम एपी सेन्टरको बहसमा सहभागी हुँदै अध्यक्ष श्रेष्ठले नेताहरु बेइमान भएकाले जनता र डा केसीले दुःख पाएको जिकिर गरे । नेता बेइमान भएर जनता र डा केसीले दुःख पाए, उनले भने, प्रधानमन्त्री र सरकार जबाफदेही देखिएनन् । प्रधानमन्त्रीले भात खुवाएर ल्याएर आऊ, वार्ता गर्छु भन्नु गैह्रजिम्मेवारपूर्ण कुरा हो । डा श्रेष्ठले डा केसीकै कारण अहिले विदेश पढ्न जानेको संख्या केही सयमा झरेको दाबी गरे । पाँच वर्षअघि सम्म वार्षिक डेढ हजार भन्दा धेरै युवा मेडिकल शिक्षा लिन विदेश जान्थे, उनले भने, डा केसीको आन्दोलनका कारण मेडिकल शिक्षामा सुधार आउँदा अहिले विदेश पढ्न जाने ४५० मात्रै छन् । गोविन्द केसी १५ औँ पटकसम्म अनशन बस्नु नेताको कमजोरी रहेको कुरा पनि उनले दोहोर्याए । प्रत्येक नेता र सरकारसँग सम्झौत भएको छ तर कार्यान्वयन हुँदैन, उनलले भने, अब कसैले पन्छिन पाउँदैन । १३ पटकसम्म चिकित्सक संघसँग पनि सम्झौता भएको छ । तर कार्यान्वयन भएन । डा श्रेष्ठले यसअघिका सरकारले डा केसी अनशन बसेको केही दिनमै वार्ता समिति बनाउने गरेको स्मरण गराउँदै यो पटक वाम सरकारले अहिलेसम्म वार्ता कमिटी नबनाएर गैह्रजिम्मेवारीपन देखाएको जिकिर गरे । सच्याइएको: यसअघि चिकित्सक संघका अध्यक्ष डा मुक्ति श्रेष्ठको तस्बिर हुनुपर्नेमा अन्यथा हुन गएकाले सच्याएका छौँ । सम्पादक"
"बाढीपहिरो पीडितको उद्धारमा नेपाली सेनाको टोली","काठमाडौँ: अविरल वर्षाका कारण देशका विभिन्न स्थानहरूमा आएको बाढी तथा पहिरो पीडितहरूको जनधनको क्षतिको न्युनीकरण गर्न उपलब्ध स्रोत साधनलाई अधिकतम प्रयोग गरी नेपाली सेनाले उद्धार कार्य जारी राखेको छ । उद्धारका क्रममा विष्णुदल गण, धुलिखेलबाट खटिएको टोलीले काभ्रेपलाञ्चोक जिल्लाको बनेपा नगरपालिका२, पुलबजारमा डुबानमा फसेका चारजनाको उद्धार गरेको छ । त्यसैगरी उक्त गण र फष्ट रेञ्जर बटालियनको डार्टसहित नेपाली सेनाको हेलिकोप्टरद्वारा नमोबुद्ध नगरपालिका६, रोशी खोलाको बीच ढुङ्गामा फसेका दुईजनाको उद्धार गरिएको नेपाली सेनाले जनाएको छ । उद्धारकै क्रममा आजै रणचण्डीदल गण, खरिपाटीबाट खटिएको टोलीले चाँगुनारायण नगरपालिका७ मा अविरल वर्षाका कारण घर भत्किन गई मृत्यु भएका तीनजनाको शव निकालेको छ । त्यसैगरी घरका सामान बाहिर निकाल्ने कार्यमा सहयोग गरेको सैनिक जनसम्पर्क निर्देशनालयले जनाएको छ । त्यस्तै, कम्पोजिट क्विक रेस्पोन्स टिम, वीरदल गण सूर्यविनायक, नं १ विपद् व्यवस्थापन गण, सुन्दरीजल र नं१४ वाहिनी अड्डा गौचरबाट खटिएको टोलीले डुबानमा परेका भक्तपुर राधे राधे इलाकाबाट ३० जना र मध्यपुर ठिमीबाट २० जनाको सकुशल उद्धार गरिएको सेनाले जनाएको छ । रासस"
"हनुमन्तेको ताण्डव : कहाँ चुक्यो सरकार ? कसले गर्यो बदमाशी ?","भक्तपुर : पद्विरुद्धको पूर्वतयारीमा चुक्दा बिहीबार भक्तपुरमा हनुमन्ते खोलाले ताण्डव मच्चाएको देखिएको छ । बुधबार रातिदेखिको अविरल वर्षापछि भक्तपुरमा आएको बाढी पहिरोमा परी तीनजनाको ज्यान गएको छ । त्यस्तै पचासभन्दा बढी घरपरिवार विस्थापित भएका छन् । भक्तपुरमा प्राकृतिक विपद्ले कहर मच्चाएपछि बसेको जिल्ला विपद् व्यवस्थापन समितिको बैठकमै पनि विपद्विरुद्धको पूर्वतयारीमा चुक्दा बिहीबारको क्षति व्यहोर्नुपरेको कुरा उठेको थियो । प्रमुख जिल्ला अधिकारी नारायणप्रसाद भट्टले आकस्मिक रुपमा बोलाएको बैठकमा सहभागी प्रतिनिधिसभा तथा प्रदेशसभा सदस्य, सुरक्षा निकाय, स्थानीय तह तथा जिल्लास्थित सरकारी कार्यालयका प्रमुखहरुले हनुमन्ते खोलमा बर्सेनि बाढी आउँदा पनि विपद्विरुद्ध पूर्वतयारी गर्नुपर्नेमा केही हुन नसक्दा सधैं क्षति भोग्नुपरेकोमा आक्रोश पोखेका थिए । राजनीतिक दलका जिल्ला तहका नेताहरुले हनुमन्ते खोलाले प्रत्येक वर्ष खोला किनारका बस्ती डुबाउँदै आउँदा पनि स्थानीय तहले विपद् व्यवस्थापनको लागि आवश्यक खोज तथा उद्धारका सामग्रीको जोहो नगरेको गुनासो गरेका थिए । त्यस्तै खोला अतिक्रमण बढेर साँघुरिँदै आएको, खोलाको सतह वर्सेनि बढ्दै आएको र खोला किनारमा अनियन्त्रित बस्ती विस्तार हुँदा पनि स्थानीय तहले रोक्न नसक्दा हनुमन्ते खोलाको बाढीले सधैं प्रताडित हुनुपरेको उनीहरुको भनाइ थियो । स्थानीय तहले विपद्विरुद्ध पूर्वतयारी नगर्दा बिहीबार बाढीले डुबान परेका सर्वसाधारणलाई उद्धार गर्न नै समस्या भएको उनीहरुको गुनासो थियो । गएको तीनचार वर्षदेखि डुबानमा परेकालाई उद्धार गर्न डुंगासँगै अन्य उद्धारका उपकरणको व्यवस्था गर्नुपर्ने तथा खोला मिचेर बनाइएका संरचना भत्काएर खोला निर्वाध बग्ने व्यवस्था गर्न स्थानीय तहको ध्यानाकर्षण गरिँदा पनि सुनुवाइ भएन, नेकपा माओवादी केन्द्र भक्तपुरका संयोजक डीपी ढकालले भने । भक्तपुर क्षेत्र नं १ का प्रतिनिधिसभा सदस्य प्रेम सुवालले वर्सेनि डुबान पर्ने क्षेत्रको पहिचान भएर पनि त्यसलाई डुबानमुक्त बनाउने काम नहुनु दुर्भाग्य भएको बताए । डुबानमा पर्ने तथा पहिरो जाने ठाउँमा घर बनाउन नक्सापास गर्ने जस्ता कार्यमा स्थानीय तह चुकेको उनको भनाइ थियो । त्यस्तै भक्तपुर क्षेत्र नं २ का प्रतिनिधिसभा सदस्य महेश बस्नेतले अहिले भएको क्षतिबाट पाठ सिकेर दीर्घकालीन समाधानतर्फ अघि बढ्नुपर्ने सुझाव दिए ।उनले विपद् प्रभावित नगरपालिकाहरुबीच समन्वय र सहकार्य गरी प्रभावितलाई राहतलगायतको व्यवस्था गर्नुपर्ने बताए । कार्यक्रममा भक्तपुरका प्रमुख जिल्ला अधिकारी भट्टले अविरल वर्षाले पुयाएको क्षति, खोज तथा उद्धारसँगै राहतका लागि भएको कार्यबारे जानकारी दिए । भक्तपुरका चारवटा नपाका प्रमुखहरु क्रमशः भक्तपुरका सुनिल प्रजापति, मध्यपुर थिमिका मदनसुन्दर श्रेष्ठ, चाँगुनारायणका सोमप्रसाद मिश्र र सूर्यविनायकका वासुदेव थापाले आआफ्नो नगर क्षेत्रमा भएका क्षति, उद्धार र राहत वितरण कार्यबारे जानकारी गराएका थिए । बैठकले विपद् प्रभावितहरुलाई नगरपालिकामार्फत एकाद्वार प्रणालीबाट राहत तथा खाद्यान्नलगायत वितरण गर्न निर्देशन दिएको छ । अमुक संघसंस्थाको नाउँमा सांसद, नेतालगायतले राहत वितरण गरेर सामाजिक सञ्जालका भित्ता भर्ने काम नगर्न प्रमुख जिल्ला अधिकारी भट्टले आह्वान गरे । बैठकले भक्तपुरका चारवटै नगरमा भएको सम्पूर्ण क्षतिको विवरण तीनदिनभित्र जिल्ला विपद् व्यवस्थापन समितिमा पेस गर्न निर्देशन दिएको छ । त्यस्तै बैठकले आगामी दिनमा पुनः क्षति हुन नदिन विपद् प्रभावित क्षेत्रको अध्ययन गरी समाधानतर्फ जान प्राविधिक टोली खटाउने निर्णय गरेको छ । बाढीले ६ घर बगायो भक्तपुरमा बाढीपहिरोले तीनको मृत्यु बाढीले भक्तपुरमा डुबान : मूल सडकको यो गति (फोटो) २० मिटर तल खोलामा बस खस्दा  डुबानले भूइँतलामा बस्नेको बिजोग : १५ फोटोमा हेर्नुस् बाढीपछिको भक्तपुर जनता बाढीमा डुबेका बेला पानीजहाज चलाऊँ भन्नेलाई कारबाही गर बाढीले बगाएर दुईको मृत्यु"
"मौद्रिक नीतिप्रति महासंघको मिश्रित धारणा","काठमाडौँः नेपाल घरेलु तथा साना उद्योग महासंघले नेपाल राष्ट्र बैंकले जारी गरेको आर्थिक वर्ष २०७५७६ को मौद्रिक नीतिप्रति मिश्रित धारणा व्यक्त गरेको छ । सरकारले आर्थिक वर्ष २०७५७६ को आर्थिक बृद्धि आठ प्रतिशतको हाराहारीमा हुने लक्ष्य प्राप्तिलाई सहजीकरण गर्ने उद्देश्यका साथ रोजगारी प्रवर्द्धन उद्यमशीलता विकासका लागि वित्तीय साधनको परिचालन र ब्याजदर स्थायित्व कायम गर्नेतर्फ मौद्रिक नीति केन्द्रित रहनु सकारात्मक विषय भएको कार्यवाहक अध्यक्ष उमेश प्रसाद सिंहले बताए । नेपाल सरकारले अंगिकार गरेको समृद्ध नेपाल सुखी नेपालीको परिकल्पनालाई सार्थकता प्रदान गर्न यसले थप बल प्रदान गर्ने अपेक्षा गर्न सकिने उने बताए । नेपालको सन्दर्भमा लघु, घरेलु तथा साना उद्योगको विकास विना आर्थिक समृद्धि हुन नसक्ने परिप्रेक्ष्यमा यसैमा केन्द्रीत भई महासंघ मौद्रिक नीतिका बारेमा प्रतिक्रिया व्यक्त गरेको छ । जारी मौद्रिक नीति अनुसार वाणिज्य बैंकहरुले आफ्नो कुल कर्जाको न्यूनतम २५ प्रतिशत प्राथमिकताप्राप्त क्षेत्रमा प्रवाह गर्नुपर्ने व्यवस्थालाई परिमार्जन गरी कृषि क्षेत्रमा न्यूनतम १० प्रतिशत र उर्जा तथा पर्यटन क्षेत्रमा न्यूनतम १५ प्रतिशत कर्जा प्रवाह गर्नुपर्ने व्यवस्था गरेको छ भने विकास बैंक र वित्त कम्पनीहरुले समेत प्राथमिकता प्राप्त क्षेत्रमा आफ्नो कुल कर्जाको न्यूनतम क्रमशः १५ प्रतिशत र १० प्रतिशत कर्जा प्रवाह गर्नुपर्ने व्यवस्था यथावत कायम गरेको छ । सरकारले आर्थिक बर्ष २०७५ ।७६ मा ५ लाखलाई रोजगारी दिने तथा ८ प्रतिशतको आर्थिक बृद्धिदर हासिल गर्न सहयोग गर्ने प्रमुख माध्यम नै लघु, घरेलृु तथा साना उद्योग भएकाले मौद्रिक नीतिमा यो क्षेत्रलाई प्राथमिकता प्राप्त कर्जा क्षेत्रमा स्पष्ट रुपमा समावेश नगर्नु दुर्भाग्यको विषय भएको कार्यवाहक अध्यक्ष सिंहले बताए । बैंक तथा वित्तीय संस्थाहरुलाई साना तथा मझौला उद्योगमा कर्जा प्रवाह गर्न प्रोत्साहित गर्ने मौद्रिक नीतिको उद्देश्य भएपनि विगतको दृष्टान्त हेर्दा वाणिज्य बैंकहरुले उल्टै नेपाल राष्ट्र बैंकलाई पेनाल्टी दिन तयार हुने तर यस क्षेत्रमा लगानी गर्न हिच्किच्याउने प्रवृत्ति रहेको भन्दै अध्यक्ष सिंहले यसतर्फ मौद्रिक नीतिले ठोस सम्बोधन गर्न आग्रह गरे । महिलाहरुबाट संचालन हुने परियोजनाका लागि १५ लाखसम्मको सामूहिक जमानीमा दिइने कर्जालाई विपन्न वर्ग कर्जामा गणना गर्ने व्यवस्था मिलाइनु र महिला उद्यमशीलता विकासका लागि नेपाल सरकारले यस्तो कर्जामा ६ प्रतिशत ब्याज अनुदान दिने व्यवस्था गरेर महिला उद्यमशिलताको विकासका लागि मौद्रिक नीतिले थप व्यवस्थित गरकोमा स्वागतयोग्य भएको उनले बताए । नेपाल राष्ट्र बैंकको स्वीकृती वेगर पनि सबै स्थानीय निकाय तथा पालिकास्तरमा बैंकका शाखा खोल्न पाउने व्यवस्थाले वित्तिय पहुँचमा सकारात्मक प्रभाव पर्ने देखिएको भन्दै उनले भने, गाउँपालिकास्थित लघुवित्त वित्तीय संस्थाका कार्यालयहरुले स्वीकारयोग्य धितो लिई समूहमा आबद्ध भएका तथा नभएका व्यक्तिहरुलाई लघु उद्यम सञ्चालन गर्न दश लाखसम्म कर्जा प्रवाह गर्न सक्ने व्यवस्थाले लघु उद्यमीहरुको वित्तिय पहुँचमा सहयोग पुग्ने देखिन्छ ।"
"पानीमा डुबेर दुई बालकको मृत्यु","नुवाकोट : विदुर नगरपालिका५ स्थित खाल्टोमा जमेको पानीमा डुबेर आज दुई वर्षीय बालकको मृत्यु भएको छ । मृत्यु हुनेमा राजेश तिमिल्सिनाका छोरा रञ्जित रहेको नुवाकोटका प्रहरी प्रमुख वसन्त कुँवरले जानकारी दिए । खेल्ने क्रममा खाल्टोको पानीमा डुबेका बालकलाई उद्धार गरी उपचारका लागि जिल्ला अस्पताल त्रिशूली लैजाँदै गर्दा बाटोमा नै मृत्यु भएको हो । रासस मध्यरातमा बाढी बस्तीमा छिरेपछि (फोटोफिचर) बाढी प्रभावित क्षेत्रको पुनःनिर्माणको जिम्मेवारी प्राधिकरणलाई बाढी आएपछि मनहरी खोलामै फसे यात्रु बस खहरे खोलाको बाढी झन् जोखिम पहाडमा पहिरो, मधेसमा बाढी : दर्जनको मृत्यु"
"""धनराज भन्छन्ः पुराना नेता काम लागेनन्","नयाँ पनि टालटुले"",""काठमाडौँः नेपाली कांग्रेसका नेता धनराज गुरुङले डा गोविन्द केसीले उठाएका माग पुरा गर्ने बाचा गर्दै विगतदेखि अहिलेसम्मका सरकारले बेइमानी गरेको बताएका छन् । एपी वान टेलिभिजनको कार्यक्रम एपी सेन्टरमा बिहीबार सहभागी हुँदै नेता गुरुङले अहिले माग पुरा गर्न नसक्ने भए केसीसँग सम्झौता गर्नु नै अनुचित भएको बताए । गोविन्द केसीसँग विगतमा सरकारले के रक्सी र भाङ खाएर सम्झौता गरेको हो ?, उनले प्रश्न गरे, यदि त्यसो होइन भने किन माग पुरा हुँदैन । यति दबाब पनि थेग्न नसक्ने हो भने किन नेता बन्नु ? माग पुरा गर्न नसक्ने हो भने किन सम्झौता गर्नु ? यदि केसीसँग गरेको सम्झौता नराम्रो भएको भए नेताहरुले गर्दिन भन्न सक्नुपर्ने गुरुङले जिकिर गरे । पुराना नेता काम लागेनन् नै नयाँ नेताहरु पनि टालटुले प्रवृत्तिमा लागे, धनराजले भने, अहिलेको जटिलताको केन्द्र भनेको स्वार्थ हो । मताधिकार पाएपछि जनताप्रति बफादार पनि हुनुपर्छ । भिडियो"""
"पहिरोले १४ घर विस्थापित","नुवाकोट : अविरल वर्षासँगै बस्तीमुनिबाट बगेको पहिरोले नुवाकोटको विदुर नगरपालिका वडा नं २ धारापानीका १४ घरपरिवार विस्थापित भएका छन् । उनीहरुलाई सुरक्षित स्थानमा सार्ने प्रक्रिया सुरु गरिएको छ । अविरल वर्षाका कारण घरभन्दा मुनिका बारीहरु पहिरोले बगाई १४ घरधुरी पूर्णरुपमा जोखिममा परेको जिल्ला प्रहरी कार्यालय नुवाकोटका प्रमुख तथा प्रहरी उपरीक्षक बसन्तबहादुर कुँवरले जानकारी दिए । पहिरोका कारण घर क्षति भई स्थानीय धारापानी बस्ने रामकुमार कसाई, कुसुराम कसाइ, कान्छा कसाइ, रामजी कसाई, नारायण कसाई, शम्भु कसई र गोपाल कसाई लगायत घरपरिवार विस्थापित भएको कुँवरले बताए । पहिराले रामहरी खड्गी, सतुमान कसाई, बुद्धि कसाई, सोम कसाई, राजेन्द्र कसाई, रामशरण कसाई, कृष्णा कसाईको घर पनि विस्थापित हुने क्रममा रहेको प्रहरीले जनाएको छ । पहिरो खस्दा स्काभेटरसँगै चालक पुरिए नारायणगढमुग्लिन सडक : पहिरो रोक्न आधुनिक प्रविधि पहिरो पन्छाउँदै गाडी चलाउँदै धादिङमा पहिरो : एकै परिवारका तीनसहित ४ जनाको मृत्यु पहिरो पन्छाएपछि नारायणगढमुग्लिन सडक खुल्यो"
