"शीर्षक","विवरण"
"मोदी भ्रमणमा भारतीय सेनामाथि भएका टिप्पणीले प्रधानमन्त्री असन्तुष्ट","काठमाडौं : प्रधानमन्त्री केपी शर्मा ओलीले भारतीय प्रधानमन्त्री नरेन्द्र मोदीको नेपाल भ्रमणका क्रममा भारतीय सैनिकहरू नेपालमा आएको सम्बन्धमा भएका टिप्पणीबारे असन्तुष्टि व्यक्त गरेका छन् । सोमबार प्रतिनिधिसभामा आसन्न चीन भ्रमणबारे जानकारी दिने क्रममा ओलीले सुरक्षाको विषयमा अनावश्यक टिकाटिप्पणी भएको बताए । 'केही न केही नकारात्मक टिप्पणीहरू सुनिने रहेछ, हामी पनि भारत भ्रमणमा जाँदा युनिफर्म (पोसाक) सहित सैनिकहरू लगेका थियौँ', प्रधानमन्त्री ओलीले भने, 'तर त्यहाँ यस्तो टिकाटिप्पणी सुनिएन । आजको दुनियाँमा सुरक्षा भन्ने कुरा समय, व्यक्ति र परिस्थितिमा भर पर्छ ।' जोमसोम पुग्यो भारतीय सेनाको हेलिकोप्टर सांसदको प्रश्न, भारतीय सेना नेपालमा किन ? ओलीे राष्ट्रवादले भारतीय सेना नेपाल पस्यो : कांग्रेस प्रवक्ता भारतीय प्रधानमन्त्री मोदीको नेपाल भ्रमणपछि पोखरा लगायत पर्यटकीय क्षेत्रका होटल भरिभराउ रहेको प्रधानमन्त्रीको दावी छ । 'अहिले अफसिजनमा पनि पोखराका होटलहरूमा कोठा पाउन मुस्किल छ । जोमसोमतिर त्यस्तै छ', प्रधानमन्त्रीले भने । चीन भ्रमण उनले चिनियाँ प्रधानमन्त्री लि खछ्यानको निमन्त्रणामा असार ५ देखि १० सम्म चीन भ्रमणमा जान लागेको प्रतिनिधिसभा सदस्यहरूलाई जानकारी गराए । 'चीन हाम्रो पुरानो मित्र हो । चीनसँगको मित्रता समस्यारहित छ', प्रधानमन्त्रीले भने, 'उसले सार्वभौमसत्ता भौगोलिक अखण्डतलाई खुलेआम सम्मान गरेको छ । आफू धेरै विकसित नहुँदा पनि शैक्षिक संस्था, बाटो आदि निर्माणमा सहयोग गरेको छ ।' चीन विश्वमै सबल राष्ट्र भएको र उसको प्रभाव विश्वस्तरमा रहेकोले उसको छिमेकी हुनुको नाताले त्यसको फाइदा नेपालले उठाउन सक्नुपर्ने प्रधानमन्त्रीको भनाई छ । चीन र भारतको बजारलाई नेपालले उपयोग गर्न सकेमा नेपालको विकासले तीब्रता पाउने प्रधानमन्त्रीको दावी छ । प्रधानमन्त्रीको हैसियतमा आफूले पहिलोपटक गरेको चीन भ्रमणका बेला भएका सम्झौतालाई कार्यान्वयन गर्नु आफ्नो प्रमुख प्राथमिकता भएको उनले बताए । विकास र समृद्धि प्रधानमन्त्रीले आफ्नो नारा 'समृद्ध नेपाल, सुखी नेपाली' लाई पूरा गर्न सम्पूर्ण ध्यान केन्द्रित गर्ने बताए । संघीयता नेपालका लागि नयाँ अभ्यास भएकोले कमीकमजोरी सच्याउँदै अगाडि बढ्ने बताउँदै प्रधानमन्त्री ओलीले वादविवादमा अल्झिएर समय नष्ट गर्न नहुने बताए । प्रधानमन्त्रीले तीन वर्षभित्र नेपाललाई अल्पविकसित देशबाट माथि र १२ वर्षमा संयुक्त राष्ट्रसंघले तोकेका मापदण्ड बमोजिम दिगो विकास लक्ष्य हासिल गर्नुपर्ने पनि बताए । उनले ६० लाख देखि ८० लाख निरपेक्ष गरिबीमा रहेको जनसंख्यालाई माथि उठाउने बताए । नेपालको विकासको प्रयासमात्र पर्याप्त नहुने भन्दै प्रधानमन्त्रीले छिमेकीहरू र अन्तर्ष्ट्रिय समुदायलाई पनि सँगै लिएर जाने बताए । 'हाम्रा आफ्ना मात्र प्रयास पर्याप्त हुँदैनन् । छिमेकी मित्रराष्ट्र र अन्तर्राष्ट्रिय जगतलाई पनि साथै लानुपर्छ । र, विकासका प्रयासलाई एकताबद्ध र सुदृढ बनाउनुपर्छ ।' प्रधानमन्त्रीले आफ्नो सरकारले छिमेकीहरूसँग सम्बन्धलाई विशेष जोड दिएको बताउँदै भारतसँग विश्वासको सुदृढ सम्बन्ध बनेको बताए । काठमाडौं वीरगञ्ज रेलवे लाइन अध्ययनका लागि भारतको रेल वे सर्भे टोली आइपुगेको प्रधानमन्त्रीले बताए ।"
"जर्मनीविरुद्धको गोलले मेक्सिकोमा भुइँचालो !","एजेन्सी: मेक्सिको सिटी: विश्वकप अन्तगर्गत आफ्नो पहिलो खेलमा साविक विजेता जर्मनीविरुद्ध जित दर्ता गरेपछि मेक्सिकोमा खुसीको माहोल छ । जर्मनीविरुद्ध गोलको खुसी मेक्सिकोका फुटबल प्रेमीले यति धुमधामसाथ मनाए, जसले जमिन नै हल्लिएको हो । खेलको ३५ औँ मिनेटमा हिरभिङ्ग लोजानोले गोल गरेपछि मेक्सिकोको राजधानीमा फुटबल यतिधेरै नाचे कि जसको सात सेकेन्डपछि सहरका दुई स्थानमा भूकम्प नै आएको चर्चित बेलायती पत्रिका गार्जियनले जनाएको छ । । बिबीसीका अनुसार जियोलोजिकल एन्ड एटमस्फेरिक रिसर्च इन्स्टिच्युटका अनुसार गोल लगत्तै सेन्सर्स सक्रिय भयो र यस हलचलको चेतावनी दियो । समूह एफ को पहिलो भिडन्त आइतवार राति भएको थियो । जसमा विश्वविजेता जर्मनी मेक्सिकोसँग १ गोलले पराजित हुन बाध्य भयो । विश्व कपको ८८ वर्षको इतिहासमा जर्मनीमाथि मेक्सिकोको यो पहिलो जीत थियो । लगातार तेस्रो विश्वकपमा साविक विजेताले आफ्नो सुरुवाती खेलमा जित दर्ता गराउन सकेन । यस जीतपछि मेक्सिकोका राष्ट्रपति पदका उम्मेदवार आन्द्रेस म्यानुएल लोपेज ओब्रादोरले टिमलाई बधाई दिए । उनले आफ्नो देशको टिमले सदैव यस्तै जित निकाल्नुपर्ने बताएका थिए । मेक्सिकोको सीमामा पर्खाल लगाउने एजेण्डा यथावत : ट्रम्प मेक्सिकोमा शक्तिशाली भूकम्प अमेरिकाले मेक्सिकोसँगको सीमामा सेना तैनाथ गर्ने मेक्सिकोमा गोली हानाहान, १६ जनाको मृत्यु २०२६ को विश्वकप अमेरिका, क्यानाडा र मेक्सिकोले गर्ने जर्मनी र मेक्सिकोको खेल : कसको प्रदर्शन कस्तो ? पहिलो हाफ मेक्सिको १ जर्मनी शून्य साविक विजेता जर्मनी मेक्सिकोसँग पराजित विश्वकप फुटबल: विश्वबिजेता जर्मनी मेक्सिकोसँग पराजित"
"उपेन्द्र देवकोटाको काजक्रिया सात दिन","काठमाडौं : वरिष्ठ न्यूरो सर्जन डा उपेन्द्र देवकोटाको उपचारका क्रममा बाँसबारीस्थित नेशनल इन्स्टिच्यूट अफ न्यूरोलोजिकल एण्ड एलाइड साइन्सेसमा निधन भएको छ । प्रख्यात स्नायुरोग विशेषज्ञ कोइरालाको आफैले स्थापना गरेको इन्स्टिच्यूटमा उपचारका क्रममा सोमबार साँझ ५ बजेर ३५ मिनेटमा निधन भएको हो । 'न्युरो अस्पताल' नामले चर्चित यो इन्स्टिच्युट न्युरोलोजीको अध्ययन अनुसन्धान र उपचारका लागि प्रसिद्ध छ । विसं २०१० पुस ४ गते गोरखाको पण्डितगाउँ लिगलिगमा जन्मेका डा देवकोटाका श्रीमती र तीन छोरी छन् । श्रीमती डा मधु दीक्षित तथा छोरीहरु मेघा, वसुधा र मञ्जरीले उनको काजक्रिया सात दिनमा सक्ने अस्पतालद्वारा जारी विज्ञप्तिमा जनाइएको छ । डा उपेन्द्र देवकोटाबारे कसरी फैलियो अफवाह ? कस्तो छ अवस्था ? डा उपेन्द्र देवकोटालाई देख्दा (भिडियो) जन्मघरको पिँढीमा डा उपेन्द्र देवकोटा (फोटो र भिडियो) डाक्टर उपेन्द्र देवकोटाको निधन पित्तथैलीको क्यान्सरका कारण करीब वर्ष दिनदेखि पीडित डा देवकोटालाई छ महिनाअघि बेलायतमा उपचार गर्न लगिए पनि रोग निको नहुने भएपछि स्वदेशमै देहत्याग गर्ने इच्छासहित उनी स्वदेश फर्किएका थिए । बिरामी अवस्थामा नै आफू जन्मेको घरको पिँढीमा सुस्ताउने र त्यहाँको सिस्नेधाराको पानी पिउने इच्छा गरेबमोजिम उनलाई गत जेठ २६ गते हेलिकप्टरमा त्यहाँ लगिएको थियो । पूर्व स्वास्थ्यमन्त्री समेत रहेका डा देवकोटाको पार्थिव शरीर मंगलबार बिहान ८ बजेदेखि अपराह्न १ बजेसम्म श्रद्धाञ्जलिका अस्पताल परिसरमा राखिनेछ भने त्यसपछि नारायणगोपाल चोकबाट शवयात्रासहित पशुपति आर्यघाटमा विद्युतीय शवदाहगृहमा अन्त्येष्टि गरिनेछ । अस्पतालको विज्ञप्ति"
"उपेन्द्रका सहपाठी बाबुरामले स्कुलको फोटोसहित लेखे  प्रिय उपेन्द्र","काठमाडौं : प्रख्यात न्यूरोसर्जन डा उपेन्द्र देवकोटाको निधनले शोकाकुल पूर्व प्रधानमन्त्री एवं नयाँ शक्ति नेपालका संयोजक डा बाबुराम भट्टराईले फेसबुकमा डा देवकोटालाई श्रद्धाञ्जलि दिएका छन् । देवकोटाका स्कुले जीवनमा सहपाठी बाबुरामले स्कुल पढ्दाको फोटो पोस्ट गर्दै 'नेपाल आमाका सुयोग्य सपूतको सम्झना नेपाली इतिहासले लामो समयसम्म गरिरहने' लेखेका छन् । बाबुराम र उपेन्द्र गोरखाको अमरज्योति हाइस्कुल र काठमाडौंमा अमृत साइन्स क्याम्पसमा सँगै पढेका हुन् । 'भौतिक रूपमा अब तिमीसँग कहिल्यै भेट नभए पनि तिमीसँग एउटै कक्षामा अमरज्योति हाइस्कुल र अस्कलमा ८ वर्ष सँगै बिताएका दिनहरूको सम्झनाले आजीवन पछ्याइरहनेछन्', बाबुरामले लेखेका छन्, 'तिमीजस्ता मेधावी सहपाठीको सान्निध्यप्रति हामी सधैं गौरवान्वित रहिरहनेछौं!'"
"चिठ्ठाले पनि साथ दिएन कांग्रेसलाई","काठमाडौं : कम्युनिस्ट भाग्यमा विश्वास गर्दैनन् तर भाग्यले भने उनीहरूलाई नै साथ दियो । गोला प्रथाबाट राष्ट्रिय सभाको समय निर्धारण गर्दा समेत कांग्रेसलाई भाग्यले साथ दिएन । १९ जना मध्ये १० जना कम्युनिस्ट इतरको कार्यकाल २ वर्ष तय भएको छ भने नेपाल कम्युनिस्ट पार्टीबाट ९ जनाको मात्रै २ वर्षे कार्यकाल निर्धारण भएको छ । राष्ट्रिय सभामा ५९ सांसदमध्ये १९ जनाको २ वर्ष, २० जनाको ४ वर्ष र बाँकी २० जनाको ६ वर्ष निर्धारण भएको छ । नेपाल संविधान २०७२ को धारा ७६ मा गोला प्रथाबाट राष्ट्रिय सभा सदस्यको समय अवधि तय गर्ने व्यवस्था छ । राष्ट्रिय सभामा कांग्रेसका १३ जना सांसदमध्ये सात जनाको कार्यकाल २ वर्ष मात्रै निर्धारण भएको छ । गोलाप्रथाद्वारा समय निर्धारण गर्ने विधि अनुसार गोला तान्दा कांग्रेसबाट राष्ट्रिय सभा सदस्य भएका सरिता प्रसाई, मुक्ताकुमारी यादव, धना खतिवडा, बृन्दाराना मगर, सुरेन्द्र पाण्डे, दुर्गा उपाध्याय र बद्री पाण्डेको कार्यकाल २ वर्ष मात्रै तय भएको छ । राष्ट्रियसभा उपाध्यक्ष शशीकला दाहाल ४ वर्ष र कांग्रेस प्रमुख सचेतक सरिता प्रसाईं २ वर्ष राष्ट्रियसभा अध्यक्ष गणेश तिमिल्सिनाको कार्यकाल छ वर्ष गृहमन्त्री थापाको कार्यकाल छ वर्ष राष्ट्रियसभामा महिला सांसदको कार्यकाल कति ? राष्ट्रियसभाका सांसदको कार्यकाल टुङ्गियो, ५९ जना कसको पदावधि कति? ४ वर्षे कार्यकालमा कांग्रेसबाट २ जना परेका छन् भने कांग्रेसका राधेश्याम अधिकारी र तारादेवी भट्टको कार्यकाल ४ वर्षको निर्धारण भएको छ । २० जनाको कार्यकाल ४ वर्षको हुने संवैधानिक व्यवस्था गरिएको छ । ६ वर्षको कार्यकाल निर्धारण हुने भाग्यमानीमा रमेशजंग रायमाझी, जितेन्द्र देव, अनिता देवकोटा र प्रकाश पन्त छन् । जितेन्द्र देव भने निर्वाचनताका लोकतान्त्रिक फोरमको विलयसँगै कांग्रेस भएका हुन् । उता मधेसकेन्द्रित दलसमेत गोलप्रथामा अभागी नै सावित भएका छन् । मधेसकेन्द्रित दलका ४ जना मध्ये ३ जनाको कार्यकाल २ वर्ष निर्धारण भएको छ । एक जनाको मात्रै ६ वर्ष कार्यकाल तय भएको छ । संघीय समाजवादी फोरम नेपालका रामपृत पासवानको कार्यकाल पनि २ वर्ष नै तय भएको छ । फोरमबाट राष्ट्रिय सभामा २ जना मात्रै सांसदको प्रतिनिधित्व छ । फोरमकी प्रमिला यादवको कार्यकाल भने ६ वर्ष तय भएको छ । उता राष्ट्रिय जनता पार्टीको दुवै जनाको कार्यकाल २ वर्षमात्र सीमित भएको छ । गोलप्रथामा राजपाका वृजेषचन्द्र लाल र रमेश यादवको कार्यकाल २ वर्ष तय भएको छ । यता नेपाल कम्युनिस्ट पार्टीका ४२ जना राष्ट्रिय सभा सदस्यमा ९ जनाको मात्रै २ वर्ष कार्यकाल तय भएको छ । २० जना मध्ये १८ जना त नेकपाकै राष्ट्रिय सभा सदस्यको कार्यकाल ४ वर्षको तय भएको छ । नेकपाबाटै १५ जनाको समय अवधि ६ वर्ष निर्धारण भएको छ ।"
"""उर्जा","रेल र पुनर्निमाणमा चीनसँग सम्झौता : प्रधानमन्त्री"",""काठमाडौं : प्रधानमन्त्री केपी शर्मा ओलीले चीनसँग उर्जा, रेल मार्ग र भूकम्प पुनर्निमाणमा नयाँ सम्झौतामा हस्ताक्षर हुने बताएका छन् । मंगलबारदेखि सुरु हुने आफ्नो चीन भ्रमणबारे प्रतिनिधिसभामा जानकारी गराउँदै प्रधानमन्त्री ओलीले चीनसँग राष्ट्रिय स्वाभिमानलाई केन्द्रविन्दुमा राखेर सम्झौता हुने बताए । मेरो भ्रमणको अवसरमा दुई देशबीच हुने सम्झौता, समझदारी र छलफल राष्ट्रिय स्वाभिमानलाई केन्द्रविन्दुमा राखेर हुन्छ, उनले भने । प्रधामन्त्री ओलीले आफूले पहिलोपटक प्रधानमन्त्री हुँदा गरेका सम्झौता र समझदारीको कार्यान्वयनका साथै नयाँ सम्झौता र समझदारी हुने बताए । बालुवाटारमा नेकपा स्थायी समिति: चीन भ्रमणबारे ब्रिफिङ चीन भ्रमण र अपेक्षा मोदी भ्रमणमा भारतीय सेनामाथि भएका टिप्पणीले प्रधानमन्त्री असन्तुष्ट उनले चीनसँग सीमा क्षेत्रमा देखिएका समस्याका बारेमा पनि छलफल गर्ने प्रतिवद्धता जनाएका छन् । सीमा क्षेत्रका विषयमा पनि कुरा हुनेछन्,उनले भने । प्रधानमन्त्री ओलीले केरुङका साथै अन्य नाका खोल्ने विषयमा समेत समझदारी हुने दावी गरे । अहिले केरुङमात्र चलेको छ, अन्य नाकाका विषयमा समेत समझदारीको सम्भावना छ , उनले भने । प्रधानमन्त्री ओलीले चीन भ्रमणमा सहयोग, सहकार्य र संयुक्त लगानी गरी तीन मोडेलमा छलफल हुने बताए । सडक, यातायात मात्रै होइन रेल मार्ग, हवाई मार्ग, अब्टिकल फाइबर लगायतका कनेक्टिभिटीको विषयमा समेत दुईपक्षीय वार्ता हुन्छ', प्रधानमन्त्री ओलीले भने, परस्पारिक सहयोग र लगानीको क्षेत्रमा विस्तृत छलफल हुन्छ । प्रधानमन्त्री ओलीले चिनिया लगानी भित्र्याउने विषयमा गम्भीरताका साथ कुरा गर्ने बताए । उनले अन्तरदेशीय प्रसारण लाइन, भौतिक पूर्वाधार, व्यापार घाटा, उत्तर दक्षिण बाटो लगायतका विषयमा छलफल हुने बताए । प्रधानमन्त्री ओलीले चिनियाँ राष्ट्रपति सि जिन पिङ, प्रधानमन्त्री लि खछ्यान , राष्ट्रिय कांग्रेसका अध्यक्ष लगायतसँग द्वीपक्षीय वार्ता हुने बताए ।"""
"२० वर्षदेखि फरार वडाअध्यक्ष पक्राउ","राजविराजः गाउँमै राजनीति गरिरहे पनि ज्यान मार्ने उद्योगमा फरारको सूचीमा रहेका एक वडा अध्यक्ष २० वर्षपछि पक्राउ परेका छन् । तिरहुत गाउँपालिका३ का वडा अध्यक्ष श्यामनारायण भनिने भोगानन्द महात्मान यादवलाई प्रहरीले घटना भएको २० वर्ष तीन महिनापछि ज्यान मार्ने उद्योगमा पक्राउ गरेको छ । पक्राउ परेका यादव २०७४ सालमा सम्पन्न स्थानीय तहको निर्वाचनमा वडा अध्यक्षमा निर्वाचित छन् । २० वर्षको अवधिमा इलाका प्रहरी कार्यालय कञ्चनरुप र सम्बन्धित प्रहरी चौकीमा दर्जनौ प्रहरी प्रमुखहरु परिवर्तन भए । सबै प्रहरी प्रमुखहरुले हालसम्म गाउँमै राजनीति गरिरहेका वडा अध्यक्ष यादवसहित घटनाका आरोपितहरु शिवन भनिने शिवनारायण महात्मान, राजेन्द्र महात्मान, भुवनेश्वर भनिने हुमेश्वर साफी र बौवालाल साह गाउँघरमा खोजतलाश गर्दा फेला नपरेको भनी प्रतिवेदन बुझाउँदै आएका छन् । पाँचै जना आरोपितहरु फेला नपरेको भन्दै प्रहरीले घटनाको २० वर्ष पुग्न एक दिन बाँकी रहँदा जिल्ला अदालतमा मुद्दा बुझाएको छ । अदालतले फागुन १५ गते वारेण्टसहितको ७० दिने म्यादी पुर्जी जारी गरेपछि पनि प्रहरीले वडा अध्यक्ष यादवसहितका आरोपितहरु गाउँघरमा फेला नपरेको भन्दै जेठ ६ गते म्यादी पुर्जी घरदैलोमा टाँसी म्याद तामेल गरेर फर्के । पैसाको चलखेल र राजनीतिक संरक्षणकै कारण कर्तव्य ज्यान र ज्यान मार्ने उद्योगका अभियुक्तहरुलाई प्रहरीले पक्राउ नगरी कानुनी प्रावधानअनुसार २० वर्ष पुगेपछि मात्र मुद्दा बुझाउने गरेको कानुन व्यवसायीहरु बताउँछन् । राजनीतिक कारणले नै ०५४ फागुन ३ गते आरोपितहरुले बिरेन्द्रप्रसाद ठाकुरलाई ज्यान मार्ने प्रयत्न गरेको भन्दै घाइतेका दाजु ननु ठाकुर हजामले तत्कालै उजुरी दिएका थिए । उजुरीमा विपक्षीहरु र उनिहरुको पार्टीलाई समर्थन नगरेका कारण पानी पटाउन खेत गएका बिरेन्द्रलाई आरोपितहरुले हत्या प्रयास गरेको उल्लेख छ । त्यस उजुरीमा हाम्रो शत्रु यही हो भन्दै आरोपितहरुले धारिलो फर्साले वीरेन्द्रको टाउकोमा प्रहार गरेको र घाँटी छिनाउने मनसायले प्रहार गर्दा बिरेन्द्र गम्भिर घाइते भएकाले कारवाहीको माग गरिएको थियो । प्रहरीले सो उजुरी ०५४ फागुन ११ गते दर्ता गरेपनि २० वर्षसम्म कसैलाई पक्राउ गरेन् । पक्राउ परेका वडा अध्यक्ष यादव जिल्ला अदालतको आदेशमा सोमबार ४५ हजार धरौटी राखी पुर्पक्षका लागि तारेखमा रिहा भएका छन् । अन्य आरोपितहरु हालसम्म पक्राउ परेका छैनन् ।"
"नेपाली भूमि चीन विरोधी गतिविधिमा प्रयोग हुन दिन्नौं : प्रधानमन्त्री","काठमाडौं : प्रधानमन्त्री केपी शर्मा ओलीले नेपाल एक चीन नीतिमा आफू दृढ रहेको बताए । सोमबार संसदमा सम्बोधन गर्दै ओलीले चीनविरुद्धका कुनै पनि गतिविधि गर्न नदिने दृढता व्यक्त गरेका छन् । उनल नेपाली भूमि प्रयोग गरेर कुनै गतिवधि हुन नदिने प्रतिबद्धता जनाएका छन् । प्रधानमन्त्री ओलीले भने,हामीले छिमेकीको संवेदनशीलतालाई बुझेका छौं, हामी एक चीन नीतिप्रति प्रतिबद्ध र दृढ छौँ, चीन विरोधी कुनै पनि गतिविधि नेपालको भूमि प्रयोग गरेर हुन दिने छैनौ, हामी हाम्रो राष्ट्रिय दृष्टिकोण र अडानमा कायम रही छिमेकीका अरू जायज चासो, चिन्ता र सरोकारलाई सुन्ने छौं । चीन लामो समय देखिको पुरानो मित्र हो, जसले हाम्रो सार्वभौमसत्ताको खुलेर सहयोग र समर्थन गर्दै आइरहेको छ भन्दै उनले चीनको सहयोगमा राष्ट्रिय सभागृह, अन्तर्राष्ट्रिय सम्मेलनलगायत अरू ठूला पूर्वाधार निर्माण भइरहको स्मरण गरे । चीन हाम्रो पुरानो मित्र हो । चीनसँगको मित्रता समस्यारहित छ, प्रधानमन्त्रीले भने,उसले सार्वभौमसत्ता भौगोलिक अखण्डतालाई खुलेआम सम्मान गरेको छ । आफू धेरै विकसित नहुँदा पनि शैक्षिक संस्था, बाटो आदि निर्माणमा सहयोग गरेको छ ।चीन विश्वमै सबल राष्ट्र भएको र उसको प्रभाव विश्वस्तरमा रहेकोले उसको छिमेकी हुनुको नाताले त्यसको फाइदा नेपालले उठाउन सक्नुपर्ने प्रधानमन्त्रीको भनाइ छ । चीन र भारतको बजारलाई नेपालले उपयोग गर्न सकेमा नेपालको विकासले तीब्रता पाउने प्रधानमन्त्रीको दावी छ । प्रधानमन्त्री ओलीले भने, चीन एउटा सुदृढ अर्थतन्त्र, ठूलो जनसंख्या, ठूलो भूभाग र ठूलो सहयोगको भावना भएको सबल राष्ट्र हो, चीनसँग हाम्रा विभिन्न प्रकारका धार्मिक, सामाजिक सम्बन्ध छ, सन् १९५५ मा कूटनीतिक सम्बन्ध स्थापना भएको नेपाल र चीनबीचको सम्बन्ध सुमधुर र मित्रवत रहिआएको छ । चीन विश्वमै सबल राष्ट्र भएको र उसको प्रभाव विश्वस्तरमा रहेकोले उसको छिमेकी हुनुको नाताले त्यसको फाइदा नेपालले उठाउन सक्नुपर्ने प्रधानमन्त्रीको भनाई छ । चीन र भारतको बजारलाई नेपालले उपयोग गर्न सकेमा नेपालको विकासले तीब्रता पाउने प्रधानमन्त्रीको दावी छ । प्रधानमन्त्रीको हैसियतमा आफूले पहिलोपटक गरेको चीन भ्रमणका बेला भएका सम्झौतालाई कार्यान्वयन गर्नु आफ्नो प्रमुख प्राथमिकता भएको उनले बताए ।"
"विश्वकप : ट्युनिसियामाथि इङ्ल्याण्डको कठीन जित","काठमडौं : फिफा विश्वकपको समूह जी अन्तरगत इङ्ल्याण्ड र ट्युनिसिया बीचको खेलमा इङ्ल्याण्डले कठीन जित निकालेको छ । उपाधि दावेदार मानिएको एक पटकको विश्व विजेता इङ्ल्याण्डले अफ्रिकन टोली ट्युनिसियामाथि २१ को जित हात पारेको हो । इङ्ल्याण्डको जितका लागि दुवै गोल ह्यारी केनले गरे । ह्यारीले ११ औं मिनेटमा गोल गरी इङ्ल्याण्डलाई सुरुवाती अग्रता दिलाएका थिए । ट्युनिसियाले पेनाल्टीको अवसर पाएपछि ३५ औं मिनेटमा फरजानी सासीले गोल गरी खेल बराबरी गरे । खेलको अन्तिमसम्म ११ को बराबरी रहेकोमा ९० मिनेटपछिको अतिरिक्त समयमा टोलीका कप्तानसमेत रहेका ह्यारी केनले व्यक्तिगत दोस्रो गोली गरी इङ्ल्याण्डलाई जितसहित ३ अंक दिलाउन सफल भए । जितपछि समूह चरण पार गरी अघि बढ्न इङ्ल्याण्डका लागि सहज भएको छ ।"
"अब नेपालले जापानमा साताको १४ उडान गर्न पाउने","काठमाडौं : नेपालले जापानको हानेडा विमानस्थल बाहेक सबै विमानस्थलमा उडान गर्न पाउने सम्झौता भएको छ । जापानमा दुईपक्षिय वार्तामा जापान सरकारले सातामा १४ वटा उडान गर्न पाउने गरी नेपाली वायुयानहरुलाई उडान अनुमति दिने सहमति भएको संस्कृति, पर्यटन तथा नागरिक उड्ययन मन्त्रालयका उपसचिव प्रमोद नेपालले जानकारी दिए ।"
