"शीर्षक","विवरण"
"बुगी वुगीबाट बाहिरिए सागर मगर","काठमाडौँ: डान्स रियालिटी सो 'बुगी वुगी' बाट सागर मगर बाहिरिएका छन् । बुगी वुगीका टप आठसम्म आइपुगेका उनी त्यहीँबाट बाहिरिएका हुन् । शुक्रबार प्रसारित कार्यक्रमबाट सागर बाहिरिएका हुन् । बुगी वुगीमा ५० प्रतिशत निर्णायकको मार्क र ५० प्रतिशत दर्शकको भोटबाट डान्स रियालिटी शो मा सुरक्षित रहने या बाहिरिने प्रतिस्पर्धीको टुंगो लगाइन्छ । सागर बाहिरिएपछि अब टप सेभेनको प्रतिस्पर्धामा कबिता नेपाली, मिलन तामाङ, प्रगति पुन, प्रतिस्ठा पौडेल, रविन भुजेल, सरोज मोक्तान र सृष्टि महर्जन रहेका छन् । यी टप सेभेन प्रतिस्पर्धीका लागि भोटिङ खुल्ला गरिसकिएको एपी वान टेलिभिजनले जनाएको छ । बिहीबार ८ बजेदेखि शुक्रबार मध्यान्ह १२ बजेसम्मका लागि भोट गर्ने समयावधि तोकिएको छ ।"
"चीनससँगका सम्झौता कार्यान्वयनमा तिब्बतले सघाउने","ल्हासा: चीन भ्रमणमा रहेका प्रधानमन्त्री केपी शर्मा ओली र तिब्बत सरकारका अध्यक्ष छिटालाबीच आज भेटवार्ता भएको छ । नेपाली प्रतिनिमण्डल र तिब्बत सरकारका अध्यक्षबीच इन्टरकन्टिनेन्टल कन्फेरेन्स सेन्टरमा आज भएको भेटवार्तामा प्रधानमन्त्री ओलीले नेपालसँग सीमा जोडिएको चीनको स्वशासित क्षेत्र तिब्बतसँगको सम्बन्ध अझ विशेष रहेको बताउँदै आगामी दिनमा नयाँ आधारमा सम्बन्धलाई अघि बढाउनुपर्ने जोड दिए । प्रधानमन्त्री ओलीले राष्ट्रपति सि चीन फिङ र प्रधानमन्त्री लि खछ्याङसँग भएको भेटवार्ता र सहमतिका आधारमा नेपाल र चीनबीचको सम्बन्ध थप नयाँ उचाइमा पुगेको र तिब्बत सरकारसँगको सम्बन्धसमेत थप प्रगाढ बनेकामा खुशी व्यक्त गरेका थिए । ऐतिहासिक कालदेखि नै नेपाल तिब्बत सम्बन्ध रहेको भन्दै बदलिँदो अवस्थामा त्यसलाई अझ फराकिलो र मैत्रीपूर्ण बनाउँदै सहयोगका विविध आयाममा समेत एक अर्का पक्षले जोड दिँदै कार्यान्वयनमा लैजान उनले आग्रह गरे । तिब्बत सरकारका अध्यक्ष छिटालाले नेपाल र तिब्बतबीचको सम्बन्ध आगामी दिनमा अझ समृद्ध बन्ने विश्वास व्यक्त गर्नुभएको थियो । तिब्बत सरकारका तर्फबाट नेपाललाई सधैँ सहयोग रहनेछ भन्दै छिटालाले आपसी हित र चासोका विषयलाई सम्बोधन गर्दै जाने विश्वास दिलाएका थिए । सो अवसरमा चीनको एक क्षेत्र, एक मार्गलाई सघन कार्यान्वयनका लागि हिमाली सीमापार बहुआयामिक सम्पर्क सञ्जालको कार्य ढाँचाअन्तर्गत सडक, रेल, हवाई र सञ्चार सम्पर्कलाई व्यापक बनाउन दुई देश सहमत भएको विषय संयुक्त वक्तव्यमा समेत आएको छ भन्दै प्रधानमन्त्री ओली र अध्यक्ष छिटालाले कार्यान्वयनका लागि दुवै पक्ष मिलेर अगाडि बढ्न सहमत भएका छन् । यस्तै अन्तरदेशीय प्रसारण लाइन, तिब्बती राजमार्ग प्रयोगका विषयमा प्रधानमन्त्री तहमा भएको सहमति तथा पर्यटन प्रवद्र्धन, सीमा व्यवस्थापन तथा नेपालीलाई तिब्बत सरकारले दिएको सुविधा तथा अन्य विषयमा समेत सो अवसरमा छलफल भएको थियो । प्रधानमन्त्री ओली र नेपाली प्रतिनिधिमण्डलको सम्मानमा अध्यक्ष छिटालाले आजै यहाँ रात्रिभोजको आयोजना गरे । रासस"
"""आइसल्यान्ड हार्दा अर्जेन्टिना खुसी","यसरी पुग्न सक्छ प्रीक्वार्टरमा"",""काठमाडौँः रसियामा जारी विश्वकप फुटबल प्रतियोगिता अन्गरगत समूह डी को खेलमा नाइजेरियाले आइसल्यान्डलाई हराएपछि अर्जेन्टिनाले केही राहत महसुुस गरेको छ । क्रोएसियासँग नराम्ररी पराजित भएको अर्जेन्टिना अन्तिम १६ मा जाने अंकगणितीय हिसाबमा निर्भर थियो । यस्तोमा एक अंक रहेको आइसल्यान्डले अंकबिहीन नाइजेरियालाई हराएको भए अर्जेन्टिनाको अन्तिम १६ को यात्रा करिब बन्द हुन्थ्यो । आइसल्यान्डले खेलको ८३ औँ मिनेटमा पाएको पेनाल्टीलाई पोस्ट भन्दा माथि प्रहार गरेर गिल्फी सिगुर्डसनले खेर फाले । त्यसपछि दुवै पक्षबाट गोल हुन नसक्दा नाइजेरिया विजयी भयो । यस्तो अवस्थामा नाइजेरियाको जितले अर्जेन्टिना खुसी भएको छ । तर दुवै अब मंगलबार आमनेसामने हुँदैछन् । समूह डी मै रहेका क्रोएसिया र आइसल्यान्ड पनि त्यही दिन भिड्दैछन् । यस्तो अवस्थामा अर्जेन्टिनाले नाइजेरियालाई हराउन सके तथा समूह विजेता बनिसकेको क्रोएसियाले आइसल्यान्डलाई पनि हराएको अवस्थामा अर्जेन्टिनाले संघर्षपूर्ण यात्राबाट प्रीक्वार्टरफाइनलको टिकट काट्नेछ । समूह डीमा दुई खेल जित्दै क्रोएसिया ६ अंकसहित शीर्ष स्थानमा छ र उसले अन्तिम १६ को स्थान पक्का गरिसकेको छ । समान २ अंक खेलेर एक बराबरी तथा एक एक खेल गुमाएका अर्जेन्टिना र आइसल्यान्डको एकएक अंक छ । अर्कातिर आजको खेलमा आइसल्यान्डलाई पराजित गरेको नाइजेरिया भने एकमा जित र एकमा हार ब्यहोर्दै तीन अंकसहित समूहको दोस्रो स्थानमा छ । आइसल्याण्डसामू मेसी निरिह : अर्जेन्टिना बराबरीमा रोकियो अर्जेन्टिनाको प्रदर्शनमाथि म्याराडोनाको यस्तो टिप्पणी अर्जेन्टिनाको लज्जास्पद हार, क्रोएसिया अन्तिम १६ मा खेल्न नजानेर होइन, खेल्न नसकेर हार्यो अर्जेन्टिना अर्जेन्टिनाले हारेपछि समर्थक युवा आत्माहत्या गर्न झुन्डिए मुसाको दुई गोलमा नाइजेरिया विजयी, अन्तिम भिडन्त अर्जेन्टिनासँग"""
"आफैँलाई गोली हान्न लगाएका श्री निवासाचार्य ५ हजार धरौटीमा रिहा","विराटनगर: आफैँलाई गोली हान्न लगाएको अभियोगमा थुनामा रहेका हिन्दु धर्मगुरु श्री निवासाचार्यलाई मोरङ जिल्ला अदालतले शुक्रबार धरौटीमा रिहा गरेको छ । निवासाचार्याले हिन्दु धर्मको बचाउका लागि भन्दै आफैँले आफैँलाई गोली हान्न लगाएको प्रहरीको अनुसन्धानबाट खुलेको थियो । गत चैत २५ गते राति उनीमाथि विराटनगरमा गोली हानिएको थियो । श्रीनिवासाचार्यमाथि वैशाख ३० गते ज्यान मार्ने उद्योगमा मुद्दा चलाएपछि थुनामा पठाइएको थियो । श्री निवासाचार्य भन्छन्ः आरोप लागिसक्यो, अदालतको निर्णय स्वीकार्छु श्रीनिवास गोली काण्ड : अनुसन्धानका लागि मोरङ प्रहरी प्रमुखलाई अभिनन्दन भक्तबहादुर हवल्दार साबः जसले आचार्य श्रीनिवासको पोल खोले धर्मगुरु आचार्य श्रीनिवास जेल चलान श्रीनिवास आचार्य कारागार चलान"
"संसद्को संयुक्त बैठक र संयुक्त समिति नियमावली पारित","काठमाडौं : संघीय संसद्को शुक्रबारको संयुक्त बैठकले संघीय संसद्को संयुक्त बैठक र संयुक्त समिति (कार्यसञ्चालन) नियमावली, २०७५ पारित गरेको छ । राष्ट्रियसभा र प्रतिनिधिसभाको शुक्रबार भएको संयुक्त बैठकले उक्त नियमावली बहुमतले पारित गरेको हो । बैठकमा समितिका सभापति कृष्णभक्त पोखरेलले संघीय संसद्को संयुक्त बैठक र संयुक्त समिति (कार्यसञ्चालन) नियमावली, २०७५ लाई पारित गरियोस् भनी प्रस्ताव प्रस्तुत गरेका थिए । यसअघि नियमावलीको मस्यौदा प्रतिवेदनमाथिको दफावार छलफलमा उठेका प्रश्नको जवाफ दिँदै सभापति पोखरेलले विगतका अनुभवलाई पनि अध्ययन गरेर संयुक्त नियमावलीमा गणपूरक संख्या राखिएको स्पष्ट पारे । संवैधानिक व्यवस्थानुसार संयुक्त समितिमा सदस्य संख्या राखिएको जानकारी दिँदै उनले संयुक्त समितिमा महिला र समावेशिताको सहभागिता सुनिश्चितता गरिने बताए । नियमावलीको मस्यौदा प्रतिवेदनमाथिको दफावार छलफलमा भाग लिँदै सांसद पुष्पा भुसालले संयुक्त नियमावलीमा सदनका काम कारवाहीमा जनताको संलग्नता र अपनत्व देखाउने प्रक्रियाको थालनी भएकामा प्रशंसा गर्दै समावेशी प्रतिनिधित्वको व्यवस्था सुनिश्चित गर्नुपर्ने सुझाव दिएकी छन् । उनले संयुक्त नियमावलीमार्फत राज्यका निर्देशक सिद्धान्तमा भएका जनताका अधिकार कार्यान्वयनका लागि सरकारमार्फत सदनमा प्रस्तुत गर्न सक्ने अधिकार क्षेत्र अब संसद्को काँधमा आउनु महत्वपूर्ण भएको बताइन् । संशोधन प्रस्तावकर्ता विमला विकले दफावार छलफलमा भाग लिँदै संयुक्त समितिको कुल सदस्य संख्याको ३३ प्रतिशत महिलाको सहभागिता र समावेशिता सुनिश्चित गर्न माग गरेकी छन् । संशोधन प्रस्ताव सम्बोधन भएको जनाउँदै उनले प्रस्ताव फिर्ता लिइन् । अर्का संशोधन प्रस्तावकर्ता प्रेम सुवालले संयुक्त समितिलाई सहभागितामूलक बनाउन ५१ प्रतिशतको सट्टा तीन चौथाइ संख्यालाई गणपूरक बनाउन सुझाव दिए । बैठकले सुवाल र दुर्गा पौडेलले नियमावलीमाथि पेश गरेको संशोधनको प्रस्ताव बहुमतले अस्वीकृत गरेको थियो । संघीय संसद्को आगामी बैठक अर्को सूचना नभएसम्मका लागि स्थगन गरिएको छ । रासस"
"""काश्मिरमा भिडन्त","सुरक्षाकर्मीसहित ६ जना मारिए"",""श्रीनगर, काश्मीर: भारत नियन्त्रित काश्मीरमा भएको गोली हानाहानमा परी शुक्रबार कम्तीमा ६ जना मारिएका छन् । मारिनेमा चार जना लडाकू, एक जना प्रहरी र एकजना आमनागरिक रहेको प्रहरी अधिकारीहरुले जानकारी दिएका छन् । लडाकू र सरकारी सुरक्षाकर्मीका बीचमा भएको झडपका क्रममा अरू कैयौँ व्यक्ति घाइते भएका छन् । श्रीनगरदेखि ५९ किलोमिटर टाढा पर्ने श्रीगुफ्वाराको न्युशेरा भन्ने ठाँउमा घटना भएको अधिकरीहरुले बताएका छन् । स्थानीय एक वरिष्ठ प्रहरी अधिकृतले प्रहरीतर्फ पनि एक जनाको मृत्यु भएको पुष्टी गर्दै आम नागरिक एक जना र चार जना लडाकू मारिएको जानकारी दिए । सिन्ह्वा"""
"बुद्ध एयरले नेपालगञ्जदिल्ली उडान थाल्ने","काठमाडौँ: बुद्ध एयरले नेपालगञ्ज विमानस्थलबाट भारतको नयाँ दिल्ली उडान सञ्चालनका लागि संस्कृति, पर्यटन तथा नागरिक उड्डयनमन्त्री रवीन्दप्रसाद अधिकारीसमक्ष निवेदन बुझाएको छ । बुद्ध एयरले एटिआर ७२ विमानद्वारा दैनिक तीन उडान (बिहान ६:३०, दिउँसो १:०० र साँझ ५:१० बजे) नयाँ दिल्लीस्थित इन्दिरा गान्धी अन्तर्राष्ट्रिय विमानस्थलका लागि अनुमति मागेको हो । मन्त्रालयबाट अनुमति पाएलगत्तै भारतीय विमानपत्तन प्राधिकरणसमक्ष पनि निवेदनका लागि तुरुन्तै प्रक्रिया थाल्ने बुद्ध एयरद्वारा जारी विज्ञप्तिमा जनाइएको छ । बुद्ध एयरका पदाधिकारीसँगको भेटमा मन्त्री अधिकारीले बुद्ध एयरको त्यस घोषणाप्रति आफू निकै सकारात्मक रहेको बताएका थिए । उनले त्यसैअनुरुप नेपालगञ्ज विमानस्थललाई क्षेत्रीय अन्तर्राष्ट्रिय विमानस्थल घोषणालगायत आवश्यक पूर्वाधार अध्यागमनर भन्सार छ महिनाभित्र निर्माण गरिसक्ने विश्वास दिलाएका थिए । नेपाल नागरिक उड्डयन प्राधिकरण र भारतीय विमानपत्तन प्राधिकरणवीच हालै सम्पन्न उडान सहमतिले हवाईमार्ग एल ६२६ लाई दुईतर्फी मार्गमा रुपमा स्थापित गरेको छ । त्यस सहमतिले टर्बोप्रप एटिआर विमानबाट नेपालगञ्जदेखि नयाँदिल्लीको हवाई उडान करीब एक घण्टा १० मिनेटमा भर्न सकिने छ । नेपालगञ्जबाट सीधा नयाँ दिल्ली हवाई उडान सञ्चालनमा आउँदा प्रदेश नं ५, ६ र ७ को आर्थिक समृद्धिमा कायापलट गर्न कोशेढुंगा सावित हुने विश्वास लिइएको छ । यसले प्रदेश नं ५ को बर्दिया तथा शुक्लाफाँटा आरक्ष, प्रदेश नं ६ को राराताल, प्यूठानको स्वर्गद्वारी तथा डोटीको खप्तडलगायत क्षेत्रको पर्यटन प्रवर्द्धन हुनेछ । नेपालगञ्जनयाँ दिल्लीनेपालगञ्ज अन्तरसीमा उडान यथाशीघ्र सञ्चालन गर्न प्रतिबद्ध बुद्ध एयरले दैनिक नेपालगञ्जपोखरानेपालगञ्जको पनि उडान सञ्चालनको तयारी गर्नेछ । नेपालगञ्जबाट नयाँ दिल्लीको उडान जति चाँडो सञ्चालन हुन्छ त्यति नै चाँडो निर्माणाधीन पोखरा क्षेत्रीय अन्तर्राष्ट्रिय विमानस्थलबाट जेट विमानमार्फत अन्तर्राष्ट्रिय उडान भर्ने योजना बुद्ध एयरले बनाएको छ । रासस"
"साउदी अरेबियाका महिलाले आइतबारबाट सवारी चलाउन पाउने","रियाद: साउदी अरेबियाका महिलाले आफै सवारी साधन हाँक्न पाउने भएका छन् । उनीहरुलाई आइतबारबाट सवारी चलाउन पाउने अनुमति दिइएको छ । लामो प्रतीक्षापछि साउदी अरेबियाका राजा सलमानले पहिलो पटक महिलालाई गाडी चलाउन दिने एउटा आदेश जारी गरेका हुन् । महिलाले पनि सवारी साधन आफै हाँक्न पाउने नियम सन् २०१८ को जुन महिनादेखि लागू हुनेगरी राजाको आदेश आएको त्यहाँको सरकारी समाचार संस्थाले यसअघि नै जनाएको थियो । साउदी प्रेस एजेन्सीका अनुसार मन्त्रालयहरुले त्यससम्बन्धी कार्यको प्रतिवेदन तयार पारेर राजालाई दिएका र अब यही आइतबारबाट नै उनीहरुले यस्तो अधिकार पाएका जनाएको छ । महिलालाई पनि गाडी चलाउने अनुमति दिनुपर्ने माग गर्दै महिला तथा अधिकारवादी संस्थाहरुले लामो समयदेखि अभियान चलाउँदै आएका थिए । विश्वमा साउदी अरेबिया मात्र एक मुलुक हो जहाँ महिलाले गाडी चलाउने अनुमति पाएका थिएनन् । अब उनीहरुले यो अधिकार प्राप्त गरेका साउदी सरकारले जनाएको छ । साउदीको विद्यमान कानून अनुसार त्यहाँ पुरुषले मात्र सवारी चालक अनुमतिपत्र पाउने गरेका थिए । सो कानूनमा संशोधन गरी राजाले नै आदेश दिएपछि महिलाले यो अधिकार प्राप्त गरेका हुन् । यसअघि पनि लुकिछिपी महिलाले गाडी चलाउने गरेको भए पनि सरकारी नीतिको अवज्ञा गरेको आरोपमा महिलाहरुमाथि कडा जरिवाना गरिन्थ्यो । कतिपयले जेल सजायँ नै भोग्नुपरेको पनि बताइएको थियो । केही महिनाअघि सरकारले यो नीति बनाएर जुनदेखि सवारी आफै हाँक्न दिने बताएको थियो । त्यो नीतिको घोषणा भएपछि यहाँ महिलाका लागि सवारी चालकसम्बन्धी तालिम र सवारी चालक अनुमति पत्र दिने प्रक्रियाको सुुरुवात भएको थियो । कैयौँ महिलाले सवारी चालनसम्बन्धी तालिम लिएका र सवारी चालक अनुमतिपत्र लिएका समाचारमा जनाइएको छ । अधिकारीहरुले आइतबार महिलाले सवारी चलाउने कार्यको सुरुआत एक विशेष कार्यक्रममार्फत गरिने जनाएका छन् । संयुक्त राज्य अमेरिकालगायत विश्वका देशहरुले महिलालाई पनि गाडी चलाउन दिने साउदी राजाको आदेशको स्वागत गरेका छन् । उनीहरुले साउदी सरकारको यस कदमलाई मानवअधिकारको पक्षमा एउटा महत्ववपूर्ण कदम भनेका छन् । एजेन्सी"
"""भवानी राणाको फर्चुनाले चीनबाट ५ अर्ब लगानी भित्र्याउँदै","समझदारीमा हस्ताक्षर"",""काठमाडौँ: नेपालस्थित फर्चुना इन्भेष्टमेन्ट प्रालि र चीनको ग्वीझाउ मेरीटाइन्म्स सिल्करोड इन्टरनेशनल इन्भेष्टमेन्ट कर्पोरेशनबीच लगानी समझदारीमा हस्ताक्षर भएको छ । प्रधानमन्त्री केपी शर्मा ओलीको चीन भ्रमणदलमा रहेका नेपाल उद्योग बाणिज्य महासंघकी अध्यक्ष भवानी राणाले चीनको इन्भेष्टमेन्ट कम्पनी ग्वीझाउमार्फत नेपालमा लगानी भित्र्याउन बेइजिङस्थित नेपाली दूतावासमा उक्त समझदारी गरेकी हुन् । समझदारीअनुसार राणाको कम्पनी फर्चुनाले चीनको ग्वीझाउबाट ४६ मिलियन डलर अर्थात करिब पौने ५ अर्ब रुपैयाँ नेपालमा वैदेशिक लगानी भित्र्याउनेछ । उक्त सम्झौतामा फर्चुनाका अध्यक्ष राणा र चिनियाँ कम्पनी ग्वीझाउका प्रमुख कार्यकारी अधिकृत (सीईओ) झाङ झाउले हस्ताक्षर गरे । सम्झौताअनुसार सो लगानी नेपालको कृषि, पर्यटन, पूर्वाधार र वैदेशिक व्यापारमा गरिने फर्चुना इन्भेष्टमेन्ट प्रालिका निर्देशक प्रवलजंग पाण्डेले जानकारी दिए । विशेषगरी उच्च पहाडी भूभागमा कृषिजन्य वस्तुको उपलब्धता, आधुनिकिकरण एवं यान्त्रिकरण गरी कृषिजन्य वस्तुको उत्पादन र प्रोसेसिङमार्फत गुणस्तरीय कृषिजन्य वस्तुको चीनतर्फ निर्यातमा सो लगानी भित्र्याइन लागिएको बताइएको छ । यसैगरी पूर्वाधार अन्तर्गत ट्रान्समिसनलाईन विस्तार, सोलार पावर, स्मार्टसिटी र हाइवे क्षेत्रको विकास र विस्तारमाजस्ता क्षेत्रमा लगानी गरिनेछ । सम्झौता अनुरुप पर्यटन क्षेत्रको विकास र विस्तारसँगै होटल तथा रिसोर्ट संचालनका लागि पनि त्यस लगानी प्रयोगमा ल्याइने निर्देशक पाण्डेले बताए ।"""
"अर्जेन्टिनाले हारेपछि समर्थक युवा आत्माहत्या गर्न झुन्डिए","फिदिमः रसियामा जारी विश्वकप फुटबल प्रतियोगितामा अर्जेन्टिनाले राम्रो खेल्न नसकेपछि पाँचथरका एक युवकले आत्महत्याको प्रयास गरेका छन् । अर्जेन्टिनाका समर्थक रहेका याङवरक गाँउपालिका५ का २० वर्षीय रामकुमार तावाले आत्महत्या प्रयास गरेका हुन् । गएरातिको खेलमा क्रोएसियासँग ३० गोल अन्तरले अर्जेन्टिना हारेपछि भावुक बनेका दाजुले आत्महत्याको प्रयास गरेको उनका भाइ लक्ष्मणले जानकारी दिए । फुटबललाई निकै माया गर्ने दाजुसँगै पक्षविपक्षको समर्थक भएर फुटल हेर्दा अर्जेन्टिना हारेपछि दाजु निकै पटपटिएको लक्ष्मणको भनाइ छ । अर्जेन्टिना हारेपछि दाजु निकै छटपटिएका थिए, लक्ष्मणले भने राति नै पटक पटक आत्महत्या प्रयास गरेका दाजुले दिउँसो कोही नभएको मौकामा घाँटीमा डोरी कस्नु भएछ । दिउँसो तीन बजे घरको तलामा चढेर घाँटीमा डोरी लागाएर झुण्डिएको अवस्थामा परिवाका सदस्यले रामकुमारलाई उद्दार गरेका थिए । पाँचथर अस्पतालमा उपचार असम्भव भएपछि थप उपचारका लागि रामकुमारलाई झापा लगिएको पाँचथर प्रहरीले जनाएको छ । घटनाको थप अनुसन्धान भइरहेको प्रहरीले जानकारी दिएको छ । रामकुमार गाँउमा फुटबल खेलका निकै जानकार युवकमा गनिने स्थानीयले बताएका छन् ।"
