"शीर्षक","विवरण"
"""मुटुरोगी बढ्दै","रोकथाम भने सुस्त"",""काठमाडौं : गाउँमा पोस्ट मार्टम गर्ने डाक्टर छैनन् । किन चाहियो मुटु अस्पताल ? , १८ वर्षअघि सहिद गंगालाल राष्ट्रिय हृदय केन्द्रमा आयोजित कार्यक्रममा तत्कालीन स्वास्थ्य मन्त्रीको यो प्रश्न सुनेर चिकित्सकहरू छक्क परे । यस्तो प्रश्न अब सुन्न नपर्ने वरिष्ठ मुटुशल्य चिकित्सक डा भगवान् कोइराला बताउँछन् । कारण मुटुरोगका बिरामी बढ्दै छन् । गत वर्ष गंगालाल केन्द्रमा एक लाख ५२ हजार बिरामीले बहिरंग सेवामार्फत मुटु परीक्षण गराएका थिए । एक हजार ७ सय ८२ जनाको मुटु शल्यक्रिया गरिएको छ । झण्डै साढे १३ हजार बिरामीले भर्ना भएरै उपचार गराए । मनमोहन कार्डियोथोरासिक भास्कुलर तथा ट्रान्सप्लान्ट सेन्टरमा पनि मुटुरोगसँग सम्बन्धित बिरामीको घुइँचो छ । सेन्टरमा नयाँ र पुराना गरी २१ हजारभन्दा बढी मुटुरोगीले उपचार गराए । यस्तै अवस्था वीर अस्पतालमा पनि छ । त्यहाँ पनि नयाँ र पुराना गरी १० हजारभन्दा बढी बिरामीले उपचार सेवा लिए । नेपालमा कुल जनसंख्याको १० प्रतिशत मुटुका बिरामी भएको अनुमान छ । विश्वभर प्रत्येक वर्ष मुटु तथा रक्तनलीजन्य रोगको कारण मात्रै एक करोड ७५ लाख व्यक्तिको ज्यान जाने गरेको विश्व मुटु संगठनको तथ्यांकले देखाएको छ । क्यान्सर, दम र मधुमेहभन्दा खतरनाक मानिन्छ यस रोगलाई । हाम्रो प्रण ः स्वस्थ मुटु भन्ने नाराका साथ शनिबार आयोजित विश्व मुटु दिवसमा मुटुरोग विशेषज्ञले मुटुरोग न्यूनीकरणका लागि एकीकृत ढंगले रोकथामको कार्यक्रम ल्याउनुपर्ने बताए । गंगालाल राष्ट्रिय हृदय केन्द्रका कार्यकारी निर्देशक डा ज्योतिन्द्र शर्माले सरकारले जनचेतना फैलाउनेलगायत रोकथाम कार्यक्रममा जोड दिनुपर्ने बताए । स्वास्थ्य तथा जनसंख्या राज्यमन्त्री डा सुरेन्द्रकुमार यादवसामु उनले भने, रोकथामको नीति बनाउने र कार्यक्रम गर्छौं भनी प्रण गर्नुपर्छ । नेपाल हार्ट फाउन्डेसनलगायत झण्डै दुई दर्जन स्वास्थ्य संस्थाले मुटुरोगका सम्बन्धमा प्रचारात्मक अभियान गरिरहेका छन् । तर, ती अभियान अपर्याप्त भएको मुटुरोग विशेषज्ञहरू बताउँछन् । हामीले जति गरेका छौं, त्यो अपुग छ । प्रचार र उपचार सेवा विस्तार गर्ने प्रण आज गर्छु । कार्यकारी निर्देशक डा शर्माले प्रतिबद्धता व्यक्त गरे । स्वस्थ जीवन बिताउँछु भन्दै सबैलाई प्रण गर्न उनले आग्रह गरे । हृदय केन्द्रका पूर्वकार्यकारी निर्देशक डा कोइरालाले पनि मुटुका बिरामी बढ्दै गएकोमा चिन्ता व्यक्त गरे । उनले भने, जनतालाई मात्र चेतना दिएर हुँदैन । मुटुलगायत नसर्ने अन्य रोगबारे पनि नीतिनिर्माण तहमा वकालत गर्नुपर्ने बेला भइसकेको छ । छिन्नभिन्न भएर होइन कि एकीकृत रूपमा पहल गर्नुपर्छ । नेपालमा हुने मृत्युमध्ये दुईतिहाई मुटुलगायत नसर्ने रोगबाट हुने गरेको छ । जनताको घरदैलोमा सेवा पुर्याउने, विज्ञान र प्रमाणमा आधारित नयाँ स्वास्थ्य नीति तर्जुमा गर्नुपर्ने खाँचो डा कोइरालाले औंल्याए । वरिष्ठ मुटुरोग विशेषज्ञ डा दिवाकर शर्माले केही संस्था, चिकित्सकले मात्र रोकथामका उपाय सुनाएर समस्या समाधान नहुने बताए । मुटुरोगबाट बच्न बचाउन प्रण गरेर मात्र हुँदैन । प्रयाससमेत गर्नुपर्छ । पर्याप्त दक्ष जनशक्ति उत्पादनका लागि गंगालाल हृदय केन्द्रलाई प्रतिष्ठान बनाउनुपर्छ । उनले माग गरे । मुटुका बिरामीलाई सेवा दिइरहेको नर्भिक र ग्रान्डी अन्तर्राष्ट्रिय अस्पतालका मुटुरोग विशेषज्ञहरूले पनि रोकथाममा जोड दिए । नर्भिक अस्पतालका वरिष्ठ मुटुरोग विशेषज्ञ डा यादवदेव भट्टले भने, चिकित्सकले बिरामीसँग आत्मीय सम्बन्धको विकास गर्नुपर्छ । बिरामीको तनाव घटाउन सक्नुपर्छ । वरिष्ठ मुटुरोग विशेषज्ञ डा जयप्रकाश जैसवालले मुटु बिरामीले नियमित औषधि सेवन तथा समयमै उपचार गराउनुपर्ने सुझाव दिए । त्यस्तै ग्रान्डी अस्पतालका वरिष्ठ मुटुरोग विशेषज्ञ डा ओममूर्ति अनिलले सरकारले निजी क्षेत्रसँग समन्वय गरी मुटुरोगको रोकथाममा लाग्नुपर्ने बताए । डा सुरेन्द्रकुमारले भने, स्वदेशमै स्तरीय उपचार छ । नेतालगायत विशिष्ट व्यक्तिले सरकारी खर्चमा उपचार गराउन पाउने छैनन् । अब स्वास्थ्य क्षेत्रमा बजेट बढाउनुपर्छ ।"""
"दीपक हेमकार परिवारका पाँचजनाको ससुराबाटै हत्या !","नेपालगन्ज : नेपालगन्जको सदरलाइनमा १४ वर्ष अघि न्यू दीप ज्वेलर्सका सञ्चालक दीपक हेमकारसहित पाँचजनाको हत्या उनकै ससुराबाट भएको प्रहरी अनुसन्धानबाट रहस्य खुलेको छ । हत्यामा परिवारकै सदस्यको संलग्नता रहेको आशंका गर्दै आएको प्रहरीले शनिबार जमुनाहाबाट हत्याकाण्डका मुख्य योजनाकार किशोरीलाल सोनीलाई पक्राउ गर्न सफल भएपछि घटनाको १४ वर्षपछि प्रहरीले आशंकालाई सत्य साबित गरेको हो । भारतको उत्तर प्रदेश सीतापुर जिल्ला विसवाँ बजार घर भइ हाल लखनउको सीतापुरस्थित प्रियदर्शनी कालोनीरोडमा बस्दै आएका अभियुक्त सोनी दीपक हेमकारका आफ्नै ससुरा हुन् । जमुनाहा नाकाबाट नेपाल प्रवेश गरेको सूचनाका आधारमा शनिबार बिहान ८ बजे सोनीलाई प्रहरीले पक्राउ गरेको हो । घटनाको तीन महिनाभित्रै दीपक पत्नी दीपाले जग्गा बेच्नु र ज्वेलर्स पसल बेचेर जानुले पनि हामीलाई शंका लागेको थियो, नेपाल प्रहरीको सिआइबीमा रहँदासमेत यो घटनाको अनुसन्धान गरेका बाँके प्रहरी प्रमुख एसपी अरुण पौडेलले आइतबार पत्रकार सम्मेलन गरी भने, प्रहरी अनुसन्धान जारी थियो । हामी मुख्य योजनाकारकै खोजीमा थियौं । पक्राउ गर्न सफल भयौं । यो प्रहरीका लागि ठूलो सफलता हो । घटनाका मुख्य योजनाकार पक्राउ परे पनि दीपक पत्नी दीपा लगायत शंकास्पद ब्यक्तिको प्रहरीले खोजी गरिरहेको छ । प्रहरीको प्रारम्भिक अनुसन्धानले आर्थिक कारोबार नै हत्याको मुख्य कारण भएको थाहा भएको छ । दीपक र उनका ससुरा दुबै सुनचाँदी व्यवसायी भएकाले विवाह लगत्तैदेखि कारोबारमा कुनै समस्या रहेको प्रहरीले जनाएको छ । २३ चैत २०६२ मा नेपालगन्ज ११ (साबिक वडा नं १५) को न्यू दीप ज्वेलर्सका सञ्चालक ३२ वर्षका दीपक हेमकार, उनकी ८२ वर्षीया हजुरआमा गुलावदेवी हेमकार, बावु ६२ वर्षीय जगदेव हेमकार, ४५ वर्षीया आमा सीतादेवी हेमकार र ज्वेलर्समा काम गर्ने साबिक खास कुश्मा१ कुसुमका १५ वर्षीय राम शनिश्चर चौधरीको हत्या भएको थियो । सुतेकै अवस्थामा धारिलो हतियार प्रयोग गरी घाँटी रेटेर रुद्रघण्टी काटेर सबै जनाको एकै प्रकृतिमा हत्या गरिएको थियो । अभियुक्त सोनी भारतमा पनि यसअघि नै व्यक्ति हत्यामा जेल सजाय भोगिसकेको प्रहरी अनुसन्धानबाट खुलेको छ । जिल्ला अदालत बाँकेबाट अनुसन्धानका लागि सात दिनको म्याद गरी अनुसन्धान जारी राखेको बाँके प्रहरीले जनाएको छ ।"
"निर्मला बलात्कारहत्या : डीएनए परीक्षण किन प्रहरी प्रयोगशालामा ?","काठमाडौं : गृहमन्त्री रामबहादुर थापा भन्छन्, प्रमाण लुकाउन प्रहरी नै संलग्न भयो । अनि प्रहरी आरोपीको डीएनए परीक्षण आफ्नै प्रयोगशालामा गर्छ । यसले आशंका थप बढाएको छ ।कानुनी भाषामा भनिन्छ, लास पनि बोल्छ । अर्थात् शवमा प्रमाणहरू लुकेका हुन्छन् । तर, प्रमाणहरू प्रहरी संरक्षणमा सुरूदेखि नै एकपछि अर्को गर्दै नष्ट गरिएका छन् । पछिल्लो डीएनए परीक्षण पनि राष्ट्रिय विधि विज्ञान प्रयोगशालामा गरिएन, प्रहरीकै विधि विज्ञान प्रयोगशालामा गरियो । निलम्बित एसपी डिल्लीराज विष्ट, उनका छोरा किरण विष्ट र अर्का स्थानीय आयुष विष्टको डीएनए नतिजा भने नेगेटिभ आएको छ । कञ्चनपुरकी १३ बर्से बालिका निर्मला पन्तको बलात्कारपछि हत्या प्रकरणमा प्रहरी प्रशासनमाथि नै प्रश्न उठेको हो । विकसित मुलुकले सही निर्णयमा पुग्न एकभन्दा बढी मान्यताप्राप्त प्रयोगशालामा डीएनए परीक्षण गराउँछन् । अधिवक्ता केदार दाहाल निर्मला बलात्कारपछि हत्या घटनामा प्रहरीको प्रयोगशालाभन्दा राष्ट्रिय विधि विज्ञान प्रयोगशालामा गरिने उपयुक्त भएको बताउँछन् । उनी भन्छन्, वातावरणीय प्रभावले पनि डीएनएको गुण कोल्याप्स हुन्छ । डीएनए संकलनका प्रक्रियामा चाहिने विशेष खालको बक्स छैन भन्ने सुनेको छु । प्रहरी नै मुछिएको घटनामा प्रहरीले स्वतन्त्र ढंगले गहिरोसँग परीक्षण गर्न सक्योसकेन भन्ने प्रश्न उठ्छ । अपराधिक घटनामा प्रहरीको संलग्नता हुन सक्ने सम्भावना रहेकाले अस्टेलियामा कानून मन्त्रालयअन्तर्गत विधि विज्ञान प्रयोगशाला राखिएको छ । प्रहरी नै मुछिएको मुद्दामा स्वतन्त्र हैसियतको विधि विज्ञान प्रयोगशालामा डीएनए परीक्षण गर्नुपर्ने दाहालले बताए । लाहाछाप हानेर ल्याएको हुन्छ । यस्तो पाइयो भनेर ल्याएको हुन्छ । डीएनए फिल्टर गर्ने उपकरण पनि नभएको र जस्तो ल्याएको हुन्छ त्यस्तै परीक्षण गर्नुपर्ने बाध्यता हो । डीएनए परीक्षण गर्ने एक वैज्ञानिकको भनाइ उद्धृत गर्दै अधिवक्ता दाहालले भने । संकलनमा त्रुटि हुन पुगेको अवस्थामा गुणस्तर कायम नहुने उनले बताए । त्रिभुवन विश्वविद्यालय, फोरेन्सिक मेडिसिन विभागका उपप्राध्यापक डा गोपालकुमार चौधरीका अनुसार बलात्कार मुद्दामा तीन तहको भेजाइनल स्वाब निकालिन्छ । केमिकल जाँच, माइक्रोस्कोपिक जाँच र डीएनए विश्लेषण हुन्छ । त्रिवि फोरेन्सिक मेडिसिन विभागका कानुनी चिकित्सकसमेत रहेका उपप्राध्यापक डा चौधरीले भने, डीएनए संकलनमा उच्च सावधानी र सतर्कता अपनाउनुपर्छ । बालिकाको भेजाइनल स्वाबको परीक्षण गर्दा शंकास्पद व्यक्तिसँग नमिलेपछि प्रहरीको अनुसन्धान र परीक्षणमा प्रश्न उठेको हो । अभियुक्तले कण्डम प्रयोग गरेको रहेछ भने डीएनए परिक्षणमा देखिने सम्भावना न्यून हुन्छ, डा चौधरीले भने । लिंगबाट आँखाले नेदेखिने कोष योनीमा परेको रहेछ भने पनि पत्ता लाग्न सक्छ । बलात्कारको बेला जोसुकैले पनि बचाउन कोशिश गर्छ । त्यो बेला पीडितले कोपरेको छ भने नङभित्र फोहोर वा छाला हुन सक्छ, त्यसलाई संकलन गर्ने हो भने अर्को डीएनए प्रोफाइल आउँछ, डा चौधरीले भने । कुनै अंगका कोषिकामा अर्कै प्रकारका डीएनए क्रियाशील हुन्छन् भने फरक अंगमा अर्कै डीएनए क्रियाशील हुन्छन् । साउन १० गते साथी रोशनी बमको घरमा होमवर्क गर्न गएकी निर्मलाको भोलिपल्ट शव फेला परेको थियो । घटनालगत्तै बमको घरको कोठामा रंगरोगन गरियो । घरमा घटना भएको थियो भने घरको भित्तामा रगतको छिटा वा टाटा हुन सक्थ्यो । त्यो टाटालाई कपासमा भिजाएर हावामा सुकाई डीएनए संकलन गर्न सकिन्थ्यो, नाम उल्लेख नगर्ने सर्तमा एक फरेन्सिक विज्ञले भने । घटनामा छिनाझपटीका बेला नङमा मासुको टुक्रा, वीर्य, योनी स्वाबलगायत प्रमाण संकलनमा गम्भीरता अपनाइएको छैन । प्रहरीले घटनास्थलको संरक्षण गरेन । पन्तले लगाएको सुरुवाल सुरक्षित गर्नुको साटो पानीमा डुबाउँदै धोइयो । टेक्निसियनले कसरी डीएनए संकलन गयो, त्यसमा भर पर्छ, डा चौधरीले भने । सर्वोच्च अदालतले डीएनए परीक्षण मात्रै प्रमाणका रूपमा ग्रहण गर्न अस्वीकार गरेको छ । खुमलटारस्थित विधि विज्ञान प्रयोगशालामा गरिएको डीएनए परीक्षणले बच्चाका बाबु पहिचान गर्नेसम्बन्धी मुुद्दामा प्रमाण ग्रहण गर्न अस्वीकार गरेको थियो । नेपालमा २००५ देखि डीएनए परीक्षण सुरु गरिएको थियो । अधिवक्ता दाहाल डीएनए परिक्षणपछिको प्रमाणलाई सर्वोच्च अदालतले समेत अस्वीकार गरेको बताउँछन् । भन्छन्, बुबा र सन्तानको पहिचानका लागि भएको डीएनए परीक्षणको सत्यतालाई अदालतले समेत अस्वीकार गरेको छ ।"
"""खुर्सिद अन्सारीको घरैमा गृहमन्त्री","परिवालाई दिए १० लाख रूपैयाँ"",""इनरुवा : केही दिन अगाडि अज्ञात समूहको गोली प्रहारबाट मृत्यु भएका सुनसरी हरिनगर गाउँपालिका२ रामनगर भुटाहाका खुर्सिद अन्सारीको परिवारलाई आज सरकारले १० लाख हस्तान्तरण गरेको छ । ११औँ दिनको पुण्य तिथिमा आज आयोजित श्रद्धाञ्जलिसभाका अवसरमा सरकारको तर्फबाट गृहमन्त्री रामबहादुर थापा खुर्सिदकै घर पुगेर उनका परिवारलाई रु १० लाखको चेक हस्तान्तरण गरे । अज्ञात समूहले गोली प्रहार गरी खुर्शिदको हत्या गरेको थियो । हत्या गरेका खुर्सिदलाई सरकारले शहीद घोषणा गर्दै र १० लाख क्षतिपूर्ति दिने निर्णय गरेको थियो । श्रद्धाञ्जलिसभालाई सम्बोधन गर्दै मन्त्री थापाले अपराधी जुनसुकै कुनामा लुकेर बसे पनि कानूनी कठघरामा ल्याउने दाबी गरे । अपराधी देशको कुनै कुनामा लुकेर बसे पनि खोजेर कानूनी कठघरामा उभ्याउने उनले प्रतिबद्धता जनाए । कार्यक्रममा प्रदेश नं १ का मुख्यमन्त्री शेरधन राई, कृषि तथा पशुपंक्षी विकास राज्यमन्त्री रामकुमारी चौधरी, प्रदेशसभाका उपसभामुख सरस्वती पोखरेल, प्रदेशमन्त्री उद्योग पर्यटन वन तथा वातावरणमन्त्री जगदीशप्रसाद कुसियत, प्रदेश सांसद ताहिर अन्सारी, हरिनगर गाउँपालिकाका अध्यक्ष गफार अन्सारी लगायतले हत्यारालाई कठघरामा ल्याउन सबैको सहयोग चाहिने बताए । रासस"""
"आइटिएफ४ मा भण्डारीको विजयी सुरुवात","पोखरा : पोखरामा जारी आइटिएफ४ अन्तर्राष्ट्रिय टेनिस प्रतियोगिता अन्तर्गत ३५ वर्षमाथिको एकलमा गत वर्षका च्याम्पियन कमल भण्डारीले विजयी सुरुवात गरेका छन् । भण्डारीले आइतबार भएको प्रतिस्पर्धामा भारतका अभिनास कुँवरलाई ६१, ६१ को सोझो सेटमा पराजित जर्दै विजयी सुरुवात गरेका हुन् । यस्तै गत वर्षका उपविजेता भारतका दिलिप मोहन्तिले पनि विजयी सुरुवात गरेका छन् । गत वर्ष मोहन्तिले भण्डारीसँग फाइनलमा पराजित हुँदै उपविजेतामा चित्त बुझाएका थिए । मोहन्तिले भारतकै अनिलनाथ कल्रालाई ६२, ६२ मा पराजित गर्दै दोश्रो चरणमा प्रवेश गरेका हुन् । यता नेदरल्याण्डका फ्राङ्क लाप्रेले पोखरा रंगशालामा जारी आइटिएफ सर्किट ४ टेनिस प्रतियोगितामा आफ्नो यात्रामा पूर्णविराम लगाएका छन् । ५५ वर्षमाथिको एकलमा नेपालका कृष्णराज घलेसँघको खेलमा रिटायर्ड हर्ट हुँदै उनले यस प्रतियोगिताबाट बिदा लिए । उनी रिटायर्ड हर्ट हुँदा स्कोरबोर्डमा दुबै खेलाडीको समान ६६ अंक लेखिएको थियो । लाप्रेले ५३ को अग्रता कायम गरेको खेल ९ पटक ड्युज र एडभाण्टेजमा पुग्दापनि उनले खेल आफ्नो पक्षमा पार्न सकेनन् । उनले पहिलो खेलमा नेपालका विष्णुप्रसाद गैह्रेलाई ६०, ६० को सहज सेटमा पराजित गरेका थिए । ३५ वर्षमाथिको अन्य खेलमा भारतका स्वरणदीप ढोंढीले पोखराका गोपीबहादुर भट्टराईलाई ६०, ६१ मा पराजित गरे । यस्तै ४५ वर्षमाथिको एकलमा प्रताप मोक्तानले विकास गुरुङ्गलाई ६४, ४६ र ६२ को कठिन सेटमा पराजित गरे । सोही उमेर समुहको अर्को खेलमा भारतका नारायण मूर्ती कोट्याला बेङकाटाले पोखराका अनुज बाँस्तोलालाई ६१, ६४ ले तथा अमृत कार्कीले माधब भण्डारीलाई ६२, ६३ ले पराजित गरे । ५५ वर्षमाथिको एकलमा पूर्व उपप्रधानमन्त्री समेत रहेका कमल थापाले आफ्नो विजयी यात्रालाई जारी राखे । थापाले भारतका अरुण अग्रवाललाई ६१ र ६० ले सजिलै पराजित गरे । त्यस्तै पोखराका अनिल तुलाचनले भारतका ड्योनम लामालाई ६०, ३६ र ६२ को प्रतिस्प्रधात्मक सेटमा पराजित गरे । नेपालका छ्याम्बा ढुण्डुप भारतका आदित्य कर्नानीसँग ७५ र ६१ ले पराजित हुन पुगे ।"
"उदास कार्कीको अन्तिम सत्यको विमोचन","काठमाडौं : मुक्तककार एवम् कविका उदास कार्कीको मुक्तक संग्रह अन्तिम सत्यशनिबार विमोचन भएको छ । समारोह तुलसी दिवशको प्रमुख आतिथ्यमा सम्पन्न भएको हो । कार्यक्रममा ज्ञानुवाकर पौडेल,वियोगी बुढाथोकी,रमेश पौडेल, रेणुका थापा, आनन्दबहादुर गुरुङ्ग,पुष्प अधिकारी (अञ्जली) लगायत पनि उपस्थित थिए । लमजुङ्गको भोटेओढारमा जन्मिएका उनी हाल बसुन्धरामा बस्दै आएका छन् । अंकबहादुर कार्की नै नेपाली साहित्यमा उदास कार्कीका नामले परिचित छन् । कार्कीले २०४० सालदेखि लेखनयात्रा शुरुवात गरेका थिए । उनले आफ्ना भोगाई, अनुभूति, समाजको यथार्थता, मानवीय प्रवृत्ति, राष्ट्रप्रेम, चेतना, जागरण, समकालिन समाज, राजनीति, संस्कृति,जस्ता विषयगत विविधतालाई आफ्ना मुक्तकमा समावेश गर्ने गरेका छन् । उनको कृति नेपाली साहित्य विधामा एउटा दस्तावेज बनेर रहने विश्वास आयोजक संस्थाका अध्यक्ष शान्ति शर्माले गरेकी छन् ।"
"""खोइ नेपालको १०","०१९ वर्ग किमि भूमि ?"",""नेपालको क्षेत्रफल १ लाख ४७ हजार १ सय ८१ वर्गकिलोमिटर छ । संघीय मामिला तथा स्थानीय विकास मन्त्रालयको तथ्यांकमा भने १ लाख ३७ हजार १ सय ६२ दशमलब ०३५ वर्गकिमि मात्र पाइएको छ । कहाँ हरायो १० हजार १८ दशमलब ९६५ वर्गकिमि ? गायब भएको भूमि करिब १४ वटा सिंगापुरजति हुन आउँछ । सुन्दै पत्याउन गाह्रो । तर यो वास्तविकता हो । उक्त मन्त्रालयको संघीय मामिला शाखाद्वारा असोज २०७४ मा प्रकाशित गाउँपालिका तथा नगरपालिकाको संक्षिप्त परिचय पुस्तिका तपाईं पनि पल्टाउनुहोस् । त्यसमा नेपालको ७ सय ५३ वटै स्थानीय तहबारे पूर्ण जानकारी समेटिएको छ । त्यसमा हरेक स्थानीय तहका क्षेत्रफल, जनसंख्यालगायत तथ्यांक राखिएका छन् । हामीले हरेक स्थानीय तहका क्षेत्रफल जोड्यौं । सबैको योगफल आयो १ लाख ३७ हजार १ सय ६२ दशमलब ०३५ वर्गकिमि मात्र । नेपालको क्षेत्रफल ती सबै स्थानीय तहका क्षेत्रफलको योग हो । यति ठूलो मात्रामा अपुग हुँदा निःसन्देह प्रश्न उठ्छ बाँकी भूभाग खोइ त ? अपत्यारिलो यो अवस्था देखिएपछि हामीले पुस्तकको आधिकारिकता परीक्षण गर्यौं । त्यो संघीय मामिला तथा स्थानीय विकास मन्त्रालयले नै प्रकाशन गरेको पाइएको छ । उक्त पुस्तिकामा तत्कालीन उपप्रधानमन्त्री एवं विभागीय मन्त्री विजयकुमार गच्छदारको शुभकामना मन्तव्य छापिएको छ । त्यसैगरी राज्यमन्त्री जनकराज चौधरी, सचिव दिनेशकुमार थपलिया र सहसचिव डाहरि पौडेलले पनि आफ्ना शब्द राखेका छन् । उनीहरूको हस्ताक्षरसहित उपलब्ध यस परिचय पुस्तिाको आधिकारिकतामा अब शंकै रहेन । जीआईएस नक्सा सामेल गरी बनाइएको उक्त पुस्तिकामा देखिएको त्रुटि के सामान्य हो ? अब यो प्रश्नको जवाफ पक्कै पेचिलो बन्दै जानेछ । आधिकारिक पुस्तिकामा देखिएको यस्तो अवस्थाले आम मानिसको भावनामा पर्न जाने चोटको जवाफदेही हुने निकाय को होला ? प्रश्न उठ्छ के हामीले आफ्नो भूमि वास्तविकतामै गुमाइसक्यौं ? होइन भने कहाँ घट्यो । हामीले हरेक प्रदेशका हिसाबले पनि उक्त पुस्तिकाको तथ्यांक विश्लेषण गर्यौं । प्राकृतिक स्रोत तथा वित्त आयोगबाट प्राप्त प्रदेशका क्षेत्रफलसँग तुलना गर्यौं । हरेक प्रदेशमा क्षेत्रफल घटेकै पाइयो । सबैभन्दा धेरै प्रदेश ५ मा र दोस्रोमा कर्णालीमा भूभाग हराएको छ । घटेको क्षेत्रफल प्रदेश १ मा ७७१६१, २ मा ७६६७२, ३ मा ६७९१७५, गण्डकीमा ३४५२१, ५ मा ४३६५६३, कर्णालीमा २७३१२३ र सुदूर पश्चिम प्रदेशमा ३५९३९ वर्गकिमि छ । हरेक प्रदेशमा यति ठूलो मात्रामा क्षेत्रफल कसरी घट्यो ? प्रश्न अनुत्तरित छ । सरकारले गाउँपालिका, नगरपालिका तथा विशेष संरक्षित वा स्वायत्त क्षेत्रको संख्या र सिमाना निर्धारण आयोगको प्रतिवेदन एवं मन्त्रिपरिषद्बाट विभिन्न मितिमा गठन भएका पुनरवलोकन समितिका सिफारिसका आधारमा ७ सय ५३ स्थानीय तह निर्धारण गरेको थियो । तिनमा गाउँपालिका, नगरपालिका, उपमहानगरपालिका र महानगरपालिका छन् । जनसंख्या बदलिन्छ तर क्षेत्रफल कसैसँग लेनदेन नहुन्जेल कहिल्यै बदलिँदैन । तर, हाम्रै २ नम्बर प्रदेशभन्दा ठूलो जमिन कहाँ, कसरी बिलय भयो? नवसिमांकित गाउँपालिकानगरपालिकासम्बन्धी जानकारी सरल, सहज र व्यापक रूपमा आमनागरिकसम्म पुर्याउने हेतु पुस्तक प्रकाशन गरिएको उपप्रधानमन्त्री गच्छदारले शुभकामनामा लेखेका छन् । तर, जानकारी आफैंमा भ्रमात्मक छ । क्षेत्रफल नै पूरापूर छैन । भूमि कहिल्यै खुम्चिँदैन । न कुनै स्थानीय तह नै छुटेका छन् । यस्तो अवस्थामा क्षेत्रफल नपुग्नु गम्भीर खोजीको विषय हो । उक्त पुस्तिकामा प्रकाशन गर्ने जीआईएस नक्सा भेरिफिकेसनका लागि ३ जना इन्जिनियर प्रवीण पौडेल, प्रणय नकर्मी र राजेन्द्र श्रेष्ठ संलग्न भएको देखिन्छ । सल्लाहकारमा डाहरि पौडेल, सम्पादन सहयोगीमा परशुराम उपाध्याय छन् । पुस्तकको सर्वाधिकार प्रकाशक अर्थात् मन्त्रालयले नै राखेको छ । नेपाली भूमि मिचिएको विवादित सीमामा उच्चस्तरीय टोली नेपाली भूमि भारतीयको कब्जामा निसान छापको नक्सामै कालापानी गायब नापीको नक्सामै लिम्पियाधुरा गायब कालापानीसुस्ता सीमा विवाद : बैठक नबस्दा नापी भएन अतिक्रमणले नेपाली भूभाग खुम्चँदै नेपाल सरकारले प्रकाशन गरेको उक्त पुस्तिकामा १० हजार वर्ग किलोमिटरभन्दा बढी क्षेत्रफल घट्दा सर्वसाधारणमा कस्तो सन्देश प्रवाह हुन्छ, यस विषयमा कोही जिम्मेवार हुनु जरुरी छैन ? यो अक्षम्य गल्ती कसरी हुन गयो होला ? राज्य पुनःसंरचना आयोगको लापरवाही, अक्षमता र अयोग्य समूहको परिणाम हुन सक्छ । भूमि गुमाउने यस्तो घटना ठूलो अपराध हो । कतै लुकेको भए खोज्नुपर्छ, लापरबाही भए तयार गर्नेलाई कारबाही गर्न सक्नुपर्छ । यो खेलाँची विषय पक्कै होइन । (लेखकहरू अनुसन्धानकर्ता हुन्) यस्तो छ तत्कालीन संघीय मामिला तथा स्थानीय विकास मन्त्रालयले २०७४ असोजमा प्रकाशित गरेको गाउँपालिका तथा नगरपालिकाको संक्षिप्त परिचय पुस्तिका"""
