"शीर्षक","विवरण"
"""चित्रबहादुर केसी भन्छन् : सबैभन्दा पहिले प्रदेश खारेज गरौँ","त्यसपछि संघीयता"",""काठमाडौँ : राष्ट्रिय जनमोर्चा नेपालका अध्यक्ष चित्रबहादुर केसीले नेपालको अखण्डता कायम गरिरहन संघीयता खारेज गर्नुपर्ने बताएका छन् । एपीवान एचडीको कार्यक्रम तमसोमा ज्योतिर्गमयमा टीकाराम यात्रीसँग सोमबार कुरा गर्दै उनले नेपालले संघीयता थेग्नै नसक्ने बताए । अध्यक्ष केसीले विश्वका १७० भन्दा धेरै देशमा अहिले पनि एकात्मक शासन रहेको बताउँदै नेपालमा सबैभन्दा पहिले अनावाश्यक रहेको प्रादेशिक संरचना खारेज गरिनुपर्ने बताए । देश संघीयतामा गएको केही वर्षमै प्रादेशिक संरचना भालुको कन्पट भएको छ, केसीले भने, सात प्रदेशका सांसद र मन्त्रीसहित साढे तीन सय भन्दा धेरैलाई देशले कसरी पाल्न सक्छ ? त्यसमा आउने अर्बौँ खर्च कहाँबाट जुटाउने ? स्रोत के खोज्ने ? प्रादेशिक संरचना विघटन नगर्ने हो भने नेपाल चल्दैन । नेपाल जस्तो भौगोलिकरुपमा सानो देशलाई चाहिँदै नचाहिएको प्रदेशमा खर्च बढ्नु स्वभाविक भन्दै उनले केन्द्र र स्थानीय तहसहितको संरचना नै नेपालका लागि पर्याप्य हुने बताए । देशको विकास त गाउँपालिका र नगरपालिकाले विकास गरिजान्छन् नि, उनले भने, प्रदेशका साढे तीन सय सांसद र मन्त्रीहरुको कुनै काम छैन । संघीय संरचना अनुसारको प्रदेश तत्काल खारेज गरेर त्यसको अधिकार स्थानीय तहलाई दिए हुन्छ । प्रदेश अव्यवहारिक भएकैले देशले पनि अस्वभाविक आर्थिक भार थेग्नै नसक्ने उनको भनाइ थियो । नेपालमा संघीयता सफल बनाउने भनेको देशलाई सुडान र नाइजेरिया बनाउने हो, उनले भने, संघीयता रहिरहे नेपाल सुडान जसरी टुक्रिन्छ, युगोस्लाभिया जसरी नक्सबाटै हरउान पनि सक्छ । नेपालमा नेपालीलाई नभइ विदेशीलाई संघीयता चाहिएको केसीले बताए । दक्षिणी छिमेकीलाई चाहिएको संघीयता भनेको तराईका २० वटा जिल्ला टुक्राउने संघीयता हो । त्यही भएर अहिले अंगीकृतलाई पनि बंशजलाई जस्तै अधिकार दिन संविधान संशोधन हुँदैछ, केसीले भने, अर्कातिर नेपालमा जातीय संघीयता लादेर त्यसलाई उपयोग गरी आफ्नो स्वार्थ पुरा गर्न खोज्दैछन् युरोप अमेरिका, त्यसैले नेपाललाई संघीय प्रणाली बरदान होइन सराप हुन्छ । अध्यक्ष केसीले अब केन्द्रमा केही अधिकार राखेर धेरै अधिकार स्थानीय तहमा दिनुको विकल्प नरहेको पनि बताए । उनले प्रदेश खारेज भए मात्रै देशले धान्न सक्ने जिकिर पुनः गरे । अध्यक्ष केसीले फरक प्रसंगमा केपी ओली नेतृत्वको दुईतिहाइ बहुमतको सरकार दलाल र माफियाको चंगुलमा फसिसकेकाले धेरै आशा गर्नु बेकार हुने बताए । नाममात्रको कम्युनिष्टको सरकार स्वार्थीहरुको जालोमा परिसकेको छ, उनले भने, यो सरकारबाट धेरै अपेक्षा गर्नु गल्ती हुन्छ, यसले केही लछार्न सक्दैन, केही घटनाले यसको नाडी छामिसकेका छन् । भिडियो :"""
"यस्तो बन्यो गण्डकी प्रदेशको लोगो","पोखरा : गण्डकी प्रदेशको प्रतीक चिह्न (लोगो) तयार भएको छ । प्रदेश सभाले प्रदेशको लोगोका लागि सार्वजनिक अपील गरेपछि कलाकारहरुले लोगो बनाएर पठाएका थिए । ५ जनाबाट प्राप्त १२ चित्रमध्ये गोरखाका विनीत रानामगरले बनाएको लोगोलाई प्रदेश सभाले छनोट गरेको हो । प्रदेश सभाद्वारा गठित लोगो तथा पोसाक सिफारिस समितिको गएको भदौ ३० गते बसेको बैठकले गोरखाका रानामगरले तयार गरेको लोगोलाई सर्वोत्कृष्ट छनोट गरेको समितिका संयोजक सांसद मायानाथ अधिकारीले बताए । रानामगरले २५ हजार रुपैयाँ इनाम पाउने प्रदेश सचिवालयले जनायो । समितिको बैठकले प्रदेश सांसदहरुले प्रयोग गर्ने पोसाक खैरो रङको कपडा छनोट गरी कार्यव्यवस्था परामर्श समितिमा पेस गर्ने निर्णय गरेको छ ।"
"""चितवनका विकल्पराज श्रेष्ठ मिस्टर नेपाल","जिते सुजुुकीको मोटरसाइकल"",""काठमाडौं: चितवन रामघाटका २५ वर्षीय विकल्पराज श्रेष्ठ मिस्टर नेपाल वर्ल्ड २०१८ घोषित भएका छन् । बीबीएस चौथो वर्षमा अध्ययनरत श्रेष्ठले १६ प्रतिस्पर्धीलाई उछिन्दै उपाधि चुमेका हुन् । बलात्कारीका लागि उपयुक्त सजाय के हुन सक्छ ? निर्णायकमध्येका एक कलाकार सुनिल थापाले सोधेको प्रश्नको उत्कृष्ट जवाफ दिँदै उनी बिजेता बन्न सफल भएका हुन् । सोसल मिडिया उपाधिसमेत हात पारेका श्रेष्ठले प्रतियोगितामा सुजुकी मोटरसाइकल, नगद रु ५० हजारका साथमा विभिन्न पुरस्कार प्राप्त गरे । श्रेष्ठले यसै बर्ष आयोजना हुने मिष्टर वर्ल्डमा नेपालको प्रतिनिधित्व गर्नेछन् । मिस्टर नेपाल का बिजेता विकल्प श्रेष्ठलाइ सुजुकी मोटरसाइकलको चाबी दिँदै सुजुकीका मार्केटिङ म्यानेजर नवराज कोइरालाले समाजमा लुकेका प्रतिभालार्इ विश्वसम्म पुर्याउन पाउँदा खुसी लागेको बताए । दरबारमार्गस्थित होटल अन्नपूर्णमा सम्पन्न प्रतियोगितामा सुसन महर्जन मिस्टर नेपाल युनिभर्सल एम्बेसडर, सन्दीप केसी मिस्टर नेपाल म्यान अफ द इयर, प्रदीप न्यौपाने मिस्टर नेपाल मेनइन्टनेशनल, चन्दन चौधरी मिस्टर नेपाल मेनएटिच्युट चुनिदा सागर परियार एक्सपोजन नेपाल टुरिजम एम्बेसडर, सविन बराल एक्पोज नेपाल युथ एम्बेसडर र दिपेश श्रेष्ठ एक्पोज नेपाल स्पोड्स एम्बेसडर छानिए । महर्जन, केसी, न्यौपाने र चौधरीले नगद २० हजारसहित विभिन्न पुरस्कार थाप्दा परियार, बराल र श्रेष्ठले नगद १५ हजार सहित विभिन्न उपहार प्राप्त पारे । कलाकार सुनिल थापा, पूर्व डीआइजी बिज्ञानराज शर्मा, गीतकार डा कृष्णहरि बराल, बैंकर रबिना देशराज जोशी, फोटोग्राफर राजभाइ सुवाल, कोरियोग्राफर महेश केसी, कला सुब्बा निर्णायक रहेको प्रतियोगितामा सागर परियार मिस्टर ट्यालेन्ट, चन्दन चौधरी मिस्टर फोटोजेनिक, सुशन मर्हजन बेष्ट मोडल, रिसव पौडेल पब्लिक च्वाइस, जीवन रेग्मी एसएमएस स्टार छानिए । सबैले नगद १० हजारसहित अन्य उपहार हात पारे । युवाहरुको व्यक्तित्व विकास, आत्मविश्वास अभिवृद्धि, क्षमता उजागर गर्दै उज्वल भविश्य निर्माणमा अग्रसर गराउने उदेश्यले प्रतियोगिता आयोजना हुँदै आएको एक्सपोज नेपालकी सिइओ अर्चना थापाले बताइन् ।"""
"अम्बिका अर्यालको अविश्रान्त उपन्यास लोकार्पण","काठमाडौँ : अम्बिका अर्यालको पहिलो उपन्यास अविश्रान्त काठमाडौँको सर्वनाम नाटकघरमा लोकार्पण गरिएको छ । गुञ्जन साहित्य संस्थाको आयोजनामा भएको उक्त कार्यक्रममा साहित्यकार कृष्ण धराबासी, कुमारी लामा, गुञ्जनका अध्यक्ष हिरण्यकुमारी पाठक र लेखक स्वयम्ले उक्त उपन्यास सार्वजनिक गरेका थिए । कार्यक्रममा साहित्यकार धराबासी र कुमारी लामाले यसका विषय र शैलीका पक्षका आफ्नो विचार प्रस्तुत गरेका थिए । मोहन बास्तोलाले सहजीकरण गरेको उक्त कार्यक्रममा धराबासीले समाजका यथार्थ पात्रहरुको जीवन्त घटना प्रस्तुत गरिएको विचार व्यक्त गर्दै यसमा प्रयोग र्इप्रविधि, सर्जरीजस्ता नयाँ प्रविधिले उपन्यासलाई नयाँ विषयोन्मुख बनाएको विचार व्यक्त गरे । त्यसैगरी उनले लेखक र पाठक तथा चरित्रलाई समेत संवाद गराएर उपन्यासभित्रै प्रस्तुत गरिएको उक्त उपन्यासमा उत्तरआधुनिक शैलीको प्रयोग गरिएको विचार प्रस्तुत गरे । मानवजीवनका विखण्डित र अपूर्णताहरुजस्तै उपन्यासमा पात्रका जीवनका रिक्ततालाई छाडिनु नवीन प्रवृत्ति भएको उहाँको टिप्पणी थियो । कुमारी लामाले यो उपन्यास नारीवादको वैचारिक दृष्टिले सबल भए पनि पुरुषप्रतिको परम्परागत समपर्णलाई परित्याग गर्न नसकेको धारणा व्यक्त पनि व्यक्त गरे । उनले नारीस्रष्टाका कलमबाट नारीका विचार तथा भावलाई कलात्मक तरिकाले प्रस्तुत गरिएको विचारसमेत व्यक्त गरे । उपन्यासमा यस प्रकारको परम्परा आउनुमा लेखकीय कमजोरीभन्दा सामाजिक धरातलको दोष रहेको विचार धराबासीले अगाडि सारे । आर्थिकस्तर नउस्केसम्म अर्थात् आर्थिक रुपमा सक्षम नभएसम्म नारीहरु आत्मनिर्भर बन्न नसक्ने धारणा पनि उनले प्रस्तुत गरे । उपन्यासकार अर्यालले उपन्यासमा पात्रहरु स्वतन्त्र रहेकाले तिनीहरुको भूमिकाअनुसार आफ्नो चरित्र निर्माण गरेको विचार व्यक्त गरिन् । वर्तमान समयमा शून्यता, अपूर्णता र अस्थिरता रहेकाले एउटा उपन्यासमा व्यक्तिको समग्र पक्षलाई अटाउन नसकिने तथा रिक्तता पनि उत्तरआधुनिक शैली भएकाले उपन्यासमा उत्तरआधुनिक प्रवृत्तिलाई समाहित गरिएको भावसमेत उनले प्रस्तुत गरिन् । यस्तै नारीका उपन्यासहरुमा नै विद्यावारिधि अनुसन्धान गर्दै गरेकी अर्यालले नारीश्रष्टाका धेरैजसो उपन्यासहरु परम्परागत शैलीको भएकाले आफूले यसमा नयाँ प्रयोग गरेको विचार पनि प्रस्तुत गरिन् । गुञ्जनका अध्यक्ष पाठकले नारी साहित्यकारहरुको यस संस्थामार्फत् कार्यक्रम गर्न पाएकोमा खुसी व्यक्त गर्दै पहिलो प्रयासमा नै यस प्रकारको सशक्त उपन्यास प्रकाशन गर्न सकेकोमा बधाइज्ञापन गरिन् । उक्त उपन्यास साङ्ग्रिला बुक्सले प्रकाशन गरेको हो ।"
"सय वर्ष नाघेका तीन जेष्ठ नागरिक सम्मानित","भक्तपुर : भक्तपुरका एक सय वर्ष नाघेका तीन जना ज्येष्ठ नागरिक सम्मानित भएका छन् । रोटरी क्लव अफ भक्तपुरले अन्तर्राष्ट्रिय ज्येष्ठ नागरिक दिवसका अवसरमा सोमबार एकसय वर्ष पूरा भएका ज्येष्ठतम नागरिकलाई सम्मान गरेको हो । यस क्रममा भक्तपुर नपा७ की १०७ वर्षीया गणेशमाया नापित, भक्तपुर नपा६ की १०४ वर्षीया मानकुमारी माझी र १०० वर्ष पूरा भएकी बुद्धलक्ष्मी अवाललाई सम्मान गरिएको हो । उनीहरुलाई दोसल्ला ओढाएर एकएक थान न्यानो कम्बललगायत समेत प्रदान गरिएको थियो । रोटरी क्लव अफ भक्तपुरका अध्यक्ष राजकुमार सुवालले भक्तपुर नगरभित्रमात्रै ११ जना एकसय वर्षभन्दा माथिका ज्येष्ठ नागरिक रहेकोमा सोमबार उपस्थित भएका तीनजनालाई मात्रै सम्मान गरेको बताए । उनले ज्येष्ठ नागरिकसँग भएका ज्ञान तथा सीप नयाँ पुस्तामा हस्तान्तरण गर्ने उद्देश्यले उक्त सम्मान गरिएको बताए । परिवारले ज्येष्ठ नागरिकलाई बोझको रुपमा लिन थालेका छन्, उनले भने, ज्येष्ठ नागरिकलाई उपेक्षा गरिँदा धेरै भाषा, कला, संस्कृति, ज्ञान र सीप लोप भएका छन् । त्यसैले अब बाँचेका ज्येष्ठ नागरिकसँग भएका ज्ञान र सीप नयाँ पुस्तामा हस्तान्तरण गरिनुपर्छ । अध्यक्ष सुवालले यसको लागि स्थानीय नगरपालिकासँग सहकार्य गर्ने रोटरी क्लवको उद्देश्य रहेको जानकारी दिए । कार्यक्रममा सम्मानित ज्येष्ठ नागरिकले आआफ्नो अनुभव र ज्ञान बाँडेका थिए । ज्येष्ठ नागरिकको प्रभातफेरी भक्तपुर नपा७ भेलुखेलस्थित सिद्धि सालिकग्राम वृद्धाश्रमले सोमबार नै ज्येष्ठ नागरिकको प्रभातफेरी निकालेको छ । बृद्धाश्रमबाट सुरु भएको प्रभातफेरी भक्तपुर नगर परिक्रमापछि बृद्धाश्रममै समापन गरिएको थियो । बृद्धाश्रममा ज्येष्ठ नागरिकको लागि भजनकीर्तन तथा भोजनको व्यवस्था गरिएको थियो । यस्तै बालबालिकाले सांगीतिक कार्यक्रम प्रस्तुत गरेर कार्यक्रमलाई थप रोमान्चक बनाएका थिए ।"
"करेन्ट लागेर एकको मृत्यु","बिर्तामोड : हल्दीबारी गाउँपालिका१ स्थित करेन्ट लागेर एक जनाको मृत्यु भएको छ । खेतमा मोटर जोड्ने क्रममा करेन्टको क्रट्का लागेर ४५ वर्षीय रुद्र त्रितालको सोमबार बिहान मृत्यु भएको हो । करेण्ट लागेर गम्भीर घाइते त्रितालको उपचारको क्रममा बिर्तासिटी अस्पताल बिर्तामोडमा मृत्यु भएको ईलाका प्रहरी कार्यालय अनारमनीले जनाएको छ । करेन्ट लागेको स्थानको प्रहरीले अनुसन्धान गरिरहेको ईलाका प्रहरी कार्यालय अनारमनीका प्रमुख डिएसपी कृष्णप्रसाद कोईरालाले बताए ।"
"""सेयर बजार : दोहोरो अङ्कले घट्यो","लगानीकर्ता चिन्तित"",""काठमाडौँ : धितोपत्र बजारमा आज पनि सेयरको मूल्य ओरालो लागेको छ । केही अंकले बढेर दोहोरो अंकले ओरालो लागिरहेपछि सेयर बजारका लगानीकर्ता भने निराश भएका छन् । नेपाल स्टक एक्सचेञ्जका अनुसार बजार १८०४ बिन्दुले घटेर एक हजार २३८६७ पुगेको छ । आइतबार जस्तै सोमबार पनि बजार दोहोरो मूल्यले ओरालो लागेको हो । यस्तै क वर्गका कम्पनीको सेयर मापन गर्ने सेन्सेटिभ परिसूचक समेत ४२९ बिन्दुले घटेर २६२८० बिन्दुमा पुगेको छ । कारोबार रकममा समेत आज गिरावट आएको स्टकले जनाएको छ । कूल १६५ कम्पनीको १७ लाख ६१ हजार ८१७ कित्ता सेयर रु ५३ करोड ९६ लाख तीन हजार ९३५ मूल्यमा खरीद बिक्री भएको हो । उत्पादन उपसमूहको सेयर मूल्यमा वृद्धि भएपनि अन्य सेयर मूल्य भने ओरालो लागेको छ । उत्पादन समूह २६८ बिन्दुले बढ्दा आज व्यापार समूहको भने कुनै पनि सेयर कारोबार भएन । बैङ्किङ १९८५, होटल १८२६, विकास बैङ्क २९७३, जलविद्युत् ८९१, वित्त १५९, निर्जीवन बीमा ७१७३, अन्य ६४, माइक्रोफाइनान्स १८७२ र जीवन बीमा ७८५६ बिन्दुले घटेको छ ।"""
"क्यान्सरमाथिकाे रिसर्चलाई नोवेल पुरस्कार","वासिङ्टन : सन् २०१८ को चिकित्सातर्फको नोवेल पुरस्कार अमेरिकाका जेम्स पी एलिसन र जापानका ताकुसु होन्जोलाई प्रदान गरिएको छ । शरिरमा क्यान्सर रोगको प्रतिरोधात्मक क्षमताको क्षेत्रमा दुई वैज्ञानिकले पाएको उपलब्धिको सम्मान गर्दै उनीहरुलाई यस वर्षको पुरस्कार दिइएको हो । क्यान्सर रोग उपचारको इतिहासमै एक फड्को मार्न सकेको भन्दै उनीहरुको नाममा सोमबार पुरस्कार घोषणा भएको हो । भिन्दा भिन्दै तवरले कार्यरत डाक्टरद्धय एलिसन र होन्जोले विकास गरेको उपचार विधिलाई नोवेल पुरस्कार छनोट समितिले क्यान्सर थेरापीमा संसारकै एक नयाँ सिद्धान्त भन्दै प्रसंसा गरेको छ । ७६ वर्षका डा होन्जो जापानको क्योटो विश्वविद्यालयमा लामो समयदेखि प्रध्यापन क्षेत्रमा सक्रिय छन् । यसअघि उनले ओसाका विश्वविद्यालय, टोक्यो विश्व विद्यालय र नेश्नल इन्स्टिच्युट अफ हेल्थ वासिङ्टनमा अनुसन्धाताको रुपमा कार्यरत थिए । ७० वर्षीय डा एलिसन टेक्सास एमडी क्यान्सर सेन्टरमा इम्युनोलोजी विभागका प्रमुख हुन् ।"
"तनहुँ जलविद्युत आयोजनाको ठेक्का सम्झौता","काठमाडौं : एक सय ४० मेगावाट क्षमताको तनहुँ जलविद्युत् आयोजनाको मुख्य संरचना निर्माणका लागि सोमबार काठमाडौंमा दुईवटा सम्झौता भएका छन् । आयोजनाको नदी फर्काउने र बाँध बनाउने पहिलो प्याकेजका संरचना (हेडवर्क्स) निर्माणका लागि सारभूत तथा न्यूनतम मूल्याङकित इटालीयन कम्पनी कोअपरेटिभा मुराटोरी एण्ड सिमेन्टीसिटी (सीएमसी) सँग सम्झौता भएको हो । तनहुँ हाड्रोपावरकातर्फबाट प्रवन्ध सञ्चालक प्रदीपकुमार थिके र सीएमसीका सालभाटोरे कसियारोले सम्झौता पत्रमा हस्ताक्षर गरेका हुन् । सीएमसीसँग २० अर्ब ६४ करोड ५२ लाख रुपैयाँ (अस्थायी रकम र मूल्य अभिबृद्धि करसहित) मा सम्झौता भएको तनहुँ हाइड्रोपावरले जनाएको छ । यसैगरी आयोजनाको दोस्रो प्याकेजअन्तर्गत सुरुङ, विद्युत गृह निर्माण र हाइड्रोमेकानिकल तथा इलेक्ट्रोमेकानिकल उपकरण आपूर्ति, जडान तथा सञ्चालनका लागि सारभूत तथा न्यूनतम मूल्याङकित चिनियाँ कम्पनी सिनो हाइड्रो कर्पोरेसन लिमिटेडसँग सम्झौता भएको छ । तनहुँ हाड्रोपावरका प्रबन्ध सञ्चालक थिके र सिनो हाइड्रोका तर्फबाट आधिकारिक प्रतिनिधि छेङ सोएस्याङले हस्ताक्षर गरेका हुन् । आयोजनाले कम्पनीसँग ११ करोड ४१ लाख ८९ हजार अमेरिकी डलर र ३ अर्ब ८३ करोड १४ लाख रुपैयाँ (मूल्य अभिबृद्धि कर बाहेक) मा सम्झौता भएको हो । दुवै प्याकेजको निर्माण कार्य दुई महिनापछि काम सुरु गर्ने र सम्पूर्ण निर्माण कार्य डिसेम्बर २०२३ भित्र सक्ने लक्ष्य निर्धारण गरी ठेक्का सम्झौता गरिएको छ । प्रवन्ध सञ्चालक थिकेले तनहुँ जलविद्युत आयोजना कुलेखानीपछि बन्न लागेको जलाशययुक्त आयोजना भएको र विद्युतको लोड व्यवस्थापनका लागि महत्वपूर्ण आयोजना भएकाले निर्धारित समयभन्दा अगावै निर्माण सम्पन्न गर्न निर्माण कम्पनीहरुलाई आग्रह गरे । उनले आयोजना निर्माण निर्धारित समयमा सम्पन्न गर्र्ने प्रतिबद्धताका लागि तनहुँ हाइड्रोपावर लिमिटेड र निर्माण कम्पनीहरुका उच्च तहको व्यवस्थापनबीच दशैंअगावै छलफल गर्न लागिएकोले सोही अनुसार तयारी गर्न अनुरोध गरे । निर्माण कम्पनीहरुले आयोजना निर्धारित समयमै सम्पन्न गर्र्ने प्रतिबद्धता जनाएको तनहुँ हाइड्रोपावर सम्झौतापछि जारी गरेको विज्ञप्तिमा उल्लेख छ । तनहुँ हाइड्रोपावर लिमिटेडले गत ७ साउनमा बोलपत्रको नतिजा सार्वजनिक गरी छनोट भएका निर्माण कम्पनीलाई कार्यसम्पादन जमानत सहित खरिद सम्झौताका लागि आउन पत्राचार गरेको थियो । पहिलो प्याकेज निर्माणका लागि पूर्व योग्यतामा छनोट भएका पाँच कम्पनीमध्ये तीनवटाले र दोस्रो प्याकेजका लागि पूर्व योग्यतामा छनोट भएका तीनमध्ये दुई वटाले बोलपत्र पेश गरेका थिए । आयोजनाको तेस्रो प्याकेज अन्तर्गत दमौलीबाट चितवनको भरतपुरसम्म २२० केभीको डबल सर्किट प्रसारण लाइन निर्माण गर्न निर्माण कम्पनी छनोटका लागि बोलपत्रको मूल्याङन भइरहेको आयोजनाले जनाएको छ । विद्युत प्राधिकरण र तनहुँ हाइड्रोपावर लिमिटेडबीच विद्युत खरिदबिक्री सम्झौता सम्पन्न भइसकेको छ । तनहँुको रिसिङ गाउँपालिका१मा कार्यालय तथा कर्मचारी आवास गृह निर्माणको काम अन्तिम चरणमा छ । जलाशय क्षेत्रको जग्गा प्राप्तिका लागि ९५ प्रतिशत मुआब्जा वितरण भइसकेको छ । बाँधतर्फ जाने पहुँच मार्ग निर्माण र व्यास नगरपालिका५ मा बन्ने श्रमिक आवास गृहका लागि जग्गा अधिग्रहणका गर्न मुआब्जा निर्धारण भई मुआब्जा वितरण सुरु गर्ने प्रक्रियामा छ । आयोजनाको कुल लागत ५० करोड ५० लाख अमेरिकी डलर (प्रसारण लाईन, ग्रामीण विद्युतीकरण तथा निर्माण अवधिको ब्याज समेत) रहेको छ । यसमध्ये एसियाली विकास बैंक (एडीबी) ले १५ करोड अमेरिकी डलर, जापान अन्तराष्ट्रिय सहयोग नियोग (जाइका) ले १८ करोड ४० लाख अमेरिकी डलर, युरोपियन इन्भेस्टमेन्ट बैंक (ईआईबी)ले आठ करोड ५० लाख अमेरिकी डलर र नेपाल सरकारनेपाल विद्युत प्राधिकरणले ८ करोड ७० लाख अमेरिकी डलर व्यर्होने गरी वित्तीय व्यवस्थापन गरिएको छ ।"
"तराईमा जितिया पर्वको रमझम सुरु","राजविराज : विवाहित हिन्दु नारीहरुले पति तथा सन्तानको सुख, शान्ति र लामो आयुको कामना गर्दै मनाइने पवित्र जितिया पर्व सुरु भएको छ ।जितिया पर्व तराईका थारु र मैथिल समुदायका विवाहिताले 'नहा, खा' (नुहाएर खानु) सोमबारबाट धार्मिक विधिअनुसार सुरु गरेका छन् । अन्य पर्वमा नुहाए पछि चोखो खाने कुरा खाने चलन रहे पनि यस पर्वमा ब्रतालु महिलाले स्नान गरी माछा र कोदोको रोटी खाएर ब्रत आरम्भ गर्छन् । शाकाहरी र एकल महिलाले भने अरुवाअरुवाइन खाने गर्छन् । सन्तानको रक्षा र दीर्घायुको कामनासहित सोमबार पहिलो दिन ब्रतालु नदी, पोखरी वा इनार किनारमा नुहाएर चोखिएका छन् । कतिपय महिलाले रातो माटो तोरी र पिनाले कपाल समेत पखालेका छन् । राजविराजस्थित कल्टु दासको पोखरीमा नुहाउन आएकी ब्रतालुले जिमुतवाहन र दिंवगत पितृलाई घिरौंलाको पातमा घिरौंलाको फूल, माटो, पिना, दही, फलफूल चढाएका छन् । घिरौलाको पातमा चढाएको पिना, शख्खर र तोरीको तेल सन्तानको टाउकोमा लगाइदिनाले रोगव्याधी नलाग्ने तथा दीर्घायु हुने धार्मिक विश्वास रहेको राजविराज ४ की मन्जु मण्डलले बताइन् । पूजापछि उनीहरुले कोदोको रोटी, नुनीको साग र माछा खाने बताए । जसलाई स्थानीय भाषामा माछमरुवा भनिन्छ । त्यसपछि, बुधबार बिहानसम्म थुक पनि निल्न नपाइने ब्रतालु राजविराज ६ की लक्ष्मी यादवले बताइन् । राजविराजस्थित भगवती मन्दिरको पोखरीमा नुहाएर घर फर्किदै ब्रतालु महिला । मंगलबार मध्याह्नतिर नजिकैको मन्दिर वा टोलमा भेला भएका महिलालाई पुरेतले वा पाका महिलाले जिमुतवाहन व्रतको महत्व र पर्वको आरम्भका बारेमा कथा सुनाए पछि सबैजना आआफ्ना घर फर्किएर साँझमा आँगनमा खनेर बनाएको पोखरीको डिलमा पाकडी रूखको सानो हाँगा गाड्नुका साथै हाँगामा माटोको चिलको आकृति र हाँगामुनि स्यालको आकृति बनाएर जिमुतवाहनको पूजापाठ गरिने पण्डित दुर्गानन्द मिश्रले बताए । धार्मिक कथाअनुरुप सूर्यपुत्र जिमुतवाहनलाई संकटमोचक एवं सफलताको प्रतिकको रुपमा लिइन्छ । तेस्रो दिन बुधबार बिहान सुर्योदयसँगै स्नान गरी पूर्णरुपले उपवास बसेकी ब्रतालुले विधिवत् पूजा गरेपछि अन्न ग्रहण गर्छन् । पूजाको समापनपछि नयाँ लुगाफाटो र कोसेलीसहित माइती आएकी छोरीचेलीलाई बिदाई गर्छन् । नियमपूर्वक पूजा गर्नाले आफ्नो पुत्रको आयु वृद्धि हुने जनविश्वासका कारण ५० वर्षदेखि जितिया पर्व मनाउँदै आएको राजविराज ७ की ७० वर्षीया सोमनी साहले बताइन् । कुनै व्यक्ति ठूलो दुर्घटनाबाट बाँच्न सफल भयो भने तराई मधेसमा उसको आमाले खड् जितिया गरेकी रहिछन् भन्ने गरिन्छ । परिवारका पुरुष र अन्य सदस्यको सहयोगी भूमिका मात्र हुने यो पर्व छठजस्तै महिला प्रधान रहेको छ । निष्ठा, नियम र विधिमा जोड दिइने यो पर्व आमा र सन्तानबीचको गाढा सम्बन्धलाई समेत दर्शाउँछ । यो व्रत कुनै धनधान्य अनि ऐश्वर्यका लागि नभई नितान्त मातृस्नेह र मातृवात्सल्यको एउटा अद्भूत उदाहरण बनेको छ । राजविराजस्थित पोखरीमा घिरौलाका पातमा अर्घ दिएर बगाउँदै महिला ।"
