"शीर्षक","विवरण"
"""सरकारको विरोधमा माधव नेपाल","भन्छन्, अब संसद्मै कुरा राख्छु"",""काठमाडौं : सत्तारूढ दलकै नेता सरकारको विरोधमा उत्रन थालेका छन् । सरकारको कामकारबाहीप्रति असन्तुष्टि जनाउँदै उनीहरू सार्वजनिक रूपमै विरोधमा उत्रिएका हुन् । पछिल्लो समय भइरहेका बलात्कार, अव्यवस्था, भ्रष्टाचार र अनियमितताविरुद्ध नेकपाका नेताले नै सरकारको आलोचना र विरोध गर्न थालेका छन् । नेकपाका वरिष्ठ नेता माधवकुमार नेपाल नै सरकारको आलोचनामा उत्रिएका छन् । मुलुकमा भ्रष्टाचार, अव्यवस्था अति भइसकेको उनले बताए । अहिले म यहाँ मात्रै बोल्छु, अब संसदमा पनि बोल्छु, पूर्वप्रधानमन्त्री नेपालले काठमाडौंका ११ वटै स्थानीय तहबाट सम्पादित कार्यको वार्षिक समीक्षा कार्यक्रममा भने । उनले चाबहिलजोरपाटीको बाटो निर्माणमा मन्त्रीले नै ढाँटेको भन्दै आक्रोश व्यक्त गरेका छन् । साँखु जाने बाटो कहिलेसम्म यस्तो, बौद्ध जोरपाटीको बाटो के भयो यस्तो भन्ने गीत सुनाउँदै नेता नेपालले उक्त बाटो तत्काल नबने मन्त्रीले पनि गम्भीर परिणाम भोग्नुपर्ने चेतावनी दिए । भौतिक पूर्वाधार तथा यातायात व्यवस्थामन्त्री रघुवीर महासेठप्रति लक्ष्य गर्दै नेता नेपालले मन्त्रीले गरेका प्रतिबद्धता पूरा नगरेको आलोचनासमेत गरे । मैले त्यो बाटो तत्काल बनाउनुहोस् भनें, मन्त्रीले ढुक्क हुनुहोस् भने । तर ढुक्क हुन सकिनँ, अनि सँगै लिएर गए, उनले भने, तर अहिलेसम्म त्यो बाटो जस्ताको त्यस्तै छ, हामीले भन्दा त मन्त्रीले सुन्दैनन् भने जनताले भन्दा के होला । भ्रष्ट कर्मचारीसँगै मन्त्री मिलेको हुन सक्ने आशंका गर्दै नेता नेपालले मन्त्रीको काममा पनि केही गडबडी छ भन्ने आंशका जागेको बताए । विकास निर्माणका काम समयमै हुन नसक्नुको प्रमुख कारण भ्रष्टाचार भएको उनको भनाइ छ । मैले बौद्ध, जोरपाटी, साँखुको बाटो तत्काल बनाउनुस् भनें । मन्त्रीले ढुक्क हुनुहोस् भने । तर अहिलेसम्म अवस्था जस्ताको त्यस्तै छ । बाटो किन बिग्रिन्छ, किन समय बन्दैनन्, त्यो सब भ्रष्टाचारले गर्दा हो, नालायक इन्जिनियर छन्, उनले भने, कोही दण्डित हुँदैनन्, सबै मिलेका छन्, सजाय हुन नसकेकै कारण भ्रष्टाचार बढेको हो । पैसा खाएपछि दण्ड दिने साहस नै नहुने पूर्वप्रधानमन्त्री नेपालको दाबी छ । स्थानीय तहका पदाधिकारीलाई भ्रष्टाचारमा नलाग्नसमेत उनले आग्रह गरे । तपाईंहरू पैसा खानेतिर नलाग्नुहोला, उनले भने, छिटो र गुणस्तरीय काम गर्नुहोस् । काठमाडौं धूलो, धूवाँ र खाल्डाखुल्डीबाट मुक्त हुनुपर्ने उनले जोड दिए । काठमाडौंका सबै स्थानीय तह मिलेर एकीकृत योजना बनाउन पूर्वप्रधानमन्त्री नेपालले आग्रह गरे । एउटाले बनाउने र अर्काले भत्काउने नगर्नुहोस, उनले भने, सबै नगर मिलेर मास्टर प्लान बनाउनुहोस्, त्यसअनुसार पूर्वाधारको काम गर्नुहोस् । जिल्ला समन्वय समितिले आयोजना गरेका समीक्षा कार्यक्रममा काठमाडौंका ११ वटै स्थानीय तहले एक वर्षभर गरेका कामकारबाहीबारे जानकारी गराएका थिए ।"""
"पद्मकन्याको ६८ औं वार्षिकोत्सव","काठमाडौं : राजधानीको बागबजारस्थित पद्मकन्या बहुमुखी क्याम्पसले ६८ औं वार्षिकोत्सव मनाएको छ । बार्षिकोत्सव समारोहमा बोल्दै त्रिभुवन विश्वविद्यालयका उपकुलपति प्राडातीर्थराज खनियाँले विश्वबजारको मागअनुसार शैक्षिक कार्यक्रम सञ्चालन गर्नुपर्ने आवश्यकता रहेको बताए । सरकारी कलेजमा विषय विविधीकरण र गुणस्तरीय शिक्षाका सम्भावना रहेकाले अघि बढ्न सुझाव दिए । त्रिविका कतिपय आंगिक क्याम्पस स्वायत्ततामा गइसकेकाले अब स्वतन्त्र रूपमा प्रतिस्पर्धामा अघि बढ्नु पर्ने उनको भनाइ छ । पद्मकन्या बहुमुखी क्याम्पसका प्रमुख प्राडारेणुका जोशीले विश्वकै अग्रणी क्याम्पसका रूपमा पद्मकन्या अघि बढिरहेको बताइन् । उनले प्राविधिक विषय र अत्याधुनिक प्रविधिलाई प्राथमिकता दिएर क्याम्पसमा अध्यापन भइरहेको जानकारी दिइन् । उनले कमजोर आर्थिक स्थितिका विद्यार्थीलाई सहयोगका लागि १ लाख १ रुपैयाँ अक्षय कोषको रेणुराजु छात्रवृत्ति स्थापना गरेको घोषणा गरिन् । छात्रवृत्ति पीके क्याम्पसका विद्यार्थीलाई प्रदान गरिनेछ । त्रिविका रजिस्ट्रार, विभिन्न संकायका डिन, पीकेका पूर्वक्याम्पस प्रमुख, सहायक क्याम्पस प्रमुख केशवप्रसाद सापकोटा र नीरा श्रेष्ठ, इरोज श्रेष्ठ, प्रमिला लाखे, प्राडाकुमार कोइरालालगायत प्राध्यापक, कर्मचारी र विद्यार्थी वार्षिकोत्सवमा सहभागी थिए । वार्षिक परीक्षामा उत्कृष्ट नतिजा ल्याउने विद्यार्थी र कलेज खेलकुदका विजेतालाई पुरस्कृत गरिएको छ । क्याम्पसमा २५ वर्ष निरन्तर सेवा तथा उत्कृष्ट योगदान गरेका कर्मचारी र प्राध्यापकलाई सम्मान गरिएको छ ।"
"पारसको कप्तानीमा क्रिकेट टोली घोषणा : को को परे ?","काठमाडौं : असोज १७ देखि २६ गतेसम्म मलेसियामा हुने आइसिसी टी२० विश्वकप क्रिकेट छनोट प्रतियोगिताका लागि पारस खड्काको कप्तानीमा मंगलबार १८ सदस्यीय नेपाली टोलीको घोषणा भएको छ । प्रतियोगिताका लागि १४ नियमित तथा चार वैकल्पिक खेलाडी गरी १८ सदस्यीय टोली घोषणा गरिएको नेपाली टोलीका टोली व्यवस्थापक रमन सिवाकोटीले जानकारी दिए । कप्तान खड्का, आइसिसीका प्रतिनिधि अनिमूल इस्लाम र मुख्य प्रशिक्षक जगत टमाटा संलग्न छनोट समितिले १८ सदस्यीय टोली छनोट गरको हो । टोलीको उपकप्तानको जिम्मेवारी ज्ञानेन्द्र मल्ललाई दिइएको छ । नेपाली टोलीमा अनिलकुमार साह, वसन्त रेग्मी, विनोद भण्डारी, दीपेन्द्रसिंह ऐरी, दीपेश श्रेष्ठ, करन केसी, ललित भण्डारी, ललितनारायण राजवंशी, मोहम्मद आरिफ शेख, प्रदीप ऐरी, सागर पुन, सन्दीप लामिछाने, सहाब आलम, शरद भेषवाकर, सोमपाल कामी र सुनिल धमला रहेका छन् । मलेशियामा हुने छनोट प्रतियोगितामा नेपाल समूह बीमा छ । नेपालको समूहमा चीन, म्यानमार, थाइल्याण्ड, भूटान, सिङ्गापुर र मलेशिया रहेका छन् । नेपालले पहिलो खेल असोज १७ गते म्यानमारसँग खेल्नेछ । दोस्रो खेल २० गते मलेशियासँग, २१ गते थाइल्याण्डसँग, २४ गते चीनसँग र २६ गते सिङ्गापुरसँग खेल्नेछ । रासस"
"उपेन्द्र यादवलाई कालो झण्डा देखाउने ६ जना पक्राउ","राजविराज : संघीय समाजवादी फोरमका अध्यक्ष उपेन्द्र यादवलाई कालो झण्डा देखाउने ६ जना पक्राउ परेका छन् । राजविराजमा आयोजित पार्टी प्रवेश कार्यक्रममा सहभागी हुन आएका फोरम नेपालका अध्यक्ष र उपप्रधान एवं स्वास्थ्य तथा जनसंख्यामन्त्री यादवलाई कालो झण्डा देखाउने ६ जना पक्राउ परेका हुन् । एसपी राजेन्द्र विष्टका अनुसार स्वतन्त्र मधेस गठबन्धनका जिल्ला संयोजक सुरेन्द्रप्रसाद शर्मासहित ६ जना पक्राउ छन् । सप्तरीमा यादवले कार्यक्रम गर्न लागेको थाहा पाएपछि गठबन्धनका कार्यकर्ता विरोधमा उत्रिएका थिए । गठबन्धनका स्थानीय नेता तथा कार्यकर्ताले कालो झण्डा देखाएर नाराबाजी गर्ने प्रयासका क्रममा उनीहरु पक्राउ परेका हुन् । पक्राउ पर्नेमा शर्मासहित राजविराज ५ का भुपेन्द्रप्रसाद दास, कञ्चनरुप १ का अनिल पञ्जियार, छिन्नमस्ता ४ का धर्मदेव यादव, हनुमाननगर कंकालिनी ११ का गुलाब मण्डल र जीवन लौगी रहेको प्रहरीले जनाएको छ ।"
"पर्सामा थप ५५ सीमास्तम्भ गायब","वीरगन्ज : नेपाल भारत दुई देशबीचको सीमा छुट्याउनका लागि भारतसँग सीमा जोडिएको पर्साको धोबनीदेखि ठोरी गाउँपालिकासम्म गाडिएका सीमास्तम्भमध्ये थप ५५ वटा सीमास्तम्भ गायब भएका छन् । यसअघि गत बैशाखमा वीरगन्जमा नेपाल र भारतका सीमा विज्ञ र सुरक्षा अधिकारीको बसेको बैठकमा पर्सामा रहेका सीमास्तम्भमध्ये एक सय नौ वटा सीमास्तम्भ हराएको जानकारी गराइएको थियो । तर, त्यसयता फेरि ५५ वटा थप सीमास्तम्भ हराएका हुन् । भारतसँग सीमा जोडिएको पर्साको धोबिनी, जगरनाथपुर, जीराभवानी, पटेर्वा सुगौली र ठोरी गाउँपालिका क्षेत्रमा मुख्य, सहायक र साना गरी कुल तीन सय ३८ वटा सीमा स्तम्भ छन् । ती मध्ये पछिल्लो समयमा मुख्य चार र सहायक ५१गरी थप ५५ सीमास्तम्भ गायब भएका हुन् । सशस्त्र प्रहरी बोर्डर आउट पोष्ट (बिओपी) भिखमपुरको कार्य क्षेत्रअन्तर्गत मुख्य आठ, सहायक सात र साना एक सय ४५ गरी कुल एक सय ६० सीमास्तम्भ हुनुपर्नेमा ती मध्ये मुख्य दुई र साना ४१ गरी कुल ४३ वटा सीमास्तम्भ हराएका हुन् । सशस्त्र प्रहरी बोर्डर आउट पोष्ट (बिओपी) भिखमपुरका सशस्त्र प्रहरी निरीक्षक सोम श्रेष्ठका अनुसार गत भदौंमा गरिएको स्थलगत अनुगमनका क्रममा ४२२ र ४२४ नम्बरको गरी दुईवटा मुख्य सीमा स्तम्भ तथा ४१६ को ६ ,७ , ८ ,९, १० , ११, १६ , १७ , १९ , ४२० को २ , ३ , १४ , १५ , १७ , १९ ,४२१ को ६ ,४२२ को १ , २ , ३ , ४ , ५ , ६ , ७ , ८ , ९ , १० , ११ , १२ , १३ , १४ , ४२३ को ७ , ८ , १३ र ४२४ को १ , २ , ३ , ४ , ५ , १० , ११ र १२ नम्बरका गरी ४१ वटा साना स्तम्भ हराएको पाइएको हो । सशस्त्र प्रहरी बोर्डर आउट पोष्ट (बिओपी) भिखमपुरको कार्य क्षेत्रअन्तर्गत मुख्य १४ , सहायक ४८ र साना ९६ गरी कुल एक सय ५८ सीमास्तम्भ हुनुपर्नेमा ती मध्ये गत बैशाख यता गरिएको स्थलगत अनुगमनका क्रममा मुख्य दुई र साना १० गरी कुल १२ वटा सीमास्तम्भ गायब छन् । सशस्त्र प्रहरी बोर्डर आउट पोष्ट (बिओपी) सुर्वणपुरका सशस्त्र प्रहरी निरीक्षक सोम श्रेष्ठका अनुसार , गत भदौ महिनामा गरिएको अनुगमनका क्रममा ४२७ र ४३८ नम्बरका गरी दुई मुख्य तथा ४२४ को १४ , १५ , १६ , १७ , १८, २६ , ४२७ को २ , ३ , ४ र ५ नम्बरका गरी १० वटा साना सीमास्तम्भ नभेटिएको हो । नेपाल भारत सीमामा रहेका खोलामा आएको बाढीले बगाएर लगेका कारण सीमास्तम्भ हराएको र कतिपय सीमास्तम्भ अन्य कारणले पनि जहाँ हुनुपर्ने हो त्यहाँ नभेटिएको सशस्त्र प्रहरी निरीक्षक कार्कीले बताए । सुर्बणपुर बिओपीमा म आएको एक महिना मात्रै भएको छ, तर यी सीमास्तम्भ पहिल्यै हराएका हुन्, उनले भने, ' म आएको भोलिपल्ट नै सीमा क्षेत्रमा गस्ती गर्दै जाने क्रममा ती सीमास्तम्भ नभेटिएका हुन् । सीमास्तम्भ हराएको बारेमा आफूले माथिल्लो निकायमा जानकारी गराइसकेको भएपनि अहिलेसम्म हराएको सीमास्तम्भ पुनः गाड्ने वा नगाड्ने भन्ने विषयमा माथिल्लो निकायबाट ठोस निर्देशन नआएको सशस्त्र प्रहरी निरीक्षक कार्कीले बताए । ३९ वटा सीमास्तम्भ जीर्ण अवस्थामा गत भदौ महिनामा सशस्त्र प्रहरीका दुवै बिओपीले गरेको स्थलगत अनुगमनका क्रममा दुई मुख्य र ३७ वटा साना गरी ३९ वटा सीमास्तम्भ जीर्ण अवस्थामा पनि भेटिएका छन् । ४२० र ४३६ नम्बरका गरी दुई मुख्य तथा ४२४ को १९ , २० , २१ , २३ , २४ , २५ , २६ , २७ , २८ , ३० , ३१ , ३२ र ३९ , ४२५ को १९ , ४२७ को १०, ११ , १२ , २१ , २३ , २४ र ३७ , ४३६ को १,४१६ को १३ , १४ , १५ र १८ ,४१८ को १ , ३ , ४ , ६ , ७ , ११ र १५ , ४२० को ६ , ८ र १० तथा ४२३ को ४ नम्बरको गरी ३७ वटा साना सीमास्तम्भ जीर्ण अवस्थमा भेटिएका हुन् । समयमा मर्मत सम्भार हुन नसकी टुटेका, भत्किएका, जङगली हात्तीले उखेलेका र खोलामा आएको बाढीले बगाएर छाडेका अवस्थामा ३९ वटा सीमास्तम्भ जीर्ण अवस्थामा भेटिएको सशस्त्र प्रहरी निरीक्षक कार्कीले जानकारी दिए । जिल्लाका सुरक्षा प्रमुख बेखबर पर्सामा पछिल्लो समय थप सीमास्तम्भ हराएको विषयमा भने जिल्लाका सुरक्षा प्रमुख भने बेखबर छन् । नेपाल भारत सीमा क्षेत्रमा रहेका सीमास्तम्भका बारेमा सम्बन्धित क्षेत्रका सशस्त्र प्रहरी बोर्ड आउट पोष्ट (बिओपी ) र बेस क्याम्पका टोलीले प्रत्येक महिना स्थलगत निरीक्षण गरेर त्यसको लिखित जानकारी सशस्त्र प्रहरी बल सीमा सुरक्षा १३ नम्बर गणमा गराउँदै आएका छन् ।सशस्त्र प्रहरी गणका प्रमुखले पनि त्यो जानकारी जिल्ला प्रशासन कार्यालय र आफनो माथिल्लो निकायमा गराउने गरेका छन् । तर, पर्साका प्रमुख जिल्ला अधिकारी लोकनाथ पौडेलले भने पछिल्लो पटक थप सीमास्तम्भ हराएको बारेमा आफूलाई कुनै जानकारी नआएको प्रतिक्रिया दिए । गत बैशाखमा वीरगन्जमा दुवै देशका अधिकारीबीच बैठक बसेको थियो, त्यो बैठकमा एक सय नौ सीमास्तम्भ हराएको विषयमा छलफल भएको थियो, प्रमुख जिल्ला अधिकारी पौडेलले भने, 'तर पछिल्लो समय थप सीमास्तम्भ हराएको विषयमा मलाई कुनै जानकारी गराइएको छैन, अब म सम्बन्धित अधिकारीबाट यस बारेमा जानकारी लिन्छु । ' सशस्त्र प्रहरी बल सीमा सुरक्षा १३ नम्बर गणका प्रमुख सशस्त्र प्रहरी उपरीक्षक प्रेमध्वज शाहले पनि एक सय नौ वटा सीमास्तम्भ हराएको पूरानो तथ्यांक मात्रै रहेको र थप ५५ वटा सीमास्तम्भ हराएको बारेमा भने आफूलाई पनि जानकारी नरहेको बताए ।"
"धावनमार्गमा समस्या आएपछि विमान आकाशमै","काठमाडौं : धावनमार्ग (रनवे) मा भत्किएपछि त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलमा केहीबेर उडान अवतरण अवरुद्ध भएको छ । रनवे अवरुद्ध हुँदा अवतरणमा रहेका आन्तरिक तथा अन्तर्राष्ट्रिय उडान ५:४० बजेदेखि आकाशमै होल्ड भएका छन् । रनवे सामान्य चर्किएपछि मर्मतका लागि विमान केही समयका लागि होल्डमा बस्नुपरेको विमानस्थलका महाप्रबन्धक राजकुमार क्षेत्रीले जानकारी दिए । केही समयपछि नै उडान अवतरण सामान्य हुने उनको भनाइ छ । खासगरी वर्षायाममा विमानस्थलको कोटेश्वरतर्फको रनवेमा पटकपटक समस्या आउने गरेको छ ।"
"बुधबार संविधान दिवस : यस्ताे छ तयारी","काठमाडौं : नेपालको संविधान जारी भएको तेस्रो वर्ष पूरा भई चौथो वर्षमा प्रवेश गरेको अवसरमा बुधबार संविधान दिवस मनाइँदै छ । दिवसको अवसरमा प्रधानमन्त्री केपी शर्मा ओली अध्यक्ष रहेको संविधान दिवस मूल समारोह समितिले सैनिक मञ्च टुँडिखेलमा विशेष समारोह गर्दैछ । समारोहमा राष्ट्रपति, उपराष्ट्रपति, प्रधानमन्त्री, राष्ट्रियसभाका अध्यक्ष, सभामुख, संवैधानिक नियकायका प्रमुख, मन्त्री, विभिन्न राजनीतिक दलका नेता, सुरक्षा निकायका प्रमुख, राष्ट्रसेवक कर्मचारीलगायतको उपस्थिति रहने सञ्चार तथा सूचना प्रविधि मन्त्रालयले जनाएको छ । समारोहमा पुष्पवृष्टि, संविधान दिवस२०७५ अंकित तुल प्रदर्शन, नेपाली सेना, सशस्त्र प्रहरी, नेपाल प्रहरी र स्काउटद्वारा कवाज, विभिन्न धार्मिकसामाजिक सङ्घसंस्थाबाट विभिन्न जातजातिको वेशभूषा झल्कने झाँकी प्रदर्शन, काठमाडौँ र ललितपुर महानगरपालिकाबाट विशेष झाँकी प्रदर्शन गर्ने कार्यक्रम तय भएको छ । त्यसैगरी नेपाली सेना, नेपाल प्रहरी र सशस्त्र प्रहरीद्वारा रोचक कार्यक्रम प्रस्तुत गरिनाका साथै संविधान दिवस मूल समारोह समितिका अध्यक्ष एवं प्रधानमन्त्रीद्वारा विशेष सम्बोधन गरिने छ । त्यसैगरी विदेशस्थित नेपाली दूतावास, नियोग तथा वाणिज्य दूतावासमा संविधान दिवस एवं राष्ट्रिय दिवसका अवसरमा विभिन्न कार्यक्रम गरिने र असोज २, ३ र ४ गते दीपावली गरिने मन्त्रालयले जनाएको छ । काठमाडौँ उपत्यका बाहिरका प्रदेशका राजधानी, जिल्ला र स्थानीय तहमा सरसफाइ, प्रभातफेरी, खेलकुद, प्रवचन गोष्ठी, साहित्यिक गोष्ठी, सांस्कृतिक कार्यक्रम र विभिन्न झाँकी प्रदर्शनी गरिनाका साथै असोज २, ३ र ४ गते दीपावली गरिने छ । सरकारले संविधान दिवस मनाउन प्रधानमन्त्रीको अध्यक्षतामा ३३ सदस्यीय मूल समारोह समिति, सञ्चार तथा सूचना प्रविधि मन्त्रालयको संयोजकत्वमा प्रचारप्रसार उपसमिति र कामपाको संयोजकत्वमा मञ्च सजावट व्यवस्था उपसमिति गठन गरेको थियो । सर्वसाधारणलाई कुर्सी व्यवस्था चौथो संविधान दिवस मनाउनका लागि काठमाडौँ महानगरपालिकाले आफ्नो सम्पूर्ण तयारी पूरा गरेको छ । यस वर्ष सर्वसाधारणले पनि सहजतापूर्वक समारोह हेर्न पाउने गरी तयारीको काम भएको महानगरपालिकाले जनाएको छ । यसअघिका वर्षमा विशिष्ट व्यक्तिका लागि मात्र बसेर हेर्ने व्यवस्थापनको काम गर्दैआएको महानगरले यस वर्षदेखि सर्वसाधारणको लागि पनि कुर्सीको व्यवस्थापन गरेको छ । महानगरपालिकाका सहप्रवक्ता नवराज ढकालका अनुसार सर्वसाधारणका लागि बस्नका लागि कुर्सी, पिउने पानी, र स्वास्थ्योपचार केन्द्र राखिने छ । सर्वसाधारणका लागि तीन हजार र विशिष्ट व्यक्तिका लागि दुई हजार कुर्सी राखिसकिएको ढकालले जानकारी दिए । बुधबार मनाइने संविधान दिवसका लागि कामपाले केही स्थानमा वृक्षरोपण, सरसफाइ, मञ्च सजावटजस्ता काम पनि गरेको छ । त्यसैगरी समारोहमा पुष्पवृष्टि गरिनाका साथै विकासे र सांस्कृतिक झाँकी प्रदर्शन गरिने कामपाले बताएको छ । कार्यक्रम अवधिभर दमकल, एम्बुलेन्सलगायत आवश्यक सेवा तैनाथ हुनेछ । काठमाडौँ उपत्यकाका सबै नगरपालिकाको परम्परागत, सांस्कृतिक र जातीय पहिचानसहितको झाँकी र विभिन्न पेशागत समूहको प्रदर्शनका लागि कामपाले सहकार्य गरेको छ । रासस"
"मिनी म्याराथुनमा सेना प्रथम","इलाम : संविधान दिवसको अवसरमा मंगलबार इलाममा खुल्ला मिनी म्याराथुन प्रतियोगितामा नेपाली सेनाका धावक प्रथम भएका छन् । संविधान दिवस मूल समारोह समितिको आयोजना तथा इलाम नगरपालिका, जिल्ला खेलकुद विकास समिति र जिल्ला युवा समितिको संयोजनमा खुल्ला मिनी म्याराथुन भएको हो । प्रतियोगितामा पुरुषतर्फ नेपाली सेनाका चन्द्रकुमार सुनार प्रथम भए । उनले १४ मिनेट ३० सेकेण्डमा दूरी पार गरेका थिए । दोस्रो माइपोखरी ट्रेनिङ सेन्टर इलामका मौषम तामाङले १४ मिनेट ४० सेकेण्डमा दूरी पार गरे । माइपोखरी ट्रेनिङ सेन्टर इलाम सचित राई ले १५ मिनेट १० सेकेण्डमा पूरा गरी तृतीय र नेपाली सेनाका शिशिर वाइवा तामाङल१६ मिनेट ५ सेकेण्डमा पूरा गरी सान्तवना घोषित भए । त्यस्तै महिलातर्फ नेपाली सेनाका शान्ता योङहाङले २० मिनेट ३० सेकेण्डमा दूरी पार गरी प्रथम र नेपाली सेनाकै योजना कुमाल २० मिनेट ५८ सेकेण्डमा पार गरी द्वितीय स्थान हाँसिल गर्न सफल भइन् । इलाम चोक बजारदेखि धोविधारा जिरो किलोमिटर टुँडिखेल हुँदै चोकबजार सम्मको साढे ३ किलोमिटर पुरुष र महिला म्याराथुन आयोजना गरिएको थियो ।प्रतियोगितामा नेपाली सेना, सशस्त्र प्रहरी, नेपाल प्रहरी र माइ पोखरी ट्रेनिङ सेन्टर इलामका २६ जना पुरुष र महिलाहरुले सहभागिता जनाएका थिए । विजेतालाई बुधबार संविधान दिवसको दिन पुरस्कार वितरण गरिने मूल आयोजक समितिले जनाएको छ ।"
"""सामुदायिक विद्यालय कर्मचारीद्वारा राजधानीमा र्याली","फोटो"",""काठमाडौं : लामो समय सेवा गर्दा पनि अन्त्यमा रित्तो हात फर्किन बाध्य बनाइएको भन्दै सामुदायिक विद्यालयका कर्मचारीहरूले मंगलबार राजधानीमा प्रदर्शन गरेका छन् । उनीहरूले काठमाडौंको माइतीघर मण्डलदेखि नयाँ बानेश्वरसम्म र्याली तथा विरोध प्रदर्शन गरेका छन् । आठौँ शिक्षा ऐन कार्यान्वयन गर्नुपर्ने, सर्वोच्चको फैसलाअनुसार सेवा कानुन निर्माण गरी कार्यान्वयन गर्नुपर्ने, आजीवन सेवा गरेका विद्यालय कर्मचारीहरूलाई विभिन्न बहानामा रित्तो हात निष्कासन गर्न नहुने लगायतका माग राखेर उनीहरूले र्याली गरेका हुन् । हेर्नुस् फोटोहरूः"""
"""गुणस्तरहीन कामले लज्जित हुनु परेको छ : दिपक गौतम","निर्माण व्यवसायी"",""गुणस्तरहीन कामले लज्जित हुनु परेको छ : दिपक गौतम, निर्माण व्यवसायी"""
