"शीर्षक","विवरण"
"""रहस्यले भरिएका बलरको कमाल","एकै ओभरमा बनाए २८ रन"",युएई : अफगानिस्तानका स्टार बलर राशिद खानलाई समकालिन क्रिकेट विश्वका उत्कृष्ट बलरका रुपमा जानिन्छ । तर यस पटक राशिद आफ्नो बलिङबाट नभइ ब्याटिङबाट समाचारको शीर्षकमा छाएका हुन् । युएईमा जारी अफगानिस्तान प्रिमियर लीगको तेस्रो भिडन्तमा राशिदले छक्काको बर्षात् नै गरे । काबुलका कप्तान राशिद खानले रवि बोपाराको ओभरमा ४ छक्का र एक चौकाको मद्धतमा २८ रनमा एपीएलको तेस्रो भिडन्तमा मोहम्मद नबीको कप्तानीमा बल्ख लिजेन्ड्स र राशिद खानको कप्तानीमा काबुल ज्वानन आमनसामने भएका थिए । पहिले ब्याटिङ गर्दै काबुलले राशिद खानको ५६ रन सहयोमा १७६ रन बनाएको थियो । तर बल्खले १९ ओभरमै खेल जित्यो । यो खेलमा काबुलले पराजय भोगे पनि बलिङमा चम्किने राशिदले ब्याटिङमा पनि समर्थको मन जिते । राशिद त्यो बेला ब्याटिङ गरिरहेका थिए जुन बेला काबुल संकटमा थियो । १२ औँ ओभरमा ७६ रन बनाएको अवस्थामा ५ ब्याट्सम्यान गुमाएको अवस्थामा राशिद मैदान छिरेका थिए ।"
"जब एम्बाप्पे चम्किए : १३ मिनेट भित्र गरे ४ गोल","एजेन्सी : फ्रान्सका १९ वर्षीय फुटबलर केलियन एम्बाप्पेले पेरिस सेन्ट जर्मेन (पीएसजी) का लागि १३ मिनेटमै चार गोल गरेका छन् । आइतवार फ्रेन्च लीग 'लीग १' मा पीएसजीले लियोनलाई ५० ले हराउने क्रममा एम्बाप्पे एक्लैले चार गोल गरेका हुन् । त्यसक्रमम एम्बाप्पे थप तीन गोल गर्न चुकेका छन्, जसलाई लिएर अहिले उनी पछुतो मानिरहेका छन् । एम्बाप्पेले यी सबै गोल खेलको दोस्रो हाफमा गरेका हुन् । उनले ६१ औँ, ६६ औँ, ६९ औँ र ७४ औँ मिनेटमा गोल गरेका हुन् । एम्बाप्पेले फ्रेन्च लीगका तीन खेलमा प्रतिबन्ध झेलेपछि पुनरागमन गरेका थिए । एक सेप्टेम्बरमा निमेसविरुद्ध तेजी सेभेनियरसँग ठोक्किएपछि उनीमाथि तीन खेलमा प्रतिबन्ध लगाइएको थियो । जसविरुद्ध उनले फ्रेन्च फुटबल फेडरेशनमा अपिल गरेका थिए । फेडरेसनले उनको अपिललाई खारेज गरिदिएको थियो । चार गोल गरेपछि उनले भने, 'मैले कयौँ मौका गुमाएँ, म अझै गोल गर्न सक्थेँ । राम्रो खेलका लागि म लगातार काम गरिरहेको छु र मैले आफूमाथि कहिल्यै शंका पनि गरेको छैन । मलाई थाहा थियो कि मलाई सदैव टिमका साथीले मलाई साथ दिइरहनेछन् ।' यस वर्ष रुसमा भएको फिफा विश्वकपमा एम्बाप्पेले ४ गोल गरेका थिए । उनले दुई गोल प्रिक्वार्टर फाइनलमा लियोनल मेसीको टिम अर्जेन्टिना र दुई गोल क्रोएसियाविरुद्ध फाइनलमा गरेका थिए । उनी फिफा विश्वकपका उत्कृष्ट युवा खेलाडी पनि चुनिए । एम्बाप्पेले आफ्नो त्यही लयलाई कायम राख्दै यस सिजन फ्रेन्च लिगका पाँच खेलमा ८ गोल गरिसकेका छन् । पीएसजीका पहिलो आइतवारको खेलमा पहिलो गोल स्टार खेलाडी नेमार जुनियरले नवौँ मिनेटमा पेनाल्टीबाट गरेका थिए । उनले यस जितलाई पुरै टिमको मेहनतको नतिजा भनेका छन् ।"
"""यौन शोषण प्रकरणमा फसे नाना पाटेकर","भन्छन् : तनुश्री गलत छिन्"",""नयाँ दिल्ली : एकजना अभिनेत्री तनुश्री दत्तामाथि यौन शोषणको गम्भीर आरोपबारेमा बलिउड अभिनेता नाना पाटेकरले मुख खोलेका छन् । तनुश्रीले नाना पाटेकरमाथि यौन शोषणको आरोप लगाएपछि बलिउडमा खलबली मच्चिएको हो । नाना पाटेकरले आफूमाथि लागेको आरोपबारे सोमबार पत्रकार सम्मेलन गरेर स्पष्टिकरण दिएका हुन् । नानाले सफाई दिँदै आफ्नो पुरानै कुरा दोहोर्याएका छन् । 'सत्य त सत्य नै हुन्छ नि तनुश्री झुठ बोलिरहेकी छन् । मैले १० वर्षअघि पनि यही कुरा बताएको थिएँ ।' नानाले यति कुरा बताएपछि सञ्चरकर्मीलाई छल्दै पत्रकार सम्मेलनस्थल छाडेर हिँडे । सञ्चारमाध्यम आफ्नो पछि लागेकोबारे पनि उनले एउटा कुरा सुनाए । 'मेरा वकिलले मलाई पत्रकार र टिभी च्यानलसँग कुरा गर्न अनुमति दिएका छैनन् ।' समाचार अनुसार आज बिहान नानाका छोरा मल्हारले सञ्चारमाध्यमलाई सन्देश पठाएर आफूहरु पत्रकार सम्मेलन गर्न नसक्ने बताएका थिए । मल्हारको म्यासेजम भनिएको थियो, 'हामी तपाईँलाई सोमबार कुनै पनि पत्रकार सम्मेलन नहुने जानकारी गराउँछौँ । यसभन्दा पछाडि जे पनि कदम चाल्छौँ हामी तपाईँहरुलाई जानकारी गराउँछौँ ।' समाचर अनुसार तनुश्री दत्ताले नानामाथि सन् २००८ मा फिल्म 'हर्न ओके प्लिज' को सुटिङका क्रममा यौन दुर्व्यवहार गरेको आरोप लगाएकी थिइन् । फिल्म सुटिङको सट लिने क्रममा गणेश आचार्यले अचानक गीतको स्टेप्स बदलिदिएपछि नाना पाटेकर आएर गलत ढंगले छोएको उनले बताएकी छन् । तनुश्रीले यसको विरोध गरिन् र सुटिङ नै छाडेर हिँडेकी बताइएको छ । त्यो बेला नाना पाटेकरको इशारामा राजनीतिक गुण्डा लगाएर हमला गराएको पनि उनले बताएकी थिइन् ।"""
"कांग्रेसको निचोड : वाम सरकार आठ महिनामै असफल","काठमाडौँ : प्रमुख प्रतिपक्षी दल नेपाली कांग्रेसले नेकपा अध्यक्ष केपी शर्मा ओली नेतृत्वको सरकार असफल भइसकेको निचोड निकालेको छ । आइतवार राति अबेरसम्म बसेर सकिएको कांग्रेस केन्द्रीय समितिको बैठकले दुईतिहाइ बहुमतको वाम सरकार आठ महिनामै असफल भइसकेको निचोड निकालेको हो । बैठकपछि समसामयिक विषयमा विभिन्न ६ बुँदे विज्ञप्ती निकाल्दै कांग्रेसका प्रवक्ता विश्प्रकाश शर्माले शान्ति सुरक्षा कामय गर्न चुकेको र महँगी रोक्न नसकेकाले सरकार असफल भएको निचोड निकालिएको जानकारी दिए । पर्वहरुका बेलामा आम नागरिकको मुख्य चासो एकातर्फ शान्ति सुरक्षाको खोजी हुन्छ भने अर्कातर्फ सुपथ मूल्यमा उपभोग्य वस्तु प्राप्तिको अपेक्षा हुन्छ, शर्माले निकालेको विज्ञप्तीमा भनिएको छ, तर यी दुवै सन्दर्भमा वर्तमान सरकार असफल प्रमाणित भएको छ । सरकारमाथि ६ आरोप कांग्रेसले वाम नेतृत्वको सरकामाथि विभिन्न ६ वटा आरोप पनि लगाएको छ । उसले नेपाल वायु सेवा निगमको वाइडबडी विमान खरिद प्रक्रियामा भएको अनियमितताको छानबिन गर्न माग गरेको छ । वाइड बडी जहाज खरिद प्रकरण अपारदर्शी तथा ठूलो आर्थिक अनियमितता भएको विवरणहरु सार्वजनिक भइरहेका छन्, कांग्रेसले भनेको छ, यो घोटालाबारेको वास्तविकता छानविन गरीसार्वजनिक गर्न सम्बन्धित निकायसमक्ष तीव्र गतिका लागि आग्रह गर्दछ । निर्मला पन्त प्रकरण कांग्रेसको बैठकले कञ्चनपुरकी बालिका निर्मला पन्तको बलात्कार र हत्याका दोषीलाई अढाई महिना बित्दा पनि कारबाही नगरेकोमा सरकारको कडा आलोचना गरेको छ । निर्मला बलात्कार र हत्याका दोषीलाई कानुनी दायरामा नल्याएकाले सरकार असंवेदनशील र असक्षम प्रमाणित भएको छ । मुलुकभरी यस्तै प्रकृतिका घटना बढिरहनु चिन्ताको विषय हो, शर्माले विज्ञप्तीमाा भनेका छन्, शान्ति सुरक्षा कायम गर्न नसक्ने सरकारको अर्कमण्यताले अपराधको साम्राज्य विस्तार हुँदैछ । यसको भत्र्सना गर्दै सरकारलाई आफ्नो जिम्मेवारीप्रति गम्भीर बन्न पार्टी सचेत गराउँदछ । महंगीबारे चिन्ता कांग्रेसले चाडपर्वको मुखमा उपभोग्य वस्तुको मूल्य चुलिँदा पनि सरकार रमिते बनेको आरोप लगाएको छ । सर्वहाराका नाममा सत्तामा पुगेको नेतृत्वले त्यसमा हस्तक्षेप गर्नु त परै जाओस्, सरकारकै रवैयाका कारण चिनी लगायतका वस्तु तथा दशैको बेलामा गाडी भाडामा मूल्यवृद्धि हुन पुगेको छ, कांग्रेसले भनेको छ, उसै पनि चर्को करका कारण पीडा झेलिरहेका नागरिकलाई झन पीडा थपिएकोमो सरकारलाई सचेत गराउने निर्णय लिएको छ । बूढीगण्डकी किन चीनलाई ? नेपाली कांग्रेसको बैठकले जलासययुक्त बूढीगण्डकी जलविद्युत् परियोजना चिनियाँ कम्पनीलाई बिनाप्रतिस्पर्धा दिएकोमा पनि आपत्ति जनाएको छ । बूढीगण्डकी स्वदेशी लगानीमै निर्माण गर्न सकिने ठहर नेपाली कांग्रेसको नेतृत्वको सरकारका पालामा गठित अध्ययन समितिले गरेको थियो, कांग्रेसले भनेको छ, त्यसका लागि नेपाली जनताको लगानी सहभागिताको प्रकृया समेत सुरुभ भई अर्बाैं रुपैयाँ संकलन भइसकेका बेला गेजुवा कम्पनीलाई सुम्पने निर्णयलाई पार्टीले अपारदर्शी, आश्चर्यजनक र आपत्तिजनक ठानेको छ । कांग्रेसले कुनै प्रकृया नअपनाई बिनाप्रतिस्पर्धा देशले बनाउन सक्ने परियोजना अरुलाई सुम्पिनु सरकारको राष्ट्रहित विपरीतको कदम भएको पनि ठहर गरेको छ । निजगढमा धेरै रुख काट्नु गलत कांग्रसेले निजगढमा अन्तर्राष्ट्रिय विमानस्थल निर्माणमा ढिलाइ गर्न नहुने बताएका छन् । तर विमानस्थलका लागि आवश्यक जग्गा भन्दा बढी रुख काट्ने प्रस्तावप्रति कांग्रेसले विमत्ति जनाएको छ । विमानस्थललाई आवश्यक जग्गा, उत्पन्न विवाद प्रकरण, लगानी सुनिश्चितता तथा निर्माणको मोडालिटीका बारेमा राष्ट्रिय रुपमा गम्भीर छलफल गरेर निर्णयमा पुग्नुपर्छ, कांग्रेसले भनेको छ, यसलाई विवादित बनाउनबाट रोक्न र समयमा नै निर्माण सम्पन्न गर्ने गरी गति बढाउन नेपाली कांग्रेस सरकारलाई अपील गर्दछ । गोदारीमा राजधानी गलत कांग्रसेले सुदूर पश्चिम प्रदेश सभाले भौतिक पूर्वाधार नै नभएको वातावरणीय दृष्टिले नमिल्दो गोदावरी नगरपालिकामा राख्न गरेको निर्णयलाई अपरिपक्व, विकास विरोधी, गैरजिम्मेवार र भू तथा वन माफियाहरुको चलखेलबाट प्रभावित भएको ठहर गरेको छ । यस निर्णयले उक्त स्थानमा भौतिक पूर्वाधारको निर्माण गर्न अरबौं लगानी हुन गई विकास निर्माणका सम्पूर्ण कार्य ठप्प हुने अवस्थामा छ, विज्ञप्तीमा भनिएको छ, वातावरणीय दृष्टिकोणले वन क्षेत्र नास हुने तथा वन्यजन्तुको आवागमन अवरुद्ध भई पर्यावरणीय समस्या सिर्जना हुने विशेषज्ञको राय छ । चुरेको फेदीमा अवस्थित उक्त क्षेत्रमा सहर निर्माण गर्ने, भौतिक पूर्वाधार खडा गर्ने कार्यले प्राकृतिक प्रकोप बढ्न जाने र तल्लो तटीय क्षेत्रमा बाढी, भूक्षय लगायत मरुभूमिकरणको समस्या बढ्ने जोखिम छ । तसर्थ, उक्त राजधानी गोदावरी नगरपालिका २ र ४ मा बनाउने गरी गरिएको निर्णयमा पुनर्विचार गर्नुपर्दछ ।"
"दुई अमेरिकी शोधकर्तालाई अर्थशास्त्रतर्फको नोबेल","स्टकहोम : अर्थशास्त्रको क्षेत्रमा योगदानका लागि यस वर्षको नोबेल पुरस्कार अमेरिकाका दुई अर्थशास्त्रीलाई दिइने भएको छ । रोयल स्विडिस एकेडमी अफ इकोनोमिक्सले जलवायु परिवर्तन र आर्थिक विकासमाथि खोजका लागि विलियम नोरधाउस र पल रोमेरलाई यो वर्षको अर्थशास्त्रतर्फको नोबेल पुरस्कार दिने घोषणा गरेको हो । दुई वैज्ञानिकलाई ९० लाख स्वडिस क्रोनर (करिब ११७१ करोड नेपाली रुपैयाँ) प्रदान गरिने छ ।"
"गुण्डा नाइके समिरमानलाई थुनामुक्त गर्ने निवेदन खारेज","काठमाडौँ : सर्वोच्च अदालतले गुण्डाका नाइके समीरमान बस्नेतलाई थुनामुक्त गर्न माग गर्दै दायर गरिएको बन्दी प्रत्यक्षीकरण रिट निवेदन खारेज गरेको छ । न्यायाधीश शारदाप्रसाद घिमिरे र ईश्वर खतिवडाको संयुक्त इजलासले आज बस्नेतलाई थुनामुक्त गर्न दायर गरिएको बन्दी प्रत्यक्षीकरण रिट निवेदन खारेज गर्ने आदेश दिएको हो । यही असोज १७ गते न्यायाधीश दीपकराज जोशीको एकल इजलासले बस्नेतलाई सूचना पाएको तीन दिनभित्र सर्वोच्च अदालतमा उपस्थित गराउन आदेश जारी गरेको थियो । त्यही आदेशानुसार सर्वोच्च अदालतमा उपस्थित भएपछि बस्नेतको निवेदन खारेज गरेको हो । ललितपुरस्थित नख्खु कारागारमा रहेका बस्नेतलाई मुस्ताङ कारागार पठाइएको थियो । बस्नेतलाई गैरकानूनी रुपमा थुनामा राखेको उल्लेख गर्दै सुधीरमानसिंह बस्नेतले सर्वोच्च अदालतमा बन्दी प्रत्यक्षीकरणको रिट निवेदन दायर गरेका थिए । नेपाल निर्माण व्यवसायी महासङ्घका अध्यक्ष शरद गौचनको हत्या आरोपमा केन्द्रीय अनुसन्धान ब्यूरो (सिआइबी)ले भारतबाट पक्राउ गरेर गत मङ्सिरमा सार्वजनिक गरेपछि बस्नेतलाई थुनामा रोखेको थियो । गौचनको गत असोज २३ गते काठमाडौँको बानेश्वरस्थित शान्तिनगरमा गोली हानी हत्या भएको थियो ।"
"हिन्दुसँग प्रेम गरेको भन्दै १८ वर्षे किशोरीलाई ५ घण्टा बाँधेर यातना","नयाँदिल्ली : बिहारको नोएडास्थित एक मुस्लिम बस्तीमा १८ वर्षीया किशोरीलाई फरक धर्मका पुरुषसँग प्रेम सम्बन्ध गाँसेको भन्दै आफ्नै परिवार सहित स्थानीयले रुखमा बाँधेर ५ घण्टासम्म यातना दिएका छन् । भारतको उत्तरपूर्वी क्षेत्रकी ती मुस्लिम किशोरीको नाम भने खुलाइएको छैन । स्थानीय संचारमाध्यमले उल्लेख गरे अनुसार एक हिन्दु पुरुष रुपेश कुमारसँग उनको प्रेम सम्बन्ध रहँदै आएको थियो । यस्तो घटना स्थानीयले मोबाइल फोनमा भिडियो खिचेर सार्वजनिक गरिदिएका हुन् । घटनाबारे प्रहरीलाई रिपोर्ट भए पनि कसैलाई पक्राउ गरेको छैन । भिडियोमा ती किशोरीलाई रुखमा बाँधेर परिवार र छिमेकीले निर्घात कुटपिट गरिरहेका छन् । किशोरीले परिवारको इच्छा विपरित हिन्दु समुदायको पुरुषसँग प्रेम गाँसेको उनीहरुले बताउँदै आएका छन् ।"
"""गृहमन्त्रीको निर्देशन : सिमानाको तस्करी रोक्नू","तीन महिनामा परिणाम देखाउनू"",""काठमाडौँ : गृहमन्त्री रामबहादुर थापाबादलले सिमानामा हुने तस्करी र अपराधका घटना नियन्त्रणमा सशस्त्र प्रहरीबललाई थप सक्रिय भएर लाग्न निर्देशन दिएका छन् । सोमबार गृहमन्त्रालयमा सशस्त्र प्रहरी बलका महानिरीक्षक, अतिरिक्त प्रहरी महानिरीक्षक र सातै प्रदेशका बलका प्रमुख नायव महानिरीक्षकहरुलाई निर्देशन दिँदै गृहमन्त्री थापाले यस्तो निर्देशन दिएका हुन् । गृहमन्त्री थापाले सिमानाको तस्करी र अपराधका घटनाको नियन्त्रणमा तीन महिनाभित्र परिणाम देखिने गरी काम गर्न कडा निर्देशन दिए । उनले चाडपर्व नजिकिएसँगै सीमाबाट तस्करी बढ्न सक्ने भएकाले त्यसमा विशेष ध्यान दिनसमेत अधिकारीहरुलाई सचेत गराए । उनले राज्यले बललाई सीमा, विपद् र शान्ति सुरक्षाको प्रमुख जिम्मेवारी दिएको बताउँदै यो जिम्मेवारीलाई इमान्दारीपूर्वक निर्वाह गर्न निर्देशन दिए । गृहमन्त्रालयले मदिरा नियन्त्रण र लागूपदार्थ निषेध अभियान सुरु गरेको जानकारी दिँदै गृहमन्त्री थापाले यो अभियानमा बलले समेत विशेष भूमिका निर्वाह गर्नुपर्ने बताए । देशमा अस्थिरता निम्ताउन खोज्ने तत्वहरुको समेत निगरानी बढाउन उनले बलका पदाधिकारीहरुलाई निर्देशन दिएका छन् ।"""
"व्यापारीको आरोप : म्याद गुज्रेको भन्दै ह्विस्की जफत गरियो","ओखलढुंगा : जिल्ला प्रशासन कार्यालय र सिद्धिचरण नगरपालिकाको संयुक्त अनुगमन टोलीको बजार अनुगमनका क्रममा म्याद नजाने वस्तु समेत अखाद्य भनेर जफत गरेको स्थानीय व्यापारीको गुनासो छ । म्याद नगुज्रने वस्तु समेत म्याद गुज्रिएको भन्दै जफत गरेको व्यापारीहरुले आरोप लगाएका छन् । उनीहरुका अनुसार कतिपय वस्तुको म्याद सन् २०२२ सम्म भए पनि अनुगमन टोलीले जफत गरेको छ । सिद्धिचरण नगरपालिका१२ स्थित पिएस स्टोरका मालिक प्रदीप श्रेष्ठका अनुसार अधिकांश म्याद नगुज्रिएका रक्सी अनुगमन टोलीले जफत गरेको हो । यस क्रममा अनुगमन टोलीले लापरवाही गरेको व्यापारीहरुले आरोप लगाएका छन् । अनुगमनकै क्रममा केही बेर व्यापारी र अनुगमन टोलीका सदस्यबीच आरोप प्रत्यारोप नै चल्यो । म्याद नै नजाने भिजन र एन्टीक्विटी ह्विस्की समेत जफत गरेपछि व्यापारीहरु आक्रोशित बनेका हुन् । कतिपय बिग्रने तरल पदार्थ भएका वस्तुमा प्वाल नै पारिदिएपछि उनीहरु रुष्ट बने । पिएस स्टोरका मालिक श्रेष्ठले भने, रेडबुल १ सय १० ओटा म्याद सकिएको भनेर प्वाल पार्न लगाइयो । म्याद नै नहुने वस्तु समेत जफत गरेर मेरो फर्मबाट लगियो । यस्तै व्यापारीहरुले क्षतिपुर्तिको माग समेत गर्न थालका छन् । अनुगमनको नेतृत्व गरेका सहायक प्रमुख जिल्ला अधिकारी रविन्द्र पौड्यालले भने अनुगमन टोलीले म्याद सकिएका वस्तु मात्रै जफत गरेको दावी गरे ।"
"गोरुको मृत्युमा भव्य शवयात्रा र दाहसंस्कार","नयाँदिल्ली : तपाईँले घरमा पालेको गोरु वा साँढे मर्यो भने के गर्नुहुन्छ ? खाडल खनेर पुरिदिनुहुन्छ होला । तर भारतको बिहारस्थित गया जिल्लामा एउटा गोरुको मृत्युलाई भव्य शवयात्रा सहित श्रद्धान्जली दिँदै मृत्यु संस्कार मनाइयो । शवयात्रामा भेला भएका सय भन्दा बढी स्थानीयले हर हर महावेद नारा लगाउँदै बाजागाजा समेत गरे । शवयात्रामा हिन्दु र मुसलमान समुदायका समेत थिए । खादा ओडाएर, फूलमाला र अविर लगाइएको गोरुको मृत शरिरलाई बयलगाढामा चढाएर सहर परिक्रमा नै गराइयो । १० वर्षको उक्त गोरुले बिहानै मुखबाट फिँज निकालेपछि चिकित्सकलाई बोलाइयो । तर बचाउन नसकेपछि गाउँलेको भेलाले विधिपूर्वक मृत्यु संस्कार गराउने भन्दै गोरुको मृत शरिरलाई सहर परिक्रमा गराएका हुन् । खासमा उक्त गोरु स्थानीयहरुमाझ बादशाह, डन जस्ता नामले लोकप्रिय थियो । दुई वर्षअघि यही ठाउँमा बिजुलीको झट्का लागेर एउटा बाँदरको मृत्यु भएको थियो । मृत्युपछि गाउँलेले बाँदरको हिन्दु विधि अनुसार मृत्यु संस्कार गर्दै त्यसको मन्दिर समेत बनाइएको थियो । यस पटक पनि बादशाह नामको गोरुको मृत्यु हुँदा गाउँलेले सहर परिक्रमा गराउँदै केही किलोमिटर पर लगेर दाहसंस्कार गरे । बिबिसी हिन्दीबाट"
