"शीर्षक","विवरण"
"""धादिङमा टिपर दुर्घटना","तीनको मृत्यु, तीन घाइते"",""धादिङ : धादिङको थाक्रे गाउँपालिका१० मानेडाँडामा शुक्रबार साँझ टिपर पल्टिदाँ तीन जनाको मृत्यु भएको छ । थाक्रे गाउँपालिका१०, भीमसेनथानबाट गल्छी गाउँपालिकाको चकमके जाँदै गरेको बा ५ प २४१८ नम्बरको टिपर अनियन्त्रित भएर दुर्घटनामा परेको प्रहरीको भनाइ छ । दुर्घटनामा दुई जनाको घटनास्थलमा र एकको उपचारका लागि लाने क्रममा बाटोमा मृत्यु भएको इलाका प्रहरी कार्यालय खानीखोलाका इन्पेक्टर उद्धव पोखरेलले जानकारी दिए । मृत्यु हुनेमा थाक्रे १० का ३२ वर्षीय महेश तामाङ, सोही ठाउँका ५० वर्षीया सावित्री तामाङ र ६० वर्षीया सोममाया तामाङ रहेको छन् । दुर्घटनामा तीनजना घाइते भएका छन् । घाइते हुनेमा टिपर चालक हरेन्द्र तामाङ, टेकबहादुर तामाङ र चारवर्षीया बालिका रहेका छन् । घाइतेहरुको उद्दार गरी उपचारका लागि काठमाडौँ पठाइएको छ । टिपर सडकबाट पाँच सय मिटर तल खसेको प्रहरीले जानकारी दिएको छ ।"""
"""माथिल्लो डोल्पामा पहिलो झोलुङ्गे पुल","अब बगाउँदैन भेरीले"",""दुनै,डोल्पा : हिमाली जिल्ला डोल्पाको माथिल्लो डोल्पामा झोलुङ्गे पुल बन्दा स्थानीयको खुसीले गदगद भएका छन् । शेफोक्सुण्डो गाँउपालिकाको साल्दाङ्ग किराथाङमा पहिलो पटक झोलुङ्गे पुल बनेपछि स्थानीयको खुसीले रमाएका हुन् । साबिकको साल्दाङ गाविस साल्दाङ३ मा पर्ने किराथाङ खोलामाथि कुल ४० लाख लागदमा ११५ मिटरको पुल निर्माण गरिएको शेफोक्सुण्डो गाउँपालिकाका अध्यक्ष टासिटुण्डुप गुरुङले जानकारी दिए । उनले भने, सदियौँँको भेरी तरेर काममा जानु पर्ने दु:खका दिन गए । करिब २ वर्षमा पहिलो पटक झोलुङ्गे पुल निर्माण भएपछि क्याप्जे जिग्मे ठ्रोग्याल रिम्पोछेले पूजापाठ गरेर झोलुङ्गे पुलको उद्घाटन गरेका छन् । हरेक साल बर्षायाममा भेरी तरेर स्थानीयले ज्यान गुमाउनु परेको स्मरण गर्दै गुरु रिम्पोछेले पूजा गरी पुलको उद्घाटन गरेको वडा नम्बर ४ का अध्यक्ष पेमावाङ्जेन लामाले जानकारी दिए । नेपाल सरकार पुल तथा झोलुङ्गे पुल डिभिजन कार्यालयले २ वर्ष लगाएर निर्माण गरेको पुलले साबिकको साल्दाङ गाविसको कोमास, तिन्जे लगाउत विश्वको उच्च मानवबस्ती रहेको धो उपत्यकालाई जोड्ने जानकारी दिएको छ । भेरी छिचोल्दै नेपालकै बस्ती र तिब्बतको जोखिमपूर्ण यात्रा गर्न बाध्य भोटबासीका लागि झोलुङ्गे पुलले खुसी ल्याएको छिरिङटासी लामाले बताए । उनले भने, हरेक बर्ष चौरी गोठाला र अन्यको ज्यान जान्थ्यो । पुस्तौपछि बनेको यो पुलले चौरी गोठाला र भोटबासीको ज्यान जोगाउने भयो, सरकारलाई धन्यवाद । यो पुलले माथिल्लो डोल्पाका स्थानीयलाई मात्रै नभइ पर्यटकलाईसमेत सहज भएको छ । वर्षायाममा भेरी बढेर तर्न नसकिने तथा हिउँदमा चिसोेले समस्या हुन्थ्यो, पर्यटन व्यवसायी नुर्बु लामाले भने, पुल बनेपछि ढुक्को यात्रा गर्न पाइएको छ । अब माथिल्लो डोल्पामा पर्यटक भित्र्याउने बाटो पनि खुल्यो, अझै, दर्जनौ खोला र नदीमा पुल हाल्न बाँकी छ । यसै वर्ष मात्र भेरीमै एक याक गोठालाको तिब्बतबाट घर फर्किने क्रममा बगाएर मृत्यु भएको थियो । हरेक वर्ष गोठाला गुमाएको पीडा सम्झीदै टसिग्याल्छेन गुरुङ भक्कानिए । उनी भन्छन्, हरेक वर्ष कोही न कोहीले ज्यान त गुमाउनु पर्थ्यो अब ती दिन सम्झन पनि मन छैन । यस बर्ष मात्र माथिल्लो डोल्पाका ३ गाँउपालिकाका एक दर्जन भन्दा धेरै काठेपुल बगेकाले जोखिमपूर्ण अवस्था छ । छिटो भन्दा छिटो झोलुङ्गे पुल निर्माण गरिदिन भोटवासीले सरकारसँग आग्रह गरेका छन् । तर माथिल्लो डोल्पामा ढुवानी गर्न कठिन भएकाले सरकारले चासो नदिने गरेको नगारिकको आरोप छ ।"""
"""हात्तीले पाँच घर भत्कायो","धानबाली पनि नष्ट"",""महेन्द्रनगर : कञ्चनपुरको शुक्लाफाँटा नगरपालिकामा हात्तीले बितण्डा मच्चाउन थालेको छ । बिहीबार राति हात्तीको बथानले शुक्लाफाँटा नगरपालिका क्षेत्रका पाँच घर भत्काएको छ । सँगै किसानको धानबाली नष्ट गरेको छ । शुक्लाफाँटा राष्ट्रिय निकुञ्ज क्षेत्रबाट गाउँ पसेको हात्तीको बथानले शुक्लाफाँटा नगरपालिका १ र १२ का पाँच घर भत्काएको हो । हात्तीले वडा नम्बर १ का पार्वती सार्की, धनवीरे सार्की र मोहन विकको घर भत्काएको छ । वडा नम्बर १२ का सन्तराम राना र सन्तु रानाको घर भत्काएको छ । हात्तीले घर भत्काउनुका साथै भित्र रहेको अन्नबाली समेत खाइदिएको छ । रात पर्ने बेला ठूलै बथान जंगलबाट आएर घर भत्काउन थाल्यो शुक्लाफाँटा १ की पार्वती सुनारले भनिन्, हात्तीको आएको थाहा पाएर आफ्नो र बालबच्चाको जिउ जोगाउन सक्यौं । उनको घरसँगै रहेका अन्य २ घर हात्तीले भत्काएको हो । हात्तीले शुक्लाफाँटा नगरपालिकाको १, २, ७, ८,९, १०, ११ र १२ नम्बरमा केही समयदेखि क्षति गरिरहेको नगरपालिकाले जनाएको छ ।"""
"नेपाली जनसम्पर्क समिति आयरल्याण्डको तदर्थ समिति","आयरल्यान्ड : नेपाली कांग्रेसनिकट नेपाली जनसम्पर्क समिति आयरल्यान्डले नयाँ तदर्थ समितिको गठन गरेको छ । आयरल्यान्डको गलवें सिटीस्थित काश्मिरमा सम्पन्न भएको एक भेलाले नयाँ तदर्थ समिति गठन गरेको हो । कास्कीका शुक्रराज न्यौपानेको सभापतित्वमा तदर्थ समिति गठन गरेको हो । समितिको उपसभापतिमा काभ्रेका सागर लामा, महामन्त्रीमा बाग्लुङ्गका प्रकाश सापकोटा, कोषाध्यक्षमा बाग्लुङ्गकै लक्ष्मी सापकोटा, सहमहामन्त्रीमा दाङ्गका अंकित ओली, सहकोषाध्यक्षमा ललितपुरका राजकुमार महत चयन भएका छन् । युवा, सांस्कृतिक तथा खेलकुद विभाग संयोजकमा मोरङ्गका अनिष भण्डारी छन् । सदस्यहरुमा झापाका गणेश प्रसाई, तेह्रथुमका लक्ष्मी पौडेल, चितवनका अन्तिम उप्रेती, काभ्रेका राजकुमार खरेल, खोटाङ्गका राम गुरुङ्ग, बाग्लुङ्गका रुपेश रेग्मी, कञ्चनपुरका लोकेश धामी, कास्कीका प्रविन कोइराला, अर्चाखाचीका सरोज पोखरेल र चितवनका लक्ष्मी पोखरेल चयन भएका छन् । यस्तै सल्लाहकारमा नवराज कोइराला, विनोद कार्की, अच्युत गैरे छन् । बैठकले जनसम्पर्क समितिलाई थप क्रियाशील बनाएर आयरल्यान्डमा रहेका लोकतन्त्रवादीलाई एकीकृत गरी कांग्रेसको अभियानमा सहयोग पुर्याउने निर्णय गरेको छ । कार्यसमितिको पुनर्गठन र जिम्मेवारी हेरफेर गर्न सभापति शुक्रराज न्यौपानेलाई अख्तियार दिने निर्णय गरेको छ । २०१९ को जनवरी पहिलो साता मेलमिलाप दिवस मनाउने निर्णय गरेको कार्यसमिति सदस्य लोकेश धामीले जानकारी दिए । उनका अनुसार नेपाली जनसम्पर्क समिति आयरल्यान्डको पहिलो अधिवेशन अप्रिल २०१९ मा गर्ने निर्णयसमेत गरेको छ । अधिवेशनलाई सफल पार्नको सभापति शुक्रराज न्यौपानेको संयोजकत्वमा १०१ जनाको मूल आयोजक समिती गठन गरिएको छ । मूल आयोजक समितिमा नवराज कोईराला, विनोद कार्की, अच्युत गैरे, गणेश प्रसाई, सागर लामा, प्रकाश सापकोटा, लक्ष्मी सापकोटा, अंतिम उप्रेती, राजकुमार महत , अंकित ओली, राम गुरुङ्ग, रुपेश रेग्मी, राजकुमार गुरुङ्ग, सुमन गुरुङ्ग, भीम गौतम, सरोज पोखरेल, देवराज कोईराला रहेका छन् । यस्तै अनिल महत, अन्जन महत, भागीरथी त्रिपाठी, शर्मिला पौडेल, सुनिता कार्की, लक्ष्मी कोईराला, अनिता गैरे, देवी प्रसाई, ईशोवरी महत, सुजना गजुरेल महत, गंगा देवी सापकोटा, सुरक्षा खड्का, शीतल शर्मा, मिना गौतम, विवेक पोखरेल, हरि गौतम, लक्ष्मी पौडेल, उत्तम पाण्डे, लोकेश धामी, चमन राना, प्रविन कोईराला, अनिश भण्डारी, विवेक सापकोटा, शालिकराम खनाल, बलराम तिवारी, मिलन श्रेष्ठ, विष्णु खरेल, भुमा खरेल, हुमनाथ पोखरेल, लक्ष्मी पोखरेल लगायत छन् ।"
"अभिषेकप्रताप शाह भन्छन् : मलाई भारतको अभियन्ता भन्नेलाई पाप लाग्छ !","काठमाडौँ : नेपाली कांग्रेसका प्रतिनिधिसभा सदस्य अभिषेक प्रताप शाहले बुद्ध वाज बर्न ईन इन्डियाअभियानको प्रचार गरेको भन्दै सामाजिक सञ्जालमा चर्को आलोचना भएको छ । भारतको उत्तरप्रदेशमा भएको एक कार्यक्रममै पुगेर उनले गौतम बुद्ध भारतमा जन्मिएकोभन्दै प्रचार गरेको आरोपसहित सामाजिक सञ्जालमा चर्को टिप्पणी र आलोचना भएको हो । गौतम बुद्ध सर्किट राष्ट्रिय राजमार्ग ७३० को शिलान्यास कार्यक्रमका लागि नेपालबाट सांसद अभिषेक प्रताप शाहलार्इ विशिष्ट अतिथिको रूपमा बोलाइएको थियो । भारतको डुमरियागन्ज, सिद्धार्थनगरका सांसद जगदम्बिका पालले सांसद शाहलार्इ पठाएको निम्तोमा उनी विशिष्ट अतिथिको रूपमा त्यस कार्यक्रममा सहभागी भए । सांसद शाह सहभागी शिलान्यास कार्यक्रममा उत्तर प्रदेशका मुख्यमन्त्री योगी आदित्यनाथ प्रमुख अतिथि थिए । त्यसैगरि उत्तर प्रदेशका गभर्नर हेराम नाइक, त्यस क्षेत्रका अन्य सांसद र नेता पनि सहभागी थिए । तर बुद्धकै नामबाट नामांकित भारतको सिद्धार्थनगरमा कृत्रिम बौद्ध विहार र लुम्बिनी बनाएर विश्व शान्तिका अग्रदूत गौतम बुद्ध भारतमा जन्मेको दावी गर्दै आएको भारतीय कार्यक्रममा सांसद शाह सहभागी भएपछि आलोचित भएका हुन् । सामाजिक सञ्जालमा चर्को आलोचना भइरहेका बेला सांसद शाहले यस्तो आलोचनालाई आफ्नो चरित्र हत्या गर्न खोजिएको भनेका छन् । सामाजिक सञ्जालमा आलोचना भइरहँदा सांसद शाहले अन्नपूर्ण पोस्ट्सँग यसरी स्पष्टिकरण दिएका छन् केही वर्षदेखि नै मैले भारतको उत्तरप्रदेशका मुख्यमन्त्री आदित्यनाथजीसँग नेपालको लुम्बिनी क्षेत्रलाई जोड्ने गरी लिङ्क रोड निर्माणको पहल गरेको थिएँ । अन्ततः उत्तर प्रदेशमा उक्त लिङ्क रोड शिलान्याश हुने भएपछि मलाई पनि निम्ता गरियो । पछिल्लो मंगलबार म त्यही कार्यक्रममा अतिथिका रुपमा उत्तर प्रदेश पुगेँ । त्यो भव्य कार्यक्रम नेपालका लागि पनि महत्वूर्ण थियो ।कार्यक्रममा मलाई अतिथिका रुपमा एउटा टोकन दिइएको थियो । भारतीय जनता पार्टीका नेतासमेत रहेका त्यहाँका केन्द्रीय सांसद जगदम्बिका पालले मलाई त्यो टोकन दिएका थिए । टोकनमा त बुद्ध वाज बर्न ईन इन्डिया लेखिएको रहेछ । लाखौं जनताको भीडको भेलामा उक्त टोकन तत्कालै फिर्ता गर्न पनि सम्भव भएन । त्यसको भोलिपल्ट म घर फर्किएपछि चिठी लेखेर उक्त टोकन अफ लभ फिर्ता गरिदिएँ । उनै जगदम्बिका पालकै नाममा चिठी लेखेर टोकन फिर्ता गरिदिएको हुँ । यता काठमाडौंमा भने मेरो विषयमा चर्को आलोचना सुरु भइसकेछ । मलाई बद्नाम गर्ने उद्धेश्यले यस्तो प्रचार भइरहेको मैले बुझेको छु । एउटा कार्यक्रममा उपस्थित हुँदा मेरो विषयमा यसरी विरोध गर्नु जरुरी नै थिएन । आखिर भारतले पनि कुनै न कुनैरुपमा बुद्ध भारतमा जन्मिएका नेता भनेर पर्यटन प्रचार गरेको हुन्छ र गरिरहेको छ । लुम्बिनी जस्तै अर्को पर्यटकीयस्थल भारतमै बनिसकेको छ । यस्ता कतिपय कुरा हामीले व्यक्तिगत रुपमा रोक्न पनि त सम्भव छैन । कि त हाम्रो सरकारले नै राज्यस्तरबाट पहल गर्न सक्नु पर्यो । अन्यथा मलाई व्यक्तिगतरुपमा लान्छना लगाउनु न्यायोचित छैन । भारतमा त के कुरा ! केही वर्षअघि म बेलायत भ्रमणमा जाँदा त्यहाँको संग्रहालयमा समेत बुद्धज बर्थप्लेस ईन्डिया लेखेको एउटा टोकन देखेँ मैले । मैले तत्कालै त्यहाँ कम्प्लेन गरेँ । धेरै ठाउँमा धेरै पटक मैले भारतमा बुद्ध जन्मिएको प्रचारको विरोध गर्दै आएको छु । मेरो परिवारले २ सय वर्षभन्दा अघिदेखि नेपाली सीमाक्षेत्रको सुरक्षा गर्दै आएको हो । मेरो राष्ट्रवादी प्रतिवद्धतामा शंका गर्नु जरुरी छैन । अहिले भारतको अभियन्ता भनेर आरोप लगाउनेलाई त पाप नै लाग्छ ! प्रस्तुति : रमन पौडेल"
"वामदेव संसदमा चाहिन्छ : कृषिमन्त्री खनाल","काठमाडौं : कृषि तथा पशुपंक्षी विकासमन्त्री चक्रपाणि खनाल बलदेवले नेकपाका प्रभावशाली नेता वामदेव गौतम प्रतिनिधि सभामा आवश्यक भएको बताएका छन् । राजनीतिक हिसाबले महत्वपूर्ण व्यक्ति भएकाले वामदेव संसदमा चाहिने उनको तर्क छ । उहाँ पार्टीको वरिष्ठ नेता हो । राजनीतिक हिसाबले महत्वपूर्ण व्यक्ति हुँदै हो । उहाँ चुनाव उठ्नुपर्छ । जित्नुपर्छ भन्ने कुरा आँफैमा ठिक पनि छ, शुक्रबार रिपोर्टर्स क्लबले गरेको साक्षात्कारमा बोल्दै उनले भने, तर अर्को पक्ष के हो भने त्यो विषय पार्टीभित्र छलफल हुनुपर्छ । त्यसको आवश्यकत्ता महसुस हुनुपर्छ । उनले गौतमको आवश्यकता प्रतिनिधि सभामै भएको प्रष्ट पार्दै संसदमा लानुपर्ने कुराको औचित्य भने पुष्टि हुनुपर्ने बताए । प्रतिनिधिसभामा उहाँको आवश्यक नहुने भन्ने कुरा होइन, उहाँको आवश्यकता छ । तर, चुनाव भएको एक वर्षपनि भएको छैन, उनले भने, अरुलाई राजीनामा गराएर उहाँलाई ल्याउनको लागि केही औचित्य पुष्टि गर्नुपर्छ । यद्यपी मन्त्री खनालले पार्टीका प्रभावशाली नेता गौतमलाई चुनाव लडाउने भनेर पार्टीभित्र कुनै निर्णय नभएको स्पष्ट पारे । स्थायी समितिमा अहिलेसम्म कुनै आधिकारिक सूचना हामीलाई केही पनि छैन । तर माननीय सांसद रामवीर मानन्धरले पार्टीसमक्ष राजीनामा गर्नुभयो भन्नेमात्रै सुनिएको छ । कृषिमन्त्री नै भन्छन् : काठमाडौँमा राँगाको मासु खानलायक छैन"
"रातु पुल सञ्चालन","बर्दिबास : पूर्वपश्चिम राजमार्ग अन्तर्गत महोत्तरी र धनुषाको बीचमा बाढीले भाँसिएको पुरानो पुलका उत्तरतिर बनेको रातु खोलको पुल सञ्चालनमा आएको छ । पुलको दुवै तिर तीन सय ६० मिटर कालोपत्रेको काम सकिए लगतै पुल संचालनमा आएको छ । एक महिना अघि पुलको निर्माण काम सकिएको थियो । तर, पुलको दुवैतिर गिट्टी फिलिङ्ग गर्न र कालोपत्रे गर्न समय लागेपछि दसैंको मुखमा आएर पुल सञ्चालनमा आएको हो । ठेक्केदार कम्पनीले तोकिएको समय भन्दा पन्ध्र महिना अगावै पुलको निर्माण सम्पन्न गरेको थियो । कालिका टु दी रसुवा जेबी काठमाडौंले २४ करोड ६० लाखमा पुल निर्माणको ठेक्का लिएको थियो । आइ गर्डर (प्रिस्टेस) डिजाइनबाट पुल निर्माण भएको छ । २०७३ साल असार २९ गते पुल निर्माणको ठेक्का सम्झौता गरेको ठेक्केदारले २०७६ पुस मसान्तसम्म निर्माण गरिसक्नु पर्ने थियो ।"
"""स्वास्थ्य राज्यमन्त्रीको गुनासो","'आठ लाख आम्दानी मन्त्री भएपछि ७१ हजारमा झर्यो'"",""काठमाडौं : स्वास्थ्य तथा जनसंख्या राज्यमन्त्री डा सुरेन्द्रकुमार यादवले आम्दानीका हिसाबले आफूलाई घाटा भइरहेको दुःखेसो व्यक्त गरेका छन । राष्ट्रिय मृर्गौला उपचार केन्द्र र सुमेरु अस्पतालको संयुक्त आयोजनामा शुक्रबार आयोजित योगा र मेडिटेशनको प्रभाव विषयक कार्यक्रममा बोल्दै राज्यमन्त्री यादवले यस्तो गुनासो गरेका हुन् । बिरामीको उपचार गर्ने आफ्नो पेशा छोडेर आएँ । महिनामा सात आठ लाख कमाई हुन्थ्यो । अहिले एकहत्तर हजारमा झरेको छुँ । स्वास्थ्य क्षेत्रमा केही परिवर्तन गर्न सकिने आशा लिएर राज्यमन्त्री बनेको उनले बताए । भ्रष्टाचार आफूले नगर्ने प्रतिवद्धता व्यक्त गर्दै डा यादवले भ्रष्टाचार बढेकोप्रति चिन्ता व्यक्त गरे । गर्वसाथ भन्छु अहिलेसम्म कुनै चलखेल गरेको छैन । कुनै प्याकेज लिएर कसैलाई कतै नियुक्ति वा सरुवा गरेको छैन, मन्त्री यादवले भने, कसैले गल्ती गरे तुरुन्तै कारवाही गर्न सक्ने आँट छ । कार्यक्रममा बोल्दै त्रिभुवन विश्वविद्यालय चिकित्सा शास्त्र अध्ययन संस्थानका डिन प्रा डा जगदीश अग्रवालले भ्रष्टाचार गर्ने व्यक्तिलाई तनाव हुने बताए । कार्यक्रममा वरिष्ठ मृर्गौला रोग विशेषज्ञ डा ऋषिकुमार काफ्ले, डा नविन बस्नेत, डा केयुर गौतमले स्वस्थ्य जीवनका लागि तनाव घटाउनु पर्ने कुरामा जोड दिए । त्यस्तै जीवन विज्ञान केन्द्रका एलपी भानु शर्मा र रमेश नेपालले योग तथा मेडिटेशनको महत्वबारे प्रकाश पारे ।"""
"टी२० विश्वकप एसिया पूर्वी क्षेत्र छनौटमा नेपाल च्याम्पियन","काठमाडौँ : अस्ट्रेलियामा सन् २०२० मा गरिने आईसीसी विश्व कप टी ट्वान्टी क्रिकेट छनोट प्रतियोगिताको पहिलो खुड्किलो छिचोल्ने क्रममा नेपाल च्याम्पियन भएको छ । मलेसियामा सम्पन्न एसिया 'बी'को छनोट उपाधि उचाल्दै नेपाल एसिया छनोटमा पुग्न सफल भएको हो । प्रतियोगितामा नेपाल अपराजित रहँदै च्याम्पियन भएको हो । नेपालले ५ खेल जित निकाल्यो भने सिंगापुरविरुद्धको अन्तिम खेल वर्षाले प्रभावित भएपछि बिनानतिजा सकियो । नेपाल र सिंगापुरबीच शुक्रबार सम्पन्न खेल वर्षाले नतिजाबिहीन भएपछि नेपाल रनरेटका आधारमा च्याम्पियन भएको हो । यो खेलमा नेपालले टस जित्दै पहिले बलिङ रोजेको थियो । पहिले बलिङमा जाने निर्णयलाई सही सावित गर्दै नेपाली बलरले कसिलो बलिङ गरेपछि सिंगापुर केबल ८१ रनमा समेटिएको थियो । सिंगापुरविरुद्ध सन्दीप लामिछानेले ४ विकेट लिए । १८ ओभर ३ बलमा अलआउट भएको सिंगापुर ८१ रन बनाएको थियो । ८२ रनको लक्ष्य पछ्याएको नेपालले ३ बलमात्रै खेल्दा वर्षाका कारण खेल रोकिएको थियो । पानी नरोकिएपछि खेल नतिजाबिहीन बन्न पुग्यो । पाँचै खेल जितेको सिंगापुरभन्दा रनरेटमा माथि भएपछि नेपालले प्रतियोगिताको उपाधि पनि जित्न सफल भयो । यो प्रतियोगितामा नेपालले सुरुबाटै गतिलो प्रदर्शन गर्यो । प्रतियोगितामा सहभागी टिममध्ये नेपाल मात्रै एकदिवसीय क्रिकेटको मान्यता पाएको टिम थियो । नेपालको प्रदर्शन पनि उच्चस्तरको रह्यो । नेपालले पहिलो खेलमा म्यानमारलाई ८ विकेटले हरायो । दोस्रो खेलमा चीनलाई १० विकेटले नमिठो हार चखायो । तेस्रो खेलमा नेपालले भुटानविरुद्ध ११७ रनको जित दर्ता गर्यो । त्यसैगरि थाइल्याण्डविरुद्ध पनि नेपालले १४० रनको फराकिलो जित दर्ता गर्यो । नेपालले आयोजक मलेसियालाई ८ विकेटले हरायो । नेपालका सबै खेलमा नेपाली बलरहरु हावी भए । सन्दीप लामिछानेले प्रतियोगितामा सबैभन्दा बढी २४ विकेट लिन सफल भए । अब नेपालले विश्वकपमा पुग्न दोस्रो खुड्किलो पार गर्नका लागि एसिया छनोट खेल्नुपर्नेछ । च्याम्पियन भएको नेपालसँगै यो प्रतियोगिताबाट सिंगापुर र मलेसिया पनि एसिया छनोटमा पुग्न सफल भए । एसिया ए बाट यूएई, कतार र कुवेत छनोट भएका भएका छन् । अब छनोट भएका ६ देश सहभागी हुने एसिया छनोटबाट शीर्ष २ टिमले ग्लोबल छनोट खेल्नुपर्छ । ग्लोबल छनोटमा फरक फरक महादेशबाट आएका र आईसीसीको वरियतामा तल्लो स्थानका टीमले खेल्नेछन् । १४ टिम भिड्ने यस प्रतियोगिताबाट शीर्ष ६ टिम अस्ट्रेलियामा हुने टीट्वान्टी विश्व कपम पुग्नेछन् । नेपालले यसअघि सन् २०१४ मा बंगलादेशमा सम्पन्न विश्व कप खेलिसकेको छ ।"
"'विदेशीसँग मागेर देश बन्दैन'","पोखरा : गण्डकी प्रदेशका आर्थिक मामिला तथा योजनामन्त्री किरण गुरुङले विदेशीसँग मागेर अब देश चल्न नसक्ने बताएका छन् । युवालाई आत्मनिर्भरताका लागि उद्यमशील हुन र उत्पादनमा लाग्न अनुरोध गर्दै मन्त्री गुरुङले अब माग्ने मानसिकताले समृद्धि प्राप्त गर्न नसकिने बताएका हुन् । नेपालीले सबैभन्दा धेरै गफ गर्न र भाषण गर्न मात्र जानेको भन्दै उनले अबयस्तो पाराले विकास र समृद्धि सम्भव नहुने बताए । विकास र समृद्धिका लागि युवा उत्पादनसँग जोडिनुपर्ने उनको भनाइ छ । त्यसका लागि राज्यले अधिकार दिएको उनले सुनाए । देशको विकास र समृद्धिका लागि सबैले उत्पादनमूलक क्षेत्रमा लगानी गरेर कमाएर राज्यलाई कर तिर्नुपर्छ, उनले भने । पोखराको बैदाममा पर्यटन व्यवसायीको लागनीमा सञ्चालित रानीवन बचत तथा ऋण सहकारी संस्था लिको पाँचौं वार्षिक साधारण सभामा बोल्दै मन्त्री गुरुङले कर छल्न पाए, दिन नपरे हुन्थ्यो भन्ने मानसिकता सबैले त्याग्नुपर्ने बताए । मन्त्री गुरुङले बैंक, सहकारीले जग्गा धितो राखेर ऋण दिने परम्पराबाट मुक्त भएर अब प्रोजेक्ट, योजना हेरेर लगानी गर्न सुझाए । विकसित देशहरुमा ऋण दाताले प्रोजेक्ट हेरेर ऋण दिने र प्रोजेक्ट डुब्नबाट बचाउन प्राविधिक सहयोगसमेत दिएर प्रोजेक्ट सफल बनाउन लाग्ने सुनाए ।"
