"शीर्षक","विवरण"
"शिक्षाविद् दाहालको अमेरिकामा निधन","काठमाडौं : शिक्षाविद् एवं सर्च फर कमन ग्राउण्ड नेपालका राष्ट्रिय निर्देशक भोलाप्रसाद दाहालको ५१ वर्षको उमेरमा संयुक्त राज्य अमेरिकामा निधन भएको छ । एक कार्यक्रमका लागि अमेरिका गएका दाहालको सोमबार राति होटलको कोठामा सुतिरहेको अवस्थामा निधन भएको उनको परिवारले जनाएको छ । काठमाडौँ विश्वविद्यालयबाट शिक्षाशास्त्रमा विद्यावारिधि गरी शिक्षामा समाजवादी दृष्टिकोण र सुशासनका लागि वकालत गर्दै अाएका उनी हाल त्यहाँ अध्यापन गराउँदै थिए । निधनको कारणबारे त्यहाँ थप अध्ययन भइरहेको मंगलबार उनको परिवारलाई भेट्न पुगेर फर्किएका सो विश्वविद्यालयका शिक्षा सङ्कायका डीन डा महेशनाथ पराजुलीले जानकारी दिए । रामेछापको साँघुटारमा जन्मिएका उनले यसअघि नेपालका लागि रोयल नर्वेजियन राजदूतावासमा सुशासन सल्लाहकार, नेपालका लागि फिनल्याण्ड दूतावासमा कार्यक्रम संयोजक, सेभ द चिल्ड्रेनमा कार्यक्रम निर्देशक र नेपाल रेडक्रसमा कार्यक्रम संयोजक रही काम गरेका थिए । राति होटलमा सुतेको अवस्थामा निधन भएको र उनको नाकबाट रगत बगेको पाइएपछि उनलाई हृदयाघात भएको अनुमान गरिएको छ । निधनबारे चिकित्सकीय अध्ययन प्रक्रिया पूरा भएपछि उनको शव अन्त्येष्टिका लागि नेपाल ल्याइनेछ । उनका श्रीमती र तीन छोरा छन् । रासस"
"""नेपालको प्रधानमन्त्री ओलीलाई सुझाव","हातमा डण्डा लिएर हिड्नुहोस्"",""चन्द्रपुर : नेकपाका वरिष्ठ नेता माधवकुमार नेपालले प्रधानमन्त्री केपी शर्मा ओलीलाई बलियो डण्डा हातमा लिएर अगाडि बढ्न सुझाव दिएका छन् । गृह जिल्ला रौतहटको चन्द्रनिगाहपुरमा शुभकामना आदानप्रदान कार्यक्रममा बोल्दै नेता नेपालले देश डण्डा बिना नचल्ने भन्दै प्रधानमन्त्री ओलीलाई यस्तो सुझाव दिएका हुन् । डण्डा बिना मुलुक चल्ने वाला छैन, पूर्व प्रधानमन्त्री नेपालले भने, यो मेरो २२ महिने प्रधानमन्त्री हुँदाको अनुभव हो । नेता नेपालले आफूले प्रधानमन्त्री केपी ओली र नेकपाका अध्यक्ष पुष्पकमल दाहालप्रचण्डलाई भेटेर मुलुकको बेहाल अवस्था अाफूले टुलुटुलु हेरेर बस्न नसक्ने धारणा राखेको बताए । संसदमा आफूले बोलेको कुरामा केहीले विरोध जनाएकोप्रति उनले आपत्ति प्रकट गरे । उनले संसद प्रतिपक्षको मात्रै नभएर जनताको भावना राख्ने ठाउँ भएकाले आफ्नो कुरा राखेको प्रष्ट पारे । सरकारको मनोबल गिराउने हैन सहयोग गर्ने हो, भ्रष्टाचार, गलत गतिविधि रोक्नुस भन्दा सरकारको विरोध होइन, झन् सरकारलाइ नै बल पुग्छ, नेता नेपालले भने । नेता नेपालले प्रजातन्त्रको नाममा अराजकता बढेकाले कसैले कसैलाई नटेरेको अनुभव सुनाए । उनले देशमा घुस खाने, ढिला सुस्ती गर्ने प्रवृत्ति बढेकाले त्यसको खबरदारी गर्न सबै कार्यकतालाई निर्देशन दिए । कार्यक्रतालाई घुस नखान, सरुवा बढुवामा ध्यान नदिन निर्देशन दिँदै आफूले अनियमितता नगरे मात्रै त्यसको विरोधमा बोल्न हिम्मत आउने उनको भनाइ छ । जो भष्टाचार गर्दैन उसलाई बोल्ने हिम्मत हुन्छ, नेता नेपालले भने, सरकारले केही गरेको छैन भनेर भन्नु हुँदैन । गरेको कामलाई गरेको र कमी कमजोरीलाई पनि आत्मसात गरेर समस्याको समाधान तिर लाग्नुपर्छ । काम नगर्ने, अटेर गर्ने, जनताको कामलाई छिटोछरीतो ढंगबाट सम्पादन नगर्नेलाई कानुन बनाएर, संविधान संसोधन गरेर भएपनि ठिक पार्नु पर्ने उनको भनाइ छ । मधेस, जनजाती, पहाड , दलित सबै वर्ग र समुदायको उत्थानका लागि नेकपा साहारा बनेर आगाडि बढ्ने उनको भनाइ छ । नेकपाको आयोजनामा मंगलबार रौतहटको चन्द्रनिगाहपुरमा शुभकामना आदान प्रदान कार्यक्रम सम्पन्न भएको हो । कार्यक्रममा संसद विकास तथा प्रविधि समिती सभापति कल्याणी खड्का, संसद सरला यादवल, केन्द्रीय सदस्य युवराज भट्टराईलगायतको उपस्थिति थियो ।"""
"गरिबको घरमा दसैं खर्च लिएर पुगे मेयर","बर्दिबास : दसैं मनाउन महोत्तरीको बर्दिबास नगरपालिका ११ स्थित भरत टोल बस्ने एक गरिब परिवारलाई स्थानीय सरकारले खाद्यान्न, लुगाफाटो तथा आर्थिक सहयोग उपलब्ध गराएको छ । कुष्टरोग पीडित ७० बर्षीय मरिचमान र राधा तामाङ दम्पतिलाई बर्दिबास नगरपालिकाले दसैं खर्च उपलब्ध गराएको हो । बर्दिबास नगरपालिका मेयर विदुरकुमार कार्की र उपमेयर सुशीला गौतमले घरै पुगेर स्थानीय सरकारको तर्फबाट तीस किलो चामल, तीन लिटर तेल, तीन किलो चिनी, तीन किलो नुन, मरमसलन, एक जोर नयाँ लुगा र पाँच हजार उपलब्ध गराएका हुन् । वडा नम्बर ११ का वडा अध्यक्ष धनबहादुर ठोक्करका अनुसार उनीहरुको घर पनि जीर्ण छ । उमेरले ७० भन्दा बढी राधाको नागरिकतामा उमेर गडबढी भएकाले सामाजिक सुरक्षाबाट बञ्चित छन्, मेयर कार्कीले भने, यी दम्पत्तिको घर बनाइ दिने सोच छ । तर जग्गासम्म उनीहरुको छैन । गरिबका लागि पनि दसैं आउनु पर्छ भन्दै मेयर कार्कीले उनीहरुलाई खाद्यान्न समाग्री उपलब्ध गराएका हुन् ।"
"""रामेछापमा बस दुर्घटना : एकको मृत्यु","२९ घाइते"",रामेछाप : दसैं मनाउन गाउँ फर्कदै गरेका यात्रु सवार बस रामेछापमा दुर्घटना हुँदा एक जनाको मृत्यु भएको छ । खाँडादेवी गाउँपालिका ३ भिरपानीको सार्की पधेरो भन्ने ठाउमा बस दुर्घटना हुँदा अन्य २९ जना घाइते भएका छन् । काठमाडौबाट रामेछापको गाल्वातर्फ गइरहेको बा ३ ख ४६७५ नम्बरको बस मंगलबार दिउँसो दुर्घटना हुँदा १३ वर्षीया बालिकाको मृत्यु भएको हो । बालिकाको पहिचान खुलेको छैन । जिल्ला प्रहरी कार्यालयका प्रवक्ता शेख अदालतका अनुसार बस सडकबाट करिब ५० मिटर तल खसेको छ । घाइतेको सिन्धुलीको सुनकोशी गाउँपालिकामा रहेको भरोसा सामुदायिक अस्पतालमा उपचार भइरहेको छ । १२ गम्भीर घाइते रहेको खाडादेवी गाउँपालिका ३ का वडाध्यक्ष पुष्ककुमार कार्कीले जानकारी दिए । विपरित दिशाबाट आइरहेको गाडीलाई साइट दिँदा बस दुर्घटना भएको प्रहरी अनुमा छ । घटनास्थल जिल्ला सदरमुकाम मन्थलीदेखि करिब ३० किलोमिटर टाढा पर्छ ।"
"टुँडिखेलमा सेनाको बढाइँ","काठमाडौं : मंगलबार दसैंको अवसरमा सैनिक मञ्च टुँडिखेलमा फूलपाती बढाइँ गरिएको छ । नेपाली सेनाले राष्ट्रपति विद्यादेवी भण्डारीको उपस्थितिमा फूलपाती बढाइँ गरिएको हो । बढाइँ कार्यक्रममा नेपाली सेनाले राइफल र तोपको साथै मार्चपास गरेको छ । सेनाको बढाइँ टोलीबाट इज्जत अर्पण कवाज, कवाजमा भाग लिएका विभिन्न गुल्मद्वारा बढाइँ, मार्चपाससहितको बढाइँ र षट्कोण चिन्हबाट बढाइँ प्रस्तुत गरेको छ । बढाइँ समारोहमा उपराष्ट्रपति नन्दबहादुर पुन, प्रधानमन्त्री केपी शर्मा ओली, प्रधानन्यायाधीश ओमप्रकाश मिश्र, सभामुख कृष्णबहादुर महरा, राष्ट्रियसभाका अध्यक्ष गणेशप्रसाद तिमिल्सिना, उपप्रधानमन्त्री एवं रक्षामन्त्री ईश्वर पोखरेल, गृहमन्त्री रामबहादुर थापा बादललगायत मन्त्री, सांसद, नेपाल सरकारका उच्चपदस्थ अधिकृत, नेपालस्थित कूटनीतिक नियोगका प्रमुख एवं प्रतिनिधि, सुरक्षा निकायका प्रमुख तथा विभिन्न पेशा व्यवसायका प्रतिनिधिको सहभागी थिए । फूलपातीका दिन सैनिक मञ्चमा बढाइँ गर्ने परम्परा रहिआएको छ । बढाइँ अघि राष्ट्रपति भण्डारीको स्वागतमा नेपाली सेनाले सलामी अर्पण गरेको थियो । घटस्थापनाका दिनदेखि वैदिक विधिपूर्वक दुर्गालाई आह्वान गरी पूजाआजा गरिएको दसैंघर शुभ साइतको प्रतीकका रूपमा उखु, हलेदो, केराको बोट, धानको बाला, बेलपत्र, दारिम, जयन्ती, अशोकको फूल र मानवृक्ष भित्र्याउने गरिन्छ ।"
"पृथ्वीनारायण शाहले उपहार दिएको खड्ग र फूलपाती जाजरकोट दरबारमा","जाजरकोट : गोरखा राज्यका राजा पृथ्वीनारायण शाहले नेपाल एकीकरण अभियानका सिलसिलामा दुई सय पचास वर्षअघि जाजरकोट राज्यलाई उपहार स्वरुप दिएको खड्ग अर्थात् तरबार दसैंको फूलपातीको अवसर पारेर शक्तिको प्रतिकको रुपमा जाजरकोट दरबारमा भित्र्याइएको हो । दसैंका अवसरमा फूलपाती भित्र्याउने कार्यक्रम अनुसार जाजरकोट राज्यको शक्तिको प्रतिकको रुपमा रहेको उक्त खड्ग सोमबार रानागाँउस्थित कालिका मन्दिरबाट जाजरकोट दरबारमा भित्र्याइएको हो । स्थानीय सर्वसाधारण, सरकारी कर्मचारी र सुरक्षाकर्मीको व्यापक सहभागीतामा शंख ध्वनीसहित भेरी नगरपालिका ३ गैरीखालीमा पूजाआजा र सलामी दिएर सोमबार बिहान उक्त खड्गलाई जाजरकोट दरबार लगिएको हो । १८२५ साल माघ ५ गते काँसीको मणिकर्णिका घाटमा गोरखाका राजा पृथ्वीनारायण शाहले तत्कालीन जाजरकोटी राजा हरि शाहसँग नेपाल एकीकरण अभियान सफल पार्ने उद्देश्यले धर्मसन्धी गर्दै उक्त खड्ग ९तरबार० जाजरकोट राज्यलाई उपहार स्वरुप दिएका थिए । दुई राज्यका बीचमा एक अर्कालाई सहयोग गर्ने सम्झौता गर्दै दुवै राजाले मितेरी साइनो गाँसेर उपहार साटासाट गर्ने क्रममा उक्त खड्ग जाजरकोटी राजालाई दिइएको जाजरकोट राज्यको इतिहासबारे जानकार केदारबहादुर शाहले बताए । उनले झन्डै ७ सय वर्षअघि स्थापना भएको जाजरकोट राज्यको सुरुको राजधानी जगतिपुरमा राखिएको उक्त खड्ग अर्थात् तरबार १८५२ सालमा अहिलेको सदरमुकाम खलंगामा राजधानी सारिएपछि दसैंको फूलपातीका दिन विशेष पुजाआजासहित जगतिपुरवाट खलंगा दरबारमा ल्याउने परम्परा सुरु भएको बताए । फूलपातीका दिन विशेष पूजासहित वली दिएर जाजरकोट दरबारमा रहेको जमारा घरमा उक्त खड्ग भित्र्याउने परम्परा रहेको छ । बली दिन र खड्ग भित्र्याउन लाग्ने रकम सुरुमा दरबारबाट र पछि गृहमन्त्रालयबाट आउने गरेपनि मुलुकमा गणतन्त्र आइसकेपछि रकम पठाउन छोडिएको छ । रकम अभावमा परम्परालाई निरन्तरता दिनै मुस्किल भएको स्थानीय प्रशासनले जनाएको छ । जाजरकोट दरबारमा हाल जिल्ला प्रशासन कार्यालय रहेको छ । पहिला राजाले गर्ने खड्ग पुजा २०१८ साल पछि प्रमुख जिल्ला अधिकारीले गदै आएका छन् । जगतिपुरमा रहेको राजा र देवताको शक्तिलाई विस्तारै खलंगास्थित दरबारमा सार्ने उद्देश्यले प्रत्येक वर्ष फूलपातीका दिन पुजाआजासहित उक्त खड्गलाई खर्के देउताको रुपमा पुज्दै ल्याउन थालिएको शाहले बताए । फूलपातीका दिन जाजरकोट दरबारमा भित्रयाइएको उक्त खड्गलाई दसैंको फूलपाती अर्थात् सप्तमी, महाअष्टमी, महानवमी र विजयादशीमीको दिनसम्म पन्चे वाचाको ध्वनीका साथ बोका, रांगाको बली दिएर भव्य रुपमा पुजा आजा गरी दशमीकै दिन टीका लगाइसकेपछि जगतिपुरमै फर्काउने परम्परा रहे पनि मुलुकको १० वर्षे द्वन्द्वका क्रममा असुरक्षाका कारण उक्त खड्ग १७ वर्ष अघिदेखि जिल्ला प्रहरी कार्यालयको परिसरमै रहेको कालिका मन्दिरमै राख्ने गरिएको छ । अब शान्ति आइसकेकोले खड्गलाई जगतिपुरको मन्दिरमै राख्नु पर्ने ४९ वर्षदेखि खड्ग पुजा गर्दै आएका पुजारी सत्यप्रसाद शर्माले बताए । जाजरकोट राज्यको उत्पति र खड्ग सुरुमा राखिएको मन्दिरको गरिमा र महत्व जोगाउनका लागि उक्त खड्गलाई जगतिपुरमै राख्नुपर्ने पुजारी शर्माको भनाइ छ । उनले तत्कालीन राजाका पुरोहित अर्थात् खर्क देवताका पुजारी आफ्ना हजुरबुवाका बुवा रत्नदास शर्माले उक्त खडग जाजरकोट दरबारमा ल्याउन सुरु गरेको बताए । जाजरकोटी शाह ठकुरीले मुख्य जिम्मा लिएर मनाइने खर्के देउता पूजा अहिले ओझेल पर्दै गएको छ । विगतमा खर्के देउताको पूजाका बेला स्थानीयको जाजरकोट दरबारमा ठूलो मेला लाग्ने गरेको स्थानीय लक्ष्मणबहादुर शाहले बताए । जाजरकोटको इतिहास, संस्कृति र परम्पराको पहिचान झल्काउने खर्के देउता पुजा विगतमा स्थानीय जनता सरकारी कार्यालयको सक्रियतामा गर्ने गरिएपनि अहिले सवैले बिर्सदै गएको उनले बताए । जाजरकोटको इतिहास पनि धेरै महत्वपूर्ण रहेपनि खोज अनुसन्धानको अभावले जानकारीमा आउन नसकेको भेरी नगरपालिका ४ का वडाध्यक्ष खम्बजंग शाहले बताए । पछिल्लो पुस्ताले वेवास्ता गरेका कारण जाजरकोटलाई मुलुकमा चिनाउन गाह्रो भएको शाहले बताए । प्रमुख जिल्ला अधिकारी ललितकुमार बस्नेतले खड्ग देवताको पूरा गर्ने र जाजरकोट दरबारमा खड्ग ल्याउने मौलिक परम्पराको जगेर्ना गर्न आफूले सक्दो पहल गर्ने बताए । उनले जगतिपुरमा उचित सुरक्षाको व्यवस्था गरेर फेरि जगतिपुरबाटै खलंगासम्म खड्ग ल्याउने चलनको सुरुवात गरिने बताए ।"
"तलेजुमा दसैंको फूलपाती (तस्बिरसहित)","नुवाकोट : नुवाकोटको धार्मिक तथा ऐतिहासिक तलेजु मन्दिरमा मंगलबार बाजागाजा सहित यस वर्षको दसैंको फूलपाती भित्र्याइएको छ । विदुर नगरपालिका २ स्थित तलेजु भवानी मन्दिरमा सरकारी कर्मचारीको उपस्थिति र नेपाली सेनाको सलामीका साथ बस्नेत, मगर र अर्याल समुदायले संकलन गरेको फुलपाती विशेष कार्यक्रमका साथ भित्र्याइएको हो । नुवाकोटको फुलपाती भित्राउने परम्परा मल्लकालदेखि नै सञ्चालन भएको र १८०१ साल असोज १५ गते तेश्रो प्रयासमा पृथ्वीनारायण शाहले नुवाकोट विजय प्राप्त गरेपछि झनै महत्व बढेर गएको सरकारका प्रतिनिधि द्वारे महेन्द्रकुमार शाहीले जानकारी दिए । फुलपाती भित्राउने परम्परा गोरखा र हनुमानढोकामा जति महत्वपूर्ण रहेको छ, नुवाकोटको पनि उत्तिकै महत्व रहेको छ । सरकारी प्रतिनिधिसहितका सर्वसाधारण पहिले साततले दरबार राष्ट्रिय संग्रहालयमा भेला भएर बृहत फुलपाती जात्रासहित भित्राएका हुन् । प्रसिद्ध तलेजुमा फुलपाती भित्राउनु अघि फुलपाती ल्याउने स्थान र फुलपाती भित्राउने स्थानमा लिपपोत गरी पूजापाठ गरिएको थियो । सयौँको संख्यामा उपस्थित सर्वसाधारण साततले दरबारबाट यालीसहित निस्केर फूलपाती लिन धोवीधाराको चौतारामा पुगेर संकलित फुलपाती लिएर तलेजुमा बाजागाजा र तामझामका साथ भित्राइएको हो । जंगल र बगैंचा पुगेर बस्नेत, मगर र अर्याल समुदायले संकलन गरेको फुलपाती बाजागाजा र उच्च सुरक्षाका साथ भित्राइएको हो । बाजागाजासहित दुई किलोमिटर दूरीबाट लावालस्करसहित पुगेर संकलन गरेर ल्याइएको फुलपाती भित्राइएको ब्राम्हण होमप्रसाद पाण्डेले जानकारी दिए ।"
"सरकारले नै दिन्छ उपत्यकामा २ हजार बलि","काठमाडौं : उपत्यकाका तीन जिल्लाका शक्ति पीठमा सरकारी तवरबाटै बर्सेनि दुई हजारभन्दा बढी बलि दिने गरिएको छ । काठमाडौं, भक्तपुर र ललितपुरमा यसका लागि सरकारले १ करोडभन्दा बढी बजेट छुट्याउँदै आएका छन् । नेपालीको सबैभन्दा ठूलो चाड दसैंमा सबैभन्दा धेरै बलि दिने गरिएको छ । शक्ति पीठहरूमा राँगा, बोका, भेडा, हाँस, कुखुरा, बंगुर र खसी बलि दिने गरिएको गुठी संस्थानका सहप्रशासक जयप्रसाद रेग्मीले जानकारी दिए । उपत्यकामा व्यक्तिगत तवरबाट दिने बलिको संख्या धेरै छ । यस्तो बलिको कुनै लेखाजोखा नभएको उनी बताउँछन् । दसैंमा उपत्यकामा हजारौंको संख्यामा बलि दिइन्छ । तीनै जिल्लाका तलेजु भवानी मन्दिरमा प्रत्येक महिनाको अष्टमीमा बलि दिने गरेको रेग्मीले बताए । सरकारी तवरमा काठमाडौं, भक्तपुर, ललितपुर र पशुपतिनाथमा समेत गरी २ हजार १ सय ६९ पशुपन्छी बलि दिइन्छ । गुठी संस्थानमार्फत सरकारले बलिलाई निरन्तरता दिइरहेको छ । बर्सेनि काठमाडौंमा ८ सय ८, भक्तपुरमा ७ सय ५९ र ललिपुरमा ३ सय ४९ तथा पशुपतिमा २ सय ५३ बली दिने गरिएको छ । उपत्यकामा प्रायः सबै मठ, मन्दिर र शक्ति पीठहरू गुठीअन्तर्गत छन् । संस्थानको केन्द्रीय लगत तथा अभिलेख शाखाका प्रमुख राजेन्द्र दाहालका अनुसार काठमाडौंमा ७ सय ५७, भक्तपुरमा ३ सय ५२ र ललितपुरमा १ सय ६७ गरी कुल १ हजार २ सय ७६ राजगुठी छन् । बर्सेनि पशु बलिका लागि काठमाडौंमा ४५ लाख, भक्तपुरमा ३१ लाख, ललितपुरमा १७ लाख र पशुपतिमा १२ लाख रुपैयाँ छुट्याइने गरिएको छ । गुठी संस्थान काठमाडौंका लेखा अधिकृत हरिश भुसालका अनुसार राँगा ३२ वटा, बेचोखा (निख्खर कालाबाहेक अन्य रंगका) राँगा ५२ वटा, थुमा भेडा १५ वटा, कुखुरा २० वटा, खोट नभएको बोका २ सय ७४ वटा, खोट भएका बोका २ सय ३, हाँस २ सय १२ वटा बलि दिइने गरेको छ । काठमाडौं, भक्तपुर, ललितपुर र पशुपतिनाथमा समेत गरेर २ हजार १ सय ६९ पशुपन्छी बलि दिइन्छ । साथै ५ सय ९० किलो ८३० ग्राम राँगाको मासु पनि पीठमा चढाइन्छ । बँदेलको समेत बलि दिने प्रचलन छ । बर्सेनि एउटा बँदेल र एउटा खसी बली दिने गरिएको छ । त्रिपुरेश्वरस्थित महादेव मन्दिरमा २२ बहर र कोरली दान गर्ने चलन छ । तलेजु, दिगु तलेजु, दक्षिणकाली, कँडेलचोक भगवती, नक्साल भगवती, स्वेतकालीलगायत मठमन्दिरमा बलि दिने गरिएको अधिकृत नारायण भक्त श्रेष्ठले जानकारी दिए । गुठी संस्थान काठमाडौंले ४५ लाख रुपैयाँमा बलिका लागि पशुपन्छीको ठेक्का दिएको लेखाअधिकृत भुसालले जानकारी दिए । भक्तपुरमा ४ सय ३० बोका, ८४ राँगा, १७ भेँडा, १ सय ९३ हाँस र ३५ कुखुरा बलि दिने गरिएको छ । गुठी संस्थान भक्तपुरका प्रमुख हरिप्रसाद सुवेदीले तलेजु भवानी, भैरवनाथको बिस्केट जात्रा, चाँगुनारायण, इन्द्रायणीलगायत मठमन्दिरमा बढी मात्रामा बलि दिइने गरेको जानकारी दिए । गुठी संस्थानले बलि संस्कृति निरुत्साहित गर्ने रणनीति बनाएको छ । पशुअधिकारवादीहरूले पशु बलिको विरोध गर्न थालेपछि संस्थानले यो रणनीति बनाएको हो । त्रिपुरेश्वर महादेव र रणमुक्तेश्वर महादेवमा पुजारीका तर्फबाट बलि प्रथा निरुत्साहित गर्ने प्रस्ताव आएपछि बिस्तारै कार्यान्वयन गर्ने नीति लिएको छ । ललितपुरमा ३ सय ४९ बाट पशुपन्छी बलि दिइन्छ । गुठी संस्थान ललितपुरका प्रमुख शैलेन्द्र पौडेलका अनुसार खोट भएका १ सय ७ बोका, खोट नभएका बोका ७० वटा बलि दिने गरिएको छ । २५ भेडा, ३८ राँगा, ७४ मझौला हाँस र ४ वटा कुखुराको भाले काट्ने गरिएको छ । रथ निर्माण गर्ने वर्ष ३१ वटा थुमा भेडा पनि बलि दिने गरिएको उनले बताए । बर्सेनी ३ सय १७ किलोग्राम राँगाको मासु प्रसादको रूपमा चलाइने गरेको छ । ललितपुरमा तलेजु, दिगु तलेजु, मछिन्द्रनाथ, भीमसेनथानलगायत स्थानमा बलिदिने गरिएको छ । पशुपतिमा पनि बली हिन्दु पवित्र तिर्थस्थल पशुपतिनाथमा पनि वर्षेनी पशुको बली दिइने गरेको छ । प्रत्येक वर्ष पशुपतिमा २ सय ५३ पशुपन्छीको बलि दिने गरेको गुठी संस्थानको पशुपति गोश्वारा कार्यालयका प्रमुख लछुना शर्मा काफ्लेले जानकारी दिएकी छन् । कृति भैरव, गुहेश्वरीलगायत मन्दिरमा बलि दिइन्छ । पशुबलिकै लागि करिब १२ लाख रुपैयाँ बजेट विनियोजन हुने गरेको छ । बेचोखा राँगा २०, चोखा राँगा १२, बेचोखा बोका १ सय ४, चोखा बोका २३, थुमा भेडा ४ र मझौला हाँस ९० वटा बलि चढाइन्छ । ५८ केजी राँगाको मासु पनि प्रसादका लागि प्रयोग गरिन्छ । बडादसैं, कालरात्री, कागेअष्टमीलगायत चाडपर्वमा बलि चढाइन्छ । पशुपतिमा महास्नानको बेलासमेत बलि दिइन्छ । बडादसैं, कालरात्री, कागेअष्टमीलगायत चाडपर्वमा बलि चढाइन्छ । पशुपतिमा महास्नानको बेलासमेत बलि दिइन्छ । यता गुठी संस्थानले बलि संस्कृति निरुत्साहित गर्ने रणनीति बनाएको छ । पशुअधिकारवादीहरूले पशु बलिको विरोध गर्न थालेपछि संस्थानले यो रणनीति बनाएको हो । त्रिपुरेश्वर महादेव र रणमुक्तेश्वर महादेवमा पुजारीका तर्फबाट बलि प्रथा निरुत्साहित गर्ने प्रस्ताव आएपछि बिस्तारै कार्यान्वयन गर्ने नीति लिएको छ । गुठीले स्थानीयबाटै यो प्रथा निरुत्साहित गराउने नीति लिएको छ । जहाँ सहमति हुन्छ, त्यहाँ लागू हुन्छ तर जबर्जस्ती गर्ने काम कहीं पनि हुँदैन, सहप्रशासक रेग्मीले भने, बलि घटाउँदै लैजाने नीति भने हाम्रो छ । उनले पछिल्लो समय राँगा काट्ने मान्छेको समेत अभाव हुने गरेको बताए । काठमाडौंका अधिकांश मठमन्दिर नेवार समुदायमा केन्द्रित छन् । नेवारी संस्कृतिमा बलि अनिवार्य जस्तै छ । अधिकांश पुजारीसमेत नेवार समुदायका कर्माचार्य, राजोपाध्याय, बज्राचार्य छन् ।"
"माइक्रोसफ्टका सहसंस्थापक पावल एलनको मृत्यु","काठमाडौँ : माइक्रोसफ्टका सहसंस्थापक पावल एलनको मृत्यु भएको छ । ब्लड क्यान्सरबाट पीडित ६५ वर्षीय एलनको सोमबार मृत्यु भएको हो । एलनको मृत्युमा माइक्रोसफ्टका संस्थापक बिल गेट्सले उनी आफ्नो सबभन्दा प्रिय र पुरानो साथी भएको भन्दै गहिरो दुःख व्यक्त गरेका छन् । उनले सोमबार ट्विट गर्दै भनेका छन्, एलन नभएको भए आज संसारमा व्यक्तिगत कम्प्युटर (पीसी) को अस्तित्व असम्भव थियो । बहिनी जोडीले एलनको मृत्युको पुष्टि गर्दै उनी असाधारण व्यक्ति भएको बताएकी छन् । सबै स्तरमा एक असाधारण व्यक्ति थिए उनले सम्झदै भनिन्, व्यस्ततामा पनि सधैँ परिवार र साथीभाइलाई समय दिन्थे । यसअघि ब्लड क्यान्सरकै कारण सन् १९८३ मा माइक्रोसफ्ट छाडेका एलन उपचारपछि पुनः प्रविधि दुनियाँमा आएका थिए । तर दोस्रोपटक होज्किन्स लिम्फोमा नामक ब्लड क्यान्सरले उनको ज्यान लिएको हो । एजेन्सी"
"गर्भवती र सुत्केरीलाई निःशुल्क एम्बुलेन्स","अछाम : चौरपाटी गाँउपालिकाले चौरमाण्डौ प्राथमिक स्वास्थ्य चौकीमा सेवा लिन आउने सुत्केरी महिला र आकस्मिक गर्भवती सेवाका लागि निःशुल्क एम्बुलेन्स सेवा दिने भएको छ । मातृ शिशु मृत्युदर कम गर्न गाउँपालिकाका सातवटै वडाका गर्भवती महिलाको लागि गाँउपालिकाले निःशुल्क एम्बुलेन्स सेवा दिने गाउँपालिका अध्यक्ष हर्कबहादुर साँउदले जानकारी दिए । आमा तथा शिशुहरुको सुरक्षाका लागी आमा सुरक्षा कार्यक्रम अन्तर्गत एम्बुलेन्स सेवा निःशुल्क गरेका छौँ', उनले भने, 'अब समयमै उपचार नपाएका कारण अकालका कोही पनि गर्भवति आमाले ज्यान गुमाउनुपर्ने छैन । सबैको पहुँचमा एम्बुलेन्स सेवा पुर्याउने छौँ । सोमबार बसेको गाँउकार्यपालिका बैठकले सुत्केरी तथा गर्भवती महिला बाहेक चौरमाण्डौ प्राथमिक स्वास्थ्य चौकीमा सेवा लिन आउने अन्य बिरामीका लागि सातवटै वडाको लागि एम्बुलेन्सको दर पनि रेट तोकेको छ । निमित्त प्रमुख प्रशासकीय अधिकृत धनबहादुर थापाका अनुसार वडा नं १ सिउडीमा एक हजार, वडा नं २ सोकटसम्म दुई हजार ५ सय, वडा नं ३ गगुडासम्म एक हजार ५ सय तोकेको छ । यस्तै वडा नं ४ पायल र वडा नं ५ लुंग्रासम्म एक हजार दुई सय, वडा नं ६ दुनि चौखुट्टे र सम्म २ वडा नं ७ मार्कुसम्म २ हजार तोकेको छ । यस्तै गाउँपालिकादेखि वयालपाटा अस्पतालसम्म ३ हजार ५ सय र मंगलसेन जिल्ला अस्पताल मंगलसेनसम्म ६ हजार तोकिएको छ । यस्तै जिल्ला बाहिर डोटीको सिलगढीसम्म ५ हजार, धनगढीसम्म १२ हजार, नेपालगञ्जसम्मका लागि १५ हजार तोकिएको निमित्त प्रशासकीय अधिकृत थापाले जानकारी दिए ।"
