"शीर्षक","विवरण"
"देश नबनाई कालले पनि मलाई लैजान्न : रवीन्द्र मिश्र","पोखरा : विवेकशील साझा पार्टीले गण्डकी प्रदेश संयोजक महेश भण्डारीलाई चयन गरेको हो । पार्टीको केन्द्रीय समितिद्वारा चुनिएका उनलाई शनिबार पोखरामा आयोजित कार्यक्रममा पार्टीका संयोजकद्वय रवीन्द्र मिश्र र उज्ज्वल थापाले माटोको टीका लगाई संयोजक घोषणा गरे । प्रदेश घोषणा सभा तथा नागरिक सम्बोधन कार्यक्रममा संयोजक मिश्रले देश नबनाई आफूलाई कालले पनि लान नसक्ने बताए । उनले भने, मलाई देश नबनाई त कालले पनि लान सक्दैन । मिश्रले मृत्यु नजिकै आएको छ भन्ने सोचेर इमान्दारीपूर्वक काम गर्ने पनि बताए । पहिल्यैदेखि कांग्रेसमा लागेको वा कम्युनिस्टमा लागेको भनेर नहुने भन्दै उनले मतदाताको मन बदलिनुपर्नेमा जोड दिए । उनले भने, इमान बदल्न हुन्न, राजनीतिक आस्था बदल्नुपर्छ । विदेशी संस्थाको एक पैसा पनि आफ्नो पार्टीले सहयोग नलिएको प्रष्टोक्ति मिश्रले दिए । उनले त्यस्तो फेला परे पार्टी नै भंग गर्ने पनि बताए । उनले लोकतन्त्रवादीसँग पार्टी एकता हुन सक्ने भए पनि आडम्बरी लोकतन्त्रवादीसँग भने नहुने विचार राखे । पार्टीका अर्का संयोजक उज्ज्वल थापाले राजनीतिक संस्कारलाई बदल्नुपर्ने खाँचो औंल्याए । नेता केशव दाहालले कांग्रेस र कम्युनिस्टको युग सकिएको धारणा राखे । हामी लुगा बदल्छौं, घरको रङ बदल्छौं, घर बदल्छौं, उनले भने, पार्टी बदल्न किन सक्दैनौं ? उनले पुराना पार्टीको योगदान हुँदाहुँदै पनि उनीहरुको युग समाप्त भइसकेको बताए । टाइपराइटरको आविष्कार हुनु ठूलो कुरा हो, आविष्कारकलाई धन्यवाद दिऊँ तर, अहिलेको जमाना टाइपराइटरको होइन कम्प्युटरको हो, उनले भने, टाइपराइटरलाई संग्रहालयमा सजाउने हो अफिस लैजाने होइन । पार्टीकोनीति तथा प्रशिक्षण विभाग प्रमुख डा सूर्यराज आचार्यले सुसंस्कृत राजनीतिमा जोड दिए । केन्द्रीय सदस्य रञ्जु दर्शनाले असल परिपाटीको स्थापना गर्न आफ्नो पार्टी आएको सुनाइन् । गण्डकी प्रदेश संयोजक महेश भण्डारीले साँचो राजनीति नभएकैले मुलुकको शिक्षा र स्वास्थ्य क्षेत्रमा सुधार हुन नसकेको बताए । उनले भने, हामीले राजनीति गतिलो भएन मात्रै भन्यौं, आफैंले गरेनौं । आफू परिवर्तन भएनौं ।"
"हृदयाघातका कारण कोरियामा नेपालीको मृत्यु","काठमाडौं : दक्षिण कोरियामा कार्यरत दोलखाको गौरीशङ्कर गाउँपालिका९ का आङ्कामी शेर्पाको हृदयाघातका कारण मृत्यु भएको छ । हृदयघातका कारण अस्पताल भर्ना भएका ४३ वर्षीय शेर्पाको उपचारका क्रममा शुक्रबार निधन भएको दक्षिण कोरियामा रहेका पत्रकार प्रकाश पोखरेलले जानकारी दिए । मृतक शेर्पा सन् २०१६ मा कोरिया प्रवेश गरी अवैधानिक बसोबास गर्दै आएका थिए । रासस"
"""काभ्रेमा दुर्घटना : तीन जनाको मृत्यु","पाँच घाइते"",बनेपा : काभ्रेमा शनिबार दिउँसो भएका छुट्टाछुट्टै दुर्घटनामा तीन जनाको मृत्यु भएको छ भने पाच घाइते भएका छन् । मण्डन देउपुर नगरपालिकास्थित ढकाल थोकमा बा ३ च २८७ नम्बरको जिप पल्टिदा दुई जनाको मृत्यु हुनुका साथ पाँचखाल नगरपालिकाको तिनपीपलेमा भएको दुर्घटनामा एकजनाको मृत्यु भएको हो । जिप दुर्घटनामा मण्डन देउपुर ४ का पत्रकार जीवन पराजुली र नेपाल ट्रेड युनियम प्रदेश नम्बर ३ का अध्यक्ष नमोबुद्ध नगरपालिका १० का विनोद कार्कीको मृत्यु भएको जिल्ला प्रहरी कार्यालयका एसपी रविराज खड्काले जानकारी दिए । उनका अनुसार जिपमा सवार अन्य चारजना घाइते छन् । त्यसैगरी आइतबारै पाचँखाल तिनपीपलेमा धुखिलेलबाट पाँचखालतर्फ जाँदै गरेको बा ३ क ६४२ नम्बरको टिपरले मोटरसाइकललाई ठक्कर दिँदा मोटरसाइकलमा सवार सोही स्थानकी ५६ वर्षीय रञ्जना गौतमको मृत्यु भएको हो । जिल्ला ट्राफिक कार्यालय काभ्रेका सई राजेश दाहालका अनुसार मोटरसाइकल चालक सामान्य छन् ।"
"काभ्रेमा जिप र मोटरसाइकल दुर्घटना : डीआइजीसहित चारको मृत्यु","श्रीराम केसी बनेपा : काभ्रेमा शनिबार दिउँसो भएका छुट्टाछुट्टै दुर्घटनामा नेपाल प्रहरीका डीआइजी र पत्रकारसहित चार जनाको मृत्यु भएको छ । त्यस्तै दुर्घटनामा तीनजना घाइते भएका छन् । मण्डन देउपुर नगरपालिका६ ढकाल थोकमा बा ३ च २८७ नं को जिप पल्टिँदा दुई जनाको घटना स्थलमै र एकको उपचारको क्रममा मृत्यु भएको हो । दुर्घटनामा मण्डन देउपुर४ का पत्रकार जीवन पराजुली र नेपाल ट्रेड युनियम प्रदेश ३ का अध्यक्ष नमोबुद्ध नगरपालिका१० का विनोद कार्कीको घटना स्थलमै मृत्यु भएको हो । त्यस्तै दुर्घटनामा प्रहरी प्रधान कार्यालयका डीआइजी सुशीलकुमार भण्डारीको धुलिखेल अस्पतालमा उपचारको क्रममा मृत्यु भएको एसपी रविराज खड्काले जानकारी दिए । खड्काका अनुसार जिपमा सवार अन्य तीनजना घाइते भएका छन् । घाइते हुनेमा पूर्वडीएसपी धनराज पुरी, विनोद गौतम, व्यवसायी प्रदिप वोगटीको धुलिखेल अस्पतालमा उपचार भइरहेको छ । जिप थुक्कीडाँडाबाट धुलिखेल फर्कने क्रममा दिउँसो दुई बजे सडकबाट पाँच सय मिटर तल खसेर दुर्घटना भएको जिल्ला ट्राफिक कार्यालय काभ्रेका सई राजेश दाहालले जानकारी दिए । प्रहरीका अनुसार दुर्घटना भए लगतै जिप चालक प्रदीप बोगटीले प्रहरीलाई जानकारी गराएका थिए । चालक बोगटीका अनुसार बाटोमा बिजुलीको तार छल्ने क्रममा चिप्लियर दुर्घटना भएको हो । बिहान बालुवाखानी हेरेर धुलिखेल फर्कने क्रममा जिप दुर्घटना भएको बोगटीले बताए । मृतक पराजुली रेडियो गौरवको स्टेशन मेनेजर रुपमा काम गर्दै आएका थिए । मृतक पराजुली शव शिरमेमोरीयल अस्पतालमा पोष्टमार्टम गरी शनिबार साँझ अन्तिम संस्कार गरिएको छ । त्यसैगरी आइतबारै पाचँखाल तिनपीपलेमा धुखिलेलबाट पाँचखालतर्फ जाँदै गरेको बा ३ क ६४२ नम्बरको टिपरले मोटरसाइकललाई ठक्कर दिँदा मोटरसाइकलमा सवार सोही स्थानकी ५६ वर्षीय रञ्जना गौतमको घटनास्थलमै मृत्यु भएको हो । जिल्ला ट्राफिक कार्यालय काभ्रेका सई राजेश दाहालका अनुसार टिपरको क्याबिनबाट स्थानीयले गाजाको पोकासमेत बरामद गरेका छन् । काभ्रेमा दुर्घटना : तीन जनाको मृत्यु, पाँच घाइते काभ्रेमा टिपर आतंक, एकजनाको मृत्यु"
"नेकपा चियापानमा झापड खानेको चेतावनी : म चुप बस्दिन !","काठमाडौं : पार्टीका चियापान समारोहमा कार्यकर्ताबाट नेता कुटिएका दृष्टान्त थिए । यसपटक त कार्यकर्तामाथि नै आक्रमण भयो । देशको सबैभन्दा ठूलो जनमत पाएको पार्टी नेकपाको चियापान समारोहमा असन्तुष्ट कार्यकर्तामाथि कुटपिट भएको हो । आज भृकुटीमण्डपमा नेकपाले गरेको चियापान समारोहमा असन्तुष्ट एक कार्यकर्तामाथि सोही पार्टीका एक अगुवाले हमला गरे । कसले कुटपिट गरे भन्ने चाहिँ पुष्टि भइसकेको छैन । चियापान समारोहको बहिष्कार गर्दै पर्चा बाँडिरहेको अवस्थामा युवराज पौडेल सफल नाम गरेका कार्यकर्ता कुटिएका हुन् । पौडेलले नेकपा असन्तुष्ट समूहको नाममा एक मोर्चा समेत बनाएका थिए । त्यसको संयोजकको रुपमा उनले चियापानबीच पर्चा बाँडिरहँदा उनीमाथि आक्रमण भएको हो । यो घटनापछि युवराजलाई हामीले टेलिफोन गरी उनको प्रतिक्रिया लिएका थियौँ । पौडेलको प्रतिक्रिया जस्ताको त्यस्तै : नेकपा नेतृत्वको सरकारले गरेका पछिल्ला गतिविधि र निर्णयबाट जनता निराश बनेका छन् । बलात्कारका दोषी अझै पक्राउ पर्न सकेका छैनन् । माफियाहरु सक्रिय छन् । अपराध, भ्रष्टाचार, महंगी जस्ता समस्यालाई सरकारले सम्बोधन गर्न सकेकै छैन । जनतामा निराशा छाएको यस्तो अवस्थामा ५० हजारलाई बोलाएर चियापान गर्नुको औचित्य छैन भनेर हामीले केही दिन अघिदेखि नै भन्दै आएका थियौँ । यो फजुल खर्च गर्ने समय हैन । चियापानको रकमले बरु अन्य महत्वपूर्ण काम गर्न सकिने थियो । चियापानको अघिल्लो दिन मात्रै पनि हामी असन्तुष्ट केही साथी मिलेर विज्ञप्ति जारी गरिसकेका थियौँ । नेकपाका उच्च नेताहरुलाई पनि भेटेरै यसबारे सुझाव दियौँ । तर सनुवाइ भएन । अन्ततः चियापान समारोहमै उपस्थित भएर आम कार्यकर्ता र जनतालाई नै हाम्रो कुरा भन्नु पर्छ भन्ने ठानेर पर्चा बाँड्न पुगेका थियौँ । अरिंगाल जाइलागे : प्रधानमन्त्रीले केही समयअघि कार्यकर्तालाई अरिंगाल बन्न निर्देशन दिइरहेका थिए । त्यसैको परिणाम आज ओली र प्रचण्डबाट पालित पोषित भाडाका कार्यकर्ताले ममाथि आक्रमण गरे । ओलीका अरिंगाल नै ममाथि जाइलागे । व्यक्तिगत रुपमा मलाई यसले केही असर परेन होला । आम जनताले अब नेकपा तथा सरकारलाई कसरी बुझ्लान् ? के सोच्लान् ? यस्तो अहंकार देखाउँदै जाने हो भने यो पार्टी जनतामा झनै अलोकप्रिय हुन्छ । म लगायत हामी असन्तुष्ट थुप्रै कार्यकर्ता यस्ता हमला सहेर बस्न सक्दैनौँ । साना समूह वा फरक विचारको सामना गर्न नसकेर आक्रमण गरिराख्ने हो भने हामी पनि चुप लागेर बस्ने छैनौँ । हामीलाई धेरै जनताले साथ दिने छन् । अन्ततः सशस्त्र संघर्ष गर्न पनि तयार हुन्छौँ हामी । ममाथि आक्रमण भइरहँदा नजिकै थिए नेकपाका नेताहरु । लेखनाथ न्यौपाने, देवेन्द्र पौडेल, शक्ति बस्नेतलगायत नेताहरु नजिकै थिए । प्रहरी अधिकारीकै अगाडि नेकपाका कार्यकर्ताले हमला गरे । यो घटना दुखद् हो । मलाई नै कसैले परिचालित गर्यो की भनेर आशंका गरे । तर खासमा ती पिट्ने कार्यकर्ता नै भिजिलान्ते हुन् । विचारबाटै प्रतिवाद गर्न सकिने कुरा हुँदा पनि तिनिहरु हातपातमै उत्रिए । यसले यो सरकारको छवि नै उदांगो पारिदिएको छ । वास्तवमा बृहत कम्युनिष्ट पार्टी निर्माण गर्ने हाम्रो अभियान हो । भ्रष्टाचार नियन्त्रण गर्ने, माफियालाई कारवाही गर्ने र बलात्कारीलाई पक्राउ गर्न हाम्रो दबाब निरन्तर हुनेछ । यो घटनाले सरकार कायर भएको पुष्टि भएको छ ।"
"ऊर्जामन्त्री पुन र सर्बियाका उपप्रधानमन्त्रीकाे भेट","काठमाडौं : ऊर्जा, जलस्रोत तथा सिंचाईमन्त्री वर्षमान पुन र सर्बियाका प्रथम उपप्रधानमन्त्री इभिका डाकिकबीच भेटवार्ता भएको छ । युरोएसियाइनर्जी सेक्युरिटी फोरममा भाग लिन सर्बिया पुगेका ऊर्जामन्त्री पुन र उपप्रधानमन्त्री इभिकाबीच शनिवार भेटवार्ता भएको हो । भेटमा द्विपक्षीय हितका विषयमा छलफल हुनुका साथै आगामी दिनमा गर्ने सहकार्यका विषयमा समेत कुराकानी भएको छ । मन्त्री पुनले गत मेमा उपप्रधानमन्त्री इभिकाले गरेको नेपाल भ्रमणप्रति नेपाल सरकार, परराष्ट्रमन्त्री र आफ्नो व्यक्तिगत तर्फबाट धन्यवाद दिए । भेटमा मन्त्री पुनले नेपाल र सर्बिया असंलग्न आन्दोलनका सहयात्री मुलुक भएको भन्दै आगामी दिनमा विश्व मंचमा प्रस्तुत हुँदा साझा धारणा बनाएर जाने प्रस्ताव गरे । उनले दुवै देशको सम्बन्ध सुमधुर बनाउन उच्चस्तरीय भ्रमणको आदान प्रदानमा जोड दिनुपर्ने धारणा राखे । मन्त्री पुनले भेटमा भने, हामी पुराना सहयात्री मुलुक हौं, नेपाल र सर्बियाको द्वन्द्व र शान्तिको झण्डै उस्तैउस्तै अनुभव छ, आगामी दिनमा विश्व मंचमा साझा धारणा बनाएर अघि बढौं । सर्बियाका उपप्रधानमन्त्री इभिकाले नेपालसँगको सम्बन्ध सुमधुर बनाउन सर्बिया इच्छुक रहेको भन्दै नेपालमा लगानीको लागि आफूले निजी क्षेत्रलाई उत्प्रेरित गर्ने र सर्बियाली पर्यटकलाई नेपाल भ्रमणमा जानको लागि वातावरण बनाउने प्रतिबद्धता व्यक्त गरे । उनले इनर्जी फोरममा नेपालले सहभागीता जनाउनुले पनि नेपाल र सर्बियाबीचको सम्बन्ध मजबुत भएको पुष्टि गरेको भन्दै आगामी दिनमा समेत दुबै देशको बीचमा थप सहकार्य हुने विश्वास व्यक्त गरे ।"
"नेकपाको चियापानमा प्रधानमन्त्री अनुपस्थित : छातिमा समस्या","काठमाडौं : नेपाल कम्युनिस्ट पार्टी (नेकपा)को चियापानमा प्रधानमन्त्री तथा पार्टी अध्यक्ष केपी शर्मा ओली उपस्थित भएनन् । दसैं, तिहार र छठको अवसरमा शनिबार राजधानीको भृकुटीमण्डपमा आयोजित शुभकामना आदानप्रदान कार्यक्रममा ओली नगएका हुन् । छातिमा समस्या देखिएपछि प्रधानमन्त्री ओली चियापानमा उपस्थित नभएका हुन् । ओलीको स्वास्थ्यमा समस्या देखिएपछि शुक्रबार साँझ बस्ने भनिएको मन्त्रिपरिषद् बैठकसमेत स्थगित भएको थियो । १२ बजेबाट सुरु भएको चियापानमा प्रधानमन्त्री ओली ३ बजे उपस्थित हुने बताइएको थियो । तर, साँझ पाँच बजेसम्म पनि प्रधानमन्त्री उपस्थित भएनन् । ओलीको छातिमा समस्या भएपछि उपस्थित हुन नसकेको जानकारी नेकपाका महासचिव विष्णु पौडेलले गराए । छातिमा सामान्य समस्या देखिएकाले उहाँ उपस्थित हुनु भएन, महासचिव विष्णु पौडेलले भने । प्रधानमन्त्रीको निजी सचिवालयका अनुसार ओली शुक्रबार बिहानैबाट सरकारी निवास बालुवाटारमा चिकित्सकको निगरानीमा आराम गरिरहेका छन् । नेकपाको चियापानमा अर्का अध्यक्ष पुष्पकमल दाहाल प्रचण्ड, वरिष्ठ नेता माधवकुमार नेपाल, झलनाथ खनाललगायतले अतिथिलाई स्वागत गरेका थिए । ५० हजारलाई निम्ता गरिएको चियापानमा प्रमुख प्रतिपक्षी दल नेपाली कांग्रेसका सभापति शेरबहादुर देउवालगायत विभिन्न पार्टीका नेता उपस्थित थिए ।"
"नेपालमा रेडियोलोजी चिकित्सक अभाव","काठमाडौं : नेपालमा रेडियोलोजी चिकित्सकको संख्या बढाउनुपर्नेमा जोड दिइएको छ । नेपाल रेडियोलोजिस्ट एसोसियसनको आयोजनामा राजधानीमा शनिबार सम्पन्न दुईदिने तेस्रो राष्ट्रिय सम्मेलनका सहभागीले उक्त जोड दिएका हुन् । नेपालमा आवश्यकमध्ये १० प्रतिशतमात्रै रेडियोलोजी चिकित्सक रहेका छन् । ९० प्रतिशत रेडियोलोजी चिकित्सकको अभाव रहेको एसोसियसनका अध्यक्ष प्रा डा स्वयम्प्रकाश पण्डितको भनाइ छ । नेपालमा करिब तीनसय पचास रेडियोलोजी चिकित्सक छन्, उनले भने, यो नेपालको आवश्यकताको दस प्रतिशतमात्रै हो । नेपालमा अझै पाँच हजारको हाराहारीमा रेडियोलोजी चिकित्सह आवश्यक छन् । उनले नेपालमा अत्याधुनिक रेडियोलोजी उपकरणको अभाव रहेको समेत बताए । त्यसमाथि भएका सबै अत्याधुनिक उपकरण राजधानी र मुख्य सहरमा मात्रै केन्द्रित रहँदा ग्रामीण क्षेत्रमा बस्ने नेपाली रेडियोलोजी सेवाबाट बञ्चित हुँदै आएको उनको भनाइ थियो । रेडियोलोजी चिकित्सक पनि दुर्गम क्षेत्रमा नजाने नयाँ रोग होइन, राष्ट्रिय चिकित्सा विज्ञान प्रतिष्ठानका प्रमुख कन्सल्टेन्ट रेडियालोजिस्ट प्रा डा पण्डितले भने, ग्रामीण क्षेत्रमा रेडियोलोजिस्टको सरकारी दरबन्दीसमेत छैन । दरबन्दी नभएपछि चिकित्सक जाने कुरा भएन । त्यसमाथि उपकरण पनि छैनन् । विकसित देशहरुमा जस्तै नेपालमा पनि रेडियोलोजिस्ट चिकित्सकले सूक्ष्म सल्यक्रियामार्फत बिरामीको उपचार थालिसकेको राष्ट्रिय सम्मेलनको साइन्टिफिक कमिटीकी संयोजक प्राडाबेनु लोहनीले बताइन् । तर कम संख्यामा मात्रै यस्ता सूक्ष्म सल्यक्रिया गर्ने रेडियोलोजिस्ट चिकित्सकहरु रहेको उनको भनाइ थियो । उनका अनुसार रेडियोलोजीका अत्याधुनिक उपकरणबाट मानिकास टाउकोदेखि खुट्टासम्मका सम्पूर्ण भागको उपचार सम्भव छ । सूक्ष्म सल्यक्रिया भनिने यस विधिबाट बिरामीलाई कम दुखाइ हुने र तुलनात्मक रुपमा कम खर्च उपचार गर्न सकिने उनी बताउँछिन् । जस्तो टाउकोमा रगत जमेको छ भने टाउको खोलेर कठिन सल्यक्रिया गर्नुपर्दैन, प्राडा लोहनी भनिन्, रेडियोलोजी उपकरणको सहायतामा रक्तनलीमार्फत विना टाउको नखोलीकनै उपचार गर्न सकिन्छ । यसबाट बिरामीलाई धेरै दुखाइ पनि हुँदैन । धेरैदिन अस्पताल पनि बस्नपरेन । खर्च पनि तुलनात्मक रुपमा कम हुन्छ । सम्मेलन उद्घाटन गर्दै मन्त्रिपरिषद्का पूर्वअध्यक्ष एवं पूर्वप्रधानन्यायाधीश खिलराज रेग्मीले चिकित्सकहरुलाई दुर्गम क्षेत्रमा समेत गएर स्वास्थ्य सेवा प्रदान गर्न आग्रह गरे । उनले चिकित्सकहरुले आफ्नो पेसाप्रति इमानदारिता छोड्न नहुनेमा जोड दिए । चिकित्सकले मुलुकी संहिताको विरोध गरेकोतर्फ संकेत गर्दै उनले भने, चिकित्सकले आफ्नो मर्यादा र कर्तव्य भुल्नुभएन । पेसाप्रति इमानदार भए कुनै कानुनले कारबाही गर्नसक्दैन । उल्टै कानुनले रक्षा गर्छ । कार्यक्रममा उनले नेपालका चारजना वरिष्ठ कन्सल्टेन्ट रेडियालोजिस्टहरु डा मधुसुदनलाल मास्के, डा वीरेन्द्रलाल जोशी, डा नेत्रबहादुर अमात्य र डा आनन्दप्रसाद श्रेष्ठलाई सम्मान गरेका थिए । सम्मेलनमा नेपालसहित दस देशका दुई सय चालीस नयाँ तथा पुराना रेडियोलोजी चिकित्सकहरुको सहभागिता रहेको एसोसियसनले जनाएको छ । नेपालसँगै भारत, दक्षिण कोरिया, चीन, श्रीलंका, अष्ट्रियाका रेडियोलोजी चिकित्सकहरुले ३५ वटा कार्यपत्र प्रस्तुत गरेको एसोसियसनका अध्यक्ष प्राडा पण्डितले जानकारी दिए ।"
"कम्युनिष्ट किन कागतीचिया रुचाउँथे ? : स्टालिन र लेनिनका चिया स्वाद","काठमाडौं : कुनै रसियन नागरिकको परिवारमा विदेशी पाहुना बनेर जाँदा पक्कै पनि भोड्का पिउन पाइन्छ भनेर सोच्नुभयो भने तपाईँ गलत हुन सक्नु हुन्छ । हरेक रसियनहरु रक्सी पिउँछन् भन्ने जुन मान्यता बन्यो यो आफैँमा एक प्रचारवाजी भएको रसियनहरुले नै सावित गरिदिएका छन् । अचेल रसियनहरुले भोड्का भन्दा पनि चिया पिउने अफर गर्न थालेको विभिन्न खोजले देखाएका छन् । रसिया बाहेक अन्य मुलुकका भव्य रेष्टुरेण्टमा समेत रसियन चियाका विभिन्न आइटम लोकप्रिय छन् । अर्थात् रसियामा चिया एक संस्कृतिको रुपमै विकास भएको छ । केही वर्षअघि मात्रै गरिएको एक सर्वेक्षणमा ९४ प्रतिशत रसियनहरु हरेक दिन चिया पिउँछन् । प्रसिद्ध लेखक लिओ टोल्सटोय भन्ने गर्थे, मलाई चिया अति नै चाहिन्छ । चिया बिना म काम गर्नै सक्दिन । चियाले मेरो सपना पछ्याउने जाँगरलाई जगाउँछ पनि । टोल्सटोयको यो भनाइबाट पनि चियासँग रसियन संस्कृति जोडिएको भनी ब्याख्या गरिन्छ । चिया राष्ट्र : चीनका एक शासकले पत्ता लगाएको चिया अचेल विश्वका अधिकांश देशमा संस्कृति बनिसकेको छ । रुसमा भने १९ औं शताब्दिदेखि चियाको प्रयोगले ब्यापकता पाएको बताइन्छ । चिया सस्तो पर्ने भएकाले पनि आम नागरिकले प्रयोग गर्छन् यहाँ । तर यसमा पनि धनाढ्य वा पूँजीपतिहरुले पिउने चिया र आम मान्छेले पिउने चियाको गुणस्तरमा पक्कै भिन्नता छ । सन् २०१६ मा यूरोमोनिटर अन्तर्राष्ट्रियले गरेको एक सर्वेक्षणमा ७८ प्रतिशत रसियनहरु हरेक दिन दुई पटक चिया पिउने तथ्य भेटियो । क्रान्तिकारीका अनेक स्वाद १९१७ को अक्टोबर क्रान्तिका डिजाइनर तथा नायक भ्लादिमिर लेनिन समेत चियाका पारखी रहेको बताइन्छ । त्यसबेलाका क्रान्तिकारीहरुले आफ्ना संस्मरणमा उल्लेख गरे अनुसार लेनिन आफ्ना कम्रेडहरुसँग बसेर खुबै चिया पिउँथे । लेनिन देशनिकाला हुँदा कहिलेकाहीँ बियर र वाइन त पिउँथे । त्यसको अम्मली भने थिएनन् । लेनिनबारे रुसी मिडियाले सार्वजनिक गरेका तथ्य अनुसार चिया पिएपछि नै उनी आफूलाई रिफ्रेस भएको ठान्थे । कम्युनिष्ट तानशाह जोसेफ स्टालिन पनि त्यस्ता नेता थिए, जसलाई हरेक दिन चिया पिउनै पथ्र्यो । यति सम्म कि, विश्वका केही प्रभावशाली नेताले समेत स्टालिनसँग चिया बहस गरेको बारे संस्मरण नै लेखेका छन् । मार्सल अलेक्जेन्डर बासिलेब्स्कीले भनेका थिए ः सधैँजसो स्टालिनसँगको बैठकका बेला उनका सहयोगीले स्टालिनलाई कागती मिसाएको चिया (लेमन टी) दिइरहेकै हुन्थे । आफ्ना सहयोगीले ल्याएको चियामा स्टालिन कागती निचोरेर सुरुप सुरुप पिउँथे । किन कागती चिया ? स्टालिन मात्रै हैन, खासगरी रसियाको मौलिक संस्कृति नै हो कागती चिया । लेनिनकालिन समयमा कागती चियाको प्रयोग कम्युनिष्टहरुमाझ आनीबानी नै बनेको थियो । यतिसम्म कि, कागती चियालाई यहाँ आकर्षक डेजर्टको रुपमा पनि प्रयोग गरिन्छ । खाद्य विज्ञहरुका अनुसार यस्तो संस्कृति विकास भएको १८ देखि १९ औं शताब्दिको मध्यतिर हो । रुस एक चिसो भुगोल हो । तत्कालिन समयका घोडचढी यात्रीहरु खराब बाटोमा दौडिँदै गर्दा सिकनेसले समात्थ्यो । जसबेला उनीहरु न्यानोपनको लागि कागती मिसाएको चिया पिउने गर्थे । कागती चिया बाहेक पिउने प्लेन चिया वा दुध चियाको संस्कार पनि नभएको हैन । तर कागती चियामा मौलिकता भएको ठानिन्थ्यो । यसकारण पनि रुसमा कम्युनिष्टहरु कागती चिया मन पराउन थालेको टिप्पणी गरिन्छ । जब कि, दुध चिया वा प्लेन चियालाई अंग्रेजको संस्कारको रुपमा समेत ब्याख्या गरिन्थ्यो ।"
"काभ्रेमा दुर्घटना : डीआईजी र पत्रकारसहित चारको मृत्यु (अपडेट)","बनेपा : काभ्रेमा शनिबार दिउँसो भएका छुट्टाछुट्टै दुर्घटनामा चार जनाको मृत्यु भएको छ भने अन्य चार घाइते छन् । मण्डन देउपुर नगरपालिकास्थित ढकाल थोकमा बा ३ च २८७ नम्बरको जिप पल्टिदा तीन जनाको मृत्यु हुनुका साथै पाँचखाल नगरपालिकाको तिनपीपलेमा भएको दुर्घटनामा एकजनाको मृत्यु भएको हो । जिप दुर्घटनामा मण्डन देउपुर ४ का पत्रकार जीवन पराजुली र नेपाल ट्रेड युनियम प्रदेश नम्बर ३ का अध्यक्ष नमोबुद्ध नगरपालिका १० का विनोद कार्की र डीआईजी सुशील भण्डारीको धुलिखेल अस्पतालमा उपचारको क्रममा मृत्यु भएको एसपी रविराज खड्काले जानकारी दिए । उनका अनुसार जिपमा सवार अन्य तीनजना घाइते छन् । घाइतेको धुलिखेल अस्पतालमा उपचार भइराखेको छ । जिप थुक्कीडाँडाबाट धुलिखेल फर्कने क्रममा दिउँसो दुई बजे सडकबाट पाँच सय मिटर तल खसेर दुर्घटना भएको जिल्ला ट्राफिक कार्यालय काभ्रेका सई राजेश दाहालले जानकारी दिए । त्यसैगरी आइतबारै पाचँखाल तिनपीपलेमा धुखिलेलबाट पाँचखालतर्फ जाँदै गरेको बा ३ क ६४२ नम्बरको टिपरले मोटरसाइकललाई ठक्कर दिँदा मोटरसाइकलमा सवार सोही स्थानकी ५६ वर्षीय रञ्जना गौतमको मृत्यु भएको हो । जिल्ला ट्राफिक कार्यालय काभ्रेका सई राजेश दाहालका अनुसार मोटरसाइकल चालक सामान्य छन् । काभ्रेमा दुर्घटना : तीन जनाको मृत्यु, पाँच घाइते"
