"शीर्षक","विवरण"
"३६ विधेयक संसदमा","बुटवल : पाँच नम्बर प्रदेश सरकारले ३६ वटा विधेयक प्रदेश सभामा दर्ताका लागि स्वीकृत गरेको छ । विजनेश नपाएर तीन महिनाअघि स्थगित भएको प्रदेशसभा बैठक मंसिर पहिलो साता बस्ने तयारी छ । संसदको तेस्रो अधिवेशनलाई विधेयक अधिवेशनका रुपमा लैजाने योजनासहित सरकारले ३६ विधेयक दर्ता तथा निर्माणका लागि स्वीकृति दिएको हो । यीमध्ये केही विधेयक मस्यौदाका लागि सैद्धान्तिक सहमति दिइएका हुन् । शुक्रबार बसेको मन्त्रिपरिषद् बैठकले चार विधेयक संसदमा लानका लागि स्वीकृति दिएको छ भने सात वटा विधेयक निर्माणका लागि सैद्धान्तिक सहमति दिएको सरकारका प्रवक्ता वैजनाथ चौधरीले जानकारी दिए । सरकारले सहमति दिएपछि विधेयकको मस्यौदा तयार हुने व्यवस्था रहेको छ । केही दिनअघि बसेको मन्त्रिपरिषद् बैठकले १५ वटा विधेयकमाथि स्वीकृति र सैद्धान्तिक सहमति दिएको थियो । शुक्रबारको मन्त्रीपरिषद् बैठकले पाल्पाको रिब्दीकोट गाउँपालिकाको नाम परिवर्तन गर्ने प्रस्तावलाई स्वीकृति दिएको छ । गाउँपाािलकाको दुई तिहाई बहुमतले रिब्दीकोट भैरव नाम राख्ने प्रस्ताव पारित गरेको थियो । त्यस्तै मन्त्रिपरिषद् बैठकले जनता आवास कार्यविधि समेत स्वीकृति गरेको छ । प्रदेश ५ मा यसअघि संसोधनसहित १५ वटा कानुन तयार भइसकेका छन् ।"
"परिचयपत्र माग्दै द्वन्द्वपीडित","दाङ : प्रदेश नं ५ का विभिन्न जिल्लाका द्वन्द्वपीडितहरुले सरकारले द्वन्द्व पीडित परिचयपत्रको व्यवस्था गर्नुपर्ने माग राखेका छन् । द्वन्द्वपीडितको पहिचान र आधारका लागि परिचयपत्र अनिवार्य भएको भन्दै उनीहरुले वास्तविक द्वन्द्व पीडितहरुलाई परिचयपत्र उपलब्ध गराउन राज्यसँग माग गरेका हुन् । द्वन्द्वपीडित महिला गोमा बस्यालले राज्यले पीडितकोे व्यवस्थपनको लागि चासो नदिएको र पीडितहरुले न्याय पाउन नसकेको भन्दै तीन वटै सरकाले पीडितको न्यायका लागि सम्वोधन गर्नुपर्ने बताइन् । उनले न्यायका लागि र चिनारीका लागि पनि परिचयपत्र आवश्यक रहेको भन्दै राज्यले द्वन्द्वपीडित परिचयपत्रको व्यवस्था गर्नुपर्ने बताइन् । उनले सत्य निरुपन तथा वेपत्ता छानविन आयोगले पीडितलाई न्याय र विश्वास दिन नसकेको र पीडा मात्रै बढाइरहेको भन्दै त्यसको खारेज गरेर न्यायिक आयोग गठन गर्न माग गरिन् । बिहीबार र शुक्रबार तुलसीपुरमा आयोजित द्वन्द्वपीडितहरुको दुइदिने सम्मेलनले दुई आयोगको विघटन गरी न्यायीक आयोग गठन गर्न माग समेत गरेको छ । पीडित तिला खड्काले अरु जस्तै द्वन्द्वपीडित परिवारका सदस्यहरुलाई रोजगारका लागि आरक्षणको व्यवस्था गर्न माग गरिन् । नागरिक आवाज नामको संस्थाको आयोजनामा शुक्रबार तुलसीपुरमा भएको द्वन्द्वपीडित र सरोकारवालाहरुसँगको अन्तर सम्वाद कार्यक्रममा बोल्दै तुलसीपुर उपमहानगरपालिका नगर प्रमुख घनश्याम पाण्डेले नगरले छिट्टै द्वन्द्वपीडितहरुको अभिलेखिकरण गर्ने र द्वन्द्वपीडित लक्षित कार्यक्रमहरु सञ्चालन गर्ने तयारी गरेको बताए ।"
"वीरगन्जबाट चाँदीका साढे १४ किलो गहना बरामद","वीरगन्ज : वीरगन्जमा प्रहरीले वेवारिसे अवस्थामा रहेको साढे १४ किलो चाँदीका गरगहना बरामद गरेको छ । वीरगन्ज१४ गण्डक चोकमा प्रहरीले याुत्रवाहक बस रोकेर चेकजाच गर्ने क्रममा ६ लाख २७ हजार पाच सय ९० रुपैयाँ मूल्य बराबरको १४ किलो ६ सय ७५ ग्राम तौलको चाँदीका गहना वेवारिसे अवस्थामा बरामद गरेको हो । सुराकीले दिएको सुचनाको आधारमा जिल्ला प्रहरी कार्यालय पर्साबाट खटिएको प्रहरीको टोलीले वीरगन्जबाट पथलैया तर्फ जादै गरेको ना २ ख ३९७९ नम्बरको बसमा चेकजाच गर्दा बसको प्यासेजमा वेवारिसे अवस्थामा रहेको खरानी रंगको झोला भित्र पाउजु, बाला,सिक्री, झुम्का लगायतका चाँदीका विभिन्न प्रकारका गरगहना भेटिएको पर्साका प्रहरी उपरीक्षक रेवती ढकालले जानकारी दिए । बरामद चाँदीका गरगहना, आवश्यक कार्वाहीका लागि शुक्रबार अपरान्ह वीरगन्ज भन्सार कार्यालयमा पठाइएको प्रहरी उपरिक्षक ढकालले बताए ।"
"नेपाल आइडलबाट बाहिरिए सुर्खेतका सुविन सिंह","काठमाडौं : एपीवान टेलिभिजनबाट प्रसारण भइरहेको रियालिटी सो नेपाल आइडल सिजन२ को शुक्रबारको कार्यक्रममा सुर्खेतका सुविन सिंह बाहिरिएका छन् । तिमीले भनेका सारा देव छोएर, म किरिया खान कहाँ सक्छु र बोलको गीत उनले बिहीबारको कार्यक्रममा गाएका थिए । कार्यक्रममा उपस्थित वरिष्ठ संगीतकार शम्भुजित बाँस्कोटाले समेत उनको फरक खालको स्वरको खुलेर प्रशंसा गरेका थिए । शुक्रबारको कार्यक्रममा सुविन नेपालको राष्ट्रिय झन्डा बोकेर मञ्चमा देखा परे । विक्रम र सुविनले ठूलाठूला महल होइन बोलको गीतमा संयुक्त प्रस्तुति दिएका थिए । उनीहरूले गीत गाइरहँदा सबै दर्शक र जज मन्त्रमुग्ध थिए । प्रतिस्पर्धाको नियम नै हो, एकजनाले जित्न अरूले हार्नुपर्छ । नेपाल आइडलको फाइनल जति नजिक जान्छ यसका सहभागीबीच प्रतिस्पर्धा झनै कडा बन्छ । कोहीभन्दा कोही कम छैनन् । सबै सुमधुर गाउँछन् । सबैले स्वरको जादु चलाउँछन् । सबै प्रतिस्पर्धीले टाइटल विजेता बन्ने उद्देश्य राखेका छन् । शुक्रबारको कार्यक्रममा टप नौ सहभागीबीच प्रतिस्पर्धा भएको थियो । शुक्रबार बाहिरिएका सुर्खेतका सुविन नेपाल आइडलका चर्चित प्रतियोगी हुन् । सानैदेखि संगीतमा रुचि राख्ने उनी यही क्षेत्रमा विशेष गर्न चाहन्छन् । नेपाल आइडल आउनुअघि उनी कतार बसेर फर्किएका हुन् । अलिकति जिम्मेवारी, अलिकति खुसी र थोरै दुःख लागेको बताउँदै उनले नेपाल आइडलले आफ्नो लक्ष्य पूरा गर्न बाटो खोलिदिएकोमा कार्यक्रमप्रति आभारी व्यक्त गरे । कार्यक्रमको अन्तिममा जब प्रस्तोताले आज बाहिरिने प्रतियोगीका रूपमा सुविनको नाम उच्चारण गरे । तब मञ्चमा सन्नाटा छायो । आँखाभरि टिलपिलाएका आँसु रोक्दै सुविन जबर्जस्ती हाँस्ने कोसिस गर्दै थिए । जजहरू शब्दविहीन देखिन्थे । शुक्रबार वरिष्ठ संगीतकार नातिकाजीको १५ औं स्मृति दिवस । उनले संगीत दिएको शुभकामना बोलको गीत प्रस्तुत गर्दै नेपाल आइडल टिमले उनलाई सम्झियो । शुभकामना भरि हरेक श्वासमा, तिम्रो दीर्घायुको कामना गर्न सकुँ म नेपाल आइडलका उत्कृष्ट नौजनाको संयुक्त स्वरमा यो गीतको प्रस्तुतिसँगै शुक्रबारको नेपाल आइडलको शृंखला सुरु भयो । नेपाल आइडलको यो प्रस्तुतिलाई सबै जजले प्रशंसा गरे । कार्यक्रममा मंसिर २१ देखि देशैभरि प्रदर्शनमा आउने प्रसाद फिल्मका निर्देशक दिनेश राउत र कलाकार निश्चल बस्नेत अतिथिका रूपमा उपस्थित थिए । चोरी देऊ, चोरी देऊ बोलको रमाइलो गीत गाउँदै निकै रोमान्टिक मुडमा मञ्चमा देखा परे पवन गिरी र अस्मिता अधिकारी । यो गीतसँगै निश्चल बस्नेत र कार्यक्रमका प्रस्तोता आसिफले छोटो नृत्य पनि गरेका थिए । पवन र अस्मिताको रमाइलो गीतले कार्यक्रमको माहोल तातोको थियो । रवि ओड र अस्मिता अधिकारीले पुनः वनकी चरी के भन्छे भन्दै स्टेजमा उपस्थित भए । प्रसाद फिल्मको यो गीत पहिलो पटक कार्यक्रममा गाइएको थियो । मीठो मुस्कानका साथ कार्यक्रममा उपस्थित भए नीलिमा थापा र सुमित पाठक । उनीहरूले लुकु लुकु लाग्यो मलाई, बोलको गीतमा आफ्नो स्वर दिएका थिए । उनीहरूको प्रस्तुतिले पनि दर्शक तथा जजको मन जित्न सफल भयो । असारै महिनामा बोलको गीत गाएर क्रिसल कँडेल र अमित बरालले कार्यक्रमको माहोल तताए । त्यसलगत्तै पुनः गु्रप प्रस्तुतिमा सबै जोडिए । प्रसाद फिल्मकै लै लै बोलको गीतमा प्रत्येकले आफूलाई अब्बल सावित गर्ने कोसिस गरे । कार्यक्रममा सबैको प्रस्तुति बेजोड थियो । लामो समयदेखि उनीहरू गीतसंगीतमा उत्कृष्ट नतिजा ल्याउन संघर्षरत छन् । मन जित्छ उसले, राम्रो गाउँछ जसले नाराका साथ नेपाल आइडल सिजन२ गत साउन २४ देखि सुरु गरिएको हो । नेपाल आइडलका च्यानल हेड लक्ष्मीप्रसाद पौडेल हुन् भने प्रोजेक्ट हेड सुरेश पौडेल छन् । कार्यक्रम निर्देशकहरूमा सुरेश पौडेल, लोकेश वज्राचार्य र एलन श्रेष्ठ रहेका छन् ।"
"उपचार गर्न मुख्यमन्त्री थाइल्याण्ड प्रस्थान","विराटनगर : प्रदेश १ का मुख्यमन्त्री शेरधन राई स्वास्थ्य उपचारका लागि शुक्रबार दिउँसो थाइल्याण्ड प्रस्थान गरेका छन् । नेपाल वायुसेवा निगमको जहाजबाट मुख्यमन्त्री राई त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलबाट थाइल्याण्ड दिउँसो २ बजे त्यसतर्फ प्रस्थान गरेका हुन् । २ वर्षदेखि घाँटीको सम्बन्धी समस्याका कारण पीडित मुख्यमन्त्री राईले यसअघि वीर अस्पताल, त्रिभुवन विश्वविद्यालय शिक्षण अस्पताल, ग्राण्डी अस्पताल, नेपाल मेडिसिटीलगायतमा उपचार गराएपनि रोग पत्ता लाग्न सकेको थिएन । राईका प्रेस संयोजक ध्रुव सुवेदीले शुक्रबार प्रेस नोट सार्वजनिक गर्दै राईको उपचार थाइल्याण्डस्थित बुम्रुनग्राण्ड इन्टरनेशनल अस्पतालमा हुने जानकारी गराएका छन् । राईको प्रारम्भिक उपचारका लागि थाइल्याण्ड जाने र थप उपचारका लागि अमेरिका जाने बताइएको छ । मुख्यमन्त्रीको सचिवालयका अनुसार उनको सम्पूर्ण उपचार निजी खर्चमा हुनेछ । राईलाई विदेश गएर उपचार गर्न प्रदेश मन्त्रिपरिषद्ले स्विकृति दिएको छ ।"
"बुहारी खोज्न गएकी सासू मृत भेटिइन्","बैतडी : बुधबार साँझ बुहारी खोज्न घरबाट निस्केकी बैतडीको दोगडाकेदार गाउँपालिका ४ श्रीकेदार साउगाउँकी पार्वती भट्ट मृत फेला परेकी छन् । ५२ बर्षीया भट्ट दशरथचन्द्र नगरपालिका ४ को झल्कोट जङगलमा झुन्डिएको अवस्थामा शुक्रबार फेला परेकी हुन् । भट्ट सारीको पासो बनाएर झुन्डिएको अवस्थामा भेटिएको घटनास्थल पुगेका जिल्ला प्रहरी प्रमुख प्रहरी नायव उपरीक्षक नेत्रमणि गिरीले जानकारी दिए । बुधबार बिहान घाँस काट्न गएकी ३० बर्षीया बुहारी निर्मला भट्ट साँझसम्म पनि नफर्केपछि पार्वती खोज्न भनेर निस्केकी थिइन् । पार्वतीकी बुहारी निर्मला पनि बिहीबार झुण्डिएको अवस्थामा फेला परेकी थिइन् । सासु र बुहारी दुवै मृत अवस्थामा फेला परेकाले घटना रहस्यमय भएको प्रहरीले जनाएको छ । घटनाबारे अनुसन्धान जारी रहेको प्रहरीको भनाइ छ ।"
"राजनेताले जनतालाई बन्धक बनाए : रविन्द्र मिश्र","विराटनगर : विवेकशील साझा पार्टीका संयोजक रविन्द्र मिश्रले राजनेताले नेपाली जनतालाई बन्धक बनाएको आरोप लगाएका छन् । जनतालाई बन्धक बनाएर नेताले व्यक्तिगत स्वार्थमा लागेको बताउँदै उनले भने,नेताहरु मतदातालाई बन्धक बनाएर स्वार्थ पूरा गर्न लागेको मुलुकको विकास हुन नसकेको हो । संगठन विस्तारको कामले विराटनगर आएका उनले पत्रकार सम्मेलन गरी राजनीतिक परिवर्तन गर्ने आफू राजनीतिमा होमिएको बताए । मिश्रले मतदाताले स्वतन्त्रपूर्वक मतदान गर्नेतर्फ अग्रसर नभएसम्म मुलुकको विकास हुन नसक्ने बताए । मतदाताले आफू र परिवारलाई दुःखी बनाएर मतदात गरी नेतालाई खुशी बनाउने कामको अन्त गर्नु पर्ने आवश्यकता भएको औंल्याए । मतदाता स्वतन्त्र भएर गुण र दोषको अधारमा मतादात गरे मात्र मुलुकमा विकासले गति लिनेछ, उनले भने । अहिले जनतामा घोर निरासा छाएको बताउँदै राजनीतिक दलले जनता प्रति देखाउने व्यवहार नै बिडम्बना भएको आरोप लगाए । जनताको अपेक्षा पूरा गर्ने सम्बन्धमा केही पनि गर्न नसकेको सरकार र उस्तै प्रतिपक्षका कारण अब वैकल्पिक शक्ति नरोजी जनताले सुखै नपाउने उनले दाबी गरे ।"
"सय पर्यटकीय गन्तव्यमा लमजुङको घलेगाउँ र काउलेपानी","बेसीशहर : सरकारले सार्वजनिक गरेको देशभरका पर्यटकीय गन्तव्यको सूचीमा लमजुङको घलेगाउँ र काउलेपानी होमस्टे पनि परेका छन् । संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालयले प्राकृतिक, पूरातात्विक, ऐतिहासिक सांस्कृतिक तथा धार्मिक दृष्टिका आधारमा देशभरबाट नयाँ एक सय पर्यटकीय गन्तव्य छनोट गर्दा लमजुङका दुई गाउँ परे । सरकारले स्थापित तथा प्रवद्र्धन गर्नुपर्ने र नयाँ तथा विकास गर्नुपर्ने गरेर करिब दुई सय गन्तव्य पहिचान गरेको छ । जसमध्ये नयाँ गन्तव्यमात्र एक सय छन् । मन्त्रालयले नयाँ पर्यटकीय गन्तव्यको विकासका लागि चालु आर्थिक वर्षमा विनियोजित बजेटबाट रकम बाँडफाँड हुने बताइएको छ । सरकारले छानेका स्थापित तथा प्रवद्र्धन गर्नुपर्ने स्थानमा सार्क राष्ट्रको नमूना घलेगाउँ र नयाँ तथा विकास गर्नुपर्ने स्थानमा नेपालकै नमूना होमस्टे काउलेपानीलाई छनोट गरेको हो । घलेगाउँ : हिमालै हिमालको काखमा रहेको करिब छ सय वर्ष पुरानो घलेगाउँमा हिमाली दृष्यावलोकन, सुधारिएको होमस्टेसँगै परम्परागत गुरुङ संस्कृति झल्कने घाँटु, सोरठी, सेर्गा, कृष्णचरित्रलगायत नृत्य, नमुना चिया बगानको अवलोकन, गुरुङ खाना, सूर्योदय र सूर्यास्तको दृष्यावलोकन गर्न सकिन्छ । यस्तै सामूहिक भेडापालनको अवलोकन, बोटानिकल गार्डेन र भ्यू टावर आदि घलेगाउँका आकर्षणहरु हुन । सुरुमा १३ घरबाट सुरु भएको घलेगाउँको होमस्टे अहिले ३५ घरमा विस्तार भएको छ । दक्षिण एसियाकै नमुना गाउँका रूपमा विकास भएको घलेगाउँमा पर्यटकको आगमनसँगै स्थानीय बासिन्दाको आर्थिकस्तर पनि उकासिँदै गएको छ । लमजुङको बेसीसहरबाट मोटरमा दुई घण्टामा घलेगाउँ पुग्न सकिने भएपछि हाल आन्तरिक पर्यटकको आगमनमा निकै बृद्धि भएको हो । दैनिक दुईसय भन्दा बढी आन्तरिक पर्यटक आउने गरेको पर्यटन व्यवस्थापन समिति ग्रामिण पर्यटन घलेगाउँका अध्यक्ष प्रेम घलेले बताए । घलेगाउँमा बार्षिक ३० हजार बढी पर्यटक आउने गरेका छन, घलेले भने, पर्यटकबाट मात्रै गाउँमा करोड बढी रकम भित्रिएको छ । गाउँमै कृषि उपजको विक्री र रोजगारीको अबसर समेत खुलेको छ । समुद्री सतहबाट २ हजार १ सय मिटर उचाइमा रहेको घलेगाउँबाट लमजुङ हिमाल, मनासुलु, माछापुच्छे, अन्नपूर्ण, हिमालचुली लगायतका हिमाल नजिकबाट नियाल्न सकिन्छ भने मस्र्याङदी, खुदी, मादी लगायतका नदीको मनोरम दृष्य देख्न सकिन्छ । पाहुनाहरुको न्यानो सत्कार गरिने घलेगाउँ पुग्ने पर्यटकलाई दही चामलको अक्षता र फूलमालाले स्वागत गर्दै दुलही झै भित्राउने चलन छ । काउलेपानी : गाउँ पर्यटन प्रवद्र्धन मञ्च (भिटोफ) ले नेपालकै उत्कृष्ट होमस्टे गाउँ घोषणा गरेपछि काउलेपानी होमस्टेमा आन्तरिक पर्यटकको चाप बढेको छ । लमजुङको सदरमुकाम बेसीशहरबाट मोटरमा करिब ७ किलोमीटर कच्ची बाटो पार गर्दै पुगिने गाउँशहरको काउलेपानी गाउँ समुन्द्री सतहदेखि १ हजार ६ सय मिटर उचाइमा छ । काउलेपानीबाट बुद्ध, मनास्लु, अन्नपूर्ण, लमजुङ लगायत १४ वटा हिमश्रृङ्खला देख्न सकिन्छ । लमजुङ दरबार, काउलेपानी देवी मन्दिर लगायत ऐतिहासिक महत्व बोकेको काउलेपानी क्षेत्रमा गुरुङ, नेवार, भुजेल लगायतका जातजातिको बसोबास छ । काउलेपानीको होमस्टेसँगै स्थानीयवासिन्दाको कला, संस्कार र संस्कृतिले काउलेपानी पर्यटकीय गन्तब्यको रुपमा विकसित हुँदै गएको होमस्टे व्यवस्थापन समितिका अध्यक्ष देउबहादुर गुरुङले बताए । काउलेपानीलाई पर्यटकीय गन्तब्यको रुपमा विकास गर्न शीरखोला आमा समूह पनि उत्तिकै लागि परेको छ । गाउँमा आउने पर्यटकलाई आमा समूहकै नेतृत्वमा स्वागत सत्कार गर्ने गरिएको छ । गुरुङ, नेवार र भुजेल जाति गरी २७ घरधुरी रहेको उक्त गाउँका १२ घरमा होमस्टेको व्यवस्था मिलाइएको छ । काउलेपानी पुगेपछि आर्गानिक अन्नको साथमा लोकल कुखुरा, गुन्द्रुकको अचार, सिस्नुको खोले, कोदाको रोटी, दूध, दही अनि लोकल रक्सी खान पाइन्छ । भव्य स्वागत सत्कारसहित बेलुकाको खाजा, खाना, क्याम्प फायरसहितको सांस्कृतिक कार्यक्रम, सुत्ने र बिहानको नास्तासहित एक हजारमा काउलेपानीसँग साइनो जोड्न सकिन्छ । त्यहाँ पुग्ने पर्यटकले शिरखोला आमा समूहको भब्य स्वागत सत्कार र विदाई समेत पाउने गरेका छन् । यसबाहेक सिउरुङ, तुर्लुङकोट, राईनासकोट, नरुवल, खासुर लगायत गाउँलाई पर्यटकीय गन्तव्यमा छुटाइएको भन्दै स्थानीय अगुवाले गुनासो गर्दै आएका छन् । यसबारे उनीहरुले सम्बन्धित निकायसँग ध्यानाकर्षण गराउने बताएका छन् ।"
"""छक्कापञ्जा३ : १८ करोडको व्यापार","तराईमा बाहुबलीको रेकर्ड तोड्यो"",""नेपालगन्ज : छक्कापञ्जा३ ले तराईमा बाहुबलीको रेकर्ड तोडेर एक नम्बरको सिनेमा भएको छक्कापञ्जा टिमले दाबी गरेको छ । नारायणघाट, बुटवल हुँदै शुक्रबार नेपालगन्ज पुगेको छक्कापञ्जा टिमले सञ्चारकर्मीसँगको भेटमा तराईका जिल्लामा नेपाली सिनेमाको बजार साँघुरो भइरहेको बेला बाहुबलीको रेकर्ड तोडेर उत्साह जगाएको बताए । फिल्मका निर्देशक दीपाश्री निरौलाले देशभर १८ करोडको व्यापार गरेको बताइन् । छक्कापञ्जाले १६ करोडको व्यापार गरेको थियो । त्यसको रेकर्ड तोडेको छ, निरौलाले भनिन्, हामी करोड र केकमा भने विश्वास गर्दैनौं । चौथो हप्ता पनि दर्शकको अपार मायाले चाँडै अर्को चलचित्र ल्याउने तयारी छ । उनले नयाँ चलचित्र छक्कापञ्जाकै अर्को सिक्वेल नहुने तयारी गरे पनि दर्शकबाट छक्कापञ्जा नै हुनुपर्ने जोड भइरहेको बताइन् । चलचित्रका निर्माता तथा लेखक दीपक गिरी तराई क्षेत्रमा सबैभन्दा धेरै व्यापार गर्ने चलचित्र बनेको भनदै निकै खुसी देखिन्थे । उनले भने, तराई जस्तो ठाउँ जहाँ नेपालीभन्दा मैथिली, अवधि, भोजपुरी, हिन्दीलगायतका भाषाको बाहुल्यता भएको ठाउँमा हामीले बाहुबलीलाई उछिन्नु नेपाली सिनेमाकै जीत हो । सो अवसरमा कार्यकारी निर्माता जितु नेपाल मुन्द्रेले दर्शकले नै दर्शक बढाएकोमा खुसी ब्यक्त गरे । दर्शकले आपूले मात्र हेरेनन् । अरुलाई पनि हेर्न पठाए । ठाउँ ठाउँमा रेकर्ड तोड्यो है भन्दा खुुसी लागेको छ, उनले भने । अर्का कार्यकारी निर्माता केदार घिमिरे माग्ने बुढाले नेपाली चलचित्र सफल हुँदा निर्माता, निर्देशक मात्र नभएर धेरैलाई फाइदा पुग्ने बताए । छक्का पञ्जा टिमले दिउँसो ४ बजेतिर नेपालगन्जको बागेश्वरी क्यूएफएक्स सिनेमा हलमा पुगेर दर्शकहरुसँग खुसी साटेका थिए । फिल्मका दर्शकहरुले उनीहरुसँग सेल्फी खिचेका थिए । नेपालगन्जको बागेश्वरी क्यूएफएक्स सिनेमा हलमा भने अहिलेसम्म २७ हजार दर्शकले छक्का पञ्जा३ हेरेको प्रबन्धक निरजमान शाक्यले जानकारी दिए । उनले भने, अझै छक्का पञ्जा३ हलमा उत्साहजनक रुपमा चलिरहेको छ ।"""
"बलात्कार र हत्याको सय दिनमा निर्मलाको सम्झना","कञ्चनपुरकी १३ वर्षीया बालिका निर्मला पन्तको बलात्कारपछि हत्या भएको सय दिन पुगेको छ । तर, सरकारले अझैसम्म निर्मलाको बलात्कार र हत्यामा संलग्नलाई पक्राउ गर्न सकेको छैन । यसको विरोधमा देशभर आन्दोलन अझैसम्म जारी छ । शुक्रबार साँझ राजधानीको मंगलबजार दरबार अगाडि मैनबत्ती बालेर उनको सम्झना गरिएको छ । तस्बिर ः सुनिता डंगोल"
