"शीर्षक","विवरण"
"दशैंको विशेष परिकार ढिक्रि","कञ्चनपुरको शुक्लाफाँटा नगरपालीका ३ का थारु समुदायका भान्सामा पाक्दै गरेको दशैंको विशेष परिकार ढिक्रि । चामलको पिठोलाई बाफमा पकाएर ढिक्रि बनाउने गरिन्छ । तस्बिर ः राजेन्द्रप्रसाद पनेरु, रासस"
"आमा मिथिलाको हातबाट राष्ट्रपतिले टीका लगाइन्","काठमाडौं : आमा मिथिला पाण्डेको हातबाट राष्ट्रपति विद्यादेवी भण्डारीले टीका ग्रहण गरेकी छन् । दसैंको शुभ साइतमा शुक्रबार बिहान ९ बजेर ५१ मिनेटमा राष्ट्रपति भण्डारीले आमाको हातबाट टीका ग्रहण गरेकी हुन् । राष्ट्रपतिलाई आमा मिथिलासँगै काका जयन्त पाण्डेले टीका र जमरा लगाइदिएको राष्ट्रपति निवास स्रोतले जानकारी दिएको छ । राष्ट्रपतिले शीतल निवासमा टीका र जमरा ग्रहण गर्नु अगाडि हनुमानढोकामा रहेको दसैं घरमा मुल पुरजारीको हातबाट नवदुर्गा भवानीको प्रसाद स्वरुप टीका र जमरा ग्रहण गरेकी थिइन् । परम्परादेखि नै राष्ट्रप्रमुखले दसैं घरका मुल पुजारीको हातबाट प्रसाद स्वरुप टीका र जमरा लिने चलन छ । राष्ट्रपति कार्यालयका अनुसार राष्ट्रपति भण्डारीले १ बजे प्रधानमन्त्री र दिउँसो ३ बजेपछि सर्वसाधारणलाई टीका लगाइदिने कार्यक्रम रहेको छ ।"
"कोइलाडीमा दसैं मेला","सप्तरी : सप्तरीको कोइलाडीमा दसैंको अवसरमा विशेष मेला लागेको छ । तिलाठी कोइलाडी गाउँपालिका ४ कोइलाडीमा महानवमीमा विशेष पूजा गर्दै ४७१ पशु बलि दिइएको छ । मेलामा ४५० बोका र २१ राँगा बलि दिइएको छ । करिब दुई सय वर्षदेखि हरेक वर्ष महानवमी बलि दिने प्रचलन छ । उक्त मेलामा घटस्थापनादेखि विजयादशमीसम्म प्रत्येक दिन विशेष तान्त्रिक पूजा गरिने गरिएको छ । उक्त अवसरमा तान्त्रिक पूजा गरिन्छ । यहाँ विभिन्न गाउँका भक्तजन भेला हुने गरेका छन् । त्यसैगरी राससका अनुसार सप्तरीको भारदहस्थित कङ्कालनी भगवती मन्दिरमा बडादसैंको अवसरमा महानमवीका दिन ६३२ वटा राँगाको बलि दिइएको छ । हनुमानगर कङ्कालनी नगरपालिका१ पूर्व पश्चिम राजमार्गअन्तर्गत पर्ने भारदह गाउँमा अवस्थित उक्त मन्दिरमा प्रत्येक वर्ष महानमवीका दिन राँगा, खसीबोका र परेवाको बलि दिने गरिएको स्थानीयवासीको भनाइ छ । गत वर्ष पनि उक्त मन्दिरमा ४९३ राँगा र हजारौँको सङ्ख्यामा खसीबोको बलि दिइएकामा यस वर्ष ६३२ राँगा र करीब २० हजारको सङ्ख्यामा खसीबोकाको बलि दिइएको कङ्कालनी मन्दिर विकास समितिले जनाएको छ । उक्त मन्दिरमा नेपालका विभिन्न जिल्ला र भारतको विहार राज्यको सुपोल, मधुवनी अररियालगायत ठाउँबाट लाखौँको सङ्ख्यामा दर्शनार्थीको भीड लागेको थियो । त्यस्तै सप्तरीकै प्रसिद्ध छिन्नमस्ता भगवती मन्दिरमा पनि घटस्थापनादेखि महानवमीसम्ममा करीब १५ हजार खसीबोकाको बलि दिइएको छ ।"
"""चितवनमा बस दुर्घटना : ३ को मृत्यु","२३ घाइते"",चितवन : शुक्रबार राति चितवनमा बस दुर्घटना हुँदा ३ जनाको मृत्यु भएको छ । झापाको काँकडभिट्टाबाट पोखरा हिँडेको ना ५ ख ४३८३ नम्बरको बस शुक्रबार राति १ बजे चितवनको इच्छाकामना गाउँपालिका ६ जलविरेमा दुर्घटना भएको हो । बस मोडिन नसक्दा दुर्घटना भएको प्रहरीको अनुमान छ । बस सडकबाट सिधै खोलामा पुगेको छ । जिल्ला प्रहरी कार्यालय चितवनका अनुसार मृतकमध्ये झापा मेची नगरपालिका ८ बस्ने ३५ वर्षीय उदयमान राजवंशीको सनाखत भए पनि अन्य दुई जनाको सनाखत हुन सकेको छैन । घाइतेमध्ये २२ जनाको चितवनकै पुरानो मेडिकल कलेज र एकजनाको नयाँ मेडिकल कलेजमा उपचार भइराखेको छ । मृतकको शव भरतपुर अस्पतालमा राखिएको छ ।"
"प्रहरी कार्यालय जोडिएको घरमा महिलाको हत्या","राजविराज : राजविराज नगरपालिका६ स्थित जिल्ला प्रहरी कार्यालयसँग जोडिएकै घरमा शुक्रबार एक एकल महिलाको हत्या भएको छ । जिल्ला प्रहरी कार्यालय सप्तरी र कार्यालय प्रमुखको निवास जोडिएको घरमा एक्लै बस्दै आएकी ५० वर्षीया आशादेवी देवको हत्या भएको सप्तरी प्रहरीले जनाएको छ । मृतकको टाउकोमा इँटाले प्रहार गरी हत्या भएको रक्ताम्य शव शुक्रबार बिहान फेला परेको हो । छिमेकीले बिहान घरको ढोका खुल्ला देखेपछि र देवलाई बोलाउँदा नबोलेपछि उनले प्रहरीलाई खबर गरेका थिए । मृतकको टाउको र दायाँ आँखामा गम्भीर चोट लागेको प्रहरी निरीक्षक सुजता तुम्वाहाङ्गफेले बताइन् । प्रहरीका अनुसार टाउकोमा ६ इञ्च लम्बाई र चार इञ्च चौडाई गहिरो चोट लागेको छ । रगत लागेको इँटा प्रहरीले बरामद गरेको छ । शवलाई पोष्टमार्टमका लागि राजविराजस्थित अञ्चल अस्पतालमा राखिएको छ । मृतककी आमा राजविराज १६ बोरिया निवासी दुर्गादेवी वैश्यको एक साता अघि मृत्यु भएको मृतकका भतिजा निरजकुमार चौधरीले जानकारी दिए । हत्या भएको आशादेवी देवको शव ।"
"मुसहरको पहिलोे दसैंको टीका","बर्दिबास : महोत्तरीको बर्दिबासस्थित एकीकृत नमुना मुसहर बस्तीमा यस वर्षको दसैंमा रौंनक छाएको छ । मुसहरले पहिलो पटक दसैंको टीका ग्रहण गरेका छन् । जीवनमा गरिबीका कारण उठन नसकेका मुसहरले चाडपर्वमा मिठोमसिनो खाने दिने आएको छ । धुर्मुससुन्तलीले मुसहरका लागि एकीकृत नमुना बस्ती बनाइदिएपछि उनीहरुको दिनचर्चा निरन्तर फेरिदो क्रममा छ । १०४ वर्षीया मरनीदेवीको हातबाट उनीहरुले टीका ग्रहण गरेका हुन् । टीका कार्यक्रममा बर्दिबास नगरपालिका पूर्व कार्यकारी अधिकृत रामकुमार कार्की, होटल तथा पर्यटन व्यवसायी संघ प्रदेश नम्बर २ का अध्यक्ष हिरा गौतम, एकीकृत नमुना मुसहर बस्तीका अध्यक्ष विल्टु मुसहर सहभागी थिए । बस्तीका बच्चादेखि वृद्धवद्धाहरुले विजयादशमीको टीका लगाएका छन् । टीकापछि बस्तीका स्थानीयले संयुक्तरुपमा भोज खाएका थिए । मुसहरहरुलाई बर्दिबास नगरपालिका पूर्वकार्यकारी अधिकृत रामकुमार कार्कीले दसैंको अवसरका सामुहिक भोज खुवाएका हुन् । मुसहर बस्तीमा कार्कीले पिङको व्यवस्था पनि गरिदिएको मञ्जय मुसहरले जानकारी दिए । उनीहरुले घर घरमा खसी काटेर दसैं मनाएका छन् । रोहित मुसहरले जीवनमा पहिलो पटक दसैको टीका लगाउँदा आफूहरु दंग भएको बताए । हामी पनि खुसी छौं,बच्चा पनि रमाएका छन्, उनले भने ।"
"""सिम्रिकले ल्यायो अत्याधुनिक हेलिकोप्टर","यस्ता छन् विशेषता"",""काठमाडौं : निजी हेलिकोप्टर सेवा प्रदायक कम्पनी सिम्रिक एयरले शुक्रबार अत्याधुनिक हेलिकोप्टर भित्र्याएको छ । ९एन एकेडी कल साइन रहेको एएस ३५० बीथ्रीई (एच १२५) हेलिकोप्टर शुक्रबार बिहान त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलमा अवतरण भएको हो । अत्याधुनिक प्रविधि जडित हेलिकोप्टर नेपाली हेलिकोप्टर उद्योगमा कोषेढुङ्गा सावित हुने विश्वास कम्पनीले लिएको छ । खोज तथा उद्दार, दृश्यावलोकन, पर्यटकीय गतिविधि एवम् कार्गोलगायतमा प्रयोग गर्ने उद्देश्यले हेलिकोप्टर ल्याइएको कम्पनीद्वारा जारी प्रेस विज्ञप्तिमा उल्लेख छ । सिम्रिकले १७ वर्षे सेवा अवधिमा फ्रान्सेली हेलिकोप्टर निर्माता कम्पनी एयरबससित दुई वटा अत्याधुनिक हेलिकोप्टर खरिद गरेको थियो । अर्को हेलिकोप्टर आगामी फेब्रुअरीसम्ममा नेपाल आइपुग्ने विज्ञप्तिमा उल्लेख छ । यस्ता छन् विशेषता : साढे ४ घण्टासम्म लगातार उड्न सक्ने, २३ हजार फिट उचाईसम्म उड्न सक्ने, माइनस ४ हजारदेखि ५० डिग्री सेल्सियसमा पनि उड्न सक्ने र एकैपटक २ हजार २ सय ५० किलोग्रामसम्म सामान बोक्न सक्ने ।"""
"कार खस्दा सात घाइते","दमौली : बन्दीपुर १ छापस्थित सडकबाट एउटा कार तल खस्दा सातजना घाइते भएका छन् । बन्दीपुर बजारबाट डुम्रेतर्फ झर्दै गरेको ग २ च ३९४७ नम्बरको कार शुक्रबार विहान साढे ११ बजेतिर दुर्घटनामा परेको हो । सडकबाट झण्डै ७० फिट तल कार खसेर भएको दुर्घटनामा परी घाइते हुने सबै बन्दीपुरका छन् । बन्दीपुर२ का ३० वर्षीय पवन भट्टराई,बन्दीपुर ३ का ३० वर्षीया अस्मिता पौडेल, बन्दीपुर२ का ४० वर्षीय श्याम नेपाली, बन्दीपुर ४ का ५८ वर्षीया पार्वती क्षेत्री, ३० वर्षीय मदन गुरुङ, २६ वर्षीया रश्मी गुरुङ र उनका १६ महिनाका छोरा रेमन गुरुङ दुर्घटनामा परी घाइते भएको ट्राफिक प्रहरीले जनाएको छ । घाइतेमध्ये दुईजना डुम्रेको लक्ष्मी अस्पतालमा उपचारपश्चात घर फर्केका छन् । गम्भीर अस्मिता पौडेल र श्याम नेपालीको पोखरामा उपचार भैरहेको बताइएको छ । यसैबीच, म्याग्दे २ माथिल्लो गुणादीस्थित पृथ्वी राजमार्गमा पोखराबाट दमौली आउँदै गरेको ग १५ प ६०६५ नम्बरको स्कुटर र दमौलीबाट पोखरा जाँदै गरेको बा २ ख ३६८३ नम्बरको माइक्रो ठक्कर खाएको छ । घटनामा परी स्कुटर चालक पोखरा महानगरपालिका ५ मालेपाटनका ३९ वर्षीय होमबहादुर बुढाथोकी घाइते भएका छन् । दमौली अस्पतालबाट पोखरा थप उपचारका लागि पठाइएका उनको फिष्टेल अस्पतालमा उपचार भैरहेको प्रहरीले जनाएको छ ।"
"ब्रह्मायणी शक्तिपीठमा भक्तजनको घुइँचो","भादगाउँ : बडादसैंका दिन शुक्रबार भक्तपुरको प्रसिद्ध ब्रह्मायणी मन्दिरमा ठूलो मेला लागेको छ । धार्मिक तथा साँस्कृतिक रुपले महत्वपूर्ण मानिने ब्रह्मायणीको दर्शन र पूजाका लागि प्रत्येक वर्ष आजका दिन भक्तजनको घुइँचो लाग्ने गर्छ । ब्रह्मायणी र नवदुर्गा देवगणको पूजा र दर्शन गर्नाले सुख, शान्ति र समृद्धि मिल्ने मान्यताले अहिले देवीको दर्शन र पूजाका लागि भक्तपुर, काठमाडौँ, ललितपुर, काभ्रेलगायतका स्थानबाट भक्तजनको भीड लागेको छ । सुख, शान्ति, र मनोकांक्षा पूरा होस् भन्ने उद्देश्यले केही भक्तजनले आफ्नो घरदेखि ब्रह्मायणीसम्म घस्रेर आउने गर्दछन् । बिहानैदेखि भक्तपुरको टोलटोलमा रहेका परम्परागत धिमेबाजा, बाँसुरी बाजाका टोलीसमेत बह्मायणी मन्दिर पुगेका छन् । रासस"
"बर्दियामा गरियो रावण बध !","गुलरिया :विजयादशमीको अवसरमा बर्दियाको सदरमुकाम गुलरियामा रावण बध गर्दै मूर्ति विर्सजन गरिएको छ । घटस्थापनादेखि नवरात्रीभर प्रतिस्थापना गरिएका मूर्ति विर्सजनसँगै आयोजित रामलिलाको समापनका क्रममा रावण बध गरिएको हो । गुलरिया नगरक्षेत्रभरि दर्जनौ स्थानमा स्थापना गरिएका मूर्ति विजयादशमीका दिन विर्सजन गरिएको छ । बसपार्क स्थत आँप वगियामा आयोजित रामलिलाको समेत राबण बध गरेर समापन गरिएको रामलिला ब्यवस्थापन समितिका अध्यक्ष मनोज यादवले वताए ।"
