"शीर्षक","विवरण"
"संघीयता कार्यान्वयनको भूमरीमा सरकार : मन्त्री पण्डित","भक्तपुर : संघीय मामिला तथा सामान्य प्रशासनमन्त्री लालबाबु पण्डितले सरकार संघीयता कार्यान्वयनको भूमरीमा फसिरहेको बताएका छन् । नेपाल संवत्का प्रवर्तक राष्ट्रिय विभूति शंखधर साख्वाःको प्रतिमामा माल्यार्पण गर्न बिहीबार भक्तपुरको मध्यपुर थिमी पुगेका मन्त्री पण्डितले सरकार संघीयता कार्यान्वयनको भूमरीमा फसिरहेको स्वीकार गरेका हुन् । प्रधानमन्त्री केपी शर्मा ओलीको प्रतिनिधित्व गरी मध्यपुर थिमी पुगेका उनले भने, सरकार संघीयता कार्यान्वयनको भूमरीमा फसिररहेको छ तर यो भूमरीबाट उम्केर अघि बढ्न सरकार सक्षम पनि रहेको छ । उनले इतिहासमा सबैले सम्झने गरी वर्तमान सरकारले काम गर्ने दावीसमेत गरे । समृद्ध नेपाल र सुखी नेपाली बनाउन सरकारले हरसम्भव प्रयास गरिरहेको उनको भनाइ थियो । धेरै कुरा तुरुन्तै भन्नासाथ सम्भव हुँदैन, मन्त्री पण्डितले भने, तर सरकारबाट हर सम्भव प्रयास भइरहेको छ । आफूभन्दा अघि बोल्ने नेपाली कांग्रेसका नेता गोपालमान श्रेष्ठलाई जवाफ दिने क्रममा मन्त्री पण्डितले सरकार एकलकाँटे हिसाबले अघि नबढेको बताए । कांग्रेसले पनि प्रतिपक्षको भूमिका सही ढंगले निभाउनुपर्छ । आफू सत्तापक्षमा हुँदा के गरेको थियो, त्यतातिर पनि ध्यान दिनुपर्छ, उनले थपे, त्यसैले सरकार एकलकाँटे हिसाबले अघि बढ्दैन । सत्ता पक्ष र प्रतिपक्ष दुवै सँगसँगै पाइलामा पाइला मिलाएर देश निर्माणमा अगाडि बढ्नुपर्छ । यति गर्न सके समृद्ध नेपाल र सुखी नेपाली बनाउन धेरै समय लाग्दैन । कार्यक्रममा कांग्रेस नेता श्रेष्ठले सरकार दुईतिहाइको दम्भ लिएर एकलकाँटे ढंगले अघि बढिरहेको आरोप लगाएका थिए । उनले नेपाल संवत्लाई व्यवहारमै लागू गर्ने पूर्ववर्ती धेरै सरकारले निर्णय गरे पनि पछि आउने सरकारले अपनत्व स्वीकार गर्न नसक्दा नेपाल संवत् व्यवहारमै कार्यान्वयन हुन नसकिरहेको सुनाए । राष्ट्रिय विभूति शंखधर साख्वाः प्रतिष्ठानद्वारा आयोजित माल्यार्पण कार्यक्रममा भक्तपुर क्षेत्र नं २ का प्रतिनिधिसभा सदस्य महेश बस्नेत, मध्यपुर थिमी नगरपालिकाका प्रमुख मदनसुन्दर श्रेष्ठ, प्रतिष्ठानका अध्यक्ष श्यामकृष्ण मानन्धर, पूर्वअध्यक्ष मदनकृष्ण श्रेष्ठलगायतले नेपाल संवत्का प्रवर्तक शंखधर साख्वाःलाई माल्यार्पण गर्ने कार्यक्रम सरकारी तहमै हुनुपर्ने माग गरे । उनीहरुले नेपालको मौलिक संवत् नेपाल संवत्लाई सरकारी कामकाजकै संवत्को रुपमा व्यवहारमा प्रयोगमा ल्याउनुपर्नेमा जोड दिए । कार्यक्रममा नेपाल संवत्को नयाँ वर्षको अवसरमा शुभकामना र्याली गर्ने क्रममा पहिलोपटक मोटरसाइकल र्यालीको आयोजना गर्ने लयता दबूका अध्यक्ष राजा शाक्य, नेपाल संवत्को पञ्चाङ निर्माण तथा व्यवस्थापन समितिका संयोजक दैवज्ञ केशरगोविन्द जोशीलाई दोसल्ला ओढाएर सम्मान गरिएको थियो । कार्यक्रममा विभिन्न मौलिक एवं सांस्कृतिक नाच तथा नौबाजा प्रस्तुत गरिएको थियो । त्यस्तै शंखधर बुलेटिनसमेत विमोचन गरिएको थियो । आजभन्दा ११३८ वर्षअघि शासक वर्गको ऋणमा डुबेका जनताको ऋणमोचन गरी शासकको अनुमति एवं स्वीकृतिमा शंखधर साख्वाःले नेपाल संवत् सञ्चालनमा ल्याएका थिए । नेपाल संवत्को पात्रोअनुसार बिहीबार नयाँ वर्षको पहिलो दिन हो । यस दिन नेपालभाषी समुदायले म्हःपूजा गरेर नयाँ वर्षलाई शुभारम्भ गर्छ । आजै देशभर नयाँ वर्षको शुभकामना र्याली गरिएका छन् ।"
"एएफसी महिला ओलम्पिक छनोट फुटबल : नेपालले भारतसँग बराबरी खेल्यो","काठमाडौँ : ओलम्पिकको एशियाली महिला फुटबल छनोटको प्रारम्भिक चरणअन्तर्गत आज भएको नेपाल र भारतबीचको खेल ११ गोलको बराबरीमा टुङ्गिएको छ । म्यानमाको याङगोनस्थित थुवुन्ना रङ्गशालामा भएको समूह सी अन्तर्गतको पहिलो खेलमा दुवै टोलीले बराबरी खेल्दै अङ्क बाँडेका हुन् । खेलमा पहिलो अग्रता भने नेपालले लिएको थियो । खेलको ११औँ मिनेटमा नेपाली टोलीकी कप्तान नीरु थापाले गोल गर्दै सुरुवाती अग्रता लिएकी थिइन् । त्यस्तै खेलको पहिलो हाफको ३७औँ मिनेटमा भारतले एक गोल गर्दै खेललाई एकएक गोलको बराबरीमा ल्यायो । भारतका लागि कमलादेवी युम्नामले गोल गरिन् । निकै प्रतिस्पर्धात्मक बनेको खेलमा दोस्रो हाफमा भने गोल हुन सकेन । दुवै टोलीले खेलको विभिन्न समयमा पाएको अवसरलाई सदुपयोग गर्न सकेका थिएनन् । यस खेलसँगै नेपाल र भारतले एकएक अङ्क जोडेका छन् । भारतविरुद्धको खेलमा नेपालको यो दोस्रो बराबरी हो । यसअघि खेलेको आठ खेलमा नेपाल सात खेलमा पराजित भएको थियो भने एक खेल मात्र बराबरीमा सकिएको थियो । सन् २०१६ मा भएको दक्षिण एशियाली खेलकूदको लिग चरणमा नेपाल र भारतको खेल गोलरहित बराबरीमा टुङ्गिएको थियो । अर्को वर्ष जापानमा आयोजना हुने ओलम्पिक खेलकूदअन्तर्गत पहिलो चरणमा एशियाबाट १८ टोलीले प्रतिस्पर्धा गर्दैछन् । समूह ए र बी मा पाँचपाँच राष्ट्र रहेका छन् भने समूह सी र डी मा चारचार टोली छन् । प्रत्येक समूहका विजेता र उपविजेताले दोस्रो चरणको छनोटमा स्थान बनाउने छन् । तेस्रो हुने समेत दोस्रो चरण पुग्नेछ । ओलम्पिकको एशियाली छनोटअन्तर्गत नेपाल रहेको समूह सीमा भारत, म्यानमा र बङ्गलादेश छन् । नेपालले दोस्रो खेल कात्तिक २५ गते म्यानमासँग तथा कात्तिक २७ गते बङ्गलादेशसँग खेल्नेछ ।"
"सभापति देउवाले स्वीकारे : काङ्ग्रेसभित्रकै झगडाले चुनावमा हार भयो","भक्तपुर : नेपाली कांग्रेसका सभापति शेरबहादुर देउवाले कांग्रेसअघि धेरै ठूलो चुनौती रहेको बताएका छन् । शुभ दीपावली, नेपाल संवत् ११३९ न्हुँ द, छठ पर्वको अवसरमा भक्तपुर कांग्रेसले बिहीबार गरेको शुभकामना आदानप्रदान कार्यक्रमलाई सम्बोधन गर्दै सभापति देउवाले एकले अर्कोलाई हराउने पार्टी भनी लागेको कालो दाग मेटाउने कांग्रेससामू ठूलो चुनौती रहेको बताएका हुन् । नेताकार्यकर्ताहरुको आपसी झगडा र एकले अर्कोलाई हराउने खेलले नै गएको चुनावमा कांग्रेसले हार व्यहोरेको उनको दावी थियो । आपसी झगडा र कांग्रेसभित्रै एकले अर्कोलाई हराउने खेलले नै चुनावमा कांग्रेस पराजित भएको हो, सभापति देउवाले भने, पार्टी एकताबद्ध भएको भए कांग्रेसलाई कसैले हराउन सक्दैन । उनले कांग्रेसभित्र मेलमिलाप र सहयोग गर्ने संस्कार नभएको गुनासो गरे । पार्टीले टिकट दिएकै उम्मेदवारलाई जिताउनुपर्छ भन्ने संस्कार हामीमा भएन, उनले भने, त्यसैले यस संस्कारले तल्लो निकायसम्म बसाल्नुपर्ने आवश्यकता छ । सभापति देउवाले चुनावमा हार व्यहोरे पनि कांग्रेस हतोत्साही र निराश नभएको जिकिर गरे । चुनावको हारबाट कांग्रेस हतोत्साही भएको छैन । निराश भएको छैन, उनले भने, अब पार्टीलाई एकताबद्ध गर्न सबै लाग्नुपर्छ । कार्यक्रममा राष्ट्रिय प्रजातन्त्र पार्टी प्रजातान्त्रिकका केन्द्रीय सदस्य सुरेन्द्र केसीले प्रजातान्त्रिक शक्तिहरु एकजुट हुनुको विकल्प नभएको बताए । कांग्रेसले सत्ताको लागि कहिले केपी ओली र पुष्पकमल दाहाललाई च्याप्ने गर्दा लोकतन्त्र र राष्ट्रियता सधैं संकटमा पर्दै आएको उनको भनाइ थियो । लोकतन्त्र र राष्ट्रियता बलियो बनाउने हो भने प्रजातान्त्रिक शक्तिहरु एकजुट हुनुको विकल्प छैन, केन्द्रीय सदस्य केसीले भने, सत्ताको लागि कहिले केपी ओली र कहिले पुष्पकलम दाहाल च्याप्ने कांग्रेसको संस्कारले लोकतन्त्र बलियो हुँदैन ।"
"""वामदेवको उही अडान : निर्वाचन लडेरै छाड्छु","सांसद् बनाइदेऊ भन्दिनँ"",""काठमाडौँ : सत्तारुढ दल नेपाल कम्युनिस्ट पार्टी (नेकपा) का शीर्ष नेता वामदेव गौतमले निर्वाचनको साझा घोषणापत्र दोहोर्याएर पढ्न प्रधानमन्त्री केपी शर्मा ओलीलाई सुझाव दिएका छन् । बिहीबार साँझ रिपोर्टर्स क्लब नेपालले नेता गौतमको निवासमा गरेको देउसीभैलो कार्यक्रममा पत्रकारसँग कुरा गर्दै उनले यस्तो सुझाव दिएका हुन् । तत्कालीन एमाले र तत्कालीन माओवादी केन्द्रले साझा घोषणापत्र जारी गरेर हामी निर्वाचनमा गयौँ । घोषणापत्रमा उल्लेख भएका विषयहरू लागू नभएसम्म हामी सुखी र समृद्ध हुनै सक्दैनौँ, गौतमले भने, घोषणापत्र दोहोर्याएर हेर्न आग्रह गर्छु । गौतमले सरकार गठन भएको ८ महिना मात्रै भएको बताउँदै यसका काम हर्न बाँकी रहेको सुनाए । अझै चार वर्ष चार महिना बाँकी छ । समृद्धि हासिल गर्न सक्यो कि सकेन ? भनेर अहिले भन्ने बेला होइन, गौतमले अगाडि भने । उनले प्रधानमन्त्री ओलीले मात्रै नभए वर्तमान अर्थमन्त्रीले पनि साझा घोषणापत्रअनुसार आफ्ना नीति तथा कार्यक्रम ल्याउनुपर्ने सुझाव दिए । निर्वाचनको बेला जारी भएको घोषणापत्र अब कार्यान्वयन हुनुपर्यो । नीति तथा कार्यक्रम पनि त्यहीअनुसार लागु हुनुपर्छ । बजेट पनि त्यही अनुसार आउनुपर्छ, गौतमको जिकिर थियो । वरिष्ठ नेता माधव नेपाल र तपाईँको प्रधानमन्त्री ओलीसँग असन्तुष्टि छ भन्ने कुरा आएको छ नि भनेर पत्रकारले सोधेको प्रश्नमा उनले भने, प्रधानमन्त्रीले राम्रो गर्नुभएन भनेको छैन । वर्तमान सरकारले जनताको अपेक्षा पूरा नगरेको गुनासो छ, त्यही कुरा भनेको हो । अरू त्यस्तो केही पनि होइन । उनले पटक पटक निर्वाचनमा जारी गरेको साझा घोषणापत्र पार्टीका हरेक केन्द्रीय सदस्यहरू, स्थायी समिति सदस्यहरू र सचिवालय सदस्यहरूले पढ्नुपर्ने पनि दोहोर्याए । म फेरि दोहोर्याएर भन्छु, हामी सबैले अब घोषणापत्र पढ्नुपर्छ । प्रधानमन्त्री ओलीले त झनै दोहोर्याएर पढ्नुपर्यो, गौतमले भने, अध्यक्षदेखि पदाधिकारीले पनि दोहोर्याएर पढ्नुपर्यो । आफू र प्रधानमन्त्री ओलीबिच सम्बन्ध राम्रै रहेको पनि उनले जिकिर गरे । त्यस्तै उनले आफूले मलाई सांसद बनाउनुपर्यो भनेर कहिल्यै पनि पार्टीमा माग नराखेको स्पष्ट पारे । मलाई सांसद बनाउनुपर्यो भनेर माग छैन । मलाई दुई अध्यक्षले तपाईँ प्रतिनिधि सभामा आउनुपर्छ भन्नुभयो, उनले भने, ओलीजीले मेरो सैद्धान्तिक अनुसार आउनुहुन्न तर व्यवहारिकरुपमा आउनुपर्छ भन्नुभयो । गौतमले पार्टीका केही केन्द्रीय सदस्यहरूले फेरि संसद्मा आउने कुरालाई आदर्शविपरित भयो र पदलोलुपता देखायो भनेर समेत आरोप लगाएको स्मरण गराए । मैले पदको लोभ देखाएँ भनेर पनि पार्टीका नेताहरूबाट कुरा आयो । म एक व्यक्ति हुँ । एउटा व्यक्ति जाने हो । अरू त के नै हो र ? गौतमले प्रश्न गरे । उनले आफूलाई पुनः संसद्मा ल्याउन पार्टीको सचिवालय बैठकले चुनाव लडाउने सर्वसम्मत निर्णय गरेको पनि दाबी गरे । अरू कुरा त उहाँहरूलाई सोध्दा थाहा हुन्छ । कतिसम्म गर्नुभएको हो भने निश्चित जित्ने निर्वाचन क्षेत्रमा तपाईँ जानुपर्छ भन्नुभएको हो । अनि निर्वाचित सदस्यले जिताउँछौँ र जनताले पनि जिताउँछौँ भन्नुभयो भने तपाईँ जानुपर्छ भनेर निर्णय भएको हो, गौतमले भने, यो फेरि सर्वसम्मत निर्णय भएको हो । सचिवालयमा सर्वसम्मति भएको हो । यसबारेमा कुनै विमति थिए । पछि विमति किन भयो मैले बुझ्न सकेको छैन । जिम्मा दिए पार्टी मिलाउँछु फरक प्रसङ्गमा उनले आफूलाई जिम्मा दिने हो भने पार्टी एकताको बाँकी सबै काम सकेर देखाइदिने पनि उद्घोष गरे । तीन महिनाभित्र एकीकरण गरेर सकिदिन्छु । त्यो पनि विवादरहित तरिकाले । मसँग कुशलता छ । यससम्बन्धी क्षमता छ । कहिलेकाहीँ एक्लो व्यक्तिको भूमिका पनि ठुलो र प्रभावकारी हुन्छ, गौतमले भने, मैले कम्युनिस्ट आन्दोलनमा यसबारे विज्ञता हासिल गरेको छु । मैले निर्माण गरेका सङ्गठनहरू फलेको छ, फुलेको छ । पार्टीभित्रको गुट अन्त्य गर्ने दायित्व मुख्य जिम्मेवारीमा बसेको व्यक्तिको भएको भन्दै आफू यदि उक्त पदमा भएको भए सबै गुटको अन्त्य गरेर देखाइदिने उनको वचनबद्धता थियो । गुटबन्दी अन्त्य गर्छु । पार्टीमा होस् या अन्यत्र । तर, पार्टीको सदस्यको नाताले सबै गर्छु भन्ने हैसियत मसँग छैन, गौतमले प्रष्ट्याए । पार्टी एकतालाई तार्किक निष्कर्षमा पुयाउन अब सरकारले जिम्मेवारीपूर्वक आफ्नो कदम चाल्नुपर्ने पनि उनको धारणा छ । म भएको भए जेठ अन्तिमसम्म एकता गरिदिन्थेँ । एकतामा तुषारापात हुने हो कि ? एकता टिक्ने कि नटिक्ने ? लोकप्रिय हुने कि नहुने ? भन्ने कुरा अहिलेको सरकारको क्रियाकलापसँग हाम्रो पार्टीको भविष्य जोडिएको छ । सरकारले राम्रो काम गर्यो भने हाम्रो पार्टीको एकता पनि सुदृढ हुन्छ, गौतमले अगाडि भने । हिजो कुन गुटमा थिएँ वा कतातिर थिएँ भन्नुभन्दापनि अब योग्यता र क्षमताका आधारमा एकता गरेर जाने हो भने राम्रो हुने उनको भनाई छ । निर्वाचन लड्छु उनले आफू निर्वाचन लड्ने निर्णयबाट ब्याक नभएको पनि जिकिर गरे । म चुनाव लड्ने निर्णयबाट ब्याक भएको होइन । संसद्मा जाने वा नजाने भन्ने पार्टीको निर्णय हो, गौतमले भने, तर, अब म कुनै नेतालाई मलाई सांसद बनाइदेऊ भन्न जान्न, घोषणापत्र कार्यान्वयनमा लाग्छु । अब सरकारले घोषणापत्रअनुसार काम गरेन भने आफू केही साथीहरूको साथ र सहयोग लिएर कार्यान्वयन गराउनतर्फ लागिपर्ने पनि गौतमले जनाए । अन्तर्घात गरेर हराए फरक प्रसङ्गमा उनले आफूलाई पार्टीका नेताहरूले अन्तर्घात गरेर चुनाव हराएको पनि आरोप लगाए । त्यो क्षेत्रमा म निर्वाचन हार्ने अङ्कगणित थिएन । स्थानीय निर्वाचनमा काँग्रेसको २४ हजार मत थियो । नेकपा माओवादीको २६ हजार र एमालेको ३० हजार, उनले भने, यत्तिको फराकिलो मत हुँदाहुँदै पनि हार्न पुगेँ । ममाथि अन्तर्घात भएको कुरा प्रस्टै देखियो, त्यहाँ चलखेल भएको छ । हाम्रो मत बिग्रियो । उक्त निर्वाचनमा आफू विरुद्ध उम्मेदवारी दिएर विजयी बनेका काँग्रेस नेता सञ्जय गौतमको नाम नलिई उनले भने, त्यहाँ पप्पु कन्ट्रक्सनलाई पुलको जिम्मा दिन पहल गर्ने काँग्रेसका नेता माननीय बने । बर्दियाको त्यो क्षेत्रमा जे जति काम भएका छन्, त्यसमा सबै मेरो योगदान छ । यदि भएको छैन भने पनि त्यसमा मेरो दोष छ ।"""
"धनकी देवीलार्इ स्वागत गर्दा घरसहित सवा ४ लाख खरानी","तौलिहवा : कपिलवस्तुको शुद्धोधन गाउँपालिका३ लवनीस्थित बेचन कलवारको घरमा बुधबार राति लक्ष्मी पूजाका लागि दीपावली गर्दा आगलागी भएको छ । आगलागीबाट करीब चार लाख १५ हजार रूपैयाँ बराबरका धनमाल जलेर नष्ट भएको प्रहरीले जनाएको छ । दीपावलीका लागि बालिएको मैनबत्तीबाट आगो सल्कन गई आगलागी भएको बताइएको छ । प्रहरी, स्थानीय र कपिलवस्तु नगरपालिकाबाट गएको दमकलको प्रयासमा आगो नियन्त्रण लिएको प्रहरी नायब उपरीक्षक रवि रावलले बताए । आगलागीबाट कलवारको घरको सटर कोठामा रहेका दुई वटा मोटरसाइकललगायत अन्य मालसामान जलेर नष्ट भएको प्रहरीले जनाएको छ । रासस"
"""सभापति देउवा भन्छन् : अब कांग्रेस एक ढिक्का हुन्छ","पार्टीमा कुनै समस्या छैन"",""काठमाडौं : प्रमुख प्रतिपक्षी दल नेपाली कांग्रेसका सभापति एवम् पूर्व प्रधानमन्त्री शेरबहादुर देउवाले अब पार्टी एक ढिक्क भएर अघि बढ्ने स्पष्ट बताएका छन् । बिहीबार साँझ रिपोर्टर्स क्लब नेपालले देउवा निवास बूढानीलकण्ठमा आयोजना गरेको देउसीभैलो कार्यक्रममा पत्रकारसँग संक्षिप्त कुरा गर्दै सभापति देउवाले यस्तो बताएका हुन् । उनले भने, अब कांग्रेस एक हुन्छ, पार्टीभित्र यतिवेला कुनै समस्या छैन । पत्रकारको देउसे टोलीसँग कुरा गर्दै उनले पार्टीको महासमिति बैठक अब निर्धारित मितिबाट नसर्ने पनि दाबी गरे । मंसिर २८ गतेदेखि पुस ३ गतेसम्म महासमिति बैठक काठमाडौंमा बस्छ, अब बैठक सर्दैन, देउवाले भने, हामी पार्टीलाई सुदृढ बनाएर लैजान्छौं । कांग्रेसले सशक्त प्रतिपक्षको भूमिका निर्वाह गर्ने पनि देउवाले दाबी गरे ।"""
"मान्छेको रिस माछामाथि ? पोखरीमा विष हालिदिँदा १० लाखका माछा मरे","चितवन : पूर्वी चितवनको राप्ती नगरपालिका१ पिप्ले ज्योतिनगरका एक किसानको माछापोखरीमा अज्ञात समूहले विष हालेर लाखौँको क्षति पुर्याएको छ । इलाका प्रहरी कार्यालय खैरहनीका अनुसार स्थानीय रत्नबहादुर बर्तौलाको पोखरीमा बुधबार बिहान अकस्मात् माछा मरेका हुन् । त्यस क्रममा करीब १० लाख बराबरको क्षति भएको पीडित बर्तौलाले बताएका छन् । उनको छ कट्ठा क्षेत्रफल जमीनमध्ये चार कट्ठामा माछापोखरी छ । पोखरीमा ८० हजारको माछाका भुरा राखिएको थियो । बिक्री गर्ने बेलामा विषादी हालिदिएको बर्तौलाले गुनासो गरेका छन् । बर्तौलाले बिहान ५ बजेतिर माछा एकाएक मर्न थालेपछि पोखरीमा हेर्दा विषको बट्टा फेला पारेको बताए । अघिल्लो वर्ष पनि अज्ञात समूहले नै उनको माछापोखरीमा विष हालिदिएको थियो । साना किसान कृषि सहकारी, समाज कल्याण बचत तथा ऋण सहकारीलगायतबाट नौ लाख ऋण लिएर माछापालन गरेको उनले बताएका छन् । इलाका प्रहरी कार्यालय खैरहनीका निमित्त प्रमुख प्रहरी नायब निरीक्षक रुद्र शर्माले विषका कारण माछा मरेको प्रारम्भिक अनुसन्धानमा देखिएकाले थप अनुसन्धान भइरहेको जानकारी दिए । रासस"
"भाइमसलाको चर्काे मूल्य","काठमाडौँ : राजधानीका बजारमा भाइमसला किन्नेहरूको घुइँचो छ । असन, इन्द्रचोक, मक्खनगल्लीमा ग्राहकको ठेलमठेल छ । खुद्रा मात्र नभई थोकमा काजु, बदाम, किसमिस, ल्वाङ, सुकुमेल, अन्जिर, छोकडा, पिस्ता, नरिवललगायत मसला किन्ने पसलेहरू पनि बजारमा प्रशस्तै भेटिन्छन् । नेपाली बजारमा ८० प्रतिशत मसला बाहिरबाट आयात गरिने व्यवसायीहरू बताउँछन् । मसला व्यापारी रामकुमार श्रेष्ठलाई अहिले मसला बेच्न भ्याइ नभ्याइ छ । उनको पसल मक्खन टोलमा रहेको छ । वर्षभरि बेचिने मसलाको ५० प्रतिशत भाग तिहारमा बिक्री हुने उनी बताउँछन् । तिहारमा मसला पसलमा मात्र नभई चस्मा, लुगा, फलफूल पसलमा समेत मसला राखेर व्यापारीले बेच्ने गरेका छन् । मसलाको व्यापार अरू बेलाभन्दा तिहारमा धेरै हुने बताउँछन्, व्यापारी श्यामकृष्ण श्रेष्ठ । ग्राहकलाई सजिलो होस् भनेर मैले पसलबाहिर मसलाको मूल्य लेखेर टाँसिदिएको छु, उनले भने, हाम्रो पसलमा १ सय ५० देखि दुई हजार रुपैयाँ पर्ने मसलाका प्याकेट छन् । यस वर्ष मसलाको भाउ बढेको उनी बताउँछन् । ग्राहकले मसला महँगो भयो भन्छन्, उनले सुनाए, हामीले पनि बाहिरबाट किनेर ल्याउँछौँ । हामीलाई जति पर्छ, त्यसमा अलिकति नाफा राखेर त बेच्ने हो । ग्राहकको चित्त बुझाउनै ग्राहो छ । भाइमसला किन्दै भेटिएकी रूपा विष्टले यसपालि मसला साह्रै महँगो भएको बताइन् । बाहिरबाट हेर्दा मसलाको प्याकेट ठूलो देखिन्छ, भित्र केही पनि हुँदैन, उनले भनिन्, त्यसका लागि पनि महँगो पैसा तिर्नुपर्छ । १ सय ५० को मसलामा एउटा ठूलो चकलेट, चारपाँच वटा बदाम, एउटा ओखरबाहेक केही हुँदैन । उपभोक्ताको गुनासो छ १ सय ५० पर्ने मसलाको प्याकेटमा एउटा ठूलो चकलेट, चारपाँच वटा बदाम र एउटा ओखरबाहेक केही हुँदैन । सामाखुशीदेखि भाइमसला किन्न असन आएकी सरिता बस्नेतले एक हजार रुपैयाँमा चार वटा मसलाका प्याकेट किनेको बताइन् । असनमा अलि सस्तो पाइएला भनेर आएकी थिएँ तर भाउ उस्तै रैछ, उनले भनिन्, तिहारमा व्यापारीले मौकाको फाइदा उठाउने गरेका छन् । जति पैसा परे पनि भाइटीका लागि किन्नै पर्छ । यस वर्ष मखनाको भाउ दोब्बर बढेको होलसेल व्यापारी बताउँछन् । चार सय रुपैयाँ किलोको मखनाको भाउ बढेर हजार पुगेको छ, व्यापारी श्यामकृष्ण श्रेष्ठ भन्छन्, हामीले पनि बाहिरबाट महँगो मूल्य र भाडा तिरेर ल्याउँछौँ । त्यसैले महँगो पर्न गएको हो । पसलका लागि मसला किन्दै भेटिएका रमेश लामाले आफूले पाँचदश रुपैयाँ राखेर बेच्ने गरेको बताए । अहिले सबै कुराको भाउ बढेको छ, उनले भने, चलेको भाउमा पाँचदश रुपैयाँ राखेर बेच्ने गरेको छु । तिहार आउन दुई हप्ता अगाडिदेखि नै असनमा किनमेल गर्नेको भीड लाग्न थालेको छ । इन्द्रचोकस्थित शंख पसलका मनोज जसवालका अनुसार उनले एक महिनाअघिदेखि तिहारका लागि मसला बेचिरहेका छन् । व्यापार फस्टाउने भनेकै तिहारमा हो, उनी भन्छन्, तिहारमा भ्याइ नभ्याइ हुन्छ । पसलमा तीनचार जना काम गर्ने हुँदा पनि फुर्सद पाइँदैन । बजारका रेडीमेड प्याकेटभन्दा अलिअलि सबैथोक किनेर घरमै प्याकेट तयार पार्नु ठीक भएको बताइन्, सविता थापाले । असनमा मसला किन्दै भेटिएकी उनले भनिन्, प्याकेटको मसलाभन्दा अलिअलि सबैथोक किन्छु । घरमै प्याकेट तयार पार्छु । प्याकेटको मसला त देख्दा मात्र ठूलो हुन्छ, भित्र केही हुँदैन ।"
"जुम्लामा दुर्घटनामा परेको ताराको जहाजले पाँच महिनापछि उडान थाल्यो","जुम्ला : दुर्घटनामा परेर क्षतिग्रस्त तारा एयरको एउटा जहाजले मर्मत गरेर करिब पाँच महिनापछि उडान भरेको छ । गत जेठ २६ गते जुम्ला विमानस्थलमा अवतरणका क्रममा टायर पञ्चर भएर तारा एयरको जहाज दुर्घटना भएको थियो । आवश्यक मर्मतपछि सो जहाज बिहीबार काठमाडौँका लागि उडान भरेको छ । तारा एयरलाइन्सको ९ एन एइभी कलसाइन भएको जहाज दुर्घटना भएपछि जुम्ला विमानस्थलमा पार्किङ गरेर राखिएको थियो । तारा एयरको विमान दुर्घटना, सात घाइते, दुई गम्भीर (अपडेट) ठूलो क्षतिबाट जोगियो तारा एयर तारा एयरको विमान दुर्घटना, सात घाइते, दुई गम्भीर (अपडेट) ठूलो क्षतिबाट जोगियो तारा एयर नागरिक उड्डयन प्राधिकरण जुम्लाका प्रमुख कैलाश शर्माले विमानस्थलको धावन मार्गमा परीक्षण गरेपछि काठमाडौँका लागि जहाजले उडान गरेको बताएका छन् । 'जहाजलाई क्याप्टेन प्रभाकर घिमिरे र अर्का क्याप्टेन आइआर जोशीले उडान गरेका छन्,' उनले भनेका छन् । एक महिनादेखि क्यानडा र स्विट्जरल्याण्डका प्राविधिक जुम्लामै आएर जहाजको मर्मत गरेका थिए । 'जहाज उडाउनुभन्दा अघि त्यसको अवस्थाको परीक्षण भएको थियो', शर्माले भने,'इन्जिनियर र क्याप्टेनको टोलीले जहाज उडान भर्न योग्य देखेपछि काठमाडौँका लागि उडान गरिएको हो ।' गत जेठ २६ गते क्याप्टेन जेके निरौला र कोपाइलट हिम्मत रोकायाले उडाएको जहाज जुम्ला विमानस्थलमा अवतरण गराउँदा टायर पञ्चर भएपछि दुर्घटना भएको थियो । रासस"
