"शीर्षक","विवरण"
"आठ महिने बालिकाको बलात्कारपछि हत्या गर्ने युवक पक्राउ","महोत्तरी : महोत्तरीको औरही नगरपालिका१ की आठ महिने दुधे बालिकालाई अपहरणपछि हत्याका फरार अभियुक्त पक्राउ परेका छन् । पक्राउ पर्नेमा भंगाहा सीतापुर६ जमुनियाका २५ वर्षीय भरत साह रहेको जिल्ला प्रहरी कार्यालय सुनसरीका प्रहरी उपरीक्षक राजन अधिकारीले जानकारी दिए । साहलाई सप्तरी र सुनसरीको सीमानामा रहेको सप्तकोशी पुल कोशी ब्यारेजबाट प्रहरीले चेक जाँचको क्रममा पक्राउ गरेको हो । सीसी क्यामरा बन्यो प्रमाण औरही बजारका फैन्सी तथा कस्मेटिक पसल संचालक संतोष चौधरीकी ८ महिने छोरी सोनालीलाई रक्षाबन्धनको दिन भदांै १० गते पसलबाटै अपहरण पश्चात बलात्कार गरी भरतले हत्या गरिएको अभियोग लागेको छ । ्नाबालिका अपहरण गरेको प्रमाण संतोषको पसलमा रहेको सीसीटीभी फुटेजबाट कैद भएको थियो । बालिकाको हत्या भएको करिब २ महिनापछि अभियुक्त पक्राउ परेको हो । अपहरण, बलात्कार , हत्या हामीले दसैं, तिहारलाई लक्षित गरेको विशेष सुरक्षा योजना अन्तर्गतको परिचालित प्रहरी टोलीले अभियुक्तलाई पक्राउ गरेको हो,सुनसरीका एसपी अधिकारीले भने, भरतमाथि बालिका अपहरण पश्चात बलात्कार गरी हत्या गरेकोे परिपत्र महोत्तरी प्रहरीले हामीलाई पठाइएको थियो । यसैको आधारमा चेकजाँच गर्दा अभियुक्त पक्राउ गर्न सक्यौं । पक्राउ परेका अभियुक्त साहको तस्बिर महोत्तरी प्रहरीलाई भाइबरमा पठाएर बालिकाको ज्यान लिने भारत रहेको पुष्टि महोत्तरी प्रहरी गरेको हो ।पक्राउ परेका साहलाई सुनसरीबाट महोत्तरी ल्याउने तयारी भइरहेको महोत्तरीका एसपी ईश्वर कार्कीले जानकारी दिए । बालिका हत्याराको खोजी गर्न जिल्लाको प्रहरी परिचालित थियो । खेलिरहेकी बालिकालाई अपहरण गरेर हत्या गरेको भोलीपल्ट भदौं ११ गते भंगाहा नगारपालिका७ स्थित फेकु चौधरीको आँप बगैंचामा फेला परेको थियो । अभियुक्तको यस्तो छ, हिस्ट्री उनलाई पक्राउ गर्न प्रहरीले गौशालाको भरतपुरमा रहेको मामाघर, हतिसर्वामा रहेकी फुपूको घर, लोहरपट्टिको भमरपुरामा रहेकी २ दिदीबहिनीको घर, धनुषाकी सानिमादेखि बलवा सरपल्लोमा घर भएकी बहिनीको नन्दको घरमासमेत प्रहरीले खोजतलास गरेको थियो । साहको पुराना हिस्ट्री, गतिविधि र बानीबेहोरा पत्तो लगाएर प्रहरीले काठमाडौंको गौशालादेखि भारतका काउन्टरपार्टससँग समन्वय गरी खोजतलास र सूचना आदानप्रदान जारी राखेको थियो । अभियुक्त साह लागुऔषधको कुलतमा फसेको रहस्य खुलेको छ । अपहरणको २ दिनअघि (शुक्रबार) जलेश्वरपारिको सीमावर्ती श्रीखण्डी भित्री बजारस्थित एक औषधि पसलबाट साहले दुव्र्यसनीले प्रयोग गर्ने नाइट्राभेट ट्यावलेट लिएर आएको पाइएको प्रहरीले जनाएको छ । यसैका आधारमा सुरक्षाकर्मीले दुव्र्यसनी लुक्नसक्ने सम्भावित स्थानमा खोजी र निगरानी पनि बढाएको थियो । साहका नातागोतामा पर्नेलेसमेत उसको लागूऔषध सेवन गर्ने कुलतले गर्दा परिवारदेखि इष्टमित्र र नातागोतासँग समेत केही समयले आउजाउ बन्द भएको जनाएका छन् । जसको घरमा गयो उसैको चोरी गर्ने हँुदा साहलाई कसैले मन नपराउने गरेको आफन्तजनले प्रहरीलाई बताएका थिए । यस्ता कुलतले गर्दा साह विगत ८ र ९ महिनादेखि घर छाडेर कहिले काठमाडौं कहिले जनकपुर लगायतका ठाउँमा बरालिदै हिँड्ने गरेको स्थानीयको भनाइ छ । साहले जहाँ पुग्यो त्यहाँ टापटिपे चोरी गर्दे आएको औरहीस्थित स्थानीयको भनाइ छ ।"
"दसैंको टीकाकै दिन राति खुकुरीले हानेर छिमेकीको हत्या","विराटनगर : मोरङको पथरीशनिश्चरे नगरपालिका८ शुक्रबारेका १८ वर्षीय कृष्णबहादुर विष्टले दसैंको टीकाकै दिन राति छिमेकीको हत्या गरेका छन् । विष्टले खुकुरी प्रहार गरेर स्थानीय २८ वर्षीय विजय खड्काको शुक्रबार राति ९ बजे हत्या गरेको प्रहरीले जनाएको छ । पुरानो झगडालाई लिएर खुकुरी प्रहार गर्दा विजयको घटनास्थलमै मृत्यु भएको इलाका प्रहरी कार्यालय पथरीका प्रहरी निरीक्षक कमल बजगाईले जानकारी दिए । खुकुरी प्रहारबाट उनको टाउको, अनुहार, घाँटी र शरीरका विभिन्न भागमा गहिरो चोट लागेको थियो । प्रहरीका अनुसार विष्ट र खड्का परिवारबीच पुरानो झगडा थियो । त्यही ठाउँमा १६ वर्षअघि होली खेल्ने क्रममा एक व्यक्तिको हत्या भएको थियो । त्यही घटनामा चलाइएको कर्तव्य ज्यान मुद्दामा अदालतले कृष्णबहादुरका बुबा अर्जुनकुमारलाई जेल सजाय सुनाएको थियो । जेल सजाय भुक्तान गर्ने क्रममा अर्जुनकुमारको सात वर्षअघि मोरङ कारागारमै मृत्यु भएको थियो । प्रहरीका अनुसार हत्या गरिएको घटनामा आफ्नो बुबाको संलग्नता नरहे पनि खड्का परिवारले फसाएर जेल पुयाउने काम गरेको र त्यही मृत्यु भएको भन्दै कृष्णबहादुर विजयप्रति आक्रोसित थिए । त्यही पुरानो घटनालाई लिएर विष्ट र खड्का परिवारबीच राम्रो सम्बन्ध थिएन । प्रनि बजगाईंका अनुसार पुरानो घटनाका बारेमा कृष्णबहादुरलाई उनकी हजुरआमाले सुनाएको खुलेको छ । हजुरआमाको पनि केही समय अघि मृत्यु भइसकेको छ । संलग्न नै नभएको हत्याको घटनामा फसाएर मेरो बुबालाई जेल पठाउने काम भएको थाहा पाएँ । जेलबाट बुबा जीवित फर्किएर आउनु भएन, कृष्णबहादुरलाई उद्धृत गर्दै बजगाईले भने, खड्का परिवारले मेरा बुबालाई फसाएको कुरा हजुरआमाबाट थाहा पाएको थिएँ । त्यही बद्लामा विजयको हत्या गरेको हुँ । घटनामा संलग्न कृष्णबहादुरलाई तत्कालै घटनास्थलबाट पक्राउ गरिएको प्रहरीले जनाएको छ । उर्लाबारीस्थित मंगलबारे अस्पतालमा पोष्टमार्टम गरेर विजयको शव भने आफन्तलाई बुझाइएको छ ।"
"मनोहरा तथा हनुमन्ते नदी सफाइ : तीन टन फोहर संकलन","काठमाडौं : नेपालीको महान पर्व विजया दशमीसँगै मनोहरा नदी तथा हनुमन्ते नदी सफाइ अभियानलाई निरन्तरता दिँदै तीन टन फोहर संकलन गरिएको छ । काठमाडौं, भक्तपुर र ललितपुरको संगम स्थलमा शनिबार भएको मनोहरा सफाइ सम्पदा बचाउन महाअभियानको ८४औं हप्ता तथा हनुमन्ते नदी सफाइ अभियानको ३४औं हप्ताको संयुक्त कार्यक्रम सम्पन्न भएको हो । उक्त अभियानमा नेपाल चलचित्र बोर्डका अध्यक्ष, त्रीपुरा संगम समाज तथा हनुमन्ते नदी सफाइ अभियानका सल्लाहकार रामकेशर बोगटीको निधनको १२औं दिनमा उनीप्रति भावपूर्ण श्रद्धाञ्जलि अर्पण गर्दै सफाइ कार्यक्रम गरियो । नेपाल कम्युनिस्ट पार्टी (नेकपा)का केन्द्रीय सदस्य एवं प्रतिनिधिसभाका सांसद महेश बस्नेतले बोगटीका योजना तथा अधुरा काम सम्पन्न गर्नु नै उनको सच्चा श्रद्धाञ्जलि हुने बताए । संघीय मामिला तथा स्थानीय विकास मन्त्रालयका सचिव दिनेशकुमार थपलियाले बोगटीले चलचित्रको माध्यमबाट नेपाललाई विश्वसामु परिचित गराउँदै चलचित्र क्षेत्रलाई व्यवसायिक तथा प्रतिस्पर्धी बनाउन सफल भएको बताए । नेपाली सेना, नेपाल प्रहरी, स्थानीय जनप्रतिनिधि, विभिन्न संघसंस्था तथा स्थानीयवासी गरी करीव २ सय जना रहेको उक्त सफाइ अभियानबाट करीव तीन टन फोहर संकलन गरिएको मनोहरा सफाइ सम्पदा बचाउ महाअभियान तथा हनुमन्ते नदी सफाइका उत्प्रेरक रुद्र पौडेलले बताए । रासस"
"अलपत्र पुल बन्न थालेपछि रोल्पाली खुसी","माडीखोला (रोल्पा) : दस वर्षसम्म अलपत्र परेको रोल्पाको सदरमुकाम लिबाङ र पश्चिमी पाँच गाउँपालिका, छिमेकी जिल्ला दाङ, सल्यान र रुकुम जोड्ने सडक निर्माण हुन थालेपछि रोल्पालीमा खुसी छाएको छ । माडीखोला किनारको अजंगको चट्टान फोड्न डोजरबाट काम धमाधम भइरहेको छ । माडीमा पक्कीपुल बनाउनका लागि ठूलो चट्टान फोड्नु पर्ने भएको छ । अघिल्लो ठेकेदारले अलपत्र पारेको पक्कीपुल बनाउन चट्टान कटान पहिलो शर्त बनेको छ । भदौ १ गतेदेखि पुल बनाउन निर्माण कम्पनी अहोरात्र खटिरहेका छन् । २०६९ सालसम्म बनिसक्नु पर्ने पक्कीपुल दुईवटा पिलरमै सिमित थियो । तीन वर्षमै निर्माणको काम सम्पन्न गर्ने गरी २०६६ असार २२ गते लामाएडीधर्मेन्द्र जेभी कम्पनीले ठेक्का सम्झौता गरेका थियो । ठेक्का पाएको दुई वर्षपछि काम सुरु गरेको कम्पन्नीले बीचमै पुल अलपत्र छोडेको थियो । अघिल्लो ठेकेदार वसन्त डिसीले लामो समयसम्म पुल नबनाएपछि पुल बन्ने सपना मारेका रोल्पाली निरास थिए । सरकारले ठेक्का रद्द गरेर नयाँ टेन्डर आह्वान गरेपछि भने आसा पलाएको छ । नयाँ ठेक्का रोल्पा तालाबाङका निर्माण व्यवसायी राजवीर घर्तीले ल्याएका छन् । एसियाटिक निर्माण कम्पनी र राज कनस्ट्रक्सन प्रालिको जेभीमा ठेक्का सम्झौता भइ काम सुरु भएको प्यूठान सडक डिभिजनले जनाएको छ । अलपत्र पुल बनाउने जिम्मा पाएको छु । समयमै काम सम्पन्न गर्ने गरी काम भइरहेको छ, काममा खटिएका निर्माण व्यवसायी घर्तीले भने, जिल्लाकै सामरिक महत्वको पुल हो । जिम्मेवारीको साथ निर्माण सम्पन्न गर्छु । पुल अलपत्र बनेपछि विकल्पमा यहाँ बेली ब्रिजले काम चल्दै आएको छ । काम सुरु भएपछि प्रमुख जिल्ला अधिकारी गञ्जबहादुर एमसीसहितको टोलीले समेत निर्माण स्थल अनुगमन गरेको छ । जिल्लाका नेता समेत निर्माण स्थल पुग्ने गरेका छन् । सडक डिभिजनका कर्मचारी पनि बेलाबेला यहाँ आउने गरेका छन् । निर्माण कम्पनीको दुईवटा डोजर काममा प्रयोग भइरहेका छन् । बढ्यो लागत अघिल्लो ठेकेदारसँग पुल बनाउन ३ करोड ४१ लाख ५२ हजारमा सम्झौता भएको थियो । सम्झौता अनुसार २०६८ असारमै पुल बनिसक्नु पर्ने थियो । ६२ दशमलव ५ मिटर लम्बाई र ४ मिटर चौडाई बनाउने गरी सम्झौता भएको थियो । ढिला काम थालेका ठेकेदारले लम्बाई कम डिजाइन इष्टिमेट भएको भन्दै काम बीचमै रोकेका थिए । सडक डिभिजनले पुनः डिजाइन इष्टिमेट गर्दा पुलको लम्बाई ७२ दशमलव ५ मिटर र ६ मिटर चौडाई कामय भयो । पुलको लम्बाई बढेपछि लागतसमेत बढ्यो । डिभिजनका अनुसार ३ करोड ९२ लाख ९ हजार ७२ मा उनै ठकेदार डिसीले काम गर्न पुनः राजी भएका थिए । पुल बन्ने भयो भन्दै तत्कालीन सरकारका भौतिक योजना तथा निर्माणमन्त्री हृदयश त्रिपाठी र अर्थमन्त्री वर्षमान पुनमगरले माडीखोला किनारमलै हेलीकोप्टर ल्याण्ड गरी शिलान्यास गरेका थिए । त्यसपछि मुस्किलले दुईवटा पिलर ठडिए । पटकपटक गरी ठेकेदारले करोड बढी भुक्तानी पाए । तर, पुल बनेन् । सोही पुलको काम सम्पन्न गर्न अहिले ३ करोड ३५ लाख पुनः नयाँ ठेक्का सम्झौता गर्नु पर्यो सरकारले । सम्झौता अनुसार १७ महिनामा अर्थात अबको डेढ वर्षपछि पुल बन्नुपर्छ । गालीबाट जोगिएलान नेता ? निर्माणाधिन पक्कीपुल पूर्वसभामुख ओनसरी घर्ती र वर्तमान अर्थमन्त्री वर्षमान पुनको जन्मथलो माडीचौरबाट नजिकै पर्छ ।माडीखोला हुँदै पन्ध्र मिनेटमा उनीहरुको घर पुगिन्छ । उपराष्ट्रपति नन्दबहादुर पुन, संघीय सांसद जयपुरी घर्ती, प्रदेश ५ का सांसद कुलप्रसाद केसी र दीपेन्द्रकुमार पुन तथा तत्कालीन नेकपा एमालेका नेता गोकुल घर्ती पनि पुलपारीका हुन् । तत्कालीन माओवादी केन्द्रका नेता कृष्णबहादुर महरा पनि जिल्लावासी हुन् । पुल बनाउन नसकेको आरोप उनलाई पनि लाग्दै आएको छ । ठेकेदारले पुल नबनाउँदा गाली हामीले खानु पर्यो । यात्रुसँगै गाडीमा यात्रारत हुँदा जनताले नेतालाई गाली गरेको मेरै कानले सुन्नु पर्यो धेरै पटक, ५ नम्बर प्रदेश सांसद पुनमगर भन्छन् । नेपाली कांग्रेसका जिल्ला सभापति एवं पूर्वसिंचाई राज्यमन्त्री अमरसिंह पुनले बेलिब्रिज बनाउन पहल गरेको भन्दै जस लिँदै आएका छन् । अहिले अस्थायी पुलबाट गाडी ओहोरदोहोर गर्छन् । खोलामा ठडिएर अलपत्र परेका पिलर । तस्बिर : खेमबहादुर बुढा"
"""रुकुमकोटमा आगलागी","एक घाइते"",""रुकुम : रुकुम पूर्वको सिस्ने गाउँपालिका५ रुकुमकोटका ७५ वर्षीय दिलबहादुर बुढाको घरमा आगलागी भएको छ । आगलागीबाट अन्नपात, धनमानसहित घर जलेर ध्वस्त भएको छ भने ३८ वर्षीया बुहारी मोतिकला बुढा घाइते भएकी छन् । गोठमा बाँधेको भैँसी पनि घाइते भएको छ । घाइते मोतिकलालाई थप उपचारको लागि नेपालगन्ज लगिएको छ । उनका हात, खुट्टा र ढाड पोलिएका छन् । खाना पकाउँदा आगलानी भएको हुन सक्ने अनुमान गरिएको प्रमुख जिल्ला अधिकारी मित्रलाल शर्माले जानकारी दिए । स्थानीय सरकारले सहयोग नगरेको गुनासो गरेको गुनासो पीडित दिलबहादुरले गरेको छन् । यता जिल्ला प्रशासन कार्यालय रुकुमले तत्कालको लागि पीडितलाई राहत उपलब्ध गराएको छ । बस्ने बास र खाने गाँससमेत नरहेपछि घट्ना लगत्तै बुढाको परिवारलाई राहत कोषबाट राहत वितरण गरिएको प्रमुख जिल्ला अधिकारी शर्माले बताए । प्रजिअ शर्माका अनुसार घटनास्थलमै पुगी बुढाका परिवारलाई उपचारको लागि नगद ३० हजार रुपैयाँ, एक बोरा चामल, दुई लिटर तेल, पाँच किलो चिउरा, दुई किलो दाल र दुई किलो नुन वितरण गरिएको हो । घरमा मासु पकाउने क्रममा एक्कासी कराइको तेल बलेर सिस्ने बुढाको घरमा गएराति साढे एघार बजे आगलागी हुँदा घरमा रहेको ५५ हजार नगद, अन्नपात, भाँडाकुँडा, लत्ताकपडा सबै जलेर नष्ट भएको थियो ।"""
"""भारतमा रेल दुर्घटना : ६२ को मृत्यु","सयौं घाइते"",काठमाडौं : भारतमा रेल दुर्घटना हुँदा ६२ जनाको मृत्यु भएको छ । दुर्घटनामा १५० बढी सर्वसाधारण घाइते भएका छन् । भारतको उत्तरी राज्य पञ्जाबस्थित अमृतसर शहरमा एउटा रेल मानिसहरूको भिडमा पुगेपछि रेल दुर्घटनामा परेको थियो । भरतीय प्रहरीलाई उद्धृत गर्दै त्यहाँका सञ्चारमाध्यमले जनाए अनुसार अहिलेसम्म ६२ जनाको मृत्यु भइसकेको छ । पञ्जाबको अमृतसर शहरमा हिन्दू धर्मका पौराणिक पात्र रावणको पुत्ला जलाइने वार्षिक दशहरा पर्व हेर्न लागेको भिड क्षेत्रमै रेल दुर्घटना भएको हो । पर्व हेर्न गएका सर्वसाधारण रेलको लिक नजिकै भेला भएकै बेला दुर्घटना भएको हो । पुत्ला जलाउन लागेको भिडले रेलको आवाज नसुन्दा ठूलो दुर्घटना भएको घाइतेको भनाइ छ । रेल दुर्घटना हुँदा इन्जिनबाट छुट्टिएर उल्टो कुदेको थियो । सोही क्रममा रेल पल्टिएको हो । दुर्घटना शुक्रवार साँझ करिब साढे ६ बजे भएको हो । भारतीय प्रहरीले घटनामा ज्यान गुमाउनेको सङ्ख्या अझ बढ्न सक्ने अनुमान गरेको छ ।"
"जिल्लामा भारोत्तोलन खेलका सामाग्री नभएपछि खेलाडी दुःखी","गुलरिया : बर्दियामा भारोत्तोलन (वेटलिफ्टिङ्ग) खेलका लागि खेल्ने स्थान र खेल सामाग्री नभएको प्रति खेलाडीले दुःख प्रकट गरेका छन् । सरकारले भारोत्तोलन खेलप्रति उदासिनता देखाएको भन्दै उनीहरु निरास बनेका हुन् । केही दिनअघि काठमांडौंमा सम्पन्न सेकेण्ड नेपाल स्ट्रोङ्गगेष्ट भारोत्तोलन प्रतिस्पर्धामा प्रथम भएका बर्दिया बारबर्दिया नगरपालिका ६ धामपुर निवासी रोशन बुढाक्षेत्रीले भारोत्तोलन खेलका लागि जिल्लामा कुनै पनि सुविधा नभएको गुनासो गरे । उनले भने, खेल खेल्नका लागि बर्दियामा समस्यै समस्या छ । बर्दियामा भारोत्तोलन खेलको लागि पूर्वाधार नहुँदा खेलाडीले बाँके जिल्ला पुगेर अभ्यास गर्ने गरेका छन् । उनले थपे, भारोत्तोलन खेल सामाग्री लगायत प्रशिक्षक नहुँदा बाँके जिल्लामा गएर प्रशिक्षण लिनुपर्ने बाध्यता छ । खेलकुद विकास समितिले पनि भारोत्तोलन खेलका लागि कुनै चाँसो दिएको छैन । प्रतिस्पर्धामा एक सय ५ किलोग्राम तौल समूहका बुढाक्षेत्रीले स्न्याच र क्लिन एण्ड जर्क गरी १ सय ५० केजी तौल उठाएका थिए । २० वर्षीय बुढाक्षेत्रीले स्न्याचमा ६५ किलोग्राम तथा क्लिन एण्ड जर्कमा ८५ केजी तौल उठाउन सफल भएका हुन् । खेलको लागि जिल्लामै पूर्वाधार भैदिए अन्र्तर्राष्ट्रि स्तरमै सफलता प्राप्त हुने उनको विश्वास छ । भारोत्तोलन खेलका सामाग्री महँगो हुने भएकाले पनि स्थानीय स्तरबाट जुटाउन नसकेको उनको भनाइ छ । बर्दियामा जिल्ला स्तरिय कभर्डहल भएपनि भारोत्तोलन खेल अभ्यासका लागि एउटा कोठासम्म उपलब्ध नभएको गुनासो उनले गरे । गुणस्तरिय खेल तथा खेलाडीका लागि स्थानीयतहले पनि चासो दिनुपर्ने उनको भनाइ छ । ग्रामिण स्तरमा सरकारले उदासिनता देखाएकोले पनि धेरै खेलाडीको मनोबल गिरेको अनुभव उनले सुनाए ।"
"""दसैंमा ऊर्जामन्त्रीको चीन भ्रमण","उपमन्त्रीसँग भेट"",""काठमाडौं : यत्तिबेला ऊर्जा, जलस्रोत तथा सिंचाईमन्त्री वर्षमान पुन चीन भ्रमणमा छन् । भ्रमणका क्रममा मन्त्री पुनले चिनियाँ उपमन्त्री लियाङ्ग विलियाङ्गसँग भेटवार्ता भएको छ । चीनले अघि सारेको वान वेल्ट वान रोडको ऊर्जामन्त्रीस्तरीय बैठकमा भाग लिन चीनको सुजोओ पुगेका मन्त्री पुनसँग शुक्रबार उपमन्त्री लियाङ्गले भेटवार्ता गरेका हुन् । लियाङ्ग चीनको विकास र सुधार हेर्ने विभागका उपमन्त्री हुन् । उनी त्यसका साथै चीनको वित्तिय क्षेत्रको समन्वय गर्ने विभागका प्रमुख समेत हुन् । भेटवार्तामा आपसी हित र ऊर्जाको क्षेत्रमा दुई देशको बीचमा गर्न सकिने सहकार्यका बारेमा समेत छलफल भएको छ । द्विपक्षीय भेटवार्तामा मन्त्री पुनले नेपाल र चीनबीच निकै पुरानो सम्बन्ध रहेको चर्चा गर्दै आगामी दिनमा समेत दुवै देशको सम्बन्ध सुमधुर बन्दै जाने धारणा राखेका छन् । नेपालमा लामो समयपछि दुई तिहाइको सरकार बनेको भन्दै उनले त्यसमा चीनको सहयोग र सद्भावको खाँचो रहेको बताएका छन् । मन्त्री पुनले चिनियाँ उपमन्त्रीसँग प्रधानमन्त्री केपी शर्मा ओलीको गत जुनमा भएको भ्रमणको बेला इनर्जी कोअपरेशनमा भएको सम्झौता ऐतिहासीक भएको भन्दै आगामी दिनमा त्यसमार्फत सहकार्य गर्न सजिलो हुने धारणा राखेका छन् । उनले गत महिना बंगलादेशसंग समेत इनर्जी कोअपरेशनमा सम्झौता भइसकेको भन्दै त्यसले क्षेत्रीय बजार विस्तारमा सहयोग पुग्ने दाबी गरेका छन् । उनलेले बंगलादेशले नेपालमा उत्पादन भएको बिद्युत खरिद गर्न इच्छा व्यक्त गरेको जानकारी समेत दिए । भेटमा मन्त्री पुनले गत सेप्टेम्बरमा नेपाल र चीनबीच बनेको ऊर्जा संयन्त्रको पहिलो बैठक बसिसकेको जानकारी दिंदै दोस्रो बैठकको मिती समेत छिट्टै तय गर्न आग्रह गरे । संयन्त्रको पहिलो बैठक आफैंमा ऐतिहासीक बनेको भन्दै त्यसमार्फत दुई देशले ऊर्जा क्षेत्रमा सहकार्य गर्न सजिलो हुने मन्त्री पुनको धारणा छ । बैठकमा मन्त्री पुनले नेपाल चीनबीच अघि बढेको अन्तरदेशीय प्रशारण लाइन र जलविद्युत परियोजनाको बारेमा छलफल भएको जानकारी दिए । मन्त्री पुनले ४ सय केबीको काठमाडौं केरुङ अन्र्तदेशिय प्रशारण लाइन, कोशी कोरीडोर, कर्णाली कोरिडोर र भेरी कोरिडोर, किमाथांका, फुक्कोट कर्णाली र तमोर जलविद्युत परियोजना नेपालको प्राथमिकतामा रहेको भन्दै उनले त्यसमा चीन सरकारको सहयोग आवश्यक रहेको धारणा राखेका छन् । उक्त परियोजना सरकारले चीनसमक्ष यसअघि नै प्रस्ताव गरिसकेको छ । छलफलमा सोफ्ट लोन, कमर्सियल लोन र विआरआई फण्डमार्फत् गर्न सकिने लगानीका सम्भावना बारेमा समेत कुराकानी भएको छ । नेकपाका नेता समेत रहेका मन्त्री पुनले नेपालमा चिनियाँ लगानी दिन प्रतिदिन बढिरहेको जानकारी दिंदै आगामी दिनमा समेत लगानीको वातावरण बनाइदिन आग्रह गरे । भेटमा चिनियाँ मन्त्री लियानले नेपालसँग भएको इनर्जी कोअपरेशनको समझदारी कार्यान्वयन गर्ने चरणमा रहेको जानकारी दिए । मन्त्री लियानले भेटमा नेपाल चीनबीच बनेको ऊर्जा संयन्त्रको पहिलो बैठक ऐतिहासीक भएको भन्दै त्यसका लागि पहल गरेकोमा ऊर्जामन्त्री पुनलाई धन्यवाद दिए । उनले नेपालमा चिनियाँ कम्पनीले ऊर्जा क्षेत्रमा लगानी गरिरहेको भन्दै आगामी दिनमा समेत लगानी थप विस्तार हुने प्रतिवद्धता व्यक्त गरे । हामीलाई चीनमा थप ऊर्जा समेत आवश्यक छ, नेपालमा हाम्रा कम्पनीहरुले व्यवसायीक रुपले लगानी गरिरहेका छन्, उपमन्त्री लियानले भने, आगामी दिनमा थप चिनियाँ कम्पनीहरुले नेपालमा लगानी गर्नेछन् ।"""
"कञ्चनपुरमा सखिया नृत्य","कञ्चनपुरको शुक्लाफाँटा नगरपालीका३ का थारु युवती परम्परागत पहिरनमा सखिया नृत्य गर्दै । थारु समुदायका युवातीले भगवान श्रीकृष्णको गाथालाई गीतमार्फत व्यक्त गर्दै सखिया नृत्य गर्दछन् । तस्बिर : राजेन्द्रप्रसाद पनेरु, कञ्चनपुर, रासस"
"दूतावासभित्रै पत्रकारकाे मृत्यु भएको पुष्टि","काठमाडौं : तीन सातादेखि बेपत्ता रहेका भनिएका पत्रकार जमाल खशोग्गीको मृत्यु भएको पुष्टि भएको छ । साउदी अरेबियाले पत्रकार खशोग्गीको अक्टोबर २ मा इस्तानबुलस्थित आफ्नो वाणिज्य दूतावासभित्रै मृत्यु भएको पुष्टि गरेको छ । खशोग्गी र वाणिज्य दूतावासभित्र उनले भेटेका मानिसबीच भएको झगडाले मृत्युको घटना निम्त्याएको साउदी सरकारी सञ्चारमाध्यमले जनाएको छ ।अक्टोबर २ मा साउदी वाणिज्य दूतावास गएदेखि पत्रकार खशोग्गी बेपत्ता भएका थिए । खशोग्गीको मृत्यु भएको पुष्टि भएसँगै एकजना उच्च गुप्तचर अधिकारी अहमद अलअसिरी र राजपरिवारका एकजना वरिष्ठ सल्लाहकार साउद अलकतानीलाई बर्खास्त गरिएको छ । पत्रकार खशोग्गीको हत्याको आरोपमा १८ जनालाई गिरफ्तार गरिएको सरकारी सञ्चारमाध्यमले उल्लेख गरेको छ । साउदी राजा सलमानले टर्कीका राष्ट्रपति रेजेप तय्यीप एर्दोआनसँग घटनाबारे टेलिफोन वार्ता गरेपछि साउदी सरकारी सञ्चारमाध्यममा खशोग्गीको मृत्युबारे समाचार आएको हो । राजा सलमानले देशको गुप्तचर निकायको पुनर्संरचनाका लागि सुझाव दिन भन्दै राजकुमार मोहम्मद बिन सलमानको संयोजकत्वमा एउटा मन्त्रालयस्तरीय समिति गठन गर्न आदेश समेत दिएका छन् । यसअघि खशोग्गी वाणिज्य दूतावासभित्रै मारिएको भन्ने टर्कीको दावी रियादले अस्वीकार गर्दै आएको थियो । पत्रकार बेपत्ता प्रकरणबारे सत्यतथ्य बाहिर ल्याउन रियादले आफ्ना निकट साझेदार मुलुकबाटै चर्को दबाब झेल्दै आएको थियो । ब्रिटेन, फ्रान्ससहित कतिपय मुलुकले रियादमा हुने एउटा लगानी सम्मेलन सोही प्रकरणलाई लिएर बहिष्कार गर्ने बताइसकेका छन् ।हालै अमेरिकी राष्ट्रपति डोनल्ड ट्रम्पले खशोग्गीको हत्या साउदी अरेबियाले गराएको पुष्टि भए उसलाई दण्डित गर्नेु बताएका थिए । अंकाराले खशोग्गीलाई वाणिज्य दूतावासभित्रै मारिएको कुराको आफूसँग श्रव्य र दृश्य प्रमाण रहेको बताउँदै आएको छ ।यद्यपि उसले भन्ने गरेका प्रमाण अहिलेसम्म सार्वजनिक गरेको छैन । कतिपयले ठूलो शक्तिको अभ्यास गर्दै आएका साउदी राजकुमार मोहम्मदकै निर्देशनमा खशोग्गीको हत्या गरिएको आरोप लगाउँदै आएका छन् ।खशोग्गी खासगरी राजकुमार मोहम्मदका कतिपय नीतिका कटु आलोचक रहिआएका थिए । बीबीसी"
