"शीर्षक","विवरण"
"भारतबाट अाजै फर्किए प्रचण्ड","काठमाडौँ : नेकपाका अध्यक्ष पुष्पकमल दाहाल प्रचण्ड भारतको एक दिने भ्रमण सम्पन्न गरी आज राति स्वदेश फिर्ता भएका छन् । इन्डिया फाउण्डेशनले आयोजना गरेको कार्यक्रममा भाग लिन भारतको नयाँदिल्ली आजै प्रस्थान गरेका अध्यक्ष प्रचण्डले प्रमुख अतिथिका रूपमा पार्टीको अवधारणा प्रस्तुत गरेका थिए । त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलमा उनलाई स्वागत गर्न पार्टीका नेता तथा कार्यकर्ता पुगेका थिए । फाउण्डेशनले दक्षिण एशियाका साथै अन्तर्राष्ट्रियस्तरमा समेत विचार निर्माण गर्ने सन्दर्भमा भूमिका निर्वाह गर्दै आएको छ ।"
"रेखा पौडेल चम्किएपछि नेपालले भारतलाई हरायो","काठमाडौं : एएफसी यु१९ च्याम्पियनसिप छनोट खेलमा नेपाली चेलीहरुको टोलीले भारतीय टोलीलाई पराजित गरेको छ । नेपाललाई शानदार जित दिलाउने क्रममा रेखा पौडेलको दुई गोल गरिन् । अघिल्लो चरणको यात्राका लागि जित्नै पर्ने दबाबमा रहेको नेपाली चेलीहरुको टोलीले चाहे अनुसारको नतिजा निकालेको छ । नेपालको जितमा शानदार प्रदर्शन गरेकी रेखाले खेलको ५९ औँ मिनेटमा पहिलो गोल गरिन् । खेलको सुरुबाटै गतिला अवसर गुमाएको नेपाली टोलीका लागि रेखाले अग्रता दिलाएपछि भारतलाई झनै दबाबमा राख्यो । ५९ औँ मिनेटमा अग्रता दिलाएकी रेखाले ८८ औं मिनेटमा अर्को गोल थपिन् । खेलको अन्तिम समयमा भारतीय किपर डि बक्स भन्दा अगाडि आएको मौका सदुपयोग गर्दै रेखाले गोल गरेकी थिइन् । भारतलाई हराएपछि नेपालले अघिल्लो चरण प्रवेशको सम्भावना कायमै राखेको छ । नेपालले अघि बढ्न बाँकी खेल जित्नुपर्ने छ । नेपालले अब समूह चरणको अन्तिम खेल आइतबार पाकिस्तानसँग प्रतिस्पर्धा गर्नेछ । छनोटका क्रममा ६ समूहका विजेता उपविजेताबाट उत्कृष्ट दुई टिम आगामी अप्रिलमा हुने दोस्रो चरणमा जानेछन् ।"
"छुट्टाछुट्टै मुद्दामा ८ जना पक्राउ","ताप्लेजुङ : ताप्लेजुङ प्रहरीले छुट्टाछुट्टै ८ जना अभियुक्त र प्रतिवादीहरुलाई पक्राउ गरेको छ । कर्तव्य ज्यान र गाली बेइज्जती मुद्दाका ३३ जना, वन मुद्दाका र मादक पदार्थ सेवन गरी प्रहरीसँग अभद्र व्यवहार गर्ने ११ जना पक्राउ परेका हुन् । कार्तिक ३ गते मिक्वाखोला गाउँपालिका४ साँवाका ३२ वर्षीय प्रताप सिंह सावा लिम्बुको हत्या गरी फरार भएको अभियोग लागेका २ जनालाई कर्तव्य ज्यान शिर्षकमा मुद्दा दर्ता गरिएको छ । २०७३ साल साउन २७ गते आठराई त्रिवेणी गाउँपालिका३ हाङपाङका काजिमान लिम्बुलाई कुटपिटपछि हत्या गरेको अभियोग लागेका सोही गाउँका २० वर्षीय देविन तामाङ पनि पक्राउ परेका छन् । फुङलिङ नगरपालिकाको मन्जु होटलमा कुटिएका लिम्बुको साउन ३० गते मोरङको बेलबारीमा मृत्यु भएको थियो । यस्तै वन मुद्दामा जिल्ला अदालतबाट दोषी ठहर भइ १२ लाख २५ हजार जरिवना तोकिएका फक्ताङलुङ गाउँपालिका३ लिङखिमका भिमराज पतंवा भने पक्राउपछि कारागार चलान भएका छन् । गाउँमै लुकिछिपी बसेको अवस्थामा लिम्बु पत्राउ परेका थिए । मादक पदार्थ सेवन गरी प्रहरीसँग अभद्र व्यावहार गर्ने फक्ताङलुङ गाउँपालिका२ खेजेनिमका ३५ वर्षीय थरी बहादुर कार्कीलाई समेत प्रहरीले पक्रउ गरेर मुद्दा चलाएको छ । गत ४ गते मादक पदार्थ सेवन गरी फुङलिङ बजारमा स्थानीयसँग बादविवाद गरिरहेको अवस्थामा पुगेका प्रहरीमाथि नै अभद्र व्यबहार गरेका कार्कीलाई प्रहरीले अभद्र व्यबहार कसूर शिर्षक मुद्दा दर्ता गरी अनुसन्धान सुरु गरेको जिल्ला प्रहरी कार्यालयका सूचना अधिकारी काँसीनाथ रेग्मीले जानकारी दिए । यस्तै गाली बेईज्जती मुद्दामा जिल्ला अलादतबाट सजाय तोकिएका ३ जना अभियुक्तलाई पनि प्रक्राउ गरी अदालत पेश गरिएको रेग्मीले बताए ।"
"विश्वकपको ट्रफी नेपालमा","काठमाडौं : अर्को वर्ष इङ्ल्यान्ड र वेल्समा आयोजना हुने आईसीसी एक दिवसीय विश्वकप क्रिकेट प्रतियोगिताको ट्रफी नेपाल ल्याइएको छ । । ट्रफी शुक्रबार साँझ काठमाडौं ल्याइएको हो । स्वयम्भूमा ट्रफी सार्वजनिक गरिएकाे हाे । अन्तर्राष्ट्रिय क्रिकेट काउन्सिल (आईसीसी) विश्वकप ट्रफी नेपाल भ्रमणमा ल्याइएको यो पहिलो पटक हो । फुटबल विश्वकपको ट्रफी भने यसअघि नेपालमा आइसकेको छ । सन् २०१४ मा ब्राजिलमा फिफा विश्वकप सुरु हुनुअघि सो ट्रफी ल्याइएको थियो । आईसीसी विश्वकपको १२औं संस्करण सन् २०१९ को मे ३० देखि जुलाई १४ सम्म इङ्ल्यान्ड र वेल्समा आयोजना हुँदैछ । विश्वकप सुरु हुनुअघि विश्वव्यापी रूपमा क्रिकेटको लोकप्रियता बढाउने उद्देश्यले आईसीसीले पाँचवटै महादेशमा ट्रफी टुर गराएको हो । आईसीसीले ट्रफीलाई २१ राष्ट्रका ६० भन्दा बढी सहरमा पुर्याउने योजना छ । ट्रफी टुर आईसीसीको दुबईस्थित मुख्यालयबाट अगस्ट २७ बाट सुरु गरिएको हो । नौ महिना लामो भ्रमणमा सुरुका ६ महिना ट्रफीलाई विभिन्न राष्ट्रमा पुर्याइने छ भने बाँकी तीन महिना इङ्ल्यान्डकै सहरको परिक्रमा गराइने छ । ट्रफीलाई हालसम्म ओमन, अमेरिका, वेस्ट इन्डिज, श्रीलंका, पाकिस्तान र बंगलादेश गरी ६ राष्ट्रको भ्रमण गराइसकिएको छ । विश्वकप ट्रफी बंगलादेश हुँदै सातौं राष्ट्रका रूपमा नेपाल ल्याइएको हो । ट्रफी नेपालबाट भारत लगिने छ । भारतपछि न्युजिल्यान्ड, अस्ट्रेलिया, दक्षिण अफ्रिका, केन्या, रुवान्डा, नाइजेरिया, फ्रान्स, बेल्जियम, नेदरल्यान्ड्स र जर्मनी हुँदै आगामी फेब्रुअरी १९ तारिखमा विश्वकप आयोजनास्थल इङ्ल्यान्ड र वेल्स लगिने आईसीसीले जनाएको छ । नेपाल भ्रमणका क्रममा ट्रफीलाई काठमाडौंसहित पोखरा पनि लगिने छ । आईसीसीले सम्भव भएसम्म ट्रफीलाई विश्वको सर्वोच्च शिखर सगरमाथाको आधार शिविरसम्म पुर्याउने योजना बनाएको छ । यसको अन्तिम टुंगो हुने भने बाँकी छ । काठमाडौंमा ट्रफीलाई वसन्तपुर दरबार स्क्वायर र नारायणहिटी दरबार आगाडि राख्ने तयारी छ ।आईसीसीले द्रुत गतिमा क्रिकेटको विकास भइरहेका नेपालसहित ११ राष्ट्रमा पहिलो पटक विश्वकप ट्रफी टुर गराउन लागेको हो । आगामी आईसीसी विश्वकपमा इङ्ल्यान्ड, दक्षिण अफ्रिका, अस्ट्रेलिया, वेस्ट इन्डिज, न्युजिल्यान्ड, भारत, पाकिस्तान, श्रीलंका, बंगलादेश र अफगानिस्तान गरी १० वटा राष्ट्रको सहभागिता रहने छ ।"
"अन्तरिक्षमा पनि भारतलाई पाकिस्तानको टक्कर","काठमाडौँ : भारतसँग प्रतिस्पर्धा गरिरहेको पाकिस्तानले पनि अन्तरिक्षमा मानव यान पठाउने तयारी गरेको छ । यसको तयारी करिब सकिएको छ । पाकिस्तानले निकट छिमेकी चीनको सहयोगमा अन्तरिक्षमा मानव यान पठाउने तयारी पुरा गरेको हो । अर्कातिर भारतले पनि अन्तरिक्षमा मानव यान पठाउने तयारी जोडतोडका साथ अघि बढाएको छ । भारतले रसियासँग सहयोग लिएर अन्तरिक्षमा मानव यान पठाउन लागेको हो । तर यसको आधिकारिक घोषणा हुन भने बाँकी छ । सन् २०२२ मा पाकिस्तान आफ्नो योजना पुरा गर्ने तयारीमा छ । अन्तरिक्षमा पनि भारतसँग पकिस्तानको प्रतिसपर्धा हेर्न पाइने भएको छ । बिहीबार पाकिस्तानी सूचना मन्त्री फवाद चौधरीले यदि सबै कुरा दुरुस्त रहेमा सन् २०२२ म पाकिस्तानले पनि अन्तरिक्षमा आफ्नो झण्डा फहराउने छ । यस दिशामा काम गरिरहेको पाकिस्तान र चीनले स्पेस एन्ड अपर एटमसफेयर रिसर्च कमिशन (एसयुपीएआरसीओ) मा सम्झौता गरिसकेका छन् । पाकिस्तानको तर्फबाट यो पहिलो अन्तरिक्ष मिसन हुनेछ । पाकिस्तानले यसै वर्ष जुलाइमा आफ्ना दुई स्याटेलाइट यान पठाइसकेको छ । यसभन्दा पहिले पाकिस्तान रिमोट सेन्सिङ्ग स्याटेलाइट१ (पीआरएसएस१) र अर्को पाकिस्तान टेक्नोलोजी इभ्याल्युएसन स्याटेलाइट१ ए (पीएके टीईएस१ए) रहेका थिए । यी दुवैको प्रक्षेपण चाइनिज लन्ग मार्च २ सी बाट भएको हो । भारतको तयारी पाकिस्तान भन्दा धेरै अघि भारतले सन् २००२ मा अन्तरिक्षमा मानव यान पठाउने तयारी गरेको थियो । भारतले कयौँ मानवरहित स्याटेलाइट अन्तरिक्षमा पठाइसकेको छ । अन्तरिक्षमा भारतले अहिलेसम्म मानव यान भने पठाएको छैन । भारतीय प्रधानमन्त्री नरेन्द्र मोदीले यसको आधिकारिक घोषणा लाल किल्लाबाट गरिसकेका छन् । स्वतन्त्रता दिवसमा सम्बोधन गर्दै उनले भारत सन् २००२२ मा आफ्नो ७५ औँ स्वतन्त्रता दिवसको अवसर पारेर मानव यान अन्तरिक्षमा पठाउने तयारीमा रहेको बताएका थिए । प्रधानमन्त्री मोदीले भारतीय युवाले ७५ औँ स्वतन्त्रता दिवसमा अन्तरिक्षमा झण्डा फहराउने इच्छा राखेका छन् । भारतको तर्फबाट पठाइने यानको नाम मोदीले गगनयान राखेका छन् । देशको स्पेस एजेन्सी यसअघिदेखि नै यसको तयारीमा लागेको छ । 'ह्युमन स्पेसफ्लाइट प्रोग्राम (एचएसपी)' अनुसार यसको निर्माण चलिरहेको छ । यानमा कतिजना जानेछन् भन्ने प्रष्ट भएको छैन । तर कम्तिमा तीनजना पठाइने बताइएको छ । अन्तरिक्षमा भिडन्त भारत र पाकिस्तानले सन् २०२२ मा मानव अन्तरिक्ष यान पठाउने तयारी गरिरहेका बेला चीनले यसअघि नै यस्तो सफलता पाइसकेको छ । सन् २००३ मा चीनले आफ्नो मानवयुक्त यान पठाएर तीन देशम सामेल भइसकेको छ । चीन भन्दा पहिले रुस र अमेरिकाले पनि मानव यान पठाइसकेका छन् । अब भारतले मानव यान पठाउने चौथो देश बन्ने जमर्को गरिरहेका बेला त्यसमा पाकिस्तानले टक्कर दिएको हो । पाकिस्तान र चीनमा धेरै गहिरो रणनीतिक सम्बन्ध छ । चीन उसको सबैभन्द ठुलो हतियार आपूर्तिकर्ता पनि हो । त्यहीकरण चीनले पाकिस्तानको मानव यानका लागि सहयोग गरिरहेको छ ।"
"कर्मचारी पठाउन संघीय सरकारलाई प्रदेश सरकारको एक महिने अल्टिमेटम","जनकपुरधाम : प्रदेश२ को मन्त्रिपरिषद् बैठकले आवश्यक संख्यामा कर्मचारी एक महिना भित्र नपठाए संघीय सरकारलाई अल्टिमेटम दिएको छ । शुक्रबार बसेको मन्त्रिपरिषद बैठकले एक महिना भित्र प्रदेश सरकारले तयार पारेको संगठनात्मक संरचना अनुसार कर्मचारी नपठाए आफै नियुक्त गर्ने निर्णय गरेको हो । संघीय सरकारले एक महिनामा कर्मचारी नपठाए प्रदेशले आफैं व्यवस्था गर्ने निर्णय गरेको छ । संघीय सरकारलाई पटकपटक प्रदेशमा आवश्यक कर्मचारी पठाउन प्रदेश सरकारको तर्फबाट आग्रह गर्दा पनि सुनुवाइ नभएको भन्दै बैठकले एक महिनाको अल्टिमेटम दिएको हो । प्रदेशका मुख्यमन्त्री लालबाबु राउतले सार्वजनिक मञ्चबाट नै संघीय सरकारले कर्मचारी नपठाएर प्रदेशको कामकाज सञ्चालनमा असहयोग गरेको आरोप लगाउँदै आएका थिए । प्रदेशको कामकाज सञ्चालन तथा बजेटको कार्यान्वयनका लागि पाँच हजार कर्मचारीको आवश्यक भएपनि हालसम्म आफूहरुलाई मात्र अढाई सय कर्मचारी उपलब्ध गराइएको मुख्यमन्त्री राउतले बताउँदै आएका छन् । मन्त्रिपरिषदको बैठकले प्रदेश सरकार सचिवालयलाई मधेस भवन नामाकरण गरिएको घोषणा समेत गरेको छ । जनकपुर चुरोट कारखाना परिसरमा रहेको प्रदेश सरकारको सचिवालयलाई मधेस भवन नामकरण गर्ने निर्णय भएको हो ।"
"""एकल महिला बोकापालनमा आकर्षित","एउटै बेच्दा ५२ हजार"",""डोटी : जोरायल गाउँपालिका२ छतिवनकी किसान गंगादेवी ओलीले प्रजनन् बोयर बोका पाल्न थालेको दुई वर्ष भयो । पछिल्लो सिजनमा उनले बोयर जातका बोका र पाठी बिक्री गरेरै दुई लाख १८ हजार आम्दानी गरिसकेकी छन् । वडा नम्बर २ छतिवनकी किसान भविसरा सारुले त नौ महिनामै ६६ किलो तौल भएको बोयर बोका उत्पादन गरी ५२ हजार आठ सयमा बिक्री गरिन् । छतिवनस्थित रुवस एकीकृत बाख्रापालन कृषक समुहमा सदस्य रहेकी किसान भविसरा सुधारिएको तरिकाबाट बोका पालन गर्दा राम्रै आम्दानी हुने बताउँछिन् ।गंगादेवी र भविसरा जस्ता लगनशील किसानलाई पछ्याउँदै डोटीमा अचेल एकल महिला किसानहरु पनि बोयर बोका पालनमा आकर्षित भएका छन् । आधुनिक तरिकाबाट बोका पालन गर्दा मनग्य आम्दानी हुने भएपछि उनीहरु बोयर बोका पालनमा आकर्षित भएका हुन् । पशु सेवा शाखाले यहाँका एकल महिला तथा विपन्न किसानलाई सहायता गरेसँगै उनीहरु आकर्षित भए । दुई वर्षअघि बोयर बोका उत्पादनमा सहायता गरेको पशु सेवा शाखाले यस पटक भने जोरायल गाउँपालिकाका एकल महिला र विपन्न किसानलाई प्रजनन् बोयर बोका उत्पादनमा सहायता गरेको हो । पशु सेवा शाखाले २० जनालाई नै दुईदुई वटा बाख्रा खरिदको लागि १५ हजारको दरले रकम बितरण गरेको थियो । सोही रकमबाट उनीहरुले बोका पालन सुरु गरेका हुन् । दुई वर्षअघि नै पशु सेवा शाखाको सहायतामा बोकापालन गर्ने किसानले यसबीचमा मनग्य आम्दानी गर्न थालेपछि एकल महिला तथा विपन्न किसानहरु बोका पालनलाई नै मुख्य पेशा बनाउने भनी लागेका हुन् । बोका उत्पादन भइसकेपछि बजारको खोजी गर्दै किसान आफैँ भौँतारिनु पर्दैन, पशु सेवा शाखाका प्रमुख मानबहादुर रानाले भने, पशु सेवा साखाले नै खरिद गरिदिने भएकाले उहाँहरुलाई सहज हुन्छ । रानाका अनुसार बोयर जातका बोकाको राम्रो उत्पादन र उत्पादकत्व भएको क्षेत्र पनि सात नम्बर प्रदेशको पहाडी भेग नै हो । विभिन्न जिल्लामा यसको माग पनि अत्याधिक छ । यसबाहेक ५० वटा भन्दा बढीको संख्यामा बाख्रा पालन गर्ने किसानहरुमध्येबाट १० जना किसानलाई ५० हजारको दरले खोर सुधारको लागि रकम तथा एकएक बोका बितरण गरिएको छ । मनग्य आम्दानी शाखाको सहायतामा बोका पालन सुरु गरेको रुवस एकीकृत बाख्रापालन कृषक समुहले गत आर्थिक वर्षमा मात्रै बोयर बोका बिक्री गरी ३० लाख रकम आम्दानी गरिसकेको छ । एउटै बोकाबाट दसौं हजार आम्दानी गर्न सकिने भएकाले किसानको आम्दानीको मुख्य स्रोतको लागि पनि बोयर बोका उत्पादन उपयुक्त पेशा हुने शाखाका अधिकारी सुझाउँछन् । पछिल्लो सिजनमा मात्रै डोटी जिल्लाबाटै दुई सय ५० भन्दा बढीको संख्यामा क्रस बोयर प्रजनन् बोकाहरु कैलाली, कञ्चनपुर, अछाम, दार्चुला र बैतडी जिल्लामा बितरण भइसकेको बताइएको छ । शाखा प्रमुख मानबहादुर रानाका अनुसार यसरी अन्य जिल्लाको लागि खरिद गर्दा डोटीका एक सय किसानहरुबाट यसै वर्ष ७५ लाख मुल्य बराबरका क्रस बोयर प्रजनन् बोकाहरु खरिद भएका छन् । बाख्रा पालक किसानहरुको उत्पादन र उत्पादकत्व बढाइ आय आर्जनमा बृद्धि गर्ने उद्देश्यले जोरायल गाउँपालिकाका विभिन्न वडामा मासुजन्य प्रजनन् समुह गठन गरी दुई वर्षअघिदेखि अष्ट्रेलियाबाट आयातित शुद्ध नश्लका बोयर जातका प्रजनन् बोकाहरु बितरण गरिएको थियो । सोही अनुरुप यसै वर्ष जोरायल गाउँपालिका४ लक्ष्मीनगरस्थित थलीमा बाख्रा पालन केन्द्र समेत स्थापना गरिएको छ । कृषक पाठशाला बाख्रापालन समुहहरुमा बाख्रापालन कृषक पाठशाला समेत संचालन गरिएको छ । कृषक पाठशाला मार्फत १५ महिनासम्म बाख्रापालन कृषकहरुलाई उनिहरुकै घर तथा बाख्राको खोरमा बाख्रापालन सम्बन्धी एकीकृत सैद्धान्तिक तथा व्यवहारिक ज्ञान दिइन्छ । बाख्राको पर्यावरणीय प्रणाली विश्लेषण अध्ययन समेत गराइने बताइएको छ । जिल्लाका केही बाख्रापालन कृषक समुहहरुमालाई बोयर बाख्रा स्रोत केन्द्रको रुपमा समेत विकास गरिएको जिल्ला पशुसेवा कार्यालयले जानकारी दिएको छ ।"""
"विवाह पञ्चमीका लागि ५० लाख दिने प्रदेश सरकारको निर्णय","जनकपुर : प्रदेश २ को सरकारले विवाह पञ्चमीका लागि ५० लाख दिने निर्णय गरेको छ । शुक्रबार बसेको प्रदेश २ को मन्त्रिपरिषद् बैठकले जनकपुरका लागि अति नै विशिष्ट रामजानकी विवाह पञ्चमीका लागि सरकारको तर्फबाट ५० लाख दिने निर्णय गरेको हो । विवाह पञ्चमीलाई भव्य बनाउन तथा पर्यटकको आकर्षण बढाउनका लागि महोत्सवमा खर्च हुने गरी सो रकम दिने निर्णय भएको मुख्यमन्त्री लालबाबु राउतले जानकारी दिए । यसअघि विवाह महोत्सवको लागि संघीय सरकारले कुनै सहयोग नगरेको गुनासो मन्दिरको व्यवस्थापन पक्षले गर्दै आएको थियो । प्रदेश सरकार गठन भएपश्चात मन्दिरका महन्थ तथा सरोकारवालाको सर्वपक्षीय बैठकले प्रदेश सरकारसँग विवाह पञ्चमी महोत्सवको प्रवद्र्धनको लागि सहयोग गर्न आग्रह गरेको थियो ।"
"बिदा कटौतीविरुद्ध पण्डित आक्रोशित","काठमाडौं : दसैं, तिहार, जनैपूर्णिमा, श्रीकृष्ण जन्माष्टमी जस्ता सनातनदेखि चलिआएका मौलिक धर्म संस्कृति र चाडबाडका बिदा काटिएकोमा पण्डितहरुले आपत्ति जनाएका छन् । राष्ट्रिय धर्मसभा नेपालले शुक्रबार आयोजना गरेको पाँचौँ पण्डित सम्मेलनका सहभागीले चाडबाडका बिदा कटौती अविलम्ब फिर्ता लिन माग गरेका हुन् । पूर्वमन्त्री एवं विश्व हिन्दू महासङ्घका अध्यक्ष रामचन्द्र अधिकारीले यस वर्ष कात्तिक ४ गतेदेखि नै कार्यालय खोले पनि अझै कर्मचारी आई नसकेको बताए । कोजाग्रत पूर्णिमाका दिनसम्म त कार्यालय खोल्ने कर्मचारीमात्र रहेको उल्लेख गर्दै उनले त्यस अवधिमा सेवाग्राही पनि नगएकाले अविलम्ब बिदा कटौती फिर्ता लिन माग गरे । भाषा, धर्म र संस्कृतिमाथि नियोजित तवरले आक्रमण गर्ने क्रममा कसैको इसारामा बिदा कटौती गरिएको सहभागीको जोड थियो । कार्यक्रममा नेपाल पञ्चाङ्ग निर्णायक समितिका अध्यक्ष प्रा डा रामचन्द्र गौतम, समितिका पूर्वअध्यक्ष तथा धर्मसभाका अध्यक्ष डा माधव भट्टराई, संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालयका सहसचिव एवं संस्कृति महाशाखा प्रमुख भरतमणि सुवेदी, हिन्दू जन जागृति संस्थान भारत गोवाका अध्यक्ष डा चारुदत्त पिँगले, किराँत ज्योतिष सङ्घका अध्यक्ष चन्द्रकुमार शेर्मा, लामा धर्मगुरु खिलबहादुर थिङ लामा, पर्व सुधार अभियानकर्मी हरिनारायण मल्ललगायतले नेपालका मौलिक धर्म संस्कृति संरक्षणका लागि सबैका सामूहिक आवाज आवश्यक रहेकामा जोड दिए । शनिबारसम्म चल्ने सम्मेलनमा शुक्रबार पूर्व महिला, बालबालिका तथा समाज कल्याण राज्यमन्त्री कान्ता भट्टराईले वर्तमान कानूनमा व्यवस्था भएका धर्मशास्त्रसँग बाँझिएका महिलासम्बन्धी कानुनी व्यवस्था विषयक कार्यपत्र प्रस्तुत गरिन् । यसैगरी नेपाल संस्कृत विश्व विद्यालय वाल्मीकि विद्यापीठ धर्मशास्त्र विभागका अध्यक्ष प्रा डा देवमणि भट्टराईले धार्मिक क्षेत्रमा देखिएका समस्या विषयक कार्यपत्र प्रस्तुत गरे । दुवै कार्यपत्रमाथि शनिबार छलफल गरी चारवटा सम्मेलनले पारित गरेका घोषणापत्रको कार्यान्वयनका विषयमा धर्मसभाका अध्यक्ष भट्टराईले अर्को कार्यपत्र प्रस्तुत गर्नुहुने कार्यक्रम रहेको सचिव अरुणकुमार पाण्डेले जानकारी दिए । शनिबार नै सहभागीले उठाउने धर्मशास्त्रीय विषयका जिज्ञासाको समाधान धर्मशास्त्रविद्ले गर्ने गरी व्यवस्था मिलाइएको जनाइएको छ । सम्मेलनमा हिन्दू, बौद्ध, जैन, सिख समुदायका पण्डित, पुरोहित, लामा, ज्योतिषी गरी ५०० भन्दा बढीको सहभागिता छ । सम्मेलनमा भाग लिन भारतबाट ३० जना पण्डितको समूह आएको छ । नेपालका मौलिक धर्म, संस्कार, संस्कृति र परम्परालाई जीवन्त राख्ने उद्देश्यले सम्मेलन आयोजना गरिएको हो । काजक्रिया घटाउने, आशौच र व्रत खण्डीत गर्नेलगायत गतिविधिले मौलिक धर्म संस्कृतिमाथि आघात पुग्न थालेकाले संरक्षणमा राज्यको ध्यान जानुपर्नेमा सहभागीले जोड दिएका छन् । बृहत् नेपाली शब्दकोशले शास्त्रको तात्पर्य राम्ररी बुझेका विद्वान् व्यक्ति, शास्त्रवेत्ता, सत् र असत् छुट्याउने बुद्धि भएको व्यक्ति लाई पण्डित भनी अर्थ गरेको छ । सम्मेलनले यसअघि नै जारी गरेको पण्डितको आचारसंहिता पालनाका लागि सरकारीस्तरबाट नीतिगत व्यवस्था गर्न पनि सहभागीले माग गरेका छन् । पूर्णप्रसाद मिश्ररासस"
"श्रीलंकामा पूर्वराष्ट्रपति महिन्दा राजपाक्षे अचानक प्रधानमन्त्री बने","काेलम्बाे ः श्रीलंकामा पूर्व राष्ट्रपति महिन्दा राजपाक्षे नाटकीय रुपमा प्रधानमन्त्री बनेका छन् । राष्ट्रपति सिरीसेना मैत्रीपालाले प्रधानमन्त्री रनिल बिक्रमासिंघेलाई पदमुक्त गरी नयॉ प्रधानमन्त्रीको रुपमा पूर्वराष्ट्रपति महिन्दा राजापाक्षेलाई नियुक्त गरी सपथ ग्रहण गराएका हुन् । यसअघिको चुनावमा सिरीसेना मैत्रीपालासँग पराजित बनेका राजपाक्षे अचानक प्रधानमन्त्री बनेको घटनालाई चासोका साथ हेरिएको छ । मैत्रिपालाले आफ्नै विरोधीलाई आफ्नै सरकारमा महत्वपूर्ण पद दिँदै सबैलाई चकित पारिदिएको भनी अन्तर्राष्ट्रिय मिडियाले टिप्पणी गरेका छन् । पछिल्लो केही हप्तायता राष्ट्रपति र प्रधानमन्त्रीबीच सरकार चलाउने विषयमा रस्साकस्सी चल्दै आएको थियो । यही सन्दर्भमा राष्ट्रपति मैत्रिपालाले नयाँ प्रधानमन्त्रीको रुपमा राजपाक्षेलाई नियुक्त गरेका हुन् ।"
