"शीर्षक","विवरण"
"मोटरसाइकल दुर्घटनामा वृद्धाको मृत्यु","मलङ्वा : सर्लाही सदरमुकाम मलङ्वामा मंगलबार दिउँसो मोटरसाइकल दुर्घटनामा परी एक वृद्धाको मृत्यु भएको छ । दुर्घटनामा घाइते वृद्धाको उपचारका क्रममा मृत्यु भएको प्रहरीको भनाइ छ । हरिपुर नगरपालिका २ की अन्दाजी ६५ वर्षीया मोसतकीमा खातुनको मृत्यु भएको हो । ना ३ प ५५४ नम्बरको मोटरसाइकलमा चढेर हरिपुरबाट मलङ्वातर्फ आउँदै गरेको अवस्थामा मलङ्वा ४ शिवसागर चौकमा दर्घटना हुँदा उनी गम्भीर घाइते भएकी थिइन् ।"
"सीके राउतको पार्टीको अभियान नवलपरासीका गाउँगाउँमा","परासी : स्वतन्त्र मधेस गठबन्धनको माग गर्ने सीके राउत नेतृत्वको जनमत पार्टी ले पश्चिम नवलपरासीका विभिन्न गाउँमा जन अभियान सञ्चालन गरेको छ । जिल्लामा रहेको गठबन्धनलाई समेत पुनर्गठन गरी नयाँ समिति बनाइएको छ । श्रीकृष्ण यादवको अध्यक्षतामा २१ सदस्यीय जिल्ला समिति मंगलबार गठन गरेको जनमत पार्टीका पदाधिकारीले बताएका छन् । सरकारसँग भएको सहमति र नयाँ पार्टी गठनको औचित्यका बारेमा जनतालाई जानकारी दिन उनीहरुको सुझाव संकलन गर्न नेताहरु गाउँ अभियानमा लागेको बताएका छन् । अन्तरक्रिया र कोणसभाको आयोजना गरेर नेताहरुले पार्टीप्रति जनताको धारणा बुझन् लागेको बताएका थिए । अभियानमा केन्द्रीय र जिल्ला नेताहरु सहभागी छन् । प्रतापपुरको हर्कपुरा चोकमा मंगलबार कोणसभाको आयोजना गरेर नेताहरुले अभियान सुरु भयो । केन्द्रीय सदस्य धु्रव गौडका अनुसार पार्टी गठनपछि कार्यकर्ताहरुमा रहेको अन्योलता हटाउन अभियान सञ्चालन भएको हो ।"
"यी ब्रुमरले बढार्नेछन् काठमाडौं (फोटो फिचर)","काठमाडौं : काठमाडौँ महानगरपालिकाले ब्रुमर (यान्त्रिक कुचो) प्रयोग गरी सडक सफा गर्न सुरु गरेको छ । कामपाले मंगलबार कार्यक्रम गरी गत फागुन २८ गते इटलीबाट ल्याइएका पाँच ब्रुमर प्रयोगमा ल्याएको जनाएको हो । कार्यक्रममा कामपाका प्रमुख विद्यासुन्दर शाक्यले हरेक दिन साँझ आठ बजेदेखि बिहान चार बजेसम्म सडक सफाई कार्य हुने जानकारी दिए । उनका अनुसार उक्त यन्त्र दैनिक आठ घण्टा प्रयोग गरिनेछ । कामपाका उपप्रमुख हरिप्रभा खड्की (श्रेष्ठ) ले यस यन्त्रलाई प्रभावकारी रुपमा सञ्चालन गर्नको लागि सडक विभागको मातहतमा रहेको सडकमा रहेका खाल्डाखुल्डी पुर्न अत्यावश्यक रहेको जानकारी गराए । कामपामा प्रमुख प्रशासकीय अधिकृत यादवप्रसाद कोइरालाका अनुसार काठमाडौंलाई धुलोमुक्त बनाउन पाँच ब्रुमर अपुग रहेको भन्दै १५ वटा आवश्यक रहेको बताए । कानुनी रुपमा आठ मिटरभन्दा कम चौडाइका सडक मात्र कामपाको जिम्मेवारीमा पर्छ । ती ब्रुमर रु १० करोड ८० लाखमा ल्याइएको हो । यसअघि विशिष्ट व्यक्तिको आवतजावत रहेका बेला सडक विभाग र महानगरपालिकाले आपसी समन्वय गर्दै विभागसँग रहेका दुई ब्रुमरले सडक सफा गरिँदै आएको थियो । कामपासँग यसअघि रहेको एक ब्रुमर पनि काम गर्न नमिल्ने अवस्थामा रहेको कामपाले जनाएको छ । गत असारमा गरिएको बोलपत्रको आधारमा उक्त यन्त्र ल्याइएको हो । पाँच ब्रुमरमध्ये चार वटा १६ टन क्षमता बराबरका तथा अर्को एउटा छ टन क्षमताका छन् । ती ब्रुमरमा दिनमा १० किलोमिटरसम्मको धूलो सङ्कलन गर्न सक्ने क्षमताको रहेको छ । यूरो मापदण्डका भनिएका उक्त ब्रुमरमा अगाडि, बीचमा र पछाडि भागको दायाँबायाँ गरी प्लास्टिकका चार ब्रससहित धूलो तान्न सक्ने शक्तिशाली पाइप जडान गरिएको छ । पछिल्लो समय निर्माण कार्य तीव्र रुपमा भई धूलो बढिरहेका अवस्थामा ती ब्रुमरले ठूलो सहयोग पुग्ने विश्वास कामपाले लिएको छ । यी ब्रुमर सञ्चालनको लागि हाल पाँच वटा सडक क्षेत्र तय गरिएको छ जसमा टेकुबाट शुरु गरी सोल्टीमोड हुँदै कलङ्की, त्रिपुरेश्वर, सुन्धारा, नयाँ सडक, जुद्ध सालिक, महाङ्काल, जमल, लाजिम्पाट, शितल निवास, शिक्षण अस्पताल, नारायण गोपाल चोकसम्म रहेको छ । त्यस्तै टेकुबाट शुरु गरी त्रिपुरेश्वर, थापाथली, माइतीघर, बबरमहल, बानेश्वर, तीनकुने हुँदै अन्तर्राष्ट्रिय विमानस्थलसम्म र त्यहाँबाट फर्किएर तीनकुनेबाट कोटेश्वर, पेप्सिकोलासम्म दोस्रो क्षेत्रका सडक रहेको छ । टेकुबाट सुन्धारा हुँदै भोटाहिटी, विश्वज्योति, घण्टाघर, भद्रकाली, सिंहदरबार, पुतलीसडक, कमलादीमोड, हात्तीसार, जय नेपाल हल, दरबार मार्ग, कमलादी प्रज्ञा भवन पछाडिबाट काठमाडौँ प्लाजासम्मको रहेको छ । दरबारमार्गमा रहेको महेन्द्र शालिकबाट नारायणहीटी हुँदै केशरमहल चोक, त्यहाँबाट लाजिम्पाटतर्फ खानी तथा भूगर्भविभाग अगाडिको चोक, नारायणहिटी उत्तर गेट, गैरी धारा, प्रधानमन्त्री निवास, रसियन दूतावास, हुँदै शितल निवास, पानी पोखरी, लौनचौर, सोह्रखुट्टेसम्मको सडक सफा गरिने छ । त्यस्तै कमलपोखरी, ज्ञानेश्वर, मैतीदेवी, पुरानो बानेश्वर, सिनामङ्गल एअरपोर्ट गेट, गौशाला, चाबहिल, होटल हायात चुचेपाटी, बत्तीसपुतली, प्रदर्शनी मार्ग रहेको छ । पाँचौँ क्षेत्र अन्तर्गत न्युरोड गेट, वसन्तपुर, इन्द्रचोक, केशरमहलबाट त्रिदेवीमार्ग, रत्नराज्य स्कुल, थापागाउँ, अन्तर्राष्ट्रिय सम्मेलन केन्द्र, सीतापाइला, बालाजु, गोँगबु, नारायण गोपाल चोक, चाबहिलको सडक सफा गर्ने छ । शर्मिला पाठकरासस हेर्नुस् अशोक दुलालले खिचेका थप फोटोहरू ।"
"अछाममा विप्लव समूह र प्रहरीबीच गोली हानाहान","अछाम : अछाममा नेत्रविक्रम चन्द विप्लव समूहका कार्यकर्ता र प्रहरीबीच दोहोरो गोली हानाहान भएको छ । रामारोशन गाउँपालिकाको बाटुलासैनमा विप्लव समूहका कार्यकर्तालाई पक्राउ गर्ने क्रममा मंगलबार दिउँसो दोहोरो गोली चलेको हो । विप्लव समूहबाट पहिला गोली चलेपछि प्रहरी गोली चलाउन बाध्य भएको प्रहरीको भनाइ छ । बाटुलासैनमा विप्लव समूहका कार्यकर्ता लुकेर बसेको सूचनाको आधारमा प्रहरी त्यहाँ पुगेको थियो । प्रहरीले त्यहाँँबाट चारजना पक्राउ गरेको छ । पहिला उनीहरुले गोली चलाए, डिएसपी जनक शाहीले भने, त्यसपछि जवाफी कारबाहीका लागि प्रहरी गोली चलाउन बाध्य भएको हो । डिएसपी शाहीले चार पक्राउ परेको पुष्टि गरे । थप विवरण भने आउन बाँकी छ । पक्राउ पर्नेमा अखिल क्रान्तिकारीका जिल्ला कोषाध्यक्ष सुरेश रावत, युवा संगठनका जिल्ला सदस्य सुरेश साउद, अनेम संघ क्रान्तिकारीका भूमिसरा धामी, युवा संगठनका राजेन्द्र धामी रहेका छन् । प्रहरीको घेराबन्दीबाट भाग्ने क्रममा नेकपा अछामका इन्चार्ज शेरबहादुर बिकको खुट्टामा चोट लागेको र आफूहरु गोली चलाउन बाध्य भएको नेकपाको दाबी छ ।"
"झापामा एक बृद्धको शव भेटियो","बिर्तामोड : झापाको बुद्धशान्ति गाउँपालिकास्थित हपडया खोलामा डुबेको अवस्थामा एक बृद्धको शव फेला परेको छ । बुद्धशान्ति गाउँपालिका१ मा रहेको हडिया खोलाको गणेश पैनीमा सोही स्थानका ६१ वर्षीय लालबहादुर लिम्बूको शव फेला परेको जिल्ला प्रहरी कार्यालय झापाले जनाएको छ । मंगलबार बिहान उनको शव फेला परेपछि पोस्टमार्टमका लागि मेची अञ्चल अस्पताल भद्रपुर पठाइएको जिल्ला प्रहरी कार्यालय झापाका प्रहरी प्रवक्ता महेन्द्र कुमार श्रेष्ठले बताए ।"
"""हावाहुरीले झापामा विद्युत् सेवा अवरुद्ध","प्रहरी बिट नै पल्टियो"",""बिर्तामोड : मंगलबार बिहान पानीसँगै आएको हावाहुरीले झापाका विभिन्न स्थानमा विद्युत अवरुद्ध पार्नुका साथै घरका छाना नै उडाएको छ । भद्रपुरस्थित सगरमाथा चोकमा रहेको प्रहरी बिटको भवन त पल्टिएको छ । हावाहुरीले भद्रपुर नगरपालिका८ सगरमाथा चोकमा रहेको प्रहरी बिट पल्टाएको हो । यस्तै कचनकवल गाउँपालिका६ का झड्कन ठाकुरको घरको टिनको छानो उडाएर क्षति पुगेको जिल्ला प्रहरी कार्यालय झापाले जनाएको छ । झापाका प्रहरी प्रवक्ता महेन्द्रकुमार श्रेष्ठका अनुसार मंगलबार बिहानको हावाहुरीले भद्रपुरमा प्रहरी बिट, कचनकवलमा घरको छाना र मेचीनगर नगरपालिका १५ नाङ्गन टोलका नरेन्द्र लिम्बूको घरको टिन उडाएको छ । साथै गौरादह, भद्रपुर र बिर्तामोड नगरपालिका क्षेत्रमा हावाहुरीले विद्युतको पोल रुख ढाल्दा विद्युत सेवा बिहानैदेखि अवरुद्ध भएको प्रहरीले जनाएको छ । गौरादह नगरपालिका७ ग्वालडुब्बामा एउटा, भद्रपुर नगरपालिका १० विमानस्थल पूर्वमा एउटा र बिर्तामोड नगरपालिका५ महानन्द चोकमा २ वटा बिजुलीको पोल ढलेको छ । बिहानैदेखि विद्युत सेवा अवरुद्ध हुँदा जिल्लाका धेरै सेवाग्राही मर्कामा परेका छन् । यस्तै मेचीनगर ननगरपालिका७ टोकला चिया बगान अगाडि रुख ढल्दा भित्रि राजमार्ग अवरुद्द रहेको प्रहरीले बताएको छ । सबै स्थानमा हावाहुरीले पुयाएको क्षतिको बिवरण संकलन गर्ने काम भइरहेको जिल्ला प्रहरी कार्यालय झापाका प्रहरी प्रवक्ता महेन्द्रकुमार श्रेष्ठले बताए ।"""
"चीनमा भेटियो २५ सय वर्ष पुरानो अन्डा","नानचिङ : पुरातत्वविद्ले चीनको च्याङसु प्रान्तमा दुई हजार ५०० वर्ष पुरानो चिहानबाट सग्लो अन्डा भेटिएको सोमबार जनाएका छन् । उत्खननका क्रममा अन्डाले भरिएको जारमा एउटा मात्र अन्डा फुटेको अवस्थामा पाइएको थियो । नानचिङ म्युजियम इन्स्टिच्यूट अफ आर्कियोलोजीका अनुसन्धाताले ल्याङ शहरको शाङसिङस्थित एउटा विशाल चिहानमा उत्खनन गर्दा ढक्कन लगाइएको माटोको भाँडोमा ती अन्डा फेला परेको बताएका छन् । मानिसको हातले छुँदा अन्डा फुट्ने त्रासका कारण अन्डा गणना गर्न एक्सरेको प्रयोग गरिएको पुरातत्वविद् चाओ हङमिङले बताए । सेतो र पहेंलो अवस्थामा भेटिएका ती अन्डा सडेको अवस्थामा छन् । तिनलाई नुनमा डुबाइएको थियो वा थिएन भन्ने बारेमा डीएनए परीक्षण गर्ने तयारी भइरहेको छ, उनले भने । अन्डाका शौखिन व्यक्तिको निधन भएपछि उनकै सम्झनामा भाँडोमा अन्डा राखेर सँगै गाडिएको हुनसक्ने अनुसन्धाताको भनाइ छ । प्राचीन चिनियाँ चिहानमा अन्डा भेटिएको यो पहिलोपटक भने होइन । अन्डा नफुटेको अवस्थामा बिरलै पाइन्छ । वैज्ञानिकहरूका अनुसार यति लामो अवधिसम्म अन्डाको बाहिरी भाग सुरक्षित रहनु निकै कठिन हो । सन् २०१५ मा चीनको दक्षिणपश्चिम क्वाइचाओ प्रान्तमा पुरातत्वविद्हरूले दुई हजार वर्षभन्दा अघिको चिहानमा पनि अन्डा फेला पारेका थिए, तर उत्खननका क्रममा हातले छोएका कारण त्यस अन्डाको बाहिरी भाग फुटेको थियो । सिन्ह्वा"
"आईपीएल : दिल्लीको दोस्रो खेलको प्लेइङ ११ मा पनि सन्दीप परेनन्","काठमाडौं : इन्डिन प्रिमियर लिग (आईपीएल)मा सहभागी नेपालका एकमात्र क्रिकेटर सन्दीप लामिछाने दिल्ली क्यापिटलको दोस्रो खेलमा समेत प्लेइङ ११ परेनन् । सन्दीप आईपीएलमा दोस्रो पटक दिल्लीबाट सहभागी भएका छन् । सन्दीप आईपीएलमा आवद्ध भएपछि नेपालमा यसको क्रेज बढेको छ । दिल्लीको आइतबार भएको पहिलो खेलको प्लेइङ ११ समेत नपरेका सन्दीप दोस्रो खेलमा समेत नसमेटिएका हुन् । पहिलो खेलमा दिल्लीले आइतबार राति मुम्बइ इन्डियन्सलाई ३७ रनले पराजित गरेको थियो । गतसाल सन्दीपले पछिल्ला ३ खेलमा मात्रै खेल्ने अवसर पाएका थिए । सन् २००८ देखि सुरु भएको आईपीएलको यो १२ औं संस्करण हो । उद्घाटन खेलमा महेन्द्रसिंह धोनीको कप्तानीमा रहेको चेन्नई सुपर किङ्सले विराट कोहली कप्तान रहेको रोयल च्यालेन्जस् बैंगलोरलाई पराजित गरेको थियो । दिल्लीले धोनीको कप्तानीमा रहेको चेन्नईको सामना गर्दैछ । पहिलो खेलमा टस हारी पहिले ब्याटिङको निम्तो पाएको दिल्लीले निर्धारित २० ओभरमा ६ विकेट गुमाएर २१३ रन बनाएको थियो । जवाफी ब्याटिङमा ओर्लिएको मुम्बईले भने १९ ।२ ओभरमा अलआउट हुनुअघि १७६ रनमात्र बनाउन सकेको थियो । पहिले ब्याटिङ गरेको दिल्लीका लागि विकेटकिपर ब्याट्सम्यान रिसव पन्तले आक्रामक पाली खेल्दै अविजित ७८ रनको योगदान गरेका थिए । उनले केवल २७ बलको सामना गरी ७ छक्का र ७ चौका प्रहार गरे । उनी म्यान अफ दी म्याच बने । दिल्लीका लागि कोलिन इन्ग्रामले पनि ४७ रन बनाए । उनले ३२ बलमा एक छक्का र सात चौका प्रहार गरे । ओपनर शिखर धवनले पनि टोलीको खातामा ४३ रन थपे । उनले ३६ बलको सामना गरी एक छक्का र चार चौका हिर्काएका थिए । विशाल लक्ष्य पछ्याउँदै जवाफी ब्याटिङमा ओर्लिएको मुम्बईका लागि युवराज सिंहले ५३ रन बनाए पनि टोलीको जितका लागि त्यो पर्याप्त हुन सकेन । उनले ३५ बलको सामना गरी तीन छक्का र पाँच चौका पनि प्रहार गरेका थिए । मुम्बईका लागि क्रुनाल पाण्डेयले १५ बलमा एक छक्का र पाँच चौकाको मद्दतले ३२ तथा ओपनर क्विन्टन डी ककले १६ बलमा एक छक्का र चार चौकाको मद्दतले २७ रन जोडेका थिए । मुम्बईलाई लक्ष्यसम्म पुग्न नदिन दिल्लीका बलर इशान्त शर्मा र कागिसो राबडाले दुईदुई विकेट लिएका थिए । आजदेखि आईपीएल : सन्दीप लामिछानेको टिमको पहिलो खेल आइतबार"
"सप्तरीमा पनि विप्लव समुहका ईन्चार्जसहित तीनजना पक्राउ","राजविराज : नेत्रविक्रम चन्द विप्लव समुहका जिल्ला ईन्चार्ज सहित तीनजना कार्यकर्तालाई प्रहरीले पक्राउ गरेको छ । सप्तरीका विभिन्न स्थानबाट तेजनारायण यादव, नुन्नु राम र गणपति साहलाई प्रहरीले मंगलबार पक्राउ गरेको हो । ४० वर्षीय तेजनारायण छिन्नमस्ता गाउँपालिका१ का हुन् । ५२ वर्षीय नुन्नु कञ्चनरुप नगरपालिका६ का हुन् । गणपति भने शम्भुनाथ नगरपालिका६ का बासिन्दा हुन् । प्रहरी उपरीक्षक राजेन्द्र विष्टका अनुसार यादव जिल्ला इन्चार्ज हुन् भने अन्य दुई जिल्ला सदस्य हुन् । उनीहरुलाई घरबाटै प्रहरीले पक्राउ गरेको हो । प्रहरीले विप्लब समुहमा संलग्न रहेको आरोपमा अन्य व्यक्तिहरुलाई पनि पक्राउ गरेर अनुसन्धान गरिरहेको छ । पक्राउ परेका तीनैजनालाई जिल्ला प्रहरी कार्यालय सप्तरीमा नियन्त्रणमा राखी अनुसन्धान भइरहेको प्रहरीले जनाएको छ ।"
"खानेपानी मन्त्री बिनाका पूर्वपति शंकरका दुःख: माओवादी युद्धमा १० वर्ष जेल","भनिन्छ, दुःख र सुखको संगम हो जिन्दगी । मान्छेका दुःख असिमित र भिन्नभिन्न हुन्छन् । अझ, राजनीतिमा साइनो राख्नेहरु दुखैदुःखको भूमरीमा रुमलिएका हुन्छन् । यस्तै मध्येका एक पात्र हुन् शंकर अधिकारी । नेत्रविक्रम चन्द नेतृत्वको नेकपाका रौतहट जिल्ला इन्चार्ज अधिकारी अहिले हिरासतमा छन् । उमेरले झण्डै चार दशक यात्रा गरिसक्दा उनी गम्भीर मुद्दामा हिरासतमा छन् । उनलाई प्रहरीले हतियार खरखजाना, राज्यविरुद्धको अपराध र विस्फोटक पदार्थको मुद्दा लगाउने तयारी गरेको छ । खानेपानि मन्त्री बिना मगरका पूर्वपति समेत हुन् शंकर । उनी शनिबार काभ्रेबाट पक्राउ परेका हुन् । प्रहरीका अनुसार बम, पेस्तोल र बम बनाउने सामग्री तथा विभिन्न राजनीतिक दस्तावेजसहित नेकपाका मध्यकमाण्ड इन्चार्ज हेमन्तप्रकाश वली सुदर्शनसहित अन्य ८ जनासँगै उनी प्रक्राउ परेका हुन् । १७ वर्षे कलिलो उमेरका शंकरलाई प्रहरीले यसैगरी २० वर्षअघि ललितपुरको ठूलो दुलुङबाट पक्राउ गरेको थियो । पहिलो पटक पक्राउ पर्दा उनी तत्कालीन नेकपा माओवादीको सशस्त्र विद्रोहमा संलग्न थिए । अहिले नेत्र विक्रमचन्द नेतृत्वको प्रतिबन्धित नेकपामा आवद्ध छन् । शंकरसँग के थिएन ? बुबा नेपाली सेनाका रिटार्यड मेजर थिए । परिवारमा सुखको बहार थियो । परिवारमा अभाव कहिल्यै थिएन । तर, शंकर माओवादी विद्रोहको पहिरोबाट टाढिन सकेनन् । हजारौं युवा जसरी उनी सशस्त्र विद्रोहमा समेल भए । त्यसपछि शंकरको जीवनले भयानक यात्रा तय गर्यो । धादिङमा जन्मिएका शंकरलाई बुवाको जागिरले सुर्खेत पुर्यायो । त्यहाँबाट उनले एसएलसी गरेका थिए । त्यसपछि काठमाडौं आएका उनी काठमाडौंमा माओवादीप्रति झुकाव राख्न थाले । त्यसबेला उनको सम्पर्कमा थिए शिव किरिङ । माओवादीलाई बुझ्ने र आन्दोलनमा समाहित हुने उद्देश्यले उनी ०५५ मा काभ्रे पुगे । नेत्रविक्रम चन्द नेतृत्वकै उपत्यका इन्चार्ज माइला लामासँग उनको त्यसबेला काभ्रेमा भेट भयो । उनी प्रभावित भइहाले । प्रभावित भएपछि उनी माओवादी आन्दोलनमा जोडिए । पार्टीका जनवर्गीय संगठनमा भन्दा पनि सिधै पार्टीकै काममा उनी त्यसपछि खटिन थाले । ललितपुर ठूलो दुलुङमा ०५५ सालमा उनी गिरफ्तारीमा परे ।। उनी पक्राउ पर्दा माओवादीविरुद्द प्रहरीले देशका विभिन्न स्थानमा किलोशेरा टु नामक अप्रेशन चलाइरहेको थियो । प्रक्राउपछि त्यसबेला पनि अहिले जस्तै उनलाई हातहतियार तथा खरखजाना मुद्दा नै चलाइएको थियो । ८ वर्ष लामो त्यसबेलाको जेल जीवनका क्रममा उनी उपत्यकाका प्राय सबै जेलमा बसे । कहिले नख्खु कारागार त कहिले केन्द्रीय कारागार सेन्टल जेलमा । संकटकालका बेला उनलाई सुन्दरीजल जेलमा समेत लगियो । पछि उनी डिल्लीबजार सदरखोरमा थिए । जब माओवादी ०६२०६३ को जनआन्दोलनपछि शान्ति प्रक्रियामा आयो, त्यसपछि मात्र उनी सदरखोरबाट रिहा भए । जेलबाट बाहिर आएपछि उनी पुनः पार्टीको सक्रिय राजनीतिमा लागे । त्यही समयमा काठमाडौंका विभिन्न कार्यक्रममा पार्टीले आयोजना गर्ने कार्यक्रममा भेटिइन् अहिलेकी खानेपानीमन्त्री बिना मगर । बिना त्यो बेला माओवादी निकट विद्यार्थी संगठन अखिल क्रान्तिकारीको केन्द्रीय सदस्य तथा काठमाडौं जिल्ला समितिकी अध्यक्ष थिइन् । शंकर भने पार्टीको राजनीतिमा थिए । उपत्यकाभित्र पार्टी र जनवर्गीय संगठनमा काम गर्ने क्रममा हुने भेटले शंकर र बिना नजिक भए । काम गर्ने क्रममै बिना र शंकरबीच प्रेम बस्यो । ०६८ सालमा उनीहरूले जनवादी विवाह गरे । तर त्यो विवाह लामो समय टिकेन । त्यसबेला माओवादी पार्टीभित्रको चर्को अन्तरसंर्घषका क्रममा बिना अध्यक्ष प्रचण्ड तिर र शंकर वरिष्ठ नेता मोहन वैद्य किरण तिर लागेका थिए । यो विवादले पार्टी विभाजन भयो । उनीहरु पनि अलग अलग पार्टीमा रहेर काम गरे । यसो हुदा पनि दुईबीचको सम्बन्धमा ब्रेक लागेको थिएन । तर जब बिना प्रचण्डका छोरा प्रकाश दाहाल (स्वर्गीय) सँगसँगै सगरमाथा चढन जाने सोचमा पुगिन्, त्यसपछि भने दुईको सम्बन्धमा दरार पैदा भयो । अन्तत उनीहरुको सम्बन्ध टुंगियो । बिनाले शंकरलाई छोडेर प्रकाश दाहाललाई रोजिन् । शंकरको जीवनमा आएको यो अर्को दुःख थियो । समय क्रममा वैद्य माओवादी पनि फुट्यो । शंकर विप्लवतिर लागे । संगठनको काम सँगै उनले जीवनयापनका लागि आफ्नै व्यवसाय गर्न थाले । केही समय मासु पसल चलाए । बालाजु लोकतानित्रक चोकमा उनले मासु पसल चलाउँदै पार्टी काम गर्थे । हेर्दा ह्यान्सी देखिने उनले बिनासँगको सम्बन्धमा ब्रेकपछि अर्को विवाह गर्न कहिल्यै सोचेनन् । उनी निरन्तर पार्टीको काममा लागिरहे । उनको कामको मूल्यांकन गर्दै पार्टीले उनलाई पछि रौतहट जिल्ला इन्चार्ज बनाएर पठायो । उनी काठमाडौंको मासु पसल छोडेर जिम्मेवारी निर्वाह गर्न पुगे । शुक्रबार मात्रै उपत्यका छिरेका उनी शनिबार फेरि काभ्रेबाट पक्राउ परे । अहिले उनी विरुद्ध ललितपुर जिल्ला अदालतमा मुद्दा चलाउनका लागि प्रहरीले ८ दिनको म्याद थप गरेर अनुसन्धान गरिराखेको छ । विप्लव नेतृत्वको नेतालाई नियन्त्रणमा लिने क्रममा उनी पक्राउ परेका हुन् । यो पटक उनको जेल जीवन कति लामो हुन्छ, त्यो उनलाई नै पनि थाहा छैन । तर पनि उनी प्रहरीले ललितपुर अदालतमा म्याद थप गर्न ल्याउदा हाँस्दै आएका थिए । उनका पहिलो पटकका जेल पार्टनर अशोक खडका अहिले क्यानडामा छन् । उनले शंकरको जीवनको दुखैदु;खलाई सामाजिक सन्जाल फेसबुकमा यसरी सम्झिएका छन् : बाउ आर्मीको मेजर थिए, उ १५ वर्षकै उमेरमा जनयुद्धमा लागेर ८ वर्ष जेल पर्यो , जेलबाट निस्केपछि हालकी बाहालवाला खानेपानी मन्त्री बिना मगरसँगग बिहे गयो तर विवाह लामो समय टिकेन । फेरि आज विप्लवी कार्यकर्ताको रुपमा लामो समय जेल बस्नुपर्ने हुन सक्ने गरी शंकर अधिकारी पक्राउ परेछ । मान्छेका दुःख कहिल्यै सकिन्न । प्रक्राउ परेका सबे नेता कार्यकर्तालाई राजनीतिक व्यवहार गरियोस ।"
