"शीर्षक","विवरण"
"आयोजक मकवानपुर सहिद स्मृति फुटबलको फाइनलमा","हेटौंडा : आयोजक मकवानपुर ११ सहिद स्मृति राष्ट्रिय फुटबल प्रतियोगिताको फाइनलमा प्रवेश गरेको छ । हेटौंडा १० स्थित वन विज्ञान मैदानमा बुधबार भएको खेलमा नेपाल पुलिस क्लबलाई १० गोलले हराउँदै मकवानपुर उपाधि नजिक पुगेको हो । मकवानपुरका रेजिन सुब्बाले खेलको ७८औं मिनेटमा गरेको गोल नै निर्णायक बनेको थियो । सुब्बा आयोजकलाई फाइनलमा प्रवेश गराउँदै खेलको म्यान अफ दी म्याचसमेत भए । उनले नगद १० हजार रुपैयाँ प्राप्त गरे । खेलको पहिलो हाफमा पुलिसले गोल गर्ने केही राम्रा अवसर पाए पनि सदुपयोग गर्न सकेन । मकवानपुरका गोलरक्षक तथा कप्तान अशोक बरालले खेलभर पुलिसका आधा दर्जनभन्दा बढी प्रहार बचाएका थिए । खेलपछि मकवानपुरका प्रशिक्षक विजयलाल श्रेष्ठले पुलिस क्लबविरुद्ध बनाएको रणनीति सफल भएको बताए । हामीले बनाएको रणनीति सफल भयो । उनले भने अझ बढी गोल अपेक्षा गरिए पनि एक गोलमै चित्त बुझाउनुपयो । कप्तान अशोक बरालले टोलीको प्रदर्शनबाट सन्तुष्ट रहेको बताए । प्रतियोगिताको उपाधि जितेर घरेलु समर्थकलाई उपाहार दिने लक्ष्य छ उनले भने । नेपाल पुलिस क्लबका प्रशिक्षक अनन्तराज थापाले राम्रो अवसरको सदुपयोग गर्न नसक्दा हार बेहोर्नु परेको बताए । नयाँ र पुराना खेलाडी सेट हुन नसक्दा गोल गर्न नसकिएको बताए । प्रतियोगिताअन्तर्गत बिहीबार थ्रीस्टार र क्यामरुनी टोली दाउफिन्सबीच प्रतिस्पर्धा हुनेछ । प्रतियोगिताका विजेताले आठ लाख र उपविजेताले चार लाख रुपैयाँ पुरस्कार प्राप्त गर्नेछन् ।"
"नाटक देखाउन बेलारुस","काठमाडौं : लालाबाला समूहबाट ११ बालबालिका नाटक प्रस्तुतिका लागि बुधबार यूरोपको बेलारुस गएका छन् । बेलारुसको मिन्स्कमा हिरोज डन्ट कम शीर्षकमा प्रतियोगितात्मक नाटक देखाउन गएको काठमाडौं प्रज्ञा कुञ्ज स्कुल बानेश्वरकी प्रिन्सिपल सुनिता पौडेलले जानकारी दिइन् । प्रज्ञा कुञ्जबाट अञ्चित ढुंगाना, अद्धैत थापा, अभिनित चौलागाईं, अविरल काफ्ले, आरेन नेपाल, आरुस राणा, उदिती मण्डल, राज्यरोहण लम्साल र सम्पन्न दाहाल छन् भने ब्राइटफ्यूचर स्कुलबाट प्रशान्त हुमागाई र पारागन स्कुलबाट शुभेच्छा तिमिल्सिनाले अभिनय गर्नेछन् । नाटक प्रकेश सिन्धुलीयले लेखेका हुन् भने निर्देशन टंक चौलागाईले गरेका छन् । लेखक, निर्देशक र प्रज्ञा कुञ्जकी शिक्षिका बालिका घिमिरे पनि त्यसतर्फ गएका छन् । सोलिगोस्र्क चिल्ड्रेन्स आर्ट स्कुलको आयोजनामा मार्च २८ देखि ३१ सम्म हुने ट्रिट्रन लाइन २०१९ मा दक्षिण एसियाबाटै नेपाल र नेपालका तर्फबाट उक्त समूहले प्रतिस्पर्धामा भाग लिने निर्देशक चौलागाईले जानकारी दिए ।"
"एसईई परीक्षा : सेटिङमा चिट चोर्न मोबाइल सुविधा !","राजविराज : एसईई परीक्षामा सेटिङमै मोबाइलबाट चिट चोर्ने सुविधा दिने गरिएको भेटिएको छ । मोबाइल प्रयोगको सुविधा उपलब्ध गराइएको आरोपमा बुधबार बसेको माध्यमिक शिक्षा परीक्षा सञ्चालन समन्वय समितिको बैठकले कमलेश्वरी किशुन झौलाई मावि वनरझुला केन्द्रका केन्द्राध्यक्ष रामअवतार गुप्ता र सह केन्द्राध्यक्ष देवनारायण मण्डललाई जिम्मेवारीबाट हटाएको छ । केन्द्राध्यक्षमा बुद्धिलाल विद्या मुनर मावि भगवतपुरका प्रधानाध्यापक गजेन्द्रप्रसाद दासलाई खटाइने निर्णय भएको प्रमुख जिल्ला अधिकारी सुरेन्द्र पौडेलले जानकारी दिए । वनरझुला केन्द्रमा मोबाइलबाट चिट चोरेको भेटिएपछि अन्य चारजना निरीक्षक पनि रंगेहात पक्राउ परेका छन् । पक्राउ परेका खडक नगरपालिका ९ का मनोजकुमार चौधरी र वडा नम्बर १० का रामसुन्दर चौधरी, सुरुङ्गा नगरपालिका ४ का लगेन्द्रप्रसाद चौधरी र वडा नम्बर ८ का रामानन्द चौधरीलाई शिक्षा ऐन बमोजिम काारबाही हुने भएको छ । चिटका लागि प्रयोग भएकाा २२४ वटा मोबाइल फोन बरामद गरिएको छ । पक्राउ परेका केनद्राध्यक्ष र निरीक्षकहरुलाई तत्काल परीक्षा केन्द्रबाट निष्कासित गरी इलाका प्रहरी कार्यालय कडरबोना हुँदै जिल्ला प्रहरी कार्यालय पठाइएको इप्रका कडरबोनाका इन्स्पेक्टर सुरेन्द्र श्रेष्ठले जानकारी दिए । परीक्षा केन्द्रमा बिहान आठ बजेदेखि सुरु भएको गणित विषयको परीक्षामा बुधबार अधिकांश परीक्षा केन्द्रबाट धेरै संख्यामा मोबाइल बरामद भएपछि मोबाइल सुविधा दिने गरिएको पुष्टि भएको हो । परीक्षा केन्द्रमा प्रवेश गर्नुअघि प्रवेशपत्र र शरीर चेकजाँच गर्ने गरिए पनि परिक्षार्थीले चिट चोर्न गेस पेपर र कागजको साटो मोबाइल प्रयोग गर्न थालेको पाइएपछि चेकजाँचका क्रममा मोबाइलहरु बरामद भएको हो । बुधबार महावीर मावि हनुमाननगरबाट परीक्षा दिइरहेका मधुकुमारी मण्डल, भूपेन्द्रकुमार साह र बैजु राम पक्राउ परेको विद्यालयले जनाएको छ । उनीहरुले लवन मावि बमनगामा कट्टीबाट परीक्षा फारम भरेका थिए । चिट चोर्न मोबाइल प्रयोग गरेको पाइएकाले उनीहरुको आजको परीक्षा रद्द गरिएको केन्द्राध्यक्ष डम्बरनारायण यादवले बताए । त्यसैगरी कन्छु नरप्रताप मावि नकटी रायपुरबाट रामसागर यादवसहित दुई परीक्षार्थी र बमनगामा कट्टी परीक्षा केन्द्रबाट परीक्षा दिइरहेका एक परीक्षार्थी पनि बुधबार पक्राउ परेका छन् । तिलाठी कोइलाडी लौनियाका बुधेश्वर यादवलाई मोबाइल प्रयोग गरेको पाइएपछि पक्राउ गरिएको जिल्ला शिक्षा विकास तथा समन्वय इकाईले पुष्टि गरेको छ । परीक्षा केन्द्रमा विद्युतीय सामाग्री ल्याउन निषेध गरिए पनि जुत्ता र संवेदनशील अंगमा लुकाएर ल्याउने गरेको र चिट चोर्न प्रयोग गर्ने गरेको जिल्ला शिक्षा विकास तथा समन्वय इकाईका वीरेन्द्र चौधरीले बताए । उता पक्राउ परेका परीक्षार्थीले केन्द्राध्यक्ष, शिक्षक र शिक्षा कार्यालयका कर्मचारीकै संलग्नतामा मोबाइलको सुविधा पाइएको बताएका छन् । जनता मावि बसबिट्टीबाट परीक्षा दिइरहेका दुई विद्यार्थीले पनि मोबाइल प्रयोग गरेको फेला परेपछि उनीहरुलाई बुधबार प्रहरीले नियन्त्रणमा लिएको छ । पहिलो दिन फेला परेको ोबाइल अनुसन्धानका क्रममा ह्याप्पीलेण्ड सेकेण्डरी माविका अनिल साह र विमल दासको रहेको पत्ता लागेपछि बुधबारको परीक्षा सकिने बित्तिकै उनीहरुलाई प्रहरीले नियन्त्रणमा लिएको छ । परीक्षर्थाीहरुलाई भने कागज गराई अभिभावकको जिम्मा छाडिएको छ । सेटिङमै मोबाइल प्रयोग गर्न थालेको विद्यार्थीहरु बताउँछन् । मोबाइल प्रयोग गरी वाट्सअप, भाइबर र फेसबुक चाट म्यासेञ्जरको माध्यमबाट प्रश्नपत्रको तस्बिर बाहिर पठाउने र सोही माध्यमबाट उत्तरहरु आएपछि उत्तर पुस्तिका उतार गर्ने गरिन्छ । परीक्षा सञ्चालन भइरहेको अवधिमा पुग्ने प्रमुख जिल्ला अधिकारीसहितको प्रहरी, प्रशासन, शिक्षालगायत विभिन्न कार्यालयका प्रमुख, पत्रकार, स्थानीय पदाधिकारीहरुको छुट्टाछुट्टै टोलीले चेक गरुञ्जेल मर्यादित तथा शान्तिपूर्ण रहने परीक्षा केन्द्रहरु टोली फर्कने बित्तिकै मोबाइलबाट उत्तर सार्न व्यस्त हुने गरेको टोलीमै संलग्नको स्वीकारोक्ति छ ।"
"बुटवलमा अज्ञात समूहको गोली लागेर एकजनाको मृत्यु","बुटवल : बुधबार साँझ बुटवल उपमहानगरपालिका४ को मैनाबगरमा गोली चल्दा एकजनाको मृत्यु भएको छ । गोली लागेर गम्भीर घाइते भएका भारतीय नागरिक फिरोज खानको उपचारका क्रममा मृत्यु भएको हो । खान मैनाबगरमा रहेको अटो भिलेजमा काम गर्थे । उनको छातिमा गोली लागेको प्रहरीको भनाइ छ । प्रहरीका अनुसार लुम्बिनी प्रादेशिक अस्पतालमा उपचारका क्रममा उनको मृत्यु भएको हो । घटनाको विषयमा अनुसन्धान भइरहेको प्रहरीको भनाइ छ ।"
"प्याराग्लाइडिङ नियमनको जिम्मा खेलकुद संस्थालाई","पोखरा : साहसिक खेल प्याराग्लाइडिङ, ह्यान्डग्लाइडिङको नियमन अब नेपाल हवाई खेलकुद संस्थाले गर्ने भएको छ । नेपाल नागरिक उड्डयन प्राधिकरणले पोखरामा बुधबार प्याराग्लाइडिङ उडान सुरक्षा सचेतना कार्यक्रम गरी नेपाल हवाई खेलकुद संस्थालाई प्याराग्लाइडिङ, ह्यान्डग्लाइडिङको नियमन गर्ने गरी व्यवस्थापन तथा प्रवद्र्धनका लागि तोकेको छ । नेपाल नागरिक उड्डयन प्राधिकरणका उपमहानिर्देशक राजन पोखरेलले नेपाल हवाई खेलकुद संस्थाका कार्यवाहक अध्यक्ष कृष्ण भण्डारीलाई प्राधिकारिक संस्था तोकेको प्रमाणपत्र हस्तान्तरण गरे । नेपाल नागरिक उड्डयन प्राधिकरण, मनोरञ्जनात्मक उड्डयन नियमावली २०६९ को नियम २३ क तथा मनोरञ्जनात्मक उड्डयन प्राधिकारिक संस्थासम्बन्धी निर्देशिका २०१८ को व्यवस्थाबमोजिम प्राधिकरणले नेपाल हवाई खेलकुद संस्थाले नियमन गर्ने गरी व्यवस्थापन तथा प्रवद्र्धनसम्बन्धी कार्यका लागि प्राधिकारिक संस्था तोकेको हो । प्राधिकार संस्था तोकेसँगै नेपाल हवाई संस्थाले प्याराग्लाइडिङ, ह्यान्डग्लाइडिङसम्बन्धी गतिविधि नियमन गर्ने मात्र होइन, लाइसेन्स जारी गर्ने, नियमविपरीत सञ्चालन हुने कम्पनी र प्यारापाइलटको दर्ता खारेजीसमेत गर्ने अधिकार पाएको छ । एकल प्याराग्लाइडिङ गर्ने प्यारापाइलटलाई उडान अनुमतिको सिफारिस दिने, सुरक्षित उडानका लागि व्यवस्थापन गर्ने, नियम विपरीत कार्य गर्ने कम्पनी र पाइलटलाई कारबाही गर्नेलगायतको जिम्मेवारी पाएको क्यानका प्रबन्धक देवेन्द्रप्रसाद पाण्डेले जानकारी दिए । प्याराग्लाइडिङ कम्पनीको नवीकरण नागरिक उड्डयन कार्यालय पोखराले गर्दै आएकोमा अब नेपाल हवाई खेलकुद संस्थाले गर्नेछ । पछिल्लो समयमा पोखरामा प्याराग्लाइडिङ दुर्घटना बढेसँगै नियमन, अनुगमन प्रभावकारी नभएको गुनासो आइरहेको बेलामा संस्थाले यो जिम्मेवारी पाएको हो । नेपाल हवाई खेलकुद संस्थाले यो जिम्मा पाए पनि संस्थाको कामकारबाही अनुगमन नेपाल नागरिक उड्डयन प्राधिकरणले गर्नेछ । तोकिएको कामकारबाही प्रभावकारी नभए, लापरबाहीका कारण दुर्घटना बढ्दै गए प्राधिकरणले नेपाल हवाई खेलकुद संस्थालाई कारबाही गर्ने र दिएको अधिकार फिर्ता लिनेसम्म गर्ने नेपाल नागरिक उड्डयन प्राधिकरणका हवाई सुरक्षा विभाग प्रमुख राजु श्रेष्ठले बताए । प्याराग्लाइडिङका लागि पोखरा विश्वमै पाँच उत्कृष्ट स्थानमध्येमा पर्छ । प्याराग्लाइडिङ खेलकै कारण पोखरामा तीन सयभन्दा बढी युवाले रोजगारी पाएका छन् । सुरुका दिनमा विदेशी पाइलटकै भरमा चल्दै आएको प्याराग्लाइडिङ व्यवसाय अहिले विदेशीलाई नेपाली युवा पाइलटले विस्थापित गरेका छन् । अहिले पोखरामा मात्र ६३ वटा प्याराग्लाइडिङ कम्पनी दर्ता भएका छन् ।"
"अनौठो डीएनए खुलासा : जुम्ल्याहा सन्तानका भिन्दाभिन्दै बावु","बेइजिङ : चीनको झियामेन सहरमा एक महिलाले यस्ता दुई जुम्ल्याहा सन्तानलाई जन्माइन्, जसका पिता अलग अलग हुन् । डीएनए टेस्टमा यस्तो कुरा खुलासा भएको हो । महिलाले आफ्ना श्रीमानसँगै अर्का पुरुषसँग पनि सम्बन्ध स्थापित गरेको पनि उक्त रिपोर्टसँगै खुलासा भएको बताइएको छ । बावुआमा बनेको उक्त जोडी जब आफ्ना सन्तानको नाम प्रहरीकहाँ दर्ता गराउन गए त्यसबेला यस्तो कुराको खुलासा भएको हो । प्रहरीले डीएनए टेस्ट गराउने क्रममा यस्तो खुलासा भएको थियो । सोधपुछको क्रममा महिलाले स्वीकार गरिन् गल्ती सँगै जन्मिएका दुई सन्तानको भिन्न अनुहार देखिएपछि बावुले शंका गर्दै यसबारे चासो देखाए । फलस्वरुप प्रहरीकहाँ डीएनए टेस्टसँगै महिलालाई सोधियो । महिलाले भने सुरुमा जवाफ दिएकी थिइनन् । पछि डीएनए रिपोर्ट आएपछि आफूले फरक दुई पुरुषसँग सम्बन्ध राखेको स्वीकार गरेकी थिइन् । यससँगै उक्त दम्पत्तिले पाएको जुम्ल्याहा सन्तानको बारेमा चीन र विदेशमा समेत समाचार बनेको छ । अन्तर्राष्ट्रिय मिडियाले यस घटनालाई एक अनौठो समाचारको रुपमा सन्प्रेषण गरेका छन् ।"
"फोटोमा दुरुस्त छाउगोठको घाउ","काठमाडौं : अँध्यारो कोठाको भूईँमा ओछ्याइएको पराल । छेउमा महिलाका असरल्ल कपडा अनि अर्को कुनामा थोत्रो ब्लाङ्केट । माथिका सबै दृश्य समेटिएका छन्, एउटै फोटोमा । फोटो एकसरो मात्र हेर्दा कुनै सिकारुले फोटो खिच्ने अभ्यास गरे जस्तो मात्र लाग्छ । तर, पृष्ठभूमि बुझ्दा थाहा हुन्छ, यो फोटोले सुदूरपश्चिमका महिलाले परम्पराका रुपमा भोगिरहेको एउटा कठिन समयलाई अभिव्यक्त गरिरहेको छ । अर्थात् फोटोले छाउगोठको दृश्यलाई दुरुस्त उतारेको छ । अछामको ओली गाउँमा खिचिएको यो फोटो यतिबेला काठमाडौंमा भएको फोटो प्रदर्शनीको शोभा बनेको छ । फोटो पत्रकार उमा बिष्टले खिचेका फोटोको प्रदर्शनीमा छाउगोठको अवस्था बताउने यो फोटोले धेरैको ध्यान तानेको छ । बिष्टले फरक फरक समयमा खिचेका फोटोको प्रदर्शनी काठमाडौंको ठमेलस्थित छायाँ सेन्टरमा चलिरहेको छ । प्रदर्शनमा राखिएको फोटोमा पश्चिम नेपालका महिलाहरूको छाउपडी र योसँगै जोडिएका महिलाको अवस्थालाई चित्रित गरिएको छ । करिब ४० वटा फोटा समावेश गरिएको फोटो प्रदर्शनी संयोजनका एक सदस्य शिखर भट्टराईले जानकारी दिए । प्रदर्शनीमा शिक्षक, विद्यार्थी, विभिन्न संघ सस्थाका प्रतिनिधि लगायतको उत्साहपूर्वक सहभागिता भएको छ, उनले भने । प्रदर्शनीमा राखिएका फोटोले सुदूरपश्चिमका महिलाको अवस्थालाई केन्द्रमा राखेका छन् । जस्तो कि एउटा फोटोमा जंगल मात्र छ अनि अर्को फोटोमा यही जंगलमा एउटी महिला खुसी छिन् । छाउगोठ अछामका महिलाहरुका लागि ठूलो बन्देज भएकाले महिलाहरू आफू स्वतन्त्र हुन जंगल जाने गरेको भावलाई फोटोमा समेटेको बिष्टको जिकिर छ । समाजमा रजश्वला भएका महिलालाई धेरै कुराको बन्देज छ, उनले भनिन्, धेरै महिलाहरुलाई यो एउटा अन्धविश्वास हो भन्ने थाहा भएर पनि उनीहरु समाजको मान्यता अनुसार यो पीडा भोगिरहेका छन् । समाजका प्रश्नहरू थेग्नुभन्दा बरु गोठ जान सजिलो भएको त्यहाका किशोरीहरूको तर्क रहेको उनले बताइन् । छाउगोठ गएपछि अछामका किशोरीहरूले स्वतन्त्रता अनुभव गर्ने ठाउ जंगल हो, उनले भनिन्, फोटोमा जंगल पनि महिलाहरुको स्वतन्त्रताको संकेतको रुपमा प्रयोग गरिएको हो । फोटो प्रदर्शनी छायाँ सेन्टरको पाँचौ तलामा राखिएको छ । करिब ४० वटा फोटोलाई भित्तामा वरिपरि मिलाएर टाँसिएको छ । प्रायः फोटोमा गाउँका किशोरीहरुलाई समेटिएको छ । केही फोटोको छेउमा ती किशोरीको बारेका क्याप्सन लेखिएको छ । फोटो प्रदर्शनीको एक छेउमा भने सानो कोठा जस्तो बनाइएको छ । जसले छाउगोठलाई चित्रित गरेको देखिन्छ । त्यो सानो कोठा भित्र पनि ५६ वटा फोटा राखिएको छ । जुन फोटोले गाउँको वास्तविक छाउगोठलाई चित्रित गरेको छ । गोठले गाउमा महिलाले भोगेको पिडा अनुभूत गराउने फोटो पत्रकार बिष्टले बताइन् । गोठको छेउमै भगवानका तस्बिरहरू राखिएको छ । ती तस्बिरहरुले महिलाहरू छाउपडीमा बसेको बेला भगवानको भएको कोठामा जानुहुँदैन, पूजा गर्नु हुँदैन भन्ने मान्यता गलत भएको सन्देस दिन्छ, बिष्टले भनिन्, भगवान रिसाउँछन्, भगवान रिसाए भने राम्रो हुँदैन भन्ने मान्यता हाम्रो समाजमा विद्यमान छ । त्यसैले गोठको नजिकै भगवान भगवानको फोटो सांकेतिक तरिकाले राखिएको हो । फोटो प्रदर्शनी बाट धेरै मानिसहरुले छाउगोठ अनुभूत गर्न पाउने बिष्टको भनाइ छ । काठमाडौंकी सजिरा श्रेष्ठ अहिले थेम्स कलेजमा पत्रकारीता पढ्दैछिन् । उनी आफ्नी शिक्षिकासँग यो प्रदर्शनी हेर्न आएकी हुन् । उनले पहिले छाउपडी प्रथाको बारेमा पढ्न मात्र पाएकी थिइन् । यो प्रदर्शनीले उनलाई प्रत्यक्ष छाउगोठ पुगेको अनुभूत गरायो । भन्छिन्, मैले यो भन्दा अगाडी छाउगोठको बारेमा पुस्तकहरुमा पढेको मात्र थिएँ । यो फोटो प्रदर्शनीमा आएर छाउगोठमा बस्ने महिलको पीडा प्रत्यक्ष अनुभव गरेको महशुस भएको छ । न्यूरोडकी अनिसा खड्काले पनि यो भन्दा अगाडि छाउगोठबारे पढेकी मात्र थिइन् । यो प्रदर्शनी उनका लागि पाठशाला बन्यो । यो फोटो प्रदर्शनीमा सहभागी भएर मलाई अछाम नै पुगेको अनुभूति भएको छ, उनले भनिन् । पत्रकार बिष्टले १ बर्षअघिदेखि अछामको ओली गाउँमा गएर गाउगोठमा बस्ने महिलाहरूको अध्ययनबाट यो फोटो कथा देखाइएको बताइन् । यो प्रदर्शनी छाउपडी प्रथाबाट हाम्रा नेपाली महिलाले भोगेको पीडा देखाउनको लागी राखिएको हो, उनले भनिन्, संकेतको रुपमा सबै कुरा देखाउन खोजिएको छ । छाउपडी प्रथाको बारेमा जानकारी मात्र हैन यस प्रर्दशन हेर्न आउने विद्यार्थी लगायत सबैमा चेतना पनि आओस् भनेर यो फोटो पदर्शन गरिएको उनको भनाइ छ । मार्च १५ देखि सुरु भएको फोटो प्रदर्शनी अप्रिल १० सम्म चल्नेछ ।"
"मेलाम्चीमा अनियमितता भेटिए सजाय भोग्न तयार छु : मन्त्री मगर","काठमाडौं : खानेपानी मन्त्री बिना मगरले मेलम्ची खानेपानी आयोजनालाई हतियार बनाएर आफ्नो चरित्रहत्या गर्न खोजिएको आरोप लगाएकी छिन् । मेलम्ची खानेपानी आयोजनामा भ्रष्टाचार तथा अनियमितता भएको भन्दै नेपाल विवेकशील दलकी नेतृ रञ्जु दर्शनाले उजुरी गरेपछि मन्त्रीको प्रतिक्रिया आएको हो । रञ्जु दर्शनासहितको टोलीले मंगलबार अख्त्यिारमा उजुरी दर्ता गराएको थियो । मन्त्री मगरले बुधबार विज्ञप्ति जारी गरी आफूविरुद्ध आधारहीन, विनाप्रमाण राजनीतिक पूर्वाग्रह राखेर चरित्र हत्या गर्ने उद्देश्यले अख्तियारमा उजुरी दायर गरिएको दावी गरेकी हुन् । आफ्नो कार्यकालमा नै आयोजनाको सुरुङ निर्माण सम्पन्न भएको तथा अधिकांश काम सम्पन्न भएपनि केही काम बाँकी रहेको अवस्थामा इटालियन ठेकेदार कम्पनी सीएमसीले केही महिना पहिले हात झिक्दा समस्या आएको मन्त्रीको प्रष्टोक्ति छ । मेलम्चीमा छानबिन हुनुपर्छ संसद्मा प्रश्न : मेलम्ची आयोजना भ्रष्टाचारी को ? मन्त्री कि सचिव ? मन्त्रीको जबाफ : मेलम्चीमा काम त भएकै हो, तर फाइनल रिजल्ट आएन मेलम्चीमा सीएमसीकै खोजी मेलम्चीमा अझै जालझेल मेलम्ची धकेल्ने पालो एडीबीको मेलम्ची विवाद : ठेकेदार पीडित मजदुर र सप्लायर्स आन्दोलनमा अलपत्र मेलम्ची मेलम्ची ठेकेदारसँग मन्त्री र सचिवले कमिसन मागेको प्रकाशमानको आरोप मेलम्ची अनियमिततामा छानबिन माग गर्दै अख्तियारमा उजुरी ठेकेदार कम्पनी आर्थिक रुपमा समस्यामा पर्दा आयोजनामा समस्या आएको जानकारी आएको भन्दै उनले आयोजना निर्माणको मान्यता विपरित गएर मन्त्री वा कुनै पनि अधिकारीले निर्णय गर्ने अवस्था समेत नभएको उल्लेख गरेकी छन् । आयोजनाको कुनै प्रस्ताव मन्त्रिपरिषदमा लैजाने परिस्थितिमा मात्र मन्त्री जिम्मेवार हुने भन्दै बिना प्रसंग आफूलाई उक्त प्रकरणमा मुछिएको उनको भनाई छ । ठेकेदार कम्पनीले हात झिक्नुको पछाडि सिएमसी कम्पनी आर्थिक रुपमा टाट पल्टनु मुख्य कारण रहेको उनको दाबी छ । आर्थिक रुपमा टाट पल्टिएपछि मेलम्ची आयोजनाको काम छाडेर ठेकेदार कम्पनीले सम्झौता रद्द गरेको उनको भनाई छ । मेलम्ची आयोजनामा अनियमितता गरेको प्रमाणित भए म जुनसुकै सजाय भोग्न तयार छु । यदि अनियमितता प्रमाणित भएन भने मेरो चरित्रहत्या गरेको जिम्मेवारी लिन तपाई रञ्जु दर्शना तयार हुनुहुन्छ ?, उनले विज्ञप्तिमा प्रश्न गरेकी छन् । मेलम्ची खानेपानी आयोजनालाई आफू र आफ्नो परिवारमाथि आक्रमण गर्ने राजनीतिक हतियार बनाइएको उनको गुनासो छ । मन्त्रीको हैसियतले अख्तियार दुरुपयोग गरेको हेर्ने सरकारी निकायका विधि र प्रक्रियाको पक्षमा रहेको उनले प्रष्ट पारिन् । मन्त्रीको विज्ञप्तिः"
"सेवाग्राहीलाई मुक्का हान्ने अड्डामा मन्त्रीको छड्के (फोटो र भिडियो)","मनिका झाराजकरण महतो जनकपुरधाम : श्रम कार्यालय जनकपुरमा पुगेका प्रदेश २ का कानुनमन्त्री ज्ञानेन्द्रकुमार यादव सेवाग्राहीका गुनासो सुनेका छन् । कर्मचारीले काम नगरेर सास्ती भएको दुःखेसो पोख्ने सेवाग्राहीले मन्त्री यादवसँग गुनासो गरेका हुन् । मन्त्री यादव कार्यालयको अनुगमनमा करिब ४५ मिनेट रहँदा सेवाग्राहीले हरेक काममा सास्ती सहनु परेको गुनासो सुनाएका छन् । कार्यालयको मुख्य गेटमा ताला लागेकाले छड्के पुगेका मन्त्री करिब पाँच मिनेट बाहिरै उभिनु परेको थियो । त्यत्तिबेलासम्म उनलाई २० बढी सेवाग्राहीले फारम देखाउँदै कार्यालयमा सहनु परेको सास्ती सुनाएका थिए । श्रम तथा रोजगार कार्यालयमा सेवाग्राहीले दुःख पाएको गुनासो बढ्दै गएपछि मन्त्री यादव बुधबार अनुगमनका लागि पुगेका हुन् । सेवाग्राहीलाई मन्त्री यादवले चाँडै सबै प्रक्रिया ठिक हुने आश्वासन दिएका छन् । मन्त्री यादवले कार्यालयका निमित्त प्रमुख मनोज यादवसँग भेटेर काममा ढिलाइबारे बुझेका थिए । पहिला मुड्की अनि श्रमस्वीकृति प्रमुख यादवले कर्मचारी अभाव, प्राविधिक कठिनाइले समयमै काम गर्न नसकिएको जानकारी गराए । मन्त्री यादवले कार्यालय प्रमुखलाई सेवाग्राहीको लागि बस्ने, खानेपानी र शौचालयको उचित बन्दोबस्त मिलाउन निर्देशन दिए । कार्यालयको सेवाप्रति जनताबाट निकै गुनासो आयो, मन्त्री यादवले भने, समयमा काम हुँदैन्, काम भन्दा पनि जनताले सास्ती पाइरहेका छन् । कर्मचारीको पनि अभाव छ । उनले सबै समस्याको समाधानका लागि प्रदेश सरकारले पहल गर्ने बताए । भिडियाे : राजकरण श्रम कार्यालयको वेथितिबारे अन्नपूर्ण पोस्ट्मा चैत ५ गते पहिला मुड्की अनि श्रम स्वीकृति शीर्षकमा समाचार छापिएको थियो ।"
