"शीर्षक","विवरण"
"औषधि किन्न गएका खत्रीको खोलामा डुबेर मृत्यु","स्याङ्जा : औषधी किन्न गएका भीरकोट नगरपालिका ३ का ६५ वर्षीय खोचबहादुर खत्रीको मृत्यु भएको छ । आँधीखोलामा डुबेर उनको मृत्यु भएको वालिङ प्रहरीले जनाएको छ । भीरकोट ६ बयरघारीस्थित आँधीखोलाको किनारमा मृत अवस्थामा भेटिएपछि स्थानीयले प्रहरीलाई खबर गरेका थिए । बिहान साढे ७ बजे घरबाट औषधि लिन बयरघारी बजारतर्फ गएका खत्री आँधीखोलामा मृत अवस्थामा भेटिएपछि शव पोष्टमार्टमका लागि वालिङ प्राथमिक स्वास्थ्य केन्द्र पुर्याइएको छ ।"
"""सरकारका सय दिनमा बाबुरामको टिप्पणी : अपेक्षा डिस्टिङ्सन","प्राप्तांक पास !"",""काठमाडौं : केपी शर्मा ओली नेतृत्वको सरकारका सय दिन पूरा भएको अवसरमा पूर्वप्रधानमन्त्री एवम् नयाँ शक्ति, नेपालका संयोजक बाबुराम सरकारले लक्ष्य ठूलो लिएको तर काम गर्न नसकेको टिप्पणी गरेका छन् । धेरै अपेक्षा भए पनि कम मात्र उपलब्धि भएको उनको भनाइ छ । भट्टराईले सरकारले स्थुल कुरा धेरै गरेर सूक्ष्म डेलिभरी कम गरेको र एकल कार्य धेरै गरेर सामूहिक कार्य कममात्र गरेको बताएका छन् । अपेक्षा महान् छलाङको भए पनि व्यवहारमा सरकारले निरन्तरता मात्र दिएको भन्दै बाबुरामले डिस्टिङ्सनको अपेक्षा नतिजामा पासमा मात्र परिणत भएको उल्लेख गरेका छन् । शुक्रबार साँझ बाबुरामले ट्विट गर्दै सरकारका सय दिनको टिप्प्णी गरेका हुन् । सरकारको सय दिन ! धेरै अपेक्षा, कम उपलब्धि! स्थूल कुरा धेरै, सूक्ष्म डेलिभरी कम ! एकल कार्य धेरै, सामूहिक कार्य कम!, बाबुरामले ट्विटरमा लेखेका छन्, अपेक्षा महान् छलाङ, व्यवहारमा निरन्तरता! अपेक्षा डिस्टिङ्सन, प्राप्तांक पास ! बजेटसम्म शंकाको लाभ !!"""
"भक्तपुरमा प्रजिअ र प्रहरी उपरीक्षकलाई स्वागत","भक्तपुर : भक्तपुरमा हालै सरुवा भई आएका प्रमुख जिल्ला अधिकारी नारायणप्रसाद भट्ट र प्रहरी उपरीक्षक हिमालयकुमार श्रेष्ठलाई स्थानीय उत्पादन र कृषि उपजले स्वागत तथा सम्मान गरेका छन् । प्रजिअ भट्ट र प्रहरी उपरीक्षक श्रेष्ठलाई भक्तपुर घरेलु तथा साना उद्योग संघ, भक्तपुर पर्यटन विकास समिति, जिल्ला कृषि सहकारी संघ लि, नेवाः पत्रकार राष्ट्रिय दबु र सुरुवात सामुदायिक हेरचाह तथा पुनःस्थापना केन्द्रले संयुक्त रुपमा स्थानीय उत्पादन र कृषि उपजले स्वागत गरेका हुन् । स्थानीय उत्पादनमा काष्ठकला, टाइचिन चिउरा, कालो धान, परम्परागत तानमा बुनेको खास्टोसहित कृषि उपजतर्फ अर्गानिक कुरिलो, ब्रोकाउली, गोलभेंडा, फर्सीलगायत समावेश गरी स्वागत गरिएको हो । उक्त अवसरमा प्रमुख जिल्ला अधिकारी भट्टले भक्तपुरमा शान्ति सुरक्षा र अमनचयनको प्रत्याभूति गर्दै उद्योग व्यवसाय प्रवद्र्धन गर्न तथा कलासंस्कृति र सम्पदालाई बढावा दिने प्रतिबद्धता व्यक्त गरे । यहाँका घरेलु तथा साना उद्योगी व्यवसायी, पर्यटन व्यवसायी, व्यवसायिक किसानहरुसँग सहकार्य गरेरै आफू अघि बढ्ने उनको भनाइ थियो । त्यस्तै प्रहरी उपरीक्षक श्रेष्ठले प्रहरी एक्लैको प्रयासमा शान्ति सुरक्षा कायम हुन नसक्ने बताउँदै सबै संघसंस्था र उद्योग, व्यवसायी र सञ्चारकर्मीहरुसँग सहकार्य गरिने दृढता व्यक्त गरे । उनले शान्ति सुरक्षा नभएको कारण कुनै पनि उद्योगी व्यवसायीहरुले आफ्नो उद्योग व्यवसाय बन्द गर्नुपर्ने तथा विस्थापित हुनुपर्ने अवस्था आउन नदिने वचन दिए । कार्यक्रममा भक्तपुर घरेलु तथा साना उद्योग संघका अध्यक्ष वीरेन्द्र जतीले विभिन्न समस्याले घरेलु तथा साना उद्योगी व्यवसायीहरु पेसाबाट विस्थापित हुनुपर्ने बाध्यता आइरहेको जानकारी दिँदै ती समस्या समाधान गर्नेतर्फ पहल गरिदिन प्रजिअसमक्ष आग्रह गरे । उनले प्रजिअको अध्यक्षमा हुने उद्योग व्यवसायसम्बन्धी समितिहरुमा आफूहरुलाई पनि प्रतिनिधित्व गराउन माग गरे । त्यस्तै भक्तपुर पर्यटन विकास समितिका अध्यक्ष रामसुन्दर भेलेले समितिले दिगो पर्यटन विकासको लागि काम गर्दै आएको जानकारी दिए । पछिल्लो समय भक्तपुरमा पर्यटन उद्योग फस्टाउँदै आएको उनको भनाइ थियो । कार्यक्रममा नेवाः पत्रकार राष्ट्रिय दबु भक्तपुरका अध्यक्ष ईश्वरकाजी खाइजू, जिल्ला कृषि सहकारी संघ लि भक्तपुरका अध्यक्ष उत्तम सापकोटा, सुरुवातका कार्य समिति सदस्य पन्नोश शर्माले भक्तपुरमा सरुवा भई आएका प्रजिअ भट्ट र प्रहरी उपरीक्षक श्रेष्ठको कार्यकाल सफलताको शुभकामना व्यक्त गरेका थिए ।"
"""अवैध सम्बन्धपछि जन्मेको शिशुको हत्या","दुईजना पक्राउ"",महेन्द्रनगरः नवजात शिशुको हत्या गरेको अभियोगमा जिल्ला प्रहरी कार्यालय कञ्चनपुरले दुईजनालाई पक्राउ गरेको छ । अनैतिक सम्बन्धबाट गर्भ बसेपछि बिहीवार जन्मेको शिशुको हत्या गरेको आरोपमा दुईजनालाई पक्राउ गरिएको हो । भीमदत्त नगरपालिका१३ की ३० वर्षीया गंगा ओखेडा र त्यही ठाउँ बस्ने वर्ष १९ का सन्तोष ओखेडाबीच अनैतिक सम्बन्धपछि जन्मेको शिशुको विहीवार दुवैले हत्या गरेको प्रहरीले जनाएको छ । अनैतिक सम्बन्धबाट बिहीवार बिहान साढे २ बजे शिशुको जन्म भएपछि दिउँसो १ बजेको समयमा हत्या गरिएको खुल्न आएको छ । अनैतिक सम्बन्ध राखेर बसेको गर्भबाट जन्मेको शिशुको हत्या गरेको आरोप लागेकी गंगाका पति वैदेशिक रोजगारीका लागि कतारमा रहेको प्रहरीले जनाएको छ । दुवैजनाको सहमतिमा उक्त नवजात शिशु मारेको खबर आएपछि प्रहरीको टोलीले पक्राउ गरेको हो । प्रहरीले घटनाबारे थप अनुसन्धान भइरहेको जनाएको छ । नवजात शिशुको शव परीक्षणका महाकाली अञ्चल अस्पतालमा राखिएको छ ।"
"बालकृष्णा ढुंगेललाई आम माफी दिनुपर्ने कारण देखाउन सरकारलाई सर्वोच्चको आदेश","काठमाडौं : सर्वोच्च अदालतले जन्मकैद फैसला सुनाइएका बालकृष्ण ढुंगेललाई आममाफी दिनुपर्ने कारण देखाउन सरकारसँग लिखित जवाफ माग गरेको छ । वरिष्ठ अधिवक्ता दिनेश त्रिपाठीले ढुंगेललाई सरकारले दिन लागेको आममाफी तत्काल रोक्न माग गर्दै बिहीबार सर्वोच्चमा रिट दायर गरेका थिए । सोही रिटमाथि शुक्रबार सर्वोच्चका न्यायाधीश दीपक कार्कीको एकल इजलासले सरकारलाई २४ घण्टाभित्र लिखित जवाफ पेश गर्न आदेश दिएको हो । अधिवक्ता त्रिपाठीले रिटमा अन्तरिम आदेशको समेत माग गरेकाले त्यसको सुनुवाइका लागि आइतबारका लागि पेसी तोकिएको छ । तत्कालीन नेकपा माओवादी केन्द्रका नेता समेत रहेका ढुंगेललाई सरकारले चालचलन असल भएको बाहनामा जेलमुक्त गर्ने तयारी गर्नु कानुनी उपहास भएको भन्दै त्रिपाठीले रिटमा यसलाई तत्काल रोक्न माग गरेका छन् । त्रिपाठीले दायर गरेको रिटमा ढुंगेललाई कुनै पनि हालतमा थुनामुक्त गर्न नमिल्ने उल्लेख गरिएको छ । जनयुद्धको समयमा हत्या जस्तो गम्भीर अपराधमा संलग्न रहेको पुष्टि गर्दै सर्वोच्चले जन्मकैदको फैसला गरे लगत्तै तत्कालीन प्रधानन्यायाधीश र त्यो आदेश दिने न्यायाधीसलाई भौतिक कारबाही गर्ने भाषण गरेको भन्दै अधिवक्ता त्रिपाठीले रिटमा अन्तरिम आदेशको समेत माग गरेका छन् ।"
"फोरम अध्यक्ष यादव भन्छन् : प्रादेशिक अधिकार नदिएसम्म संघीयता बलियो हुदैन","राजविराज : संघीय समाजवादी फोरम नेपालका अध्यक्ष उपेन्द्र यादवले स्थानीय तह र प्रदेशलाई प्रादेशिक अधिकार नदिएसम्म संघीयता संकटमा रहने बताए । सप्तरीको राजविराजमा शुक्रबार स्थानीय सञ्चारकर्मीसँगको कुराकानीमा अध्यक्ष यादवले जनताको बलिदानीबाट प्राप्त भएको संघीयतालाई जोगाउनुपर्ने बताए । स्थानीय तहलाई स्वायत्तता तथा प्रदेशलाई प्रादेशिक अधिकार नदिएसम्म संघीयता संकटमा रहने बताउँदै मधेशी जनतामाथि असमानता र विभेद कायमै रहेको आरोप लगाए । वर्तमान सरकारले गरेको राजनीतिक नियुक्तिमा मधेशीको सहभागिता नरहेको आरोप लगाउँदै हरेक क्षेत्रमा समान अवसर तथा जनसंख्याको आधारमा सहभागिता हुनुपर्नेमा उनले जोड दिए । उनले मधेशी, आदिवासी, जनजातिसहित मुलुकका हरेक जनतालाई समृद्व बनाउन संविधान संशोधन आवश्यक रहेको जिकिर गरे । साथै प्रदेश नं २ समृद्व नभएसम्म मुलुक समृद्ध बन्न नसक्ने बताउँदै प्रदेश नं २ का जनता अधिकार सम्पन्न, आर्थिक रुपले समृद्व भएमात्र पूरै नेपाल समृद्ध हुने उनको धरणा थियो ।"
"एमाले नेताले गोरे सँग दुई लाख रुपैयाँ चन्दा लिएको दाबी","बिराटनगरः साढे ३३ किलो सुन तस्करी र सनम शाक्य हत्याकाण्डमा मुछिएका चूडामणि उप्रेती गोरे सँग कनेक्सन रहेको पाइएपछि पक्राउ परेका रेवन्तकुमार आचार्यले चन्दा लेनदेनबारे नयाँ तथ्य बाहिर ल्याएका छन् । उर्लाबारी नगरपालिका२ निवासी रेवत भनिने नेपाल कम्युनिस्ट पार्टीका कार्यकर्तासमेत रहेका सुन व्यापारी आचार्यले गोरे र नेताहरुबीचको कनेक्सन को खुलासा गरेका हुन् । बिहीबार साँझ पक्राउ परेपछि शुक्रबार जिल्ला अदालत मोरङमा म्याद मिलानका लागि पुर्याइएका उनकै उपस्थितिमा गोरेले २ लाख रुपैयाँ चन्दा नेकपाका एकजना वर्तमान सांसदलाई दिएको जिकिर गरेका हुन् । हामीसँगै रहेका बेला गोरेले मंसिरको निर्वाचनमा तत्कालीन एमालेका नेता घनश्याम खतिवडा (वर्तमान प्रतिनिधि सभाका सदस्य) लाई २ लाख रुपैयाँ चन्दा दिएका हुन्, आचार्यले भने, त्यो बेला हाल नेकपाबाट प्रतिनिधि सभा सदस्य घनश्याम खतिवडालाई दुई लाख रुपैयाँ चुनावी खर्च मेरै उपस्थितिमा गोरेले दिएका थिए । गोरेलाई म चिन्दिनँः घनश्याम एमाले कार्यकर्ताबाटै गम्भीर आरोप लागेपछि प्रतिनिधि सभा सदस्य खतिवडाले भने यस कुराको कडा प्रतिवाद गरेका छन् । खतिवडाले यस्तो वाहिया कुराबारे समाचार बनाउनुको कुनै तुक नभएको पनि प्रष्टिकरण दिए । यस्तो कुरा सबै वाहियात हो, गोरे को हो ? म चिन्दै चिन्दिनँ, चिन्दै नचिनी कसरी पैसा दिन्छ ?, खतिवडाले प्रश्न गरे, मेरो इमानमाथि प्रश्नचिन्ह खडा गर्ने गरी उठाइएको यो कुरा विलकुल वाहियात हो । सम्बन्धित समाचार 'माछा मार्न लगेको ब्याट्रीले करेन्ट लगाएर सनमको हत्या' गोरेसँग कनेक्सन भएका अर्का व्यक्ति पक्राउ"
"चक्रपथमा मोनो रेल सञ्चालन गर्ने जिम्मा चिनियाँ कम्पनीलाई","काठमाडौं : काठमाडौं र ललितपुर महानगरपालिकाले चक्रपथमा मोनो रेल सञ्चालन सम्भाव्यता अध्ययन जिम्मा चीनको चाइना रेल वे २५ औं ब्यूरो ग्रुप कम्पनीलाई दिएका छन् । शुक्रबार भृकुटीमण्डपस्थित राष्ट्रिय सभा गृहमा काठमाडौं महानगरका प्रमुख विद्यासुन्दर शाक्य र रेल वेका महाप्रवन्धक लि होङ्गकीले अध्ययन सम्बन्धी सहमति पत्रमा हस्ताक्षर गरेका छन् । यो सम्झौतासँगै चक्रपथमा रेल वे बनाउने जिम्मा चिनियाँ कम्पनीले पाएको हो । चक्रपथमा मनोरेल सञ्चालन सम्बन्धी गरिएको सम्झौता कार्यक्रममा ललितपुर महानगरका प्रमुख चिरीबाबु महर्जन, काठमाडौं महानगरकी उपप्रमुख हरिप्रभा खड्गी श्रेष्ठ, महानगरका प्रमुख प्रशासकीय अधिकृत यादव कोइरालालगायत उपस्थित थिए । उपत्यकाको चक्रपथ काठमाडौं र ललितपुरमा रहेको छ । महानगरले मोनोरेल सञ्चालन सम्बन्धी प्रकाशन गरेको आशय पत्रमा रेल वे ग्रुपले वैशाख २० गते महानगरमा इच्छापत्र बुझाएको थियो । सोही अनुसार शुक्रबार सम्झौता भएको हो । सम्झौता अनुसार रेल वे कम्पनीले चक्रपथमा मोनो रेल चलाउन आर्थिक, प्राविधिक तथा दिगोपना जस्ता पक्षमा अध्ययन गर्ने छ । चिनियाँ कम्पनीले छ महिनामा अध्ययनको निष्कर्ष निकालेर विकल्पसति सिफारिस गर्ने छ । सम्झौता समारोहमा बोल्दै, महानगरका प्रमुख विद्यासुन्दर शाक्यले आफ्नै पालामा मोनोेरेल सञ्चालन गर्ने प्रतिवद्धता जनताए । मोनो रेल चलाउँछौं भनेकै एक बर्ष भइसक्यो । विधि मिलेपछि काम गर्ने बाटो खुल्छ । काम थालनी भएपछि रेल सञ्चालन हुन समय लाग्दैन, हामी त्यही दिशामा लक्षित छौं, मेयर शाक्यले भने । कार्यक्रममा बोल्दै ललितपुर महानगरका प्रमुख चिरीबाबु महर्जनले, आफू महानगरबासीलाई सरल जीवन यापन गर्ने सुविधाको, सुन्दर उपहार दिन लागि रहेको बताए । अहिलेको चक्रपथमध्ये १० किलोमिटर खण्ड आफ्नो भूगोलमा रहेको जनाउँदै मेयर महर्जनले यस क्षेत्रमा काम गर्न आवश्यक वातावरण तयार पार्न आफू तयार रहेको बताए । सम्झौता पत्रमा हस्ताक्षर भएपछि होङ्गकीले तोकेको समयका काम सक्ने प्रतिबद्धता जनाए । सम्झौता अनुसार पहिलो महिनामै अध्ययनको आधार तयार पर्ने छ ६ महिनामा अन्तिम प्रतिवेदन पेश गर्नेगरी सम्झौता भएको छ ।"
"मेरो भूमिका जनताले मूल्यांकन गर्छन् : पूर्वराजा ज्ञानेन्द्र","गौर : पूर्वराजा ज्ञानेन्द्र शाहले रौतहटका स्थानीयवासीको स्वागतले आफू खुशी रहेको बताएका छन् । रौतहटको मत्सरीमा रहेको दुर्गा मन्दिरमा शुक्रबार दिउँसो पूजापाठपछि यस्तो बताएका हुन् । पूजापछि संचारकर्मीको प्रश्नको जवाफमा आफूले नयाँ पार्टी खोल्ने कुनै सोच नराखेको बताउँदै आफ्नो भूमिकाको बारेमा जनताले नै मूल्यांकन गर्ने प्रतिक्रिया उनले दिएका छन् । पार्टी खोल्ने विषयमा कुनै सोच छैन । मेरो भूमिकाको विषयमा जनताले आफैँ मूल्यांकन गर्ने विश्वास लिएको छु, ज्ञानेन्द्रले भने । रौतहटको दुर्गा भगवती गाउँपालिका ३ स्थित मत्सरीमा रहेको प्रसिद्ध दुर्गा मन्दिरमा ज्ञानेन्द्रले पुजा गरेका हुन् । पूर्वराजा आउने जानकारी पाएपछि स्थानीयको भिड लागेको थियो । करिब तीन किलोमिटर लामो लाइन लागेर स्थानीयले पूर्वराजाको स्वागत गरेको थिए । शाहले दिउँसो करिब चार बजे आधाघण्टा पूजा गरे । मन्दिर समितिका तर्फबाट शाहलाई नागरिक अभिनन्दन समेत गरिएको छ । स्थानीय मनोज झा र रुद्रनारायण झाले अभिनन्दन पत्र हस्तान्तरण गरे । विभिन्न दलमा आवद्ध भएपनि एकजुट भएर पूर्वराजा ज्ञानेन्द्र शाहलाई स्वागत गरिएको दुर्गा मन्दिर मत्सरीका पूजा व्यवस्थापन समितिका संयोजक विनय झाले जानकारी दिए ।"
"बाघको छालासहित तीन पक्राउ","भैरहवा : रुपन्देही प्रहरीले बाघको छालासहित तीनजनालाई पक्राउ गरेको छ ।पक्राउ पर्नेमा पर्वत जिल्ला फलेवास नगरपालिका १ ठानामौलाका २५ वर्षीय आशिष सुनार, कास्की मादी गाउँपालिका ४ घर भएका पोखरा लेखनाथ महानगरपालिका १३ काहु खोलामा बस्ने २५ वर्षीय सुरज भुजेल र नवलपरासी जिल्ला सुस्ता पूर्व देवचुली नगरपालिका १३ का २५ वर्षीय बद्री सुनार रहेका छन् । बाघको छाला कारोबार गर्ने यो पश्चिमी क्षेत्रको ठूलो तस्करको समूह भएको प्रहरीको भनाइ छ । बिक्री वितरण गर्न प्रतिबन्धित बाघको छालाको बुटवलमा कारोबार हुन लागेको विशेष सूचनाको आधारमा अभियुक्तलाई २ वटा बाघको छालासहित बुटवल उपमहानगरपालिका ८ बाट पक्राउ गरिएको जिल्ला प्रहरी कार्यालय रुपन्देहीका डीएसपी डिल्लीनारायण पाण्डेले जानकारी दिए । बरामद दुईा छाला मध्ये एउटा बाघको बच्चाको छाला छ । बरामद बाघको छालाको कारोबार अन्तराष्ट्रिय स्तरमा एकिन मूल्य नभए पनि महंगो मूल्यमा कारोबार हुन्छ । पक्राउ गरिएका अभियुक्तलाई आवश्यक कारबाहीका लागि जिल्ला वन कार्यालय पठाइएको डीएसपी पाण्डेले बताए । यता जिल्ला वन कार्यालयले प्रहरीले बुझाएको छाला परीक्षणको लागि काठमाडौँ पठाएको र पक्राउ परेका अभियुक्त उपर राष्ट्रिय निकुञ्ज तथा वन्यजन्तु संरक्षण ऐन अन्र्तगत मुद्दा दायर गरी घटनाको थप अनुसन्धान भइरहेको बताएको छ ।"
