"शीर्षक","विवरण"
"सरकारको नीतिकार्यक्रमः सत्तारुढप्रतिपक्ष जुहारी","सरकारको नीतिकार्यक्रमः सत्तारुढप्रतिपक्ष जुहारी"
"धरहरा क्षेत्रका पसल र रेस्टुरेन्टमा डोजर चल्यो (फोटो फिचर)","काठमाडौं : काठमाडौं महानगरपालिकाले शनिबार धरहरा क्षेत्रका पसल तथा रेस्टुरेन्टमा डोजर चलाएको छ । शुक्रबारको नगर कार्यपालिकाको निर्णयअनुसार शनिबार धरहरा क्षेत्रमा रहेका पसल र रेस्टुरेन्ट रहेका टहरा डोजरले भत्काएको हो । काठमाडौं महानगरपालिका, नगर कार्यपालिकाको शुक्रबारको निर्णयमा भनिएको थियो, कार्यपालिकाको निर्णय अनुसार धरहरा परिसरमा भाडामा लगाइएका सम्पूर्ण सटर टहरा तथा रेस्टुरेन्टका भौतिक संरचना २४ घण्टाभित्र भत्काइ खाली गर्ने भन्ने समेत निर्णय भएको हुँदा तपाईंद्वारा संचालित तपाईंको स्वामित्वको पसलका सामानहरु २४ घण्टाभिै हटाई खाली गर्न सहयोग गर्नुहोला । साइड वाकर्श ट्रेडर्स प्रालिसँग धरहरा सञ्चालन व्यवस्थापन प्रयोजनार्थ भएको सम्झौता २०७२ वैशाख १२ को भूकम्पले धरहरा ध्वस्त भएको हुँदा उक्त सम्झौता पूर्ण रुपले स्वतः समाप्त भएको जानकारी समेत महानगरपालिकाको नगर कार्यपालिकाले गराएको थियो । धरहरा पुननिर्माणका लागि टेन्डर आहवान भएपछि टहरा भत्काएको महानगरपालिकाले जनाएको छ । तस्बिर सौजन्य : चन्द्रमणि भट्टराई"
"प्राविधिक शिक्षा पढे रोजगारीको समस्या छैन","प्राविधिक शिक्षा पढे रोजगारीको समस्या छैन"
"""बसले मोटरसाइकललार्इ ठक्कर दिँदा दुर्इको मृत्यु","अन्य दुर्इ गम्भीर"",दमौली: पृथ्वी राजमार्गको व्यास नगरपालिका१२ देउरालीस्थित सडकमा मोटरसाइकल दुर्घटनामा दुईजनाको मृत्यु भएको छ । डुम्रेबाट दमौली आउँदै गरेको ना ५५ प १५९४ नम्बरको मोटरसाइकललाई पोखराबाट काँकडभिट्टा जाँदै गरेको ना ५ ख ३०८२ नम्बरको बसले ठक्कर दिँदा मोटरसाइकलमा सवार दुई युवाको उपचारका क्रममा दमौली अस्पतालमा ज्यान गएको हो । दुर्घटनामा ज्यान जानेहरुमा वीररगन्ज पटौरा सुगौली निवासी अन्दाजी १८ वर्षका राजा राय र धिरज चौधरी छन् । दुर्घटनामा अरु दुईजना घाइते भएका छन् । घाइते त्यही ठाउँका भोला चौधरी र सन्जय चौधरीको पोखराको गण्डकी मेडिकल कलेजमा उपचार भइरहेको प्रहरी नायब उपरीक्षक सुनिल मल्लले जानकारी दिए । प्रहरीका अनुसार डुम्रेस्थित एक हार्डवयरमा कार्यरत साथीकहाँ बिदा मनाउन आएका उनीहरु एउटै मोटरसाइकलमा सवार थिए ।"
"के हो समाजवाद ? डम्बर खतिवडा यसो भन्छन्","के हो समाजवाद ? डम्बर खतिवडा यसो भन्छन्"
"सुन तस्करीमा हुन्डी कारोबारी","काठमाडौं : सुन तस्करीमा हुन्डी कारोबारीहरूको सक्रिय सहभागिता रहेको पाइएको छ । यस्तो कारोबारमा नेपाल, दुबई र भारतका ठूला व्यापारी, गुन्डा नाइके एवं पेसेबर डाँकाको समेत मुख्य भूमिका रहने गरेको सुन तस्करी र सनम शाक्य हत्या प्रकरण छानबिन समितिले खुलासा गरेको छ । सुन तस्करीका विभिन्न जालोमध्ये हुन्डी कारोबार गर्ने व्यापारीको जालो डरलाग्दो रहेको अनुसन्धानमा खुलेको समितिका संयोजक एवं गृह मन्त्रालयका सहसचिव ईश्वरराज पौडेलले बताए । सुन तस्करीका क्रममा हुन्डीबाट ठूलो रकम जम्मा गरी तस्करबीच हिसाब मिलान गर्ने गरेको समेत पाइयो, उनले भने । सुन तस्करीसँगै हुन्डी कारोबारमा मोहनकुमार अग्रवाल, भुजुङ गुरुङ, डेबिट भनिने छिरिङ दोर्जे शेर्पा र सुन काण्डका मुख्य अभियुक्त भनिएका गोरे भनिने चुडामणि उप्रेतीबीच लामो समयदेखि साँठगाँठ रहँदै आएको छ । सुन तस्करीमा मुछिएका यी व्यक्तिको साँठगाँठ कुनै न कुनै रूपमा उच्च तहका राजनीतिक नेतृत्वसँग समेत जोडिएको हुन सक्ने पौडेलको दाबी छ । गोरेले बयानमा केही नेता, भारतीय हुन्डी एवं सुन व्यापारी र कुख्यात अपराधीको समेत नाम खुलाएका छन्, उनले भने, उनको बयानका आधारमा हामीले पुष्टि हुने लिंक खोजिरहेका छौं । नेपालमा दैनिक अर्ब रुपैयाँभन्दा बढी रकम हुन्डीमार्फत कारोबार हुने गरेको प्रहरी बताउँछ । मुख्य सुन कारोबारीको म नाम दिन्छु, पक्राउ गर्ने हिम्मत छ भन्दै गोरेले प्रहरीमाथि प्रश्न तेस्र्याएका व्यक्ति हुन् कुख्यात अन्डरवल्र्ड दाउद इब्राहिम । इब्राहिम भारतीय अन्डरवल्र्ड कुख्यात अपराधी हुन्, जसलाई भारतले मोस्ट वान्डेट सूची र इन्टरपोलमार्फत खोजी गरिरहेको छ । इब्राहिमले हुन्डी व्यवसायसमेत सञ्चालन गर्दै आएको बताइएको छ । सुन र हुन्डी कनेक्सनबारे गोरेकै बयानका आधारमा अनुसन्धान भइरहेको समितिका संयोजक पौडेलले बताए । गोरेले बयानमा केही भारतीय व्यापारी र नेताको नाम पनि पोलेका छन्, उनले भने, हामीले प्रमाण पुग्नेसम्मका व्यक्ति पक्राउ गर्छौं । सुनमा हुन्डी कनेक्सन रहेको र त्यसमा कुन तहसम्म सम्बन्ध रहेको भन्नेबारे समितिले केलाउने उनको भनाइ छ । हुन्डी कारोबारीसँग हाल फरार एसएसपी श्याम खत्रीको सम्बन्ध रहेको र उनलाई पक्राउ गरे थप रहस्य बाहिरिने गोरेले बताएका छन् । समितिले फरार खत्रीसहितका व्यक्तिलाई इन्टरपोलमार्फत खोजी तयारी थालेको छ । गोरेले नेपालबाट भारत जाने ठूलो परिमाणको सुन, हुन्डीलगायत अवैध व्यापारमा दाउदको लगानी रहेको बयानमा खुलाएको समितिका एक सदस्यको भनाइ छ । समितिका अनुसार गोरेले दुई भारतीय व्यापारीका नाम पोलेका छन्, जो हुन्डी व्यापारमा सक्रिय छन् । भारतीय नागरिकसँग दाउदको कनेक्सन जोडिएको र उनीहरूले नेपालको विमानस्थलमा सेटिङ गराउँदै आएको गोरेले बयानमा खुलाएका छन् । गोरेको कनेक्सन भारतीय दुई व्यापारी र ती व्यापारीको कनेक्सन प्रहरी इन्काउन्टरमा मारिएका मनोज पुनसँग रहेको समेत अनुसन्धानबाट खुलेको एक प्रहरी अधिकारी बताउँछन् । पुन पनि मारिनुअघि अन्डरवल्र्डकै संरक्षणमा रहेको प्रहरी अधिकारीले यसअघि नै खुलाएका थिए । विमानस्थलमा सुन तस्करीको बाटो खुला गर्ने सम्पूर्ण जिम्मा भुजुङ गुरुङ, व्यापारी मोहन अग्रवाल र भुजुङको सालो नाता पर्ने डेबिट भन्ने छिरिङ दोर्जेले गर्दै आएको गोरेले बयान दिएका छन् । भुजुङले हुन्डीमार्फत दुबईबाट सुन मगाउने, गोरेले दुबईमा रहेका व्यापारीलाई पैसा तिरिदिने र सुन व्यवस्थापनको काम दोर्जेले गर्दै आएको गोरेले खुलासा गरेका छन् । गोरेको सहयोगमा हालसम्म विमानस्थलबाट तीन हजार आठ सय किलो सुन तस्करी भएको समितिको दाबी छ । यसरी गरिन्छ हुन्डी तीन वर्षयता नेपाल प्रहरीको अपराध महाशाखाले हुन्डीमार्फत कारोबार गर्न लागिएको सवा चार करोड रुपैयाँ बरामद गरेको छ । साथै त्यसमा संलग्न २९ जनालाई उसले पक्राउसमेत गरिसकेको छ । पछिल्लो पटक गत आइतबार महाशाखाले सुनसरी जल्यापुरका बुटिक व्यापारी मोहम्मद वाहिद हुसेन र जाहिद मिया हुसेनलाई १६ लाख चार हजार रुपैयाँसहित नक्साल भाटभटेनीनजिकैबाट पक्राउ गर्यो । उनीहरूले बुटिक व्यापारीको आवरणमा नेपालबाट भारतमा हुन्डी कारोबार गर्दै आएका थिए । महाशाखालाई सुरुमा एक करोड रुपैयाँको सूचना आए पनि १६ लाख मात्रै फेला परेको थियो । व्यापारको आवरणमा हुन्डी कारोबार गर्दै आएको यो प्रतिनिधि उदाहरण रहेको महाशाखा प्रमुख एसएसपी धीरजप्रताप सिंहको भनाइ छ । नेपालमा बस्दै आएका केही व्यापारीले अस्ट्रेलिया, जापान, हङकङ, मकाउ, दुबई, भारत र चीनका व्यापारीसँग मिलेर हुन्डी कारोबार गर्दै आएको महाशाखा बताउँछ । अनुसन्धानमा संलग्न अधिकृतका अनुसार अस्ट्रेलियाबाट मात्रै दैनिक पाँच करोड रुपैयाँ हुन्डीमार्फत नेपाल आउने गर्छ । नेपालमा दैनिक अर्बभन्दा बढी रुपैयाँ हुन्डीमार्फत कारोबार हुने गरेको प्रहरीको दाबी छ ।"
"लोक गायक लामिछाने र संगीतकर्मी राजभण्डारी सम्मानित","भक्तपुर : लोक गायक बुद्धिकृष्ण लामिछाने र वरिष्ठ संगीतकर्मी रोशन राजभण्डारी सम्मानित भएका छन् । भक्तपुर सांगीतिक समाजले आफ्नो प्रथम वार्षिक साधारणसभाको अवसर पारेर शनिबार लोक गायक लामिछाने र वरिष्ठ संगीतकर्मी राजभण्डारीलाई सम्मान गरेको हो । घाँस काट्ने खुर्केर, आयो जोवन हुर्केर,पिंढीमा बसेर, मेरी आमा कुर्दिहुन् मलाई सम्झेर जस्ता लोकप्रिय गीत गाएका लामिछाने र भक्तपुरका वरिष्ठ संगीतकर्मी राजभण्डारीलाई समाजको तर्फबाट वरिष्ठ गायक प्रेमध्वज प्रधानले दसदस हजार नगदसहितको सुशील ढुंगेल साहित्य संगीत सम्मान प्रदान गरेका हुन् । उक्त सम्मानका साथै लोक गायक लामिछानेलाई कार्यक्रममा सहभागी विद्युतीय सामग्री व्यवसायी रोशन भोयद्यो र रुकेश रञ्जितले थप पाँच हजार नगद पुरस्कार दिएका छन् । कार्यक्रममा लोक गायक लामिछानेको सम्मानमा गायक रोशन धौभडेलले लामिछानेका तीनवटा गीत गाए । त्यस्तै रोशन राजभण्डारीको सम्मानमा उनले संगीत भरेको एउटा गीत दृष्टि सुवेदीले गाइन् । कार्यक्रमका प्रमुख अतिथि प्रेमध्वज प्रधानको सम्मानमा कपिल कसपालले प्रधानको एउटा गीत गाएका थिए । उक्त अवसरमा वरिष्ठ गायक प्रधानले आफूहरुको जमानामा भन्दा अहिले गीत संगीतको क्षेत्रमा प्राविधिक रुपले धेरै सजिलो भएको बताए । तैपनि गीत संगीतमा साधना अति आवश्यक भएको उनको भनाइ थियो । गायकले आफ्नो एउटा गीत गाउँदा अरुको तीनवटा गीत सुन्नुपर्छ, वरिष्ठ गायक प्रधानले भने, गायकले आफ्नो गलालाई निखार्न दैनिक रियाज गर्न भुल्नुहुन्न । कार्यक्रममा स्थानीय शिक्षासेवी शिवप्रसाद मुनंकर्मीले भक्तपुरका गायकगायिकालाई सम्मान गर्न अक्षयकोष स्थापनाको लागि भक्तपुर सांगीतिक समाजलाई ५० हजार रुपैयाँ सहयोग गर्ने घोषणा गरे ।"
"कालिकोटको फोइकोट छाउगोठ मुक्त गाउँ घोषणा","कालिकोट : कालिकोट जिल्लाको तिलागुफा नगरपालिका ३ फाइकोटलाई छाउगोठ मुक्त गाउँ घोषणा गरिएको छ । वडामा रहेका सबै गोठ भत्काएर महिनावारी भएका महिलाहरू सुरक्षित रुपमा घर भित्रै बस्न थालेपछि उक्त गाउँलाई भव्य समारोहकाबीच छाउ गोठ मुक्त वडा घोषणा गरिएको हो । नगरपालिकाका ११ वटा वडा मध्ये दुईवटा वडा छाउगोठ मुक्त घोषणा भएका छन् । छाउ प्रथा नमान्ने, गोठमा नबस्ने, खान बस्नमा विभेद नगर्ने वडाबासीहरुले सामुहिक प्रतिवद्धता जनाएका छन् । तिलागुफा नगरपालिका वडा नं ३ का वडा अध्यक्ष सूर्यबहादुर शाहीको अध्यक्षता तथा वडा नं १ का वडा अध्यक्ष दलबहादुर कटुवालको प्रमुख आतिथ्यतामा सामुहिक प्रतिवद्धता भएको छाउगोठ मुक्त वडा कार्यक्रममा महिलाहरुलाई महिनावारी भएको समयमा सुरक्षित बास र पोषिलो खानेकुरा खुवाउने र घर बाहिर नबसाल्ने सबैले वाचा गरे । वडा अध्यक्ष कटुवालले नगरका सबै वडासहित नगरलाई नै छाउगोठ मुक्त नगरका रुपमा घोषणा गर्ने अभियान संचालन गर्ने बताए । उनले सामाजिक कुसंस्कारका रुपमा रहेको छाउपढी प्रथालाई न्युनिकरण गर्न वडास्तरबाट अभियान चलाउने जानकारी दिए । तिलागुफा नगरपालिकाको वडा नं ३ मा रहेका ३ सय २१ घरधुरीहरु अब छाउगोठ मुक्त भएको वडाअध्यक्ष शाहीले बताए । उनले छाउपढी प्रथाको अन्त्यका लागि आफुबाटै सुरुवात गरेको बताए । उनले भने, परम्परादेखि प्रचलनमा रहेका सकारात्मक कुराहरुरुको संरक्षण र गलत कुराहरुको अन्त्य गर्न युवाहरुले नेतृत्व लिनु आवश्यक छ ।आफ्नो वडामा रहेका सबै सरोकारवालाहरुको सहयोगमा छाउगोठ मुक्त गाउँ बनाउन सहज भएको हो । स्वास्थ्य चौकी फोइकोटकी इन्चार्ज बास्मती शाहीले महिलाहरु आफैले म छुई छु नछुनुस भनेर पुरुषहरुबाट किनारा लाग्दा यो प्रथा न्युनिकरणमा चुनौती रहेको बताइन् । उनले फोइकोटका स्थानीयले यसलाई कुसंस्कारका रुपमा बुझेर छाउगोठ मुक्त वडा बनाउन सफल भएको बताउदै अभियानलाई नगरका सबै वडाहरुमा व्यापकताका साथ चलाइने बताइन् ।"
"कर्णाली प्रिमियर लिगको उपाधि आर्मीले चुम्यो","सुर्खेत : कर्णाली प्रदेशमा पहिलो पटक भएको रुस्लान कर्णाली प्रिमियर लिग (केपीएल) टि२० क्रिकेट प्रतियोगिताको उपाधि विभागीय टोली त्रिभुवन आर्मी क्लबले चुमेको छ । शनिबार भएको फाइनलमा शक्ति गौचनको कप्तानीमा रहेको रुपन्देही११ लाई ३७ रनले पराजित गर्दै आर्मीले केपीएलको पहिलो सिजनको उपाधि जितेको हो । उपाधिसँगै आर्मीले तीन लाख नगद पुरस्कार र ट्रफी प्राप्त गरेको छ । उपविजेता रुपन्देहीले नगद एक लाख ५० हजारसहित ट्रफी पाएको छ । टस जितेर रुपन्देहीले पहिलो फिल्डिङ रोजेपछि आर्मीले ब्याटिङ गरेको थियो । अर्मीले निर्धारित २० ओभरमा सात विकेट गुमाएर एक सय ३२ रनको मध्यमस्कोर बनाउन सक्यो । आर्मीका लागि ओपनर सागर पुनले ३८, कप्तान विनोद भण्डारीले २८ र राजेश पुलामीले २२ रनको योगदान दिए । बलिङतर्फ रुपन्देहीका विकास श्रेष्ठले ३ तथा बसिर अहमद, विक्रम भुषाल र सन्दीप सुनारले एक विकेट लिए । आर्मीले दिएको एकसय ३३ रनको लक्ष्य पछ्याएको रुपन्देही ब्याटिङमा जम्न सकेन । रुपन्देही १७ दशमलव ५ ओभरमा अलआउट हुँदै ९५ रनमै समेटियो । रुपन्देहीका लागि निश्चल चौधरीले २६, सन्दीप सुनारले २४, कप्तान शक्ति गौचनले १७ र सौरभ खनालले १६ रनको योगदान दिए । बलिङतर्फ आर्मीका विक्रम शोवले तीन, सुशन भारी र हरीकृष्ण झाले समान दुईदुई तथा जितेन्द्र मुखिया र चन्द्र सावदले एकएक विकेट लिए । खेलको म्यान अफ दि म्याच आर्मीको विक्रम शोव भए । बन्धुविहास बहुउद्देश्यीय सहकारी संस्थाको आयोजनामा जेठ ३ गतेदेखि केपीएलको पहिलो सिजन सुरु भएको थियो । प्रतियोगितामा राष्ट्रिय स्तरका विभिन्न १० टिम सहभागी थिए । प्रतियोगिता कर्णालीमा आयोजना गरिएको अहिलेसम्मकै सर्वाधिक पुरस्कार राशीको हो । प्रतियोगिता पूर्वाधारको अभावमा केही समस्या देखिए पनि खेलाडीको उत्साहपूर्ण सहभागिताका कारण हरेक वर्ष केपीएल आयोजना हुने प्रतियोगिताको संयोजक रेशम शाहीले जानकारी दिए । खेलको म्यान अफ दि सिरिज रुपन्देहीका अलराउण्डर सन्दीप सुनार भए । उनले नगद २५ हजारसहित ट्रफी प्राप्त गरे । त्यस्तै प्रतियोगिताको उत्कृष्ट व्याट्सम्यान आर्मीका सागर पुन घोषित भए । पुनले नगद दस हजारसहित ट्रफी प्राप्त गरे । त्यसैगरी उत्कृष्ट बलर बनेका रुपन्देहीका कृष्ण कार्कीले पनि नगद दस हजारसहित ट्रफी प्राप्त गरे ।"
"के पत्रकार नियम र मर्यादा भित्र बस्नु पर्दैन ?","के पत्रकार नियम र मर्यादा भित्र बस्नु पर्दैन ?"
