"शीर्षक","विवरण"
"""'कांग्रेस प्रतिपक्ष जस्तो हुनै सकेन","देउवाले झन् कम्जोर बनाए'"",""काठमाडौँ: नेपाली काग्रेसका केन्द्रीय सदस्य डा शेखर कोइरालाले संघीय संसदमा आफ्नो पार्टीले सशक्त प्रतिपक्षको भूमिका निर्वाह गर्न नसकेको बताएका छन् । सरकारको नीति तथा कार्यक्रममा कांग्रेस मौन बसेपछि डा कोइरालाले गृहनगर विराटनगर आएर पछिल्लो अभिव्यक्ति दिएका हुन् । कोइरालाले सोमवार गुराँस पुस्तकालको ४८ औँ स्थापना दिवसमा भने, 'सरकारको नीति तथा कार्यक्रममा कांग्रेसले समर्थन या विरोध गर्नुपर्थ्यो । मौन बस्नु दुर्भाग्य हो, यसले लोकतन्त्रलाई कमजोर बनाउँछ । 'कांग्रेस मौन बस्नुले विरोध वा समर्थन के गरेको बुझ्न सकिएन ?' कोइरालाले प्रश्न गरे । कांग्रेस सभापति शेरबहादुर देउवाको कार्यशैलीप्रति असन्तुष्ट देखिँदै आएका कोइरालाले पार्टीमा जस्तै संसदमा पनि कांग्रेसको उपस्थिति सभापतिले कमजोर बनाएको टिप्पणी गरे । 'संसदमा प्रतिपक्ष कमजोर बन्दा लोकतन्त्र कमजोर बन्ने खतरा बढ्छ,' कोइरालाले भने, 'कांग्रेसले प्रतिपक्ष जस्तो व्यवहार पनि देखाउन सकेन र काम पनि गर्न सकेन ।' संसदमा कांग्रेसको उपस्थिति न्यून भए पनि भूमिका शसक्त हुनुपर्ने उनको सुझाव थियो । प्रतिपक्षी सशक्त हुन नसक्दा सरकार तानाशाही बन्दै जाने उनको ठोकुवा छ । आफ्नो कार्यकाल अझै ३ वर्ष बाँकी रहेको सार्वजनिक अभिव्क्ति दिँदै हिँडेका सभापति देउवालाई कोइरालाले भने, 'विधान अनुसार निर्वाचित भएका सभापति विधान अनुसार नै १ वर्ष ९ महिनापछि स्वत: हटनु हुनेछ ।' प्रधानमन्त्री केपी शर्मा ओलीका पछिल्ला गतिविधिले लोकतन्त्र गुम्ने त होइन भन्ने काला बादलहरु देखा परिरहेको उनले बताए । 'कांग्रेस सशक्त प्रतिपक्षी बन्न सकेन भने प्राप्त उपल्ब्धि गुमेर जाने खतरा बढन सक्छ', कोइरालाले भने । गणतन्त्र दिवसको अवसरमा माओवादीका पूर्वसभासद् बालकृष्ण ढुंगेललाई आममाफी दिने ओली सरकारको रवैयाले प्राप्त लोकतन्त्र गुम्ने खतर बढेको उनको संकेत थियो । डा कोइरालाले न्यायपालिका दिनानुदिन कम्जोर हुदै गएको पनि बताए ।"""
"पाटनमा यार्सा गुम्बा खोज्नेको मेला (फोटो फिचर)","डोल्पाः डोल्पाका हिमाली पाटनहरुमा यति बेला यार्सा गुम्बा संकलन गर्नेको मेला नै लागेको छ । माझफालको रुपापाटन लागयत दर्जनौँ पाटनहरुमा संकलकहरु तँछाड्मछाड् गर्दै हरेक दिन बिहानदेखि साँझसम्म दौडिरहेका छन् । आम्दानीको स्रोत र जागिर यार्सागुम्बा नै भएकाले बालबालिका पढाउने र बढाउने सबै यतिबेला यार्साबाट कमाउने भन्दै रुकुमबाट हप्ता दिन हिँडेर रुपपाटनमा पुगेको रुकुम पुथा उत्तरगंगा गाउँपालिकाकी यार्सा संकलक स्मृति मल्लले बताइन् । यार्सागुम्बा संकलनका लागि साना बालबालिका समेत विद्यालय छोडेर हिमाली पाटनमा पुगेका छन् । वृद्धदेखि साना बालबालिका र बच्चाका आमासमेत जाने भएकाले एकै पटक सबैका लागि पन खुल्ला गरिने मेली सामुदायिक वनका सदस्य सुर्वण बुढाले जानकारी दिए । यार्सा टिप्नकै लागि मानिसहरु घरगोठ बन्द गरेर पाटन पुगेका छन् । डोल्पाका साइकुमारी, पोकेपानी, बागडाँडा, ग्यालवारा, ठागे, सागर, नावरपानी, कागमारा, कुनासा, जगदुल्ला र छुताङ्ग लगायतका दर्जनौ स्थानमा हजारौ मानि पुगेका छन् । करिब ४५ सय मिटरको उचाइमा साना बालवालिकादेखि ६० वर्ष भन्दा माथिका वृद्धा र बैसाखीको सहारमा पुगेका अपाङ्गहरुलाई पनि पाटन खुल्ला गरिन्छ ।"
"""मुख्यमन्त्रीलाई मन्त्रीको प्रश्न: बाटैमा गाडी बिग्रियो","के गरौँ ?"",""रुपन्देही: 'मुख्यमन्त्रीज्यू, गाडी बिग्रियो के गरौं ?' प्रदेश सरकारका विभिन्न मन्त्रालयका मन्त्रीले बाटोमा हिँड्दा हिँड्दै सोध्ने गरेको यो एउटा सामान्य तर विडम्बनापूर्ण प्रश्न हो । 'हामीले यस्तो अप्ठ्याराका बीच काम गरिरहेका छौं,' मुख्यमन्त्री तथा मन्त्रिपरिषद्को कार्यालयले एकसय दिनमा सम्पादन भएका मुख्य कामका विवरण सार्वजनिक गर्न आइतवार बुटवलमा आयोजित पत्रकार सम्मेलनमा प्रदेश नं ५ का मुख्यमन्त्री शंकर पोखरेलले भने । कानूनको अभाव, भौतिक पूर्वाधारको अभाव र जनशक्तिको अभाव भएपनि अप्ठ्याराको सामना गरेर काम गर्दैआएको जानकारी दिँदै उनले भने, 'प्रदेश सरकार अलमल र द्विविधामा छैन ।' 'प्रदेशको विकासको अवधारणामा हामी स्पष्ट छौं । अहिले विकासको अवधारणामा काम गरिरहेका छौं, अर्को वर्ष योजनामा काम गर्छौं', मुख्यमन्त्री पोखरेलले अगाडि भने, 'संवैधानिक अधिकार र दायित्वको हिसाबले जुन काम भएको छ, त्यो अत्यन्तै कम हो ।' प्रदेश सरकारप्रति जनताको अपेक्षा धेरै भएको भन्दै मुख्यमन्त्री पोखरेलले जिल्लामा रहेका कार्यालयलाई प्रदेश सरकारको इकाइको रुपमा रुपान्तरण गरिने जानकारी दिए । उनले सिद्धार्थ राजमार्गको सिद्धबाबा सडकखण्डमा पहिरो लाग्ने समस्याको दिगो समाधान खोज्न छलफल भइरहेको पनि जानकारी दिए । प्रदेश नं ५ को मा २०७४ फागुन ३ गते सरकार गठन भएको थियो । मुख्यमन्त्री पोखरेलले प्रदेशमा तीन हजार जनशक्ति आवश्यक भएको उल्लेख गर्दै भने, 'केन्द्रीय सरकारले कस्तो जनशक्ति पठाउँछ, त्यो हेर्छौं र छ महिनापछि प्रादेशिक लोकसेवा आयोग निर्माण गरेर काम अघि बढाउँछौं ।' प्रदेश सरकार गठन भएको छोटो समयमा प्रादेशिक जग निर्माणका लागि प्रदेशको स्थितिपत्र तयार पार्ने काम सम्पन्न भएको र भौतिक संरचना र स्रोत जुटाउन भौतिक पूर्वाधार विकास मन्त्री बैजनाथ चौधरीको संयोजकत्वमा समिति बनाइएको जानकारी पनि उनले दिए । भौतिक पूर्वाधार विकास मन्त्री बैजनाथ चौधरीले संविधानमा व्यवस्था गरिएअनुरुप कर्मचारी समायोजन र प्राकृतिक स्रोत तथा वित्तीय आयोग गठन नभएका कारण प्रदेश सरकारलाई पूर्ण क्षमतामा काम गर्न कठिनाइ भएको बताए । लुम्बिनी क्षेत्रमा पर्यटकको बसाइँ लम्ब्याउन, लुम्बिनी सर्किटमा मोनोरेल सञ्चालन गर्न र प्रदेशभित्रका पर्यटकीय क्षेत्रमा होमस्टे प्रवद्र्धन गर्न सम्भाव्यता अध्ययन भइरहेको प्रदेश सरकारले जनाएको छ । त्यस्तै, प्रदेशमा नयाँ औद्योगिक क्षेत्र विस्तारका लागि सम्भाव्यता अध्ययन, रासायनिक बिषादीको विकल्पसम्बन्धी अध्ययन, प्रदेशभित्र सञ्चालित राष्ट्रिय गौरवका आयोजनाको कार्यप्रगति तथा वर्तमान अवस्थाको अध्ययन गरी प्रतिवेदनसमेत तयार भएको बताइएको छ । आइटी पार्क निर्माणका लागि अध्ययन गर्ने र कपिलवस्तुको जगदीशपुर ताल संरक्षणका लागि जैविक विविधतायुक्त उद्यान बनाउने कार्ययोजना तयार पार्ने काम पनि प्रदेश सरकारले सम्पन्न गरेको छ ।"""
"अब शिक्षा र स्वास्थ्य क्षेत्रको सिन्डिकेट अन्त्य गरिनेछ'","काठमाडौं : गृहमन्त्री रामबहादुर थापाले शिक्षा र स्वास्थ्य क्षेत्रमा देखिएको एकाधिकार अब चाँडो अन्त्य हुने बताएका छन । सिंहदरबारस्थित आफ्नो कार्यकक्षमा सोमबार विद्यार्थीसँगको भेटघाटमा उनले शिक्षा र स्वास्थ्य क्षेत्रमा आम नागरिकको सहज पहुँच पुर्याउन तथा यससंग सम्बन्धीत व्यवसायमा संलग्न माफियालाई कारबाही गरी एकाधिकारको अन्त्य गरिने प्रतिबद्धता व्यक्त गरे । यसअघि सरकारले यातायात क्षेत्रको एकाधिकार अन्त्य गरी कम्पनीमा दर्ता गर्नुपर्ने नियम कार्यान्वयन गरेको थियो । पुनःगठित अखिल क्रान्तिकारीका अध्यक्ष आलोक रायमाझी नेतृत्वको प्रतिनिधिमण्डलले शिक्षा र स्वास्थ्य क्षेत्रलाई व्यवस्थित बनाउन माग गर्दै ध्यानाकर्षण गराएपछि मन्त्री थापाले उक्त प्रतिबद्धता व्यक्त गरे ।"
"'कलंकीनागढुंगा सडक निर्माणमा लापरबाहीको छानबिन हुन्छ'","काठमाडौँ: गृहमन्त्री रामबहादुर थापाले कलंकीनागढुंगा सडक निर्माणमा भएको लापर्बाहीको छानबिन हुने बताएका छन् । सोमबार चन्द्रागिरि नगरपालिकाले आयोजना गरेको कार्यक्रमका सहभागीले सो सडक निर्माणमा भएको ढिलाइका कारण विभिन्न समस्या भोग्नुपरेको बताएपछि गृहमन्त्रीले छानविनपछि दोषी देखिए ठेकेदारलाई कारबाही हुने बताएका हुन् । गृहमन्त्री थापाले समयमा विकास निर्माणको काम सम्पन्न नगर्नु भ्रष्टाचार गरेको सरह नै भएको उल्लेख गर्दै यो कुरा सरकारलाई स्वीकार्य नहुने स्पष्ट पारे । 'गृहमन्त्रालयले देशभरबाट विकास निर्माणमा भइरहेको ढिलाइको विवरण संकलन गरिरहेको छ', उनले भने, 'प्राप्त विवरणका आधारमा छानबिन गरी दोषीमाथि कारबाही गरिनेछ ।' त्यस अवसरमा गृहमन्त्री थापाले चन्द्रागिरि नगरपालिका वडा नं २ लाई निःशुल्क वार्इफार्इ क्षेत्र घोषणा गरिनुका साथै वडामा स्वास्थ्य चौकी भवनको शिलान्यास पनि गरे । त्यसैगरी थापाले सो वडामा आयोजित महिलाका लागि शीपमूलक तथा आयमूलक तालीम कार्यक्रममको पनि आजै उद्घाटन गरे । रासस"
"प्रदेश सात सरकारका सय दिनः समस्यै समस्याको चाङमा बित्यो","धनगढीः प्रदेश नम्बर ७ कामुख्यमन्त्री त्रिलोचन भट्टले सरकारका सय दिनको समिक्षा गर्दै अहिलेसम्म समस्यै समस्यामा गुज्रेको बताएका छन् । मुख्यमन्त्री तथा मन्त्री परिषद्को कार्यालयमा आयोजना गरिएको पत्रकार सम्मेलनमा मुख्यमन्त्री भट्टले प्रदेश सरकार अहिले पनि कर्मचारी, कानुन र पुर्वाधारको अभावसँग जुधिरहेको बताए । उनले काुननै नभए पनि जनताका गुनासा सुन्नका लागि हेलो सिएम कार्यक्रम सुरु गरेको, फोहरमैला व्यवस्थापन गरेको, ट्राफिक नियमन गरेको, अस्पताल र औषधिनियमन गरेको, विपदका घटना र त्यसको क्षतिको विवरण संकलन गरेको, मुख्यन्यायाधीवक्ताको चयन गरेको र प्रदेश पदाधीकारी तथा प्रदेश सभाका पदाधीकारीहरुको सुविधासम्बन्धी व्यवस्था आफ्नो सय दिनको उपलब्धी भएको बताए । सरकारका सय दिनमा तीनवटा विधेयकपारित भएको, दुई वटा विचाराधीन रहेको र पाँच वटाका लागि सैद्धान्तीक सहमति दिई सकेको पनि पत्रकार सम्मेलनमा जानकारी दिइयो । सरकारका सय दिनको उपलब्धीबारे प्रदेश सरकारका प्रवक्ता एवम् आन्तरिक मामिला तथा कानुनमन्त्री प्रकाश शाहले सरकारले स्वीकृत गरेको दरबन्दीमा अझै १०२ जना कर्मचारी खटाई नदिएको बताए । उनले खटाएका कर्मचारीमध्ये पनि अझै २१ जना नआएको बताए । सरकारको सय दिनमा गरिएको कामहरु भन्दा पनि मन्त्रीशाहले सवारी साधन अभाव रहेको, प्रदेश मन्त्रालयअन्तर्गत अरु कार्यालयहरु आइनसकेकाले समस्या भएको, प्रदेश सरकारको योजना तर्जुमा प्रकृया तय भई नसकेको, राजश्वको स्रोतको संकलनमा अन्तरतह समन्वय आवश्यक रहेको भन्दै समस्या नै समस्या प्रस्तुत गरे । प्रदेश सरकारका मुख्यमन्त्री र मन्त्रीहरुले फागुन ६ गते सपथ खाएका थिए ।"
"""बालकृष्ण ढुंगेल रिहा हुँदै","राष्ट्रपतिले दिइन् स्वीकृति"",काठमाडौँः जनयुद्धको समयमा व्यक्ति हत्याको मुद्दामा सर्वोच्च अदालतबाट दोषी ठहर भएर जेल गएका तत्कालीन माओवादीका नेता बालकृष्ण ढुंगेल गणतन्त्र दिवसका अवसरमा मंगलबार रिहा हुने भएका छन् । बालकृष्णलार्इ आममाफी दिने गरी सरकारले रिहार्यका लागि गरेको सिफारिसलार्इ स्वीकृत गर्दै राष्ट्रपतिको कार्यालयले गृहमन्त्रालयलार्इ पत्र पठाएपछि ढुंगेल गणतन्त्र दिवसका दिन रिहा हुन लागेका हुन् । सर्वोच्च अदालतले द्वन्द्वकालिन घटनासम्बन्धी एक मुद्दामा जेलमा रहेका पूर्वसभासद बालकृष्ण ढुंगेलको सजाय माफी दिने विषयको सक्कल फाइल पेश गर्न सरकारलाई आदेश दिएकै दिन राष्ट्रपतिले ढुंगेलको रिहार्इका लागि स्वीकृति दिएकी छन् । सशस्त्र द्वन्द्वका बेला २०५५ सालमा ओखलढुंगाका उज्जनकुमार श्रेष्ठको हत्या गरेको अभियोगमा ढुंगेललाई जिल्ला अदालत ओखलढुंगाले २०६१ सालमै सर्वस्वसहित जन्मकैदको सजाय सुनाएको थियो । त्यसपछि पक्राउ परेर कैद सजाय भुक्तान गरिरहेका बेला पुनरावेदन अदालतले फैसला उल्ट्याइदिएपछि उनी रिहा भएका थिए । त्यसपछि तत्कालिन माओवादीकातर्फबाट २०६४ सालको पहिलो संविधानसभा सदस्यमा उनी ओखलढुंगाबाट निर्वाचितसमेत भएका थिए । २०६६ सालमा सर्वोच्च अदालतले जिल्ला अदालतकै फैसलालाई सदर गरेपछि भने उनी फरार अभियुक्त बने । तर राजनीतिक रूपमा भने उनी निरन्तर क्रिय देखिन्थे । सर्वोच्चले बारम्बार ताकेता गर्दा पनि प्रहरीले पक्राउ गर्न आनाकानी गरिरहेकामा अदालतको आदेश कार्यान्वयन नगरेको भन्दै २०७४ कात्तिक ७ मा प्रहरी प्रमुखविरुद्ध अवहेलना मुद्दा दायर भएपछि ढुंगेल पक्राउ परेका थिए । सर्वोच्चका न्यायाधीश मीरा खड्का र टंकबहादुर मोक्तानको संयुक्त इजलासले सोमबार बालकृष्णको रिहा गर्ने निर्णय गरेको सरकारी फाइल उपलब्ध गराउन आदेश दिएको थियो । सोमबारको बहसपछि सर्वोच्चको आदेशमा सरकारको माफी दिनेसम्बन्धी सिफारिसको फाइल महान्यायाधीवक्ता कार्यालयमार्फत इजलासलाई देखाएर फिर्ता लैजान भनिएको थियो । ढुङगेललाई माफी हुने वा नहुने विषयमा सक्कल फाइल आएपछि मात्र निर्णय सर्वोच्ले गर्ने भएको छ । सरकार र ढुङ्गेलविरुद्ध वरिष्ठ अधिवक्ता दिनेश त्रिपाठीले दायर गरेको रिटमा मंगलबार पनि बहस हुनेछ । पढ्नुस्: बालकृष्ण ढुङ्गेलको माफी विवाद : सर्वोच्चले फाइल झिकायो"
"भिरबाट लडेर एक महिलाको मृत्यु","ओखलढुंगाः सिद्धिचरण नगरपालिका५ वर्णालुमा भिरबाट लड्दा एक महिलाको मृत्यु भएको छ । सिद्धिचरण नगरपालिका ५ की ४० वर्षीया सन्तमाया राईको भिरबाट लडेर मृत्यु भएको हो । सोमबार दिउँसो ३ बजे घाँस काट्न जाँदा राईको लडेर घटनास्थलमै मृत्यु भएको जिल्ला प्रहरी कार्यालयले जनाएको छ ।"
"""प्रेमीसँग भागेकी युवतीलाई पञ्चायतको मृत्युदण्ड","अभिभावकले कुटेर ज्यान लिए"",एजेन्सी: भारतको मध्यप्रदेशस्थित मुरैना जिल्लामा प्रेमीसँग भागेकी एक युवतीलाई पञ्चायतले मृत्युदण्डको सजाय सुनाएपछि उनका अभिभावकले कुटपिट गरी ज्यान लिएका छन् । युवकयुवतीको समाज र गोत्र एउटै भएका कारण उनीहरुबीच बिहे हुन सम्भव थिए । मध्यप्रदेशको नुराबाद पुलिसले हत्याको यस घटनामा उजुरी दर्ता गरेर छानबिन थालेको छ । मुरैना जिल्लका अतिरिक्त पुलिस अधिक्षक अनुराग सुजेनियाका अनुसार यो घटना २४ मे मा भएको हो । शंकास्पद अवस्थामा १८ वर्षीया युवतीको ज्यान गएको थियो । शवलाई उनका घरवालाले पोस्टमार्टम नगरी आफ्नो खेतमा लगेर जलाइदिएका थिए । सुजेनियाका अनुसार यस घटनाको पुलिसलाई २५ मे मा सूचना मिलेको थियो । त्यसपछि पुलिसले आफूसँगै फोरेन्सिक जाँच टोलीलाई लिएर शवको अनुसन्धान गरेको थियो । सुजेनियाका अनुसार पुलिसले मृतकका परिवारजनको खोजी गरिरहेको छ । उनका अनुसार युवतीको प्रेम प्रसंग नजिकैको गाउँ मोरोपुराका युवक सोनुसँग चलिरहेको थियो । दुवैजना एकै गोत्रका थिए । यसैले उनीहरुको बिहे हुन सक्ने अवस्था नरहेको परिवारले जनाएका थिए । परिवारले नमानेपछि दुवैजना भागेका थिए । तर उनीहरु भागेपछि परिवारजनले युवतीलाई घर फर्काएमा युवकलाई केही नभन्ने भन्दै फकाएका थिए । त्यही अनुसार युवतीलाई गाउँमा फर्काइयो । त्यसपछि युवतीका परिवारजनले आफ्ना नातागोता र समाजका सदस्यहरुलाई बोलाएर पञ्चायत डाके । त्यो पञ्चायतले युवतीलाई मृत्युदण्डको सजाय सुनाएको थियो ।"
"जनकपुरबासीलार्इ भारतीय भनेपछि सुष्मा स्वराजले माफी मागिन्","काठमाडौँः नेपाली भूभागका जनकपुरबासीलार्इ भारतीय भनेपछि सुष्मा स्वराजले माफी मागेकी छन् । सोमबार नयाँ दिल्लीस्थित विदेशमन्त्रालयमा भएको वार्षिक पत्रकार सम्मेलनमा बोल्दै भारतीय विदेश मन्त्री स्वराजले प्रधानमन्त्री नरेन्द्र मोदीले अमेरिकाको मेडिसनदेखि नेपालको जनकपुरसम्म लाखौँ भारतीय समुदायलाई सम्बोधन गरेको बताएपछि चर्को आलोचना सुरू भएको थियो । अमेरिकाको मेडिसनदेखि जनकपुरको मैदानसम्मा लाखौँ भारतीयलार्इ प्रधानमन्त्री मोदीले सम्बोधन गर्नुलार्इ भारतीय कुटनीतिमा असाधारण सफलता भन्दै मंगलबार बोलेपछि सुष्माको कडा आलोचना सुरू भएको थियो । वार्षिक पत्रकार सम्मेलनका क्रममा भारत सरकारको ४ वर्षे उपलब्धिबारेको पुस्तक विमोचन गर्दै उनले प्रधानमन्त्री नरेन्द्र मोदी प्रवासी भारतीयहरु बसेकै ठाउँमा गएर सम्बोधन गर्ने पहिलो प्रधानमन्त्री भएको जिकिर गरेकी थिइन् । आजभन्दा पहिले कुनै पनि भारतीय प्रधानमन्त्रीले भारतीय समुदायसँग जोडिने गरी सम्बोधन गरेका थिएनन् । नरेन्द्र मोदी यस्तो प्रधानमन्त्री हुन्, जसले अमेरिकाको मेडिसनदेखि जनकपुरको मैदानसम्म लाखौँ भारतीयलाई सम्बोधन गरेर उनीहरुसँग सीधै जोड्ने काम गर्नुभएको छ, सुष्माले यसो भनेको भिडियो यु ट्युबमा पनि राखिएपछि कडा आलोचना सुरू भएको थियो । सुष्माले जनकपुरको नाम लिए पनि जनकपुरमा भारतीयको उपस्थिति नगन्य रहेको छ । जनकपुरमा मोदी आउँदा एकाध हजार भारतीय बिहारबाट आए पनि नेपालीसहित ३० हजार भन्दा धेरै सहभागी भएका थिएनन् । सुष्माले करिब डेढ घण्टा लामो सवाल जवाफमा निकट छिमेकी नेपालसँगको सम्बन्ध, प्रधानमन्त्री केपी शर्मा ओलीको भारत भ्रमण र भारतीय प्रधानमन्त्री मोदीको नेपाल भ्रमणबारे एक शब्द पनि बोलेकी थिइन्न । तर उनले जनकपुरमा मोदीले लाखौँ भारतीयलार्इ सम्बोधन गरेको विवादास्पद अभिव्यक्ति दिन भ्याइन् । विदेश मन्त्री सुष्माले चीन, पाकिस्तान, अमेरिका, माल्दिभ्स, बंगलादेश र म्यानमारसहितका देशसँगको सम्बन्धको खुलेर चर्चा गर्दा पालको नामै लिइनन् । तर बिहारसँग जोडिएको जनकपुरमा मोदीले गरेको सम्बोधनलाई उनले भारतीय नागरिकलाई गरेको सम्बोधनको संज्ञा दिँदै विवादमा परिन् । भारतीय प्रधानमन्त्री मोदी गत वैशाख २८ गते जनकपुर हुँदै नेपाल भ्रमणमा निस्केका थिए । उनले जनकपुरको बाह्र बिघा मैदानमा नागरिक अभिनन्दनका क्रममा सम्बोधन गरेका थिए । सम्बोधनको आयोजना प्रदेश सरकार र जनकपुर उपमहानगरपालिकाले गरेको थियो । प्रदेश २ का विभिन्न जिल्लाबाट सर्वसाधारणलाई भोकै भोकै सहभागी गराइएको थियो ।                ()  ,"
