"शीर्षक","विवरण"
"कतार संकटको एक वर्ष : इरानविरुद्ध बाह्य शक्तिलाई साथ नदिइने घोषणा","एजेन्सी सिंगापुर : कतारले आफ्नो छिमेकीविरुद्ध बाह्यशक्तिलाई ननिम्त्याउने खुलासा गरेको छ । छिमेकी इरानलाई फसाउने गरी द्वन्द्वको वातावरणलाई प्रोत्साहन नगर्ने कतारी उच्च अधिकारीले आइतबार बताएका छन् । कतारी रक्षामन्त्री खालिद विन मोहम्मद अलअतियाले सिंगापुरमा भइरहेको अन्तर्राष्ट्रिय सुरक्षा सम्मेलनमा बोल्दै भने, इरान र हामीबीच अनेकौँ मतभिन्नता रहे पनि हामीले इरानविरोधी द्वन्द्वलाई प्रोत्साहन गर्नेछैनौं । अतियाले क्षेत्रीय विवाद बढाउँदै इजरायल र अमेरिकालाई इरानविरुद्ध निम्ताउनु बुद्धिमानी नभएको स्पष्ट पारेका छन् । इरान कतारको छिमेकी भएको बताउँदै उनले छिमेकीविरुद्ध बाह्यशक्तिलाई निम्त्याउन नसकिने जानकारी दिएका छन् । यदि इरानलाई कमजोर पार्न तेस्रो पक्ष वा अन्य शक्ति राष्ट्रलाई यस क्षेत्रमा निम्त्याइयो भने यो क्षेत्रकै लागि धेरै खतरनाक हुनेछ । कतारी रक्षामन्त्रीको यो प्रतिक्रिया साउदी अरेबियाको नाम नलिईकनै साउदीले इरान तथा इरानलाई सघाएको भन्दै कतारमाथि लगाएको नाकाबन्दीप्रति लक्षित गरी आएको हो । कतार संकटको एक वर्ष दुबई : खाडी मुलुक कतारविरुद्ध साउदी अरेबिया र उसका समर्थक देशले नाकाबन्दी गरेको एक वर्ष पुगेको छ । यसलाई खाडी क्षेत्रमा पछिल्लो केही समयदेखिको सबैभन्दा ठूलो कूटनीतिक संकटका रूपमा हेरिएको छ । खाडी क्षेत्रको तनाव गत वर्षको जुन ५ बाट शुरु भएको थियो । साउदी अरेबियाको नेतृत्वमा कतारमाथि भएको नाकाबन्दीमा बहराइन, इजिप्ट र युनाइटेट अरब इमिरेट्स (युएई)ले साथ दिएका थिए । उनीहरूले सोही समयमै कतारसँगको सबै कूटनीतिक सम्बन्ध विच्छेद गरेको घोषणा गरेका थिए । कतारले आतंकवादलाई सहयोग पुर्याएको र इरानसँग नजिकिएको नाकाबन्दी लगाएका मुलुकले कतारलाई आरोप लगाएका छन् । कतारले भने उनीहरूको आरोप अस्वीकार र खण्डन गर्दै आइरहेको छ । उनीहरूले कतारसँगको स्थल र जल नाका अहिलेसम्म पनि बन्द नै गरेका छन् भने हवाई सेवा टुटाएका छन् । ती देशले कतारका नागरिकलाई आफ्नो देशबाट निकाला पनि गरेका छन् । साउदी अरेबियाले कतारको अलजजीरा टेलिभिजन च्यानलको रियाद ब्युरो कार्यालय पनि बन्द गरिदिएको छ । नाकाबन्दी लगाउने देशहरूले गत वर्षको जुन २२ मा साउदी नेतृत्वमा कतारलाई १३ बुँदे माग तथा शर्त पूरा गर्न दबाब दिएका थिए । मागमध्ये एउटा अलजजीरा च्यानल बन्द गर्नुपर्ने माग पनि थियो । त्यसैगरी इरानसँगको सम्बन्धलाई महत्व दिन नहुने, कतारमा रहेको टर्कीको सैनिक शिविर बन्द गर्नुपर्ने शर्त पनि ती देशले राखेका थिए । माग तथा शर्त पूरा गर्न उनीहरूले कतारलाई दश दिनको समय दिएका थिए । ती माग पूरा गर्न नसक्ने अडान कतारले लिएपछि उसमाथि आर्थिक तथा सबै किसिमको नाकाबन्दी गरिएको हो । विवाद समाधान नभइरहेका बेला गत सेम्टेम्बर ८ मा कतारका राजाले साउदी अरेबियाका युवराजसँग वार्ता गर्न चाहेको खबर पठाए । राजाको त्यो आह्वानलाई कतारी सञ्चारमाध्यमले गलत तरिकाले व्याख्या गरेको भन्दै साउदीले निहुँ खोजेको थियो । त्यसपछि सेम्टेम्बर ९ मा साउदीले कतारसँग कुनै वार्ता नहुने जवाफ पठायो । सन् २०१८ को अप्रिलमा अमेरिकाका राष्ट्रपति डोनाल्ड ट्रम्पले कतारका राजालाई भेटेर नाकाबन्दीका बारेमा समाधान निकाल्न आग्रह गरे । नाकाबन्दीका बारेमा संयुक्त राष्ट्रसंघमा पनि छलफल भयो । राष्ट्रसंघले पनि कूटनीतिक समाधानका लागि दुवै पक्षलाई आह्वान गर्यो । यद्यपि दुवै पक्ष आआफ्ना निर्णयमा अडिग रहे । कतारले रूसी एस४०० हवाई रक्षा प्रणाली किनेमा कतारविरुद्ध सैन्य कारबाही गरिने साउदीले चेतावनी दिएको छ । हतियार खरिदका लागि निकट समयमा हुन लागेको सम्झौता अवरुद्ध गर्न पनि साउदीले फ्रान्सलाई गुहारेको छ । क्षेत्रीय स्थायित्वका लागि कतारले हतियार किन्न नहुने भन्दै साउदीले फ्रान्सेली राष्ट्रपतिलाई सहयोग गर्न भनेको गोप्य सूचनालाई उद्धृत गर्दै फ्रान्सेली दैनिक पत्रिका ल मोँद दैनिकले शनिबार लेखेको थियो । कतारले यसै वर्षको जनवरीमा मस्कोसँग अत्याधुनिक एस४०० हतियार प्रणालीका विषयमा छलफल चलिरहेको बताएको थियो । त्यतिबेला छलफल निकै अघि बढिसकेको बताइएको थियो । मार्चमा रूसी राष्ट्रपति भ्लादिमिर पुटिन र साउदी शेखबीच भेटवार्ता भएको थियो । कतारले रूससँग मित्रताको हात अघि बढाएको छ । खाडीमा उदीयमान मुलुक कतारसँग साउदी र यसका पक्षधर मुलुकहरू उसलाई कमजोर पार्न चाहन्छन् । कतारले आफूमाथि लगाइएको आर्थिक नाकाबन्दी अन्यायपूर्ण भएको बताउँदै आएको छ । गत सातादेखि कतार साउदी र अरब इमिरेट्सका सामान बजारबाट हटाउन आदेश दिइसकेको छ । उसले त्यस्ता सामान नहटाउने पसलमाथि कडा कारबाही गर्ने पनि घोषणा गरेको छ । खाडी मुलुकहरूले एक्लाइरहेका बेला कतारले रूस लगायतका नयाँ सहयोगीको खोजी गरेको छ ।"
"तटबन्ध बनेपछि जोगबुढा पीडितको बस्ती जोगिने आशा","दोधाराचाँदनी ः कञ्चनपुरको महाकाली नगरपालिका ३ भैरव टोलका बलवहादुर सुनार हरेक वर्ष खेतीपाती सकेर कामको खोजीमा भारत जान्छन् । उनलाई भारतमा कामको खोजीभन्दा पनि घरको बढी चिन्ता हुने गथ्र्यो । घर छेउमा बगिरहेको जोगबुढा नदीले धेरैलाई बेघर बनाई सकेकाले उनलाई पनि आफ्नो घर कहिले बगाउने हो भन्ने चिन्ता भइरह्न्थ्यो । तर यसपाली भने उनी ढुक्क भएर काम गर्ने भएका छन् । उनको घर छेउमा तटबन्ध निर्माण भइरहेको छ । राष्ट्रपति चुरे तराई मधेस संरक्षण विकास समिति अन्र्तगत जल उत्पन्न प्रकोेप व्यवस्थापन डिभिजन कार्यालय धनगढीले तटबन्ध निर्माणको काम गरेको हो । म कामका लागि भारत हुँदा पनि वर्षायाममा घरकै चिन्ताले पिरोल्ने गथ्र्यो, वर्षा भयो भने घरकै चिन्ता, अनी फोन गरेर सोधी हाल्नुपर्ने की नदी कहाँ सम्म पुग्यो भनेर,स्थानीय बलवहादुर सुनारले भन,अहिले जोगबुढा नदीमा नदी नियन्त्रणका लागि तटबन्ध निर्माण भइरहेकाले अब बाढीको असरबाट जोगिन्छ भन्ने आशा जागेको छ । भारतको उत्तराञ्चलको चम्पावत र उधमसिहनगर जिल्लाको सीमाना छुट्याउदै जोगबुडा नदी महाकाली पारीका गाउँ दोधारा चाँदनी पस्छ । भारतबाट आउने नदीले वर्षेनी नेपालीहरुलाई डुवानमा पार्दै आएको छ । महाकाली नगरपालिका वडा नम्बर १ देखि कुतियाकवरसम्म कै क्षेत्रसम्म प्याकेजमा तटबन्ध निर्माणको काम भइरहेकाले स्थानीयमा बस्ती जोगिने आशा पलाएको हो । उत्तरतिर जिरो प्वाइन्ट राखेर तटबन्धको काम भइरहेको छ, यसले अब यो क्षेत्रमा बाढीले पुर्याउदै आएको असर कम होला भन्ने लागेको छ, महाकाली नगरपालिका ३ का वडाअध्यक्ष पुष्करराज जोशीले भने । उनले तटबन्ध निर्माण हुनु अघि बस्ती जोगिने आशै नभएको बताए । ्जोगबुढा नदीमा तटबन्ध निर्माण भएसंगै स्थानीयले अब बस्ती जोगिने भन्दै पक्की घर समेत निर्माण गर्न थालेका छन । पहिले तटबन्ध निर्माण नहुँदा उठिबास हुने डर थियो, कच्ची घर मात्रै थिए, अहिले पक्की घर समेत बन्न थालेका छन् जोशीले भने । जोगबुढा नदीले धेरै घरपरिवारको जमिन बगरमा परिणत गरेर सुकुम्बासी बनाई दिएको छ । भारतको बनबासाको पश्चिम भएर बग्ने जोगबुढा नदी दोधारा चाँदनी पसेपछि महाकाली पारिको गाउँलाई पनि डुबाईदिन्छ । महाकाली पारिको पनि जोडबुढाको पारीको बस्तीमा करिब ३ हजार घरधुरीको बसोबास रहेको छ । हामी सधै वर्षातमा राति नसुतेरै दिन काट्दै आएका थियौं, स्थानीय अहिमान सिंहले भने ,अब तटबन्ध निर्माणसंगै यस क्षेत्रका बस्तीहरु जोगिन्छन् भन्ने लागेको छ । उनले जोगबुढा नदीमा निर्माण सुरु भएको तटबन्ध निर्माणको कामबीचमै नरोकिदिन आग्रह गरे । जोगबुढा नदीले माहाकाली नगरपालिकाको १,२,३,६,७,८,९ र १० नम्बर वडामा क्षति पुयाउँदै आएको थियो । ठूलो गुरुयोजना बनाएरै हामीले तटबन्ध निर्माणको कामलाई अघि बढाएका हौंं, जल उत्पन्न प्रकोप व्यवस्थापन डिभिजन कार्यालय धनगढीका प्रमुख रणबहादुर वमले भने । १ अर्ब ४६ करोडको गुरुयोजना तयार पारेर हामीले मन्त्रालयमा बुझाइसकेका छौं, तर अहिलेसम्म गुरुयोजना स्वीकृत भने भइसकेको छैन् । कार्यक्रम अन्र्तगत अहिलेसम्म ४ किलोमिटर तटबन्ध मात्रै निर्माण भएको छ भने थप ७ किलोमिटर तटबन्ध निर्माणको ठेक्का भई निर्माणको काम समेत सुरु भइसकेको छ । जोगबुढा नदीको वारि र पारि गरी करिब २८ किलोमिटर तटबन्ध निर्माण गर्नुपर्छ, हामीले गुरुयोजनामा त्यही पठाएका छौै, डिभिजन प्रमुख वमले भने,गुरुयोजना स्वीकृत भई प्रत्येक वर्ष बजेट निकास भए मात्रै समयमा नदी नियन्त्रणको काम सकिने अवस्था रहन्छ ।"
"घान्द्रुकमा प्रचण्ड","अन्नपूर्ण सेन्चुरी महोत्सवको आइतबार समापन समारोहमा कास्कीको घान्द्रुकमा बोल्दै नेपाल कम्युनिस्ट पार्टीका अध्यक्ष तथा पूर्व प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्ड । उनले समृद्ध नेपालका लागि लागिपर्ने बताएका थिए । आफ्नो जन्मस्थान पनि पर्ने कास्कीको निर्वाचन क्षेत्र नम्बर ३ का कार्यक्रमहरुमा दाहालको आउजाउ बढ्न थालेको छ । उनले जन्मस्थानमा जमिन किन्ने घोषणा यसअघि नै गरिसकेका छन् । तस्बिर : अन्नपूर्ण ।"
"भारतमा पेट्रोलियम पदार्थ सस्तो हुँदा नेपालमा किन महँगो ?","काठमाडौँ: नेपालको एक मात्र पेट्रोलियम पदार्थ निर्यातक भारतमा एकसाता अघिदेखि तेलको मूल्य निरन्तर ओरालो लागेको छ । भारतमा बितेको साताको पाँच दिनमा मात्रै पेट्रोलको मूल्यमा ३४ पैसा घट्यो । यही आइताबार भारतीय आयल निगमले पेट्रोलको मूल्य १० पैसा घटायो । नेपालमा शनिबार मात्रै पेट्रोलियम पदार्थको मूल्य नेपाल आयल निगमले बढाएको थियो । आयल निगमको सञ्चालक समिति बैठकले शनिबार राति १२ बजेबाट लागू हुनेगरी पेट्रोल, डिजेल र मट्टीतेलमा ३३ रुपैयाँ मूल्य बढाएको थियो । त्यसैगरी हवाई इन्धनमा आन्तरिकतर्फ पाँच रुपैयाँ बढेको आयल निगमका प्रवक्ता वीरेन्द्र गोइतले बताए । मूल्य बढेसँगै अब पेट्रोल प्रतिलिटर ११३ रुपैयाँ पुगेको छ । डिजेल र मट्टीतेलको मूल्य भने ९५ रुपैयाँ पर्छ । भारतीय आयल कर्पोरेशनले शुक्रबार नयाँ मूल्यसूची पठाएपछि निगमले मूल्य समायोजन गरेको प्रवक्ता गोइतको भनाइ छ । खाना पकाउने ग्यासको भने मूल्य बढेको छैन । किन हुन्छ यस्तो ? भारतीय बजारमा अन्तर्राष्ट्रिय मूल्य प्रणाली अनुसार दिनदिनै पेट्रोलियम पदार्थको मूल्य तलमाथि भइरहन्छ । भारतीय आयल निगमले हरेक महिनाको दुई पटक नेपाल आयल निगमलाई मूल्यसूची पठाउँछ । उसले हरेक महिनाको १ तारिखदेखि १५ सम्मको मूल्य विश्लेषणसहितको सूची एक पटक र १६ तारिखदेखि महिनाको अन्तिमसम्मको मूल्यसूची अर्को पटक पठाउँछ । भारतले मे अन्तिममा पठाएको मूल्य विश्लेषण सूचीमा त्यहाँ पेट्रोलियम पदार्थको भाउ बढेको थियो । यसभन्दा अघि मे १४ देखि २८ सम्म भारतमा तेलको मूल्य लगातार उकालो लागेको थियो । त्यसक्रममा भारतमा पेट्रोल करिब ४ रुपैयाँ र डिजेल ३६२ रुपैयाँसम्म महँगो भएको थियो । नेपालमा अहिले भारतले मे १५ देखि अन्तिमसम्का लागि पठाएको मूल्यसूची अनुसार आयल निगमले पेट्रोलियम पदार्थ बजारमा पठाइरहेको छ । भारतीय बजारमा दैनिक मूल्यमा घटबढ भए पनि नेपालमा प्रत्येक १५ दिनमा मात्रै मूल्य तलमाथि हुन्छ । यस्तो अवस्थामा भारतीय आयल निगमले मे १५ देखि अन्तिमसम्म पठाएको सूचीअनुसार नेपाल आयल निगमले पनि शनिबार मध्यरातिदेखि पेट्रोल, डिजेल र मट्टीतेलमा प्रतिलिटर ३३ रुपैयाँ मूल्य बढाएको हो । किन हुन्छ भारततर्फ तस्करी ? नेपालभारतबीच भएको सम्झौता अनुसार दुवै देशमा पेट्रोलियमको भाउमा धेरै अन्तर राख्न पाइन्न । नेपालमा प्रत्येक १५ दिनमा मात्रै मूल्यमा हेरफेर हुँदा भारतमा दैनिक मूल्य तलमाथि भइरहन्छ । यस्तो अवस्थामा भारतमा महँगो भएको तेल नेपालमा सस्तो पर्ने गर्छ । खुला सिमानाका कारण तेलको तस्करी भारततर्फ हुने गरेको छ । भारतले नाफामा र नेपालले सहुलियत दिएर सस्तो मुल्य बनाउँदा नेपालबाट तेल तस्करी भएर भारत जाने गरेको छ । नेपालमा दैनिक माग भन्दा धेरै तेल खपत हुने गरेको छ । नेपाल सरकारको अनुदानको तेल भारतीयले किनेर सीमापारि तस्करी गर्ने गरेका छन् । नेपाली बजारमा भारतमा भन्दा केही महँगो हुनेबित्तिकै भारततर्फ तेल तस्करी रोकिन सक्छ । यो मूल्य समायोजनपछि भारतमा भन्दा नेपालमा तेल महँगो हुन्छ र सीमापारि तस्करी पनि नियन्त्रण हुन्छ । स्वचालित मूल्य प्रणाली तत्कालीन सुशील कोइराला सरकारको पालामा वाणिज्य तथा आपूर्ति मन्त्री बनेका राप्रपा नेता सुनिलकुमार थापाले पेट्रोलियम पदार्थमा स्वचालित मूल्य प्रणाली लागू गरेका थिए । तर विद्यार्थी संगठन र उपभोक्ताको आन्दोलन तथा निर्वाचनका कारण पेट्रोलियम पदार्थको स्वाचलित मूल्य समायोजन प्रणाली रोकिएको थियो । तत्कालीन प्रधानमन्त्री शेरबहादुर देउवाले निर्वाचनका बेला जनताको विरोध बढ्ने भन्दै स्वचालित मूल्यप्रणाली अनुसार बढाइएको मूल्य फिर्ता गराएका थिए । स्वचालित मूल्य प्रणाली पूर्णरुपमा लागू हुन नसक्दा निगम अहिले पनि घाटामा छ । नेपाल र भारतबीचको पेट्रोलियम सम्झौतामा ठुलो अन्तरको मूल्य राख्न नपाइने भएकाले भारतमा भन्दा नेपालमा पेट्रोलियम पदार्थ सस्तो हुने गरेको छ । जसले गर्दा नेपालमा सस्तोमा किनेर महंगोमा बेच्न भारततर्फ पेट्रोलियम तस्करी हुने गरेको छ । कति छ घाटा ? शनिबार भएको मूल्य वृद्धिपछि समेत निगमलाई अझै १५ दिनको घाटा १८ करोड ६२ लाख रहेको प्रवक्ता गोइतले जानकारी दिए । निगमले यो घाटा पूर्ति गर्न आन्तरिकतर्फ हवाई इन्धनको मूल्य पाँच रुपैयाँ बढाउँदा अन्तर्राष्ट्रिय तर्फको हवाई इन्धनको मूल्य प्रतिहजार लिटर ७५ डलर बढाएको छ । भारतमा घट्दै नेपालमा शनिबार रातिबाट पेट्रोलियम पदार्थको मूल्य बढिरहँदा भारतले आइतबर बिहानै मूल्य घटायो । आइतबारबाटै भारमा पेट्रोल १० पैसा सस्तो भयो । भारतमा गत साताको पाँचदिनमा पेट्रोलको मूल्य ३४ पैसासम्म घट्याे । डिजेलको भाउ भने भारतले यथावत् राखेको छ । भारतको मुम्बईमा पेट्रोल ८५९२ र डिजेल ७३५८ रुपैयाँमा किनबेच भइरहेको छ । दिल्लीमा सबैभन्दा सस्तो ७८११ रुपैयाँमा पेट्रोल किनबेच भइरहेको छ । त्यसैगरी डिजेलको मूल्य पनि दिल्लीमा सबैभन्दा सस्तो छ । त्यहाँ ६९११ रुपैयाँ प्रतिलिटरमा डिजेल बिक्री भइरहेको छ भने मुम्बईमा सबैभन्दा महँगो ७३५८ रुपैयाँमा किनबेच भइरहेको छ । यसभन्दा अघि १४ देखि २८ मेसम्म भारतमा तेलको भाउ लगातार उक्लिएको थियो । यस क्रममा पेट्रोल करिब ४ रुपैयाँ र डिजेल ३६२ रुपैयाँसम्म महँगो भएको थियो । भारतमा घटेको पेट्रोलियमको मूल्यसूची अब १५ जुनमा मात्रै भारतीय आयल निगमले नेपाल आयल निगमलाई पठाउँछ । त्यही मूल्य विश्लेषणका आधारमा निगमले पेट्रोलियम पदार्थको मूल्य बढाउने या घटाउने निधो गर्नेछ । अहिले अन्तर्राष्ट्रिय बजारमा कच्चा तेलको पनि मूल्य घटिरहेकाले आगामी जुन १६ देखि नेपालमा पनि तेलको मूल्यमा गिरावट आउन सक्छ । कच्चा तेल पनि ओरालो विश्व बजारमा अहिले कच्चा तेलको भाउमा गिरावट आएको छ । मे ३० का दिन ६८३३ डलर प्रतिब्यारल पुगेको कच्चा तेलको भाउ शुक्रबारसम्म घटेर ६५६६ डलर प्रतिब्यारलमा झरेको छ । यही दरका कारण भारतमा पनि स्वत: तेलको भाउ घटेको छ । विश्व बजारमा कच्चा तेलको भाउ घट्दा नेपालमा भने तत्कालै असर पर्दैन । नेपालले भारतबाट मात्रै पेट्रोलियम पदार्थ आयात गर्छ, त्यो पनि प्रत्येक १५ दिनमा पठाइने मूल्यसूची अनुसार । शुक्रबार दुई सातायताको सबैभन्दा तल अर्थात् प्रतिब्यारल ६५६६ रुपैयाँमा कच्चा तेलको किनबेच भइरहँदा नेपालमा भने दुई साता अगाडिकै (भारतमा मे १५ देखि मे अन्तिमसम्म) मूल्य अनुसार शनिबार मध्यरातिदेखि भाउ बढाइयो । नेपालमा पेट्रोल डिजेलको भाउ बढ्दा सार्वजनिक यातायातको भाडा त बढेको छैन तर हवाई यातायातको भने भाडा आइतबारदेखि नै ह्वात्तै बढिसकेको छ । नेपाल आयल निगमले भारतीय बजारमा कायम हुने भाउका आधारमा नेपालमा पनि मूल्य घटबढ हुने जनाउँदै आएको छ । वाम सरकार आएदेखि अहिलेसम्म पाँचौ पटक मूल्य बढेको छ । अर्थात्, ८५ रुपैयाँ प्रतिलिटर पाइने पेट्रोलको भाउ बढेर अहिले ११३ रुपैयाँ पुगिसकेको छ । निगमले अझै पनि घाटापूर्ति हुन नसकेको तर्क गर्दै आएको छ । शनिबार मध्यरातिदेखि मूल्य बढाउँदा पनि निगमलाई अझै १५ दिनको घाटा १८ करोड ६२ लाख रुपैयाँ रहेको निगमका प्रवक्ता गोइत बताउँछन् ।"
"मनीषा कोइराला मेरो जीवनकै सबैभन्दा सुन्दरी: सुभास घाई (भिडियोसहित)","काठमााडौँ: बलिउडका पाका तथा प्रसिद्ध निर्देशक सुभास घाईले नेपालकी अभिनेत्री मनीषा कोइराला आफूले जीवनमा देखेका युवतीमध्ये सर्वाधिक सुन्दर युवती भएको बताएका छन् । ४५ वर्षपछि नेपाल भ्रमणमा आएका घाईले सन् १९९१ मा चलचित्र 'सौदागर'मा चयन गर्ने समयमा आफूले मनीषा कोइरालामा दैवी सुन्दरता देखेको बताए । 'मनीषा बलिउडका सुन्दरीमध्ये एक मात्रै होइन उनी त सर्वाधिक सुन्दरी युवती हो', घाई भन्छन् । एपीवान एचडीसँगको विशेष कुराकानीमा निर्देशक घाईले मनीषालाई देख्नासाथ आफूले 'यो मैले खोजेको हिरोइन हो' भन्ने अनुभूति गरेको बताए । 'जब मैले ढोका खोलेँ, बाहिर मनीषा र उनकी आमा उभिइरहेका थिए । मनीषालाई देख्नासाथ मलाई लाग्यो मैले खोजेको हिरोइन त यही केटी हो', घाईले एपीवानसँगको विशेष कुराकानीमा भने । निर्देशक घाईले सबै नेपालीमा दैवी सुन्दरता रहेको पनि बताए । यद्यपि नेपालमा केही विकास जरुरी रहेको अनुभूति आफूलाई भएको उनले बताए । आफ्नो संस्था ह्विस्लिङ उड इन्टरनेशनलले नेपालका चलचित्रकर्मीहरुलाई चलचित्र कला सिकाउन चाहेको बताउँदै उनले त्यसकै लागि आफू नेपाल आएको पनि निर्देशक घाईले बताएका छन् । नेपालका फिल्म ऐकेडेमीसँग मिलेर सहकार्य गर्न भारत तयार रहेको पनि उनले बताए । भिडियो"
"तमुवानमगराँत प्रदेश नामकरण माग","पोखरा : आदिवासी जनजातिका विभिन्न संघसंस्थाले प्रदेश ४ को नामकरण तमुवानमगराँत गर्न माग गरेका छन् । गुरुङको संस्था तमु धिं, तमु छोज धि र मगर संघ लगायतले आइतबार पोखरामा उक्त मागसहित बृहत् र्याली गरेका हुन् । र्यालीमा गुरुङ मगरका अतिरिक्त तामाङ, भुजेल र किराँत समुदायको पनि सहभागिता थियो । पोखराका मुख्य सहर परिक्रमा गर्दै नदीपुरस्थित प्रदेश सचिवालय पुगेको र्यालीका अगुवाले उपसभामुख सिर्जना शर्मा र प्रदेश सचिव शम्भुबहादुर खड्कालाई आनो मागसहितको ज्ञापनपत्र बुझाए । तमु धिं नेपालकी अध्यक्ष कर्म तमुले ज्ञापनपत्र हस्तान्तरण गरेकी थिइन् । अध्यक्ष कर्म तमुवानमगराँत संघर्ष समितिकी संयोजक हुन् । जनजातिले बुझाएको ज्ञापनपत्रमा प्रदेश ४ लाई तमुवानमगराँत नामकरण गरियोस् भन्नेसहित ६ वटा माग छन् । आदिवासी जनजाति समुदायको पहिचान, परम्परा र संस्कृतिजन्य चाडपर्वको सार्वजनिक विदा कटौती फिर्ता गरिनुपर्ने र आदिवासी जनजातिका भाषालाई सरकारी कामकाजमा ल्याइनुपर्ने माग उनीहरुले गरेका छन् । तत्काल विशेष, संरक्षित र स्वायत्त क्षेत्र घोषणा गरियोस्, ज्ञापनपत्रमा भनिएको छ, आदिवासी जनजातिसम्बन्धी अन्तर्राष्ट्रिय घोषणापत्र कार्यान्वयन गरियोस् । धर्म निरपेक्षताविरुद्धको षडयन्त्र अन्त्य गर्दै जनसंख्याको आधारमा समानुपातिक समावेशी प्रतिनिधित्व कायम गर्न पनि उनीहरुले माग गरे । ओली सरकारले तमु, सोनाम र ग्याल्बो ल्होसारसहित मगर र थारु समुदायका चाडपर्वको विदा कटौती गरी एकल जातीय चरित्र उदांगो बनाएको छ, ज्ञापनपत्रमा भनिएको छ । यता प्रदेश नम्बर ४ को प्रदेश सभाले नामकरण गर्न गठन गरेको समितिले अझै प्रतिवेदन बुझाएकौ छैन । राजधानी र नामकरणका लागि सभाले चैत १२ गते ११ सदस्यीय समिति गठन गरेको थियो । त्यसको म्याद १ महिनाका लागि फेरि वैशाख २३ गते थपिएको थियो । विभिन्न पार्टीहरुसँग मागिएको सुझाव अझै समितिले प्राप्त गरेको छैन । प्रदेश ४ को राजधानीका विषयमा भने विवाद छैन । पोखरालाई राजधानी मान्न सर्वसम्मत वातावरण छ । नामकरणबारे भने सर्वसाधारण र संघसंस्थाले विभिन्न सुझाव सार्वजनिक गरेका छन् । गण्डकी, अन्नपूर्ण, गण्डक, तमुवान, मगराँत र तमुवानमगराँत लगायत नाम चर्चामा छन् । प्रदेशको नाम प्रदेश सभाको दुईतिहाई बहुमतबाट पारित गरी राख्नुपर्ने व्यवस्था संविधानले गरेको छ । प्रदेशको नाम नहुँदा सांसदहरुको लोगो, प्रदेश सभाको लेटरप्याड लगायत थुप्रै काम बन्न सकेको छैन । मुख्यमन्त्री पृथ्वीसुब्बा गुरुङले प्रादेशिक एकता कायम हुने र सबै समुदायले अपनत्व महसुस गर्ने गरी प्रदेश नामकरण गरिनुपर्ने बताउँदै आएका छन् ।"
"बजेट संघीयता विरोधी : नेता लेखक","बाजुरा : कांग्रेस नेता रमेश लेखकले बजेट संघीयता विरोधी भएको बताएका छन् । आइतबार नेपाल प्रेस युनियन बाजुराले गरेको पत्रकार सम्मेलनमा बोल्दै लेखकले यस्तो बताएका हुन् । नेता लेखकले प्रतिपक्ष मात्र नभएर सत्ता पक्षले समेत बजेटको विरोध गरेको भन्दै बजेटले जन चाहनालाई सम्बोधन गर्न नसकेको टिप्पणी गरे । प्रदेश ७ ले इतिहासकै निरासाजनक बजेट पाएको भन्दै उनले निराशा व्यक्त गरे । चर्का सामाजिक सुरक्षा कुरा गरेपनि ति कुराहरु बजेटमा नपरेको उनको भनाइ छ । यो बजेटले अधिकांश नेपालीलाई निरास तुल्याएको छ, नेता लेखकले भने, सत्ता पक्षले नै विरोध गर्ने बजेट कस्तो होला आफै अनुमान गर्नुहोस् । वाम गठबन्धनलाई बहुमत दिएका जनतालाई बजेटले निराश पारेको उनको भनाइ छ । उनले यो बजेटले वाम सरकारको साख जोगाउन नसक्ने बताए । नेता लेखकले पेल्ट्रोलियम पदार्थको मूल्य दिनदिनै बढिरहेकोप्रति आक्रोश व्यक्त गरे । त्यसैगरी अर्को प्रसंगमा पूर्वमन्त्री समेत रहेका नेता लेखकले अब पार्टी भित्रका गुटउपगुटलाई अन्त्य गरी समृद्धिको यात्रामा कांग्रेस अघिबढ्ने प्रतिबद्धता जनाए । नेपाली कांग्रेस किन पराजय भयो ? भन्ने बिषयमा नेपाली काँग्रेस भित्र अत्यन्त सूक्ष्म रुपमा छलफल भइरहेको समेत नेता लेखकले बताए ।"
