"शीर्षक","विवरण"
"दाजुले कुटपिट गर्दा भाइको ज्यान गयो","वीरेन्द्रनगरः सामान्य घरयासी विवादमा एक दाजुले आफ्नै भाइलाई कुट्दा ज्यान गएको छ । चौकुने गाउँपालिका१० घाटगाँउका चक्रबहादुर राजीले आफ्नै भाइलाई मदिरा पिएर कुट्दा खगेन्द्र राजीको मृत्यु भएको हो । गत सोमबार साँझ अनियन्त्रित रुपमा मदिरा सेवन गरी दाजु भाईबीचमा झगडा हुँदा चक्रले भाई खगेन्द्रलाई मरणासन्न हुनेगरे कुटेका थिए । दाजुको कुटाइबाट गम्भीर घाइते भएका खगेन्द्र राजीको सोमबार मृत्यु भएको हो । दुई दिनसम्म पनि सन्चो नभएपछि उपचार गर्न कैलाली लैजाने क्रममा बाटोमा मृत्यु भएको इलाका प्रहरी कार्यालय बाबियाचौरका प्रहरी निरीक्षक शुसोभन श्रेष्ठले जानकारी दिए । घटनास्थलमा पुगेको ईलाका प्रहरी कार्यालय बाबियाचौरको टोलीले हत्या गरेको आरोपमा मृतकका दाजुलाई नियन्त्रणमा लिएको छ । मृतकलाई पोस्टमार्टमका लागि टिकापुर लगिएको छ । घाटगाउँबाट सुर्खेत आउन ५ घण्टा लाग्ने र कैलाली जान डेढ घण्टा लाग्ने भएकाले स्थानीय वासिन्दा उपचारको लागि कैलाली जाने गरेको उनले बताए । जिल्ला प्रहरी कार्यालय सुर्खेतका अनुसार घटनाको अनुसन्धानका लागि आरोपी चक्रबहादुरलाई जिल्लामा झिकाइएको छ ।"
"हावाहुरीले ७३ मेगावाट विद्युत् प्रणाली बाहिर","काठमाडौँ: हावाहुरीका कारण ७३ मेगावाट बिजुली प्रसारण लाइन बाहिर गएको छ । बिग्रेको प्रसारण लाइन मर्मत चलिरहेकाले नेपाल विद्युत् प्राधिकरणको प्रणालीबाट यो बिजुली बाहिरिएको हो । प्राधिकरणका प्रवक्ता प्रबल अधिकारीका अनुसार हावाहुरीका कारण आइतबार अपराह्नदेखि चिलिमे जलविद्युत् केन्द्रको २२ मेगावाट र मैलुङखोला जलविद्युत् आयोजनाको पाँच मेगावाट विद्युत् प्रणालीबाट बाहिरिएको छ । चिलिमेत्रिशूली ६६ केभी प्रसारण लाइनका केही स्थानमा हावाहुरीका कारण विद्युत् आपूर्ति बन्द भएको छ । उक्त प्रसारण लाइन मर्मतका लागि प्राधिकरणको प्राविधिक समूह परिचालन भइसकेको जानकारी दिँदै प्रवक्ता अधिकारीले समस्या उत्पन्न भएका स्थानमा मर्मत भइरहेको बताए । यस्तै आइतबारदेखि कुलेखानी दोस्रो परियोजनाको एक युनिटमा समस्या उत्पन्न भई ४६ मेगावाट विद्युत् उत्पादनमा समस्या भएको छ । त्यस आयोजनाको पहिलो र दोस्रो एकाइबाट ९२ मेगावाट विद्युत् उत्पादन हुने गरेको थियो । यस्तै मोदीलेखनाथपोखरा १३२ केभी प्रसारण लाइन टावर मर्मतका लागि बन्द गरिएको छ । त्यस्तै टनकपुरभीमदत्तनगर १३२ केभी प्रसारण लाइन नियमित मर्मतसम्भारका लागि बन्द भएको छ । रासस"
"कतारमा एक नेपालीविरुद्ध मृत्युदण्डको फैसला","काठमाडौँः कतारस्थित एक अदालतले नेपाली नागरिक अनिल चौधरीलाई मृत्युदण्ढको सजाय सुनाएको छ । महोत्तरीको औरही१ निवासी चौधरीलाई कतारी नागरिक उमेर मोहम्मद उमेर अल रामजानी अल निउमियोको हत्या आरोपमा अदालतले मृत्युदण्डको सजाय सुनाएको हो । कातारस्थित नेपाली दूतावासले परराष्ट्र मन्त्रालयको संयोजनमा चौधरीको जीवन रक्षाको पहल गरिएको परराष्ट्र मन्त्रालयले जनाएको छ । मृत्युदण्ड फौसलाविरुद्ध कतारको पुनरावेदन अदालतमा मुद्दा दर्ता गरिएको परराष्ट्रका प्रवक्ता भरतराज पौडेलले जानकारी दिएका छन् । मन्त्रालयलाई घटनाका विषयमा पूर्ण जानकारी रहेको छ र मन्त्रालयले कतारको दूतावासमार्फत चौधरीका पक्षमा आवश्यक कानुनी पक्रिया अप्नाइएको छ, प्रवक्ता पौडेलले जानकारी दिए । नेपाल सरकारले वैदेशिक रोजगार विभागलाई चौधरीको पक्षमा मुद्दा लड्दा लाग्ने खर्च तुरुन्नत निकास गर्न निर्देशन दिएको र यसको बोधार्थ श्रम मन्त्रालयलाई पनि बुझाइएको परराष्ट्र मन्त्रालयले जानकारी दिएको छ । अभियुक्त चौधरी र मृतक मोहम्मद नजिकका साथी थिए । घुम्न जाने क्रममा कतारी नागरिकको हत्या भएको नेपालस्थित कतारी दूतावाले जानकारी दिएको छ । यो घटना २०१७ मा भएको हो ।"
"नेपालमा हतियार भित्र्याउने भारतीय गिरोहका सातजना जेल चलान","विराटनगर: नेपालमा लागूऔषध र हतियार भित्र्याउँदै आएको भारतीय अपराधिक गिरोहका सातजना सोमबार कारागार चलान भएका छन् । जिल्ला अदालत मोरङका न्यायाधीश नारायणप्रसाद शर्माको इजलासले तत्काल प्राप्त प्रमाणका आधारमा पुर्पक्षका लागि थुनामा राखेर मुद्दाको अनुसन्धान अघि बढाउन आदेश दिएपछि उनीहरुलाई कारागार चलान गरिएको अदालतका निमित्त स्रेस्तेदार केदारप्रसाद गौतमले बताए । भारत विहारस्थित अररिया फारबिसगन्ज२ का ३० वर्षीय प्रमोद यादव भनिने विनोद राठौर, अररिया जिल्लाको वथनाहा ४ का २४ वर्षीय रोहितकुमार शर्मा, अररिया मिल्की डुमरिया ९ का १८ वर्षीय राजाकुमार यादव, २२ वर्षीय निलमकुमारी यादव, अररिया सिमराहाका २६ वर्षीय प्रकाशकुमार दास, अररिया रानीगंजका ३३ वर्षीय रन्जितकुमार शर्मा र अररिया बरारभत नाजा ७ का ४० वर्षीय सुरज नारायण यादवलाई पुर्पक्षमा राख्न अदालतले आदेश दिएको हो । निलम प्रमोद भनिने विनोदकी पत्नी हुन् । थुनामा राख्न आदेश भएका मध्ये सुरजनारायणसंग अदालतले एक लाख १८ हजार रुपैयाँ धरौटी माग गरेको थियो । धरौटी तिर्न नसकेपछि उनलाई पनि थुनामा पठाइएको गौतमले बताए । लागूऔषध र हतियार सहित प्रहरीले सातै जनालाई गत बैशाख ११ गते विराटनगर ४ स्थित नोवेल मेडिकल कलेज नजिकबाट पक्राउ गरेको थियो । उनीहरुविरुद्ध हातहतियार खरखजना र लागूऔषध सम्बन्धी मुद्दा चलाइएको थियो । प्रहरीले अनुसन्धान सकेपछि जेठ १७ गते अदालतमा सरकारी वकिल कार्यालयले मुद्धा दर्ता गरेको थियो । हातहतियार खरखजना मुद्दा जिल्ला प्रशासन कार्यालयले हेर्ने भए पनि लागूऔषध मुद्दामा अदालतले थुनामा राख्न आदेश दिएको हो । पछि बुझ्दै जाँदा ठहरे बमोजिम हुने गरी हाललाई निज प्रतिवादीहरुलाई विशेष अदालत ऐन २०५९ को दफा ७ (ङ), अदालती बन्दोबस्तको महल ११८ को देहाय ३ बमोजिम पुर्पक्षका लागि थुनामा राख्न अदालती बन्दोवस्त १२१ बमोजिम थुनुवा पुर्जी दिई कारागार मोरङ पठाइदिनु, अदालतको आदेशमा उल्लेख छ । त्यस्तै सुरजनारायणको हकमा विशेष अदालत ऐन २०५९ को दफा ७ (घ) बमोजिम रु एक लाख १८ हजार धरौटी दिए लिई तारेखमा राख्नु, दिन नसके अदालती बन्दोवस्त १२१ बमोजिम थुनुवा पुर्जी दिइ कारागार मोरङ पठाइदिनु भनेर अदालतले आदेश गरेको छ । धरौटी राख्न नसकेपछि उनलाई पनि कारागार चलान गरिएको जानकारी गौतमले दिए । उनका अनुसार लागूऔषध मुद्दामा थुनामा गइसकेका प्रतिवादीलाई सरकारी वकिल कार्यालयले हातहतियारको अभियोजन दर्ता गरेपछि जिल्ला प्रशासन कार्यालयले बयानका लागि झिकाउन सक्छ । हातहतियार र लागूऔषध मुद्दामा जिल्ला अदालत र जिल्ला प्रशासनको आदेश अनुसार दुई थरी सजाय हुने गौतमले बताए । परीक्षा केन्द्र पुगेर शिक्षा मन्त्रीले भनेः चिट चोराउने अपराधी हुन् मनोजको संगठित अपराध प्रकरण : चार सय उद्योगी फिरौतीको सूचीमा खुला सीमा र संगठित अपराध मुख्य चुनाैती विद्यार्थी फेल गराउने शिक्षा प्रणाली अपराधी छ : प्रधानमन्त्री ओली हराएका ४ बालक भारतमा भेटिए अपराधीलाई चालचलन ठीक भन्दै रिहाइ गर्ने काम विधिसम्मत होइन भारतमा कुटिए २४ नेपाली ट्यांकर चालकसहचालक युवतीलाई भारततर्फ लैजाने तीन जना पक्राउ आफन्त भेट्ने बहानामा भारतमा बेचिन्छन् महिला थुनामा पठाइएका प्रतिवादीहरु व्यक्ति हत्या, गुण्डागर्दी, लुटपाट, डकैती जस्ता सृङ्खलाबद्ध अपराधमा संलग्न कुख्यात भारतीय अपराधिक गिरोहका नाइके विट्टु सिंह समूहका सदस्य रहेको प्रहरी अनुसन्धानबाट खुलेको छ । हतियार र लागूऔषधको ओसारपसार एवम् कारोवार गर्न उनीहरुले नेपालभारत सीमानाको जोगवनी नाका आसपासलाई सुरक्षित स्थलका रुपमा प्रयोग गर्ने गरेको पाइएको छ । विट्टु सिंह ग्रप का सदस्यले भारतबाट हतियार खरिद गरेर ल्याउँदै नेपालका अपराधिक समूहलाई विक्री गर्ने गरेको प्रहरीको भनाइ छ । प्रमोद यादव भनिने विनोद राठौरका साथबाट मेड इन युएसए लेखेको अटोमेटिक पेस्तोल, त्यसमा प्रयोग हुने म्याग्जिन र ६ राउण्ड गोली पनि प्रहरीले बरामद गरेको थियो । यस अघिका अपराधकर्ममा विट्टु सिंहका विश्वास पात्र मानिने उनी हत्या, गुण्डागर्दी, डकैती जस्ता अपराधिक घटनामा भारतीय प्रहरीको मोष्टवाण्टेड सूचीमा छन् । भारतीय अपराधिक गिरोहका साथबाट नेपाल प्रहरीले भारतबाट ल्याउँदै गरेको एक हजार सात सय ७५ एम्पुल एभिल, पाँच सय एम्पुल डाईजेल्याब, एक हजार सात सय ७६ चक्की एपास्मोप्रोक्सिभन, सात सय २५ ट्याब्लेट नाईट्रोसन, पाँच सय २५ एम्पुल लुपिजेसिक, एक सय २५ एम्पुल फेनारगन र १३ बोतल डाईलेक्स डिसी नामक लागूऔषध बरामद गरेको थियो । उनीहरुका साथबाट नेपाली ८१ हजार रुपैयाँ नगद पनि बरामद भएको थियो । प्रहरी उपस्थिती कम हुने स्थानको पहिचान गर्दै भारतबाट नेपालतर्फ हतियार र लागूऔषध भित्राएर पूर्वका विभिन्न शहर र काठमाडौं सम्म सप्लाई गर्ने धन्दामा भारतको नामुद अपराधिक गिरोहका सदस्यको संलग्नता रहँदै आएको एक प्रहरी अधिकारीले बताए । विभिन्न अपराधिक घटनामा भारतीय प्रहरीले सर्वाधिक खोजी सूचीमा राखेपछि भारतीय प्रहरीबाट जोगिन उनीहरुले नेपाललाई अवैध धन्दा संचालन गर्ने सुरक्षित स्थलका रुपमा प्रयोग गर्न थालेको पाइएको छ, घटनाको अनुसन्धानमा संलग्न एक प्रहरी अधिकारीले भने । भारतमा विभिन्न प्रकृतिका सृङखलाबद्ध अपराधमा संलग्न देखिएका कारण नेपालतर्फको कारवाही सकिएपछि उनीहरुलाई भारतीय सुरक्षाकर्मीको जिम्मा लगाउने तयारी नेपाल प्रहरीको छ ।"
"राष्ट्रपतिलार्इ भेट्न एकैसाथ प्रधानमन्त्रीसहित सत्तारुढ र प्रतिपक्षी नेता","काठमाडौँः राष्ट्रपति विद्यादेवी भण्डारीले प्रधानमन्त्री केपी शर्मा ओलीसहितका शीर्ष नेतालाई शीतल निवासमा बोलाएर आर्थिक समृद्धिका लागि एकजुट भएर अघि बढ्न सुझाव दिएकी छन् । सोमबार राति करिब आठ बजेतिर शीतल निवास पसेका प्रधानमन्त्री ओलीसहितका सत्तारुढ दल नेकपाका नेता र प्रमुख प्रतिपक्षी दल नेपाली कांग्रेसका नेतालाई समृद्धिका लागि एकै ठाउँ उभिन सुझाएकी हुन् । राष्ट्रपतिका स्वकीय सचिव भेषराज अधिकारीका अनुसार करिब २ घण्टासम्म राष्ट्रपतिले प्रधानमन्त्रीसहितका नेताहरुसँग सम्बाद गरेकी थिइन् । समसामयिक विषय बसतुमै कुराकानी भएको हो । राष्ट्रपतिले सबै तहका निर्वाचन भएर देशबाट संक्रमणकाल पनि सकिएकाले अब समृद्धिको यात्रामा अघि बढ्न आग्रह गर्नुभयो, अधिकारीले राष्ट्रपतिको भनाइ उधृत गर्दै अन्नपूर्ण अनलाइनसँग भने, संविधानको मूल मर्म र भावना अनुसार राजनीतिक दलहरु केन्द्रित हुनुपर्छ । समाजवाद उन्मुख संविधान पनि बनिसकेकाले लोकतान्त्रिक मूल्य मान्यता, मानवअधिकारका मूलभूत सिद्धान्तलाई पालना गर्दै मुलुक समृद्ध बनाउन लाग्नुपर्छ । ब्यापार घाटाबारे चिन्ता भेटका क्रममा राष्ट्रपति भण्डारीले देशमा बढ्दो ब्यापार घाटाप्रति गम्भीर चिन्ता जाहेर गरेकी थिइन् । उनले ब्यापार घाटा कम गर्न आयातलाई निरुत्साहित गर्न पनि सत्तारुढ र प्रतिपक्षी दुवै तर्फका नेतालाई आग्रह गरिन् । ब्यापार घाटा बढ्दो छ, आयात प्रतिस्थापन गर्नेतर्फ तपाईँहरुको ध्यान केन्द्रित हुनुपयो, राष्ट्रपतिको भनाइ उधृत गर्दै अधिकारीलले भने, वैदेशिक रोजगारीलाई पनि निरुत्साहित गर्न स्वदेशमै रोजगारी बढाएर युवाहरुलाई यहीँ रोक्ने योजना ल्याउनेतर्फ लाग्नुस् । शिक्षाबारे चासो राष्ट्रपति भण्डारीले नेताहरुसँग गुणतस्तरीय शिक्षाका लागि सक्रिय हुन पनि चिन्ता जाहेर गरिन् । अधिकारीका अनुसार उनले गुणस्तरीय शिक्षा प्रवद्र्धनमा जोड दिएकी थिइन् । गुणस्तरीय शिक्षा प्रवद्र्धनमा जोड दिनु आवश्यक छ, नेताहरुसँग राष्ट्रपतिले भनिन्, देश प्रेमको भावना जागृत गर्ने शिक्षा अहिले जरुरी छ । दुवै पक्षलाई एकताको सन्देश राष्ट्रपतिले अब सबै शक्ति देश समृद्धि लानुपर्ने आवश्यक रहेको बताउँदै सत्ता पक्ष र प्रतिपक्षलाई समृद्धिका साझा एजेन्डामा मिलेर जानु भन्ने सन्देश पनि भेटमा दिएकी छन् । समृद्धिलाई साझा एजेन्डा बनाउनु भन्ने सन्देश राष्ट्रपतिलले दुवै पक्षलाई दिनुभएको छ, अधिकारीले भने । राष्ट्रपतिलाई भेट्ने प्रधानमन्त्री ओलीसँगै नेकपाका अध्यष पुष्कमल दाहाल प्रचण्ड, प्रमुख प्रतिपक्षी दल नेपाली कांग्रेसका सभापति शेरबहादुर देउवा र वरिष्ठ नेता रामचन्द्र पौडेल शीतल निवास पुगेका थिए ।"
"'लियोनेल मेसी हाम्रा पूर्वजहरूको चिहानमाथि फुटबल खेल्दैछन्'","एजेन्सी: यही जुन ९ मा अर्जेन्टिना फुटबल टिमले इजरायलसँग एक मैत्रीपूर्ण फुटबल खेल्दैछ । यो मैत्रीपूर्ण खेल रूसमा हुने विश्वकपको तयारीस्वरूप हुन लागेको हो । अर्जेन्टिनाका फुटबल प्रेमीहरू यसलार्इ 'लक्की' गेमकारूपमा ब्याख्या गरिरहेका छन् । अर्जेन्टिनाले सन् १९८६ मा इजरायलविरूद्ध मैत्रीपूर्ण म्याच खेलेपछि विश्वकप उपाधि जितेकाले अर्जेन्टिनाका फुटबल प्रेमीले यसलार्इ 'लक्की म्याच' को संज्ञा दिएका हुन् । रूसको आयोजनामा विश्वकप यही जुन १४ देखि सुरू हुँदैछ । विश्वकपका लागि रूसको यात्रा गर्नु पहिले अर्जेन्टिनाले इजरायलविरूद्ध अन्तिम मैत्रीपूर्ण खेलमा प्रतिस्पर्धा गर्न लागेको हो । दक्षिण अमेरिकी देशका फुटबल प्रेमीका लागि यो म्याचले आत्मविश्वास बढाउनेछ भने अर्कातिर प्यालेस्टाइनका जनतामा भने एक पटक पुरानो घाउ बल्झाइदिनेछ । प्यालेस्टाइनका ७० बालबालिकाको एक समूहले अर्जेन्टिनाका विश्व चर्चित खेलाडी लियोनेल मेसीलार्इ एक पत्र लेखेर यस म्याचमा सहभागी नहुन अपिल नै गरेका छन् । यो खेल जुन ९ तारिखमा दक्षिणी जेरूसेलमको टेडी कोलेक स्टेडियममा हुँदै५ । जुन स्टेडियमा मलहामा अवस्थित छ । किन रिसाए प्यालेस्टाइनबासी ७० वर्षअघि भएको अरबइजरायल भीषण युद्धका क्रममा मलहालार्इ तहसनहस बनाइएको थियो । यहाँ बसिरहेका प्यालेस्टाइनीलार्इ इजरायली सेनाले सन् १९४८ मा यहाँबाट लखेटेर बाहिर खेदेको थियो । यहाँबाट विस्थापित भएका परिवारका बालबालिकाहरूले आइतबार इजरालको अर्जेन्टिना दूतावासमा पठाएका छन् । मेसीको ह्याट्रिकले अर्जेन्टिना सहजै विश्वकपमा (फोटो फिचर ) इटालीविरुद्ध अर्जेन्टिना सजिलै विजयी अर्जेन्टिनाविरुद्ध स्पेनको गोलबर्षा, ६१ को फराकिलो जित लियोनेल मेसीको जर्सी सगरमाथा शिखरमा विश्वकपः तीन दशकदेखि तिर्खाएको अर्जेन्टिना रसिया विश्वकपमा चल्ला लियोनेल मेसीको जादु ? हाइटीविरुद्ध मेसीको ह्याट्रिक, अर्जेन्टिना सजिलै विजयी मेसीको ह्याट्रिक त्यस पत्रमा प्यालेस्टाइनका बालबालिकाहरूले मलहबाट लखेटिएकाहरूका छोरा छोरी र नातिनातिना आफूहरू भएको बताएका छन् । उनीहरूले आफ्ना पुर्खा लखेटेर इजरायलले स्टेडियम बनाएकाले त्यहाँ नखेल्न मेसीलार्इ अपिल गरेका हुन् । बालबालिकाले पत्रमा लेखेका छन्, 'हामीले थाहा पाए अनुसार तपार्इँ र तपार्इँका साथीहरू मलहा आएको खबर सुनेपछि यो चिठी लेखेका हौँ, जुन स्टेडियममा तपाइँ खेल्न लाग्नुभएको छ, त्यो स्टेडियमा हाम्रा पुर्खालार्इ लखेटेर बनाइएको हो ।' यी बालबालिकाले मेसी त्यहाँ आएको खबर सुनेर खुसी भए पनि आफ्नो घरबास भत्काएर लखेटपछि बनाइएको स्टेडियममा खेल्ने सुन्दा अति नै दु:ख लागेको गुनासो पत्रमार्फत गरेका छन् । 'मेसीले हाम्रो दिल तोड्दैनन्' बालबालिकाले पत्रमा लेखेका छन्, 'तर मेरो खुसी आँसुमा बद्लियो र मेरो मन टुट्यो । हाम्रा हिरो हाम्रा पुर्खाको चिहान माथि बनाइएको स्टेडियममा फुटबल खेल्दैछन् भन्दा हाम्रो मन रोएको छ ।' प्यालेस्टाइनका नागरिकका लागि अर्जेन्टिना र इजरायल मैत्रीपूर्ण म्याच मलाहमा हुनु भनेको दु:खको दिन हुनेछ । पत्रको अन्त्यमा बच्चाहरूले लेखेका छन्, 'हाम्रा साथीको तर्फबाट हामी भगवानसँग प्राथना गर्छौँ, मेसीले पक्कै पनि हाम्रो मन दुखाउने छैनन् ।' मेसीको विरोध दुवै देशका टिमबीचको खेल इजरायल र प्यालेस्टाइनबीच एक महिनायता जारी तनावबीच हुन लाग्दैछ । इजरायली सेनाले गोली चलाउँदा एक महिनायता झन्डै ५० जना प्यालेस्टाइनबासीले ज्यान गुमाइसकेका छन् । गत सोमवार प्यालेस्टाइन फुटबल महासंघका अध्यक्ष जिबरिल रजौबले पनि पत्र लेखेर मलहामा हुने खेलको विरोध गरेका थिए । यो पत्र उनले अर्जेन्टिना, दक्षिण अमेरिका फुटबल संघ र विश्व फुटबल महासंघ (फिफा) लार्इ पनि बुझाएका थिए । उनले भनेका थिए, 'यस खेललार्इ राजनीतिक हतियार जस्तै उपयोग गरिँदैछ । इजरायलको सरकार जेरूसेलममा यो खेल खेल आयोजना गरेर विश्वलार्इ राजनीतिक सन्देश दिन खोजिरहेको छ ।' उनले अरब र मुस्लिम देशका करोडौँ प्रशंसकलार्इ मेसीको नाम रहेको टीसर्ट जलाउन पनि अपिल गरेका छन् । एएफपी समाचार एजेन्सीका अनुसार इजरायलको खेल मन्त्रालयलले यी विरोधबारे केही टिप्पणी गरेको छैन ।"
"""जेलबाट छुटेलगत्तै अपराधमा","गोली हानेर साढे ९ लाख लुट्ने समातिए"",""धनगढीः जेठ १३ गते विहान साढे ९ बजेतिर धनगढीको मुख्य बजारमै गोली हानेर साढे ९ लाख लुटपाट गर्ने कञ्चनपुरको कृष्णपुर नगरपालिका९ का कल्लु भनिने कालु रानालाई कैलाली प्रहरीको टोलीले काठमाडौंबाट पक्राउ गरेको छ । उनीसँगै धनगढी उपमहानगरपालिका१३ कैलाली गाउँका रामप्रवेश रानालाई पनि प्रहरीले पक्राउ गरेको छ । कैलालीका प्रहरी उपरीक्षक विनोद घिमिरेले कल्लु रानाले गोली हानेको स्वीकार गरिसकेको बताए । कहाँ भयो लुटपाट ? प्रदेशको राजधानी धनगढीमा जेठ १३ गते विहान साढे ९ बजेतिर ट्राफिक चोक नजिकै रहेको आईएमई सेन्टरका कर्मचारी निर्मल कार्कीलाई गोली हानेर उनको साथबाट साढे ९ लाख रकम लुटपाट गरिएको थियो । सिद्धार्थ बैंकबाट रकम झिकेर साइकलमा झण्ढै ५ सय मिटर टाढा रहेको आईएमईतिर गइरहेका बेला उनलाई सिद्धार्थ बैंकदेखि झण्डै २ सय मिटरको दुरीमा रहेको सेन्चुरी बैंक नजिकै गोली हानिएको थियो । उनको दाँया हातबाट सेती अञ्चल अस्पतालका चिकित्सकको टोलीले शल्यक्रिया गरेर गोली निकालेका थिए । कार्कीको अवस्था सुधार भइरहेको छ । उग्रसेन जेलबाट छुटेपछि अपराधमै यसअघि कैलाली प्रहरीले कञ्चनपुरको बेलौरी नगरपालिका६ का उग्रसेन राना र त्यही ठाउँका राजकुमार चौधरीलाई गोलीकाण्डमा संलग्न भएको आरोपमा पक्राउ गरेको थियो । राजकुमार चौधरीलाई जेठ १५ गते र उनको बयानका आधारमा उग्रसेन रानालाई जेठ १६ गते पक्राउ गरिएको थियो । उग्रसेन रानाले दिएको बयानका आधारमा प्रहरीले काठमाडौंैबाट कल्लु राना र उनको साथमा रहेका राम प्रवेश रानालाई पक्राउ गरेको प्रहरी उपरीक्षक घिमिरेले बताए । उग्रसेन रानाले दिएको बयानका आधारमा केन्द्रीय अपराध अनुसन्धान विभागको प्रहरीको सहयोगमा कल्लुलाई पक्राउ गर्न सफल भएका हौँ, कैलालीका प्रहरी उपरीक्षक विनोद घिमिरेले भने । उग्रसेन राना डाँका चोरीकै मुद्दामा दुई महिनाअघि मात्रै कञ्चनपुर कारागारबाट सजाय भुक्तान गरेका ब्यक्ति भएको प्रहरीले जनाएको छ । उनले डाँका चोरीको मुद्दामा साढे चार वर्ष जेल सजाय काटेको प्रहरीले जनाएको छ । धनगढी बजार नजिकै रहेको कञ्चनपुरको डोके बजारको लुटपाटमा पनि उग्रसेनको संलग्नता रहेको थाहा भएपछि प्रहरी उनको खोजीमा थियो । प्रहरीले उग्रसेनले जेलबाट निस्केपछि आपराधिक क्रियाकलापमा संलग्न अर्का ब्यक्ति राजकुमार चौधरीको संगत गरेको जनाएको छ । प्रहरीका अनुसार राजकुमार पनि चोरीका मोटरसाइकल, गाडी, हातहतियार ओसारपसार गर्ने ब्यक्ति हुन्् । कल्लुले गोली हान्नका लागि प्रयोग भएको खैरो रंगको अपाची मोटरसाइकल पनि राजकुमारले नै उपलब्ध गराएको प्रहरीले जनाएको छ । भेटियो मोटरसाइकल काठमाडौंमा कल्लु पक्राउ परेपछि, उनकै बयानका आधारमा सोमबार नै उक्त मोटरसाइकल बैलौरीबाट बरामद भइसकेको प्रहरीले जनाएको छ । प्रहरीले गोली हान्न प्रयोग भएको उक्त मोटरसाइकल जिल्ला प्रहरी कार्यालय कैलाली ल्याएको छ । सिसी टिभीले सजिलो नेपाल प्रहरीले गोली हानिएको पुरानो भन्सार रोड जाने बाटो नजिकैको एकजना ब्यपारिको सिसी क्यामेराको फुटेजका आधारमा मोटरसाइलको पहिचान गरेको थियो । गोली हानिएको बेलाको सिसी क्यामेराको फुटेज, एकजना ब्यवसायीबाट पाइएको थियो, अनुसन्धानको मुख्य आधार नै त्यही भयो कैलालीका प्रहरी उपरीक्षक विनोद घिमिरेले भने । उनले गोली हानिएको स्थानमा एउटा मात्रै मोटरसाइकल चलेको देखिएकाले अनुसन्धानमा सजिलो भएको बताए । कलंकीमा दिउँसै घर तोडफोड गरेर लुटपाट छर्रा हानेर महिलामाथि लुटपाट बन्धक बनाएर गहना लुटपाट श्रृंखलावद्ध लुटपाट गर्ने गिरोह पक्राउ हतियार देखाएर लुटपाट परिवारका सदस्यलाई नियन्त्रणमा लिएर लुटपाट पेस्तोल देखाएर लुटपाट हत्या र लुटपाट बढ्यो, ६ महिनामै सातको हत्या सनराइज बैंक धरानमा लुटपाट छुरा हानेर लुटपाट कैलाली प्रहरीले उग्रसेन रानाको बयान पछि जेठ १७ गते प्रहरी निरीक्षक भरत गिरीको नेतृत्वमा प्रहरी टोली काठमाडौं पठाएको थियो । प्रहरीले कल्लुसँग मोटरसाइकलमा बसेको ब्यक्तिको पहिचान भने गर्न सकेको छैन । कल्लुले खोल्ला रहस्य ? कल्लुले गोली हानेको र सबै योजनाकार कल्ल रहेको बयान उग्रसेनले दिएपनि अरु धेरै कुरा नखोलेको प्रहरी उपरीक्षक घिमिरेले बताए । सबै कुरा कल्लु रानालाई थाहा छ, मैले भन्यो भने कल्लुले मलाई मारिदिन्छ भन्दै उग्रसेनले धेरै कुरा खोलेको छैन, कल्लु बाटोमै छ, आएपछि सबै कुरा खुली हाल्छ प्रहरी उपरीरक्षक घिमिरेले भने । कल्लु र रामप्रवेशलाई सोमबार बेलुकी श्री एयरलाइन्सको उडानबाट धनगढी ल्याइएको छ । प्रहरीले केही रकम कल्लुको साथबाट बरामद भएको र बाँकी रकम तथा गोली हान्न प्रयोग गरिएको हतियारको खोजी भइरहेको जनाएको छ । काठामाडौंबाट धनगढी पुगेलगत्तै प्रहरीले दुवैजनालाई हतियार लुकाएको र रकम राखेको स्थानतिर लगेको छ, रातिसम्म रकम र हतियार फेला पर्न सक्ने आशा गरेका छौं, एकजना प्रहरी अधिकृतले भने । प्रहरीले घटनाको विस्तृत विवरण मंगलबार मात्रै सार्वजनिक गर्ने जनाएको छ ।"""
