"शीर्षक","विवरण"
"एकल साँझमा टीकालाई स्यावासी","काठमाडौं : दर्शकले खचाखच भरिएको हल । स्टेजमा वाद्यवादन समूहका साथ प्रस्तुत भएका थिए गायक तथा संगीतकार, टीका बोम्जन । पहिलो एकल प्रस्तुतिस्वरूप राष्ट्रिय भावनाले ओतप्रोत माटोले माग्दैन आफैंले दिनुपर्छ बोलको गीत गाएपछि दर्शक दीर्घामा रहेका कामु प्रधानसेनापति पूर्णचन्द्र थापा जुरुक्क उठेर स्टेजमा गए, अनि टीकालाई धाप मार्दै बधाई दिए । भद्रकालीस्थित त्रिभुवन आर्मी अफिसर्स क्लबमा सोमबार साँझ आयोजित टीका बोम्जन एकल साँझ २०७५मा दर्शकको बाक्लो उपस्थिति थियो । केही दिनअघि सडक दुर्घटनामा परी उपचार गराई गरेका गायक शिव परियार बैसाखी टेकेर कार्यक्रममा पुगे । मेरो हिँडडुल गर्ने अवस्था छैन तर टीकाको एकल साँझ भएकाले यहाँ आएँ, शिवले भने, टीका अहिले नेपाल सांगीतिक क्षेत्रका प्रतिनिधि पात्र हुन् । सो अवसरमा शिवले टीकाको संगीत रहेको रोशी खोला तीरैमा बोलको गीत पनि सुनाए । नेपाली सेनामा कार्यरत टीकाले २०५९ सालमा नगरकोटस्थित रिपिटर टावरको पोस्ट मर्मत गर्ने क्रममा लडेर हाइभोल्टेज करेन्टमा परी उपचारका क्रममा दुवै हात गुमाउनु परेको थियो । २१ वर्षको उमेरमा मैले दुवै कर्मठ हात गुमाए पनि आज सयौं हातको साथ पाएको छु, उनले भने । हिमालय नेपाली इभेन्टस् प्रालिको आयोजनामा भएको कार्यक्रममा टीकाले बार प्रिय बार, तिमी मेरै, झरना पानी, यो देशलाई, सैलुङे गाउँकी, मैलेभन्दा माया दिने बोलका गीत प्रस्तुत गरेका थिए । पवनवाङ लामाको ब्यान्ड संयोजनमा तबलामा कुमार महाराज र भुवन गन्धर्व, लिड गितारमा देवासिस मोक्तान, बेस गितारमा अनुप दास, बाँसुरीमा गोपालदेव घतानी, किबोर्डमा रूपम सिङ गुरुङ, अक्टोप्याडमा रूपेशसिंह गुरुङले टीकालाई वाद्यवादनमा साथ दिएका थिए । कार्यक्रममा दुर्गा परियार, इन्दिरा गोले, सुरेश लामा, अनिल लामालगायतले टीकाद्वारा संगीतबद्ध गीत गाएका थिए भने फिमफेदी गाइजले नृत्य प्रस्तुत गरेको थियो ।"
"काठमाडौंबाट १० लाख धरौटीमा छुटेका भिएलएन अध्यक्ष ललितपुरमा पक्राउ","मलेसिया जाने कामदारको स्वास्थ्य परीक्षण ठगी प्रकरण काठमाडौं : मलेसिया जाने कामदारको स्वास्थ्य परीक्षणमा दुई अर्ब ८६ करो रुपैयाँ ठगीको अभियोगसहित मुद्दा चलाइएका भिएलएन संस्थाका अध्यक्ष रामप्रसाद श्रेष्ठसँग काठमाडौं जिल्ला अदालतले १० लाख रुपैयाँ धरौटी मागेको छ । जिल्ला न्यायाधीश अमृत बहादुर बस्नेतको इजलासले तारिखमा मुद्दा लड्न पाउने गरी धरौटी रकम माग गरेको हो । काठमाडौं जिल्ला अदालतको माग अनुसार श्रेष्ठले धरौटी रकम बुझाए पनि ललितपुर जिल्ला अदालतमा पनि अर्को ठगी मुद्दा दर्ता भएकाले पुनः ललितपुर प्रहरीले नियन्त्रणमा लिएको छ । श्रेष्ठविरुद्ध दुई अर्ब ८६ करोड १५ लाख रुपैयाँ बराबर बिगो दाबी गर्दै सजायको माग राखेर मुद्दा दायर गरेको थियो । मलेसिया जाने युवाहरूसँग सरकारले तोके भन्दा बढी रकम लिएर ठगी गरेको अभियोगमा अध्यक्ष श्रेष्ठसहित विभिन्न संस्थाका ४० जना पक्राउ परेका थिए । पक्राउ अन्य कतिपय व्यावसायी पनि अदालतको आदेश अनुरुप यसअघि धरौटीमा छुटेका थिए । काठमाडौं जिल्ला अदालतका अधिकृत टिकासिंह खत्रीले श्रेष्ठसहित अभियुक्त सबैलाई धरौटी तारिखमा राखिएको बताए ।"
"अलैंची निर्यातबारे योगेश भट्टराईले संसदमा बोलेका १२ बुँदा","काठमाडौं : नेपालको मुख्य निकासीजन्य नगदेबाली अलैंचीको बजार खोज्न ताप्लेजुङबाट निर्वाचित प्रतिनिधिसभा सदस्य योगेश भट्टराईले सरकारको ध्यानाकर्षण गराएका छन् । बुधबार संसदको विशेष समयमा बोल्दै भट्टराईले प्रधानमन्त्रीको आशन्न चीन भ्रमणमा यो विषयलाई प्राथमिकताका साथ समेट्नुपर्ने माग गरेका छन् । ताप्लेजुङ लगायत देशका ४७ जिल्लामा उत्पादित अलैचीको उत्पादन र मुल्य घटिरहेका बेला यसमा सरकार गम्भीर हुनुपर्छ, भट्टराईले भने । उनले बंगलादेशलाई नेपालको अलैंची निर्यातमा भन्सार छुटका लागि पहल गर्न पनि आग्रह गरेका छन् । एक सय आठ वटा वस्तुमा भन्सार छुट दिइरहेको बंगलादेशले अलैंचीमा पनि छुट दिए नेपाली किसानलाई राहत हुने भट्टराईले माग गरे । नेपालबाट निर्यात हुने मुख्य नगदेबाली अलैचीका सम्बन्धमा प्रतिनिधिसभाको जेठ २८ गतेको बैठकमा विशेष समयमा नेपाल कम्युनिष्ट पार्टीका स्थायी समिती सदस्य एवं संसद भट्टराईले संसदमा गरेको सम्बोधन यस प्रकार छ । १ ताप्लेजुङ लगायत हाल ४७ जिल्लामा अलैंचीको व्यवसायिक खेती हुने गरेको छ । कुल उत्पादनको ५० प्रतिशतभन्दा बढी उत्पादन एउटै ताप्लेजुङ जिल्लामा हुने गरेको छ । २ १४ हजार ८७५ हेक्टर जमीनबाट देशभरी ५५ सय मेट्रिक टन अलैची उत्पादन हुन्छ । यो तथ्याङ्क अघिल्लो सालकोभन्दा ५ सय बढेर ६ हजार मेट्रिक टन पुग्ने अनुमान गरिएको छ । जबकी सन् २००७ मा झण्डै १० हजार मेट्रिक टनसम्म अलैंची उत्पादन भएको थियो । सही नीतिको अभावका कारण यसको उत्पादनमा ठूलोमात्रामा हस आएको छ । ३ उत्पादनमध्ये करिब १ प्रतिशतमात्र देशभित्र खपत हुन्छ भने बाँकी ९९ प्रतिशत विदेश निकासी हुने गरेको छ । आजको बाजर मुल्यमा झण्डै १० अर्व बराबरको अलैंची विदेशी बजारमा निकासी हुने गरेको छ । ४ नेपालमा हाल अलैंची खेतीमा १ लाख परिवार आवद्ध रहेका छन् । यसबाट पूर्णकालीन र आंशिक गरेर लाखौँ मानिस रोजगार भएका छन् । ५ २०७०७१ मा अलैंची प्रति मन १ लाख २० हजार पुगेकोमा हाल मुल्य घटेर ३० हजारको हाराहारीमा रहेको छ । ६ अहिलेसम्म अलैंचीको निकासी मुलतः भारतीय बजारमा मात्र छ भने चीनलगायत अन्य मुलुकमा सामान्य रुपमा निकासी भएको अवस्था छ । ७ भारतीय बजारमा पुगेको अलैँचीमध्ये ५० प्रतिशत भारतीय बजारमा उपयोग हुन्छ भने बाँकी ५०प्रतिशत त्यही अलँैची भारतीय व्यापारी मार्फत बंगलादेश, पाकिस्तान र खाडी मूलुकमा निकासी हुने गरेको छ । यसबाट भारतीय व्यापारीले अध्याधिक फाइदा लिइरहेका छन् । ८ भारत र भुटान हुँदै ठूलोमात्रामा अलैची बंगलादेश जाने गरेको छ । त्यहाँबाट जाने अलैचीमा भन्सार छुट हुने गरेको छ । ९ नेपालीबाट सवैभन्दा बढी निर्यात हुने बस्तु अलैची भएकाले र दक्षिण एसियामा यसको मुख्यबजार बंगलादेश भएकाले नेपाल सरकारले अलैँचीलाई बंगलादेशको बजारमा सोझै पुयाउने प्रबन्ध गर्नु पर्दछ । नेपालबाट बंगालादेशमा जाने १०८ बटा बस्तुमा भन्सार छुट रहेको सन्दर्भमा अलैँचीमा समेत यो व्यवस्था लागु गरेमा नेपालीले फाइदा पाउने छन् । १० अलैंचीको अर्को ठूलो बजार खाडी मूलुक हुन । नेपाली अलैँचीलाई सिधैं खाडी मुलुकसम्म पुर्याउन सरकारले उचित प्रबन्ध गर्नु पर्दछ । ११ चीन अलैचीको अर्को विशालबजार हो । तसर्थ प्रधानमन्त्री केपी शर्मा ओली आसन्न चीन भ्रमणका अवसरमा अलैंची निर्यातलाई मुख्य एजेण्डा बनाउन सरकारको गम्भीर ध्यानकर्षण गर्दछु । १२ अलैँची उत्पादनलाई विशेष प्रोत्साहन गर्न कृषकलाई प्राविधिक, वित्तीयलगायत अन्य आवश्यक क्षेत्रमा सहयोग गर्ने, विशाल भण्डारन केन्द्र निर्माण गर्ने, प्रशोधन केन्द्र निर्माण गर्ने साथै बजारको सुनिश्चितता गर्ने हो भने अलैँचीले नेपालको वैदेशिक व्यापार घाटा सन्तुलन गर्न ठूलो योगदान पुर्याउने निश्चित छ । अलैंची विकास वोर्ड गठन गरी दीर्घकालीन योजनाका साथ काम गर्न सभामुख मार्फत म नेपाल सरकारको गम्भीर ध्यानाकर्षण गर्दछु । साथै सबैभन्दा बढी अलैँची उत्पादन र निर्यात गर्ने ताप्लेजुङ्ग जिल्लालाई अलैचीको सुपर जोन घोषणा गर्न समेत माग गर्दछु ।"
"विश्वशान्तिमा नयाँ कदम","सिंगापुरमा सम्पन्न संयुक्त राज्य अमेरिकाका राष्ट्रपति डोनल्ड जे ट्रम्प र प्रजातान्त्रिक जनगणतन्त्र कोरियाका राज्य मामिला आयोगका प्रमुख किम जोङ उनबीच सम्पन्न शिखर वार्ता विश्वशान्तिका आकांक्षीका लागि खुसीको सन्देश लिएर आएको छ । शिखर वार्ताबाट दुवै देशका नेताले गरेको चारबुँदे सहमतिले भावी शान्तिको मार्गचित्र कोरेको छ । त्यसैले यो वार्ता र दुई देशका शीर्ष नेताबीचको सम्झौता स्वागतयोग्य छ । न युद्ध न शान्तिको अवस्थामा रहेको सन् १९५०५३ को तीन बर्षे कोरियाली युद्धको यस वार्ताले औपचारिक अन्त्य गरेको छ । तत्कालीन जापानी उपनिवेशविरुद्ध संघर्षरत कोरियाली कम्युनिस्ट पार्टी र दोस्रो विश्वयुद्धपछि जापानको सुरक्षा आफ्नो हातमा लिई पूर्वीएसियामा प्रभाव विस्तार गर्दै गरेको अमेरिकाबीच भएको सो युद्ध शीतयुद्धका दुई ध्रुवको शक्ति प्रदर्शनमा परिणत भएको थियो । परिणाम, कोरियाली प्रायद्वीप दुई देशमा विभाजित भयो । साझा भाषा, साझा इतिहास र साझा संस्कृति बोकेको मानव समुदाय ६ दशकभन्दा बढी समयसम्म दुस्मनीको काँडेतारले बाँधिएर बस्न बाध्य भए । ट्रम्पकिम वार्ताले त्यो वैमनश्यताको अन्त्य सँगसँगै फुटेका घरहरू फेरि जोडिने सम्भावना निर्माण गरिदिएको छ । साथसाथै पूर्वीएसियामा सधैँ मडारिइरहने युद्धको कालो बादल अब इतिहासका पानामा सीमित हुने आशा पलाएको छ । जारी वक्तव्यको सबैभन्दा महत्वपूर्ण पाटो हो, उत्तर कोरियाले गरेको पारमाणविक निःशस्त्रीकरणको प्रतिबद्धता । शान्ति हतियारले सुनिश्चित गर्छ भन्ने सन्गुन नीति बोकेको देश पारमाणविक निःशस्त्रीकरणसम्म आइपुग्नु सामान्य घटना होइन । यसले विश्वव्यापी रूपमै पारमाणविक निःशस्त्रीकरण सम्भव छ भन्ने पुष्टि गरिदिएको छ । तथापि, पारस्परिक अन्तर्राष्ट्रिय सम्बन्धको सर्वस्वीकार्य सिद्धान्त हो । पारमाणविक निःशस्त्रीकरणको मार्गले लिबियाको बाटो नसमाओस् भनेरै उत्तर कोरियाले सुरक्षासुनिश्चितताको माग गरेको हुनुपर्छ । पारमाणविक निःशस्त्रीकरणको बाटो अवलम्बन गर्दैगर्दा तत्कालीन लिबियाली शासक गद्दाफीलाई उत्तर कोरियाले दिएको चेतावनी कोरियाली पृष्ठभूमिमा अनूदित नहोस् भन्ने कामना विश्वशान्तिका आकांक्षीको सचेतनामा भर पर्छ । विश्व राजनीतिमा अर्को उत्तर कोरियाको जन्म नहुनका लागि संयुक्त राज्य अमेरिकाले खेल्ने भूमिका पनि महत्व पूर्ण हुने चार बुँदा अमूर्त तर दीर्घकालीन महत्वका शब्दहरूले अभिव्यक्त गर्छन् । पारमाणविक निःशस्त्रीकरणले विश्वव्यापी रूपमा पारस्परिकता ग्रहण गरोस् र सुरक्षा सुनिश्चितता अनाक्रमणको हदसम्म मात्र सीमित नहोस् भन्ने चाहना अनुचित अवश्य हुनेछैन । शान्ति र समृद्धिको आधारमा नयाँ मित्रता सम्झौताको अर्को पेटबोली हो । यो शब्दावलीले भावी दिनका सम्भावनाहरूबारे धमिलो चित्र प्रस्तुत गर्छ । वैदेशिक सम्बन्धमा उदारवादी अर्थनीति अवलम्बन गरिरहेका तर आन्तरिक रूपमा फरक राजनीतिक प्रणाली भएका अमेरिका र चीनको समझदारीबिना पूर्वीएसियामा यो उचाइको सम्झौता सम्भव थिएन । यसले अन्तरसम्बन्धको जटिल जालोले अन्तर्राष्ट्रिय सम्बन्ध निर्माण हुन्छ भन्ने उदारवादी मान्यतालाई प्रमाणित गर्छ । लामो समयसम्म एक्लै बस्ने नीति लिएको उत्तर कोरिया अन्तर्राष्ट्रिय जगतका लागि विस्मयकारी रहँदै आएको छ । यो वार्तापछि उत्तर कोरिया पनि विश्व रंगमञ्चमा उपस्थित हुने देखिइसकेको छ । यद्यपि, उत्तर कोरियाले अवलम्बन गर्ने आर्थिक मार्ग के हुन्छ भन्ने अनुमान गर्न गाह्रो छ । यसले समाउने शान्ति र समृद्धिको बाटो अमेरिकी मोडलको उदारवादी हुन्छ वा चिनियाँ मोडलको बजार अर्थतन्त्रमुखी हुन्छ भन्नेमा दुई देशको प्रभावले काम गर्ने आशा गर्न सकिन्छ । तर, विश्वस्त केमा हुन सकिन्छ भने अहिलेको एक्लोपनको आर्थिक नीति उत्तर कोरियाले अवश्य लिने छैन । शिखर वार्ताको यो उचाइले उत्तर कोरियाली नेता किम जोङ उनलाई विश्वको कूटनीतिक क्लबका नयाँ सदस्यका रूपमा उभ्याएको छ । वंश राजनीतिका कारण स्थान पाएको र राजतन्त्रजस्तै किम कुलको वंश निरन्तरता रहेको भनी आलोचित उत्तर कोरियाली शासन व्यवस्थालाई यस उपस्थितिले गलत सावित गर्ने मौका दिनेछ । त्यो सम्भावनाको सफलता वा असफलता किम जोङ उनका आगामी कूटनीतिक कदमले निर्णय गर्नेछन् ।"
"एनआरएन कपको तयारी पूरा","जिके दङ्गाली युएई : युएईको नेपाली समुदायमा हालसम्म्कै सर्वाधिक राशिको फुटबल प्रतियोगिता एनआरएन कप २०१८ को तयारी पूरा भएको छ ।आयोजक एनआरएनए युएईले जून १२ तारिख मंगलबार एक कार्यक्रम गरेर खेल तालिका सार्वजनिक गर्दै खेलसम्बन्धी सबै तयारी पूरा भएको जनाएको हो । आयोजक एनआरएनए युएईका पधादिकारी र एनआरएनए आईसीसी सदस्यहरु ठाकुरप्रसाद ढुंगाना र मनोज गोर्खाली, नेपाल पत्रकार महासंघ युएई शाखाका अध्यक्ष भुपराज बस्याल र प्रतियोगितामा सहभागी अधिक टिम क्याप्टेनहरुको उपस्थितिमा गोलाप्रथाबाट खेलतालिका सार्वजनिक गरिएको हो । उक्त खेलमा प्रथम पुरस्कार ६ हजार ६ सय ६६ दिराम ( करिब २ लाख रुपैयाँ ) राखिएको यो प्रतियोगिता आगामी इदको अवसरमा १५ जुन शुक्रबार दुबईमा आयोजना हुदै छ । प्रतियोगितामा आयोजक एनआरएन युएई ,र नवलपरासी राइनो फुटबल क्लबबीच प्रतिस्पर्धा हुनेछ ।यसैगरी सुनुवार सेवा समाज र कास्टमन्डप फुटबल क्लब , मेचीमहाकाली फुटबल क्लब र रुपन्देही ११ का बीच पहिलो चरणमा प्रतिस्पर्धात्मक खेल हुनेछ । यसैगरी राइजिङ स्टार फुटबल क्लब र नेपाली समुदाय युएई, गोर्खा समाजको हिमालयन फुटबल क्लब र ओल्ड मन्क फुटबल क्लब, नेपाली जनसम्पर्क समिति फुटबल क्लब र माउन्ट एभरेस्ट फुटबल क्लबबीच प्रतिस्पर्धा हुने तालिका सार्वजनिक भएको छ ।नेपाली स्पोर्ट्स क्लब राक र हिपेट फुटबल क्लब, युनाइटेड स्टार फुटबल क्लब र एनआरएन अबुधाबीको फुटबल समुहबीच प्रतिस्पर्धा हुने तालिका गोलाप्रथाबाट तय भएको हो । नेपालीका लागि नेपाली भन्ने एनआरएनको नारा अनुरुप युएईका युवा खेलाडीहरुलाई प्रोत्साहन गर्ने हेतुले आगामी इदको पहिलो रात ठिक ८ बजे आयोजना हुन लागेको हो । एनआरएन युएईको उद्दार कोषको सहयोगार्थ आयोजना हुन लागेको यो प्रतियोगितामा २१ समूहले खेलका लागि नाम दर्ता गराए पनि १६ समूहले मात्र प्रतियोगितामा सहभागी हुने आयोजक समूहका मदन अधिकारीले बताएका छन् । दुबईको पेनाल्टी फुटबल मैदान सलाउदीन स्ट्रीटमा आयोजना हुने प्रतियोगितामा प्रथम पुरस्कार अहिलेसम्मकै सर्वाधिक राशीका साथमा कप, मेडल र प्रमाणपत्र हुनेछ ।त्यसैगरी दोश्रो पुरस्कार ३ हजार ३ सय ३सय ३३ दिराम (करिब १ लाख रुपैयाँ ) कप, मेडल र प्रमाणपत्र हुनेछ ।त्यस्तै उत्कृस्ट टुर्नामेन्ट खेलाडीलाई कप प्रमाणपत्र, उत्कृस्ट गोलकिपरलाई कप र प्रमाणपत्र र प्रत्यक खेलको उत्कृस्ट खेलाडीलाई प्रमाणपत्र प्रदान गर्ने आयोजकले बताएका छन् । हरेक टिममा ११ जना खेलाडीका साथमा ५ अतिरिक्त खेलाडी, १ जना व्वस्थापक, १ जना टिम कोच रहने उक्त स्पर्धा फिफाको नियम अनुसार खेलाइने आयोजकले बताएका छन् । कुनै विवाद उत्पन्न भए रेफ्रीको निर्णय नै अन्तिम हुने नियम बनाइएको छ । बरदुबईस्थित हिमालयन एयरको अफिसमा आयोजित कार्यक्रममा एनआरएन युएईले सामाजिक गतिविधिका साथमा खेलकुद र खेलाडीहरुको विकासका लागि उत्तिकै प्राथमिकता दिएर सहयोग गर्ने एनआरएन युएईका अध्यक्ष रमेश श्रेष्ठले बताए ।"
"श्रीमतीलाई बलात्कार गर्ने श्रीमानलाई तीन वर्ष कैद","ताप्लेजुङ : श्रीमतीलाई जवर्जस्ती करणी गर्ने श्रीमानलाई जिल्ला अदालत ताप्लेजुङले तीन बर्ष कैदको सजाय सुनाएको छ । आफू भन्दा ८ वर्ष जेठी श्रीमतीलाई जबरजस्ती गर्ने ३५ वर्षीय श्रीमानलाई जिल्ला न्यायाधीष्श कुपासुर कार्कीको इजलासले बुधबार उक्त फैसला गरेको हो । पीडक श्रीमानले बयानका क्रममा आफ्नो जायजेथा नभएको बताएकोले पीडितलाई सरकारबाट ५० हजार क्षतिपूर्ति भराउने फैसलामा उल्लेख रहेको जिल्ला अदालतका श्रेष्तेदार गोपाल थापाले जानकारी दिए । पीडक फक्ताङलुङ गाउँपालिका घर भई हाल फुङलिङ नगरपालिकामा बस्दै आएका छन् । अदालतले दुवैको नाम गोप्य राखेको छ । २०७१ साउन ३० गते प्रहरीमा दर्ता भएको जाहेरी भदौ ३० गते अदालतमा पुगेको थियो । जाहेरी परेको ४ वर्षपछि अदालतले पीडकविरुद्ध कैद सजाय र क्षतिपूर्ति भराउने फैसला गरेको हो । जाहेरीमा पीडितले श्रीमानले कान्छी श्रीमती लिएर भागेको र केही समयपछि फर्केर आफुमाथि जवर्जस्ती करणी गरेको उल्लेख गरेकी थिइन् । पीडक भने हालसम्म फरार छन् ।"
"प्रश्न सोधेकै नाममा मन्त्रीले कार्यक्रम बन्द गरेकोप्रति महासंघको आपत्ति","काठमाडौं : नेपाल टेलिभिजनमा १२ वर्षदेखि प्रसारण हुँदै आएको सिधा प्रश्न कार्यक्रममा सञ्चारमन्त्री गोकुल बास्कोटालाई प्रश्न सोधेकै नाममा कार्यक्रम नै बन्द भएकोप्रति नेपाल पत्रकार महासंघले आपत्ति जनाएको छ । कार्यक्रम प्रस्तोता राजु थापाले प्रश्न सोधेकै आधारमा कार्यक्रम नै बन्द गराइएको घटनाप्रति विज्ञप्ति निकालेर महासंघको गम्भीर ध्यानाकर्षण भएको बताएको हो । हरेक शनिबार राति ८:४५ मा प्रसारण हुने कार्यक्रमअन्तर्गत गत शनिबार सञ्चार तथा सूचना प्रविधिमन्त्री बास्कोटासँगको कुराकानीमा प्रस्तोता थापाले सम्पत्ति विवरणको विषयमा प्रश्न गरेका थिए । अन्तवार्तामा चर्काचर्का प्रश्न सोधेको भन्दै मन्त्री बास्कोटाले कार्यक्रम नै बन्द गर्न निर्देशन दिएका थिए । त्यसपछि कार्यक्रम बन्द भएको हो । प्रश्न सोधैकै आधारमा निरन्तर रूपमा प्रसारणमा रहेको कार्यक्रम बन्द गराइनु प्रेस तथा अभिव्यक्ति स्वतन्त्रतामाथिको ठाडो हस्तक्षेप र लोकतन्त्रको उपहासका साथै प्रेसको विश्वव्यापी मान्यताविपरीतको कार्य रहेको महासंघको ठहर छ, विज्ञप्तिमा भनिएको छ, महासंघ सरकारले नीति तथा कार्यक्रममा आफूले सञ्चारमाध्यम सञ्चालन नगर्ने प्रतिवद्धता गरेको स्मरण गराउन चाहन्छ । लोकतन्त्रमा प्रश्न सोध्ने र आफ्नो कुरा राख्न पाउने अधिकार संविधानले सुनिश्चित गरेको छ । सञ्चार जगतको हकहितको जिम्मेवारी लिनुपर्ने सञ्चार तथा सूचना प्रविधि मन्त्रीबाटै प्रेसलाई हतोत्साहित बनाउने गरी भएको यस्ता कार्यले सरकार प्रेस स्वतन्त्रताप्रति गम्भीर र प्रतिवद्ध नरहेको देखाउँछ । महासंघका महासचिव रमेश विष्टले जारी गरेको विज्ञप्तिमा घटनाप्रति खेद व्यक्त गर्दै उक्त कार्यक्रम तत्काल सुचारु गराई संवैधानिक प्रेसको अधिकारको सम्मान गर्न आग्रह गरिएको छ । महासंघ यो घटनाप्रति खेद व्यक्त गर्दछ, विज्ञप्तिमा भनिएको छ, तत्काल कार्यक्रम सुचारु गराई संविधानप्रदत्त प्रेसको अधिकारको सम्मान गर्न सम्बन्धित निकायको गम्भीर ध्यानाकर्षण गराउँदछ ।"
"""२०२६ को विश्वकप अमेरिका","क्यानाडा र मेक्सिकोले गर्ने"",""काठमाडौं : सन् २०२६ को विश्वकप फुटबल प्रतियोगिता संयुक्त राज्य अमेरिका, क्यानाडा र मेक्सिकोले संयुक्तरुपमा गर्ने भएका छन् । फेडेरेसन अफ इन्टरनेसनल फुलबल एसोसियसन(फिफा)का सदस्यहबीच भएको मतदानमा बढी मत प्राप्त गरी अमेरिका, क्यानाडा र मेक्सिकोले संयुक्तरुपमा विश्वकप आयोजना गर्ने भएका हुन् । फिफामा भएको मतदानमा अमेरिका, क्यानाडा र मेक्सिको पक्षमा १३४ मत प्राप्त भएको छ भने मोरक्को पक्षमा ६५ मत प्राप्त भएको छ । २०२६ को विश्वकपमा ४८ टिमको सहभागिता रहनेछ भने ३४ दिनसम्म सञ्चालन हुने उक्त विश्वकपमा ८० खेल हुनेछन् । सन् १९७० र १९८६ मा मेक्सिकोमा तथा १९९४ को विश्वकप अमेरिकामा आयोजना भएको थियो । एजेन्सी"""
"नयाँ शक्तिको नेतृत्वमा समृद्ध नेपाल बन्छ : डा भट्टराई","काठमाडौं : नयाँ शक्ति पार्टी नेपालका संयोजक डा बाबुराम भट्टराईले गरिबीमा पिल्सिएका जनताको जीवनस्तरमा सुधार भएपछि मात्र देशमा सामाजिक रुपान्तरण सम्भव रहेको बताएका छन् । पार्टी निकट राष्ट्रिय युवा अभियानको विशेष संघीय भेलाको उद्घाटन गर्दै उनले भने, हामीले समाज सेवा र मानवजातिको रुपान्तरणका लागि राजनीतिक गतिविधि सञ्चालन गरेका छौँ, हाम्रै जीवनकालमा नयाँ शक्तिको नेतृत्वमा नयाँ समृद्ध नेपाल बन्छ । भ्रष्टाचारमा लिप्त भएका नेताले मुलुकमा आर्थिक परिवर्तन गर्न नसक्ने बताउँदै पूर्वप्रधानमन्त्री भट्टराईले सत्ता स्वार्थका लागि आदर्श बदल्न नहुने र जनता गरीब भएर नेता धनी हुनुको अर्थ नहुने बताए । पूँजीवाद र साम्यवादको अभ्यास पूरानो भइसकेको हुँदा आफ्नो पार्टीले लोकतान्त्रिक विधि र प्रक्रियाबाट समाजवादको आदर्शलाई अवलम्बन गर्ने जानकारी गराउँदै उनले निर्वाचनमा पार्टीले अपेक्षाकृत परिणाम हासिल गर्न नसकेकाले आगामी दिनमा देशभर संगठन सुदृढीकरणका कार्यक्रम गरिने बताए । पार्टीका नेताहरु डा केशवमान शाक्य, रामरिजन यादव, गंगा श्रेष्ठलगायतले गठबन्धनको सरकारले देश र जनताको हितमा काम गर्न नसकेको आरोप लगाउँदै महँगी, भ्रष्टाचारविरुद्ध देशभर सशक्त अभियान चलाउनुपर्नेमा जोड दिए । रासस"
"प्रधानमन्त्री ओली असार ५ गते चीन भ्रमणमा जाने","काठमाडौं : प्रधानमन्त्री केपी शर्मा ओलीले चीनको राज्य परिषद्का प्रधानमन्त्री ली खछ्याङको निमन्त्रणामा आगामी असार ५ गते चीनको औपचारिक भ्रमण गर्ने भएका छन् ।प्रधानमन्त्री ओलीकासाथ प्रधानमन्त्री धर्मपत्नी राधिका शाक्य पनि चीन भ्रमणमा जाने परराष्ट्र मन्त्रालयले जनाएको छ । प्रधानमन्त्रीको भ्रमण दलमा गृहमन्त्री रामबहादुर थापा बादल, परराष्ट्रमन्त्री प्रदीपकुमार ज्ञवाली, ऊर्जा, जलस्रोत तथा सिँचाइमन्त्री वर्षमान पुन अनन्त, भौतिक पूर्वाधार तथा यातायातमन्त्री रघुवीर महासेठ, प्रधानमन्त्रीका प्रमुख सल्लाहकार विष्णु रिमाल, सांसदहरु, नेपाल सरकारका उच्च अधिकारी, निजी क्षेत्रका प्रतिनिधि र सञ्चारकर्मी सहभागी हुनेछन् । भ्रमणका क्रममा प्रधानमन्त्री ओलीले आफ्ना चिनियाँ समकक्षी लीसँग प्रतिनिधिमण्डलस्तरीय द्विपक्षीय वार्ता गर्नेछन् । परराष्ट्र मन्त्रालयका अनुसार उनले चीनका वरिष्ठ नेताहरुसँग भेटवार्ता गर्नेछन् । प्रधानमन्त्रीले नेपालचीन व्यापारिक मञ्च तथा विद्वत समूहलाई बेइजिङमा सम्बोधन गर्नेछन् । भ्रमणकै सिलसिलामा केही सहमति र समझदारीपत्रमा हस्ताक्षर हुनेछ । प्रधानमन्त्री ओलीले चीनको स्वशासित क्षेत्र तिब्बतको राजधानी ल्हासाको पनि भ्रमण गर्नेछन् । त्यहाँ उनले तिब्बतका प्रान्तीय नेताहरुसँग भेटवार्ता गर्नेछन् । प्रधानमन्त्री ओली नेतृत्वको प्रतिनिधिमण्डल असार १० गते आइतबार स्वदेश फर्कनेछ । परराष्ट्र मन्त्रालयका सचिव शंकरदास वैरागीले चीनका राष्ट्रपति सी चिनफिङले अघि सारेका एक क्षेत्र एक मार्ग (बीआरआई) अन्तर्गत पूर्वाधार निर्माण, लगानी आकर्षण, ऊर्जा, पर्यटनलगायत क्षेत्रमा द्विपक्षीय छलफल र समझदारीपत्रमा समेत हस्ताक्षर हुने जानकारी दिए । उनले राजनीतिक विषयका साथै नेपालचीन सम्बन्धका सबै पक्षमा सघन छलफल हुने बताए ।"
