"शीर्षक","विवरण"
"प्रर्दशनीमा स्थलगत पेन्टिङ","काठमाडौं : काठमाडौं वरपरका रमणीय ठाउँ तपाईं घुम्नुभएको छ ? मन्दिरै मन्दिरको शहर काठमाडौंका कतिवटा मन्दिर तपाई पुग्नुभयो ? प्रत्यक्ष घुम्न जान पाउनुभएको छैन भने तपाईंले चित्र हेरेर यो रहर पूरा गर्न सक्नुहुन्छ । बबरमहलस्थित आर्ट काउन्सिलमा करिब ६६ जना चित्रकारले विभिन्न ठाउँमा गएर बनाएका स्थलगत चित्र प्रर्दशनमा राखिएको छ । गत मंगलबारदेखि सुरु भएको शनिबारे स्थलगत चित्रकला प्रदशनीमा१५० बढी चित्र समावेश छन् । चार महिनाअघि फेसबुकबाट जोडिएको चित्रकारको समूहले स्थलगत चित्रकला कार्यशालाको सुरुवात गर्ने योजना बनाएको थियो । योजनाअनुसार प्रत्येक शनिबार चित्रकारको टोली कुनै एक ठाउँमा गएर स्थलगत चित्र कोर्ने गर्थे । सुरुको हप्ता चित्रकार दिवेश प्रधान, राकेशचन्द्र श्रेष्ठ र दिपेन्द्रमान बनेपाली चित्रकारिताका सामाग्री बोकेर काठमाडौँ दरबार क्षेत्र पुगे । दोस्रो पटकदेखि स्थलगत चित्रकला कार्यशालामा जाने कलाकारको संख्या बढ्दै गयो । पुरातात्विक सम्पदा र तिनीहरुको ऐतिहासिक महत्व झल्काउने खालको दृष्यलार्ई उनीहरुले चित्रमा उतारे । लगातारको मेहनतमा उनीहरुले निकै चित्रहरु बनाइसकेका थिए । उनीहरुलाई पछ्याउदै अन्य जिल्लाका चित्रकारले पनि स्थलगत चित्रकला कार्यशाला आयोजना गरे । धरान, विराटनगर र रुपन्देहीमा पनि यो चलनको सुरुवात भयो । यसलाई चित्रकारले एउटा अभियानको रुपमा विकसित गरे । चारमहिनासम्म प्रत्येक हप्ता बेग्लाबेग्लै ठाउमा गएर बनाइएका चित्र समावेश छन् । काठमाडौँ वरपरका हनुमानढोका, पाटन दरबार स्क्वायर, भक्तपुर दरवार स्क्वायर, ठिमी, स्वयम्भु, चागुनारायण, टेकु, चापागाउँको बज्रबाराही लगायतका १५ बटा ठाउँमा गएर विभिन्न दृष्यलाई चित्रमा उतारेका थिए । आजको चित्र वा दृष्य भोलिको इतिहास बन्न सक्छ । आज त्यो ठाउँमा जे छ भोलि त्यो नहुन सक्छ । एउटै ठाउँमा धेरै चित्रकारले देखेको फरक फरक स्थान विशेषका दृष्य कोरिने गर्छ । यो अभियान सबैका लागि प्रेरणा हुन सक्छ भनेर नै शुरुवात गरिएको अभियन्ता केशवराज खनालले बताए । खनालका अनुसार, चित्रकारिता एउटा च्यालेन्जिङ कला हो । स्टुडियो भित्र निकै सुन्दर क्यानभाष बनाउने चित्रकारले पनि स्थलगत रुपमा चित्र बनाउन सक्दैनन् । स्थलगत चित्रकलामा धेरै दृष्यहरुबाट थोरै मात्र सिन उतार्नु आफैमा कठिन काम हो । प्रकृति हेरेर दृष्य उतार्न चुनौती हुन्छ । सिर्जनात्मकता प्रकृतिबाट नै शुरु हुन्छ । प्रकृतिले छिनछिनमा रंग फेरिरहन्छ । त्यस्तै चित्रकलालाई निखारता ल्याउन प्रकृतिले निकै ठुलो साथ दिने भएकाले स्थलगत चित्र जिवन्त हुने खनालको स्किारोक्ति छ । स्थान बिषेशमा गएर चित्रकारहरुले त्यहाका अनुभविसंग संवाद गर्छन । पुरातत्वविद मार्फत कार्यशाला हुने स्थानको बिशेषताको जानकारी लिन्छन् । कलाकारले त्यस ठाउको सुन्दर र ऐतिहासिक दृष्यलाई दिनभर लगाएर चित्रमा उताने गर्छन । सम्पदासंग जोडिएका अनेकौ आयामहरुलाई पनि चित्रमा समेटिन्छ । चित्रकलाको क्षेत्रमा यो एउटा नया प्रयोग भएको अर्का चित्रकार अभियन्ता राकेश चन्द्र श्रेष्ठले जानकारी दिए । उनका अनुसार शनिबारे स्थलगत चित्रकला कार्यशाला स्वतस्फूर्त रुपमा कलाकारबाट सुरु भएको अभियान हो ।चित्रकला प्रदशनी जनवरी सातसम्म चल्नेछ ।"
"रेशमको शपथ : ओलीको बाध्यता !","२०७२ भदौ ७ गतेको टीकापुर हत्याकाण्ड आफैँमा एउटा अप्रत्यासित घटना थियो । त्यसपछिका राजनीतिक घटना त्यो भन्दा अप्रत्यासित रहे । सरकारी पक्षले स्थानीय पत्रकार तथा व्यवसायी रेशम चौधरीलाई घटनाको मुख्य आरोपी बनायो । घटना घटेकै दिनदेखि उनी भूमिगत भए । घटनाको दुई वर्षपछि ०७४ मंसिरमा चौधरी घटना घटेकै क्षेत्रबाट राष्ट्रिय जनता पार्टी(राजपा)को उम्मेदवार बने । भूमिगत अवस्थामै शानदार मतप्राप्त गरेर प्रतिनिधिसभा निर्वाचित भए । संघीय सांसदमा निर्वाचित भएको एक वर्षपछि अर्थात् बिहीबार उनीले पद तथा गोपनियताको शपथ ग्रहण गरेका छन् । टीकापुर घटनामा नेपालको राजनीतिक वृत्त दुई धारमा विभाजित भयो । 'घटना राजनीतिक हो' भन्ने एउटा धार थियो । अर्को धार 'आतंककारी र अपराधिक' हो भन्ने थियो । त्यो बेला जसले यसलाई 'आतंककारी र अपराधिक' घटना भएको दाबा गरेका थिए । उनकै नेतृत्व कालमा मुख्य आरोपी भनिने चौधरीले संसदमा प्रवेश पाएका छन् । टीकापुर घटना भएकै दिन बागबजारमा आयोजित प्रेस चौतारीको कार्यक्रममा बोल्दै तत्कालीन एमाले अध्यक्ष केपी शर्मा ओलीले 'कैलाली घटना आतंककारी र अपराधिक' भएको अभिव्यक्ति दिएका थिए । घटना हुँदा गृहमन्त्रीको जिम्मेवारीमा तत्कालीन एमालकै नेता वामदेव गौतम थिए । गृहमन्त्री गौतमले पनि यो घटनालाई राजनीतिक मानेका थिएनन् । हेर्नुस्, ओलीले गरेका भाषणमाथि समाचार भिडियो र समाचार । १समाचार, २समाचार, ३भिडियो भाषणका बाछिटा ओली प्रधानमन्त्री भएको एक महिनापछि चैत २ गते बिहानै राजपाका तत्कालीन संयोजक महन्थ ठाकुर र अध्यक्ष मण्डलका सदस्य राजेन्द्र महतो बालुवाटार पुगे । दुई नेताले प्रधानमन्त्री ओलीसँग सरकार विस्तार र सरकार प्रवेशबारे विल्कुलै कुरा गरेनन् । त्यहाँ टीकापुर घटनाका मुख्य आरोपी चौधरीको रिहाइबारे मात्र कुरा भयो । कैलालीक कारागारमा अनसन बसेका चौधरीलाई विग्रदो स्वास्थ्य अवस्थाका कारण केही दिनअघि काठमाडौं ल्याइएको थियो । उनी सुरक्षा निगरानीमा वीर अस्पतालमा अनशनरत थिए । राजपाका दुई शिर्ष नेता र प्रधानमन्त्री ओलीबीच फलफल भएकै दिन बेलुका टिकापुर चौधरीले गृहमन्त्री रामबहादुर थापा 'बादल'को हातबाट जुस पिउँदै अनसन तोडे । राजपाका एक नेताका अनुसार चौधरीले अनसन तोडे लगत्तै पुन: बालुवाटार पुगेर ठाकुर र महतोले प्रधानमन्त्री ओलीसँग सरकार प्रवेशको बारेमा छलफल गरे । दुबै नेताले 'पहिले चौधरी रिहाई अनि सरकार प्रवेश' भनिदिए । छलफलमा प्रधानमन्त्री ओलीले कानुनी जटिलताका कारण चौधरीलाई शपथ ग्रहणको व्यवस्था छिट्टै मिलाउन नसकेको तर वाचा नतोड्ने बताएका थिए । सरकार प्रवेशको यो भन्दा अघि र यो भन्दा पछि राजपाका नेता र प्रधानमन्त्री ओलीले पटकपटक छलफल गरे । तर, सफल भएन । राजपाका नेता चौधरी रिहा भएको हेर्न चाहान्थे भने प्रधानमन्त्री ओली उनलाई छोड्न चाहँदैन थिए । किनकी प्रधानमन्त्री ओली टीकापुर घटनालाई राजनीतिक रुप दिन तयार थिएनन् । यस घटनालाई ओलीले पछिसम्म पनि राजनीतिक घटना मान्न तयार भएनन् । उनले घटना घटेको दिन जुन अभिव्यक्ति दिएका थिए प्रधानमन्त्री नहुँदासम्म त्यही अभिव्यक्तिमा अडिग थिए । तर, प्रधानमन्त्री भएपछि उनी यो मुद्दामा नरम हुँदै गए । पछिल्लो समय तिनै रेशम चौधरीको रिहाइमा ओली सरकार कूटनीतिक बन्यो । राजपाले सरकारलाई दिएको समर्थन फिर्ता नलिनुमा यो पक्ष पनि निर्णायक बन्न पुग्यो । प्रचण्ड कनेक्सन पुष्पकमल दाहाल 'प्रचण्ड'ले सुरुदेखि नै टीकापुर घटनालाई राजनीतिक घटना मान्दै आएका थिए । राजनीतिक कारणले यो घटना घटेकाले उनले यसलाई अपराधिक घटना भनेका थिएनन् । त्यसैले यस घटनामा कुनै व्यक्ति विशेषलाई आरोपी बनाउन नहुने उनको धारणा थियो । चौधरी सुरक्षा निकायको 'वान्टेड' सूचीमा रहेकै बेला तत्कालिन समयमा प्रधानमन्त्री रहेका 'प्रचण्ड'ले भेटे । भारत भ्रमणमा रहेका प्रचण्डले ०७३ असोज ३ गते ताजमहल होटेलमा मञ्चमै चौधरीलाई भेटेका थिए । विवादास्पद फरार अभियुक्तलाई उच्च सुरक्षा घेराभित्र भारतमा भेटेपछि प्रचण्डको नेपालमा विरोध भएको भयो । चौधरीले मञ्चमै पुगेर दाहालसँग केही समय कानेखुसी गरेका थिए । चौधरी कार्यक्रम अवधिभर प्रधानमन्त्री उपस्थित ताजको हलमै थिए । त्यस दिन साँझ सात बजे प्रधानमन्त्री र चौधरीबीच केही समय मञ्चमै कुराकानी भएको थियो । प्रचण्डले आफ्नो सरकार बहिर्गमनको अन्तिम समयमा टीकापुरका आगजनीपीडितलाई झन्डै ११ करोड क्षतिपूर्ति दिने निर्णय गरेका थिए । उक्त निर्णयका कार्यन्वयन गर्दै तत्कालीन माओवादी केन्द्रसँग साझेदार नेपाली कांग्रेस सभापति शेरबहादु देउवा नेतृत्वको सरकारले २०७४ असारको पहिलो हप्ता चौधरीलाई १ करोड ७४ लाख क्षतिपूर्ति दियो । टीकापुर घटना भएको भोलिपल्ट उत्तेजित भिडले चौधरीको फूलबारी एफएम, फूलबारी कटेज र एउटा मोटरसाइकलमा आगजनी गरेको थियो । देउवा नेतृत्वको यही सरकारले कैलाली घटना 'राजनीतिक' भन्दै आरोपीलाई रिहा गर्न समेत खोजेको थियो । तर, सुरक्षाकर्मी हत्या गर्ने समूहलाइ कानुनी कारवाहीबाट बञ्चित गर्दा ज्यानको बाजी थापेर फिल्डमा खटिने सुरक्षाकर्मीको मनोबल गिर्ने भन्दै नेपाल प्रहरी, सशस्त्र प्रहरी र सेनाले आपत्ति जनाएपछि सो कार्यले मुर्तरूप पाउन सकेन । टीकापुर पूर्णरुपमा घटना राजनीति हो भन्ने प्रचण्ड र अपराधिक हो भन्ने ओली अहिले एउटै दलमा छन् । त्यसैले पनि घटनाका मुख्य आरोपी चौधरीप्रति ओलीले माध्यतात्मक ढंगबाट लचकतापूर्ण रणनीति अवलम्बन गर्नुपर्यो ।"
"उखुको खरिद मूल्य प्रति क्विन्टल ५३६ तोकियो","काठमाडौँ : आर्थिक वर्ष २०७५७६ का लागि उखुको न्यूनतम खरिद मूल्य तोकिएको छ । उखुको खरिद मूल्य प्रति क्विन्टल ५ सय ३६ रुपैयाँ ५६ पैसा निर्धारण गरिएको हो । त्यसमध्ये ६५ रुपैयाँ २८ पैसा किसानले सरकारबाट सिधै अनुदान पाउनेछन् । सरकारी अनुदान कट्टा गरी चिनी मिलहरुले सम्बन्धित उखु कृषकहरुलाई प्रति क्विन्टल ४ सय ७१ रुपैयाँ २९ पैसा रकम भुक्तानी गर्न सरकारले आग्रह गरेको छ ।सरकारले माथिल्लो स्यांगे खोला साना जलविद्युत आयोजना, चुनढुंगा उत्खनन, पत्थरकोइला उत्खनन, याम्बालिङ खोला जलविद्युत आयोजना, रसुवाभोटेकोशी जलविद्युता आयोजना र पाथिभरादेवी दर्शन केबलकार निर्माण गर्नको लागि आवश्यक वन क्षेत्र प्रयोग गर्ने अनुमति दिएको छ । बिहीबार सञ्चार तथा सूचना प्रविधि मन्त्रालयले प्रेस विज्ञप्ती सार्वजनिक गरेको थियो । विज्ञप्तीमा कमैया बसोबास क्षेत्रका रुख हटाइ बस्ती व्यवस्थापन गर्न स्वीकृति दिएको छ । सार्वजनिक बिदाका सम्बन्धमा अध्ययन गरी प्रतिवेदन पेश गर्न कार्यदल गठन गरेको छ । कार्यदलमा गृहमन्त्री, सहरी विकास मन्त्री र संस्कृति, पर्यटन तथा नागरिक उड्ययन मन्त्री रहेका छन् ।"
"""अवैध घरेलु मदिराविरुद्ध प्रहरी आक्रमक","एकैदिन २६ हजार लिटर नष्ट"",""काठमाडौँ : चिसोयाम बढेसँगै अवैध घरेलु मदिराविरुद्ध प्रहरीले अपरेशन तीब्र पारेको छ । राजधानीका विभिन्न वृत्तले अवैध घरेलु मदिरा नष्ट गर्ने अभियान नै चलाएका छन् । पछिल्लो पटक महानगरीय प्रहरी वृत्त बौद्धको टोलीले गोकर्णेश्वर नगरपालिका६ का ८ वटा अवैध भट्टीबबाट २६ हजार लिटर मदिरा नष्ट गरेको छ । बौद्ध वृत्तको प्रहरीले अवैध आठ भट्टीबााट १० थान ग्यास चुल्हो, १९ थान ग्यास सिलिण्डर र एक सय ३० थान ड्रम पनि बरामद गरेको छ । बौद्ध प्रहरीको टोलीले बिहीबार मात्रै २६ हजार लिटर अवैध मदिरा नष्ट गरेको हो । गोकर्णेश्वरका ८ स्थानमा अवैध घरेलु मदिरा भट्टीबाट अवैध घरेलु मदिरा बनाउन लगाइने कच्चा पदार्थ २१ हजार लिटर, तयारी घरेलु मदिरा ५ हजार लिटर र कोदोको तोङ्बा ५ हजार ५ सय लिटर नष्ट गरेका छौँ, वृत्त प्रमुख डीएसपी नरेन्द्र चन्दले भने, हामीले तीन घण्टामै यतिधेरै अवैध मदिरा नष्ट गरेका हौँ । फोहोर तथा कुहिएका खाद्यपदार्थ हालेर बनाइएको घरेलु मदिरा स्वास्थ्यका लागि खतरानाक मानिन्छ । प्रहरीले घरेलु मदिरालाई अपराधको कारक पनि मान्ने गरेको छ । प्रहरीले राजधानीमा महिला र बालबालिकामाथिका हिंसा, लागूऔषध, गुण्डागर्दी, पाकेटमार र अवैध घरेलु मदिरा नियन्त्रणलाई प्राथमिकता दिएको छ"""
"मेलौली नगरपालिमा एम्बुलेन्स सञ्चालन","बैतडी : बैतडीको मेलौली नगरपालिकाले एम्बुलेन्स सेवा सुरु गरेको छ । नगरपालिकाले १० लाख ४९ हजारमा एम्बुलेन्स खरिद गरी सेवा सञ्चालन गरेको नगरपालिकाका प्रमुख कृष्णसिंह नायकले बताए । उनले भने, जिल्लाको तल्लोसोराड क्षेत्रमा एम्बुलेन्स नभएकै कारण धेरैले ज्यान गुमाउनु पर्ने स्थिती थियो । सोही अवस्थालाई मध्यनजर गरेर हामीले कार्यपालिकाबाट एम्बुलेन्स खरिदको निर्णय गरेका थियौं । सोही निर्णयअनुसार एम्बुलेन्स खरीद गरेर सञ्चालनमा ल्याएका छौं । केही दिन अघि मात्रै एम्बुलेन्स खरिद गरेर नगरपालिकामा भित्र्याएको नगरप्रमुख नायकले बताए । एम्बुलेन्स सञ्चालनमा आएसंगै कमजोर आर्थिक अवस्था भएका र जटील खालका बिरामीहरुलाई सजिलो हुने उनको भनाइ छ । उनले भने हामीले कतिपय सुत्केरीहरुलाई समयमै अस्पताल पुर्याउन नसक्दा ज्यान गुमाउनु परेको देखेका छौं । कतिपय आकस्मिक बिरामीलाई समयमा अस्पताल पुर्याउन नसक्दा ठूलो क्षति भएको देखेका छौं । अब यी समस्याको अन्त्य हुने हामीले विश्वास छ । मेलौलीमा एम्बुलेन्स सेवा सुरु भएसँगै जिल्लाका ४ स्थानीय तहमा एम्बुलेन्स सेवा पुगेको छ ।"
"वाइडबडी प्रकरण : सरकारले बनायो न्यायिक समिति","काठमाडौं : नेपाल एयरलाइन्सको वाइडबडीमा संसदीय उपसमितिको छानबिन प्रतिवेदनलाई अस्वीकार गर्दै सरकारले तीन सदस्यीय उच्चस्तरीय न्यायिक छानबिन समिति गठन गरेको छ । प्रतिनिधिसभाको सार्वजनिक लेखा अन्र्तगतको उपसमितिको बहालवाला पर्यटनमन्त्रीसहित केही पूर्वमन्त्री र सचिवलाई दोषी ठहर गर्दै कारवाहीको सिफारिस गरेपछि सरकारले न्यायिक छानविन समिति गठन गरेको हो । निगमको वाइडबडी ए ३०० नामक दुई जहाज खरिद गर्दा ४ अर्ब ३५ करोड ५६ लाख रुपैयाँ भ्रष्टाचार भएको उपसमितिले निष्कर्ष निकालेको थियो । उपसमितिको प्रतिवेदन अस्वीकार गरेको सरकारले बिहीबार पुनरावेदन अदालतका पूर्वमुख्य न्यायाधीश गोविन्दप्रसाद पराजुलीको संयोजकत्वमा तीन सदस्यीय छुट्टै छानबिन समिति बनाएको सरकारका प्रवक्ता एवं सञ्चारमन्त्री गोकुल बाँस्कोटाले जानकारी दिए । जांचबुझ आयोग ऐनको दफा ३(२) अनुसार नेपाल एयरलाईन्सको खरिद गरिएका दुईवटा वाइडबडी एयरवस विमान ३३०२०० का विषयमा उठेका महत्वपूर्ण सार्वजनिक सवालमा जाँभबुझ गरि नेपाल सरकार समक्ष ४५ दिनभित्र प्रतिवेदन पेश गर्न मन्त्रीपरिषदले एक जाँचबुझ आयोग गठन गरेको छ, प्रवक्ता बाँस्कोटाले भने । आयोगका सदस्यमा पूर्व नायब महान्यायाधिवक्ता नरेन्द्र प्रसाद पाठक र चाटर एकाण्टेट मदन शर्मा छन् । संयोजक पराजुलीले २०६५ सालमा सेवाबाट अवकाश पाएका थिए । वाइडबडी प्रकरण सार्वजनिक नगरे सरकारलाई नछोड्ने देउवाको चेतावनी वाइडबडी प्रकरण : पर्यटनमन्त्री र सचिव भ्रष्टाचारमा मुछिएको प्रतिवेदनमा के छ ? (पूर्णपाठ) वाइडबडी प्रकरण : समितिको अन्तिम निर्णय कुर्दै नेकपा वाइडबडी प्रकरण: सरकारका प्रवक्ता भन्छन्,उपसमितिको प्रतिवेदन स्वीकार्य छैन"
"प्रदेशले कानुन नबनाउँदा स्थानीय सरकार समस्यामा","काठमाडौं : प्रदेश सरकारले स्थानीय सरकारका लागि बनाउनु पर्ने ६ वटा कानुन बन्न नसक्दा गाउँपालिका र नगरपालिकाले थुप्रै चुनौतिको सामना गर्नु परेको छ । संविधान कार्यान्वयन भएको तीन वर्ष र स्थानीय तथा प्रदेशको निर्वाचन भएको डेढ वर्ष बित्दासम्म कानुन नबन्दा स्थानीय तहले भनेजसरी काम गर्न पाएका छैनन् । नेपालको संविधानको धारा ६० (५) अनुसारको प्रदेश कानुन नबन्दा वित्तीय समानीकरण अनुदान वितरण गर्न असहज भएको छ भने धारा २३० (२) अनुसार स्थानीय तहको राजश्व तथा व्ययको अनुमानमा घाटा पूर्ति गर्नेसम्बन्धी प्रदेश सरकारले कानुन नबनाउँदा तहलाई अप्ठ्यारो परेको हो । गाउँपालिका राष्ट्रिय महासंघ नेपालले गरेको स्थानीय सरकारकाका संवैधानिक जिम्मेवारी र संघीय कानुनहरुको पुनरावलोकन विषयक अनुसन्धानमूलक प्रतिवेदनले यस्तो समस्या रहेको देखाएको हो । संविधानको धारा २२६ (२) अनुसार बन्नुपर्ने गाउँसभा र नगरसभाले एकल र साझा अधिकारका विषयमा कानुन बनाउने प्रक्रिया प्रदेश कानुनबमोजिम हुने भनिए पनि त्यस्तो हुन सकेको छैन । संविधानको धारा २३५ (३) अनुसार प्रदेश र स्थानीयबीच विवाद उत्पन्न भएमा विवाद समाधान गर्ने प्रक्रिया र कार्यविधि प्रदेश कानुनबमोजिम हुने भने पनि हालसम्म कानुन बनेको छैन । प्रतिवेदन अनुसन्धान समूहका संयोजक एवं संविधानविद् डा चन्द्रकान्त ज्ञवालीले भने, एकापसका अधिकारबीच विभिन्न विवाद हुन सक्छन्, केही भएका होलान् तर त्यस्तो हुँदा के गर्ने ? अझै अन्योल छ । यसका लागि प्रादेशिक काउन्सिल गठन गर्नुपर्ने प्रावधान छ । प्रधानमन्त्रीको अध्यक्षतामा गठन हुने काउन्सिलले यसको समाधान गर्ने भए पनि हालसम्म यसको समेत कानुन बनेको छैन । प्रादेशिक सरकारहरुले स्थानीय सरकारहरुका लागि बनाउनु पर्ने अर्को कानुन हो संविधानको धारा २२० (८) अनुसार बनाउनु पर्ने जिल्ला सभाको सञ्चालन, जिल्ला समन्वय समितिका सदस्यले पाउने सुविधा तथा जिल्ला सभासम्बन्धी अन्य व्यवस्था गर्ने कानुन । छैठौं तथा अन्तिम कानुनका रुपमा प्रदेश सरकारले संविधानको धारा २२७ बमोजिम गाउँ सभा र नगर सभासम्बन्धी अन्य व्यवस्थाबारेको कानुन बनाउनु पर्ने हुन्छ । जसमा गाउँ सभा र नगर सभाको सञ्चालन, बैठकको कार्यविधि, समिति गठन, सदस्यको पद रिक्त हुने अवस्था, गाउँ सभा र नगर सभाका सदस्यले पाउने सुविधा, गाउँपालिका र नगरपालिकाको कर्मचारी र कार्यालयसम्बन्धी अन्य व्यवस्था प्रदेश कानुनबमोजिम हुनेछ । महासंघका अध्यक्ष होमनारायण श्रेष्ठले प्रदेश सरकारले संविधानअनुसार बनाउनुपर्ने ६ कानुन यतिका समयसम्म नबनाइदिँदा मुलुकभरका गाउँपालिका र नगरपालिका अलमलमा परिरहेको बताए । एकातिर प्रदेश सरकार बनाउनुपर्ने कानुन बनाउँदैन र समस्या छन् भने अर्कोतिर संघीय सरकारका कर्मचारी संविधानले जे नबनाउनू भनेको छ तिनै कानुन बनाएर स्थानीय सरकारलाई समस्या पारिरहन्छ, उनले थपे । स्थानीय शासनविज्ञ कृष्णप्रसाद सापकोटाले सरकार सञ्चालनका लागि आवश्यक कानुन बनेनन् वा बाझिए भने सरकारले नागरिकलाई संघीयताबमोजिमका सेवासुविधा दिन नसक्ने बताए । उनले भने, प्रदेश सरकारले दायित्व बुझ्नुपयो, संघीय सरकारले यसमा खेल्नुपर्ने भूमिकामा पनि चुक्नुभएन ।"
"नाम्चेमा हिमपात : तापक्रम माइनस आठमा झर्यो","काठमाडौं : खुम्बु क्षेत्रको प्रदेशद्वार नाम्चे बजारमा भारी हिमपात भएको छ । तीन हजार सात मिटरमा रहेको नाम्चेमा बिहानैदेखि भएको हिमपातपछि त्यस क्षेत्रको तापक्रम माइनस आठ डिग्री पुगेको हो । अझैसम्म हिमपात हुने क्रम रोकिएको छैन । हिमपातपछि खुम्बु क्षेत्रको जनजीवन कष्टकर बनेको छ भने सगरमाथा आधार शिविर र त्यस क्षेत्रमा पदयात्रामा गएका पर्यटकसमेत बाटामै अलपत्र परेका छन् । जल तथा मौसम विज्ञान विभागले गरेको तीन दिनसम्म हिमपात हुने पूर्वानुमान गरेको छ । तस्बिर सौजन्य : ट्रेकिङ गाइड नुर्वु शेर्पा"
"१३ दिन सार्वजनिक बिदा थप्दै सरकार : कहिले कसलाई बिदा ?","काठमाडौं : सरकारले थप १३ दिन सार्वजनिक बिदा थप गर्ने तयारी गरेको छ । सोमबार बसेको मन्त्रिपरिषद् बैठकले गठन गरेको मन्त्रीस्तरीय समितिले १३ दिन सार्वजनिक बिदा थप गर्ने प्रस्ताव गरेको हो । गृहमन्त्री रामबहादुर थापा, शहरी विकासमन्त्री मोहम्मद इश्तियाक राई र संस्कृति, पर्यटन तथा नागरिक उड्डयनमन्त्री रविन्द्रप्रसाद अधिकारीले १३ दिन बिदा थप गर्ने प्रस्ताव गरेका हुन् । प्रस्तावित विवरण अनुसार किराँत चार्ड उभौली र उधौलीका लागि दुई दिन, इदुल फित्र, बकरइद र मोहम्मद जयन्ती तीन दिन, किस्मस, एक दिन, तमु ल्होसार, सोनाम ल्होसार र ग्याल्वे ल्होसारमा तीन दिन, छठ, ऋषि पञ्चमी, माघी पर्व, र जनै पूर्णिमामा एकएक दिन बिदा दिने प्रस्ताव समितिले गरेको छ । सँगै समितिले अन्य बिदा भने यथावत रहने बताएको छ ।"
"पूर्वएआइजी भट्टराईले ७० लाख भ्रष्टाचार गरेको ठहर : नौ महिना जेल","काठमाडौं : विशेष अदालतले अकुत सम्पत्ति आर्जनको अभियोगसहित मुद्दा चलाइएका सशस्त्र प्रहरी बलका पूर्वएआइजी ऋषभदेव भट्टराईले ६९ लाख ८७ हजार रुपैयाँ भ्रष्टाचमार गरेको ठहर गरेको छ । भट्टराईलाई नौ महिना जेल सजायसमेत तोकिएको छ । विशेष अदालतका न्यायाधीश चण्डीराज ढकाल, प्रमोदकुमार श्रेष्ठ वैद्य र नारायणप्रसाद पोखरेलको इजलासले उक्त फैसला सुनाएको हो । भट्टराई प्रहरी सेवाबाट अवकासपछि नयाँ शक्ति पार्टीका नेतासमेत थिए । अख्तियार दुरुपयोग अनुसन्धान आयोगले भट्टराईको सम्पत्तिको स्रोत पुष्टी नभएको दाबीसहित २०७३ मंसिरमा अकुतसम्बन्धी मुद्दा दायर गरेको थियो । अख्तियारले भट्टराईको कुल तीन करोड १७ लाख ६७ हजार एक सय ३७ रुपैयाँ बराबरको सम्पत्ति मूल्यांकन गरेको थियो । सम्पत्तिमध्ये एक करोड २१ लाख ४९ हजार ६ सय ५६ रुपैयाँ बराबर सम्पत्तिको वैध स्रोत पुष्टी नभएको दाबी अख्तियारको थियो । विशेष अदालतका रजिष्ट्रार भिमकुमार श्रेष्ठले अदालतबाट भट्टराईको ६९ लाख ८७ हजार दुई सय २५ रुपैयाँ बराबर सम्पत्तिको स्रोत नखुलेको ठहर भएको जानकारी दिए । उक्त मुद्दामा प्रतिवादीलाई नौ महिना कैद, भ्रष्टाचार ठहर भए बमोजिम बिगो अनुरुपको जरिबाना र सोही बराबरको सम्पत्तिसमेत जफत हुने फैसला भएको छ, रजिष्ट्रार श्रेष्ठले अन्नपूर्णसँग भने ।"
