"शीर्षक","विवरण"
"मेलम्ची वार्ता असफल : सीएमसीले गर्यो किस्ताबन्दीमा भुक्तानी लिन अस्वीकार","काठमाडौं : मेलम्चीको इटालियन ठेकेदार सीएमसीलाई फकाउने सरकारको लगातार तीन दिनको प्रयास बुधबार पनि असफल भएको छ । खानेपानी मन्त्रालयमा ठेकेदार र मन्त्रालयका पदाधिकारीबीच बुधबार दिनभर भएको वार्ता बिना निष्कर्ष टुंगिएको हो । मन्त्रालय स्रोतका अनुसार सरकारले ठेकेदारलाई तिर्नुपर्ने ३६ करोड रुपैयाँ किस्ताबन्दीमा दिने प्रस्ताव गरेको थियो । सीएमसीले आपूलाई नगद प्रवाहमा समस्या परेको भन्दै एकैपटक तिर्नुपर्ने अडान राखेपछि वार्ता निष्कर्षविहीन भएको हो । वार्ता बिहीबार पनि हुनेछ । ठेकेदारले गरेको दाबी रकम एक अर्ब ६१ करोडमध्ये दुवै पक्षका प्रतिनिधि सम्मिलित विवाद निरुपण बोर्ड (डीआरबी) ले सरकारले ३६ करोड रुपैयाँ तिर्नुपर्ने फैसला गरेको थियो । उक्त निर्णयअनुसार ठेकेदार रकम पाउन खानेपानी मन्त्रालय र मेलम्ची आयोजनालाई ताकेता गर्दै आएको थियो । तर खानेपानी सचिव गजेन्द्र ठाकुर र आयोजना प्रमुख सूर्यप्रकाश कँडेलले विभिन्न्न बहानावाजी गर्दै भुक्तानी नदिएपछि ठेकेदारले आप्ना सबै कर्मचारी र कामदारलाई सिन्धुपाल्चोकस्थित मेलम्ची साइटबाट काठमाडौं उतारेको थियो । ठेकेदारले काम गर्न नसक्ने भन्दै एकतर्फी ठेक्का रद्दका लागि मन्त्रालय र आयोजना कार्यालयमा पत्राचार गरेको थियो । सचिव ठाकुरले प्रहरी लगाएर क्रिसमस मनाउन स्वदेश फर्कन लागेका ठेकेदारका कर्मचारीलाई पक्राउ गर्न लगाएका थिए । उनीहरुको राहदानी जफत गरी नेपाल छाड्न नपाउने आदेश त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलस्थित अध्यागमन कार्यालयलाई दिएपछि स्थिति तनावपूर्ण भएको थियो । मन्त्रालयले सीएमसीसितको ठेक्का रद्द गरी नयाँ ठेक्का गर्न प्रयास गरेको थियो । तर ठेक्का सम्झौता र कानुनी रुपमा आफू तल परेको थाहा पाएपछि खानेपानी सचिव सीएमसीलाई फकाउन लागेका हुन् । ठेक्का रद्द गरी नयाँ ठेक्का दिन कानुनी प्रक्रिया पूरा गर्नुपर्ने हुन्छ । यसका लागि कम्तीमा ६ महिना लाग्ने, मेलम्चीमा मुहान निर्माण नभएकाले अस्थायी बाँध बनाएर पानी ल्याउने योजना असफल हुने भएपछि सचिव ठाकुर गलेका हुन् । ठेकेदार र आयोजनाबीच आगामी माघ २७ गते मेलम्चीको पानी काठमाडौं ल्याउने सहमति छ । यही सहमतिलाई प्रधानमन्त्री केपी शर्मा ओली, खानेपानी मन्त्री बिना मगर, सचिव ठाकुर र आयोजना प्रमुखहरुले अबको दुई महिनापछि मेलम्चीको पानी काठमाडौंमा भन्दै आएका हुन् । मन्त्रालय भुक्तानी रोकी नयाँ ठेक्का गर्न उद्यत भयो । यसले आगामी २०७६ सालको अन्त्यमा मात्र मेलम्चीको पानी काठमाडौं आउने निष्कर्षमा पुगेपछि सचिव ठाकुर पछि हट्न बाध्य भएका हुन् । मन्त्रालय स्रोतका अनुसार सचिव ठाकुरले नेपालका क वर्गका विभिन्न ठेकेदारलाई टेलिफोन गरी मेलम्चीको बाँकी काम गर्ने हो कि भन्दै सोध्दै हिंडेका थिए । मंगलबार उनले यही ठेकेदारलाई निरन्तरता दिने वा नयाँ ठेक्का गर्ने भन्ने विषयमा छलफल भइरहेको उल्लेख गर्दै निर्धारित कार्यतालिकाअनुसार नै आयोजना निर्माण हुने विज्ञप्ति जारी गरेका थिए । सचिव ठाकुरले अझै पनि सरकारलाई भ्रममा राखेको त्यो विज्ञप्तिबाट प्रस्ट हुन्छ मन्त्रालयका एक अधिकारीले भने, त्यसको जिम्मेवारी उनले लिने कि नलिने ? किनभने यस्तो गज्याङगुजुङ गरेपछि निर्धारित तालिका (कानुनी रुपमा आगामी माघ २७ गते) कुनै हालतमा मेलम्चीको पानी काठमाडौं आउँदैन ।"
"पूँजी बजार सुधार गर्न ५८ बुँदे सुझाव","काठमाडौं : मुद्रा तथा पूँजी बजारमा देखिएको प्रवृत्तिको खोजी गर्न बनेको कार्यदलले डा अर्थमन्त्री युवराज खतिवडालाई प्रतिवेदन बुझाएको छ । राष्ट्र बैंकका डेपुटी गभर्नर शिवराज श्रेष्ठको संयोजकत्वमा गठित कार्यदलले अर्थमन्त्रलाई ५८ बुँदे सुझाव पेस गरेको छ । मुद्रा तथा पूँजी बजारलाई दीर्घकालीन रुपमा व्यवस्थित र दिगो बनाउन आवश्यक नीतिगत व्यवस्था तथा ब्याजदर नियन्त्रणका उपाय समावेश गरिएको छ । सेयर कारोबारीले बैंकबाट सेयर धितोमा राखेर ६५ प्रतिशतसम्म ऋण पाउने भएका थिए । हाल सेयर लगानीकर्ताले १८० करोबार दिनको औसत मूल्यको ५० प्रतिशतसम्म ऋण पाउने व्यवस्था छ । प्राथमिक पूँजीको २५ प्रतिशत रकम शेयरमा लगानी गर्न पाइने व्यवस्थालाई बढाएर ४० प्रतिशत पुर्याउने प्रतिवेदनमा उल्लेख छ । यसअघि पनि ४० प्रतिशत पूँजी शेयरमा लगानी गर्न पाइने व्यवस्थालाई गत असारमा राष्ट्र बैंकले सार्वजनिक गरेको आर्थिक वर्ष २०७५७६ को मौद्रिक नीतिमा २५ प्रतिशतमा झारेको थियो । पुन ४० प्रतिशतमा पुर्याउने प्रतिवेदनमा उल्लेख छ । साथै ब्रोकरमार्फत् हुने मार्जिङ लेण्डिङ सुरु गर्न सुझाव दिइएको छ । यस्तै बैंकहरुले पनि सेयर कारोबारका लागि इजाजत दिन सुझाव दिइएको छ । साथै, सहज रुपमा शेयर खरिद बिक्री गर्ने वातावरण निर्माण गर्नु पूर्ण अनलाइन कारोबार एक महिनाभित्र लागू गराउनु पर्ने विषय पनि सुझावमा छ । लगानी योग्य पूँजीको अभाव देखाउँदै बैंकले व्याजदर परिवर्तन गर्दै आएका छन् । व्याजरमा भइरहेको तीब्र उतार चढावले समर्ग अर्थतन्त्रमा प्रभाव परेको छ । व्याजदरलाई नियन्त्रण गर्ने विषय पनि समितिको सुझावमा छ । साथै, सेयर धितो कर्जाको जोखिम भार सय प्रतिशतमा झार्ने सुझाव समितिले दिएको छ । हकप्रद र बोनस सेयर समायोजनपछि मूल्य घट्दा मार्जिन कल आउने गरेकोमा त्यसलाई समेत हटाउने सुझाव समितिले दिएको छ । यस्तै अनुपात क्षेत्रमा लगानी घटाउन र पुर्नकर्जा बढाउन सुझाव दिइएको कार्यदलका एक सदस्यले बताए । कार्यदलमा धितोपत्र बोर्डका अध्यक्ष डा रेवतबहादुर कार्की, बैंकर्स संघका अध्यक्ष ज्ञानेन्द्र ढुंगाना, इन्भेष्टर्स फोरमका अध्यक्ष अम्बिकाप्रसाद पौडेल र अर्थमन्त्रालयका सहसचिव उत्तरकुमार खत्री रहेका छन् ।"
"बालक हत्या प्रकरण : आरोपी तीनैजना एक वर्षपछि सामान्य तारेखमा छुटे","बिर्तामोड : एक वर्षअघि झापाको अर्जुनधारा नगरपालिका११ का बालक लक्ष्मण शिवाकोटीको हत्या अभियोगमा कारागार चलान भएका तीनजना साधारण तारेखमा छुटेका छन् । ०७४ असोज १४ गते बालकको शव पोखरीमा फेला परेको थियो । बालक मृत्युको घटना रहस्यमय भएपछि हत्या गरेर पोखरीमा फालेको आरोपमा बिर्तामोडका समीर पोखरेल, सुधीर पोखरेल र सन्तोष पोखरेललाई कर्तव्य ज्यान मुद्दा लागेको थियो । गत मंसिर १४ गते सर्वोच्च अदालतको आदेशमा उनीहरु साधारण तारेखमा छुटेका हुन् । बालकको रहस्यमय मृत्युका कारण बिर्तामोडमा प्रशासन बिरुद्ध आन्दोलन हुँदा एकजनाको गोली लागेर मृत्यु समेत भएको भयो । झण्डै एक महिनासम्म चलेको आन्दोलनले अभियोग लागेकोे परिवारले सञ्चालन गरेको होटल तोडफोड भएको थियो भने जिल्ला ट्राफिक प्रहरी कार्यलय झापाको कार्यलयमा पनि क्षति पुगेको थियो । निरन्तर आन्दोलन चलिरहँदा बिर्तामोडमा तीन दिन कफ्र्यू नै लगाउनुपरेको थियो । जसका कारण बिर्तामोड क्षेत्र तनावग्रस्त बनेको थियो । सर्वाेच्च अदालतमा पोखरेल परिवारको तर्फबाट मुद्दा हेरेका अधिवक्ता सानुराज पोखरेलका अनुसार कारागारबाट मुक्त भए पनि अहिले सफाय पाएको भने होइन । इलामस्थित उच्च अदालत र सर्वोच्चले यो मुद्दा अब जिल्ला अदालतलाई बुझाइसकेको उनको भनाइ छ । घटनापछि बिर्तामोडको माहोल र प्रत्यक्षदर्शीले २२ दिनमा फेरेको अभिव्यक्तिले मात्र समस्या भएको अधिवक्ता बताउँछन् । अधिवक्ताले सानुराज पोखरेलले भने, सर्वोच्चको आदेश भइसकेको छ, हत्या गरेको प्रमाण नपुगेपछि पनि साधारण तारेखमा छोडिएको हो । उनका अनुसार बालक शिवाकोटीको पोष्टमार्टमा पनि हत्या भएको पुष्टि भएको छैन । पोखरीको पानी र डेल्टम टेष्ट मृगौला फोक्सो परिक्षण गर्दा प्रमाण नमिलेको बताइएको छ । यस्तै अभियोग लागेका व्यक्तिको पोलिग्राफ परिक्षणमा समेत नढाटेको पुष्टि भइसकेको छ । जनप्रभावमा घटना मोडिएको अधिवक्ताको जिकिर छ ।"
"भारतीय राजदूतले मुख्यमन्त्रीलाई भने : विराटनगर एयरपोर्ट विस्तार गरौँ","विराटनगर : नेपालभारत खुल्ला सीमाका सम्भावना र चुनौती विषयक गोष्ठीमा विराटनगर आउन तयार भारतीय राजदूत मञ्जिवसिंह पुरीले काठमाडौँमा ४ घण्टासम्म उडान पर्खिए । विराटनगर एयरपोर्टको भिजिबिलटी न्यून रहेको भन्दै उडान समयतालिका अनुसार भएको थिएन । नेपालभारत खुल्ला बोर्डर सम्भावना र चुनौती विषय गोष्ठीमा सहभागी हुन आएका प्रदेशभरका व्यवसायी लामो समयदेखि जहाज ल्याण्ड हुने आशमा कुरिरहेका थिए । गोष्ठीमा आफ्नो बोल्ने पालो आएपछि पुरीले प्रदेश १ का मुख्यमन्त्री शेरधन राईतर्फ लक्षित गर्दै उनले भने, कार्यक्रममा आउन ४ घण्टा कुर्नुपर्यो, विराटनगर एयरपोर्टको क्षमता त विस्तार गर्नुपर्ने देखियो । पुरीले यसो भन्दा हलमा तालीको पर्रा छुट्यो । मुख्यमन्त्री राई प्रतिउत्तरमा मुस्कुराए तर पुरी यतिमै रोकिएनन् । उनले थपे, आधुनिक संरचना बनिनसकेकै अवस्थामा पनि विराटनगरपटना उडान भएको इतिहास छ, यसलाई तुरुन्त चालु गरेर कलकत्तासम्म लानु पर्यो, म कुटनीतिक पहल गर्न तयार छु । पुरीले प्रदेश १ सम्भावनाको खानी रहेको औंल्याए । प्रदेश १ यस्तो प्रदेश हो, जसले भारतका तीन प्रान्तसँग सहज कनेक्टीभिटी छ, उनले भने । भर्खरै भएको माउण्टेन फ्लाइटको स्मरण गर्दै पुरीले थपे, यहाँका हिमालसम्मको सहज उडानका लागि पनि विराटनगर विमानस्थलको विस्तार अतिआवश्यक देखेको छु । मुख्यमन्त्री राईले पुरीको भनाइलाई गम्भीररुपमा लिएको बताए । प्रदेश सरकारको योजना नै गरमाथाको मेन गेट वे बनाउने रहेको जानकारी दिँदै त्यसका लागि सुविधायुक्त विमानस्थल आवश्यक रहेको तर्क गरे । विराटनगर विमानस्थलबारे हामी मिहीनढंगले सोचिरहेका छौँ, उनले भने, यसलाई विस्तार गर्ने या अन्यत्र सार्नेबारे सरकार गृहकार्यमा छ ।"
"मोदीलाई गाली गर्ने पत्रकार जेलमा","नयाँदिल्ली : भारतीय प्रधानमन्त्री नरेन्द्र मोदीलाई गाली गर्ने एक पत्रकारलाई एक वर्षको जेल सजाय तोकिएको छ । फेसबुकमा सन्देश पोस्ट गरेको भन्दै भारतीय प्रशासनले पत्रकार किशोरचन्द्र वाङखेमलाई एक वर्षको जेल सजाय तोकेको हो । सामाजिक सञ्जालमा प्रेषित सन्देशलाई लिएर पत्रकारलाई थुन्नुलाई वाक स्वतन्त्रतामाथिको कठोर नीति भएको आलोचकले बताएका छन् । मणिपुरबाट पक्राउ परेका वाङखेमलाई कठोर कानुनी उल्लंघन सजायअन्तर्गत उक्त सजाय दिइएको हो । उक्त कानुनी प्रावधानअनुसार भारतमा कसैले ओहदामा रहेका अधिकारीमाथि दुव्र्यवहार वा गालीगलोज गरेमा एक वर्ष जेलमा राख्न सकिन्छ । ३९ वर्षीय टेलिभिजन पत्रकार वाङखेमले मोदीलाई गाली गरेको उत्तेजक दृश्यचित्र सामाजिक सञ्जालमा राखेको आरोप लगाइएको छ । उनले पोस्टमा भारतीय प्रधानमन्त्री मोदी र मणिपुरका मुख्यमन्त्री बिरेन सिंहको सरकारले हिन्दु धर्मको प्रचारमा लागेको भन्दै अभद्र गाली गरेको भिडियो पोस्ट गरेका थिए । मुख्यमन्त्री सिंह र प्रधानमन्त्री मोदी कट्टर हिन्दुवादी राष्ट्रिय स्वयंसेवक संघको कठपुतली भएको भन्ने भावको भिडियो राखेका थिए । अधिकारीहरूले पत्रकार वाङखेमको पक्राउ राज्यको सुरक्षामा आँच आउने काम गर्ने प्रवृत्तिलाई रोक्ने उद्देश्यले भएको जनाएका छन् । राजद्रोह गरेको आरोपमा पक्राउ गरे पनि अदालतले धरौटीमा रिहा गर्न आदेश दिएको थियो । त्यसपछि उनी थप उत्तेजित भई त्यस्ता काम जारी राखेको सुरक्षा अधिकारीले बताएका छन् । एएफपी"
"सुपा देउराली मन्दिरमा प्रधान सेनापति","सन्धिखर्क : प्रधान सेनापति पूर्णचन्द्र थापाले सुपा देउरालीमा पूजा गरेका छन् । प्रदेश ५ को सैनिक गण, गुल्म र व्यारेकको अवलोकन गर्न आएका प्रधान सेनापति थापाले बुधबार बिहान सुपा देउराली मन्दिरमा पूजा गरेका हुन् । उनले करिब आधा घण्टा पूजा गरेको सुपा देउराली मन्दिर व्यवस्थापन समितिका अध्यक्ष प्रितम थापाले बताए । सुपा देउरालीको दर्शन गरेपछि मनले चिताएको पुग्ने धार्मिक विश्वास छ ।"
"अवैध भर्ना भएका ३४ विद्यार्थीले चिकित्सा डिग्री नपाउने","काठमाडौं : प्रवेश परीक्षा उत्तीर्ण नगरी एमबीबीएसमा भर्ना भएका जानकी मेडिकल कलेजका ३४ विद्यार्थीले चिकित्सा डिग्रीको मान्यता नपाउने भएका छन् । कलेजले गैरकानुनी ढंगले गत वर्ष ३४ भारतीय विद्यार्थीबाट मोटो रकम लिएर एमबीबीएसमा भर्ना गराएको खुलेको थियो । त्रिभुवन विश्व विद्यालयका उपकुलपति डा तीर्थ खनियाँले ती विद्यार्थीको रजिष्ट्रेशन दर्ता नै नभएको बताए । रजिष्ट्रेशन नै नभएका विद्यार्थीलाई विश्वविद्यालयले चिन्दैन, उनले भने, मान्यता दिने कुरै आएन । मोटो रकम तिरेर भर्ना भएका विद्यार्थी अहिले एमबीबीएस १३ औं व्याचमा अध्ययनरत छन् । चिकित्साशास्त्र अध्ययन संस्थान (आइओएम) ले गत वर्ष अवैध विद्यार्थी भर्ना नलिन सूचना जारी गरेको थियो । आइओएमको सूचनालाई अटेर गर्दै जानकीले भर्ना लिएको थियो । आइओएमका डिन डा जगदीश अग्रवालले प्रवेश परीक्षा उत्तीर्ण नभएका विद्यार्थी भर्ना गर्नु गैर कानुनी भएको बताए । प्रवेश परीक्षा उत्तीर्ण गरेका विद्यार्थीलाई मात्र भर्ना गर्नुपर्छ, उनले भने, थाहै नदिई भर्ना गरिएका विद्यार्थीलाई परीक्षामा सामेल गराउने कुरा भएन । प्रवेश परीक्षा पास नगरे पनि विदेशी विद्यार्थीको भर्ना हुन पाउनु पर्ने माग गर्दै दायर रिट निवेदनलाई पाटन उच्च अदालतले खारेज गरेको छ । उच्च अदालका न्यायाधीशद्वय गुणराज ढुंगेल र टेकनारायण भट्टराईको संयुक्त इजलासले रिट खारेज गरेको हो । अदालतको निर्णय सार्वजनिक हुँदासम्म पनि विद्यार्थी पढिरहेका छन् । यसअघि नेशनल मेडिकल कलेजले पनि प्रवेश परीक्षा बिना भर्ना गर्न पाउनु पर्ने माग गर्दै दायर रिट निवेदनको पक्षमा उच्च अदालत जनकपुरले अन्तरिम आदेश दिएको थियो । यही आदेशका भरमा अवैधरुपमा भर्ना भएका विद्यार्थीले पढाई जारी राखेका थिए । सम्बन्धन खारेज गर्न डा केसीको माग चिकित्सा शिक्षा अभियन्ता डा गोविन्द केसीले जानकी मेडिकल कलेजको सम्बन्धन खारेजीको प्रक्रिया सुरु गर्न माग गरेका छन् । बुधबार विज्ञप्ति जारी गर्दै डा केसीले बारम्बार अवैध रुपमा भर्ना लिने कलेजको सम्बन्धन खारेज गर्न माग गरेका हुन् । कलेजले न्यायालयलाईसमेत प्रभावित गरेको केसीको आरोप छ । आवश्यक पूर्वाधार, जनशक्ति र बिरामीको चाप बिनै विद्यार्थी भर्ना गरेर डिग्री बेच्ने कार्य भएकोप्रति उनले आपत्ति जनाए ।"
"आप्रवासीलाई बेलायतमा कडाइ","एएफपी लन्डन : यूरोपेली संघ (ईयू)बाट बहिर्गमनपछि ईयू क्षेत्रबाट बेलायत आप्रवासनबारे बेलायतले कडा प्रस्ताव बुधबार सार्वजनिक गरेको छ । व्यावसायिक समूहले भने ब्रेक्जिट सम्झौता गरिनुपूर्व आप्रवासनबारे लिइने कडा नीतिले बेलायती अर्थतन्त्रलाई समस्या पार्नसक्ने भनी संवेदनशील हुन आग्रह गरेका छन् । बेलायती गृहमन्त्री साजित जाबिदले भने, ब्रेक्जिटपछि ईयू सदस्य राष्ट्रहरूबाट बेलायत आउने नागरिकलाई भिसाको व्यवस्था गरिनेछ र नयाँ नियमअनुसार योग्यताका आधारमा प्रवेश गर्न पाइने व्यवस्था गरिनेछ । राष्ट्रियताका आधारमा होइन । यसले ईयू र ईयूबाहेकका व्यक्तिलाई बेलायत प्रवेशमा समानता ल्याउनेछ । यो कुल आप्रवासन समस्यालाई व्यवस्थित गर्न र दीर्घकालीन सामाधानको बाटो तय गर्ने महत्वपूर्ण आधार बन्ने गृहमन्त्री जाबिदले बीबीसीलाई बताए । यो नयाँ नीति आप्रवासीको जनसंख्यालाई घटाउने कुनै विशेष लक्ष्य भने नभएको उनले दाबी गरे । उनले भने, नयाँ नियमले स्वदेशी कामदारलाई प्राथमिकता दिने र आप्रवासी श्रमिकमाथि थप दवाब भने पर्नेछ । जाविदले ईयूबाट बेलायत आएएर काम गर्दै आएका आप्रवासीलाई वार्षिक ज्याला कति तोक्ने भन्नेबारे निश्चित रकम बताएनन् । यद्यपि यो ३० हजार पाउन्ड स्टर्लिङ डलरदेखि ३८ हजार हजार पाउन्ड स्टर्लिङ वा त्यसकै आसपासमा रहने प्रस्तावमा उल्लेख रहेको उनले बताए । न्यूनतम वार्षिक तलबको सीमारेखालाई विदेशी विद्यार्थीलाई बेलायत प्रवेश र काममा प्रोत्साहन साथै बेलायती अर्थतन्त्रको निश्चित भागमा योगदान होस् भन्ने अभिप्रायका साथ निर्धारण गरिएको उनले बताए । राष्ट्रिय स्वास्थ्य सेवालगायतका क्षेत्रका धेरै रोजगारदाताले तीस हजार पाउन्ड स्टर्लिङको सीमा निकै धेरै भएको र यसले ईयूका नर्स वा अन्य नागरिकलाई ल्याउन कठिन हुने बताएका छन् । आप्रवासनसम्बन्धी प्रस्ताव ब्रेक्जिटविरुद्धमा कट्टरवादी धारणा राख्दै आएका बेलायतीको मन जित्ने र प्रधानमन्त्री टेरेसा मेले ईयूका नेताहरूसँग गरेको सम्झौताको पक्षमा संसद्मा मतदान गर्न सघाउने उद्देश्यका साथ आप्रवासनबारेको प्रस्ताव आएको हो । प्रस्तावले लन्डनलगायतका केही भागमा आवेग सिर्जना गर्नसक्ने देखिएको छ । लन्डनमा ईयूबाट आएर बसोवास गर्दै आएका आप्रवासीहरूको संख्या धेरै छ । लन्डन महानगरका प्रमुख सादिक खानले सरकारको धारणालाई गलत भएको र यसले विकास, रोजगारी र लन्डन वरपरका समुदायलाई व्यापक क्षति पुयाउने बताएका छन् । सन् २०१४ र सन् २०१५ तिर बेलायतमा बसोवास गर्ने आप्रवासीको संख्या तीन लाखभन्दा बढी रहेकोमा गत वर्ष यो संख्यामा कमी आएर झण्डै दुई लाख ८० हजार पुगेको बताइएको छ । ब्रेक्जिट सम्झौताबाट बेलायती व्यवसायीहरू प्रभावित बन्ने त्रासले उनीहरूले बेलायत ईयूप्रति लचकदार रहनुपर्ने धारणा राख्दै आएका छन् ।"
"अमेरिकी विद्यालयमा हतियार राख्न सिफारिस","एजेन्सी वासिङटन : अमेरिकी राष्ट्रपति डोनाल्ड ट्रम्पले गठन गरेको विद्यालयको सुरक्षासम्बन्धी विज्ञहरूको अध्ययन टोलीले विद्यालयका कर्मचारीलाई हातहतियार राख्न दिन सिफारिस गरेको छ । गत फेबु्रअरीमा पार्कल्यान्ड, फ्लोरिडामा पूर्व विद्यार्थीले गोली प्रहार गरेर १७ जनाको हत्या भएपछि गठित टोलीले मंगलबार यस्तो सिफारिस गरेको हो । उक्त आक्रमणसँगै हतियार राख्न नपाउने माग गर्दै प्रदर्शन भएका थिए । शिक्षामन्त्री बेट्सी डिभोसको नेतृत्वमा गठित समितिले बन्दुक राख्न पाउने उमेरको हद बढाउनुपर्ने माग पनि अस्वीकार गरेको छ । विद्यालयमा गोलीबारी गर्ने अधिकांश छात्रले आफूले हतियार किनेको नभई परिवारका सदस्य र साथीको हतियार प्रयोग गरेको प्रतिवेदनमा उल्लेख छ । आयोगले सेना र प्रहरीका पूर्वअधिकारीलाई शिक्षकमा नियुक्त गर्नु निकै उचित हुने सिफारिस गरेको छ । ओबामा प्रशासनले ल्याएको हतियार राख्नेसम्बन्धी निर्देशिका खारेज गर्ने सुझाव दिइएको छ । पूर्वराष्ट्रपति बाराक ओबामाका तर्फबाट सन् २०१४ मा पेश गरिएको निर्देशनको समीक्षा गर्न सिफारिस गरेको छ । उक्त निर्देशमा अश्वेत र ल्याटिनी मूलका अमेरिकी छात्रछात्रामाथि हुने भेदभाव रोक्नका लागि विकल्प खोज्न सुझाव दिइएको थियो । यस्तो कदमबाट विद्यालयमा अनुशासन र सुरक्षामाथि नकारात्मक प्रभाव पर्ने दाबी गरिएको छ । १८० पृष्ठ लामो उक्त प्रतिवेदनमा शिक्षकहरूलाई हिंसा नियन्त्रणका लागि तत्काल लगाउनुपर्ने र प्रभावकारी कामका बारेमा सिकाउन पनि सिफारिस गरिएको छ । विद्यालय क्षेत्रमा प्रहरीलाई तत्काल पुग्न सक्ने बनाउने व्यवस्था ग्रामीण क्षेत्रका लागि उपयोगी हुन सक्ने समितिको सिफारिस छ । समितिको सिफारिसमा वरिष्ठ सुरक्षा अधिकारीहरू र प्रहरीका उच्च अधिकारीहरूको पनि समर्थन रहेको छ । उनीहरूले पनि यही सिफारिस नै प्रभावकारी र उपयुक्त हुने बताएको समितिका सदस्यले जनाएका छन् ।"
"कालिकोटमा २ सय ४४ एनजीओ खारेज गरिँदै","कालिकोट : कालिकोट जिल्लामा कार्यरत २ सय ४४ वटा गैरसरकारी संस्थाहरु खारेजीको सूचीमा परेका छन् । दर्ता भएर पनि वर्षौँसम्म नविकरण नगरेका गैरसरकारी संस्थाहरु खारेजीको लागि प्रशासनले सूचीकृत गरेको हो । सामाजिक सेवा र विकास गर्ने उद्देश्यका साथ दर्ता भएका ५ सय ४३ ओटा संस्थामध्ये नवीकरणका लागि बारम्बार ताकेता गर्दा पनि तोकिएको समयमा नविकरण नगरेका २ सय ४४ संस्था खारेजीको सूचीमा परेको प्रमूख जिल्ला अधिकारी चन्द्रबहादुर कार्कीले जानकारी दिए । प्रशासनले तीन वर्षअघि नै संस्थाहरुलाई नविकरण गर्न ३५ दिने सूचना जारी गरेको थियो । त्यस अवधिमा पनि नविकरण नगर्ने गैससहरु खारेज हुने भएका हुन् । यसरी नविकरण नगरेर खारेजीमा पर्ने अधिकांश संस्थाहरु वर्षौँँदेखि जिल्लामा कार्यरत प्रतिष्ठित व्यक्तिबाटै सञ्चालित छन् । जिल्लामा दर्ता भएका ५ सय ४३ गैरसरकारी संस्था मध्ये हालसम्म १ सय ६९ वटाले मात्र नविकरण गर्दै आएको जिल्ला प्रशासनले जनाएको छ । गत आर्थिक वर्षदेखि हालसम्म नयाँ दर्ता भएका १ सय ३० गैरसरकारी संस्थाहरुको बारेमा अद्यावधि गर्न बाँकी नै छ । प्रमुख जिल्ला अधिकारी कार्कीका अनुसार बारम्बार नविकरणमा ताकेता गर्दा पनि अधिकांश गैरसरकारी संस्थाका संचालक सम्पर्कमा आएका छैनन् । लगातार तीन वर्ष भन्दा बढी समय नविकरण गर्न नआएका २ सय ४४ संस्थालाई खारेज गरिन उनले बताए ।"
