"शीर्षक","विवरण"
"चीन पस्न खोज्ने तिब्बती तातोपानी नाकाबाट पक्राउ","काठमाडौं : सिन्धुपाल्चोकको तातोपानी नाकाबाट अवैध तवरबाट चीन पस्न प्रयास गर्ने एक तिब्बती पक्राउ परेका छन् । अध्यागमन नाका बन्द भएका बेला जबर्जस्ती चीन जान खोज्ने कुंगा ठिंगुलाई पुस १ गते कोदारीस्थित सीमा प्रहरी चौकीले पक्राउ गरेको हो । उनीसँग सामान्य परिचयपत्रबाहेक यात्राका लागि चाहिने राहदानी वा ट्राभल डकुमेन्टलगायत कुनै कागजता छैन । शंकास्पद तरिकाले सीमा क्षेत्रमा हिँडिरहेका उनी पक्राउ परेका हुन् । उनले अवैध रूपमा चीन छिर्ने प्रयास गरेको प्रहरीले बताएको छ । भूकम्पपछि तातोपानी नाका बन्द छ । अध्यागमन र भन्सार कार्यालयसमेत बन्द छ । नेपाली र चिनियाँ दुवै पक्ष बन्द रहेको नाका खुलाउने अन्तिम तयारीमा छन् । तातोपानीबाट आफूविरोधी गतिविधि हुन सक्ने भन्दै चीन सशंकित भइरहेका बेला त्यहींबाट कुंगा पक्राउ परेका छन् । स्थानीयले कुंगाको गतिविधि शंकास्पद भएको रिपोर्टिङ गरेलगत्तै प्रहरीले उनलाई पक्रेको थियो । सीमा प्रहरी चौकी कोदारीका सइ पुरुषोत्तम महतले कागजपत्र केही नभएकाले उनलाई पक्राउ गरिएको पुष्टी गरे । उनले भने, थप अनुसन्धानका लागि अध्यागमन विभागमा बुझाएका छौं । कुंगाले आफ्नो घर तिब्बत भएको बयान दिएका छन् । उपत्यकाका बौद्ध, स्वयम्भू, जावलाखेल र उपत्यका बाहिर पोखरालगायत क्षेत्रमा ठूलो संख्यामा तिब्बती शरणार्थी बसोबास गर्छन् । करिब ५ महिना भारत बसेका कुंगा हिन्दी राम्रोसँग बोल्छन् । उनी ६ महिनाअघि पनि पक्राउ परेका थिए । त्यस बेला फेरि नेपाल प्रवेश गर्न नपाउने चेतावनी दिएर काठमाडौंस्थित तिब्बती समुदायनिकट एक व्यक्तिको जिम्मा लगाएर विभागले उनलाई छाडेको थियो । ती व्यक्तिले कुंगालाई भारत पठाएको जानकारी अध्यागमन विभागलाई दिएका थिए । भारत पठाइएका कुंगा तातोपानीबाट समातिनु रहस्यमय बनेको छ । उनलाई के गर्ने विभागले निर्णय गर्न सकेको छैन । तीन जनासँग भारत गएका उनले आफूमात्र आएको बताएका छन् । चिनियाँ राहदानीसमेत नभएका उनी कसरी नेपाल आए अनुसन्धानको विषय बनेको छ । नेपालभारत सीमा सुरक्षामा देखिएको कमजोरीले तिब्बती, रोहिंज्या जस्ता अवैध आप्रवासी नेपाल पस्न सफल भइरहेका छन् । सीमा सुरक्षाको जिम्मा लिएको सशस्त्र प्रहरीले प्रभावकारी काम नगर्दा सीमा क्षेत्रमा आपराधिक गतिविधि बढ्दै गएको छ । नेपालभारत सीमा क्षेत्रमा देखिएको फितलो सुरक्षाले दसैंअघि १० जना रोहिंज्या बंगलादेशबाट भारत हुँदै नेपाल प्रवेश गरेका थिए । ती १० रोहिंज्या जोगबनी नाका हुँदै विराटनगरबाट काठमाडौं आएका थिए । केही समयअघि मात्र रसुवाबाट केरुङ पस्न खोज्ने तिब्बतीलाई चिनियाँ सुरक्षाकर्मीले पक्राउ गरी रसुवा प्रहरीलाई बुझाएको थियो ।"
"ब्याजदर घटाउने सहमति","काठमाडौं : नेपाल बैंकर्स संघले मुद्दति निक्षेपको ब्याजमा फेरि सीमा तोक्ने भएको छ । बुधबार साँझ अर्थमन्त्री अध्यक्षताको उच्च स्तरीय वित्तिय क्षेत्र समस्या समाधान समितिको बैठकपछि बिहीबार बिहान नेपाल राष्ट्र बैंकले बैंकलाई ब्याजदरमा प्रतिस्पर्धा नगर्न र एउटा आदर्श सीमामा बस्न निर्देशन दिएको हो । नेपाल राष्ट्र बैंकको निर्देशनपछि नेपाल बैंकर्स संघले व्यक्तिगत मुद्दती निक्षेपमा ९२५ प्रतिशत तथा संस्थागत मुद्दती निक्षेपमा ८५ प्रतिशत ब्याज निर्धारण गर्ने सहमति भएको छ । त्यस्तै साधरण निक्षेपमा भने ६५ प्रतिशत सम्म ब्याज दिन सकिने भद्र सहमति भएको नेपाल बैंकर्स एसोसिएसनका एक पूर्वअध्यक्षले जानकारी दिए ।"
"सेनाका गजेन्द्र राई बने म्याद अफ द गोरखा","गोरखा : नेपाली सेनाका गजेन्द्र राई यो वर्षको म्याद अफ द गोरखा बनेका छन् । दशौं गोरखा महोत्सवका क्रममा भएको आठ किलोमिटर दौड प्रतियोगितामा पहिलो भएका राईले म्यान अफ द गोरखा उपाधिसहित ३० हजार रुपैयाँ जितेका हुन् । द्रव्य शाहले राज्यभिषेक गरेको ऐतिहासिक पस्लाङ चौताराबाट गोरखा दरबारसम्मको दुरी राईले ३० मिनेट ४० सेकेण्डमा पार गरेका थिए । उपाधि विजेता राईलाई गोरखाको ऐतिहासिक पोशाकसहित घोडामा चडाएर गोरखा बजार परिक्रमा गराइएको छ । सोही दूरी ३० मिनेट ५५ सेकेण्डमा पूरा गरेर नेपाली सेनाकै होमलाल श्रेष्ठ दोस्रो भए । उनले १५ हजार रुपैयाँ पुरस्कार प्राप्त गरेका छन् । दौडमा तेस्रो स्थान पनि नेपाली सेनाकै राजन खत्रीले प्राप्त गरेका छन् । खत्रीले निर्धारित दूरी ३१ मिनेट १७ सेकेण्डमा पार गर्दै १० हजार रुपैयाँ पुरस्कार पाएका छन् । चौंथो भएका नेपाली सेनाकै हरिकुमार रिमाल र पाँचौं स्थान प्राप्त सेनाकै कल्याण बानियाँले २५२५ सय रुपैयाँ पुरस्कार प्राप्त गरेका छन् । दौड प्रतियोगितामा २ महिला सहित ३४ जनाको सहभागी थिए । दौड पूरा गर्ने धाविका नेपाली सेनाकै रणसिंह दल गणकी आशा तामाङलाई पनि प्रोत्साहन स्वरुप पुरस्कृत प्रदान गरिएको छ ।"
"मेलम्चीमा संलग्न नेपाली व्यवसायी आन्दोलित","काठमाडौं : मेलम्ची खानेपानी आयोजना निर्माणका क्रममा यन्त्र, उपकरण, निर्माण सामग्री आपूर्ति तथा उपठेक्का लिएका नेपालीहरुले ठेकेदार सीएमसीबाट पाउनुपर्ने रकम नपाएको भन्दै आन्दोलित भएका छन् । सीएमसीले नेपाली व्यवसायीहरुलाई डेढ अर्ब रुपैयाँ भुक्तानी दिन बाँकी रहेको छ । सरकार र ठेकेदार भुक्तानी लगायतका माग सम्बोधन नगरे उनीहरुले मेलम्चीको साइट र काठमाडौं कार्यालयमा तालाबन्दी गर्ने चेतावनी दिएका छन् । आयोजनामा संलग्न २८ वटा कम्पनीका नेपाली व्यवसायीको बिहीबार विज्ञप्ति सार्वजनिक गर्दै मागप्रति सरकार गम्भीर नबने मेलम्चीको साइट कार्यालय र काठमाडौंस्थित मेलम्ची खानेपानी विकास समितिको कार्यालयमा तालाबन्दी लगायतका कडा आन्दोलनका कार्यक्रम गर्न बाध्य हुने चेतावनी दिएका छन् । यसबाट उत्पन्न परिणामको जिम्मा आयोजना र ठेकेदारले लिनुपर्नेछ, विज्ञप्तिमा उल्लेख छ । सरकारी रवैयाका कारण मेलम्ची ठेकेदार सीएमसीले समयमा भुक्तानी पाउन नसक्दा मेलम्ची आयोजनामा ठेकेदारका लागि यन्त्र, उपकरण, निर्माण सामग्री आपूर्ति गर्ने तथा उक्त आयोजनाको उपठेक्का लिएका विभिन्न कम्पनीको समेत भुक्तानी रोकिएको विज्ञप्तिमा उल्लेख छ । हामी हालसम्म प्रमाण भएका २८ वटा कम्पनी लगायतले सी एम सीबाट करिब डेढ अर्ब रुपैयाँ भुक्तानी पाउन बाँकी छ, विज्ञप्तिमा छ, सी एम सीले आयोजनाबाट भुक्तानी पाएपछि हामीलाई भुक्तानी दिने आश्वासन दिंदै आएकोमा ठेक्का रद्द हुने स्थितिमा पुग्नुले हाम्रो उक्त रकम जोखिममा पर्न गएको छ । विदेशी ठेकेदार भए पनि मेलम्चीमा हामी नेपालीको श्रम, सीप, मेहेनत र लगानी परेको छ । विज्ञप्तिअनुसार आयोजना निर्माणको अन्तिम चरणमा आइपुग्दा खानेपानी मन्त्रालयले अन्य विकल्प खोज्ने भन्दै नयाँ ठेक्का दिने चलखेल गर्न थालेको स्वयं मन्त्रालयले गत मंगलबार जारी गरेको विज्ञप्तिबाट देखिन आएको छ । सी एम सीसँग ठेक्का सम्झौता रद्द गरी नयाँ ठेक्का गर्नु आयोजना लम्ब्याउने नियत हो भन्दै उनीहरुले ठेक्का रद्द गरी नयाँ ठेक्का संझौता गर्ने हो भने नेपाली व्यवसायीले नियमानुसार पाउनुपर्ने भुक्तानीको ग्यारेन्टी सरकारले लिनुपर्ने माग गरेका छन् । सी एम सीलाई नियमानुसार आयोजनाले भुक्तानी दिंदा नेपाली व्यवसायीको पाउनुपर्ने भुक्तानी दिने शर्त राख्न हामी आयोजनालाई अनुरोध गर्दछौं, विज्ञप्तिमा छ, एक दिन पनि विलम्ब नहुने गरी खानेपानीजस्तो संवेदनशील आयोजना निर्माण कार्य यथाशीघ्र सञ्चालनमा ल्याउन हामी जोडदार माग गर्दछौं । हाम्रो माग २४ घण्टाभित्र सम्बोधन गर्न पनि अनुरोध गर्दछौं । विज्ञप्ति जारी गर्ने कम्पनीमा हाम्रो बिरामोटर्स, ज्योतिश्री, बीएम इन्टरप्राइजेज, मेगाटेक हाइड्रो एण्ड इन्फ्रास्ट्रक्चर, एचजी इन्टरपाइजेज लगायत २८ वटा कम्पनी छन् ।"
"पुनरुत्थानवादी पार्टीको घाेषणा : रचनात्मक युद्ध गर्छाैँ","काठमाडौं : नागरिकको आधारभूत गास, वास र कपासको समेत व्यवस्था गर्न नसकेको भन्दै पुरुत्थानवादी शक्ति नेपालका नेताहरुले सरकारको आलोचना गरेका छन् । संगठनका नेताहरुले बिहीबार राजधानीमा पत्रकार सम्मेलन गर्दै निम्न वर्गका र पीडित जनताको उत्थानका लागि रचनात्मक युद्ध गर्ने चेतावनी समेत सरकारलाई दिएको छ । राज्यले सामूदायिक विद्यालयका शिक्षक तथा कर्मचारीलाई सधैँ अन्यायमा राखेको, शिक्षा मन्त्रालयले अदालतको आदेश नमानेको तथा शिक्षक सेवा आयोगले मुलुकको सर्वोच्च निकाय सर्वोच्च अदालतमा समेत झुटो विवरण पेश गरेर शिक्षकलाई अन्यायमा पारेको भन्दै यस्तो चेतावनी दिइएको हो । पत्रकार सम्मेलनमा संगठनका नेता शेखरजंग रायमाझीले भने, नागरिकका तमाम आधारभूत समस्याको समाधानका लागि खबरदारी गर्ने उद्देश्यले रचनात्मक युद्ध गर्न लागेका हौँ । हामी जनताको दैनिक जीवनसँग जोडिएका समस्यालाई उठान गरेर राज्यको ढोका ढकढक्याउछौँ । यद्यपि उनीहरुले रचनात्मक युद्धको कस्तो संरचना हुने छ त्यसबारे केही पछि विस्तृतमा दस्तावेज नै सार्वजनिक गर्ने पनि बताएका छन् । पत्रकार सम्मेलनमा संगठनकी प्रमुख नेता तारा बरालले मुलुकमा शुसासन कायम गर्नेतर्फ आफूहरुको अभियान केन्द्रित रहेको बताइन् ।"
"कांग्रेस महासमिति बैठक : धर्म बहसदेखि माइक खोसाखोससम्म","गौरवमय इतिहास, जिम्मेवार वर्तमान र उज्यालो भविष्य नारासहित शनिबारबाट सुरु भएको कांग्रेस महासमिति बैठक एकसाता लामो हुने भएको छ । बुधबारसम्म तोकिएको बैठक दुई दिन म्याद थप गरिए पनि शुक्रबार नटुंगिने देखिएको छ । पार्टीको महाधिवेशनपछिको सर्वोच्च निकाय महासमिति बैठक भएकाले यसले पार्टीको नीतिगत सुधार र पार्टीलाई नयाँ ऊर्जादिने कांग्रेसजनको अपेक्षा छ । बैठकका केही गतिविधि चर्चा योग्य छन् । बिरुवामा पानी लगाएर उद्घाटन सङ्घीय संसद्को प्रमुख प्रतिपक्ष दल कांग्रेसको महासमिति बैठक सिंहदरबार अगाडिको यलम्बर पार्टी प्यालेसमा भव्य समारोहबीच शनिबार उद्घाटन भयो । पार्टी सभापति एवं पूर्वप्रधानमन्त्री शेरबहादुर देउवाले पार्टीको चुनाव चिन्ह रुखमा पानी लगाएर बैठकको शुभारम्भ गरे । उद्घाटन मञ्चको अग्रभागमा स्वर्गीय नेता बीपी कोइराला, सुवर्णशम्शेर जबरा, गणेशमान सिंह, कृष्णप्रसाद भट्टराई, गिरिजाप्रसाद कोइराला र सुशील कोइरालाको तस्बीर सजाइयो । मुलुकमा राजनीतिक परिवर्तनका लागि भएका विभिन्न आन्दोलनमा नेतृत्वदायी भूमिका खेलेको कांग्रेसले महासमिति बैठकमा गौरवमय इतिहास, जिम्मेवार वर्तमान र उज्यालो भविष्य नारा राख्यो । बैठकमा सबै निर्वाचन क्षेत्रबाट निर्वाचित महासमिति सदस्य, पार्टीको केन्द्रीय समिति, भातृ र शुभेच्छुक संस्था, विदेशस्थित जनसम्पर्क समितिका प्रतिनिधि, मनोनित महासमिति सदस्य, निवर्तमान केन्द्रीय सदस्य तथा पर्यवेक्षक सहभागी भए । बाध्यतामा देउवा र पौडेलले हात मिलाए २०७२ सालमा सम्पन्न पार्टीको १३ औँ महाधिवेशनपछिको यो पहिलो महासमिति बैठक हो । पार्टीको महाधिवेशनपछिको सर्वोच्च निकाय महासमिति बैठक भएकाले यसले पार्टीको नीतिगत सुधार र पार्टीलाई नयाँ ऊर्जा दिने विश्वास आम कांग्रेसीको छ । बैठकको उद्घाटनमा पार्टी सभापति शेरबहादुर देउवा र वरिष्ठ नेता रामचन्द्र पौडेलले हात मिलाएर बनावटी एकता देखाए । यो एकता दुई नेताका लागि बाध्यतात्मक परिस्थितिको थियो । उनीहरूले आफू खुसी हात मिलाएका थिएनन् । बैठकको सुरुवात गर्दै विजयकुमार गच्छदारले एकताको सन्देश दिन हातेमालो गर्न आग्रह गरे । तर, नेताले उनको कुरा सुनेनन् । पटकपटक आग्रह गरेपछि उनीहरु बाध्यतामा परे र हात मिलाए । महासमितिमा धर्मको झिल्को आइतबारको बन्द सत्रमा बोल्ने धेरै सदस्यले संविधानमा रहेको धर्मनिरपेक्षताको विरोध गरे । धर्मनिरपेक्षताप्रति महामन्त्री शशांक कोइरालासहितको एउटा समूहले सार्वजनिक रूपमै विरोध जनाउँदै आएको थियो । महामन्त्री कोइरालाले महासमिति बैठकमा पनि आफूले यसबारे बोल्ने बताएका थिए । बैठक स्थलबाहिर हिन्दु राष्ट्रका पक्षमा कांग्रेस उभिनुपर्ने भन्दै महासमिति सदस्यकै हस्ताक्षर संकलन थालिएको छ । हस्ताक्षर संकलनको नेतृत्व काठमाडौं महानगरमा मेयर उम्मेदवार रहेका नेता राजुराज जोशीले गरिरहेका छन् । हस्ताक्षर गर्नेमा चीरञ्जीवी वाग्ले, पुष्पा भुसाल, अजय चौरसिया, तारानाथ रानाभाट, इन्द्र बानियाँ, शंकर भण्डारीलगायत छन् । सभापति शेरबहादुर देउवाको गृह जिल्ला डडेलधुराका सभापति कर्णबहादुर मल्लले पनि हिन्दु राष्ट्रका पक्षमा हस्ताक्षर गरेका छन् । महासमितिमा पेश भएको राजनीतिक प्रस्तावमा धार्मिक स्वतन्त्रताको मुद्दा समेटिनुपर्ने भनी बिहीबार केन्द्रीय समिति बैठकमा सहमहामन्त्री डा प्रकाशशरण महत र उपसभापति बिमलेन्द्र निधिबीच भनाभन भएको थियो । महतले शनिबारको बैठक उद्घाटन सत्रमा पनि धार्मिक स्वतन्त्रताका पक्षमा बोलेका थिए । मिलेन मन दुई घण्टाका लागि भनेर सोमबार बिहान साढे १० बजे बन्दसत्र रोकियो । संसदीय दलको कार्यालयमा बसेको केन्द्रीय समिति बैठकले विधानमा सहमति गर्न नसकेपछि फेरि बैठक बस्न सकेन । मंगलबार राति केही नेता बसेर विधानमा सहमति गरे । बिडम्बना बुधबार बसेको केन्द्रीय समितिले पारित गर्न सकेन । बुधबार सिंहदरबारस्थित संसदीय दलको कार्यालयमा बसेको केन्द्रीय समितिको बैठकमा सभापति देउवा निकट केन्द्रीय सदस्यले पार्टीको पदाधिकारी समावेशिताका आधारमा गठन गर्नुपर्ने माग गरेपछि निर्णय हुन सकेन । विधानमा सभापतिसहित दुई उपसभापति, दुई महामन्त्री र दुई सहमहामन्त्री निर्वाचित गरेर कोषाध्यक्ष र प्रवक्ता मनोनीत गर्ने सहमति गरेका थिए । तर बुधबारको केन्द्रीय समिति बैठकमा सभापति देउवा निकटका केन्द्रीय सदस्य वीरवहादुर बलायर, महेन्द्र यादव, मोहन बस्नेत, सीता गुरुङ, मानबहादुर विश्वकर्मा, किशोरसिंह राठौर, फरमुल्लाह मन्सुरलगायतले पार्टीका पदाधिकारी तह समावेशिताका आधारमा चुन्नुपर्ने माग गरेपछि सहमति जुटेन । बैठकमा नेता गगन थापाले समावेशी आरक्षणको कोटामा एक पटकभन्दा बढी एकै व्यक्तिलाई दोहोयाउन नपाउने व्यवस्था गर्नसमेत माग गरे । पार्टी नेतृत्वले समावेशिताको आरक्षण कोटामा केही समिति नेतालाई मात्रै अवसर दिइरहेको परम्परा देखिएको भन्दै त्यसलाई तोडेर सबै समुदायलाई सहभागी गराउनुपर्ने बताए । थापाले बोलिरहँदा महेन्द्र यादवलगायतका सभापति निकट केन्द्रीय सदस्यले प्रतिवाद गर्न खोजेका थिए । यसपछि बैठकमा तनाव सिर्जना भयो र सभापति देउवाले बैठक स्थगित गरे । बुधबार सभापति र इतर पक्षका नेताको छुट्टाछुट्टै छलफल गरे तर पनि विधान पारित हुन सकेन । पदाधिकारी बढाउनै नपर्ने र बढाएमा समावेशिताका आधारमा हुनुपर्ने केन्द्रीय सदस्य मोहन बस्नेतसहितका नेताले धारणा राखे । बैठकपछि केन्द्रीय सदस्य गुरुराज घिमिरेले सहमति तोड्ने गरी केही केन्द्रीय सदस्य प्रस्तुत भएको बताए । विधान मस्यौदामा पदाधिकारी संख्या र तिनलाई मनोनीत गर्ने कि निर्वाचित गर्ने भन्नेमा शीर्ष नेता दुई धारमा छन् । बुधबार केन्द्रीय समिति बैठकले विधानबारे औपचारिक निर्णय गर्न नसकेपछि सोही दिन ४२ ओटा जिल्ला सभापतिले अनौपचारिक बैठक गरे । बिहीबार बिहान ९ बजे सुरु हुने भनिएको बन्दसत्र साँझ दुई घण्टामात्र चल्यो । विधानमा सभापति देउवाको तर्फबाट निधिले नयाँ प्रस्ताव राखे । उनको प्रस्तावमाथि अनौपचारिक छलफल भए पनि केन्द्रीय समितिमा ठोस छलफल हुन सकेको छैन । चर्चामा माइककाण्ड मंगलबार महासमिति बैठकमा माइक खोसाखोस भयो । नुवाकोटाका जिल्ला सभापति जगदिश्वरनरसिंह केसीले बोल्न खोज्दा सहमहामन्त्री डा प्रकाशरण महतले माइक खोसेपछि बैठक स्थगित भएको थियो । कांग्रेस महासमिति बैठकको तयारी पूरा, १ करोडभन्दा कम खर्च गरिने कांग्रेस महासमिति भेला आजदेखि, प्रतिवेदनमा मतभेद चुनाव चिह्न रुखमा पानी हालेर सुरु भयो कांग्रेसको महासमिति बैठक महासमिति कुम्भमेला नबनोस् सामूहिक नेतृत्व कि बलियो सभापति ? के भन्छन् कांग्रेस महासमिति सदस्य ? कांग्रेस महासमिति : बन्दसत्रमा धर्म बहस चर्को हुटिङ भएपछि कांग्रेस महासमितिको बन्द शत्र दुई घण्टा स्थगित गुट विवादले कांग्रेस महासमिति बन्दसत्र प्रभावित माइक खोसाखोस भएपछि रोकिएको कांग्रेस बैठक ३ बजेपछि (भिडियाेसहित) माइक खोसाखोस भएपछि रोकिएको कांग्रेस बैठक सुरु कांग्रेस महासमिति बैठक लम्बियो : देउवाको राजीनामा माग दुई दिन लम्बियो महासमिति बैठक, आज के हुँदैछ जेलिएको कांग्रेस बैठकमा निधिले ल्याए नयाँ प्रस्ताव : फुक्ला त गाँठो ? महासमिति बैठक सुरु भएको चार दिनसम्म पनि पार्टीको विधान पेस नभएको भन्दै सभापति केसीले आपत्ति जनाएपछि महतले माइक खोसेका थिए । उदयपुरका महासमिति सदस्य रामबहादुर खड्काले सभापति देउवाको राजनीनामा माग गरे । मंगलबारको बैठकमा पार्टीका शीर्ष नेताले विधानमा सहमति नगरे पार्टीलाई विशेष महाधिवेशनमा लानसमेत माग गरे । अस्तव्यस्त महासमिति घोषित कार्यक्रमअनुसार बुधवार महासमिति सकिनुपर्थ्यो । तर, विधान मस्यौदा नै पेस हुन नसकेका कारण महासमिति बैठक शुक्रबार सकिनेमासमेत अन्योलता बढेको छ । विधान मस्यौदा पेस गर्न भइरहेको ढिलाइका कारण महासमिति अस्तव्यस्त बनेको हो । पहिलो दिनमै बन्दसत्रमा बोल्न ५ सय ४२ जनाले टिपाएको नाममध्ये बिहीबारसम्म २ सय मात्र सहभागी भएका छन् । शुक्रबारसम्म लम्बिएको महासमिति बैठक अझै लम्बिने देखिएको छ । उता प्रवक्ता विश्वप्रकाश शर्माले भने शुक्रबार अपराह्नसम्म सक्ने योजना रहेको बताएका छन् ।"
"""दुर्घटनामा युवतीको मृत्यु","एक गम्भीर घाइते"",विराटनगर : कोसी राजमार्ग अन्तरगत विराटनगरको बरगाछीमा बिहीबार साँझ भएको मोटरसाइकल दुर्घटनामा एक युवतीको मृत्यु भएको छ । विराटनगर महानगरपालिका४ र ३ को सीमानामा भएको दुर्घटनामा मोरङको पथरीशनिश्चरे नगरपालिका१० की २२ वर्षीय हिमा कार्कीको घटनास्थलमै मृत्यु भएको हो । दुर्घटनामा हिमाका पति २६ वर्षीय मनोज कार्की घाइते भएका छन् । मनोजको विराटनगरको लाइफगार्ड अस्पतालमा उपचार भइरहेको छ । व्यक्तिगत कामले विराटनगर आएका पतिपत्नी साँझ पथरीशनिश्रचेस्थित घरतर्फ फर्कँदै गरेको अवस्थामा दुर्घटनामा परेको प्रहरीले जनाएको छ । मोरङ ट्राफिक प्रमुख प्रहरी निरीक्षक शिवकुमार पोखरेलले दक्षिणबाट उत्तरतर्फ जाँदै गरेको पतिपत्नी सवार को २८ प ३८५६ नम्बरको मोटरसाइकल सडकको बीचमा लेन छुट्याउन राखिएको डिभाइडरमा ठोक्किएको थियो । उनका अनुसार डिभाइडरमा ठोक्किएपछि मोटरसाइकलको पछाडि सवार हिमा उछिट्एर सडकमा गुडिरहेको नेपाल आयल निगमको ना ७ ख ४६२३ नम्बरको ट्यांकर मुनि पुगेकी थिइन् । सोही ट्यांकरले किचेर हिमाको मृत्यु भएको बताइएको छ । इन्धन लोड भएको ट्यांकर दक्षिणबाट उत्तरतर्फ जाँदै थियो । ट्यांकर चालक फरार रहेका कारण खोजी भइरहेको र ट्यांकरलाई भने नियन्त्रणमा लिएको प्रहरीले जनाएको छ ।"
"एउटै नम्बरका दुई मोटरसाइकल","विराटनगर : विराटनगरमा बिहीबार दिउँसो एउटै नम्बर प्लेटका दुईा एभेन्जर मोटरसाइकल भेटिएका छन् । दुबै मोटरसाइकल जिल्ला ट्राफिक प्रहरी कार्यालय मोरङमा अनुसन्धानका लागि राखिएका छन् । विराटनगर ९ का दीपकराज जोशीले आफ्नो मोटरसाइकल नम्बर अर्को मोटरसाइकलमा पनि देखेपछि प्रहरीलाई खबर गरेका थिए । जोशीले को १६ प ४६१४ नम्बरको एभेन्जर मोटरसाइकल चलाउँदै आएका थिए । प्रहरीले जोशीले दिएको सूचनाका आधारमा विराटनगर ९ हिमालय हल अगाडिबाट को १६ प ४६१४ नम्बरको अर्को मोटरसाइकल नियन्त्रणमा लिएको हो । सडकमा पार्किङ गरिरहेको अवस्थामा मोटरसाइकल फेला परेको हो । मोटरसाइकल कसले पार्किङ गरेको थियो भन्ने बारेमा भने खुल्न नसकेको प्रहरीले जनाएको छ । मेरै जस्तो नम्बर प्लेट भएको अर्को पनि मोटरसाइकल बजारमा चल्ने गरेको जानकारी दुई सातादेखि पाइरहेको थिएँ, जोशीले भने, आज (बिहीबार) बजारमा पार्किङ गरिरहेको देखेपछि प्रहरीलाई खवर गरेको हुँ । आफूले चलाउने मोटरसाइकल भने यातायात व्यवस्था कार्यालयमा दर्ता रहेको उनले सुनाए । जोशीले चोरीमा संलग्नले अर्को नम्बर लगाउने क्रममा आफूले चलाउने गरेको मोटरसाइकलको नम्बर परेको हुन सक्ने बताए । मोटरसाइकल पार्किङ गरेर एक युवा पसलमा छिरेको जानकारी पाइयो, मोरङ ट्राफिक प्रमुख प्रहरी निरीक्षक शिवकुमार पोखरेलले भने, हामीले खोजी कार्य जारी राखेका छौँ । उक्त मोटरसाइकलको खोजी गर्दै बिहीबार साँझसम्म कोही पनि ट्राफिक कार्यालयमा नआएको उनले बताए । पोखरेलले दुबै मोटरसाइकलको नम्बर प्लेट मिले पनि इन्जिन र चेसिस नम्बर भने फरकफरक रहेको बताए । प्रहरीलाई खवर गर्ने जोशीको मोटरसाइकलका सबै कागजपत्र चुस्त दुरुस्त भेटिएको प्रहरकिो भनाइ छ ।"
"वन्यजन्तु शिकार गर्दागर्दै एकजना पक्राउ","विराटनगर : मोरङको पथरी शनिश्चरे नगरपालिका१ स्थित मनकामना सामुदायिक वनमा चित्तल मार्दै गर्दा एकजना स्थानीय पक्राउ परेका छन् । पथरी शनिश्चरे१ का ३९ वर्षीय प्रकास भनिने रत्नबहादुर धिमाललाई प्रहरीले बिहीबार दिउसो पक्राउ गरेको हो । अहिले प्रहरीले घटनाका बारेमा अनुसन्धान सुरु गरेको जनाएको छ । घटनास्थलबाटै प्रहरीले एक थान भरुवा बन्दुक, त्यसमा प्रयोग हुने छर्रा, बारुद, विजुलीको तारबाट बनाइएको पासो, खुकुरी, कपडा लगायत सामान पनि बरामद गरेको छ । पक्राउ परेका धिमालविरुद्ध हातहतियार खरखजाना ऐन अन्तरगत मुद्दा चलाउने तयारी गरेको प्रहरीले बताएको छ । हातहतियार खरखजानापछि वन ऐन अन्तर्गत मुद्दा चलाउन उनलाई वन कार्यालयको जिम्मा लगाइने इलाका प्रहरी कार्यालय पथरीका प्रहरी निरीक्षक कमल बजगाईँले बताए । उनका अनुसार गोप्य सूचनाका आधारमा दिउसो साढे २ बजे पुगेको प्रहरी टोलीले धिमाललाई पक्राउ गरेको हो । प्रहरीलाई देख्न साथ चित्तल मार्ने काममा संलग्न अन्य ५६ जना भने त्यहाँबाट फरार भएका थिए । पक्राउ परेकाले दिएको सूचना र जानकारीका आधारमा फरार भएकाहरुको खोजी भइरहेको प्रहरीले जनाएको छ । धिमाललाई भने भाग्न खोज्दै गर्दा घेरा हालेर नियन्त्रणमा लिएको बताइएको छ । चित्तल मार्ने धन्दामा वन्यजन्तुको चोरी सिकारी गर्ने समूहको संलग्नता रहेको प्रहरीको भनाइ छ । बन्दुक हानेर मारिएको २ वर्षजतिको चित्तलको वायाँ पातोमा गहिरो चोट लागेको छ । घटनास्थल पथरी बजारबाट लगभग साढे १ किलोमिटर टाढा छ । चित्तल मारेर आगोमा पोलिसकेपछि मासु भाग लगाउने तयारी गर्दै गर्दा घटनास्थलमा प्रहरी टोली पुगेको थियो । पक्राउ परेका धिमाल लामो समयदेखि वन्यजन्तुको चोरी सिकारीमा संलग्न रहेको खुलेको प्रहरीले बताएको छ । अन्य फरारहरु पनि यही धन्दामा संलग्न रहेको पुष्टि भएको बताइएको छ ।"
