"शीर्षक","विवरण"
"चौथो झापा गोल्डकप : झापा ११ को शानदार सुरुवात","बिर्तामोड : मोफसलकै चर्चित फुटबल प्रतियोगिता झापा गोल्डकपको चौथो संस्करण शनिबारबाट झापाको बिर्तामोडमा सुरु भएको छ । उद्घाटन खेलमा शानदार जित दर्ता गर्दै आयोजक झापा ११ अघिल्लो चरणमा प्रवेश गरेको छ । बिर्तामोडस्थित डोमालाल राजवंशी रंगशालामा सम्पन्न खेलमा झापाले पोखराको सहारा फुटबल क्लबलाई २० गोलअन्तरले पराजित गरेको हो । झापा ११ को जितका लागि पहिलो हाफमा भएको २ गोल पर्याप्त भयो । खेलको ४० औँ मिनेटमा झापाका लागि विदेशी खेलाडी काजिम बुखारीले खाता खोलेका थिए । त्यस्तै क्याप्टेन कर्ण लिम्बुको स्थानमा मैदान प्रवेश गरेका संयोग राईले पहिलो हाफको अन्तिम मिनेटमा गोल गर्दै टिमलाई अग्रता दिलाए । घरेलु मैदानमा दर्शकको भरपुर समर्थन पाएको झापाले खेलको पहिलो हाफमा सहारालाई दबाबमा राखेको थियो । दोस्रो हाफमा पनि सहाराले झापालाई दबाब राख्न नसक्दा खेल झापाको पक्षमा रह्यो । खेलको म्यान अफ दि म्याच झापा ११ का संजोग राई घोषित भए । उनले नगद १५ हजार रुपैयाँ प्राप्त गरे । आगामी फागुन २७ गतेसम्म सञ्चालन हुने प्रतियोगितामा हङकङ नेप्लिज एकाडेमीसहित १० टिम सहभागी छन् । विजेताले नगद १२ लाख ५५ हजार र उपविजेताले छ लाख पाँच हजार रुपैयाँसहित ट्रफी प्राप्त गर्नेछन् । आइतबार सशस्त्र प्रहरीको एपीएफ क्लब र मोरङ ११ एफसीबीच खेल हुने आयोजकले जनाएको छ ।"
"दोलखाका स्थानीय तहको बेरुजु २८ करोड ३० लाख ६६ हजार ८ सय ४४","दोलखा : दोलखाका स्थानीय तहहरुको नियमित खर्चमा बेरुजु मात्रै सवा २८ करोड पुगेको छ । आर्थिक वर्ष २०७४०७५ को अन्तिम लेखापरीक्षण प्रतिवेदनअनुसार दोलखाका स्थानीय तहहरुको बेरुजु २८ करोड ३० लाख ६६ हजार ८ सय ४४ पुगेको छ । जिल्लाका दुई नगरपालिका र ७ गाउँपालिकाको महालेखापरीक्षकको कार्यालयले गरेको अन्तिम लेखापरीक्षण प्रतिवेदनअनुसार उनीहरुको बेरुजु देखिएको हो । साथै उनीहरुको खर्च गर्ने क्षमता घट्दै गएको देखिएको छ । यसले जिल्लाको समग्र विकासको प्रक्रियामा नकारात्मक असर पर्ने जानकारहरु बताउँछन् । बेरुजु देखिएको रकममध्ये पनि करिब १३ करोड असुली गर्नु भन्ने प्रतिवेदनमा उल्लेख छ । खर्च गर्ने क्षमता घट्दै जानु र गरेको खर्चको पनि बेरुजु आउनुले जिल्लाका स्थानीय तहहरुले वित्तीय अनुशासन विपरित खर्च गरेको देखिन्छ । विना प्रतिष्पर्धा खरिद, गाडी भाडा, इन्धन, पदाधिकारी बैठक खर्च तथा पेश्की, दोहोरो सुविधा, घाइते उपचार, सम्झौताभन्दा बढी भुक्तानी, अग्रिम आयकर, भ्याट, असम्बन्धित शिर्षक खर्च, मेशिन खर्च लगायत शिर्षकहरुमा खर्च गरिएको भन्दै महालेखाले प्रतिवेदनमा बेरुजु राखेको छ । ती मध्ये आधाभन्दा बढी असुल गर्नुपर्ने र बाँकीलाई विभिन्न प्रक्रिया पूरा गरेर नियमित गर्नुपर्ने महालेखाको निर्देशन छ । बैत्यश्वर गाउँपालिकाका प्रमुख प्रशासकीय अधिकृत सुरेश आचार्य भने आफ्नो कार्यकालको बेरुजु नरहेको बताएका छन् । बिगु गाउँपालिकाका प्रमुख प्रशासकीय अधिकृत नवराज ओलीले अधिकांश नीतिगत बेरुजु देखिएको स्वीकार गरी बेरुजु फछ्र्यौट गर्न सक्दो प्रयास गर्ने बताए । अन्तिम लेखापरीक्षण प्रतिवेदनअनुसार जिल्लामा सबैभन्दा कम शैलुङ गाउँपालिकाको २४ लाख २१ हजार र सबैभन्दा बढी गौरीशंकर गाउँपालिकाको ७ करोड ५१ लाख ६० हजार बेरुजु देखिएको छ । कालिञ्चोक गाउँपालिकाको ७ करोड ३२ लाख ४४ हजार ४ सय १०, बिगु गाउँपालिकाको ७ करोड २१ लाख ४३ हजार ३ सय ७८, भीमेश्वर नगरपालिकाको ३२ लाख १६ हजार, तामाकोशी गाउँपालिकाको ३२ लाख ९३ हजार, मेलुङ गाउँपालिकाको ३६ लाख ५७ हजार, बैत्यश्वर गाउँपालिकाको २ करोड ४६ लाख ८६ हजार, जिरी नगरपालिकाको १ करोड ८४ लाख ८४ हजार मेलुङ गाउँपालिकाको ३६ लाख ५७ हजार र जिल्ला समन्वय समितिको ६७ लाख ३९ हजार बेरुजु पुगेको अन्तिम लेखापरीक्षण प्रतिवेदनमा उल्लेख छ । एकातिर बेरुजु खर्च चुलिँदै छ, भने अर्कोतर्फ चालु आर्थिक वर्षको ६ महिनामा जिल्लाका स्थानीय तहले वित्तिय समानिकरण अर्थात् विकास बजेटतर्फ १२ दशमलब ५२ प्रतिशत मात्र खर्च गर्न सकेको कोष तथा लेखा नियन्त्रक कार्यालय दोलखाको तथ्याङ्क छ ।"
"छोरीको हत्या गर्ने आमा र उनका प्रेमीलाई जन्मकैद","राजविराज : दुई वर्षीया बालिकाको हत्या गर्ने आमा र उनका प्रेमीलाई जन्मकैदको फैसला सुनाइएको छ । सप्तरीको हनुमाननगर कंकालिनी नगरपालिका ६ योगिनियाकी २७ वर्षीया रानीदेवी मण्डल र निजका प्रेमी राजगढ गाउँपालिका ५ मलेकपुरका ३१ वर्षीय शिवशंकर मालीले बालिकाको हत्या गरेको पुष्टि भएपछि जिल्ला अदालत सप्तरीले जन्मकैदको फैसला सुनाएको हो । आरोपितलाई जन्मकैदको सजाय तोक्नुका साथै जनही ६ महिनाको कैद सजाय पनि थप गरिएको जिल्ला न्यायाधीश हरिश्चन्द्र ढुंङ्गानाले जानकारी दिए । ढुङ्गानाका अनुसार बालिकाको हत्या गरेको आरोपमा जन्मकैद र हत्यापछि शव दबाउने अभिप्रायले खाँडो खोलामा बगाएकाले जनही ६ महिना कैद थपिएको हो । रोजगारिका लागि साउदी अरब पुगेका ३० वर्षीय सूर्यनारायण मण्डल ०७३ असोज १६ गते घर फर्किदा श्रीमती रानी र छोरी प्रमिलालाई घरमा फेला नपारेपछि खोजी गरेका थिए । उनले श्रीमती र छोरीको खोजी गर्न माग गर्दै प्रहरीमा उजूरी दिएका थिए । प्रहरीले रानी र उनका प्रेमी मालीलाई ०७३ असोज १२ गते काठमाडौंबाट पक्राउ गरेको थियो । तत्कालीन जिल्ला प्रहरी कार्यालयका प्रमुख प्रहरी उपरीक्षक भिम ढकालका अनुसार श्रीमान सूर्यनारायण सउदी अरबबाट घर फर्कने भएपछि रानीले प्रेमी मालीसँग सल्लाह गरी बालिकाको हत्या गरेकी हुन् । पक्राउ परेका आरोपितले सूर्यनारायणलाई फोन गरी घर फर्कदै गरेको बताएपछि बालिकाको हत्या गरी भागेर प्रेमविवाह गरेको स्वीकार स्वीकार गरेपछि उनीमाथि अनुसन्धान सुरु भएको थियो । जिल्ला अदालतको तत्कालीन न्यायाधीश राजेश काफ्लेको आदेशले रानी र माली ०७३ कात्तिक ८ गतेदेखि पुर्पक्षका लागि राजविराज कारागारमा थुनामा छन् ।आरोपितले नै बालिकाको हत्या गरी खोलामा बगाएको तथ्य पुष्टि भएकाले दुबै आरोपितलाई जन्मकैदसहित थप ६ महिना कैद सजायको अन्तिम फैसला भएको जिल्ला अदालतका स्रेस्तेदार बर्देवाले जानकारी दिए ।"
"डोजरले बाटो खन्दा माटाेले पुरिएर बालकको मृत्यु","बिर्तामोड : झापाको बाह्रदशी गाउँपालिकामा सडक निर्माणको लागि डोजरले माटो खन्ने क्रममा माटाेकाे ढिस्कोले पुरिएर एक बालकको मृत्यु भएको छ । शनिबार बिहान डोजर (जेसिबी)ले बाटो खनिरहँदा माटोको ढिस्को भत्किएर बाह्रदशी गाउँपालिका५ का गोकुल श्रेष्ठका १५ वर्षीय छोरा मनिषको मृत्यु भएको हो । दुर्घटनाबाट घाइते भएका मनिषको उपचारको क्रममा मृत्यु भएको हो । उपचारका लागि शनिबार दिउसो उनलाई बिर्तामोड स्थित बिर्तासिटी अस्पताल लगिएको थियो । जिल्ला प्रहरी कार्यालय झापाका अनुसार मृतकको शव पोस्टमार्टमका लागि मेची अञ्चल अस्पताल भद्रपुर लगिएको छ ।"
"किरिया खर्च नभएपछि १३ दिने संस्कार तीन दिनमै","बागलुङ : जिल्लाको दुर्गम निसीखोलास्थित एक दलित परिवारले किरिया खर्च समेत जुटाउन नसक्दा १३ दिने संस्कार नै छोट्याउनु परेको छ । निसीखोला गाउँपालिका७ राजकुट मुदुङका ४५ वर्षीय लक्ष्मण विकको धौलागिरी अञ्चल अस्पताल बागलुङमा उपचारका क्रममा शनिबार निधन भएको थियो । सदरमुकामदेखि धेरै टाढाबाट उपचारको क्रममा अस्पतालमा श्रीमती सहित आएका विकको मृत्युपछि उनको शव अन्यष्टिमा समेत आर्थिक अभाव भए पछि आर्थिक सहयोग जुटाएर अन्त्यष्टि गरिएको थियो । ऋण जुटाएर उपचार गर्न १४ फागुनमा अस्पताल आएका विक परिवारसँग भएको रकम उपचारमै सकिएपछि शव अन्येष्टि गरेर घर फर्कनै समस्या थियो । मृतकका दाजु बलबहादुर विक भन्छन्, भाइलाई अल्पायुमै गुमाउँदाको पीडा एकातिर छ, अर्कोतर्फ शव गाउँको आफ्नै घाटमा लैजाने मन हुँदाहुँदै लैजान सकिएन । धेरथोर सहयोगबाट नजिकैको कालीगण्डकीमा लगेर अन्त्यष्टि गर्न बाध्य भइयो । बलबहादुरका अनुसार अब अन्यष्टि गरेर घर फर्कन र संस्कार अनुसार काजकिरिया उम्काउन परिवारलाई थप समस्या छ । परम्परा अनुसार, काजकिरिया पूरै उम्काउन सामान्यतः ४० देखि ५० हजार खर्च हुन्छ । १३ दिन काजकिरिया गर्ने संस्कारलाई विक परिवारले भने छोट्याएर तीन दिनमै सक्ने तयारी गरेका छन् । भाइको मृत्युको खबर पाएलगतै गाडी भाडा समेत ऋण खोजेर बागलुङ बजार आएका बलबहादुरले सबैसँग सहयोगको अपिल गरेका छन् । एक श्रीमती र चार वर्षका दुई जुम्ल्याहा छोराछोरी रहेका विक गत माघदेखि थला परेका थिए । ज्याला मजदुरीमा जीवन निर्वाह गर्दैआएको विक परिवारको घरमुलीको निधन भएपछि परिवारको अबको लालनपालन, शिक्षा दिक्षामा समेत समस्या हुने देखिएको छ । बागलुङका युवा सज्जनकुमार सिंहले भने स्थानीय संघ संस्था र व्यक्तिसँग सहयोगको अपिल गरेर काजकिरिया, छोराछोरीको शिक्षाको लागि सहयोग अभियान चलाउने बताएका छन् ।"
"नेकपा नेता पूर्वअर्थमन्त्री भरतमोहन अधिकारीको निधन","काठमाडौं : पूर्वउपप्रधान तथा अर्थमन्त्री भरतमोहन अधिकारीको निधन भएको छ । लामो समयदेखि बिरामी कम्युनिस्ट नेता अधिकारीको ८२ वर्षको उमेरमा शनिबार राति ९ बजेर ३५ मिनेटमा ह्याम्स अस्पतालमा निधन भएको हो । अस्वस्थ भएपछि गत पुस २३ गते उनलाई सुरूमा ललितपुरकाे मेडिसिटी र त्यसपछि ह्याम्स अस्पतालमा भर्ना गरिएकाे थियाे । नेता अधिकारीलाई हेर्न पुगेका मोरङ समाज काठमाडौँका अध्यक्ष कृष्णमुरारी कोइरालाका अनुसार भेन्टिलेटरमा नेता अधिकारीको श्वास प्रश्वास कम हुँदै गएको थियो । अधिकारीको निधन भएको खबर पाएसँगै अस्पताल परिसरमा आफन्त र शुभेच्छुकको रुवाबासी भएको छ । फोक्सो र मुटुमा समस्या हुँदा तीन हप्तादेखि ह्याम्स अस्पतालमा उपचाररत अधिकारीलाई बचाउन नसकिएको ह्याम्स अस्पतालका मेडिकल डाइरेक्टर डा भाष्करराज पन्त र अस्पतालको क्रिकिटल केयर सर्भिसेजका संयोजक डाहेमराज पनेरूले दिएका छन् । शनिबार दिउँसो मात्रै डा हेमराज पनेरु र डा पन्तले विज्ञप्ति सार्वजनिक गर्दै बचाउन सक्ने सम्भावना न्यून रहेको बताएका थिए । विदेशमा रहेकी छोरी आइनपुग्दासम्म अस्पतालमा अधिकारीलाई कृत्रिम स्वासप्रस्वासको लागि भेन्टिलेटरमा राखिएको थियो । अधिकारीे विसं १९९३ साल वैशाख २२ गते महोत्तरीको भ्रमरपुरामा बुवा रामचन्द्र र आमा पूर्णकुमारीको कोखबाट जन्मिएका थिए । उनका श्रीमती ओमकुमारी र तीन छोरी छन् । कानुन र अर्थराजनीतिका विज्ञ अधिकारीले अर्थशास्त्रमा एमए र कानुनमा बीएलसम्मको औपचारिक अध्ययन गरेका थिए । महोत्तरीमा जन्मिएर विराटनगरलाई कार्यक्षेत्र बनाएका अधिकारी पछिल्लो समय राजधानीमा बस्दै आएका थिए । अधिकारी पञ्चायत अवधिका चर्चित कानुन व्यवसायीसमेत हुन् । विसं २०१७ सालमा पीएचडी गर्ने विचार गरेका अधिकारी तत्कालीन सोभियत सरकारले दिएको छात्रवृत्ति छोडेर राजा महेन्द्रको कु विरुद्ध सघर्षमा होमिएका थिए । नेपालको राजनीतिमा त्यागी नेताको रुपमा चिनिने अधिकारीले चार वर्ष भूमिगत, तीन वर्ष निर्वासन र तीन वर्ष बन्दी जीवन बिताएका थिए । विसं २०६१ माघ १९ मा तत्कालीन राजा ज्ञानेन्द्रले कु गर्दा उनी ८१ दिन नजरबन्दमा थिए । अध्ययनशील मानिने नेता अधिकारीले नेपालमा अद्योगीकरणका समस्या, मेरो जीवनयात्रालगायत कृति प्रकाशित गरेका छन् । जीवन यात्राको नयाँँ भाग पुस्तक भने प्रकाशन नहुँदै अधिकारी सदाका लागि बिदा भएका छन् । राजनीतिक यात्रा विसं २००८ सालमा राजनीतिमा आवद्ध भएका अधिकारीले तत्कालीन एमालेको नवौं महाधिवेशनमा लिखित रुपमै पार्टीको कुनै पनि नेतृत्वदायी कमिटीमा नबस्ने घोषणा गरेका थिए । अधिकारीले १६ वर्षको उमेरमा बनारबाट भारतीय कम्युनिस्ट पार्टीको सदस्यता लिएर राजनीतिमा आवद्धता जनाएका थिए । पञ्चायतविरुद्ध लामो सघर्ष गरेका अधिकारी २०४७ सालको संविधान लेखन समितिका सदस्य हुन् । वाममोर्चाको तर्फबाट माधवकुमार नेपाल निर्मल लामासँगै अधिकारी संविधान लेख्ने आयोगका सदस्य बनेका थिए । ०४७ सालको संविधान लेखनमा उनको भूमिकालाई महत्वकासाथ हेरिन्छ । त्यसपछि माले र माक्र्सवादी एकता भएर नेकपा एमाले बन्दा अधिकारीले महत्वपूर्ण भूमिका निर्वाह गरेका थिए । गिरिजाप्रसाद कोइरालाले टनकपुरको विषयमा राष्ट्रघाट गर्दा संसदमा लगातार सात घण्टा नारा लगाउने कामको अगुवाई अधिकारीले नै गरेका थिए । २०४९ सालमा एमालेको पाँचौं महाधिवेशनमा मदन भण्डारीले ल्याएको जनताको बहुदलीय जनवाद कार्यक्रम निर्माणमा अधिकारीको महत्वपूर्ण योगदान रहेको थियो । यो कुरालाई उनले आफ्नो पुस्तकमा उल्लेख गरेका छन् । २०५१ सालका चर्चित अर्थमन्त्री २०५१ सालको मध्यावधि निर्वाचनमा तत्कालीन एमाले सबैभन्दा ठूलो दल बन्यो । मनमोहन अधिकारी नेतृत्वमा बनेको एकल सरकारमा अधिकारी अर्थमन्त्री भए । नौ महिना मन्त्री हुँदा उनले दुईवटा बजेट पेश गरेका थिए । अधिकारीले महेश आचार्यले पेश गरेको बजेटलाई परिमार्जन गरेर पुसमा पहिलो कम्युनिस्ट बजेट पेश गरेका थिए । उनले ०५२ असारमा अध्यायदेशमार्फत् पूर्ण बजेट पेश गरेका थिए । यो बजेमा अधिकारीले अगाडि सारेका आफ्नो गाउँ आफै बनाऔं, वृद्धा भत्ता, सामाजिक सुरक्षा, नौ स लगायतका नाराले लोकप्रियता पाएका थिए । अर्थमन्त्री अधिकारी २०४७ सालमा संविधान आयोगका सदस्य भएका अधिकारी २०४८ पछि चार पटक सांसद निर्वाचित भएँ । पाँच पटक विभिन्न मन्त्रालय सम्हालेका अधिकारी उपप्रधानमन्त्री हुँदै कार्यवाहक प्रधानमन्त्रीसम्म भए । पहिलो पटक ०५१ सालमा मनमोहन अधिकारीको नेतृत्वमा एमालेको एकमना सरकारमा अर्थमन्त्री बनेका अधिकारी दोस्रो पटक २०५५ सालमा कांग्रेससँगको संयुक्त सरकारमा अर्थमन्त्री बने । गिरिजाप्रसाद कोइराला नेतृत्वको सरकारमा उनले एमालेको तर्फबाट नेतृत्व गरेका थिए । २०६१ साल असार २१ गते उपप्रधान तथा अर्थमन्त्रीको जिम्मेवारी पाउँदा अधिकारीले सात दिनमै बजेट तयार पार्ने जिम्मेवारी पाएका थिए । अधिकारी २०६७ साल माघ २७ गते उपप्रधानमन्त्री बने । प्रधानमन्त्री झलनाथ खनालले अर्थ मन्त्रालय हेर्ने जिम्मासमेत अधिकारीलाई नै दिएका थिए । बजेटसँगै संसदमा पेश गर्नुपर्ने विधेयक अधिकारी स्वयम्ले संसदमा पेश गरे । तर कांग्रेसका तत्कालीन प्रमुख सचेतक लक्ष्मण घिमिरेले अधिकारीलाई अध्यादेश बजेट पेश गर्न नदिने बताए । संविधानमै आर्थिक बजेट अर्थमन्त्रीले पेश गर्ने उल्लेख भएको भन्दै विरोध भएपछि ०६७ माघ ३० गते अधिकारीले उपप्रधान तथा अर्थमन्त्रीको जिम्मेवारी पाएका थिए ।"
"बालसाहित्य महोत्सवमा रमाए बालबालिका","काठमाडौँ : क्रिएटिभ एकेडेमी, कीर्तिपुरमा एक दिने बाल साहित्य महोत्सव सम्पन्न भएको छ । पठन संस्कृतिको विकास गर्ने उद्देश्यले गरिएको दोस्रो बाल साहित्य महोत्सवको समुद्घाटन कीर्तिपुर नगरपालिकाका मेयर रमेश महर्जनले गरेका थिए । उक्त महोत्सवमा विभिन्न क्षेत्रका सेलिब्रिटीसँग बहस गरियो । सो क्रममा लेखक नरेन्द्रराज पौडेल र डा धु्रव घिमिरेसँग शंकर भण्डारीले छलफल चलाए । मिस नेपाल २०१७ विजेता निकिता चन्डकसँग रिना शाहीले तथा नायक विपिन कार्की र रंगकर्मी सुरज मल्लसँग टंक चौलागाईँले बहस चलाए । सबैले बालबालिकासँग आआफ्नो कामको अनुभव साटेका थिए । त्यस्तै, कीर्तिपुरमा पर्यटन प्रवद्र्धन विषयमा प्रा डा धर्मराज डंगोलले प्रस्तुति दिए । कार्यक्रममा बालबालिका माझ सम्पादक विषयमा नागरिक अनलाइनका सम्पादक राजाराम गौतमसँग अन्र्तक्रिया गरियो । बालकथाकार यशु श्रेष्ठले सस्वर कथा वाचन गरे । बेटर नेपालको संयोजनमा आयोजित साँगीतिक काव्य अनुष्ठानमा कवि असीम सागर र बिना थिङले रचना प्रस्तुत गरे । बालकविलाई प्रोत्साहन गर्न छुट्टै मञ्चको व्यवस्थापन गरिएको थियो । कार्यक्रममा क्रिएटिभ एकेडेमीका विद्यार्थीले चित्रकला, हाजिरी जवाफ, नाटक मञ्चन, साहित्य समीक्षा, सांस्कृतिक प्रस्तुति, हस्तनिर्मित कलात्मक वस्तुलगायतका विविध रचनात्मक र सिर्जनात्मक प्रदर्शनी तथा आफूमा अन्तरनिहित प्रतिभाहरु प्रस्तुत गरेका थिए । महोत्सवमा कीर्तिपुर क्षेत्रका अन्य विद्यालयका विद्यार्थी पनि सहभागी थिए । क्रिएटिभ एकेडेमी, कीर्तिपुर नगरपालिका, कथालय, बाल कला संग्रहालय र शिल्पी थिएटरको संयुक्त आयोजनामा महोत्सव भएको थियो । महोत्सवका संयोजक खगेन्द्र गौतमका अनुसार झण्डै दश हजार बढी दर्शकले महोत्सव अवलोकन गरे । महोत्सवमा सताब्दी पुरुष संस्कृतिविद सत्यमोहन जोशी, नेपाल भाषाविद तुयु बहादुर महर्जन तथा डाफा बाजाका संरक्षक गोविन्दबहादुर महर्जनलाई सम्मान पनि गरिएको थियो । सत्यमोहन जोशीलाई अभिनन्दन गर्दै कीर्तिपुरका मेयर रमेश महर्जन । तस्बिर : अन्नपूर्ण"
"कर्णालीमा महिला भलिबल प्रतियोगिता सुरु","जाजरकोट : आठौं राष्ट्रिय खेलकुदका लागि खेलाडी छनोट गर्न प्रथम कर्णाली प्रदेशस्तरीय महिला भलिबल प्रतियोगिता सुरु भएको छ । जाजरकोटमा शनिबार सुरु भलिलबल प्रतियोगिता बाट उत्कृष्ट १० जना महिला खेलाडी कर्णाली प्रदेशको तर्फबाट आठौं राष्ट्रिय खेलकुदमा सहभागी हुने छन् । जाजरकोटमा पहिलो पटक आयोजना भएको क्षेत्रीय महिला भलिबल प्रतियोगितामा कर्णाली प्रदेशका १० वटै जिल्लाका खेलाडीहरुको सहभागिता छ । प्रदेश खेलकुद परिषद कर्णाली प्रदेशको आयोजनामा सञ्चालन भएको उक्त भलिबल प्रतियोगिता खलंगाको थाप्लेचौरस्थित त्रिभुवन माध्यमिक विद्यालयको प्रांगणमा सञ्चालन भइरहेको छ । जिल्ला खेलकुद विकास समितिका अध्यक्ष नरबहादुर बस्नेतका अनुसार लिककम नकआउटको माध्यामबाट खेलाइँदै छ । खेल आगामी २१ गतेसम्म सञ्चालन हुनेछ । प्रतियोगितामा जाजरकोट, सुर्खेत, रुकुम पश्चिम, सल्यान, दैलेख, कालिकोट, मुगु, हुम्ला, डोल्पा, जुम्ला जिल्लाका सय महिला खेलाडीको सहभागिता छ ।"
"के थियो भरतमोहन अधिकारीको अन्तिम सन्देश ?","काठमाडौं : नेकपा नेता एवम् पूर्व उपप्रधान तथा अर्थमन्त्री भरतमोहन अधिकारीले नेताहरुलाई मिलेर अगाडि बढ्न अन्तिम सन्देश छोडेर गएका छन् । ह्याम्स अस्पतालमा भेन्टिलेटरमा राख्नुअघि नेकपा नेता कृष्ण आचार्यमार्फत् अधिकारीले सन्देश छोडेका हुन् । उनको शनिबार राति ९ बजेर ४८ मिनेटमा ह्याम्स अस्पतालको भेन्टिलेटरमै निधन भएको छ । अधिकारीको स्वास्थ्य अवस्था बुझ्न अस्पताल पुगेका नेकपा अध्यक्ष एवम् पूर्वप्रधानमन्त्री पुष्पकमल दाहाल प्रचण्ड अधिकारीले महत्वपूर्ण सन्देश छोडेको भन्दै त्यसलाई आत्मसाथ गर्ने बताएका छन् । शनिबार राति पत्रकारसँग कृष्ण आचार्यलाई उद्धृत गर्दै प्रचण्डले भने, पार्टी, देश र समाजको समृद्धिका लागि नेताहरु मिलेर जाउन भन्ने सन्देश छोड्नु भएको रहेछ । यो सन्देश हाम्रा लागि महत्वपूर्ण छ । यसलाई आत्मसाथ गरेर अगाडि बढ्छौँ । कम्युनिस्ट नेता अधिकारीको ८२ वर्षको उमेरमा शनिबार ह्याम्स अस्पतालमा निधन भएको हो । उनका तीन छोरी र श्रीमती छन् । चार पटक अर्थमन्त्री र पटकपटक मन्त्री भएका अधिकारी उप्रपधानमन्त्री हुँदा कार्यबाहक प्रधानमन्त्रीसमेत बनेका थिए । भरतमोहन अधिकारीलाई भेट्न रक्षामन्त्री अस्पतालमा भरतमोहन अधिकारी सिकिस्त, मन्त्री पुनको स्वास्थ्य सुधारोन्मुख नेकपा नेता पूर्वअर्थमन्त्री भरतमोहन अधिकारीको निधन"
"अछामको साँफेबगरमा गुनासो व्यवस्थापन प्रणाली सुरु","अछाम : साँफेबगर नगरपालिकाले गुनासो व्यवस्थापन प्रणाली सञ्चालन गरेको छ ।अन्तर्राष्ट्रिय खुला तथ्यांक दिवसकाा अवसरमा शनिबार आयोजित कार्यक्रममा गुनासो व्यवस्थान प्रणालीको उद्घाटन गरिएको हो । नगर प्रमुख कुलबहादुर कुँवरले नगरपालिकाका १४ वटै वडालाई जोड्दै गुनासो, समस्या र सुझाव अनुसार अघि बढ्ने बताए । नगरका १४ वटै वडामा सूचना प्रविधिलाई जनतासँग जोड्न इन्टरनेट जोड्ने प्रयास गरिरहेका छौँ, उनले भने । जनतालाई नगरपालिकाका सूचना गतिविधिको जानकारी तथा जनताका गुनासो छिटो छरितो सम्वोधन गर्ने उद्देश्यले गुनासो व्यवस्थापन प्रणाली सञ्चालनमा ल्याएको उनको भनाइ छ । गुनासो सुनुवाईका लागि उनले मोबाइल नम्बरसमेत सार्वजनिक गर्दै त्यसमा डायल गरेपछि गुनासो विधिसमेत सिकाए । गुनासो सुनुवाइ प्रणाली देशभरका ७५३ स्थानीय तहमध्ये अछामको साँफेबगर नगरपालिका लगायत १२ स्थानीय तहले मात्र प्रविधिको प्रयोग गर्दै आएको नगरपालिकाकी सूचना प्रविधि अधिकृत कबिता कुँवरले बताइन् ।"
