"शीर्षक","विवरण"
"सिके राउतलाई बेवास्ता गरे राष्ट्रिय सुरक्षामा समस्या : कमल थापा","भैरहवा : रााष्ट्रिय प्रजातन्त्र पार्टीका अध्यक्ष कमल थापाले सिके राउत समूहलाई वेवास्ता गरिए रााष्ट्रिय सुरक्षामा समस्या उत्पन्न हुने बताएका छन् । पार्टीको मेचीमहाकाली रााष्ट्रिय स्वाभिमान यात्राको सभालाई भैरहवामा बुधवारस म्बोधन गर्दै उनले १२ वर्ष गलत राजनीतिक अभ्यासका कारण देश टुक्राउने समूह सतहमा आएको बताए । देश टुक्रयाउनु पर्छ भन्ने आवाज उठेको थिएन, तर ०६२०६३ को जनआन्दोलनपछिको गलत राजनितिकको अभ्यासका कारण अहिले त्यो विखन्डनकारी समूह सतहमा आएको छ, सभामा सिके राउत समूहतर्फ इंगित गर्दै उनले भने, यो समूहलाई समयमै हेरिएन भने देशको सुरक्षामा ठूलो खतरा बन्न सक्छ । उनले मधे स्वतन्त्र देश हो भन्ने प्लेकार्डसहित खुलेआम सभा जुलुस हुने गरेपनि राज्य संयन्त्र मौन बसेको आरोप लगाए । पूर्व उपप्रधानमन्त्रीसमेत रहेका थापाले केही कर्मचारी, व्यापारी र ठूला नेता मिलेर ब्रम्हलुट गरेको आरोप लगाए । एनसेलको कर छली काण्ड, ३८ क्वीन्टल सुन तस्करी, वाइडवडी हवाइजहाज खरिद प्रकरणमा घोटला जस्ता कारणले देशमा लुटतन्त्र चलेको प्रष्ट भएको उनले बताए । मधेसी सामुदायमा राष्ट्रप्रतिको भाव बढी रहेको भन्दै सीमानामा बसेर देशको रक्षा गर्ने मधेसी समुदाय बिनाबर्दीका सच्चा सेना भएको उल्लेख गरे । उनले नयाँ नेपाल बनाउने नाममा हिन्दु राष्ट्रको पहिचान समाप्त गरेर धर्मनिरपेक्षता थुपारिएको आरोप लगाए । हिन्दु राष्ट्रको पहिचानको समाप्ती र राजसंस्थालाई पाखा लगाइए पनि जनताले परिवर्तनको अनुभुति गर्न नपाएको उल्लेख गर्दै ०६२०६३ को जनआन्दोलनपछि आखिर जनताले के पाए ?, उनले प्रश्न गरे । थापाले देश संकटको दलदलमा भासिदै गएको दावी गर्दै मुलुकमा गरिब र धनीबीच पनि ठुला खाडल भएको बताए । उनले शान्ति प्रक्रिया टुंगिएको भनिए पनि विप्लव नेकपालाई इंगित गर्दै नयाँ माओवादी नयाँ ढंगले सतहमा देखिएको बताए । राप्रपाका वरिष्ठ नेता दीपक बोहराले सभालाई सम्बोधन गर्दै हिन्दु राज्यसहित आफुहरुको माग पुरा नभए अगामी महिना चैतदेखि आन्दोलन गर्ने चेतावानी दिए ।"
"बलात्कार घटनाका दुईजना दोषी पक्राउ परे","विराटनगर : मोरङका अलगअलग ठाउँबाट बलात्कारको घटनामा संलग्न भएर अदालतबाट दोषी ठहर दुईजनालाई प्रहरीले पक्राउ गरेको छ । अदालतले कैद तथा जरिवानाको फैसला सुनाए पनि उनीहरु लामो समयदेखि फरार थिए । इलाका प्रहरी कार्यालय बेलबारीको टोलीले बालिकामाथि गरिएको सामुहिक बलात्कारको घटनामा संलगन सुन्दरहरैंचा नगरपालिका४ का गोम्बे तामाङलाई पक्राउ गरेको छ । जवरजस्ती करणी मुद्दामा जिल्ला अदालत मोरङले तामाङलाई ११ वर्ष कैद सजायको फैसला सुनाएको थियो । घटनापछि फरार रहेका साविकको सुन्दरपुर गाविस६ लाटीझोडाका तामाङलाई गाउँबाटै पक्राउ गरिएको बेलबारीका इन्सपेक्टर रामकुमार राईले जानकारी दिए । त्यस्तै बलात्कारको घटनामा अदालतले दोषी ठहर गरे पनि भागिरहेका मोरङको केरावारी गाउँपालिका८ का हर्कबहादुर विश्वकर्मालाई पनि प्रहरीले पक्राउ गरेको छ । जरजस्ती करणी मुद्दामा अदालतले उनलाई २०७३ साल असार ५ गते दुई वर्ष ६ महिना कैद र २० हजार रुपैयाँ जरिवानाको फैसला सुनाएको थियो । इन्सपेक्टर राईले विश्वकर्मालाई केरावारीबाटै पक्राउ गरिएको जानकारी दिए । पक्राउ परेका दुवै जनालाई पेस गरेपछि अदालतले कैद सजाय भुक्तानका लागि बुधबार कारागार चलान गरेको छ ।"
"ट्रकको ठक्करबाट मोटरसाइकल चालकको मृत्यु","रौतहट : चन्द्रपुर नगरपालिका१ स्थित पौराइको बागमती बजारमा बुधबार साँझ मालवाहक ट्रकले मोटरसाइकललाई ठक्कर दिँदा मोटरसाइकल चालकको मृत्यु भएको छ । पौराइस्थित बागमती बजारमा पूर्वबाट पश्चिम आउँदै गरेको ना ४ ख २०९३ नम्बरको ट्रकले पश्चिमबाट पूर्व जाँदै गरेको बा ६१ प २४८३ नम्बरको मोटरसाइकललाई ठक्कर दिँदा २५ वर्षीय बिक्रम लामाको मृत्यु भएको इलाका प्रहरी चन्द्रनिगाहपुरले जनाएको छ । चन्द्रपुर१ बागमती बजारमा घर भएका मोटरसाइकल चालक लामाको मृत्यु भएको हो । घाइते लामाको टाउको र बायाँ खुट्टामा चोट लागेर उपचारको लागि चन्द्रनिगाहपुरमा ल्याउने क्रममा मृत्यु भएको प्रहरीले जनाएको छ । घटनापछि पीडित परिवार तथा स्थानीयबासीले केही बेर पूर्वपश्चिम राजमार्ग अवरुद्ध पारेका थिए । ट्रक चालकलाई कारबाही, उचित क्षतिपुर्ति लगायतको माग राखेर गरिएको चक्काजाम सहमतीपछि खुलेको थियो ।"
"सरकारले क्यान्सरका बिरामीलाई औषधि किनिदिन्छ : मन्त्री यादव","भक्तपुर : सरकारले क्यान्सर बिरामीहरुको लागि औषधि किनिदिने भएको छ । क्यान्सर उपचारसँगै औषधि पनि महंगो छ । त्यसमाथि विदेशबाट औषधि आयात गर्नुपर्ने भएकाले बिरामीले बढी मूल्य तिर्नुपर्ने बाध्यता छ । जसले गर्दा क्यान्सर उपचार महंगोमाथि महंगो हुने गरेको चिकित्सकहरु बताउँछन् । चिकित्सकहरुका अनुसार क्यान्सरका एकसय पचासदेखि पाँच लाख रुपैयाँसम्म पाइने औषधि छन् । उनीहरुको अनुसार अधिकांश क्यान्सरका औषधिहरु विदेशबाट मगाउनुपर्छ । तर अब सरकारले विदेशी उत्पादकसँग औषधि किनेर सीधै बिरामीलाई उपलब्ध गराउने भएको हो । भक्तपुर नगरपालिका१ दूधपाटीस्थित भक्तपुर क्यान्सर अस्पतालको बुधबार सम्पन्न २४ औं वार्षिकोत्सवमा स्वास्थ्य राज्यमन्त्री डा सुरेन्द्रकुमार यादवले सरकारले औषधि किनेर सीधै क्यान्सर बिरामीलाई उपलब्ध गराउने बताएक हुन् । उनले लागत मूल्यभन्दा क्यान्सर बिरामीले दोब्बर मूल्य तिर्नुपर्ने भएकाले सरकारले नै औषधि किनेर बिरामीलाई उपलब्ध गराउन तयारी अघि बढाइएको स्पष्ट पारे । भारतमा १६ हजार भारतीय रुपैयाँ मूल्य पर्ने क्यान्सरको औषधि नेपालमा पुग्दा ५०६० हजार लिन्छ, राज्यमन्त्री यादवले भने, यसले गर्दा पनि क्यान्सर उपचार महंगो हुँदै आएको छ । त्यसैले अब सरकारले नै औषधि किनेर बिरामीलाई सीधै उपलब्ध गराउने तयारी अघि बढाएका छौं । यसले क्यान्सर बिरामीहरुलाई थप ठूलो राहत पुग्ने उनको दावी थियो । अहिले सरकारले गरिब तथा विपन्न बिरामीहरुको लागि एक लाख रुपैयाँको उपचार अनुदान दिँदै आएको छ । औषधिसमेत सस्तोदरमा उपलब्ध गराएपछि क्यान्सर उपचार थप सहज हुने राज्यमन्त्री यादवले विश्वास व्यक्त गरे । क्यान्सर उपचार निःशुल्क गर्ने सम्बन्धमा मन्त्रालयले अध्ययन अघि बढाएको छ, उनले भने, सूर्तीजन्य पदार्थमा लगाइएको स्वास्थ्य सेवा करबाटै क्यान्सर उपचार निःशुल्क गर्न सकिने देखिन्छ । उनले क्यान्सर उपचारको लागि विदेसिनुपर्ने अवस्थाको अन्त्यको लागि सरकार लागिपरेकोसमेत सुनाए । देशका मुख्य मुख्य ठाउँमा पेटस्क्यान मेसिन जडान गर्ने गृहकार्य अघि बढाइरहेको उनको भनाइ थियो । काठमाडौंसँगै देशका मुख्य मुख्य ठाउँमा पेटस्क्यान मेसिन जडान गर्ने गृहकार्य थालेका छौं, राज्यमन्त्री यादवले भने, पेटस्क्यानको लागि आवश्यक आइसोटपको आपूर्ति गर्न सकिने नसकिनेबारे अहिले अध्ययन भइरहेको छ । देशका मुख्य ठाउँमा पेटस्क्यान सेवा सुरु गरिएपछि क्यान्सर उपचारको लागि विदेसिन नपर्ने उनको दावी थियो । राज्यमन्त्री यादवले मन्त्रालयले मौजुदा स्वास्थ्य नीतिमा परिमार्जनसहित खेस्रो तयार गरिसकेको समेत जानकारी दिए । देशको भौगोलिक क्षेत्र, जनसंख्या र आवश्यकताको आधारमा स्वास्थ्य सेवाको पहुँच र विस्तारबारे नयाँ स्वास्थ्य नीतिले सम्बोधन गर्ने उनको भनाइ थियो । कार्यक्रममा भक्तपुर जिल्ला समन्वय समितिका प्रमुख नवराज गेलालले सँगसँगै रहेका भक्तपुर क्यान्सर अस्पताल, सहिद धर्मभक्त राष्ट्रिय प्रत्यारोपण केन्द्र र भक्तपुर जिल्ला अस्पतालबाट एकीकृत स्वास्थ्य सेवा प्रवाह गर्ने गरी संयन्त्र विकास गर्नुपर्नेमा जोड दिए । कार्यक्रममा अस्पताल व्यवस्थापन समितिका अध्यक्ष लोकेन्द्रकुमार श्रेष्ठले सरकारले पेटस्क्यान मेसिन उपलब्ध गराए अस्पतालको क्यान्सर उपचार क्षमता सत प्रतिशत पुग्ने बताए ।सरकारसँग आर्थिक सहयोगभन्दा उपकरण माग गर्दै आएको उनको भनाइ थियो । अस्पतालका मेडिकल डाइरेक्टर प्रोडा ऋषिकेशनारायण श्रेष्ठले वार्षिक प्रगति प्रतिवेदन प्रस्तुत गर्दै अस्पतालमा दैनिक औषत ९६ प्रतिशत अकुपेन्सी रहेको जानकारी दिए । त्यस्तै अस्पतालमा दैनिक नौजना नयाँ क्यान्सर बिरामी दर्ता हुने र २० जना भर्ना हुने उनको भनाइ थियो । कार्यक्रममा पाँच वर्षभन्दा माथि सेवा गर्ने चिकित्सक तथा कर्मचारीहरुलाई स्वास्थ्य राज्यमन्त्री यादवले सम्मान गरेका थिए ।"
"""हिन्दु राष्ट्र माग्दै राप्रपा संयुक्तले सडक तताउने","सरकारको चर्को आलोचना"",""राजविराज : राप्रपा (संयुक्त) का अध्यक्ष पशुपति शम्सेर राणाले हिन्दु राष्ट्रको पहिचान पुनस्र्थापित गरेरै देखाउने बताएका छन् । प्रदेश नम्बर २ को कार्यकर्ता भेलालाई बुधबार राजबिराजमा सम्बोधन गर्दै राणाले कम्युनिष्ट र कांग्रेसले दुर्भाग्यवश मेटेको हिन्दु राष्ट्रको पहिचान सडकमा उत्रेर पुनस्र्थापित गरी छाडने दाबी गरेका हुन् । मुलुकमा ८१ प्रतिशत भन्दा बढी हिन्दुहरु रहेको र ९४ प्रतिशत ॐकार परिवारको धर्मले ओगटेको नेपालको मौलिक पहिचान कम्युनिष्ट र कांग्रेस मिलेर मेटेको आरोप लगाउँदै राणाले सगरमाथा र गोर्खालीको नामले झैँ संसारकै एकमात्र हिन्दु राज्य नेपालको परिचय मेट्न नदिने बताए । सम्बोधनका क्रममा उनले पृथ्वीनारायण शाह र बहादुर शाहले छरिएर रहेको अलगअलग बाइसे, चौबिसे राज्यलाई एउटा सिंगो नेपाल बनाई नेपालको सिमाना सिक्किमदेखि किल्ला काँगडासम्म फैलाएको चर्चा गरे । प्रजातन्त्र ल्याउन २००७ सालमा महाराजाधिराज त्रिभुवनले ठूलो योगदान गरेका कारण बहुदलीय प्रजातन्त्र स्थापना भयो, उनले थपे । शाह बंशको योगदानको सम्मान हुनुपर्ने र राजाबाटै प्रजातन्त्र आएको बोध गर्नुपर्ने भन्दै राणाले बहुदलीय परिपाटी भित्रिए पनि राष्ट्रपति पार्टीहरुप्रति पक्षपाति रहेको आरोप लगाए । उनले राष्ट्रपति भन्दा पुरानो संरचनाकै राजसंस्थाबाट मात्र निष्पक्षताको भूमिका निर्वाह हुने दावी गरे । विश्वमा ठूला भनिएका राष्ट्रहरुमा पनि राजसंस्था रहेको उल्लेख गर्दै उनले नेपालमा पनि अभिभावकको रुपमा राजसंस्था आवश्यक रहेको तर्क गरे । वर्तमान सरकारले केन्द्रदेखि स्थानीय तहको वडासम्म भ्रष्टाचारको बिकेन्द्रीकरण गरेको राणाले आरोप लगाए । हिन्दुत्व, मुलुकको प्रगति र आधुनिकीकरणका लागि, मुलुकको हर समस्या समाधान गरी उन्नत राष्ट्र बनाउन आन्दोलनको आवश्यक्ता औल्याउँदै राणाले संगठन बलियो बनाउन कार्यकर्तालाई निर्देशन दिए । अर्का अध्यक्ष प्रकाशचन्द्र लोहनीले हिन्दु धर्मको माग राख्दै सडकमा उत्रिने चेतावनी दिए । हिन्दु राष्ट्र पुनस्र्थापित गरी छाड्छौं, हिन्दु राष्ट्रको पहिचान मेटिन दिदैनौ, हामी सडकमा उत्रन्छौं, लोहनीले भने । नेपालका सबै जाति, भाषा, संस्कृतिका जनता राष्ट्रियता र नेपाली पहिचानको संवाहक हो भन्ने यथार्थतालाई बुझेको राप्रपा (संयुक्त) ले सर्वसाधारण जनताको पक्षमा बोल्ने, लेख्ने र आवाज उठाउने बताए । २०४७ सालदेखि अहिलेसम्मको इतिहासमा दुईतिहाइको सरकार बनाउने मौका पाए पनि वर्तमान सरकारले नाटकीय फेरबदल ल्याउन नसकेको भन्दै उनले दुईतिहाइको सरकारले एक वर्षको समय र अवसर खेर फालेको बताए । भ्रष्टाचारमा चुर्लुम्म डुबेको, मधेसको उन्नति, सम्मान नभएको र मधेस आन्दोलनले खोजेको कुरामा सरकारले ठोस कदम चाल्न नसकेको भन्दै अब यसरी मुलुक चल्न नदिने लोहनीले उदघोष गरे । राष्ट्रिय प्रजातन्त्र पार्टी (प्रजातान्त्रिक) र एकीकृत राष्ट्रिय प्रजातन्त्र पार्टी (राष्ट्रवादी) माघ १८ गते एक भएपछि पार्टीको नाम राष्ट्रिय प्रजातन्त्र पार्टी (संयुक्त) राखिएको हो । तीन वटा राप्रपा मिलेर २०७३ साल फागुनमा एक भएको राप्रपाले एकता महाधिवेशनबाट कमल थापालाई अध्यक्ष चुनेका थिए । तर, २०७३ चैत १६ गते डा लोहनीले पार्टी फुटाई एकीकृत राष्ट्रिय प्रजातन्त्र पार्टी नाम दिएर निर्वाचन आयोगमा दर्ता गरे । त्यसको करिब एक वर्षपछि २०७४ साउनमा राणा पनि कमल थापासँग छुट्टिए ।"""
"झापा गोल्डकप : पुलिसलाई हराउँदै थ्रीस्टार सेमीमा","बिर्तामोड : विभागीय टोली नेपाल पुलिस क्लबलाई टाईब्रेकरमा ३० गोलअन्तरले पराजित गर्दै रुस्लान थ्री स्टार क्लब जारी चौथो झापा गोल्डकपको सेमीफाइनलमा प्रवेश गरेको छ । बिर्तामोडस्थित डोमालाल राजवंशी रंगशालामा बुधबार सम्पन्न प्रतिस्पर्धात्मक तेस्रो क्वार्टरफाइनल खेलमा निर्धारित समय गोलरहित बराबरी भएपछि निर्णय टाईब्रेकरमा लिइएको थियो । टाईब्रेकरमा गोलरक्षक एलन न्यौपाने नायक बन्दा थ्रीस्टार अन्तिम चारमा पुग्न सफल भयो । टाईब्रेकरमा पुलिसका विराट शाह र अजित भण्डारीको प्रहार थ्रीस्टारका गोलरक्षक एलन न्यौपानेले रोकेका थिए । थ्रीस्टारका तर्फबाट विजय धिमाल, बुद्धराज लिम्बु र रुपेश केसी गोल गर्न सफल भए । पुलिसका रवि पासवानको प्रहार बाहिरीिएको थियो । खेल अवधीभर दुवै टिमले पाएका केही अवसर सदुपयोग गर्न नसक्दा खेल टाईब्रेकरमा धकेलिएको थियो । खेलमा म्यान अफ दी म्याच थ्रीस्टारका गोलरक्षक एलन न्यौपाने घोषित भए । उनले नगद १५ हजार रुपैयाँ प्राप्त गरे । बिहीबार रुपन्देही ११ एफसी र दाफिन्स फुटबल क्लब क्यामरुनबीच खेल हुने आयोजकले जनाएको छ ।"
"गण्डकी मेडिकल कलेजका पूर्व सीईओसहित दुई पक्राउ","पोखरा : प्रहरीले गण्डकी मेडिकल कलेजका लगानीकर्तासमेत रहेका पूर्व प्रमुख कार्यकारी अधिकृत (सीइओ) सन्तोष खनाल र परीक्षा नियन्त्रक लक्ष्मण शर्मालाई पक्राउ गरेको छ । उनीहरूलाई जिल्ला प्रहरी कार्यालयको टोलीले बुधबार बेलुका पोखराबाट पक्राउ गरिएको प्रहरी स्रोतले जानकारी दियो । उनीहरूसहित कलेजका अन्य सञ्चालक विरुद्ध विद्यार्थीबाट करोडौँ अवैध असुली गरेको भन्दै प्रहरी तथा सम्पत्ति शुद्धीकरण विभागमा छुट्टाछुट्टै उजुरी परेका छन् । कलेजका तीन विद्यार्थीले मंगलबार जिल्ला प्रहरी कार्यालय कास्कीमा उजुरी दर्ता गरेका छन् भने कलेजका एक विद्यार्थीसहित तीन जनाले मंगलबार नै सम्पत्ति शुद्धीकरण विभागमा उजुरी दर्ता गराएका छन् । यस्तै प्रहरीले कलेजका अध्यक्ष खुमा अर्याल, प्रशासकीय अधिकृत कृष्ण घिमिरे, प्रधानाध्यापक रवीन्द्र प्रसाद श्रेष्ठ, फाइनान्स कन्ट्रोलर युवराज शर्मा र लेखा शाखा प्रमुख हरिमाया पौडेल तथा कलेजमै कार्यरत दिनेश पौडेलविरुद्ध पक्राउ पूर्जी जारी गरेको छ ।"
"हराएको सातापछि मादीमा भेटिएका प्रहरीको मृत्यु शंकास्पद","दमौली : हराएको एक सातापछि एकजना प्रहरी मृत भेटिएका छन् । अस्थायी प्रहरी चौकी कलेस्तीमा कार्यरत प्युठान घर भएका प्रहरी जवान २४ वर्षीय ठगेन्द्र घर्ती मगरको मृत्यु शंकास्पद भएको आफन्तले दाबी गरेका छन् । ड्युटी सकेर घुम्न निस्किएका कलेस्ती अस्थायी प्रहरी चौकीका एक प्रहरी जवानको साता दिनपछि शव भेटिएको थियो । उनी गत फागुन १५ गते मंगलबार ड्युटी सकेर राति घुम्न निस्किएका थिए । मगर बेपत्ता भए पछि खोजी थालिएको थियो । उनको शव मंगलबार हराएको भनिएको ठाउँबाट केही मिटर पर डुबेको अवस्थामा भेटिएको थियो । सशस्त्र प्रहरी बलको विपद् व्यवस्थापन गण कुरिनटारका गोताखोरले शव झिकेका थिए । घटनालगत्तै प्युठानबाट आएका आफन्तले घटनास्थलको निरीक्षण गरेका थिए । उनीहरुले नदी तर्दा बगाउने अवस्था नदेखिएको भन्दै घटनाको निष्पक्ष छानविनको माग गरेका छन् । मृतकका आफन्त एवं नेविसंघ प्युठानका अध्यक्ष एनपी मगरले घटनाको निष्पक्ष छानविन गर्न माग गरे । हामीलाई यो घटना दुर्घटना भन्दा जानीजानी गरिएको घटनाजस्तो लागेको छ, उनले भने,यसको निष्पक्ष छानविन हुनुपर्छ । पुल छाडेर किन मादी तरे ? राति १० बजेतिर ड्युटी सकेर आफू बस्ने घरका घरबेटी शैलेन्द्र घिमिरेसँग मादी पारी चिन्टुटार गएका थिए । फर्कने क्रममा उनी बेपत्ता भएको सार्वजनिक भएको थियो । कलेस्तीबाट मादी तरेर जानुपर्ने चिन्टुटार जाँदा नजिकैको झोलुंगे पुलबाट तरेका मगर फर्कंदा भने मादी तरेर आएको सँगै गएका घिमिरेको बयान उद्धृत गर्दै प्रहरीले बताएको छ । प्रहरी नायव उपरीक्षक श्यामु अर्यालका अनुसार घटनाको राति फर्किएका घिमिरे पनि भिजेको अवस्थामा भेटिएका थिए । तर नजिकै भएको झोलुंगे पुल चढ्न छाडेर उनीहरु मादी नदी हिंडेरै तर्नुको कारणबारे भने प्रष्ट भएको छैन । जवान मगर कलेस्तीमा ड्युटी खटेको करिब तीन महिना मात्र भएको छ । प्रहरीले घटनाका बेला मगरसँगै गएका साथी घिमिरेलाई नियन्त्रणमा लिएर अनुसन्धान थालेको छ । अनुसन्धान थालेका छौं, उनले भने,पोष्टमार्टम रिपोर्ट र थप अनुसन्धानका आधारमा निष्कर्षमा पुग्न सकिन्छ ।"
"स्वास्थ्य परीक्षण गरी प्रधानमन्त्री ओली बालुवाटार फर्किए","काठमाडौं : प्रधानमन्त्री केपी ओली स्वास्थ्य जाँचपछि अहिले डिस्चार्ज भएका छन् । उनी नियमित स्वास्थ्य जाँचका लागि आजै त्रिवि शिक्षण अस्पपताल भर्ना भएका थिए । अस्पतालबाट डिस्चार्ज भएपछि आफ्ना निजी चिकित्सक डा दिव्या सिंह डा अरुण सायमीका साथ सामुहिक तस्बिर खिचाएपछि प्रधानमन्त्री ओली बालुवाटार प्रस्थान गरेका छन् । प्रधानमन्त्री ओलीको ११ वर्ष अगाडि २०६४ साल असारमा भारतको अपोलो अस्पतालमा मिर्गौला प्रत्यारोपण गरिएको थियो । मिर्गौला प्रत्यारोपणपछि उनले नियमित औषधि खाँदै आएका छन् । एघार वर्षअघि मिर्गौला प्रत्यारोपण गरेका ओलीलाई यसअघि रोगप्रतिरोधी क्षमता कमजोर भएका कारण बेलाबखत फंगस इन्फेक्सन भई हत्केला सुन्निने समस्या देखापरेको थियो । मिर्गौला र अन्य स्वास्थ्य समस्या देखापरेपछि यसअघि ओलीले नेपाल साथै भारत, थाइल्यान्ड र सिंगापुरमा समेत उपचार गराएका थिए ।"
"माहामारीबाट बचाउन बाख्रालाई पीपीआर खोप","बैतडी : जिल्लामा किसानले पालेका ७५ हजार बाख्रामा पीपीआर खोप लगाउन सुरु गरिएको छ । भेटनरी अस्पताल तथा पशु सेवा विज्ञ केन्द्रको सहयोगमा रोगको जोखिम बढी भएका ठाउँमा बाख्रामा पीपीआर खोप लगाउन थालिएको विज्ञ केन्द्रका प्रमुख हरिदत्त भट्टले जानकारी दिए । पीपीआर रोगका कारण जिल्लाका विभिन्न स्थानमा बाख्राहरु वर्षेनी मर्ने भएकाले त्यो रोगबाट बचाउन पीपीआर खोप अभियान सञ्चालन गरिएको उनले बताए । पीपीआर रोगको बढी जोखिम भएका ठाउँमा खोप अभियान सञ्चालन गरिएको उनले जानकारी दिए । स्थानीय तहसँगको समन्वयमा गाउँगाउँमा पशुसेवा प्राविधिकले पीपीआर खोप लगाउने कार्य गरिरहेका छन् । जिल्लाका सिगास, दोगडकेदार, सुर्नया गाउँपालिकामा र दशरथचन्द, मेलौली र पुरचौंडी नगरपालिकाका विभिन्न स्थानमा बाख्रामा पीपीआर विरुद्धको खोप लगाउने कार्य जारी छ । पीपीआर भाइरसका कारणले बाख्रामा रोग लागे निको नहुने भएकाले खोप लगाउन सुरु गरिएको प्रमुख भट्टले बताए । उनका अनुसार केही महिनाअघि सिगास गाउँपालिकामा यो रोग प्रकोपकै रुपमा देखा परेको थियो । त्यसपछि जिल्लामा रोग सर्न नदिन पीपीआर खोप अभियान थालिएको हो । व्यावसायिक रुपमा बाख्रा पालन गरिरहेका किसानलाई लक्षित गरेर खोप अभियान सुरु भएको र यसले किसानलाई फाइदा पुगेको पशुसेवा प्राविधिक मदनसिंह महराले बताए । अभियान अन्तर्गत ६५ हजार बाख्रामा खोप लगाइसकेको छ । यस्तै दार्चुलामा पनि ५५ हजार बाख्रामा पीपीआर खोप लगाउने काम भइरहेको भेटनरी अस्पताल तथा पशु सेवा विज्ञ केन्द्रका प्रमुख भट्टले जानकारी दिए ।"
