"शीर्षक","विवरण"
"""ओली","प्रचण्ड, देउवा र गच्छदार राष्ट्रपति भेट्न सुटुक्क शीतल निवासमा"",""काठमाडौं : राष्ट्रपति विद्यादेवी भण्डारीको निमन्त्रणामा आइतबार साँझ शीर्ष नेता शीतल निवासमा पुगेका छन् । साँझ पाँच बजेपछि प्रधानमन्त्री केपी शर्मा ओली, नेकपाका अध्यक्ष पुष्पकमल दाहाल प्रचण्ड, प्रमुख प्रतिपक्षी दलका नेता कांग्रेस सभापति शेरबहादुर देउवा र उपसभापति विजयकुमार गच्छदार राष्ट्रपति निवासमा पुगेका हुन् । नेताहरुले राष्ट्रपति भण्डारीसँग समसामयिक विषयमा छलफल गरेको शीतल निवास स्रोतले जानकारी दिएको छ । राष्ट्रपति भण्डारीको निमन्त्रणामा सत्तापक्षका दुई र प्रमुख प्रतिपक्षी दलका दुई शीर्ष नेता शीतल निवास पुगेका हुन् । राष्ट्रपतिको निमन्त्रणामा सभापति देउवा शीतल निवासमा गएको उनका सहयोगी भानु देउवाले पुष्टि गरे । राष्ट्रपतिसँग पछिल्लो राजनीतिक घटनाक्रमका विषयमा छलफल भएको छ, उनले भने । यता बालुवाटार स्रोतले समेत समसामयिक राजनीतिक घटनाक्रमका विषयमा छलफल भएको बताएको छ । राष्ट्रपति र प्रधानमन्त्रीका सचिवालयले छलफलका विषय खुलाउन चाहेनन् ।"""
"नोबेल पुरस्कारका लागि ट्रम्प सिफारिस","टोक्यो : अमेरिकी राष्ट्रपति डोनाल्ड ट्रम्पलाई सन् २०१८ को नोबेल शान्ति पुरस्कारका लागि जापानी प्रधानमन्त्री सिन्जो आबेले मनोनयन गरेको एक जापानी पत्रिकाले आफ्नो आइतबारको संस्करणमा उल्लेख गरेको छ । अमेरिकाको अनुरोधमा जापानले ट्रम्पको नाम सिफारिस गरेको बताइएको छ । गत वर्षको जुन महिनामा उत्तर कोरियाली नेता किम जोङउनसँगको महत्वपूर्ण शिखर सम्मेलन गरेपछि ट्रम्पको नाम मनोनयन गर्न सम्भावना भएको जापानी पत्रिका आसाही शिम्बुन पत्रिकाले बताएको छ । अमेरिकी राष्ट्रपति ट्रम्पले गत शुक्रबार आफ्नो नाम शान्ति पुरस्कारका लागि जापानी प्रधानमन्त्री आबेले मनोनयन गरेको बताएपछि उक्त रिपोर्ट बाहिर आएको हो । आबेले नोबेल शान्ति पुरस्कार समितिलाई पठाएको पाँच पृष्ठ लामो पत्रको प्रतिलिपि आफूलाई पठाएको अमेरिकी राष्ट्रपति ट्रम्पले बताएका छन् । पत्रमा जापानी नेताले उत्तर कोरियासँग चलेको तनावलाई शान्त बनाउन खेलेको योगदानको प्रशंसा गरेका छन् । जापानी प्रधानमन्त्री आबेले पत्रमा मैले तपाईंलाई नोबेल शान्ति पुरस्कार दिनका लागि अनुरोध गरेको छु भनी भनेको र आफूले उहाँलाई धन्यवाद दिएको अमेरिकी राष्ट्रपतिले ह्वाइट हाउसमा भेला भएका सञ्चारकर्मीसँग बताएका थिए । धेरै अन्य मानिसहरूले पनि यस प्रकारको महसुस गर्छन् । मैले सम्भवतः कहिल्यै पाउने छैन । ठीकै छ ट्रम्पले भने । ट्रम्पको दाबीबारे प्रतिक्रियाका लागि एएफपीले गरेको अनुरोधलाई जापानी अधिकारीले प्रतिक्रिया दिएनन् ।"
"सकियो कर्णाली एक्स्पो (फाेटाे फिचर)","तस्बिर : विकास कार्कीउमा विष्ट काठमाडौं : राजधानीको भृकुटीमण्डपमा जारी कर्णाली एक्स्पो आइतबारबाट सकिएको छ । कर्णालीको पर्यटनलाई विस्तार गर्ने उद्देश्यका साथ शुक्रबारबाट सुरु भएको एक्स्पो आइतबार सकिएको हो । एक्स्पोमा कर्णालीका संस्कृति, पहिरन, उत्पादन प्रदर्शन गरिएको थियो ।"
"हिन्दु राष्ट्र र संघीयताबारे जनमत संग्रह गर्न राप्रपाको अल्टिमेटम","काठमाडौं : हिन्दु राष्ट्र र संघीयता बारे जनमत संग्रह माग्दै राष्ट्रिय प्रजातन्त्र पार्टी (राप्रपा)ले सरकारलाई चैतसम्मको अल्टिमेट दिएको छ । आइतबार राजधानीमा पत्रकार सम्मेलन गर्दै राप्रपाका अध्यक्ष कमल थापाले जनमत संग्रहको माग गरेका छन् । राप्रपाले सरकारसमक्ष २२ बुँदे माग प्रस्तुत गर्दै धर्म निरपेक्षता खारेज गर्न, संघीयता बारे जनताको प्रत्यक्ष जनमत बुझ्न जनमत संग्रह गर्न, पूर्ण धार्मिक स्वतन्त्रतासहित हिन्दु राष्ट्र घोषणा गर्न माग गरेको छ । फागुन ७ गते प्रजातन्त्र दिवसको अवसर पारेर राप्रपा काठमाडौंसहित देशका सबै जिल्लामा जुलुससहित आफ्ना मागसहितको ज्ञापनपत्र प्रधानमन्त्री, मुख्यमन्त्री र प्रमुख जिल्ला अधिकारीलाई बुझाउने तयारी गरेको अध्यक्ष थापाले जानकारी दिए । राप्रपाले आफ्ना मागका विषयमा फागुन महिनाभर पर्खने र मागहरु सम्बोधन नभए चैत्रको पहिलो साताबाट संघर्षमा उत्रले समेत उनले जानकारी दिए यसैबीचमा राप्रपाले राष्ट्रिय स्वाभिमान यात्रा समेत गर्ने भएको छ । यसअन्तर्गत् फागुन १५ गतेदेखि ३० गतेसम्म पार्टीका विभिन्न पधादिकारीले मेचीदेखि महाकालीसम्म यात्रा गर्नेछन् । २२ बुँदे अल्टिमेटको पूर्णपाठ (१) संविधानमा रहेको 'धर्मनिरपेक्षता' खारेज गरियोस् तथा पूर्ण धार्मिक स्वतन्त्रता सहित नेपाललाई हिन्दुराष्ट्र घोषणा गरियोस् । (२) राजसंस्था सहित सबै राजनीतिक शक्तिहरु अटाउने नेपाली संस्करणको मौलिक प्रजातन्त्र कायम गर्न अविलम्व सर्वपक्षीय गोलमेच सम्मेलन गरियोस् । (३) संघीयता बारे जनताको प्रत्यक्ष अभिमत बुझ्न राष्ट्रिय जनमत संग्रह गरियोस् । (४) देश टुक्र्याउन चाहने विखण्डनकारी तत्वलाई कडाईका साथ नियन्त्रण गरि राष्ट्रिय अखण्डता सुदृढ तुल्याईयोस् । (५) संगठीत रुपमा लोभ लालच देखाएर र भ्रम सिर्जना गरेर जवर्जस्ती धर्म परिवर्तन गराउने कार्य नियन्त्रण गरियोस् तथा धर्म परिवर्तनमा संलग्न गैर सरकारी संस्थाहरुलाई बन्द गरियोस् । (६) वेरोजगारी समस्या समाधानको निमित्त अल्पकालिन तथा दीर्घकालिन कार्ययोजना कार्यान्वयन गरियोस् । यस क्रममाः (क) वर्षमा कम्तिमा पाँच लाख रोजगारी सिर्जना गर्ने गरि दीर्घकालिन आर्थिक विकास योजना संचालन गरियोस् । (ख) कम्तिमा एक परिवार एक रोजगारी कार्यक्रम कार्यान्वन गरियोस् । (ग) रोजगारीको अवसर नपाएकाहरुलाई निश्चित अवधिसम्म वेरोजगार भत्ता उपलव्ध गरियोस् । (७) भ्रष्टाचार नियन्त्रण गर्न प्रभावकारी कदम चालियोस् । यस क्रममाः (क) विदेशमा लुकाएर राखिएका कालोधन देशभित्र ल्याउने, जफत गर्ने, शंकास्पद व्यक्तिहरुको बैंक खाता तत्काल रोक्का गर्ने तथा यस्ता अवैध कारोवार संलग्न व्यक्तिहरुलाई कानुन बमोजिम कार्वाही गर्ने काम तदारुकताका साथ कार्यान्वयन गरियोस् । (ख) सर्वोच्च अदालतको आदेश अनुरुप एनसेलले तिर्नुपर्ने पुंजिगत लाभकर लगायत सबै कर असुली गरियोस् तथा करछली प्रकरणमा संलग्न सबैलाई कानुन बमोजिक कार्वाही गरियोस् । (ग) ३८ क्विण्टल तथा ३३ किलो सुन तस्करीको छानविन गरि दोषीलाई कार्वाही गरियोस् । (घ) विना प्रतिस्पर्धा बुढिगण्डकी जलविद्युत अयोजना निर्माण र सञ्चालनको लागि दिईएको ठेक्का खारेज गरि उक्त आयोजना नेपालले नै निर्माण गरियोस् । (ङ) मेलम्ची खानेपानी आयोजनामा भएको घोटालाको छानविन गरि दोषीलाई कार्वाही गरियोस् । (च) नेपाल वायुसेवा निगमले खरिद गरेको वाईड बडि जहाज खरिदमा भएको अनियमितता र भ्रष्टाचारको छानविन गरि कानुन बमोजिम कार्वाही गरियोस् । (छ) २०४७ साल यताका उच्च पदस्थ व्यक्तिहरुको सम्पतिको छानविन गर्न न्यायिक छानवि आयोग गठन गरियोस् । (ज) राज्यकोषबाट सञ्चालित सबै निकाय र मन्त्रिपरिषदबाट नीतिगत निर्णयको आवरणमा हुने भ्रष्टाचार समेत अख्तियार दुरुपयोग अनुसन्धान आयोगको कार्यक्षेत्रमा समावेश गर्ने । (८) महंगी तथा कालोबजारी नियन्त्रण गर्न प्रभावकारी संरचना र नीति कायम गरियोस् । (९) गौरक्षाको प्रभावकारी कार्ययोजना संचालन गरियोस् । यस क्रममाः (क) कानुनद्वारा दण्डनीय रहेको गौहत्यालाई नियन्त्रण गरियोस । (ख) प्रत्येक गाउँपालिका तथा नगरपालिकामा कम्तिमा एउटा गौशाला निर्माण गरियोस्, (१०) हाल आरक्षणको सुविधाबाट वञ्चित रहेका तर आर्थिक रुपमा विपन्न अन्य जातीय समुहलाई समेत सबै क्षेत्रमा कम्तिमा १० प्रतिशत आरक्षण गरियोस् । (११) दश कक्षासम्म संस्कृत शिक्षा अनिवार्य गरियोस् । (१२) पौष २७ गते पृथ्वी जयन्ती र राष्ट्रिय एकता दिवस, फागुन ७ गते त्रिभुवन जयन्त िर प्रजातन्त्र दिवस राष्ट्रिय पर्वका रुपमा मनाउने तथा कृष्ण जन्माष्टमी र रामनवमीमा सार्वजनिक विदा दिईयोस । (१३) राष्ट्रिय राजस्वबाट तलब खाने कर्मचारी र शिक्षकहरुले पार्टीको सदस्यता लिन नपाउने व्यवस्था गरियोस् । (१४) सबै धर्म र सम्प्रदायका मन्दिर, मठ, गुम्वा, मस्जिद र चर्चको सञ्चालन र व्यवस्थापनमा सरकारी नियन्त्रण अन्त गरियोस् । यस क्रममा पशुपतीनाथ, लुम्बिनी र जानकी मन्दिरको सञ्चालन र व्यवस्थापनको जिम्मेवारी सम्बन्धित धर्म र सम्प्रदायका समुदायलाई तत्काल हस्तान्तरण गरियोस् । (१५) प्रशासन, शैक्षिक संस्था, कुटनितिक नियोग, संवैधानिक अंग जस्ता नियकायहरुलाई राजनीतिक हस्तक्षेप र प्रभावबाट मुक्त राख्ने तथा पार्टीगत आधारमा भागवण्डा, नियुक्ति, सरुवा बढुवा गर्ने कार्य अन्त गरियोस् । (१६) छिमेकी मित्रराष्ट्र भारतसँगको सन् १९५० को शान्ति तथा मैत्री सन्धि प्रतिस्थापन गरि नयाँ सन्धी गरियोस् तथा भारतसँगको खुला सिमा व्यवस्थित र नियमन गरियोस् । (१७) कालापानी, लिपुलेक र सुस्ता लगायतका क्षेत्रमा अतिक्रमित नेपाली भूमी फिर्ता लिन कुटनीतिक पहल गरियोस् । (१८) नागरिकता सम्बन्धि विवाद सधैंका लागि अन्त गर्नः (क) प्रत्येक नेपालीले सहज र सरल ढंगबाट नागरिकता प्रमाणपत्र पाउन सक्ने व्यवस्था कायम गरियोस् । (ख) गैर नेपालीले समेत नेपाली नागरिकता प्रमाणपत्र लिएको सन्दर्भमा छानविन गर्न उच्चस्तरीय न्यायिक आयोग गठन गरियोस् तथा गैर नेपालीले लिएको नागरिकता खारेज गरियोस् । (१९) महिला विरुद्ध हुने सबै प्रकारका हिंसा र विभेद अन्त गर्न सशक्त कदम चालियोस् । (२०) कानुनद्वारा निषेधित सबै प्रकारका जातीय विभेद र छुवाछुत कडाईका साथ कार्यान्वयन गरियोस् तथा जातीय आधारमा मन्दिर प्रवेशमा लगाईएको भेदभावलाई हटाईयोस् । (२१) स्थानीय तहमा लगाएका अव्यवहारिक करहरु तथा तीन तहका सरकारबाट लगाईएका दोहरो कर तत्काल खारेज गरियोस् । (२२) विदेशमा रहेका नेपाली नागरिकहरुले समेत मतदान गर्न पाउने गरि आवश्यक व्यवस्था आगामी आम निर्वाचनबाट सुरु गरियोस् । कमल थापा अध्यक्ष राप्रपा"
"वाइडबडी भ्रष्टाचारविरुद्ध शान्ति समाजको देशव्यापी अभियान","काठमाडौं : मानव अधिकार तथा शान्ति समाजले वाइडबडी विमान खरिदमा भएको भ्रष्टाचारविरुद्ध अभियान सञ्चालन गर्ने भएको छ । मानव अधिकार तथा शान्ति समाजको १३८ औं केन्द्रीय समिति बैठकले वाइडबडी विमान खरिदमा भएको भ्रष्टाचारविरुद्ध अभियानप्रति सरकार उदासिन देखिएको भन्दै समाजले देशव्यापी अभियान सञ्चालन गर्ने निर्णय गरेको हो । यसअघि फागुन ४ गते बिहान शान्ति समाजको एक टोलीले नदी सफाईको नियमित श्रृंखला अन्तर्गत काली गण्डकी किनारस्थित रानी महल परिसर र रानी महल छेउ रहेको कालीगण्डकी नदी सफाई कार्यक्रम समेत संचालन गरेको थियो । सफाईबाट संकलित फोहोर स्थानीय सुरक्षाकर्मीलाई जिम्मा लगाउँदै रानी महल सुरक्षार्थ खटिएका प्रहरीलाई रानी महल परिसरमा फोहोर गर्न नदिन विशेष व्यवस्था मिलाउन आग्रह समेत गरिएको समाजका कार्यक्रम अधिकृत सरिता पौडेलले जानकारी दिइन् । सँगै समाजको आयोजनामा फागुन ४ गते पाल्पाको तानेसेनस्थित टुँडीखेलमा नागरिक सभा सम्पन्न भएको छ । सभामा प्रमुख वक्ताको रुपमा बोल्दै समाजका संस्थापक सभापति कृष्ण पहाडीले देशमा एक पछि अर्को गर्दै अरवौका भ्रष्टाचार प्रकरण देखिदैँ गएको र त्यसविरुद्ध कारबाही गर्न सरकार उदासिनकोप्रति आपत्ति जनाए । उनले भ्रष्टाचार प्रकरणका मुख्य दोषीमाथि कारबाही सुनिश्चित गर्न सामूहिक आन्दोलनको आवश्यक भएको बताए । प्रदेश सभा सांसद बीरबहादुर रानाले शान्ति समाजको भ्रष्टाचारविरुद्धको आन्दोलनमा आफ्नो पूर्ण समर्थन रहेको बताउँदै आफूलाई राजनीतिक दलको ह्वीपले गाँजेको भएता पनि शान्ति समाजलाई कुनैपनि ह्वीपले छेक्न नसक्ने बताए । उनले कुशासन र भ्रष्टाचारका सवालमा निर्धक्कसँग अघि बढ्न सबैलाई आग्रह गरे । नागरिक सभामा मानव अधिकार तथा शान्ति समाजका सभापति उत्तम पुडासैनीले फोहोरको डुंगुरभित्र स्वाभिमान र आत्मसम्मान हराउने खतरातर्फ संकेत गर्दै पाल्पा र कालिगण्डकी नदीमा बढ्दो फोहोरको नियन्त्रणमा पाल्पालीलाई आग्रह गरे । पाल्पा जिल्ला शाखा सभापति नारायण प्रसाद शर्माको सभापतित्वमा सम्पन्न भएको नागरिक सभामा नेकपाका नेता धनेन्द्रराज घिमिरे, राप्रपा पाल्पाका अध्यक्ष रेवन्तबहादुर बिष्ट, शान्ति समाजका वरिष्ठ उपसभापति गोविन्द खनाल, महासचिव सुशील बस्नेत, सचिव कृष्णबहादुर रावल र टेकबहादुर सार्की, केन्द्रीय सदस्य मीना ढकालले मन्तव्य राखेका थिए । कार्यक्रममा प्रेस चौतारी पाल्पाका अध्यक्ष राजेन्द्र लिगल, त्रिभुवन क्याम्पसका सहायक क्याम्पस प्रमुख युवराज पौडेलले समेत सुशासन र नागरिक दायित्व विषयमा मन्तव्य दिए ।"
"चर्किँदै भारतपाक तनाव","नयाँदिल्ली : भारत र पाकिस्तानबीच तनाव बढ्दै गएको छ । ४० भन्दा बढी भारतीय सुरक्षाकर्मी भारत प्रशासित कश्मीरको पुलवामा आतंकवादी आक्रमणमा बिहीवार मारिएपछि उनीहरूबीच तनाव बढेको हो । दिल्ली, नोएडा, चण्डीगढ, जम्मु, इलाहाबाद, लखनउ लगायतका शहरमा पाकिस्तान र आतंकवाद विरुद्ध प्रदर्शन गर्दै दोषीलाई कारबाही गर्न उनीहरूले माग गरेका छन् । उक्त आक्रमणमा पाकिस्तानी हात रहेको भारतको भनाइ छ । भारतले पाकिस्तानलाई दिँदै आएको मस्ट फेभर्ड नेशनको सुविधा शुक्रवार समाप्त गरेको छ । पाकिस्तानबाट आयात गरिने सामानमा भारतले भन्सार बढाएर २ सय प्रतिशत पुयाएको घोषणा गरेको छ । पाकिस्तानले भने आफूलाई भारतले यस्तो जानकारी नदिएको बताएको छ । पाकिस्तानी प्रधानमन्त्री इमरान खानका वाणिज्य सल्लाहकार अब्दुल रजाक दाउद भने, भारतले त्यस्तो सूचीबाट हटाएको हामीलाई जानकारी दिएको छैन । भारतले सन् १९९६ मा पाकिस्तानलाई यस्तो सुविधा दिएको थियो । पाकिस्तानले भने भारतलाई यस्तो दर्जा दिएको छैन । भारतले भन्सार शुल्क बढाए विश्व व्यापार संगठनमा उजुरी गर्ने दाउदले बताए । भारतले पाकिस्तानलाई दिँदै आएको मस्ट फेभर्ड नेशनको सुविधा शुक्रवार समाप्त गरेको छ । पाकिस्तानबाट आयात गरिने सामानमा भारतले भन्सार बढाएर २ सय प्रतिशत पुयाएको घोषणा गरेको छ । पाकिस्तानले भने आफूलाई भारतले यस्तो जानकारी नदिएको बताएको छ । पाकिस्तानी प्रधानमन्त्री इमरान खानका वाणिज्य सल्लाहकार अब्दुल रजाक दाउद भने, भारतले त्यस्तो सूचीबाट हटाएको हामीलाई जानकारी दिएको छैन । भारतले सन् १९९६ मा पाकिस्तानलाई यस्तो सुविधा दिएको थियो । पाकिस्तानले भने भारतलाई यस्तो दर्जा दिएको छैन । भारतले भन्सार शुल्क बढाए विश्व व्यापार संगठनमा उजुरी गर्ने दाउदले बताए । आइतवार भारतीय कलाकारिता क्षेत्रले पनि पाकिस्तानविरोधी कार्यक्रम अघि सारेको छ । कलाकारिता क्षेत्रले काँधमा काँध मिलाएर सुरक्षाकर्मीलाई समर्थन गर्ने बताएका छन् । फिल्मी कलाकारको संगठन आईएफटीडीएले पाकिस्तानी कलाकारसँग काम नगर्ने घोषणा गरेको छ । फिल्म निर्माता अशोक पण्डितले देश सुरक्षित भए मात्र कलाकारिता रहने बता चर्चा गरे । भारतीय चलचित्र नगरी मुम्बईमा पुलवामा मारिएका सैनिकको अन्त्येष्टि कार्यक्रममा वीरेन्द्र सहवाग, हरभजन सिंह, सुरेश रैना र मोहम्मद कैफ जस्ता क्रिकेटर पनि सहभागी थिए । आईएफटीडीएले विज्ञप्ति जारी गर्दै सुरक्षाकर्मीप्रति सम्मान प्रकट गर्न पनि पाक कलाकारसँग सहकार्य नगर्ने स्पष्ट पारेको छ । यसैगरी शोक मनाउन आग्रह गर्दै व्यापारीले सोमवार भारत व्यापार बन्द घोषणा गरेका छन् । व्यापारीको प्रमुख संगठन कन्फेडरेशन अफ आल इन्डिया ट्रेडर्स (क्याट)ले गरेको हो । भन्सार बढेसँगै पाकिस्तानले आफ्ना उत्पादन भारतमा निर्यात गर्न कठिन हुनेछ । सन् २०१७ ।०१८ मा पाकिस्तानबाट भारतले ३४ अर्ब ८२ करोड ३० लाख रुपैयाँ बराबरको सामान निर्यात गरेको थियो । पाकिस्तानले फलफूल, सिमेन्ट, छालाका सामान भारत निर्यात गर्ने गरेको छ । भारतले सन् २०१७ ।०१८ मा ४८ करोड ८५ लाख डलर बराबरको सामान आयात गरेको थियो भने १ अर्ब ९५ करोड डलर बराबरको सामान निर्यात गरेको थियो ।"
"""गिरोनासँग हार्यो रियल मड्रिड","सर्जियो रामोसलाई रेडकार्ड"",काठमाडौँ : क्रिस्टियानो रोनाल्डोले छाडेदेखि लय गुमाएको रियल मड्रिडको खराब यात्रा अझै रोकिएको छैन । स्पेनिस ला लिगा अन्तरगत आइतवार भएको २४ औँ चरणको खेलमा स्पेनिस महारथि रियल मड्रिडलाई रेलिगेसन जोन नजिकै रहेको गिरोनाले २१ गोलले पराजित गरेको छ । घरेलु मैदान सान्टियागो बर्नाबाओमा भएको आइतबार भएको खेलमा पहिलो हाफमा लिएको अग्रता जोगाउन नसक्दा रियल मड्रिड पराजित भएको हो । पराजित रियलका लागि खेलको २५ औँ मिनेटमा क्यासेमिरोले गोल गरेका थिए । पहिलो हाफमा लिएको अग्रता रियलले दोस्रो हाफमा जोगाउन सकेन । डी एरियाभित्र गिरोनाका खेलाडीले हानेको बलले रियलका कप्तान सर्जियो रामोसको हातमा छुन पुगेपछि गिरोनाले पेनाल्टी पायो । यसलाई खेलको ६५ औँ मिनेटमा स्टुयानीले गोल गर्दै खेललाई ११ मा ल्याउन सफल भए । खेलको ७५ औँ मिनेटमा गिरोनाका लागि पोर्टुले गोल गर्दै २१ को अग्रता दिलाउन सफल भए । त्यसपछि खेलको ९० औँ मिनेटमा रामोसले गिरोनाका खेलाडीको अनुहारमा लात्तीले हान्न पुगेपछि रेडकार्ड पाउँदै मैदान छाडे । उनले यसअघि खेलको ६४ औँ मिनेटमा हेन्ड गर्न पुगेपछि पहिलो पहेँलो कार्ड भेट्टाएका थिए । यो हारपछि रियलले लिगमा अगाडि रहेको बार्सिलोनासँग अंकतालिका छोट्याउने अवसर गुमाएको छ । रियलले २४ खेलबाट ४५ अंक बनाएको छ भने समान खेलबाट बार्सिलोनाले ५४ अंक जोडेको छ । दोस्रो स्थानमा रहेको एथ्लेटिको मड्रिडले समान २४ खेलबाटै ४७ अंक जोड्न सफल भएको छ ।"
"योनोज र मन्दिरा पहिलो","भक्तपुर : ललितपुर महानगरपालिकाका योनोज महर्जन र काठमाडौं महानगरपालिकाकी मन्दिरा थापामगर भक्तपुरमा आइतबारदेखि सुरु भएको अन्तरनगर कराते प्रतियोगिताको एकल कातातर्फ पहिलो भएका छन् । भक्तपुर नगरपालिकाद्वारा आयोजित प्रतियोगिताअन्तर्गत पुरुष एकल कातामा काठमाडौंको चन्द्रागिरी नपाका स्वर्णिम मानन्धरलाई हराउँदै योनोज पहिलो भएका हुन् । उक्त स्पर्धामा आयोजक भक्तपुर नपाका सिरिस श्रेष्ठ दाङको तुलसीपुर नपाका विकेश नेपाली संयुक्त तेस्रो भए । त्यस्तै महिला एकल कातामा काठमाडौंकै चन्द्रागिरी नपाकै सञ्जुर देसारलाई हराउँदै काठमाडौं महानगरकी मन्दिरा थापामगर पहिलो भएकी हुन् । उक्त स्वर्पामा मध्यपुर थिमी नपाकी श्रेया रञ्जितकार र पनौती नपाकी सृजना ब्लोन संयुक्त तेस्रो भए । प्रतियोगिताको कुमितेतर्फको ६० केजी पुरुषमा काठमाडौंको नागार्जुन नपाका सुरेश तामाङले काठमाडौं महानगरका अर्जुन बागचन्दलाई हराउँदै पहिलो हुँदै स्वर्ण पदक जिते । उक्त स्पर्धामा भक्तपुर नपाका विशाल सुवाल र चन्द्रागिरी नपाका मनोज सुनुवार संयुक्त तेस्रो भए । महिला ६० केजीतर्फ काठमाडौंकै तारकेश्वर नपाकी शान्ता श्रेष्ठले काभ्रेको पाँचखाल नपाकी निरुपा तामाङलाई पछार्दै स्वर्ण पदक जितिन् । उक्त स्पर्धामा चन्द्रागिरी नपाका महिमा राई र रजिना विष्टले कास्य पदक जितिन् । आइतबार नै भएको कुमितेतर्फको २० केजी महिलामा नागार्जुन नपाकी सन्ध्या महतोले आयोजक भक्तपुर नपाकी पूर्णिमा पौडेललाई पछार्दै पहिलो बनिन् । धनकुटा नपाकी सुप्रिना चौधरी र भक्तपुरको चाँगुनारायण नपाकी करिमा लामा संयुक्त तेस्रो भइन् । २० केजी पुरुषमा पनि नागार्जुन नपाकै सोमेश खड्काले स्वर्ण पदक जिते । उनले काठमाडौंकै चन्द्रागिरी नपाका राकेश मानन्धरलाई पछारेका थिए । उक्त स्पर्धामा आयोजक भक्तपुर नपाका देवराज पाण्डे र सुजल कोण्डा संयुक्त रुपमा तेस्रो भए । त्यस्तै २५ केजी तौल समूहको महिलातर्फ पनि नागार्जुन नपाकी सोनाम शेर्पाले स्वर्ण पदक जितिन् । उनले काभ्रेको पाँचखाल नपाकी वर्षा केसीलाई हराएकी हुन् । उक्त स्पर्धामा गोकर्णेश्वर नपाकी गोमा तामाङ र भक्तपुर नपाकी अंकिता भण्डारीले कास्य पदकमा चित्त बुझाए । २५ केजी तौल समूहको पुरुषतर्फ भने नागार्जुनका सेवेन श्रेष्ठले भक्तपुर नपाका विमलकुमार थापालाई हराउँदै पहिलो भई स्वर्ण पदक जिते । उक्त स्पर्धामा भक्तपुर नपाका विकास लामा र काभ्रेको बनेपा नपाका कुशल लामाले कास्य पदक जिते । सहिद दिवसको अवसरमा आयोजित उक्त प्रतियोगिताको आइतबार नै एक कार्यक्रमबीच नेपाल मजदुर किसान पार्टीका अध्यक्ष नारायणमान बिजुक्छेले उद्घाटन गरेका थिए । उक्त अवसरमा अध्यक्ष बिजुक्छेले खेलकुद क्षेत्रमा हुने भ्रष्टाचार, अनियमितता र नातावाद, कृपावादविरुद्ध खेलाडीहरुलाई सानै बेलादेखि संघर्ष गर्न सिकाउनुपर्ने सुझाव दिए । प्रतियोगितामा देशभरका २३ वटा नगरपालिकाका करिब चार सय पचास खेलाडीहरुको सहभागिता रहेको भक्तपुर नपाकी उपप्रमुख रजनी जोशीले जानकारी दिइन् । प्रतियोगितामा पुरुष तथा महिलाका एकल कातासँगै २० केजी, २५ केजी, ३० केजी, ३५ केजी, ४० केजी, ४५ केजी, ५० केजी, ५५ केजी र ६० केजी गरी दसदस वटा स्वर्ण पदकको लागि स्पर्धा हुने उनले बताइन् । हरेक स्पर्धामा प्रथम हुनेले नगद पाँच हजार, दोस्रो हुनेले तीन हजार र तेस्रो हुनेले एक हजार पाँचसय रुपैयाँ नगद पुरस्कार पाउने आयोजक भक्तपुर नपा युवा तथा खेलकुद समितिका संयोजक श्यामकृष्ण खत्रीले जानकारी दिए । उनका अनुसार प्रतियोगिता फागुन ७ गतेसम्म चल्नेछ ।"
