"शीर्षक","विवरण"
"औधोगिक क्षेत्रको ताला खुल्यो","राजविराज : नियमित विद्युत आपूर्ति, सुरक्षालगायतका ६ बुँदे माग राखी सप्तरीको औद्योगिक क्षेत्रमा उद्योगीले लगाएको तालाबन्दी बुधबार खुलेको छ । दुवै पक्षबीच भएको लिखित प्रतिवद्धता पश्चात रुपनी गाउँपालिकास्थित गजेन्द्रनारायण सिंह औद्योगिक क्षेत्रमा गत सोमबारदेखि लागेको ताला खुलेको हो । सहमतिपछि रुपनी गाउँपालिका अध्यक्ष हरेराम यादव आफैले ताला खोले । गाउँपालिका अध्यक्ष यादव एवम् आन्दोलनरत उद्योगीबीच भएको लिखित प्रतिवद्धतामा भदौ १५ गतेभित्र स्थानीय प्रशासन, राजनीतिक दल, सरोकारवाला, अधिकारकर्मी, सञ्चारकर्मी र नागरिक समाजका प्रतिनिधि राखेर औद्योगिक क्षेत्रको समस्या र समाधानबारे छलफल गरी ठोस निर्णय गर्ने र कार्यान्वयनका लागि काम गर्ने उल्लेख छ । लिखित प्रतिवद्धतापछि आन्दोलन स्थगित गरिएको भन्दै कोशी पोलिमर्स उद्योगका सञ्चालक प्रमेश यादवले समयसिमाभित्र सहमति कार्यान्वयन नभए पुनः आन्दोलन गर्ने चेतावनी दिएका छन् । गत साउन २९ गते उद्योगीहरुले औद्योगिक क्षेत्रको उचित व्यवस्थापनको माग गर्दै औद्योगिक क्षेत्र व्यवस्थापन कार्यालयका प्रमुख दिपकराज आचार्यमार्फत् महाप्रबन्धकलाई ज्ञापन पत्र बुझाएका थिए । उद्योगीले नियमित विद्युत आपूर्तिका लागि छुट्टै फिडरको व्यवस्था, गत वर्ष बाढीले भत्काएको पर्खाल निर्माण, सामान्य वर्षामा पनि औद्यौगिक क्षेत्र डुवानमा पर्ने समस्या सामाधान, पानीका लागि बोरिङ्गको व्यवस्था, औद्योगिक सुरक्षा बलको व्यवस्था तथा उद्योगमा बाढी पसेर उपकरणहरुमा भएको क्षतिको यकिन गरी क्षतिपूर्तिको व्यवस्था गर्नुपर्ने माग गरेका छन् ।"
"ताप्लेजुङमा अर्की किशोरीमाथि सामूहिक बलात्कार","ताप्लेजुङ : ताप्लेजुङमा बलात्कारको अर्को घटना सार्वजनिक भएको छ । मैवाखोला गाउँपालिकामा एक किशोरीलाई भदौ ४ गते दुईजनाले बलात्कार गरेका हुन् । किशोरीलाई घर नजिकको कोदोबारीमा बलात्कार गरेको घटना सार्वजनिक भएको हो । १७ वर्षीया किशोरीलाई बलात्कार गरेको आरोपमा त्यही गाउँपालिका५ का २३ वर्षीय कमल लिम्बूलाई प्रहरीले बुधबार पक्राउन गरेको छ । अर्का आरोपित २० वर्षीय सुनम थोप्रा फरार रहेका छन् । फरार अभियुक्तको खोजी भइरहेको ताप्लेजुङका प्रहरी प्रमुख ज्ञानेन्द्रबहादुर बस्नेतले जानकारी दिए । पीडितका बाबुले प्रहरी कार्यालयमा दिएको उजुरीका आधारमा एकजना आरोपितलाई पक्राउ गरिएको बस्नेतले बताए ।"
"महिला भएकै कारण जागिर गयो","भद्रपुर : ८ वर्षदेखि राष्ट्रिय अनुसन्धान जिल्ला कार्यालय, झापामा सहयोगीको रूपमा कार्यरत एक महिलालाई महिला भएकै आधारमा जागिरबाट बर्खास्त गरिएको छ । कार्यालय प्रमुखका रूपमा नगेन्द्र दाहालले आउने बित्तिकै आफूलाई महिला सहयोगी कर्मचारी नचाहिने भन्दै उमादेवी बानियाँलाई बर्खास्त गरेका हुन् । प्रहरी उपरीक्षक दाहालले कार्यालय प्रवेश गरेकै दिन आफ्नो कुर्सीमा बस्न नभ्याउँदै खोइ को हो कार्यालय सहयोगी ? भनी बोलाएका थिए । उनी भित्र गएपछि दाहाललाई उद्धृत गर्दै बानियाँले भनिन्, ए ल मलाई महिला कार्यालय सहयोगी हुँदैन, चिसो तातो खान मलाई असहज पर्छ, करार अवधि पनि सकिएको रहेछ अब जानोस् । ८ वर्षदेखि कार्यरत उनलाई भोलिपल्ट कार्यालयमा जाँदा ढोकाबाट भित्र छिर्न दिइएन । उनको करार अवधि ६६ महिनामा सकिने र फेरि थपिने गरिँदै आएको थियो । ०६८ साल पुस १६ गतेदेखि करारमा कार्यालय सहयोगीको काम गर्दै आएकी ४२ वर्षीय उमादेवी बानियाँले ६ जना एसपीको कार्यकाल सम्हालिसकेकी थिइन् । मासिक ६ हजार बाट जागिर सुरु गरेकी उमाको अहिले महिनाको १६ हजार रुपैयाँ तलब पुगेको थियो । ६ जना हाकिम सापहरू फेरिनुभो, कसैले पनि कहिल्यै ढिलो आइस्, यो काम राम्रो भएन भनेर गुनासो गर्नुभएन, उनले भनिन्, अहिले करार अवधि थप गर्ने दिन आएर महिला भएकै नाताले मेरा बच्चाको खाने गाँससँगै परिवारको खुसी खोसियो । उमाका पति जुडोका पूर्वराष्ट्रिय खेलाडी हुन् । दुई छोरीको भविष्य पनि उमाकै कमाइबाट निर्धारित थियो । ठूली छोरी ११ र सानी छोरी अहिले ९ कक्षामा पढ्दै छन् । छोरीहरूको पढाइदेखि घर खर्च र घर भाडाको जिम्मेवारी सबै उमाको टाउकोमा छ । उमाका पतिको पनि आयको कुनै स्रोत छैन । यसबारेमा एसपी नगेन्द्र दाहालले करारको जागिरको समय सकिएपछि जागिर गएको बुझ्नुपर्ने बताए । पहिलेको साथीहरू परिवारसँग हुनुहुन्थ्यो अहिले म एक्लै छु त्यसैले पनि महिला सहयोगी म राख्दिनँ, उनले भने । दाहालले उमाको ठाउँमा सुनसरीका अर्का कार्यालय सहयोगी ल्याएका छन् । सरकारले दरबन्दी नै खारेज गरेको हकमा करारका कर्मचारीलाई निकाल्ने अधिकार कार्यालय प्रमुखलाई छ । तर दरबन्दी रहेको र काम गरिराखेको मान्छेलाई बिनाकारण निकालेर उक्त ठाउँमा आफ्नो मान्छेलाई राख्नु श्रमको अन्तर्राष्ट्रिय कानुनविपरीत हो । त्यसो त ७५ वटा जिल्लाका राष्ट्रिय अनुसन्धानका जिल्ला कार्यालयमा १ जना कार्यालय सहयोगी अनिवार्य खटाइएकै छ ।"
"मध्य मेवाको विद्युत् खरिद सम्झौता","काठमाडौं : विद्युत् प्राधिकरण र मेवा डेभलपर्स प्रालिबीच ४९ मेगावाटको मध्य मेवा जलविद्युत् आयोजनाको विद्युत् खरिद सम्झौता (पीपीए) भएको छ । मध्य मेवाले प्राधिकरणको प्रणालीमा विद्युत्को उच्चतम माग भएका बेला (पिक) दैनिक ६ घण्टा विद्युत् ऊर्जा उत्पादन गर्नेछ । पीपीएमा प्राधिकरणका तर्पबाट कार्यकारी निर्देशक कुलमान घिसिङ र मेवा डेभलपर्सका तर्पबाट प्रवद्र्धक तथा ऊर्जाविद् भानु पोखरेलले हस्ताक्षर गरेका छन् । विद्युत् विकास विभागले सर्वेक्षण अनुमतिपत्र जारी गरेको २० महिनाभित्र यो आयोजनाको पीपीए भएको हो । ताप्लेजुङमा पर्ने यो आयोजनाबाट उत्पादित बिजुली त्यहाँको ढुंगेसाँघु सवस्टेसनमार्पत कोसी कोरिडरमा जोडिनेछ । प्राधिकरणको कोसी कोरिडर प्रसारण लाइन (२२० केभी) को निर्माण कार्य तीव्र पारेको छ । सम्झौताअनुसार मेवाको बिजुली ६ घण्टासम्मको सुक्खायामको पिकका लागि प्रतियुनिट १० रुपैयाँ ५५ पैसा, सुक्खायामकै सामान्य समय (अफ पिक) का लागि प्रतियुनिट ८ रुपैयाँ ४० पैसा र वर्षायाममा प्रतियुनिट ४ रुपैयाँ ८० पैसामा खरिद गर्नेछ । मध्य मेवाले सुक्खायाममा नौ करोड ३० लाख युनिट र वर्षायाममा १९ करोड ७८ लाख युनिट बिजुली उत्पादन गर्नेछ । मध्य मेवाको पीपीए टेक अर पे (उत्पादित बिजुलीको भुक्तानी निश्चित गरिएको) मा भएको हो । मेवा डेभलपर्स ऊर्जा डेभलपर्सको ग्रुप कम्पनी हो । ऊर्जा डेभलपर्स प्रतिष्ठित व्यापारिक समूह सीई ग्रुपका अध्यक्ष विजयबहादुर राजभण्डारी, प्रवद्र्धक तथा ऊर्जाविद् भानु पोखरेल र ऊर्जा नीति विज्ञ मोहनदास मानन्धरको रणनीतिक साझेदारीमा स्थापित कम्पनी भएको यसका अध्यक्ष राजभण्डारीले बताए । मेवा डेभलपर्स ऊर्जा डेभलपर्सको सहायक कम्पनी हो । सीईका संस्थापक अध्यक्ष तथा प्रबन्ध निर्देशक राजभण्डारी ऊर्जा डेभलपर्सका पनि अध्यक्ष हुन् । एक वर्षभित्र मुख्य संरचना निर्माण सुरु गरी साढे चार वर्षभित्र आयोजना सम्पन्न हुनेछ । हाल यो आयोजनाको विस्तृत इन्जिनियरिङ अध्ययन भइरहेको छ । विजयबहादुर राजभण्डारी, अध्यक्ष, सीई ग्रुप । अध्यक्ष राजभण्डारीका अनुसार एक वर्षभित्र मुख्य संरचना निर्माण सुरु गरी साढे चार वर्षभित्र आयोजना सम्पन्न हुनेछ । हाल यो आयोजनाको विस्तृत इन्जिनियरिङ अध्ययन भइरहेको छ । जलस्रोतको दिगो विकास गरी उल्लेखनीय योगदान गर्ने उद्देश्यले स्थापित ऊर्जा डेभलपर्स समूहको ग्रुप कम्पनी मेवा डेभलपर्स हो । ऊर्जा समूह अन्तर्गत दुई सय २० मेगावाटभन्दा बढीका ६ वटा जलविद्युत् आयोजना निर्माणको विभिन्न चरणमा रहेको जानकारी राजभण्डारीले दिए । ऊर्जा डेभपलपर्सले अघि बढाएका आयोजनामा एक सय ११ मेगावाटका दूधकोसी९, निर्माण कार्य सुरु भइसकेको इलामस्थित साढे नौ मेगावाटको माइबेनीलगायत छन् । दूधकोसी९ को विस्तृत अध्ययन भइरहेको छ, राजभण्डारीले अन्नपूर्णसित भने, अहिले पीपीए भएको मध्य मेवा निजी क्षेत्रबाट निर्माण भएको दोस्रो ठूलो पिकिङ इनर्जी भएको सबैभन्दा ठूलो आयोजना हो । राजभण्डारीका अनुसार ऊर्जा डेभलपर्समा सीई ग्रूपले अढाइ दशकदेखि हासिल गरेको दक्षतालाई उपयोग गरी जलविद्युत् क्षेत्रमा न्यूनतम समय, प्रतिस्पर्धी लागत र उच्च गुणस्तरयुक्त तवरले जलविद्युत् आयोजना निर्माण गरी उदाहरणीय कार्य गर्ने लक्ष्य छ । सीई कन्स्ट्रक्सन सिभिल, हाइड्रोमेकानिकल, निर्माण व्यवस्थापन र वित्तीय व्यवस्थापन गर्न सक्ने दक्षता र आर्थिक क्षमतायुक्त प्रतिष्ठित निजी व्यावसायिक प्रतिष्ठान हो । सीई कन्स्ट्रक्सनको रणनीतिक उद्यमका रूपमा जलविद्युत् आयोजना निर्माण गर्दै जानेछौं, राजभण्डारीले भने । यो समूहमा जापानको प्रतिष्ठित कम्पनी तोसिबासमेत प्रविधि साझेदार छ । इलेक्ट्रोमेकानिकल का उपकरणको पछिल्लो प्रविधि उपयोग गर्न जापानको तोसिबा टीपीएससीसँग प्राविधिक साझेदारी गरिएको राजभण्डारीले बताए । प्राधिकरणका प्रवक्ता प्रबल अधिकारीका अनुसार मध्य मेवासहित प्राधिकरणले हालसम्म सात सय २१ मेगावाटको पिकिङ (अर्धजलाशययुक्त) पीपीए गरेको छ । यसमध्ये चिलिमे (२२१ मेगावाट) सञ्चालनमा छ । माथिल्लो साञ्जेन (१४८ मेगावाट), सान्जेन (४२५ मेगावाट), माथिल्लो तामाकोसी (४५६ मेगावाट), काबेली ए (३७६ मेगावाट), लाप्चे खोला (९९४ मेगावाट) निर्माणाधीन छन् । प्राधिकरणले दुई हजार मेगावाटसम्म पिकिङ पीपीए कोटा तय गरेको छ ।"
"मधेसमा मार्क्सवाद","वीरगञ्ज : मधेसको राजनीतिक विचार र समाज परिवर्तनमा माक्र्सवादले छिट्टै भुइँचालो ल्याउने नेपाल कम्युनिस्ट पार्टी (नेकपा) का नेताहरूले उद्घोष गरेका छन् । माक्र्सवादका पवर्तक काल माक्र्स जन्मिएको दुई सय वर्ष पूरा भएको अवसरमा कार्ल माक्र्स जन्म द्विशतवार्षिकी समारोह समितिले वीरगन्जमा बुधबारदेखि आयोजना गरेको मधेसमा माक्र्सवाद विषयक प्रदेश २ स्तरीय दुईदिने विचार गोष्ठीमा सहभागी नेकपा नेताले भने, मधेसमा माक्र्सवादले अब एउटा कम्पन्न सिर्जना गर्दै छ, यदि तपाईं हामी थाकेनौं भने माक्र्सवादले मधेसमा छिट्टै ठूलो भुइँचालो ल्याउँदै छ । मधेसमा मतको हिसाबले सबैभन्दा ठूलो दल नेकपा नै रहे पनि मधेसवाद हाबी रहेको भन्दै नेकपा नेताहरूले अब मधेसमा रहेका उपेन्द्रवाद, महन्थवाद र राजेन्द्रवादलाइ परास्त र समाप्त गर्ने उदेश्यले नै माक्र्सवादको अभियान थालिएको बताए । तराई मधेसमा कम्युनिस्टले भोग्दै र खेप्दै आएका समस्या र चुनौती सामना गर्न सक्ने क्षमता माक्र्सवादसँग मात्र रहेको भन्दै उनीहरूले मुलुकमा सबैभन्दा बढी माक्र्सवादको आवश्यकता प्रदेश २ मै रहेको बताए । गोष्ठीको उद्घाटन गर्दै नेकपा वरिष्ठ नेता एंव पूर्वप्रधानमन्त्री झलनाथ खनालले प्रदेश २ माक्र्सवादको लागि सबभन्दा उर्वर भूमि भएको बताए । माक्र्सवादको अझ गहन अध्ययन गरेर प्रदेश २ मा नेकपाको प्रभाव बढाउने दिशामा लाग्न पार्टीका नेता कार्यकर्ताहरूलाई आग्रह गर्दै उनले भने, कम्युनिस्ट पार्टीका नेता कार्यकर्ता एकजुट भएर अगाडि बढ्ने हो भने आगामी निर्वाचनमा प्रदेश २ का साथै मुलुकमै नेकपा एक्लैले दुई तिहाइ मत ल्याउने पक्का छ तर यसका लागि हाम्रा यहाँका साथीले माक्र्सवादको अझ गहन किसिमले अध्ययन गर्न पनि जरुरी छ । विभिन्न आन्दोलनबाट प्राप्त राजनीतिक परिवर्तनका उपलब्धिलाई संस्थागत गर्न माक्र्सवाद नै एक मात्र मार्गदर्शक विचार भएको खनालले बताए । उनले विगतमा भएका असमान सन्धि, सम्झौतामाथि पुनःविचार हुनेपर्ने विचार राखे । साथै उनले अहिले मुलुकको राष्ट्रियता कमजोर भएकाले यसलाई मजबुत बनाउन केन्द्र र प्रान्तीय सरकार लाग्नुपर्ने बताए । उद्घाटन समारोहमा नेकपाका स्थायी समिति सदस्य एंव कार्लमाक्र्स जन्म द्विशतवार्षिकी समारोह समितिका संयोजक घनश्याम भुसालले मधेसमा माक्र्सवादको धेरै ठूलो महत्व र अर्थ रहेको बताए । मधेसमा अहिले पनि विभेद, अशिक्षा, गरिबी, अनेक सामाजिक कुप्रथा, विकृति र विसंगति विद्यमान छन्, भुसालले भने , ती सबैलाई समाप्त पार्न माक्र्सवादको विचार नै एक मात्र अचुक विकल्प हो । त्यसैले मधेसमा माक्र्सवादको सबैभन्दा बढी जरुरी छ । मान्छेलाई साच्चिकै मान्छे बनाउने विचार भनेकै माक्र्सवाद हो । त्यसैले राम्रा मान्छेहरूको संसार बनाउने हो भने माक्र्सवादको विकल्प छैन, भुुसालले भने, मधेसमा विद्यमान विभेद, विकृति, कुप्रथा, पछौटेपन, गरिबी, चाकरी इत्यादि हटाउने अचुक अस्त्र भनेकै माक्सवार्द हो, त्यसैले माक्र्सवादको आवश्यकता सबैभन्दा बढी प्रदेश २ मा छ । नेकपाका केन्द्रीय सदस्य एंव प्रदेश २ का कार्यदल सदस्य नागेन्द्र चौधरीले अबको चार वर्षपछि हुने प्रादेशिक निर्वाचनमा प्रदेश २ मा पनि नेकपाको सरकार बनाउने लक्ष्य लिएर अगाडि बढेको र त्यसका लागि प्रदेश २ मा अहिलेदेखि नै माक्र्सवादको अभियान थालिएको बताए । आज साँझसम्म चल्ने गोष्ठीमा सहभागी नेकपा नेता र कार्यकर्तालाई नेकपाका नेताहरू मोहनविक्रम सिंह, घनश्याम भुसाल, राम कार्की, डा विजय पौडेल, गणेश साह, रामचन्द्र झा, ठाकुर गैरेलगायतले मधेसमा वर्ग संघर्ष र पहिचान तथा माक्र्सवादका विषयमा गोष्ठीमा सहभागी नेकपाका नेता र कार्यकर्ताहरूलाइ प्रशिक्षण दिइरहेका छन् । गोष्ठीमा प्रदेश २ का आठै जिल्लाका नेकपाका अध्यक्ष, स्थायी कमिटी सदस्य, केन्द्रीय सदस्य, नेकपाका विधार्थी र युवा संघ तथा भ्रातृ तथा शुभेच्छुक संघसंगठनका जिल्लास्तरका अगुवा नेता कार्यकर्ताको सहभागिता छ ।"
"कपाल कोर्न नमान्दा नाबालक छोरीको हत्या","झापा : झापा एक आमाले कपाल कोर्न नमानेको भन्दै नाबालक छोरीको हत्या गरेकी छन् । बिर्तामोड नगरपालिका५ सुब्बा चोक बस्ने २७ वर्षीया हेमन्ता कुरुम्बाङ लिम्बूले छोरीलाई कुटपिट गरी ज्यान लिएकी हुन् । आठ वर्षीया छोरीलाई स्कुल पठाउने क्रममा कपाल कोर्न नमानेको भन्दै लिम्बूले लाठीले कुटपिट गरेकी थिइन् । हेमन्ताले लाठीले कुटपिट गर्दा गम्भीर घाइते भएकी ८ वर्षीया छोरी सफल्ता कुरुम्बाङ लिम्बूको बिर्तासिटी अस्पतालमा उपचारका क्रममा बुधबार मृत्यु भएको छ । घटनाबारे प्रहरीले आवश्यक अनुसन्धान भइरहेको जनाएको छ ।"
"कोजीलाई हटाइयो : राष्ट्रिय फुटबल टिमको जिम्मा बालगोपाललाई","काठमाडौं : अखिल नेपाल फुटबल संघ (एन्फा) ले राष्ट्रिय फुटबल टिमको मुख्य प्रशिक्षक ग्यातुकी कोजीलाई जिम्मेवारीबाट हटाएको छ । मंगलबार बसेको एन्फाको बैठकले जापानी नागरिक कोजीलाई हटाएर उनको स्थानमा बालगोपाल मर्हजनलाई जिम्मेवारी दिएको हो । श्रम स्वीकृतिबिनै सन् २०१६ देखि प्रशिक्षकको रुपमा काम गर्दै आएका कोजीलाई अध्यागमन विभागले हालै नेपाल प्रवेशमा रोक लगाएको थियो । तर, एन्फाले कोजीलाई इन्डोनेसियामा भएको एसियाली खेलकुद (एसियाड) को प्रशिक्षक बनाएर टोलीको तयारीका लागि थाइल्यान्ड हुँदै इन्डोनेसिया लगेको थियो । कोजीलाई अध्यागमन विभागले नेपाल प्रवेशमा रोक लगाएपछि एन्फाले बंगलादेशमा आयोजना हुने आसन्न साफ च्याम्पियनसिप फुटबललाई मध्यनजर गरी बालगोपाललाई प्रशिक्षक बनाएको हो । कोजीको नेपाल प्रवेशमा भिषा समस्या भएका कारण उनलाई प्रशिक्षको जिम्मेवारीबाट अलग गरिएको हो । साफ च्याम्पियनसिपको तयारीसहित प्रतियोगिताका लागि हामीले सहायक प्रशिक्षक बालगोपाललाई कार्यवाहक प्रशिक्षक बनाउने निर्णय गरेका हौं, एन्फाका प्रवक्ता किरन राईले भने । एसियाडमा नेपाल समूह चरणबाटै बाहिरिएको थियो । एसियाडमा समूह नेपालले समूह डी बाट प्रतिस्पर्धा गरेको थियो । नेपाल समूहको पहिलो खेलमा जापानसँग १०, दोस्रो खेलमा भियतनामसँग २० र तेस्रो खेलमा पाकिस्तानसँग २१ गोलले पराजित भएको थियो । एन्फाले कोजीलई राष्ट्रिय फुटबल टोली समाल्न २०७२ फागुनमा दुई वर्षका लागि मुख्य प्रशिक्षकमा नियुक्त गरेको थियो । एन्फाले गत फागुनमा मात्र कोजीसँग साफ च्यानम्पियनसिप जिताउने गरी उनको नविकरण समेत गरेको थियो । कोजीको नयाँ अनुबन्धन आगामी नोभेम्बरसम्म थियो । तर, पर्यटक भिषामा नेपालमा बस्दै आएको र श्रम स्वीकृति बिना नेपालमा काम गर्दै आएको देखिएपछि अध्यागमन विभागले दुई साताअघि मात्र कोजीलाई सन् २०१८ सम्म नेपाल प्रवेशमा रोक लगाएको थियो । कोजीलाई श्रम स्वीकृति नगराइनुमा एन्फाको ठूलो कमजोरी थियो । कोजीको नेतृत्वमा नेपालले एएफसी सोलिडारिटी कपको उपाधि जितेको थियो ।"
"यस्तो पनि बिहे : दुलही भित्रिएपछि घरै खाली गरेर भागे","दुलाहा, सासुले घर छोडेपछि दुलहीको बिचल्ली राजविराज : बिहेको तीन वर्षसम्म दुलहाले दुलही भित्र्याउन आनाकानी गरेपछि जनप्रतिनिधि, अधिकारकर्मी, प्रहरी र नागरिक समाजका अगुवाले दुलहीलाई घर प्रवेश गराएका छन् । सप्तरीको राजविराज नगरपालिका७ का छोटु भनिने राजीव दासकी श्रीमती २५ वर्षीया कविताकुमारी साहलाई राजविराज नगरपालिकाकी उपप्रमुख साधना झा, इन्स्पेक्टर सुजता तुम्बाहाम्फे, राजनीतिक दलका नेता, अधिकारकर्मी र नागरिक समाजको पहलमा मंगलबार साँझ घर भित्र्याएका हुन् । राजविराज नगरपालिकाको न्यायिक समितिबाट मंगलबार साहलाई पत्नी, बुहारीको हैसियतमा घरमा बस्न, खान, लाउन, शिष्ट व्यवहार गर्न तथा गालीगलौज, कुटपिट नगर्न भनी अन्तरिम संरक्षणात्मक आदेश जारी भएपछि उनलाई घर भित्र्याइएको हो । पटकपटक घर भित्र्याउने समय दिँदै आएका राजीवले तीन वर्षसम्म दुलही बनाएर घर लान आनाकानी गरेपछि घरपरिवारको असहमतिम दुलहीलाई घर प्रवेश गराइएको हो । लक्ष्मी आयुर्वेदिक औषधि पसल सञ्चालन गरी बसेका दास परिवारले दुलही भित्र्याउन अस्वीकार गरेपछि पछिल्लो समय दबाबमा परेका राजीब घर छाडेर सम्पर्क बाहिर छन् । तीन वर्षअघि प्रेमविवाह गरेका साह र दासले सप्तरी जिल्ला अदालतबाट ०७२ पुस २४ गते पतिपत्नीको नाताकायम समेत गरेका छन् । युवतीले सासु ५५ वर्षीय मन्जुदेवी साह र जेठाजु ३५ वर्षीय पंकज साहले ०७४ चैत २४ गते कुटपिट गरी घरनिकाला गरेको भन्दै पीडितले राजविराज नगरपालिकाको न्यायिक समितिमा गत वैशाखमा उजुरी दिएकी थिइन् । आरोपित पंकज र मन्जुले भने विवाह भएको जानकारी आफूलाई नभएको र पीडितलाई घरमा राख्न आफू तयार नभएको बताउँदै आएका छन् । न्यायिक समितिका संयोजक एवं उपप्रमुख झा, अधिकारकर्मी र नागरिक समाजले मंगलबार राति १० बजेसम्म युवतीका सासु र जेठाजुलाई सम्झाए पनि बुहारी स्वीकार्न तयार नभएको वडाध्यक्ष समीर झाले बताए । बुहारी स्वीकार गर्न तयार नभएका सासू र जेठाजु राति कवितालाई घरमा छोडेर बाहिरिएका छन् । उनीहरुलाई सहमतिमा ल्याउन बुधबार दिनभरी जिल्ला प्रहरी कार्यालयमा छलफल भए पनि सहमति नजुटेको डीएसपी भावेश रिमालले बताए ।"
"बलात्कारपछि निर्मला हत्याकाण्ड : एसएसपी चन्द कञ्चनपुरमा खटाइए","महेन्द्रनगर : बलात्कारपछि हत्या गरिएकी बालिका निर्मलाको हत्या आरोपमा प्रहरीले अभियुक्त सार्वजनिक गरेपछि चर्केको आन्दोलन उग्र बनिरहँदा ७ नम्बर प्रदेश प्रहरीले एसएसपी विक्रमबहादुर चन्दलाई कञ्चनपुर पठाएको छ । ७ नं प्रदेश प्रहरी कार्यालयका प्रमुख प्रहरी नायव महानिरीक्षक सुरज केसीले आन्दोलन उग्र बन्दै गएपछि शान्ति सुरक्षा कायम गर्न एसएसपी चन्दलाई पठाइएको बताए । त्यहाँको आन्दोलन उग्र बन्दै गएपछि अवस्था सामान्य पार्न एसएसपी खटाइएको हो उनले भने, एसएसपी साबले त्यहाँ सहजीकरण गर्दै अनुसन्धानबारे पनि वास्तविक अध्ययन गर्नुहुनेछ । उनले प्रहरीको केन्द्रीय अनुसन्धान ब्यूरो र जिल्ला प्रहरी कार्यालयले नै अनुसन्धान गरिरहेको भन्दै एसएसपीले थप अनुसन्धानमा सहयोग गर्ने बताए । डीआईजी केसीले जिम्मेवारीसहित एसएसपी खटाएपछि अब निर्मला पन्त हत्याकाण्डको अहिलेसम्म भएको अनुसन्धानको वास्तविकता र बाँकी प्रक्रिया उनले नै हेर्ने छन् । कञ्चनपुरका एसपी डिल्लीराज विष्टले शान्ति सुरक्षा कायम गर्न नसकेकाले एसएसपी खटाइएको हो भन्ने प्रश्नमा उनले त्यसो नभएको दाबी गरे । तर प्रहरी स्रोतका अनुसार एसपी विस्टको सरुवा हुनुपर्ने र उनको अनुसन्धान सही ढंगबाट नभएको भन्दै आन्दोलन चर्किएपछि तत्कालका लागि एसएसपी खटाइएको हो । बलात्कारपछि निर्मला हत्याकाण्डमा अहिलेसम्म भएको अनुसन्धान र अबको छानबिनको सम्पूर्ण जिम्मेवारी एसएसपी चन्दले लिने प्रहरी स्रोतले जनाएको छ । नेपाल प्रहरीका प्रवक्ता एसएसपी शैलेश थापाले एसएसपी चन्दलाई अनुसन्धान प्रभावकारी बनाउनका लागि पठाइएको बताए । उनले कन्चनपुरका एसपी विस्ट त्यहीँ यथावत रहने पनि जानकारी दिएका छन् । ७ नं प्रदेश प्रहरी कार्यालय अन्र्तगत दिपायलमा रहेका एसएसपी चन्दलाई बुधवार नै डीआईजी सुरज केसीले कञ्चनपुरको कमाण्ड सम्हाल्न निर्देशन दिएपछि महेन्द्रनगरका लागि हिँडेका छन् । उनले बिहीवारदेखि कमाण्ड सम्हाल्ने भएका छन् । बालिका निर्मला पन्तका हत्या अभियुक्त सार्वजनिक भेनाजुका हत्यारा थिए बलात्कारपछि निर्मलाको ज्यान लिने दिलिपसिंह"
