"शीर्षक","विवरण"
"स्वीजरल्याण्डको बीपीसीसँग आइमार्कको सहकार्य","काठमाडौँ : नेपालको व्यापार भुक्तानीका समग्र क्षेत्रलाई विद्युतीय प्रणालीमार्फत सहज बनाउन स्वीजरल्याण्डस्थित बीपीसी बैंकिङ टेक्नोलोजीलीसँग आइमार्कले सहकार्य गरेको छ । बैंकिङ कार्ड प्रणालीलाई डिजिटल प्रणालीमा परिवर्तन गर्न बीपीसीसँगको सहकार्यमा आइमार्कले नेपालमा स्मार्ट भिस्टा स्विच सार्वजनिक गरेको छ । स्मार्ट भिस्टा ले विश्वका कयौँ बैंक तथा वित्तीय संस्थाहरुको कार्ड प्रणालीलाई डिजिटल प्रणालीमा रुपान्तरण गरिसकेको छ । मंगलबार राजधानीमा आयोजित एक कार्यक्रममा बीपीसी बैंकिङ टेक्नोलोजीका उपाध्यक्ष तथा एशिया प्यासेफिकका प्रबन्ध निर्देशक राजन एस नारायणले त्यस प्रविधिबारे जानकारी गराए । स्मार्ट भिस्टाले अहिलेको समाजलाई क्यास लेस समाजमा रुपान्तरण गर्न महत्वपूर्ण भुमिका खेल्छ, उनले भने । उनका अनुसार समग्र क्षेत्रका संस्थाहरु डिजिटल बैंकिङ प्रणालीमा आवद्ध भएर लाभान्वित हुन सक्नेछन् । यसले ब्यापार र समग्र क्षेत्रको भुक्तानीलाई सहज बनाउनेछ । बीपीसी बैंकिङ टेक्नोलोजीको स्थापना सन् १९९५ मा भएको हो । जसको नेपाल साझेदारका रुपमा सन २००७ मा स्थापना भएको आइमार्क रहेको छ । जसले हालसम्म नेपालका करिब ७० प्रतिशत बैंक तथा वित्तीय संस्थाहरुलाई विविध रुपमा क्यास लेस सोसाइटीको निमार्णमा सहजीकरण गर्दै आएको छ । बीपीसी बैंकिङ टेक्नोलोजीको स्मार्ट भिस्टा एटिएम स्वीच विश्वका ७३ भन्दा बढी देशका दुई सय भन्दा बढी बैंक तथा वित्तीय संस्थाहरुले प्रयोग गर्दै आईरहेका छन् । सो अवसरमा आइमार्क प्रालिका प्रबन्ध निर्देशक रामप्रसाद ढुंगानाले विश्वसनीय भुक्तानी माध्यमका रुपमा सेवा दिन र सेवा पछि पनि बलियो सम्बन्ध विस्तारका लागि आइमार्क कटिवद्ध रहेको बताए । आइमार्कले नेपालको बैंकिङ क्षेत्रलाई डिजिटलाइज गराउन विगत एघार बर्षदेखि एक दर्जन बढी वाणिज्य बैंकहरुसँग सहकार्य गर्दै आईरहेको छ । आइमार्क भुक्तानीको माध्यम मात्र नभई बैंकिङ क्षेत्रको समग्र प्राविधिक भुक्तानीको अन्वेषक पनि हो ।"
"कोपको विश्वसम्मेलनमा नेपालको मुख्य मुद्दा जलवायु परिवर्तन","काठमाडौँ : नेपालले आगामी ३ डिसेम्बरबाट पोल्याण्डमा हुने संयुक्त राष्ट्रसंघीय जलवायु परिवर्तनसम्बन्धी विश्व सम्मेलन (कोप) मा जलवायु परिवर्तनमा न्यून भूमिका भएका र त्यसको मारबाट बढी प्रभावित मुलुकको हितमा आफ्ना एजेण्डा अघि सार्ने भएको छ । नेपालजस्तै लजवायु परिवर्तनमा न्यून भूमिका भएका तर, त्यसबाट अतिप्रभावित तेश्रो विश्वका मुलुकको हितमा नेपालले विषय उठाउने वन तथा वातावरणमन्त्री शक्तिबहादुर बस्नेतले जानकारी दिए । कोपमा यो वर्ष नेपालबाट राष्ट्रपति विद्यादेवी भण्डारीको नेतृत्वमा मन्त्री बस्नेतसहितको उच्चस्तरीय प्रतिनिधिमण्डल सहभागी हुँदैछ । हामी कोपमा वातावरणीय परिवर्तनमा नगन्य भूमिका भएका तर, त्यसको असरबाट अतिप्रभावित विश्वका अन्य मुलुकसँग कसरी सहकार्य गर्न सकिन्छ भन्नेबारेको एजेण्डालाई छलफलमा लाँदैछौं, संयुक्त राज्य बेलायतको अन्तर्राष्ट्रिय विकास विभाग डिएफआइडीको प्रतिनिधिमण्डलसँग बुधबार मन्त्रालयमा भएको भेटमा मन्त्री बस्नेतले भने, जलवायु परिवर्तनमा जसको बढी भूमिका छ, ती राष्ट्रहरु नेपालजस्ता समस्या सिर्जना गर्नमा कम भूमिका भएका वा भूमिकै नभएका मुलुकको हितमा गम्भीर बन्नुपर्छ । उनले जलवायु परिवर्तनमा आफ्नो भूमिका बढी भएको तथ्य स्वीकार गर्दै विकसित र धनी मुलुकहरुले त्यसबाट अधिकतम प्रभावित गरिब मुलुकका हितको पक्षमा उभिनु न्यायोचित हुने कुरा बुझ्न जरुरी रहेको स्पस्ट गरे । जलवायु परिवर्तनका कारण नेपालको हिमालयमा हिउँको तह पातलिँदै गएको, पहाडमा पहिरो र भूक्षयको समस्या विकराल बनेको तथा तराई क्षेत्र बाढीको पचेटामा परेको उल्लेख गरे । यस्तै खण्डवृष्टि तथा अतिवृष्टिजस्ता समस्या बढेकामा उहाँको चिन्ता थियो । नेपाल सरकारले जलवायु परिवर्तनका असर न्यूनीकरणका लागि विभिन्न योजना बनाएर कार्यान्यवनमा गएको भए पनि उक्त समस्या विश्वव्यापी भएकाले घरेलु समाधान मात्र पर्याप्त नहुने उनँको भनाइ थियो । भेटमा डिएफआइडीले नेपालले लजवायु परिवर्तनमा उठाउन लागेको एजेण्डामा आफ्नो सरकारको सहयोग रहने प्रतिबद्धता जनाएको थियो ।"
"""बेटी पढाऊ","बेटी बचाऊ अभियानमा रेखा थापाको संलग्नताको विरोध"",""जनकपुरधाम : प्रदेश २ को सरकारले संचालनमा ल्याएको मुख्यमन्त्री बेटी पढाऊ, बेटी बचाऊ अभियानमा नायिका रेखा थापाको संलग्नताको विषयलाई लिएर प्रदेशसभामा बहस चलेको छ । बुधबार प्रदेशसभाको बैठकमा विशेष समयमा बोल्ने अधिकांश सांसदले नायिका थापालाई मुख्यमन्त्री लालबाबु राउतले यस अभियानको सद्भावनादूत बनाउन लागेको जानकारी प्राप्त हुन आएकोमा त्यसको सत्यतथ्य सार्वजनिक गर्न माग गरेका हुन् । प्रदेशसभाको बैठक प्रारम्भसँगै शून्य समयमा बोल्दै प्रतिपक्षी दल कांग्रेस सांसद शिवचन्द्र चौधरीले सरकारको यो अभियान मुख्यमन्त्रीको निजी कार्यक्रम जस्तो बन्न थालेको आरोप लगाए । थापाको नाम मधेसका महिलालाई थाहासमेत छैन्, सांसद चौधरीले भने, उनलाई अधिकांश मधेसी महिलाले चिन्दैनन् यस्तोमा उनलाई सद्भावनादूत बनाउनु उचित होइन । यो अभियानका लागि मधेस र भोजपुरा क्षेत्रबाट प्रतिनिधित्व गर्ने कलाकारलाई राख्नुपर्ने उनको भनाइ छ । साथै यस अभियानका लागि प्रदेश सरकारको बजेटमा ८१ करोड रकम छुट्याइएको भएपनि यसको कार्ययोजनाबारे सदनलाई केही जानकारी नरहेको भन्दै सांसदले आपत्ति जनाएका छन् । सत्ता साझेदार राष्ट्रिय जनता पार्टी नेपालकी सांसद सुरिताकुमारी साहले यो अभियान राम्रो भएपनि यसमा प्रदेशसभामा प्रतिनिधित्व गर्ने महिला सांसदलाई समावेश नगराइएको प्रति आपत्ति जनाइन् । के हामी महिला सांसद मूर्ख छौं ?, प्रश्न गर्दै भनिन्, हामीलाई मुख्यमन्त्रीज्यूले अभियानका विषयमा जानकारी गराउन आवश्यक ठान्नु भएन् । किन ? उनले यस अभियानको प्रभावकारी कार्यान्वयनको लागि कम्तिमा पनि प्रदेशसभामा प्रतिनिधित्व गर्ने ३७ महिला सांसदलाई अनिवार्य संलग्नता गराउनु पर्ने माग गरिन् । सत्तापक्षकै सांसद रानी शर्मा तिवारीले नायिका थापाको संलग्नताले आफूलाई आश्चर्यचकित बनाएको बताइन् । उनले भनिन्, थापाको फाउन्डेशनले अभियानलाई सहयोग पुर्याउने विषयमा जानकारी पाएका हाँै तर, यदि प्रदेश सरकारले उनलाई विशेषदूत नै बनाउन खोजेको हो भने त्यसको हामी विरोध गर्छौँ । त्यस्तै, कांग्रेस सांसद सरस्वती चौधरीले थापाको संलग्नताले मधेसी कलाकारको उपेक्षा गरेको आरोप लगाइन् । के मधेसमा क्षमतावान कलाकार छैनन् ? उनले अभियान प्रतिनै प्रश्न गर्दै भनिन्, मुख्यमन्त्रीज्यूलाई पटकपटक अभियानका लागि जिल्लामा तोकिएका संयोजकको नाम जानकारी गराउन माग गरेकी छु । तर, उनले विस्तारै थाहा पाउनु हुन्छ भन्दै टार्ने काम गर्नुभएको छ । नेकपा सांसद ज्वालाकुमारी साहले महिला सशक्तिकरणको नाममा ल्याइएको यो अभियान निकै आकर्षक भएपनि हालसम्मको अवस्था हेर्दा यसको बजेट दुरुपयोग हुने होइन भन्ने शंका उत्पन्न गरेको बताइन् । उनले भनिन्, आफ्नालाई बाइपास र बाहिरकालाई आवश्यकता भन्दा बढी आदर सम्मान दिने कार्य शोभनीय होइन् । मुख्यमन्त्री राउतले मंगलबार पत्रकार सम्मेलनको आयोजना गरेर छोरीको लागि स्वर्णिम नेपाल कार्यक्रम अन्तर्गत महिला हिंसा तथा बालविवाहविरुद्ध कार्यक्रम संचालन गर्दै आएको नायिका थापाको फाउण्डेशनले अबको दिनमा बेटी पढाऊ, बेटी बचाऊ अभियानलाई प्रमोट गर्ने बताएका थिए ।"""
"एसईई परीक्षा तालिका सार्वजनिक (तालिकासहित)","काठमाडौं : चैत १० गतेदेखि हुने २०७५ सालको माध्यमिक शिक्षा परीक्षा (एसईई)को परीक्षा तालिका सार्वजनिक भएको छ । बुधबार बसेको राष्ट्रिय परीक्षा बोर्डको बैठकले परीक्षाको कार्यतालिका सार्वजनिक गरेको परीक्षा नियन्त्रक रामशरण सापकोटाले जानकारी दिए । परीक्षा बिहान ८ बजेदेखि ११ बजेसम्म चल्ने छ । चैत १० गते आइतबारबाट सुरु भएको परीक्षा २१ गते बिहीबारसम्म चल्नेछ । चैत १० र ११ गते लगातार अनिवार्य अंग्रेजी र नेपालीको परीक्षा हुनेछ । चैत १३ गते अनिवार्य गणित र १४ गते अनिवार्य विज्ञानको परीक्षा छ । तस्बिरमा परीक्षा तालिका हेर्नुहोस्"
"९५ वर्षमा बल्ल नागरिक ! भने : सिंहदरबार गाउँमै आएछ","बेसीशहर : बुढ्यौलीले अनुहार मुझा परेका छन् । झुस्स फुलेका दारी काट्ने कुनै जाँगर छैन । दिशापिसाव गर्न शौचालय जानसमेत सहारा चाहिन्छ । ९५ वर्षको बुढ्यौलीले गलेका बेसीशहर१ उदीपुर पौडेल गाउँ निवासी सूर्यप्रसाद वस्तीको अनुहारमा बुधबार एकाएक चमक आयो । खुसी नहुन् पनि किन, जब उनले ९५ वर्षमा नागरिकता पाए । सूर्यप्रसादलाई आजसम्म नागरिकता चाहिएकै थिएन । जिन्दगीमा उनले आफ्नो परिचय दिन कतै नागरिकता देखाउनु परेन । ७० वर्षदेखि वृद्धभत्ता बुझ्दै आएका थिए, त्यसका लागि नागरिकता अनिवार्य थिएन । बुवाले अस्थायी निस्साको आधारमा सामाजिक सुरक्षा भत्ता बुझ्दै आउनुभएको थियो, कान्छा छोरा नारायणप्रसाद वस्तीले बताए । सरकारले चालु आर्थिक वर्षदेखि वृद्धभत्ता लिन नागरिकता अनिवार्य गर्यो । स्थानीय सरकारले सामाजिक सुरक्षा भत्ता बैंकमार्फत दिन थाल्यो, अनि मात्रै सूर्यप्रसादका लागि नागरिकता जरुरी पर्यो । अहिलेसम्म अस्थायी निस्साले चलेको थियो, उनले भने, नागरिकता नभई बैंकमा खाता खोलिदोँरहेनछ, बल्ल चाहियो । हिंडडुल गर्न नसक्ने वस्तीलाई प्रमुख जिल्ला अधिकारी झंकनाथ ढकालले घरमै पुगेर नागरिकता दिएका हुन् । यसअघि २०३७ सालमा गाउँमा आएको टोलीबाट उनले अस्थाई निस्सा लिएका थिए । वृद्धाअवस्थामा रहेका वस्तीलाई घरमै आएर नेपाल सरकारले दिने सुविधा दिन पाउँदा खुसी छु, प्रजिअ ढकालले भने, जेष्ठ नागरिक, असक्तलाई कार्यालयसम्म आउनु पर्दैन । पक्रिया पुगेपछि फिल्डमै सेवा दिन सकिन्छ । सबै पक्रिया पुरा गराएर नागरिकता फाँटको अभिलेख किताबसहित प्रजिअ ढकालको टोली कार्यालय समयपछि वस्तीको घर पुगेको थियो । बैँकले नेपाली नागरिकता खोजेपछि विगत १ बर्षदेखी बस्तीले बृद्धा भत्ता बुझेका छैनन । बृद्ध अवस्थाका बुबालाई के दुःख दिने भनेर नागरिकता बनाउन सदरमुकाम गएका थिएनौ, छोरा नारायणप्रसादले भने, अहिले सिडियो सर घरमै आएर नागरिकता दिँदा धेरै सहज भयो । सिंहदरबार गाउँमा होइन घरमै आएको अनुभूति भयो । १९७९ मा जन्मिएका वस्तीले २०३६ सालमा लिएको अस्थायी निस्सामा जन्म मिति १९९१ जेठ २० रहेको छ । त्यसै मितिलाई आधार मानेर नागरिता दिइएको प्रशासनले जनाएको छ । १९९० सालको भूकम्पपछि वस्तीका परिवार तनहुँको भन्सारबाट लमजुङको उदिपुर बसाई सरी आएको थियो । वस्तीका २ छोरा र ३ छोरी छन् ।"
"सुन्दरमणि दीक्षित भन्छन् : अबको ६ वर्षमा नेपाल टाट पल्टिन्छ","काठमाडौं : नागरिक समाजका अगुवा डा सुन्दरमणि दिक्षितले सरकारले हिजोबाट सुरु गरेको सामाजिक सुरक्षा कार्यक्रम सैद्धान्तिक रुपमा ठीक भएपनि यसको दीर्घकालिन नतिजा डरलाग्दो हुने बताएका छन् । यो कार्यक्रम लागू गर्न अबको दुई वर्षमा डेढ खर्ब रुपैयाँ जम्मा हुन्छ भनिएको छ । हामी अहिले रामराज्यमा त छैनौँ, हामी नेपालीहरुमा भ्रष्टाचार कति छ ? यो तपाईहरुलाई थाहा छ । यो भ्रष्टाचार यति व्याप्त भएको ठाउँमा डेढ खर्ब रुपैयाँ कसरी जम्मा हुन्छ र त्यसमा ककसको गिद्दे नजर लाग्ला भन्ने कुरा त्यो तपाईँहरुले विचार गर्नुहोला, उनले ठोकुवासहित भने । साक्षात्कारमा बोल्दै उनले नागरिक लगानी कोषको अर्बौँ रुपैयाँ डुब्ने अवस्था रहेको चिन्ता पनि जनाए । नागरिक लगानी कोषको पैसा नागरिकको हो । योसँग जोडिएर भर्खरै वाइडबडी को कुरा आएको छ । त्यसमा नागरिक लगानी कोषको ठूलो पैसा परेको छ । त्यो यसरी हेर्दा डुब्दैछ किनभने नेपाल एयरलायन्स त डुब्दैछ, उनले भने, मन्त्रीले अहिले जे जति भने पनि तथ्य भनेको नेपाल एयरलायन्स चुर्लुम्मै डुबेको छ । ऊ अब पैसा नभई उठ्ने अवस्थामै छैन, त्यो पैसा कसले दिने ? र कहाँबाट आउने भन्ने कुरामात्रै हो । दीक्षितले नेपालमा जुनजुन सरकार आएपनि गिद्धे आँखा चाहिँ त्यही लगानी कोषमा हुने बताए । अहिले हेर्नुहोस इन्सुरेन्समा पनि त्यही छ, हजार रुपैयाँ पर्ने कुरामा दश हजारको बिल आउँछ । सबैको मिलोमतो छ, दीक्षितले थपे, आज नेपालका हरेक पार्टीका ट्रेड युनियन छन्, ट्रेड युनियन हुनु भनेको घातक हो । निजी क्षेत्रका व्यक्तिहरुले सामाजिक सुरक्षा कार्यक्रम राम्रो रहेकाले सहयोग गर्नुपर्छ भनेको सुनाउँदै उनले भने, उनीहरुले राम्रो भने तर, यसको व्यवहारिक पक्षलाई ध्यान दिनुपर्छ । उनले आखिरमा नेपाल ४, ५ वा ६ वर्षमा टाट पल्टिने पनि खतरा औंल्याए । उनले भने, त्यो लगानी कोष छ, त्यो विल्कुलै टाट पल्टिन्छ, ३४ लाख ८ हजार कर्मचारी एकैचोटी आन्दोलनमा गए भने के हुन्छ ? उनले नेपाल हरेक हिसाबाट आर्थिक जोखिममा रहेको पनि बताए । यदि कोषको पैसा डुब्यो भने नेपाल सरकारले पैसा ल्याउनुपर्छ, कहाँबाट ? विदेशबाट । त्यो रकम सबै सरकारले त दिँदैन । कम्युनिष्ट सरकार रह्यो भने उसले कम्युनिष्ट मुलुक नै खोज्छ । अहिले कम्युनिष्ट मुलुक त चीन नै हो, दीक्षितले भने, चीनले लगानी गरिदिन्छ । पैसा पनि दिन्छ । तर, डर कहाँ छ भने चिनियाँहरुले आरामसँग पैसा हालेका छन् । तर, पैसा फर्काउन नसक्ने मुलुकहरु डेब्टट्रयापमा परेका छन् । उनीहरु ऋणको जालोमा परेका छन् । श्रीलंकाजस्ता देशले पनि चीनको पैसा तिर्न नसकेर आफ्नो भुभाग ९९ वर्षलाई लिजमा दिनुपरेको दीक्षितले सुनाए । हामीले अब बाहिरबाट पैसा लिँदा पनि चीनकै लियौं भने तिर्न सक्ने अवस्थामा छैनौं, दीक्षितले भने, नतिर्ने बित्तिक्कै मुलुक डुब्छ । चीनको ऋण तिर्न नसकेर श्रीलंकाले आफ्नो भूभाग डुबाएको बताउँदै उनले नेपालको त देश नै डुबाउने खतरा औंल्याए । त्यसपछि मुलुक विकाउमा जाने उनको भनाई छ । दीक्षितले भने, अहिले होस पुयाउने अवस्था आएको छ । सरकारले कुरा त गयो तर दीर्घकालिन रुपमा यसको नतिजा असाध्यै डरलाग्दो छ । त्यसैले अहिले सबैले होस गर्ने बेला छ । हामी कुनै पनि हालतमा मुलुकलाई विदेशीको पैसामा नबेचौँ ।"
"""दुर्घटनामा युवाको मृत्यु","शव लिन गएका आफन्त पनि दुर्घटनामा परे"",सुर्खेत : सुर्खेतको सिम्ता गाउँपलिकागजौडामा मोटरसाइकल दुर्घटनामा एक युवकको मृत्यु भएको छ । जाजरकोट छेडाबाट सुर्खेततर्फ आउँदै गरेको मोटरसाइकल बुधबार गजौडा नजिकै दुर्घटनामा परेको हो । भे ८ प ३४२४ नम्बरको मोटरसाइकल दुर्घटना हुँदा जाजरकोट शिवालय गाउँपलिका९ नाहाडाका ३५ वर्षीय महेन्द्र चन्द ठकुरीको घटनास्थलमै मृत्यु भएको छ । मोटरसाइल सडकबाट करिब एक सय मिटर तल खसेको प्रहरीले जानकारी दिएको छ । दुर्घटनामा परेका ठकुरी भेरी नदी किनारमा मृत भेटिएको वादेपिपल इलाका प्रहरी कार्यालय जानकारी दिएको छ । ठकुरीको शव बुझ्न आएका आफन्त पनि दुर्घटनामा घाइते भएका छन् । दुर्घटनाको खबर पाएपछि आफन्तहरु ट्याक्टरमा आएका थिए । दुर्घटनास्थलमा आउँदै गर्दा कम्दमा लु १ त ९५७७ न ट्याक्टरको ट्रली पल्टिँदा २१ जना घाइते भएका हुन् । सिम्ता गाउँपालिका४ बालिखोलाको मा ट्याक्टरको ट्रली पल्टेको प्रहरीले जनाएको छ । घाइते सबैलाई उपचारका लागि मेहलकुना लगिएको वादेपिपल इलाका प्रहरी कार्यालयका इन्चार्ज श्याम शाहले जानकारी दिए ।"
"करारमा कर्मचारी राख्न पाउनुपर्ने गण्डकी प्रदेशको माग","पोखरा : प्रधानमन्त्री संयोजकत्वको अन्तर प्रदेश परिषदको बैठक सामुन्ने आउँदा गण्डकी प्रदेश समन्वय परिषदको भेला सम्पन्न भएको छ । मुख्यमन्त्री संयोजकत्वको समन्वय परिषदको २ दिने भेलाले प्रदेश र स्थानीय तहमा करारमा कर्मचारी राख्न पाउने कानुनी बाटो माग गरेको छ । आवश्यक जनशक्तिको अभावले प्रदेश र स्थानीय तहले संविधान र कानुन बमोजिम सम्पादन गर्नुपर्ने कार्य प्रभावित भइरहेको परिप्रेक्ष्यमा यथाशीघ्र कर्मचारी समायोजन टुंग्याउन संघीय सरकारको ध्यानाकर्षण गराउने, भेलाको अन्तिम दिन बुधबार जारी घोषणामा भनिएको छ, कर्मचारी समायोजन नहुन्जेलसम्म प्रदेश एवं स्थानीय तहहरुले करारमा कर्मचारी भर्ना गर्न सक्ने व्यवस्था मिलाइदिन संघीय सरकारलाई अनुरोध गर्ने । मुख्यमन्त्री पृथ्वीसुब्बा गुरुङले स्थानीय तहको भवन तथा कार्यालय निर्माण गर्न संघीय सरकारसँग आवश्यक बजेट माग गर्ने लगायत २६ निर्णय गरेको जानकारी दिए । स्थानीय तहले योजना तर्जुमा एवं प्राथमिकीकरण गर्दा गण्डकी प्रदेश सरकारले घोषणा गरेका नीति तथा कार्यक्रमसँग सामन्जस्यता कायम गर्दै ठूला आयोजनामा बजेट व्यवस्थापन गर्ने सहमति भेलामा भएको छ । भेलाले जिल्ला समन्वय समितिको भूमिका प्रभावकारी बनाउन प्रदेश एवं स्थानीय तहले आवश्यक सहयोग र समन्वय गर्ने निर्णय गरेको छ । स्थानीय तह एवं प्रदेश सरकारबीच प्रभावकारी समन्वय एवं हातेमालो प्रवद्र्धन गरी गण्डकी प्रदेशको समृद्धिको मार्गचित्र तय गर्ने, घोषणामा भनिएको छ । भेलाले जिल्ला समन्वय समितिको खातामा निष्क्रिय रहेको कोष स्थानीय तहहरुको संरचना बनाउन विनियोजन गर्ने व्यवस्था मिलाउन अनुरोध गरेको छ । मुख्यमन्त्री गुरुङले सबैजसो क्रसर उद्योग नियमविपरीत चलेको हुँदा बन्द गर्नुपर्ने मंगलबारै बताएका थिए । भेलाको उद्घाटनका बेला उनले भनेको बुँदा बुधबारको घोषणामा समेटिएको छ । गिटी, बालुवा, क्रसर उद्योगलाई व्यवस्थित गर्न संघ र प्रदेशको कानुनलाई अनुसरण गर्ने तथा कानुन बमोजिम नियमन गर्ने, भेलाको घोषणामा छ । उत्पादनमा वृद्धि हुने, रोजगारी सिर्जना र गरिबी निवारण हुने खालका आयोजना तथा कार्यक्रमहरुलाई योजना तर्जुमा प्रक्रियामा प्राथमिकता दिने निर्णय बैठकले गरेको छ । प्रदेश सरकारले घोषणा गरेका आधारभूूत खानेपानी र उज्यालो प्रदेश कार्यक्रमहरुलाई २ वर्षभित्र पूरा गर्न सबै स्थानीय तहले सहयोग गर्ने भएका छन् । गण्डकी प्रदेश सरकारले राखेको २ वर्षभित्र सबैलाई आधारभूत खानेपानीको लक्ष्य पूरा गर्न सबै स्थानीय तहले सघाउने निर्णय भेलाले गरेको छ । सन् २०२२ सम्ममा २० लाख पर्यटक भित्र्याउने गण्डकी प्रदेशको योजनालाई सहयोग गर्न स्थानीय तहले उत्पादन वृद्धि गर्न सहमति जनाएका छन् । स्थानीय र प्रदेश सरकारसँग समन्वय, सहजीकरण र निर्देशनमा रही कार्य गर्न प्रदेशभित्र कार्यरत राष्ट्रिय तथा अन्तर्राष्ट्रिय संघ संगठनलाई अनुरोध गर्ने निर्णय भेलाले गरेको छ । प्रदेश अन्तर्गतका सम्पूर्ण नगर विकास समिति खारेज गर्न पनि भेलाको माग छ ।"
"ककनीमा कांग्रेस सभापतिको भेला : नेतृत्व परिवर्तन गर्नुपर्ने माग","नुवाकोट : नेपाली कांग्रेसले नुवाकोटको ककनीमा जिल्लाका सभापति भेला आयोजना गरेको छ । गत वर्ष भएका स्थानीय तह, प्रदेश तथा संघीय तहको निर्वाचनमा नराम्रो पराजय चाखेको कांग्रेसले काठमाडौंसँगै जोडिएको नुवाकोटमा अधिकार सम्पन्न जिल्ला सभापतिको भेला गर्नुलाई अर्थपूर्ण रुपमा लिइएको छ । नुवाकोटको पुर्वी भेगमा रहेको पर्यटकीय क्षेत्र ककनीमा आयोजित दुई दिने भेलामा ६० जिल्ला सभापतिको सहभागिता रहको छ । पार्टीको प्रस्तावित विधानका सम्बन्धमा छलफल गर्न भेला आयोजना गरिएको बताइएको छ । भेलामा आन्तरिक गुटबन्दीको अन्त्य गरी संगठनलाई वडा स्तरबाटै सुदृढीकरण गर्नुका साथै नेतृत्वको परिवर्तन हुनु पर्ने माग आएको छ । पार्टीको संघीय विधानलाई अझ राम्रो बनाउन सकिन्छ भन्ने विषयमा छलफल सुरु भएको छ । महासमिति बैठकमा कसरी प्रस्तुत हुने सामूहिक धारणा तय गर्न दुई दिने भेला आयोजना गरिएको आयोजक कांग्रेस नुवाकोटका सभापति जगदीश्वरनरसिंह केसीले जानकारी दिए । जिल्ला सभापति सहभागी भेलामा कांग्रेसको प्रस्तावित विधानको विषयमा छलफल भएपनि नेतृत्वको कार्यशैलीप्रति अधिकांशले असहमति जनाएको एक नेताले बताए । सहभागी सभापतिले अब नेतृत्व परिवर्तनका लागि तयारी गर्नु पर्नेमा जोड दिएका छन् । भेलामा सहभागी सभापतिहरुले पार्टीको नेतृत्व सक्षम नहुँदा चुनावमा पराजित हुँदै पार्टी प्रतिपक्षमा पुगेको निष्कर्ष निकालेका छन् । नुवाकोटमा आठ महिना अगाडि पनि कांग्रेसका जिल्ला कोषाध्यक्षको भेला गरिएको थियो । असार पहिलो साता मकवानपुरको हेटौंडामा चुनावमा पराजयको कारण खोजी गरी समीक्षा गर्न भेला भएका जिल्ला सभापति महासमिति बैठकअघि भेलामा जुटेका हुन् । जिल्ला सभापति भेलाको पहिलो दिन निर्वाचनको समीक्षा, पार्टीको नेतृत्व, सरकारको गतिविधि तथा अबको मार्गदिशाका सम्बन्धमा छलफल भएको छ । सभापतिहरुले वर्तमान सरकारले दुई तिहाई बहुमतको दम्भ देखाइरहे आन्दोलन गर्ने चेतावनी दिएका छन् ।"
"साथी हत्याको आरोपमा पक्राउ परेका दुई महिला धरौटीमा रिहा","राजविराज : आफ्नै साथीको हत्या गरेको आरोपमा पक्राउ परेका दुई महिला धरौटीमा रिहा भएका छन् । राजविराज नगरपालिका ६ की ४५ वर्षीया एकल महिला आशादेवी देवको हत्या आरोपमा पक्राउ परेकी सोही ठाउँकी ३५ वर्षीया मुन्नीदेवी साह २५ हजार र ३० वर्षीया चनरदेवी मेहतर ३५ हजार धरौटीमा रिहा भएका हुन् । जिल्ला न्यायाधीश कमलप्रसाद ज्ञवालीको आदेशमा उनीहरु धरौटीमा रिहा भएको अदालतले जनाएको छ । हत्या घटनामा प्रत्यक्ष संलग्न रहेका राजविराज नगरपालिका ६ का ३२ वर्षीय शंकर राउत मेहतर र २६ वर्षीय सुरज राउत मेहतर भने पुर्पक्षका लागि राजविराज कारागारमा थुनामा परेका छन् । इँटा प्रहार गरी हत्या गरेको अवस्थामा देवको शव उनकै कोठामा दसैंको टीकाकै दिन फेला परेको थियो । व्यवसायिक रिसिइबीकै कारण मुन्नीको निर्देशनमा चनरदेवीले शंकर र सुरजलाई हत्या गर्न पठाएको प्रहरी अनुसन्धानबाट खुलेको छ । जिल्ला प्रहरी कार्यालयसँग जोडिएकै घरमा एक्लै बस्दै आएकी देवको बलात्कारपछि हत्या भएको आरोपमा प्रहरीले चारजनालाई गिरफ्तार गरी गत कात्तिक ११ गते कर्तव्य ज्यानको उजुरी दर्ता गरेको थियो ।"
