"शीर्षक","विवरण"
"मल्टिमिडिया अवार्ड जित्दै श्रृंखला मिस वर्ल्डको टप ३० मा","काठमाडौँ : मिस नेपाल श्रृंखला खतिवडा चीनको पर्यटकीय सहर सान्यामा जारी मिस वर्ल्ड २०१८ को टप ३० मा प्रवेश गर्न सफल भएकी छन् । केन्या र मेक्सिकोका सुन्दरीलाई मल्टिमिडिया अवार्डमा उछिन्दै नेपाली सुन्दरी श्रृंखलाले आफूलाई टप ३० भित्र पार्न सफल भएकी हुन् । चीनको सान्यामा भइरहेको मिस वर्ल्ड २०१८ मा सहभागी श्रृंखला पहिलो राउन्डमा भएको हेड टु हेड च्यालेन्ज अन्तरगत समूह १३ मा लक्जेम्बर्ग, बोस्निया एन्ड हर्जगोभिना, गुयाम र माल्दोभाकी सुन्दरीलाई हराउँदै अघि बढेकी थिइन् । त्यसपछि टप ३० का लागि भएको हेड टु हेड च्यालेन्जमा उनी सिंगापुरकी सुन्दरीसँग पराजित भएपछि टप ३० मा प्रवेश गर्न असफल भएकी थिइन् । तर सोमबार भएको प्रतिस्पर्धामा मिस मल्टिमिडिया र ब्युटी विद द पर्पोज अवार्ड जित्दै मिस वर्ल्डको टप ३० मा पुगेकी हुन् । जानकारी अनुसार उत्कृष्ट तीन मल्टिमिडिया फाइनलिस्ट मध्ये पहिलो स्थानमा रहँदै उनी टप ३० मा पुगेकी हुन् । यो विधामा मेक्सिको दोस्रो र केन्या तेस्रो स्थानमा रहेका छन् । हेड टु हेड च्यालेन्जमा सिंगापुरकी सुन्दरीसँग पराजित भएर टप ३० मा पुग्ने अवसर गुमाएकी श्रृंखलालले अन्ततः मल्टिमिडियातर्फ बाजी मार्दै आफूलाई अब्बल सावित गरेकी हुन् । हिजो भएको हेड टु हेड च्यालेन्जमा श्रृंखला सिंगापुरकी भेनेसा पहेसँग पराजित भएकी थिइन् । भेनेसाले उत्कृष्ट प्रस्तुति दिएपछि शृङ्खला कमजोर देखिएकी थिइन् । तर उनले मल्टिमिडिया तर्फ अब्बल सावित गर्दै टप ३० मा पुग्न सफल भइन्"
"औषधि पसलमै लागुऔषध भेटिएपछि","बिर्तामोड : झापाको अर्जुनधारा नगरपालिका क्षेत्रका औषधि पसलहरुमा प्रतिबन्धित तथा अवैध औषधि खुलेआम बिक्री वितरण भइरहेको पाइएको छ । औषधि विभागमा दर्ता नै नभएका र लागुऔषधको रुपमा प्रयोग गर्ने गरेका ती औषधि खुलेआम रुपमा बिक्री वितरण भइरहेको भेटिएको हो । सोमबार अनुगमन टोलीले अनुगमन गर्ने क्रममा अर्जुनधारा नगरपालिका क्षेत्रका औषधि पसलमा मेडासलिक स्किन साइन, इलोसन इएचटी नामक नेपालमा प्रतिबन्धित औषधि भेटेको हो । त्यस्ता औषधि अनुगमन टोलीले जफत पनि गरेको छ । बिर्तामोड र भद्रपुरमा व्यवसाय गर्दै आएका धर्म साहबाट त्यस्ता औषधि आयात हुने गरेको अनुगमनको क्रममा खुलेको नगरपालिकाका स्वास्थ्य संयोजक मुकुन्द बस्नेतले बताए । नगरपालिकाले सोमबार अर्जुनधारा नगरपालिकाको खुदुनाबारी बजार क्षेत्रका औषधि पसल सहित विभिन्न ४२ वटा पसलमा अनुगमन गरेको थियो । चाडपर्वको समयमा मात्र अनुगमन गर्ने र अन्य समयमा छाडा छोडिदिँदा उपभोक्ता ठगिने गरेको गुनासो आएपछि नगरपालिकाको अनुगमन समितिले अनुगमन गरेको हो ।"
"सिके राउतलाई थुनामुक्त गर्न सर्वोच्चद्वारा अस्वीकार","काठमाडौं : मधेसका पृथकतावादी नेता सिके राउतलाई सर्वोच्च अदालतले थुनामुक्त गर्न अस्वीकार गरेको छ । राउतलाई राज्यविरुद्ध संगठित कसुर आरोपमा गत असोजमा पक्राउ गरी थुनानमा राखिएको थियो । सर्वोच्चका न्यायाधीश दीपकराज जोशी र बमकुमार श्रेष्ठको सोमबारको संयुक्त इजलासले थुनामुक्त गर्न इन्कार गरेको हो । राउतलाई जिल्ला प्रहरी कार्यालय रौतहटको जिम्मा लगाएर वयान लिन सर्वोच्चले सोमबार आदेश दिएको हो ।"
"गौशालामा नेपाली महिलामाथि भारतीयले खुकुरी हाने","काठमाडौँ : एकजना नेपाली महिलामाथि राजधानीको गौशालामा खुकुरीले आक्रमण भएको छ । गौशाला बस्ने सर्लाही हरिवनकी एक महिलालाई सोमबार दिउँसो २ बजे ती भारतीयले खुकुरी प्रहार गरी घाइते बनाएका थिए । महानगरीय प्रहरी वृत्त गौशालाले खुकुरी प्रहारमा संलग्न तिलगंगा बस्ने भारतको बिहारका आन्नद कुमारलाई हतियारसहित पक्राउ गरेको छ । घाइते महिलाको ओम अस्पताल चाबहिलमा उपचार भइरहेको महानगरीय प्रहरी वृत्त गौशालाले जनाएको छ ।"
"घरसँगै जलेर हिँडडुल गर्न नसक्ने बालकको मृत्यु","सन्धिखर्क : अर्घाखाँचीको मालारानी गाउँपालिकास्थित मेहलपानीमा आगलागी हुँदा एकजना अपाङ्गता भएका बालकको ज्यान गएको छ । मालारानी गाँउपालिका६ मेहेलपानी निवासी जंगबहादुर बिकको घरमा आगलागी हुँदा अपाङ्गता भएका उनका छोरा ११ वर्षीय नारायण बिकको ज्यान गएको जिल्ला प्रहरी कार्यलयका प्रहरी नायव उपरक्षीक नवराज मल्लले जानकारी दिए । हिँडडुल गर्न नसक्ने अवस्थाका नारायणलाई सोमबार साँझ आगोबाट निकाल्ने प्रयास गर्दा गर्दै घटनास्थलमै मृत्यु भएको स्थानीय पुरन सौरागले बताए । विद्युत सर्ट हुँदा घरगोठमा आगो लागेको हो । आगलागीबाट घरभित्रका अन्नबाली, लत्ताकपडा नष्ट भए करीब १२ लाख रुपैयाँको क्षति भएको छ ।"
"""तोडियो मेसीरोनाल्डोको दबदबा","मोड्रिचले जिते बालोन डिओर"",""काठमाडौँ : क्रोएसिया र रियल मड्रिड स्टार मिडफिल्डर लुका मोड्रिचले बालोन डिओर २०१८ जित्न सफल भएका छन् । बालोन डिओर जित्ने क्रममा मोड्रिचले बार्सिलोनाका अर्जेनटाइन स्ट्राइकर लियोनेल मेसी र युभेन्ट्सका पोर्चुगिज स्ट्राइकर क्रिस्टियानो रोनाल्डोको १० वर्ष लामो दबदबा पनि तोडेका छन् । क्रोएसियालाई रसिया विश्वकपको फाइनलसम्म पुर्याउन निर्णायक भूमिका खेलेका यही वर्ष फिफा वर्ष खेलाडी घोषित मोड्रिचलाई फ्रान्सको चर्चित म्यागेजिनले यो वर्षको बालोन डिओरको उपाधि पनि प्रदान गरेको हो । ३३ वर्षीय मोड्रिच रियल मड्रिडले लगातार तीन पटक युरोपियन च्याम्पियन्स लिग फुटबलको उपाधि जित्दा प्ले मेकरको भूमिकामा थिए । उनैको जायुयी प्रदर्शनमा क्रोएसिया विश्वकपको फाइनलसम्म पुगेको थियो । यसअघि सन् २००७ मा ब्राजिल र एसी मिलानका फर्वार्ड काकाले बालोन डिओर जितेका थिए । त्यसयता १० वर्षसम्म मेसीरोनाल्डोले ५५ पटक यो उपाधि जिते । मोड्रिचले बालोन डिओर जित्ने क्रममा उनीसँग प्रतिस्पर्धामा रहेका रोनाल्डो दोस्रो, एट्लेटिको मड्रिडका एन्टोइन ग्रिजम्यान तेेेस्रो, पेरिस सेन्ट जर्मेनका केलियन एम्बाब्पे चाैथाेे र मेेेेसी पाँचौ स्थानमा रहे । एम्बाप्पे र ग्रिजम्यान दुवैले फ्रान्सका लागि रसिया विश्वकप जित्न सफल भएका थिए । फिफा वर्ष खेलाडी मोड्रिचले त्यसअघि रसियामा भएको विश्कप फुटबलकै सर्वोत्कृष्ट खेलाडी हुँदै गोल बल अवार्ड पनि जितेका थिए । यो मेरा लागि अविष्मरणीय र मैले कल्पना पनि नगरेको क्षण हो, बालोन डिओर जितेपछि मोड्रिचले भने, यो अर्वाड जित्नुमा म मेरो टिमका साथीहरुलाई श्रेय दिन चहान्छु । मेसी र रोनाल्डोलाई समकालिन विश्व फुटबलका विशेष खेलाडीको संज्ञा दिँदै मोड्रिचले सन् २०१७०१८ को सिजन आफ्नो जीवनका लागि अविस्मरणीय रहेको पनि उल्लेख गरे । युद्धबाट शरणार्थी बनेका टोटनह्यामका पूर्व खेलाडी मोड्रिचले आफ्नो सिनियर फुटबल जीवनको सुरुवात डाइनामो जाग्रेबबाट सुरु गरेका थिए । उनले आफूलाई व्यवसायिक फुटबल खेलाडी बनाइदिएकोमा डाइनामो जाग्रेब धन्यवाद पनि दिएका छन् । मोड्रिचसँगै फ्रान्सेली क्लब लियोन र नर्वेकी स्ट्राइकर २३ वर्षीया एडा हेगेर्बर्गले महिलातर्फको बालोन डिओर जितेकी छन् ।"""
"पेट्रोलियम पदार्थको मूल्य घट्यो","काठमाडौं : नेपाल आयल निगमले लामो समयपछि पेट्रोलियम पदार्थको मूल्य समायोजन गरेको छ । निगमले सोमबार मध्य रातिबाट लागु हुने गरी पेट्रोल, डिजेल तथा मट्टितेलमा प्रति लिटर दुई रुपैयाँ घटाएको छ । निगमका प्रवक्ता वीरेन्द्र गोइतकाअनुसार कायम भएको मूल्यअनुसार पेट्रोल प्रति लिटर एक सय ११२ रुपैयाँ, डिजेल तथा मट्टितेललाई ९९ रुपैयाँ कायम भएको छ । मूल्य समायोजन पश्चात् पेट्रोलतर्फ ११ रुपैयाँ ४४ पैसा, डिजेलतर्फ पाँ रुपैयाँ ८१ पैसा नाफा हुने भएको छ भने खाना पकाउने ग्यासतर्फ प्रति सिलिण्डर दुई सय ८४ रुपैयाँ ८३ पैसा घाटा छ । मूल्य समायोजन पश्चात् निगमले १५ दिनमा ५६ करोड ५८ लाख रुपैयाँ बराबरको नाफा गर्ने जनाएको छ । पछिल्लो समयमा मूल्य समायोजन नहुँदा नेपाल आयल निगमको घाटा चुलिएको थियो । अन्तराष्ट्रिय मूल्यका आधारमा समायोजन नहुँदा गत् साउनदेखि घाटा व्यहोरेको निगमलाई डलरको भाउ बढ्दा पछिल्लो समयमा भदौको अन्तिम सातादेखि कात्तिकसम्ममा थप आर्थिक भार थपिएको थियो । चालु आर्थिक वर्षको साउनदेखि मंसिरसम्ममा निगमले तीन अर्ब ८४ करोड घाटा व्यहोरेको छ । साउनदेखि मंसिरसम्ममा निगमले तीन अर्ब ८२ करोड रुपैयाँ घाटा व्यहोरेको थियो । स्वचालित मूल्य प्रणाली अनुसार इन्धनको मूल्य समायोजन नगर्दा निगमको वर्किङ क्यापिटल समेत धरापमा परेको थियो । निगमले असोज १ गतेदेखि मूल्य समायोजन गरेको थिएन । चाडवाडको समयमा उपभोक्तालाई महँगीको मार नथप्न भन्दै उद्योग, वाणिज्य तथा श्रम तथा उपभोक्ता हित समितिले मूल्य नबढाउन निर्देशन दिएको थियो ।"
"""गोरु ओसार्नेसँग स्थानीयको झडप","७ वटा मोटरसाइकलमा आगजनी"",""दाङ : अवैध रुपमा गोरु सीमापारी ओसारपसार गरिरहेका युवा र स्थानीयबीच झडपसँगै सातवटा मोटरसाइकलमा आगजनी पनि भएको छ । आइतबार राती दाङको राजपुर गाउँपालिका३ बसन्तपुरमा स्थानीय र गोरु ओसारपसार गर्ने युवा युवा र स्थानीयहरुबीच झडपपछि युवाहरुले प्रयोग गरेका सातवटा मोटरसाइकलनमा आगजनी भएको हो । राजपुर गाउपालिका३ को बसन्तापुर हुँदै गोरु लिएर भैसाही नाका तर्फ गोरु लिएर जाँदै गरेका युवालाई स्थानीयले सोधपुछ गरी केरकार गरेपछि झडपको रुप लिएको हो । गोरु लिएर सीमातिर जाँदै गरेका युवालाई स्थानीयले सोधपुछ गर्दा शंकास्पद देखिएको भन्दै स्थानीयहरुले गोरु रोकेका थिए । र उनीहरुले गोरु लैजान नदिने भनेपछि झगडा सुरु भएको बताइएको छ । झगडाकै बीच २०२५ जनाको समुहमा थप युवाहरु आएको बताइएको छ । स्थानीयले युवाहरुलाई नियन्त्रण लिन खोज्दा युवाहरु मोटरसाइकल छोडेर भागेपछि आक्रोसित स्थानीयहरुले मोटरसाइकलमा आगजनी गरेको प्रहरीले बताएको छ । रा ४१ प ८०१०, को ३१ प २५७२, रा ४ प २८४९, रा ४ प १२१६, रा ४ प ४१६१, रा २ प ४८४९ नम्बरका मोटरसाइकलमा आगजनी गरिएको छ । अर्को एउटा मोटरसाइकलको नम्बर खुल्न सकेको छैन । दाङ प्रहरी प्रमुख बेलबहादुर पाण्डेका अनुसार गोरुकै विषयमा विवाद भएको र त्यसले ठूलो रुप लिएको हो । कानुन हातमा लिएर अराजक गतिविधि गर्नेहरुलाई कानुनी कारवाही गर्ने पाण्डेले बताएका छन् । ९ वटा बाइकमा आएका अपरिचित युवाहरुले हाम्रो काममा अबरोध गर्ने यिनै हुन् भन्दै स्थानीयमाथि हातपात गर्न थालेपछि झगडा सुरु भएको हो, स्थानीय सुनिता चौधरीले बताइन् । स्थानीयले रोकेका गोरुलाई पास गराउन त्यहाँ पुगेकामध्ये लमही नगरपालिका५ निवासी अर्जुन गुप्ता अहिले प्रहरीको नियन्त्रणमा छन् । पछिल्लो समय दाङ जिल्लाबाट गाइ तथा गोरुको अवैध ओसारपसार हुने गरेको बताइन्छ ।"""
"उदयपुरमा सुन्तला उत्पादनमा कमी","गाईघाटः फल्ने समयमा किराको संक्रमणका कारण उदयपुरको पहाडी भेगमा किसानले लगाएको सुन्तला यसवर्ष सोचेअनुरुप उत्पदान हुन सकेन् । फूलपछि दाना लाग्दै गर्दा जुनार, निवुवा र मौसमका दानामा लाग्ने पहिचान विनाको किराको संक्रमण सुन्तलामा सरेपछि सुन्तला बोटमै कुहेर झरे । किसानले पनि रोग लागेपछि नफल्ने भन्दै बोटविरुवामा जति स्यहारसुसार गर्नुपर्ने हो त्यति ध्यान नदिँदा सोचेअनुरुप उत्पादन हुन नसकेको सुपर सुन्तला जोन कार्यक्रम उदयपुरका वरिष्ठ कृषि अधिकृत दिपक अधिकारीले बताए । 'किरा लाग्यो, बोट ओइलियो भनेर किसानले वास्ता गर्दैनन्, 'उनले भने, त्यसलाई पानी, मलजल, औषधिको उचित व्यवस्थापन, प्राविधिकको निगरानीमा बस्ने हो भने राम्रो फल्छ ।' जिल्ला कृषि ज्ञान केन्द्र्र उदयपुरको तथ्यांकअनुसार यस बर्ष सुन्तला तीन हजार पाँच सय ६२ मेट्रिक टन उत्पादन भएको छ । सुन्तला खेतीका लागि जिल्लाभर चार सय हेक्टर जग्गा रहेपनि यस वर्ष किसानले दुई सय ८५ हेक्टर क्षेत्रफलमा खेति लगाएको कृषि ज्ञान केन्द्रका प्रमुख सरोजकान्त अधिकारीले बताए । गत वर्ष दुई सय ५५ हेक्टर जमिनमा लगाइएको सुन्तला खेतीबाट तीन हजार चार सय ५८ मेट्रिकटन उत्पादन भएको अधिकारीले बताए ।उनले भने, 'गत वर्षभन्दा उत्पादन बढी देखिए पनि लगाइएको क्षेत्रफल यस वर्ष बढेकाले उत्पादन गत वर्षको तुलनामा कमि आएको हो ।' खासगरी बोटविरुवा लगाएपछि किसानले पानी, मलजल, औषधिजस्ता कुरामा व्यवस्थापन गर्न नसक्दा नै उत्पादनमा कमि आएको उनले बताए । कतिपय अवस्थामा फूलपछि दाना लाग्न थालेपछि वातावरण प्रदूषणका कारण बढी झर्ने र पछि पाक्ने समयसम्म पनि झर्ने समस्याले सोचेअनुरुप उत्पादन गर्न नसकेको किसानको भनाइ छ । जुनारबाट आएको किराको समस्याकै कारण सुन्तलाका बोटहरु सुक्ने गरेको सुपर सुन्तला जोन अधिकृत अधिकारीले बताए । उनले भने, 'सुन्तला फुल्दादेखि नै जुनार रोगको संक्रमण भित्रिए पनि लापरवाही गर्दा अधिकांश फल नस्ट हुन थालेको अधिकारीको भनाइ छ । प्रधानमन्त्री कृषि आधुनिकीरण परियोजना अन्र्तगत सुन्तला सुपरजोन कार्यक्रमले बगैचा बिस्तार उत्पादनमा वृद्धि गर्ने गरी कार्यक्रम ल्याए पनि किसानले सोचेअनुरुप व्यवस्थापन नगर्दा समस्या भएको उनको भनाई छ । यता किसानले भने उत्पादनमा वृद्धिका लागि प्रयत्न गरिएको भए पनि रोगकीरा नियन्त्रण गर्न नसक्दा समस्या भएको गुनासो गरेका छन् । सुन्तला पकेट क्षेत्रको रुपमा उदयपुरको ओख्ले, सोरुङछविसे, लिम्पाटार, इनामे, रुपाटार, लेखगाउँ, नामेटार, आँपटार, पोखरी, नामन्ता, ठानागाउँ, लेखगाउँ परिचित छन् । दाना लाग्दै गर्दा मौरी जस्तो सुड भएको अपरिचित किराले आक्रमण गरेको किसान बेदकुमार राईको भनाई छ । भदौ, असोजको फुलमा लागेको संक्रमण पाक्ने समयसम्म पनि रहिरहँदा फल झरेको उनले बताए । रोकथामका लागि विषाधि प्रयोग गरेपनि किरा मान नसकिएको र कतिपय किसानले विषादीको मात्रा मिलाउन नसक्दा फल दिने बेलामा बोट नै मरेको ओख्लेका किसान तोपबहादुर ठकुरीले बताए । नगद हात पार्ने बेला सुन्तला बिग्रिएपछि किसान चिन्तित देखिएका छन् । उनीहरुले स्थानीय सरकारले कृषकको लागि कृषि प्राविधिक नपाठाएको, कृषि प्राविधिक ज्ञानको तालिम नदिएको आरोप लगाएका छन् । कृषि प्राविधिक ज्ञान नभएकै कारण सम्यमा समाधान गर्न नसकेको राईले बताए । बिरुवाको अवस्थामा लाई, ढुसीजस्ता रोगले सखाप पार्ने र ठूलो भएपछि किराको संक्रमण हुने गरेकाकारण किसान मर्कामा परेको किसान जयकुमार राईले बताए । राईले भने, 'हजुरबुवा र बुवाको पालादेखि नै गर्दै आएको सुन्तला खेति पछिल्लो समय सोचेअनुरुप फस्टाउन सकेको छैन् ।' 'वातावरण अनुकुल हुँदा पहिला प्राविधिकपनि चाहिँदैन थियो, उत्पादन पनि राम्रै थियो,' उनले भने, 'अहिले प्रविधि भित्रियो त्यतिकै विभिन्न संक्रमण भित्रिदा सोचेअनुरुप उत्पादन हुन सकेन् ।' त्यसअघि उनले थपे, 'पहिला सडक सञ्जाल थिएन, ढाकरमा बोकेर गाईघाट, कटारी, मुर्कुची, बेल्टार, छिमेकी जिल्ला सिरहाको लाहान, सप्तरीको राजविराज, धनुषाको जनकपुर लैजानु पथ्र्यो, अहिले सडक छ, बजारीकरणलाई समस्या छैन्, तर पनि विभिन्न समस्याले उत्पादन गर्न सकिएको छैन् ।' सुन्तला सुपर जोनको यस्तो छ बजेट प्रधानमन्त्री कृषि आधुनिकीकरण परियोजनाअनुरुप सुन्तला जोन कार्यक्रममा यस वर्ष कर्मचारी तलब भत्ता, सेमिनार गोष्ठि देखि लिएर किसान सहयोग कार्यक्रम गरी २ करोड ७ लाख बजेट छ । बजेट असाध्यै न्यून भएको किसानले बताएका छन् । बजेटअनुसार साना सिचाईँमा ५० प्रतिशत अनुदान हुने गरी ४५ लाख, पोष्ट हार्वेस (वजार ढुवानी व्यवस्थापन)मा ८५ प्रतिशत अनुदान गरी १० लाख, नर्सरी स्थापना १० लाख, कष्टमहाईरिङ (कृषि औजार मेसिन रोप्नेदेखि टिप्नेसम्म)मा ५० प्रतिशत अनुदान गरी ६ लाख रहेको छ । त्यसैगरी बगैचा व्यवस्थापन सुदृढीकरण (विषादी, किरा नियन्त्रणसमेत) मा ५० प्रतिशत अनुदानमा ६ लाख, बगैचा क्षेत्र विस्तार (सुन्तला बृक्षारोपण)मा १६ लाख यो ८० हेक्टरसम्म पुर्याउनुपर्ने, भकारो सुधारमा १ सय २५ वटा निर्माणमा १५ लाख र बाँकी तलबभत्ता, तालिम, गोष्ठि, सेमिनार, अवलोकनलगायतका शीर्षकमा खर्च हुने सुपर सुन्तला जोन वरिष्ठ अधिकृत दिपक अधिकारीले बताए । उनले कतिपय बजेट सञ्चालक समितिबाट खर्च हुने बताए । जिल्लाको सुन्तलालाई अन्तर्राष्ट्रिय बजारमा खपत गराउने र जिल्लालाई सुन्तलामा आत्मनिर्भर बनाउने उद्देश्यले यो कार्यक्रम आर्थिक वर्ष २०७३०७४ बाट सुरु भएको हो ।"
"बलिउड अभिनेत्रीका विदेशी जीवनसाथी","बलिउडका कतिपय अभिनेत्रीले विदेशीसँग लगनगाँठो कसेका छन् । कसैले व्यवसायी, कसैले खेलाडी, कसैले कलाकार त कसैले गायकलाई जीवनसाथी बनाएका छन् । प्रियंकानिक आउँदो डिसेम्बरमा अभिनेत्री प्रियंका चोपडा र अमेरिकी नागरिक निक जोनास लगनगाँठो कस्दै छन् । निक गायक हुन् । उनी प्रियंकाभन्दा ११ वर्ष कान्छा छन् । अगस्टमा उनीहरूले आफ्नो सम्बन्धबारे औपचारिक रूपमा बोलेका थिए । उनीहरूको पञ्जाबी संस्कृतिअनुसार रोका समारोह भएको थियो । रोका भनेको टीकाटालाजस्तै हो । निक र उनका आमाबुबा समारोहमा भारत आएका थिए । प्रियंका र निकका केही आफन्तबीच रोका कार्यक्रम भएको थियो । यसपछि उनीहरूले बलिउडकर्मीलाई शानदार पार्टी राखेका थिए । प्रिटीजेन लामो समय नामअगाडि सिंगल झुन्ड्याएकी अभिनेत्री प्रिटी जिन्टाले आफ्नो प्रेम अमेरिकामा भेटिन्, जेन गुडइनफका रूपमा । अमेरिकी नागरिक जेन आर्थिक विश्लेषक हुन् । उनीहरूले सन् २०१६ मा बिहे गरेका थिए । अमेरिका, लस एन्जेलसमा उनीहरूले हिन्दू रीतिथितिअनुसार गुपचुप बिहे गरेका थिए । बिहे भएको छ महिनापछि मात्र उनीहरूको बिहेको फोटो बाहिरिएको थियो । जेन प्रिटीभन्दा १० वर्ष कान्छा हुन् । श्रुतिमाइकल अभिनेत्री श्रुति हसनले पनि विदेशी ब्बाइफ्रेन्ड रोजेकी छिन् । उनी लन्डनका थिएटर आर्टिस्ट माइकल कोर्सेललाई मन पराउँछिन् । सन् २०१७ मा श्रुति, माइकल र कमल हसनलाई एउटा बिहेमा सँगै देखिएको थियो । श्रुति अभिनेता कमल हसनकी छोरी हुन् । सन् २०१८ मा श्रुति र माइकलको बिहेको कुरा पनि बाहिर आएको थियो तर उनले यस कुराको खण्डन गरेकी छिन् । राधिकाबेनडिक्ट अभिनेत्री राधिका आप्टे र संगीतकार बेनडिक्ट टेलरको भेट लन्डनमा भएको थियो । राधिका कन्टेम्परेरी डान्स सिक्न लन्डन गएका बेला सन् २०११ मा उनीहरूको भेट भएको थियो । केही समय लिभइन रिलेसनसिपमा रहेपछि सन् २०१२ मा उनीहरूले गुपचुप कोर्ट म्यारिज गरेका थिए । इलियानाएन्ड्र्यू अभिनेत्री इलियाना डिक्रुज अस्ट्रेलियन फोटोग्राफर एन्ड्र्यू निबोनलाई माया गर्छिन् । उनीसँग लिभइन रिलेसनसिपमा छिन् । उनीहरू लामो समयदेखि प्रेम सम्बन्धमा छन् । भनिन्छ, उनीहरूले सिक्रेट म्यारिज गरिसकेका छन् । तर, इलियानाले यस कुराको पुष्टि अहिलेसम्म गरेकी छैनन् । तापसीमेथियस दक्षिण भारतबाट बलिउडमा डेब्यू गरेकी अभिनेत्री तापसी पन्नूका ब्वाइफ्रेन्ड मेथियस बोई हुन् । उनी डेनमार्कका ब्याडमिन्टन खेलाडी हुन् । उनीहरू चार वर्षयता डेट गरिरहेका छन् । सन् २०१३ मा भएको इन्डियन ब्याडमिन्टन लिगको क्रममा उनीहरूको भेट भएको थियो । सन् २०१८ मा उनीहरू सँगै देखिएका थिए । सार्वजनिक रूपमा भने तापसीले आफ्नो प्रेम सम्बन्ध स्वीकार गरेकी छैनन् । सेलिनापिटर अभिनेत्री सेलिना जेट्ली सन् २०११ मा पिटर हागसँग प्रणय सूत्रमा बाँधिएकी थिइन् । पिटर अस्ट्रेलियन व्यवसायी हुन् । उनका दुबई र सिंगापुरमा होटल छन् । सन् २००१ मा मिस इन्डिया को उपाधि जितेकी सेलिनाले सन् २००३ मा फिल्म जानशीन बाट बलिउडमा डेब्यू गरेकी थिइन् । नो इन्ट्री, गोलमाल लगायत फिल्ममा उनले काम गरेकी छिन् । सेलिना र पिटरका तीन सन्तान छन् ।"
