"शीर्षक","विवरण"
"""क्रिकेटमा यस्तो पनि : १६ बलमै बनाए ७४ रन","१७ मिनेटमै जिताए खेल"",युएई : युएईमा जारी टी१० लिग क्रिकेटमा अफगानिस्तानका विकेटकीपर ब्याट्सम्यान मोहम्मद शहजादले केबल १६ बलमा ७४ रन बनाएका छन् । शहजाद राजपुत टिमबाट खेलिरहेका थिए । सिन्धी टिमले राजपूत टिमलाई १० ओभरमा ९५ रनको लक्ष्य दिएको थियो । ओपनिङ्गमा उत्रेका शहजाद र ब्रेन्डन म्याकुलमले ४ ओभरमा १७ मिनेट भित्रै जित दिलाए । यसरी बन्यो १६ बलमा ७४ रन पहिलो बल: १ दोस्रो बल: ४ तेस्रो बल: ६ चौथो बल: ४ पाँचौँ बल: ४ छैठौँ बल: ६ सातौँ बल: १ आठौँ बल: ६ नवौँ बल: ६ दसौँ बल: ४ एघारौँ बल: ६ बाह्रौँ बल: ४ तेह्रौँ बल: ४ चौधौँ बल: ६ पन्ध्रौँ बल: ६ सोह्रौँ बल: ६ १२ बलमा ५० रन टी१० लिगमा ७४ रन बनाउने शहजाद एक्ला ब्याट्सम्यान हुन् । उनले १२ बलमा अर्धशतक बनाए । आफ्नो पारीमा शहजादले ८ छक्का र ६ चौका लगाए । उनले केवल २ मात्रै सिंगल लिए । शहजादलाई म्यान अफ द म्याच पनि चुनियो । दुवै खेलाडीले केबल १७ मिनेटमै ४ ओभर खेलेर टिमलाई जिताए । अन्तरराष्ट्रिय क्रिकेटबाट सन्यास लिइसकेका मुनाफ पटेलले राजूत टिमका लागि २ ओभरमा २० रन दिएर ३ विकेट लिए । यसभन्दा पहिले सिन्धी टिमको तर्फबाट कप्तान शेन वाट्सनले २० बलमा ४२ रन बनाएका थिए ।"
"विन्स्टन चर्चिललाई पछ्याउँदै गण्डकीका मुख्यमन्त्री : वाररुमबाटै आयोजना अनुगमन","पोखरा : भारतको तेलंगना राज्यमा विश्वकै सबैभन्दा ठूलो सिँचाइ आयोजना बनिरहेको छ । १८ सय किलोमिटर लामो सिँचाइ नहर निर्माण आयोजनाको अनुगमन त्यहाँका मुख्यमन्त्री के चन्द्रशेखर राव आफ्नै कार्यकक्षबाट गर्छन् । त्यस्ता आयोजना नेपालको गण्डकी प्रदेशमा छैनन् । तर यहाँका मुख्यमन्त्री पृथ्वीसुब्बा गुरुङ पनि आफ्नै प्रदेशका ठूला आयोजनाको अनुगमन त्यसरी नै गर्ने योजनामा छन् । मुख्यमन्त्री गुरुङ मलेसियाका महाथिर मोहम्मद, सिंगापुरका लि क्वान यु र बेलायतका पूर्वप्रधानमन्त्री विन्स्टन चर्चिलले त्यसरी ठूला योजनाको अनुगमन गरेको प्रसंग उप्काइरहन्छन् । अब गण्डकीका ठूला योजना त्यसरी नै अनुगमन गर्न वाररुमको कन्सेप्ट अघि सारेका छन् । चर्चिलले दोस्रो विश्वयुद्धका बेला आफ्ना जर्नेललाई राखेर कसलाई कता खटाउने, कहाँ के गर्ने भन्ने निर्णय तुरुन्ता तुरुन्तै गर्ने कक्षलाई वार रुम भनिन्थ्यो, मुख्यमन्त्री गुरुङ भन्छन्, हामीलाई पनि युद्धस्तरमा काम गर्नुछ, त्यसैले वाररुम बनाउँदैछौं । गण्डकी प्रदेश सरकारले पहिलोपटक ल्याएको नीति तथा कार्यक्रममै वार रुमको योजना सार्वजनिक गरेको थियो । अब त्यसलाई कार्यान्वयनमा लैजाने प्रयत्न सुरु भएको छ । कार्यान्वयनबारे सरकारले विज्ञबाट परामर्श लिइसकेको छ । युनएनडीपीका सुदीप अर्यालले बिहीबार मुख्यमन्त्री, मन्त्री र सचिवहरुलाई वार रुम सञ्चालनबारे प्रस्तुतीकरण गरे । उनले भिडियो कन्फेरेन्स सफ्टवेयर जुम प्रयोग गरी योजनाको अनुगमन गर्न सकिने जानकारी दिए । उनले प्रदेश सरकारबाट चाहना भएको वार रुम सञ्चालन तुरुन्तै गर्न सकिने बताए । जुम सफ्टेवयरको लाइसेन्स नै खरिद गरी प्रयोगमा ल्याउन खास खर्चिलो छैन, उनले भने, लाखौं खर्च गरेर अर्काे सफ्टवेयर बनाउन जरुरी छैन, संसारभरि अहिले धेरै केन्द्र र राज्य सरकारले मात्रै होइन, बहुराष्ट्रिय कम्पनीले पनि जुम सफ्टवेयर चलाइरहेका छन् । अर्यालले मुख्यमन्त्री कार्यालयमा उपसचिव संयोजकत्वको वार रुम व्यवस्थान टिम बनाउन सुझाए । उनकै भनाइमा सबै मन्त्रालय, अनुगमन पर्ने आवश्यक कार्यालय र स्थललाई जोडेर अडियो, भिडियो र ग्राफिक एवं तथ्यांकीय जानकारी लिन सकिने सुनाए । भिडियो मिटिङ गरी तुरुन्तै निर्णय लिन सकिन्छ र त्यो भिडियो दस्तावेजको अभिलेख पनि रहन्छ, उनले भने । विभिन्न परियोजनाको गतिविधि दृश्य, तथ्यांक र ग्राफमा देखाउन डिस्प्ले गरिरहने र तथ्यांकमा स्वचालित रुपमा संकलन हुने व्यवस्था गर्नुपर्ने पनि बताए । मुख्यमन्त्री गुरुङले वार रुमको कन्सेप्ट बुझाएर सुझाव संकलनका लागि बिहीबारको छलफल डाकेको सुनाए । उनले भने, विकासे आयोजनामात्रै होइन प्रहरी प्रशासन पनि वार रुमको नेटवर्कमा हुन्छ । कुन कुन स्तरको आयोजनालाई त्यस्तो संयन्त्रमा जोड्ने भन्नेचाहिँ छलफलपछि टुंग्याउने जानकारी मुख्यमन्त्री गुरुङले दिए । प्रदेश नयाँ भएको हुँदा युद्धस्तरका काम गर्न पनि योजनाको अनुगमन गर्ने वार रुम चाहिने उनले प्रष्ट्याए । वार रुमबारेको छलफलमा मुख्यमन्त्री, मन्त्री र सचिव । तस्बिर : अन्नपूर्ण"
"चितवनमा प्रचण्डमाथि आक्रमणको वास्तविकता के हो ?","चितवन : नेपाल कम्युनिस्ट पार्टी (नेकपा) का अध्यक्ष पुष्पकमल दाहाल प्रचण्डमाथि चितवनमा कुनै किसिमको अभद्र व्यवहार नभएको उनको सचिवालयले जनाएको छ । दाहालका प्रेस संयोजक विष्णु सापकोटाका अनुसार बुधबार र बिहीबार प्रचण्ड चितवनमा विभिन्न कार्यक्रम सहभागी भए पनि कुनै किसिमको अभद्र व्यवहार र अप्रिय घटना नभएको प्रष्ट पारेका छन् । बिहीबार बिहान भरतपुर महानगरपालिका२३ कृष्णचोकमा पार्टी प्रवेशको कार्यक्रममा एक व्यक्ति मदिरा पिएर कार्यक्रम स्थलमा पुगेका थिए । मदिरा पिएर कार्यक्रमस्थल बाहिर सामान्य हल्ला गरेको र उक्त व्यक्तिलाई सुरक्षाकर्मीले सम्झाई बुझाई पठाएको सचिवालयले बताएको छ । कतिपय सञ्चारमाध्यमले भने प्रचण्डविरुद्ध खुकुरी नचाएको भन्दै समाचार लेखेपछि सचिवालयले आपत्ति जनाएको हो । यसरी मदिरा पिएर कार्यक्रमस्थलभन्दा बाहिरै बसेर प्रचण्डलाई गाली गर्ने माओवादीका कार्यकर्ता रामबहादुर रिमाल भएको खुलेको छ । उनले प्रचण्डलाई सुरक्षाकर्मीले भेट्न नदिएको भन्दै गाली गरेको प्रत्यक्षदर्शीले बताएका छन् । यही सामान्य विषयलाई अतिरञ्जित गरी केही सञ्चारमाध्यमले समाचारसमेत प्रकाशित गरेकामा सचिवालयको गम्भीर ध्यानाकर्षण भएको सचिवालयले बताएको छ । सचिवालयले जनयुद्ध र योद्धाको समेत अपमान हुने गरी कपोलकल्पित र भ्रमित तवरले प्रकाशित समाचारप्रति विश्वास नगर्न सबैमा आग्रह गरेको छ । जिल्ला प्रहरी कार्यालय चितवनले पनि दाहालको दुईदिने चितवन बसाईका क्रममा कुनै किसिमको अभद्र व्यवहार नभएको दाबी गरेको छ ।"
"आगो निभाउन आधा पानी बोकेर पुग्यो बिग्रेको दमकल","प्युठान : प्युठान नगरपालिका७ विजुवार पूण्यखोला निवासी प्रदीप केसीको कुटानीपिसानी र सिरक डसना उद्योगमा बिहीबार दिउँसो आगलागी भयो । विद्युत् सर्ट भएर जानका कुटानीपिसानी र सुप्रिया सिरक डसना उद्योगमा आगलागी हुँदा लाखौँको क्षति भएको छ । दुवै उद्योग एकै ठाउँमा सञ्चालनमा थिए । आगलागी भए लगत्तै पीडितले प्युठान नगरपालिका कार्यालयमा खबर गरे,दमकल पठाइदिनु पयो । पीडित केसीका अनुसार घटनास्थलमा करिब एक घण्टापछि दमकल पुग्यो । तर, त्यो बेलासम्म सबै नष्ट भइसकेको थियो । आधा पानी बोकेर बिग्रिएको दमकल घटनास्थलमा पुगे पछि आगो नियन्त्रण हुन सकेन । प्युठान नगरपालिकामा दुई दमकल छन् । नगरपालिकाले आफैँ खरिद गरेको दमकल बिग्रिएर मर्मतका लागि बुटवल लगिएको छ । भारत सरकारमार्फत प्राप्त दमकल चार वर्ष पहिले नै बिग्रेर थन्किएको नगरप्रमुख अर्जुनकुमार कक्षपतीले बताए । सशस्त्र पहरी क्याम्पभित्र बिग्रिएको दमकल राखेका थियौँ, कक्षपतीले भने,नजिकै आगलागी भएपछि जिपको ड्राइभर बोलाएर त्यही दमकल लग्यौँ । तर, काम गर्न सकेन । उनका अनुसार बिग्रिएको दमकलले पानी फाल्न सक्दैन । आगलागीस्थलबाट दमकल राखिएको सशस्त्र क्याम्प बढीमा दही मिनेटको दुरीमा पर्छ । बाटो छेउमै उद्योग सञ्चालन भए पनि आगलागी नियन्त्रण गर्न नसकिएको पीडितले गुनासो गरे । दिउँसो आउने जाने विद्युत्को समस्याले सर्ट भएर आगलागी भएको प्रत्यक्षदर्शीले बताएका छन् । मिल सञ्चालन नभएकै बेला घटना भएको पीडित केसीको भनाई छ । जिल्ला प्रहरी कार्यालय प्युठानका प्रमुख प्रहरी नायव उपरीक्षक निर्मल बुढाथोकीका अनुसार आगलागीबाट अनुमानित २७ लाख १६ हजार रुपैयाँ बराबरको क्षति भएको छ । यकिन तथ्याङ्क शुक्रवार बिहानसम्म आउने उनले बताए । गाडी पुग्ने स्थानमासमेत विपदको बेलामा स्थानीय सरकारले पूर्व तयारी नगरेको स्थानीयको आक्रोश छ । उद्योगमा कुटानीपिसानीका लागि थुप्रै व्यक्तिले अन्न राखेको केसीले बताए ।"
"सभामुखले संसद बैठक बाेलाएपछि मुख्यमन्त्री पौडेललाई संकट !","हेटौंडा : स्थायी राजधानी सम्भाव्यता अध्ययन समितिले आफ्नो प्रतिवेदन पेश गरे पनि प्रदेश नम्बर ३ को प्रदेशसभा बैठक बस्नेनबस्ने अझै अन्योल छ । ख्यमन्त्री डोरमणि पौडेल र सभामुख सभामुख सानुकुमार श्रेष्ठबीच नै प्रदेशसभा बैठकबारे मतभेद् छ । मुख्यमन्त्री पौडेल बैठक बोलाउन तयार नहुँदा सभामुखले बैठक आह्वान गरेका छन् । सभामुख श्रेष्ठले आगामी मंसिर १० गतेका लागि बैठक बोलाएका छन् । तर मुख्यमन्त्री पौडेल यसमा अझै तयार नदेखिएका हुन् । स्थायी राजधानीको विषयलाई लिएर प्रदेशसभा सदस्यहरुले बैठकमा आवाज उठाउने भएपछि कुनै निचोड नआइकन मुख्यमन्त्री प्रदेशसभा बैठक नराख्ने मनशायमा पुगेका हुन् । सभामुख श्रेष्ठ भने सरकारका कारण प्रदेशसभा नै अन्योलमा रहन नसक्ने भन्दै बैठक बोलाएको बताउँछन् । प्रदेशसभा माननीयहरुले कुनै विषयमा कुरा उठाउन चाहेमा उठाउन पाउँछन्, कुनै विषयको कारण लामो समय प्रदेशसभा बैठक रोक्नु राम्रो होइन, सभामुख श्रेष्ठले भने, आएका विषयहरु फेस गर्ने गरी नै बैठक बोलाइएको हो । बैठक स्थगित भएको ४८ दिनपछि मात्रै सभामुखले बैठक बोलाएका हुन् । स्रोतका अनुसार सभामुख श्रेष्ठले मुख्यमन्त्रीको सहमतिविना नै बैठक डाकेका हुन् । जसले गर्दा मुख्यमन्त्री पौडेलले आगामी बैठकमा चौतर्फी विवादको सामना गर्नुपर्ने अपेक्षा गरिएको छ । यसअघि पनि स्थायी राजधानीको विषय टुङ्गो नलाग्दा प्रदेशसभा बैठक बस्न सकेको थिएन । राजधानीको विषय कुरेर बस्दा अन्य महत्वपूर्ण कामहरु रोकिएकाले बैठक बोलाइएको सभामुख श्रेष्ठले बताए । सोही कारण प्रदेशसभाले समितिहरुमा पठाएको पाँचवटा विधेयक पनि रोकिएका छन् । प्रदेश सवारी दर्ता तथा यातायात सञ्चालन सम्बन्धी व्यवस्था गर्न बनेको विधेयक, प्रदेश सञ्चारमाध्यम व्यवस्थापन गर्न बनेको विधेयक, प्रदेश संंस्था दर्ता सम्बन्धी व्यवस्था गर्न बनेको विधेयक र सामाजिक विकास मन्त्रालयको प्रदेश खेलकुद परिषद् स्थापना तथा सञ्चालन विधेयक को दवाफार छलफल सकिएको छ । दफावार छलफल सकिएका विधेयकहरु सम्बन्धित संसदीय समितिले प्रतिवेदन सहित अबको प्रदेशसभाको बैठकमा पेश गर्नुपर्ने छ । उक्त विधेयकहरु प्रदेशसभाले पारित गरेसँगै प्रदेश प्रमुखले प्रमाणीकरण गरेपछि कानुनको रुपमा लागु हुनेछ । असोज २४ गते घटस्थापनाको दिन विजयादशमीको शुभकामनासहित चियापान कार्यक्रम गरेर स्थगित भएको प्रदेशसभाको बैठक यति लामो समय स्थगित भएको पहिलो पटक हो ।"
"असन्तुष्ट २१ नेताको ज्ञापनपत्र नेकपाका सचिवालय बैठकको एजेण्डा","काठमाडौं : नेपाल कम्युनिस्ट पार्टी (नेकपा)का २१ केन्द्रीय सदस्यले कार्यशैलीप्रति आपत्ति जनाउँदै बुधबार बुझाएको ज्ञापनपत्रले सचिवालय बैठकमा प्रवेश पाएको छ । बिहीबार प्रधानमन्त्री निवास बालुवाटारमा बसेको नेकपा सचिवालय बैठकले २१ केन्द्रीय सदस्यले बुझाएको ज्ञापनपत्रलाई एजेण्डाको रुपमा बैठकमा छलफल गर्ने निर्णय गरेको हो । डा विजय पौडेलको नेतृत्वमा २१ केन्द्रीय सदस्यले बुधबार महासचिव विष्णु पौडेललाई बुझाएको ज्ञापनपत्रलाई बैठकमा एजेण्डाकै रुपमा प्रस्तुत गरिएको प्रवक्ता नारायणकाजी श्रेष्ठले जानकारी दिए । बुधबार बुझाएको ज्ञापनपत्रमा विजयकुमार पौडेल, जगन्नाथ खतिवडा, शत्रुधन महतो, ममता गिरी, जयन्ती राई, गरिमा साह, भाष्कर काफ्ले, रामकुमारी झाँकी, निरज आचार्य, प्रमलकुमार खनाल, मधव अर्याल, विजय गुरुङ, तुलबहादुर गुरुङ, यदुवंश झा, रचना खड्का, विरोध खतिवडा, रविन कोइराला, पशुपति चौलागाई, मेट्मणि चौधरी, विश्वनाथ प्याकुरेल र ठाकुर गैरेले हस्ताक्षर गरेका थिए । पार्टीको कार्यशैलीप्रति नेकपाका नेताको आपत्ति : महासचिवलाई ज्ञापनपत्र के छ पार्टीको कार्यशैलीप्रति नेकपाकै नेताले आपत्ति जनाएको ज्ञापनपत्रमा ? पूर्णपाठ"
"""डडेल्धुरामा बस दुर्घटना : १० जनाको मृत्यु","२० बढी घाइते"",कैलाली : डडेल्धुराबाट डोटी जाँदै गरेको बस दुर्घटना हुँदा १० जनाको मृत्यु भएको छ । से १ क २९३ नम्बरको बस बिहीबार साँझ दुई जिल्लाको सीमानामा पर्ने रडुवा नदीमा दुर्घटनामा परेको हो । केआईसिंह राजमार्ग अन्तर्गत डडेल्धुराको अमरगढी नगरपालिका ११ मा पर्ने रडुवा खोलामा स्कुल बस दुर्घटना भएको हो । स्कुल बस भए पनि सर्वसाधारण यात्रु सवार रहेको प्रहरीले बताएको छ । मेला भरेर फर्कने क्रममा बस दुर्घटना भएको प्रहरीको भनाइ छ । घाइतेलाई उपचारका लागि उपक्षेत्रीय अस्पताल पठाइएको डडेल्धुराका प्रमुख जिल्ला अधिकारी मोहनराज जोशीले जानकारी दिए । राति भएकाले केही घाइतेको उद्धारमा कठिनाइ भएको प्रहरीको भनाइ छ । बस सडकबाट पाँच सय मिटर तल खसेको सुदूरपश्चिम प्रदेशका प्रहरी प्रमुख डीआईजी सुरज केसीले जानकारी दिए । घाइतेलाई उपचारका लागि आसपासका अस्पतालमा पुर्याइएको छ । घटनाको विस्तृत विवरण भने आउन बाँकी छ ।"
"""सिरहामा बसट्रक ठोक्किदा एकको मृत्यु","४४ घाइते"",सिरहा : पूर्वपश्चिम लोकमार्ग अन्तर्गत सिरहाको कर्जन्हा नगरपालिका ३ बन्दीपुरमा बस र ट्रक ठक्कर खाँदा एकजनाको मृत्यु भएको छ भने ४४ जना घाइते भएका छन् । बन्दीपुरस्थित कमला पुलको पूर्वपतर्फ बसट्रक ठोक्किदा घाइते भएका सर्लाही हरिपुर नगरपालिकाका जगदिश ठाकुरको उपचारका क्रममा मृत्यु भएको हो । ना ४ ख ४८२५ नम्बरको बस र ना ५ ख ३९४० नम्बरको ट्रक ठक्कर खाँदा दुर्घटना भएको इलाका प्रहरी कार्यालय मिर्चैयाका डीएसपी शुकदेव खनालले जानकारी दिए । घाइतेमध्ये ४१ जनाको उपचार कर्जन्हास्थित फुलकुमारी महतो अस्पतालमा भइरहेको छ भने ३ जनालाई उपचारका लागि बाहिर पठाइएको छ । सर्लाही हरिपुर नगरपालिकाका स्थानीय शुक्रबार बिहान कार्तिक पूर्णिमाको दिन लाग्ने भुत मेला हेर्न सिरहाको कमला नदी पुगेका थिए ।"
"""राष्ट्रपतिलाई बदनाम गर्न खोजिएको सञ्चारमन्त्रीको आरोप : भन्छन्","साइकलमा हिँडाउने हो ?"",""काठमाडौं : गाडी खरिद र कार्यालय व्यवस्थापनको विषयलाई लिएर राष्ट्रपतिलाई बदनाम गर्न खोजिएको भन्दै सरकारले आपत्ति जनाएको छ । मन्त्रिपरिषदका निर्णय सार्वजनिक गर्ने साप्ताहिक पत्रकार सम्मेलनमा सरकारका प्रवक्ता एवं सञ्चारमन्त्री गोकुल बाँस्कोटाले नियोजित र भ्रामक समाचार सम्प्रेषण गरेर राष्ट्रपति र उपराष्ट्रपतिलाई विवाद र बदनाम गर्न खोजिएको आरोप लगाएका हुन् । राष्ट्रपति जस्तो लोकतान्त्रिक संस्थालाई व्यक्तिसँग जोडेर उछाल्ने काम न्याउरी मारी पछुतो हुन सक्छ, पत्रकार सम्मेलनमा मन्त्री बाँस्कोटाले भने, हाम्रा संवैधानिक संस्थालाई कमजोर, निकम्मा र अपमानित गर्न खोजिदैछ । उनले राष्ट्रपतिले यो वा त्यो भनेर सरकारसँग कुनै माग नगरेको दाबी गरे । बास्कोटाले भने, सरकार आफैँले आफ्ना संवैधानिक संस्थाको व्यवस्था गर्नु उसको दायित्व र कर्तव्य हो । राष्ट्रपति चढने एउटै गाडीका लागि १८ करोड माग गरेको भन्ने समाचार गलत र भ्रामक भएको मन्त्री बाँस्कोटाले बताए । राष्ट्रपतिलाई बुलेट प्रफु गाडीसहित अगुवा पछुवा गरी ६ वटा गाडी किन्ने तयारी भएको र ती सबैका लागि १८ करोड बजेटको चाहिएको मन्त्री बाँस्कोटाले बताए । तर मौका यही हो, बेला यही हो भनेर लोकतान्त्रिक गणतन्त्र मन नपराउने तत्त्तबाट लोकतान्त्रिक गणतन्त्रको निर्वाचित संस्थाको बदनाम गराउने र लोकतन्त्रको मर्म र अस्तित्व कमजोर बनाउने उदेश्यले प्रचार गरिएको छ । राष्ट्रपति र उपराष्ट्रपतिको व्यवस्था भएदेखि नै ति संस्थाका लागि नयाँ गाडी नकिनिएको दाबी गर्दै मन्त्री बाँस्कोटाले पूर्वप्रधानमन्त्री शेरबहादुर देउवाकै पालामा गाडी किन्ने घोषणा संसदमा गरिएको पनि बताए । के हामी यी संस्थाका लागि गाडी चाहिँदैन भन्न सक्छौ ? प्रतिप्रश्न गर्दै बाँस्कोटाले राष्ट्रपतिलाई साइकलमा हिँडाउने हो र ? १६ करोडको गाडी खरिदबारे संसदमा र्याखर्याखती राष्ट्रपति भण्डारीलार्इ विद्युतीय गाडी गाडी किन्न संसद्ले माग्यो थप बजेट राष्ट्रपतिलाई गाडी किन्न १८ करोड विदेशी राष्ट्रप्रमुख आउँदा आफ्नै देशबाट गाडी लिएर आउनुपर्ने लज्जास्पद अवस्थाको आंकलन गर्न पनि मन्त्री बाँस्कोटाले बताए । राष्ट्रपति विदेश जाँदा वा फर्कदा सडक जाम भएर सर्वसाधारणले दुःख पाउने गरेका कारण प्रहरी प्रतिष्ठान भवनमा हेलिप्याड बनाउने निर्णय गरिएको बाँस्कोटाले स्पष्ट गरे । ०७१ सालमा प्रहरी प्रतिष्ठान भवन काभ्रेको पनौतीमा सार्ने भनेर भारत र नेपाल सरकारबीच एमओयू भएको मन्त्री बाँस्कोटाले बताए । अहिले आएर प्रहरी प्रतिष्ठान हटाउन खोज्यो भनेर अनावश्यक उचाल्नु जरुरी छैन, बाँस्कोटाले भने । उपराष्ट्रपति कार्यालय सार्न खोजिएको समाज कल्याण परिषदको भवनमा रहेको महिला मन्त्रालयको एउटा विभागलाई ललितपुरस्थित सरकारी भवनमा सारिसकेका कारण त्यहाँका विषयमा पनि अनावश्यक होहल्ला र विवाद गर्न जरुरी नभएको मन्त्री बाँस्कोटाले बताए ।"""
"शृङ्खला मिस वर्ल्ड प्रतिस्पर्धाको सेमिफाइनलमा","काठमाडौं : चीनको सान्या सहरमा जारी मिस वर्ल्ड२०१८ को विभिन्न चरणका प्रतिस्पर्धामा नेपालको प्रतिनिधित्व गर्दै सहभागी भएकी मिस नेपाल२०१८ शृंखला खतिवडा अघिल्लो चरणमा पुगेकी छन् । एक सय २१ देशका सुन्दरी सहभागी प्रतियोगितामा शृंखला उत्कृष्ट ३० मा छनोट भएकी शृङ्खला सेमिफाइनलमा पुगेकी हुन् । टप मोडेल विधा अन्तर्गत उनी सेमिफाइनलमा पुगेकी हुन् । उनले बिहीबार साँझ फेसबुकमार्फत् आफू सेमिफाइनलमा पुगेको बताएकी हुन् । सेमीमा प्रवेश गर्दा म अत्यन्त खुशी छु । प्रतिस्पर्धाको कठिन अवस्थालाई शानदार तरिकाले अवस्थालाई सम्हाल्न सकेकोमा प्रतिस्पर्धीले मलाई बधाई दिएका थिए, उनले लेखेकी छन्, नेपालीले दिएको माया र विश्वासप्रति आभार प्रकट गर्दै सबैलाई धन्यवाद दिन चाहन्छु । मिस वर्ल्डमा भाग लिन शृंखला नौ दिनअघि चीन गएकी हुन् । २२ वर्षे शृंखला पेसाले इन्जिनियर हुन् । यसपटकको मिस वल्र्डको प्रतिस्पर्धामा शृंखला यसअघिदेखि नै अगाडि छन् । उनी एसियाबाट सबैभन्दा प्रभावशाली साबित भइसकेकी छन् । डिसेम्बर ८ मा चीनको सान्या सहरमा मिस वल्र्ड २०१८ को अन्तिम प्रतिस्पर्धा हुँदै छ । मिस वल्र्डको काउन्ट डाउन सुरु भइसकेको छ । मिस वर्ल्डको प्रतिस्पर्धामा शृंखला अगाडि"
