"शीर्षक","विवरण"
"""सुदूरमा स्वास्थ्य समस्या : दरबन्दी छ डाक्टर छैनन्","करार पत्र बाटैमा गायब !"",""शिवराज भट्टभगीरथ अवस्थी बैतडी : बैतडीको सुर्नया गाउँपालिका८ ढोलेकी राधा बिकले घरमै बच्चा जन्माइन् । घर नजिकै बनेको सामुदायिक स्वास्थ्य इकाइमा कर्मचारी नहुँदा जोखिम मोलेरै घरमा बच्चा जन्माउन बाध्य भइन् उनी । ढोलेकी अर्की महिला जानकी बोहराले पनि घरमै बच्चा जन्माइन् । कारण सामुदायिक स्वास्थ्य इकाइमा कर्मचारी नै थिएनन् । बजारका स्वास्थ्यचौकीमा कर्मचारी त छन्, तर रातको समयमा ब्यथा लाग्दा बजार पुग्न पनि सम्भव छैन । सुर्नया गाउँपालिका८ ढोले र दोराका स्थानीयबासिन्दालाई लक्षित गरी वडा कार्यालयले ५ लाख खर्च गरेर सामुदायिक स्वास्थ्य इकाइको भवन निर्माण त गर्यो । तर कर्मचारी नै भएनन् । कर्मचारीको अभावका कारण कार्यालय सञ्चालन गर्नै नसकिएको बताउँछन् शिखरपुर स्वास्थ्य चौकीका ईन्चार्ज बीरबहादुर बोहरा । स्वास्थ्यचौकीमा पनि दरबन्दी अनुसार अनमी छैनन् । सामुदायिक स्वास्थ्य इकाइका लागि करारमा समेत कर्मचारी राखिएको छैन । भवन त बनाइयो तर कर्मचारी नहुँदा सेवा दिन सकिएको छैन, बीरबहादुर भन्छन् । दुर्गमको सामुदायिक स्वास्थ्य इकाइमा मात्रै नभएर सदरमुकाममै रहेको जिल्ला अस्पताल पनि अढाई महिनायता नर्स विहिन छ । अस्पतालमा कार्यरत स्टाफ नर्समध्ये कोही अध्ययन बिदा र कसैको सरुवा भएपछि अस्पतालमा सेवाग्राहीलाई सेवा दिन स्टाफ नर्स नै छैनन् । जिल्ला अस्पताल बैतडीका मेडिकल सुपरीटेन्डेन्ट डा जगदीशचन्द्र बिष्टका अनुसार जटील खालको प्रसूति सेवा दिन स्टाफ नर्स नै चाहिन्छ । तर ६ जनाको दरबन्दी रहेको जिल्ला अस्पतालमा अहिले एकजना पनि नर्स छैन । डडेल्धुराको उपक्षेत्रीय अस्पतालमा पनि मेसु सहित २० जना डाक्टरको दरबन्दी रहेकोमा एक जना पनि कार्यरत छैनन् । उपक्षेत्रीय अस्पतालमा नवौं र दशौं तहका १९ जना र एकजना मेसुको दरबन्दी खाली रहेको सुदूरपश्चिम क्षेत्रीय स्वास्थ्य निर्देशनालयले जनाएको छ । उपक्षेत्रीय अस्पतालमा अधिकृत स्तरको एकजना ल्याब टेक्निसियन, फिजियो सहायक र १८ जना स्टाफ नर्सको दरबन्दीमा १२ जनाको दरबन्दी त खाली नै रहेको सुदूरपश्चिम प्रदेश स्वास्थ्य निर्देशनालयका निर्देशक डा गुणराज अवस्थीले बताए । अझै बिजोग त महाकाली अञ्चल अस्पतालको छ । महाकाली अञ्चल अस्पतालमा १५ जना विषेशज्ञ चिकित्सकको दरबन्दी रिक्त नै छ भने ६ जना मेडिकल अधिकृतको दरबन्दी खाली छ । सेती अञ्चल अस्पतालमा १३ चिकित्सकको दरबन्दी खाली छ । सेतीमा मेडिकल ल्याब टेक्नोलोजिस्ट, २ जना नर्सिङ अधिकृत सहितको दरबन्दी समेत खाली छ । टीकापुर अस्पतालमा पनि १३ जना चिकित्सकको दरबन्दी रिक्त रहेको छ भने फार्मेसी निरीक्षक, खरिदार सहितको दरबन्दी खाली छ । अछाम जिल्ला अस्पतालमा मेसु सहित ५ जना, बझाङमा मेसु, बाजुरामा मेसु सहित ५ जना, दार्चुलामा मेसु सहित ४ जना, गोकुलेश्वर अस्पतालमा मेसु सहित ५ जना चिकित्सक र स्वास्थ्यकर्मीको दरबन्दी रिक्त रहेको सुदूरपश्चि स्वास्थ्य निर्देशनालयले जनाएको छ । मन्त्रालयको पत्र नै हरायो एकातिर अञ्चल र जिल्ला अस्पतालमा दरबन्दीमा चिकित्सक, नर्सिङ स्टाफको दरबन्दी खाली भएका बेला संघीय सरकारले डेढ महिनाअघि नै करारमा भर्ना गर्ने अधिकार सहित प्रदेश सरकारलाई पठाएको पत्र नै गायव भएको छ । यी रिक्त दरबन्दीमा करारमा स्वास्थ्यकर्मी भर्ना गर्ने भन्दै स्वास्थ्य तथा जनसंख्या मन्त्रालयले सुदूरपश्चिम प्रदेशका मुख्यमन्त्री तथा मन्त्रीपरिषदको कार्यालयलाई पुस महिनाको ३ गते पठाएको पत्र हराएको हो । २०७५ सालको पुष ३ गते स्वास्थ्य तथा जनसंख्या मन्त्रालयले सातवटै प्रदेशका मुख्यमन्त्री तथा मन्त्रीपरिषदको कार्यालयलाई स्वास्थ्य सेवा ऐन २०५३ र निममावली २०५५ को अधिनमा रही काज सरुवा गर्ने, लोकसेवाबाट आएका कर्मचारीलाई पदस्थापन गर्ने र चौथो तहदेखि आठौं तहसम्मका रिक्त दरबन्दीमा करार नियुक्तिको अधिकार दिएको छ । मन्त्रालयले पठाएको पत्र सातवटै प्रदेशका मुख्यमन्त्री तथा मन्त्रीपरिषदको कार्यालयलाई पठाइएको छ भने सामाजिक विकास मन्त्रालय र स्वास्थ्य निर्देशनालयहरुलाई बोधार्थ पठाइएको छ । तर मुख्यमन्त्री तथा मन्त्रीपरिषदको कार्यालयले यो पत्र प्राप्त नभएको जनाएको छ । त्यो पत्र हामीकहाँ पुगेको छैन, केन्द्रले मेलमा पनि देखिएन, हार्डकपी पनि देखिएन सुदूरपश्चिम प्रदेशका प्रमुख सचिव नारायण विडारीले भने । सामाजिक विकास मन्त्रालय र प्रदेश स्वास्थ्य निर्देशनालयले करार भर्नाको अख्तियारी मुख्यमन्त्री तथा मन्त्रीपरिषदको कार्यालयलाई दिइएकाले आफूहरुलाई त्यो अधिकार प्रत्यायोजन नगर्दासम्म करार भर्ना गर्न नमिल्ने जनाएको छ । अहिलेसम्म निर्देशनालयलाई करार नियुक्तिबारे कुनै अख्यिारी दिइएको छैन, सुदूरपश्चिम स्वास्थ्य निर्देशनालयमा निर्देशक डागुणराज अवस्थीले भने, प्रदेशभरी स्वास्थ्कर्मीको अभावले मानिसहरु समस्यामा छन्, मुख्यमन्त्रीकै कार्यालयले पनि करार नियुक्त गरे भैहाल्छ, तर छिटो गर्नुपयो । स्वास्थ्यमन्त्रालयको उक्त पत्रको अख्तियारी सामाजिक विकास मन्त्रालयलाई पनि नदिएको मन्त्रालयका सूचना अधिकारी नरेन्द्रसिंह कार्की बताउँछन् ।"""
"बस्तीमा क्रसर खोल्न जबर्जबस्ती","महेन्द्रनगर : कञ्चनपुर वेदकोट९ सुन्दरपुरस्थित बस्तीमा क्रसर उद्योग सञ्चालन गर्न नदिन स्थानीय संगठित भएका छन् । क्रसर सञ्चालनको तयारीपछि यसलाई रोक्न स्थानीय संघर्ष समिति गठन गरी अघि बढेका हुन् । उनीहरूकै विरोधपछि यसअघि सिद्धनाथ उदयदेव अनमोल क्रसर उद्योग निर्माण रोकिएको थियो । सञ्चालकले समन्वय नगरी उद्योग सञ्चालनको तयारी गरेको स्थानीयको भनाइ छ । उद्योग स्थापना गर्न लागिएको क्षेत्र चारैतिर मानव बस्ती छ । विद्यालय, मठमन्दिर र खोलासमेत छन् । कुनै मापदण्ड पूरा भएको छैन, जबर्जस्ती रूपमा उद्योग स्थापना गर्ने काम हुँदै छ, संघर्ष समितिका अध्यक्ष नरबहादुर विष्टले भने, भविष्यमा उद्योेग स्थापनाबाट बस्तीलाई असर नपरोस् भन्ने उद्देश्यले हामीले आन्दोलनमा जानुपरेको हो । बस्तीमै क्रसर उद्योग सुरु भए त्यसले स्वास्थ्यमा असर पर्ने भन्दै स्थानीय चिन्तित छन् । सामान्यतः खोला किनारबाट ५ सय मिटर, राजमार्गबाट ५ सय मिटर, घना बस्तीबाट २ किलोमिटर, शिक्षण संस्थाबाट २ किलोमिटर, धार्मिक पुरातात्विक महत्वको स्थानबाट २ किलोमिटर र सुरक्षा निकायबाट २ किलोमिटर दूरीमा मात्र उद्योग स्थापना गर्न पाइन्छ । तर, यहाँ उद्योगले मापदण्ड पूरा नगरेको स्थानीयको आरोप छ । उद्योग स्थापनाअघि सम्भाव्यता अध्ययन पनि गरेका छैनन्, स्थानीय पार्वती जोशी भट्टले भनिन, हामीसँग छलफल गरेर अघि बढ्नुपर्थ्यो । अब चरणबद्ध आन्दोलनमा जान्छौं । उनका अनुसार उद्योगले वातावरणीय प्रभाव मूल्यांकन गर्दा २३ वटा घर मात्रै वरिपरि देखाएको छ । यसका लागि स्थलगत अध्ययन गर्न कुनै टोली नआएको स्थानीयको भनाइ छ । स्थानीय कमला पाण्डेयले उद्योग सञ्चालकले केहीलाई प्रलोभनमा पारी सहमति गराएको दाबी गरिन् । मेरा ससुरालाई मात्रै हस्ताक्षर गराएका थिए, हामीलाई जानकारी दिएनन्, उनले भनिन् । उद्योग स्थापना रोक्नुपर्ने मागसहित स्थानीयले सर्वोच्च अदालतमा रिट दायर गरेका थिए । उद्योग सञ्चालकसहित नेपाल सरकार र सरोकारवाला कार्यालयलाई रिटमा विपक्षी बनाइएको थियो । सर्वोच्चका तत्कालीन न्यायाधीश (हाल प्रधानन्यायाधीश) चोलेन्द्रशमशेर जबरा र न्यायाधीश अनिलकुमार सिन्हाको इजलासले जेठ २ गते रिट खारेज गरेको थियो । फैसलामा भने सर्वोच्चले उद्योग स्थापना गर्नुपर्ने ६ महिनाको म्याद समाप्त भइसकेको उल्लेख थियो । म्याद थप गर्नुपरे घरेलु तथा साना उद्योग विभागले विवरण पुनरवलोकन गरी आवश्यक जाँचबुझ गर्नुपर्ने पनि जनाइएको थियो । उद्योग सञ्चालक तेजबहादुर चन्दले कानुनी प्रक्रिया पूरा गरी क्रसर सञ्चालन तयारी थालिएको बताए । सुरुमा सबै स्थानीयले सहमति जनाएर सरकारी निकायको स्वीकृतिमा काम अघि बढेको हो, उनले भने, स्थापना गर्न लाग्दा फरक विचार देखिएको हो । उद्योग नयाँ प्रविधियुक्त बनाउन लागिएकाले बस्तीमा कुनै असर नपुग्ने दाबी उनले गरे । उनका अनुसार उद्योग पुस २ गते घरेलु तथा साना उद्योग कार्यालयबाट नवीकरण भइसकेको छ । वडाध्यक्ष रामसिंह धामीले कागज गलत तयार पारेर पेस गरेको पाइएको सुनाए । स्थानीय जनप्रतिनिधि आउनुअघि सबै काम भएको छ, उनले भने, हामीले कार्यपालिका बैठकबाटैै सर्वोच्चको फैसलाबारे कानुनी परामर्श गरिरहेका छौं ।"
"बाढी प्रभावित क्षेत्रमा आपकालीन आवास","राजविराज : बाढी प्रभावित क्षेत्र सप्तरीको तिलाठी कोइलाडी गाउँपालिकामा आपतकालीन सामाजिक सुरक्षित आवास (सेल्टर हाउस) बन्ने भएको छ । कोरियन रेडक्रसको आर्थिक सहयोगमा तिलाठी कोईलाडी गाउँपालिका ५ मा निर्माण हुने आपत्कालिन सामाजिक सुरक्षित आवासको बिहीबार शिलान्यास भएको छ । आवासको संयुक्त रुपमा नेपाल रेडक्रस सोसाईटी सप्तरीका सभापति जोगेन्द्र भगत र तिलाठी कोइलाडी गाउँपालिकाका अध्यक्ष सतिशकुमार सिंहले शिलान्यास गरे । शिलान्यास पश्चात गाउँपालिका अध्यक्ष सिंहले तीन महिना भित्र सुरक्षित आवास निर्माण हुने प्रतिवद्धता व्यक्त गरे । नेपाल रेडक्रस सप्तरी शाखाद्वारा सञ्चालित कोशी वेशीन कार्यक्रमअन्तर्गत निर्माण हुन लागेको आवासको कुल लागत १६ लाख ६८ हजार आठ सय ५४ रुपैयाँ रहेको कोशी वेसीनका कार्यक्रम अधिकृत प्रशान्त थापाले बताए । कुल लागतमा सात लाख रुपैयाँ कोशी वेशिन कार्यक्रमले हस्तान्तरण गर्ने र बाँकी रकम जनश्रमदान र तिलाठी कोइलाडी गाँउपालिकाले प्रदान गर्ने कार्यक्रम अधिकृत थापाले जनाए । सुरक्षित आवास गृहमा एउटा सानो र एउटा ठुलो कोठा बनाईने छ ।"
"ठोरीको सेवा केन्द्र सार्ने सरकारको निर्णयले सुर्वणपुरमा आन्दोलन","वीरगन्ज : संघीय सरकारले पर्साको ठोरी गाउँपालिकाको केन्द्र सार्ने निर्णय गरेको खबर सार्वजनिक भए लगत्तै स्थानीयवासीहरू आन्दोलित भएका छन् । संघीय सरकारको माघ १४ गते सोमबार बसेको मन्त्रिपरिषदको बैठकले ठोरी गाँउपालिका वडा नम्बर ५ सुर्वणपुरमा रहेको सेवा केन्द्र, वडा नम्बर ४ घ्याङ डाँडामा सार्ने निर्णय गरेको थियो । मन्त्रिपरिषद् निर्णय बिहीबार साँझ सरकारका प्रवक्ता एवं सूचना तथा सन्चारमन्त्री गोकुल बास्कोटाले सार्वजनिक गरे लगत्तै सुर्वणपुरमा स्थानीयले आन्दोलन सुरु गरेका हुन् । सुर्वणपुरवासी साँझ ६ बजे देखि सडकमा उत्रिएका छन् । स्थानीयले सुर्वणपुरमा रहेको सेवाकेन्द्रमा तालाबन्दी गरेर सडकमा टायर बालेर नाराबाजी गरिरहेका छन् । प्रदर्शनकारीहरूले सेवा केन्द्रमा रहेको गाउँपालिकाका प्रमुख पदमलाल श्रेष्ठ र उपप्रमुख शान्ति थिङको नेम प्लेट उखेलेर फालिदिएका छन् । पर्साको ठोरी गाउँपालिकामा माओवादी केन्द्र विजयी ठोरीलाई प्रदेश ३ मै गाभ्न सकिन्छ : प्रचण्ड प्रचण्डले भने: केरुङबाट आउने रेल ठोरी नाकाबाट भारतसम्म पुग्छ ठोरीबारे बोल्दा अफ्ठेरोमा प्रचण्ड, आयो हात काटिदिने चेतावनी ठोरीको केन्द्र सार्ने निर्णयले सातादेखि बजार र सडक बन्द ठोरीको आन्दोलन उग्र, गाँउपालिका कार्यालयमा तोडफोड र आगजनी यसअघि २०७४ माघ १५ गते बसेको गाउँपालिकाको पहिलो बोर्ड बैठकले सुर्वणपुरमा रहेको सेवा केन्द्र घ्याङ डाँडामा सार्ने निर्णय गरेको भोलिपल्ट माघ १६ गते देखि नै सुर्वणपुरका स्थानीयले दुई महिनासम्म आन्दोलन गरेका थिए । संघर्ष समितिको अगुवाइमा ६५ दिनसम्म चलेको आन्दोलन संघीय मामिला तथा स्थानीय विकास मन्त्रालयले ठोरी गाउँपालिकाको सेवा केन्द्र सार्ने निर्णयका बारेमा सत्यतथ्य लेखी पठाउन जिल्ला समन्वय समिति पर्सालाई निर्देशन दिसँगै चैत अन्तिम साता स्थगित भएको थियो । तर फेरि गाउँपालिकाका प्रमुख श्रेष्ठले धोका दिएको संघर्ष समितिका संयोजक जरी लामाले बताए । सरकारको निर्णय जनविरोधी रहेको उनको आरोप छ । सेवा केन्द्र सार्ने निर्णय खारेज नभएसम्म आन्दोलन नरोकिने स्थानीय विमल खड्काले बताए । ठोरी गाँउपालिकाका प्रमुख श्रेष्ठले भने गाउँसभाले गरेको निर्णयको पक्षमा सरकारले सेवा केन्द्र परिवर्तन गरेको प्रतिक्रिया दिए ।"
"टीट्वान्टी शृंखला : यूएईसँग नेपाल २१ रनले पराजित","काठमाडौं : टीट्वेन्टी शृंखला अन्तर्गतको पहिलो खेलमा नेपाल संयुक्त अरब इमिरेट्स (यूएई) सँग पराजित भएको छ । बिहीबार भएको पहिलो खेलमा यूएईले दिएकाे १५४ रनकाे लक्ष्य पछ्याएकाे नेपाल २१ रनले पराजित भएको हो । बिहीबारको पहिलो खेलमा पराजित भएसँगै नेपाल तीन खेलको शृंखलामा १० ले पछि परेको छ । दुबईस्थित अन्तर्राष्ट्रिय क्रिकेट काउन्सिल (आईसीसी) एकेडेमीको मैदानमा टस जिती फिल्डिङ रोजेको नेपालले घरेलु टोली यूएईलाई निर्धारित २० ओभरमा ६ विकेट गुमाउँदै एक सय ५३ रनको योगफलमा रोकेको थियो । जवाफमा नेपालले निर्धारित ओभरमा सात विकेट गुमाउँदा एक सय ३२ रन मात्रै जोड्न सकेपछि पहिलो खेलमा पराजय बेहोरेको हो । मध्यम योगफल पछ्याएको नेपाल ब्याटिङमा फेरि केही कमजोर देखियो । सन्दीप जोहराले आफ्नो डेब्यू खेलमै अविजित ५३ रनको अर्धशतक प्रहार गरेपनि नेपालको जित सम्भव भएन । उनले ४६ बलमा तीन चौका र एक छक्काको मद्दतमा ५३ रन बनाएका हुन् । सन्दीपले ४६ बलको आफ्नो पालीमा एक छक्का र तीन चौका प्रहार गरेका थिए । उनी भन्दा बाहेक सोमपाल कामीले २७ तथा कप्तान पारस खड्काले २५ रन जोड्दा अन्य खेलाडीले दोहोरो अंकमा रन जोड्न सकेनन् । सोमपालले १९ बलमा एक छक्का र एक चौका प्रहार गर्दा कप्तान पारसले २५बलमा चार चौका हिर्काएका थिए । नेपालका प्रारम्भिक खेलाडी प्रदीप ऐरी खेलको पहिलो बलमै खाता खोल्नु अघि आउट हुँदा उपकप्तान ज्ञानेन्द्र मल्ल ७, दीपेन्द्र सिंह ऐरी, रोहित पौडेल र करण केसी समान ४ रनमा आउट हुन पुगे । सन्दीप लामिछाने दुई रनमा अविजित रहे ।"
"भोलि स्वास्थ्य सेवा ठप्प पार्ने चिकित्सक संघको घोषणा","काठमाडौं : नेपाल चिकित्सक संघले भोलि शुक्रबार आकस्मिक बाहेकका सबै स्वास्थ्य सेवा ठप्प पार्ने घोषणा गरेको छ । २३ दिनदेखि अनसनरत डा गोविन्द केसीको समर्थनमा संघले कडा किसिमको आन्दोलनको घोषणा गरेको हो । नेपाल चिकित्सक संघका महासचिव डा लोचन कार्कीका अनुसार निजी तथा सरकारी दुबै स्वास्थ्य संस्थामा सेवा बन्द गर्ने निर्णय भएको हो । शुक्रबार १ दिनका लागि सांकेतिक आन्दोलन स्वरुप देशभरका सरकारी, गैरसरकारी, निजी, मेडिकल कलेज लगायतका सम्पूर्ण स्वास्थ्य संस्थाहरुमा आकस्मिक बाहेकका अन्य सम्पूर्ण स्वास्थ्य सेवा पूर्ण रुपमा बन्द गर्ने निर्णय गरिएको छ, विज्ञप्तिमा भनिएको छ । चिकित्सा शिक्षा विधेयक राष्ट्रियसभाबाट पारित गरेसँगै बिहीबार संघले अनसनरत डा केसीको स्वास्थ्य जटिल भइसक्दा पनि सरकारले वार्तामा बेवास्ता गरेको भन्दै दबावका लागि कडा आन्दोलनको कार्यक्रम घोषणा गरेको जनाएको छ । डा गोविन्द केसीको रक्षाका लागि घोषणा गरेको आन्दोलनलाई कुनै पनि आग्रह वा पूर्वाग्रहभन्दा माथि उठेर सरकारी तथा निजी स्वास्थ्य संस्थाहरुले पूर्ण रुपमा कार्यन्वयन गर्न अपिल गरेको छ ।"
"नेपालको परिर्वतन देखेर अन्तर्राष्ट्रिय जगत अचम्भित : प्रधानमन्त्री ओली","दमक : प्रधानमन्त्री केपी शर्मा ओलीले पछिल्लो वर्ष नेपालको प्रगति र विकाश देखेर दुनियाँ आश्चर्य चकित भएको बताएका छन् । पुरानो राष्ट्रिय संरचनालाई आमुल परिवर्तन गर्दै सहजताका साथ नेपाल विकासमा अघि बढेको देखेर अन्तर्राष्ट्रिय जगत आश्चर्यमा परेको उनको भनाइ छ । बिहीबार दमकमा आयोजित बृहत बाल महोत्सव कार्यक्रमको उद्घाटन गर्दै ओलीले आफूले ठूलो अन्तर्राष्ट्रिय मञ्चमा आफ्ना कुरा सुनाउँदा विश्व जगत छक्क परेको बताएका हुन् । संयुक्त राष्ट्र संघको अन्तर्राष्ट्रिय मञ्च तथा विश्वका धनीहरु संलग्न स्विट्जरल्यान्डको डाबोस जस्ता मञ्चमा नेपालले के गरिरहेको छ भन्ने बारे आफूले जानकारी गराएको ओलीको भनाइ छ । छोटो समयमा नेपालले नयाँ बनेको संघीय संरचनालाई पूर्णता दिएको देखेर अन्तर्राष्ट्रिय जगतको ध्यान नेपालतिर खिचिएको उनको भनाइ छ । नेपालमा एक वर्षभित्र धेरै कानुन निर्माण भएका छन् । हामी संघीय संरचनालाई शान्त र सन्तुलित ढंगले अघि बढाउन र कर्मचारी समायोजन गर्न सफल भएका छौँ, ओलीले भने, अब नेपालमा विकासको कदम रोकिँदैन । आफ्नो नेतृत्वको सरकारले छिमेकी सँगको सम्बन्ध बराबरीको हैसियतमा पुर्याएको समेत ओलीको दाबी गरे । हिजो नेपाल र छिमेकी देशबीचको सम्बन्ध असमान हैसियतमा थियो, ओलीले भने, आज त्यो सम्बन्ध समान हैसियतमा पुगेको छ । अब कुनै असमानता आउने छैन । यो सम्बन्ध एकदमै सन्तुलित र व्यवस्थित ढंगले अघि बढ्छ । वृद्धाभत्ता बढाउने घोषणा प्रधानमन्त्री ओलीले बाल महोत्सवलाई सम्बोधन गर्दै वृद्धाभत्ता बढाउने घोषणा गरेका छन् । उनले यही आर्थिक वर्षको बजेट भाषणबाट जेष्ठ नागरिक भत्ता बढ्ने घोषणा गरेका हुन् । उनले आउने जेठ १५ गतेबाट वृद्धाभत्ताका नाममा आलोचना गर्ने दिने सकिने बताए ।"
"जनताले अपेक्षाअनुसार उपलब्धी पाउन सकेनन् : उपराष्ट्रपति","परासी : उपराष्ट्रपति नन्दबहादुर पुनले जनताले अपेक्षाअनुसारको उपलब्धी पाउन नसकेको बताएका छन् । सरकारले सिंहदरबारको अधिकार जनताको घर दैलोमा पुर्याउने अभियान थालेपनि त्यसले तिव्रता पाउन नसक्दा जनता निराश हुन थालेको उनले बताए । सातदशक अघि देखिको राजनीतिक विसंगति र विकृतिलाई व्यवस्थित गराउने क्रममा जनताले चाहे अनुसारको उपलब्धि हासिल गर्न नसकेपनि अभियान भने नरोकिएको उपराष्ट्रपतिले बताए । पश्चिम नवलपरासीको सुनवल नगरपालिकास्थित बडेरामा बिहीबारदेखि सञ्चालन भएको प्रथम औद्योगिक व्यापार मेला एंव लोक सांस्कृतिक पर्यटन महोत्सवको उद्घाटन गर्न पुगेका उपराष्ट्रपति पुनले जनताको अपेक्षाअनुसारको कामलाई तीव्रता दिन उनले सरकारको ध्यानआकर्षण गराए । अझ पनि धेरै कानुन बन्न नसक्दा जनताले अधिकार पाउन नसकेको उनले बताए । एक वर्षभित्र कानुनहरू नबने संवैधानिक संकट आउने भएकाले सरकार त्यसतर्फ गम्भीर भएर लाग्नु पर्नेमा उनले जोड दिए । कानुनहरू नबनेकै कारण तीन तहका सरकारबीच विवाद रहेको छ । संघीय सरकारले स्थानीय तहलाई तौल गरेर अधिकार दिँदा जनताले अधिकारको अनुभूति पाउन नसकेको महसुस गरेकाले सरकारबीच तालमेल हुन जरुरी रहेको पुनले बताए । स्थानीय सरकारले एकै पटक अधिकार खोज्ने भन्दा पनि दिइएका अधिकारलाई कार्यान्वयन गर्नमा लाग्नुपर्नेमा उनको जोड थियो । जनता धनी भए देश धनी हुने हो । देश धनी भए मात्र जनता सुखी र समृद्ध हुने छन् । त्यसैले सरकारले आधुनिक उत्पादन र औद्योगिक क्षेत्रमा ध्यान दिएर काम अघी बढाउने तर्फ लाग्नु पर्छ उनले भने । कार्यक्रममा सुनवल नगरपालिकाका प्रमुख भीमबहादुर थापाले सुनवल नगरपालिकामा रहेको औद्योगिक, पर्यटन र विकासका संभावनाका बारेमा जानकारी दिँदै त्यसका लगानीको वातावरण मिलाई दिन उपराष्ट्रपति पुन मार्फत सरकारसँग आग्रह गरे । महोत्सव माघ २८ गतेसम्म सञ्चालन हुने छ ।"
"कार्यालय सारिएकोमा विरोध","भैरहवा : भैरहवामा सञ्चालित सरकारी कार्यालय सारिएको विरोधमा हस्ताक्षर अभियान थालिएको छ । सरकारी कार्यालय भैरहवामै रहनुपर्ने माग गर्दै नयाँ शक्ति पार्टी नेपालले विरोधस्वरूप हस्ताक्षर अभियान थालेको हो । सरकारी कार्यालयका भवन पर्याप्त हुँदाहुँदै राजनीतिक शक्तिको आडमा कार्यालय बुटवल तथा तिलोत्तमा क्षेत्रमा सारिएपछि त्यसको विरोधमा उत्रिएको नयाँ शक्ति पार्टी नेपालले बताएको छ । केही समयअघि तामझामका साथ भैरहवामा स्थापना गरिएका निर्देशनालयहरू थाहै नदिई सारिएपछि भैरहवावासीले आक्रोश पोख्दै पुनः स्थापनाका लागि अभियान सञ्चालन गरेका हुन् । प्रदेश ५ का सांसद सन्तोष पाण्डेय, सिद्धार्थनगर नगरपालिकाका प्रमुख हरिप्रसाद अधिकारी, वडाध्यक्ष, विभिन्न दलका नेता, समाजसेवी, उद्योगी, व्यवसायी, सर्वसाधारणलगायतले हस्ताक्षर गरेका छन् । यहाँ सरकारी कार्यालयका खाली भवन हँुदाहँुदै पनि भाडा तिर्ने गरी यहाँबाट षड्यन्त्रपूर्वक कार्यालय सारिएको नयाँ शक्ति पार्टी सिद्धार्थनगरका अध्यक्ष शोभाकान्त नेपालले बताए । उनले भने, यो हामीलाई कदापि स्वीकार्य छैन, सारिएका कार्यालय पुनःस्थापना हुनुपर्छ । त्यस्तै, प्रदेशको मन्त्रालय पनि बुटवलमा राखिएका कारण भैरहवावासीले विरोध जनाएका छन् । प्रदेश सरकारले राजधानीलाई एउटा गाउँपालिका र नगरपालिकाको केन्द्रजस्तै बनाएको भन्दै प्रदेश ५ का सांसद पाण्डेयले आपत्ति जनाएका छन् । उनले प्रदेश ५ को राजधानी रूपन्देही तोकिएको भन्दै प्रदेश मन्त्रालय बुटवलमा मात्र नभई भैरहवा र लुम्बिनीमा पनि राखिनुपर्नेमा जोड दिए । निर्देशनालय सारिएको विषयमा संसद्मा आफूले सरकारको स्पष्ट धारणा माग गर्ने बताए ।"
"तुलसीपुरमा नेविसंघको मसाल जुलुस","दाङ : नेपाली कांग्रेसको भातृ संगठन नेपाल विद्यार्थी संघ दाङले दाङको तुलसीपुरमा सरकारको विरोधमा बिहीबार साँझ मसाल जुलुस निकालेको छ । डा गोविन्द केसीको माग सम्वोधन हुनु पर्ने, चिकित्सा शिक्षा विधेयक खारेज गरी केसीसँगको गरेको सहमति पालन गर्नुपर्ने, निर्मला पन्तले न्याय पाउनुपर्ने भन्दै सरकारविरुद्ध चर्का नारा लगाउँदै संघले दाङको तुलसीपुरमा मसाल जुलुस निकालेको हो । सरकार र प्रधानमन्त्री विरुद्ध चर्का नारा लगाउँदै बजार परिक्रम गरेका थिए । विद्यार्थीले बालेको मसाल जुलुस प्रहरीले खोसेर निभाउने प्रयास समेत गरेको थियो ।"
