"शीर्षक","विवरण"
"डा केसीलाई योगेश भट्टराईले दिए धन्यवाद","काठमाडौं : अनशन बसेको २४ औं दिनमा स्थगीत गरेका डा गोविन्द केसीलाई नेकपा नेता योगेश भट्टराईले धन्यवाद दिएका छन् । आज डागोविन्द केसीले आफ्नो १६ औं अनशन अन्त्य गर्ने निर्णय गर्नु भएकोमा उहाँको निर्णयको स्वागत गर्दै उहाँलाई हार्दिक धन्यवाद ब्यक्त गर्दछु, भट्टराईले फेसबुकमा लेखेका छन् । चिकित्सा शिक्षाको सुधारका लागि उनले समेत पुर्याउनु भएको योगदानको म सम्मान गर्दछु, उनले थप लेखेका छन्, हालै संघीय संसद पारित चिकित्सा शिक्षा विधेयकको कार्यन्वयनमा सबै संघसंस्था लगायत डा केसी सहितका सबै अभियान्तासँग निरन्तर सहकार्य जारी रहने छ ।"
"उपन्यायाधिवक्ता घिमिरेलाई १५ दिन कैद","काठमाडौं : मुद्दा मिलाइदिने बहानामा २० हजार रुपैयाँ घुस लिएको अभियोगसहित मुद्दा दायर गरिएका उपन्यायाधिवक्ता प्रकास घिमिरेलाई १५ दिन जेल सजाय तोकिएको छ । विशेष अदालतका अध्यक्ष बाबुराम रेग्मी, सदस्यहरु रत्नबहादुर वागचन्द र चण्डीराज ढकालको इजलासले घिमिरेलाई उक्त सजाय गरेको हो । उनलाई २० हजार रुपैयाँ जरिबानासमेत गरिएको छ । घिमिरे काठमाडौं जिल्ला सरकारी वकीलको कार्यालयबाट धदिङ सरुवा भई रमाना पत्र बुझेको अवस्थामा २०७३ साल माघमा अख्तियार टोलीबाट २० हजार रुपैयाँसहित रंगेहात समातिएका थिए । अख्तियार छानविनपछि मुद्दा चलाइएका घिमिरेलाई भ्रष्टाचारमा सजाय भएपछि निजामती सेवा अन्तर्गतको सरकारी वकील समूहबाट बाहिरिएका छन् ।"
"ज्यान मार्ने उद्योगमा तीन पक्राउ","सुनसरी : धरानका तीन युवालाई प्रहरीले ज्यान मार्ने उद्योगमा पक्राउ गरेको छ । मंसीर २४ गते धरान २ बस्ने ३२ वर्षीय मोहित मगरलाई आक्रमण गरी फरार रहेका धरान ३ का जन्जु भनिने साइमन श्रेष्ठ, धरान ७ बस्ने सुमित भन्ने सुमिर बम्जन र धरान १५ बस्ने बाल कुमार लिम्बुलाई प्रहरीले शुक्रबार धरान १० राँगाचोकबाट पक्राउ गरेको हो । उनीहरुलाई ज्यान मार्ने उद्योगमा मुद्दा चल्ने प्रहरीले जनाएको छ । प्रहरीले दोहोरो नागरिकता र हतियार रहेको आशंकामा मोहितलाई पनि पक्राउ गरेको थियो । तर उनलाई शुक्रबारै छाडिएको छ । कुटपिट गर्ने मध्ये जन्जु र कुटाई खाने मोहित हत्या अभियोगमा १२ वर्ष जेल सजाय भोगेर केही वर्षअघि मात्र छुटेका युवा हुन् । २०६० साल कार्तिक १४मा धरानका विष्णा लिम्बूको हत्या अभियोगमा उनीहरु जेल परेका थिए ।"
"विकास सरकारको जिम्मेवारी होः मन्त्री महासेठ","टीकापुर : भौतिक योजना तथा निर्माण मन्त्री रघुवीर महासेठले देशको विकास निर्माण वर्तमान सरकारको जिम्मेवारी भएको बताएका छन् । कैलालीको टीकापुरमा आयोजित टीकापुर महोत्सवलाई उद्घाटन गर्दै मन्त्री महासेठले यस्तो बताएका हुन् । जनताले वर्तमान सरकारलाई दुई तिहाईको बहुमत दिएर निर्वाचित गरेको उल्लेख गर्दै मन्त्री महासेठले भने देशको विकास विना समृद्ध नेपालः सुखी नेपाली सम्भव छैन, त्यसकारण विकास सरकारको मुख्य दायित्व हो । वर्तमान सरकारले विकास निर्माणलाई तिब्र गतिमा अगाडि बढाएको बताउँदै महासेठले हुलाकी राजमार्ग, पूर्वपश्चिम रेलमार्ग, पानीजहाजको काम अगाडि बढिसकेको बताए । सरकारले हुलाकी राजमार्ग, पूर्वपश्चिम रेलमार्ग र पानी जहाज सञ्चालनको काम अगाडि बढाई सकेको छ मन्त्री महासेठले भने । देशमा पूर्वाधारको विकास नभएसम्म जनता सुखी हुन सक्दैनन् । टीकापुर उद्योग वाणिज्य संघको आयोजनामा भइरहेको टीकापुर महोत्सवमा टीकापुरबासीका तर्फबाट लम्की टीकापुर खक्रौला सडकलाई चारलेन सडक बनाइनुपर्ने माग राखिएको थियो । उक्त मागलाई यसै आर्थिक वर्षको बजेटमार्फत् निर्माणको कार्य थालनी गर्ने मन्त्री महासेठले बताए । आजबाट शुरु भएको महोत्सव माघ २८ गतेसम्म सञ्चालन हुनेछ ।"
"एक वर्षअघि सामूहिक बलात्कारमा परेकी युवतीले न्याय पाइनन्","ललितपुर : जिल्ला अदालत ललितपुरले सामूहिक बलात्कारमा परेकी गोदामचौरकी युवतीको उपचारमा संलग्न डाक्टरलाई बकपत्रका लागि माघ ७ गते त्रिवि शिक्षण अस्पतालका डा पुष्पराज कोइरालालाई अदालतमा उपस्थित हुन भनेको थियो । तर उनी आएनन् । न त कुनै जवाफ नै पठाए । डाक्टर उपस्थित नभएपछि अदालतले सरकारी वकिलको कार्यालय तथा प्रहरीलाई सोधपुछ गर्यो । र डाक्टरलाई जानकारी भए पनि उनी नआएको अदालतलाई सूचना आयो । यस्ता गम्भीर प्रकृतिका मुद्दामा यस्ता हेलचेक्य्राइँले निकै असर पार्छ, स्रोतले भन्यो, पीडितलाई न्याय दिलाउने दायित्व फौजदारी न्याय प्रणालीले राज्यलाई सुम्पे पनि त्यसमा ऊ गम्भीर देखिएन । यस्ता मुद्दाको सुनुवाइ फास्ट ट्र्याकबाट हुनुपर्छ । र छोटोछोटो पेसी राखेर मुद्दा टुंग्याउनुपर्छ । तर एक वर्ष नाघिसकेको यो मुद्दालाई अन्य सामान्य मुद्दा जस्तै व्यवहार गरिएको पीडित परिवारको आरोप छ । घटनाबारे न्यायाधीशले प्रक्रियागत पक्षमा विशेष निगरानी राख्नुपर्छ । तर जिल्ला अदालत पाटनका मुख्य न्यायाधीशले अन्य नियमित कामका रूपमा मात्र यो घटनालाई बुझिदिएको पीडित युवतीको गुनासो छ । अदालत आफैंले यो मुद्दा लम्ब्याइरहेको पीडितकी आमाको भनाइ छ । पीडितले दोषीको नाम किटानी गर्दा पनि अदालत मान्दैन, उनले भनिन् । पीडित युवतीको स्वास्थ्य अवस्था हालसम्म पनि नसुध्रिएको र दुखाइ बढेकाले साँखुस्थित एक अस्पतालमा उपचार गराइरहेको उनले जानकारी दिइन् । युवतीको दाहिने आँखा, कान र हातले काम गर्दैनन् । ०७४ साल मंसिर ३ गते गोदावरी नगरपालिका१ गोदावरी खोलाको तोरीबारीमा २१ वर्षीया युवती अचेत अवस्थामा भेटिएकी थिइन् । उनले त्रिभुवन विश्वविद्यालय शिक्षण अस्पतालको बेडबाट चिकित्सकसहितको रोहबरमा अनुसन्धान अधिकृतका टोलीलाई विशालध्यवज कार्की, पवन कुँवर र रघु सिलवालविरुद्ध किटानी दिएकी थिइन् । तीनै जनाविरुद्ध जबर्जस्ती करणी, ज्यान मार्ने उद्योग, जबर्जस्ती चोरीलगायत मुद्दा चलेको थियो । बलात्कार जस्तो गम्भीर विषयलाई पनि सामान्य मुद्दा जस्तै व्यवहार गरिएको पीडित परिवारको आरोप छ । तवर्षको पुस २६ गते ललितपुर जिल्ला अदालतका मुख्य न्यायधीश बालमुकुन्द दवाडीले उनीहरूलाइ साधारण तारेखमा छाड्न निर्देशन गरेपछि यो मुद्दा उच्च अदालत पुगेको थियो । माघ २५ गते उच्च अदालत पाटनका मुख्य न्यायाधीश प्रकाशकुमार ढुंगाना र न्यायाशीस किशोर सिलवालको संयुक्त इजलासले पीडित स्वयम्ले प्रतिवादी पहिचान गरेको र तत्काल प्राप्त प्रमाणका आधारमा प्रतिवादी कसुरमा संलग्न थिएनन् भन्न सकिने अवस्था नरहेको ठहर गरेका थिए । त्यसैले उनीहरूलाई थुनामा राखी मुद्दाको पुर्पक्ष गर्नू भन्ने आदेश दिएका थिए । ललितपुर बार एसोसिएसका उपाध्यक्ष दयाभक्त डंगोलले भने यस्ता मुद्दामा कार्यविधिगत ढिलाइ हुन सक्ने बताए । यसलाई कानुनको एउटा प्रक्रियाका रूपमा हेरिनुपर्छ । तर कसैको स्वार्थका कारण ढिलाइ भएको हो भने आपत्तिजनक हो, डंगोलले भने । यस मुद्दामा बारका तर्फबाट सम्बन्धित न्यायाधीशसँग कुरा गरेको उनले जानकारी दिए ।"
"मनास्लु क्षेत्र झल्काउने फोटो तथा वृत्तचित्र प्रदर्शनी","काठमाडौं : गोरखाको मनास्लु क्षेत्रको पर्यटन प्रवदद्र्धन गर्न नेपाल पर्यटन बोर्ड भृकुटीमण्डपमा फोटो प्रदर्शनी भएको छ । फोटोपत्रकार लक्ष्मीप्रसाद ङाखुशीले विगत ११ वर्षदेखि हालसम्मको अवस्थाको बारेमा खिचेका तस्बिरको संग्रह रहस्यमय मनास्लु नाम दिएर फोटो प्रदर्शनीमा राखिएको फोटोपत्रकार ङाखुशीले जानकारी दिए । विगत ११ वर्षदेखि अहिलेसम्मको अवस्थाको प्रतिनिधित्व हुने खालका तस्बिर प्रदर्शनीमा राखिएका छन्, उनले भने, मनास्लु क्षेत्रको अत्यन्त महत्वपूर्ण तिब्बती संस्कार र संस्कृति झल्किने सँगै त्यहाको प्राकृतिक अवस्था, जनजीवन झल्किने साथमा वन्यजन्तु तथा वनसम्पदाको र मठमन्दिर, गुम्बा, माने, कने, छ्योर्तेन आदिको फोटो प्रदर्शनी गरेको हुँ । आरुघाटदेखि चुमभ्याली र लार्केपाससम्मको प्रतिनिधिमुलक तस्बिर प्रदर्शनीमा राखिएको उनले बताए । मनास्लु क्षेत्रमा बिगतको भन्दा धेरै पर्यटक अट्न सक्ने क्षमता भएको हुँदा पर्यटक धेरैभन्दा धेरै भित्र्याउन मनास्लु क्षेत्रको प्रचारप्रसार गर्न फोटो प्रदर्शनी गरेको आयोजक लाक्पा डुण्डुप लामाले जानकारी दिए । सन् २०२० मा लोकप्रिय पर्यटन पदमार्ग क्षेत्र मनास्लुमा पर्यटक वृद्धि गर्ने उद्देश्यले मनास्लुको फोटो तथा वृत्तचित्र प्रदर्शनी कार्यक्रमको आयोजना गरेको हुँ, हालै सञ्चालनमा आएको फोरसिजन रिसोर्टका प्रोपाइटर समेत रहेका लामाले भने, यही अवसरमा मनास्लु संरक्षण क्षेत्र आयोजनाले तयार गरेको १४ मिनेटको वृत्तचित्र पनि प्रदर्शन भयो । नुब्री फोरसिजन रिसोर्ट प्रालिको वेभसाइनको पनि लञ्च गरियो । कार्यक्रममा युएनडिपीका राष्ट्रिय निर्देशक रेनव मेयर, नेपाल पर्वतारोहण संघका अध्यक्ष सन्तवीर लामा, गाउँ पर्यटन मञ्चका उपाध्यक्ष दीपक दाहाल, मनास्लु संरक्षण क्षेत्र आयोजनाका प्रमुख नरेन्द्र लामा, पर्यटन बोर्डका निमित्त महाशाखा प्रमुख बिमल शर्मा कँडेललगायत सहभागी भएको स्थानीय वीरबल घलेले जानकारी दिए ।"
"मेक्सिकाेमा 'सैनिकरण भयाे' भन्दै विराेध","मेक्सिको : मेक्सिको सैनिकरण भएको भन्दै त्यहाँका नागरिकले विरोध गरेका छन् । उनीहरूले राष्ट्रपति आन्द्रेस म्यानुएल लोपेस ओब्रादोरले चुनावी प्रतिबद्धताबमोजिम सेना परिचालन रोक्न पर्याप्त काम गर्न नसकेको औंल्याएका छन् । राष्ट्रिय गार्ड निर्माण गर्ने राष्ट्रपतिको तयारीले मुलुकलाई थप सैनिकीकरण गर्ने उनीहरूको भनाइ छ । मेक्सिकोले लागूपदार्थका तस्करविरुद्ध लड्न सन् २००६ देखि सेना परिचालन गरेको छ । यद्यपि उनले लागूऔषध विरुद्धको युद्ध समाप्त भएको घोषणा गरेका छन् । सैनिक परिचालनबाट ठूला तस्करहरू गिरफ्तार भए पनि देशभित्र हिंसात्मक झडप भएका थिए । साना तस्करहरूबीच एकआपसमा र सेनासँगको भिडन्तमा धेरैको ज्यान गएको थियो । ओब्रादोरले मेक्सिको सिटीमा आयोजित पत्रकार सम्मेलनमा भने, अहिले युद्ध भएकै छैन । हामी शान्ति चाहन्छौं र हामी शान्ति हासिल गर्नेतर्फ एक कदम अगाडि छौं । सरकारको मुख्य उद्देश्य नै सार्वजनिक सुरक्षा प्रदान गर्नु हो । मेक्सिकोमा १३ वर्षअघि सेनालाई सडकमा उतारेयता दुई लाखभन्दा बढीको मृत्यु भइसकेको छ । मेक्सिकोका कतिपय राज्यमा ज्यादै ठूलो मात्रामा हिंसात्मक घटना भइरहेका छन् । सेना परिचालन गरिए पनि सुरक्षाको वातावरणमा सुधार आउन सकेको छैन । गत वर्ष सबैभन्दा बढी अर्थात् करिब ३३ हजारको हत्या भएको थियो । राष्ट्रपति ओब्रादोरले धेरैवटा सामाजिक सुरक्षा कार्यक्रमहरू घोषणा गरेका छन् । उनको भनाइमा यसले गरिबी न्यूनीकरण हुने र अन्ततः हिंसात्मक अपराध त्याग्न मानिसलाई अभिप्रेरित गर्नेछ । मानवअधिकारवादी समूहले भने राष्ट्रिय गार्ड निर्माण गर्ने योजनाले मुलुकलाई स्थायी रूपमै सैनिकीकरण गर्ने बताएका छन् । राष्ट्रपतिको उक्त योजना स्वीकृत हुन संविधानमै संशोधन गर्नुपर्ने हुन्छ । संसद्को तल्लो सदनबाट पारित भइसकेको राष्ट्रिय गार्ड गठनसम्बन्धी विधेयक माथिल्लो सदन सिनेटबाट स्वीकृत हुन बाँकी छ ।"
"शान्ति सुरक्षा सम्बन्धी विधेयकको प्रावधानप्रति विवेकशीलको आपत्ति","काठमाडौं : संसद सचिवालयमा दर्ता गरिएको शान्ति र सुरक्षा कायम गर्ने सम्बन्धमा व्यवस्था गर्न बनेको विधेयकमा राखिएको एउटा प्रावधानप्रति विवेकशील नेपाली दलले आपत्ति जनाएको छ । शुक्रबार विज्ञप्ति सार्वजनिक गर्दै विवेकशील दलले आपत्ति जनाएको हो । गृहमन्त्रालयले संसद् सचिवालयमाा दर्ता गराएको विधेयकमा प्रमुख जिल्ला अधिकारीलाई शान्तिपूर्ण प्रदर्शन र सभा गर्नुपूर्व नै रोक लगाउन सक्ने प्रावधान राखिएकोप्रति विवेकशीलले आपत्ति जनाएको हो । हालै गृह मन्त्रालयले संसद् सचिवालयमा दर्ता गराएको शान्ति र सुरक्षा कायम गर्ने सम्बन्धमा व्यवस्था गर्न बनेको विधेयकमा प्रमुख जिल्ला अधिकारीले शान्तिपूर्ण प्रदर्शन र सभा गर्नुपूर्व नै रोक लगाउन सक्ने प्रावधान राखिएको प्रति विवेकशील नेपालीको गम्भीर ध्यानाकर्षण भएको छ, विवेकशीलको विज्ञप्तिमा भनिएको छ नेपालको संविधानको धारा १७ ले सुनिश्चित गरेको स्वतन्त्रताको हकको विरुद्ध हुने गरी फरक विचार राख्नेलाई दबाउने मनसायले यो प्रावधान आएको हामीले बुझेका छौं । विवेकशील पार्टीले प्रमुख जिल्ला अधिकारीलाई दिइने यस्तो अधिकारले वैयक्तिक स्वतन्त्रतामाथि ठाडो हस्तक्षेप हुने भन्दै आपत्ति जनाएको हो । प्रमुख जिल्ला अधिकारीलाई स्वविवेकीय अधिकार दिने गरी आएको यो प्रावधानले वैयक्तिक स्वतन्त्रतामाथि ठाडो हस्तक्षेप गरेको छ, रमेश पौड्यालले सार्वजनिक गरेको विज्ञप्तिमा भनिएको छ ।"
"बाँके शिक्षालाई मेयर कप फुटबलको उपाधि","नेपालगन्ज : अन्तर विद्यालय दोस्रो मेयर कप फुटबल प्रतियोगिताको उपाधि बाँके शिक्षाले जितेको छ । नेपालगन्ज उपमहानगरपालिकाको आर्थिक सहयोगमा बाँके जिल्ला फुटबल संघले आयोजना गरेको प्रतियोगिताको शुक्रबार सम्पन्न फाइनल खेलमा टाइब्रेकरमा बाँके शिक्षाले आदर्श उच्च माविविरुद्ध ५४ को अन्तरले जित निकालेको हो । निर्धारित समयमा दुवै टोलीले २२ बराबरी गोल गरेपछि टाइब्रेकरमा लगिएको थियो । नेपालगन्ज उपमहानगरपालिकाका प्रमुख डाधवल शम्शेर राणा, उपप्रमुख उमा थापा मगर, प्रादेशिक खेलकुद विकास समिति प्रदेश ५ का अध्यक्ष भीम ओली, एन्फा बाँके अध्यक्ष भोजराज शाही लगायतले विजेता बाँके शिक्षाले १५ हजार नगदसहित ट्रफी र उपविजेता आदर्शले १० हजार नगद र ट्रफी प्रदान गरेका थिए । प्रतियोगितामा २४ विद्यालय सहभागी थिए । ०००"
"जापानलाई हराउँदै कतार एएफसी एसियन कप च्याम्पियन","काठमाडौँ : युएईमा भइरहेको एएफसी एसियन कप च्याम्पियन्स फुटबलको उपाधि कतारले जितेको छ । युएईको जायद स्पोर्टस सिटी स्टेडियममा भएको उपाधि भिडन्तमा कतारले एसियाको पावर हाउस जापानलाई ३१ ले स्तब्ध बनाउँदै उपाधि उचालेको हो । कतारलाई जिताउने क्रममा खेलको १२ औँ मिनेटमा अक्रम अफिफको सहयोगमा अलमोएज अलीले पहिललो गोल गरे । त्यसपछि खेलको २७ औँ मिनेटमा कतारले हतिम अब्देलाजिजले अर्को गोल थपे । उनले अक्रम अफिफकै पासमा गोल गर्दै खेललाई २० मा पुर्याए । पहिलो हाफमा २० को अग्रता बनाएको कतारले दोस्रो हाफमा एक गोल थप्यो । खेल अवधिभर ६० प्रतिशत बल पोजेसन बनाएको जापानका लागि खेलको ६९ औँ मिनेटमा ताकुमी मिनामिनोले युया ओसाकोको पासमा गोल गर्दै खेललाई २१ मा ल्याइ पुर्याए । तर कतारले खेलको ८३ औँ मिनेटमा पेनाल्टी पायो । यो पटक पहिलो हाफमाा २ गोलका लागि पास उपलब्ध गराएका अक्रम अफिफले गोल गरेपछि कतार ३१ ले अघि बढ्यो । त्यसपछि दुवै टिमबाट गोल हुन नसक्दा कतारले एसियन कपको उपाधि आफ्नो घरमा भित्र्यायो । कतारले यसअघि सन् २०११ को एसियन कप फाइनलमा जापानसँग भोगको ३२ को हारको बदला पनि लिएको छ । उपाधि यात्रासम्म पुग्ने क्रममा कतारले यसअघि सेमिफाइनलमा घरेलु टोली युएईमाथि ४० को फराकिलो जित दर्ता गराएको थियो । त्यस भन्दाअघि क्वार्टरफाइनलमा कतारले जापानलाई जस्तै दक्षिण कोरियालाई हारको स्वाद चखाएको थियो । कतारले क्वार्टरफाइनलमा दक्षिणकोरियालाई १० ले हराएको थियो । सन् २०२२ को विश्वकप आयोजक देश कतारले एसियन कप फुटबलको उपाधि उचाल्दै एसियाली क्षेत्रमा नयाँ पावर हाउस प्रष्ट सन्देश दिएको छ । कतारसँग फाइनलमा पराजित जापान भने इरानलाई ३० ले हराएर फाइनल पुगेको थियो । विश्वकपमा गतिलो खेल खेलिसकेका जापान र कोरिया दुवै यो पटकको एसियन कपमा कतारसँग स्तब्ध बन्न पुगे । नाकाबन्दीले छोएन आफूहरुले भनेको नमानेको भन्दै अमेरिकी इशारामा सानो खाडी मुलुक कतारमा साउदी अरेबिया र उसको प्रभाव क्षेत्रका अन्य छ वटा छिमेकीले २०७४ जेठदेखि नाकाबन्दी लगाइरहेका छन् । तर छिमेकी देशको नाकाबन्दीको कुनै प्रवाह नगरी कतारले आफूलाई हरेक क्षेत्रमा अगाडि बढाइरहेको छ । विश्वको सबैभन्दा लोकप्रिय फुटबलको विश्वकप सन् २०२२ मा आयोजना गर्ने तयारीमा रहेको कतारले आफूमाथिको नाकाबन्दीलाई बेवास्ता गर्दै तयारीमा जुटिरहेको छ । पूर्वाधारमा खर्बौँ लगानी गरिरहेको कतारले एसियन कपको उपाधि उचाल्दै आफ्नो टिमलाई पनि बलियो बनाएको प्रष्ट सन्देश दिएको छ । २०७४ जेठमा साउदी, बहराइन र युएईले एक्कासी कतारसँग कूटनीतिक सम्बन्ध तोड्दै जल, जमिन र हवाई सम्पर्क पनि विच्छेद भएको घोषणा गरे । साउदीको नाकाबन्दीपछि स्थलमार्गले जोडिएको त्यतसर्फको व्यापारिक नाका बन्द भए पनि कतारले उनीहरुसँग घुँडा नटेकी अघि बढिरह्यो । कतारले विश्वसमुदायलाई यी ६ देशको नाकाबन्दीले आफूलाई केही फरक नपरेको सन्देश दिइसकेको छ ।"
