"शीर्षक","विवरण"
"गण्डकी मन्त्रिपरिषदले आइतबार गरेका ४ निर्णय","पोखरा : गण्डकी प्रदेश मन्त्रिपरिषदको आइतबार बसेको ३९ औं बैठकले खर्चमा मितव्ययिता अपनाउने निर्णय गरेको छ । त्यसका लागि उसले खर्च मापदण्ड सम्बन्धी कार्यविधि पारित गरेको जानकारी भौतिक पूर्वाधार विकास मन्त्री तथा सरकारका प्रवक्ता रामशरण बस्नेतले बताए । मन्त्रिपरिषदका निर्णयहरुः १) त्रिवेणी छोटी भन्सार स्तरोन्नति, जनशक्ति व्यवस्थापन गर्दै सुरक्षा व्यवस्थाका लागि नेपाल प्रहरी र सशस्त्र प्रहरी बल राख्न संघ सरकारलाई अनुरोध गर्ने । २) प्रदेश सरकार गठनको १ वर्ष पूरा भएको अवसर पारी आउँदो फागुन ३ गते विशेष कार्यक्रम गर्ने । निजामती कर्मचारी पुरस्कृत गर्ने । कार्यक्रम व्यवस्थापनका लागि आर्थिक मामिला तथा योजना मन्त्री किरण गुरुङ संयोजकत्वमा समिति गठन । ३) खर्च मापदण्ड २०७५ कार्यविधि पारित गर्ने । कार्यविधिले मुख्यमन्त्री र मन्त्रीहरु पोखराबाहिर जाँदा ४ जनामात्रै साथमा लैजान पाउने व्यवस्था गरेको छ । बढी लगे अरुले भत्ता नपाउने । मन्त्रीहरुले ३ जनामात्रै लैजान पाउने । बढी लगे अरुले भत्ता नपाउने । तोकिएका यिनै संख्यामा सुरक्षागार्ड र स्वकीय वा निजी सचिव पनि पर्ने । मुख्यमन्त्री काठमाडौं जाँदा २ जनामात्रै लैजान पाउने । सरकारले तालिम, गोष्ठी र सेमिनार गर्दा प्रतिसहभागी २५ सय रुपैयाँभन्दा बढी खर्च नगर्ने, स्टेसनरी सामग्री प्रतिव्यक्ति १ सय रुपैयाँभन्दा बढीको नदिने लगायत प्रबन्ध यो मापदण्डमा छन् । ४) प्रदेश विकास स्वयंसेवक कार्यविधि पारित गर्ने । स्वयंसेवकका लागि ११ जिल्लामा १३६ जनाको दरबन्दी स्वीकृत ।"
"लडेर मृत्यु","तेह्रथुम : तेह्रथुमको लालीगुराँस नगरपालिका३ मुसाङखेलका ७० बर्षिय पहलमान विश्वकर्माको लडेर मृत्यु भएको छ । छिमेकी गाउँ केबुकमा विवाह भोज खाएर फर्किदै गरेका विश्वकर्माको घर भन्दा केही तल रहेको केबुक खोलामा लडेर मृत्यु भएको प्रहरीले जनाएको छ । गत शुक्रवार नै विबाह भोज खाएर घर फर्किएका उनी बेपत्ता थिए । आईतबार विहान गाउँलेले उनलाई खोलामा मृत अवस्थामा फेला पारेका थिए । मादक पदार्थ सेबन गरेका विश्वकर्माको लडेर मृत्यु भएको ईलाका प्रहरी कार्यालय बसन्तपुरले जनाएको छ ।"
"क्रिकेट टिमलाई उपराष्ट्रपतिको बधाई","काठमाडौं : उपराष्ट्रपति नन्दबहादुर पुन पासाङ नेपाली राष्ट्रिय क्रिकेट टिमलाई बधाई दिएका छन् । संयुक्त अरब इमिरेट्स (यूएई) विरुद्धको एक दिवसीय र ट्वान्टी२० अन्तर्राष्ट्रिय क्रिकेट श्रृङ्खला जितेर इतिहास बनाएको भन्दै उनले बधाई दिएका हुन् । जितसँगै इतिहास बनाएकोमा खुशी व्यक्त गर्दै नेपाली राष्ट्रिय क्रिकेट टिम, प्रशिक्षक र सम्पूर्ण नेपालीलाई उपराष्ट्रपति पुनले बधाई दिएका हुन् । इतिहास रचेर नेपालीलाई खुशी दिएकोमा राष्ट्रिय क्रिकेट टिमका प्रशिक्षक जगत टमटा, कप्तान पारस खड्का र उनको टिमप्रति विशेष धन्यवाद दिएका हुन् । सँगै उपराष्ट्रपति पुनले कम उमेरमै एक दिवसीय क्रिकेटमा अर्धशतक बनाउने रोहितकुमार पौडेल र ट्वान्टी२० अन्तर्राष्ट्रिय क्रिकेटमा कम उमेरमा अर्धशतकको रेकर्ड बनाउने सन्दीप जोरा लगायत विभिन्न रेकर्ड बनाउने खेलाडी धन्यवाद दिए । सिमित साधन स्रोतको बाबजुद राष्ट्रिय क्रिकेट टिमले उत्कृष्ट प्रदर्शन गरेर नेपालीलाई खुशी दिनु राष्ट्रकै गौरव र प्रतिष्ठा भएको उनको भनाइ छ । उपराष्ट्रपतिले क्रिकेट लगायत खेलकुदको विकासका लागि सुविधा सम्पन्न खेलमैदान निर्माण गर्नुका साथै लगानी वृद्धि गर्न सबै पक्षको ध्यानाकर्षण गराएको उनका प्रेस संयोजक मनोज घर्तीले जानकारी दिए ।"
"रुकुमपूर्वमा कर्फ्यू : सदरमुकामको विवाद चर्किदै","रुकुमपूर्व : रुकुमपूर्वको सदरमुकाम रुकुमकोट हुने वा गोल्खाडा हुने भन्ने विवाद चर्किदै जाँदा जिल्ला प्रशासन कार्यालयले आइतबार साँझ कर्फ्यू (निषेधाज्ञा) आदेश जारी गरेको छ । जिल्ला प्रशासनले गोल्खाडाका स्थानीयले रुकुमकोटमा जबरजस्ती प्रदर्शन गर्ने तयारी गरेपछि शान्ति सुरक्षा कायम गर्न भन्दै आइतबार साँझ ७ बजेदेखि अनिश्चितकालका लागि कर्फ्यू आदेश जारी गरेकाे छ । प्रशासनले अनुरोध गर्दागर्दै विवाद नटुंगिएपछि घटनाक्रम बढ्न नदिन र शान्ति सुरक्षा कामय गर्न जिल्ला प्रशासन कार्यालयले स्थानीय प्रशासन ऐन २०२८ को दफा (६ )को उपदफा (३) अनुसार आइतबार साँझ ७ बजेदेखि लागू हुनेगरी अर्को आदेश नभएसम्मका लागि चार किल्ला तोकेर निषेधाज्ञा जारी गरेको हो । जिल्ला प्रशासनले पूर्वमा सिस्ने गाउँपालिका ५ धौलापहिरा खोला, पश्चिमा सिस्ने गाउँपालिका ५ रानीकोट, उत्तरमा सिस्ने गाउँपालिका ६ रुकुमगाड हुँदै धाउनेको पाटीघट्टसम्म, दक्षिणमा सिस्ने ५ रुमालबारा हुँदै सहिदपार्कसम्म कर्फ्यू आदेश जारी गरेको हो । चार किल्लामा कुनै किसिमको विरोध प्रदर्शन, सभा जुलुस र भेला गर्न गराउन निषेध गरिएको प्रमुख जिल्ला अधिकारी मित्रलाल शर्माले जानकारी दिए । के हो विवाद ? रुकुमपूर्वको जिल्ला सदरमुकाम कहाँ हुने भन्ने विषयको विवाद चर्किदै जाँदा रुकुमपूर्व केही दिनयता अशान्त छ । सरकारले रुकुम जिल्लालाई विभाजन गर्दा रुकुमपूर्वको अस्थायी सदरमुकाम रुकुमकोट तोकिएको थियो । तत्कालिन शेरबहादुर देउवा सरकारले एक वर्षअघि पुथाउत्तरगंगा गाउँपालिका १२ गाेल्खाडालाई राजधानी बनाउने निर्णय गरेपछि विवाद उब्जिएको हो । २०७४ माघ ११ गते देउवा सरकारले राजधानी सार्ने निर्णय गरेपछि माघ १७ गते सर्वोच्च अदालतमा सरकारको निर्णयविरुद्ध रिट दायर भएको थियो । माघ १८ गते मन्त्रिपरिषदको निर्णय तत्काल लागू नगर्न सर्वोच्च अदालतले अन्तरिम आदेश जारी गर्यो । रुकुमकोट र गोल्खाडाका स्थानीयले आआफ्नो क्षेत्रमा सदरमुकाम हुनुपर्छ माग गर्दै आन्दोलन गरिरहे । उता सर्वोच्च अदालतमा लागातार मुद्दाको पेशी सर्दै गयो । माघ २७ गतेका लागि यही विषयमा सर्वोच्चले १७ औं पटक पेशी तोकेको छ । यो पेशी अन्तिम हुनसक्ने अनुमान गर्दै माघ १४ गतेदेखि रुकुमकोटमा प्रदर्शन जारी छ । रुकुमकोटमा प्रदर्शन चर्किदै जाँदा गोल्खाडाका स्थानीयले माघ २२ गते रुकुमकोटमै प्रदर्शन गर्ने घोषणा गरे । सांगीतिक कार्यक्रमसहित प्रदर्शनको तयारी हुँदै गर्दा विवाद बढ्दै गयो । प्रशासनको अनुरोध र रुकुमकोटबासीको चेतावनीबीच केही युवाबीच विवाद हुँदा गोल्खाडा सदरमुकाम स्थापनार्थ सरोकार समितिका संयोजक केशरमान रोकासहित तीनजनामाथि रुकुमकोटका स्थानीयले आक्रमण गरे । कांग्रेसका रुकुम पूर्वका सभापति तथा पूर्वमन्त्री केशरमान र घाइते भएका नेकपाका नेता सतमान पुनको अहिले काठमाडौंमा उपचार भइरहेको छ ।"
"तिब्बतको कुल गार्हस्थ्य उत्पादन २०८४ अर्ब अमेरिकी डलर","चीन : सन् २०१८ मा चीनको तिब्बतको कूल गार्हस्थ्य उत्पादन (जीडिपी) दश प्रतिशतको वृद्धिसँगै २०८४ अर्ब अमेरिकी डलर पुगेको छ । योसँगै तिब्बत स्वायत्त प्रदेशले लगातार २६ वर्षसम्म दोहोरोअंककोवृद्धिलाई कायम राखेको छ । साथै तिब्बतले राष्ट्रव्यापी आर्थिकमन्दीको अवस्थामा पनि दोहोरो अंकको वृद्धिहासिल गरेको छ । राष्ट्रिय जीडिपी ६६ प्रतिशत रहेको अवस्थामा पनि तिब्बतले पूर्वाधारनिर्माणर पर्यटन क्षेत्रबाट यस्तो उपलब्धि हासिल गरेको छ ।तिब्बतले सन् २०१९ सरकारी कार्य प्रतिवेदन बुधबार जारी गरेको हो । नेपालसँग सिमाना जोडिएको तिब्बतको ल्हासादेखि काठमाण्डुसम्मको दूरि झण्डै ७५० किलोमिटर छ । उक्त स्थानीय सरकारी कार्यप्रतिवेदन अनुसार तिब्ब्तले यस वर्ष वैदेशिक व्यापारलाई १० प्रतिशतभन्दा बढी र बेल्ट एण्ड रोड ईनिसिएटिभअन्तर्गत सीमा व्यापारलाई ३० प्रतिशतभन्दा बढी बढाउने लक्ष्य राखेको छ । प्रतिवेदनअनुसार दक्षिण एशियाका लागि बाटो खोल्न नेपालसँग पूर्वाधार निर्माणको कनेक्टिविटीको सुधार गर्नेछ । सन् २०१८ मा इकोनोमिक फोरम अन ट्रान्सहिमालयन कोअपरेसन र १६औं चीनको तिब्बतनेपाल व्यापार सम्मेलन सम्पन्न भएको थियो । तिब्बतले सन् २०१० को २३०० चिनियाँ युआन प्रतिव्यक्ति आय मापदण्ड अनुसार एक लाख ८० हजार गरिब जनताको उत्थान् गरिसकेको छ भने यस वर्ष बाँकी एक लाख ५० हजार गरिब जनतालाई गरिबीबाट मुक्त गर्ने लक्ष्य राखेको छ । साथै यो साल (मार्च १०) तिब्बत स्वायत्त प्रदेशको लोकतान्त्रिक सुधारको ६०औं वार्षिकोत्सव हो ।"
"पहिलो पटक नेपालले टीट्वेन्टी शृंखला जितेपछिको खुसी (फोटो फिचर)","काठमाडौं : अन्तर्राष्ट्रिय क्रिकेटमा एकपछि अर्को उपलब्धि हात पार्दै आएको नेपाली क्रिकेटले अर्को ऐतिहासिक सफलता हासिल गरेको छ । अघिल्लो साता पहिलोपटक एकदिवसीय शृंखला जितेर इतिहास रचेको नेपाली टोलीले आइतबार टीट्वेन्टी क्रिकेटमा पनि पहिलो शृंखला हात पार्यो । नेपालले आइतबार दुबईस्थित आईसीसी एकेडेमीमा खेलिएको तेस्रो तथा अन्तिम टीट्वेन्टी खेलमा घरेलु टोली संयुक्त अरब इमिरेट्स (यूएई)लाई १४ रनले हरायो । अन्तिम जितसँगै नेपालले तीन खेलको टीट्वेन्टी शृंखला २१ ले आफ्नो पक्षमा पारेको हो । शृंखलाको पहिलो खेलमा यूएई २१ रनले विजयी भएको थियो । दोस्रो खेलमा भने नेपाल चार विकेटले विजयी भएको थियो । वर्षाका कारण आइतबार भएको तेस्रो खेललाई १०१० ओभरमा झारिएको थियो । टस हारी पहिले ब्याटिङको निम्तो पाएको नेपालले निर्धारित १० ओभरमा आठ विकेट गुमाएर एक सय चार रन बनायो । जवाफी ब्याटिङमा ओर्लिएको यूएईले भने निर्धारित ओभरमा आठ विकेट गुमाएर ९० रनमात्र बनाउन सक्यो । नेपालका लागि कप्तान पारस खड्काले सर्वाधिक २९ रनको योगदान गरे । केवल १४ बलको सामना गरेका पारसले एक छक्का र चार चौका प्रहार गरे । सन्दीप जोराले पनि टोलीको खातामा २८ रन थपे । उनले केवल ११ बलको सामना गरी तीन छक्का हिर्काए । विकेटकिपर ब्याट्सम्यान विनोद भण्डारीले पनि १३ बलको सामना गरी एक छक्का र दुई चौकाको मद्दतले २१ रन जोडे । बलिङतर्फ पनि नेपाली खेलाडीको प्रदर्शन स्तरीय रह्यो । यूएईलाई लक्ष्यसम्म पुग्न नदिन करण केसी, अभिनाश बोहरा र ललित राजवंशीले किफायती बलिङ गर्दै दुईदुई विकेट लिए । सन्दीप लामिछाने र सोमपाल कामीले पनि एकएक विकेट हात पारे । यूएईका लागि साइमन अनवरले २० बलमा ३० र घुलाम साब्बरले १५ बलमा २५ रन बनाए पनि त्यसले टोलीको हारलाई टार्न सकेन । सन् २०१४ मा पहिलो पटक टीट्वेन्टी विश्वकप खेलेको नेपालले सोही वर्ष अन्तर्राष्ट्रिय क्रिकेट काउन्सिल (आईसीसी) बाट दुई वर्षका लागि टीट्वेन्टी टोलीको मान्यता पाएको थियो । यूएईविरुद्घ ऐतिहासिकल टीट्वेन्टी शृंखला जित्नुअघि पनि नेपालले दुईवटा टीट्वेन्टी शृंखला खेलेको थियो । तर, ती दुवै टीट्वेन्टी शृंखलामा नेपाल पराजित भएको थियो । नेपालले सन् २०१४ मा श्रीलंकामा हङ्कङसँग पहिलो टीट्वेन्टी शृंखला खेलेको थियो । उक्त शृंखलामा नेपाल १० ले पराजित भएको थियो । यद्यपि, उक्त शृंखलामा अरु खेल वर्षाले बिथोलेका कारण अन्तिम खेलमात्र सम्भव भएको थियो । अन्तिम खेलमा हङ्कङ्सँग दुई विकेटले पराजित भएको थियो । त्यसपछि सन् २०१५ मा नेपालले नेदरल्यान्ड्सँग चार खेलको टीट्वेन्टी शृंखला खेलेको थियो । उक्त शृंखलामा पनि नेपाल ३१ ले पराजित भएको थियो । यसअघि अघिल्लो साता नेपालले यूएईलाई नै २१ ले हराउँदै पहिलो पटक एकदिवसीय अन्तर्राष्ट्रिय शृंखला जितेको थियो ।"
"सर्लाहीको मदरसामा पुनः झडप","मलंगवा : सर्लाहीको चक्रघट्टा गाउँपालिका४ सुन्दरपुरको रिजबिया हिदातुल मुस्लमिन मदरसामा हिसाब नमिलेको विवादमा पुनः झडप भएको छ । शनिबार भएको विवाद नमिलेर आइतबार पनि झडप भएको हो । झडपमा परी एक जना घाइते भएका छन् । वार्षिक हिसाब सार्वजनिक गर्न बोलाइएको छलफलमा कारोवार पारदर्शी नभएको भन्दै झडप भएको थियो । झडपमा शनिबार स्थानीय ४८ वर्षका मोहमद रेजा र ४५ वर्षका सेख सहिद दुलाल घाइते भएका थिए । आइतबार साँझ पुनः झडप भएपछि मोहम्मद फारुक घाइते भएका छन् । फारुकको टाउको फुटेको छ । उनको उपचार सर्लाही अस्पतालमा भइरहेको छ । फारुकलाई विपक्षीले प्रहार गरेको ईट्टाले टाउकोमा लागेको थियो । झडप अहिले नियन्त्रणमा आएको जिल्ला प्रहरी कार्यालय सर्लाहीका प्रहरी उपरीक्षक पोषराज पोखरेलले जानकारी दिएका छन् ।"
"बैंकमा पालो कुर्दै गर्दा ढलेर मृत्यु","स्याङ्जा : पेन्सनका लागि आइतबार नेपाल बैंक लिमिटेड स्याङ्जामा पालो कुरेर लाइनमा बसेका एक व्यक्ति अचानक ढलेर निधन भएको छ । आफना साहिला छोरासंगै पेन्सन बुझ्नका लागि स्याङजाको चापाकोट नगरपालिका २ निवासी ७५ बर्षिय हेमराज अर्याल बैंक आएका थिए । बैंकबाट पेन्सन झिक्ने र पोखरामा गई उपचार गराउने गरी चापाकोटबाट आएका अर्याल मुटु र उच्च रक्तचाप सम्बन्धी रोगबाट पीडित रहेको प्रहरी निरीक्षक बिजयकुमार सिंहले जानकारी दिए । पेन्सन बुझ्नका लागि आफनो पालो कुरेर उभिरहेका बेला अर्याल अचानक ढलेपछि उनलाई जिल्ला अस्पताल पुयाउदा मृत्यु भैसकेको र पोष्टमार्टमपछि उनका साहिला छोरा कृष्णकान्त अर्याललाई शव बुझाएको पनि प्रहरी निरीक्षक सिंहले बताए ।"
"सन्दीप लामिछानेले लिए तेस्रो विकेट","काठमाडौं : यूएईलाई १०५ रनको चुनौती दिएको नेपालले खराब बलिङ गरेको छ । नेपालका लागि सन्दीप लामिछानेले ५३ ओभरमा तेस्रो विकेट लिएका छन् । उनले यूएईका मोहमद उसमानलाई ३ बल खेल्दा दुई रनमै आउट गरेका हुन् । ४४ ओभरमा नेपालका लागि अविनाश बोहोराले दोस्रो विकेट लिए । पहिलो विकेट नेपालका लागि सोमपाल कामीले लिएका थिए । सोमपालले दोस्रो ओभरको अन्तिम बलमा युएईका आस्फाक अहमदलाई क्याच आउट गराए । टस हारेर पहिले ब्याटिङको निम्तो पाएको नेपालले १० ओभर खेल्दै आठ विकेटको क्षतिमा १०४ रन बनाएको थियो । टीट्वान्टी शृङ्खला अन्तर्गतको तेस्रो खेल वर्षाका कारण १० ओभरमा झारिएको थियो । नेपालका लागि कप्तान पारस खड्काले १४ बलमा २९ रन बनाए भने सन्दीप जोराले ११ बलमा २८ रन बनाए । जोरा पाँचौ विकेटको रुपमा ८३ ओभरमा बाहिरिए । खराब सुरुवात गरे पनि कप्तान पारस र सन्दीपले ब्याटिङ सम्हालेका हुन् । कप्तान खड्का पाँचौ ओभरको अन्तिम बलमा आउट भए । १४ बल खेलेका पारसले एक छक्का र चार चौकाको मद्दतमा २९ रन बनाएका हुन् । पहिलो, दोस्रो र तेस्रो ओभरमा पवन शरार्फ, उपकप्तान ज्ञानेन्द्र मल्ल र दीपेन्द्रसिंह ऐरी आउट भए । पवन ०४ ओभरमा आउट भए भने २३ ओभरमा बाहिरिए । त्यैगरी तेस्रो ओभरको रुपमा दीपेन्द्रसिंह ऐरी ३३ ओभरमा आउट भएका हुन् । ज्ञानेन्द्रले ९ बलमा ११ रन बनाए । ऐरी ३ बलमा २ रन बनाएर आउट भए भने शरार्फ ४ बल खेल्दा शून्य रनमै आउट भए । छैटौं विकेटको रुपमा करण केसी पाँच बलमा १० रन बनाएर आउट भए । बिनोद साताै विकेटकाे रुपमा १३ बलमा २१ रन बनाएर आउट भए । आठाै विकेटकाे रुपमा सोमपाल कामी शून्य रनमै आउट भए । निर्धारित १० ओभरमा ८ विकेट गुमाउँदै १०४ रन बनाएको थियो ।"
"क्रिकेटमा ऐतिहासिक सफलता : टीट्वान्टी श्रृंखला पनि नेपाललाई","काठमाडौं : नेपाली क्रिकेटले ऐतिहासिक सफलता हात पारेको छ । संयुक्त अरब इमिरेट्स (यूएई) विरुद्ध एक दिवसीय क्रिकेट श्रृंखला जितेको नेपालले पहिलो टी२० अन्तराष्ट्रिय क्रिकेट श्रृंखलाको उपाधिसमेत हात पारेको हो । टीट्वान्टी शृङखलाको अन्तिम अर्थात् तेस्रो खेलमा नेपालले युएईविरुद्ध १४ रनको जित दर्ता गरेको हो । नेपालका जितमा करण केसी एक्लैले एउटै ओभरमा दुई विकेट लिए । टस जितेर फिल्ड रोजेको यूएईलाई अन्तिम खेलमा नेपालले आठ विकेटको क्षतिमा १०५ रनको चुनौती दिएको थियो । नेपालकाे ब्याटिङमा कप्तान पारस खड्का र सन्दीप जोराले महत्वपूर्ण योगदान दिए । १०५ रनको लक्ष्य पछ्याएको यूएईले राम्रो सुरुवात गरे पनि नेपालका लागि सोमपाल कामी, अविनाश बोहोरा र सन्दीप लामिछानेले महत्वपूर्ण विकेट लिए । वर्षाका कारण आइतबारको खेल १० ओभरमा छोट्याइएको थियो । नेपाललाई जिताउने क्रममा कप्तान पारस खड्काले १४ बलमा सर्वाधिक २९ रन बनाए । सन्दीप जोराले ११ बलमा २८ रन बनाए । जोरा पाँचौ विकेटको रुपमा ८३ ओभरमा बाहिरिए । खराब सुरुवात गरे पनि कप्तान पारस र सन्दीपले ब्याटिङ सम्हाले । कप्तान खड्का पाँचौ ओभरको अन्तिम बलमा आउट भए । १४ बल खेलेका पारसले एक छक्का र चार चौकाको मद्दतमा २९ रन बनाएका हुन् । पहिलो, दोस्रो र तेस्रो ओभरमा पवन शरार्फ, उपकप्तान ज्ञानेन्द्र मल्ल र दीपेन्द्रसिंह ऐरी आउट भए । पवन ०४ ओभरमा आउट भए भने २३ ओभरमा बाहिरिए । त्यैगरी तेस्रो ओभरको रुपमा दीपेन्द्रसिंह ऐरी ३३ ओभरमा आउट भएका हुन् । ज्ञानेन्द्रले ९ बलमा ११ रन बनाए । ऐरी ३ बलमा २ रन बनाएर आउट भए भने शरार्फ ४ बल खेल्दा शून्य रनमै आउट भए । छैटौं विकेटको रुपमा करण केसी पाँच बलमा १० रन बनाएर आउट भए । बिनोद साताै विकेटकाे रुपमा १३ बलमा २१ रन बनाएर आउट भए । आठाै विकेटकाे रुपमा सोमपाल कामी शून्य रनमै आउट भए । नेपालले निर्धारित १० ओभरमा ८ विकेट गुमाउँदै १०४ रन बनाएको थियो । १०५ रनकाे लक्ष्य पछ्याउने क्रममा यूएई ९० रनमा समेटिएको हो । यसअघि पानी परेर ओसिलो भएको मैदानमा टस जितेर युएईले पहिले बलिङमा जाने निर्णय गरेपछि नेपालले ब्याटिङ गरेको थियो । नेपालले दिएको १०५ रनको लक्ष्य पछ्याउने क्रममा युएईका ओपनरले गतिलो सुरुवात गरेका थिए । युएईका लागि ओपनर घुलाम सबेरले १५ बलमा २५ रनको योगदान निए । त्यसैगरी साइमान अनवरले २० बलमा ३० रन बनाउन सफल भए । त्यसैगरी मोहम्मद बुताले ९ बलमा ११ रनको योगदान दिए । नेपालका लागि ऐतिहासिक जित दिलाउने क्रममा करण केसी, अविनाश बोहरा र ललित राजवंशीले समान २२ विकेट लिए । पहिलो ओभरमा महँगो सावित भएका सन्दीप लामिछानेले पनि एक विकेट लिन सफल भए । उनले २ ओभर बलिङ गर्दै २३ रन दिएर सबैभन्दा महँगा सावित भए । दुबईस्थित अन्तर्राष्ट्रिय क्रिकेट काउन्सिल (आईसीसी) एकेडेमी ओभलमा हुने खेल दुवै टोलीका लागि महत्त्वपूर्ण थियो । अघिल्लो दुईमध्ये नेपाल र यूएईले एकएक खेल जितेकाले शृंखला ११ को बराबरीलाई तोड्दै नेपालले २१ को जित निकालेको हो । टीट्वान्टी शृङ्खलाको पहिलो खेलमा यूएई २१ रनले विजयी भएको थियो । दोस्रो खेल नेपालले चार विकेटले जित्दै शृंखला बराबरी गरेको थियो । यसअघि यूएईविरुद्धको एकदिवसीय शृंखला २१ ले जितेको थियो । नेपालले सन् २०१४ को टीट्वेन्टी विश्वकपपछि दुई वर्षका लागि टीट्वेन्टी टोलीको मान्यता पाएको थियो । सो अवसरमा नेपालले दुई टीट्वेन्टी शृंखलासमेत खेलेको थियो । यद्यपि नेदरल्यान्ड्स र हङकङविरुद्धको दुवै शृंखलामा नेपाल पराजित भएको नेपालका लागि आइतबारको जित एतिहासिक बनेको हो । नेदरल्यान्ड्ससँगको शृंखला नेपालले ३१ र वर्षाका कारण तीनमध्ये अन्तिम खेल मात्रै सम्भव हुँदा हङकङसँगको शृंखला १० ले गुमाएको थियो ।"
