"शीर्षक","विवरण"
"""तनहुँको बन्दीपुरमा जीप दुर्घटना","दुईजनाको मृत्यु"",""तनहुँ : तनहुँको बन्दीपुर बजारबाट आँबुखैरेनी गाउँपालिका६ जालभञ्ज्याङतर्फ जाँदै गरेको ग २ च ३२७० नम्बरको जीप बन्दीपुर गाउँपालिका५ स्थित झारगाउँमा आज राति ७ः३० बजे दुर्घटना हुँदा दुईजनाको मृत्यु भएको छ । मृत्यु हुनेमा बन्दीपुर गाउँपालिका५ का ५० वर्षीया भीमकुमारी गुरुङ र सोही ठाउँका ५० वर्षीय मनबहादुर गुरुङ रहेको जिल्ला प्रहरी कार्यालय तनहुँले जनाएको छ । उनीहरुको उपचारका क्रममा मृत्यु भएको बन्दीपुर अस्पतालमा प्रहरी नायब उपरीक्षक श्यामु अर्यालले जानकारी दिए । जीप कच्ची सडकबाट ५० मिटर तल खस्दा दुर्घटना भएको प्रहरी नायब उपरीक्षक श्यामु अर्यालले जानकारी दिए । दुर्घटनामा बन्दीपुर गाउँपालिका५ कै ४५ वर्षीया चिजामाया गुरुङ, सोही ठाउँका ६० वर्षीया हरिमाया गुरुङ, ६० वर्षीया धनमाया गुरुङ, ५१ वर्षीया कमली गुरुङ र जीप चालक सोही ठाउँका २५ वर्षीय विर्खबहादुर गुरुङ घाइते भएका छन् । घाइतेहरुलाई उपचारका लागि पोखरा लगिएको प्रहरी नायब उपरीक्षक अर्यालले जानकारी दिए । रासस"""
"रुकुमपूर्वको सदरमुकाम विवाद : निषेधित क्षेत्रको अन्तिम घेराबाट फर्किए गोल्खाडाबासी","रुकुमपूर्व : जिल्लाको स्थाई सदरमुकाम गोल्खाडामा राख्ने सरकारको निर्णय कार्यन्वयनको माग गर्दै ज्ञापनपत्र बुझाउन रुकुमकोटतर्फ आएका आन्दोलनकारी बुधबार निषेधित क्षेत्रको अन्तिम घेराबाट फिर्ता भएका छन् । जिल्लाको सदरमुकाम रुकुमकोट वा गोल्खाडा भन्ने विवाद बढ्दै गएपछि स्थानीय प्रशासनले रुकुमकोटमा लगाएको निषेधाज्ञा तोड्ने तयारी गरेर बुधबार गोल्ल्खाडाबासी निषेधित क्षेत्रको अन्तिम घेरासम्म पुगेका थिए । प्रमुख जिल्ला अधिकारीलाई त्यही बोलाएर ज्ञापनपत्र बुझाउने तयारी गरेपनि उनले सुरक्षाघेरा छोड्न नमानेपछि ज्ञापनपत्र नबुझाइ आन्दोलनकारी फर्किएका हुन् । मंगलबार रुकुमकोटमै पुगेर ज्ञापनपत्र बुझाउने तयारी गरेका गोल्खाडाबासीले स्थानीय प्रशासनले रुकुमकोटलाई निषेधित क्षेत्र तोकेपछि मंगलबार गोल्खाडामै प्रर्दशन गरेका थिए । ज्ञापनपत्र बुझाउने भनेर पुथा उत्तरगंगा गाउँपालिकाका सर्वसाधारण बुधबार बिहानै रुकुमकोटतिर सोझिएका थिए । आन्दोलनकारीले निषेधित घेरा तोड्न सक्ने खतरा बढेपछि रुकुमकोटमा हेलिकप्टरमार्फत् सुरक्षाकर्मी थप गरिएको थियो । प्रतिनिधिमार्फत् जिल्ला प्रशासन कार्यालयमै आएर ज्ञापनपत्र बुझाउन प्रमुख जिल्ला अधिकारी मित्रलाल शर्माले अनुरोध गर्दा आन्दोलनकारी नमान्दा ज्ञापनपत्र बुझाउन नपाएका हुन् । सिडिओले ज्ञापनपत्र नबुझेपछि आक्रोशित भएर फर्किएका गोल्खाडाका स्थानीयले थप आन्दोलन चर्काउने तयारी गरेको गोल्खाडा सदरमुकाम स्थापनार्थ सरोकार समिति सदस्य पुनिराज घर्तीले बताए । हामीले सरकारको निर्णय कार्यन्वयनको माग गरेका छौँ । सरकारसँग हाम्रो कुनै नयाँ माग छैन, सदस्य घर्तीले भने, जनताको पक्षमा भएको निर्णय कार्यन्वयनको माग गरेर सरकारलाई जनताको मागपत्र बुझाउन खोज्दा हामीलाई निषेध गर्न खोजियो । जिल्ला प्रशासन कार्यालयले भने निषेधित क्षेत्रको सुरक्षा व्यवस्थामा थप कडाई गरेको बताएको छ । प्रजिअ शर्माले अवस्था समान्य नहुञ्जेल निषेधाज्ञा जारी रहने बताए । देश संघीयतामा गएसँगै साविक रुकुम जिल्लाबाट रुकुमपूर्व छुट्टै जिल्लाका रुपमा कायम भएको थियो । प्रदेश ५ अन्तरगत पर्ने यो जिल्लाको अस्थाई सदरमुकाम सिस्ने गाउँपालिका५ रुकुमकोटमा तोकिएको थियो । अहिले रुकुमकोटबाटै सदरमुकामको काम अगाडी बढिरहेको छ । २०७४ माघ ११ गते शेरबहादुर देउवा नेतृत्वको सरकारले जिल्लाको स्थाई सदरमुकाम गोल्खाडामा हुने निर्णय गरेपनि रुकुमकोट र आसपासका जनता आन्दोलित भएपछि कार्यान्वयन हुन नसक्दा तनाव लम्बिएको हो । सरकारको निर्णय खारेजी र रुकुमकोटलाई स्थाई सदरमुकाम तोक्न माग गर्दै सर्वोच्च अदालतमा २०७४ माघ १७ गते रिट दायर भएको थियो । १८ गते सर्वोच्चले तत्काल मन्त्रिपरिषद्को निर्णय कार्यन्यन नगर्न अन्तिरिम आदेश दिएपछि विवाद लम्बिएको हो । त्यसपछि पटकपटक रिटको पेशी सर्दै माघ २७ गते १७ औं पटक अदालतमा बहस हुँदैछ । अन्तिम मानिएको पेशीमाथि बहस हुने समय नजिकिदै गर्दा जिल्ला अशान्त बनेको हो ।"
"""पासवान जातिको अनौठो पूजा","जहाँ पूजारी आगो र तरबारमै हिँड्छन् !"",""राजविराज : सप्तरीमा बुधबार एउटा अनौठो पूजा भयो । कञ्चनरुप नगरपालिका८ बेरियरमा मनाइएको राहु पूजामा पूजारी बनेका सुरुङ्गा नगरपालिका८ मल्हनमाका सन्तोषकुमार पासवान नाङ्गो तरबारमा उभिए, उम्लिरहेको दुधको खिरमा हात गाढे र नाङगो खुट्टाले आगोमाथि हिँडे । सन्तान प्राप्ति, धन आर्जन तथा दीर्घरोग निको हुने विश्वासका साथ अनौठो परम्पराका रुपमा मनाइने राहु पूजामा उनले भेडा नमरुञ्जेल भेडालाई दाँतले चेपेर समेत घुमाइरहे । राहु पूजामा भएको यस्तो दृश्य अपत्यारिलो लागे पनि सन्तोषकुमारले ती सबै गतिविधि आफैँ गरेका थिए । हजारौं दर्शकको भीडमा यसरी मनाइएको यस्तो पूजा रोचक र अचम्मलाग्दो पनि थियो । यहाँ पूजामा जोसुकै आउन सक्छन् । पूजा जसले पनि गराउन सक्छ । तर पूजारी दुसाध (पासवान) जातिकै हुनुपर्ने परम्परा छ । सोही अनुरुप यसपटक सन्तोषकुमारले पूजारी (भगता) को जिम्मेवारी सम्हालेका थिए । तराईको पासवान (दुसाध) जातिको अनौठो पूजामा सहभागी हुन र अवलोकन गर्न हजारौं सर्वसाधारण उपस्थित भए । सप्तरीको विभिन्न गाउँका साथै सिरहा, सुनसरी र सिमावर्ती भारतीय क्षेत्रका सर्वसाधारणको पनि यहाँ घुइँचो नै लाग्यो । यसबाहेक भाकल गरेका कुरा पूरा भएपछि पनि यहाँ पूजा गर्न जाने चलन छ । यसका लागि कुनै जात विशेषको हुनु पर्दैन । पूजा व्यवस्थापक समितिका अध्यक्ष जोगिन्द्र पासवान (खिखर) का अनुसार एक साता अघिदेखि नै पूजा गर्ने व्यक्तिको घरमा आएर पूजामा प्रयोग हुने बाँसलाई वाँसविट्टीको घारीमा गएर पूजा गरी निम्तो दिने गरिन्छ । उक्त बाँस पूजा हुने स्थलमा काटेर ल्याउने गरिन्छ । यहाँ पूजा गर्दा निःसन्तानलाई सन्तान प्राप्ति, आवाज गुमेकाको आवाज आउने, विरामीहरु निको हुने जनविश्वास रहेको छ । सूर्य भगवानले अरु कुनै जातिसँग अर्घ नलिइ पासवान (दुसाध) जातिसँग मात्र लिएको बताइन्छ ।"""
"कर्णालीमा पूर्वाधार विकास प्राधिकरण गठनबारे विधेयकमा सहमति","सुर्खेत : कर्णाली प्रदेश सरकारले पूर्वाधार विकास प्राधिकरण गठन गर्ने सम्बन्धमा बनेको विधेयकलाई सैद्धान्तिक सहमति प्रदान गरेको छ । भौतिक पूर्वाधार विकास मन्त्रालयले प्रस्ताव गरेको पूर्वाधार विकास प्राधिकरण गठन गर्ने सम्बन्धमा बनेको विधेयकलाई मन्त्रिपरिषद्को बुधबार बसेको बैठकले सैद्धान्तिक सहमति प्रदान निर्णय गरेको सरकारका प्रवक्ता एवं भूमि व्यवस्था, कृषि तथा सहकारीमन्त्री बिमला केसीले जानकारी दिए । यस्तै भूमि व्यवस्था, कृषि तथा सहकारी मन्त्रालयद्वारा प्रस्तावित प्राङ्गारिक कृषि विधेयक, २०७५ प्रदेशसभा समक्ष पेश गर्नका लागि स्वीकृति प्रदान गर्ने, खाद्य उत्पादन, संरक्षण तथा खाद्य अधिकारको प्रवद्र्घन विधेयक, २०७५ लाई मन्त्रिपरिषद्को विधेयक समितिमा पठाउने र सोही मन्त्रालयले सरकारी भवन निर्माण गर्न जग्गा प्राप्तिका लागि गरेको प्रस्ताव सङ्घीय सरकारलाई पठाउने निर्णय गरिएको प्रवक्ता केसीले बताए । सामाजिक विकास मन्त्रालयले प्रस्ताव गरेको श्रम तथा रोजगार प्रवद्र्धन नीति २०७५ स्वीकृत गर्नाका साथै सोही मन्त्रालयद्वारा प्रस्तावित प्रदेशमा खेलकूदको विकास सम्बन्धमा व्यवस्था गर्न बनेको विधेयक र घरेलु हिंसा नियन्त्रण गर्ने सम्बन्धमा व्यवस्था गर्न बनेको विधेयक २०७५ प्रदेशसभामा पेश गर्न स्वीकृति प्रदान गर्ने निर्णय भएको उनले बताए । उनका अनुसार आन्तरिक मामिला तथा कानून मन्त्रालयले प्रस्ताव गरेको सुशासनसम्बन्धी विधेयक २०७५ र सोही मन्त्रालयलद्वारा प्रस्तावित सार्वजनिक प्रसारणसम्बन्धी व्यवस्था गर्न बनेको विधेयक २०७५ प्रदेशसभामा पेश गर्नका लागि स्वीकृति प्रदान गर्ने निर्णय पारित भएको छ । प्रदेश समन्वय परिषद्को पहिलो ऐतिहासिक बैठकलाई सफल पार्न सहयोग गर्ने सबैलाई धन्यवाद दिने निर्णय गरेको प्रदेश सरकारले कर्णाली प्रदेशसभाको हिउँदे अधिवेशन आगामी फागुन १५ गते अपराह्न १ बजे आह्वानका लागि सिफारिश गर्ने निर्णय बैठकमा भएको जनाइएको छ । रासस"
"""जुम्लामा तीन महिनादेखि छैन बिजुली","दिउँसै बालियो मैनबत्ती"",""जुम्ला : तीन महिनादेखि सदरमुकाम खलङ्गा विद्युतविहीन बनेपछि यहाँका नागरिक विरोधमा उत्रिएका छन् । गत मसिंरदेखि सदरमुकाम खलंगासहित चन्दननाथ नगरपालिका अन्धकारमय छ । बुधबार समावेशी महिला मानव अधिकार संजाल समितिको नेतृत्वमा जुम्लाका महिला अधिकारकर्मीसहितको टोलीले विद्युत माग्दै क्याण्डल जुलुस गरेका हुन् । उनीहरुले क्याण्डल बालेर जुलुस गर्दै बजार परिक्रमा गरे । एक हप्ताभित्र नियमित विद्युत आपूर्ति नभएमा संयुक्त आन्दोलन गर्ने चेतावनी उनीहरुले दिएका छन् । साना जलविधुत् उपभोक्ता समिति खलंगाको लापारवाहीका कारण उपभोक्ताहरुले चरण लोडसेडिङको मार खेप्नुपरेको हो । ध्यानाकर्षण पत्र बुझ्दै प्रमुख जिल्ला अधिकारी बिष्णु पौडेलले २४ घण्टाभित्रै समिति तथा सरोकारवालासँग बैठक बसेर विद्युत आपूर्तिको वातावरण बनाउने बताए । भारतीय दूतावासको सहयोगमा नयाँ मेसिन खरिदको बाहानामा समितिले विगत तीन महिना झुलाइसकेको छ । महिनौदेखि सदरमुकाम अध्याँरो हुँदा जिल्लाले करोडौँको ब्यापार घाटा बेहोर्नु परेको गुनासो स्थानीयले गरेका छन् । बिजुली नहुँदा स्थानीय टुकी, झरो तथा बैकल्पिक ऊर्जाको ब्यवस्था गर्न बाध्य छन् । विद्युत् नहुँदा खलंगाका होटल व्यवसाय, व्यापारी, उद्योग कलकारखाना मारमा परेका अधिकारकर्मी लक्ष्मीकन्या बुढाले बताइन् । एसइइ र लोकसेवा तयारी कक्षाका लागि सदरमुकाम झरेका झण्डै १० हजार विद्यार्थीको अध्ययन पनि बिजुली अभावमा प्रभावित भएको छ । उपभोक्तालाई विद्युत दिने आश्वासन दिएर समितिले झारो टारिरहेको अधिकाकर्मी भगवती श्रेष्ठले बताइन् । बिजुली नबालेरै बिल तिर्न बाध्य छौँ, उपभोक्ता सीता बुढाले भनिन्, हाम्रो अधिकारमा खेलवाड गर्न पाइँदैन, प्रशासन मौन भएर नबसोस् । उपभोक्ताहरुले पहुँुच भएकाहरुले भिआइपी लाइन लिँदा लोडसेडिङ चर्किएको ती लाइन काट्न पनि आग्रह गरेका छन्"""
"सचिवमाथि झापड प्रकरणको प्रतिवेदन तयार","जनकपुरधाम : प्रदेश२ का मन्त्रीले सचिवलाई झापड लगाएको घटनाको छानविन प्रतिवेदन तयार भएको छ । दुई दिन भित्र प्रतिवेदन सार्वजनिक हुने प्रदेश सरकारले आन्तरिक मामिला तथा कानुनमन्त्री तथा छानविन समितिका संयोजक ज्ञानेन्द्र यादवले जानकारी दिए । प्रतिवेदनमा समितिका सदस्य प्रमुख सचिव दीपक सुवेदीको हस्ताक्षर हुन बाँकी रहेकाले प्रतिवेदन सार्वजनिकमा ढिलाई भएको हो । सचिव सुवेदी विदामा भएकाले हस्ताक्षर हुन नसकेको बताइएको छ । आर्थिक मामिला तथा योजनामन्त्री विजय यादवले उद्योग, पर्यटन, वन तथा वातावरण मन्त्रलायका सचिव विद्यानाथ झालाई पुस २९ गते झापड लगाएपछि विवाद चुलिएको थियो । सात दिनको समय दिएर छानविन समिति गठन भएको थियो । विभिन्न बाहानबाजी देखाउँदै छनाविन समितिले प्रतिवेदन सार्वजनिक गर्न ढिलाई गरिरहेको छ । प्रतिवेदन तयार गरिसकेका छौं, समितिका संयोजक मन्त्री यादवले भने, प्रमुख सचिवको हस्ताक्षर हुने वितिकै प्रतिवेदन मुख्यमन्त्रीज्यूलाई बुझाउँछौं । सप्तरीको मलेठ घटनाको पनि प्रतिवेदन तयारी भएको उनले जानकारी दिए । मलेठ घटनाको प्रतिवदेन तयारी अवस्थामा छ , उनले भने । छानविन समितिका सदस्यसचिव रहेका मुख्य न्यायाधीवक्ता कार्यालयका कर्मचारी सरुवा भएकाले प्रतिवेदनमा उनको हस्ताक्षर हुन सकेको छैन । हस्ताक्षर लिन प्रयासरत छौं, मन्त्री यादवले भने ।"
"स्थानीयलाई कुटपिट गरेको आरोपमा विप्लवका नेता पक्राउ","अर्घाखाँची : छत्रदेव गाउँपालिकाबाट प्रहरीले नेत्रविक्रम चन्द्र विप्लव नेतृत्वको नेपाल कम्युनिस्ट पार्टीका चारजना नेता पक्राउ परेका छन् । छत्रदेव गाउँपालिका७ मडेलचौरका स्थानीय भिमलाल पाण्डेलाई कुटपिट गरेको आरोपमा प्रहरीले चारजना स्थानीय नेतालाई पक्राउ गरेक प्रहरी नायब उपरीक्षक नवराज मल्लले जानकारी दिए । पक्राउमा अर्घाखाँची जिल्ला जनपरिषद् प्रमुख पिताम्वर पोख्रेल, गुल्मी जिल्ला सचिव खिम खड्का, लुम्बिनी ब्युरो सदस्य पूर्ण सिंह र जाजरकोट पाटी सदस्य शिवलाल पुन पक्राउ परेका हुन् । जिल्ला अदालत अर्घाखाँचीमा रहेको मुद्दा फिर्ता लिन नमानेपछि भिमलाललाई कुटपिट गरेपछि उनीहरू पक्राउ परेका हुन । कुटपिटमा संलग्न रहेका चारजना पक्राउ परेका छन् । चारजना फरार रहेको र उनीहरुको खोजी भइरहेको प्रहरीले बताएको छ ।"
"श्रमजीवीको पारिश्रमिकको मर्ममाथि आघात पुग्यो : महासङ्घ","काठमाडौं : नेपाल पत्रकार महासङ्घले सञ्चार प्रतिष्ठानमा कार्यरत श्रमजीवीको पारिश्रमिकको मर्म भावनामाथि आघात पुगेको जनाएको छ । सर्वोच्च अदालतले श्रमजीवी पत्रकारको न्यूनतम पारिश्रमिक सम्बन्धमा दिएको अन्तरिम आदेशप्रति महासंघले नेपाल राजपत्रमा प्रकाशित सूचनासमेत रोक्ने गरी जारी आदेशले ध्यानाकर्षण भएको जनाएको छ । महासङ्घका महासचिव रमेश विष्टद्वारा आज जारी विज्ञप्तिमा पत्रकारको न्यूनतम पारिश्रमिकसम्बन्धी सर्वोच्च अदालतको आदेश यथा समयमै प्रक्रियाबमोजिम पुनर्विचार भई आवश्यक भूमिका निर्वाह हुने अपेक्षा गरिएको छ । महासङ्घले मुलुकी फौजदारीसंहिता ऐनका प्रेस स्वतन्त्रतामाथि आघात पुर्याउने विभिन्न प्रवाधानमाथि संशोधनका लागि सरकारद्वारा गठित कार्यदलको सुझावअनुरुप अविलम्ब संशोधन प्रक्रिया अघि बढाउन सम्बद्ध पक्षसँग माग गरेको छ । यस्तै नवीकरण हुन नसकेका अनलाइन मिडियाको सहज ढङ्गले नवीकरण प्रक्रिया सुरु गर्न महासङ्घले सूचना विभागलाई समेत ध्यानाकर्षण गराएको छ । त्यस्तै सरकारले विज्ञापन नियमन गर्ने सम्बन्धमा व्यवस्था गर्न ल्याएको प्रस्तावित विधेयकका विषयमा समेत महासङ्घले ध्यानाकर्षण भएको जनाउँदै उक्त विधेयकका कतिपय प्रावधान अभियक्ति स्वतन्त्रताको मूल्य मान्यतासँग मेल नखाने देखिएकाले सच्याउन माग गरेको छ । के थियो माघ २१ गतेको सर्वोच्चको आदेश ? पढ्नुस्ः"
"सुकुम्बासी बस्तीको टहरामा झुन्डिएको अवस्थामा भेटिए युवा","भक्तपुर : भक्तपुरको मध्यपुर थिमी नगरपालिका १ मनहरास्थित सुकुम्बासी बस्तीको टहरामा झुन्डिएको अवस्थामा एक युवा भेटिएका छन् । महानगरीय प्रहरी परिसर भक्तपुरका अनुसार काभ्रेको नमोबुद्ध नगरपालिका ६ घर भइ हाल सुकुम्बासी बस्तीको टहरामा बस्दै आएका २६ वर्षीय लक्की तामाङ बुधबार मृत अवस्थामा भेटिएका हुन् । परिसरका प्रवक्ता प्रहरी नायब उपरीक्षक रेवतीरमण पोखरेलका अनुसार तामाङ टहराभित्र बाँसको बलोमा डोरीले पासो लगाई झुन्डिएको अवस्थामा भेटिएका हुन् । तामाङको शव पोस्टमार्टमको लागि भक्तपुर अस्पतालमा पठाइएको छ । घटनाका सम्बन्धमा थप अनुसन्धान कार्य भइरहेको उनको भनाइ छ ।"
"चन्द्रपुरमा राजपा नेपालको क्षेत्रीय कार्यालय","रौतहट: राष्ट्रिय जनता पार्टी (राजपा) नेपालका अध्यक्ष मण्डलका चार सदस्यले चन्द्रपुरमा क्षेत्रीय पार्टी कार्यालय उद्घाटन गरेका छन् । शीर्ष नेताले बुधबार रौतहटको चन्द्रपुर नगरपालिका५ मा राजपा नेपालको क्षेत्रीय कार्यालय उद्घाटन गरेका हुन् । राजपा नेपालका अध्यक्ष मण्डलका संयोजक महेन्द्रराय यादव, राजेन्द्र महतो, महन्थ ठाकुर र अनिलकुमार झाले क्षेत्रीय कार्यालय उद्घाटन गरेका हुन् । राजपाका अध्यक्ष मण्डलका संयोजक यादवले मुलुकमा रहेका आदिवासी, जनजाति, मुस्लिम, मधेसी वर्गको आर्थि समानता तथा भाषिक समानता वर्तमान संविधानमा नरहेकाले संविधान संशोधन जरुरी रहेको धारणा राखे । वर्षौदेखि मधेसमा मधेसी जनता उपेक्षित र पीडित छन् । उनीहरुको उत्थानका लागि राजपा नेपाल आन्दोलनमा रहेको उनको भनाइ छ । संविधान संशोधन नभए आन्दोलनमा जाने तयारी गर्न अर्का अध्यक्ष मण्डलका सदस्य राजेन्द्र महतोले आग्रह गरे । नेपाल सबै नेपालीको हुनुपर्नेमा त्यसो नभएको र आम नेपालीको नेपाल हुन नसकेको नेता महत्तोको भनाइ छ । अध्यक्ष मण्डलका सदस्य महन्थ ठाकुरले सरकारले चिकित्सा विधेयक बहुमतको दम्भमा पास गरेको बताउँदै संसदले नै तानाशाह बनाउने भएको हुँदा अहिलेको सरकार त्यो अभ्यास तिर अघि बढेको भन्दै आशंका व्यक्त गरे । अध्यक्ष मण्डलका अर्का सदस्य अनिलकुमार झाले जनताको अधिकार स्थापित नहुन्जेलसम्म राजपा नेपाल संघर्षमा रहने बताए ।"
