"शीर्षक","विवरण"
"भ्यालेन्टाईन्स डे बारे १० रहस्य : सैनिक वलिदानीदेखि क्याडबरी चक्लेटसम्म !","काठमाडौं : हरेक फेब्रुअरी १४ मा युवाहरुमाझ लोकप्रिय रहेको भ्यालेन्टाइन्स डे कहाँबाट सुरु भयो थाहा छ त ? कसरी यो चर्चित भयो ? प्रेम वा अनुभुतिको त्याग र वलिदानबाट सुरु भएको यो ऐतिहासिक घटना अचेल त चाड जस्तै बनेको छ । खासमा यो रोमन इतिहास घटनासँग जोडिएको एक घटना हो । यसबारे दुई मान्यता संसारभर चर्तित छन् । रोमन चाड लुपेर्कालियाकै निरन्तरता हो भन्ने एउटा मान्यता छ । जुन फेब्रुअरी १५ मा मनाइन्छ । जुन चाडको महत्व पुरुषको यौन क्षमतासँग पनि जोडिन पुग्छ । दोस्रो मान्यता के छ भने, रोमन शासक क्लाउडियस (दोस्रो) आफ्ना पुरुष सैनिकहरु युद्धको अवधिभर विवाह नगरुन् भन्ने चाहन्थे । तर बिसप भ्यालेन्टाईन नाम गरेका एक सैनिक जवानले उनको इच्छाविपरित गोप्य रुपमा विवाह गरे । यस्तो थाहा पाएर क्रुद्ध शासकले भ्यालेन्टाईनलाई जेलमा पठाए र फेब्रुअरी १४ कै दिन फाँसी नै दिए । जेलमा रहँदा भ्यालेन्टाईनले आफ्नी प्रेमिकाको नाममा एउटा चिठी पठाएका थिए । तिम्रो भ्यालेन्टाईनको तर्फबाट भन्दै हस्ताक्षर सहित उनले पठाएको त्यो चिठी साहित्य झैँ बन्यो । ६ सय वर्ष पुरानो घटनासँग जोडिएको भ्यालेन्टाईन्स डे बारे केही रहस्यमय तथ्य यस्ता छन् । भिक्टोरियन समयमा भ्यालेन्टाईन्स डे कार्डमा हस्ताक्षर गर्नु अपशकुन मानिन्थ्यो । अमेरिकामा पछिल्लो केही वर्षयता भ्यालेन्टाईन्स गिफ्ट बिक्रीको तथ्यांक हेर्ने हो भने ३ प्रतिशत जति मानिस आफूले पालेका घरपालुवा जनावरलाई भ्यालेन्टाईन गिफ्ट दिन्छन् । प्रेमी वा प्रेमिकामाझ मात्रै लोकप्रिय रहेको यो दिन एक्लाहरुले पनि मनाउने चलन छ । यसलाई (स्याड डे) अर्थात् सिंगल्स अवेर्नेस डे को रुपमा मनाउने चलन छ । फिनल्याण्डमा त यसलाई प्रेमी प्रेमिका मात्रै नभएर नजिकको साथीसँग मनाउने रमाइलो चाडको रुपमा मनाइन्छ । १५३७ मा ईंग्ल्यान्डका राजा हेनरी सातौँले आधिकारिक रुपमा फेब्रुअरी १४ को दिनलाई भ्यालेन्टाईन्स डे भनी सार्वजनिक विदा घोषणा गरिदिएका थिए । १८०० को अन्त्यतिर रिचर्ड क्याडबरीले क्याड्बरी चकलेटको पहिलो बक्स यही दिनमा प्रेमी वा प्रेमिकाको याद मेटाउन खानको लागि भन्दै उत्पादन गरेका थिए । पछिल्ला केही वर्षको तथ्यांकका आधारमा ७३ प्रतिशत भन्दा बढी पुरुष यस दिनमा फूल खरिद गर्छन् । यस्तै र २७ प्रतिशत महिला हुन्छन् । हरेक भ्यालेन्टाईन्स डेमा सेक्सपियरका प्रेम जोडी रोमियो र जुलिएट जन्मिएको सहर इटालीको भेरोना सहरमा जुलिएटलाई सम्बोधन गर्दै लेखिएका १ हजार भन्दा बढी लेटर पठाइन्छ । ईस्टर हल्याण्ड, भ्यालेन्टाईनलाई बजारिकरण गर्ने पहिलो अमेरिकी महिला हुन् । उनलाई यसलाई कलात्मक तरिकाले मनाउन सिकाएकोमा मदर अफ अमेरिकी भ्यालेन्टाईन पनि भनिन्छ । अमेरिकनहरु सुरुमा रोमान्टिक कम र बढी हास्यास्पद रुपमा मनाउँथे । पछिल्ला केही वर्षका सर्भे अनुसार हरेक वर्ष अमेरिकीहरु १८ अर्ब डलर भन्दा रकम भ्यालेन्टाईनकै लागि खर्च गर्छन् । (एजेन्सीकाे सहयाेगमा)"
"चौथो राष्ट्रिय पुरुष भलिबल : फाइनलमा पुगे गण्डकी प्रदेश र नमूनादीप","रामेछाप : मन्थलीमा जारी मन्थली मेयर कप रामेछाप सिभिल च्याम्पियनसिप चौथो राष्ट्रिय पुरुष भलिबल प्रतियोगिताको फाइनलमा गण्डकी प्रदेश र नमूना दीप युवा क्लब पुगेका छन् । शुक्रबार भएको सेमीफाइनलमा दुवै टिमले जित निकाल्दै फाइनल यात्रा तय रहेका हुन् । सेमीफाइनलको पहिलो खेलमा गण्डकी प्रदेशले प्रदेश नम्बर १ लाई २५२१, २५९ र २५२० को सोझो सेटमा पराजित गर्दै फाइनल प्रवेश गरेको हो । दोस्रो सेमीफाइनल खेलमा नमूना दीप युवा क्लबले शान्तिदीप युवा क्लबलाई २५१८, २१२५, २६२४ र २५१३ (३१ कोे सेट) को अन्तरमा पराजित गर्दै फाइनल पुगेको हो । प्रतियोगितामा तेस्रो स्थानमा लागि प्रदेश नम्बर १ विरुद्ध शान्तिदीप युवा क्लब प्रतिस्पर्धा गर्नेछन् । रामेछाप सिभिल च्याम्पियनसिप प्रतियोगितामा ९ टिमले सहभागिता जनाएका थिए । सहभागी सबै टिमहरुमा राष्ट्रिय खेलाडीहरु समावेश छन् । फाइनल खेल शनिबार हुने आयोजक जिल्ला खेलकुद विकास समितिका अध्यक्ष पुरुषोत्तम कडरियाले जानकारी दिए । मन्थली नगरपालिका सहआयोजक रहेको प्रतियोगिताको विजेता टोलीले ३ लाख, दोस्रोले २ लाख, तेस्रोले १ लाख र चौथोले ५० हजार नगदसहित शिल्ड मेडल र प्रमाणपत्र पाउनेछन् । प्रतियोगिताको सर्वोकृष्ट खेलाडीले १५ हजार नगद पुरस्कार पाउने छन् । व्यक्तिगत विधातर्फ सर्बर, ब्लकर, स्पाइकर, डिफेन्डर, सेटर र प्रशिक्षकले १०१० हजार नगद पाउने छन् । प्रतियोगितामा सहभागी टिमका खेलाडीको भत्ता र यातायात खर्च आयोजकले व्यहोरेको छ । प्रत्येक खेलाडीलाई दैनिक १२ सय भत्ता दिइएको छ । अघिल्लो संस्करणको उपाधि सुदूरपश्चिमले चुमेको थियो ।"
"सिंजा सभ्यता र पहिचान","शक्तिशाली कर्णाली खस राज्यको राजधानी रहेको सिंजाको सभ्यता र पहिचानसँग जोडिएको पोशाकमा महिलाहरु । तस्बिर : शुरबहादुर सिंह, रासस"
"""झापामा टेम्पो दुर्घटना","चालकसहित ४ जना घाइते"",""बिर्तामोड : झापाको भद्रपुर नगरपालिका१ स्थित हिमाली चोकमा बिहीबार टेम्पो दुर्घटना हुँदा ४ जना घाइते भएका छन् । चारआलीकेचना सडकखण्डमा उत्तरबाट दक्षिणतर्फ जाँदै गरेको मे १ ह ३५९१ नम्बरको टेम्पो आफै अनियन्त्रित भइ दुर्घटना भएको हो । दुर्घटनामा टेम्पो चालक भद्रपुर नगरपालिका६ की निन्दु माझी, रैनी माझी, कचनकबल गाउँपालिका१ की आमोदी माझी र ठेगाना नखुलेकी फूलमुनिया साह घाइते भएका हुन् । दुर्घटनामा घाइते सबैलाई उपचारको लागि मेची अञ्चल अस्पताल भद्रपुर पठाइएको जिल्ला प्रहरी कार्यालय झापाले जनाएको छ । दुर्घटनापछि टेम्पो प्रहरीको नियन्त्रणमा राखिएको छ ।"""
"आमाको पक्षमा नारा : कोख मेरो सन्तान कसको ? (फोटो फिचर)","काठमाडौं : भक्तपुरमा आफैँले जन्माएको छोरालाई आफ्नै नामबाट नागरिकता दिलाउन नपाएपछि एक महिलाले २०७० साउन १९ गते आत्महत्या गरिन् । उक्त घटनाको असर अझै सेलाएको छैन । अर्थात् आमाको नामबाट नागरिकता पाउने अधिकार व्यवहारमा अझै लागू हुन सकेको छैन । कुनै पुरुषले आफ्नो सन्तानलाई नागरिकता दिलाउन सजिलै सक्ने तर महिलाको लागि अनेक शर्त लागु हुने अवस्था अन्त्य नहुँदा अधिकारकर्मी तथा सरोकारवालाहरुले चासो देखाउँदै आएका छन् । आज शुक्रबार दिउसो नयाँ बानेश्वरमा सयौंको संख्यामा महिला अधिकारकर्मीहरुले यही अधिकारको पक्षमा आवाज उठाए । भक्तपुरको उक्त घटनामा आधारित बानेश्वरमा एक नाटक समेत मन्चन गरिएको थियो । शैली थिएटरले तयार पारेको नाटक हेर्न सयौंको भीड थियो । महिला विकास तथा कानुन मन्चको सहकार्यमा शैली थिएटरले उक्त नाडक मन्चन गरेको हो । नाटकसँगै यहाँ महिला अधिकारकर्मी प्रदर्शनकारीहरुले सरकार अझै महिलालाई अधिकार दिन तयार नभएको भन्दै नारावाजी समेत गरेका थिए । सबै तस्बिर : सुनिता डंगोल"
"धनगढी प्रिमियर लिगको ट्रफी सार्वजनिक","धनगढी : धनगढी प्रिमियर लिग (डिपिएल) तेस्रो संस्करणको ट्रफी सार्वजनिक गरिएको छ । धनगढीमा एक कार्यक्रम गरेर सबै क्लबका प्रतिनिधि खेलाडीसहित आयोजक धनगढी क्रिकेट एकेडेमीका अध्यक्ष सुवास शाही र डिपिएलका सदभावना दूत जोन्टी रोडले संयुक्तरुपमा ट्रफी सार्वजनिक गरे । जन्टी रोड दक्षिण अफ्रिकाका पुर्व खेलाडी तथा प्रशिक्षक हुन् । उनी फिल्डिङका विज्ञ हुन् । डिपिएलमा उनी मुख्य आकर्षण रहनेछन् । ट्रफी सार्वजनिकका क्रममा तेस्रो संस्करणको धनगढी प्रिमियर लिगलाई केही विशेष बनाउन लागिएको छ । पुरस्कार राशी पनि बढाएर ३० लाख पुर्याइएको आयोजकले जनाकारी दिएको छ । डिपिएलको तेस्रो संस्करणमा उत्कृष्ट खेलाडीलाई दिइने गोल्डस्टार सुनको स्पाइक पनि सार्वजनिक गरिएको छ । डोल्डन स्पाइकको धनगढी क्रिकेट एकेडेमीका अध्यक्ष सुवास शाही र डिपिएलका सदभावना दूत जोन्टी रोडले सार्वजनिक गरे । डिपिएल तेस्रो संस्करणमा स्थानीय टोली धनगढी स्टार्स, सिवाईसी अत्तरिया, महेन्द्रनगर युनाइटेडसँगै काठमाडौँ, विराटनगर र रुपन्देहीले प्रतिस्पर्धा गर्नेछन् । दुई दिन सर्यो प्रतिकुल मौसमका कारण मैदान हिलाम्य भएपछि शनिबारबाट सुरु हुने भनिएको धनगढी प्रिमियर लिग दुई दिन पछाडि धकेलिएको छ । सुदूरपश्चिम क्षेत्रबाट नेपाल प्रवेश गरेको मनसुनी हावाले यस क्षेत्रमा दुई दिनदेखि वर्षा भइरहेको छ । विहीबार राती भएको वर्षाले फाप्ला क्रिकेट मैदान हिलाम्य भएपछि प्रतियोगिता दुई दिन पछाडि सारिएको हो । दुई संस्करण संघीय प्रहरी कार्यालयको खेल मैदानमा भएको डिपिएलको तेस्रो संस्करणका लागि फाप्ला क्रिकेट मैदान तयार पारिएको थियो । मोहना नदीको किनारमा रहेको जग्गामा बनाइएको फाप्लामा गतवर्ष मात्रै माटो भरिएकाले बर्षाले हिलाम्य भएको छ । हिलाम्य मैदानमा क्रिकेट खेलाउन समस्या भएकाले प्रतियोगिता एक दिन सारिएको हो । यद्यपि आयोजकले यसको आधिकारिक घोषण गरेको छैन । सबै खेलको प्रत्यक्ष प्रसारण एपीवान टेलिभिजनले गर्नेछ । अत्तरियाको जर्सी डिपिएलको स्थानीय टोली सिवाईसी अत्तरियाले जर्सी सार्वजनिक गरेको छ । धनगढीमा एक कार्यक्रमको आयोजना गर्दै विदेशी प्रशिक्षक रायन मारुन र डिपिएलका सदभावना दुत जोन्टी रोड्सको उपस्थितिमा अत्तरियाले जर्सी सार्जजनिक गरेको हो । जर्सी सार्जजनिक कार्यक्रममा अत्तरियाका कप्तान दिपेन्द्रसिंह ऐरीले प्रतियोगिताका लागि टोली तयार रहेको बताए । उनले यसपाली उपाधी कब्जा गर्ने दाबी गरे । जर्सी सार्वजनिक कार्यक्रममा टिमका मालिक नरबहादुर राई र गोल्डेन गेट कलेजका सञ्चालक युवराज शर्मासहित उपस्थित थिए ।"
"दुर्लभ पाटे बाघ मर्यो","रत्ननगर : चितवन राष्ट्रिय निकुञ्जको राप्ती किनारस्थित जर्नेलीघाटमा पानीमा डुबेको अवस्थामा मृत दुर्लभ पाटे बाघ फेला परेको छ । शुक्रबार करीब १३ वर्षको वयस्क भाले बाघ मृत फेला परेको निकुञ्जका प्रमुख संरक्षण अधिकृत वेदप्रसाद ढकालले जानकारी दिए । मृत बाघको शरीरमा चोटैचोट भेटिएकाले अर्को भाले बाघले आक्रमण गर्दा सो बाघको मृत्यु भएको हुन सक्ने अनुमान गरिएको ढकालको भनाइ छ । राप्ती नदीमा माछा मार्न गएका स्थानीयवासीले मृत बाघलाई देखेपछि निञ्कुजलाई खबर गरेका थिए । सन् २०१८ मा भएको राष्ट्रिय बाघ गणनामा चितवन राष्ट्रिय निकुञ्जमा ९३ वटा बाघ रहेका थिए । गणना भएयता योसँगै दुईवटा बाघको मृत्यु भइसकेको निकुञ्जका सूचना अधिकारी गोपाल घिमिरेले जानकारी दिए ।"
"आधुनिक समाज निर्माण गर्न नयाँ संस्कार र संस्कृति चाहिन्छ : माधव नेपाल","बर्दिबास : आधुनिक समाज निर्माणको लागि नयाँ संस्कार र संस्कृतिको खाँचो रहेको नेकपाका नेता माधवकुमार नेपालले बताएका छन् । महोत्तरीको बर्दिबासस्थित सामुहिक परिवार आधारशिलाको १६ औं वार्षिकोत्सवलाई सम्बोधन गर्दै नेता नेपालले नयाँ संस्कृतिले मात्र समाज रुपान्तरण हुने उनले बताए । पूर्वप्रधानमन्त्री समेत रहेका नेपालले भने, हातमा रहेको सीपलाई सहकारीमार्फत आम्दानी गर्न सक्नु पर्छ । यसले अवश्य फड्को मार्छ । समाज र राज्यलाई परिवर्तन गर्नका लागि शिक्षाको अत्यन्त भुमिका रहेकोले प्रदेश सरकारलाई ठोस रुपमा शिक्षा नीति लागु गर्नुपर्नेमा नेता नेपालले जोड दिएका थिए । कार्यक्रमलाई सम्बोधन गर्दै संस्थाका अध्यक्ष एवं शिक्षा तथा विज्ञान प्रविधिमन्त्री गिरीराजमणि पोखरेलले देशलाई समाजवादतर्फको विकासको लागि पार्टी र सरकारले सकारात्मक भुमिका निर्वाह गर्नुपर्ने औँल्याए । साथै समाजवाद विकासको लागि सामुहिक प्रयासको आवश्यकता रहेको उनको भनाइ छ ।"
"प्रदेश ५ को गाडी खरिदमा भ्रष्टाचार ठहर","बुटवल : प्रदेश नम्बर ५ मा भएको गाडी खरिदमा अनियमितता पुष्टि भएको छ । सार्वजनिक लेखा समितिले उपभोक्ता मूल्य भन्दा धेरै तिरेर गाडी किनेको भन्दै बढी रकम प्रदेशसभा सञ्चित कोषमा राख्न निर्देशन दिएको छ । प्रदेश सभाले ११ वटा र मन्त्रालयले ४ वटा टाटा स्ट्रोम गाडी खरिदमा अनिमितता आशंकासहति सार्वजनिक लेखा समितिमार्फत् छानबिन सुरु गरेको थियो । लेखा समितिले शुक्रबार प्रतिवेदनलाई अन्तिम रुप दिँदै टाटा गाडी बिक्री गर्ने सिप्रदी र स्थानीय एजेण्टले अत्यधिक नाफा खाएको निचोड निकालेको छ । समितले उपभोक्ता मूल्य ६८ लाख ५५ हजारभन्दा बढी मूल्य नतिर्न पनि निर्देशन दिएको छ । समितिले यो प्रतिवेदन प्रदेशसभालाई माघ २९ गते बुझाउने सभापति डिल्लीप्रसाद चौधरीले बताए । प्रदेश सभाले करिव ७२ लाख र मन्त्रालयहरुले करिव ७३ लाखमा गाडी खरिद गरेका थिए । गाडी खरिदमा लाखौँ घोटला भएको समाचार अन्नपूर्ण पोस्ट्ले पुस २४ गते प्रकाशित गरेको थियो । दोषीलाई उन्मुक्ति समितिले 'गाडी खरिदमा अनियमितता शब्द' भने प्रतिवेदनमा उल्लेख गरेको छैन । अनियमितता हुँदा सरकारी निकाय (गाडी खरिद) पक्षलाई कुनै कारबाहीको सिफारिस गरिएको छैन । टाटाको बिक्रेताले भन्सार मूल्यभन्दा करिब ३० प्रतिशत बढी मुनाफा राखेको देखिएकाले बढी देखिएको रकम नतिर्न सम्बन्धित खरिदकर्तालाई निर्देशन दिइएको सभापति चौधरीले बताए । प्रदेश ५ मा एकै वर्षमा १ अर्बकाे गाडी खरिद प्रदेश ५ गाडी खरिद प्रकरण, छानबिन समिति गठन गाडी खरिद छानबिन गर्न उपसमिति गाडी खरिदमा अनियमितता : तत्काल छानबिन गर्न सांसद्को माग गाडी खरिदमा त्रुटि भेटियो प्रदेश ५ मा गाडी खरिद प्रकरण : उपसमितिले बुझायो अधुरो प्रतिवेदन प्रदेश ५ गाडी खरिद प्रकरण : छानबिनमा तानिएका व्यक्ति नै बैठकमा"
"गाडी जलाएको अभियोगमा पक्राउ नेविसंघ कार्यकर्ता छुटे","पोखरा : सार्वजनिक विदाको दिन चलाएको भन्दै गत माघ १९ गते सरकारी गाडी जलाएको अभियोगमा पोखराबाट पक्राउ कांग्रेसनिकट नेविसंघका तीन कार्यकर्ता रिहा भएका छन् । गाडी जलाएको अभियोगमा पक्राउ गरेर प्रहरीले सार्वजनिक अपराध अभियोगमा मुद्दा चलाएका नेविसंघका कार्यकर्ताहरु परशुराम बस्नेत, डिफान भुजेल र बिनय पौडेल जिल्ला अदालत कास्कीको आदेशमा साधारण तारेखमा रिहा भएका हुन् । नेविसंघका केन्द्रीय सदस्य नवराज त्रिपाठीका अनुसार उनीहरुसँगै पक्राउ परेका नेविसंघका कार्यकर्ताहरु लक्ष्मी पौडेल र राजेन्द्र बराल भने यसअघि नै रिहा भइसकेका थिए । उनीहरुले गत माघ १९ गते शनिबार बिहान पोखरा महानगरपालिकाको बा १ झ ५८७९ नम्बरको पिकअप भ्यानमा पेट्रोल छर्केर आगो लगाएका थिए । आगोले गाडी पूर्ण रुपमा जलेको थियो । नेविसंघका कार्यकर्ताद्वारा सरकारी गाडीमा आगजनी सरकारी गाडीमा नेविसंघको आगजनीपछि बुद्धनगरमा जे देखियो (फोटो फिचर) पोखरामा गगन थापालाई नेविसंघको कालो झण्डा गाडी जलाउनेलाई पक्रेको विरोधमा प्रदर्शन, नेविसंघ अध्यक्षसहित पक्राउ गाडी जलाउने विद्यार्थी नेतालाई रिहा गर्न कांग्रेसको चेतावनी"
