"शीर्षक","विवरण"
"दार्चुलामा ढुंगाले लागेर एकजनाको मृत्यु","दार्चुला : दार्चुलामा भिरबाट खसेको ढुंगाले लागेर एक महिलाको मृत्यु भएको छ । दुहुँ गाउँपालिका २ स्थायी घर भइ महाकाली नगरपालिका ४ बङ्गाबगड बस्ने ३० वर्षीया कलावती टमटाको मृत्यु भएको हो । दिउँसो ५ बजे ढुङ्गाले टमटालाई लागेको हो । मृतकको शव पोष्टमाटम गरी आफ्न्तलाई जिम्मा लगाएको जिल्ला प्रहरी कार्यालय दार्चुलाले जनाएको छ ।"
"दाङमा स्कुले छात्रमाथि खुकुरी प्रहार","दाङ : दाङको तुलसीपुरमा एक विद्यार्थीमाथि खुकुरी प्रहार भएको छ । यहाँको लिटिल हेवन विद्यालयमा कक्षा १० मा अध्ययनरत विद्यार्थी दिनेश ओलीलाई विद्यालय समय सकेर बाहिर निस्कँदै गर्दा विद्यालयको गेटै नजिक युवाहरुको एक समुहले खुकुरी प्रहार गरेको लिटिल हेवन विद्यालयका शिक्षक यमकान्त खरेलले जानकारी दिए । खुकुरी प्रहारबाट घाइते भएका दिनेशको राप्ती प्रादेशिक अस्पताल तुलसीपुरमा उपचार भइरहेको छ । खुकुरी प्रहार गर्नेमध्येबाट एकजनालाई पक्राउ गरेको प्रहरी जनाएको छ । पछिल्लो समय दाङमा आपराधिक घटना बढिरहेका छन् । अघिल्लो दिन सोमबार मात्रै दाङमा ३ वर्षीया एक बालिकाको अपहरण भएको थियो ।"
"बनेपामा विद्यार्थीले बनाए विश्वकै नमुना कार !","बनेपा : काठमाडौं विश्वविद्यालय (केयु) केन्द्रीय कार्यलयका अटोमोबाईल्स विभागमा अध्ययनरत विद्यार्थीले नयाँ तीनचक्के सवारी साधनको निर्माण गरेका छन् । यस्तो मोडेलको सवारी साधनलाई नेपालकै नमुना सवारी साधन भएको उनीहरुकाे दाबी छ । आगामी अप्रिल महिनाको १९ तारिखदेखि मलेसियामा विश्वका उत्कृष्ट मेकानिकल इन्जिनियर सहभागी हुने सेल ईको म्याराथन एसियामा प्रर्दशनमा यो सवारी साधन पनि प्रतिष्पर्धी बन्ने बताइएको छ । नयाँ मोडेलको यो सवारी साधन सेन्सरयुक्त छ । साथै नेपालबाट सेलमा भाग लिएर प्रतिस्पर्धा गर्ने पहिलो नेपाली टोली र उत्कृष्ट सवारी साधन हुने अटोमोबाईल मेकानिकल विषय चौंथो वर्षमा अध्ययनरत जुनकिरी टिमका संयोजक विद्यार्थी सागर थापा बताउँछन् । दशैँ अघिदेखि सुरु गरिएको गाडी तयार गरी मलेसियामा हुने अन्तर्राष्ट्रिय स्तरको सम्मेलनका लागि आवेदन दिएर प्रतिष्पर्धामा आएका छौँ, उनले थपे हाम्रो मात्र नभएर मुलुकै शान हो । मलेसियामा हुने प्रतिष्पर्धामा विश्वका गाडी उत्पादकसँग प्रतिष्पर्धा गर्नेछौँ र पहिलो बन्ने अपेक्षा छ । यो विश्वकै उत्कृष्ट मेकानिकलाई समेत चुनौती हो । यसले मुलकमै सवारी साधनको उत्पादन गर्न समेत सहज हुने दावी उनीहरुको छ । अन्तर्राष्ट्रिय स्तरमा पहिलो पटक नेपालमा तयार भएको गाडी प्रर्दशन गर्ने अवसर प्राप्त भएको भन्दै यो अवसरलाई सदुपयोग गर्ने विद्यार्थीहरुले बताएका छन् । विद्यार्थीहरुले तयार पारेको यो सवारी साधन वतावरणमैत्री पनि रहेको केयुका मेकानिकल इन्जिनियर डिपार्डमेन्टका प्रमुख प्राध्यापक डा डेनियर तुलाधरले बताए । मेलेसियामा हुने प्रतिष्पर्धामा हामी सयौं देशबाट प्रथम हुने प्रयासमा छौँ । यसका लागि विद्यार्थी, विश्वविद्यालय दिनरात लागेको छ । अब सरकार र लगानीकर्ताले साथ र सहयोग गरेमा हाम्रो उत्पादनले अवसर पाउने आशा लिएका छौँ । जुनकिरीमा आधुनिक प्रविधिको प्रयोग र वातावरण मैत्री रहेको जसले अन्य मुलकबाट आयात गर्दा लाग्ने मुल्य भन्दा निकै कम मुल्य र प्रदुषण समेत कम गर्न सकिने उनले दावी गरे । तुलाधरका अनुसार सन् २०१६ देखि सुरु भएको अभियानमा काठमाडौं विश्वविद्यालय सफल नभए पनि २०१८२०१९ मा प्रस्ताव पेश गरी २०१८ अप्रिल २९ मा हुने अन्तर्राष्ट्रिय सम्मेलनमा सहभागी हुन सन् २०१७ बाटै निर्माण सुरु गरेको बताइएको छ । ५० सिसी क्षमता रहेको उक्त सवारी ग्यासबाट चल्छ । तौल ५० किलो रहेको मेकानिकल ईन्जिनियर विजेन्द्र श्रेष्ठले बताए । निर्माण भएका अधिकांश सवारी साधनमा कार्वोरेटरको प्रयोग गरिएको हुन्छ । जसले पुरानो भएपछि वातावरणमा कालो धुवा र प्रदुषण गर्छ । तर जुनकिरीमा एफआई किटको प्रयोग र ईन्जीनमा सेन्सर भएकाले कालो धुवाँ आउनासाथ ईन्जीन आफैँ बन्द हुने र स्टार्ट नहुने भएकाले प्रदुषण रोक्नथाम हुने थापाको दावी छ । ग्यासलाईन इन्जिनबाट उर्जा निकालेर एयरडाईनामिक डिजाइनमा निर्माण भएको जुनकिरीमा अक्सिजन सेन्सर रहने छ, जसले धुवामा कार्वोन डाईअक्साईडको मात्र बढ्नासाथ सेन्सरको मदतले ईन्जिन रोकिने आधुनिक प्रविधिको प्रयोग गरेका छौँ, यो नौलो प्रयोग हो, उनले थपे । आफूहरुको सीप र ज्ञानलाई उद्यमसँग जोडेर नेपाललाई आत्मनिर्भर बनाउन सहयोग पुग्ने उनीहरुको दावी छ । थापाका अनुसार १० जनाको समुह मिलेर निर्माण गरेको उक्त साधनको मुल्य २ लाख ७० हजार छ ।"
"ट्रम्प र संसद्बीच मेक्सिको सीमामा पर्खाल बनाउने सहमति","एजेन्सी वासिङटन : मेक्सिकोसँगको सिमानामा पर्खाल बनाउन अमेरिकी राष्ट्रपति डोनाल्ड ट्रम्प र संसद्बीच केही बुँदामा सहमति भएको छ । रकम अभावमा संघीय कार्यालयमा कामकाज पुनः बन्द हुने अवस्था देखिएपछि यस्तो सहमति भएको हो । सोमबार रात भएको उक्त सम्झौताअन्तर्गत सिमानामा पर्खाल बनाउन १ अर्ब ४० करोड अमेरिकी डलर बजेट विनियोजन गरिने भएको छ । संसदीय सहयोगीका अनुसार ट्रम्प कुनै पनि हालतमा पर्खाल बनाउनबाट पछि नहट्ने दृढ भएपछि विपक्षी सांसद सहमत भएका हुन् । यसअघि ३५ दिनसम्म रकम अभावले अमेरिकी संघीय निकायहरू बन्द भएका थिए । अमेरिकी इतिहासकै सबैभन्दा लामो खर्चबन्दीका कारण अमेरिकी अर्थतन्त्रमा ११ अर्ब डलर घाटा भएको अनुमान छ । डेमोक्र्याट तथा रिपब्लिकन नेताहरूले सीमा सुरक्षाका विषयमा एक सैद्धान्तिक सहमति गरेसँगै अमेरिकी संघीय निकाय खर्चविहीन हुने अवस्थाबाट गुज्रिने जोखिम टरेको हो । पर्खालका लागि राष्ट्रपति ट्रम्पले ५ अर्ब ७० करोड डलर छुट्याउनुपर्ने माग गर्दै आएका थिए । त्यसको अनुपातमा उक्त रकम निकै कम हो । विनियोजन गरिएको रकमबाट ५५ माइल लामो पर्खाल लगाउन पुग्नेछ । उक्त पर्खाल स्टिलको हुने बताइएको छ । ट्रम्पले भने कंक्रिटको पर्खाल लगाइने बताउँदै आएका थिए । ह्वाइट हाउसले डिसेम्बरमा २१५ माइल लामो पर्खाल बनाउने बताउँदै आएको थियो । सोमवार छुट्याइएको रकमबाट टेक्ससको रियो ग्रान्ड उपत्यकामा पर्खाल बनाइनेछ । रिपब्लिकन सिनेटनर रिचर्ड शेल्बीका अनुसार सबै मतभेदहरू हल भएका छन् । उनले भने, हामीबीच सैद्धान्तिक सहमति भएको छ । सहमतिका बुँदाहरू भने सार्वजनिक गरिएको छैन । यसबारेमा विस्तृत जानकारी मंगलवार वा त्यसपछि दिइने बताइएको छ । यसै साताको शुक्रवारसम्म सरकारी सहमति जुट्नैपर्ने थियो । अन्यथा संघीय कार्यालय बन्द हुने खतरा रहेका थियो । उक्त सम्झौता अस्थायी भएकाले यसको विस्तृत जानकारी नदिइएको हो । यो सम्झौतामा सीमास्थित प्रवेश बिन्दुमा नयाँ प्रविधिको विकास गरिने, थप सीमा अधिकारी तैनाथ गरिने र त्यहाँ मानवीय सहायताको व्यवस्था गरिने लगायतका मागका विषयमा विस्तृत योजना सार्वजनिक गर्न छलफल बाँकी रहेको छ ।"
"""नयाँदिल्लीको भव्य होटलमा आगलागी","१७ को मृत्यु"",नयाँदिल्ली : नयाँदिल्लीस्थित एक होटलमा आगलागी हुँदा १७ जनाको मृत्यु भएको छ । अरु चारजना घाइते छन् । नयाँदिल्लीको करोल बागस्थित रहेको अरपिट प्यालेसमा मंगलबार आगलागी भएको प्रहरीले उल्लेख गरेको छ । साथै अधिकारीहरुले यसबारे खोजी गरिरहेको बताएका छन् । प्रहरी अधिकारी मन्दिपसिंह रनधवाका अनुसार प्रहरीले होटलका प्रत्येक कोठामा खोजतलाशी गर्ने छ । होटल पर्यटकले भरिने व्यस्त स्थान पनि हो । पाँचतले होटलमा आगलागीपछि २५ वटा आगलागी नियन्त्रणका यन्त्रहरुको प्रयोग गरिएको थियो । घटनासँगै दर्जनौँ मानिसको उद्धार गरिएको छ ।"
"घाँटी रेटेर हत्या","पोखरा : पाल्पा रम्बापानी गाउँपालिका घर भएका १४ वर्षीय सचिन सिञ्जालीको सोमबार राति हत्या भएको छ । लेकसाइडस्थित निर्माणाधीन घरको भुइँ तलामा घाँटी रेटेर उनको हत्या भएको कास्कीका प्रमुख एसपी ओमबहादुर रानाले बताए । प्रहरीले घटनामा संलग्नता रहेको आरोपमा पर्वतको जलजला मल्जाजका २१ वर्षीय बेनी काले भनिने कुमार गर्बुजालाई पक्राउ गरेको छ । उनीहरूबीच केटीका विषयमा विवाद हुँदा चक्कु हानाहान भएको खुलेको छ । सचिन पोेखरा शान्तिनगरमा बस्दै आएका थिए ।"
"दोस्रो सुटर्स कप फुटबल : बुधबार प्रिक्वार्टरफाइनलका चार खेल","भक्तपुर : इआर ब्वाइज, प्लानिङ ब्वाइज, भक्तपुर जिल्ला फुटबल क्लव एसोसिएसन (बीडीएफसीए) र सशस्त्र प्रहरीको ९ नम्बर ब्रिगेड भक्तपुरमा जारी दोस्रो सुटर्स कप फुटबल प्रतियोगिताको क्वार्टरफाइनलमा पुग्न सफल भएका छन् । भक्तपुरको माहेश्वरी खेल मैदानमा जारी प्रतियोगिताअन्तर्गत मंगलबार भएको पहिलो खेलमा पद्म ज्योति ईआर ब्वाइजले नंखेल युथ क्लवलाई २० गोलले हराएको हो । उक्त खेलमा ईआरको लागि विकेश सुवाल र निरोज थापाले एकएक गोल गरेका थिए । सुटर्स फुटसलको आयोजनामा भएको प्रतियोगिताअन्तर्गतको अर्को खेलमा काठमाडौंको प्लानिङ ब्वाइजले ललितपुरको बुङमतीस्थित लक्की स्टारलाई २० गोलले नै पन्छायो । सुनिल लामाको दुई गोलको मद्दतमा विजेता प्लानिङ ब्वाइज क्वार्टरफाइनलमा पुग्न सफल भएको हो । त्यस्तै तेस्रो प्रिक्वार्टरफाइनल खेलमा भक्तपुरको शिव शिखर बीडीएफसीएले काभ्रेको बनेपास्थित बनेपा ब्वाइज क्लवलाई ४१ गोलले हरायो । विजेता बीडीएफसीएको लागि दिकेश खड्गीले एक, विदेशी खेलाडी मान्साले दुई र रमेश घिसिङले एक गोल गरे । बनेपा ब्वाइजको लागि क्रिटिश छुँजूले सान्त्वना एक गोल गरे । प्रतियोगिताअन्तर्गत मंगलबार भएको अन्तिम खेलमा काठमाडौंको बलम्बुस्थित सशस्त्र प्रहरी बलको ९ नम्बर ब्रिगेडले भक्तपुरको भक्तपुर युथ ट्रेनिङ सेन्टरलाई २१ गोलले पन्छायो । सशस्त्र प्रहरीको लागि मानबहादुर रानामगर र रामचन्द्र डंगोलले एकएक गोल गरेका थिए । त्यस्तै ट्रेनिङ सेन्टरका लागि जिन्लप तामाङले एक गोल फर्काए । सेन्टरले अन्तिम चार मिनेट बाँकी छँदा पाएको पेनाल्टीको सदुपयोग गर्न नसक्दा नतिजा सशस्त्र प्रहरीलाई सुम्पन बाध्य भएको थियो । काठमाडौं उपत्यकासँगै काभ्रेका २४ टीम सहभागी प्रतियोगितामा बुधबार प्रिक्वार्टरफाइनलका बाँकी चार खेल हुने प्रतियोगिता संयोजक किशोर धुकुछुले जानकारी दिए । प्रतियोगिताका विजेताले एक लाख रुपैयाँ नगद पुरस्कार प्राप्त गर्नेछ । उक्त नगद पुरस्कार निक भुजिकिक हाउजिङ प्रालिले प्रायोजन गरेको उनले बताए । त्यस्तै उपविजेताले भने ५० हजार रुपैयाँ नगद पुरस्कार पाउने छ । उक्त पुरस्कार हारती माता डेभलपर्स प्रालिले प्रयोजन गरेको सुटर्स फुटसलका अध्यक्ष रमेश सुवालले जानकारी दिए ।"
"क्रिकेट स्टेडियम बनाउन धुर्मुससुन्तलीलाई मलेसियाबाट ३५ लाख","काठमाडौँ : चितवनमा बनाउन लागिएको गौतम बुद्ध क्रिकेट स्टेडियमका लागि मलेसियामा रहेका नेपालीले ३५ लाख रुपैयाँ सहयोग गरेका छन् । क्रिकेट स्टेडियम निर्माणका लागि सहयोग अभियान लिएर त्यहाँ पुगेका कलाकार सीताराम कट्टेल 'धुर्मुस' र कुञ्जना घिमिरे 'सुन्तली' को उपस्थितिमा तीन सहरमा भएको 'सिटी एक्सप्रेस धुर्मुससुन्तली साँझ २०७५' का क्रममा ३५ लाख ७१ हजार रुपैयाँ सहयोग जुटेको हो । क्रिकेट स्टेडियम निर्माणका एक अभियन्ता धुर्मुसका अनुसार मलेसियाका तीन सहरमा गरिएको मनोरञ्जनात्मक कार्यक्रमका क्रममा त्यो सहयोग उठेको हो । मलेसियाका तीन शहरहरु क्वालालम्पुर, जोहोरबारु र पेनाङमा गरिएको कार्यक्रमका क्रममा नेपाली दर्शकहरुले स्वःस्फूर्त उक्त सहयोग गरेको धुर्मुसले बताएका छन् । कार्यक्रमस्थलबाटै २० लाख ७१ हजार रुपैयाँ स्टेडियम निर्माण अभियानलाई सहयोग जुटेको हो भने आयोजक सिटी एक्सप्रेसले १५ लाख थपिदिएको हो । 'मलेसियामा रहनुभएका नेपाली दाजुभाइ दिदीबहिनीहरुले देखाएको उत्साह र सकारात्मक सहयोगले हामी हर्षित भएका छौं', धुर्मुसले भनेका छन्, 'त्यहाँका व्यवसायी, समाजसेवी र कम्पनीमा कार्यरत नेपालीले यस अभियानलाई सहयोग गर्न फेरि भ्रमणको निम्तो दिनुभएको छ ।' धुर्मुसले क्रिकेट स्टेडियम निर्माणका लागि विदेशमा रहेका नेपालीले ठुलो आँट र हिम्मत दिएको पनि बताएका छन् । धुर्मुससुन्तलीले क्रिकेट रंगशाला बनाउने भएपछि गाउँमा खुसीयाली पापको खोल ओढेर धर्ती छोड्न चाहन्न : धुर्मुस भरतपुरमा धुर्मुससुन्तलीको भव्य स्वागत, मेयर उमपेयर नै स्वागतमा धुर्मुस भन्छन् : मलेसियामा सोचेभन्दा राम्रो सहयोग मिल्यो"
"कांग्रेस केन्द्रीय कार्यसमितिको अर्को बैठक भोलि","काठमाडौं : नेपाली कांग्रेस केन्द्रीय कार्यसमितिको बैठक सकिएको छ । अर्को बैठक फागुन बुधबार दिउँसो १ बजे बस्नेगरी मंगलबार केन्द्रीय कार्यसमिति बैठक सकिएको हो । सभापति शेरबहादुर देउवाको सभापतित्वमा केन्द्रीय कार्यालयमा बसेको बैठकमा नेता रामचन्द्र पौडेल, महामन्त्री पूर्णबहादुर खड्का, केन्द्रीय सदस्यहरु प्रकाशमान सिंह, बलबहादुर केसी, ज्ञानेन्द्रबहादुर कार्की, एनपी साउँद, किशोरसिंह राठौर, गगनकुमार थापा, गुरुराज घिमिरे, प्रदीप पौडेल, कल्याणकुमार गुरुङ र मोहनबहादुर बस्नेतले आआफ्नो धारणा राखेका थिए । बैठकले नेपाल विद्यार्थी संघको सभापति पदमा रहेर गरेको कार्यका लागि नैनसिंह महर धन्यवाद ज्ञापन समेत गर्यो । बैठकले अघिल्लो मिति पारी नेविसंघ सभापति, पदाधिकारी या सदस्यहरुबाट भएका विभिन्न मनोनयनका सबै निर्णय बदर गर्ने निर्णय पनि गरेको छ ।"
"""थाइल्याण्डले तीन महिनापछि रिहा गर्याे फुटबलर हकिमलाई","अष्ट्रेलियामा भव्य स्वागत"",""मेलबर्न : गत नोभेम्बरदेखि थाइल्याण्डमा थुनिएका अष्ट्रेलियन फुटबलर हकिम अल अरइबी अन्ततः रिहा भएका छन् । रिहाइको लागि बहराइनको दबावपछि मात्रै थाइल्याण्डले उनलाई रिहा गरेको हो । मेलबर्न एयरपोर्टमा मंगलबार उनका प्रसंशक, परिवार र आफन्तले उनको रिहाइको खुसीयाली भव्य रुपमा मनाएका छन् । उनका आफन्त, परिवार सहित सयौं प्रसंशकहरु यहाँ उनको स्वागतका लागि उपस्थित थिए । बहराइन मूलका फुटबलर हकिमको स्वागतमा बहराइनी मूलका अष्ट्रेलियन नागरिक र उनको फुटबल क्लबका सदस्यहरु समेत उनको स्वागतमा पुगे । यस क्रममा केहीले तिमी एक्लै हुने छैनौ भन्दै उनको साथमा नारावाजी गरेका थिए । म अष्ट्रेलियालाई धन्यवाद भन्न चाहन्छु । आम अष्ट्रेलियन जनता र मिडियाले मलाई यसरी सहयोग गरेको देख्दा म अचम्भित छु, फुटबलर हकिमले पत्रकारहरुसँग भने, म यो मुलुकका लागि झनै बलियो बन्ने छु । र अष्ट्रेलिया मेरो देश हो । उनको रिहाइको पछाडि मानवअधिकारवादी समुह, अष्ट्रेलियन सरकार लगायतको अभियानको पनि भूमिका छ । बहराइनी मूलकै हकिमका निकटस्थ मित्र अर्का फुटबलरले आफ्नो नाम नखुलाउने शर्तमा यो आफूहरुको जित भएको बताएका छन् । हकिम स्वतन्त्र भएको यो समाचार आफूले सुनेको सर्वाधिक राम्रो समाचार भन्दै उनले अलजजिरासमक्ष टिप्पणी गरेका छन् । फुटबलर अल अराइबी सन् २०१४ मा आफ्नो मुलुक बहराइन छोड्दै अष्ट्रेलियामा शरणार्थीको हैसियतमा बस्दैआएका थिए । तर गत नोभेम्बरमा थाइ अधिकारीबाट उनी पक्राउ परेका थिए ।"""
