"शीर्षक","विवरण"
"सिमरा गोल्डकप : एपीएफ क्वार्टरफाइनलमा","सिमरा : वीरगन्जमाथि संघर्षपूर्ण जित निकाल्दै विभागीय टोली एपीएफ क्लब सिमरामा जारी दशौं सिमरा गोल्डकपको क्वार्टरफाइनलमा प्रवेश गरेको छ । शुक्रबार भएको खेलमा वीरगन्जको विशाल मेमोरियल फाउन्डेसनलाई १० गोलले पराजित गर्दै एपीएफ अन्तिम आठमा पुगेको हो । एपीएफलाई जित दिलाउन आशिष लामाले खेलको ३६औं मिनेटमा निर्णायक गोल गरेका थिए । सुदीप शिखाकारको क्रसमा आशिषले बललाई जाली चुमाएका थिए । उनी खेलको म्यान अफ दी म्याच घोषित भए । उनले १० हजार पुरस्कार प्राप्त गरे । एपीएफ वीरगन्जमाथि हावी भए पनि थुप्रै अवसर खेर फाल्दा आशिषको गोल नै निर्णायक बन्न पुग्यो । खेलको सुरुवातदेखि नै आक्रामक देखिएको एपीएफले वीरगन्जलाई दबाबमा राखे पनि थुप्रै अवसर खेर फालेको थियो । खेलको १७औं मिनेटमा सन्तोष श्रेष्ठको कर्नर बलमा एपीएफका राजेन्द्र रावल गोल गर्न चुकेका थिए । उनको प्रहार क्रसबार माथिबाट बाहिरिएको थियो । त्यसलगत्तै सन्तोषकै क्रसमा राजन गुरुङले पनि सुन्दर अवसर खेर फालेका थिए । उनको प्रहार पनि क्रसबारमाथिबाट बाहिरियो । रक्षात्मक खेल खेलेको वीरगन्जले पहिलो हाफमा खासै अवसर बनाउन सकेन् । खेलको ३३औं मिनेटमा शिव श्रेष्ठले डीबक्सभित्र पाएको अवसर सदुपयोग गर्न सकेनन् । उनको प्रहार एपीएफका गोलरक्षक राजु नगरकोटीले नियन्त्रणमा लिएका थिए । दोस्रो हाफमा पनि वीरगन्ज रक्षात्मक बन्दा एपीएफले खेललाई नियन्त्रणमा लिएको थियो । वीरगन्जका प्रशिक्षक सुलभजंग राणाले बलियो टोलीसँग युवा खेलाडीले तालमेल बनाउन नसकेको बताए । उनले दोस्रो हाफको अन्तिम समयमा आक्रामक रणनीति अपनाए पनि अवसर गुमाउन पुग्दा पराजय भोग्नुपरेको बताए । एपीएफका प्रशिक्षक रत्नकाजी महर्जनले राम्रा अवसर गुमाउँदा जित कठिन भएको बताए । प्रतियोगिताअन्तर्गत शनिबार संकटा र सरस्वती युथ क्लबबीच खेल हुनेछ । प्रतियोगिताको विजेताले ६ लाख र उपविजेताले तीन लाख रुपैयाँ पाउने छन् ।"
"लागुऔषधसहित तीन पक्राउ","जनकपुर : लागुऔषधसहित धनुषा प्रहरीले तीन युवालाई पक्राउ गरेको छ । पक्राउ पर्नेमा धनुषाको मिथिला नगरपालिका२ का १६ वर्षीय विक्रम मेस्तर, १७ वर्षीय जितेन्द्र कुमार महतो र छिरेश्वरनाथ नगरपालिका५ का १९ वर्षीय महमद नुर खाँलाई प्रहरीले पक्राउ गरेको हो । उनीहरुको साथबाट प्रहरीले तीन सय पिस नाइट्रोभ्याट ट्याबलेट बरामद गरेको छ । ज १ ह २७७९ नम्बरको टेम्पोको सिटमुनी लुकाएर लैजाँदै गरेको अवस्थामा उनीहरुलाई गिर्फतार गरेको प्रहरीले बताएको छ । भारतबाट लागुऔषध लिएर नेपाल आइरहेका उनीहरुलाई प्रहरीले धनुषाको धनौजी गाउँपालिका४ स्थित चेकजाँचको क्रममा उनीहरुलाई पक्राउ गरेको हो ।"
"स्मार्ट लाइसेन्स नक्कली भेटिएपछि","सिमरा : नक्कली स्मार्ट लाइसेन्स लिएर सवारी चलाउने ट्रकका एक चालकलाई सिमरास्थित इलाका प्रहरी कार्यालयले नियन्त्रणमा लिएको छ । सवारी चेकजाँच गर्ने क्रममा सिमराबाट प्रहरीले ना ५ ख ९७६४ नम्बरको ट्रकका चालक सरोजकुमार थिङलाई नियन्त्रणमा लिएको हो । थिङबाट ०२०५००००६३७८ नम्बरको नक्कली स्मार्ट लाइसेन्स भेटिएको प्रहरी निरीक्षक सुवास हमालले जानकारी दिए । सवारी चेकजाँच गर्ने क्रममा कम उमेरको चालक देखिएपछि प्रहरीले थिङको लाइसेन्स जाँच गरेको थियो । जाँच गर्ने क्रममा स्मार्ट लाइसेन्स नक्कली देखिएको प्रहरी निरीक्षक हमालको भनाइ छ । प्रहरी नियन्त्रणमा रहेका थिङले सात हजार रुपैयाँमा लाइसेन्स किनेको वयान दिएका छन् । पक्राउ परेका चालक थिङलाई सरकारी दस्तखत छाप किर्ते अन्तर्गत कारबाही हुने प्रहरी निरीक्षक हमालले जानकारी दिए ।"
"कबड्डी प्रतियोगिता : वद्या सदन र कन्चनजंघाको विजयी सुरुवात","वीरगन्ज : विद्या सदन मावि र कन्चनजंघा माविले वीरगन्जमा आयोजित अन्तर विद्यालय स्तरीय कबड्डी प्रतियोगितामा विजयी सुरुवात गरेका छन् । वीरगन्जस्थित संघीय प्रहरी इकाई कार्यालयको खेल मैदानमा शुक्रबारदेखि सुरु प्रतियोगिताको पहिलो खेलमा विद्या सदन र कन्चनजंघा माविले विजयी सुरुवात गरेका हुन् । उद्घाटन खेलमा छात्रतर्फ विद्यासदन माविले जिएच माविको बी टिमलाई पराजित गर्यो । निर्धारित ४० मिनेटको खेलमा विद्यासदन माविले ८४ र जिएचपी माविको बी टिमले ३५ अंक प्राप्त गरेको हो । उद्घाटन खेलको म्यान अफ दी म्याच विद्या सदनका कप्तान फौवाद आलम घोषित भए । छात्रतर्फ नै भएको दोश्रो खेलमा कन्चनजंघा माविले जिएचपी माविको ए टिमलाई पराजित गरेको हो । निर्धारित समयको खेलमा कन्चनजंघाले ७९ र जिएचपी ए टिमले १४ अंक प्राप्त गर्यो । उक्त खेलको म्यान अफ दी म्याच कन्चनजंघका दिलसाद आलम घोषित भए । शुक्रबार नै भएको छात्रातर्फको खेलमा वीरगन्ज पब्लिक स्कुलको ए टिम विजयी भएको छ । वीरगन्ज पब्लिक स्कुलको ए टिमले एन्जल इन्टरनेशनल स्कुललाई पराजित गरेको हो । वीरगन्ज पब्लिक स्कुलको ए टिमले ४२ अंक प्राप्त गर्दा एन्जल स्कुलले भने १० अंकमा नै चित्त बुझाउनु पर्यो । उक्त खेलको म्यान अफ दी म्याच वीरगन्ज पब्लिक स्कुलको ए टिमकी श्रुती परियार घोषित भइन् । प्रतियोगितामा शनिबार छात्र र छात्राको गरी पाँच खेल हुनेछन् । माघ १० गतेसम्म चल्ने प्रतियोगितामा छात्र र छात्रा गरी विभिन्न विद्यालयका २० टिम सहभागी छन् ।"
"सालकको खपटासहित एक पक्राउ","काठमाडौं : दुर्लभ वन्यजन्तु सालकको खपटासहित प्रहरीले वसन्त तामाङलाई पक्राउ गरेको छ । स्वयम्भूमा दुई वटा सालकको खपटा लिएर बिक्री गर्न हिँडेका थानकोटका तामाङलाई महानगरीय प्रहरी परिसर टेकुले नियन्त्रणमा लिएको हो । परिसरका प्रमुख एसएसपी वसन्त लामाका अनुसार तामाङ दुई लाख रुपैंयामा उक्त खपडा बिक्री गर्न ग्राहक खोज्दै हिँडेका थिए । विशेषगरि खपटा चीनतर्फ तस्करी हुँदै आएको छ ।"
"सिकार खेल्न गएका साथीको बन्दुक पड्किँदा मृत्यु","ताप्लेजुङ : ताप्लेजुङको फक्ताङलुङ गाउँपालिका४ इखाबुमा सिकार खेल्न जाँदा भरुवा बन्दुकको गोली लागेर एक जनाको मृत्यु भएको छ । डिँडिरहेको अवस्थामा साथीले बोकेको बन्दुक एक्कासी पड्किँदा लागेको गोलीले सोही वडाका ३७ वर्षीय देवीकुमार लिम्बुको मााघ १ गते मृत्यु भएको प्रहरीले जनाएको छ । भरुवा बन्दुक बोक्ने सुरेन्द्र तामाङ पक्राउ परेका छन् । बन्दुकसहित पक्राउ परेका तामाङलाई शुक्रबार जिल्ला अदालत ताप्लेजुङबाट म्याद थप गरी अनुसन्धान अगाडि बढाइएको जिल्ला प्रहरी कार्यालय ताप्लेजुङका प्रमुख संजयसिंह थापाले बताए । प्रहरी प्रमुख थापाका अनुसार दुवैजना माघे सक्रान्तिका दिन मानाभरा हिमालको फेदीमा सिकार खेल्न गएका थिए । लोड गरेको बन्दुक पड्किँदा छर्राले लागेर घटनास्थलमै देवीपकुमारको मृत्यु भएको हो, थापाले भने, तामाङले बोकेको बन्दुक हातबाट खुस्किएर ढुंगामा ठोक्किदा पड्किएको प्रारम्भिक अनुसन्धानमा खुलेको छ । लिम्बुको शव जिल्ला अस्पतालमा पोस्टमार्टम गरेर आफन्तको जिम्मा लगाइएको छ ।"
"राष्ट्रसंघको पत्राचारपछि उत्तर कोरियाली नागरिकमाथि कडा निगरानी","काठमाडौं : उत्तर कोरियाले नेपाल आउने आफ्ना नागरिकले प्रवेशाज्ञा (भिसा) पाउन झन्झट बेर्होनु परेको गुनासो गरेको छ । नेपालका लागि उत्तर कोरियाली राजदूत जो योङ मेनले नेपाल आउन खोज्ने र नेपालमा व्यापार गर्दै आएका उत्तर कोरियाली नागरिकलाई भिसा दिने प्रक्रियामा सहजीकरण गरिदिन आग्रह गरेका हुन् । गृहमन्त्री रामबहादुर थापासँग मन्त्रालयमा भएको भेटमा राजदूत जोले उत्तर कोरियाली नागरिकलाई भिसा पाउन झन्झटिलो हुने भएकाले भिसा दिने प्रक्रियालाई सहज बनाइदिन आग्रह गरेका हुन् । पुस पहिलो साता पत्नीसहित नेपाल आएका राजदूत जोे राष्ट्रपति विद्यादेवी भण्डारी समक्ष ओहोदाको प्रमाणपत्र बुझाएपछि राजनीति भेटघाटमा व्यस्त छन् । भेटमा गृहमन्त्री बादलले पछिल्लो समय उत्तर कोरियाले अमेरिका र दक्षिण कोरियासँग बढाएको वार्ता र छलफलको स्वागत गर्दै त्यसको सफल परिणाम आउने आशा व्यक्त गरेको गृहमन्त्रीको सचिवालयले जनाएको छ । राजदूत जोले गृहमन्त्री थापालाई उत्तर कोरिया भ्रमणको निम्तो समेत दिएका छन् । जो यस अघि दक्षिण अफ्रिकाको राजदूत थिए । राष्ट्रसंघको पटक पटकको पत्राचारपछि गृह मन्त्रालयले उत्तर कोरियाली नागरिकमाथि निगरानी बढाएको छ । यद्यपी, गृह मन्त्रालयले उत्तर कोरियालीका उद्योग संचालनमा रोक भने लगाएको छैन । प्रहरीको केन्द्रीय अनुसन्धान ब्यूरो (सीआइबी) ले समेत उत्तर कोरियालीको गतिविधि र उनीहरुले संचालनमा ल्याएका उद्योगमाथि निगरानी बढाएको छ । उत्तर कोरियालीले तनहँमा ने कोर्यो अस्पताल र काठमाडौंका विभिन्न स्थानमा रेस्टुरेन्ट र आईटी कम्पनी सञ्चालन गरिरहेका छन् । हालै अमेरिका भ्रमणबाट फर्किएका परराष्ट्रमन्त्री प्रदीप ज्ञवालीलाई त्यहाँका विदेशमन्त्री माइक पोम्पेओले नेपालमा उत्तर कोरियालीको उपस्थिति र लगानीबारे जिज्ञासा राखेका थिए । गृह मन्त्रालयले झन्डै पाँच वर्षअघि पर्यटक भिसामा आएर हाइड्रोपावर कम्पनीको सुरुङ खन्नमा संलग्न ५४ जना उत्तर कोरियाली मजदुरलाई निष्काशन गरेको थियो । अमेरिकासँगको वार्ता सकरात्मक भइरहेको दुवै पक्षले दाबी गरेपनि राष्ट्रसंघले उत्तर कोरियालीमाथि लगाएको नाकाबन्दी कायमै राखेको छ । नेपाल सरकारले राष्ट्रसंघ सुरक्षा परिषद्को कतिपय निर्णयलाई पालना गर्न उदासिनता देखाएको छ । त्यसबाट राष्ट्रसंघ स्वयं र नेपालस्थित अमेरिका, जापान, दक्षिण कोरियालगायत मुलुकका दूतावासका अधिकारी असन्तुष्ट रहेको परराष्ट्र स्रोतले जनाएको छ । नेपाल भ्रमण पुरागरी अघिल्लो साता फर्किएका जापानी विदेश मन्त्री तारो कोनोले समेत नेपालमा उत्तर कोरियालीको लगानी र उनीहरुको बाक्लो उपस्थितीको विषयलाई लिएर गम्भीर चासो ब्यक्त गरे । राष्ट्रसंघीय मुख्यालयले उत्तर कोरियामाथि लगाएको नाकाबन्दी पालना नगरेको भन्दै पटकपटक नेपाल सरकारको ध्यानाकर्षण गराएको छ । सदस्य राष्ट्रको नाताले उत्तर कोरियामाथि लगाएको नाकाबन्दीलाई नेपाल सरकारले पूर्ण पालना गर्नु पर्ने राष्ट्रसंघको धारणा छ । अमेरिकी राष्ट्रपति डोनाल्ड ट्रम्प र उत्तर कोरियाली नेता किम जोङ उनबीच सिंगापुरमा भएको वार्तापछि उत्तर कोरियाले नेपालमा लगानी ह्वात्तै बढाएको छ । उत्तर कोरियालीले नेपालको लगानीलाई सुरक्षित ठान्दै आएको छ । राष्ट्रसंघलाई उद्धृत गर्दै परराष्ट्र मन्त्रालयले गत साउन पहिलो साता पठाएको पत्रमा उत्तर कोरियालीको लगानीमा संचालन भएका उद्योगहरु वन्द गर्नुपर्ने उल्लेख थियो । गत साउनमा पर्यटक भिसामा १ सय ५० दिन नेपाल बसिसकेका दु उत्तर कोरियाली युवती पुनः नेपाल पस्न खोजेपछि त्रिभुवन विमानस्थलस्थित अध्यागमन कार्यालयले फिर्ता (इन्ट्री रिफ्युज) गरेको थियो । एक वर्षे भिसामा अमेरिकी नागरिक बाहेक अन्य विदेशी १ सय ५० दिन भन्दा बढी नेपालमा बस्न पाउँदैनन् । उनीहरुले एक वर्ष भिसामा १ सय ५० दिन नेपाल बसिसकेका थिए । उत्तर कोरियाली नागरिकले नेपालमा अनअराइभल भिसा पाउँछन् । नेपाल सरकारले भने पछिल्लो पटक आइटी कम्पनी र रेष्टुरा खोल्न अनुमति दिँदै आएको छ । उत्तर २०३१ जेठ २ मा नेपाल र उत्तर कोरियाबीच कूटनीतिक सम्बन्ध स्थापना भएको हो ।"
"हथौडा प्रहार गरी हत्या","सुर्खेत : छोरोको बिहेका लागि निम्तो दिन आफन्तकोमा गएका एकजना बाबुको हथौडा प्रहार गरी हत्या गरिएको छ । सल्यानको सिद्धकुमाख गाउँपालिका२ सालघारीका ४२ वर्षीय यमन बोहराको हथौडो प्रहार गरी हत्या भएको हो । छोराको बिहेमा आउन निम्तो लिएर सिद्धकुमाख गाउँपालिका२ फूलगाउँ पुगेका बोहरालाई शालिकराम चलाउनेले हथौडाले हानेर हत्या गरेका हुन् । बिहेको निम्तो दिन चलाउनेको घरमा पुगेका बोहराबीच विवाद भएको थियो । एकआपसमा बिबाद भएपछि चलाउनेले बोहराको टाउकोमा हथौडा प्रहार गरेका थिए । हथौडा प्रहारबाट बोहराको घटनास्थलमा नै मृत्यु भएको जिल्ला प्रहरी कार्यालय सल्यानका डीएसपी वीरेन्द्रबहादुर शाहीले जानकारी दिए । हत्या गरिएका बोहराको शव पोस्टमार्टमको लागि जिल्ला अस्पताल सल्यानमा ल्याइएको छ । हथौडा प्रहार गर्ने चलाउने फरार छन् । उनको खोजी तीव्र पारिएको डिएसपी शाहीले बताए ।"
"अरुण तेस्रोको १५ प्रतिशत काम सकियो","खाँदबारी : संखुवासभामा निर्माणधीन बहुप्रतिक्षित अरुण तेस्रो जनविद्युत् परियोजनाको काम हालसम्म १५ प्रतिशत सम्पन्न भएको जनाइएको छ । अरुण तेस्रो निर्माणको जिम्मा पाएको सतलज कम्पनीले शुक्रबार तुम्लिङटारमा पत्रकार सम्मेलन गरी आयोजनाको ड्याम्साइड, पावरहाउस क्षेत्र र सडक निर्माणको १५ प्रतिशत काम सम्पन्न गरिएको जानकारी दियो । कम्पनीका सीईओ सतिसकुमार शर्माले नौ सय मेघावाटको अरुण तेस्रो आयोजनाको काम तीव्र गतिमा भइरहेको जानकारी दिए । बाँध निर्माणस्थलको मुख्य सुरुङ अन्तर्गतको प्रवेश सुरुङ निर्माणको काम तीन सय ५२ मिटर सम्पन्न भएको उनको भनाइ छ । शर्माले अन्य पानीका बहाव मोड्ने सुरुङसहित विभिन्न सुरुङ निर्माणको क्रममा रहेको बताए । अहिलेको प्रगतिअनुसार समयमा काम सम्पन्न गर्न सक्ने अवस्था रहेको शर्माको भनाइ छ । सतलजले विभिन्न कम्पनीलाई छुट्टाछुट्टै ठेक्का दिई आयोजना सञ्चालन गरिरहेको छ । समयमा काम सम्पन्न नगर्ने कम्पनीलाई हटाई समयमा काम गर्ने कम्पनीलाई काम दिने गरेकाले पनि समयमा सक्ने आयोजनाको दाबी छ । अरुण तेस्रो निर्माण सम्पन्न गर्न स्थानीयको साथ र सहयोगको अपेक्षा गरिएको आयोजनाले जनाएको छ । आयोजनामा हाल दुई हजार ६५ जना भारतीय र नेपाली कामदारले काम गरिरहेका छन् । अयोजनामा आवश्यक पर्ने गिटी, बालुवाका लागि बाँध निर्माणस्थलमा क्रसर स्थापना गरी आवश्यक कच्चापदार्थ उत्पादन गर्ने काम भइरहेको शर्माको भनाइ छ । चार सय केभी प्रसारण लाइनको काम चाँडै सञ्चालनमा ल्याउने अयोजनाले जनाएको छ । सात जिल्ला हुँदै उत्पादित विद्युत् ढल्केबरसम्म आयोजनाले लैजाने जानकारी गराइएको छ । आयोजनास्थलसम्म जाने सडक निर्माणको काम पनि आयोजनामार्फत भइरहेको जनाइएको छ ।"
"अखाद्य तेल उत्पादन गर्ने उद्योगमा शिलबन्दी","काठमाडौं : खानेतेलमा अखाद्य रंग मिसाइने गरेको रहस्य खुलेको छ । ललितपुरस्थित ओम आयल मिलले अखाद्य रंग प्रयोग गरी मानव स्वास्थ्यलाई हानी पुर्याउने तोरीको तेल उत्पादन गर्दै आएको फेला परेको छ । खाद्य प्रविधि तथा गुण नियन्त्रण विभाग, जिल्ला प्रशासन कार्यालय ललितपुर तथा महानगरीय प्रहरी विट चापागाउँले संयुक्त रुपमा शुक्रबार गरेको अनुगमनको क्रममा यस्तो तथ्य बाहिर आएको छ । विभागका प्रवक्ता पूर्णचन्द वस्तीका अनुसार अनुगमनको क्रममा लुगा रंगाउन प्रयोग गरिने आयल ग्रिन टुजी नामक अखाद्य रंगको धुलो र भाँडोमा राखेर पकाउँदै गरेको अवस्थामा २० लिटर उक्त रंग फेला पारिएको छ । तोरी पेल्ने मिल नराखी प्याकेजिङ गर्ने मेसिन मात्रै राखेर ओम आयल मिलले कारखाना सञ्चालन गर्दैआएको भेटिएको छ । कारखानाबाट त्रिवेणी ब्राण्डको एक लिटर र आधा लिटर प्याकेटको दुई हजार नौ सय ५० लिटर तथा किसान ब्राण्डको आधा लिटर र एक लिटरको प्याकेट भएको पाँच हजार तीन सय लिटर गरी कुल आठ हजार दुई सय ५० लिटर बिक्रीमा रोक लगाउदै उद्योगको सञ्चालनमा रोक लगाएको छ । वस्तीका अनुसार खाने तेलको नमुना परीक्षण पश्चात् थप कारबाही प्रक्रिया अघि बढाइनेछ ।"
