"शीर्षक","विवरण"
"यातायातमन्त्रीको घोषणा: अब सिण्डिकेट तोड्ने पालो ट्याक्सीको","काठमाडौँः भौतिक पूर्वाधार तथा यातायातमन्त्री रघुवीर महासेठले बससँगै अब ट्याक्सीको समेत सिण्डिकेट तोड्ने उद्घोष गरेका छन् । बसको त सिण्डिकेट धेरै पहिले नै खारेज गरेको हो, हामीले नौलो काम गरेकै होइन, हामीले त कार्यान्वयन गराएका हौँ, सम्मानित सर्वोच्च अदालतले आजभन्दा १८ वर्ष पहिल्यै नै सिण्डिकेट खारेजको निर्देशन दिएको हो, सोमबार रिपोर्टर्स क्लब नेपालको साक्षात्कारमा बोल्दै मन्त्री महासेठले भने, हामीले कार्यान्वयन गरेका छौँ, अब मिनिबस र ट्याक्सीमा पनि सिण्डिकेट खारेजी गरेर कम्पनी ऐन अन्र्तगर्त व्यवस्थित गर्छौँ । साक्षात्कारमा उनले पर्यटक र आम सर्वसाधारण जनताले निर्धक्क भएर सुविधाजनक यात्रा गर्न पाउनुपर्ने बताउँदै उनले सरकार त्यही अनुसार अघि बढिरहेको स्पष्ट पारे । उनले भने, विकृति र विसंगतिका विरुद्ध हाम्रो प्रयास हो, हामी सफल भएर छाड्छौँ, अन्तिममा आएर बस व्यवसायीहरुलेपनि आन्दोलन फिर्ता गरेर हामीलाई सहयोग गर्नुहुन्छ । अहिले नेपालमा कतै सिण्डिकेट छैन । पहिला थियो । तर, यो सरकारले सिण्डिकेट खारेजी गरिदिएको छ । आजको दिनमा हामीले सिण्डिकेट प्रणाली खारेज गरिसकेका छौँ, सिण्डिकेटको अन्त्य अहिले नभएर धेरै पहिल्यै भैसकेको जनाउँदै उनले भने, मात्रै उहाँहरूलाई नवीकरण गर्ने सवालमा कम्पनी ऐनमा आउन हामीले यो असार मसान्तसम्म समय दिएका छौँ । कम्पनी दर्ता गर्न समय चाहिन्छ । उनले तीन महिनाभित्रै कम्पनी ऐन अन्तर्गत व्यवसायीहरू नआए आफूहरूले बाध्य भएर बैकल्पिक व्यवस्था अपनाउने चेतावनी दिए । महासेठले भने, सरकार आफैँ बस सञ्चालन गरेर व्यवसाय गर्ने पक्षमा छैन, यदि उहाँहरूले आम हड्ताल फिर्ता लिनुहुन्न भने हामी बाध्य भएर बैकल्पिक व्यवस्थाबारे सोच्छौँ, हामी पर्यो भने नयाँ बस ल्याउन सक्छौँ । कम्पनी ऐन अन्तर्गत व्यवसायीहरू आउँदा बसका असली मालिकहरूलाई फाइदा हुने उनको भनाई थियो । उनले भने, कम्पनी अनुसार आउँदा कर्मचारीहरूको रोजगारीको सुनिश्चितता् हुन्छ, चालक तथा सहचालकको पनि रोजगारी यसले ग्यारेन्टी गरेको छ, सिण्डिकेटले कृत्रिम बस मालिकहरूलाई मात्रै फाइदा छ । उनले कम्पनी ऐन अन्तर्गत आउने काम सम्पन्न भएसँगै आफूहरूले सवारीमा डाइभरेको ड्रेस कोड, सिटको उचित प्रबन्ध, जेष्ठ नागरिक तथा महिलाहरूको लागि छुट्टै सिटको व्यवस्था गरिनेपनि जनाए । उनले भने,अहिलेपनि यो काम भइरहेको छ, अझै थप व्यवस्थित् र प्रभावकारी रूपमा कार्यान्वयन गर्नेगरि सरकार अघि बढ्छ । सार्वजनिक यातायातको सिन्डिकेट हटाउने निर्णय गरेसँगै यातायात व्यवसायी समिति र सङ्घले कोषमा रहेको पैसा धमाधम निकाल्न थालेका छन् नि भनेर सोधेको प्रश्नमा मन्त्री महासेठले भने, सिन्डिकेट हटेपछि यातायात समिति र सङ्घले धमाधम पैसा झिक्न थालेको जानकारी प्राप्त भएको छ, पैसा झिकेर कोही पनि उम्किन पाउने छैनन् । उनले अघि भने, कोषमा जम्मा भएको पैसा झिकेको जानकारी आएको छ, पैसा झिकेको रेकर्ड सरकारले निकाल्छ, हामी तिनीहरूलाई छानबिनको दायरामा ल्याएर छाड्छौँ, बदमासी गरेर पैसा लुकाइएको पाइएमा व्यवसायीमाथि सम्पत्ति शुद्धीकरण मुद्दा चलाउँछौँ । सिण्डिकेट हटाउनेबारे सरकारले एकलौटी निर्णय गरेको भनेर व्यवसायीहरू आरोप लगाएका छन् नि भनेर सोधिएको अर्को प्रश्नमा मन्त्री महासेठले आफूहरूले यातायात क्षेत्रमा पैदा भएका सबैखाले विकृति र विसंगतिहरुलाई हटाएको दाबी गरे । उनले भने,विकृति र विसंगति हटाउनको लागि कसैलाई सोध्नुपर्छ र ? उनले सिण्डिकेटको बारेमा अब कुनै सम्झौता नहुने जिकिर गरे । सरकारले गरेको निर्णय अब कुनै पनि हालतमा फिर्ता हुँदैन् मन्त्री महासेठले भने,तपाइहरू पुर्णरुपमा ढुक्क हुनुहोस् । उनले आफू व्यवसायीहरूलाई सुविधा दिन तयार रहेको बताए । उनले थपे, हामी उहाँहरूलाई सुविधा दिनेबारे लचिलो छौँ, तर सिण्डिकेट र कम्पनी ऐनअन्तर्गत आउने कुरामा व्यवसायीहरूप्रति मेरो कुनै सहानुभूति हुँदैन । सिण्डिकेट अन्त्य गर्न सबैको साथ र सहयोग रहेकोले अब सरकारले अघि सारेको यो कदमलाई सफल बनाउन काँग्रेस र मधेशवादी दलहरुलेपनि साथ दिनुपर्ने उनको भनाई छ । आफूहरूले समग्र यातायात क्षेत्रलाई व्यवस्थित् र सुधार गर्नको लागि मन्त्रालय अन्तर्गत सुधार तथा सुझाव समिति गठन गरेर काम गरिरहेको जनाउँदै उनले भने,सर्वोच्च अदालतले हिजो आयोग गठन गर्न निर्देशन दिएको छ, हामी सम्मानित अदालतको निर्देशन बमोजिम अघि बढ्छौँ । सवारी कर तिर्न अब सरकारले बैंकिङ् प्रणालीको सुविधा प्रदान गर्ने उनले विश्वास दिलाए । उनले भने,हामी यातायात व्यवसायीहरूलाई सुविधा दिन्छौँ, उहाँहरूले नियम अनुसार कर तिर्नुपर्यो । उनले आफूहरू छिटोभन्दा छिटो निर्देशिका जारी गर्ने तयारीमा रहेको बताउँदै उक्त निर्देशिका जारी भएसँगै सरकारी बैङ्क अन्तर्गत र स्थानीय बैङ्किङ उपलब्धतताका आधारमा पैसा बुझाउने व्यवस्था गर्ने जनाए । अझैपनि सिण्डिकेट फर्किन्छ कि भन्ने डर, त्रास र शङ्का नपाल्न आमजनतालाई आग्रह गर्दै मन्त्री महासेठले भने,ढुक्क हुनुहोस्, अब सिण्डिकेट फर्किँदैन, सदाका लागि अन्त्य भइसकेको छ, यो खारेज भइसकेको छ । उनले सिण्डिकेटका विरुद्धमा सरकारलाई साथ दिइरहेका बस व्यवसायीहरूको सरकारले पूर्ण रूपमा सुरक्षा प्रदान गर्ने विश्वास दिलाए । उनले भने,सरकारले पूर्ण रूपमा सुरक्षा दिन्छ, यसमा कुनै दुईमत छैन, सरकार चुपचाप बस्दैन, तोडफोड गर्नेहरुलाई कडा कारबाही गर्छौँ ।"
"मुसलमानलाई मूलधारमा ल्याइने","काठमाडौं : श्रम, रोजगार तथा सामाजिक सुरक्षामन्त्री गोकर्णराज विष्टले मुलुकमा राजनीतिक परिवर्तनका लागि भएका विभिन्न संघर्षका क्रममा मुसलमान समुदायको उल्लेखनीय भूमिका रहेको बताए । नेकपा (एमाले) निकट मुस्लिम इतेहाद संगठनले सोमबार यहाँ आयोजना गरेको अन्तक्र्रियामा उनले मुसलमानका अधिकारलाई संरक्षण गरी राज्यको मूल धारमा ल्याउन सरकार प्रतिवद्ध रहेको बताए । कार्यक्रममा प्रतिनिधिसभाका सांसद कलिला खातुनले सबै समुदायका परम्परासँग जोडिएका सार्वजनिक बिदा कटौती नगर्न सरकारलाई आग्रह गरे । यसैबीच संगठनको केन्द्रीय समितिको बैठक सोमबारदेखि शुरु भएको छ । मंगलबारसम्म हुने उक्त बैठकमा मुसलमान समुदायका धार्मिक पर्व तथा संस्कृतिसँग सम्बन्धित बिदा तथा समुदायको आर्थिक, सामाजिक तथा राजनीतिक सहभागिताका अवस्थालगायत विषयमा छलफल गरिने छ । सरकारले हालै इद, बकर इद र मोहम्मद दिवसमा कटौती गरेको छ । केन्द्रीय कार्यसमितिमा ९१ सदस्य रहेको उक्त संगठनमा करीब २० हजार सदस्य रहेको बताइएको छ ।रासस"
"नेविसंघद्वारा सभापति देउवाको ध्यानाकर्षण","काठमाडौं : नेपाल विद्यार्थी संघका पदाधिकारीले आफ्नो संगठनको नेतृत्व विधान विपरीत चलेको भन्दै नेपाली काँग्रेसका सभापति शेरबहादुर देउवाको ध्यानाकर्षण गराएका छन् । नेविसंघ महामन्त्री कुन्दनराज काफ्लेको नेतृत्वमा बिहीबार पार्टी केन्द्रीय कार्यालय सानेपामा सभापति देउवालाई भेटेर संगठनको नेतृत्वले विधान विपरीत काम गरेको भन्दै ध्यानाकर्षण गराएको हो । नेविसंघका उपाध्यक्ष रामप्रसाद अधिकारीले १२औँ महाधिवेशन आउन चार महिना बाँकी रहँदा पनि नेतृत्व विधानलाई कुल्चेर महाधिवेशन गर्न आलटाल गरेकाले सभापतिको ध्यानाकर्षण गरिएको बताए । नेविसंघ नेतृत्वले विद्यार्थी हकका लागिभन्दा पनि गुट बचाउन लागेको उपाध्यक्ष अधिकारीको भनाइ छ । केन्द्रीय सदस्य सुशील भट्टले कम्युनिष्टहरुको भय र त्रासका विरुद्ध संगठित हुँदै लोकतन्त्रको रक्षाका लागि नेविसंघ लाग्नुपर्नेमा नलागेको आरोप लगाए । भेटमा सभापति देउवाले नेविसंघभित्रको समस्याका बारेमा आफू जानकार रहको बताउँदै नेविसंघको नेतृत्वसँग समन्वय गरेर विवाद समाधान गर्ने प्रतिवद्धता व्यक्त गरे ।रासस"
"हत्याका फरार आरोपी १९ वर्षपछि पक्राउ","नेपालगन्ज : हत्याको आरोपमा फरार रहेका मेराज अलि बेहनालाई १९ वर्षपछि प्रहरीले नेपालगन्जबाट पक्राउ गरी सार्वजनिक गरेको छ । जिल्ला प्रहरी कार्यालयमा आयोजित पत्रकार सम्मेलनमा नेपालगन्ज उपमहानगरपालिका१६ बाट उनलाई आइतबार पक्राउ गरेकोे हो । २०५५ असोज २८ गते बेहनालगायत छ जनाको समूहले बाँकेको बालेगाँउमा भारतीय नागरिक सावलीप्रसाद बर्माको हत्या गरेर फरार भएको जानकारी पत्रकार सम्मेलनमा गराइएको छ । यसैबीच, बाँके कोहलपुर नगरपालिका५ पृथ्वीनगरका ५१ वर्षीय कृष्णलाल पौडेल विगत पाँच दिनदेखि रहेका छन् । यही वैशाख ५ गते औषधि किन्न भारतीय बजार रुपैडिहा जान्छु भनि घरबाट निस्कनुभएका पौडेल अहिलेसम्म घर फर्किएका छैन । जग्गाका कारोबारी पौडेलको परिवारस्तरबाट खोजी गर्दा पनि नभेटिएपछि उनको खोजी गरिदिन प्रहरीमा निवेदन दिएको छ । परिवारको तर्फबाट वैशाख ८ गते खोजीका लागि इलाका प्रहरी कार्यालय कोहलपुरमा निवेदन दर्ता गराएको उनका सम्धी पूर्णप्रसाद लम्सालले बताए । रासस"
"महेन्द्रसँग दाँजेपछि प्रधानमन्त्रीले भने: नेपालका बुद्धिजीवी मुसा जस्तै","काठमाडौँ: प्रधानमन्त्री केपी शर्मा ओलीले बुद्धिजीवी समुदायमाथि प्रहार गरेका छन् । सोमबार पार्टी केन्द्रीय कार्यालय धुम्बाराहीमा आयोजित पार्टी प्रवेश कार्यक्रमलाई सम्बोधन गर्दै एमाले अध्यक्षसमेत रहेका ओलीले बुद्धिजीवीहरुमाथि तीखो प्रहार गरेका हुन् । प्रधानमन्त्री ओलीले आफूले देशको विकास र समृद्धिको कुरा गर्दा तत्कालीन राजा महेन्द्रसँग दाँजिएको भन्दै रोष प्रकट गरे । 'मैले देश विकास र समृद्धिको कुरा गर्दा महेन्द्रसँग दाँजिँदैछ । मैले जनतालाई सुखी राख्ने कुरा गर्दा यो त महेन्द्रले बोलेको भन्छन्', ओलीले भने, 'मैले रारा तालबाट देशबासीलाई सम्बोधन गर्दा पनि राराताललाई 'महेन्द्र ताल' भनेको सुनेँ, नेपालका बुद्धिजीवी पनि अचम्मका देखेँ मैले ।' देश र समाजका अगुवा भनिने बुद्धिजीवीहरुले आफ्ना नीति तथा कार्यक्रमबारे हाँसोको विषय बनाएकोमा पनि उनले आपत्ति जनाए । मैले रेल कुदाउने, केबल कार चलाउने र समुद्रमा नेपाली झण्डासहितको पानी जहाज चलाउने कुरा गर्दै आएको छु', ओलीले भने, 'विकास कुरा गर्यो भने जनताका कुरा गरेन भन्दै उल्टै प्रश्न गर्छन् । यस्ता पनि बुद्धिजीवी हुन्छन् ? ओलीले नेपालका बुद्धिजीवीलाई मुसासँग तुलना गर्दै देशविरुद्ध लाग्न उनीहरुले दाँतमा धार लगाएको बताए । 'नेपालका बुद्धिजीवी मुसा जस्ता छन् । माइत जान लागेकी बुहारीको साडी काटेर मुसाले अलपत्र बनाइदिन्छ । ससुराली जान लागेको जुवाइँको कोट काटिदिएर मुसोले बदमाशी गर्छ, मुसाले त कुरो बुझ्दैन' ओलीले भने, 'नेपालका बुद्धिजीवी त देशैविरुद्ध दाँतमा धार लाउँछन्, विश्वविद्यालयको सर्टिफिकेट ल्याएर मात्रै बुद्धिजीवी होइन्न । राम्रो कामको समर्थन पनि गर्न सक्नुपर्छ ।' भिडियो हेर्नुहोस् प्रधानमन्त्री ओलीले फेरि एक पटक विदेशी समुदायमाथि उनीहरुको भूमिकालाई लिएर प्रश्न उठाए । 'विदेशीहरूले नेपालका समस्या समाधान हुन नदिन द्वन्द्व सिर्जना गराउन खोजेका छन्', उनले भने, 'नेपालमा द्वन्द्व बढाएर हतियार बेच्ने सोचका साथ सामाजिक सद्भाव भड्काउने कोशिश भइरहेको छ ।' प्रम ओलीले नेपालमा जातीय घृणा फैल्याउने प्रयास विदेशीहरुले गरिरहेको पनि आरोप लगाए । 'विदेशीहरुले सुरुमा घृणा फैल्याएर विवाद बढाएपछि द्वन्द्व सिर्जना गरेर हतियार योजना बनाएका होलान्', ओलीले भने, 'आफैँले सिर्जना गरेको द्वन्द्व हल गर्न भन्दै विज्ञसहितका टिम नेपालमा पठाउन खोजेको होला, ओलीले अगाडि भने, 'हाम्रो समस्याबारे हामी जानकार छौँ, नेपाली जनता पनि सचेत छन् । हामी आफ्नो समस्या समाधान गर्न सक्षम छौँ । हाम्रो योजना नै यहाँको अशिक्षा, अल्पविकास र गरिबीको अन्त्य गरेर देशलाई समृद्ध बनाउनु छ ।' ओलीले प्रधानमन्त्रीका रुपमा आफूले केही समयअघि गरेको भारत भ्रमण पूर्णरुपमा सफल भएको पनि जिकिर गरे । आफू भारत भ्रमणमा हुँदा लम्पसार परेको भनिनु केबल हाँसोमजाकको विषय मात्रै भएको ओलीको भनाइ थियो । 'म भारत भ्रमणमा रहेका बेला भारतसँग लम्पसार पर्यो भनेको सुनेँ', कांग्रेस सभापति देउवाको भनाइप्रति लक्षित गर्दै ओलीले भने, 'बरु विगतका प्रधानमन्त्री लम्पसार परेको देखे होला । अहिलेको प्रधानमन्त्रीलाई भारतमा जाँदा लम्पसार पर्यो भन्दा दुनियाँ हाँस्छ भन्ने उनीहरुले भुले । यहाँ जे बोले जे गरे पनि हुँदो रहेछ ।'"
"""केन्द्रले काटेको विदा प्रदेशले थप्यो","प्रदेश दुईमा सार्वजनिक विदा १० दिन बढ्यो"",""जनकपुरधामः संघीय सरकारले दिने सार्वजनिक विदाबाहेक प्रदेश २ मा प्रदेश सरकारले दश दिन थप गरेको छ । मन्त्रिपरिषदको निर्णय बमोजिम आन्तरिक मामिला तथा कानुन मन्त्रालयका सचिव देवीराम भण्डारीले यस प्रदेशमा दिइने तथा मनाइने थप विदा र उत्सवहरुको जानकारी सार्वजनिक गरेका छन् । थप गरिएका विदाहरुमा सर्वप्रथम जानकी नवमीलाई समावेश गरिएको छ । हालसम्म यस पर्वको लागि विदाको व्यवस्था नेपाल सरकारबाट नगरिएको हुनाले माता सीताको जन्म जयन्तीको विशेष पर्वको रुपमा मनाउन वैशाख ११ गते एक दिन विदा दिइने भएको छ । रक्षा बन्धनको अवसर पारेर भदौ १० गते, छठ पर्वको अवसर पारेर कात्तिक २७ र २८ गते दुई दिन विदा दिइने भएको छ । छठ पर्वमा हालसम्म एकदिन मात्रै विदा दिने गरिन्थ्यो । प्रदेशको राजधानीको शहर जनकपुर मनाइने मुख्य पर्व मध्येको विवाह पञ्चमीको अवसरमा हालसम्म विदाको व्यवस्था नरहेकोमा मंसिर २६ गते विदा हुने भएको छ । त्यसैगरी मधेस आन्दोलन स्मृति दिवसको अवसर पारेर माघ ५ गते विदा दिने प्रदेश सरकारले निर्णय गरेको छ । २०६३ साल माघ ५ गते तराई मधेसमा जनसरोकारका विषयलाई लिएर मधेसमा आन्दोल भएको हुनाले यस दिनलाई स्मृति दिवसको रुपमा मनाइने भएको छ । फागु पूर्णिमाको अवसरमा चैत्र ७ र ८ गते दुई दिन विदा हुने भएको छ । तराईमा दुई दिन यो पर्व मनाउने भएकोले दुई दिने विदा दिने जनाइएको छ । रामनवमीको अवसर पारेर विगत वर्षहरुमा सरकारले विदा दिने गरे पनि २०७५ सालदेखि काटिएको थियो । बाह् रबिऊल (पैगम्बर मोहम्मद) को जन्म दिनको अवसरमा १ दिन बिदा दिने निर्णय समेत प्रदेश सरकारबाट भएको हो ।"""
"३३ किलो सुन तस्करी प्रकरणः पूर्व डीआईजी निरौलालाई विराटनगर ल्याइयो","विराटनगरः त्रिभुवन अन्तराष्ट्रिय विमानस्थलबाट भएको साढे ३३ किलो सुन तस्करी प्रकरण अनुसन्धानका क्रममा पक्राउ परेका पूर्व डीआईजी गोविन्द निरौलालाई सोमबार विराटनगर ल्याइएको छ । बुद्ध एयरलाइन्समार्फत दिउँसो २ः४५ बजे ल्याइएका उनलाई रिसिभ गर्न विराटनगर विमानस्थलमा बा १ झ १२९१ नम्बरको गाडीसहितको प्रहरी टोली लिएर मोरङ प्रहरीका डीएसपी निशान थापा पुगेका थिए । गाडीको बीचमा राखेर जिल्ला प्रहरी कार्यालय मोरङ पुर्याइएका निरौलालाई केही बेरमै जिल्ला अदालत मोरङबाट संगठित अपराध तथा अपहरण गरी कर्तव्य ज्यान शीर्षकमा मुद्दा चलाउन दुई दिनको म्याद मिलान गरिएको प्रहरी स्रोतले बतायो । सुन तस्करी काण्ड र मोरङ उर्लाबारीका सनम शाक्य हत्या घटनाको अनुसन्धान मोरङबाटै भइरहेका कारण काठमाडौंमा पक्राउ परेका निरौलालाई विराटनगर ल्याइएको स्रोतले बतायो । उनलाई गृह मन्त्रालयद्धारा गठित सहसचिव ईश्वरराज पौडेल नेत्रृत्वको छानविन समितिले आइतबार काठमाडौंबाट पक्राउ गरेको थियो । प्रहरी सेवाबाट यही चैत २८ गते अवकाश पाएका पूर्व डीआईजी निरौलाको सुन तस्करीका मुख्य नाइके मोरङ उर्लाबारीका गोरे भनिने चूडामणि उप्रेतीसँग कनेक्सन देखिएपछि पक्राउ गरिएको बताइएको छ । निरौला गत वर्ष त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलमा प्रहरी इन्चार्जका रुपमा कार्यरत थिए । इन्चार्ज हुँदा उनले तस्करलाई सघाएको आशंकामा त्यहाँबाट हटाइएको थियो । छानबिन समितिका संयोजक पौडेलले घटनाको अनुसन्धान मोरङबाटै भइरहेका कारण म्याद थप र बाँकी अनुसन्धान गर्नका लागि निरौलालाई विराटनगर पठाइएको पुष्टि गरे । सुन तस्करी र शाक्य हत्या काण्डलाई जोडेर अहिलेसम्म २२ जना भन्दा बढी पक्राउ गरिसकिएको प्रहरी स्रोतले बतायो । ( विराटनगर ल्याइएका पूर्व डीआईजी गोविन्द निरौला (सेतो सट लगाएका) लाई जहाजबाट झारिएपछि विराटनगर विमानस्थलबाट बाहिर निकालिंदै । तस्बिर ः किशोर बुढाथोकी )"
"""प्रदेश तीनको पोशाकः दौरा सुरुवाल","महिलालाई आफ्नो भेषभूषा अनुसार"",""हेटौंडाः प्रदेश तीनका प्रदेशसभा सदस्यहरुको लोगो र पोशका निर्धारण भएको छ । कार्यव्यवस्था परामर्श समितिको सुझावको आधारमा सभामुख सानुकुमार श्रेष्ठले लोगो र पोशाक निर्धारण गरेका हुन् । लोगोमा गौरीशंकर हिमाल, राष्ट्रिय झण्डा, पशुपतिनाथको मन्दिर,स्वयम्भुको आँखा अंकित चित्र, एक सिंगै गैँडा र रेड पाण्डाको चित्र अंकित हुने प्रदेशसभा सचिव भरत बुढाथोकीले बताए । कार्यब्यवस्था परामर्श समितिको सुझावमा सभामुखले उक्त निर्णय गर्नुभएको हो, बुढाथोकीले भने । यसैबीच पोशाकमा कालो कोट, कालो जुत्ता, सेतो रङको दौरा सुरुवाल निर्धारण गरिएको छ । विशेष समारोहमा खैरो कोटसमेत लगाउनु पर्ने निर्णय गरिएको छ । महिलाले आफ्नो भेषभूषा अनुसारको पहिरन लगाउन पाउने व्यवस्था गरिएको समेत सचिव बुढाथोकीले बताए । पोशाक र लागो निर्धारण नहुँदा रुची अनुसारको कपडामा उपस्थित हुने प्रदेशसभा सदस्यहरु अबको प्रदेशसभा बैठकहरुमा निर्धारित पोशक र लोगो लगाएर आउनुपर्ने हन्छ ।"""
"कानुनमन्त्री भन्छन्: प्रलोभनमा धर्मान्तरण दण्डनीय हो","कानुनमन्त्री भन्छन्: प्रलोभनमा धर्मान्तरण दण्डनीय हो"
"सुशासनका क्षेत्रमा त्रिवेणीलाई नमुना बनाइने","मुसीकोट : रुकुम पश्चिमको त्रिवेणी गाउँपालिकाका जनप्रतिनिधि स्थानीय तहमा सुशासन कायम गर्न प्रतिवद्ध रहेको बताएका छन् । जनप्रतिनिधिले त्रिवेणी गाउँपालिकालाई नमुना बनाउने सामुहिक प्रतिवद्धता समेत जनाएका हुन् । हरप्लेस नेपाल रुकुमद्वारा सिम्रुतुमा आयोजना गरिएको सुशासन सम्बन्धी समन्वय बैठक तथा छलफलमा उपस्थित भएका त्रिवेणी गाउँपालिकाका अध्यक्ष झक्कुप्रसाद घर्ती, वडाअध्यक्षका साथै स्थानी सरोकारवालाले सुशासन प्रवर्द्धन रणनीति तथा कार्ययोजना२०७४ मा व्यवस्था भए अनुसार सुशासन समिति गठन गर्ने, गाउँपालिकाका दशवटै वडामा चौमासिकरुपमा नियमित सार्वजनिक सुनुवाई गर्ने निर्णय गरिएको छ । त्रिवेणीका सबै वडामा स्थानीय सभा गठन गर्ने निर्णय गरिएको छ । यसअघि वडा नं ३, ४ र ५ मा उक्त स्थानीय सभा गठन गरिएको थियो । स्थानीय सरकारले नै गठन गरी प्रभावकारी कार्यान्वयन गर्ने र गाउँपालिकामा नागरिकको सहज पहुँच विस्तार गर्न र गुनासोको व्यवस्थापनका लागि हरप्लेसको प्रविधिक सहयोगमा टोल फ्री फोन समेत सुचारु गर्ने निर्णय गरिएको छ । त्रिवेणी गाउँपालिका अध्यक्ष घर्तीले सबै क्षेत्रमा सुशासन कायम हुन सकेमात्र नेपालको संविधानले परिकल्पना गरेको समाजवादको लक्ष्यमा पुग्न सकिने बताए । उनले सुशासन कार्यन्वयन र जवाफदेहिता कायम गर्ने कुरामा गाउँपालिकालाई नमुना बनाउन सरोकारवाला सबैबाट आवश्यक सहयोगको समेत अपेक्षा गरेको बताए । जनताबाट निर्वाचित हामी जनप्रतिनिधिको पहिलो प्राथमिकता भनेकै सुशासन प्रवर्द्धन गर्नु हो ,उनले भने,यसका लागि हामि प्रतिवद्ध भएर लाग्न सक्नुपर्छ । यसकारण सबै क्षेत्रमा सुशासन कायम गर्न हामी अधिकतम प्रयास गरिरहेका छौ । अब निर्णय गरेरै लागू गर्छौँ । त्रिवेणी गाउँपालिका सुशासनको क्षेत्रमा नमुना हुनेछ । उनले सुशासन, पारदर्शिता र जवाफदेहिता प्रवर्द्धनका लागि आवश्यक कानुन, नियम, कार्यविधि निर्देशिका पारित गरेर अगाडि बढ्ने कुरामा बिशेष जोड दिनुपर्ने बताए । उनले सरोकारवाला सबैले त्रिवेणी गाउँपालिकालाई सुशासन र जवाफदेहिताको क्षेत्रमा नुमना बनाउन आआफ्नो ठाउँबाट लाग्ने बताएका थिए । हरप्लेस रुकुमका जिल्ला कार्यक्रम संयोजक सुरेन्द्र खत्रीले पारस्परिक जवाफदेहिता परियोजना लागु भएको गाउँपालिकामा सुशासन प्रवर्द्धनका लागि जनप्रतिनिधि प्रतिवद्ध हुनु सुखद रहेको बताए । उनले निर्णयको सफल कार्यान्वयन गर्दै अगाडि बढ्न सके सेवाप्रवाहमा प्रभावकारिता बढ्ने बताए ।"
