"शीर्षक","विवरण"
"राष्ट्रिय गौरवको भेरीबबई डाइभर्सन कार्यालयमा तालाबन्दी","सुर्खेतः राष्ट्रिय गौरवको आयोजना भेरीबबई डाइभर्सनको कार्यालयमा तालाबन्दी गरिएको छ । आयोजना निर्माणका क्रममा स्थानीयाबसी र कामदारबीचको सहमति कार्यान्वयन नभएको भन्दै मंगलबार तालाबन्दी गरिएको हो । आयोजनाबाट प्रभावित र मजदुृरहरुसँग भएका सहमति कार्यान्वयनमा बेवास्ता गरेको भन्दै भेरीगंगा नगरपालिका५ हात्तिखालस्थीत आयोजनाको कार्यालयमा तालान्दी गरिएको हो । विगतका सम्झौता कार्यान्वयन गर्नुपर्ने मागसहित स्थानीयबासीहरुका तर्फबाट सरोकार समिति र मजदुर यूनियनले संयुक्त रुपमा तालाबन्दी गरेका हुन् । मागै माग आयोजना निर्माण गर्दा अतिप्रभावितस्थल भेरीगंगा नगरपालिका५ हात्तिखाल र गेरुबानीमा दीर्घकालिन रुपमा शुद्ध खानेपानी योजना निर्माण गर्नुपर्ने सहमति हालसम्म कार्यान्वयन नभएको सरोकार समितिको आरोप छ । यस्तै, विद्युत, सिँचाइ लिफ्टिङ्गको दीर्घकालिन समाधान गर्नुपर्ने, आयोजना निर्माण क्षेत्रको जनता प्रावि र सरस्वति प्राविमा ध्वनि तथा वायु प्रदुषणरहित पर्खाल व्यवस्थापन गर्नुपर्ने माग सरोकार समितिले राखेको छ । हात्तिखाल र गेरुवानीअन्तर्गत पर्ने मुल सडक तथा रिङ्ग रोडमा पक्की नालासहित विभिन्न खोलाहरुमा आवश्यकताअनुसार कल्भर्ड तथा ह्युम पाइप तत्काल व्यवस्था गर्नुपर्ने माग गरिएको छ । बाढी प्रभावित क्षेत्रमा दीर्घकालिन तटबन्धनको तत्काल व्यवस्था गर्ने सहमति भएपनि हाल कुनै काम नगरेकाले आयोजनाले विगतमा भएका सम्झौताहरु कार्यान्वयमा आफुहरु विश्वस्त नभएको प्रभावितहरुको भनाइ छ । प्रभावितक्षेत्रमा स्थायी रुपमा बसोबास गर्ने स्थानीयबासीका लागि उपयोगी सीपमुलक, कृषि तथा पशुपालन, स्वरोजगारमुलक तालिम सञ्चालन गर्न स्थानीय समुदायको माग छ । वनभोज पार्क चाहियो ? यस्तै, खेलमैदान र वनभोज पार्क निर्माण गर्नुपर्ने पनि माग गरिएको छ । विभिन्न बाहानामा आयोजना तथा चिनिया कम्पनीबाट निकालिएका दक्षअदक्ष कामदारहरुलाई प्रत्यक्ष कामदारको रोहवरमा सहमति गरि तत्काल रोजगारी दिनुपर्ने माग मजदुर युनियनको छ । उनीहरुले काम गरिहेका कामदारलाई रोजगारीबाट निकालिएकोमा आपत्ति जनाउँदै पुनः काम दिन माग पनि गरेका छन् । यस्तै, कामदार तथा श्रमिकहरुको मासिक रुपमा एक दिन बिदा दिनुपर्ने र दिनको पूर्ण तलबभत्ता उपलव्ध गराउनुपर्ने माग मजदुरहरुका छन् । पहिल्यै पुरा भए माग यता आयोजनाका निर्देशक शिवकुमार बस्नेतले असन्तुष्ट पक्षका मागहरु पहिले नै पुरा भइसकेको बताउँदै केही माग कार्यान्वयन भइरहेको अवस्थामा आयोजनालाई प्रभावित गर्न तालाबन्दी गरिएको आरोप लगाए । हामी स्थानीय र मजदुरको मागप्रति संवेदनशील छौं, त्यसैले केही पहिले नै पुरा गरिसकेका छौं र केही माग पुरा हुने चरणमा छन्, उनले भने, नेपालमै नमूना प्रोजेक्टको धमाधम काम भइरहेको अवस्थामा तालाबन्दी गर्नु राम्रो होइन, चित्त नबुझेको कुरा छफफल गर्नुपर्यो । तालबन्दी गरेर काम कसरी अगाडि बढ्छ ? उनका अनुसार भेरी बबईको सुरुङ निर्माण मंगलबारसम्म चार किलोमिटर सम्पन्न भइसकेको छ ।"
"आरजुले चुनावमा किनेको घरमा पहिलो पटक देउवा","धनगढीः राजधानीबाट धनगढी आएपछि सधैं पार्टी कार्यकर्ता कृष्णबहादुर महराको लगानी रहेको होटल डिभोटीको स्वीट रुममा बस्ने कांग्रेस सभापति शेरबादुर देउवा पहिलो पटक आफ्नो निजी निवासमा बसेका छन् । प्रतिनिधि सभा चुनावका बेला धनगढी उपमहानगरपालिका४ उत्तरबेहडीमा रहेको स्थानीय शारदा हमालको घर त्यतीबेला यही क्षेत्रबाट उमेद्वारसमेत रहेकी देउवा पत्नी आरजु देउवाले किनेकी थिइन् । आरजु, चुनाव भरी आफ्नै नयाँ किनेको घरमा बसे पनि देउवा सोमबार पहिलो पटक आफ्नो निवासमा बसेका हुन् । चुनावका बेला उहाँ (देउवा) प्रधानमन्त्रीकाले सुरक्षाका कारण पनि होला, निवासमा नबस्नु भएको तर अब पूर्व प्रधानमन्त्रीबाट भइसके एकजना कांगेसी नेताले मुस्कुराउँदै भने, भाउजूले किनेको घरमा दाइले किन नबस्नु । आरजुले घर किनेपछि चुनावकै बेला हेर्न गए पनि देउवा त्यहाँ राति बसेका थिएनन् । यसपाली भने उनी आफ्नै घरमा पहिलो पटक बास बसेका हुन् । आरजुलाई प्रतिनिधि सभा निर्वाचनमा विपक्षी दलहरुले पर्यटक उमेदवारको आरोप लगाएपछि उत्तरबेहडीमा रहेको शारदा हमालको घर चार करोडमा किनेकी थिइन् । सुदूरपश्चिमकी बुहारी भएपनि आफुलाई पर्यटक भनेपछि उनले घर किनेर स्थायीरुपमा कैलालीमै राजनीति गर्ने बताएकी थिइन् । तर चुनाव हारेपछि उनी प्रायजसो काठमाडौँतिरै बस्ने गरेकी छन् । क्याम्पस भवन उद्घाटन देउवाले मंगलबार नै अत्तरियामा रहेको दुर्गा लक्ष्मी बहुमुखी क्याम्पस भवनको उद्घाटन गरेका छन । उनले विकास र समृद्धिका लागि सबै दलहरुले एक भएर अघि बढ्नुपर्ने आग्रह गरे । क्याम्पस व्यवस्थापन समितिका अध्यक्ष तथा कांगेस नेता वीरेन्द्र भट्टको अध्यक्षतामा कार्यक्रम गरिएको थियो ।"
"वाम एकतामा कहाँ पुगेर अड्कियो हलो ? यसो भन्छन् नेताहरू र वाम विष्लेशक","वाम एकतामा कहाँ पुगेर अड्कियो हलो ? यसो भन्छन् नेताहरू र वाम विष्लेशक"
"एमालेमाओवादी मिलेपछि मोदीको पहिलो शुभकामना आउँछ","काठमाडौंः नेकपा एमालेका सचिव योगेश भट्टराईले एमालेमाओवादी केन्द्रबीचको एकता हुनेबित्तिकै भारतीय प्रधानमन्त्री नरेन्द्र मोदीको पहिलो शुभकामना आउने स्पष्ट पारेका छन् । उनले भने,एमाले र माओवादीबीच एकता हुँदा भारतीय प्रधानमन्त्री मोदी र चिनीयाँ राष्ट्रपति सि जिनफिङको शुभकामना आउँछ । एमालेमाओवादी एकताप्रति मोदीको सद्भाव रहेको उनले बताए । मंगलबार रिपोर्टर्स क्लब नेपालले आयोजना गरेको साक्षात्कारमा सचिव भट्टराईले भारतीय प्रधानमन्त्री मोदीको अब हुने नेपाल भ्रमणलाई आफूहरुले सफल बनाउने बताए । उनले भने,मोदीजीको भ्रमण सफल हुन्छ, हामी सफल बनाउँछौं, पछिल्लो समय नेपालभारत सम्बन्धमा नयाँ आयाम थपिएको छ, हामीबीच रहेका सबै असमझदारी हटेका छन्, भारत पनि नेपालमा विकास र समृद्धि चाहन्छ, हामी पनि भारतसँग सहकार्य गरेर अगाडि बढ्न चाहन्छौं, मोदीको यो भ्रमण दुई देशबीचको सम्बन्धमा कोशेढुँगा सावित हुन्छ । साक्षात्कारमा बोल्दै उनले मोदीको नेपाल भ्रमणको बेला नेपालभारत द्विपक्षीय सम्बन्ध सुमधुर हुने विश्वास दिलाए । उनले मोदी नेपाल भ्रमणमा आउँदा यसपटक जनकपुर र मुक्तिनाथको भ्रमण गराउने तयारी थालिसकेको बताए । मोदीको भ्रमण सफल बनाउन सिँगो सरकार तयारीमा जुटिसकेको पनि उनले जानकारी दिए । नेता भट्टराईले एमालेमाओवादीले एकअर्काको अस्तित्व स्विकार गरिसकेकोले आफूहरु सहकार्यमा रहेको बतए । एकता जनताबाट अनुमोदित भैसकेको छ, अब पछि हट्ने ठाउँ छैन, एकतालाई टुँगोमा पुर्याउनको लागि दुवै पार्टीका अध्यक्षवीच धेरैपटक वार्ता तथा छलफल भएका छन्, छलफल अहिले पनि जारी छ, उनले भने । दुई पार्टीबीचको एकता धेरै नजिक रहेको उनको जिकिर थियो । एकता भनेपछि संगठनपनि मिलाउने कुरा भएकोले राजनीतिक जित्दा पनि गणित र मनोविज्ञानको उचित व्यवस्थापन गर्नुपर्ने भएकोले अहिले आफूहरु त्यस कार्यमा व्यस्त रहेको भट्टराईको भनाई छ । उनले भने,योग र ध्यानमा बस्दा मनोविज्ञानको व्यवस्थापन हुन्छ, एकले अर्कोलाई मित्रता ठान्दछ, शत्रुता हट्छ, धैर्यता बढ्छ । उनले पार्टी एकता ५०५० को अनुपातमा भन्दापनि सिँगो पार्टी भनेको त १०० प्रतिशत हुने बताउँदै भने,सिँगो पार्टी नै भएपछि त उहाँ (प्रचण्ड) को हातमा पार्टी हुन्छ । एकतामा जाँदा पार्टी बलियो हुनुपर्ने उनको धारणा छ । एकता गर्ने भनेको त बलियो पार्टी बनाउने हो नि, उनले भने,त्यसैले जग बलियो बनाउनुपर्छ, जसरी घर बनाउँदा बलियो जग हालिन्छ, नक्कली माल प्रयोग गर्नुहुँदैन, बरु सक्कली माल प्रयोग गर्नुपर्छ ।"
"माया गुरुङको चोखो माया बजारमा","काठमाडौं ः थ्री स्टार मिडियाले चोखो माया भिडियो सार्वजनिक गरेको छ । चर्चित गायिका मिलन अमात्यको आवाजमा रहेको गीतमा नबिन रावलको सङ्गीत रहेको छ । यसै गीतबाट माया गुरुङले नव गीतकारका रुपमा नेपाली सुगम सङ्गीतको क्षेत्रमा पाइला टेकेकी छन् । सन्देश, मिलन र श्रद्धाको शसक्त अभिनय रहेको गीतको छायङ्कन राजेन्द्र पलले गरेका छन् भने निर्देशन तथा सम्पादन राकेश दाहालको छ । गीतकार गुरुङ भन्छिन्, गीत रेकर्डिङ गर्दादेखि छायाङ्कन गर्दासम्म सबै पक्षको मेहनत उत्तिकै रहेको हुनाले पनि गीत राम्रो बनेको हुनुपर्छ । अब प्रतिक्षा स्रोता तथा दर्शकको प्रतिक्रियाको छ ।"
"ड्याम्म हुने वाम एकता ड्याम्मै फुट्न बेर लाग्दैन (भिडियोसहित)","काठमाडौँः वाम विश्लेषक डा खगेन्द्र प्रसाईले कमजोर धरातलमा कमजोर जगसहित उभिएर बनेको वाम एकता भएमा एकता दिगो नहुने संकेत गरेका छन् । नेपालको वाम आन्दोलन तथा कम्यूनिष्ट विचारधारालाई नजिकबाट अध्ययन गर्दै आएका डा प्रसाईंले एपीवान टेलिभिजनको कार्यक्रम एपी सेन्टरमा मंगलबार कुरा गर्दै दुई यस्तो बताएका हुन् । दुई पार्टीबीच मनभेद हुँदाहुँदै निर्वाचन जित्ने रणनीति अनुसार बनेको गठबन्धनकै आधारमा पार्टी एकता भएमा त्यो दिगो हुन सक्दैन, उनले तर्क गर्दै भनेका छन्, जनवादमा विश्वास गर्ने कम्यूनिष्ट पार्टीहरु सिद्धान्त, विचारधारा र संगठन व्यवस्थापनभन्दा दुई अध्यक्षको व्यवस्थापन केन्द्रित छन् । भिडियो सिद्धान्त, विचारधारा र संगठन व्यवस्थापनलार्इ भुलेर गरिने वाम एकता उभिएको धरातल भविष्यका लागि सबैभन्दा कमजोर भएको पनि प्रसार्इले जिकिर गरेका छन् । एकता सम्मानजनक त्यस्तै कार्यक्रममा बोल्दैन नेकपा एमालेका नेता तथा वाम एकता कार्यदलका सदस्य बेदुराम भुषालले सम्मानजनक एकताको अर्थ प्रतिशत नभएको बताएका छन् । उनले जनयुद्धलाई नयाँ बन्ने पार्टी विधानको प्रस्तावनामा उल्लेख गर्न सकिने प्रष्ट पार्दै तर चुनाव चिन्ह सूर्य भने एमालेले छोड्न नसक्ने संकेत गरेका छन् । त्यस्तै नेकपा माओवादी केन्द्रका नेता तथा एकता कार्यदलका सदस्य देव गुरुङले वाम एकता सम्मानजनक हुनुपर्ने भन्दै जनमतको नाममा वेवास्ता गर्न नपाइने तर्क गरेका छन् । नेता गुरुङले प्रधानमन्त्री केपी शर्मा ओलीले भारत भ्रमण गर्दा आफूहरूसँग कुनै परामर्श नगरेको दाबी गरे । उनले सचिवहरुको सरुवा गर्दा समेत माओवादीसँग परामर्शन नगरेकोमा चित्त दुखाए । प्रधानमन्त्री ओलीका पछिल्ला कदमले धेरै शंका र उपशंका उत्पन्न गराएको छ, उनले भनेका छन्, प्रधामन्त्रीले परामर्श नगरी अघि बढ्दा एकतामा पनि असहज भएको छ ।"
"जाजरकोटका ४९ 'यार्सा चोर' डोल्पामा पक्राउ","दुनै,डोल्पा : डोल्पाका हिमाली पाटनमा यार्सा चोरी गर्ने ४९ जना पक्राउ परेका छन् ।जगदुल्ला गाउँपालिकाको जगदुल्ला पाटनमा यार्सा चोर्न गएका उनीहरुलाई प्रहरीले पक्राउ परेको शेफोक्सुण्डो राष्ट्रिय निकुञ्जको कार्यालयले जानकारी दिएको छ । यार्सा चोरी गर्नेमा ११ जना महिला र ३८ जना पुरुष छन् । उनीहरु सबै जाजरकोट निवासी भएको शेफोक्सुण्डो राष्ट्रिय निकुञ्ज संरक्षण अधिकृत रामदेव चौधरीले जानकारी दिए । गस्तीमा रहेको सुरक्षाकर्मी, निकुञ्ज मध्यवर्ति क्षेत्र र सामुदायिक बनको संयुक्त टोलीले सोमबार राति ११ बजे जगदुल्लाको पाटनमा बसिरहेको अबस्थामा उनीहरुलाई पक्राउ गरेको अधिकृत चौधरीले जानकारी दिए । उनले यार्सा चोरमा ठेकेदारले पठाएका कामदार रहेको र ठेकेदार फरार रहेको जानकारी दिए ।जम्मा ५१ जना मध्ये २ जना नाइके यार्सासहितको झोला लगेर भागेको र अन्य कामदार समातिएकाले बुधबारसम्म शुलिगार्डमा ल्याइपुर्याउने निकुञ्जको कार्यालयले जानकारी दिएको छ । एक साता पहिले कागमारा पाटनबाटै ७ जना यार्सा चोरलाई नियन्त्रणमा लिएको कार्यालयले जानकारी दिएको छ । जेठको एक गते सबैका लागि यार्सा पाइने हिमाली पाटनहरु खुल्ला गरिने भनिएपनि लुकीछिपी यार्सा संकलन गर्नेहरु पहिले नै पाटनमा पुगिसकेको स्थानीयले बताए । यतिबेला डोल्पाका यार्सा पाइने दर्जनौं हिमाली यार्सा पाटनमा दैनिकी गस्ती बढाइएको छ ।शेफोक्सुण्डो राष्ट्रिय निकुञ्ज र मध्यवर्ति क्षेत्रमा सबै निकायले गस्ती गरेर सुरक्षा दिएको छ भने अन्य सामुदायिक बनहरुमा सामुदायिक बनका पदाधिकारी,समूह तथा क्लबले सुरक्षा दिइरहेका छन् । अघिल्ला वर्षमा जेठको १० गते पाटनहरु खुल्ला गरिएको भएपनि यस वर्ष भने जेठ १ गते खुल्ला गरिने निकुञ्जको कार्यालयले जानकारी दिएको छ । डाेल्पाका जगदुल्ला,कागमारा,टाङटुङ्गे,कुनासा,पेरिकोप्पा,सागर,नावरपानी,धो,डाँगे,रुपपाटन,बाघडाँडा,पोकेपानी,साइकुमारी,माटे,ग्यालबारालगायत दर्जनौ पाटनमा यार्सागुम्बा पाइन्छ ।"
"""वीरगन्जमा घरभित्रै बम विस्फोट","एक भारतीय घाइते"",वीरगन्ज : वीरगन्जको मेनरोडमै रहेको एक घरमा मंगलबार साँझ बम विस्फोट भएको छ । जिल्ला प्रहरी कार्यालय र नेपाली सेनाको ब्यारेकबीचको मेनरोडमा रहेको कमल राउत कुर्मीको घरमा साँझ ५ बजेतिर बम विस्फोट भएको हो । बम विस्फोट भएको घर जिल्ला प्रहरी कार्यालय र नेपाली सेनाको ब्यारेकबाट करिब दुई सय मिटरकोबीच दुरीमा अवस्थित छ । विस्फोटमा भारत बिहारको छपराका १८ वर्षीय अमितकुमार पाण्डे घाइते भएका छन् । उनको वीरगन्जस्थित नारायणी उपक्षेत्रीय अस्पतालमा उपचार भइरहेको छ । त्यो घर एक महिनाअघि मात्र कुर्मीले किनेका थिए । कुर्मीले किनेको घर मातृका आई सेन्टरले आखाँ अस्पताल सञ्चालनका लागि भाडामा लिएको थियो । आई सेन्टर सञ्चालनका लागि भाडामा लिएको घरको कोठामा मंगलबार पाण्डेले रंगरोगन गरिरहेका अबस्था सुतली बम विस्फोट भएको पर्साका प्रहरी नायब उपरीक्षक राजन लिम्बुले बताए । बम विस्फोट कसले र किन गराएको भन्ने बारेमा केही खुल्न नसकेको पर्साका प्रहरी प्रवक्ता समेत रहेका लिम्बुले बताए ।उनले विस्फोटनको बारे अनुसन्धान भइरहेका जानकारी दिए ।"
"सुरक्षित र स्वास्थ कार्यस्थलमा जोड","काठमाडौं : सुरक्षित र स्वास्थ कार्यस्थलका विषयमा देशभर विभिन्न कार्यक्रम गरिएको छ । कार्यस्थल सुरक्षित र स्वास्थ हुनुपर्नेमा यस वर्षका कार्यक्रममा जोड दिइएको छ । श्रम रोजगार तथा सामाजिक सुरक्षा मन्त्रालय, विभिन्न गैरसरकारी संस्था, अन्तर्राष्ट्रिय श्रम संगठनलगायको सक्रिय सहभागितामा विभिन्न स्थानमा गरी साताव्यापी कार्यक्रम आयोजना गरिएको थियो । १२९ औं अन्तराष्ट्रिय श्रमिक दिवस उपलक्ष्यमा यी कार्यक्रम आयोजना भएका हुन् ।अन्तर्राष्ट्रिय श्रम संगठन (आईएलओ) ले १५ देखि २४ वर्ष समूहका ५४ करोड श्रमिकमध्ये तीन करोड ७० लाख बाल श्रमिक जोखिमपूर्ण काममा संलग्न रहेको जनाएको छ । २५ वर्ष माथिका श्रमिकले ४० प्रतिशतभन्दा बढी ज्यान जाने प्रकृतिका व्यवसायजन्य चोटपटक बेहोर्ने गरेका छन् । युवा श्रमिकमा व्यवसायजन्य सुरक्षा र स्वास्थ्यमा जोखिम बढी हुनुमा शारीरिक र मनोवैज्ञानिक विकास क्रम, काममा अनुभवको कमी, अपर्याप्त तालिम, कार्यस्थलमा आउनसक्ने जोखिमबारे सचेतना अभाव ,सौदाबाजीको सामथ्र्य नुहुनुलगायत कारण रहेको आईएलओले जनाएको छ । सन् २०१८ को सुरक्षा दिवस अभियानमार्फत यी चुनौतीलाई सम्बोधन गर्न र युवा श्रमिकको व्यवसायजन्य सुरक्षा र स्वास्थ्यका सवालमा सुधार ल्याउन अत्यावश्यक भएको आईएलओका एसिया तथा प्रशान्त क्षेत्रका क्षेत्रीय निर्देशक तोमोको निसिमोतोले बताएकी छन् । युवा श्रमिकको सुरक्षा, स्वास्थ्यमा सुधार र बाल श्रम अन्त्यको आह्वान गर्दै यो वर्ष कार्यस्थलमा सुरक्षा र स्वास्थ्य वर्ष दिवस र बाल श्रम बिरुद्धको वर्ष दिवस एकै साथ मनाउन लागिएको छ । यो अभियानले दिगो विकास लक्ष को ८८ अन्तर्गत सबै श्रमिकलाई सन् २०३० सम्म सुरक्षित र निश्चिन्त वातावरणमा काम गर्ने अवसर प्राप्त हुनेछ । दिगो विकास लक्षअन्तर्गत २०२५ सम्म सबै प्रकारका बाल श्रमको अन्त्य गर्न विभिन्न कार्यक्रम गरिने आईएलओले जनाएको छ । आईएलओले बाल श्रम घटाउनका लागि विभिन्न युवा स्वयंसेवी परिचालन गर्न सकिने बताएको छ ।"
"गृहजिल्ला पुगेका प्रधानमन्त्रीलार्इ भ्याइनभ्याइ","एकैदिन चारवटा सडक र विरिङ पुलको शिलान्यास सुरुङगा, झापा: प्रधानमन्त्री केपी शर्मा ओलीले आज झापामा चारवटा सडक र एउटा पुलको शिलान्यास गरेका छन् । ७७ करोड १५ लाख ५८ हजार रूपैयाँको लागतमा निर्माण हुन लागेका चार सडक र २३ करोड ६९ लाखको लागतमा विरिङ खोलामा निर्माण हुन लागेको पुलको प्रमले शिलान्यास गरेका हुन् । ग्रामीण सडक सञ्जाल आयोजनाअन्तर्गत चारपानेचैतुवारीमतीगढासाँघुटारघोडामारीराजगढ सडकको शिलान्यास भएको छ । चारपाने चोकबाट सुरु विन्दु भएर राजगढ बजारसम्मको सडक स्तरोन्नति कार्यको प्रधानमन्त्री ओलीले शिलान्यास गरेका हुन् । सडकको लम्बाई १५ दशमलब ६ किलोमिटर रहेको छ । सो सडकले हुलाकी राजमार्ग छोएको छ । सडक निर्माणका लागि एशियाली विकास बैंकको ८० प्रतिशत लगानी र नेपाल सरकारको २० प्रतिशत लगानी गरी १८ करोड ५७ लाख ९० हजार ४५६ मा निर्माण हुँदैछ । सडक निर्माणसँगै राजमार्ग दक्षिणका ५८ हजार ७६५ जनसंख्या प्रत्यक्ष लाभान्वित हुने बताइएको छ । गुणस्तरीय सडक सञ्जालको विकास गरी दुई वा दुईभन्दा बढी ग्रामीण वस्तीहरू आर्थिक, सामाजिक केन्द्रहरू वा कृषि क्षेत्रहरू बजारबीच पहुँच अभिवृद्धि गर्न सडक निर्माण कार्य सुरु गरिएको बताइएको छ । पूर्वाधार विकासमा संलग्न निकायको क्षमता अभिवृद्धि गर्ने लक्ष्यका साथ स्थानीय पूर्वाधार विकास तथा कृषि सडक विकास (डोलिडार) अन्तर्गत ग्रामीण सडक सञ्जाल सुधार योजना कार्यान्वयनका लागि नेपाल सरकार र एसियाली विकास बैंकबीच सम्झौताबमोजिम सडकको स्तरोन्नति सुरु भएको छ । विसं २०८० वैशाखसम्ममा काम सक्ने गरी सडकको स्तरोन्नति कार्यको शिलान्यास भएको छ । कालोपत्रेस्तरमा सडकको स्तरोन्नति तथा कार्य सम्पादनमा आधारित मर्मत गर्ने आयोजनाको मुख्य काम रहने बताइएको छ । यसैगरी खर्साङवारीजलथलअधिकारी चोक सडक खण्डको शिलान्यास भएको छ । यो सडकको लम्बाई ६ दशमलब ५ किलोमिटर रहेको छ । यता आमलडाँगीसमयगढसोलमारी सडक ११ दशमलब ५ किलोमिटर र पाडाजुंगीझर्काचप्रामारीखजुरगाछी १० किलोमिटर गरी जम्मा ४३ दशमलब ५ किलोमिटर सडकखण्डलाई कालोपत्रेस्तरमा स्तरोन्नति गरिने भएको छ । पाडाजुंगीझर्काबालुवथानचप्रपामारीखजुरगाछी सडक आयोजनाको लागत २० करोड ७३ लाख ८३ हजार ९१० रहेको छ । यो आयोजना समेत २०८० साल वैशाखमा सम्पन्न भइसक्नुपर्ने सम्झौता भएको छ । यता कनकाई नगरपालिकाको लक्ष्मीपुरसाधुटार सडकखण्डको उद्घाटन गरिएको छ । नौ करोड ८० लाख ६५ हजार ६४९ को लागतमा निर्माण गरिएको सडकले चुरे राजमार्ग छुने बताइएको छ । योसँगै प्रधानमन्त्री ओलीले आजै अर्जुनधारा नगरपालिका भएर बग्ने विरीङ खोलामा पक्की पुलको पनि शिलान्यास गरे । विभिन्न विकास निर्माणको शिलान्यास र उद्घाटन गर्दै नेकपा एमालेका अध्यक्षसमेत रहनुभएका प्रधानमन्त्री ओलीले झापा धान सुपरजोनको जिल्ला मात्र नभई हरेक कृषि क्षेत्रलाई सुपरजोन बनाउन सकिने बताए । उनले गाउँ, वस्ती र सहरका गुरुयोजना तयार गरेर कृषि तथा औद्योगिक क्षेत्रमा काम गर्न जनप्रतिनिधिलाई सुझाव दिए । ओलीले अब व्यवस्थित वस्ती र शहर बनाउनुपर्ने भन्दै सुकुम्बासीको नाममा जहाँ पायो त्यहाँ छाप्रो हाल्न नपाइने बताए । उनले सबै मानिस गरिखाने बाटोतिर लाग्नुपर्ने भन्दै त्यसको व्यवस्था सरकारले गर्ने बताए । अस्पताल, शिक्षालय, बजार, मनोरञ्जन स्थललगायत एकै ठाउँमा भएका व्यवस्थित शहर निर्माण गर्नुपर्ने अबको योजना भएकाले निर्वाचित जनप्रतिनिधिलाई त्यसतर्फ ध्यान केन्द्रित गर्न उनको सुझाव थियो । रासस"
