"शीर्षक","विवरण"
"सुत्नुअघि घरमा फोन गरेका सञ्जय साउदीमै अस्ताए","राजबिराजः वैदेशिक रोजगारका लागि सउदी अरबमा रहेका सप्तरीका एक युवकको मृत्यु भएको छ । खडग नगरपालिका९ लालपटीका २४ वर्षीय सञ्जय साहको मंगलवार मृत्यु भएको परिवारका सदस्यले बताए । वैदेशिक रोजगारका लागि सउदी पुगेका सञ्जय अल्फानार कन्स्ट्रक्सन कम्पनीमा कम्प्युटर सम्वन्धी काम गर्दै आएका थिए । सोमबार काम सकेर राति कोठामा खाना खाएर सुतेका सञ्जयलाई मंगलबार बिहान उनका साथीहरुले उठाउन जाँदा मृत अवस्थामा फेला पारेको उनका दाजु उमेश साहले जानकारी दिए । उमेशका अनुसार सुत्नुअघि सञ्जयले घरमा फोन गरी सबैको खबर सोधेका थिए । मिडील ईस्ट म्यानपावर कम्पनी काठमाडौँबाट सञ्जय २०७३ साल असार ९ गते सउदी गएका थिए ।"
"""'वामले अधिनायकवाद ल्याए","कांग्रेस भिड्न तयार छ'"",""पथरी, मोरङ: नेपाली कांग्रेसका नेता डा शेखर कोइरालाले देश अधिनायकवादतर्फ अघि बढेको बताएका छन् । सुन्दर हरैचा नगर समितिको आयोजनामा परिवर्तित सन्दर्भमा नेपाली काँग्रेसको भूमिका विषयक बुधबार आयोजित विचार गोष्ठीमा उनले वाम गठबन्धन सरकार देशलाई अधिनायकवादतर्फ धकेल्न उन्मुख रहेको बताए । वाम गठबन्धनको सरकार दुईतिहाइ मत हासिल गरी संविधान परिवर्तनको खेलमा लागेको आरोप लगाउँदै डा कोइरालाले कांग्रेस अधिनायकवादको मुकाबिला गर्न तत्पर रहेको उल्लेख गरे । फरक प्रसङ्गमा उनले पार्टीभित्र मौलाएको चरम गुटबन्दी त्यागे मात्र काँग्रेस पुरानै अवस्थामा फर्किने विचार व्यक्त गरे । रासस"""
"बजेटमा कर्णाली प्रदेशलाई प्राथमिकता दिन प्रधानमन्त्रीसँग माग","काठमाडौं : प्रधानमन्त्री केपी शर्मा ओलीले सरकार कर्णालीको विकासको लागि गम्भीर रहेको बताएका छन् । कर्णाली प्रदेशका मुख्यमन्त्रीलगायत सर्वदलीय जनप्रतिनिधिको तर्फबाट बुधबार बालुवटारमा ज्ञापनपत्र बुझ्दै प्रधानमन्त्री ओलीले यस्तो बताएका हुन् । मुख्यमन्त्री महेन्द्र बहादुर शाही संघीय सांसद जनार्दन शर्मा, प्रदेशका अर्थ मन्त्री प्रकाश ज्वालालगायतको समूहले प्रधानमन्त्री ओलीलाई ज्ञापनपत्र बुझाएका हुन् । ज्ञापनपत्रमा भौतिक पूर्वाधार, हवाई यातायात, सिंचाई, ऊर्जा तथा विद्युतिकरण, संचार, बस्ती विकास तथा पर्यटन, खोनपानी, शिक्षा, स्वास्थ्य र कृषिलगायतका विषयमा बजेट विनियोजन गर्न प्रधानमन्त्रीसँग माग गरिएको छ । प्रधानमन्त्री ओलीले कर्णालीलाई विकासको मुलधारमा ल्याउन यथासक्य बजेट विनियोजन गर्ने आश्वासन दिएका छन् ।"
"""हावाहुरीले महोत्तरीमा एकको मृत्यु","लाखौंको क्षति"",""बर्दिबास : बुधबार बिहान आएको हावाहुरीले महोत्तरीमा एक जनाको मुत्यु भएको छ भने लाखौंको बालीनालीमा क्षति पुगेको छ । ठाउँठाउँमा विद्युत पोल ढलेका छन् । विद्युत सेवा अवरुद्ध भएको छ । टेलिफोनका तार चुडिएका छन्,संचार सम्पर्क विच्छेद भएको छ । हुरीले छानो उडाएपछि गरिबको जीवन कष्टकर बनेको छ । बस्ने घर भत्किएपछि उनीहरुको विचल्ली भएको छ । हावाहुरीले जंगलमा ढलेका काम लिएर घर फर्किरहेकी गौशाला नगरपालिका १२ कान्तिबजारकी ३५ वर्षीया फुलबदनदेवी महराको ज्यान गएको जिल्ला प्रहरी कार्यालय महोत्तरीका प्रहरी उपरीक्षक कुवेर कडायतले जनाकारी दिएका छन् । खुट्टा चिप्लिदा बोकेको काठले महिला थिचिइन,ठाउकोमा गम्भिर चोट लाग्यो र उनको घटना स्थलमै मृत्यु भयो, एसपी कडायतले भने ।भंगहा नगरपालिकाको सीतापुरमा ६ वटा घरको छानो उडाएको छ ।बर्दिबास नगरपालिका ३ स्थित रेडियो सुनगाभाको सोलार प्यानल हुरीबतासले उडाएको छ । रेडियोका स्टेशन म्यानेजर निकेश खनालका अनुसार १२ वटा सोलार प्यानल उडाउँदा १२ लाख बढिको क्षति भएको छ । रेडियोको प्रसारण अवरुद्ध छ । बर्दिबास युवा टोल सुधार समितिले दुर्गा मन्दिर र फनपार्क निर्माणको लागि आयोजना गरेको सप्ताह ज्ञान महायज्ञको टेन्ट उडाएको छ । टेन्टभित्र रहेका पाँच जनाले भागेर ज्यान जोगाएको प्रहरीले जनाएको छ ।बर्दिबास नगरपालिका मेयर विदुरकुमार कार्कीको घर पनि हावाहुरीले क्षति गरेको छ । घरको एकतिरको छानो उडाएको इलाका प्रहरी कार्यालय बर्दिबासका प्रहरी निरीक्षक बासुदेव थापाले जानकारी दिए । हावाहुरीसँंगै आएको वर्षाले बनाएको इट्टा पानीमा भिजेर इट्टा नष्ट नभएको छ । हुरीले महोत्तरीमा २० वटा विद्युतीय पोल ढल्दा जिल्लाभरीको विद्युत सेवा ठप्प भएको छ । पोल, तार र ट्रान्सफरमरमा रुख ढलेर विद्युत अवरुद्ध हुन पुगेको नेपाल विद्युत प्राधिकरण जलेश्वरका प्रमुख माघवेन्द्र यादवले जानकारी दिए ।विद्युत सुचारुको लागि प्राविधिकहरुले काम गरिरहेको छ, प्रमुख माघवेन्द्र यादवले भने, बिहीबारसम्ममा जिल्लाभरीमा विद्युत सुचारु भइसक्छ । हावाहुरीले आँप खेती,तरकारी, खेती,बाटो अवरुद्ध,परवल खेतीमा क्षति पुयाएको माइस्थान चेरुका किसान ध्रुव घिमिरेले दुखेसो पोखे । जिल्ला कृषि विकास कार्यालय महोत्तरीका प्रमुख ओमप्रकाश विराजीका अनुसार, वैशाख ५ गते आएको हवाहुरीले जिल्लामा ४० प्रतिशत आँप खेतीमा क्षति पुयाएको छ । बुधबार रातिको हावाहुरीले २० देखि २५ प्रतिशते आँप झारेको छ ।वैशाख ५ गते आएको हावाहुरीमा परेर २ जनाले ज्यान गुमाएका थिए ।"""
"मोदीका लागि धमाधम कालोपत्रे र सरसफाइ","जनकपुर: भारतीय प्रधानमन्त्री नरेन्द्र मोदी वैशाख २८ गते आउने भएपछि जनकपुर नगर क्षेत्रमा धमाधम निर्माणको काम भइरहेको छ । मोदीको स्वागतका लागि जनकपुरको जानकी मन्दिर अगाडि कालोपत्रे गरिँदैछ । शुक्रबार हुने दर्शन कार्यक्रमलाई लक्षित गरी जानकी मन्दिर अगाडि द्रुतगतिमा कालोपत्रे गरिएको हो । त्यसैगरी मोदी आउने भएपछि मुस्ताङको मुक्तिनाथ परिसर क्षेत्रमा पनि धमाधम सरसफाइ गरिएको । त्यहाँ स्थानीयबासी र सुरक्षाकर्मी मिलेर सफाइ अभियान चलाएका हुन् । मोदी जनकपुरपछि वैशाख २८ मा मुक्तिनाथ पुग्दैछन् ।"
"एलजीले ल्यायो आवाजले नियन्त्रण गर्ने टेलिभिजन","काठमाडौं : एलजीले आवाजले नियन्त्रण गर्ने टेलिभिजन सार्वजनिक गरेको छ । दक्षिण कोरियामा सम्पन्न एलजी इनो फेस्ट २०१८ मा यस्तो टेलिभिजन सार्वजनिक भएको हो । कम्पनीको नयाँ टेक्नोलोजीको प्रदर्शनका लागि कोरियामा गरेका फेस्टिबलमा यस्तो टेलिभिजनसहित अन्य घरायसी सामानको प्रदर्शनी गरेको थियो । एलजीले नयाँ प्रविधिको प्रयोग गर्दै यो वर्षदेखि टेलिभिजन र एसीलगायतका सामानामा आर्टिफिसिएल इन्टेलिजेन्स प्रविधिको प्रयोग गरेको हो । यो प्रविधिले एलजीका सामान प्रयोगकर्ताको जीवनलाई सहज बनाउने विश्वास कम्पनीको छ । एलजीले ओएलइडी र सुपर यूएचडी टेलिभिजनमा एआई थिनक्यू प्रयोग गरेको छ । जसले टेलिभिजनलाई आवाजले नै नियन्त्रण गर्न सक्छ । एलजीको उत्पादनमा स्मार्ट थिनक्यू जडित घरायसी सामाग्री समेत रहेका छन् ।"
"""मोदी भ्रमण : जनकपुरमा दुई घण्टा","तीन कार्यक्रम"",""नरेन्द्र साउदअली असगर देवान काठमाडौं जनकपुर : भारतीय प्रधानमन्त्री नरेन्द्र मोदीले शुक्रबार जनकपुरमा दुई घण्टा बिताउने छन् । निकै व्यस्त भ्रमण तालिकासहित प्रदेश २ को अस्थायी राजधानी जनकपुरबाट सुरु हुने दुईदिने भ्रमणमा भारतीय प्रधानमन्त्री मोदीले जानकी मन्दिरमा पूजापाठ, रामायण सर्किटको उद्घाटन र जनकपुरअयोध्या बस सेवा उद्घाटन तथा नागरिक अभिनन्दन कार्यक्रममा सम्बोधन गर्ने तय भएको वीरगन्जस्थित भारतीय महावाणिज्य दूतावास कार्यालयका महावाणिज्यदूत बीसी प्रधानले जानकारी दिए । जानकी मन्दिरका महन्थका उत्तराधिकारी (छोटे महन्थ) रामरोशनदास वैष्णवले दिएको जानकारीअनुसार, प्रधानमन्त्री केपी ओली र भारतीय प्रधानमन्त्री मोदी दुवै जनाले पूजा गर्नसक्ने गरी मन्दिरले तयारी गरेको छ । तर मन्दिरमा मोदीलाई स्वागत गर्ने प्रधानमन्त्री ओलीले मोदीसँगै पूजा गर्ने वा नगर्ने एकीन जानकारी मन्दिरलाई छैन । मन्दिरका छोटे महन्थ वैष्णवले करिब आधा घन्टा मोदीले पूजा गर्ने अनुमान गर्दै भने, आधा घण्टाको पूजापछि प्रधानमन्त्री ओली र भारतीय प्रधानमन्त्री मोदीले रामायण सर्किटको संयुक्त उद्घाटन गर्ने कार्यक्रम रहेछ । त्यसलगत्तै जनकपुरअयोध्या बस सेवाको पनि दुई देशका प्रधानमन्त्रीले संयुक्त उद्घाटन गर्ने कार्यक्रम छ । जनकपुरका तीन वटै कार्यक्रम सकेपछि भारतीय प्रधानमन्त्री मोदी सीधै काठमाडौं जाने कार्यतालिका रहेको वीरगन्जस्थित भारतीय महावाणिज्य दूतावास कार्यालयले जनाएको छ । भारतीय प्रधानमन्त्री मोदी आफ्नै एटीआर विमानबाट जनकपुर अवतरण गर्ने जनकपुरस्थित मुख्यमन्त्री तथा मन्त्रिपरिषद्को कार्यालयले जनाएको छ । कार्यक्रम सकेलगत्तै उनी आफ्नै एटीआर विमानबाट काठमाडौं जाने भारतीय महावाणिज्य दूतावास कार्यालयका महावाणिज्यदूत बीसी प्रधानले जानकारी दिए । मोदीलाई टुँडिखेलमा सम्मान गारथ सरकारले भारतीय प्रधानमन्त्री मोदीलाई जनकपुर र काठमाडौंमा नागरिक अभिनन्दन गरिने जानकारी दिएको छ । परराष्ट्रमन्त्री प्रदीप ज्ञवालीले मोदीको भ्रमणबारे बुधबार संसद्लाई जानकारी गराउँदै मोदीलाई टुँडिखेलमा सम्मान गारथ जनाइने जानकारी दिए । भारतीय प्रधानमन्त्री मोदीले वैशाख २८ गते राष्ट्रपति विद्यादेवी भण्डारी, उपराष्ट्रपति नन्दबहादुर पुन र प्रधानमन्त्री ओलीसँग विविध विषयमा छलफल गर्ने जानकारी पनि उनले दिए । मन्त्री ज्ञवालीले मोदी भ्रमणका क्रममा जनकपुर अयोध्या सिधा बससेवा र रामायण सर्किटबारे सम्झौता हुने जानकारी दिए । भारतीय प्रधानमन्त्री मोदी र प्रधानमन्त्री ओलीले अरुण तेस्रो जलविद्युत आयोजनाको संयुक्त शिलान्यास गर्ने, मोदीले जनकपुर र मुक्तिनाथको भ्रमण गर्ने कार्यतालिका रहेको उनले बताए । त्यसअघि संसद्मा विशेष समय लिएर बोल्ने सांसदहरूले मोदीको भ्रमणबारे सरकारले सदनलाई जानकारी गराउन माग गरेका थिए । नेमकिपाका प्रेम सुवालले भारतीय प्रधानमन्त्री सिधै काठमाडौं नआई जनकपुर आउनु अमिल्दो भएको बताए । कुनै पनि देशको प्रधानमन्त्री आउँदा पहिला काठमाडौं आउनुपर्ने हो, उनले भने । पहिलोपटक ०७१ साउन १८ गते नेपाल आएका मोदीले संसद्मा सम्बोधनका क्रममा १ खर्ब ऋण दिने र भूकम्पपछि पुनर्निर्माणमा अर्को १ खर्ब दिने भनी प्रतिबद्धता जनाएको उल्लेख गर्दै उनले भने, तर घोषणा भएअनुसार एक रुपैयाँ पनि आएन भन्ने छ । सरकारले संसद्लाई जानकारी गराओस् । एमाले सांसद नरबहादुर धामीले कञ्चनपुरको सीमा क्षेत्रका नेपालीमाथि भारतीय सीमा सुरक्षा बल(एसएसबी)ले आतंक सिर्जना गरेको भन्दै नेपाल भ्रमणमा आउन लागेका भारतीय प्रधानमन्त्री मोदीसँग त्यसबारे छलफल गर्न सरकारको ध्यानाकर्षण गराए । कांग्रेसका देवेन्द्रराज कँडेलले भारतीय प्रधानमन्त्रीसँग गण्डक बाँधबाट भइरहेको डुबान समस्याबारे छलफल गर्न सरकारसँग माग गरे ।"""
"मुगुमा एनआइसीको एटिएम सेवा","गमगढी : सदरमुकाम गमगढीमा एनआइसी एसिया बैंकले बुधबारदेखि पहिलो पटक एटिएम सेवा सञ्चालनमा ल्याएको छ ।एक वर्षअघिबाट बैकिङ्ग सेवा सुरु गरेको एनआइसीले सदरमुकाम गमगढीको मिलन चौकमा एटिएम सेवा सुरु गरेको हो । शाखाले यस अघिनै होटल तथा पसलमा भीसा कार्डको सेवा विस्तार गरिसकेको थियो । जिल्लामा २ हजार ७ सय ५० जना यसका ग्राहक छन भने दुई सय पचासजनाले एटिएम कार्ड लिइसकेको बैंकका शाखा प्रमुख सुवास शाहीले जानकारी दिए । बैंकले शून्य मौज्दातमा खाता खोल्न सकिने र सुरुमा नै एटिएम कार्ड लिन चाहने ग्राहकले निशुल्क कार्ड पाउने व्यवस्था समेत गरेको छ । बैंकको यो शाखासहित देशका अन्य स्थानमा गरी एटिएम काउन्टरको संख्या २ सय छ ।"
"जहाँ दूध बेचेर पानी किन्नुपर्छ","काभ्रे : गर्मी बढेसँगै खानेपानीको समस्या भएपछि दूध बेचेर पानी किन्ने बाध्यता उत्पन्न भएको छ ।भूकम्पले पानीको मुहान सुक्दै गएपछि काभ्रेको देउपर नगरपालिकाका स्थानीय दूध बेचेर पानी किन्न बाध्य भएका हुन् ।मण्डन देउपुर नगरपालिका चण्डेनीमण्डनका स्थानीय बिहान बजारमा दूध बेच्ने र पानी किनेर फर्किने गर्छन् । भूकम्पले पानीको मुहान सुकेसँगै पानीको आवश्यक्ता पूरा गर्न दुध बेचेर पानी किन्ने गरेको स्थानीय हरिप्रशाद नेपालले बताए ।भूकम्पपछि चण्डेनीक्षेत्रको माथिल्लो बस्तीमा पानीको मुहान सुकेपछि पानीको हाहाकार भएको छ । ज्याम्दी, जैशीथोक, माहादेवस्थान र चण्डेनीमण्डनका करिब २० हजार परिवार दूध बेचेर पानी किन्न बाध्य छन् । काभ्रे मण्डनदेउपुर नगरपालिकाकी ३८ वर्षीया मिना श्रेष्ठ एक ग्रागी पानीका लागि दैनिक चार घण्टा बिताउँछिन् । भूकम्पले पानीको मुहान सुकेपछि एक गाग्री पानीका लागि कुवामा घण्टौं लाइन बस्नु उनको दैनिकीनै बनेको छ । नजिक रहेको पानीको मुहान सुकेपछि खानेपानीका लागि घरभन्दा चार घण्टाको दूरीबाट पानी ओसार्नुपर्ने बाध्यता रहेको श्रेष्ठले दुखेसो पोखिन् । 'एक गाग्री पानीका लागि पूरै बिहान चार बजेदेखि लाइन बस्न जान्छु, पालो आठ बजे आउँछ ।' उनले थपिन, ' कहिले त कुवामा पानी सकिएर रितै फर्कनुपर्छ ।' मिनाजस्तै तेमाल गाउँपालिकाकी फुर्पा लामा पनि एक गाग्रो पानीका लागि दैनिक पाँच घण्टा खर्चनुपर्ने गुनासो पोख्छिन् । 'हरेक दिन पानीका लागि संघर्ष गर्नुपर्छ, बिहान बेलुका चौसीसै घण्टा पानीको समस्या हुन्छ ।' उनले भनिन,'आधा रातमा पानी भर्न जानुपर्ने, त्यही पनि कहिलेकाहीँ त पाइँदैन ।'उनले पानीको अभावमा गाईवस्तुलाई जमेको आकाशेपानी तथा दुषित पानी खुवाउनुपर्ने बाध्यता रहेको गुनासो पोखीन् । पानीकै समस्याले विद्यालय छुट्ने गरेको ममता श्रेष्ठले बताइन ।'घण्टौ लगाएर पानी लिन जानुपर्छ कहिलेकाहीँ पालो कुर्दाकुर्दै ढिला हुन्छ,स्कुल छुट्छ ।' उनले थपिन, 'स्कुलमा समेत पानी नहुँदा समस्या परेको छ ।' भुकम्पपछि चौरीदेउराली र भुम्लु गाउँपालिकाका टोलमा खानेपानीको हाहाकार भएको छ ।पानीको अभावका कारण गाउँमा भूकम्प पछिको पुननिर्माणमा समेत समस्या भएको मण्डन देउपुर नगरापलिका चण्डेनीमण्डनका मदन पौडेलले बताए । उनले भने,'घर बनाउन सरकारले ताकेता गर्छ, पानीको समस्याले घर पनि बनाउन सकेका छैनौं, खानेपानी लिटरको ५ रुपैयाँ तिरेर खानुपर्छ, घर बनाउने पानी कहाँबाट ल्याउनु ।'जिल्ला खानेपानी तथा सरसफाई डिभिजन कार्यालयका अनुसार जिल्लामा करिब ५० हजार मानिस पानीको समस्याबाट प्रभावित भएका छन् । पानी तथा सरसफाइ कार्यालयका अनुसार भुकम्पले जिल्लामा खानेपानीमा ३२ प्रतिशत क्षति पुगेको तथ्यांक छ । जिल्लाको कोशीपारी, डाडापारी, तेमाल मण्डनदेउपुर क्षेत्रका सयौं गाउँमा खानेपानीको समस्या हुँदै आएको छ । कार्यालयका अनुसार भुकम्पबाट काभ्रे जिल्लामा ७० करोड ९३ लाख १३ हजारको बराबरको क्षति भएको छ । कार्यालयको पछिल्लो सर्वेक्षणअनुसार ७ सय ५० खानेपानी योजनामध्ये १ सय ९७ को मुहान सुकेको छ भने जसमा एक सय ८१ वटामा वैकल्पिक स्रोत रहेको र एक सय ७४ मा वैकल्पिक स्रोत नभएको कार्यालयको तथ्याङ्कमा उल्लेख छ । ५६ भन्दा बढी मुहान बाढीको जोखिममा र १ सय ६४ पहिरोको जोखिममा रहेको कार्यालयले जनाएको छ ।"
"उत्तर भारत र पाकिस्तानमा भूकम्पको झट्का","नयाँ दिल्ली: भारतको राजधानी दिल्ली र अर्को राज्य काश्मीर समेत उत्तर भारतमा बुधवार भूकम्पको कडा झट्का महसूस भएको छ । अफगानिस्तानतजाकिस्तानपाकिस्तानमा ६४ म्याग्निच्यूडको भूकम्प गएको हो । जसको असर भारतका उत्तरी राज्यमा पनि परेको हो । पाकिस्तानी सञ्चारमाध्यमका अनुसार दिउँसो ३ बजेर ४ मिनेटमा पृथ्वीको सतहभन्दा ९७ किलोमिटर तल भूकम्प गएको हो । तर यो भूकम्पबाट भएको भौतिक तथा मानवीय क्षतिको विवरण भने प्राप्त भएको छैन । अर्कातिर दिल्लीमा दिउँसो अचानक मौसम बद्लिँदै बादलले ढाकेको छ । हरियाणामा कयौँ जिल्लामा तीब्र गतिको हावा चलेको छ । मौसम विभागले दिल्ली र उत्तर भारतमा आँधी आउने चेतावनी दिएको छ । यसका अलावा उत्तराखण्डमा चारधाम यात्रा एक दिनपछि सुरु भएको छ ।"
