"शीर्षक","विवरण"
"डोनाल्ड ट्रम्पकिम जोङ उन भेटवार्ता सिंगापुरमा","काठमाडौँः अमेरिकी राष्ट्रपति डोनाल्ड ट्रम्प र उत्तर कोरियाली शासक किम जोङ उनबीच आगामी जुन १२ तारिखका दिन सिंगापुरमा शिखर बैठक हुने भएको छ । उत्तर कोरियामा बन्दी बनाइएका तीनजना नागरिकलाई वासिङ्गटनमा स्वागत गरेको केही घण्टापछि ट्रम्पले सामाजिक सञ्जालमा यस्तो घोषणा गरेका हुन् । ट्रम्प र किमबीचको शिखर बैठक उत्तर कोरिया र अमेरिकाका शीर्ष नेताबीचको पहिलो हुनेछ । ट्रम्पले यो बैठकमा उत्तर कोरियाली नेता किमलाई आणविक कार्यक्रम पुरै बन्द गर्न आग्रह गर्ने बताइएको छ । ट्रम्पको यो घोषणा विदेश मन्त्री माइक पेम्पोको उत्तर कोरिया भ्रमणको भोलिपल्ट आएको हो । पेम्पो उत्तर कोरियाबाट बिहीबार अमेरिका फर्किसकेका छन् । यसअघि किम चीनको भ्रमणबाट स्वदेश फर्किसकेका छन् । उनले चीनमा रहँदा राष्ट्रपति सी जिनपिङसँग भेटवार्ता गरेका थिए । त्यस क्रममा सीले चीनको मध्यस्थतामा उत्तर कोरिया र अमेरिकाबीच वार्ता भइरहेको खुलासा गरेका थिए । उत्तर कोरियाले आणविक कार्यक्रमबाट पछि हट्ने निर्णय गरेपछि दुई कोरियाबीच ६५ वर्षपछि मिलन भएको छ । यो मिलनसँगै कोरियाली प्रायद्वीपमा शान्ति हुने विश्वाससहित अमेरिकाले आफ्ना २८ हजार सेना दक्षिण कोरियाबाट फिर्ता लाने घोषणा गरिसकेको छ ।"
"जिल्ला प्रशासन डोल्पामा टोकन प्रणाली सुरु","दुनै,डोल्पा : जिल्ला प्रशासन कार्यालय डोल्पामा पहिलो पटक टोकन प्रणालीबाट सेवा सुरु गरेको छ ।जिल्ला प्रशासन कार्यालय डोल्पाले नागरिकलाई दिइने सेवा प्रभावकारी बनाउन नागरिक सहायता कक्षको स्थापना गरी टोकन सेवा सुरु गरेको हो । सेवा लिन आउने नागरिकले अब नागरिक सहायता कक्षबाट सबै जानकारी पाउने र टोकन लिएपछि नागरिक सहायता कक्षकै कर्मचारीले सहजिकरण गर्ने प्रमुख जिल्ला अधिकारी भुपेन्द्र थापाले जानकारी दिए । उनले भने,' नागरिकले जिल्ला प्रशासनमा आएर अलमलमा पर्नुपर्ने अवस्था रहने छैन र सेवाग्राहीलाई सम्बन्धीत फाटमा पठाएर सेवा प्रदान गरिने छ ।' दुईजनालाई टोकन सेवाबाट नागरिकता प्रदान गरी सेवा सुचारु गरिएको प्रमुख जिल्ला अधिकारी थापाले बताए ।उनका अनुसार छार्काताङसोङ गाउँपालिकाका रेन्जेन छोवेल गुरुङ र डिलबहादुर केसीलाई टोकन प्रणलीबाट नागरिक्ता प्रदान गरिएको जानकारी दिए । जिल्ला प्रशासनको पहिलो ढोकामै स्थापना गरिएको नागरिक सहायता कक्षमा पिउने पानीको व्यवस्था गरिएको छ । नागरिकको सेवामा कुनै पनि कमी हुन नदिने प्रमुख जिल्ला अधिकारी भुपेन्द्र थापाले बताए ।उनले भने,' हामीले दिने सेवामा कुनै कमी हुने छैन,सबै निकायका मर्मचारीलाई समेत निर्देशन दिइसके ।' पहिलो पटक नागरिक सहायता कक्षबाट सेवा पाएपछि सेवाग्राही भने खुसी देखिएका छन् ।"
"सैनिक र लिटिल एन्जेल्सको विजयी सुरुवात","भक्तपुर : आयोजक सैनिक, लिटिल एन्जेल्स र जेम्स स्कुलले बिहीबारदेखि भक्तपुरमा सुरु भएको १७ औं अन्तरस्कूल सैनिक रनिङ्ग शिल्ड फुटबल प्रतियोगितामा विजयी सुरुवात गरेका छन् । भक्तपुरको सल्लाघारीस्थित सैनिक खेल मैदानमा भएको उद्घाटन खेलमा आयोजक सैनिकले काठमाडौंस्थित अरुनिमा स्कुललाई ३० गोलले पन्छाएको हो । खेलमा निशान धानुकले खेलको २६ औं मिनेटमा पहिलो गोल गर्दै सैनिकलाई अग्रता दिलाएका थिए । खेलको दोस्रो हाफको ४८ औं मिनेट अरुनिमाका दिलीप शंकरले क्लियर गर्न लागको बल आफ्नै पोस्टभित्र छिराएपछि सैनिकको अग्रता दोब्बर भएको थियो । त्यस्तै खेलको ६० औं मिनेटमा उत्तम शाहीले अर्को गोल थप्दै आयोजक सैनिकको जीत सुनिश्चित गरेका थिए । प्रतियोगिताको अर्को खेलमा लिटिल एञ्जेल्सले डीएभीलाई ५१ गोलले पन्छाएको छ । विजेता लिटिल एन्जेल्सको लागि आर्यन राजभण्डारी एक्लैले पाँच गोल गरेका थिए । डीएभीको लागि आभास महर्जनले सान्त्वना एक गोल गरेका थिए । त्यस्तै जेम्सले ईपीएस स्कुललाई २० गोलले हराएको छ । जेम्सको लागि सुकेश कुँवरले खेलको ११ औं र विशाल साउदले १८ मिनेटमा एकएक गोल गरेका थिए । काभ्रेसहित काठमाडौं उपत्यकाका १७ वटा विद्यालयहरुको सहभागिता रहेको प्रतियोगिता लिगकम नकआउटको आधारमा खेलाइएको हो । जसअनुसार बिहीबार भएको अर्को लिग खेलमा एलआरआई र राजन मेमोरियलले गोलरहित बराबरी खेलेर अंक बाँडेका छन् । प्रतियोगिताका सहभागी स्कुलहरुलाई चार समूहमा बाँडिएको छ । सैनिक महाविद्यालयका स्पोर्टस् इन्चार्ज रञ्जित राणाका अनुसार प्रतियोगिताका विजेताले शिल्डसँगै नगद २० र र उपविजेताले शिल्डसँगै दस हजार नगद पुरस्कार प्राप्त गर्नेछन् ।"
"""बिख्यात पर्वतारोही बोयान पेट्रोभ बेपत्ता","उद्दार गर्न चीन जाँदै नेपाली टोली"",""काठमाडौँः बुल्गेरियाका विश्वविख्यात पर्वतारोही बोयान पेट्रोभ १० दिनदेखि बेपत्ता भएका छन् । तिब्बततर्फ रहेको ८०२७ मिटर अग्लो शिशापाङ्मा हिमाल चढ्ने क्रममा सात दिनदेखि बेपत्ता भएका पेट्रोभ बेपत्ता भएपछि प्रख्यात आरोहीको अवस्थालाई लिएर चिन्ता बढेको हो । ८ हजार मिटर अग्ला १४ वटा हिमालको सफलतापूर्वक आरोहण गरिसकेका आफ्ना प्रख्यात आरोही बेपत्ता भएपछि उनको खोजीका लागि बुल्गेरियाले चीन सरकारलाई आग्रह गरेको छ । चीन सरकारले आफ्नो पक्षबाट पेट्रोभको खोजीका लागि हरसम्भव प्रयास भइरहेको जनाउँदै नेपालको समेत सहयोग लिने जानकारी दिएको छ । चिनियाँ विदेश मन्त्रालयका प्रवक्ता गन सुआङले चीन सरकारले हिमालयमा बेपत्ता पेट्रोभको उद्दारका लागि सकेसम्म सबै प्रयास जारी राखिएको जनाएका छन् । चीन सरकार बुल्गेरियाली पर्वतारोही बोयान पेट्रोभलाई बचाउने हरेक कुरामा ध्यान दिइरहेको छ, उनले भनेका छन्, हामी उनलाई खोजी गर्ने हरसम्भव प्रयास गर्दैछौँ । चीनले बुल्गेरिया र छिमेकी नेपालको पनि समन्वय र सहयोगमा खोजी तीब्र बनाइएको जनाएको छ । गत ३ मेदेखि पेट्रोभ हिमालयबाट गायब भएका हुन् । ३ मेका दिन १४ वटा ८ हजार मिटर अग्ला हिमाल चुमिसकेका पेट्रोभ बेपत्ता भएपछि खोजीका लागि नेपाली टोलीसमेत चीनतर्फ जाने भएको छ । १० जना पर्वतारोहीको टोलीसहित शाशापाङ्गमा आरोहणका लागि हिँडेका पेट्रोभ ७५ सय मिटरको उचाईमा पुगेपछि बेपत्ता भएका थिए । पेट्रोभको खोजीका लागि खटिएको उद्दार टोलीले ६ मेका दिन उनी बेपत्ता भएको क्षेत्रबाट एउटा टेन्ट र स्लिपङ ब्याग भेट्टाएका थिए । तर खराब मौसमका कारण खोजी कार्य तत्कालका लागि चिनियाँ पक्षले रोकेको थियो । बोयान पेट्रोभका साथी राडोस्लाभा नेनोभाले साथीको खोजी गर्न अल्पानाइस्ट उद्दार अभियानका लागि आर्थिक संकलन अभियान थालिएको जानकारी दिए । फेसबुकमा नेनोभाले भनेका छन्, मलाई थाहा छैन, यो कदम कति उचित छ । बोयानको बचाउका लागि मैले आर्थिक अभियान सुरु गरेँ । यसबीचमा बिमा कम्पनीहरुबाट पनि रकम फिर्ता गर्नुपर्नेछ तर यो प्रक्रिया केही लाग्नेछ, मलाई अहिले नै जरुरी छ । रकम संकलनका लागि पेपल पनि सेयर गर्दैछु, यो प्रभावकारी होला । बुल्गेरियाका प्रधानमन्त्री बोय्को बोरिसोले पेट्रोभ हराएपछि मन्त्रिपरिषद्को बैठक बोलाएर उनको खोजीका लागि सारा शक्ति लगाउने बताएका छन् । हामी पेट्रोभका आफन्तसँग पुरा सम्पर्कमा छौँ । हामीले नेपाल र चीनका अधिकारीसँग पनि कुरा गरिरहेका छौँ, उनले भनेका छन्, नेपालबाट चीन जानका लागि चिनियाँ राजदूतमार्फत हेलिकोप्टरको रुट पनि मिलिसकेको छ । मलाई विश्वास छ पेट्रोभ जीवितै भेटिनेछन । बुल्गेरियाका विदेश मन्त्री एक्टेरिना जाहारेइभाले पेट्रोभ हराएको स्थानमा खोजी र उद्दारका लागि उच्च हिमाली क्षेत्रमा उड्ने हेलिकोप्टर भेटिएको बताएका छन् । उनका अनुसार धेरै उचाईमा उड्ने हेलिकोप्टर भेटिएकाले पेट्रोभको खोजीका लागि त्यसतर्फ भोलि नै पठाइने पनि बताएका छन् । मन्त्री एक्टेरिनाले पेट्रोभको खोजीका लागि चीनले हिमालय क्षेत्रम ६ जनाको टोली पठाइसकेको पनि बताएका छन् । तर मौसम खराब भएका कारण उनीहरु अघि बढ्न सकेका छैनन् । मौसममा सुधार भएपछि उद्दार टोली चाँडै क्याम्प टु मा पुग्ने पनि विश्वास लिए । नेपालबाट जाँदै सिम्रिकका हेलिकोप्टर पेट्रोभको खोजीका लागि शुक्रबार काठमाडौँबाट तीनवटा हेलिकोप्टर चीनतर्फ जाने भएका छन् । स्रोतका अनुसार काठमाडौँस्थित उच्च हिमालीक्षेत्रमा लामो समयसम्म उद्दारमा जुट्न सक्ने सिम्रिक एयरका तीनवटा हेलिकोप्टर हिमालयको चिनियाँ मोहडातर्फ जान लागेका हुन् । क्याप्टेनहरु आनन्द थापा, सुरेन्द्र पौडेल र सिद्धार्थ गुरुङ नेतृत्वको उद्दार टोली शुक्रबार चीनतर्फ जान लागेको हो । यो टोलीले यसअघि पनि उच्च हिमाली भेगमा दुर्घटनामा परेका हिमआरोही र पदयात्रीको उद्दार गर्दै आएको छ । हेलिकोप्टरलाई काठमाडौँस्थित चिनियाँ दूतावासमार्फत उडान अनुमति आइसकेको छ ।"""
"सिजीले ल्यायो नयाँ फ्रिज","काठमाडौं : इलेक्ट्रोनिक्स क्षेत्रमा नेपालमा उत्कृष्ट ब्राण्डको रुपमा परिचित सिजीले नयाँ मोडलका आकर्षक फ्रिज बजारमा ल्याएको छ । कम्पनीले बजारमा ल्याएका नयाँ फ्रिजमा ५ वर्षको वारेण्टीसहित विभिन्न अकर्षक उपहारको व्यवस्थ गरेको छ । हेर्दा आकर्षक देखिने फ्रिजमा बेस स्ट्याण्डमा ड्रोयरसमेत राखिएको छ । यो फ्रिजमा १२ घण्टासम्म खाना स्वच्छ र ताजा रहने कम्पनीको दाबी छ ।"
"तिवारी हत्या प्रकरणमा जन्मकैदको फैसला सुनाइएका मेयर पक्राउ","काठमाडौं : हिन्दू युवा महासंघका अध्यक्ष काशीनाथ तिवारीको हत्याको आरोपमा जन्मकैद सजाय सुनाइएका रौतहट कटहरीया नगरपालिकाका मेयर सियाराम कुश्वाह पक्राउ परेका छन् । बिहीबार राजधानीको शान्तिनगरबाट मेयर कुश्वाह पक्राउ परेको केन्द्रीय अनुसन्धान ब्यूरोका प्रमुख डीआईजी पुष्कर कार्कीले जानकारी दिए । तिवारीको हत्या अभियोगमा उच्च अदालतको अस्थायी इजलास वीरगन्जले गत फागुन २८ गते सियारामलाई दोषी ठहर गर्दै जन्मकैदको फैसला सुनाएको थियो । यसअघि तिवारीको हत्या अभियोगमा चार वर्ष पहिले नै पक्राउ परेका सियारामलाई पर्सा जिल्ला अदालतले तिवारीको हत्या अभियोगमा सफाई दिएपछि उनी रिहा भएका थिए । तर, चार वर्ष पहिलेको जिल्ला अदालतको उक्त फैसालालाई उल्टयाउँदै गत फागुन २८ गते उच्च अदालतको अस्थायी इजलास वीरगन्जले सियारामलाई जन्मकैदको फैसाला सुनाएको थियो । उच्च अदालतको वीरगन्ज इजलासका न्यायधिशद्वय लेखनाथ घिमिरे र नारायणप्रसाद श्रेष्ठको संयुक्त इजलाशले फागुन २८ गते नै सियरामलाई जन्मकैदको फैसला सुनाएको भएपनि अदालतले फैसला भएको झण्डै दुई महिनापछि मात्र गत मङगलबार सियरामलाई पक्राउ गरी बुझाउन जिल्ला प्रहरी कार्यालय रौतहटलाई पत्रचार गरेको थियो । उच्च अदालतको अस्थायी इजलाशले जन्म कैदको फैसला गरेपछि सियारामले सर्वोच्च अदालतमा पुनरावेदन गरेका थिए । अदालतले गत मङगलबार पक्राउ पुर्जी जारी गरेपछि सियारामले अदालतको फैसलापछि हाजिर हुन पाउने ७० दिनको म्यादको समय नसकिदैं अदालतबाट पक्राउ पुर्जी जारी हुनु दुखद भएको प्रतिक्रिया दिएका थिए । सरकारवादी फौजदारी मुद्दामा दोषी ठहर भई सजाय पाएका व्यक्तिले सरकारी कामकाजको जिम्मेवारी बहन गर्न नसक्ने कानुनी व्यवस्था भए पनि मेयर सियारामले पदमै बसेर कामकाज गर्दै आएका थिए । हालै सम्पन्न स्थानीय तहको निर्वाचनमा सियाराम रौतहटको कटहरीया नगरपालिकाको मेयरमा निर्वाचित भएका थिए । तिवारीको २०६७ साल असार १२ गते साँझ वीरगन्जको अशोकवाटिकास्थित शिव पार्वती मन्दिर परिसरमा गोली हानी हत्या गरिएको थियो । प्रहरीका अनुसार मोटरसाइकलमा मन्दिरमा पुगेका सियराम र बाराको हरैयाका अमनप्रसाद कुशवाहा मध्ये सियरामले पेस्तोलबाट गोली चलाएर तिवारीको हत्या गरेका थिए । हत्यापछि फरार रहेका सियरामलाई प्रहरीले तिवारीको हत्या भएको साढे तीन वर्षपछि २०७० साल पुस १ गते चितवनको भण्डराबाट पक्राउ गरेको थियो । तर, जिल्ला अदालत पर्साले उनी निर्दोष रहेको भन्दै सफाई दिएपछि उनी पक्राउ परेको एक महिनापछि नै रिहा भएका थिए । तिवारीको हत्यामा संलग्न बारा हरैयाका अमनलाई भने प्रहरीले २०६८ साल भदौ २२ गते पक्राउ गरेको थियो । उनी हाल वीरगन्ज कारागारमा छन् । अमनकै बयानका आधारमा प्रहरीले २०७० सालमा सियारामलाई पनि पक्राउ गरेको थियो ।"
"मोदी स्वागतको प्रतिक्षामा जानकी मन्दिर (फोटो फिचर)","काठमाडौं : भारतीय प्रधानमन्त्री नरेन्द्र मोदी नेपालको दुई दिने भ्रमणमा शुक्रबार जनकपुर आउदै छन् । प्रधानमन्त्री केपी ओलीको निमन्त्रणामा मोदी नेपाल आउन लागेका हुन् । मोदीले नेपाल भ्रमण प्रधानमन्त्रीका हैसियतमा तेस्रो पटक गर्न लागेका हुन् । मोदीको स्वागतमा विशेषगरी जनकपुरधाम सजिसजाउ भएको छ । त्यसमा पनि जानकी मन्दिर सुरक्षाकर्मीले नै नियन्त्रणमा लिएर मोदीका लागि पूजाआजाको सम्पूर्ण सुरक्षा तयारी अवस्थामा राखेका छन् । भारतबाट सिधै जनकपुर आएका मोदीले शुक्रबार सबैभन्दा पहिला जानकी मन्दिरमा पूजापाठ गर्ने कार्यक्रम रहेको छ । मोदीसँगै प्रधानमन्त्री केपी शर्मा ओलीले समेत जानकी मन्दिरमा पूजापाठ गर्दैछन् । त्यसैले जानकी मन्दिरको सुरक्षा व्यवस्था बिहीबारबाटै कडा पारिएको छ । अन्य भक्तजनलाई दर्शन र पूजापाठ समेत गर्न नदिई सुरक्षाकर्मीले मोदीको पुजापाठको सुरक्षा व्यवस्था मिलाएका छन् । बिहीबार साँझ यसरी विशेष सुरक्षा दिइएको जानकी मन्दिर क्षेत्रमा पुगेर अन्नपूर्णका फोटो पत्रकार विकास कार्कीले कैद गरेका १० तस्बिर :"
"कार्यालय समयमा तास खेल्ने सातजना सरकारी कर्मचारी पक्राउ","ओखलढुंगा : कार्यालयको काम छोडेर दिनभरी तास खेल्ने सातजना सरकारी कर्मचारी पक्राउ परेका छन् । सदरमुकामको एक होटलबाट तास खेलिरहेको अवस्थामा विभिन्न कार्यालयमा कार्यरत ६ जना सहयोगी स्तरका कर्मचारी र एकजना शिक्षकलाई प्रहरीले पक्राउ गरेको हो । बिहीबार मध्यान्न १२ बजेबाटै तास खेलेको सूचनाका आधारमा पुगेको प्रहरीले कर्मचारीलाई पक्राउ गरेको प्रमुख जिल्ला अधिकारी जनकराज पन्तले जानकारी दिए । तासको खालबाट नगद नौ हजार रुपैयाँ र तास बरामद भएको छ । पक्राउ पर्नेमा धर्मबहादुर खत्री, बुद्धिराज दाहाल, रामबहादुर खड्का, ढाकुरप्रसाद दाहाल र धर्मप्रसाद दाहाल रहेका छन् । उनीहरु सबै निजामती सेवाका सहयोगी स्तरका कर्मचारी भएको ट्रेड युनियनका अध्यक्ष राजन दाहालले जानकारी दिए । त्यस्तै अर्का रविन राजभण्डारी शिक्षक हुन् भने चोप नारायण खत्री अवकाश प्राप्त सरकारी कर्मचारी हुन् । उनीहरुलाई प्रहरीले पौने चार बजे सिद्धिचरण नगरपालिका ११ मा रहेको धर्म खत्रीको होटलबाट पक्राउ गरेको हो । चारजना खेलिरहेका र अन्य हेरिरहेको अवस्थामा पक्राउ परेको प्रहरीको भनाइ छ । प्रहरीले आगामी दिनमा जुवा तास नखेल्ने शर्तमा कागज गराएर छोडिदिएको छ । तास खेलेको ठाउँमा होटलबालालाई विमा गराउन गराएका संघीय समाजवादी फोरमका जिल्ला सचिव प्रकाश तामाङ समेत तास खेल्ने ठाउँमा भेटेपछि प्रहरीले प्रशासनमा बोलाएर कागज गराएको छ । कर्मचारीले समेत होटलमा बसेर कार्यालय समयमै ताल खेलेको थाहा पाएपछि प्रहरीले निगरानी बढाएको छ ।"
"मन्त्रालयले भुक्तानी नदिँदा क्यान्सर अस्पताल सकसमा","भक्तपुर : भक्तपुर क्यान्सर अस्पतालले स्वास्थ्य मन्त्रालयले विपन्न क्यान्सर बिरामीहरुको भुक्तानी नदिँदा अस्पताल सञ्चालन सकसपूर्ण रहेको जनाएको छ । अस्पतालले गएको मंसिरदेखि वैशाख २७ गतेसम्म १० करोड ३६ लाख रुपैयाँ स्वास्थ्य मन्त्रालयबाट गरिब तथा विपन्न क्यान्सर बिरामीहरुलाई दिइने एक लाख रुपैयाँको भुक्तानी पाउन बाँकी भएको जनाएको हो । अस्पताल व्यवस्थापन समितिका अध्यक्ष लोकेन्द्रकुमार श्रेष्ठले स्वास्थ्य मन्त्रालयले उक्त रकम भुक्तानी निकासा नगर्दा अस्पताल सञ्चालन गर्न धौधौ भएको गुनासो गरेका हुन् । अस्पतालले दसौं करोड रुपैयाँ ऋणको भार बोक्न नसक्ने उनको भनाइ थियो । उनले उक्त रकम चाँडै उपलब्ध नगराइए गरिब तथा विपन्न क्यान्सर बिरामीहरुको उपचार रोक्न अस्पताल बाध्य हुने चेतावनी दिए । गएको मंसिरदेखि बैशाख २७ गतेसम्म एक हजार ३६ जना गरिब तथा विपन्न क्यान्सर बिरामीहरुको भुक्तानी रोकिएको छ, अध्यक्ष श्रेष्ठले भने, पहिले एकदुई महिनामै भुक्तानी उपलब्ध हुन्थ्यो तर यसपटक ६ महिना हुन लाग्दा पनि भुक्तानी उपलब्ध गराइएको छैन । अस्पताल अत्यावश्यकीय सेवाको लागि भएकोले ऋण लिएर दैनिकी चलाउँदै आएको अस्पतालका मेडिकल डाइरेक्टर प्राडा ऋषिकेशनारायण श्रेष्ठ बताउँछन् । अस्पतालले चिकित्सक, नर्स, प्राविधिक तथा कर्मचारीहरुलाई तलब खुवाउनसमेत ऋण लिनुपर्ने अवस्था आएको छ, उनले भने, मन्त्रालयले चाँडै उक्त रकम भुक्तानी नदिए गरिब तथा विपन्न क्यान्सर बिरामीहरुलाई थप सेवा दिन सकिन्न । उनका अनुसार अस्पतालले दैनिक १० देखि १५ जना गरिब तथा विपन्न क्यान्सर बिरामीहरुको उपचार दिँदै आएको छ । गैरनाफामूलक भक्तपुर क्यान्सर अस्पताल जस्तोलाई ऋण बोकेर बिरामीको सेवा गर्न कठिन छ, मेडिकल निर्देशक प्राडा श्रेष्ठ भन्छन्, तैपनि हामीले ऋण बोकेरै सेवा दिइरहेका छौं । तर कहिलेसम्म भन्ने प्रश्न आउँछ । उनले अस्पताल आफै ऋणमा सञ्चालन भइरहेकोले धेरैलाई भुक्तानी रोक्नु परिरहेको बताए । पछिल्लो समय अस्पतालमा उपचारमा आउने बिरामीको चाप बढेको बढेयै छ । एकसय पचास शय्याको उक्त अस्पतालमा शय्याको कमीले बिरामीहरुलाई भर्ना नगरिकनै फर्काउन बाध्य भएको मेडिकल निर्देशक प्राडा श्रेष्ठ बताउँछन् । उनका अनुसार सन् २०१८ को जनवरीदेखि अप्रिलसम्म चार महिनाको अवधिमा पाँच हजार पाँच सय ७४ जना नयाँ बिरामी अस्पताल पुगेका छन् । अस्पताल पुगेका नयाँ बिरामीमध्ये एक हजार एकसय १५ जनामा क्यान्सर रोग लागेको पुक्ष्टि भएको मेडिकल निर्देशक प्राडा श्रेष्ठले जानकारी दिए । त्यस्तै चार महिनामा १८ हजार ६ सय ९४ जना बिरामी फलो अपको लागि अस्पताल पुगेको उनले जानकारी दिए ।"
"""सांसदको प्रश्न","भारतीय सेना नेपालमा किन ?"",""काठमाडौं: भारतीय प्रधानमन्त्री नरेन्द्र मोदीको सुरक्षाका लागि भन्दै भारतीय सेना नेपाल आएकोप्रति सांसदले विरोध जनाएका छन् । राष्ट्रियसभाको बिहीबारको बैठकमा सांसदले भारतीय सेनाका नेपाल आएको विषयमा सदनलाई जानकारी दिन सरकारको ध्यानाकर्षण गराएका हुन् । विशेष समयमा बोल्ने क्रममा सांसद उदया शर्मा पौडेलले भारतीय प्रधानमन्त्री नरेन्द्र मोदीको आसन्न नेपाल भ्रमणलाई लक्षित गरेर भारतीय सेना नेपाल भएको भन्ने विषयमा सरकारले जानकारी दिनुपर्ने माग गरेकी हुन् । यस्तै सांसद बिन्दादेवी रानाले भारतीय प्रधानमन्त्रीको आसन्न भ्रमणका बेला सीमा क्षेत्रमा भारतीय पक्षबाट भइरहेको अतिक्रमण र दुव्र्यवहारबारे कुरा उठाउन आग्रह गरिन् । उनले प्रबुद्ध समूहले हालसम्म गरेको कार्य प्रगति पनि सार्वजनिक गर्न माग गरिन् । उनले भनिन्, नेपालको सीमा विवाद र भारतीय अत्याचारबारे कुरा गर्नुपर्छ । यसअघि भारत भ्रमणका क्रममा समकक्षी मोदीसंग भएको वान टु वान वार्ताबारे पनि संसदलाई जानकारी गराइयोस् । यस्तै सांसद तारादेवी भट्टले कञ्चनपुरको पुनर्वास क्षेत्रमा भारतीय सुरक्षा बलले नेपालीमाथि आक्रमण गर्दै आएको भन्दै सरकारको ध्यानाकर्षण गराइन् । उनले भनिन्, कञ्चनपुरको प्यारा ताललाई कब्जा गर्ने उद्देश्यले भारतीय सुरक्षा फौजले आँखा लगाएको छ, यस्तै सीमावर्ती क्षेत्रमा भारतीय पक्षले नेपाली किसानको बालीनाली लुट्ने काम गरिहेको छ । यसैगरी, राष्ट्रिय सभा बैठकमा प्रस्तुत गरिएको विनियोजन विधेयकका प्राथमिकता र सिद्धान्तमाथि छलफल सुरु भएको छ । प्रमुख प्रतिपक्ष दल नेपाली कांग्रेसले विनियोजन विधेयकका प्राथमिकता र सिद्धान्त सरकारका नीति तथा कार्यक्रमका रुपमा आएको हुँदा सैद्धान्तिक अन्योल र प्राथमिकता दिशाहीन बन्न पुगेको टिप्पणी गरेको छ ।"""
