"शीर्षक","विवरण"
"भारतीय प्रधानमन्त्री मोदीसँग पूर्वप्रधानमन्त्रीको संयुक्त भेट","काठमाडौं : जनकपुरबाट नेपालको राजकीय भ्रमण सुरु गरेका भारतीय प्रधानमन्त्री नरेन्द्र मोदीले नेपालका पूर्वप्रधानमन्त्रीसँग संयुक्त भेटवार्ता गरेका छन् । शुक्रबार साँझ बत्तीसपुतलिस्थित होटल द्वारिकाजमा मोदीले पूर्वप्रधानमन्त्रीहरुसँग संयुक्त भेटवार्ता गरेका हुन् । मोदीसँगको भेटमा पूर्वप्रधानमन्त्रीहरु माधवकुमार नेपाल, भलनाथ खनाल, शेरबहादुर देउवा, पुष्पकमल दाहाल प्रचण्डमन्त्रिपरिषद्का पूर्व अध्यक्ष खिलराज रेग्मीलगायत सहभागी थिए । पूर्वप्रधानमन्त्रीसँगको भेटवार्ता दुई देशको हित र चासोको विषयमा केन्द्रित भएको थियो । त्यसअघि मोदीले प्रधानमन्त्री केपी शर्मा ओली, उपराष्ट्रपति नन्दबहादुर पुन, राष्ट्रपति विद्यादेवी भण्डारीसँग भेटवार्ता गरेका थिए । मोदी शुक्रबार बिहान नजकपुर हूँदै काठमाडौं आएका हुन् । जनकपुरमा जानकी मन्दिरको दर्शन गरेका मोदीलाई प्रदेश २ को सरकारले जनकपुरमा नागरिक अभिनन्दन गरेको थियो ।"
"यातायात व्यवसायीको दादागिरीः सिन्डिकेटको समाचार लेख्ने पत्रिका बसमा बोक्न प्रतिबन्ध","धरानः प्रदेश नम्बर एकका विभिन्न जिल्लामा सिण्डिकेटको आडमा यातायातका साधन चलाउँर्दै आएका धरानका यातयात व्यवसायीहरुको दादागिरी अझै उस्तै छ । सरकारले यातायातका साधन सञ्चालनमा व्यवसायीले लगाउँदै आएको सिण्डिकेट खारेज गरेको समाचार लेखेको भन्दै धरानबाट पाहाडी जिल्ला पठाउँदै आएका पत्रिका बोक्न व्यवसायीहरुले प्रतिबन्ध लगाएका छन् । धरानमा मुख्य कार्यालय खोलेर दर्ता गरिएका कोसी बस व्यवसायी संघका अध्यक्ष तथा यातायात व्यवसायी राष्ट्रिय महासंघका केन्द्रीय उपाध्यक्ष कृष्ण सुवेदी, पूर्वाञ्चल यातायात संघका अध्यक्ष सरोज श्रेष्ठ, संयुक्त बस व्यवसायी संघका अध्यक्ष नरेन्द्र पोमो र सप्तकोसी बस व्यवसायी संघका सचिव हरि थापाको नेर्देशनमा पाहाडी जिल्ला धनकुटा, तेह्रथुम, संखुवासभा र भाजपुर जिल्लाका विभिन्न स्थानमा जाने पत्रिका बोक्न प्रतिबन्ध लगाइएको हो । सरकारले यातायात व्यवसायीहरुलाई धरपकड गरी दुःख दिएको र सिण्डिकेटको समाचार धरा वाहिक प्रकासित गरी यातायात व्यवसायीहरुको बद्नाम गराएको भन्दै शुक्रवारदेखि सार्बजनिक सवारी साधनहरुमा अन्नपूर्ण पोस्ट्, कान्तिपुर, नागरिक र नयाँ पत्रिका लगायतका दैनिक पत्रिका बोक्न प्रतिबन्ध लगाएका मैनाली पुस्तक पसल धरानका सञ्चालक गोविन्द्र मैनालीले बताए । सार्वजनिक यातायातका साधनलाई पत्रिका बोके वापत दैनिक रकम भुक्तानी गरी सम्बन्धित पत्रिकाहरुले पाहाडी जिल्लाका सदरमुकाम तथा मुख्य बजारहरुमा प्रत्रिका वितरण गर्दै आएका छन् । मैनालीले शुक्रवार विहानै भानुचोकमा सदाझैँ बसमा पत्रिका पठाउन लाग्दा यातायात व्यवसायीहरुले सिण्डिकेटको समाचार लेख्ने कुनै पत्रिका आजदेखि नबोक्ने भन्दै आफुलाई बसमा चढ्न नै नदिएको गुनासो गरे । सार्बजनिक बसले पत्रिका बोक्न नमागेपछि धरान प्रहरीको सहयोगमा महंगो शुल्क तिरेर टाटा सुमोमा पाहाडी जिल्ला पत्रिका पठाएको उनले सुनाए । अन्नपूर्ण पोस्ट् दैनिकका प्रदेश एकका इन्चार्ज नरेश दाहालले पनि व्यवसायीहरुले पाहाडी जिल्ला चल्ने सार्वजनिक यातायातका साधनले पत्रिका बोक्न प्रतिबन्ध लगाएर सर्वसाधारणको सूचनाको हक खोसेको आरोप लगाए । नेपाल पत्रकार महासंघ सुनसरीका उपाध्यक्ष सन्तोष काफ्लेले सिन्डिकेटको समाचार लेखेको बहानामा व्यवसायीहरुले पत्रिका बोक्न प्रतिबन्ध लगाउनु सर्वसाधारणलाई सूचनाको हकबाट बञ्चित गराई सार्बजनिक अपराध गरेको आरोप लगाएका छन् । जनतालाई सूचनाको हकबाट बञ्चित गराई सार्बजनिक अपराध गर्ने व्यवसायीलाई कडा कारवाही हुनुपर्ने उनको माग छ । यातायात व्यवसायी राष्ट्रिय महासंघका केन्द्रीय उपाध्यक्ष कृष्ण सुवेदीले व्यवसायीहरुले दैनिक पत्रिका बोक्न प्रतिबन्ध लगाएकोबारे थाहा नभएको प्रतिक्रिया दिए । इलाका प्रहरी कार्यालय धरानका डिएसपी रामेश्वर पौडेलले सार्वजनिक बसहरुमा पत्रिका बोक्न प्रतिबन्ध लगाउनु गैह्रकानुनी भएको बताएका छन् । उनले नागरिकको सूचना पाउने हकलाई व्यवसायीले प्रतिबन्ध लगाई उनीहरुलाई पक्राउ गरी कानुन बमोजिम कारबाही गर्ने चेतावनी दिएका छन् ।"
"यो अवस्थामा ओली र मोदी","तस्बिर : अशोक दुलाल काठमाडौं : नौ सय मेगावाट क्षमताको अरुण तेस्रो जलविद्युत् आयोजनाको प्रधानमन्त्री केपी शर्मा ओली र भारतीय समकक्षी नरेन्द्र मोदीले संयुक्त रुपमा शिलान्याश गरेपछि शुक्रबार साँझ द्वारिका होटलमा एउटा रोचक दृश्य देखियो । अरुण तेस्रो शिलान्यास लगत्तै भारतीय प्रधनमन्त्री मोदी ओलीलाई अंकमाल गर्न अघि बढे । मोदी अघि बढेपछि ओली मोदीको अंगालोमा बेरिए । ओली र मोदीले अंकमाल गर्दा दुवै जनाको अनुहार देखिने गरी दुवैतर्फ कुममा टाउको राखेका थिए । त्यसपछि आयोजित संयुक्त पत्रकार सम्मेलनमा प्रधानमन्त्री ओली र भारतीय समकक्षी मोदीले सम्बोधन गरे । मोदीले विकास र समृद्धिका लागि भारत र नेपालको चाहना एक अर्काका पुरक भएको बताउन छुटाएनन् । जनकपुरबाट दुई दिने नेपाल भ्रमण गरेका मोदीलाई स्वागत गर्न शुक्रबार बिहान प्रधानमन्त्री ओली जानकी मन्दिरमा पुगेका थिए । मोदी काठमाडौं आएपछि सैनिक मञ्चमा आयोजित गार्ड अफ अनरको कार्यक्रममा समेत ओली र मोदीसँगै थिए । ओली र मोदीको औपचारिक भेटवार्ता भने द्वारिका होटलमा साँझमात्र भयो । ओली र मोदीले एक्लाएक्लै वार्ता गरेपछि दुई देशका प्रतिनिधिमण्डलको नेतृत्व गर्दै छलफल गरेका थिए । त्यसपछि ओली र मोदीले एक अर्काको आपसी सम्बन्ध मजबुत भएको देखाउन अरुण तेस्रोको शिलान्यास लगत्तै अंकमाल गरेका हुन् । त्यसपछि मोदी ओलीले द्वारिका होटलमा आयोजना भएको रात्रिभोजमा सहभागी भए । एउटै पोशाकमा ओली र मोदी (फोटो फिचर) सैनिक मञ्च टुँडिखेलमा ओली र मोदी (फोटो फिचर)"
"""मनाङलाई हराउँदै पुलिस दमक गोल्डकप च्याम्पियन","नगद १३ लाख जित्यो"",""दमकः प्रथम दमक गोल्डकप फुटबल प्रतियागिताको उपाधि विभागीय टोली नेपाल पुलिस क्लबले जितेको छ । शुक्रबार भएको फाइनल खेलमा बलियो प्रतिस्पर्धी मनाङ मस्र्याङदी क्लबलाई १० गोल अन्तरले पराजित गर्दै पुलिसले उपाधि जितेको हो । उपाधिसँगै पुलिसले नगद १३ लाख ११ हजार रुपैया प्राप्त गर्यो । अन्तिम समयमा मनाङ सम्हालिन नसक्दा उपविजेतामा सीमित भयो । उसले ६ लाख ११ हजार रुपैयाँमा चित्त बुझाउनु पर्यो । पहिलो हाफमा दुवै तर्फबाट कुनै गोल हुन सकेन । दोस्रो हाफको सुरुमै रेजिन सुब्बाले गरेको गोलले पुलिसलाई उपाधि दिलायो । खेलको सुरुवातदेखि नै पुलिस मनाङमाथि हाबी भएको थियो । खेल सुरु भएको दोस्रो मिनेटमा पुलिसका अभिषेक रिजालको हेड बल पोष्टको बायाँ बार छेउबाट बाहिरिएको थियो । त्यस्तै ११ औँ मिनेटमा पुलिसका सुमन लामाको फ्रीकिक मनाङका डिफेन्डरले मुश्किलले बचाएका थिए । ३४ औं मिनेटमा पाएको कर्नर बललाई पुलिसका रेजिन सुब्बाले प्रहार गर्न सकेनन् । त्यस्तै दोस्रो हाफको २३ औ मिनेटमा भिक्टोरको पासमा वान भर्सेस वानको स्थितीमा रहेका मनाङका अन्जन बिष्ट गोल गर्न चुकेका थिए । जितपछि पुलिसका प्रशिक्षक थापाले सबैले उत्कृष्ट खेल प्रर्दशन गरेकोले जित सुनिश्चित भएको बताए । शुक्रबार भएको खेलको म्यान अफ द म्याच पुलिसका अभिषेक रिजाल भए । उनले नगद ११ हजार प्राप्त गरे । त्यस्तै प्रतियोगिताको बेस्ट डिफेण्डर बिजेता टिम पुलिसका सन्तोष हेमरन, बेस्ट स्ट्राइकर पुलिसका रेजिन सुब्बा, बेस्ट मिडफिल्डर उपविजेता मनाङका सुजल श्रेष्ठ र उत्कृष्ट प्रशिक्षकमा पुलिसका अनन्त थापा घोषित भए । उनीहरु सबैले जनही २५ हजारसँगै मेडल र प्रमाणपत्र प्राप्त गरे । त्यस्तै सर्वाधिक गोलकर्ताको पुरस्कार संयुक्त रुपमा तीनतीन गोल गरेका आर्मीका नवयुग श्रेष्ठ, मदन भण्डारी स्पोर्टस् एकेडेमीका विदेशी खेलाडी अलावाले र एपीएफका हरी कार्कीले प्राप्त गरे । उनीहरु तीनैजनालाई २५ हजार रुपैयाँ संयुक्त रुपमा प्रदान गरियो । सर्वोत्कृष्ट खेलाडी पुलिसका गोलकिपर किरण चेम्जोङ घोषित भए । उनले टिभिएस कम्पनीको अपाची १६० सिसिको मोटरसाइकल प्राप्त गरे । गोल्डकप बैशाख १९ गतेदेखि सुरु भएको थियो । दमक नगरपालिकाले आयोजना गरेको गोल्डकपमा आयोजकसहित १० टिमको सहभागिता रहेको प्रचारप्रसार संयोजक चन्द्र खत्रीले जानकारी दिए । उपाधि विजेता टिमलाई गोल्डकप समापन कार्यक्रमका प्रमुख अतिथि अखिल नेपाल फुटबल संघ (एन्फा) का नवनिर्वाचित अध्यक्ष कर्माछिरिङ शेर्पाले नगद, ट्रफी र प्रमाणपत्र वितरण गरे ।"""
"बाथरुममा लडेर प्रदेश ४ का सभामुख गम्भीर विरामी","पोखराः चार नम्बर प्रदेशको प्रदेश सभाका सभामुख नेत्रनाथ अधिकारी शुक्रबार बाथरुममा लडेर गम्भीर विरामी परेका छन् । बाथरुममा लडेका उनको टाउकोमा लागेर गम्भीर चोट लागेको छ । आफ्नै निवासको बाथरुममा उनी लडेको थाहा हुनासाथ सहयोगीले उनलाई नजिकैको फेवासिटी अस्पताल लगेका थिए । फेवासिटीले मणिपाल शिक्षण अस्पताल लैजान सिफारिस गरेपछि लगत्तै त्यहाँ लगेर सघन उपचार कक्षमा भर्ना गरिएको छ । जिल्ला समन्वय समिति कास्कीका संयोजक बैनबहादुर अधिकारी क्षेत्रीका अनुसार मणिपालका डक्टरहरुले काठमाडौं लैजान सिफारिस गरेका छन् । तर हेलिकोप्टर उपलब्ध नहुँदा पोखरामै राखिएको छ । अधिकारीलाई शनिबार बिहानै लग्ने तयारी गरिएको उनले बताए । सभामुख अधिकारीको टाउकोमा रगत जमेको जानकारी डक्टरले दिएको संयोजक अधिकारीले सुनाए ।"
"अखण्ड नेपालको पक्षमा भारत : मोदी","काठमाडौं : भारतीय प्रधानमन्त्री नरेन्द्र मोदीले विकास र समृद्धिका लागि भारत र नेपालको चाहना एकअर्काको परिपूरक भएको बताएका छन् । शुक्रबार साँझ दुई देशका प्रधानमन्त्रीले आयोजना गरेको संयुक्त पत्रकार सम्मेलनमा भारतीय प्रधानमन्त्री मोदीले आर्थिक विकास र समृद्धिका लागि प्रधानमन्त्री केपी ओलीको अभियानमा सवा सय करोड भारतीय नागरिकको साथ र समर्थन रहेको बताए । राजधानीको बत्तीसपुतलीस्थित एक होटेलमा आयोजित संयुक्त पत्रकार सम्मेलनमा मोदीले भने, भारतका लागि सबका साथ सबका विकासको नारा र ओलीजीका लागि समृद्ध नेपाल, सुखी नेपालीको नारा एकअर्काका पूरक हुन् । नेपालको समावेशी र आर्थिक विकासका लागि भारतीयको साथ एवं समर्थन रहेको मोदीको प्रतिबद्धता छ । अघिल्लो महिना भारतमा भएको प्रधानमन्त्री ओलीको भ्रमण र आफ्नो भ्रमणका क्रममा दुई देशको विकासका लागि गम्भीर छलफल भएको उनले बताए । नेपालमा केन्द्र, प्रदेश र स्थानीय तहको चुनाव सम्पन्न भएको ऐतिहासिक समयमा आफूले नेपाल भ्रमण गरेको उल्लेख गर्दै मोदीले भने, नेपालको इतिहासमा यो समयलाई स्वर्णाक्षरमा लेखिनेछ । प्रधानमन्त्री ओलीको सरकार र अभियानलाई साथ र समर्थन रहने कुरा पटकपटक दोहोयाएका मोदीले भारत र नेपालबीचको सम्बन्ध दुई सरकारभन्दा निकै उचाइको रहेको पनि बताए । आर्थिक विकास र सामाजिक परिवर्तनका लागि ओली नेतृत्वको सरकारले निकै नै आशा र भरोसा जगाएको उनको भनाइ छ । अखण्ड, समृद्ध र सशक्त नेपालको आकांक्षामा भारतको पूर्ण समर्थन छ, उनले भने । ओलीको भारत भ्रमणका क्रममा भएका सम्झौता कार्यान्वयनको विषयमा विस्तारमा कुराकानी भएको मोदीले उल्लेख गरे । नेपाल ल्यान्डलक रहेन, ल्यान्डलिंक, वाटर लिंक हो भन्ने ओलीजीको भिजनमा हर प्रयास गर्ने प्रतिबद्धता व्यक्त गर्दछु, मोदीले भने । नेपालको कृषि क्षेत्रको विकासमा भारतीय र नेपालका कृषिमन्त्रीबीच कुराकानी हुने उनले बताए । दुई देशका प्रधानमन्त्रीको संयुक्त पत्रकार सम्मेलनअघि ओली र मोदीबीच एक्लाएक्लै र दुई देशका उच्चस्तरीय प्रतिनिधिमण्डलबीच भेटवार्ता भएको थियो । उच्चस्तरीय भेटवार्तामा नेपालका तर्फबाट गृहमन्त्री रामबहादुर थापा, परराष्ट्रमन्त्री प्रदीप ज्ञवाली, अर्थमन्त्री डा युवराज खतिवडा, स्वास्थ्य राज्यमन्त्री पद्मा अर्याललगायत सहभागी थिए । लगत्तै मोदीले सोही होटेलमा पुष्पकमल दाहाल, झलनाथ खनाल, मन्त्रिपरिषद्का पूर्वअध्यक्ष खिलराज रेग्मीलगायत पूर्वप्रधानमन्त्रीसँग सामूहिक छलफलसमेत गरेका थिए । पत्रकार सम्मेलनमा मोदीले रोड, रेलवे, पावर ट्रान्समिसन, तेलमार्गबाट दुई देशबीच कनेक्टिभिटी बढेको बताए । नेपाल र भारतबीचको खुला सिमानाको विशेष भूमिका रहेको र ती क्षेत्रमा अवाञ्छित गतिविधि हुन नदिने प्रतिबद्धता आफू र ओलीले व्यक्त गरेको मोदीको भनाइ छ । प्रधानमन्त्री ओली र आफू दुई देशको रक्षा र सुरक्षालाई अझ मजबुत बनाउन प्रतिबद्ध रहेको पनि उनले बताए । खुला सिमानासँग गहिरो आध्यात्मिक सम्बन्ध छ, मोदीले भने, यसैका माध्यमबाट हरेक वर्ष लाखांै भारतीय श्रद्धालु नेपाल आउँछन् । नेपालभारतबीचको भविष्यको सम्बन्धलाई आफूले निकै आशाका साथ हेरेको र ओली सरकारप्रति पनि आभार रहेको मोदीले औंल्याए । मोदीले आफ्नो मन्तव्यको वि श्राममा भने, भारत नेपाल मैत्री सम्बन्ध अमर रहोस् । उक्त अवसरमा प्रधानमन्त्री ओलीले भारतसँग विगतमा भएका सम्झौतालाई अघि बढाउने कुरामा भारतीय प्रधानमन्त्रीसँग सहमति भएको जानकारी दिए । कृषि, जलमार्ग र रेलमार्गमा द्विपक्षीय रूपमा काम अघि बढाउने सहमति भएको उनको भनाइ छ । कृषिक्षेत्रको सहकार्यका लागि दुवै देशका कृषिमन्त्रीबीच छिट्टै भेटघाट हुने पनि ओलीले जानकारी दिए । पावर टेडमा भएको सहमतिलाई दुवै पक्षले पालना गर्ने छन् । भारतसँगको व्यापार घाटाका विषयमा भने दुवै पक्षले छलफल गर्ने ओलीको भनाइ छ । अंग्रेजीमा लिखित मन्तव्य राखेका प्रधानमन्त्री ओलीले सन् २०१६ मा भारतले गरेको अमौद्रिकीकरणले नेपालमा पारेको असरबारे सहमतिको मार्ग खोज्ने गरी द्विपक्षीय छलफल भएको जानकारी दिए । नेपालमा जलमार्ग विकासको सम्भाव्यता अध्ययन गर्न भारतले एक टोली नेपाल पठाउने जानकारी गराएको ओलीले बताए । यस्तै नेपालले भारतँग अतिरिक्त चार हवाई नाकाका लागि पहल गरेको र त्यस विषयमा छलफल गर्न सहमति भएको उनको भनाइ छ । दुई प्रधानमन्त्रीले संयुक्त पत्रकार सम्मेलन गर्नुअघि ९०० मेगावाट क्षमताको अरुण तेस्रो जलविद्युत् आयोजनाको संयुक्त रूपमा शिलान्याससमेत गरे । भारतीय कम्पनी सतलजले निर्माण गर्न लागेको यो आयोजनाको दुवै प्रधानमन्त्रीले काठमाडौंमै स्विच अन गरेर शिलान्यास गरेका हुन् । दुई प्रधानमन्त्रीबीच भक्तपुरको क्यान्सर अस्पताललाई भावटोन रेडियो थेरापी मेसिन राख्न भारतले सहयोग गर्ने समझदारी पनि भएको छ । दुई प्रधानमन्त्रीबीच नयाँभन्दा पुरानै सहमतिसम्झौता कार्यान्वयनका विषयमा केन्द्रित रहेर छलफल भएको थियो । उपराष्ट्रपतिबाट राजनीतिक भेट सुरु भारतीय प्रधानमन्त्री मोदीले उपराष्ट्रपति नन्दबहादुर पुनबाट राजनीतिक भेटवार्ता सुरु गरेका थिए । टुँडीखेलमा गार्ड अफ अनरपछि मोदी र उपराष्ट्रपति पुनबीच उपराष्ट्रपति कार्यालय बहादुर भवनमा पौने एक घण्टा कुराकानी भएको थियो । त्यस क्रममा उपराष्ट्रपति पुनले परापूर्वकालदेखिको नेपालभारतबीचको सौहार्द एवं सहयोगात्मक सम्बन्ध भारतीय प्रधानमन्त्रीको कार्यकालको तेस्रो पटकको नेपाल भ्रमणले अझै बलियो र प्रगाढ बनाउने विश्वास व्यक्त गरेका थिए । दुई देशबीचको उच्चस्तरीय निरन्तर भ्रमणले सम्बन्धमा उच्च विकास र भावनात्मक रूपमा निकटता ल्याउने गरेको उल्लेख गर्दै उपराष्ट्रपति पुनले नेपालको समृद्धिमा भारत सधैं सहयोगी हुने विश्वास व्यक्त गरेको उपराष्ट्रपति कार्यालयले जानकारी दिएको छ । भेटमा उपराष्ट्रपति पुनले बलियो र समृद्ध नेपालले मात्रै भारतलाई साथ दिन सक्ने उल्लेख गरेका थिए । त्यसैले नेपालको व्यापार घाटा कम गर्दै आर्थिक रूपमा समृद्ध बन्न भारतको सहयोग चाहिने उनको भनाइ छ । उपराष्ट्रपतिले खुला सीमाका कारण उत्पन्न हुने दुई देशबीचको समस्या समाधानका लागि सीमास्तम्भ निर्माण अघि बढेकोमा समेत खुसी व्यक्त गरेका थिए । उपराष्ट्रपतिसँगको भेटमा भारतीय प्रधानमन्त्री मोदीले नेपालको विकास र समृद्धिका लागि सहयोग गर्न भारत सधैं तयार रहेको बताएका थिए । दुई देशबीचको सहकार्यलाई अझै फराकिलो बनाउनुपर्ने बताउँदै मोदीले भारत र नेपालबीच सहकार्य भए जस्तोसुकै काम पनि गर्न सकिने धारणा राखेको उपराष्ट्रपति कार्यालयद्वारा जारी विज्ञप्तिमा उल्लेख छ । उपराष्ट्रपतिपछि मोदीले राष्ट्रपति विद्यादेवी भण्डारीसँग शिष्टाचार भेटवार्ता गरेका थिए । राष्ट्रपति कार्यालय शीतल निवासमा भएको भेटमा नेपाल र भारतबीचको सम्बन्ध एवं आपसी हित र चासोका विषयमा कुराकानी भएको राष्ट्रपति कार्यालयका प्रवक्ता झवीन्द्र पराजुलीले जानकारी दिए । मोदीलाई गार्ड अफ अनर भारतीय प्रधानमन्त्री मोदीलाई नेपाली सेनाले टुँडीखेलमा सम्मान गारद गार्ड अफ अनर दिएको छ । यसअघि विशिष्ट पाहुनालाई अन्तर्राष्ट्रिय विमानस्थलमै गार्ड अफ अनर दिने गरिन्थ्यो । तर केही महिनाअघि मात्र नेपाल आएका पाकिस्तानी प्रधानमन्त्री शाहिद खकान अब्बासीलाई टुँडीखेलमै गार्ड अफ अनर दिइएको थियो । पाकिस्तानी प्रधानमन्त्रीपछि टुँडीखेलमा गार्ड अफ अनर पाउने मोदी दोस्रो विशिष्ट पाहुना हुन् । मोदीलाई सेनाले गार्ड अफ अनर दिने कार्यक्रममा प्रधानमन्त्री ओली पनि सहभागी थिए ।"
"मोदी काठमाडौं आइपुग्दा सर्वसाधारण यसरी बाटोमै रोकिए (फोटो फिचर)","तस्बिर : सुनिता डंगोल काठमाडौं : भारतीय प्रधानमन्त्री नरेन्द्र मोदी दुई दिने भ्रमणका लागि नेपाल आएका छन् । यस पटक मोदीले नेपाल भ्रमण जनकपुरबाट गरेका हुन् । शुक्रबार दिउँसो मोदी साढे तीनबजे जनकपुरबाट काठमाडौं आइपुगेका छन् । मोदी त्रिभुवन अन्तराष्ट्रिय विमानस्थलबाट सिधै बौद्धस्थित ह्यात होटल पुगेका छन् । मोदीको सवारीका लागि राजधानीका सडकमा बाक्लो संख्यामा सुरक्षाकर्मी परिचालन गरिएको छ । तस्बिरमा हेर्नुहोस् मोदीको सवारी समयमा सर्वसाधारण कसरी बाटोमै रोकिए :"
"मोदीसँग मुख्यमन्त्री राउतको गुनासो: राज्यले हेपेर गरिब र पीडित भयौँ","बिहारको बाढीप्रति पनि चिन्ता जनाए काठमाडौँ: प्रदेश नम्बर २ का मुख्यमन्त्री लालबाबु राउतले नेपाल सरकारले हेपेर आफूहरु गरिब भएको गुनासो भारतीय प्रधानमन्त्री नरेन्द्र मोदीसँग गरेका छन् । जनकपुरमा मोदीको नागरिक अभिनन्दन कार्यक्रमलाई लिखित सम्बोधन गर्दै राउतले देशको सार्वभौमसत्ता र राष्ट्रिय अखण्डतालाई समेत बिर्सिँदै आफूहरु गरिब र पीडित भएको भन्दै गुनासो पोखेका हुन् । उनले लिखित वक्तव्यमा राज्यले मधेसी जनताप्रति विभेदकारी नीति, पूर्वाग्रह र विद्वेषपूर्ण व्यवहार गरेका कारण मधेसका जनता अत्यधिक गरिबी, बेरोजगारी, अभाव, शोषित र उत्पीडित जीवन जीउन विवश भएको भन्दै मोदीसँग गुहार मागेका छन् । विकासको मामिलाम मधेस पछि परेको उल्लेख गर्दै मुख्यमन्त्री रावतले भनेका छन्, 'विभेदकारी संविधान र प्रादेशिक अधिकारको लागि हाम्रो संघर्ष जारी छ ।' उनले राज्य हरेका क्षेत्रमा क्षमता र योग्यताका आधारमा जुनसुकै जाति, वर्ग र समुदायका जनतालाई योग्यता क्षमताको आधारमा अवसर मिल्नु पर्ने पनि बताएका छन् । 'हामी नेपालकै अभिन्न अंग हौँ, तर हामी चाहन्छौँ, हाम्रो देशमा पनि भेदभावबिना जुनसुकै जाति, वर्ग र समुदायका जनतालाई अवसर मिलोस', उनले भनेका छन्, 'जबकि तपाईँ एउटा समान्य परिवारको व्यक्ति आज भारतको सर्वोच्च कार्यकारी पदमा बिराजमान हुनुहुन्छ ।' उनले कृषि क्षेत्रमा प्रदेश २ ले क्रान्ति गर्न चाहेको बताउँदै सहयोग गर्न पनि मोदीसँग अपिल गरको छन् । राउतले नेपालभारत सीमाक्षेत्र नेपाली भूभाग डुबेको भन्दा बढी चिन्ता विहारको गरेका छन् । 'बाढीका कारण प्रदेश २ मात्र होइन, विहारको विभिन्न भूभागमा जनमालमा भारी नोक्सान भइरहेको छ', उनले भनेका छन्, 'प्रदेश २ का कोशी, कमला, बागमती, रातो बिगही, खाँडो र बलानको उचित व्यवस्थ गर्न सकेमा नेपाल र भारत दुवै क्षेत्रमा बाढी समस्या समाधान हुने आशा प्रकट गरको छन् ।'"
"उपराष्ट्रपति पुन र भारतीय प्रधानमन्त्री मोदीबीच शिष्टाचार भेट","काठमाडौं : उपराष्ट्रपति नन्दबहादुर पुन पासाङसँग भारतीय प्रधानमन्त्री नरेन्द्र मोदीले शिष्टाचार भेट गरेका छन् । शुक्रबार साँझ साढे पाँच बजे मोदी उपराष्ट्रपतिलाई भेट्न बहादुर भवन पुगेका हुन् । उपराष्ट्रपतिसँगको भेटमा मोदीले दुई देशको सम्बन्ध, राजनीतिक विकासक्रम, दुई देशको विकास, शान्ति र समृद्धिका विषयमा छलफल गरेका छन् । शुक्रबार मोदीले जनकपुरबाट नेपालको राजकीय भ्रमण सुरु गरेका हुन् । जनकपुमा जानकी मन्दिरको दर्शन, नागरिक अभिन्नदन समारोहमा सहभागी भएका मोदी शुक्रबार साढे तीनबजे काठमाडौं आएका हुन् । काठमाडौं आए लगत्तै बौद्धस्थित ह्यात होटलमा केहीबेर आराम गरेर मोदी गार्ड अफ अनरको सम्मानका लागि टुँडिखेल पुगेका थिए । त्यस लगत्तै उपराष्ट्रपति कार्यालयमा पुगेका मोदीले नन्दबहादुर पुनसँग भेटवार्ता गरेका हुन् । केही बेरमै राष्ट्रपति विद्यादेवी भण्डारीसँग भेटवार्ता गर्नेछन् ।"
