"शीर्षक","विवरण"
"राज्यमन्त्रीलाई पक्राउ गर्न उच्च अदालतको आदेश","जनकपुरधाम : सशस्त्र प्रहरीका असई थमन विकको हत्यामा संलग्न भएका आरोपितलाई पक्राउ गर्न उच्च अदालत धनुषाले परमादेश जारी गरेको छ । सशस्त्र प्रहरी बल महोत्तरी जलेश्वरमा कार्यरत विकलाई २०७२ भदौ २५ गते मधेस आन्दोलनका क्रममा आन्दोलनकारीले निर्घात कुटपिट गरी अस्पताल लाने क्रममा एम्बुलेन्सबाट थुतेर हत्या गरेका थिए । घटनामा संलग्न रहेका अभियुक्तमध्ये अधिकांश राजनीतिक दलमा आबद्ध भएकाले प्रहरीले पक्राउ गर्ने आँट गरेको छैन् । हत्या अभियुक्त मध्येका एक अभिराम शर्मा प्रदेश २ का सामाजिक विकास राज्यमन्त्री हुन् । कर्तव्य ज्यान मुद्दाका फरार अभियुक्त रहेका शर्मालाई अहिले सशस्त्र प्रहरीकै सुरक्षा छ । बुधबार उच्च अदालतले उनलाई पक्राउ गर्न प्रहरीको नाममा परमादेश जारी गरेको छ । हत्या गरिएका असई विककी श्रीमती शोभा गहतराजले उच्च अदालत जनकपुरमा दिएको निवेदनमाथि सुनवाइ गर्दै न्यायाधीश माधवप्रसाद पोखरेल र डा रविशर्मा अर्यालको संयुक्त इजलासले बुधबार जिल्ला प्रहरी कार्यालय महोत्तरी र कार्यालयका प्रमुखको नाममा परमादेश जारी गरेको हो ।फैसला बुधबार आएपनि पूर्णपाठ भने बिहीबार मात्र आएको उच्च अदालतका स्रेस्तेदार मानबहादुर कार्कीले जानकारी दिए । महोत्तरी जिल्ला अदालतबाट असई विकको हत्याकाण्डमा संलग्न २५ जनाका नाममा वारेण्टसहितको म्याद जारी भएको छ । न्यायपूर्ण समाजको स्थापनाको लागि शान्ति सुरक्षा र अमनचयन कायम गर्ने जिम्मेवारी लिएको सक्षम निकायले आफैद्वारा अभियोजित कर्तव्य ज्यान जस्तो मुद्दाका प्रतिवादीलाई आफ्नै अगाडि खुलेआम रहेको स्थितिलाई नजर अन्दाज गर्नुलाई कानुनको धज्जी उडेको, दण्डहिनताले प्रश्रय पाएको, कानुनको अगाडि सबै समान नरहेको एवं राज्य व्यवस्थाले गति नलिएको अर्थमा समाजले हेर्ने हुँदा कानुन परिपालनको लागि अदालतबाट वारेण्ट जारी भएका प्रतिवादीलाई अविलम्ब पक्राउ गरी अदालत समक्ष उपस्थित गराउनू, परमादेशमा उल्लेख गरिएको छ ।"
"जुडो टोली थाइल्यान्ड प्रस्थान","काठमाडौं : थाइल्यान्ड इन्टरनेसनल जुडो नर्थ बैंकक युनिभर्सिटी च्याम्पियनसिपमा सहभागी हुन १४ सदस्यीय नेपाली जुडो टोली बिहीबार थाइल्यान्डको बैंकक प्रस्थान गरेको छ । इन्डोनेसियामा हुने १८औं एसियाली खेलकुदको तयारीलाई ध्यानमा राखी बैंकक गएको टोलीमा एसियाडका लागि छनोट भएका सात खेलाडीसहित १० खेलाडीले अगस्ट ४ र ५ मा हुने प्रतियोगितामा नेपालको चुनौती प्रस्तुत गर्नेछन् । पुरुष ६६ केजीमुनि इन्द्रबहादुर श्रेष्ठ, ७३ केजीमुनि सञ्जित डंगोल, ९० केजीमुनि श्रीराम मकाजू, १०० केजीमाथि रविन श्रेष्ठ, ६० केजीमुनि उमेश मगर र ८१ केजीमुनि सञ्जय महर्जनले प्रतिस्पर्धा गर्नेछन् । यसैगरी महिला ५२ केजीमुनि देविका खड्का, ५७ केजीमुनि मनीता श्रेष्ठ प्रधान, ७८ केजीमुनि पुनम श्रेष्ठ र ४८ केजीमुनि सुमित्रा राईले भाग लिनेछन् । सुमित्रा, उमेश र सञ्जयबाहेक सबै एसियाडमा छनोट भएका खेलाडी हुन् । एसियाडकै लागि छनोट भएकी १२औं सागकी स्वर्णधारी फुपूल्हामु खत्री भने बैंकक टोलीमा समावेश नहुने नेपाल जुडो संघका अध्यक्ष दीपकहर्ष वज्राचार्यले जानकारी दिए । फुपू एसियाडका साथै टोकियो ओलम्पिकको विशेष तयारीका लागि हाल जापानमा छिन् । टोलीको प्रशिक्षकमा डान तेलेर्का, चन्द्र डंगोल र देवु थापा तथा व्यवस्थापकमा सुरथकाजी डोटेल रहेका छन् । टोलीलाई राष्ट्रिय खेलकुद परिषद्का सदस्यसचिव केशवकुमार विष्टले बिहीबार बिदाइ गरे । बिदाइ कार्यक्रममा सदस्यसचिव विष्टले इन्डोनेसिया एसियाडमा पदक जित्ने खेलाडीका लागि विशेष पुरस्कारको तयारी परिषद्ले गरिरहेको बताए । एसियाडमा पदक जित्ने खेलाडीलाई सरकारको तर्फबाट पुरस्कृत र सम्मान गर्ने कार्यविधि त छँदै छ । त्यस बाहेकको पुरस्कारका विषयमा पनि हामीले छलफल गरिरहेका छौं, सदस्यसचिव विष्टले भने । विष्टले जुडो पदकको आशा गरिएको खेलमा राखिएको बताउँदै खेलाडीलाई उत्कृष्ट प्रदर्शन गर्न शुभकामना दिए । यसैगरी जुडो संघका अध्यक्ष वज्राचार्यले एसियाड टोलीको वैदेशिक प्रशिक्षण हंगेरीको बुढापेस्टमा हुने बताए । एसियाड जुडो टोलीलाई वैदेशिक प्रशिक्षणका लागि हंगेरीमा लाने तयारीमा छौं । हाम्रो चाहना खेलाडीले त्यहाँ प्रशिक्षणका साथै प्रतियोगितामा पनि सहभागी हुन पाऊन् भन्ने हो । किनकि प्रतियोगिता नै खेलाडीको स्तर मापन गर्ने आधार हो, अध्यक्ष वज्राचार्यले भने ।"
"इमरान खानको शपथमा विदेशी नेतालाई नबोलाइने","इस्लामावाद : पाकिस्तानका नवनिर्वाचित प्रधानमन्त्री इमरान खान ११ अगस्टमा शपथ लिँदैछन् । उनले यस अवसरमा विदेशी राष्ट्राध्यक्ष र उच्च नेताहरुलाई बोलाउने निर्णय लिएका थिए । तर अब उनले छिमेकी देश भारतका प्रधानमन्त्री नरेन्द्र मोदीसहित कुनै विदेशी नेतालाई नबोलाई सामान्यरुपमा सपथ लिने भएका छन् । उनको पार्टी तहरिकएइन्साफको तर्फबाट यसबारेमा एउटा विज्ञप्ती पनि निकालिएको छ । पार्टीका अनुसार अब कुनै पनि उच्च विदेशी नेतालाई नबोलाई इमरानले शपथग्रहण गर्नेछन् । यो पुर्णरुपमा राष्ट्रिय कार्यक्रम हुनेछ । सपथमा इमरानले केही निकट साथीलाई मात्रै बोलाएका छन् । सुरुमा खानले पूर्व भारतीय क्रिकेटर नवजोत सिंह सिद्धु, सुनिल गावस्कर र कपिल देवलाई बोलाएको समाचार आएको थियो । सिद्धुले उनको निमन्त्रणा स्वीकार गर्दै आफू यसमा सामेल हुन पाकिस्तान जाने बताएका थिए । उनले यसलाई आफ्नो सम्मानको कुरा पनि भनेका थिए ।"
"संघीय संसद् : बल्ल बने समिति","काठमाडौं : पहिलो अधिवेशन प्रारम्भ भएको झण्डै ५ महिनापछि संघीय संसद् (प्रतिनिधिसभा र राष्ट्रियसभा) का विषयगत समिति गठन भएका छन् । सभामुख कृष्णबहादुर महराले प्रतिनिधिसभाको बिहीबारको बैठकमा १० वटा विषयगत समितिका सदस्यको नामावली घोषणा गरे भने राष्ट्रियसभा अध्यक्ष गणेश तिमिल्सेनाले पनि बिहीबार नै राष्ट्रियसभा बैठकमा ४ वटा विषयगत समितिका सदस्यको नामावली घोषणा गरे । दुवै सदनको संयुक्त समिति संसदीय सुनुवाई विशेष समिति यसअघि नै गठन भइसको छ । संसद्को पहिलो अधिवेशन फागुन २१ बाट सुरु भएपनि चालु दोस्रो अधिवेशनले नियमावली बनाएपछि मात्र समिति गठनको बाटो खुलेको हो । मिनी पार्लियामेण्ट मानिने विषयगत समिति गठन नहुँदा संघीय संसद्को काम कारबाही प्रभावकारी हुन सकेको थिएन । सांसदहरू पनि फुर्सदिला बनेका थिए । मौलिक हक सम्बन्धी दर्जनौ विधेयकहरू संसद्मा पठाउने सरकारको तयारीसँगै विषयगत समिति गठन भएका हुन् । असोज २ भित्र मौलिक हक सम्बन्धी ऐनहरू संसद्ले बनाइसक्नुपर्ने संवैधानिक सीमा छ । सभापतिमा दलीय भागबण्डाको विवादले लामो समयदेखि समिति गठन हुन सकेका थिएनन् । झण्डै दुई तिहाइको नजिक रहेको नेकपाले प्रमुख विपक्षी कांग्रेसलाई लेखा समिति सभापति मात्र दिने अडान राखेको थियो भने ४ वटा समितिको सभापति नपाए आफ्ना सांसदको समितिगत नामावली नबुझाउने चेतावनी कांग्रेसले दिएको थियो । सभामुख महरा र राष्ट्रियसभा अध्यक्ष गणेश तिमिल्सेनाले समिति गठनको अधिकार आफुसँग भएको भन्दै नाम नदिए आफैं समितिको घोषणा गरी अघि बढ्ने चेतावनी दिएपछि कांग्रेसले दुवै सदनका समितिका सदस्यहरूको नामावली बिहीबार बुझाएको संसद् सचिवालय स्रोतले बतायो । कांग्रेस प्रमुख सचेतक बालकृष्ण खाँणले समिति सभापतिका लागि सहमति नजुटे पनि कांग्रेसले नामावली बुझाएको जानकारी दिए । नेकपाका भानुभक्त ढकालले समिति गठनको प्रक्रिया अघि बढाउने र सभापतिबारे छलफल गर्दै जाने समझदारी कांग्रेससँग बनेको बताए । सभामुख महराले घोषणा गरेअनुसार प्रतिनिधिसभातर्फ राज्यव्यवस्था, अन्तर्राष्ट्रिय सम्बन्ध र विकास तथा प्रविधि समितिमा शीर्ष नेताहरू रहेका छन् । नेकपाका अध्यक्ष पुष्पकमल दाहाल राज्य व्यवस्था समितिको सदस्य बनेका छन् भने कांग्रेस सभापति शेरबहादुर देउवा र नेकपाका बरिष्ठ नेता झलनाथ खनाल विकास तथा प्रविधि समितिमा बसेका छन् । अधिकांश पूर्वअर्थमन्त्री र मन्त्रीहरूको रोजाईमा अर्थ समिति परेको छ । पूर्व प्रधानमन्त्री एवं नयाँ शक्ति पार्टीका संयोजक डाबाबुराम भट्टराई, पूर्व अर्थमन्त्री एवं नेकपामा महासचिव विष्णु पौडेल, अर्का पूर्वअर्थमन्त्री सुरेन्द्र पाण्डे, कांग्रेस महामन्त्री शशांक कोइराला, कांग्रेस संसदीय दलका उपनेता विजय गच्छदार, राजपा अध्यक्षमण्डलका संयोजक महन्थ ठाकुर, पूर्व अर्थमन्त्री एवं कांग्रेस नेता ज्ञानेन्द्रबहादुर कार्की अर्थ समितिमा बसेका छन् । पूर्वसभामुख एवं नेकपा संसदीय दलका उपनेता सुवास नेम्वाङसहित कानुन पृष्ठभूमिका अधिकांश सांसदको रोजाइमा कानुन, न्याय तथा मानवअधिकार समिति परेको छ । उक्त समितिमा कांग्रेसका प्रमुख सचेतक बालकृष्ण खाँण, नेकपाका प्रमुख सचेतक देव गुरुङ, संविधानविद् एवं राजपाका सांसद लक्ष्मणलाल कर्ण, नेकपाका कृष्णभक्त पोखरेल सदस्य बनेका छन् । नेकपाका जनार्दन शर्मा, नवराज सिलवाल, पम्फा भुसाल, भानुभक्त ढकाल, कांग्रेसका दीलेन्द्रप्रसाद बडू, अमरेशकुमार सिंह, राजपाका राजेन्द्र महतोको रोजाइमा राज्य व्यवस्था समिति परेको छ । नेकपाका युवा नेता योगेश भट्टराई र कांग्रेसका युवा नेता गगन थापा शिक्षा तथा स्वास्थ्य समितिमा परेका छन् । कांग्रेसका डामीनेन्द्र रिजाल, भरत शाह, नेकपाका लेखराज भट्ट, सूर्य चिह्न लिएर चुनाव जितेका हृदयेश त्रिपाठीले सार्वजनिक लेखा समिति रोजेका छन् । पूर्वसभामुख एवं नेकपाका नेतृ ओनसरी घर्तीमगर कृषि, सहकारी तथा प्राकृतिक स्रोत समितिमा बसेकी छन् । महिला तथा सामाजिक र उद्योग तथा वाणिज्य समिति शीर्ष र चर्चित सांसदहरूको रोजाइमा पर्न सकेनन् । राष्ट्रियसभाका पनि चार समिति दीगो विकास तथा सुशासन समितिमा इन्दु कडरिया, कमला कुमारी वली, कविता बोगटी, कालीबहादुर मल्ल, खिमकुमार विक, चक्रप्रसाद स्नेही, दीनानाथ शर्मा, प्रमिला कुमारी, भैरवकुमार श्रेष्ठ, महेशकुमार महरा, मुक्ताकुमारी यादव, रमेशजंग रायमाझी, डाविमला राई पौड्याल र सरिता प्रसाईं सदस्य रहेका छन् । यस्तै विधायन व्यवस्थापन समिति सदस्यमा अनिता देवकोटा, उदया शर्मा पौडेल, जीतेन्द्रनारायण देव, ठगेन्द्रप्रकाश पुरी, नन्दा चपाईं, परशुराम मेघी गुरुङ, बद्रीप्रसाद पाण्डे, मीना बुढा, युटोल तामाङ, रामलखन चमार, वृषेशचन्द्र लाल, शेरबहादुर कुँवर, सिंहबहादुर विश्वकर्मा र हरिचरण शिवाकोटी छन् । प्रत्यायोजित व्यवस्थापन तथा सरकारी आश्वासन समितिको सदस्यमा अगमप्रसाद वान्तवा राई, चन्द्रबहादुर खड्का, दुर्गाप्रसाद उपाध्याय, नरपति लुवार, नैनकला ओझा, बलरामप्रसाद बाँस्कोटा, राधेश्याम अधिकारी, रामनारायण बिडारी, विन्दादेवी आले (राना), बिना पोखरेल, शान्तिकुमारी अधिकारी, सुमनराज प्याकुरेल र हरिराम चौधरी छन् । राष्ट्रिय सरोकार तथा समन्वय समितिमा भने कोमल वली, खिमलाल भट्टराई, खेमराज नेपाली, जीवन बुढा, तारादेवी भट्ट, दीपा गुरुङ, दीलकुमारी रावल, धनकुमारी खतिवडा, प्रकाश पन्थ, रमेशप्रसाद यादव, राजकुमार कुँवर, रामचन्द्र राई, रामप्रित पासवान र सुरेन्द्रराज पाण्डेको नाम घोषणा गरिएको छ ।"
"प्रधानन्यायाधीशमा सरकारले मोलतोल गरेको भीमार्जुनको आरोप","काठमाडौँः संविधानविद् डा भीमार्जुन आचार्यले संसदीय सुनुवाई विशेष समितिको पछिल्लो समयको नियतमाथि नै प्रश्न उठेको बताएका छन् । सुनुवाइ समितिलाई प्रस्तावित प्रधानन्यायाधीशको नाम अनुमोदन गर्ने वा नगर्ने भन्नेबारे पूर्ण अधिकार छ, उनले भने, तर, समितिको अभिव्यक्ति र नियत हेर्दा न्यायालयलाई नियन्त्रण गर्न खोजिएको देखिन्छ । यसले समितिको नियतमाथि गम्भीर प्रश्न उठेको छ । बिहीबार रिपोर्टर्स क्लबको साक्षात्कारमा डा आचार्यले सुनुवाइ समितिले आफ्नो प्रक्रिया अघि बढाउन सक्ने बताए । समितिले आफ्नो प्रक्रिया अघि बढाउन सक्छ, समिति सार्वभौम छ । प्रस्तावित नाम मान्ने वा नमान्ने अधिकार समितिलाई छ, आचार्यले भने, तर पछिल्लो समय समितिको नियतमाथि गम्भीर प्रश्न उठेको छ । साक्षात्कारमा आचार्यले न्यायाधीशको शैक्षिक प्रमाणपत्र लगायत विषयमा न्याय परिषद्ले अभिलेख राख्ने बताए । संवैधानिक परिषदले प्रस्तावित प्रधानन्यायाधीशको नाम सिफारिस गरेर पठाएको छ । सरकारले आफू अनुकुल बनाउने गरी बफादार भएमात्रै नाम अनुमोदन गर्ने नभए नाम अनुमोदन नगर्नेगरि अहिले मोलतोल गरिरहेको छ, आचार्यले भने, नक्कली शैक्षिक प्रमाणपत्र भएको मान्छे नेपालको कुनै अदालतमा न्यायाधीश हुन पाउँदैन । तर यो विषय न्याय परिषदले हेर्छ । यदि त्यसो हो भने समितिले त्यो विषय न्याय परिषदमार्फत हेर्नुपर्छ । आचार्यले नेपाल र अमेरिकाको संसदीय सुनुवाई समितिको कुरा आकाश र जमिनजस्तै फरक रहेको पनि बताए । समितिले प्रस्तावित प्रधानन्यायाधीशको आचरण र नेतृत्व क्षमताबारे सोधपुछ गर्नुपर्ने भए पनि विषयान्तर गरेको उनको आरोप छ । समितिका सदस्यहरुले प्रस्तावित प्रधानन्यायाधीशले राजीनामा नदिए महाअभियोग लगाउँछौं भनेर धम्कीपूर्ण चेतावनी दिएको पनि सुनियो, उनले भने, समितिले स्वतन्त्रपूर्वक काम गरेको पाइएन । ओली सरकारले न्यायालयलाई नियन्त्रणमा राख्न हस्तक्षेप बढाउन लागेको छ । न्यायालय रहेन भने न मिडिया रहन्छ, न नागरिक नत देश नै रहन्छ । देखावटी थ्रेट र चेतावनी प्रस्तावित प्रधानन्यायाधीशमाथि दिने काम भएको पनि उनले बताए । अहिले तपाईले हेर्नुभयो भने ओली सरकारले गरेका थुप्रै निर्णयविरुद्ध पेशी चढाइएको थियो । कुनै पनि पेशीमा चाहीँ त्यो मुद्दा परेको छैन, उनले भने, सरकारको सम्पूर्ण प्रभाव र नियन्त्रण न्यायालयमाथि यो हप्तामा देख्न सक्नुहुन्छ । यो धेरै गम्भीर कुरा हो । अयोग्य भएको अवस्थामा तत्काल अस्विकार गर्ने अधिकार संसदीय सुनुवाइ विशेष समितिलाई रहेको उनले बताए । तत्काल अस्वीकार नगरी मोलतोलबाट काम भइरहेको छ । त्यसको पछाडिको सन्देश न्यायालय आफूप्रति बफादार भएमा र आफ्नो नियन्त्रणमा रहने भयो भने त्यस्तो व्यक्तिलाई उसले अनुमोदन गर्ने, यदि हुँदै भएन भने अनुमोदन नगर्ने, आचार्यले अगाडि थपे, यसको प्रत्यक्ष प्रभाव यो सात दिनमा देखिएको छ । यसखालको अधिकार कानुन र संविधानले यो समितिलाई दिएको होइन ।"
"पक्राउ पर्दै छुट्दै गरेका बलात्कारका अभियुक्त आठ वर्षका लागि जेल गए","राजविराज: पक्राउ पर्दै छुट्दै गरेका बलात्कारका एक अभियुक्त अन्ततः आठ वर्षका लागि जेल पुगेका छन् । १२ वर्षीया बालिकालाई बलात्कार गरी फरार रहेका सप्तरीको बोदे बर्साइन ६ काचनका २५ वर्षीय धर्मेन्द्रकुमार दास बिहीबारदेखि आठ वर्षका लागि राजविराज कारागारमा थुनामा परेका हुन् । उनलाई प्रहरी चौकी काचनले बिहीबार नै पक्राउ गरी जिल्ला अदालत बुझाएकोमा अदालतले कैद असुल गर्न कारागार पठाएको तहसिलदार किरणकुमार सिंहले बताए । पीडितको घरको ढोका तोड्दै बालिकाको मुखमा रुमाल कोचेर दासले २०७२ भदौ १ गते राति बलात्कार गरे । घरमा अरु कोही नभएको बेला पीडितको घरको ढोका तोड्दै बलात्कार गरेका अभियुक्तले प्रतिकारमा उत्रेकी बालिकालाई कुटपिट गर्दा पीडितको कानलगायतका ठाउँमा चोट लाग्यो । दासलाई स्थानीयवासीले घटनास्थलबाट नियन्त्रणमा लिई ०७२ भदौ २ गते बिहान इलाका प्रहरी कार्यालय बोदे बर्साइनमा बुझाएका पनि थिए । तर सहमतिमा घटना मिलाउने प्रयत्नमा रहेको इलाका प्रहरी कार्यालय बोदे बर्साइनले उसै दिन साँझ नपर्दै दासलाई उनको बुवा साधुशरण दासको जमानतमा छाड्यो । आरोपितविरुद्ध पीडितकी आमाले जिल्ला प्रहरी कार्यालयमा किटानी उजुरी दिएर एक साता धाएपछि मात्र भदौ ९ गते पीडितको राजविराजस्थित गनासिं सगरमाथा अञ्चल अस्पतालमा स्वास्थ्य परीक्षण भयो । अधिकारकर्मीहरुले आवश्यक अनुसन्धान गर्न दवाव दिएपछि आरोपितविरुद्ध जिल्ला प्रहरी कार्यालयले ०७२ भदौ १० गते उजुरी दर्ता गयो । प्रहरीले भगाइसकेकाले जिल्ला अदालतका स्रेस्तेदार नवराज दुलालले फरार दासका नाममा २०७२ असोज १ गते वारेण्टसहितको म्यादी पूर्जी जारी गर्यो । एक वर्षपछि अदालतमा हाजिर भएका दासलाई जिल्ला न्यायाधीश कुलप्रसाद शर्माको इजलाशले २०७३ असोज १२ गते २० हजार धरौटी राख्न लगाएर रिहा गयो । जनकपुर उच्च अदालत राजविराज इजलाशले २०७३ चैत १७ गते थुनामा नै राखेर मुद्दाको पुर्पक्ष गर्न आदेश दिएपछि दास तारेख छाडेर फरार भए । फरार रहेका दासलाई प्रहरीले पक्राउ गर्नु भन्दा एक महिना अघि मात्र कैदसजायको फैसला गरिसकेको थियो । जिल्ला न्यायाधीश हरिश्चन्द्र ढुंगानाको गत असार १७ गतेको फैसलाबमोजिम दास आठ वर्षका लागि कारागार गएका हुन् । फैसलाबमोजिम दासले पीडितलाई क्षतिपूर्ति समेत दिनु पर्नेछ ।"
"खर्च अभावमा नौ महिने शिशुको उपचार हुन सकेन","प्यूठान : प्यूठान नगरपालिका८ खप्रेङखोलाका नौ महिने शिशु प्रकाश विश्वकर्माको शरीरभरी घाउ छ । घाउले उनको शरीर पूरै ढाकेको छ । एकहप्ता अघिदेखि घाउ बढ्दै गएको छ । वैशाखमै डाक्टरले जिल्ला बाहिर लगेर उपचार गराउन सुझाव दिएका थिए । तर, उनका अभिभावकले बाहिर लगेर उपचार गर्न सकेनन् । दिनप्रतिदिन समस्या थप बल्झिदै गएपछि बिहीबार आमा सीता विश्वकर्माले उपचारका लागि प्यूठान अस्पताल पुर्याएकी छन् । आकस्मिक कक्षमा राखेर दिनभर उपचार गराए पनि जिल्लामै पूर्ण रुपमा निको हुन नसक्ने चिकित्सकको भनाइ छ । छाला सम्बन्धी समस्या हो, भित्र इन्फेक्सन हुन पनि सक्छ, प्यूठान अस्पतालका मेडिकल सुपरिटेन्डेन्ट डाअच्यूतराज कार्कीले भने, यहाँ उपचार सम्भव नभएपछि थप उपचारका लागि बाहिर लान सिफारिस गरेका छौँ । डाक्टरले बाहिर लैजानुस् भन्नुभएको छ, आमा सीताले भनिन्,एक हजार लिएर अस्पतालमा आएकी छुँ । कसरी बाहिर लैजाऊ ? छोराको राम्रो अस्पतालमा पुर्याएर उपचार गर्ने मन भए पनि खर्च नभएको उनको भनाइ छ । घरेलु उपचार गरेपनि निको भएन, उनले भनिन्, बाहिर लानु भन्नुभएको छ तर मसँग खर्च छैन, कसरी बाहिर लाने ?"
"भूकम्पपीडितसँग प्रविधिकले लिने घूस मेयरसम्म पुग्छ","भक्तपुर : भूकम्पपीडितको नक्सापास गर्न राष्ट्रिय पुनर्निर्माण प्राधिकरणका प्राविधिकले लिने घूस नगरपालिका मेयरसम्म पुग्ने आरोप लागेको छ । ट्रान्सपरेन्सी इन्टरनेसनल (टीआई) नेपालले बिहीबार गरेको पुनर्निर्माणमा सदाचार विषयक अन्तरक्रियामा यस्तो आरोप लागेको हो । कार्यक्रममा निजी आवास निर्माण गर्न नगरपालिकामा नक्सापास गर्न तथा किस्ता सिफारिस गर्न प्राधिकरणका प्राविधिकले भूकम्पपीडितसँग पचास हजारदेखि एकलाख रुपैयाँसम्म बुझ्ने गरेको बताइएको हो । प्राविधिकले भूकम्प पीडितसँग रकम माग्दा नै नगरपालिकाका प्रमुखसम्म भाग पुर्याउनुपर्ने बताउने गरेको खुलेको हो । भूकम्पपीडितसँग प्राधिकरणका प्राविधिकले नै हामीले लिने रकम हामीलाई मात्रै हुँदैन, मेयरसम्म भाग पुर्याउनुपर्छ, भन्ने गर्छन् । त्यस्तै भूकम्पपीडितले बोलाएको भरमा प्राविधिक घर निर्माणस्थल पुग्दैनन् । प्राविधिकले गाडी लिएर आउनु भन्ने गरेका छन् । कुनै प्राविधिक निजी आवास निर्माणस्थल पुगे भने फर्कने क्रममा ट्याक्सी भाडा माग्ने गरेका छन् । कार्यक्रममा जानकारी दिइएअनुसार उक्त विषयमा नगरपालिकाका मेयर तथा प्रमुख प्रशासकीय अधिकृतसमक्ष गुनासो गर्दा पनि सुनुवाइ हुन सकेको छैन । टीआई नेपालकी महासचिव पदमिनी प्रधानाङले भूकम्पपीडितको पीडा कम गर्नेबारे जनप्रतिनिधि जिम्मेवार र संवेदनशील नभएको आरोप लगाइन् । हामीले भूकम्पपीडितका समस्याबारे सम्बन्धित नगरपालिमा गएर मेयर, उपमेयर र वडाअध्यक्ष सबैलाई ध्यानाकर्षण गर्दै आएका छौं, उनले भनिन्, जनप्रतिनिधि जिम्मेवार भएनन् । कार्यक्रममा प्राधिकरणअन्तर्गत भक्तपुरमा रहेको जिल्ला आयोजना कार्यान्वयन ईकाई प्रमुख ध्रुव गैंडाले प्राधिकरणका प्राविधिकले नक्सापास गर्न तथा किस्ता सिफारिसका लागि रकम लिने गरेको गुनासो आफूकहाँ नआएको बताए । उनले भूकम्पपीडितले आग्रह गरेको भरमा प्राविधिक नजाने गरेको भने धेरै गुनासो आएको स्वीकार गरे । यस्तो अवस्थामा प्राविधिकलाई निर्माणस्थल पुग्ने साधनको आफै व्यवस्था गर्न भन्दै आएको उनको भनाइ छ । आफ्नो आग्रहको भरमा प्राविधिक घर निर्माण गरेको ठाउँमा नपुग्ने गरेको गुनासो गर्ने भूकम्पपीडित धेरै छन्, प्रमुख गैंडाले भने, तर रकम नै बुझ्ने गरेकोबारे कुनै गुनासो र उजुरी आएको छैन । कार्यक्रममा उनले आउँदो पुससम्म तेस्रो किस्ता लिइसक्नुपर्ने बाध्यकारी व्यवस्था गरेको जानकारी दिए । कार्यक्रममा टीआई नेपालकी भक्तपुर जिल्ला अधिकृत जुनु ढकालले निजी आवास निर्माणको लागि पहिलो किस्ताको पचास हजार रुपैयाँ बुझेर पनि घर नबनाउने पीडितलाई रकम फिर्ता गर्नुपर्नेबारे सचेत गर्न सञ्चारकर्मीले भूमिका खेल्नुपर्ने बताइन् ।"
"ग्यालिनमा लागुऔषध ओसारपसार","ललितपुर : खानेतेलको ग्यालिनमा राखेर लागुऔषध ओसारपसार भइरहेको खुलेको छ । प्रहरी परिसर जाउलाखेल तथा अपराध शाखा ललितपुरको एक टोलीले बुधबार यो रहस्य पत्ता लगाएको हो । प्रहरीले यसरी लागुऔषध ओसारपसार गर्ने कीर्तिपुरका २८ वर्षीय विनोद मानन्धरलाई पक्राउ गरेको छ । बिहीबार ललितपुर महानगरपालिका ४ स्थित अफलडोलबाट मानन्धरलाई पक्राउ गरेको हो । उनको साथबाट डाइजेल्याब एम्पल ३० पिस, नुफिन एम्पल ३० पिस, फेनारगन ३० पिस बरामद गरेको छ । मानन्धरलाई महालक्ष्मी नगरपालिकाको लाकुरी भञ्ज्याङ बस्ने २९ वर्षीय विजय लामाले लागुऔषध विक्री गर्न दिएको बताएका छन् । लामालाई पक्राउ गरी प्रहरीले उनको साथबाट दुई ग्यालिनमा लागुऔषध बरामद गरेको हो । त्यस्तै स्टार अस्पताल नजिकबाट प्रहरीले वीरगन्जका धनन्जय पुन मगर र शत्रुधन पासवानको साथबाट थप दुई ग्यालिन लागुऔषध बरामद गरेको छ ।"
