"शीर्षक","विवरण"
"""बलात्कारीलाई पहिले हानियो गोली","अनि क्रेनले झुन्ड्याइयो"",""एजेन्सी: नेपालमा बालिका बलात्कारका घटना दिनदिनै बढिरहेका छन् । विशेष गरेर आफ्नो यौन प्यास मेट्ने नाममा बालिकाहरुलाई यौन हिंसाको शिकार बनाउँदै ज्यान लिने क्रम पनि बढ्दो छ । तर बलात्कारका घटना बढिरहँदा दोषीमाथि सजायका घटना भने कमै सनिन्छन् । बलात्कारीलाई फाँसी दिनुपर्ने आवाज उठे पनि जेल सजाय पनि छोटो समय हुने गरेको छ । नेपालमा बलात्कारका घटना बढिरहँदा यमनबाट बलात्कारीलाई दिइएको कठोर सजायको एउटा समाचार आएको छ । यमनमा एक बालकबमाथि बलात्कारको मामिलामा दोषी ३ जनालाई दिइएको सजायले जोकसैको मुटु हल्लिन्छ । यो सजाय थाहा पाउनेले बलात्कारसहितका अपराध गर्न हजार पटक सोच्न बाध्य हुन्छ । यमनमा यी दोषीहरुलाई कयौँ मानिसका अगाडि गोली हानेर झुन्डाइएको छ । बलात्कारपछि हत्या गरेको अभियोगमा दोषी ठहर भएका यिनीहरुलाई पहिले गोली हानियो अनि एउटा क्रेनले झुन्डाइयो । क्रेनबाट झुन्डाएर एउटा सन्देश दिन खोजिएको हो । क्रेनबाट झुन्डाएर यस्तो घिन लाग्दो काम गर्नेलाई कस्तो सजाय हुँदो रहेछ भन्ने देखाउन खोजिएको हो । यो सजाय मानिसलाई अपराध गर्नुअघि डरले घर जमाओस भन्नका लागि दिइएको हो । गोली हान्नुअघि उनीहरुलाई एउटा कपडामा बस्न लगाइयो, त्यसपछि उनीहरुलाई गोली हानियो । अनि पराधधीहरुको मनमा भय पैदा गर्नका लागि उनीहरुलाई दिउँसै कयौँ मानिसका सामू झुन्डाइएको हो । अपराधमाथ लगाम कस्नका लागि यस्तो कोशिश विवादित त छ तर कयौँ मानिसहरु यसलाई पनि न्यायको एउटा रुप मान्छन् । यमनको राजधानी सनाको बीच चौरमा दिइएको यो सजायले विश्वभर फेरि नयाँ बहस सुरु गरेको छ । यी तीनैजनामाथि १० वर्षका बालक मोसाद सलेह अल मोथानालाई पहिले बलात्कार अनि हत्या गरेको आरोपमा दोषी ठहर गरिएको थियो ।"""
"नेपाल आइडलकाे दोस्रो सिजन सुरु","काठमाडौं : एपीवान एचडीबाट प्रसारण भएको नेपालकै सबैभन्दा ठूलो सिंगिङ रियालिटी सो नेपाल आइडलको दोस्रो सिजनको प्रसारण बिहीबारबाट सुरु भएको छ । इन्टरनेशनल फ्रान्चाइज सिङ्गिङ रियालिटी शो नेपाल आइडलको सिजन टु बिहीबार राति साढे ८ बजेबाट सुरु भएको हो । नेपाल आइडल प्रथम संस्करणको सफलतापछि नेपाली दर्शकमाझ् यसको दोश्रो संस्करण नेपाल आइडल टु एपीवान एचडी टेलिभिजनबाट प्रसारणमा आउन लागेको हो । नेपाल आइडल एपीवान एचडीबाट बिहीबार र शुक्रबार राति साढे आठ बजेबाट प्रसारण हुँदैछ । यो सिजनमा पनि अघिल्लो सिजनकै निर्णायक न्हयू बज्राचार्य, कालीप्रसाद बास्कोटा र इन्दिरा जोशी रहने छन् । प्रस्तोतामातर्फत् रिमा विश्वकर्मासँग नयाँ अनुहार देख्न पाइने भएको छ । मन जित्छ उसले, सुमधुर गाउँछ जसले नाराका साथ सुरु भएको दोस्रो सिजनमा पनि पहिलो सिजनकै न्ह्यु बज्राचार्य, इन्दिरा जोशी, कालीप्रसाद बास्कोटा निर्णायक छन् । प्रोजेक्ट हेड तथा निर्देशक सुरेश पौडेल छन् भने निर्देशकद्वयमा एलेन श्रेष्ठ र लोकेश बज्राचार्य छन् । भैरहवा, धनगढी, वीरगन्ज, हेटौंडा, धरान, पोखरा र काठमाडौं अडिसनबाट छानिएका प्रतिस्पर्धीले आफ्नो गायन क्षमता प्रस्तुत गर्नेछन् । सिजन नयाँ, अवसर नयाँ, अनुभव नयाँ भन्ने मन्त्रसहित सुरु भएको यो सिजनमा सक्षम, प्रतिभावान् र यसको गरिमा कायम राख्न सक्ने व्यक्ति मात्र उपाधि विजेता बन्नुपर्छ भन्ने उद्देश्य लिइएको छ । नेपाल आइडलको छनोट जजहरू र प्राप्त भोटको ५० र ५० प्रतिशत भारबाट हुनेछ । नेपाल आइडल सिजन टुको अन्तिम अडिसन काठमाडौंमा वैशाख १८ र १९ गते भएको थियो ।"
"जब छोरो अपहरण पर्यो भन्दै १०० मा फोन आयो","काठमाडौँ: छोरा अपहरण परेको भन्दै गलत सूचना दिएको अभियोगमा प्रहरीले राजधानीबाट एक व्यक्तिलाई पक्राउ गरेको छ । बैतडी जिल्लाको पाटन स्थायी घर भई हाल काठमाडौँको कपन बस्ने ४१ वर्षीय राकेश विष्टलाई महानगरीय अपराध महाशाखाको टोलीले बिहीबार नियन्त्रणमा लिएको हो । विष्टले आफ्ना २० वर्षीय छोरा नरेश विष्ट अपहरणमा परेको भन्दै बुधबार महानगरीय प्रहरी आयुक्तको कार्यालय, रानीपोखरीस्थित कन्ट्रोल नम्बर १०० मा फोन गरेर जानकारी गराएका थिए । फोनबाट खबर पाएपछि प्रहरीले अनुसन्धान अघि बढाएको थियो । राकेश विष्टको खोजी गरी महाशाखामा ल्याएर सोधपुछ गर्दा अपहरणमा परेको गलत सूचना दिएको खुलेको हो । विष्टले प्रहरीलाई भ्रममा पार्न खोजेकाले आवश्यक कानूनी कारवाहीको लागि नियन्त्रणमा लिएर हिरासतमा राखिएको महाशाखाले विज्ञप्ति निकालेर जनाएको छ । रासस"
"""दुई सचिवको बढुवा","एक कामु"",""कठमाडौं : सरकारले दुईजना वरिष्ठ सहसचिवलाई सचिवमा बढुवा गरेको छ भने एकजनालाई कामु सचिव बनाएको छ । बुधबार राति बसेको मन्त्रिपरिषद् बैठकले तीर्थराज ढकाल र आनन्दराज ढकाललाई सचिवमा बढुवा गरेको हो भने गृह मन्त्रालयका सहसचिव केदार न्यौपानेलाई कामु सचिवमा बढुवा गरेको छ । न्यौपानले डा गोविन्द केशीको अनशन तोडाउन सरकारी वार्ता टोलीमा रहेर प्रभावकारी भूमिका निर्वाह गरेका थिए । बढुवा भएका मध्ये तीर्थराज ढकालाई ५ नम्बर प्रदेशको प्रमुख सचिवमा, आनन्द ढकाललाई ३ नम्बर प्रदेशको प्रमुख सचिवमा पदस्थापन गरिएको छ भने केदार न्यौपानेलाई १ नम्बर प्रदेशको कामु प्रमुख सचिवमा पदस्थापन गरिएको छ । सँगै प्रदेश१ का प्रमुख सचिव रेश्मीराज पाण्डेलाई प्रधानमन्त्री तथा मन्त्रिपरिषद् कार्यालयमा सरुवा गरिएको छ ।"""
"टिपर दुर्घटनामा निधन भएका घर्तीको परिवारलाई सहयोग","काठमाडौं : मुस्ताङमा श्रम गर्न गएको बेला टिपर दुर्घटनामा परी मृत्यु भएका बालकुमार घर्तीको परिवारलाई काठमाडौंका अजीतकुमार भट्टराईले आर्थिक सहयोग जुटाएका छन् । अन्नपूर्ण मिडिया ग्रुपको तीनकुनेस्थित कार्यालयमा बिहीबार उनले अन्नपूर्ण पोस्ट्का संघीय ब्युरो प्रमुख माधव ढुङ्गेललाई ३० हजार १० रुपैयाँ नगद हस्तान्तरण गरे । काठमाडौँमा रहेका भट्टराईको पहलमा नवलपरासीको कावासोतीका साथीभाइबाट संकलित २१ हजार १५०, सेन्टजेभियरका साथीभाइबाट संकलित ६ हजार १११ र अमृत साइन्स कलेजका साथीभाइबाट प्राप्त दुई हजार ७४५ आर्थिक संकलन गरी सहयोग गरिएको भट्टराईले बताए । दुर्घटनापछि परिवारको दुरावस्थाको समाचार अन्नपूर्ण पोस्ट् दैनिक र अन्नपूर्ण पोस्ट् डटकममा पढेर सहयोगको पहल गरेको उनले बताए । भट्टराईले सहयोग रकमले उनको परिवारलाई केही राहत पुग्ने विश्वास व्यक्त गरे । रकम बुझ्दै ढुङ्गेलले सहयोगका लागि धन्यवाद दिँदै उक्त रकम दाङस्थित अन्नपूर्णकर्मीमार्फत् सम्बन्धित परिवारसम्म छिट्टै पुयाइने बताए । यसअघि पनि सोही दुर्घटनामा ज्यान गुमाएका सुवेर चौधरीको परिवारलाई २३ हजार २ सय ९० रुपैयाँ र दुर्घटनामै ज्यान गुमाउने जीतमाया र मौसम घर्तीका छोरा विवश र विशेषणलाई २३ हजार २ सय ९० सहयोग जुटाइसकेका छन् ।"
"भातीय फिल्म स्टार कमल हसन पनि राजनीतिमा !","मुम्बर्इ : भारतीय फिल्म स्टार कमल हसन राजनीतिमा आउने तयारीमा लागेका छन् । झण्डै आधा शताब्दीदेखि फिल्म क्षेत्रमा सक्रिय हसनले २०० फिल्ममा काम गरेका छन् । उनलाई भारतको फिल्म क्षेत्रमा सम्मानित व्यक्तिका रुपमा लिइन्छ । फिल्म सेन्सरसिपको झमेलामा परेका ६३ वर्षीय हसनले हालै नयाँ राजनीतिक पार्टी गठन गरेका छन् । उनले त्यस पार्टी मार्फत् कलाकारहरूको अधिकार र स्वतन्त्रताका लागि लड्ने योजना पनि बनाएका छन् । 'यस्तो देशभरी नै भइरहेको छ, यो निकै चुनौतीपुर्ण पनि छ, सबै कलाकारले अब आफ्नो अधिकारका लागि बोल्ने छन्,' एएफपीसँगको एउटा अन्तर्वार्तामा उनले तमिलनाडुमा भने । थपु्रै पुरस्कार तथा सम्मान प्राप्त र बक्स अफिसमा पनि सफल भएका कलाकारहरुले लोकप्रियतालार्इ मतपेटिकामा रुपान्तरण गर्ने अपेक्षा गरिएको छ । हसनले मक्का निधी मैम नामक पार्टी गत फेब्रुअरीमा गठन गरेका थिए । तमिलनाडुलाई आधार बनाएर बनाइएको पार्टीलाई स्थानीय भाषामा जनताको न्याय केन्द्र भनिएको छ । यो पार्टीले आगामी आम निर्वाचनमा पहिलो पटक भाग लिने बताइएको छ । सन् २०१९ मा हुने निर्वाचनमा प्रधानमन्त्री नरेन्द्र मोदीले पनि दोस्रो कार्यकालका लागि प्रधानमन्त्री हुनेगरी प्रतिस्पर्धा गर्ने भएका छन् । हसनले आफ्नो पार्टी वाकस्वतन्त्रताका लागि लड्नुका साथै धार्मिक विविधताको राष्ट्रिय विषेशताको रक्षाका लागि क्रियाशिल रहेको बताएका छन् । 'मैले अहिलेको अवस्थालाई चुनौती दिन चाहन्छु', उनले भनेका छन्, ''मैले केन्द्रीयताका लागि यो गरिरहेको छैन, मेरो उद्धेश्य पुरा भएपछि राजीनामा दिन चाहन्छु ।' हसनले भारतका तमिल, तेलुगु, मालायालाम र हिन्दी भाषाका धेरै फिल्महरु उत्पादन, निर्देशन र गीत गाउने गरेका छन् ।"
"जनप्रतिनिधि धन कमाउन खाडी मुलुकमा !","प्यूठान : स्वर्गद्वारी नगरपालिका१ कोचिवाङ प्यूठानका वडा सदस्य नारायण पुनमगर धन कमाउन विदेश उडेका छन् । घरव्यवहार चलाउन समस्या भएपछि उनी कुवेत गएका हुन् । रोजगारीका लागि यसअघि समेत उनी खाडी मुलुक पुगेका थिए । कुवेत पुगेका उनी दुई महिना पुगिसकेको छ । तर, वडा अध्यक्ष मेघराज जिसीले विदेश पुगेपछि मात्र थाहा पाएको प्रतिक्रिया दिए । कुवेत पुगेपछि मात्र थाहाँ पाएँ, उनले भने, जान्छु पनि नभनी जानुभएछ । विदेश पुगेपछि पुनमगरले फोनमा आफूसँग चुनावमा उठेर गल्ती गरेको प्रतिक्रिया दिएको समेत सुनाए । वडा अध्यक्षमार्फत पुनमगरले जनतालाई धोका दिएकोप्रति क्षमा मागेका छन् । पुनमगरका घरपरिवारले आठ महिनाको सात हजारका दरले ५६ हजार रुपैयाँ पारिश्रमिक बुझेका छन् । उनका घरमा बुवाआमासहित श्रीमती र एक छोरा छन् । घरव्यवहार धान्ने एक्लो जिम्मा पुनमगरकै काँधमा रहेको वडा अध्यक्ष जिसीले बताए । स्थानीय तह निर्वाचनमा पुनमगर राष्ट्रिय जनमोर्चाबाट ६ सय २७ मत ल्याएर वडा सदस्यमा विजयी भएका थिए ।"
"शरद भेषावकरले एसिया कप गुमाउने","काठमाडौं : नेपालको ऐतिहासिक एकदिवसीय खेलका क्रममा चोटग्रस्त बनेका ब्याट्सम्यान शरद भेषावकरले यसै महिना हुने एसिया कपको छनोट प्रतियोगिता भने नखेल्ने भएका छन् । चोटबाट मुक्त हुन अझै चार साता आराम गर्नुपर्ने भएकाले शरद एसिया कप छनोटमा सहभागी नहुने भएका हुन् । सोही कारण उनलाई बन्द प्रशिक्षणका लागि बोलाइएको १९ खेलाडीको सूचीमा समेत समेटिएको छैन । शरद नेदरल्यान्ड्सविरुद्धको एकदिवसीय खेलमा चोटग्रस्त भएका थिए, राष्ट्रिय टोलीका प्राविधिक विश्लेषक रमण शिवाकोटीद्वारा जारी विज्ञप्तिमा भनिएको छ, उनलाई चोटबाट मुक्त हुन अझै चार साता लाग्नेछ । अर्काे महिना (सेप्टेम्बर १५ देखि २८ तारिख) संयुक्त अरब इमिरेट्स (यूएई) मा हुने एसिया कपका लागि अगस्ट २९ देखि सेप्टेम्बर ६ तारिखसम्म मलेसियामा छनोट प्रतियोगिता हुँदैछ । शरद नेदरल्यान्ड्सविरुद्धको पहिलो एकदिवसीय खेलका क्रममा चोटग्रस्त बनेका थिए । फिल्डिङ गर्ने क्रममा उनको औंलामा बलले चोट लागेको थियो । उनले उक्त खेलमा ११औं क्रममा ब्याटिङ गरेका थिए । उक्त खेलमा ५५ रनले पराजित भएको नेपाल दोस्रो एकदिवसीय खेलमा भने एक रनले विजयी भएको थियो । त्यहाँबाट फर्किएपछि नेपाल अर्काे महत्वपूर्ण प्रतियोगिताको तयारीमा जुटेको हो । भारत र पाकिस्तानको सिनियर टोलीसँग पहिलो पटक प्रतिस्पर्धा गर्ने अवसरको रूपमा रहेको एसिया कपसम्म पुग्ने छनोट प्रतियोगितालाई नेपाली टोलीले महत्वपूर्ण मानेको छ । छनोट प्रतियोगिताको विजेता बनेमा नेपाली टोली एसिया कपमा भारत र पाकिस्तान रहेको समूह ए मा पर्नेछ । त्यससँगै नेपालले भारत र पाकिस्तानको सिनियर राष्ट्रिय टोलीसँग पहिलो पटक प्रतिस्पर्धा गर्ने अवसर पाउनेछ । भारत र पाकिस्तानले एसियालीस्तरको प्रतियोगितामध्ये एसिया कपमा मात्र आफ्नो सिनियर टोली पठाउने गरेका छन् । यद्यपि त्यसअघि नेपालले हङकङ, यूएई, ओमान, मलेसिया र सिंगापुरजस्ता बलिया टोलीलाई पन्छाउनु पर्नेछ । आगामी मंगलबारदेखि सुरु हुने बन्द प्रशिक्षणका लागि पछिल्लो समय टोलीमा नपरेकामध्ये विनोद भण्डारी, किशोर महतो, सागर पुन, प्रदीप ऐरी, सुनील धमला र सुशन भारीलाई समावेश गरिएको छ । त्यसबाहेक हालै नेपालको पहिलो एकदिवसीय शृंखलामा सहभागी भएर फर्किएका कप्तान पारस खड्का, अनिलकुमार शाह, दीपेन्द्रसिंह ऐरी, ज्ञानेन्द्र मल्ल, करण केसी, ललित भण्डारी, ललितनारायण राजवंशी, आरिफ शेख, रोहितकुमार पौडेल, सन्दीप लामिछाने, सोमपाल कामी र सुवास खकुरेल पनि बन्द प्रशिक्षणमा सहभागी हुनेछन् ।"
"""सांसदहरूको माग: बलात्कारीको लिङ्ग छेदन गरौँ","फाँसीमा चढाऔँ"",""काठमाडौँ: सरकारले बलात्कारीलाई आजीवन कारावासको सजाय हुने गरी कानून संशोधन गर्ने तयारी गरेको छ । बलात्कारीलाई आजीवन काराबास हुने गरी कानून संशोधनको प्रस्ताव मन्त्रिपरिषद्मा पुगी छलफलमा रहेको महिला, बालबालिका तथा समाजक कल्याणमन्त्री थममाया थापा मगरले जानकारी दिइन् । समाजमा महिला र बालिकामाथि बलात्कारको घटना बढ्दो रुपमा देखिएपछि बलात्कारीलाई आजीवन काराबास सजायको व्यवस्थासहित कानून संशोधन गर्न लागेको उनले बताइन् । प्रतिनिधिसभा, महिला तथा सामाजिक समितिको आजको बैठकमा मन्त्री थापाले बलात्कारको सजाय सम्बन्धमा कानूनमा हुन लागेको संशोधनबारे जानकारी दिएकी हुन् । उनले १० वर्ष मुनिका बालिका, क वर्गका अपांग महिला तथा ७५ वर्ष माथिका ज्येष्ठ नागरिकलाई बलात्कार गर्नेलाई आजीवन काराबास हुने गरी कानूनमा संशोधन गर्न लागेको बताइन् । समितिको बैठकमा सत्तापक्ष तथा प्रतिपक्ष दलका सांसदले बलात्कारीलाई कडाभन्दा कडा कानून ल्याई सजाय गर्न माग गर्ने व्यवस्था गर्न सरकारलाई सुझाव दिएका थिए । बैठकमा अधिकांश सांसदले समाजमा महिला र बालिका असुरक्षित बन्ने अवस्था आएकोमा चिन्ता व्यक्त गर्दै नियन्त्रणका उपाय अवलम्बन गर्न सरकारको ध्यानाकर्षण गराएका थिए । बालिकामाथि बलात्कार र बलात्कारपछि हत्या भएको घटनाले आक्रोशित बनाएको उल्लेख गर्दै महिला सांसदहरुले बलात्कार नियन्त्रण गर्न बलात्कारीको लिंग छेद्न गर्ने, फाँसी दिने वा आजीवन काराबास गर्ने जनदबाब आइरहेकोप्रति सरकारको ध्यानाकर्षण गराएका थिए । सांसदको प्रश्नको जवाफ दिँदै मन्त्री थापाले कडा सजाय र कानूनले मात्र बलात्कारका घटना रोकिन गाह्रो हुने बताउँदै बलात्कार घटना रोक्न नागरिकस्तरमा जनचेतना बढाउनुपर्ने तथा स्थानीय सरकार बलियो र प्रभावकारी हुनुपर्नेमा जोड दिइन् । बलात्कारसम्बन्धी कानूनको प्रभावकारी कार्यान्वयन भएमा समाजमा विकृति फैलाउने घटना नियन्त्रणमा आउन सक्ने विश्वास व्यक्त गरे । सांसद गंगा चोधरी, पवित्र निरौला, लक्ष्मी परियार, विमला विश्वकर्मा, विमला नेपाली, कलिला खातुनलगायतले बलात्कारीलाई कठोर दण्ड सजायको व्यवस्था गर्नका साथै आजीवन जेल चलान गर्नुपर्ने माग गरे । बैठकमा महिला, बालबालिका तथा ज्येष्ठ नागरिक मन्त्रालय र राष्ट्रिय महिला आयोगको भावी कार्ययोजनाका सम्बन्धमा पनि छलफल भएको थियो । त्यस अवसरमा सांसदले समाजमा महिलाविरुद्ध हिंसाको घटना बढीरहँदा महिला मन्त्रालय र महिला आयोगले सोचेअनुरुप प्रभावकारी रुपमा काम गर्न नसकेको गुणासो गरे । रासस"""
"थापालाई कामु प्रधानसेनापतिको जिम्मेवारी","काठमाडौं : प्रधानसेनापति राजेन्द्र क्षत्रीले बलाधिकृत रथी पूर्णचन्द्र थापालाई कार्यभार सुम्पिएका छन् । सैनिक मुख्यालयमा बिहीबार बेलुकी आयोजित विशेष समारोहमा प्रधानसेनापति क्षेत्रीले थापालाई कायममुकायम प्रधानसेनापतिको जिम्मेवारी हस्तान्तरण गरेका हुन् । थापाले शुक्रबारबाट नेपाली सेनाको कायममुकायम प्रधानसेनापतिको जिम्मेवारी सम्हाल्दै छन् । प्रधानसेनापतिबाट अवकाश पाउनु एक महिनाअघि बिदा बस्नुपर्ने प्रचलनअनुसार क्षत्री शुक्रबारबाट बिदा बस्दै छन् । प्रधानसेनापति क्षत्रीले बलाधिृकत रथी थापालाई शुक्रबारबाट लागू हुने गरी सेनाको कायममुकायम प्रधानसेनापतिको बुझबुझारथ गरेका हुन् । साउन १० गते बसेको मन्त्रिपरिषद् बैठकले साउन २५ देखि लागू हुने गरी थापालाई कायममुकायम प्रधानसेनापतिको जिम्मेवारी दिने निर्णय गरेको थियो । बुझबुझारथ कार्यक्रमपछि कायममुकायम प्रधानसेनापति थापाले सबै सैनिक अड्डाहरूलाई पेपरलेस बनाउने प्रतिबद्धता व्यक्त गरे । उनले काठमाडौंतराईमधेस दु्रतमार्ग आयोजना कार्यान्वयन गर्न गठित निर्देशक समितिको अध्यक्षको कार्यभार बलाध्यक्ष रथी हेमन्तराज कुँवरलाई हस्तान्तरण गरेका छन् ।"
