"शीर्षक","विवरण"
"कर्तव्य ज्यान मुद्दाका कैदी दिउँसै फरार","भद्रपुर : कर्तव्य ज्यान मुद्दामा जन्म कैद सजाय भोग्दै आएका एक कैदी आइतबार दिउँसो कारागारबाट फरार भएका छन् । झापा, गौरादह नगरपालिका ८ का अन्दाजी २५ वर्षीय उमेश माझी फरार भएको जिल्ला प्रहरी कार्यालय झापाले जनाएको छ । उनी तत्कालीन जुरोपानी गाविसकी अन्दाजी १४ वर्षीया बालिका करणी गरेर मारेको अभियोगमा ०७१ असार ५ मा कारागार चलान भएका थिए । कारागारमा रहेर बिजुली मर्मतको काम गर्दै आएका माझी आइतबार दिउँसो भरयाङ्को सहायताले कारागारको पर्खालमा तानिएको बिजुली मर्मत गरेका थिए । काम सकेर भरयाङ् नओरालेका कारण मौका छोपेर फरार भएको जिल्लाका प्रहरी प्रवक्ता जितेन्द्रकुमार बस्नेतले बताए । फरार माझीको खोजी भइरहेको प्रहरीले बताएको छ ।"
"वीरगन्जमा नेपाल र भारतका साहित्यकारको जमघट","वीरगन्ज : पश्चिमा साहित्य र संस्कृति हाबी हुँदै गएका कारण विश्वबजारमा नेपाल र भारतको साहित्य ओझेलमा परेको दुवै देशका साहित्यकारले निष्कर्ष निकालेका छन् । वीरगन्जमा आइतबार नेपाल भारत सहयोग मञ्चले आयोजना गरेको नेपाल भारत साहित्य महोत्सवमा सहभागी दुवै देशका साहित्यकारले नेपाल र भारतका साहित्यिक रचना र कृति अंग्रेजी भाषामा अनुवाद नगरिएका कारण पश्चिमा साहित्य विश्वबजारमा हाबी भएको र पूर्वीय साहित्य ओझेलमा परेको बताएका हुन् । नेपाल र भारतका साहित्यिक कृति र रचना विश्व बजारमा पुर्याउन दुवै देशका साहित्यकारले सहकार्य गरेर साझा संघर्ष थाल्नुपर्नेमा उनीहरूले जोड दिए । महोत्सवमा नेपाल भारत साहित्य यात्रानामक कार्यपत्र प्रस्तुत गर्दै साहित्यकार महेश पौडेलले भने, विश्वको कुल जनसंख्याको २० प्रतिशत जनसंख्या नेपाल र भारतको गरी छ । यी दुई देशमा मात्रै आफ्ना साहित्यिक कृति र रचना पाठकका हातहातमा पुर्याउन सकियो भने पनि हाम्रो साहित्यले विश्वबजारमा पश्चिमा साहित्यलाई गतिलो टक्कर दिन सक्छ । नेपालका साहित्यिक कृति भारतमा र भारतका साहित्यक कृति नेपालमा अझै पनि पर्याप्त मात्रामा पुग्न नसकेका कारण पनि पश्चिमा साहित्य यी दुवै मुलुकमा हाबी भएको उनले बताए । अब नेपाल र भारतबीच साहित्यिक पर्यटनको खाँचो रहेको उनले बताए । महोत्सवमा सहभागी भारत मेरठका वरिष्ठ साहित्यकार विजय पण्डितले दुई देशका साहित्यकारले आपसमा सहकार्य गरेको खण्डमा नेपाल र भारतबीचको शदीयांैदेखिको सम्बन्ध विश्वका लागि एक उदाहरण बन्ने बताए । दुवै देशका साहित्यिक स्रष्टालाई एकै थलोमा भेला गराउने आफ्नो १० वर्ष पहिलेदेखिको सपना वीरगन्जको महोत्सवले साकार पारिदिएको र यस्ता कार्यक्रमलाई आगामी दिनमा पनि निरन्तरता दिइने बताए । उनले भने, हुन त दुई देशबीच अहिले पनि केही राजनीतिक, आर्थिकलगायतका समस्या छन् तर हामी दुई देशका साहित्यकारले साहित्यमार्फत नै ती समस्या समाप्त पार्न चाहन्छौं । भारत हरिद्वारका वरिष्ठ साहित्यकार डाक्टर योगेन्द्रनाथ शर्माले भने, नेपाल भारतबीचको सामाजिक, सांस्कृतिक, साहित्यिक, आर्थिक सम्बन्धलाई वीरगन्जको महोत्सवले पञ्चामृत बनाइदिएको छ । नेपालका आख्यानकार ध्रुवचन्द्र गौतमले साहित्यमा मृत अवस्थामा पुगिसकेको भनिएको वीरगन्जको साहित्य, आइतबारको साहित्य महोत्सवले जीवित नै छ भन्ने सन्देश प्रवाह गरेको बताए । महोत्सवको उद्घाटन समारोहलाई सम्बोधन गर्दै प्रदेश नम्बर २ का मुख्यमन्त्री लालबाबु राउतले नेपाल र भारतका साहित्यकार दुनियाँमा नाम चलेका अरू मुलुकका साहित्यकारभन्दा कम नरहेको बताए । नेपाल र भारतका साहित्यकार र तीनका कृति संसारमा नाम चलेका साहित्यिक हस्तीभन्दा कम नरहे पनि उनका कृति अंग्रेजी भाषमा अनुवाद नभएका कारण अरू मुलुकमा चर्चित बन्न नसकेको बताए । महोत्सवमा नेपालका वरिष्ठ आख्यानकार डाक्टर ध्रुवचन्द्र गौतम, रमेश गोर्खाली, श्रेष्ठ प्रिया पत्थरदिल र जशराज किराँती तथा भारतका साहित्यकार योगेन्द्रनाथ शर्मालाई सम्मानित गरिएको छ । नेपाल भारत सहयोग मञ्चका अध्यक्ष अशोक वैद्यको अध्यक्षतामा भएको महोत्सवमा भारतको दिल्ली, राजस्थान, हरिद्वार, जालान्धर, हरियाणा, बिहार, चेन्नई, मुम्बईका गरी ८० जना भारतीय साहित्यकार तथा नेपालका विभिन्न जिल्लाका गरी एक सय ५० जना नेपाली साहित्यकारको सहभागिता थियो ।"
"सहज न्याय पाउने वातावरण बनाउनु आवश्यक","काठमाडौं : पूर्वकानुनमन्त्री तथा प्रतिनिधिसभा सदस्य शेरबहादुर तामाङले आम नागरिकलाई न्यायलायबाट सरल र सहज रुपमा न्याय पाउने वातावरण बनाउन आवश्यक रहेको बताएका छन् । न्यायालय पीडितलाई न्याय दिने सर्वोच्च निकाय हो, उनले भने, न्यायालय र न्यायाधीशले निष्पक्ष र इमान्दारीपूर्व सबै नागरिकलाई समान रुपमा न्याय प्रदान गर्नुपर्ने हुन्छ । सांसद तामाङले न्यायलायमा देखिएका विकृतिलाई सुधार गर्न भ्रष्टाचारलाई रोक्नु पर्ने बताउँदै त्यस अभियानमा आफू सक्रिया भएको बताए । सकारात्मक विकास सञ्चार केन्द्रले काठमाडौंको जोरपाटीमा गरेको जनतामा चुस्त र दुरुस्त न्याय कहिले ? विषयक अन्तक्रियामा बोल्दै पूर्वकानुनमन्त्री तामाङले यस्तो बताएका हुन् । कार्यक्रममा पूर्वसभामुख तथा संविधानविद् दमननाथ ढुंगानाले संसदीय व्यवस्था नै खारेज गर्नुपर्ने बताए । संविधानमा संशोधन गर्नुपर्छ, उनले भने, न्यायिक परिषदमा पनि विचार गर्नुपर्छ । न्यायाधिश नियुक्तिको प्रशंगमाथि बोल्दै उनले न्यायाधीशको सम्पूर्ण जावाफदेही आफै हुनुपर्ने बताउँदै वर्तमान सरकारले दुई तिहाई बहुमतको दम्भ देखाएर न्यायालयलाई अन्यौलको वातावरण सिर्जना गरेको आरोप लगाए । प्रेस काउन्सिलका पूर्वअध्यक्ष तथा वरिष्ठ अधिवक्त वोर्णबहादुर कार्कीले न्यायालय मन्दिर भएको र उक्त मन्दिरमा हरेक जनताको आस्था रहने बताए ।"
"प्रधानमन्त्रीसँग राजपाका नेताले के कुरा गरे ?","काठमाडौं : राष्ट्रिय जनता पार्टी (राजपा)का शीर्ष नेतासँगको भेटमा प्रधानमन्त्री केपी ओलीले मधेसको मुद्दा सम्बोधन गर्ने प्रतिवद्धता दोहोर्याएका छन् । आइतबार प्रधानमन्त्रीको सरकारी निवास बालुवाटारमा भएको भेटमा प्रधानमन्त्री ओलीले यस्तो प्रतिवद्धता दोहोर्याएका हुन् । मधेस आन्दोनलका क्रममा तपाईंहरुविरुद्ध लागेको मुद्दा फिर्ता, संविधान संशोधन लगायतका माग पूरा गर्ने तयारी भइरहेको छ, प्रधानमन्त्रीसँगको भेटपछि उनको भनाइ उद्धृत गर्दै एक नेताले भने, तपाईहरुबाट सरकारलाई अझै सहयोग र समर्थनको अपेक्षा गरिरहेको छु । राजपाका अध्यक्ष महन्थ ठाकुर, अध्यक्ष मण्डलका नेता राजेन्द्र महतो, शरतसिंह भण्डारी, महेन्द्रराय यादव र अनिलकुमार झा बालुवाटार पुगेका थिए । भेटमा सरकार गठनका समयमा भएका तीन बुँंदे सहमति र केही दिनअघि पेश भएको सात बुँदे मागका विषयमा छलफल भएको छ । प्रधानमन्त्री ओलीले राजपाका माग सम्बन्धमा सरकार गम्भीर रहेको बताएका छन् । भेटमा प्रधानमन्त्री ओली र राजपाका नेताबीच राजनीतिक मुद्दा फिर्ता गर्ने विषयमा समेत छलफल भएको छ । राजपा नेताले कैलाली क्षेत्र नं १ बाट निर्वाचित सांसद रेशम चौधरी र सामाजिक व्यवस्था राज्यमन्त्री अभिराम शर्मा लगायतका नेताको मुद्दा फिर्ता गर्न माग गरेका छन् । भेटमा विगतमा जस्तै प्रधानमन्त्रीले सबै माग पूरा गर्ने आश्वासन दिएको अनिलकुमार झाले जानकारी दिए । यसअघि राजपाले साउन ३ गते प्रधानमन्त्री ओलीलाई ज्ञापनपत्र बुझाउँदै संविधान संशोधन, सांसद चौधरीलाई सांसद पदको शपथ गराउन, मधेस मुद्दलाई फिर्ता लिनुपर्नेलगायत सात बुँदे माग अघि सारेको थियो ।"
"टेलिकम प्रमुखलाई सरकारको प्रश्न : पदबाट किन नहटाउने ?","काठमाडौं : नेपाल टेलिकमकी प्रबन्ध निर्देशक कामिनी राजभण्डारीलाई सरकारले पुनः स्पष्टिकरण सोधेको छ । सरकारले प्रबन्ध निर्देशक राजभण्डारीलाई पदबाट किन नहटाउने भनेर तीन दिनभित्र स्पष्टिकरण बुझाउन शुक्रबार नै पत्र थमाइएको सूचना तथा सञ्चार प्रविधि मन्त्रालयले जनाएको छ । मन्त्रिपरिषदको बैठकले यसअघि वैशाखमा कामिनीलाई स्पष्टिकरण सोधेको थियो । त्यसबेला मन्त्रिपरिषदले ११ बुँदे निर्देशनसहितको कार्यसम्पादन शर्त राखेर राजभण्डारीलाई सचेत गराउने काम गरेको थिये । उक्त कार्यसम्पादन शर्तमा तोके बमोजिक कुनै प्रगति नदेखिएकाले शुक्रबारको मन्त्रिपरिषदले पुनः स्पष्टिकरण माग गरेको सूचना तथा सञ्चार प्रविधि मन्त्रालयका मन्त्री गोकुल बास्कोटाले बताएका छन् । प्रगति अपेक्षित नभएपछि कामिनिलाई तीनदिन भित्र प्रगातिसहितको स्पष्टिकरण पेस गर्न शुक्रबार पत्र काटेको मन्त्री बास्कोटाको भनाइ छ । स्पष्टिकरण चिक्त बुझ्दो नआएमा कामिनीलाई मन्त्रिपरिषदको निर्णयबाट बर्खास्त गर्न सकिने मन्त्री बास्कोटाले बताए । गत जेठमा कामिनीलाई सरकारले दिएको ११ बुँदे शर्तनामामा ताररहित सेवातर्फ मुलुकभर जीएसएम सेवा अन्तर्गत टुजी र थ्रीजी सेवाको विस्तार गर्न एक करोड लाइन विस्तारको परियोजना ६ महिनाभित्र निर्धारित लागत, परिणाम र गुणस्तरमा पूर्ण रुपमा सम्पन्न गर्ने, वायरलाइन सेवा विस्तारतर्फ आधारभूत टेलिफोन सेवालाई आईपी प्रविधिमा रुपान्तरणको लागि निर्धारित समय, लागत र गुणस्तरमा सम्पन्न गर्ने, वायरलाइन सेवातर्फ काठमाडौंमा एफटीटीएच अन्तर्गत एक लाख लाइन जडान गर्ने कार्य आर्थिक वर्ष २०७५७६ को ६ महिनाभित्र सम्पन्न गर्न भनी निर्देशन दिएको थियो । सँगै ग्रामीण दूरञ्चार विकास कोषबाट मध्य पहाडी लोकमार्गको पूर्वी खण्ड (प्रदेश नम्बर १, २ र ३) मा अप्टिकल फाइबर विस्तार गर्ने आयोजना ६ महिनाभित्र ठेक्कापट्टाको कार्य सम्पन्न गर्ने, दूरसञ्चार प्राधिकरणबाट लागत व्योहोर्ने गरी भूकम्प प्रभावित चार जिल्लाका सात सय ४७ स्थानमा ब्रोडब्याण्ड सेवा जडान गर्ने कार्य आर्थिक वर्ष २०७४७५ को असार मसान्तसम्म सम्पन्न गर्ने शर्त राखिएको थियो ।"
"मोटरसाइकलको ठक्करबाट घाइते भएका आचार्यको मृत्यु","विराटनगर : मोरङको विराटनगर महानगरपालिका ४ ढाटमा मोटरसाइकलको ठक्करबाट एक जनाको मृत्यु भएको छ । बिहीबार मोटरसाइकलले ठक्कर दिएर घाइते भएका विराटनगर ४ का ६८ वर्षीय खगेन्द्रप्रसाद आचार्यको उपचारका क्रममा सोमबार मृत्यु भएको हो । मोरङ प्रहरीका प्रवक्ता डीएसपी निशान थापाका अनुसार आचार्यलाई को ३२ प ६४३३ नम्बरको मोटरसाइकलले ठक्कर दिएको थियो । गम्भीर घाइते उनको उपचारका क्रममा नोबेल मेडिकल कलेजमा मृत्यु भएको थापाले बताए । मोटरसाइकल चालक विराटनगर ७ का २० वर्षीय सन्तोश लिम्बूलाई नियन्त्रणमा लिएर घटनाको अनुसन्धान सुरु गरिएको प्रहरीले जनाएको छ ।"
"बक्स अफिस ले फिल्मी क्षेत्रमा बढायो उत्साह","काठमाडौँ: नयाँ प्रविधि र विकाससँगै सरकारले पहिलोपटक बक्स अफिस प्रणाली शुरु गरेपछि नेपाली फिल्मी क्षेत्र उत्साही देखिएको छ । बक्स अफिस लागू नहुँदा विगत लामो समयदेखि निर्माताले आफ्नो फिल्मको आम्दानीबारे सही विवरण नपाइरहेको सन्दर्भमा सरकारले यही साउन १ गतेदेखि बक्स अफिस लागू गरेपछि फिल्मी क्षेत्र थप उत्साही देखिएको हो । नेपाली चलचित्र क्षेत्रमा विगत लामो समयदेखि बहसमा रहेको बक्स अफिसको सञ्चार तथा सूचना प्रविधि मन्त्रालयले उपत्यकाका फिल्म हलमा लागू गरेको हो । नेपाल चलचित्र विकास बोर्डका सदस्य सचिव महेन्द्रप्रसाद साँखीले साउन १ गतेदेखि बक्स अफिस लागू भएपछि समग्रमा फिल्मि क्षेत्र अत्यन्त उत्साही भएको बताए । बक्स अफिस लागू भएपछि अनलाइन डाटामार्फत चलचित्रको आयको सम्पूर्ण जानकारी प्राप्त गर्न सकिन्छ भने त्यसबाट राजश्व सङ्कलनमा राज्यलाई सहयोग पुग्नेछ । बक्स अफिस प्रणालीमा टिकट लिएको करीब आधा घण्टामा चलचित्र विकास बोर्ड, आन्तरिक राजश्व विभाग र हल सञ्चालकलाई जानकारी हुन्छ । बक्स अफिस लागू भएसँगै हलको वर्गीकरण हुने र विदेशी विज्ञापन बन्द हुने मन्त्रालयले जनाएको छ । बक्स अफिस कार्यान्वयन समितिको बैठकले २०७५ वैशाख १ देखि परीक्षण गर्ने र साउन १ गतेदेखि लागू गर्ने निर्णय गरेको थियो । उपत्यका बाहिरका जिल्लामा भने माघ १ गतेदेखि लागू गर्ने सरकारको योजना छ । कुन फिल्मि हलमा कति टिकट बिक्री भयो भनेर अनलाइनबाटै आधारित तथ्याङ्क लिन सकिने इटिकेटिङ प्रणाली हो बक्स अफिस । हलबाट सफ्टवेयरमार्फत सर्भरमा जोडेर तथ्याङ्क सङ्कलन गरेपछि हल सञ्चालकले लगानीकर्तालाई छल्न नपाउने नेपाल चलचित्र निर्माता सङ्घका अध्यक्ष आकाश अधिकारीले जानकारी दिए । 'बक्स अफिस लागू हुनु नै ठूलो कुरा हो, यसले हामीलाई उत्साही, खुशी नै बनाएको छ', उनले भने, 'तर राज्यले सक्रियरुपमा अनुगमन गर्नुपर्ने पनि देखिन्छ ।' बक्स अफिसबारे सर्भरलाई चलचित्र विकास बोर्डमा राखिएको छ । बोर्डले फिल्म वितरण, निर्माता र कर कार्यालयलाई सर्भरको कोड दिएपछि मात्र अनलाइनमार्फत सम्बन्धित फिल्मको व्यापारबारे जानकारी लिन सकिन्छ । फरक फिल्मलाई फरक कोड दिइने र त्यो कोर्ड सम्बन्धित प्राधिकरणलाई मात्र थाहा हुने सदस्य सचिव साखीले बताए । चलचित्र विकास बोर्डका अनुसार अहिले उपत्यकाका २० वटा चलचित्र हलमा मात्र बक्स अफिस लागू भएको छ । उपत्यकाका अन्य हल र उपत्यका बाहिरका हलवालालाई बक्स अफिसका लागि पूर्वाधार तयार गर्न पत्र पठाइसकिएको छ । राष्ट्रिय चलचित्र नीति २०७१ मा चलचित्र वितरण तथा प्रदर्शनमा बक्स अफिस प्रणालीको व्यवस्था गरिने उल्लेख गरिएको छ । सरकारले बजेटमार्फत राजश्व सङ्कलनसँगै हेर्नेका लागि लिइने टिकट प्रणालीलाई पारदर्शी र व्यवस्थित बनाउन साउन १ गतेदेखि बक्स अफिस प्रणाली लागू गर्ने घोषणा गरेको थियो । नेपाल चलचित्र संघले भने नेपालका कतिपय स्थानमा अहिलेसम्म पनि इन्टरनेटको सुविधा नभएको भन्दै बक्स अफिस अहिले नै पूर्ण हुन नसक्ने धारणा राख्दै आएको छ । सुशील दर्नालरासस"
"""'करको दर बढाइएको छैन","दायरा मात्रै फराकिलो भएको छ'"",""काठमाडौँ : अर्थमन्त्री डा युवराज खतिवडाले चालु आवको बजेट कार्यान्वयनका क्रममा राजश्व संकलन चुनौतिपूर्ण भएपनि करको दरमा परिवर्तन नगरिएको बताएका छन् । अर्थसमितिको आइतवारको बैठकमा उनले करका विषयमा विभिन्न टीकाटिप्पणी भइरहेको उल्लेख गर्दै करको दायरा बढाउन नीति अगाडि बढाइएको स्पष्ट पारे । 'बजेट र आयोजना कार्यान्वयको कार्यतालिका बनाइसकिएको छ', उनले भने, 'राजश्व अघिल्लो वर्षको तुलनामा ३५ प्रतिशतले बढी संकलन गर्ने कुरा आफैँमा चुनौतीपूर्ण रहेकाले करको दर होइन दायरा फराकिलो बनाइएको छ ।' विश्व बैँकले नेपाललाई उपलब्ध गराउँदै आएको सहायतामा उल्लेखनीय वृद्धि गर्ने आश्वासन दिएको जानकारी दिँदै उनले तीन तहको निर्वाचन गरी नेपाल आर्थिक विकास र समृद्धिको मार्गचित्र कार्यान्वयनका क्रममा रहेको बताए । अर्थसचिव डा राजन खनालले राजश्वबाट मात्रै पूर्वाधार विकास सम्भव नभएकाले लगानी वृद्धि गरेर अघि बढ्ने नीति र कार्यक्रम आवश्यक रहेको बताए । 'पूँजीगत खर्च सोचेअनुरुप भएको छैन, राष्ट्रिय गौरवका आयोजनाको प्रारम्भिक काम नभई बजेट छुट्याउँदा लक्ष्य हासिल गर्न नसकिएको हो', उनले भने, 'पूर्वतयारी नभइकन बजेट विनियोजन मात्रै गरेर हुँदोरहेनछ, भन्ने कुरा तथ्य र तथ्यांकले देखाएको छ ।' सचिव खनालले छिमेकी मुलुकसँग आयात र निर्यातबीच सन्तुलन कायम गर्न नसक्दा अहिले वार्षिकरुपमा नेपालको ११ खर्ब व्यापार घाटा रहेको जानकारी दिए । समष्टिगतरुपमा नेपालको निर्यात र आयातको अनुपात ६३ र ९३६ भने बैंकिङ प्रणालीमार्फत वार्षिकरुपमा सात खर्ब ३० अर्ब विप्रेषण आउने गरेको उनले जानकारी दिए । बैठकमा प्राकृतिक स्रोत तथा वित्त आयोगका सचिव वैकुण्ठ अर्यालले प्रदेश र स्थानीय तहलाई अनुदान उपलब्ध गराउन प्रयोग गरिएको मापनबारे जानकारी दिए ।"""
"नेपाल टेलिकमको नाफा १५ अर्ब ६६ करोड रुपैयाँ","काठमाडौं: सरकारी स्वामित्वको नेपाल टेलिकमले आर्थिक वर्ष २०७४०७५ मा १५ अर्ब ६६ करोड ७५ लाख रुपैयाँ नाफा गरेको छ । गत आवमा गरेको नाफा आर्थिक वर्ष २०७३०७४ को भन्दा १९२ प्रतिशत बढी भएको टेलिकमले जनाएको छ । अपरिष्कृत चौथो त्रैमासिक वित्तीय विवरण पश्चात् गत आर्थिक वर्षमा टेलिकमले कुल ४५ अर्ब ५६ करोड ५८ लाख रुपैयाँ आम्दानी गरेको जनाएको छ । टेलिकमको गत आवको आम्दानी आर्थिक वर्ष २०७३०७४ को तुलनामा २१९ प्रतिशतले बढी हो । टेलिकमले गरेको नाफाको आधारमा अब प्रतिसेयर आम्दानीमा अघिल्लो आर्थिक वर्ष २०७३०७४ को तुलनामा १९६ ले वृद्धि भई प्रतिसेयर आम्दानी एक सय चार दशमलब ४५ रुपैयाँ पुगेको छ । यस्ता छन् गत वर्षका काम टेलिकमले केही वर्ष अघिदेखि सुरु गरेको एकीकृत बिलिङ प्रणाली ल्याण्ड लाइन सेवासमेत सम्पन्न गरेको छ । नेपाल दूरसञ्चार प्राधिकरणको ग्रामीण दूरसञ्चार कोषबाट खर्च हुने गरी भूकम्प प्रभावित क्षेत्रमध्ये अतिप्रभावित चार जिल्लाका ७४७ स्थानमा ब्रोडव्याण्ड इन्टरनेट सेवा सञ्चालन गर्ने जिम्मेवारी कम्पनीलाई दिइएकोमा तोकिएको समय अगावै सबै स्थानमा सेवा सञ्चालनमा भएको टेलिकले जनाएको छ । यति पुगे ग्राहक २०७५ जेठ मसान्तसम्ममा टेलिकमको टेलिफोन ग्राहक आधार १ करोड ९७ लाख ४७ हजार ४ सय ४५ रहेको छ । यसैगरी इन्टरनेट ग्राहक आधार १ करोड ६ लाख ५२ हजार ४ सय २९ रहेको छ । यसरी २०७४ असार मसान्तको तुलनामा कम्पनीको ग्राहक आधार टेलिफोनतर्फ २१ लाख ४५ हजार २ सय २३ र इन्टरनेटतर्फ २२ लाख २६ हजार ५ सय ३५ ले बृद्धि भएको छ । नेपाल दूरसञ्चार प्राधिकरणको तथ्यांक अनुसार गत आर्थिक वर्षको सुरुवातमा कम्पनीको बजार हिस्सा ४९ प्रतिशत रहेकोमा गत जेठ महिनामा सो बजार हिस्सा २ प्रतिशतले बृद्धि भई ५१ प्रतिशत पुगेको छ । अबको लक्ष्य टेलिकले चालु आवमा सूचना महामार्गको पूर्वाधार विस्तार गर्ने लक्ष्य लिएको छ । नेपाल दूरसञ्चार प्राधिकरणको ग्रामीण दूरसञ्चार विकास कोषबाट वित्तीय सहयोग प्राप्त हुने गरी प्रदेश १,२,३ को मध्य पहाडी लोकमार्गमा अप्टिकल फाइवर तथा उच्च क्षमतायुक्त उपकरण बिस्तार गर्ने योजना अगाडि बढाएको छ । यसका लागि पाँचवटा बोलपत्र आह्वान भइसकेको छ । यसैगरी पाँचथरको चिया भञ्ज्याङदेखि गोर्खाधादिङको आरुघाटसम्म कुल २ हजार १ सय ७९ किलोमिटर अप्टिकल फाइबर नेटवर्क विस्तार गर्ने टेलिकमले योजना बनाएको छ । यस्तैगरी जीएसएम मोवाइल सेवामा चालु आर्थिक वर्ष २०७५७६ मा पोष्टपेडतर्फ ५९ हजार ८ सय ३० लाइन र प्रिपेडतर्फ २५ लाख ५० हजार मोबाइल लाइन वितरण गर्ने लक्ष्य लिइएको छ । साथै यसै आवमा सीडीएमए प्रविधिका ८१ हजार ६ सय २ लाइन टेलिफोन वितरण गर्ने लक्ष्य टेलिकमले लिएको छ । चालु आर्थिक वर्षमा पीएसटीएन (ल्यान्ड लाइन)सेवातर्फ ४२ हजार २ सय ६१ लाइन टेलिफोन वितरण गर्ने टेलिकमको लक्ष्य छ । दूरसञ्चार क्षेत्रको बजारमा मोबाइल तथा डाटा सेवाको माग बढ्दै गएकाले आगामी दिनमा डाटा सेवाको विस्तारको लागि सेवामार्फत वायरलेस ब्रोडब्यान्ड सेवालाई थप प्रवद्र्धन गर्ने टेलिकमले जनाएको छ । यसकाा साथै शहरी क्षेत्रका ग्राहकहरुलाई उच्च क्षमताको डाटा सेवा प्रदान गर्न काठमाडौं उपत्यका लगायत मुलुकका मुख्यमुख्य सहरमा तीन लाख क्षमताको फाइवर टु दी होम नेटवर्क विस्तार गरी १ लाख ग्राहकहरुलाई सेवा प्रदान गर्ने टेलिकमले जनाएको छ । बिस्तार हुँदै वाइम्याक्स चालु आवमै विद्यालय, स्वास्थ्य संस्था र गाउँपालिकामा वाइम्याक्स प्रविधिमार्फत् न्युनतम ५ सय १२ केविपिएस क्षमताको ब्रोडब्याण्ड इन्टरनेट सेवाको हट स्पट स्थापना गरी मुलुकका ७७ वटै जिल्ला सदरमुकाम तथा प्रमुख ब्यापारिक केन्द्रहरुमा वार्ईफाई सेवा सञ्चालनमा ल्याउने टेलिकमले तयारी गरेको छ । २२ अर्ब पुँजीगत लगानी टेलिकमले सेवा विस्तार तथा गुणस्तर विकासका लागि करिब २२ अर्ब पुँजीगत लगानी गर्ने योजना तय गरेको छ । आर्थिक वर्ष २०७५७६ मा भ्वाइस सेवातर्फ कुल २७ लाख ३३ हजार टेलिफोन लाइन थप वितरण गरी टेलिघनत्व ७० प्रतिशत पुर्याउने तथा डाटा सेवाको घनत्व पनि वृद्धि गर्दै ४५ प्रतिशत पुर्याउने कार्यक्रम राखेको छ । यस्तैगरी कम्पनीले आर्थिक वर्ष २०७५७६मा कम्पनीको सञ्चालन आय ४४२५ अर्ब पुर्याउने र कुल आय १० प्रतिशतले वृद्धि गर्ने लक्ष्य तय गरेको छ ।"
"किशाेरीलार्इ अनैतिक काममा लगाउने रेस्टुरेन्ट सञ्चालक पक्राउ","ललितपुर : किशोरीलाई रोजगारीको प्रलोभनमा पारेर रेस्टुरेन्टमा अनैतिक काममा लगाउने रेस्टुरेन्ट सञ्चालक पक्राउ परेका छन् । ललितपुर सानेपा रुफटप रेस्टुरेन्ट एण्ड बार सञ्चालक सुजन कार्की र रामचन्द्र कार्कीलाई पक्राउ पक्राउ परेका हुन् । किशोरीलाई कामको लोभमा शोषण गरेको आरोपमा पक्राउ परेका सञ्चालकमाथि कारवाही प्रक्रिया अघि बढाइएको महानगरीय प्रहरी परिसर ललितपुरले जनाएको छ । सञ्चालक द्वयले विभिन्न जिल्लाबाट किशोरी ल्याएर रोजगारी दिने भन्दै शोषण गरेको पाइएको परिसरका प्रवक्ता नरेन्द्र चन्दको भनाइ छ । उनीहरुलाई यौन शोषणसमेत गरेको भन्ने उजुरीका आधारमा पक्राउ गरिएको हो, उनले भने । प्रहरीले उनीहरुविरुद्ध मानव बेचविखनको आरोपमा समेत अनुसन्धान अघि बढाएको छ । रेस्टुरेन्टबाट चार किशोरी उद्धार गरिएको प्रवक्ता चन्दले जानकारी दिए । परिसरले विशेष सुराकीका आधारमा अनुसन्धान गरेर कारवाही गरेको हो । घटनाका विषयमा थप अनुसन्धान भइरहेको चन्दको भनाइ छ ।रासस"
