"शीर्षक","विवरण"
"एकता सहमति कार्यान्वयनमा बहाना खोजे दुर्भाग्य : प्रचण्ड","चितवन : नेकपा अध्यक्ष पुष्पकमल दाहाल प्रचण्डले एकताको सहमतिबाट पछि हटे पार्टी र देश खतरामा पर्ने बताएका छन् । एकता गर्दाको सहमति कार्यान्वयनमा कुनै बहाना खोजे त्योभन्दा बढी दुर्भाग्य अरू केही हुँदैन, नेकपा चितवनको जिल्ला कमिटीको शपथग्रहण कार्यक्रममा सोमबार अध्यक्ष दाहालले भने । एकताको मर्मअनुसार काम गर्न उनले कार्यकर्तालाई निर्देशन दिए । एकताका आधारका रूपमा तयार दस्तावेज र सहमतिबाट कोही पनि विचलित हुन नपाउने उनको भनाइ थियो । दस्तावेज, सहमति र हस्ताक्षरबाट कुनै बहाना गरेर विचलित हुन खोज्यांै भने पार्टीका लागि सबैभन्दा ठूलो दुर्भाग्य हुनेछ, उनले भने । उनले मार्क्सवादको सिद्धान्त लागू गर्न नसके पार्टी एकता निर्वाचन जित्नका लागि मात्रै हो भन्ने अर्थ लाग्न सक्ने धारणा व्यक्त गरे । पार्टी एकता निर्वाचन जित्न मात्र नभई कम्युनिस्ट शक्ति मापन गर्ने ब्यारोमिटर भएको उनको भनाइ छ । एकता भाँड्न राष्ट्रिय र अन्तर्राष्ट्रिय तहबाट षड्यन्त्र भएको दाबी उनले गरे । यसप्रति सचेत रहन उनले नेता तथा कार्यकर्तालाई आग्रह गरे । विपक्षीले एकता प्रक्रियादेखि टुंगिने अवस्थामा भाँड्न खोजेको आरोप उनले लगाए । उनले १ सय ५५ सदस्यीय जिल्ला कमिटीलाई शपथ खुवाएका थिए ।"
"पकाउने प्रतियोगितामा सुनसरी नेपालीले जितिन् प्रथम स्थान","पोखरा : पोखरामा सम्पन्न पाककलामा आधारित राष्ट्रिय सीप प्रतियोगितामा प्रदेश नम्बर ३ की सुनसरी नेपाली प्रथम भएकी छन् । गत शुक्रबार साँझ पोखरा ग्रान्डमा १४ जनाबीच भएको फाइनल चरणमा नेपालीले २४१५ अंकका साथ प्रथम स्थान हासिल गर्न सफल भएकी हुन् । विजेता नेपालीले उक्त उपाधिको साथमा नगद एक लाख रुपैयाँ पुरस्कार जितेकी छन् । प्रदेश नम्बर ३ कै रमेश थापाले दोश्रो स्थान हासिल गरे । थापाले २२७५ अंकका साथ दोश्रो हुँदै नगद ७५ हजार रुपैयाँ प्राप्त गरे । प्रदेश नम्बर ५ का ओमप्रसाद ढकालले २२३ अंकका साथ तेश्रो हुँदै ५० हजार रुपैयाँ पुरस्कार प्राप्त गरे । सात प्रदेशका १६३ जना प्रतियोगीबाट विभिन्न चरणमा छनोट गरी फाइनलमा १४ जना प्रतियोगी सहभागी थिए । सीटीईभीटी, राष्ट्रिय सीप परीक्षण विभागको आयोजनामा तथा सुइस सरकारको प्राविधिक सहयोगमा नेपालमै पहिलो पटक प्रतियोगिता भएको सीटीईभीटीका सदस्य सचिव रमेश बखतीले बताए । प्रतियोगिताको निर्णायकमा वरिष्ठ सेफ गोविन्द नर्सिङ केसी, एलबीकौशल, राजकुमार लामा रहेका थिए भने सेफ एशोसियसनका अध्यक्ष श्रीराम अधिकारीले अनुगमन गरेका थिए । नेपाल भ्रमण वर्ष मनाउने तयारी गरी रहँदा नेपालमा प्राविधिक तथा दक्ष जनशक्ति अभाव भएको सन्दर्भमा यस्ता प्रतियोगिताले प्राविधिक जनशत्ति उत्पादन गर्न टेवा पुग्ने अध्यक्ष बखतीले जनाए ।"
"दुई युवतीमाथि सामूहिक बलात्कार","भैरहवा : रूपन्देहीको गैडहवा गाउँपालिकाका दुई युवती सामूहिक बलात्कारमा परेका छन् । गैडहवा गाउँपालिकाको प्रधानमन्त्री रोजगार कार्यक्रम अधिकृत जीवन ज्ञवाली पनि यो घटनामा मुछिएका छन् । यद्यपि उनले घटनामा आफ्नो संलग्नता अस्वीकार गरेका छन् । पीडितले किटानी जाहेरी दिएपछि ज्ञवालीलाई असार ५ मा पक्राउ गरी घटनाको अनुसन्धान अघि बढाइएको इलाका प्रहरी लुम्बिनीका प्रहरी निरीक्षक शंकर पोखरेलले बताए । उनका अनुसार असार २ गते राति गैडहवाका९ का २२२३ वर्षका दुई युवती सामूहिक बलात्कारमा परेका हुन् । ती युवती र स्थानीय विष्णु थारूले उक्त रात एक रेस्टुरेन्टमा सँगै बसेर मदिरा पिएका थिए । तीनै जना घर फर्किने क्रममा सँगै रहेका विष्णुले अन्य युवा बोलाएर जबर्जस्ती गरेको पीडित पक्षको आरोप छ । तर, घटनामा संलग्न युवकको संख्या यकिन नभएको प्रहरीले जनाएको छ । घटनाकै बेला एक युवती भने भागेर नजिकै हसनापुर गाउँमा गएर गुहार मागेकी थिइन् । प्रधानमन्त्री रोजगार कार्यक्रमका गैडहवा संयोजक एवं सोही गाउँका बासिन्दा ज्ञवालीसहित पाँच जना उद्धारका लागि निस्किएका थिए । तर, उनीहरूले उल्टै आफूलाई बलात्कार गरेको जाहेरी पीडितले दिएको प्रहरी निरीक्षक पोखरेलको भनाइ छ । ज्ञवालीले भने आरोप अस्वीकार गरेका छन् । उनको बयान उद्धृत गर्दै प्रहरी स्रोतले भन्यो, घटनास्थलमा मैले हेर्दा सहमतिमा यौनसम्पर्क भइरहेजस्तो लाग्यो अनि म फर्किएँ । अभियुक्त विष्णु फरार छन् । प्रहरीले उनको खोजी गरिरहेको छ । घटनामा संलग्न अधिकांशको पहिचान खुलेको छैन । घटनामा १२ जना संलग्न रहेको अनुमान गरिएको छ । हामीले घटनाको सूक्ष्म ढंगले अनुसन्धान गरिरहेका छौं, पोखरेलले अन्नपूर्णसँग भने, दोषीहरू उम्किन पाउँदैनन् । मदिरासहित खाजा खाएर घर फर्किन लाग्दा विष्णुसहितका युवाले सुरुमा बलात्कार गरेको पीडितको भनाइ उद्धृत गर्दै गैडहवा९ का वडाध्यक्ष टेकबहादुर बलालले बताए । बलात्कारमा परेका उनीहरूको स्वास्थ्य अवस्था उपचारपछि सामान्य छ ।"
"""सरकारी आईसीयूमा बेड पाउन गाह्रो","निजीमा तिर्न गाह्रो"",""काठमाडौं : एमबीबीएसको तयारी गरिरहेको भाइलाई उपचारका लागि सरकारी अस्पतालमा सघन उपचार कक्ष (आईसीयू) खोज्दै हिँडेका इन्द्रजीत गौतम तनावमा छन् । टाइफाइडपछि एक्कासी स्वास्थ्य समस्या जटिल बनेको थियो । एक साताअघि सिभिल अस्पताल पुर्याएका गौतमले आईसीयू नै पाएनन् । अस्पतालका चिकित्सकले बेड नभएको बताउँदै कान्तिपुर अस्पतालमा रेफर गरे । कान्तिपुरमा आईसीयूमा राखेको चार दिनमा ४७ हजारको बिल उठिसकेको छ । उनी भन्छन्, सरकारी अस्पतालमा बेड पाउनै गाह्रो रहेछ । निजीमा शुल्क महँगो रहेछ । सरकारी अस्पतालमा आईसीयू बेड खोज्ने क्रममा सोमबार त्रिवि शिक्षण अस्पतालमा पुग्दा उनी निरास देखिन्थे । अस्पतालको इमरजेन्सीमा सोध्दा आईसीयूमा बेडै छैन । दुईजनालाई बेड नभएकाले इमरजेन्सीमै राख्नु परेको चिकित्सकले सुनाए, उनले भने । अस्पतालका कार्यकारी निर्देशक डा प्रेमकृष्ण खड्गासँग भेट्न जाँदा ढोका बाहिरबाटै सहायकले व्यस्त भन्दै पन्छाए । शिक्षण अस्पतालमा मुख्य आईसीयूमा ११ बेड छन् । मेडिकलमा ८ बेड छन् । जुन सितिमिति खाली हुँदैन । आईसीयूको बेड पाउनु त चिट्ठा पर्नु जस्तै हो, प्रशासनका एक कर्मचारीले भने । सरकारी अस्पतालका आईसीयूमा बेड पाउन पनि बहालवाला मन्त्रीले सोर्स लगाउने गरेको अनुभव कर्मचारीको छ । देशको सबैभन्दा पुरानो वीर अस्पतालमा आईसीयू बेड २० मात्र छन् । अस्पतालका निर्देशक डा केदार सेञ्चुरी भन्छन्, निजी अस्पतालमा खर्च बढी भयो भन्दै सिकिस्त बिरामी दिनहुँ आउँछन् । यहाँ बेड पाउनै गाह्रो छ । बिरामी चापको तुलनामा २० बेड थोरै भएको उनले बताए । वीरमा आईसीयूको शुल्क ३ हजार छ । देशको एकमात्र रेफरल अस्पताल कान्ति बाल अस्पतालमा पनि आईसीयू बेड पाइँदैन । अस्पतालमा ३० बेडको आईसीयू छ । अस्पतालका ड्युटी अफिसर रमेशनरसिंह केसी भन्छन्, दिनको ५७ जना आईसीयूका बिरामीलाई बेड नभएर फर्काउनु परेको छ । निजीमा आईसीयू सेवा पाइए पनि तिर्नै नसक्ने गरी महँगो छ । शिक्षण अस्पतालमा आईसीयूको शुल्क १४ सय छ भने निजी अस्पतालमा प्रति बेड २१ हजारसम्म छ । निजीले दिने सेवाको शुल्कसम्बन्धी मापदण्ड निर्धारण नगर्दा त्यसको मारमा बिरामी परेको उपभोक्ता हित संरक्षण मञ्चका उपमहासचिव विष्णुप्रसाद तिमिल्सिना बताउँछन् । सरकारीका आईसीयूको शुल्कभन्दा निजीको शुल्क झन्डै १४ गुणा धेरै छ । निजीले ८५ सय देखि २१ हजारसम्म लिने गरेको महालेखा परीक्षक कार्यालयको ५६ औं वार्षिक प्रतिवेदनमा उल्लेख छ । एसोसिएसन अफ प्राइभेट हेल्थ इन्स्टिच्युसन नेपाल (अफिन)का वरिष्ठ उपाध्यक्ष कुमार दाहाल निजीमा लगानी धेरै गर्नु परेकाले सरकारीभन्दा बढी शुल्क लिनु परेको तर्क गर्छन् । उनी भन्छन्, होटलमा जानुस् त कति लिन्छन् ? सरकारले हामीलाई केही दिँदैन, उल्टो उठाउँछ । अनि बिरामीसँग शुल्क नलिएर के गर्नु ? निजी स्वास्थ्य संस्थाले दिने सेवाको शुल्क निर्धारण गर्न स्वास्थ्य तथा जनसंख्या मन्त्रालयका सचिव डा पुष्पा चौधरीको अध्यक्षतामा सेवा शुल्क निर्धारण समिति गठन गरिएको छ । तर यसले अझै शुल्क निर्धारण गरेको छैन । समितिले शुल्क निर्धारण गर्न बेवास्ता गर्दा निजी अस्पतालले मनपरि शुल्क लिइरहेको उपभोक्ता हित संरक्षण मञ्चका उपमहासचिव तिमिल्सिनाको दाबी छ । उनले भने, सरकारले शुल्क निर्धारणमा ढिलाइ गर्नु हुँदैन । सर्वसाधारण लुट्ने हिसाबले अस्पतालले शुल्क लिन पाइँदैन ।"""
"तीन जिल्लाका १२ ठाउँमा एकैपटक प्रर्दशन","काठमाडौं : सरकारले गुठी विधेयक फिर्ता गर्ने घोषणा गरेपनि आन्दोलन रोकिएको छैन । गुठीयार, सम्पदा, संस्कृतिअभियान्ताले गुठी विधेयक खारेजीको माग गर्दै आन्दोलन जारी राखेका हुन् । काठमाडौं, भक्तपुर र ललितपुरका १२ स्थनमा सोमबार एकै चोटी विरोध जुलुस निस्किएको थियो । पाटन, भक्तपुर, ठिमी, साँखु, बालाजु, कीर्तिपूर, रत्नपार्कलागयतका स्थानबाट बेलुका ४ बजे एकै चोटी गुठीयारहरूले खबरदारी जुलुस निकालेका हुन् । उनीहरूले कालो झण्डा र नेपाली राष्ट्रिय झण्डा बोकेर प्रदर्शन गरेका थिए । राष्ट्रिय पहिचान संरक्षण संयुक्त संघर्ष समिति संयोजक गणपतिलाल श्रेष्ठले राष्ट्रिय सभाले फिर्ता गरी सरोकारवालासँग पुनर्लेखनका लागि छलफल आह्वान नगरेसम्म खबरदारी जुलुस निकालिरहने बताए । आन्दोलनरत पक्षले सांसदलाई गुठीका पक्षमा बोलिदिन म्यासेज गरेका छन् ।"
"६५ वर्ष कटेपछि पार्टी छाडौँ : सिटौला","काठमाडौं : कांग्रेस नेता कृष्णप्रसाद सिटौलाले पार्टी पुनर्जागरणका लागि युवालाई नेतृत्वमा ल्याउन आवश्यक रहेको बताएका छन् । जीपी कोइराला अध्ययन केन्द्रले सोमबार राजधानीमा आयोजना गरेको अन्तक्र्रियामा उनले ६५ वर्ष उमेर कटेका नेताले पार्टीबाट नेतृत्व छाड्नुपर्ने बताए । ६५ नाघेका हामीजस्ताले पार्टी नेतृत्व युवालाई हस्तान्तरण गर्नुपर्छ, उनले भने, युवा साथीहरू अगाडि आउनुपयो । सत्ता र प्रतिपक्ष दुवै गलत बाटोमा हिँडिरहेको उनको भनाइ थियो । अर्का नेता गगनकुमार थापाले पार्टी नेतृत्वले महाधिवेशनको कार्यतालिका सार्वजनिक गर्नुपर्ने बताए । पार्टीको संगठनात्मक संरचना नरहेको अवस्थामा जागरण अभियान गर्नुको तुक नभएको उनको भनाइ थियो । हामीले आउँदो फागुनमा महाधिवेशन गर्न नसके पनि यो मितिमा गर्छौँ भनेर कार्यतालिका ल्याउनै पर्छ, उनले भने, पार्टी बलियो बनाउन महधिवेशनको विकल्प छैन । अर्का नेता प्रदीप पौडेलले पार्टी पुनर्जागरणका लागि नेतृत्वमा गम्भीरता नदेखिएको आरोप लगाए । नेतृत्वमा भविष्यको चिन्ता नरहेको उनको भनाइ थियो ।"
"८ किलो चरेससहित सिरहामा दुई पक्राउ","सिरहा : सिरहाको धनगढीमाई नगरपालिका १० श्यामपुरबाट सिरहा सुराकीको आधारमा प्रहरीको विशेष टोलीले ठूलो परिमाणमा लागूऔषध चरेससहित दुई जनालाई पक्राउ गरेको छ । पक्राउ पर्ने धनगढीमाई नगरपालिका ११ का रामभगत महतो र सोही नगरपालिका वडा नम्बर १२ का रामेश्वर महतो रहेको सिरहा प्रहरी प्रमुख एसपी उमाप्रसाद चतुर्वेदीले बताए । १७ वटा प्याकेटमा करिब साढे आठ किलो चरेस सहित पक्राउ परेका महतोद्वयलाई इलाका प्रहरी कार्यालय लहानमा राखेर थप अनुसन्धान भइरहेको छ ।"
"शिक्षिकाको कुटाइबाट १० वर्षे बालक घाइते","गोरखा : गोरखा नगरपालिका ११ स्थित सेन्ट जोसेफ स्कुलमा पढ्ने १० वर्षीय बालकलाई शिक्षिकाले कुटेर घाइते बनाएकी छन् । कक्षा पाँचमा पढ्ने श्रीयन्स श्रेष्ठलाई विज्ञान विषय पढाउने शिक्षिका मनिषा मगरले सोमबार दिउसो कुटेर घाइते बनाएको बालककी आमा सुजना श्रेष्ठले जानकारी दिइन् । सोही नगरपालिका १० छेपेटार निवासी घाइते बालकलाई गोरखा जिल्ला अस्पतालमा उपचार गरिएको छ । उनको ढाड, हातमा जताततै निलडाम छ । उनले बान्ता पनि गरेको बालककी आमा सुजनाले जानकारी दिइन् । किताब नल्याएको भन्दै फलामको रुलरले कुटेको घाइते बालकले बताए । पाँचौ पिरियड विज्ञान मिसको थियो । मिसले खै किताब भनेर सोध्नुभयो । मैले छ भनेँ, बालकले भने, मैले किताब त ल्याएको थिएँ, तर साथीले लुकाइदिएछ । देखाउन सकिनँ । अनि ढाँट्छस् भनेर कुट्न थाल्नुभयो । आफ्ना छोरालाई निर्घात कुट्ने शिक्षिकालाई कारबाहीको माग गर्दै जिल्ला प्रहरी कार्यालयमा जाहेरी दिएको बालककी आमा श्रेष्ठले बताइन् ।"
"गुठीको जिम्मा स्थानीय सरकारलाई दिनु उपयुक्त : बिजुक्छे","भक्तपुर : नेपाल मजदुर किसान पार्टीका अध्यक्ष नारायणमान बिजुक्छेले उपत्यकाका गुठीहरूको सम्पूर्ण जिम्मेवारी प्रदेश वा स्थानीय सरकारहरूलाई दिनु उपयुक्त हुने सुझाव दिएका छन् । गुठी जग्गाहरू लथालिंग अवस्थामा रहेकाले त्यसको संरक्षण गर्नु आवश्यक भएको उनको भनाइ थियो । भक्तपुर नगरपालिकाको पाँचौं नगरसभा सोमबार उद्घाटन गर्दै अध्यक्ष बिजुक्छेले किसानहरूबीच समानता ल्याउन गुठी जग्गामा मोहियानी हकको माग उचित भएको बताए । टोलटोलमा भएका सांस्कृतिक सम्पदाहरूको पुनर्निर्माणको जिम्मा पनि स्थानीय तहलाई नै दिनुपर्छ, उनले भने । उनले जनप्रतिनिधिहरूले जनताको मतको कदर गर्दै जनतालाई अप्ठ्यारो हुने काम नगर्न सचेतसमेत गरे । जनताको क्रयशक्ति कमजोर हुँदा व्यापार र उद्योगधन्दाको विकासमा प्रत्यक्ष असर पर्छ, अध्यक्ष बिजुक्छेले भने, बहुमत जनताको क्रयशक्ति बलियो भएमात्र व्यापारीहरूको क्रयशक्ति पनि बलियो हुन्छ र व्यापारीहरूलाई पनि फाइदा पुग्छ । उनले उत्पादनको साधनलाई सामाजिकीकरण गर्ने, योग्यताअनुसारको काम र कामअनुसारको ज्यालाको बन्दोबस्त नै समाजवादी सिद्धान्त भएको स्पष्ट पारे । अध्यक्ष बिजुक्छेले नगरपालिकाभित्र खाद्य गुणस्तर जाँच गर्ने प्रविधिको व्यवस्था गर्न सुझाव दिए । भक्तपुर क्षेत्र नं १ का प्रतिनिधिसभा सदस्य प्रेम सुवालले काठमाडौं उपत्यकामा अव्यवस्थित आवास योजना सञ्चालन हुँदा कृषियोग्य भूमिको विनास भइरहेको बताए । सरकारको नवौं पञ्चवर्षीय योजनामा भक्तपुरलाई सांस्कृतिक नगर घोषणा गर्ने योजना भए पनि बजेटमा त्यसको व्यवस्था नगरिएको उनको भनाइ थियो । कार्यक्रमका भक्तपुर नगरपालिकाका प्रमुख सुनिल प्रजापतिले नपाको आर्थिक वर्ष २०७६७७ को नीति तथा कार्यक्रम प्रस्तुत गरे । उनले संघीयताको अर्थ प्रशासनिक, वित्तीय स्वायत्तता र विकेन्द्रीकरण भएको भए पनि व्यवहारमा त्यस्तै हुन नसकेको स्पष्ट पारे । संघीयता कार्यान्वयनका लागि काठमाडौं केन्द्रित विकासलाई देशको सन्तुलित विकासमा रुपान्तरण गरिनु आवश्यक छ, उनले भने, ससाना कामको लागि प्रधानमन्त्री र मन्त्रीहरूको आदेश चाहिने प्रथाको अन्त्य हुनुपर्छ । स्थानीय तहलाई माथिको आदेश पालना गर्ने इकाइबाट मुक्त गरेर स्वायत्त ढंगले आआफ्नो क्षेत्रको विकास गर्ने अवसर प्रदान गर्नु नै संघीयताको मर्म भएको उनको भनाइ थियो ।"
"बैंक तथा वित्तीय संस्थाको फोर्स मर्जर नीति लागू गर्ने तयारी","काठमाडौं : राष्ट्र बैंकका गभर्नर डा चिरञ्जीवी नेपालले बैंक तथा वित्तीय संस्थाको फोर्स मर्जर नीति लागू गर्ने तयारी भइरहेको बताएका छन् । आईबीएन मिडिया एन्ड रिसर्चले आयोजना गरेको मौद्रिक नीतिसम्बन्धी छलफल कार्यक्रममा गभर्नर नेपालले बैंक तथा वित्तीय संस्था फोर्स मर्जर गर्ने गरी आर्थिक वर्ष २०७६७७ को मौद्रिक नीति ल्याउन लागेको जानकारी दिए । सरकारले दीर्घकालीन सोच लिएर मौद्रिक नीति जारी गर्ने भन्दै गभर्नर नेपालले बैंक तथा वित्तीय संस्थाको मर्जर बिना देश नबन्ने बताए । बैंकहरू मर्जमा नगइ सुखै छैन, उनले भने,मौद्रिक नीति नआउन्जेल एक अर्कामा प्रेम गर्नुस्, तपाईंहरूको काउन्टडाउन सुरु भइसकेको छ । मन मिल्ने बैंक अहिले नै छानेर मर्जरका लागि तयारी रहन उनले सुझाव दिए । फोर्स मर्जरबिना बैंक तथा वित्तीय संस्था मर्जरमा जान आनाकानी गर्ने उनले बताए । २०६२६३ देखि बैंकलाई मर्जरका लागि राष्ट्र बैंकले खुला छाडे पनि १० वर्षसम्म एकदुई बैंक बाहेक अन्यले पँुजीको सीमा बढाउन नसकेको भन्दै गभर्नर नेपालले बाध्यकारी नीतिबिना बैंक अघि नबढ्ने दाबी गरे । २०७२ मा पुँजीको सीमा बढाउँदा धेरैले गाली गरे, उनले भने,अहिले ती बैंकरले पनि बैंकको पुँजीको सीमा अझै बढी चाहिने बताउन थालेका छन् । पहिले पुँजीवृद्घि गरेर ८ अर्ब पुर्याउँदा आफू एक्लै लडेको तर अहिले मर्जरको विषय बजेटमै सम्बोधन भएकाले समस्या नहुने उनले बताए । उनले राष्ट्र बैंकले मौद्रिक नीति देशको वित्तीय नीतिलाई सहयोग पुग्ने गरी र मुद्रास्फिीतिलाई नियन्त्रण गर्ने गरी ल्याइने बताए । नेपाल बैंकर्स एसोसिएसनका अध्यक्ष ज्ञानेन्द्र ढुंगानाले मौद्रिक नीतिका लागि आफूहरूले लिखित सुझाव दिएको बताए । उद्योगीव्यवसायीले बैंकलाई पेल्ने गरी ब्याजदर ३५ प्रतिशत बनाउन लबिङ गरेका छन्, उनले भने,उनीहरूले आगामी दिनमा बैंकले किन नाफा खानुपर्यो भन्न थाल्नेछन् । सहमतिलाई उद्योगीव्यवसायीले कार्टेलिङ भन्नु गलत भएको उनको भनाइ छ । नेपाल उद्योग वाणिज्य महासंघका उपाध्यक्ष किशोर प्रधानले मौद्रिक नीति कस्तो आउँछ भन्ने चासोका साथ निजी क्षेत्र हेरिरहेको बताए । बैंकले साना तथा मझौला उद्योगमा लगानी गर्न आनाकानी गर्ने गरेकाले बिग मर्जरबारे सोच्नुपर्ने बताए । ठूला उद्योग हातमा गन्ने छन्, बैंकले साना तथा मझौलालाई लगानी नगरी ठूलालाई मात्रै गर्ने गरेकाले बिग मर्जरको पक्षमा निजी क्षेत्र छैन, उनले भने । नेपाल चेम्बर अफ कमर्सका उपाध्यक्ष कमलेश अग्रवालले लगानीयोग्य पुँजीको अभाव रहेको भन्दै सबैले एउटै क्षेत्रमा लगानी गर्ने परिपाटी अन्त्य गरिनुपर्ने बताए ।"
