"शीर्षक","विवरण"
"दुई बलात्कार घटनामा दुईजना पक्राउ","उदयपुर : दुई महिलालाई बलात्कार गरेको आरोपमा उदयपुरको छुट्टाछुटै स्थानबाट प्रहरीले दुईजनालाई पक्राउ गरेको छ । आइतबार दिउसो ५ बजे २१ वर्षीया युवतीलाई बलात्कार गरेको आरोपमा त्रियुगा नगरपालिका७ चुहाडे पिपल चोकका ५२ वर्षीय धनबहादुर दनुवार पक्राउ परेका हुन् । यस्तै आइतबार राति ६ बजे ३५ वर्षीया महिलालाई बलात्कार गरेको आरोपमा वडा नं १६ कसेनीका ४३ वर्षीय भीमबहादुर तामाङलाई पक्राउ गरेको जिल्ला प्रहरी कार्यालय उदयपुरका प्रहरी प्रमुख एसपी चन्द्रदेव राईले जानकारी दिए । दुबैलाई आइतबार राति नै पक्राउ गरी प्रहरी हिरासतमा राखी थप अनुसन्धान गरिएको एसपी राईले बताए ।"
"अवैध बाटो हुँदै विदेश पठाउने महिला सहित तीन पक्राउ","बिर्तामोड : नेपाली महिलालाई भारतीय नाका हुँदै गैर कानुनी रुपमा कुवेत पठाउने काममा संलग्न एक महिला सहित तीनजना पक्राउ परेका छन् । पक्राउ पर्नेमा झापा भद्रपुर४ ज्ञानेचोकका ३१ वर्षीय मंगल सिंह लिम्बू, सोही वडाको फागुचोक बस्ने ३० वर्षीया मीना थापामगर र मेचीनगर १५ प्रगति टोलका ४५ वर्षीय मुलुक चन्द राजवंशी रहेको प्रहरीले जनाएको छ । इलाका प्रहरी कार्यालय काँकडभिट्टाका प्रहरी नायव उपरीक्षक (डिएसपी) महेश थापाका अनुसार मोरङका दुई र झापाकी एक गरी तीनजना महिलालाई काँकडभिट्टा नाका हुँदै भारततर्फ लैजाने क्रममा उनीहरु पक्राउ परेका हुन् । पक्राउ परेपछि लिम्बू, थापामगर र राजवंशी एजेन्ट रहेको खुलेको र बाँकी महिलालाई भारतीय भूमि हुँदै कुवेत पठाउन लगेको अनुशन्धानका क्रममा खुलेको डिएसपी थापाले बताए । उद्वार गरिएका महिलाहरुको तीनवटा पासपोर्ट पनि पक्राउ परेका लिम्बूको साथबाट बरामद भएको प्रहरीको भनाको छ । उद्वार गरिएका झापा र मोरङका तीन महिला २२ देखि ३५ वर्ष उमेर समूहका विवाहित हुन् । उद्वार गरिएका तीनैजना महिलालाई उनीहरुको परिवारमा जिम्मा लगाइएको छ । पक्राउ परेका तीन जनालाई मानव बेचविखन तथा ओसारपोसर सम्बन्धी मुद्दा सोमबार अदालतमा दर्ता गराइ थप अनुसन्धान भइरहेको डिएसपी थापाको भनाइ छ । महिला भारत हुदै तेस्रो मुलुक पठाउने गहिरोका तीन एजेन्ट पक्राउ परेपनि उनीहरुको मुख्य योजनाकार अर्कै व्यक्ति भएकाले अनुसन्धान भइरहेको थापाले बताए । योजनाकारको खोजी कार्य तीव्र पारिएको उनको भनाई छ ।"
"प्रदेश विश्वविद्यालय अध्ययन कार्यदलले बुझायो प्रतिवेदन","हेटौंडा : तीन नम्बर प्रदेशमा प्रदेश विश्वविद्यालय स्थापना गर्न बनेको अध्ययन तथा सिफारिस समितिले सामेबार मुख्यमन्त्री डोरमणि पौडेललाई प्रतिवेदन बुझाएको छ । प्रदेश सरकारको गत पुस २९ बसेको मन्त्रिपरिषद्को निर्णय अनुसार प्रदेश ३ मा विश्वविद्यालय स्थापना तथा सञ्चालन गर्न सामाजिक विकास मन्त्रीको युवराज दुलालको संयोजकत्वमा अध्ययन तथा सिफारिस समिति बनेको थियो । राष्ट्रिय र अन्तर्राष्ट्रियस्तरका राम्रा र नराम्रा अभ्यासहरुको अध्ययनपछि प्रतिवेदन तयार पारी मुख्यमन्त्रीलाई बुझाइएको कार्यदलका संयोजक तथा सामाजिक विकास मन्त्री दुलालले बताए । प्रतिवेदन तयार गर्न कार्यदललाई दुई महिनाको समय दिइएकोमा समय अपुग भएपछि ४५ दिनको समय थप गरिएको थियो । प्रदेश विश्वविद्यालय अहिलेको तुलनामा बढि प्राज्ञिक स्वतन्त्रता हुनुपर्ने, आर्थिक लगानी तथा वित्तीय व्यवस्थापन आफैंले गर्न सक्ने हुनुपर्ने, उच्च स्तरको शैक्षिक अध्ययन र अनुसन्धान केन्द्रको रुपमा हुनुपर्ने सुझाव दिइएको कार्यदलका संयोजक दुलालले बताए । शैक्षिक क्षेत्रका विज्ञहरु, प्रदेश सभाका सदस्यहरु, स्थानीय तहका प्रतिनिधिहरुको सँगको छलफल पछि प्रतिवेदन निर्माण गरिएको उनले जानकारी दिए । कार्यदलको सदस्यहरुमा शिक्षा क्षेत्रका विज्ञहरु डा युवराज संग्रौला, प्राडा रमेश प्रसाद भट्टराई, प्राडा अन्जना सिं, प्राडा हरिकृष्ण श्रेष्ठ र इन्जिनियर डाजगत बहादुर श्रेष्ठ रहेका रहेका छन् ।"
"दुर्घटनामा दुई युवकको मृत्यु","राजविराज : तीब्र गतिमा गुडेका बस र मोटरसाइकल एक आपसमा ठोक्किँदा सोमबार साँझ दुई युवकको मृत्यु भएको छ । सप्तरीको शम्भुनाथ नगरपालिका ६ देवधारस्थित पूर्वपश्चिम राजमार्गमा भएको दुर्घटनामा मोटरसाइकलमा सवार सप्तरीको खड्क नगरपालिका ४ का २६ वर्षीय नबिन चौधरी र सिरहाको लहान नगरपालिका १२ का २७ वर्षीय ओमप्रकाश चौधरीको मृत्यु भएको प्रहरीले जनाएको छ । पूर्वबाट पश्चिमतर्फ जादै गरेको ना५ ख ४६९२ नम्बरको यात्रुबाहक बस र विपरित दिशाबाट आउँदै गरेको स९प ६१८३ नम्बरको मोटरसाईकल एक आपसमा ठोक्किदा मोटरसाईकलमा सवार दुई जनाको मृत्यु भएको जिल्ला प्रहरी कार्यालय सप्तरीका एसपी राजेन्द्र विष्टले बताए । दुर्घटनामा गम्भिर घाईते दुबै जनाको उपचारका क्रममा राजविराजस्थित गजेन्द्रनारायण सिंह अस्पतालमा साँझ मृत्यु भएको एसपी्र विष्टले बताए ।"
"नेकपाको जिल्ला कमिटीमा कर्मचारीदेखि शिक्षकसम्म","बुटवल : नेपाल कम्युनिस्ट पार्टी रुपन्देहीको जिल्ला कमिटीमा शिक्षक, कर्मचारी सहित १७५ जनाले शपथ ग्रहण गरेका छन् । सोमबार एमाले महासचिव विष्णु पौडेल र प्रदेश इन्चार्ज एवं मुख्यमन्त्री शंकर पोखरेलको उपस्थितिमा सपथ भएको थियो । कमिटीमा नेपाल विद्युत प्राधिकरण बुटवलमा कार्यरत कल्पना थापाले शपथ लिएकी छन् । त्यस्तै जनता मावि फर्साटिकरमा कार्यरत शिक्षक अबिराम विक (रसाइली)ले समेत शपथ लिए । अर्की शिक्षक भगवती घिमिरेले पनि शपथ लिएकी छन् । कर्मचारीहरू राजनीतिक पार्टीमा आवद्ध हुन नहुने हुदा हुदै पनि जिल्ला कमिटीमै शपथ लिएका हुन् । विद्युतको प्रशासनमा कार्यरत थापाले पेशगत संगठनको तर्फबाट आफूले शपथ लिएको बताइन् । खुलेरै त पाइँदैन', उनले भनिन् । उनी राष्ट्रिय कर्मचारी युनियन प्रदेश ५ अध्यक्ष समेत हुन् । शिक्षक अबिरामले सामाजिक सञ्जाल फेसबुकमै पार्टीको जिल्ला सदस्यको रुपमा शपथ खाएको बताएका छन् । नेकपा रुपन्देहीमा पार्टी एकीकरणपछि पहिलो पटक शपथ भएको हो । १७३ जनाले सोमबार शपथ लिएका थिए । दुई पार्टीका तत्कालीन जिल्ला सदस्यसहित कमिटीमा १४ जना नयाँ अनुहार थपिएका छन् ।"
"सडक दुर्घटनामा सैनिक जवानको मृत्यु","तनहुँ : तनहुँको शुक्लागण्डकी२ गाछेपानीस्थित सडक दुर्घटनामा परी नेपाली सेनामा कार्यरत सैनिक जवानको मृत्यु भएको छ । मोटरसाइकलमा सवार इलामको माईजुमाई गाउँपालिका३ का २६ वर्षीय शैलेश लिम्डुमको मृत्यु भएको हो । पोखरास्थित गौरीबक्स गुल्ममा कार्यरत शैलेश मे ५ प ९२९६ नम्बरको मोटरसाइकल पोखराबाट दमौलीतर्फ आउँदै गरेको ग २ च ९६२२ नम्बरको दूध बोक्ने जिपसँग ठोकिएको थियो । सोमबार दिउसो भएको घटनामा परी घाइते जवानको उपचारका क्रममा बेलचौतारास्थित जीपी कोईराला श्वासप्रश्वास केन्द्रमा मृत्यु भएको प्रहरीको भनाइ छ । बिदा सकेर कार्यालय जाने क्रममा घटना भएको बताइएको छ ।"
"आउँदो वर्ष हजार मेगावाट बिजुली थपिने","काठमाडौं : आगामी आर्थिक वर्ष २०७६७७ मा एक हजार सात मेगावाट बिजुली थप हुने भएको छ । विभिन्न २४ वटा सरकारी तथा निजी जलविद्युत्का आयोजना निर्माणाधीन रहेकाले आगामी आवमा यसबाट उक्त क्षमतामा बिजुली आउने उल्लेख छ । यी आयोजना निर्माणाधीन रहेको र एक वर्षभित्रै सकिने गरी तयारी गर्दै गरेको सोमबार सार्वजनिक आर्थिक वर्ष २०७५७६ को आर्थिक सर्वेक्षणमा उल्लेख छ । आर्थिक सर्वेक्षणका अनुसार आगामी वर्ष ४ सय ५६ मेगावाटको माथिल्लो तामाकोशी, १ सय ११ मेगावाटको रसुवागढी, ८२ मेगावाटको लोअर सोलु, ५७ मेगावटको सान्जेन, ३६ मेगावाटको अफर बलेफी ए, नुवाकोटमा २५ मेगावाटको सौर्य ऊर्जासहितका आयोजना सम्पन्न भएर एक हजार ७ मेगावाट बिजुली राष्ट्रिय प्रसारणमा थप हुने उल्लेख छ । निर्माणाधीन आयोजना एक वर्षभित्र पूरा भए अर्को वर्षदेखि नेपालमा २१ सय ५० मेगावाट बिजुली उत्पादन हुनेछ । हाल नेपालले भारतबाट बिजुली आयात गरेर लोडसेडिङ हटाइएको छ । निर्माणाधीन आयोजना निर्धारित समयमै पूरा नभएको अवस्थामा नेपालले अर्को वर्षबाट बढी भएको बिजुली उल्लेख्य मात्रामा निर्यात गर्ने उल्लेख छ । चालू आवको फागुनमा ११ सय ४२ मेगावाट बिजुली उत्पादन पुगेको छ । यस अवधिमा प्रसारण लाइन ३ हजार ९ सय ८ सर्किट किलोमिटर पुगेको छ । यसबाट भएको बिजुलीको वितरण लाइन एक लाख ४४ हजार किलोमिटर पुगेको पनि आर्थिक सर्वेक्षणमा उल्लेख छ । हाल देशभर ४२ लाख ४२ लाख ८४ हजार ग्राहकले बिजुलीको उपभोग गर्ने गरेका छन् । आगामी वर्ष थप हुने यस्तो आयोजना संख्यात्मक हिसावले निजी क्षेत्रका धेरै छन् । निजी क्षेत्रले निर्माण गरिरहेका २२ मेगावाटको अपर पराजुली खोला १ देखि ८२ मेगावाटको लोअर सोलुसम्मका आयोजना छन् । चालू आर्थिक वर्षको गत फागुनसम्मको तथ्यांकका आधारमा तयार भएको यो आर्थिक सर्वेक्षण अनुसार चालू आर्थिक वर्ष २०७५७६ मा सकिने समयसीमा तय गरेका निर्माणाधीन आयोजना भने २५६ मेगावाटका छन् । गत आव २०७४७५ मा एक हजार ७४ मेगावाट बिजुली उत्पादन भएको भएपनि चालू आवको आठ महिनामा ६८ मेगावाट बिजुली थप भएको छ । उक्त समयमा थप भएको आयोजनामा ७८ मेगावाटको सुपरमाई, ००९ मेगावाटको सोबुवा खोला र ०९६ मेगावाटकोे विष्णुप्रिया सोलार थप भएको उल्लेख छ । आगामी आवमा थप हुने सबैभन्दा ठूलो आयोजनाका रूपमा दोलखाको निर्माणाधीन माथिल्लो तामाकोशी रहेको छ । ऊर्जा जलस्रोत तथा सिँचाइ मन्त्रालयले उपलब्ध गराएको गत फागुनसम्मको तथ्यांकअनुसार हाल उत्पादन अनुमति लिएर सञ्चालनमा रहेको जलविद्युत् कम्पनीको संख्या ९१ छन् । यसमा १५ वटा ११२४ मेगावाटका आयोजना एक मेगावाट भन्दा कम क्षमताका छन् । सोभन्दा बढी क्षमताका ७६ वटा आयोजनाबाट १ हजार २६ मेगावाट बिजुली उत्पादन भइरहेको छ । उत्पादन अनुमति जारी भई निर्माणको विभिन्न चराण्मा रहेका आयोजना २०३ वटा छन् । यी आयोजनाको बिजुली उत्पादन क्षमता ७ हजार ७ सय ८० मेगावाट छ । यसैगरी, उत्पादन अनुमतिका निम्ति निवेदन दिएका एक हजार ५ सय १९ मेगावाटका आयोजना ३० छन् भने सर्वेक्षण अनुमति जारी भएका १८ हजार १ सय ९३ मेगावाटका ३ सय १ आयोजना छन् । १ हजार ३६ मेगावाटका ३३ आयोजनाले सर्वेक्षण अनुमतिको निम्ति दरखास्त दिएको पनि आर्थिक सर्वेक्षणमा उल्लेख छ ।"
"लमजुङमा पर्यटक लोभ्याउँदै चट्टानको बगैँचा !","बेसीसहर : लमजुङको मस्र्याङ्दी गाउँपालिका५ घेर्मुमा रहेको रक गार्डेन ले आन्तरिक तथा बाह्य पर्यटकको मन खिच्न थालेको छ । रक गार्डेनको अवधारणा सुरु भएसँगै पर्यटकको आगमन बढ्न थालेको छ । रक गार्डेन निर्माण समितिका अध्यक्ष कामशार्की गुरुङका अनुसार आन्तरिक तथा बाह्य पर्यटक रकगार्डेनको सुन्दरता देखेर दंग छन् । घेर्मुको खानीगाउँसँगै जोडिएको रकगार्डेन पहरै पहराले बनेको छ । कतै गुफा छन्, कतै ओढार । कतै ठूला सुरुङ भेटिन्छन् । निकै लोभलाग्दो रक गार्डेन पूरै चाहार्न आधा घण्टा बढी समय लाग्छ । रक गार्डेन पर्यटकीय मात्र होइन, ऐतिहासिक रुपमा पनि उत्तिकै महत्व छ, गुरुङ भन्छन्, परापूर्व कालमा हाम्रा पुर्खाहरु कसरी ओढारमा बसे भन्ने त्यसको झल्को रक गार्डेनमा लिन सकिन्छ । एउटा पहरोबाट अर्को पहरोमा पुग्न पुल बनाइएको छ । पहराभित्रको सुरुङ हुँदै पनि अर्कै ठाउँ जाने बाटो छ । गार्डेनको बिचमा बस्ने ठाउँहरु निर्माण भएको छ । तत्कालिन जिल्ला विकास समिति लमजुङको वातावरण मैत्री स्थानीय शासन कार्यक्रम अन्तर्गत गत आर्थिक वर्ष २०७२०७३ मा ८ लाख रुपैयाँ र स्थानीयको १ लाख ७३ हजार रुपैयाँको श्रमदानबाट रक गार्डेनका केही पूर्वाधार निर्माण भएको छ । रक गार्डेनको स्तर उन्नतिका लागि मस्र्याङ्दी५ घेर्मुले चालु आर्थिक वर्षमा २ लाख रकम खर्च गरेको छ । सो रकमले पिकनिक स्पोर्ट र अन्य पूर्वाधार बनाइएको स्थानीय विर्ख गुरुङले बताए । रकगार्डेनमा रक स्टे को अवधारणा पनि छ । रक गार्डेन हेर्न आउने पर्यटक चट्टानमै बास बस्छन् । रक गार्डेन स्थलमा अहिले फूल रोप्ने, बिजुली सुविधा पुयाउने, गार्डेन स्थलमा कुर्सी निर्माण गर्ने, ओडार छिर्ने सुरुङ मार्ग, पिकनिक स्थल, पोखरी, ढुङ्गेधारा, बास स्थान निर्माण गर्ने काम भइरहेको छ । रक गार्डेन बनाउने पञ्चवर्षीय योजना रहेको अध्यक्ष गुरुङले बताए । गुरुङकाअनुसार रक गार्डेनसँगै होमस्टे र रकस्टेको अवधारणा पनि अघि बढाइएको छ । ५ सय ८० मिटरको रुट सर्किटमा प्राकृतिक सुन्दरताका दृष्टीकोणबाट निकै मनमोहक छ । अन्नपूर्ण पदयात्राका लागि आएका आन्तरिक तथा बाह्य पर्यटकलाई चट्टानको बगैंचाले आकर्षित गरेको छ । अहिले नै दैनिक करिब दुई सयको हारहारीमा पर्यटक रक गार्डेनमा आउने गरेको वडा नं ५ का वडाध्यक्ष लेखमान गुरुङले बताए । कलात्मक तरिकाले प्रकृतिले सृजना गरेको रक गार्डेन अर्थात् चट्टानको बगैंचा घुम्दा पर्यटकले अनौठो र रमाइलो मान्छन् । ठूला चट्टानभित्र नै खाने, बस्ने र शौचालयको व्यवस्था गर्ने योजना गाउँलेको छ । लमजुङ सदरमुकाम बेसीसहर बाट २२ किमी कच्चीबाटोमा सवारी साधनको प्रयोग गरी ताघ्रिङको रामबजारबाट १५ मिनेटको दूरीमा रक गार्डेन पुग्न सकिने मस्र्याङ्दी गाउँपालिकाका अध्यक्ष अर्जुन गुरुङले बताए ।"
"""विप्लवलाई वार्तामा ल्याउन पौडेलको सुझाव","मध्यस्तकर्ता बन्न तयार छौँ हामी"",बझाङ : नेपाली कांग्रेसका बरिष्ठ नेता तथा पूर्व उपप्रधानमन्त्री रामचन्द्र पौडेलले विप्लव समूहसँग वार्ता गरेर समाधान निकाल्नुपर्ने भन्दै सरकारलाई सुझाव दिएका छन् । सोमबार नेपाली कांग्रेस बझाङले आयोजना गरेको आमसभालाई सम्बोधन गर्दै नेता पौडेलले यस्तो सुझाव दिएका हुन् । देशमा हिंसात्मक घटना दिन प्रतिदिन बढ्दै गएकाले समस्या समाधान गर्नेतर्फ सरकारले ध्यान दिनुपर्ने उनको सुझाव छ । नेता पौडेलले सरकारले विप्लव माओवादी प्रति नियन्त्रण गर्न प्रतिबन्धको कदम चालेर देशलाई द्वन्द्वमा फसाउन खोजेको आरोप समेत लगाए । यस्तै उनले नेत्रविक्रम चन्द विप्लवलाई समेत वार्तामा आउन सुझाव दिएका छन् । बरु सरकार र विप्लव समूहबीच वार्ताको लागि आफूहरु मध्यस्तकर्ताको भूमिका निर्वाह गर्न तयार रहेको समेत बताए । यसबाहेक उनले पार्टीको आन्तरिक खिचातानीबारे बोल्न पनि धेरै समय खर्चिए ।"
"वैदेशिक रोजगारीमा जाने ७४५ प्रतिशत अदक्ष","काठमाडौं : वैदेशिक रोजगारीमा जाने कामदारमध्ये झण्डै ७५ प्रतिशत अदक्ष छन् । सोमबार सार्वजनिक आर्थिक सर्वेक्षण २०७५७६ अनुसार ७४ दशमलव ५ प्रतिशत अदक्ष कामदार वैदेशिक रोजगारीमा जाने गरेका छन् । कुनै सीप नहुँदा कामदारले थोरै पारिश्रमिकमा चित्त बुझाउन बाध्य छन् । सर्वेक्षण अनुसार १ दशमलव ५ प्रतिशत दक्ष र २४ प्रतिशत अर्धदक्ष कामदार वैदेशिक रोजगारीमा जाने गरेका छन् । सरकारले पछिल्लो सयममा सीप परीक्षण गरेर मात्र युवालाई वैदेशिक रोजगारीमा पठाउने रणनीति अवलम्बन गरेको छ । हालसम्म ४३ लाख ६५ हजार चार सय १५ युवा वैदेशिक रोजगारीमा गएका छन् । संस्थागतरुपमा एक सय १० देशमा खुला गरिएको छ भने व्यक्तिगतरुपमा एक सय ६७ देशमा नेपाली जाने गरेका छन् । आर्थिक वर्ष २०७४७५ मा तीन लाख ६१ हजार ९४१ जना युवा वैदेशिक रोजगारीमा पुगेका छन् । वैदेशिक रोजगारीमा जाने कामदारको संख्या पछिल्ला वर्षमा घट्दो क्रममा रहेको छ । चालू आर्थिक वर्षको पहिलो ८ महिनामा एक लाख ५६ हजार ९३ जना वैदेशिक रोजगारीमा गएका छन् । आर्थिक सर्वेक्षण अनुसार कतारमा ५४ हजार ३९, मलेसियामा दुई हजार सात सय ११ जना, साउदीमा २७ हजार चार सय १९, संयुक्त अरब इमिरेट्समा ४० हजार आठ सय ६५, कुवेतमा १० हजार ८६, बहराइनमा तीन हजार एक सय १७, ओमानमा एक हजार सात सय ३६ जना कामदार पुगेका छन् । दक्षिण कोरियामा चार हजार एक सय ४२, लेवनानमा चार, इजरायलमा ४६, अफगानिस्तानमा एक हजार सात, अन्य देशमा १० हजार तीन सय ७४ जना वैदेशिक रोजगारीमा पुगेका छन् । विगत केही समयदेखि मलेसिया जान रोक लगाइएकाले वैदेशिक रोजगारीमा जानेको संख्या उल्लेख्य घटेको देखिएको हो । नेपालीको मुख्य गन्तव्य मलेसिया भएपनि एक वर्षदेखि कामदार मलेसिया जान पाएका छैनन् । १५ औं योजनाले सबै नागरिकलाई मर्यादित र उत्पादनशील रोजगारीको अवसर उपलब्ध गराउने सोच लिएको छ । तर स्वदेशमै पर्याप्त रोजगारी सिर्जना हुन सकेको छैन । सरकारले एक सय दिने रोजगारी ग्यारेन्टीसहित प्रधानमन्त्री रोजगार कार्यक्रम ल्याएपनि यस वर्ष एक लाखलाई ३० दिन मात्रै रोजगारी दिने भएको छ । देशभित्र उत्पादन र मर्यादित रोजगारीको अवसर विस्तार गर्ने, असल औद्योगिक श्रमसम्बन्ध विकास गर्ने र बालश्रम लगायत सबै प्रकारका श्रमशोषण अन्त्य गर्ने, वैदेशिक रोजगारीलाई सुरक्षित, मर्यादित र व्यवस्थित गर्ने लगायतका उद्देश्य सरकारले राखेको छ । श्रम सर्वेक्षण २०७४ अनुसार बेरोजगार दर ११६ प्रतिशत रहेको छ । १५ औं योजनाले त्यसलाई ६ प्रतिशतमा झार्ने लक्ष लिएको छ ।"
