"शीर्षक","विवरण"
"भूमध्यसागरमा अमेरिकी बमवर्षक विमान : अमेरिकाइरान शत्रुता किन ?","लन्डन : अमेरिकाले भूमध्यसागरमा युद्धपोत पठाए लगत्तै मंगलबार बि५२ बमवर्षक लडाकु जहाजसमेत पठाएको छ । अमेरिकासँग तनाव बढिरहेका बेला इरानले ६ राष्ट्र सहभागी आणविक अप्रसार सन्धि पूर्ण पालना नगर्ने जनाएको छ । इरानले सन्धिबाट आफू आंशिक रूपमा अलग भएको घोषणा बुधबार गरेको छ । सन् २०१५ मा अमेरिकी पूर्वराष्ट्रपति बाराक ओबामाको पहलमा इरानलगायत ६ देशबीच आणविक अप्रसार सन्धि भएको थियो । ओबामापछि सन् २०१६ मा रिपब्लिकन पार्टीका डोनल्ड ट्रम्प अमेरिकाको राष्ट्रपति निर्वाचित भएपछि गत वर्ष अमेरिका सन्धिबाट बाहिरिएको थियो । इरानले फेरि युरेनियम प्रशोधन गर्ने चेतावनी दिएको छ । सन्धिमा सामेल राष्ट्रहरूले सन्धिको मर्म संरक्षण नगरे इरान फेरि युरेनियम प्रशोधनमा फर्कन बाध्य हुने चेतावनी इरानी राष्ट्रपति हसन रुहानीले बुधबार दिएका हुन् । इरानी राष्ट्रपति हसन रुहानीले अन्य महाशक्ति राष्ट्र अझै पनि सन्धिप्रति प्रतिबद्ध रहेको बताए । तर इरानले सन्धिको कुन सर्त वा बुँदा पालना नगर्ने उनले विवरण दिएनन् । सन् २०१५ मा भएको सन्धिमा अमेरिकाइरानसहित बेलायत, फ्रान्स, जर्मनी, चीन र रसियाले हस्ताक्षर गरेका थिए । सन्धि इरानको महत्वाकांक्षी आणविक कार्यक्रममाथि लगाम कसेको साटो आर्थिक नाकाबन्दी खुकुलो पार्नेसम्बन्धमा गरिएको थियो । तर अमेरिकाले सन्धि तोडेपछि भने इरानअमेरिकाबीच तनाव बढ्दै गएको छ । अमेरिकाले इरानको तेल निर्यातमाथि नयाँ प्रतिबन्ध लगाएको छ । केही दिनअघि मात्र अमेरिकाले भूमध्यसागरमा लडाकु विमानवाहक युद्धपोत युएसएस अब्राहम लिंकन तैनाथ गरेको थियो । इरान, उसको रिभोल्युसनरी गार्ड्स र आइएसलगायतबाट अमेरिका तथा उसका सहयोगी राष्ट्रमाथि आक्रमणको खतरा उत्पन्न भएकाले भूमध्यसागरमा युद्धपोत तैनाथ गर्नु परेको अमेरिकाको दाबी छ । अमेरिकी विदेशमन्त्री इराकमा इरानसँग बढ्दो तनावबीच अमेरिकी विदेशमन्त्री माइक पम्पिओ अचानक बुधबार इराक पुगेका छन् । उनी बर्लिन भ्रमण रद्द गरेर इराकको राजधानी बग्दादमा ४ घन्टा बसे र इराकी राष्ट्रपति बर्हाम सालेह र प्रधानमन्त्री अदेल अब्दुल महादिदसँग बैठक गरे । अमेरिकाले विदेशमन्त्री पम्पिओको इराक भ्रमणबारे खासै जानकारी दिएको छैन । उनले बग्दादमा इराकी प्रधानमन्त्रीसँग भेट गरे । बैठकपछि पत्रकारसँग कुराकानी गर्दै पम्पिओले भेटघाट सोझै इरान मामिलासँग जोडिएको बताए । पम्पिओले इराकी नेता भेटेर इरानविरुद्ध दबाब दिन बग्दाद पुगेको अनुमान छ । उनले इरानी प्रभावबाट मुक्त गरी इराकलाई अमेरिकी सहयोग जारी रहने आश्वासन दिएका छन् । अमेरिकी रक्षा मन्त्रालय पेन्टागनका प्रवक्ता चाल्र्स समर्सले भने, अमेरिका इरानसँग युद्ध गर्न चाहँदैन तर अमेरिकी सुरक्षाकर्मी, सहयोगी राष्ट्र र भूमध्यसागर क्षेत्रमा युद्धपोत र बमवर्षकले अमेरिकी हितको रक्षा गर्ने छन् । अमेरिकाइरान शत्रुताको कारण के हो ? सन् १९७९ मा इरानमा इस्लामिक क्रान्ति भयो । क्रान्तिले अमेरिका समर्थक राजा शाह रेजा पहलवीसहित राजतन्त्र नै उखेलेर फाल्यो । त्यसपछि त्यहाँ धार्मिक नेता अयातुल्ला अली खोमेनीको सर्वोच्चतामा अमेरिकाविरोधी कट्टरपन्थी इस्लामी शासन स्थापित भयो । त्यसयता सन् १९८२ मा इरानी विद्यार्थीले तेहरानस्थित अमेरिकी दूतावासमा ५२ जना अमेरिकीलाई बन्दी बनाए । जिम्मी कार्टरपछि अमेरिकाको राष्ट्रपति बनेका रोनाल्ड रेगनले ४ सय ४४ दिनपछि गुरिल्ला कारवाही गरी ती अमेरिकी मुक्त गरे । यसपछि दुवैबीचको सम्बन्ध अझै बिग्रियो । तर सन् २०१७ मा डोनल्ड ट्रम्पले अमेरिकी राष्ट्रपतिको कार्यभार सम्हालेपछि दुवै देशबीचको सम्बन्ध अत्यन्त खराब भयो । त्यसैले ट्रम्पले पूर्वराष्ट्रपति ओबामाको कार्यकालमा इरानअमेरिकालगायत ६ राष्ट्रबीच भएको आणविक अप्रसार सन्धि नमान्ने घोषणा गरे । सन्धिअन्तर्गत इरानले शस्त्र निर्माणका लागि आणविक प्रशोधन नगर्ने सहमति जनाएको थियो । त्यसबापत् इरानविरुद्धका अमेरिकी नाकाबन्दी खुकुलो पार्ने र तेल निर्यातमा छुट दिन सबै सहमत भएका थिए । तर अमेरिकाले गत महिना इरानी तेल निर्यातमाथि प्रतिबन्ध लगाएपछि दुवैबीच चरम तनाव छ । यसअघि अमेरिकाले पाँच देश चीन, भारत, जापान, दक्षिण कोरिया र टर्कीलाई इरानी तेल किन्न छुट दिएको थियो । यतिबेला आएर भने अमेरिकाले पाँचै देशलाई यो छुट नदिने बताएको छ । उसले इरानको सशस्त्र विशेष सुरक्षासेना नेसनल रिभोल्युसनरी गार्ड्सलाई आतंकवादीको सूचीमा राख्नु पनि दुवैबीच शत्रुता बढ्ने कारणमध्ये एउटा हो ।"
"डा बानिरा गिरीलाई अभिनन्दन","काठमाडौं : डेढ वर्षदेखि डिमेन्सिया रोगका कारण आफ्नै निवासमा उपचार गराइरहेकी साहित्यकार डा बानिरा गिरीलाई गैरआवासीय नेपाली संघ अमेरिका (नेपाली भाषासाहित्य प्रवद्र्धन समिति) ले अभिनन्दन गरेको छ । संस्कृतिविद् तुलसी दिवसले मंगलबार दोसल्ला ओढाएर अभिनन्दन गरे । संघले गिरीलाई ५१ हजार नगद प्रदान गरेको थियो । दिवसले लेखककविलाई सम्मान गर्न सय वर्षको उमेर पुग्नै पर्छ भन्ने नभएको बताउँदै भने, स्रष्टालाई मृत्युपछि मात्रै सम्मान गरिने परम्पराको निरन्तरतालाई यो कार्यक्रमले विराम लगाइदिएको छ । गीतकार दिनेश अधिकारीले गिरीको कविताको विषयमा चर्चा गरे । नियात्राकार प्रतीक ढकालले गिरीको व्यक्तित्व र कृतित्वमाथि प्रकाश पारे भने साहित्यकार गीता केशरीले शीघ्र स्वास्थ्य लाभको कामना गरिन् । कार्यक्रमका संयोजक विमल भौकाजीले अभिनन्दन गर्ने संस्थाका अध्यक्ष ज्ञानेन्द्र गदाल र डा केशव पौडेलप्रति आभार प्रकट गरे ।"
"एकसाथ राष्ट्र बैंकका ५ कार्यकारी निर्देशक सेवानिवृत्त","काठमाडौं : नेपाल राष्ट्र बैंकका ५ कार्यकारी निर्देशक एकसाथ सेवानिवृत्त भएका छन् । ३० वर्षे सेवाअवधिसँगै ५ कार्यकारी निर्देशक सेवानिवृत्त भएपछि अब राष्ट्र बैंकमा दर्जन कार्यकारी निर्देशक बाँकी छन् । हरेक विभाग र बैंकिङ कार्यालयलाई कार्यकारी निर्देशकले नेतृत्व गर्ने व्यवस्था छ । कार्यकारी निर्देशकको पदपूर्ति बढुवामार्फत् केही विभाग निमित्तको मातहतमा जानेछ । एकसाथ सेवानिवृत्त हुन लागेका पाँच कार्यकारी निर्देशकमध्ये लघुवित्त प्रवद्र्धन तथा सुपरिवेक्षण विभागका कार्यकारी निर्देशक जनकबहादुर अधिकारी केहीदिन अघि र बाँकी चारजना बुधबारदेखि अवकाश अघिको अनिवार्य एक महिने बिदामा छन् । उनीहरु औपचारिक रुपमा एक महिनापछि राष्ट्र बैंकबाट सेवानिवृत्त भएपनि बुधबार अन्तिम कार्यालय दिन हो । सेवानिवृत्त हुने कार्यकारी निर्देशकमा राष्ट्र ऋण विभागका नरबहादुर थापा, विदेशी विनिमय व्यवस्थापन विभागका भीष्मराज ढुंगाना, बैंकिङ कार्यालयका झलकप्रसाद आचार्य र बैंक तथा वित्तीय संस्था नियमन विभागका नारायणप्रसाद पौडेल रहेको नेपाल राष्ट्र बैंकले जनाएको छ ।"
"सांसद्को कोठामा दिउँसै चोरी","सुर्खे : कर्णाली प्रदेशको राजधानी वीरेन्द्रनगरबाटै प्रदेश सांसदको पैसा चोरी भएको छ । मंगलबार दिउँसो करीब २ बजे कर्णाली प्रदेशसभा सदस्य कुर्मराज शाहीको कोठाबाट ५४ हजार रुपैयाँ चोरी भएको हो । दिउँसो करीब २ बजेतिर हो, म योजनाको विषयमा मन्त्रालयतिर गएको थिएँ, सांसद शाहीले भने, कोठामा ताला लगाइएको थियो । सरियाले ढोकाको ताला फोडेर, भित्र दराज फोडेर चोरी भयो । ५४ हजार नगद थियो । अरु केही पनि गरेको छैन । घरबेटी पुजामा गएका थिए । त्यही मौकामा चोरी भयो । सांसद शाही वीरेन्द्रनगरको खजुरास्थित सिम्ताली चोक नजिकै भाडामा बस्दै आएका छन् । उनी कालिकोटबाट निवार्चित सांसद हुन् । यता, जिल्ला प्रहरी कार्यालय सुर्खेतले भने चोरी गर्नेको खोजी भइरहेको जनाएको छ । घटना हुँदा बित्तिकै हामी त्यहाँ पुगेका थियौँ, जिल्ला प्रहरी कार्यालयका डीएसपी प्रदीप क्षेत्रीले भने, हामीले गम्भीर रुपमा लिएका छौं । अहिलेसम्म पत्ता लागेको छैन । खोज्ने काम भइरहेको छ ।"
"विद्यालय परिसरमा शव","परशुराम : डडेल्धुराको परशुरामनगरपालिका५ भुवनेश्वरी नमुना माध्यमिक विद्यालय परिसरमा शव भेटिएको छ । ३५ वर्षीय रनबहादुर दर्लामीको शव बुधबार भेटिएको इलाका प्रहरी कार्यालय जोगबुडाका प्रमुख प्रहरी निरीक्षक ईश्वरीदत्त पाण्डेयले जानकारी दिए । उनी चुरे गाउँपालिका ४ बण्डका बासिन्दा हुन् । घटनाको विषयमा थप अनुसन्धान भइरहेको पाण्डेयको भनाइ छ ।"
"म्याग्दीमा बस दुर्घटना : १५ घाइते","बेनी : म्याग्दीको बेनी नगरपालिका ९ जम्रेनीमा बुधबार बस दुर्घटना हुँदा १५ यात्रु घाइते भएका छन् । बेनीदेखि तोरीपानी जाँदै गरेको ना ५ ख ५७२४ नम्बरको बस दुर्घटना भएको हो । दुर्घटनाका सबै घाइतेको बेनी अस्पतालमा उपचार भइरहेको छ । घटनास्थल पुगेका ट्राफिक प्रहरीका अनुसार साँधुरो सडकबाट बस पल्टिएको हो । घाइतेमध्ये बेनी९ का ५८ वर्षीया रुद्रबहादुर चोखालको अवस्था गम्भीर छ । प्रहरीले चालकलाई नियन्त्रणमा लिएको छ । दुर्घटनाको कारणबारे अनुसन्धार भइरहेको प्रहरीले जनाएको छ ।"
"हैदरावादविरुद्धको एलिमिनेटर खेलमा सन्दीप परेनन्","काठमाडौं : इण्डियन प्रिमियर लिग (आईपीएल) को एलिमिनेटर खेलमा अहिले दिल्ली क्यापिटल र सनराइजर्स हैदरावादबीच खेल हुँदैछ । नेपाली क्रिकेट सन्दीप लामिछानेको टिम दिल्लीले आजको खेलमा पनि उनलाई समेटेन । दिल्लीले टस जितेर फिल्ड रोजेको छ । दिल्लीविरुद्ध हैदरावादले पहिलो ब्याटिङ गर्दैछ । नेपाली लेग स्पीनर सन्दीपलाई आजको खेलमा समावेश गर्ने अनुमान गरिएको भए पनि उनी टिममा नपरेका हुन् । दिल्लीले आफ्नो टिममा धेरै परिवर्तन गरेको छैन । आईपीएलको १२ औं संस्करणमा दिल्ली १४ खेलमा ९ जित हात पार्दै प्लेअफमा पुगेको हो । हैदरावाद भने ६ खेल जितेर प्लेअफमा पुग्ने भाग्यमानी टिम हो । आजको खेलमा विजयी भए दिल्लीले मंगलबार मुम्बई इण्डियनसँग पराजित चेन्नाइ सुपर किंग्ससँग क्वालीफायर खेल्ने छ । हिजोको जितसँगै मुम्बई फाइनल प्रवेश गरेको छ । क्वालिफायर जित्ने टिमले मुम्बईसँग फाइनल खेल्नेछ । मुम्बईले फाइनल प्रतिस्पर्धाका लागि अझै दुई खेलको नतिजा कुर्नु पर्नेछ । आईपीएलको ११ औं संस्करणमा डेब्यू गरेका सन्दीपले १२ औं संस्करणमा ६ खेल खेल्दा ८ विकेट लिएर राम्रो उपस्थिति देखाएका छन् । बलिङ इकोनोमीमा भने उनले सुधार गर्न सकेका छैनन् । ६ खेल खेल्दा उनको बलिङ इकोनोमी ९१३ छ । बैंग्लोरविरुद्धको खेल सन्दीपका लागि सबैभन्दा खराब बनेको थियो । त्यसपछि उनले खेल्न पाएका छैनन् । गत सिजन बैंग्लोर विरुद्धकै खेलबाट आईपीएलमा प्रवेश पाएका सन्दीपले तीन खेल खेलेका थिए ।"
"अस्पतालबाटै बिरामी बेपत्ता","दमौली : उपचारका क्रममा अस्पतालबाटै एक वृद्ध बेपत्ता भएका छन् । विशेष आवासीय उपचार केन्द्रमा उपचारत लामो समयदेखिका क्षयरोगका बिरामी भानु नगरपालिका१० दुधेकुनाका ५६ वर्षीया बद्रीबहादुर गुइँदेल वैशाख १९ गतेदेखि बेपत्ता छन् । अस्पताल नजिकै लौरी र टोपी छाडेका गुइँदेल सम्पर्कमा नआएपछि प्रहरीले विशेष तालिमप्राप्त कुकुर र जनशक्तिका साथमा खोजी गरिरहेको छ । उनले छाडेका सामान नजिकैको भिरमा समेत सशस्त्र प्रहरी बलको मनकामना गण र विपद् व्यवस्थापन तालिम केन्द्रका सशस्त्र प्रहरीले समेत विशेष खोजी अभियान सञ्चालन गरेका थिए । तर टोलीले नजिकैको भिरमा उनको कुनै पनि संकेत प्राप्त नगरेको तनहुँका प्रहरी नायव उपरीक्षक लिलाराज लामिछानेले बताए । आशंका गरेको क्षेत्रमा कुनै संकेत भेटिएन, उनले भने,फरक क्षेत्रमा पनि खोजी जारी छ । प्रहरीलाई स्थानीय र बन्दीपुर गाउँपालिकाले पनि गुइँदेलको खोजी अभियानमा सघाइरहेको छ । तर हालसम्म कुनै संकेत नभेटिएकाले खोजी टोली निराश छ । कुकुरले पनि फेला पार्न सकेन पछिल्लो समय स्थानीयले गुइँदेललाई देखेको भनेका क्षेत्रमा कुकुरले केही दूरीसम्म पछ्याए पनि थप संकेत भेट्न सकेको छैन । गुइँदेल निःशुल्क आवासीय सेवाअन्र्तगत बन्दीपुर अस्पतालमा रहेको क्षयरोग उपचार केन्द्रमा ११ महिनादेखि उपचाररत थिए । सुरक्षा गार्डसमेतको निगरानी रहने केन्द्रमा बिहान बेलुका सुरक्षा निगरानी केही कमजोर भएका बेला उनी निस्किएको ठानिएको छ । सरकारले गत वर्षबाट क्षयरोगका बिरामीलाई विशेष सुविधा दिएर उपचार केन्द्रमा राख्दै आएको छ ।"
"बझाङ कांग्रेसको समीक्षा: गुटबन्दी र अन्तरघातले पराजय","बझाङ : बझाङ जिल्लामा नेपाली कांग्रेसले प्रतिनिधिसभा सदस्य, प्रदेशसभा सदस्य र स्थानीय तहमा पराजय हुनुका पछाडी आफ्नै पाटीभित्र नेताहरुको गुटबन्दी,अन्तरघात भएको निस्कर्ष निकालेको छ । तीनै तहको निर्वाचनपछि र अन्य पछिल्ला समयमा पार्टी पंक्तिमा भएका बैठक, भेला र समीक्षाबाट नेपाली कांग्रेस बझाङले पार्टीलाई जनताको साथ समर्थन भएको तर आफ्नै कारणले चुनावमा उपयुक्त रणनीति तयार गर्न नसक्दा र जिल्ला तहका पाटीका शीर्ष नेताको आन्तरिक मनमुटावका कारणले कांग्रेसका थुप्रै नेताले पराजय हुनु परेको निचोडमा कांग्रेस पुगेको छ । बुधबार नेपाली कांग्रेस बझाङले राष्ट्रिय जागरण अभियान सूचारु गर्न जिल्लामा पार्टी नेता कार्यकर्ता जनप्रतिनिधिसहित शुभेच्छुक संगठनका प्रतिनिधिसहितको बैठकमा पनि पाटीभित्रको आन्तरिक गुट उपगुटलाई त्यागेर नयाँ शिराबाट कांग्रेसले राजनीतिको सुरुवात गर्नुपर्ने सुझाव दिएका थिए । बझाङ जिल्लामा कम्युनिस्ट पार्टीका नेता भन्दा कांग्रेसका नेताहरु उमेरले पनि जेष्ठ भएका र लामो समयसम्म राजनीतिमा लागेर सक्षम योग्य हुँदाहुँदै पनि पछिल्लो चरणमा राजनीति संगठन गर्दै आएका कम्युनिस्ट बढ्दै जानुका पछाडी कांग्रेसी नेताको राजनीति गर्ने शैली हैकमबादी भएको, जनअपेक्षा चाहनाअनुसर काम नगरेको कार्यकर्ता नेविसंघका विद्यार्थी नेता उमेश जेठाराले गुनासो राखे । उनले भने बझाङ कांग्रेसमा बढीजसो ठकुरीलगायत केही बाहुन क्षेत्री नेताको बाहुल्यता छ र उनीहरुको यथास्थिती राजनीति सोचका कारण चुनावमा पराजय हुनु परेको बताए । कांग्रेसले एक महिनासम्म सञ्चालन हुने राष्ट्रिय जागरण अभियानमा जिल्लाका १२ वटै स्थानीय तह स्तरीय, निर्वाचन क्षेत्र स्तरीय, जिल्ला स्तरीयमा संगठन शुद्धिकरण, प्रशिक्षण, कार्य समितिको संस्थागत विकास, भातृ संघ संगठनको क्षमता विकास सहित पाटीलाई चलाएमान बनाउने भएको छ । यसका साथै शुभेच्छुक व्यक्ति, संगठनबाट राय सुझाव लिई आगामी दिनमा पार्टी राम्रो बनाउने नेपाली कांग्रेसका जिल्ला कार्य समिति सदस्य ज्ञानबहादुर बोहराले बताए । उनले भने,' विगतमा भएका कमीकमजोरीलाई आत्मसाथ र महशुस गर्दै अब सबै नेता कार्यकर्ताको सम्मान हुनेगरी पार्टीको शुद्धिकरण गर्ने र आन्तरिक गुट उपगुटको अन्त्य गर्ने योजना छ । राष्ट्रिय जागरण अभियानमा बझाङ आएका केन्द्रीय परिवेक्षक महेन्द्र शर्माले देशभरी अहिले कांग्रेसले कम्युनिस्टअधिनायकबादलाई रोक्नका लागि यस्तो जागरण अभियान सुरु गरेको र पार्टीभित्रका आन्तरिक मनमुटावलाई पनि सुधार गरेर पाटीलाई एक ढिक्का बनाउने बताए । नेपाली कांग्रेस बझाङले राष्ट्रिय जागरण अभियानको पहिलो दिन पार्टी कार्यालयमा समीक्षा बैठक बसी बजारमा र्याली जुलुससहित औपचारिक कार्यक्रम गरेको थियो ।"
"बालुवाटार जग्गा प्रकरण : अनुसन्धान प्रभावित नपार्न प्रधानमन्त्रीलाई पत्र","काठमाडौं : बालुवाटार जग्गा प्रकरणमा सम्भावित अभियुक्तलाई उम्काउने अभिप्रायले प्रधानमन्त्रीबाट आएको अभिव्यक्ति प्रति ट्रान्सपेरेन्सी इन्टरनेसनल नेपाल (टीआई नेपाल) ले आपत्ती जनाएको छ । अख्तियार दुरुपयोग अनुसन्धान आयोग वा अन्य सम्बन्धित निकायको स्वतन्त्र र निष्पक्ष अनुसन्धान प्रक्रियामा कसैबाट अनुसचित दबाब नदिन टीआईले माग गरेको हो । बुधबार विज्ञप्ति सार्वजनिक उसले निष्पक्षरुपमा अनुसन्धान तथा न्यायिक प्रक्रियालाई अगाडि बढाउन अनुकुल वातावरण सिर्जना गर्नु प्रधानमन्त्रीको दायित्व भएको उल्लेख गरेको छ । अख्तियारले अनुसन्धान प्रक्रिया अगाडि बढाई रहेको अवस्थामा सरकारसम्बद्ध राजनीति दलका पदाधिकारीलाई कानुनी कारवाहीबाट जोगाउने उद्देश्यले प्रधानमन्त्रीले अभिव्यक्ति दिनु गलत भएको उसको ठहर छ । टीआर्इ नेपालले सरकारले बालुवाटार जग्गा प्रकरणमा सरकारले जाँचुबुझ समिति गठन गरी सत्य तथ्या पत्ता लाउन गरिएको प्रयासलाई सराहनीय भनेको छ । अध्यक्ष खेमराज रेग्मीले जारी गरेको विज्ञप्तिमा बालुवाटारको ११३ रोपनी जग्गा व्यक्तिको नाम दर्ता गराई हडप्नेसम्मको अनियमिताप्रति गम्भीर ध्यानार्षण भएको जनाएको छ ।"
