"शीर्षक","विवरण"
"चकचके आरोपमा निष्कासित बालक पढाउन विद्यालय सहमत","काठमाडौं : कक्षामा हल्ला र चकचक गरेको आरोपमा निष्काशित पासाङ तामाङलाई पढाउन भीमसेनगोलास्थित कमल नेत्र छुनामुना माध्यमिक विद्यालय सहमत भएको छ । आइतबार विद्यार्थीका अभिभावक, विद्यालय प्रशासन र अभिभावक महासंघका प्रतिनिधिबीच भएको छलफलपछि तामाङलाई पढाउने सहमति भएको हो । तामाङलाई चकचके आरोपमा निष्काशन गरेकोप्रति विद्यालयले आत्मालोचना गर्दै अबदेखि उनलाई विशेष हेरचाह गरेर पढाउने भएको छ । नर्सरीमा अध्ययनरत चार वर्षीय तामाङले साथीभाइसँग झगडा गरेको, साथी र स्कुलका सामान फुटाएको लगायत आरोप लगाउँदै स्कुलले यस वर्षदेखि पढाउन नसक्ने जानकारी अभिभावकलाई गरेको थियो । चकचके भन्दै विद्यार्थी निष्कासित चकचके विद्यार्थी पढाउन सर्त तामाङ गत वर्ष सोही स्कुलमा प्ले ग्रुप मा भर्ना भएका थिए । यस वर्ष विद्यालयले पढाउन नमानेपछि परिवार समस्यामा थिए । बालका बाबु दोस्रो बिहे गरी बसेका छन् । उनकी आमाको आर्थिक अवस्था कमजोर छ । गरिब परिवारकै भएका कारण तामाङकी आमा घरेलु कामदारको रुपमा काम गर्छिन् । अभिभावक महासंघका अध्यक्ष सुप्रभात भण्डारीले भने, जेठ एक गतेबाट पढाउने र त्यो भन्दा अघि बालकलाई परामर्श दिने सहमति भएको छ । उनलाई विशेष माया गरेर पढाउने पनि मौखिक सहमति भएको छ । गत भदौमा पारित भएको अनिवार्य तथा निःशुल्क शिक्षा सम्बन्धि ऐनको दफा १० मा कुनै विद्यालयमा भर्ना भई आधारभूत तहको शिक्षा लिइरहेको कुनै पनि बालबालिकालाई विद्यालयबाट निष्काशन गर्न नपाइने उल्लेख छ । विद्यालय भर्ना भएको बालबालिकाले अनुशासनहीन काम गरेको वा खराब आचरण भएको कारणले निजलाई आधारभूत शिक्षा प्राप्त गर्न वा परीक्षा दिन रोक लगाउन नपाइने उक्त दफाको उपदफा दुईमा लेखिएको छ । आधारभूत तहको शिक्षा प्राप्त गरिरहेको बालबालिकाको अनुशासन, आचरण, पठनपाठन लगायतका विषयमा कुनै सुधार गर्नु पर्ने भएमा विद्यालयका प्रधानाध्यापकले अभिभावकसँग छलफल वा परामर्श गर्नुपर्ने र बालबालिकाले आधारभूत तहसम्मको शिक्षा प्राप्त गर्ने वातावरण सिर्जना गर्न मनोसामाजिक परामर्श वा अन्य आवश्यक उपाय अवलम्बन गर्नुपर्नेछ उप दफा तीनमा व्यवस्था गरिएको छ ।"
"मुम्बईलाई आईपीएल उपाधि","हैदराबाद : १२ अौँ संस्करणको इन्डियन प्रिमियर लिग (आईपीएल) क्रिकेटको उपाधि मुम्बई इन्डियन्सले जितेको छ । आइतबार राति हैदराबादमा भएको फाइनलमा चेन्नई सुपर किङ्सलाई एक रनले पराजित गर्दै मुम्बईले चौथो पटक उपाधि जितेको हो । २०औं ओभरको अन्तिम बलमा लासिथ मालिंगाले चेन्नईका शार्दुल ठाकुरलाई एलबीडब्लुको धरापमा पार्दै मुम्बईलाई रोमाञ्चक जित दिलाए । टस जितेर पहिले ब्याटिङ गरेको मुम्बईले निर्धारित २० ओभरमा आठ विकेट गुमाएर एक सय ४९ रन बनायो । मुम्बईका काइरन पोलार्डले अविजित ४१ रन बनाए । क्विन्टन डी ककले २९, इसन किसनले २३, हार्दिक पान्ड्याले १६, कप्तान रोहित शर्मा र सूर्यकुमार यादवले समान १५१५ रन जोडे । चेन्नईका दीपक चाहरले तीन तथा शार्दुल ठाकुर र इमरान ताहिरले दुईदुई विकेट लिए । एक सय ५० रनको लक्ष्य पछ्याएको चेन्नईका सेन वाटसनले ८० रन बनाए पनि टोलीलाई जिताउन सकेनन् । फाप डु प्लेसिसले २६ र ड्वेन ब्राभोले १५ रन बनाए । मुम्बईका जसप्रित बुमराहले दुई तथा कुणाल पाड्या, लासिथ मालिंगा र राहुल चाहरले एकएक विकेट लिए । आईपीएलको फाइनलमा मुम्बई र चेन्नईबीच भिडन्त भएको यो चौथो पटक हो । सन् २०१० मा भएको फाइनलमा चेन्नईले मुम्बईलाई हराएको थियो । त्यसपछि सन् २०१३ र सन् २०१५ मा भएको फाइनलमा मुम्बईले चेन्नईलाई हराउँदै उपाधि हात पारेको थियो । प्रतियोगिताको १२औं संस्करणको फाइनल सकिनुअघि साविक विजेता चेन्नई र मुम्बई दुवैले तीनतीन पटक उपाधि जितेका थिए । यसैगरी सन् २००८ देखि सुरु भएको आईपीएलमा कोलकाता नाइट राइडर्सले दुई तथा राजस्थान रोयल्स, डेक्कन चार्जर्स र सनराइजस् हैदराबादले एकएक पटक उपाधि चुमेका छन् । यसपटक प्रतियोगिताको पहिलो क्वालिफायरमा चेन्नईलाई नै हराउँदै मुम्बई फाइनलमा पुगेको थियो । चेन्नईले भने दोस्रो क्वालिफायर खेलमा दिल्ली क्यापिटल्सलाई हराउँदै फाइनलमा स्थान बनाएको थियो । यसपटक प्रतियोगिताको पहिलो हुने टोलीले २५ करोड भारतीय रुपैयाँ (४० करोड नेपाली रुपैयाँ) पुरस्कार हात पायो । यसैगरी दोस्रो हुने टोलीले १२ करोड ५० लाख भारतीय रुपैयाँ (२० करोड नेपाली रुपैयाँ) पुरस्कार प्राप्त गयो । प्रतियोगितामा तेस्रो हुने टोली दिल्ली क्यापिटल्सले १० करोड ५० लाख भारतीय रुपैयाँ पुरस्कार पायो भने चौथो हुने टोली सनराइजर्स हैदराबादको भागमा आठ करोड ५० लाख भारतीय रुपैयाँ पुरस्कार पयो ।"
"""मैले ताकें मुढो","बञ्चरोले ताक्यो घुँडो : मुख्यमन्त्री गुरुङ"",""पोखरा : पुँजीगत खर्च त कुरै छाडौं गण्डकी प्रदेश सरकारको चालु खर्च पनि न्यून भएको छ । आर्थिक वर्ष २०७४०७५मा प्रदेशले चालु बजेट भनेर ८ अर्ब ५२ करोड रुपैयाँ विनियोजन गरेको थियो । तर खर्च भने डेढ अर्बमात्रै भएको छ । किन त ? मुख्यमन्त्री पृथ्वीसुब्बा गुरुङ भन्छन्, खर्च गर्नका लागि खर्च नगरेको हो । म त भन्छु खर्चको नाउमा खर्च गर्ने होडबाजी गर्ने होइन । उनी भनेजति कर्मचारी नआउँदा चालु बजेट विनियोजना भए जति खर्च हुन नसकेको बताउँछन् । सबभन्दा ठूलो मर्का हामीलाई त्यहीं परेको छ, उनी भन्छन्, न संघले कर्मचारी पठाउँछ न हामीलाई करारमा राख्न दिन्छ । सुशासनका लागि नागरिक समाज (सुनास) कास्कीले आइतबार गरेको गण्डकी प्रदेशमा सुशासन प्रभावकारिता र बजेट खर्चको अवस्था विषयक कार्यक्रममा मुख्यमन्त्री गुरुङले २ हजार १ सय २८ दरबन्दी भए पनि अहिलेसम्म ९ सय ६७ कर्मचारीमात्रै पदस्थापन भएको जानकारी दिए । साउनसम्म कर्मचारी आउलान् भन्ने थियो, भदौसम्म कार्यालय खोलौंला र चैतभित्रै काम सकौंला भनेको थिएँ, मुख्यमन्त्री गुरुङले सुनाए, संघले कर्मचारी ढिलो दियो, अपर्याप्त दियो । खानेपानी, कृषि र पर्यटन लगायतका कार्यालय घटाएर पठाइदिएको गुनासो पनि उनले पोखे । खानेपानी जस्तो आधारभूत आवश्यकताको कार्यालय ११ जिल्लामध्ये ४ वटामा मात्रै सीमित गरिदिएको उनको भनाइ थियो । धमाधम गाडी किनेको भए बजेट खर्च भएको देखिन्थ्यो । प्रहरीले त भनेकै थियो नि२ नम्बर प्रदेशले गाडी किनेर दियो, मोटरसाइकल किनेर दियो, हामीलाई पनि दिनोस्, मुख्यमन्त्री गुरुङले भने, तर मैले मानिनँ, विधि नपुर्याई, प्रक्रिया मिचेर म खर्च गर्दिनँ । खर्च गरे पनि पारदर्शी भएर गर्छु । संघबाट योजना र कार्यक्रम हस्तान्तरण, कर्मचारी खटनपटन लगायतमा भएको ढिलाइप्रति मुख्यमन्त्री रुष्ट सुनिए । उनले भने, मलाई त ९० प्रतिशत बजेट खर्च गरुँला भन्ने थियो, मैले ताक्या त मुढो थियो, बञ्चरोले घुँडो ताक्यो । प्रदेश सरकारले २४ अर्ब २ करोड रुपैयाँको बजेट ल्याएको थियो । अर्थ सचिव मुक्ति पाण्डेका अनुसार त्यसमध्ये चालुतर्फ १८ प्रतिशतमात्रै खर्च भएको छ । पुँजीगत बजेट १४ अर्ब ३० करोडमध्ये २ अर्ब ४३ करोड रुपैयाँ खर्च भएको उनले सुनाए । चालु र पुँजीगत गरी गण्डकीले १९ प्रतिशत बजेट खर्च गरेको छ । मुख्यमन्त्री गुरुङले सांसदलाई विकास बजेट दिने कुराको आफू डाइहार्ड विरोधी भएको प्रष्टोक्ति दिए । तर आउँदो आर्थिक वर्षको बजेटमा प्रदेश सांसदलाई २ करोड रुपैयाँका दरले बजेट छुट्याउने तयारी गण्डकी प्रदेश सरकारले गरेको छ । घेराबन्दीमा परेर प्रधानमन्त्रीले केन्द्रका सांसदलाई ४ करोड रुपैयाँ दिनुभाछ, उनले भने, संसद विकास कोषको पैसा नदिने हामी गण्डकी प्रदेशमात्रै थियौं, वडाध्यक्षले पनि पैसा बाँड्ने, माथिको माननीयले पनि पैसा बाँड्ने, प्रदेशका माननीय बबुरा ! आफू तिनै बबुराहरुको घेराबन्दीमा परेर संसद विकास कोष सुरु गर्न लागेको उनले बताए । तर उनले फेरि थपे, व्यक्तिलाई पैसा दिएर पञ्चवर्षीय योजनामा हामी कसरी जोडिन्छौं ?"""
"वसन्तमा राजधानीलाई सुन्दर बनाउने फूल (फोटो फिचर)","काठमाडौं : अहिले राजधानीका सडक किनारका सुन्दर फूलले सबैलाई आकर्षित गर्छ । तर, धेरैलाई फूलको नाम भने थाहा हुँदैन । ज्याकारान्डा मिमोसिफोलिया नाम गरेको यो फूल काठमाडौं र ललितपुरका सडक किनारमा देख्न सकिन्छ । फूलको थप आकर्षण सुनिता डंगोलको तस्बिरमा :"
"भैरहवा विमानस्थलको निर्माणकार्य रोकियो","भैरहवा : निर्माणधिन गौतम बुद्ध अन्तराष्ट्रिय विमानस्थलको निर्माणकार्य रोकिएको छ । विमानस्थलको निर्माण कम्पनी नर्थवेस्ट सिभिल एभिएसन कामको भुक्तानी नपाएपछि विमानस्थलको निर्माणकार्य रोकिएको हो । लामो समयदेखि नदीजन्य पदार्थको अभाव झेल्दै आएको उक्त विमानस्थलको निर्माणकार्यमाथि फेरि अर्को समस्या थपिएको छ । २०१९ जुनसम्ममा उद्घाटन गर्नेगरी निर्माणकार्य भइरहेको छ । विमानस्थल निर्माणमा लाग्ने नदीजन्य पदार्थ आपूर्तीको लागि बुटवल उपमहानगरपालिकाले स्वासम कन्सट्रक्सन कम्पनीसगँ सम्झौता गरेको थियो । तर, उपमहानगरपालिकाले सम्झौता अनुसारको मूल्यमा नदीजन्य पदार्थ दिन नमानेपछि विमानस्थल निर्माणकार्यमा नदीजन्य पदार्थ चरम अभाव हुँदै आएको छ । जसका कारण पनि आयोजना अन्योलमा परेको छ । उपमहानगरपालिकाले ०७५ चैत ८ गते विमानस्थल निर्माणका लागि नदीजन्य पदार्थ निकाल्ने जिम्मा स्वासम कन्सट्रक्सन कम्पनीलाई दिएको थियो । तर, उपमहानगरपालिकामा प्रमुख कार्यकारी अधिकृतको रुपमा चक्रपाणी शर्मा आए पश्चात नदीजन्य पादर्थ निकासीमा एकाएक रोक लगाए । त्यसपछि विमानस्थल निर्माणका लागि चाहिने नदीजन्य पदार्थको आपूर्ती ठप्प भएको छ । त्यसमाथि ठेकदार चिनियाँ कम्पनीले पनि भुक्तानी नपाएपछि निर्माणकार्य नै ठप्प पारेको छ । विमानस्थलको धावनमार्ग वरीपरीको सडक, पार्किङ्ग, प्रवेश र निकास लगायतका संरचना बनाउनका लागि नदीजन्य पदार्थ आवश्यक रहेको निर्माणधिन गौतम बुद्ध अन्ताष्ट्रिय विमानस्थल आयोजनाका प्रमुख प्रवेश अधिकारीले जानकारी दिए । बुटवल उपमहानगरपालिकाले सम्झौता अनुसार नदीजन्य पदार्थ उपलब्ध नगराउँदा आयोजना थप समस्यामा परेको बताए । विमानस्थलको मुख्य संरचना निर्माण हुदैछ, उनले भने,अहिले हामीलाई नदीजन्य पदार्थ निकै आवश्यक छ तर बुटवल उपमहानगरपालिकाले आयोजनाको लागि पनि नदीजन्य पदार्थ निकासीमा रोक लगाउँदा आयोजना समस्यामा परेको छ । आयोजनाले आवश्यक समन्वय (सहज आपूर्ती)को लागि बुटवल उपमहानगरपालिकालाई पत्राचार गरेर आग्रह समेत गरेको उनले बताए । तर, विमानस्थलको आयोजनाको आग्रहलाई उपमहानगरपालिकाले बेवास्ता गर्दै आएको छ । आवश्यक नदीजन्य पदार्थका लागि स्वसाम कम्पनीले बुटवल उपमहानगरपालिकाले आवश्यक राजश्व दस्तुर समेत बुझाएको छ तरपनि उपमहानगरपालिकाले नदीजन्य पदार्थ निकाल्न दिएको छैन । अहिले हामी विमानस्थल संचालनको लागि डेटलाइन नजिक पुगेका छौँ, यो अवस्थामा हाम्रो लागि एक दिन पनि निकै महत्वपूर्ण हो,उनले भने,अब यस्तो अवस्थामा नदीजन्य पदार्थ निकासीमा स्थानीय तहले रोक लगाउनु भनेको योजनामा असर पार्नु हो । त्यस्तै ठेकेदार कम्पनीले भुक्तानी नपाएपछि विमानस्थलको मुटु मानिने धावनमार्गको निर्माणकार्य अलपत्र अवस्थामा छाडिदिएको उनले बताए । रकम अभावका कारण ठेकेदारले पेट्रोलियम पदार्थ खरिद गर्न नसकेपछि काम रोकेको बताइएको छ । विमानस्थलको धावनमार्ग पीचका लागि दैनिक २० लाख रुपैयाँ बढीको पेट्रोलियम पदार्थ आवश्यक पर्ने गरेको थियो । सम्पन्न भएको कामको भुक्तानीका लागि आयोजनाले पटकपटक पर्यटन तथा नागरिक उड्डयन मन्त्रालयलाई ताकेता गर्दै आएपनि कुनै सुनुवाई भएको थिएन । मन्त्रालयले एडिबीलाई पठाउनु पर्ने फाइल नपठाउँदा एडिबीबाट रकम आउन सकेको छैन । जसका कारण आयोजनाले भुक्तानी गर्न पनि सकेको छैन । एडिबीले आयोजनालाई १० करोड बढी रुपैयाँ भुक्तानी दिनुपर्ने छ । एडिबीसगँ भुक्तानीको लागि पर्यटन मन्त्रालयले समयमै समन्वय नगर्दा विमानस्थलमा काम रोकिएको प्रमुख अधिकारीले बताए । भुक्तानीको फाइल पर्यटन मन्त्रालयमा थन्किएको छ,उनले भने,समयमै फाइल सम्बन्धित निकायमा नपुग्दा काम बन्दको अवस्थामा पुगेको हो । ठेकेदार कम्पनीले भुक्तानी नपाउँदासम्म काम सुचारु नगर्ने अडान लिएको उनले बताए । भुक्तानी केही दिनभित्र भएपनि नदीजन्य पदार्थको अभावले आयोजना थलिने अवस्थामा पुग्ने आयोजनाका एक अधिकारीले बताए । वर्षायाम लागेपछि नदीजन्य पदार्थ चाहेर पनि निकाल्न सकिदैन ती अधिकारीले भने जसले गर्दा आयोजना संकटमा पर्ने सम्भावना प्रवल देखिएको छ । ठेकेदार कम्पनीलाई नेपाल नागरिक उड्डयन प्राधिकरणले आयोजना लागतको ३७ दशमलव ४ प्रतिशत रकम भुक्तानी गरेपनि एडिबी मार्फत पर्यटन मन्त्रालयले दिने रकम पटक पटक रोकिँदै आएको छ । विमानस्थलमा अहिले धावनमार्गको अन्तिम चरणको कालोपत्रे गर्ने काम भइरहेको थियो । ३ किलोमिटरको धावनमार्गको अन्र्तगतको ५ सय मिटर मात्र कालोपत्रे गर्न बाँकी छ । एकदिनमा १५ मिटर चौडाई र ३ सय मिटर लम्बाई पिच हुने गरेको थियो । दुई चार दिन मात्रै काम रोकिएमा आयोजना धेरै प्रभावित हुन्छ । अन्तिम समयमा रकम र नदीजन्य पदार्थ अभावको समस्याले आयोजना प्रभावित भएपछि स्थानीय तथा पर्यटन व्यवसायीमा निराशा छाएको छ आयोजना प्रमुख अधिकारीले भने ।"
"इङ्लिस प्रिमियर लिगमा म्यान्चेस्टर सिटीले उपाधि जोगायो","लन्डन : इङ्लिस प्रिमियर लिग फुटबल प्रतियोगिताको उपाधि म्यानचेस्टर सिटीले जितेको छ । म्यानचेस्टर सिटीले आइतबार राति खेलिएको आफ्नो अन्तिम खेलमा तुलनात्मक रुपमा कमजोर प्रतिद्वन्द्वी ब्राइटनलाई उसैको मैदानमा ४१ गोलले हरायो । उक्त जितसँगै म्यानचेस्टर सिटी प्रिमियर लिगको उपाधि जोगाउन सफल भयो । म्यानचेस्टर सिटी सन् २००९ पछि लगातार दुईपटक उपाधि जित्ने पहिलो टोली हो । उपाधि जोगाउन म्यानचेस्टर सिटीले अन्तिम खेल जित्नै पर्ने दबाब थियो । उपाधिको होडमा रहेको लिभरपुलले पनि अन्तिम खेलमा जित हात पायो । तर, म्यानचेस्टर सिटीको जितसँगै लिभरपुलको उपाधि सपना चकनाचुर बन्न पुग्यो । लिभरपुलले आफ्नो अन्तिम खेलमा घरेलु मैदानको फाइदा उठाउँदै उल्भरह्याम्पटनलाई २० गोलले हरायो । खेल सुरु भएको २७औं मिनेटमा पहिलो गोल खाएको म्यानचेस्टर सिटीले त्यसपछि खेलमा उत्कृष्ट पुनरागमन गरेको थियो । ब्राइटनका लागि ग्लेन मुरेले पहिलो गोल गरेका थिए । म्यानचेस्टर सिटीका लागि २८औं मिनेटमा सर्जियो एग्वेरोले जवाफी गोल गरे । ३८औं मिनेटमा आयमेरिक लापोर्टले म्यानचेस्टर सिटीको अग्रता दोब्बर बनाए । ६३औं मिनेटमा रियाद माहरेजले तेस्रो गोल गरे भने ७२औं मिनेटमा ईकी गुन्डोगनले चौथो गोल थपेका थिए । अर्को खेलमा लिभरपुलका लागि भने दुवै गोल साडियो मानेले गरेका थिए । अन्तिम चरणको खेलको समाप्तिपछि म्यानचेस्टर सिटी (९८ अंक) पहिलो, लिभरपुल (९७ अंक) दोस्रो, चेल्सी (७२ अंक) तेस्रो र टोट्टनहाम (७१ अंक) चौथो हुँदै आगामी सिजनको च्याम्पियन्स लिगमा छनोट भए । पाँचौं भएको आर्सनल (७० अंक) र छैटौं भएको म्यानचेस्टर युनाइटेड (६६ अंक) भने आगामी सिजनको युरोपा लिगका लागि छनोट भए । कार्डिफ सिटी, फुलहाम र हडर्सफिल्ड टाउन रेलिगेसनमा परेर तल्लो डिभिजनमा घटुवा भए । अन्तिम चरणको खेलमा आर्सनलले बर्नलीलाई उसैको मैदानमा ३१ ले हरायो भने चेल्सीलाई लेस्टर सिटीले गोलरहित बराबरीमा रोक्यो । म्यानचेस्टर युनाइटेड भने कार्डिफ सिटीसँग उसैको मैदानमा २० गोलले पराजित भयो । टोट्टनहाम भने घरेलु मैदानमा एभर्टनसँग २२ गोलको बराबरीमा रोकियो ।"
"बीपी रंगशालाको विस्तृत अध्ययन सम्पन्न","दमौली : साबिकको बीपी वनवाटिका खेलमैदानमा बनाइने लक्ष्य राखिएको बीपी बहुद्देश्यीय रंगशालाको विस्तृत सम्भाव्यता अध्ययन सकिएको छ । अध्ययनको जिम्मा पाएको भ्यान्कटेस् इन्जिनियरिङ एसोसिएट्सले रंगशालाको लागत १८ करोड अनुमान गरेको छ । विविध खेल तथा ठूला सार्वजनिक कार्यक्रमसमेत गर्न मिल्ने गरी रंगशालाको डिजाइन तयार पारिएको छ । रंगशालामा इलाभेन साइडको फुटबल मैदानसहित दुई ब्याडमिन्टन कोर्ट र एक भलिबल कोर्टसमेत निर्माण गरिने भएको छ । यी सबै खेल हुने गरी रंगशालामा मुख्य प्यारापिटमा तीन हजार दर्शक अटाउने अनुमान गरिएको छ । यसैगरी मिनी प्यारापिटमा दुई हजार दर्शक अटाउने गरी पूरै रंगशालामा पाँच हजार दर्शक अटाउने गरी तयार पार्न सकिने एसोसिएट्सका निर्देशक इन्जिनियर भूपेन्द्र श्रेष्ठले जानकारी दिए । मैदानका लागि हाल पहिलो चरणमा बारबेर गरेर खेल्न योग्य बनाउन व्यास नगरपालिकाको ४० लाख तथा गोल प्रोजेक्टअन्तर्गत एन्फा तनहुँको १० लाख गरी ५० लाख रुपैयाँ लागतमा काम भइरहेको छ । अहिले साना काम भइरहे पनि रंगशालालाई बहुद्देश्यीय रूपमा विकास गर्ने लक्ष्य लिएको व्यास नगरपालिकाका प्रमुख वैकुण्ठनाथ न्यौपानेले बताए । यसअघि मेला महोत्सवसमेत हुने ठाउँमा रंगशाला हुन लागेकाले ती कार्यक्रमका लागि विकल्प दिने गरी रंगशाला बनाइनुपर्ने जिल्ला समन्वय समितिका प्रमुख शान्तिरमण वाग्लेले सुझाव दिए । उनले ठूला सार्वजनिक कार्यक्रम समेत गर्न मिल्ने गरी रंगशालाको विकास हुनुपर्ने बताए । एन्फा तनहुँका अध्यक्ष रत्नकुमार श्रेष्ठले मैदानका लागि हाल १० लाख रुपैयाँ सघाए पनि आगामी दिनमा थप सहकार्य गर्न सकिने बताए । हैरान्स क्लबका अध्यक्ष एवं व्यास ३ का वडा सदस्य रवीन पौडेलले खेलप्रेमीहरूका लागि गतिलो मैदान अभाव भएका बेला आधुनिक रंगशाला निर्माण हुनु नगर मात्र नभएर जिल्लावासीकै लागि गौरव भएको बताए ।"
"२०२० प्रबर्द्धनमा त्रिदेशीय आरोहणदलदेखि प्रबल गुरुङको फेसन शो सम्म","काठमाडौं : भ्रमण वर्ष २०२० को प्रबर्द्धनका लागि नेपाल, भारत र चीनको संयुक्त आरोहण दलले सगरमाथामा भ्रमण वर्ष २०२० को झण्डा फहराउने भएका छन् । नेपालमा दुई छिमेकी देशबाट बढी पर्यटक भित्र्याउन त्रिदेशीय आरोहण दलमार्फत् सन्देश दिने उद्देश्य रहेको भ्रमण वर्ष २०२० का राष्ट्रिय कार्यक्रम संयोजक सुरज वैद्यले बताए । त्रिदेशीय आरोहणदलमा नेपालका तर्फबाट कान्छीमाया तामाङ, भारतबाट कल्पना दाश र चीनबाट लियामु मा रहेका छन् । वैशाख १ मा पोखराबाट भ्रमण वर्ष २०२० ले औपचारिक कार्यक्रम सुरु गरेको हो । भ्रमण वर्षभर गरिने गतिविधिहरूका लागि भ्रमण वर्ष कार्यदलले काम सुरु गरिसकेको छ । केशरमहलस्थित पुरानो शिक्षा मन्त्रालयको भवनमा कार्यालय स्थापना गरी काम सुरु गरेको बताउँदै वैद्यले भ्रमण वर्ष २०२० ले गुणात्मक पर्यटन विकासका लागि पर्यटन पूर्वाधार तथा दीगो पर्यटन विकासलाई लक्षित गरेको छ । भ्रमण वर्षलाई लक्षित गर्दै भियतनामसँग नेपालले हवाई सेवा सम्झौता गर्न लागेको छ । भियतनामबाट गौतम बुद्ध अन्तर्राष्ट्रिय विमानस्थलमा सीधा हवाई सम्पर्क स्थापित गरी त्यसक्षेत्रका बौद्धमार्गी पर्यटक भित्र्याउने योजना छ । त्यस्तै, अन्य देशहरूबाट पनि भैरहवास्थित गौतम बुद्ध विमानस्थलमा सीधा हवाई सम्पर्क कायम गर्न पहल भैरहेको उनले बताए । भ्रमण वर्षमा पर्यटकको सेवा सुविधालाई विशेष ध्यान दिइने वैद्यले बताए । पर्यटकलाई जति बढी सुविधा दिन सक्यो, त्यसले नै नेपाललाई उत्तम पर्यटकीय गन्तव्यको रुपमा स्थापित गर्नेछ । होटल आतिथ्यसत्कार व्यवसायीले मात्र नभएर पर्यटकले लिने सार्वजनिक सेवाको गुणस्तर, उनीहरूलाई समुदायबाट प्रदान गरिने आतिथ्यता तथा सडक मार्ग भएर आउने पर्यटकलाई सीमा क्षेत्रमा स्वागत गर्ने, विदाई गर्ने र उनीहरूको तथ्यांकको अभिलेख राख्ने नमस्ते सेन्टर भैरहवामा छिट्टै स्थापना गरिनेछ । भारत र चीनसँगका सीमा नाकामा सबै ठाउँमा यस्ता सेन्टरहरू राखिनेछ । भ्रमण वर्षलाई लक्षित गरेर त्रिभुवन अन्तर्राष्ट्रिय विमानस्थल सुधार कार्यलाई फास्ट ट्रयाकबाट अघि बढाइन लागेको छ । आगमन र बर्हिगमनका टर्मिनलहरूमा यात्रुहरूका लागि सुविधा थप्नुका साथै ऐतिहासिकता भल्कने, नेपालको पहिचान दिने तथा ससाना बगैंचा विमानस्थलको दुवै कक्षमा राखिने बताइएको छ । नेपाल नागरिक उड्ययन प्राधिकरणले विमानस्थलका टर्मिनल सुधार तथा व्यवस्थापनका लागि २३ करोड रूपैयाँ खर्च गर्न लागेको छ । पर्यटनमा लगानी सम्मेलन भ्रमण वर्ष २०२० कार्यदलले आउँदो नोभेम्बर महिनामा पर्यटन लगानी वर्षको तयारी गरेको छ । यस लगानी सम्मेलनमा पर्यटन क्षेत्रको लगानीमा केन्द्रित रहेर लगानी आह्वान गरिने राष्ट्रिय कार्यक्रम संयोजक वैद्यले बताए । सातै प्रदेशमा लगानीका सम्भावनाहरू प्रस्तुत गर्ने, लगानी गन्तव्यहरू विकास गर्ने कामलाई तीव्रता दिन सातै प्रदेश सरकारसँगको समन्वयमा काम गरिरहेका छौं, उनले भने । नेपाल पर्यटन गन्तव्य प्रबर्द्धनका लागि लोन्ली प्लानेटसँग सहकार्य गर्न लागिएको छ भने विभिन्न देशहरूमा नेपाल भ्रमण वर्ष २०२० का लागि ब्राण्ड एम्बेसडरहरू नियुक्त गरिएका छन् । अमेरिकामा वडि विल्डर रोली विन्क्लार, जापानमा साहित्यकार मारिको हायसी, हङकङ सेफ एसोसिएसनका संस्थापक अध्यक्ष हेनिज एग्ली, फ्रान्सका लोकप्रिय फोटोग्राफर एरिक वाली तथा परोपकारका लागि आरोहण अभियानका जोन अर्नेस्ट निल्सनलाई ब्राण्ड एम्बेसडर बनाइएको छ । भ्रमण वर्षका दौरान विश्वका दर्जन हाइप्रोफाइलहरूको नेपालमा भ्रमण तय भएको छ । यसका अतिरिक्त देवराय सुप्रानायक, भाविका शाह, जयाविजय राव, नविन नायडू, सिद्धार्थ घोष, रवि भुटानी, प्रविण जयसवाल, शिलेन्द्र जिन्दाल, तिश्राल राव, राकेश लालचन्दानी तथा शुभेन्दु घोषको भ्रमण तय भैसकेको छ । नेपाली मूलक प्रख्यात फेसन डिजाइनर प्रबल गुरुङले भ्रमण वर्ष लक्षित गरेर अन्तर्राष्ट्रिय फेसन शो नेपालमा आयोजना गर्न सहमति जनाएका छन् ।"
