"शीर्षक","विवरण"
"पाँचौं कुम्भ मेलामा हजारौंले गरे शाही स्नान","काठमाडौं : नेपालको बराहक्षेत्र चतराधाममा लागेको पाँचौं कुम्भमेलामा शुक्रबार हजारौं भक्तजनले दोस्रो शाही स्नान गरेका छन् । काशी पण्डित शाही स्नानमा कुम्भ मेलाका सर्जक नेपालका एक मात्र प्रथम जगद्गुरु बालसन्त मोहन शरण देवाचार्य महाराजको नेतृत्वमा हजारौं साधु, सन्त र भक्तजनले उक्त स्नान गरेका हुन् । जगद्गुरुसँगै कुम्भनगरी चतराधामबाट निस्केको लावालस्कर कोशी (कोका कौशिकी संगम) मा पुगी संकल्पसहित गर्ने प्रचलन अनुरूप शाही स्नान गरेका हुन् । प्राचीन हरिद्वार मानिने चतराधाममा चैत २३ गतेदेखि एक महिने महाकुम्भ मेला सुरु भएको हो । नेपालको सुनसरीस्थित चताराधाम र भारतको हरिद्वार, प्रयाग, नासिक र उज्जैन गरी विश्वमै जम्मा ५ स्थानमा १२१२ वर्षमा कुम्भ मेला लाग्छ । जुन सबैभन्दा ठूलो मेलाका नामले चिनिन्छन् । जगद्गुरुका सहयोगी वीरेन्द्र भट्टराईका अनुसार, शाही स्नान र सत्सङमा भारत काशी पण्डित सभाका सभाध्यक्ष प्राध्यापक डा हरिप्रसाद अधिकारी, ओहायो अमेरिकाबाट आएका सन्त श्री १००८ वेदनिधि महाराज र आचार्य भागवतशरणजीको विशेष सहभागिता रहेको थियो । २०७०७१ मा सम्पन्न पूर्ण महाकुम्भ मेलामा एक महिनामा डेढ करोड भक्तजनले कुम्भ स्नान गरेको जगद्गुरु बालसन्तको भनाइ छ । यसपटक कुम्भ सुरु हुनु १० दिन अघिदेखि प्रदेश १ सरकारले कुम्भ मेलाप्रति विशेष चासो लिएको सहयोगी भट्टराईले जानकारी दिए । यो कुम्भ मेला चौथो शृंखलाका रूपमा सञ्चालन भइरहेको छ । चैत २३ गते मुख्यमन्त्री शेरधन राईले कुम्भ मेलाको उद्घाटन गरेका थिए । वैशाख २४ गतेसम्म सञ्चालन हुने कुम्भ मेलाको आगामी शाही स्नान चैत्र २१ गते माता तीर्थ औंसीका दिन हुनेछ ।"
"पहिचान पुरस्कार नथिया र आफरलाई दिइयो","काठमाडौं : २०७५ सालको पहिचान पुरस्कार सरस्वती प्रतिक्षाको उपन्यास नथिया र संयुक्त कविता संग्रह आफर लाई प्रदान गरिएको छ । २ लाख २ हजार रकम सहितको यस पुरस्कार केही महिनाअघि नै घोषणा गरिए पनि शुक्रबार एक कार्यक्रमका बीच पुरस्कार वितरण गरिएको हो । बैरागी काइँलाको प्रमुख आतिथ्यमा पुरस्कार प्रदान गरिएको थियो । कार्यक्रममा लेखक तथा नेता आहुतीले पनि यसबारे आफ्नो बिचार व्यक्त गरेका थिए । यसअघि राजन मुकारुङ, अर्जुन खालिङ, यज्ञश लगायत लेखकले पहिचान पुरस्कार प्राप्त गरिसकेका छन् । यस वर्ष भने सरस्वतीको नथिया र उन्मुक्त पुस्ता समूहको संयुक्त कविता संग्रह आफरलाई साझा रुपमा दिइएको हो ।"
"तस्बिरमा हेर्नुहोस् पानी परेपछि तीनकुनेकोटेश्वर सडकको हालत","तस्बिर : उमा विष्ट काठमाडौं : शुक्रबार साँझ उपत्यकामा भरी वर्षा भएको छ । असिनासहितको वर्षा भएको हो । मौसम पूर्वानुमान महाशाखाका अनुसार आगामी तीन दिनसम्म नेपालको पहाडी भूभागमा मौसम बदली रहने छ । स्थानीय वायुका कारण राजधानीको मौसम बिग्रिएको महाशाखाका मौसमविद् राजु प्रधानाङ्गले जानकारी दिए । स्थानीय वायुको प्रभावमा भएको प्रिमौसमको समयमा यस्तै हुन्छ, उनले भने, तुरुन्तै मौसम बदली हुन्छ र तुरुन्तै मौसम सफा पनि हुन्छ, फेरि केही समयपछि बदली हुन्छ । भारी वर्षापछि तीनकुनेकोटेश्वर सडकखण्डमा पानी जम्दा केहीबेर सवारी आवतजावत अस्तव्यस्त बनेको थियो । सडकमा पानी जमेपछि राति आठ बजेसम्म जाम खुल्न सकेको छैन ।"
"चुरोटमा ९० प्रतिशत विज्ञापन राख्नुपर्ने","पोखरा : गण्डकी प्रदेशले चुरोट र सुर्तीका खोलको ९० प्रतिशत अंश चेतावतीमूलक विज्ञापन राख्नुपर्ने कानुन तयार पारेको छ । प्रदेश सभाको विधायन समितिमा दवाफार छलफलपछि सुर्तीजन्य पदार्थ नियन्त्रण र नियमन गर्ने विधेयक शुक्रबार सभामा पेस भएको छ । उक्त विधेयक पारित भए चुरोट र सुर्तीका खोलमा चेतावनीमूलक विज्ञापन राख्नुपर्नेछ । त्यस्ता स्वदेशी र विदेशी दुवैथरी वस्तुमा नेपाली भाषामा स्वास्थ्य सम्बन्धी चेतावनीपूर्ण सन्देश लेख्नुपर्ने प्रावधान विधेयकमा छ । प्रदेशभित्र उत्पादन भएका वा यहाँ बिक्री हुने स्वदेशीविदेशी सबै सुर्तीजन्य पदार्थमा उक्त प्रावधान लागु हुने विधेयकमा रहेको विधायन समितिका सभापति मोहनप्रसाद रेग्मीले बताएका छन् । यसै विषयको संघीय कानुनमा भने त्यस्तो प्रावधान कम्तीमा ७५ प्रतिशत भन्ने छ । तर निर्देशिकाले भने ९० ले व्यवस्था गरेको छ । ऐनमै ७५ प्रतिशतभन्दा बेसी पनि हुन सक्ने प्रावधान भएकाले निर्देशिकामा ९० प्रतिशतको व्यवस्था भएको हुँदा प्रदेशको कानुनमा ९० प्रतिशतको व्यवस्था गरेको रेग्मी बताउँछन् । चुरोट, बिँडी र सिगार फुटकर बेच्न पनि विधेयकले प्रतिबन्ध लगाएको छ । छुट्टै कक्ष बनाएर सुर्तीजन्य पदार्थ बेच्नुपर्ने प्रावधान छ । विधायन समितिले दफावार छलफलसहित सर्वसम्मत पारित गरी पेस विधेयक सभाले छिटै पारित गर्नेछ । यसअघि विधायन समितिले सरोकारवालासँग पनि विधेयकमाथि छलफल चलाएको थियो । केही सरोकारवालाले सुर्तीजन्य वस्तुको खोलमा ७५ प्रतिशतमात्रै चेतावनीमूलक विज्ञापन राख्नुपर्ने व्यवस्था मागसमेत गरेका थिए । तर सांसदहरुले उक्त माग सुनुवाइ गरेनन् । संघीय कानुनको मर्मअनुसारै ९० प्रतिशतको प्रावधान राखे । यो विधेयकमाथि छलफल गर्नमात्रै विधायन समितिको ७ वटा बैठक बसेको थियो । प्रदेश सभाको शुक्रबारको बैठकले प्रदेश सभा नियमावली २०७४ संशोधन मस्यौदा समितिको म्याद ३० दिन थपेको छ । समिति सभापति मायानाथ अधिकारीले पेस गरेको प्रस्ताव बैठकले स्वीकृत गरेको हो ।"
"सराेकारवाला भन्छन् : वैदेशिक रोजगारको ठगी नियन्त्रण गर !","काठमाडौं : वैदेशिक रोजगारीमा हुने ठगी रोक्न एकजुट हुनुपर्ने सरोकारवालाले बताएका छन् । वैदेशिक रोजगारीमा जानुअघि नै कामदार अत्यधिक ठगीमा पर्ने गरेकाले ठगी नियन्त्रण गर्न सरोकारवाला निकाय जागरुक हुनुपर्ने शुक्रबार राजधानीमा भएको एक कार्यक्रममा बताएका हुन् । मानव अधिकारका लागि जनमञ्च (पिपुल फोरम)ले आयोजना गरेको अन्तक्र्रिया कार्यक्रममा बोल्ने वक्ताले वैदेशिक रोजगार ऐनले कामदारको हित गर्न नसकेको भन्दै संशोधन मात्र नभई पुनर्लेखन गर्नुपर्ने बताए । कार्यपत्र प्रस्तुत गर्दैै पिपुल फोरमका सल्लाहकार अधिवक्ता सोम लुइँटेलले वैदेशिक रोजगार विभागले दिने न्यायिक अधिकार वैदेशिक रोजगार न्यायाधीकरणले दिनुपर्ने बताए । न्यायाधीकरणको सेवा स्थानीयस्तरमा लैजान आवश्यक भएको उनको भनाइ छ । वैदेशिक रोजगारीमा हुने ठगी जिल्ला प्रशासन कार्यालयमार्फत नै सुनुवाई हुनुपर्ने व्यवस्था गर्न आवश्यक भएको उनको भनाइ थियो । जिल्ला प्रशासन कार्यालयमार्फत उजुरी लिए कामदारले राहत पाउनेछन्, उनले भने । कामदार भर्ना गर्ने प्रक्रियामा सुधार गर्नुपर्ने, श्रम सम्झौता गरेर मात्र वैदेशिक रोजगारीमा पठाउनुपर्ने, प्रभावकारी ढंगले नियमन गरी शून्य लागतमा पठाउनुपर्ने अधिवक्ता लुइँटेलले बताए । श्रम, रोजगार तथा सामाजिक सुरक्षा मन्त्रालयका उपसचिव दीपक ढकालले स्वदेशमै तत्काल पर्याप्त रोजगारी सिर्जना गर्न सकिने अवस्था नरहेकाले वैदेशिक रोजगार बाध्यता भएको बताए । वैदेशिक रोजगार ऐन संशोधन गर्न कार्यदल गठन भई अध्ययन अघि बढेको उनको भनाइ छ । कामदारको हितका लागि एकीकृत सेवा दिन आवश्यक छ, उनले भने, आउँदो आर्थिक वर्षदेखि उक्त सेवा सुरु गर्छाैं । म्यानपावर व्यवसायीले पारदर्शी ढंगले कामदार पठाउनुपर्ने उनले बताए । वैदेशिक रोजगारमा सुधारका काम भइरहेका छन्, उनले भने, धेरै देशसँग सम्झौता प्रक्रिया अघि बढेको छ । श्रम सम्झौताभन्दा करारनामाको कानुनी हैसियत बलियो हुने उनको भनाइ छ । नेपाल वैदेशिक रोजगार व्यवसायी संघका अध्यक्ष रोहण गुरुङले वैदेशिक रोजगार व्यवस्थित गर्न आफूहरू क्रियाशील भएको बताए । वैदेशिक रोजगार आवश्यक नभए सरकारले खारेज गर्न सक्ने उनको भनाइ थियो । कामदारबाट शुल्क नलिने पक्षमा आफू रहे पनि सरकारले रोजगारदातामार्फत सम्पूर्ण खर्च असुल गराउन सक्नुपर्ने बताए । नियम बनाउँदा अन्तर्राष्ट्रिय नियम पनि हेर्नुपर्छ, उनले भने, व्यवसायीले कामदारबाट पैसा नै नलिएपछि क्षतिपूर्ति र उद्धारमा ध्यान दिनु औचित्य छैन । राजदूतावासले प्रमाणीकरण गरेपछि रोजगारदाता कम्पनी भागे पनि दूतावासको दायित्व हुने उनले दाबी गरे । अधिवक्ता रामप्रशाद गुरागाईंले अहिले कामदारले झन्झट पाइरहेको भन्दै झन्झटमुक्त सेवा दिनुपर्ने बताए । वैदेशिक रोजगार बैंक बनाएर सस्तोमा ऋण दिएर विदेश पठाउने र स्वदेशमा उद्यम गर्नेलाई ऋण प्रदान गर्ने व्यवस्था गर्न आवश्यक भएको उनको भनाइ छ ।"
"कन्दराकाे चन्द्रकोटकी नानी सार्वजनिक","काठमाडौं : कन्दरा ब्याण्डका गायक विवेक श्रेष्ठको चन्द्रकोटकी नानी गीतको म्यूजिक भिडियो सार्वजनिक भएको छ । म्यूजिक नेपालको प्रस्तुति रहेको भिडियोमा अलिशा राईको अभिनय हेर्न सकिन्छ । साथै प्रसन्न पौडेलले निर्देशन गरेको म्यूजिक भिडियो पोखरा र काठमाडौंमा सुटिङ गरिएको उनले जानकारी दिए । झन्डै दुई वर्ष लगाएर तयार पारिएको उक्त भिडियोमा गायक विवेक श्रेष्ठ स्वयंले पनि अभिनय गरेका छन् । यो गीतको अडियो भने दुई वर्षअघि नै सार्वजनिक भइसकेको हो । विनोद गौचनको शब्द र सुनिल थापाको संगीत छ । भेडीगोठ नामक एल्बममा समावेश ८ गीतमध्ये चन्द्रकोटकी नानी तेस्रो म्यूजिक भिडियो हो ।"
"बसको ठक्करबाट धादिङमा एकजनाको मृत्यु","धादिङ : धादिङको नीलकण्ठ नगरपालिका८ ससाहस्थित बसको ठक्करबाट एकजनाको मृत्यु भएको छ । धादिङेबेसीबाट काठमाडौँतर्फ जाँदै गरेको बा ४ ख ८६६७ नम्बरको बसले माग्दै जोगी बनेर हिँड्ने एक स्थानीय ज्ञानबहादुर दाहालको मृत्यु भएको हो । जिल्ला प्रहरी कार्यालय धादिङका डिएसपी प्रकाश विष्टका अनुसार ठक्कर दिने बस र बसका चालकलाई प्रहरीले नियन्त्रणमा लिएको छ ।"
"प्रहरी अधिकृतको नक्कली प्रमाणपत्र","काठमाडौं : एक प्रहरी अधिकृतविरुद्ध अख्तियार दुरुपयोग अनुसन्धान आयोगले नक्कली शैक्षिक योग्यताको प्रमाणपत्रमा मुद्दा दायर गरेको छ । रुपन्देहीस्थी पश्चिम क्षेत्रीय प्रहरी तालिम केन्द्र, बुटवल दरबन्दी भई प्रदेश प्रहरी तालिम केन्द्र प्पोखरामा कार्यरत प्रहरी नायव निरीक्षक दिनेश रेग्मीले नक्कली शैक्षिक योग्यताको प्रमाणपत्र पेश गरी सरकारी सेवामा प्रवेश गरेको खुलेपछि मुद्दा दायर भएको हो । रेग्मीविरुद्ध अख्तियारले विशेष अदालतमा मुद्दा दायर गरेको हो । सई रेग्मीले माध्यमिक शिक्षा परिषद, उत्तर प्रदेश, बोर्ड अफ हाइस्कुल एण्ड इन्टरमिडियट एजुकेशन यूपी भारतबाट इन्टरमिडियट परीक्षा उत्तीर्ण गरेको नक्कली शैक्षिक योग्यताको प्रमाणपत्र पेश गरी बढुवा समेत लिएको छन् । उनीविरद्ध साविक भ्रष्टाचार निवारण ऐन अनुसार सजायको मागदाबीसहित विशेष अदालतमा मुद्दा दायर भएको अख्तियारका प्रवक्ता प्रदीपकुमार कोइरालाले जानकारी दिए ।"
"स्थानीयले वडाध्यक्ष र सदस्यलाई पाँच घण्टा थुने","विराटनगर : विराटनगर महानगरपालिका६ का वडाअध्यक्ष विजय कामतसहित वडा सदस्य र कर्मचारीलाई स्थानीयले शुक्रबार ताला लगाएर पाँच घण्टासम्म थुनेका छन् । बिहान १० बजे नै वडा कार्यालयमा ताला लगाएर ३ बजेसम्म स्थानीयले जनप्रतिनिधि र कर्मचारीलाई कार्यालय भित्रै थुनिदिएका हुन् । शुक्रबार दिउँसो ३ बजे कार्यालय समय सकिएपछि भने स्थानीयले ताला खोलिदिएका थिए । वडा कार्यालय नजिकै ८ जना सुकुम्बासीले ऐलानी जग्गामा बनाएको कच्ची घर बिहीबार अपरान्ह महानगरपालिकाले डोजर लगाएर भत्काएको विरोधमा स्थानीय आन्दोलित बनेका हुन् । प्रहरी र नगर रक्षकको सुरक्षा घेरामा घर भत्काइएको थियो । वडा भरीका सुकुम्बासी भेला भएर कार्यालयमा तालाबन्दी गर्नुका साथै जनप्रतिनिधि र कर्मचारीलाई थुनेर दिनभर राखिदिँदा दिनभर वडाबाट हुने सेवा प्रवाह प्रभावित बन्यो । सेवा लिनका लागि पुगेका सेवाग्राही त्यत्तिकै फर्कनु पर्यो । भत्काएको घरको क्षतिपूर्ति र पीडितलाई आवासको व्यवस्थाको ग्यारेण्टी नभएसम्म आन्दोलन जारी रहने स्थानीय दिनेशकुमार कामतले बताए । उनले कुनै जानकारी बिनानै नगरपालिकाले सुकुम्बासीका घरमा डोजर लगाएका कारण आन्दोलन गर्नु परेको बताए । आन्दोलनमा उत्रिएका स्थानीय बासिन्दाले विराटनगर महानगरपालिकाका मेयर भीम पराजुली र प्रहरी प्रशासनविरुद्ध नाराबाजी गरेका थिए । स्थानीय बासिन्दा कामतले मेयर पराजुलीसहितको टोलीले समस्या समाधानका पहल गर्नु पर्ने माग पनि स्थानीयको रहेको बताए । वडा अध्यक्ष कामतले भनें महानगरले आफूलाई जानकारी नै नदिई सुकुम्बासीको घर भत्काएको बताए । कामतले भने, डोजर लगाउंन थालेपछि मलाई जानकारी दिइयो । स्थानीयबासीले भने पूर्वसूचना नै नदिई घर भत्काएकाले महानगरपालिकाविरुद्ध अदालतमा मुद्दा दर्ता गरिने बताएका छन् । मेयर भीम पराजुलीले नापजाँच गर्दा जग्गा सरकारी रहेको पाइएपछि त्यहाँ बनेका घर टहरा लगायतका संचरना भत्काइएको बताए । जग्गा खाली गर्न २४ घण्टा समय दिइएको थियो । कोही कसैले पनि नमानेपछि बल प्रयोग गरेर भए पनि खाली गर्नु पर्ने स्थिति आयो, उनले भने, महानगर सार्वजनिक जग्गा कब्जा गरेर बनाइएका संरचना भत्काउने अभियानमा छ । जस्तो सुकै अवरोध र विरोध भए पनि यो काम रोकिंदैन ।"
"विवेकशीलको नयाँ अभ्यास अनलाइनबाटै निर्वाचन","काठमाडौं : विवेकशील नेपाली दलले अनलाइनमार्फत् निर्वाचन सम्पन्न गरेको छ । अनलाइनबाट विवेकशीलले प्रदेश स्तरीय निर्वाचन सम्पन्न गरेको विज्ञप्तिमार्फत् जानकारी गराएको छ । श्रीकृष्ण भट्टराई (अमेरिका), कर्मा लामा तामांग (जर्मनी) र संजय रिमाल (अमेरिका) ले विदेशबाटबाट नै नेपालमा प्रदेश स्तरीय अनलाइन निर्वाचन सञ्चालन गरेको विज्ञप्तिमा उल्लेख छ । दलको २५ पैसा पनि खर्च भएको छैन । एक पाना पनि छपाई नगरी सम्पन्न गरिएको हुनाले वातावरण प्रदुषण रहित मतदान सम्पन्न गरियो, विज्ञप्तिमा भनिएको छ, कर्मचारी भत्ता, तलब, पाल, ब्यालेट बाकस ,छापलगायतका विविध व्यवस्थापन तथा खर्चहरु कुनै पनि नगरिकन निर्वाचन सम्पन्न भयो । मतदाताको अनुकुल समयमा मतदाताले मतदान गर्न पाउने सुविधा दिइएको विज्ञप्तिमा उल्लेख छ । पार्टीको राष्ट्रिय सम्मेलन आयोजना गर्ने आयोजक समितिमा केन्द्रीय सदस्य बाहेक , २१ नयाँ सदस्य थपेर राष्ट्रिय सम्मेलन आयोजक समिति गठन गरिने छ । पार्टीको केन्द्रले हरेक प्रदेशबाट २२ गरी कुल १६ जना प्रतिनिधि माग गरेर, कुल २१ जना नयाँ सदस्य थप गर्ने वैधानिक प्रणालीको विकास गरेको थियो । सोही अनुसार अनलाइन निर्वाचन सम्पन्न भएको हो । विवेकशीलले प्रवासलाई आठौं प्रदेशको संज्ञा दिएको छ । निर्वाचनका लागि ब्यालट बिन नामक सफ्टवेयरको प्रयोग गरिएको थियो भने निर्वाचनको समय सकिएको ५ मिनेटमा नै परिणाम उपलब्ध गराउन पनि संचालक सफल भएका थिए, विज्ञप्तिमा भनिएको छ । विज्ञप्ति नेपालमै पहिलोपल्ट विवेकशील नेपाली दलले अनलाइन निर्वाचन मार्फत प्रतिनिधि छान्ने ऐतिहासिक कदम चालेको छ । यस निर्वाचनको अर्को रोचक पक्ष यो पनि हो कि निर्वाचन सञ्चालक श्रीकृष्ण भट्टराई(अमेरिका), कर्मा लामा तामांग(जर्मनी) र संजय रिमाल(अमेरिका) ले विदेशबाटबाट नै नेपालमा प्रदेश स्तरीय अनलाईन निर्वाचन आयोजना गर्न सफल भए । यस निर्वाचनका केहि बिशेसताहरु: दलको २५ पैसा पनि खर्च भएको छैन । एक पाना पनि छपाई नगरिकन सम्पन्न गरिएको हुनाले वातावरण प्रदुषण रहित मतदान सम्पन्न गरियो । कर्मचारी भत्ता, तलब,पाल, ब्यालेट बाकस ,छाप,लगायतका बिबिध ब्यवस्थापन तथा खर्चहरु कुनै पनि नगरिकन निर्वाचन सम्पन्न भयो । मतदाताहरुले लाइनमा नबसिकन निर्वाचन सकियो । मतदाताको अनुकुल समयमा मतदाताले मतदान गर्न पाउने सुबिधा पनि प्राप्त गरे । चाँडै आयोजना गरिन लागिएको पार्टीको राष्ट्रिय सम्मेलन आयोजना गर्ने उद्देश्यले अब गठन गरिने आयोजक समितिमा केन्द्रीय सदस्यहरु बाहेक , २१ जना नयाँ सदस्यहरु थपेर राष्ट्रिय सम्मेलन आयोजक समिति गठन गरिने छ । त्यसै उद्देश्यले पार्टीको केन्द्रले हरेक प्रदेशबाट २२ जना गरि कुल १६ जना प्रतिनिधि माग गरेर, कुल २१ जना नयाँ सदस्य थप गर्ने वैधानिक प्रणालीको विकास गरेको थियो । आफ्ना प्रदेशबाट सो २ जना प्रतिनिधि छान्ने जिम्मेवारी अनलाईन निर्वाचन पद्धति मार्फत नै प्रदेश३ र प्रदेश ८(प्रवास समिति)ले सफलता पूर्वक सम्पन्न गरेको छ । यस निर्वाचनकालागि ब्यालट बिन नामक सफ्टवेयरको प्रयोग गरिएको थियो भने निर्वाचनको समय सकिएको ५ मिनेटमा नै परिणाम उपलब्ध गराउन पनि संचालक सफल भएका थिए ।मिति २०७६ साल बैशाखमा भर्खरै सम्पन्न भएको निर्वाचनमा सुरेश भट्ट आश्रिन र सारा प्याकुरेल प्रदेश ८ को र सरला लामिछाने र सन्जिब भट्टराई प्रदेश ३ को बिजेता भए । मतदानको केही हप्ता अगाडिदेखि नै उमेदवारले आफ्नो परिचय दिने र मतदाताहरुसँग मतको लागि अनुरोध गर्ने कार्य पनि सोही प्रविधि मार्फत नै गरियो । आफ्नो जीवनकालमा पहिलोपटक अनलाइनमार्फत मतदान गर्ने सुअवसर पाएकोमा सम्पूर्ण मतदाताहरु उत्साहित र रोमाञ्चित अनुभव बाड्न थालेको पाइएको छ । विवेकशील नेपाली दलले प्रवास समितिलाई एउटा छुट्टै प्रदेशको मान्यता दिलाएको छ । दलले प्रवास समितिलाई प्रदेश ८ को संज्ञा पनि दिएको छ । त्यसैगरी विदेशमा रहेका नेपालीहरुको मतदान गर्ने अधिकार सुनिश्चित मात्र होइन, उनीहरुलाई मूलधारको राजनीतिमा ल्याउने साहस समेत गरेको छ । एक्काइसौं शताब्दीमा प्रविधिको उच्चतम प्रयोग गर्दै रोचक उदाहरण पेश गर्न सफल विवेकशील नेपाली दल समाज र राज्य दुबै लाभान्वित हुनसक्ने प्रबिधिलाई नेपाल सरकारले विभिन्न राष्ट्रिय स्तरका कार्यक्रमहरुमा अविलम्ब प्रयोग गर्नुपर्ने आवश्यकता महशुस गर्दै सो को लागि नेपाल सरकार समक्ष विनम्रतापूर्वक अनुरोध गर्दछ । अनुमा कोइराला मिडिया सम्योजक बिबेकशील नेपाली दल"
