"शीर्षक","विवरण"
"भीमफेदीमा अटो दुर्घटना हुँदा तामाङ्को मृत्यु","हेटौंडा: मकवानपुरको भीमफेदी गाउँपालिका वडा नम्वर४ ठुलो गुण्डिङमा अटो दुर्घटना हुँदा एक जनाको मृत्यु भएको छ । मृत्यु हुनेमा भीमफेदी गाउँपालिका वडा नम्वर२ भैंसे बस्ने ६५ वर्षीय सुब्बा बज्यु तामाङ् छन् । बुधबार दिउँसो १२ बजे गुण्डिङस्थित भित्री सडकखण्डमा सानो गुण्डिङबाट भैंसेतर्फ जाँदै गरेको ना २ ह ४६८९ नम्बरको अटो अनियन्त्रित भएर सडकबाट करिब ९० मिटर तल खोल्सामा खसेर दुर्घटना भएको जिल्ला प्रहरी कार्यालय मकवानपुरले जनाएको छ ।"
"एकीकृत अखिल नेपाल शिक्षक संगठनको अध्यक्षमा पुनः अधिकारी","काठमाडौं: एकीकृत अखिल नेपाल शिक्षक संगठन(युएण्टो)को अध्यक्षमा पुनः शंकर अधिकारी सर्वसम्मत निर्वाचित भएका छन् । बुधबार सम्पन्न संगठनको छैटौं राष्ट्रिय अधिवेशनबाट अधिकारी दोस्रो कार्यकालका लागि अध्यक्षमा निर्वाचित भएका हुन् । अधिवेशनले अधिकारीको नेतृत्वमा २१ पदाधिकारीसहित ८३ सदस्यीय कार्यसमिति निर्वाचित गरेको हो । अधिवेशनबाट कार्यसमितिको वरिष्ठ उपाध्यक्षमा मानबहादुर पाण्डे निर्वाचित भएका छन् । यसैगरी उपाध्यक्षहरूमा झपिन्द्र क्षेत्री, चेतना रेग्मी, पुष्प न्यौपाने, निमबहादुर केसी, किरण यादव, रेश्मिलाल चपाईं, सोमप्रसाद ढुंगाना निर्वाचित भएका छन् । यस्तै, महासचिवमा कुलप्रसाद खतिवडा निर्वाचित भएको नवनिर्वाचित अध्यक्ष शंकर अधिकारीले जानकारी दिए । त्यसैगरी अर्थ उपमहासचिवमा गणेशप्रसाद रिजाल र उपमहासचिवहरूमा बलबहादुर कार्की, नारायण अर्याल, झम्क चौलागाईं, दिनेश यादव निर्वाचित भएका छन् । यसैगरी सचिवहरूमा गायत्री शर्मा, रामबहादुर खड्का, राजवीर महतो, कुवेर भेटवाल, नवराज शाही र देवीदत्त यादव निर्वाचित भएका छन् । ९९ सदस्यीय कार्यसमितिका बाँकी सदस्य पछि मनोनित हुनेछन् । दोस्रोकालका लागि निर्वाचित अधिकारीले संघीय शिक्षा ऐन पारित गर्न पहल गर्ने र त्यसको कार्यान्वयनमा सघाउने प्रतिवद्धता जनाए ।"
"नक्कली लाइसेन्स बनाउने पक्राउ","काठमाडौं: सवारीसाधनको नक्कली सवारी चालक अनुमतिपत्र (लाइसेन्स) बनाएर प्रयोग गर्ने र बैंकिङ कसुरमा दोषी ठहर भई फरार रहेका दुई व्यक्ति पक्राउ परेका छन् । काठमाडौँ उपत्यका अपराध अनुसन्धान कार्यालयबाट खटिएको टोलीले नक्कली सवारी चालक अनुमतिपत्र बनाएर प्रयोग गर्ने पर्साको वीरगञ्ज महानगरपालिका२५ घर भई काठमाडौँ बस्ने २४ वर्षका पारस शाहलाई पक्राउ गरेको हो । केही व्यक्तिले लिखत कीर्ते गरी विभिन्न वर्गका नक्कली सवारी चालक अनुमतिपत्र बनाई प्रयोग गर्दै आइरहेको छ भन्ने सूचनाका आधारमा अनुसन्धान तथा खोजतलास गर्दा शाह पक्राउ परका हुन् । शङ्का लागेर उनको शरीर खानतलासी गर्दा इ वर्गको लाइसेन्सलाई ए, बी र इ वर्गको नक्कली सवारी चालक अनुमतिपत्र बनाई प्रयोग गरेको फेला परेको कार्यालयका प्रहरी उपरीक्षक सोमेन्द्रसिंह राठौरले जानकारी दिए । उनका अनुसार शाहलाई लिखत कसुरमा अनुसन्धान तथा थप कारवाहीका लागि आज प्रहरी वृत्त गौशालामा बुझाइएको प्रहरीले जनाएको छ । यस्तै कार्यालयले आज बैंकिङ कसुर मुद्दाका फरार धादिङको गङ्गा जमुना गाउँपालिका६ घर भई हाल काठमाडौँको बूढानीलकण्ठ नगरपालिका६ बस्ने ५० वर्षीय पुरनबहादुर घलेलाई आज पक्राउ गरेको छ । उनी बैंकिङ कसुर मुद्दामा उच्च अदालत पाटन ललितपुरको २०७९ पुस २४ गतेको फैसलाले ३६ लाख ८८ हजार पीडितलाई बिगो भराइ ३६ लाख ८८ हजार जरिवाना, एक लाख ४७ हजार क्षतिपूर्ति शुल्क भराउनुका साथै आठ दिन कैद सजाय ठहर भई फरार रहेका थिए ।"
"उपराष्ट्रपति निर्वाचनको नमूना मतपत्र सार्वजनिक","काठमाडौं: निर्वाचन आयोगले उपराष्ट्रपति निर्वाचन, २०७९ को मतपत्रको नमूना सार्वजनिक गरेको छ । उक्त निर्वाचनका लागि दुई प्रकारको मतपत्रको व्यवस्था गरिएको छ । सङ्घीय संसद्का सदस्यले मतदान गर्ने प्रयोजनका लागि रातो मसी र प्रदेशसभा सदस्यले मतदान गर्ने प्रयोजनका लागि हरियो मसीले मतपत्र छपाइ गरिएको छ । मतपत्रमा उम्मेदवारको तस्बिर र नाम समावेश गरिएको छ । उपराष्ट्रपतिको निर्वाचनमा अष्टलक्ष्मी शाक्य (बोहरा), प्रमिला कुमारी, ममता झा र रामसहायप्रसाद यादव गरी चार उम्मेदवार छन् । सङ्घीय संसद् र प्रदेशसभाका सदस्यले मतपत्रमा रहेका कुनै एक उम्मेदवारको तस्बिर र नाम अङ्कित रहेको कोठामा स्वस्तिक छाप लगाई मत सङ्केत गर्नुपर्ने छ । उपराष्ट्रपतिको निर्वाचनमा सङ्घीय संसद् र प्रदेशसभाका सदस्य मतदाता छन् । सङ्घीय संसद् सदस्यको मतभार ७९ र प्रदेशसा सदस्यको मतभार ४८ छ । यही चैत ३ गते उपराष्ट्रपतिको निर्वाचन हुँदैछ ।"
"सीमा क्षेत्रको निरीक्षण","पाँचथर: सुरक्षा निकायका प्रमुखहरूले पाँचथरको भारतसँग जोडिएको सीमा क्षेत्रको निरीक्षण गरेका छन् । प्रमुख जिल्ला अधिकारी गणेश गैरेसहित तीनवटै सुरक्षा निकायका प्रमुखले नेपालभारत सीमा क्षेत्र चिवाभञ्ज्याङमा सीमा क्षेत्रको अवस्थाबारे निरीक्षण गरे । निरीक्षणका क्रममा प्रमुख जिल्ला अधिकारी गैरेले सीमा प्रहरीचौकी च्याङथापू तथा सशस्त्र प्रहरी बल बिओपी चिवाभञ्ज्याङका सुरक्षाकर्मीलाई सीमा क्षेत्रको उपयोग गरी हुनसक्ने चोरी, सिकारी तथा निकासीजस्ता अपराधका घटना न्यूनीकरणमा केन्द्रित हुन निर्देशन दिए । सुरक्षा निकायको टोलीले भारतीय सीमासुरक्षा बल (एसएसबी)का स्थानीय अधिकृतलाई भेटी सीमासुरक्षा र अपराध न्यूनीकरणका विषयमा छलफल गरेको छ । पुष्पलाल (मध्यपहाडी) लोकमार्गको उद्गम बिन्दुसमेत रहेको उक्त क्षेत्र बहुमूल्य जडीबुटी र जङ्गली जनावर पाइने स्थान हो । यही क्षेत्रको उपयोग गरी अन्तरदेशीय चोरी, सिकार र निकासीसमेत हुने गरेको स्थानीयवासीले गुनासो गर्ने गरेका छन् । दुई वर्षअघि यस क्षेत्रको चिवाभञ्ज्याङ र लामपोखरीमा सशस्त्र प्रहरी बलको बोर्डर आउट पोष्ट (बिओपी) स्थापनापछि भारतीयले निर्वाधरुपमा नेपाली भूमिको उपभोग गर्ने, नेपाली जडीबुटी तथा वन्यजन्तुको सिकार गर्नेक्रम भने घटेको छ ।"
"राष्ट्रिय सभा अध्यक्ष कप भलिबलको उपाधि बिहादीलाई","कुश्मा: राष्ट्रिय सभा अध्यक्ष कप अन्तरपालिका भलिबल प्रतियोगिताको उपाधि पर्वतको बिहादी गाउँपालिकाले हात पारेको छ । पर्वतकै मोदी गाउँपालिका वडा नं १ भुकताङ्लेमा आयोजित तेस्रो राष्ट्रिय सभा अध्यक्ष कप प्रतियोगितामा फलेवासलाई लगातार २ सेटमा पराजित गर्दै बिहादीले उपाधि हात पारेको हो । जितसँगै बिहादी गाउँपालिकाले १ लाख ५५ हजार ५ सय ५५ नगद, शिल्ड, मेढल र प्रमाणपत्र प्राप्त गरेको छ । दोस्रो भएको फलेवास नगरपालिकाले १ लाख ५ हजार ५सय ५५ रुपैया प्राप्त गरेको छ । तेस्रो स्थान प्राप्त गरेको आयोजक मोदी गाउँपालिकाले ५५ हजार ५ सय ५५ रुपैया नगद र मेडल तथा प्रमाणपत्र पाएको छ । त्यसैगरी महिला भलिबलको उपाधि धादिङ भलिबल क्लवले हात पारेको छ । अर्चलबोट भलिबल क्लबलाई २१ सेटले पराजित गर्दै उपाधि हात पारेको हो । जितसँगै धादिङ भलिबल क्लवले ७७ हजार ७ सय ७७ रुपैयाँ प्राप्त गरेको छ भने दोस्रो बनेको अर्चलबोट भलिबल क्लव कास्कीले ४५ हजार ५ सय ५५ र तेस्रो मोदी८ चित्रेले २५ हजार ५ सय २५ हात पारेको छ ।"
"पर्यटन प्रवर्द्धन गर्न ७७ जिल्लाको पैदलयात्रा","डडेल्धुरा: सुदूरपश्चिमका पर्यटकिय स्थलको प्रचार गर्न एक युवक पैदल यात्रामा निस्किएका छन् । उनले ७७ जिल्लाको पैदल यात्रा गर्नेछन् । कैलाली गौरीगंगा नगरपालिका४ का ३७ वर्षीय देवराज उपाध्यायले बुधबारदेखि पैदलयात्रा सुरु गरेका हुन् । सुदरपश्चिमको धार्मिक तथा पर्यटकीय गन्तव्यको उचित प्रचार हुन नसकेको भन्दै उनले पर्यटकीय गन्तव्यमा सरकारको ध्यानाकर्षण गराउने बताए । सबै जिल्ला घुमेपछि काठमाडौंमा पर्यटनमन्त्रीलाई भेटेर सुदूरपश्चिमका धार्मिक तथा पर्यटकीय गन्तव्यको विकासमा सहयोग गर्न आग्रह गर्ने बताए । आफनो यात्रा १० महिनादेखि १ वर्ष सम्मको हुने अनुमान रहेको उनले सुनाए ।"
"संयमित हुन सदस्यलाई राष्ट्रिय सहकारी महासंघको आग्रह","काठमाडौं: राष्ट्रिय सहकारी महासंघले सहकारीका सदस्यलाई संयमित भएर धैर्य गर्न अपिल जारी गरेको छ । अध्यक्ष मिनराज कँडेलद्वारा जारी अपिलमा केही संस्थाबाट भएका गलत क्रियाकलापको हल्लाका कारण सबै सहकारी संस्था उस्तै हुन् भन्ने भ्रम सिर्जना भएको उल्लेख छ । गलत बुझाइका कारण सदस्यबाट एकैपटक बचत फिर्ता लिन खोज्दा संस्थाको तरलता व्यवस्थापनमा कठिनाई भई संस्थामा गम्भिर असर पर्न जाने भएकोले सम्पूर्ण सदस्यहरूलाई संयमताका साथ नियमित कारोबार गर्न अनुरोध गर्दछौं । सहकारी संघसंस्थाहरूले बचत रकमको सामान्यतया ८० प्रतिशतसम्म सदस्यहरुलाई नै विभिन्न प्रयोजनमा कर्जा प्रवाह गर्ने भएको हुँदा ऋणी सदस्यहरूलाई समयमा नै नियमित किस्ता तथा व्याज भुक्तानी गरी अन्य सदस्यहरूको बचत रकम फिर्ता गर्न सहज वातावरण बनाई दिन अपिल जारी गरिएको छ । संस्था बचाउन र सदस्यको बचत सुरक्षण गर्ने कार्य सदस्यबाट नै हुने भएको हुँदा ऐन, नियमावली, संस्थाको विनियमअनुसार समिति विघटन तथा चयन गर्ने अधिकार समेत सदस्यमा निहित हुने भएकोले संस्थामा आफ्नो सदस्यताको जिम्मेवारी सक्रियताका साथ निर्वाह गर्न महासंघले भनेको छ । संघसंस्थाले अन्य सहज परिस्थिति भन्दा वढी सदस्यसँग सम्पर्क समन्वय गरी विश्वासको वातावरण सिर्जना गर्दै संस्था नियमित रूपमा संचालन गर्न आग्रह गरिएको छ । संस्थाका सदस्यहरूले निराधार हल्लाका पछि लागि सञ्चालक एवं कर्मचारीमाथि दुव्र्यवहार, हुलदंगा नगरी हालको प्रतिकूल अवस्थामा बचतकर्ताले धैर्य गर्न आग्रह गरिएको छ । संघसंस्थाको सम्पत्ति दायित्व व्यवस्थापनका लागि नियमित वित्तीय विश्लेषण गर्दै अल्पकालिन योजना तर्जुमा गरी जोखिम न्यूनीकरण गर्न, जिल्ला, प्रदेश तथा केन्द्रीय स्तरका संघ तथा राष्ट्रिय सहकारी बैंकले समेत सदस्यको समस्या समाधानका लागि संस्थासंग सहजीकरण गरी रचनात्मक तथा सन्देशमूलक जागरणको भूमिका निर्वाह गर्न महासंघले भनेको छ । प्रतिकूल परिस्थितिमा सहकारी अभियानप्रतिको विश्वासको संकट उत्पन्न भएको सम्बन्धमा महासंघ जानकार भएको जनाइएको छ । महासंघले भूमि व्यवस्था, सहकारी तथा गरिवी निवारण मन्त्रालय तथा सहकारी विभागमा सहकारी ऐन नियममा भएका प्रवद्र्धनात्मक व्यवस्था गर्न लबिङ गरिरहेको अध्यक्ष कँडेल बताउँछन् । कर्जा सूचना केन्द्र, कर्जा असुली न्यायधीकरण, बचत तथा कर्जा सुरक्षण कोषको स्थापना गर्न अभियानले जोडतोडले आवाज उठाइरहेको छ । तरलता व्यवस्थापन गर्न सरकारका विभिन्न कोषबाट राष्ट्रिय सहकारी बैंकमार्फत सहुलियतपूर्ण कर्जाका लागि माग गरिएको छ । प्रतिकुल परिस्थितिमा सम्पूर्ण सहकारी संघ, संस्था तथा सदस्यलाई संयमित भई अभियानप्रति विश्वासका साथ अपनत्वको भावना जागृत गर्न अनुरोध गर्दैछौं अपिलमा भनिएको छ ।"
"पोखराको बाटुलेचौर क्षेत्रका स्थानीय आन्दोलनमा","पोखराः राष्ट्रिय गौरवको आजोजना पुष्पलाल (मध्यपहाडी) राजमार्ग अन्तर्गत पोखराको भैंसेज्याम्दुबाट जौबारीयाम्दीपुलसम्मको सडक निर्माण कार्य रोकिएको छ । पोखरा महानगरपालिका वडा नम्बर १६ का स्थानीयले आप्नो घरबार नै उठ्ने गरी पूर्व जानकारी नदिइ राजमार्ग बनाउन रेखाङ्कन गरिएको भन्दै आन्दोलन गरेपछि निर्माण कार्य अघि बढ्न नसकेको हो । स्थानीयको आन्दोलनपछि पुष्पलाल राजमार्ग योजना कार्यालयल कुश्म, पर्वतले वडा कार्यालय १६ लाई पत्रचार गरी विवाद समाधान भएपछी मात्र निर्माण कार्य अघि बढ्ने व्यहोराको पत्र चैत १ गते पठाएको छ । मध्यपहाडी राजमार्गको भैंसेज्याम्दुमेलबोटपानीघाटआंटीघरअर्मलाकोटकालीखोलापुलअमलाबिसौनीलामाचौरजौबारीयाम्दीपुलसम्मको निर्माण कार्यको लागि ठेक्का व्यवस्थापन भएर पुष्पलाल राजमार्ग योजना कार्यालयल कुश्म, पर्वतलाई निर्माणको लागि हस्तान्तरण भएको अवस्थामा स्थानीय आन्दोलनमा उत्रिएका हुन् । स्थानीयले पोखरा १६ को वडा कार्यालयमा दुई घण्टा ताला लगाएर धर्ना दिएका थिए । २०७८ फागुन २६ गतेको मन्त्रिपरिषद्को बैठकले पुष्पलाल (मध्यपहाडी) राजमार्ग अन्तर्गत पोखराको भैंसेज्याम्दुबाट जौबारीयाम्दीपुलसम्मको सडकको रेखांकन स्वीकृत गरेको थियो । यो खण्डमा सडक निर्माणको काम अघि बढाउने तयारी हुँदै गर्दा स्थानीयले रेखांकनकै विरोध गरेर आन्दोलनमा उत्रिएपछि समस्याको समाधान भएपछि मात्र निर्माण कार्य अघि बढाउने गरी रोकीएको आयोजनाले जनाएको छ । राज्यले स्थानीयलाई जानकारी नदिइ घरबार नै उठ्ने गरी राजमार्गकालागि रेखांकन गरेकोले आन्दोलनमा उठ्नु परेको पुष्पलाल(मध्यपहाडी) राजमार्ग आयोजना पीडित संघर्ष समिति पोखरा १६ का सचिव सन्दीप थापाले बताए । वडा कार्यालयले स्थानीयलाई जानकारी समेत नदिइ रेखांकनकालागि सिफारिस गरेको स्थानीयको आरोप छ ।"
"सोताङमा मृत भेटिएका राईका आफन्त भेटिएनन्","सोलुखुम्बु: सोताङ गाउँपालिका ३ सोहरामा मृत भेटिएका सुमेन्द्र राईका आफन्त सम्पर्कमा नआउँदा पोस्टमार्टममा समस्या भएको छ । उनी गत आईतबार मृत फेला परेका थिए । उनको साथमा भेटिएको कोरोना खोप कार्डको विवरण अनुसार राई भारत दार्जिलिङ कुर्सुङ १५ घर नम्बर २५ का व्यक्ति हुन् । मुखबाट रगत आएको अवस्थाका उनलाई प्रहरीले मृत फेला पारेको थियो । आफन्तको जानकारी लिन भारतीय प्रहरीको सहयोग लिए पनि अहिलेसम्म पत्ता नपाएको जिल्ला प्रहरी कार्यालय सोलुखुम्बुका प्रहरी निरीक्षक रामकिशोर साहले जानकारी दिए । भारतीय प्रहरीले खोप कार्डमा भेटिएको विवरण अनुसारको व्यक्ति सोही ठेगानामा फेला नपरेको भारतीय प्रहरीले जानकारी गराएको साहले बताए । उनको शव जिल्ला अस्पताल फाप्लुको शव गृहमा राखिएको छ । मृतकका परिवारसँग सम्पर्क हुनेले वा आफन्तले प्रहरी कार्यालयको सम्पर्क नम्बर ९८५२८९०१९९, ९८५२८९०४६७ वा १०० मा सम्पर्क गरेर जानकारी गराइदिन प्रहरीले आग्रह गरेको छ ।"
