"शीर्षक","विवरण"
"कोशी प्रदेशका पाँच वर्षमुनिका २० प्रतिशत बालबालिका पुड्कोपन","बनियानी : कोशी प्रदेशमा पाँच वर्षमुनिका २० प्रतिशत बालबालिका पुड्कोपन रहेको पाइएको छ । झापाको बिर्तामोडमा आयोजित नगरस्तरीय पोषण तथा खाद्य सुरक्षा निर्देशक समितिको बैठक तथा अभिमुखीकरण कार्यक्रममा आधारभूत पोषण तथा बहुक्षेत्रीय पोषण योजनाका कोशी प्रदेश संयोजक सञ्जीव लामा घिसिङले प्रदेशको पोषणको तथ्यांक प्रस्तुत गर्दै पाँच वर्षमुनिका २० प्रतिशत बालबालिका पुड्कोपन रहेको जानकारी दिए । त्यस्तै १३ प्रतिशत बालबालिकामा कम तौलको समस्या र चार प्रतिशत ख्याउटेपनबाट ग्रसित भएको उनले बताए । 'नेपालमा पाँच वर्षमुनिका बालबालिकामा कुपोषण धेरै छ', उनले भने, 'जसका कारण बालबालिकाको चौतर्फी विकास हुनसकेको छैन ।' उनले नेपालमा २५ प्रतिशत पुड्कोपन, ८ प्रतिशत ख्याउटेपन र १९ प्रतिशत बालबालिका कम तौलका रहेको बताए । बालबालिका धेरै कुपोषित भएको र यसलाई निराकरण गर्न पोषणको एकीकृत कार्यक्रम कार्यान्वयन गर्नुपर्ने उनले जोड दिए । कृषि, पशुपक्षी, शिक्षा, खानेपानी, महिला तथा बालबालिकासँग सम्बन्धित क्रियाकलापसँगसँगै पोषणको एकीकृत कार्यक्रम कार्यान्वयन गर्ने उद्देश्यका साथ योजना आएको बताउँदै उनले यस कार्यक्रमले बालबालिकासँगै किशोरी तथा महिलाको पोषणको अवस्थामा समेत सुधार ल्याउने बताए । कार्यक्रममा बिर्तामोड नगरपालिकाका नगरप्रमुख पवित्रा महतारा प्रसाईंले पोषणको कुरा सामान्य लागे पनि महत्वपूर्ण विषय रहेको बताए । 'कुपोषित बालबालिकाकाको समुचित शारीरिक तथा मानसिक विकास हुन सक्दैन', उनले भने, 'राम्रो समाज निर्माणका लागि राम्रो जनशक्ति आवश्यक हुन्छ, बच्चालाई आमाको गर्भमा हुँदादेखि नै कुपोषित हुनबाट बचाउनु पर्छ ।'"
"बिआरआई : ऋण बोकाउने चीनको कूटनीतिक जाल","बेल्ट एन्ड रोड इनिसिएटिभ (बिआरआई)लाई 'वान बेल्ट वान रोड' पनि भनिन्छ । सन् २०१३ देखि चिनियाँ सरकारले विश्वमा पूर्वाधार विकास गर्ने कूटनीतिअनुसार यो कार्यक्रम ल्याउँदै १५० वटाभन्दा बढी देशलाई प्रभावमा पारिसकेको छ । चिनियाँ राष्ट्रपति सी चिनफिङको विदेशी नीतिअन्तर्गतको यो कार्यक्रम जति फैलदैछ, त्यति नै विश्वमा समस्या निम्त्याइरहेको छ । लागू भएका कतिपय देश विदेशी ऋणको चपेटामा फसेका छन् भने आर्थिक संकटग्रस्त भएका छन् । यसलाई ऋण बोकाउने कूटनीतिको रूपमा लिन थालिएको छ । यो आयोजना नवउपनिवेशवादको रुप भएको भन्दै चिन्ता व्यक्त हुँदै आएको छ । केही सरकारहरूले नै बेल्ट एण्ड रोड इनिसिएटिभलाई नवउपनिवेशवाद भएको बताएका छन् । किनभने उनीहरूले चीनको ऋणजाल कूटनीतिमा पूर्वाधार परियोजनाहरू कोषको लागि अभ्यास गरेको बताएका छन् । तान्जानियाका राष्ट्रपति जोन मागुफुलीले आफ्नो देशमा बिआरआई परियोजनाका लागि ऋण सम्झौताहरू शोषणपूर्ण र अनौठो भएको बताएका थिए । पोर्ट निर्माणका लागि ९९ वर्षको लिजमा दिएका मागुफुलीले चिनियाँ ठेकेदारले उक्त जग्गा आफ्नै रूपमा राख्न चाहे पनि आयोजना निर्माणका लागि ढिलाइ गरेबापत क्षतिपूर्ति दिनुपर्ने अवस्था रहेको बताए । चीनको रणनीतिले मुख्यरूपमा ऋणको जाल प्रयोग गरेर लक्षित राष्ट्रहरूको सार्वभौमिकतालाई कमजोर बनाइरहेको छ । उदाहरणका लागि बेइजिङले ताजिकिस्तानलाई ११५८ किलोमिटर स्क्वायर क्षेत्र फिर्ता गर्न दबाब दिइरहेको छ, जसले चीनको कूल २९ बिलियन डलर ऋणमध्ये १२ बिलियन अमेरिकी डलर तिर्न बाँकी छ । सार्वभौमसत्ता गुमाउने समान जोखिममा रहेका अन्य राष्ट्रहरू पाकिस्तान, मेदागास्कर, मंगोलिया, माल्दिभ्स, किर्गिस्तान, मोन्टेनेग्रो, श्रीलंका र लाओस हुन्, जसले चीनबाट ठूलो रकम ऋण लिएका छन् । चिनियाँ ऋणको जालमा साना देशमा डरलाग्दो अनुपातमा पुगेको स्थिति छ । पपुवा न्यू गिनी एक अनिश्चित अवस्थामा छ । तीन वर्षअघि पपुव न्यू गिनीको बजेट घाटा ७१ बिलियन किना (२ बिलियन अमेरिकी डलर) पार भएको थियो । उसले चीनको एक्जिम बैंकलाई धेरै ऋण तिरिसकेको छ । टेलिकम पीएनजी, सरकारी स्वामित्वमा रहेको प्रतिष्ठान, हुवावेसँग ठूलो भुक्तानी समस्या सिर्जित भएको थियो । यसले गर्दा पपुव न्यू गिनी आफ्नो ऋण प्रतिबद्धताहरू पूरा गर्न पर्याप्त राजस्व उठाउन असमर्थ भएको थियो । त्यस्तै श्रीलंकाको हम्बनटोटा बन्दरगाह चिनियाँ कम्पनीलाई ९९ वर्षको लागि भाडामा दिइएको थियो । पाकिस्तानको ग्वादर बन्दरगाह पहिले नै ४० वर्षको लागि भाडामा दिइएको थियो । यसले चीनलाई अरब सागर र हिन्द महासागर क्षेत्रमा सजिलो पहुँच प्रदान गर्दछ । बन्दरगाह निर्माणभन्दा पनि चीनले आफ्नो प्रभावका लागि बिआरआई प्रयोग गरिरहेको छ । बिआरआईमार्फत् विभिन्न मुलुकमा प्रवेश गरेर चीनले देशहरुको सावभौमसत्तालाई समेत असर गरिहरेको देखिन्छ । विभिन्न प्रतिवेदनले २१ प्रतिशत देखि ७० प्रतिशतसम्मको विदेशी ऋण चीनको रहेको देखाएको छ । केन्याले नैरोबी र मोम्बासाबीचको रेल लिंकको लागि चीनको एक्जिम बैंकबाट ऋण लिएको छ । रेल लाइनले भुक्तान नगरे मोम्बासा बन्दरगाहको सम्पत्ति चीनमा जान सक्छ । इजिप्ट र इथियोपिया पनि ऋणको जालको सामना गरिरहेका छन् । अपारदर्शी सम्झौताका कारण बिआरआई बदनाम हुँदै गएको छ । सम्झौताअघि विभिन्न राम्रा योजना देखाए पनि ती योजनाले भविष्यमा प्रतिफल दिन नसक्दा देशहरू चीनको वैदेशिक ऋणमा फसिरहेका छन् । यसले ती देशको आर्थिक अवस्थालाई असरमात्र पारेको छैन, उनीमाथि चीनको अनावश्यक दबाबमा समेत थपिएको छ । चिनियाँ अधिकारीहरूले उनीहरूले के प्रवर्द्धन गर्न खोजिरहेका छन् भन्ने कुराको वास्ता नगरी यसमा सम्झौता गर्नुपर्ने कुरामा विश्वास राख्छन् । बिआरआई कुन प्रयोजनका लागि ल्याइएको भन्ने पनि अहिलेसम्म स्पष्ट पार्न सकेको छैन । पूर्वाधार विकास भनिए पनि यसले अनावश्यक ऋण थप्दा ती पूर्वाधारको निर्माणमै प्रश्न चिन्ह उठेका छन् । अझ गरिब राष्ट्रमाथि थोपरिएको ऋणले चीनको नियममाथि थप प्रश्न चिन्ह उठिरहेको छ । चिनियाँ अधिकारीहरूले यसबारेमा दोस्रो देशका जनतालाई आवस्त पार्ने गरी बिआरआईको प्रयोजना बताउन सकेका छैनन् । त्यसैले पनि बिआरआईप्रति विभिन्न शंका उपशंका जन्मिरहेको छ । बिआरआईको तुलनामा बरु अमेरिकाको मिलेनियम च्यालेञ्ज कर्पोरेशन (एमसीसी)ले आफ्नो प्रयोजन स्पष्टरूपमा खुलाउन सकेको छ । अमेरिकाले आर्थिक वृद्धिमार्फत् गरिबी न्यूनीकरण गर्ने ध्येय बोकेको स्वतन्त्र अमेरिकी वैदेशिक सहयोग निकायको रूपमा एमसिसीलाई परिभाषित गरेको छ । एमसीसीले सुशासन, आर्थिक स्वतन्त्रता र नागरिकका लागि लगानीप्रति प्रतिबद्ध विकासोन्मुख राष्ट्रहरूसँग साझेदारी गर्दछ । सन् २००४ मा स्थापना भएयता एमसीसीले लगभग ३० वटा देशसँग १३ अरब डलरभन्दा बढी रकमको ३७ वटा अनुदान सम्झौतामा हस्ताक्षर गरिसकेको छ । ती योजना स्पष्ट रूपमा हेर्न सकिन्छ । तर चिनियाँ बिआरआई परियोजनाका बारेमा स्पष्ट जानकारी र त्यसको प्रायोजन खुलाएको पाइँदैन । एमसीसीका ३७ वटा सम्झौतामध्ये २५ वटा सम्पन्न भइसकेका छन् भने बाँकी सम्झौता कार्यान्वयनमा छन् । एमसीसी नेपाल सम्झौता (अङ्ग्रेजीमा कम्प्याक्ट भनिएको अनुदान सम्झौता) भनेको नेपाल सरकार र एमसीसीबीच विसं २०७४ भदौ २९ गते हस्ताक्षर भएको ५० करोड अमेरिकी डलर बराबरको पाँच वर्षे अनुदान सम्झौता हो । कूल लगानी ६३ करोड अमेरिकी डलर रहेको यस आयोजनामा नेपाल सरकारले १३ करोड अमेरिकी डलर लगानी गर्नेछ । नेपालले चीनको बेल्ट एण्ड रोड आयोजनासम्बन्धी समझदारी पत्रमा हस्ताक्षर हुनुभन्दा अगावै एमसीसीले सन् २०१२ देखि नै नेपाल सरकारसँग साझेदारी गर्दै आएको छ । नेपालले बिआरआई परियोजना लागि सम्झौता गरेको गरेको ६ वर्ष भइसकेको छ । तैपनि यो कुनकुन परियोजनामा काम हुने र कहिले हुने अहिलेसम्म स्पष्ट छैन । नेपाल र चीनले तत्कालीन प्रधानमन्त्री पुष्पकमल दाहालको नेतृत्वमा सन् २०१७ मेमा बिआरआईसम्बन्धी समझदारीपत्रमा हस्ताक्षर गरेका थिए । २०१९ को सुरुमा नेपालले बिआरआईअन्तर्गत नौवटा विभिन्न परियोजनाहरू अघि बढाउन प्रस्ताव गरेको थियो । जसमा चिनियाँ बन्दरगाह जिलोङकेरुङदेखि काठमाडौंसम्म जोड्ने ट्रान्स हिमालयन रेलमार्गको सम्भाव्यता अध्ययन, ४०० केभी विद्युत् प्रसारण लाइन विस्तार, नेपालमा प्राविधिक विश्वविद्यालय स्थापना, नयाँ सडक निर्माण, सुरुङ र जलविद्युत परियोजना थिए । बिआरआईलाई तीव्रता दिन चिनियाँ राष्ट्रपति सी चिनपिङले सन् २०१९ को अक्टोबरमा काठमाडौंको भ्रमण गरेका थिए । तर बिआरआईमा हस्ताक्षर भएको ६ वर्ष बितिसक्दा पनि एउटा पनि परियोजनाको टुंगो लागेको छैन । नेपाल सरकारको चीनसँग तीनवटा चासो रहेको छ । ती सबै चासो चीनले यसअघि दिएका ऋण सम्झौता भन्दा फरक खालका छन् । नेपालले व्यावसायिक ऋणको सट्टा चीनबाट अनुदान चाहेको छ । त्यो हुन नसके नेपालले सफ्ट लोन लिन चाहेको छ । यसले विश्व बैंक र एसियाली विकास बैंकजस्ता बहुपक्षीय कोषका निकायहरूको ब्याजदर र भुक्तानीको समयअनुरुप बनाउने नेपालको धारणा छ । बिआरआई परियोजनाहरू लागू गर्दा प्रतिस्पर्धी बोलपत्रका लागि खुला हुनुपर्छ भन्ने नेपालको धारणा छ । किनभने यसअघि चीनको ऋणमा फसेका देशबाट नेपाल तर्सिरहेको छ । चीनको नेतृत्वमा रहेको एसियाली पूर्वाधार लगानी बैंक र सिल्क रोड कोषमार्फत् पनि सामान्यतया व्यापारिक सर्तहरूमा ऋण विस्तार गर्ने गरिएको छ । विशेषगरी बिआरआई सम्झौतामा वित्तीय रुपरेखा र पारदर्शिताको मुख्य मुद्दा भनेको छ । अर्कोतर्फ श्रीलंकाको आर्थिक संकटबाट पाठ सिक्दै नेपालले बिआरआई परियोजनामा हात हाल्न नहुने तर्क छ । श्रीलंकाको हम्बनटोटा बन्दरगाह ६ प्रतिशतको व्यावसायिक दरमा चिनियाँ लगानीमा निर्माण भएको हो । ऋण तिर्न असफल भएपछि श्रीलंका सरकारले पोर्टको सञ्चालन चीनलाई हस्तान्तरण गरेको थियो । त्यसपछि चीनले विदेशमा 'ऋण जाल' बिछ्याउने गरेको भन्दै आलोचना भइरहेको छ । पाकिस्तान र मलेसिया लगायत धेरै देशहरूले बिआरआई सम्झौताको अवस्थालाई अझ नजिकबाट समीक्षा गर्न थालेका छन् । बिआरआई परियोजना ऋणबाट मात्र कार्यान्वयन गर्न सकिने अवस्था रहेमा नेपालले चीनको उच्च ब्याजको ऋण लिन सक्दैन । किनभने नेपाली अर्थतन्त्रले त्यो ऋण थेग्न सक्दैछ । नेपालले चिनियाँहरूलाई ऋण होइन, अनुदान चाहिन्छ भनेर भनिरहँदा चीनले मानिरहेको छैन । यसले चीनको ऋण जाललाई थप पुष्टि गरिरहेको छ । नेपालचीन क्रस बोर्डर रेलवे भारतीय बजारलाई ध्यानमा राखेर चीनले प्रस्ताव गरेको हो । किनकि ३ करोड जनसंख्या भएको देश नेपालले बिआरआईको उद्देश्य पूरा गर्न सक्दैन । चिनियाँ प्रभाव विस्तार गर्ने रणनीतिक, राजनीतिक र आर्थिक हतियारको रूपमा बिआरआई देखिएको स्पष्ट देखिन थालेको छ । बिआरआई परियोजनाको अस्पष्ट छ । बिआरआई अन्तर्गतका राष्ट्रहरूका लागि भविष्यमा थप असहज परिस्थिति सिर्जना गर्ने केही योजनाले पनि विभिन्न शंकास्पदता छ । यो योजना लागू भएमा नेपालले वातावरण संरक्षण, सुरक्षा र रोजगारीमा चुनौतीको सामना गर्न सक्छ । यसबाहेक नेपाल भूपरिवेष्ठित मुलुक भएकाले भौगोलिक र प्राकृतिक स्रोतसाधनको सीमितताले आर्थिक वृद्धि र मूल्यमा दोहोरो असर पर्ने ऋणको भारीसमेत बोक्नु पर्नेछ । बिआरआईको अर्को गम्भीर विषय मानव अधिकारसम्बन्धी रहेको छ । बिआरआई परियोजनका लागि विदेश पठाइएका चिनियाँ आप्रवासी कामदारहरूका सम्बन्धमा व्यापक मानवअधिकार उल्लंघन भइरहेको विभिन्न मानवअधिकारवादी संस्थाले रिपोर्ट प्रकाशित गरेका छन् । चिनियाँ कम्पनीहरूले जबरजस्ती श्रम गराउने गरेको उनीहरुको भनाइ छ । सामान्यतया कामदारहरूको राहदानी जफत गर्ने र उनीहरूलाई अवैध व्यापार भिसाका लागि आवेदन दिन लगाउने गरेको ती रिपोर्टमा उल्लेख छ । उनीहरूले आदेश पालन गर्न अस्वीकार गरेमा उनीहरूको अवैध स्थिति रिपोर्ट गर्ने धम्की दिने गरिएको छ । त्यस्तै पर्याप्त चिकित्सा सेवा दिने नगरको पनि बताइउको छ । आराम गर्नदेखि कामदारको व्यक्तिगत स्वतन्त्रता र वाक स्वतन्त्रतामा प्रतिबन्ध लगाउने, कामदारहरूलाई बढी काम गर्न बाध्य पार्ने, विदा रद्द गर्ने, पारिश्रमिक भुक्तानीमा ढिलाइ गर्ने, भ्रामक विज्ञापन प्रकाशित गर्ने, कामदारले छोड्ने मनसाय भएमा ठूलो क्षतिपूर्तिसहित कुटपिट गर्ने, खराब काम गर्ने र जीवनयापन गर्न लगाउनेसहित आन्दोलनको नेतृत्व गर्ने कामदारहरूलाई कारबाही गर्ने गरिएको रिपोर्टमा उल्लेख छ । बीआरआईका विवादास्पद तत्वहरूको लोकप्रिय प्रतिक्रियाले केही देशहरूलाई हस्ताक्षर गर्न अनिच्छुक बनाएको छ ।"
"काभ्रेमा पुनः डेंगुका बिरामी भेटिए","काभ्रे : काभ्रेपलाञ्चोकमा पुनः डेंगु र कोरोना संक्रमण देखिएको छ । पाँच महिनापछि यहाँ डेंगु संक्रमण पुष्टि भएको हो । जिल्ला स्वास्थ्य कार्यालयका अनुसार यसै साता पाँचखाल३ का ५१ वर्षीया एक महिलामा डेंगु संक्रमण पुष्टि भएको छ । परीक्षणपछि हाल उनी घरमै स्वास्थ्यकर्मीको निगरानीमा छन् । हाल स्थानीय तहका स्वास्थ्य शाखामार्फत लक्षण तथा बच्ने उपायबारे प्रचारप्रसारसँगै स्वास्थ्यकर्मीलाई हाइअलर्टमा राखिएको जिल्ला स्वास्थ्य कार्यालयका प्रमुख पुरुषोत्तम सेढाईँले बताए । जिल्लामा तीन वर्षपछि पाँचखालमा डेंगुको संक्रमण देखिएको थियो । डेंगु रोग लाग्ने व्यक्तिलाई अचानक उच्च ज्वरो आउने र पाँचदेखि सात दिनसम्म ज्वरो रहने, सहन नसक्ने गरी टाउको दुख्ने, आँखाको नानी तथा पछिल्लो भाग दुख्नुका साथै ढाड, जोर्नी र मांशपेसी दुख्ने, शरीरमा विबिरा आउने तथा वाकवाकी लाग्ने, पेट दुख्ने, नाक अथावा गिँजाबाट रगत बग्नु, शरीरमा रगत जेमेको दाग देखापर्नु तथा बेहास हुने लक्षण देखिने सेढाईँको भनाइ छ । जिल्लामा हालसम्म छ सय ८० मा डेंगुको संक्रमण देखिएको छ ।"
"ट्रकको ठक्करबाट मोटरसाइकल चालकको मृत्यु","दोलखा : जिल्लाको भीमेश्वर नगरपालिका७ स्थित दूधडेरी नजिक शनिबार बिहान ट्रकले मोटरसाइकललाई ठक्कर दिदा मोटरसाइकल चालकको मृत्यु भएको छ । मृत्यु हुने काभ्रेपलाञ्चोकको महाभारत गाउँपालिका८ का २० वर्षीय राजु मगरको मृत्यु भएको छ । मोटरसाइकलको पछाडि बस्ने धनुषा जिल्ला घर भई चरिकोट बस्दै आएका २० वर्षीय अभिषेक शाह घाइते भएका छन् । चरिकोटबाट काठमाडौंतर्फ जाँदै गरेको बा ४ ख ९७५ नम्बरको ट्रकले विपरीत दिशाबाट आउँदै गरेको बा ९४ प ३२५५ नम्बरको मोटरसाइकललाई ठक्कर दिएको थियो । ट्रकको ठक्करबाट घाइते भएका मगरलाई च्छोरोल्पा जनरल अस्पताल लगिएकोमा उनको उपचारका क्रममा मृत्यु भएको हो । मोटरसाइकललाई ठक्कर दिने ट्रकका चालक फरार छन् । उनको खोजी भइरहेको प्रहरीले जनाएको छ ।"
"एसिया ट्राईयाथलन कपको उपाधि बब र मारगारेटालाई","पोखरा : एसिया ट्राईयाथलन कपको उपाधि पुरुष तर्फ लक्जम्बर्गका बब हेलर र महिला तर्फ स्लोभाकियाकी मारगेटा बिकानोभाले जितेका छन् । ७५० मिटर पौडी, २० किमि साईक्लिङ र ५ किमि दौड दूरी बबले ५५ मिनेट ५५ सेकेन्डमा र मागरगेटाले १ घन्टा ४ मिनेट ५१ सेकेन्ड समयमा पूरा गर्दै उपाधि जितेका हुन् । नेपाल ट्राईयाथलन संघको आयोजनमा भएको २०२३ एसिया ट्राइयाथलन कप तथा दक्षिण एसियन च्याम्पियनसिप अन्तर्गत भएको प्रतियोगिताको एसिया कपतर्फ दोस्रो स्थानमा पुरुष तर्फ उज्वेक्सितानका एलेक्जेन्डर कुरिसोभले निधरित दूरी ५५ मिनेट ५७ सेकेन्डमा पूरा गर्दै उपाधि जितेका हुन् । यसै गरी तेस्रो स्थानमा रहेका लक्जम्बर्गका स्टेफान जाकोसले ५६ मिनेट ०१ सेकेन्डमा पूरा गरे । जापानका क्योतारो याशिकावाले निधारीत दूरी ५६ मिनेट ९ सेकेन्डमा पूरा गरे । पाँचौ स्थानमा रहेका न्युजिल्याण्डका ओलीभर लारकोम्बेले ५७ मिनेट ५८ सेकेन्ड समयका साथ दूरी पूरा गरेका थिए । महिला तर्फ जापानकी मिनोरी इकेनो र चिसातो नाकाजिमाले दोस्रो र तेस्रो स्थान प्राप्त गरे । मिनोरीले १ घन्टा ५ मिनेट १८ सेकेन्डमा र चिसातोले १ घन्टा ५ मिनेट ३० सेकेन्डमा दूरी पूरा गरे । चौथो स्थानमा रोमानियाकी एन्तोनेला मानाक र पाँचौ स्थानमा जापानकी युका सातो रहे । मानाकले १ घन्टा ६ मिनेट ४ सेकेन्ड र सातोले १ घन्टा ७ मिनेट ३७ सेकेन्डमा दूरी पूरा गरे । बिश्व ट्राइयाथलन महासंघको नियम बमोजिम घोषित कुल पुरस्कार राशी मध्ये पहिलो हुनेले ३० प्रतिशत, दोस्रोले २५ प्रतिशत, तेस्रोले २० प्रतिशत, चौथोले १५ प्रतिशत र पाँचौले १० प्रतिशत रकम प्राप्त गर्नेछन् । कुल ४२ सय डलरबाट शिर्ष तीनले ६३० डलर, ५२५ डलर र ४२० डलर प्राप्त गरे । यसका साथै विजयीले मेडल र प्रमाण पत्र प्राप्त गरे । चौथो स्थान प्राप्त खेलाडीले ३१५ डलर र पाँचौ स्थानका खेलाडीले २१० डलर सहित मेडल र प्रमाण पत्र प्राप्त गरे । विश्व ट्राइयाथलन महासंघको नियम बमोजिम पुरस्कार घोषण गरिएको हो । प्रतियोगिता अन्तर्गत दक्षिण एसियन च्याम्पियनसिपमाको ट्राईयाथलन तर्फ भारतका आदर्श मुरलीधरण नायर सिनिमोलले आफ्ना प्रतिद्वन्दिलाई पछि पार्दै उपाधि उचाले । उनले निर्धारित दूरी १ घन्टा ४ मिनेट १६ सेकेन्डमा पूरा गरे । यस्तै दोस्रो स्थानमा रहेका भारतकै विश्वनाथ यादवले १ घन्टा ६ मिनेट २५ सेकेन्ड र तेस्रो स्थानमा रहेका नेपालका बशन्त थारुले १ घन्टा ६ मिनेट ५२ सेकेन्डमा दूरी पूरा गरे । महिला तर्फ पूर्व विजेता भारतकी प्रज्ञा मोहनले १ घन्टा १२ मिनेट समयका साथ प्रथम स्थान प्राप्त गर्दा भारतकै मान्सी मोहितेले १ घन्टा १३ मिनेट ४६ सेकेन्ड समयका साथ दोस्रो स्थान प्राप्त गरिन् । तेस्रो स्थानमा नेपालकी श्रेवी महर्जनले १ घन्टा १८ मिनेटमा दूरी पूरा गरिन् । दक्षिण एसियन च्याम्पियनसिप अन्तर्गत जुनियर ट्राईथलनमा भारतले एकलौटी पार्यो । भारतका खुन्द्रकपाम नगन्बा मैतेले निर्धारित दूरी १ घन्टा २ मिनेट ४६ सेकेन्ड समयका साथ पूरा गर्दै पहिलो, पार्थ मिराज १ घन्टा ६ मिनेट ४२ सेकेन्ड समयका साथ दोस्रो र श्रीदथ सुधिर १ घन्टा १० मिनेट २६ सेकेन्ड समयका साथ तेस्रो भए । महिला तर्फ भारतकी सञ्जना सुनिल जोशी १ घन्टा १२ मिनेट २१ सेकेन्डका साथ पहिलो, नेपालकी श्रेवी महर्जन १ घन्टा १८ मिनेटका सथा दोस्रो र भारतकी देवकी शर्मा १ घन्टा २७ मिनेट ८ सेकेन्डका साथ तेस्रो भए । राष्ट्रिय तर्फ पुरुषमा वसन्त थारु, दिपेश चौधरी र मुकेश चौधरी क्रमशः पहिलो, दोस्रो र तेस्रो भए । वसन्तले १ घन्टा, ६ मिनेट, ५२ सेकेन्ड, दिपेशले १ घन्टा, ९ मिनेट, १७ सेकेन्ड र मुकेशले १ घन्टा १० मिनेट ४४ सेकेन्ड समयका साथ दूरी पूरा गरे । महिला तर्फ श्रेवी महर्जन प्रथम भइन् । दोस्रो स्थानमा रहेकी केशरी थापा मगरले निर्धारित दूरी १ घन्टा ३२ मिनेट ३१ सेकेन्ड समयमा पूरा गरिन् ।"
"""मुस्ताङमा एमालेको मिसन ग्रासरुट","बौद्ध कलेज निर्माणको विषयलाई विवादित नबनाउन आग्रह"",""जोमसोम : नेकपा एमाले मुस्ताङको मिसन ग्रासरुट अभियान शनिबारदेखि सुरु भएको छ । ग्रासरुट अभियानको गण्डकी प्रदेशका मुख्यमन्त्री खगराज अधिकारीले उद्घाटन गरे । अभियानको उद्घाटन गर्न मुख्यमन्त्री अधिकारी हवाईमार्गबाट जोमसोम आएका हुन् । उनीसँगै एमाले केन्द्रीय सदस्य एवं विदेश विभाग उपप्रमुख कृष्ण केसी र केन्द्रीय सदस्य नवराज पौडेल पनि मुस्ताङ आएका हुन् । मुस्ताङका नेता कार्यकर्ताहरूले बौद्ध कलेज निर्माण गर्ने विषयलाई लिएर केही हप्ताअघि पार्टी अध्यक्ष केपी शर्मा ओलीले दिएको अभिव्यक्तिलाई लिएर चर्को आलोचना गरेका छन् । मुख्यमन्त्री अधिकारीले कार्यक्रम र अभियानको औचित्यमाथि संक्षिप्त जानकारी गराएलगत्तै एमाले गण्डकी प्रदेश कमिटी सदस्य एवं लोघेकर दामोदरकुण्ड गाउँपालिकाका अध्यक्ष लोप्साङ छोम्फेल बिष्टले पार्टी अध्यक्ष ओलीले मुस्ताङमा यतार्थता र वास्तविकता अध्ययन नगरी बौद्ध कलेज स्थापनाका विषयमा विवादास्पद अभिव्यक्ति दिएकोप्रति रोश प्रकट गरे । मुस्ताङका बौद्ध स्कुलमा माध्यमिक तहको पढाइ हुन्छ । त्योभन्दा माथिको उच्च शिक्षा अध्ययन गर्न भारत र काठमाडौं जानुपर्छ । यहीँ कलेज भइदिए यहाँका बौद्धमार्गी विद्यार्थीलाई उच्च शिक्षा अध्ययन गर्न निकै सहज हुन्थ्यो, उनले भने । बौद्ध संघको सिफासिसमा मुस्ताङमा बौद्ध कलेज निर्माण गर्न वारागुङ मुक्तिक्षेत्र गाउँपालिकाले समन्वय गरेको थियो । कलेजको विषयमा नकारात्मक समाचार र अभिव्यक्ति आएपछि सो गाउँपालिकाका अध्यक्षले चर्को आलोचना थेग्न परेको थियो । मिसन ग्रासरुट अभियानमा सो पालिकाका अध्यक्ष रिङझिङ नाम्गेल गुरुङले विश्व विद्यालयका विषयमा यथार्थभन्दा नियोजित प्रसार भएको बताए । मुस्ताङको वारागुङ मुक्तिक्षेत्र गाउँपालिकाले स्थानीय बौद्धमार्गी विद्यार्थी अध्ययन गर्ने उद्देश्यले बौद्ध कलेज खोल्न सहयोग सिफारिस गरेको उल्लेख गरे । वारागुङको फल्याक निषेधित क्षेत्रभित्र नपर्ने र खम्पाले विद्रोह गरेको ठाउँ नभएको प्रष्ट्याए । पार्टी विदेश विभाग उपप्रमुख केसीले एमालेविरुद्ध राष्ट्रिय र अन्तर्राष्ट्रिय शक्ति लागिपरेको बताए । उनले एमालेले ग्रासरुटसम्म आफ्नो संगठन विस्तारका लागि अभियान सञ्चालन गरेको र यसले कार्यकर्ता पंक्तिलाई थप ऊर्जा प्रदान गर्ने बताए । भौगोलिक जैविक विविधता र कलासंस्कृति र सम्भयताले मुस्ताङ जिल्ला अन्य जिल्लाभन्दा विशिष्ट जिल्ला रहेको उल्लेख गर्दै केन्द्रीय सदस्य केसीले यहाँको वास्तविकता र तमाम कार्यकर्ताको भावना बोकेर साक्षात्कार गर्दै अभियानलाई फलदायी बनाइने बताए । त्यस्तै पौडेलले जनताको घरदैलोमा जनताको मन जित्न ग्रासरुट अभियानले योगदान पुर्याउने बताए । मुख्यमन्त्री अधिकारीले बौद्ध कलेज स्थापना गर्ने भनिएको जग्गाको स्थलगत अवलोकन गरे । वडाध्यक्ष सुरेन्द्र गुरुङले पार्टी नेतृत्वले दिएको अभिव्यक्तिले आफूहरुको भावनामा निकै ठुलो ठेस पुगेको बताए । उनले मुस्ताङको बौद्ध कलेजका विषयमा जेजति चर्चामा आए ती सबै सत्य नभएको र पार्टी नेतृत्वलाई गल्ती सच्याउन अनुरोध गरे । बौद्ध कलेज स्थापना गर्ने भनिएको जग्गा करिब ७ घरधुरीको निजी जग्गा हो । उनीहरूले कलेज खोल्न मुस्ताङ शाक्य बौद्ध संघलाई दान दिएका थिए ।"""
