"शीर्षक","विवरण"
"सोमबार यी स्थानमा हुने छ चट्याङसहित वर्षा","काठमाडौं : सोमबार देशका पाँचवटा प्रदेशमा वर्षा हुने भएको छ । मौसम पूर्वानुमान महाशाखाका अनुसार कोशी प्रदेश र गण्डकी प्रदेशको पहाडी भूभागका थोरै स्थानमा साथै बागमती, कर्णाली तथा सुदूरपश्चिम प्रदेशका पहाडी भूभागका एकदुई स्थानमा मेघ गर्जनचट्याङसहित हल्काक्षणिक वर्षाको सम्भावना रहेको छ । सोमबार राति कोशी प्रदेश, गण्डकी प्रदेश र कर्णाली प्रदेशका पहाडी भूभागका एकदुई स्थानमा मेघ गर्जनचट्याङ सहित हल्का वर्षाको सम्भावना छ ।"
"सहकारीमा भयावह अवस्था सिर्जना हुन लाग्यो : रजिष्ट्रार घिमिरे","काठमाडौं : सहकारी विभागका रजिष्ट्रार नमराज घिमिरेले सहकारीकर्मीले नै सहकारी बिगारेकाले आफैं सपार्नुपर्ने बताएका छन् । राष्ट्रिय सहकारी महासंघले ६६ औं सहकारी दिवसका अवसरमा आयोजना गरेको कार्यक्रममा बोल्दै घिमिरेले सहकारीमा भयावह अवस्था सिर्जना हुन लागेको बताए । सहकारी हामीले नै बिगारेको हो, हामीले नै बनाउने हो रजिष्ट्रार घिमिरेले भने, सहकारी बिग्रेको होइन, समस्या होइन, सञ्चालक गम्भीर बने समाधान गर्न सकिन्छ । सहकारीमा भयावह अवस्था देखिन्छ, नियन्त्रण गर्ने कसले ?, घिमिरेले भने,बचतकर्ताले पैसा फिर्ता नपाएपछि आउने राज्यमै हो । सहकारीका सदस्यको सम्पत्ति संरक्षण गर्न चुनौती बढेको बताएका छन् । सदस्य सकभर विभाग आउन नपर्ने गरी सहकारीले काम गर्नुपर्ने रजिष्ट्रार घिमिरेले बताए । बचतकर्ता विभाग आउनु नपरोस्, यदी बचतकर्ता आइहाले सरकार चुप लागेर बस्दैन रजिष्ट्रार घिमिरेले भने । नागरिक अन्तिममा राज्यमै आउने भएकाले सहकारीले ऐन, कानुनले भनेका काम गर्नुपर्ने बताए । बाँझाबाज, झगडा हुने स्थिति नआयोस्, सबै मिलेर सहकारीका समस्या समाधान गरौं घिमिरेले भने । सहकारीमा अस्वस्थ प्रतिष्पर्धा, बढी ब्याजदरको लोभले समस्या आएको उनले बताए । सन्दर्भ ब्याजदर मागबाट सिर्जना भएको अनावश्यक चिज भएको उनले बताए । सहकारीले चर्को ब्याज लिने गरेकाले सन्दर्भ ब्याजदर निर्धारण गर्न सरकार बाध्य भएको हो उनले भने । कतिपय व्यक्ति सहकारीको सामान्य जानकारी विनै सदस्य बन्दा समस्या आएको उनको भनाइ छ । सहकारी ऐन र नियमावली बाझिएकाले कर्जा सूचना केन्द्र, बचत तथा ऋण सुरक्षण कोष आउन नसकेको उनले बताए । नियमावलीका कारण कर्जा सूचना केन्द्र आउन नसकेको हो, उनले भने,अहिलेको व्यवस्था अनुसार केन्द्र स्थापना भए एक सहकारीले अर्को सहकारीलाई सिध्याउन सक्छन् । सञ्चालनको मोडालिटी नमिलेकाले आउन नसकेको उनले बताए । रजिष्ट्रार घिमिरेले अहिलेको मोडालिटीबाट केन्द्र स्थापना भएमा सूचनाको गोपनीयता नहुने बताए । केन्द्र सहकारीले सुचना केन्द्र आफै चलाउने, पदाधिकारी बन्ने र नियमन गर्ने रजिष्ट्रारलाई पनि सञ्चालक बनाउने प्रक्रिया उचित नभएको उनले बताए । राष्ट्रिय सहकारी महासंघका अध्यक्ष मिनराज कँडेलले सहकारी सरकारको प्रतिष्पर्धी नभई परिपुरक भएको बताए । हातेमालो गरी सहकारीका समस्या समाधान गर्नुपर्ने उनले बताए । सहकारीमा स्वनियमन र सुशासन सबैले पालना गर्नुपर्ने उनले बताए । अनुगमन र नियमन प्रभावकारी हुन सके सहकारी थप समस्यामा नपर्ने उनको भनाइ छ । सहकारीमा २५ लाख बचतको सीमा मान्य नहुने उनले बताए । वरिष्ठ उपाध्यक्ष ओमदेवी मल्लले सरकारले सहकारीको आवाज नसुने आन्दोलन गर्ने बताइन् । आन्दोलनकै रुपमा दिवस मनाउन लागिरहेका छौं, उनले भनिन्,सहकारी ऐनमा भएका कर्जा सूचना केन्द्र, कर्जा असुली न्यायाधिकरण, बचत तथा ऋण सुरक्षण कोषलगायतका व्यवस्था तत्काल कार्यान्वयन गर्नुपर्छ । सहकारी दिवसमा पुरस्कार घोषणा दिवसका अवसरमा राष्ट्रिय सहकारी महासंघले पुरस्कार घोषणा गरेको छ । आउँदो जुलाइ पहिलो शनिबार वितरण गर्ने गरी महासंघले पुरस्कार घोषणा गरेको हो । राष्ट्रिय सहकारी पत्रकारिता पुरस्कार पत्रकार खिलानाथ दाहाललाई प्रदान गर्ने घोषणा गरिएको छ । दाहाल सहकारी अखबारका प्रधान सम्पादक हुन् । राष्ट्रिय सहकारी अभियन्ता पुरस्कारबाट बाग्लुङका शान्तराज शर्मा र उत्कृष्ट सहकारी संघ पुरस्कारबाट जिल्ला सहकारी संघ काभ्रेलाई पुरस्कृत गर्ने महासंघले घोषणा गरेको छ । कोशी प्रदेशबाट साना किसान कृषि सहकारी संस्था झापा, मधेश प्रदेशबाट साना किसान कृषि सहकारी संस्था सर्लाही, बागमती प्रदेशबाट ज्योति मिर्मिरे सामुहिक बचत तथा ऋण सहकारी संस्था काभ्रे, गण्डकी प्रदेशबाट मल्लाज बहुउद्देश्यीय सहकारी संस्था पर्वत, लुम्बिनी प्रदेशबाट तिलोत्तममा बहुमुखी सहकारी संस्था रुपन्देही, कर्णाली प्रदेशबाट त्रिपुरा महिला बहुउद्देश्यीय सहकारी संस्था डोल्पा र सुदुरपश्चिम प्रदेशबाट जनकल्याण बचत तथा ऋण सहकारी संस्था कैलाली पुरस्कृत हुने भएका छन् । सोमबार देशभर सहकारी दिवसको अवसरमा सहकारीकर्मीले शक्ति प्रदर्शन गर्न लागेका छन् । विभिन्न रुट हुँदै र्याली निकालेर माइतीघरमा कोणसभा गर्ने भएका छन् । सहकारी ऐन २०७४ का अधिकांश प्रावधान कार्यान्वयन नभएको भन्दै सहकारीकर्मीले र्याली गरी दिवस मनाउन लागेका हुन् ।"
"यूएईसँग २८ रनले हार्यो नामिबिया","विन्डोक : वृत्या अरविन्द र आशिफ खानको उत्कृष्ट ब्याटिङप्रेरित यूएईले आईसीसी क्रिकेट विश्वकप छनोटको प्ले अफमा नामिबियालाई २८ रनले पराजित गरेको छ । युनाइटेड क्रिकेट क्लब मैदानमा टस हारेर ब्याटिङ थालेको यूएईले पाँच विकेट गुमाएर दुई सय ६७ रनको योगपफल तयार गरेको थियो । जवाफी ब्याटिङमा उत्रिएको नामिबियाले ४८४ ओभरमा सबै विकेट गुमाएर दुई सय ३९ रन मात्रै बनाउन सक्यो । नामिबियाका लागि शाउन फौचेले ६० बलमा ६ चौका र एक छक्कासहित ४७ तथा माइकल मान लिङ्गेनले ३४ रनको योगदान गरे । यस्तै, कप्तान गेर्हर्ड एरास्मसले ३०, कार्ल बिर्केन्स्टोकले ३१ र रुबेन ट्रम्पेल्मानले २८ रनबाहेक अन्य ब्याटरले उल्लेख्य प्रदर्शन गर्न सकेनन् । यूएईका लागि जहुर खान र रोहन मुस्तफाले तीनतीन तथा आयन अफ्जल खानले दुई विकेट लिए । त्यसअघि यूएईका लागि एक सय १८ बलको सामना गरेका अरविन्दले सात चौका र एक छक्कासहित ९३ रनको अविजित इनिङ खेले । यस्तै, आसिफ खानले ८६ बलमा ६ चौका र पाँच छक्कासहित आउट हुनुअघि ९६ रन बनाए । कप्तान मोहम्मद वासिम २३ तथा आर्यान लाक्रा २४ रन जोडेर पभिलियन फर्केका थिए । नामिबियाका लागि बर्नार्ड स्कोल्ज, कार्ल बिर्केन्स्टोक, पिकी या फ्रान्स र कप्तान गेर्हर्ड एरास्मसले एकएक विकेट लिए । सुरुआती तीनमध्ये दुई खेलमा जित निकालेको नामिबिया चौथो खेलमा पराजित हुँदा चौथो स्थानमा पुगेको छ । यूएई समान खेलबाट ६ अंक जोडेर दोस्रो स्थानमा चढेको छ । शीर्ष स्थानको अमेरिकाको पनि समान ६ अंक नै छ । एक खेल कम खेलेको क्यानडा चार अंकसहित तेस्रो स्थानमा हुँदा तीन खेलबाट दुई अंक जोडेको जर्सी पाँचौ स्थानमा छ । चार खेलमा जित तथा अंकविहीन पीएनजी पुछारमा छ । ६ टिम सहभागी प्ले अफबाट शीर्ष दुई टिमले जुनजुलाईमा जिम्बाब्वेमा हुने विश्वकपको ग्लोबल छनोटमा स्थान बनाउने छन् ।"
"उम्मेदवारी दर्ताका लागि दललाई छुट्टाछुट्टै समय","तनहुँ : आगामी वैशाख १० गते हुने प्रतिनिधिसभा सदस्यको उपनिर्वाचनका सन्दर्भमा भोलि सोमबार तनहुँ१ मा उम्मेदवारी दर्ताका लागि राजनीतिक दललाई छुट्टाछुट्टै समय निर्धारण गरिएको छ । उम्मेदवारी दर्तालाई व्यवस्थित बनाउन जिल्लास्थित राजनीतिक दलको समन्वयमा छुट्टाछुट्टै समय निर्धारण गरिएको हो । मुख्य निर्वाचन अधिकृतको कार्यालयले आइतबार यहाँ आयोजना गरेको सरोकारवालासँगको छलफलका क्रममा उम्मेदवारी दर्ता गर्न आउँदा सबै दललाई समय निर्धारण गरिएको छ । एकैपटक सबै दल आउँदा भीडभाड हुने र उम्मेदवारी दर्ता कार्यक्रम अस्तव्यस्त हुने भएकाले दलको समन्वयमा समय निर्धारण गरिएको सहायक निर्वाचन अधिकृत मीनबहादुर कुँवरले जानकारी दिए । नेपाली कांग्रेसलाई बिहान १२ बजे, नेकपा (एमाले) लाई ११ बजे, नेकपा (माओवादी केन्द्र) लाई दिउँसो २ बजे, राष्ट्रिय प्रजातन्त्र पार्टी (राप्रपा) लार्ई दिउँसो १ बजे र नेकपा (एकीकृत समाजवादी) लाई १:३० को समय निर्धारण गरिएको छ । अन्य राजनीतिक दललाई पनि सहमतिमै समय निर्धारण गरेर उम्मेदवारी दर्ताका लागि व्यवस्था मिलाइने मुख्य निर्वाचन अधिकृतको कार्यालयले जनाएको छ । मुख्य निर्वाचन अधिकृत कोमलप्रसाद आचार्यले उम्मेदवारी दर्तालाई व्यवस्थित बनाउन सबै राजनीतिक दलसँग समन्वय गरिने बताए । उपनिर्वाचनलाई शान्तिपूर्ण, मर्यादित र निष्पक्ष बनाउन सबै पक्षको सहयोग आवश्यक पर्ने उहाँको भनाइ थियो । प्रमुख जिल्ला अधिकारी छविलाल रिजालले निर्वाचनलाई भयरहित, निष्पक्ष र मर्यादित बनाउन प्रशासन प्रतिबद्ध रहेको बताए । नेपाली कांग्रेसका सचिव लक्ष्मीभक्त खनाल, एमालेका उपसचिव प्रदीपराज अधिकारी, माओवादी केन्द्रका अध्यक्ष ओमराज आले, एकीकृत समाजवादीका अध्यक्ष श्रीराम कार्की, राप्रपाका अध्यक्ष विनोद घर्तीलगायतले आचारसंहिता पालनामा आफ्नो दल पूर्ण प्रतिबद्ध रहेको बताए । सो अवसरमा निर्वाचन कार्यालयका प्रमुख हरिप्रसाद ढकालले उम्मेदवारी दर्ताका क्रममा आवश्यक कागजात, पालना गर्नुपर्ने आचारसंहितालगायतका विषयमा प्रष्ट पारेका थियो ।"
"""प्रतिनिधिसभा नियमावली मस्यौदा पारित","संसदीय समिति गठनको बाटो खुल्यो"",""काठमाडौं : प्रतिनिधिसभा नियमावली मस्यौदा २०७९ पारित भएको छ । मस्यौदा समिति सदस्य रमेश लेखकले पेश गरेको मस्यौदा प्रतिनिधिसभाबाट बहुमतले पारित भएको हो । सभामुखको अधिकार खोस्ने प्रस्तावबाट सत्तारुढ सांसदहरू पछि हटेका छन् । सत्तारुढ दलले सभामुखलाई कस्नेगरी कार्यव्यवस्था परामर्श समितिको बैठक नियमित राख्ने संशोधन प्रस्ताव फिर्ता लिएका हुन् । सत्तारुढ दल नेपाली कांग्रेस,नेकपा माओवादी केन्द्र,नेकपा एकीकृत समाजवादी,जनता समाजवादी पार्टी (जसपा) लगायत दलका सांसदले सभामुखको अधिकारलाई कार्यव्यवस्था परामर्श समितिमा ल्याउने प्रस्ताव राखेका थिए । प्रतिनिधिसभा नियमावली बनाउन राष्ट्रिय जनमोर्चाका सांसद चित्रबहादुर केसीको नेतृत्वमा समिति गठन भएको थियो । नियमावली पारित भएसँगै संसदीय समिति गठन प्रक्रियाको बाटो खुलेको हो ।"""
"अमेरिकासँग ११७ रनले हार्यो पीएनजी","विन्डोक : स्टेभन टेलर र आरोन जोन्सको अर्धशतकप्रेरित अमेरिकाले आईसीसी क्रिकेट विश्वकप छनोटको प्लेअफमा पपुवा न्युगिनी (पीएनजी)लाई एक सय १७ रनको फराकिलो अन्तरले पराजित गरेको छ । वान्डरर्स क्रिेकट मैदानमा टस जितेर ब्याटिङ थालेको अमेरिकाले सात विकेट गुमाएर दुई सय ३५ रनको योगफल तयार गरेको थियो । जवाफी ब्याटिङमा उत्रिएको पीएनजीले ३४४ ओभरमा सबै विकेट गुमाएर एक सय १८ रन मात्रै बनाउन सक्यो । पीएनजीका लागि कप्तान आसाद भालाले ७२ बलमा तीन चौकासहित ४२ रन बनाउनुबाहेक अन्य ब्याटरले उल्लेख्य प्रदर्शन गर्न नसक्दा लगातार चौथो खेलमा पराजित हुनुपर्यो । बलिङतर्फ अमेरिकी बलर गजानन्द सिंहले ६५ ओभरमा १५ रन खर्चेर एक मेडनसहित सर्वाधिक चार विकेट लिए । अली खानले तीन तथा निसार्ग पटेलले दुई विकेट लिएका थिए । त्यसअघि अमेरिकी ओपनर टेलरले एक सय ३३ बलको सामना गर्दै ६ चौका र एक छक्कासहित ८१ रनको महत्त्वपूर्ण इनिङ खेले । यस्तै, जोन्सले ७७ बलमा दुई चौका र तीन छक्कासहित ६५ रनको योगदान गरे । पीएनजीका लागि सेमो कामेयाले १० ओभरमा ३२ रन खर्चेर दुई मेडनसहित सर्वाधिक तीन विकेट लिए । कप्तान आसाद भालाले दुई तथा रिले हेकुरेले एक विकेट लिए । सुरआती चार खेलमा पराजित पीएनजी अंकविहीन छ । अमेरिका चार खेलबाट तीन जितसहित ६ दोस्रो स्थानमा छ । ६ टिम सहभागी प्ले अफको शीर्ष दुई टिमले जुनजुलाईमा जिम्बाव्बेमा हुने विश्वकप छनोटमा स्थान बनाउने छन् । त्यो छनोटमा नेपाल पनि हुनेछ । १० टिमबीच हुने छनोटबाट शीर्ष दुई टिम अक्टोबरनोभेम्बरमा भारतमा हुने विश्वकपमा छनोट हुनेछन् ।"
"भन्सार विभागका तत्कालीन नायब सुब्बा रघुनाथ घिमिरेविरूद्ध २ करोड बढीको भ्रष्टाचार मुद्दा","काठमाडौं : भन्सार विभागका तत्कालीन नायब सुब्बा रघुनाथ घिमिरेविरुद्ध दुई करोड बढी भ्रष्टाचार मुद्दा दायर भएको छ । अख्तियार दुरूपयोग अनुसन्धान आयोगले आइतबार विशेष अदालत काठमाडौंमा नायब सुब्बा घिमिरेविरुद्ध २ करोड १४ लाख ४६ हजार ६५७ रुपैयाँको भ्रष्टाचार मुद्दा दायर भएको छ । गत जेठमा बजेट निर्माणका क्रममा अर्थ मन्त्रालयमा अनधिकृत रुपमा प्रवेश गरेको उनीमाथि आरोप थियो । उजुरीका आधारमा छानबिन गर्दा २ करोड १४ लाख ४६ हजार ६५७ रुपैयाँ भ्रष्टाचार गरेको पाइएकाले नायब सुब्बा घिमिरेविरुद्ध आज विशेष अदालत काठमाडौंमा भ्रष्टाचार मुद्दा दायर गरेको अख्तियारका प्रवक्ता भोला दाहालले जानकारी दिए । घटनाबारे थप छानविन भइरहेको अख्तियारले जनाएको छ ।"
"करारका कर्मचारीलाई पुनर्वहालीको माग राख्दै गाउँसभा बहिष्कार","जोमसोम : मुस्ताङको थासाङ गाउँपालिकाको गाउँसभा अधिवेशन अनिश्चितकालका लागि स्थागित भएको छ । गाउँपालिकामा कांग्रेसका जनप्रतिनिधिले चालु वर्ष करारका कर्मचारीलाई म्याद नथपी निष्कासन गरिएकाहरूलाई पुनर्वहाली गर्ने लगायतका चार बुँदे माग राख्दै थासाङ गाउँपालिकाको एघारौं अधिवेशन बहिष्कार गरे । कांग्रेसबाट गाउँसभा बहिष्कारपछि पालिकाले सूचना टाँस गरी अनिश्चितकालका लागि गाउँसभा स्थगित गरेको हो । थासाङ गाउँपालिकाले चैत्र १८ गते शनिबार बिहान ८ बजे गाउँसभा अधिवेशन गर्ने गरी पालिकाका सबै जनप्रतिनिधिहरूलाई पत्राचार गरेको थियो । गाउँसभा अधिवेशन बिहान ८ बजे सुरु गर्ने भनिए पनि नेपाली कांग्रेसबाट निर्वाचित जनप्रतिनिधिहरू अधिवेशनमा उपस्थित नभएपछि गाउँसभा अधिवेशन सोही दिनको दिउँसो ४ बजेसम्म स्थागित गरिएको थियो । तर, ४ बजेसम्म पनि कांग्रेसका जनप्रतिनिधिहरू गाउँसभा स्थलमा आएनन् । उनीहरूले आफ्नो ४ बुँदे प्रस्ताविक मागहरू सम्वोधन नभएसम्म गाउँसभा अधिवेशनमा सहभागी नहुने लिखित पत्र गाउँपालिकामा पेश गरेको पालिकाका प्रवक्ता एवं थासाङ२ का वडाध्यक्ष गौतम शेरचनले जानकारी दिए । थासाङ गाउँपालिकामा कांग्रेसबाट निर्वाचित उपाध्यक्ष सोमल हिराचनसहित ४ जना वडाध्यक्षहरूले प्रस्तावित ४ बुँदे माग राखेका छन् । उनीहरूले गाउँपालिकाको बजेट, नीति तथा कार्यक्रम निर्माण गर्दा उपाध्यक्षलाई पनि सहभागी गराइनु पर्ने, गत आर्थिक वर्षको असारमा म्याद थप नभएका कर्मचारीहरूलाई पुनर्वहाली गरिनुपर्ने अथवा करारका रिक्त पदहरू पदपूर्ति गरिनुपर्ने, गाउँ कार्यपालिकाको सबै सूचनाहरू पालिकाको आधिकारिक वेब साइटमा अपलोड गरिनुपर्ने र गापा कार्यालयको सबै विषयगत शाखामा कार्यरत कर्मचारीलाई सहज ढंगले काम गर्ने वातावरण निर्माण गर्नुपर्ने माग प्रस्ताव गरेको पालिका प्रवक्ता गौतम शेरचनले बताए । गाउँपालिकाका प्रमुख प्रशासकीय अधिकृत नगेन्द्र सुवेदीले स्थानीय तहको गाउँसभा अधिवेशन संञ्चालन कार्यविधि ऐन २०७५ बमोजिमको अधिकार प्रयोग गरी गाउँपालिका अध्यक्षले गाउँसभा अधिवेशन स्थगित गरेको बताए । उनले अनुकुल समय मिलाएर सबै जनप्रतिनिधिसंग सहकार्य गरी गाउँसभा अधिवेशनको मिति तय गरिने बताए । थासाङका उपाध्यक्ष सोमल हिराचनले आफूहरूले राखेको प्रस्तावित माग सम्बोधन भए मात्रै गाउँसभा अधिवेशनमा भाग लिने बताए । उनले मनोमानी ढंगले करारमा नियुक्ति भएका कर्मचारीहरूको म्याद थप नगरी निष्कासन गरिएको र उनीहरूले म्याद थप गरी पुनर्वहाली गरिनुपर्ने उल्लेख गरे ।"
"""मार्चमा झण्डै १ लाख पर्यटक नेपाल भित्रिए","सबैभन्दा बढी भारतीय"",""काठमाडौं : कोभिडयता कै सबैभन्दा बढी करिब एक लाख पर्यटक नेपाल भित्रिएका छन् । सन् २०२३ को मार्च महिनामा ९९ हजार ४२६ पर्यटक हवाइ मार्गबाट आएको नेपाल पर्यटन बोर्डको तथ्यांक छ । समीक्षा वर्षको ३ महिनामा २ लाख २७ हजार ७५५ पर्यटक नेपाल घुम्न आएका छन् । कोभिडअघि सन् २०१९ को मार्चको तुलनामा ७८ प्रतिशतले पर्यटन आगमन सुधार भएको बोर्डले जनाएको छ । सन् २०१९ को मार्चमा १ लाख २७ हजार ३५१ पर्यटक नेपाल आएका थिए । सन् २०२३ को मार्चमा ९० हजार ११४ पर्यटक बाहिरिएका छन् । मार्च महिनामा सबैभन्दा बढी भारतबाट पर्यटक नेपाल आएका छन् । समीक्षा महिनामा २४ हजार ९११ भारतीय नेपाल आएका हुन् । दोस्रोमा युनाइटेड स्टेटबाट ९ हजार ५५७, तेस्रो यूनाइटेड किंगबाट ६ हजार १३३, चौथो जर्मनी ४ हजार १४९ र पाचौं श्रीलंका ३ हजार ८९८ पर्यटक नेपाल आएका छन् । गत महिनामा ७ औं स्थानमा उक्लिएको चीन भने मार्चमा ९ औं स्थानमा ओर्लिएको छ । समीक्षा महिनामा २ हजार ६३५ चिनियाँ नेपाल आएका छन् । फेब्रुअरीमा २ हजार २२२ चिनियाँ नेपाल घुम्न आएका थियो । पर्यटक आगमनमा सुधार देखिए पनि नेपालको १० प्रमुख आगामन देशको सूचीमा भने तल झरेको हो । नेपाललाई पनि पर्यटक गन्तव्य मुलुकमा समावेश गरेपछि चिनियाँ पर्यटक बढ्ने अपेक्षा गरिएको थियो । कोभिड अघिसम्म चिनियाँ पर्यटक भारतपछिको दोस्रो ठूलो बजार थियो । क्षेत्रगत रूपमा कुल आगमन संख्याको सार्कबाट ३३६ प्रतिशत युरोपबाट, २३४ प्रतिशत, एसियाबाट १५७ प्रतिशत, अमेरिकाबाट ११३ प्रतिशत, ओसिनियाबाट ९४, मध्य एसियाबाट १५ प्रतिशत र अन्यबाट १०४ प्रतिशत पर्यटक नेपाल आएका छन् ।"""
"""उपनिर्वाचनका लागि सोमबार उम्मेदवारी दर्ता","यी हुन उम्मेदवारले गर्न नहुने १० कुरा"",""काठमाडौं : आउँदो बैशाख १० हुने उपनिर्वाचनका लागि सोमबार उम्मेदवारी दर्ता गर्ने कार्यसूची छ । यसका लागि निर्वाचन आयोगले आइतबार विज्ञप्ति जारी गर्दै मनोनयन दर्ताको अवधिमा विभिन्न १० कार्य नगर्न निर्देशन दिएको छ । आयोगले निर्वाचनमा उम्मेदवारको मनोनयनपत्र पेश गर्न जाँदा उम्मेदवार, प्रस्तावक र समर्थक सहित बढीमा २० जना भन्दा बढीको जुलुस लिएर जान नपाइने जनाएको छ । उम्मेदवारको मनोनयनपत्र पेश गर्न जाँदा बाजा, गाजा, झाँकी तथा निर्वाचन आचारसंहिता, २०७९ विपरितका व्यानर, चिन्ह र झण्डा सहित जान नहुने आयोगले जनाएको छ । यसैगरी उम्मेदवारको मनोनयको समयमा उम्मेदवारको पहिचान झल्किने लोगो, टिका, चिन्ह, टिसर्ट, ज्याकेट, कमिज, ब्याज, मास्क, लकेट, झोला, टोपी, गम्छा, ब्यानर, प्लेकार्ड प्रयोग गर्न पाइने छैन । निर्वाचन आयोगले तय गरेको कार्यक्रम अनुसार निर्वाचनमा भाग लिन दर्ता भएका राजनीतिक दलका तर्फबाट र स्वतन्त्र उम्मेदवारले सम्बन्धित मुख्य निर्वाचन अधिकृतको कार्यालयमा उम्मेदवारको मनोनयनपत्र दर्ता गर्नुपर्नेछ । गत मङ्सिर ४ गतेको निर्वाचनमा निर्वाचित रवी लामिछाने नागरिकतासम्बन्धी मुद्दामा सर्वोच्च अदालतको फैसलाबाट पदमुक्त भएपछि चितवन क्षेत्र नं २, राष्ट्रपतिमा रामचन्द्र पौडेल निर्वाचित भएपछि तनहुँ निर्वाचन क्षेत्र नं १ र उपराष्ट्रपतिमा रामसहायप्रसाद यादव निर्वाचित भएपछि बारा निर्वाचन क्षेत्र नं२ का लागि उपनिर्वाचन हुन लागेको हो । उपनिर्वाचनका लागि शनिबार मुख्य निर्वाचन अधिकृतको कार्यालय स्थापना भइसकेको छ ।"""
