"शीर्षक","विवरण"
"सरकारले गौतमबुद्ध अन्तर्राष्ट्रिय क्रिकेट रंगशालाको निर्माण अगाडि बढाउँदै","भरतपुर : धुर्मुससुन्तली फाउण्डेशनले आर्थिक संकलन गर्न नसकेर अलपत्र परेको गौतमबुद्ध अन्तर्राष्ट्रिय क्रिकेट रंगशाला सरकारले बनाउने भएको छ । सोमबारको मन्त्रिपरिषद् बैठकले रंगशाला बनाउने निर्णय गरेसँगै रंगशाला बन्नेमा स्थानीय आशावादी भएका हुन् । भरतपुर महानगरपालिकाले फाउण्डेशनलाई निर्माणका लागि सम्झौता गरेको भए पनि ठूलो रकम बक्यौता तिर्नुपर्ने अवस्था आएपछि फाउण्डेशन पछाडि हटेसँगै सरकार आफैँले निर्माण गर्न लागेको हो । भरतपुर महानगरपालिकाका प्रमुख रेनु दाहालले मन्त्रिपरिषदबाट निर्णय भएकाले अब रंशालाको काम अघि बढ्ने बताइन् । फाउण्डेशनले उधारोमा काम नगरेको भए यसअघि नै प्रक्रिया अघि बढ्ने बताउँदै उनले भनिन्, 'ठूलो रकम तीर्नुपर्ने बाँकी देखिएकाले प्रक्रिया मिलाउन समय लागेको हो । अब काम अघि बढ्छ ।' महानगरसँग सम्झौता गर्दा ऋण बक्यौताको विषय उल्लेख नभए पनि फाउण्डेशनले आर्थिक संकलन गर्न नसकेर ठूलो रकम बक्यौता भएपछि महानगरपालिकालाई स्वामित्व लिन आग्रह गरेको थियो । महानगरलाई हस्तान्तरण गर्दैगर्दा फाउण्डेशनका अध्यक्ष सीताराम कट्टेलले रु १८ करोड ४१ लाख भुक्तान गर्न बाँकी रहेको बताएका थिए । सरकारले रु १२ करोड ऋण तीर्नका लागि रकम दिने गरी स्वामित्व लिने निर्णय गरेको हो । फाउण्डेशनले महानगरसँगको सम्झौताका क्रममा गरेको प्रतिबद्धताअनुसार आर्थिक पारदर्शीता नदेखाउँदा प्रश्नचिन्ह खडा हुँदै आएको छ । नेपाल सरकारको सार्वजनिक खरिद ऐनलाई वेवास्था गरी मनोमानी ढंगले खर्च गरेको र विवरण सार्वजनिक नगरेको फाउण्डेशनमाथि आरोप छ । महानगर प्रमुख दाहालले फाउण्डेशनले काम गर्न नसके पनि महानगरले गौरवको आयोजनाको रूपमा रंगशालालाई लिएकै कारण पहल कदमी गरेर अघि बढाएको बताइन् । उनले भनिन्, 'निकै मिहिनेतपछि हामी रोकिएको रंगशाला बनाउने काम नियमित गर्ने चरणमा पुगेका छौं ।' रंगशाला निर्माण क्षेत्र चितवन क्षेत्र नं ३ मा पर्दछ । सोही क्षेत्रबाट अघिल्लो पटक प्रधानमन्त्री पुष्पकमल दाहाल प्रचण्ड निर्वाचित भएका थिए । त्यति बेलादेखि नै दाहाल यहाँ रंगशाला बन्नुपर्नेमा सकारात्मक रहँदै आएका थिए ।"
"ओलम्पिक छनोट : भियतनामसँग ५१ ले हार्यो नेपाल","काठमाडौं : पेरिस ओलम्पिक २०२४ को महिला फुटबल छनोटको पहिलो चरणमा नेपालले भियतनामसँग ५१ गोलको नतिजामा पराजय बेहोरेको छ । दशरथ रंगशालामा घरेलु टिमविरुद्ध प्रायः समय हाबी बनेको भियतनामले पहिलो हाफमा ३० को अग्रता बनाएको थियो । दोस्रो हाफमा दुई गोल थपेको भियतनामले एक गोल खायो । एनग्युयेन थी ट्राङले ११औं मिनेटमा बायाँतर्फबाट गरेको क्रसमा फमा हाई येनले हेडरमार्फत गोल गर्दै भ्रमणकारी टिमलाई अग्रता दिलाएकी थिइन् । ट्रान थी थु थाओले सातौं मिनेटमा दिएको पासमा हाई येनले पेनाल्टी एरिया भित्रबाट गरेको प्रहार फ्रेममा परेको थिएन । दीपा शाहीले नवौं मिनेटमा दायाँतर्फबाट दिएको पासमा अमिसा कार्कीले सुन्दर मौका गुमाएकी थिइन् । अम्रिता जैसीले ३४औं मिेनटमा सेन्टर सर्कलबाट प्रहार गरेको फ्रिकिकमार्फत गरेको प्रहार भियतनामी खेलाडीलाई लागेर अमिसाको अगाडि पुगेको थियो । तर, अमिसाले ६ यार्ड बक्स अगाडिबाट गरेको प्रहार भियतनामकी गोलकिपर खोङ थी हाङले बचाएकी थिइन् । समीक्षा घिमिरेले ३५औं मिनेटमा १८ यार्ड बक्सभित्र ह्यान्ड गरेपछि भ्रमणकारी टिमले अग्रता दोब्बर पार्ने मौका पाएको थियो । सोही मौकाको सदुपयोग गर्दै भियतनामी कप्तान ह्युन न्हुले भियतनामको अग्रता दोब्बर पारिन् । घरेलु टिममाथि हाबी बनेको भियतनामका लागि ३८औं मिनेटमा ग्युयेन थी बिच थुयले गरेको प्रहार नेपाली डिफेन्डर अम्रितालाई लागेर गोलमा परिणत भएको थियो । दोस्रो हाफमा पनि सुरआतदेखि नै आक्रमण कायम राखेको भियतनामका लागि कप्तान न्हुले ४८औं मिनेटमा चौथो गोल गरिन् । छोटो कर्नरमा होवाङ थी लोनले दिएको पासलाई न्हुले हेडरमार्फत सेकेन्डबारमा फिनिस गरिन् । चौथो गोलपछि सम्हालिने कोसिस गरेको नेपालका लागि फरवार्ड सावित्रा भण्डारीले ७९औं मिनेटमा एक गोल फर्काइन् । सरु लिम्बुले मैदानको करिब मध्य भागबाट दिएको लामो पासमा भियतनामी डिफेन्डरलाई सहजै बिट् गर्दै सावित्राले राम्रो फिनिसिङ गरिन् । तर, इन्जुरी समयमा भियतनामकी एन्ग्युएन थी थानाह न्हाले पेनाल्टी एरिया बाहिरबाट गरेको प्रहारमा नेपाली कप्तान निरीह बनिन् । नेपाली महिला टिमले खेलेको सबैभन्दा उच्च वरीयताको टिम नै भियतनाम हो । नेपाल फिफा वरीयताको १००औं स्थानमा छ । भियतनाम ३३औं स्थानमा छ । समूह सीमा नेपाल र भियतनामसँगै प्यालेस्टाइन र अफगानिस्तान पनि परेका थिए । तर, दुवै टिमले नाम फिर्ता लिएसँगै नेपाल र भियतनामबीच दुई खेल हुने र शीर्ष टिम दोस्रो चरणमा प्रवेश गर्ने भएका छन् । नेपाल र भियतनामबीच दोस्रो खेल शनिबार दशरथ रंगशालामै हुनेछ । आजको खेलमा पराजित भएसँगै नेपालको अर्को चरणमा पुग्ने सम्भावना न्युन बनेको छ ।"
"फोनिज मुस्ताङको अध्यक्षमा थकाली निर्वाचित","जोमसोम : नेपाल आदिवासी जनजाति पत्रकार महासंघ (फोनिज) मुस्ताङ शाखाको अध्यक्षमा सुन्दरकुमार थकाली निर्वाचित भएका छन् । मंगलबार भएको प्रथम जिल्ला अधिवेसनले थकालीको अध्यक्षतामा १० सदस्यीय नयाँ कार्यसमिति सर्वसम्मत चयन गरेको हो । संघको उपाध्यक्षमा शुशिल थकाली, सचिवमा निरज थकाली, सहसचिवमा सोजन हिराचन र कोषाध्यक्षमा तृस्ना गौचन सर्वसम्मत चयन भएका छन् । त्यसैगरी सदस्यहरुमा रुपिका थकाली, यमुना लामा, रिक्साङ गुरुङ, समिर थापा र कर्साङ गुरुङ चयन भए । उनीहरूलाई मंगलबार नै गण्डकी प्रदेशका आन्तरिक मामिला तथा कानुन मन्त्री रोशन गाहामगरको उपस्थितीमा पदस्थापन गरिएको छ । नवनिर्वाचित अध्यक्ष थकालीले आदिवासी जनजातिको पक्षमा कलम चलाउने प्रतिबद्धता जनाए । मुस्ताङमा आदिवासी जनजातिको बाहुल्यता रहेकाले यससँग सम्बन्धीत संघसंस्थासँग सहकार्य गरेर अघि बढ्ने बताए ।"
"बझाङमा एक जना कामदारको हत्या","बझाङ : बझाङमा एक जना कामदारको हत्या भएको छ । जाजरकोट, भेरी नगरपालिका ४ घर भइ छबिसपाथिभेरा ४ ब्याँसीमा सडकको काम गर्दै आएका ५२ वर्षीय गोपाल विकको मंगलबार राति हत्या भएको प्रहरीले जनाएको छ । विकको सोही ठाउँका उदिप भन्ने रोहन सुनारले मदिरा सेवन गरी सामान्य विवादका क्रममा हत्या गरेको बझाङ प्रहरी प्रमुख तथा डीएसपी जागेश्वर भण्डारी बताए । उनका अनुसार बझाङमा ज्याला मजदुरी गर्दै आएका दुबै जनाबीच केही दिन सामान्य विवाद भएको र बदला लिन रोहनले गोपालको टाउमा ढुंगाले हानी हत्या गरेको अनुसन्धानबाट खुलेको छ । रोहनले हत्यापछि गोपालको शव झाडीभित्र लुकाएर फरार भएका थिए । मृतक गोपाल विक र हत्यारा रोहन सुनार दुवै जान बुधबार बिहान अनुपस्थित भएपछि अन्य मजदुरले उनीहरूको खोजी सुरु गरेका थिए । घटनास्थल ब्याँसी भन्ने ठाउँमा रगत देखिएपछि खोजीका क्रममा शव झाडीभित्र भेटिएको थियो । बुधबार बिहानैदेखि फरार सुनारलाई प्रहरीले खबर पाउनासाथ खोजी सुरु गरेको र बसमा भाग्दै गर्दा केदारस्युँको रायलबाट पक्राउ गरिएको डिएसपी भण्डारी बताए । पक्राउ परेका सुनारलाई हिरासतमा राखी थप अनुसन्धान भइरहेको प्रहरीले जनाएको छ ।"
"उद्योगहरूलाई कारबाही गर्दा पनि रोकिएन सिर्सिया नदीको प्रदूषण","वीरगन्ज : आर्थिक जरीवाना गरेर कारबाही गर्दा पनि सिर्सिया नदीमा उद्योगहरुले प्रशोधन बिना नै रसायनयुक्त फोहोर पानी सिधै सिर्सिया नदीमा मिसाइरहेको पाइएको छ । बुधबार वीरगन्न्ज महानगरपालिकाका मेयर राजेशमान सिंह आफैँले नदी तटका ५ वटा उद्योगहरुको अनुगमन गर्ने क्रममा यस्तो भेटिएको हो । बुधबार अनुगमनका क्रममा वीरगन्ज २१ परवानीपुरस्थित श्री सिद्धी टेक्सटायल्स प्राली, अर्निका प्रोसेसिङ उद्योग प्राली, पन्ना पेपर उद्योग प्राली, ग्लोबल लेदर उद्योग प्रालि र मोरियम लेदर उद्योग प्रालिले उद्योगबाट निस्किने प्रदुषित पानी प्रशोधन नै नगरि सिधै नदीमा मिसाउने गरेको पाइएको मेयर सिंहले बताए । महानगरपालिकाले पटकपटक निर्देशन दिदाँ र केहि उद्योगलाई आर्थिक जरिवानासहितको कारबाही गर्दा पनि उद्योगहरुले प्रदुषित पानी सिधै नदीमा मिसाइरहेको पाइएको मेयर सिंहले बताए । अनुगमनका क्रममा नदी तटमा रहेका उद्योगहरुले त्यहाँबाट निस्कने फोहोर (रसायनयुक्त फोहोर पानी, छालाको लेदो, कोइलाको छाई लगायतका वस्तु) सिधै नदीमा फाल्दै आएको भेटिएको उनले बताए । यसअघि उपमेयर इम्तियाज आलमको नेतृत्वमा पटकपटक अनुगमन गर्नुका साथै महानगरले प्रशोधन गरेर मात्रै नदीमा मिसाउन पत्राचार गर्दासमेत उद्योगहरुले बेवास्ता गरेको मेयर सिंहले बताए । उनले भने, महानगरले जसरी पनि सिर्सिया नदीलाई प्रदूषण मुक्त बनाएरै छाड्छ, अहिले प्रदुषित गराउने उद्योगहरुलाई कानुनी कारवाहीको दायरामा ल्याउछौं । त्यस्ता उद्योगहरु विरुद्ध कारबाही गर्न महानगर कदापी पछाडि हट्दैन ।' पटकपटक आग्रह गर्दा र आर्थिक जरिवाना गर्दा पनि उद्योगहरुले अटेर गरि नदीलाई प्रदूषित बनाइरहेको मेयर सिंहले बताए । उनले भने, उद्योगहरुले बदमाशी गरिरहेका छन्, यो कुनै पनि हालतमा सह्य हुँदैन । हामीले अनुगमन गर्नथालेपछि केहि उद्योगले देखाउनका लागि मात्रै पानी प्रशोधन केन्द्र बनाएका छन् । तर उनिहरुले पनि प्रशोधन नै नगरी दुषित पानी नदीमा मिसाएर जनताको स्वास्थ्यसँग खेलवाँड गरिरहेका छन् । बुधबारको अनुगमन टोलीमा सहभागी पर्साका सहायक प्रमुख जिल्ला अधिकारी भीमकान्त पौडेलले पनि कुनैपनि उद्योग सञ्चालन गर्दा वातावरण संरक्षणलाई प्राथमिकता दिनुपर्नेमा वीरगन्ज क्षेत्रका अधिकांश उद्योगले बेवास्ता गरेको बताए । उनले भने, उद्योगहरुको लापरवाही स्पष्ट देखिन्छ, व्यवस्थित तरिकाले प्रशोधन गरेर नदीमा सफा पानी फाल्ने वातावरण बनाउनुपर्छ । तर यहाँ ठीक बिपरित देखियो । नामका लागि मात्रै प्रशोधन केन्द्र बनाएका छन् , प्रदुषित पानी नै नदीमा मिसाएका छन्, यो सरासर गलत हो । अनुगमन टोलीमा सहभागी वीरगन्ज महानगरका प्रमुख प्रशासकीय अधिकृत लक्ष्मी प्रसाद पौडेलले भने, सिर्सिया नदी वीरगन्ज शहरकै लाइफलाइन हो, त्यसका कारण यो नदीलाई प्रदुषित बनाउने जोसुकै भए पनि महानगरले कारबाही गर्छ, नदीलाई प्रदूषणमुक्त बनाउने अभियान अब कुनै पनि हालतमा रोकिँदैन । अनुगमनलाई निरन्तरता दिनुका साथै नदीलाई प्रदुषित बनाउने अन्य उद्योग र निकायलाई पनि कडा कारबाही गरिने पौडेलको भनाइ छ । अनुगमन टोलीमै सहभागी वीरगन्ज उद्योग वाणिज्य संघका अध्यक्ष अनिल अग्रवालले नदीलाई सफा बनाउने विषयमा संघ पनि गम्भिर रहेको बताउँदै यसको दीर्घकालिन समाधानको बाटो खोज्नुपर्ने आवश्यक्ता औँल्याए । अग्रवालले भने, नदीलाई सफा बनाउनु हामी सबैको सरोकारको विषय हो, अहिले तत्कालका लागिमात्रै नभएर दीर्घकालीनरूपमै समस्याको समाधानका लागि सबैले हातेमालो गर्न आवश्यक छ । यसअघि चैत १४ गते वीरगन्न्ज महानगरपालिकाले नदी प्रदूषण गर्ने ५ वटा उद्योगलाई जनही ३ लाख रुपैयाँका दरले जरिवाना पनि गरेको थियो । बुधबारको अनुगमनका क्रममा जरिवाना गरिएका उद्योगहरुले समेत प्रदूषित पानी नदीमा मिसाइरहेको पाइएको मेयर सिंहले बताए । करिब तीन दशकदेखि प्रदूषणको चपेटामा परेको वीरगन्ज सहरको लाइफलाइनकै रूपमा रहेको सिर्सिया नदीलाई प्रदूषणमुक्त बनाउन महानगरपालिकाले दुई महिना यता अभियान नै सञ्चालन गरेको छ ।"
"बाजेनाती उमेरका बीच डोको बुन्ने प्रतियोगिता","ताप्लेजुङ : चैतको महिना । ह्वात्तै बढेको दिउँसोको गर्मी । सदरमुकाम नजिकको खाली जग्गामा मान्छेको गोलो घेरा छ । घेराभित्र पाल ओछ्याइएको छ । पालमाथि १५ देखि ७६ वर्षका वृद्ध टुक्रुक्क बसेका छन् । सबैको दायाँ बायाँ चोया छ । अनि घरेलु हतियार (खुकुरी र कर्त) । छेउमा पानीको बोतल । गोलो घेरामा उभिएर हेर्नेहरुको चर्को हल्ला । निर्णायक खड्ग लावुङले चारैतिर हेर्दै भने,रेडि ! सहभागीले पनि भने,हामी पनि रेडि ! लगत्तै निर्णायकले सिटी फुके । अनि सुरु भयो,डोको बुन्ने प्रतियोगीता । प्रतियोगीतामा थिए,१४ वर्षीय बालक दीपक लाबुङ । फुङलिङ नगरपालिका९ का लाबुङ एसईई परिक्षाअन्तर्गत विज्ञान विषयको परिक्षा दिएर प्रतिस्पर्धा गर्न आएका हुन् । अघिल्लो वर्ष पनि उनको सहभागीता थियो । कुराकानी गर्दै उनले भने,परिक्षा दिएर सिँधै यहाँ आए । आयोजकले नै खानाको व्यवस्था गर्यो । आफ्ना लागि हार र जित भन्दा पनि सिपको जित भएको उनले बताए । सँगै थिए,७६ वर्षीय राम वहादुर सुनुवार पनि । फुङलिङ नगरपालिका३ का सुनुवार उमेरमा डोको डालो बुन्न खप्पिस थिए । बुढ्यौली उमेरमा पनि उनको जाँगर लोभलाग्दो थियो । सेतै फुलेका कपाल । चाउरिएका गाला । चोयाले लागेर शिरको ढाको टोपी छड्के परेको थियो । उनलाई चेते गर्मीको कति पनि मतलब छैन् । उनले भने,खोला किनार नजिक घर भएकाले त्यति गर्मी महसुस भएको छैन । ३ घण्टा हिडेर यहाँसम्म आए । उनले स्थानिय रेडियोबाट डोको बुन्ने प्रतियोगीता थाहा पाएको सुनाए । गर्मीमा चोया छिटो सुक्छ । उनले तिर्खा मेटाउन र चोया भिजाउन त्यही पानी प्रयोग गर्थे । पानी आयोजकले नै व्यवस्था गरेको हो । डोको बुनेर मात्र हुँदैन । मापदण्डअनुसार भए नभएको चेकजाँच हुन्छ । त्यही भएर डोकोको मुख र पिँधको लम्बाई र चौडाई निर्धारण गरेको थियो । निर्णायक लाबुङले भने,तोकेको समयभित्र सकेर मात्र हुँदैन् । नियमअनुसार तयार गर्नुपर्छ । प्रतियोगीतामा फुङलिङ नगरपालिकाका धन वहादुर गुरुङ प्रथम भए । उनले नगद १० हजार प्राप्त गरे । फुङलिङकै लक्ष्मण गुरुङ दोश्रो र सिदिङमा गाउँपालिका महेलेका काली वहादुर गुरुङ तृतीय बने । दोश्रो र तेश्रोले क्रमश पाँच हजार र दुई हजार रुपैयाँ प्राप्त गरे । सहभागीलाई जनही ५ सयका दरले सान्तवना पुरस्कार प्रदान गरे । गाउँघरमा घाँस दाउरा र पधेँरोबाट पानी भरिएको गाग्री बोक्न डोको प्रयोग हुन्छ । त्यहीभएर किसानको दैनिकी डोकोसँग जोडिएको छ । तर डोको बुन्ने सिप नयाँ पुस्तामा पुस्तान्तरण हुन सकेको छैन् । मौलिक सिपको संरक्षण र डोकोको महत्व दर्शाउन प्रतियोगीता आयोजना गरिएको हो । नेपाल घरेलु तथा साना उद्योगका महासचिव हर्कराज गुरुङका अनुसार व्यवहारिक शिक्षाका लागि डोको बुन्ने प्रतियोगीता गरिएको हो । गुरुङले भने,डोको कसरी बन्छ । यसको महत्व के हो ? कम्तीमा सुनेर होइन,हेरेर बुझ्न संम्भव बन्यो । गाउँघरमा पाइने निगालो,मालिङगो,बास र पर्याङको चोयाबाट डोको,डालो,थुन्से लगायत घरायसी सामान तयार हुन्छ । यो निकै बलियो हुन्छ । प्लास्टिकबाट बनेको सामाग्रीले वातावरण प्रदूषण गर्छ । वातावरणमा कुनै असर नगर्ने र सस्तो मूल्यमा पाइन्छ । तर डोको बुन्ने सिप नहुनु र युवा पुस्ताले झन्झट मान्ने गरेकाले भविष्यमा डोकोको भविष्य नै संकटमा छ । त्यही भएर उद्यमी उत्पादन गर्न महत्वपूर्ण हुने आशा रहेको घरेलु तथा साना उद्योग कार्यालयका प्रमूख युवराज घोरसाईले बताए । उनले भने,मेला र महोत्वस उद्यम र उद्यमीको जमघट गर्ने थलो हो । रचनात्मक हुन सके स्थानिय उत्पादनबाट आम्दानी गर्न गाह्रो छैन् । प्रदेश सांसद खगेनसिंह हाङगामले डोको बुन्ने प्रतियोगीता उद्यम गर्नेका लागि अध्यन गर्ने थलो भएको बताए । सांसद हाङगामले भविष्यमा स्थानिय,प्रदेश र संघिय सरकारले उद्यमी उत्पादन गर्ने रचनात्मक कार्यक्रमका लागि लगानी गर्न कन्जुस्याँई गर्न नहुने खाँचो औल्याए ।"
"पहिलो हाफमा नेपालविरुद्ध भियतानामको ३ गोल","काठमाडौं : पेरिस ओलम्पिक २०२४ को महिला फुटबल छनोटको पहिलो चरणमा नेपाल भियतनामविरुद्ध पहिलो हाफमा ३० ले पछाडि परेको छ । दशरथ रंगशालामा जारी खेलमा हाबी बनेको भ्रमणकारी टिमले सहज अग्रता बनाउन सफल भयो । एनग्युयेन थी ट्राङले ११औं मिनेटमा बायाँतर्फबाट गरेको क्रसमा फमा हाई येनले हेडरमार्फत गोल गर्दै भ्रमणकारी टिमलाई अग्रता दिलाएकी थिइन् । ट्रान थी थु थाओले सातौं मिनेटमा दिएको पासमा हाई येनले पेनाल्टी एरिया भित्रबाट गरेको प्रहार फ्रेममा परेको थिएन । दीपा शाहीले नवौं मिनेटमा दायाँतर्फबाट दिएको पासमा अमिसा कार्कीले सुन्दर मौका गुमाएकी थिइन् । अम्रिता जैसीले ३४औं मिेनटमा सेन्टर सर्कलबाट प्रहार गरेको फ्रिकिकमार्फत गरेको प्रहार भियतनामी खेलाडीलाई लागेर अमिसाको अगाडि पुगेको थियो । तर, अमिसाले ६ यार्ड बक्स अगाडिबाट गरेको प्रहार भियतनामकी गोलकिपर खोङ थी हाङले बचाएकी थिइन् । समीक्षा घिमिरेले ३५औं मिनेटमा १८ यार्ड बक्सभित्र ह्यान्ड गरेपछि भ्रमणकारी टिमले अग्रता दोब्बर पार्ने मौका पाएको थियो । सोही मौकाको सदुपयोग गर्दै भियतनामी कप्तान ह्युन न्हुले भियतनामको अग्रता दोब्बर पारिन् । घरेलु टिममाथि हाबी बनेको भियतनामका लागि ३८औं मिनेटमा ग्युयेन थी बिच थुयले गरेको प्रहार नेपाली डिफेन्डर अम्रितालाई लागेर गोलमा परिणत भएको थियो । समूह सीमा नेपाल र भियतनामसँगै प्यालेस्टाइन र अफगानिस्तान पनि परेका थिए । तर, दुवै टिमले नाम फिर्ता लिएसँगै नेपाल र भियतनामबीच दुई खेल हुने र शीर्ष टिम दोस्रो चरणमा प्रवेश गर्ने भएका छन् । नेपाल र भियतनामबीच दोस्रो खेल शनिबार दशरथ रंगशालामै हुनेछ । तस्बिरहरू : अभिषेक महर्जन"
"सर्वोच्चले माग्यो रवि लामिछानेले अमेरिकी राहदानी त्यागेको निस्सा","काठमाडौं : राष्ट्रिय स्वतन्त्र पार्टीका सभापति रवि लामिछानेले अमेरिकी राहदानी त्यागेको निस्सा पेस गर्न सर्वोच्च अदालतले आदेश दिएको छ । न्यायाधीश हरि फुयालको एकल इजलासले रविले अमेरिकी राहदानी त्याग गरिसकेको भन्ने प्रमाणित हुने निस्सा अध्यागमन विभाग वा जिल्ला प्रशासन कार्यालय जहाँ भए पनि झिकाउन आदेश दिएको हो । 'प्रत्यर्थी रवि लामिछानेले अमेरिकी राहदानी त्याग गरिसकेको भन्ने प्रमाणित हुने निस्सा अध्यागमन विभाग वा जिल्ला प्रशासन कार्यालय, काठमाडौं जहाँ भएपनि झिकाइ नियमानुसार पेस गर्नू,' आदेशमा उल्लेख छ । अधिवक्ता युवराज पौडेल सफलले लामिछानेविरुद्ध दायर गरेको रिट निवेदनमा राहदानी दुरुपयोगमा सजाय हुनुपर्नेमा उन्मुक्ति दिएको उल्लेख गर्दै उक्त निर्णय बदर गर्न माग गरिएको छ ।"
"""अमेरिकी डलर साटिदिने प्रलोभन देखाएर लुटपाट","पाँच जना पक्राउ"",""काठमाडौं : अमेरिकी डलर साटिदिने प्रलोभनमा लाखौं रुपैयाँ लुटपाट गर्ने समूहलाई प्रहरीले नियन्त्रणमा लिएको छ । काठमाडौं उपत्यका अपराध अनुसन्धान कार्यालयको टोलीले लुटपाटमा संलग्न पाँच जनलाई नियन्त्रणमा लिएको हो । उपत्यकाका विभिन्न स्थानबाट ती व्यक्तिहरूलाई नियन्त्रणमा लिइएको हो । उनीहरूले पीडितलाई पटकपटक फोनमार्फत् आफूसँग अमेरिकी डलर रहेको र सस्तो दररेटमा साटीदिने प्रलोभन देखाउने गर्थे । पीडितलाई प्रलोभनमा पारी झुक्याएर नेपाली नोट साइजको कागज काटेर रुमालमा पोको पारी दिने गरेका थिए । कार्यालयका प्रवक्ता एवं प्रहरी उपरीक्षक रविन्द्र रेग्मीका अनुसार उपत्यकाको साँघुरा गल्ली, पातलो मानवबस्ती र जंगलको आसपासमा बोलाएर यसखाले गतिविधि गर्ने गरेको अनुसन्धानको क्रममा खुलेको छ । लुटपाटपश्चात एकपटक ठगि गर्न प्रयोग गरेको फोन नम्बर अफ गरेर फरार हुने गरेका थिए । पक्राउ पर्नेमा धादिङका ३२ वर्षीय सुरेश कोइराला, सिन्धुपाल्चोक जिल्लाका २४ वर्षीय विकास तामाङ, धनकुटाका ३२ वर्षीय दीपक दमाई, २८ वर्षीय साजन तामाङ र सिन्धुपाल्चोक जिल्लाकै ३५ वर्षीया प्रेमबहादुर तामाङ रहेका छन् ।"""
"""धनुषामा ट्रकको ठक्करबाट मोटरसाइकल चालकको मृत्यु","पूर्वपश्चिम राजमार्ग अवरुद्ध"",ढल्केवर (धनुषा) : धनुषामा ट्रकले मोटसाइकललाई ठक्कर दिँदा एकजनाको मृत्यु भएको छ । पूर्वपश्चिम राजमार्ग अन्तर्गत धनुषाको मिथिला नगरपालिका३ हरिहरपुरस्थित औरही पुलमा ट्रकले ठक्कर दिँदा मोटरसाईकल चालकको घटनास्थलमै मृत्यु भएको हो । मृत्यु हुनेमा मिथिला नगपालिका३ हरिहरपुरका मोटरसाइकल चालक अन्दाजी २२ वर्षीय युवराज महतो रहेको प्रहरीले जवनाएको छ । बुधबार साँझ पूर्वबाट पश्चिमतर्फ आउँदै गरेको प्रदेश ०१०२००१ ख ८७७३ नम्बरको ट्रकले प्रदेश २०२००२ प ८३०४ नम्बरको मोटरसाईकललाई ठक्कर दिएको धनुषाका प्रहरी प्रवक्ता प्रहरी नायव उपरीक्षक वेदप्रसाद गौतमले जानकारी दिए । दुर्घटनापश्चात अहिले पूर्वपश्चिम राजमार्ग पूर्ण रुपले अवरुद्ध भएको छ । दुर्घटनामा घाईते भएका मोटरसाईकल चालकलाई ट्रकले पछाडी गरेर मारेको भन्दै आक्रोशित स्थानीयहरुले अवरुद्ध पारेका हुन् । घटनाको मुचुल्का गरेर शव उठाउने प्रयास भईरहेको प्रहरीले जनाएको छ ।"
