"शीर्षक","विवरण"
"प्रहरीलाई दुर्व्यवहार गर्ने चालक पक्राउ","नुवाकोट : प्रहरीलाई दुर्व्यवहार गरेको आरोपमा एक जना चालक पक्राउ परेका छन् । वीरगन्जगल्छीदेवीघाटविदुर सडकमार्ग अन्तर्गत बिदुर नगरपालिका४ बट्टारबजारमा प्रहरीलाई दुर्व्यवहार गरेको आरोपमा तनहुँको ब्यास नगरपालिका१ का २९ वर्षीय बलबहादुर नेपाली पक्राउ परेका हुन् । नारायणगढबाट यात्रु बोकेर देवीघाट हुँदै त्रिशूलीतर्फ जाँदै गरेको बा४ख ८९१९ नम्बरको बस रोकेर प्रहरीले चेकजाँच गर्ने क्रममा चालकले दुर्व्यवहार गरेको प्रहरी उपरीक्षक रमेश पण्डितले जानकारी दिए । जिल्ला प्रशासन कार्यालय नुवाकोटबाट अभद्र व्यवहार मुद्दामा पाँच दिनको म्याद थप गरी हिरासतमा राखेर अनुसन्धान भई रहेको उनले बताए । उनका अनुसार चालक नेपालीले मादक पदार्थ सेवन गरेको पाइएको छ ।"
"प्रदेशको नाम परिवर्तन हुँदैन : मुख्यमन्त्री कार्की","ओखलढुंगा : कोशी प्रदेशका मुख्यमन्त्री हिक्मतकुमार कार्कीले प्रदेशको नाम परिवर्तन नहुने बताएका छन् । नयाँ योजना शिलान्यास र सम्पन्न भएका आयोजना हस्तान्तरण तथा उद्घाटनका लागि ओखलढुङ्गा पुगेका मुख्यमन्त्री कार्कीले रुम्जाटारमा आइतबार आयोजित कार्यक्रममा कोशी नाम सर्वस्वीकार्य नाम भएकाले तत्काल प्रदेशको नाम परिवर्तन नहुने बताए । लामो समय नामविहीन प्रदेशमा आफू मुख्यमन्त्री भएपछि ९० प्रतिशत सांसदको बहुमतले कोशी नाम पारित गरेको बताउँदै उनले तत्काल नाम संशोधनका विषयमा छलफलसमेत नहुने बताए । नामको विषय छाडेर प्रदेशको समृद्धिमा लाग्न उनले आग्रह गरे । 'कोशी सबैको सभ्यता र पहिचानसँग मात्रै होइन मानव जीवनसँग पनि जोडिएको नाम हो । ९० प्रतिशतभन्दा बढी सांसदले पारित गरिसकेको यो नाम अब परिवर्तन त होइन नामका विषयमा छलफलसमेत हुँदैन', उनले भने, 'हिजो नाम भएन भन्नेहरू आज नाम मन परेन भनेर आन्दोलन गर्दैछन्, यस्तो बाटोमा हिँडेर गन्तव्यमा पुगिन्न । बरु प्रदेश कसरी समृद्ध बन्छ त्यो सुझाव दिनुस् ।' देशमा राजनीतिक स्थायित्व नहुँदा नेपालीहरूले दुःख पाएको बताउँदै उनले अब राजनीतिक स्थायित्व र आर्थिक समृद्धिमा लाग्नुपर्ने बताए । पूर्वमन्त्री अम्बिरबाबु गुरुङले ओखलढुंगामा गरेको विकास निर्माणको कामलाई प्रशंसा गर्दै मुख्यमन्त्री कार्कीले पुराना आयोजनालाई सम्पन्न गरिने र नयाँ योजनालाई उत्पादनसँग जोडिने बताए । कृषि आधुनिकीकरण, पर्यटन प्रवर्द्धन र युवा स्वरोजगारका कार्यक्रमलाई प्रदेश सरकारले प्राथमिकता दिने मुख्यमन्त्री कार्कीको भनाइ थियो । कार्यक्रममा प्रदेश सरकारका खानेपानी, सिँचाइ तथा ऊर्जामन्त्री तिलकुमार मेन्याङ्बोले नागरिकका आधारभूत आवश्यकता तत्काल पूरा गरिने बताए । ससाना योजना र थोरै बजेटबाट नागरिकका धेरै अपेक्षा पूरा गर्न सकिने बताउँदै उनले किसानको खेतबारी बाँझो नरहने गरी कृषि उद्यमका कार्यक्रम ल्याउन कर्मचारीलाई निर्देशन दिए । सवारी चालक अनुमति पत्रको प्रयोगात्मक परीक्षा, भगवती मन्दिर रुम्जाटार पार्कको उद्घाटन, रुम्जाटार बौद्ध गुम्बा लामा क्वाटर भवन, सिँचाइ आयोजनाहरूको स्वामित्व हस्तान्तरण, सहरी विकास तथा भवन कार्यालय भवन र मनमोहन तालिम केन्द्रको भवन शिलान्यास, ठाडेजन्तरखानी सडक खण्ड र सामुदायिक भवन तलुवाको भवन उद्घाटन गर्न मुख्यमन्त्री ओखलढुंगा आएका हुन् ।"
"मोरङ कारागारका चौकीदार अभिषेक गिरी थुनामुक्त","विराटनगर : जिल्ला कारागार मोरङका चौकीदार अभिषेक गिरी थुनामुक्त भएका छन् । कारागार व्यवस्थापन विभागको फैसला बमोजिम गिरी कारागारमुक्त भएका हुन् । कारागारका नाइके र चौकीदार भएर काम गरेको बापतको प्राप्त सुविधाअनुसार उनी ४ महिनाअघि नै थुनामुक्त भएका हुन् । कैदीबन्दीको कामदारी सुविधासम्बन्धी कार्यविधिअनुसार कैद सजाय कटौतिमा भएपछि उनलाई आइतबार थुनामुक्त गरिएको मोरङ कारागारका जेलर ध्रुवप्रसाद कोइरालाले बताए । स्थानीय प्रशासनको सिफारिसमा कारागार व्यवस्थापन विभागले गिरीलाई कैदमुक्त गर्न आदेश दिएको उनले जानकारी दिए । उनले भने, कैदपूर्जीमा गिरीको कैद भुक्तान अवधि २०८० साउन १६ गतेसम्मको थियो । तर, कारागारमा उनले देखाएको असल व्यवहार र कानुनले दिएको विशेष सुविधाको आधारमा उनी कैदमुक्त भएका हुन् । गिरी २ पटक चौकीदार र नाइकेसमेत भइसकेका कैदी हुन् । कारागार ऐनमा चौकीदार र नाइके भइसकेका व्यक्तिलाई उसको असल आचरणको आधारमा सजायमा केही छुट दिने व्यवस्था छ । सोही व्यवस्थाअनुसार गिरीलाई आइतबार रिहा गरिएको जनाइएको छ । अपहरण तथा शरीर बन्धक मुद्दामा कैद सजाय भुक्तान गरिरहेका गिरी २०७४ चैत २३ गते अगाडि मोरङ कारागारका चौकीदार थिए । कैदीबन्दीलाई यातना, मिटरब्याजको धन्दा र बजारमा चन्दा आतंक मच्चाएको गुनासो आएपछि २०७४ चैत २३ गते उनलाई डिल्लीबजार कारागार सारिएको थियो । तर, नेपाली कांग्रेसका नेता बालकृष्ण खाँण गृहमन्त्री भएपछि २०७८ मङ्सिर ९ गते उनी दोस्रोपटक मोरङ कारागार आएर चौकीदार बनेका थिए । युवती प्रयोग गरेर काठमाडौं उपत्यका खानेपानी लिमिटेडका लेखा सहायक अच्युतप्रसाद रेग्मीलाई बन्धक बनाएर २०७० सालमा फिरौती मागेको घटनामा विराटनगर घर भएका गिरीलाई अदालतले दोषी ठहर गरेको थियो ।"
"मुस्ताङको तेज निरला क्याम्पसको स्ववियु सभापतिमा तिलिजा विजयी","जोमसोम : मुस्ताङको तेज निरला जनहित बहुमुखी क्याम्पसको स्ववियु सभापतिमा एकीकृत समाजवादी निकट अनेरास्ववियुकी अमीशा तिलिजा विजयी भएकी छिन् । आइतबार भएको निर्वाचनमा कुल ४२ जना मतदाता मध्ये ३७ जनाले मतदान गरेका थिए । अध्यक्ष पदमा अनेरास्वियुका अध्यक्ष पदका उम्मेदवार एलिस थकाली र एकीकृत समाजवादी निकट अनेरास्ववियुकी तिलिजाले समान १८१८ मत प्राप्त गरेका थिए । एक बदर भएको थियो । दुवै उम्मेदवारको मत बराबरी भएपछि स्ववियु निर्वाचन कमिटीले गोलाप्रथाबाट तिलिजा विजयी भएको घोषणा गरेको थियो । यसअघि स्ववियु निर्वाचनका लागि सचिव र कोषाध्यक्ष पदमा उम्मेदवारी दिएका एमाले निकट अनेरास्ववियुका दुई जनाले मनोनयनपत्र फिर्ता लिएपछि नेविसंघका सचिव पदकी उम्मेदवार रविना गुरुङ र कोषाध्यक्ष पदका असिम गुरुङ निर्विरोध निर्वाचित भएका थिए । मतपरिणाम अनुसार प्रत्यक्षतर्फ बाम लोकतान्त्रिक गठबन्धनको प्यानलका तर्फबाट एकीकृत समाजवादी निकट अनेरास्ववियुले अध्यक्ष पदसहित ३ पदमा विजयी हासिल गर्यो । नेपाली कांग्रेस निकट नेविसंघले ३ पदमा विजयी हासिल गर्यो । समानुपातिकतर्फ नेविसंघले ४ पद र एमाले निकट अनेरास्ववियुले १ पदमा विजयी हासिल गरेको स्ववियु निर्वाचन अधिकृत अदितीयचन्द्र थकालीले जानकारी दिए । क्याम्पसको स्ववियु निर्वाचनका लागि प्रत्यक्षतर्फ ६ जना र समानुपातिकतर्फ ५ जना स्ववियु पदाधिकारीका लागि निर्वाचन भएको हो ।"
"त्रिवि केन्द्रीय क्याम्पसमा नेविसंघका श्यामराज ओझा विजयी","काठमाडौं : त्रिभुवन विश्वविद्यालय केन्द्रीय क्याम्पसको स्ववियु सभापतिमा नेपाली कांग्रेस निकट नेपाल विद्यार्थी संघ (नेविसंघ)का उम्मेदवार विजयी भएका छन् । आइतबार सम्पन्न निर्वाचनमा नेविसंघका श्यामराज ओझा ९६२ मतले विजयी भएका छन् । उनले नेकपा एमाले निकट अनेरास्ववियुका प्रकाश विष्टलाई २२५ मतान्तरले पछि पारेका हुन् । विष्टले ६३१ मत प्राप्त गरे ।"
"जसपाको विधान अधिवेशन तयारी बैठक मंगलबार","काठमाडौं : जनता समाजवादी पार्टी, नेपालको विधान अधिवेशन मूल व्यवस्थापन समितिको बैठक बस्ने भएको छ । पार्टीका केन्द्रीय कार्यकारिणी समिति सदस्य प्रकाश अधिकारी संयोजकत्वको व्यवस्थापन समितिको बैठक चैत ७ गते मंगलबारलाई बोलाइएको छ । विधान अधिवेशनको तयारी, आवश्यक उपसमिति गठन लगायतका विषयमा छलफल गर्न बैठक बोलाइएको हो । बैठक पार्टी कार्यालयमा दिउँसो साढे १२ बजे बस्नेछ । जसपाले चैत्र १५ गतेभित्र विधानको मस्यौदामाथि सुझाव पठाउन मातहत समितिलाई निर्देशन दिएको छ । जसपाले चैत्र २७, २८ र २९ गते विधान अधिवेशन गर्ने निर्णय गरेको छ ।"
"पाल्ही क्याम्पसमा जनमत पार्टी निकट विद्यार्थी संगठनको प्यानलै विजयी","परासी : नवलपरासीको परासीस्थित पाल्ही बहुमुखी क्याम्पसमा भएको स्ववियु निर्वाचनमा डा सिके राउत नेतृत्व पार्टीको विद्यार्थी संगठन विद्यार्थी जनमत संघ को प्यानल नै विजयी भएको छ । समानुपातिकतर्फ पनि सोही विद्यार्थी संगठनको मत बढी आएको छ । विद्यार्थी जनमतका अध्यक्ष पदका उम्मेदवार बृजनन्दन कुर्मीले प्रतिद्वन्द्वी संयुक्त प्यानलका कृष्ण पटेललाई २८ मतान्तरले हराउँदै विजयी भएका हुन् । सचिव पदका उम्मेदवार प्रेमसागर यादवले प्रतिद्वन्द्वी नेविसंघका शिव प्रसाद हजारमलाई ४९ मतान्तरले पराजित गरे । कोषाध्यक्ष पदका उम्मेदवार सितु कुमारी पटेलले प्रतिद्वन्द्वीलाई ३३ मतान्तरले पराजित गरे । उनका प्रतिस्पर्धी संयुक्त प्यानलका प्रविन प्रसाद हरिजन र नेविसंघका प्रतिमा यादवले ९७९७ मत पाए । त्यसैगरी ५ सदस्सीय सदस्य पदका लागि भएको निर्वाचनमा शिवसागर गिरी, जवाहिर गुप्ता, सदानन्द कुमार नाउँ, अमित कुमार सहानी र सामलाल लोनिया निर्वाचित भए । १५ सदस्सीय कार्यसमितिका लागि भएको निर्वाचनअन्तर्गतको ७ सदस्सीय समानुपातिकतर्फको निर्वाचनमा विद्यार्थी जनमत संघले १४७ मत, नेविसंघले १०२ र अनेरास्ववियुले ७९ मत पाएका छन् । कूल ३८५ मतदाता रहेको निर्वाचनमा ३२९ मत खसेको थियो । चुनावमा जनमत विद्यार्थी संघ र नेविसंघ एकल प्यानल बनाएर प्रतिस्पर्धामा उत्रिएका थिए । अनेरास्ववियु, जसपा निकट जनता विद्यार्थी फोरम, नागरिक उन्मुक्ति पार्टी निकट नागरिक विद्यार्थी र राप्रपाले संयुक्त प्यानल बनाएर चुनावमा उत्रिएका थिए । यसैबीच स्ववियु निर्वाचन भएका जिल्लाका ३ क्याम्पसमध्ये त्रिुभुवन क्याम्पस बेलाटारी र दिव्यज्योती बहुमुखी क्याम्पस बर्दघाटको मत गणना भइरहेको छ । सुनवलमा रहेको देवकोटा क्याम्पसमा क्याम्पस प्रशासनले चुनाव नगराएपछि विद्यार्थीहरूले तालाबन्दी गरेका छन् । स्ववियु निर्वाचन नगराई आगामी क्याम्पस सभामा विद्यार्थी परिषद्का केही बुदाँहरूमा लचकता अपनाएर परिमार्जन गरी विद्यार्थी परिषद्लाई नै निरन्तरता दिने पक्षमा रहेकाले क्याम्पस प्रशासनले चुनाव नगराएको विद्यार्थीहरूले बताएका छन् ।"
"आयुर्वेद क्याम्पसमा अखिल संयुक्तका बञ्जाडे विजयी","दाङ : नेपाल संस्कृत विश्वविद्यालय केन्द्रीय आयुर्वेद क्याम्पसमा एक सदस्य बाहेक अखिल संयुक्तको प्यानल विजयी भएको छ । अखिल संयुक्तका हेमन्त बञ्जाडेले ८३ मत प्राप्त गरी स्ववियु सभापतिमा विजयी भएका हुन् । उनका निकटतम प्रतिद्वन्द्वी स्वतन्त्र उम्मेदवार अजयप्रताप चोबेले ६१ र नेविसंघका बसन्त अधिकारीले ४५ मत प्राप्त गरेका थिए । १९७ मतदाता रहेको क्याम्पसमा एक सय ८९ मत खसेको थियो ।"
"त्रिपुरा सुन्दरी क्याम्पसमा नेवि संघको प्यानल विजयी","अछाम : अछामको त्रिपुरा सुन्दरी क्याम्पस श्रीकोटमा भएको स्ववियु निर्वाचनमा नेविसंघको प्यानल विजयी भएको छ । स्ववियु सभापति कमल कुँवरको प्यानल विजयी भएको हो । सभापतिमा कुँवर १३८ मतले विजयी भए भने उनका प्रतिद्वन्द्वी अनेरास्ववियुका सन्तोष कडायतले ३५ मत प्राप्त गरे । त्यस्तै सचिवमा हरिसचन्द्र तिरुवा, कोषाध्यक्ष ऐश्वर्य बोगटी, सदस्यहरूमा सागर खड्का, किरण विक, लक्ष्मी नायक, मनिषा साउद र हेमराज जोशी विजयी भए । निर्वाचनमा १९२ मत खस्दा १९ मत बदर भएको थियो ।"
"कार्यान्वयनमा एक बिमक एक बिमा अभिकर्ता","काठमाडौं : नेपाल बिमा प्राधिकरणले अनलाइन प्रणाली मार्फत एक बिमक एक बिमा अभिकर्ता व्यवस्थापन सुरु गरेको छ । बिमा ऐन, २०७९ मा समान किसिमको एक बिमक एक बिमा अभिकर्ताको व्यवस्था कार्यान्वयनमा ल्याउन लागेको हो । यसअघि एउटा अभिकर्ताले धेरै बिमा कम्पनीको अभिकर्ता भएर काम गर्दा विकृति आएपछि यसलाई कडाईका साथ कार्यान्वयनमा लागिएको हो । प्राधिकरणको केन्द्रीय कार्यालयमा आइतबार आयोजित कार्यक्रममा प्राधिकरणका अध्यक्ष सूर्यप्रसाद सिलवालले अनलाइन प्रणालीमार्फत एक बिमक एक बिमा अभिकर्ताको व्यवस्थापन गर्ने कार्यको शुभारम्भ गरे । अध्यक्ष सिलवालले भने, 'अनलाइन प्रणालीका माध्यमबाट बिमा अभिकर्ताको व्यवस्थापन भएपछि बिमा अभिकर्ताको परिचय, रहने स्थान र आवद्ध कम्पनी लगायतका बारेमा स्पष्ट जानकारी प्राप्त हुने हुँदा बिमा अभिकर्ताको अनुगमन गर्न सहज हुने छ । बिमा व्यवसाय वृद्धि भएसँगै बिमा अभिकर्ताको सङ्ख्या पनि बढ्ने भएकाले विश्वसनीय ढंगले जिम्मेवारी बोधका साथ बिमा अधिकर्ताले काम गर्नुपर्ने छ ।' प्राधिकरणले अनलाइन प्रणाली मार्फत बिमा अभिकर्ताको व्यवस्थापनको कार्यसँगै विभिन्न अनलाइन भुक्तानी सेवा प्रदायकहरूबाट नविकरण दस्तुर भुक्तानी गरी बिमा मध्यस्थकर्ता (बिमा अभिकर्ता र सर्भेयर) को इजाजतपत्र नविकरणको व्यवस्थालाई निरन्तरता दिएको छ । प्राधिकरणमा बिमकहरूमार्फत अनलाइन प्रणालीका माध्यमबाट हालसम्म १ लाख ६३ हजार ९ सय २५ को संख्यामा बिमा अभिकर्ताले स्थायी लेखा नम्बर समेत आवश्यक कागजात समावेश गरी विवरण अद्यावधिक गराएका छन् । बिमा अभिकर्ताको इजाजतपत्र अद्यावधिक गर्नका लागि योग्य देखिएका बिमा अभिकर्ताको सङ्ख्या २ लाख २१ हजार ८ सय ५० मध्ये १ लाख ६३ हजार ९ सय २५ को अद्यावधिक भएको र बाँकी ५७ हजार ९ सय २५ को भने अद्यावधिक गर्ने कार्य प्रक्रियामा रहेको प्राधिकरणले जनाएको छ । अनलाइन प्रणालीमा बिमा अभिकर्ताले प्रविष्ट गरेको स्थायी लेखा नम्बरका आधारमा अध्ययन गर्दा समान प्रकृतिका दुई वा दुईभन्दा बढी बिमा कम्पनीमा कार्य गर्ने बिमा अभिकर्ताहरूको संख्या ५ हजार ४५ रहेको छ । एकभन्दा बढी बिमकमा कार्यरत बिमा अभिकर्ताहरूलाई एउटा बिमक छान्न मिल्ने व्यवस्था वन टाईम पासवर्ड (ओटिपी)मार्फत गरिएको छ । यस्तै, प्राधिकरणका कार्यकारी निर्देशक राजुरमण पौडेलले अनलाइन प्रणालीमार्फत बिमा अभिकर्ताको व्यवस्थापन र इजाजतपत्र नवीकरण कार्यमा कुनै समस्या आउन नदिन र आएमा तत्काल समाधान गर्न निर्देशन दिए । साथै, अनलाइन प्रणाली मार्फत बिमा अभिकर्ता र सर्भेयरको इजाजतपत्र नवीकरण भएको जानकारी इमेल मार्फत सम्बन्धित व्यक्तिलाई जानकारी दिने व्यवस्था समेत मिलाइएको छ । कार्यक्रममा नेपाल बिमा प्राधिकरणका सहायक निर्देशक शम्भु प्रसाद मिश्रले अनलाइन प्रणालीका माध्यमबाट एक बिमक एक अभिकर्ताको व्यवस्थापन र इजाजपत्र नवीकरण लगायतका बारेमा कार्यपत्र प्रस्तुत गरे ।"
