"शीर्षक","विवरण"
"राहदानी विभागले घोडेजात्राको बिदाको दिन पनि सेवा दिने","काठमाडौं : राहदानी विभागले मंगलबार अर्थात् घोडेजात्राको बिदाका दिन पनि आफ्नो सेवा दिने भएको छ । सरकारले घोडेजात्राका अवसरमा मंगलबार काठमाडौं उपत्यकामा सार्वजनिक बिदा दिए पनि राहदानी विभागले भने आफ्नो सेवा नरोकिने जनाएको छ । विभागका सूचना अधिकारी खिमानन्द भुसालले मंगलबार बिहान १० देखि दिउँसो साढे २:३० बजेसम्म विभाग खुल्ने र सेवा प्रदान गरिने बताए । उनले भने, 'मंगलबारका लागि आठ सय जनाले राहदानीका लागि फम भरेका र बिदा परेकाले पनि हामीले २:३० बजेसम्म हाम्रो सेवा दिनेछौँ ।' यसैगरी, विभागले मंगलबार बिदाका दिनमा पनि आफ्नो सेवा दिने विषयमा एक सूचनासमेत सार्वजनिक गरिएको छ ।"
"दलित समुदायले ८४ बुँदे मागपत्र सार्वजनिक गर्ने","दैलेख : दलित समुदायले कर्णाली प्रदेशको राजधानी वीरेन्द्रनगरबाट ८४ बुँदे मागपत्र सार्वजनिक गर्ने भएका छन् । मंगलबार मनाइने अन्तर्राष्ट्रिय जाति तथा रंगभेद उन्मूलन दिवसमा हुने बृहत् जनप्रर्दशनबाट उक्त मागपत्र सार्वजनिक गरिने भएको हो । आफ्ना लागि आफैं को नारा लिएर सञ्चालित दलितका लागि दलित अभियान नेपालले उक्त मागपत्र सार्वजनिक गर्न लागेको हो । अभियानका पश्चिम संयोजक खगेन्द्र सुनारका अनुसार मंगलबार प्रदेश राजधानी वीरेन्द्रनगरको घण्टाघर अगाडि बृहत् जनप्रर्दशन गर्न लागिएको छ । प्रर्दशनमा कर्णालीसहित अन्य प्रदेशबाट झण्डै २५ हजार दलित समुदाय सहभागी हुने सुनारले जानकारी दिए । दिवसका अवसरमा प्रदेश राजधानीमा दवावमुलक कार्यक्रम गर्न लागिएको हो, त्यहीबाट सरकारसँग ८४ बुँदे मागपत्र सार्वजनिक गर्छौं, सुनारले भने मागपत्र सरकारको ध्यानाकर्षणका लागि मात्र होइन्, चेतावनी हुनेछ । राज्यका निकायमा दलित समुदायको सहज प्रवेश र पहुँच लगायतका मागहरू अघि सारिएको छ । प्रर्दशनबाट थप आन्दोलनमा कार्यक्रमहरू सार्वजनिक गरिनेछ । प्रर्दशनमा जातीय भेदभाव तथा छुवाछुतबाट पीडित परिवार पनि सहभागी हुनेछन् । यो प्रर्दशन आन्दोलनको सुरुवाती रुप हो, दलित आन्दोलनको नयाँ अध्याय सुरु गरेका हौँ, हाम्रो आन्दोलन गैरदलितविरुद्ध नभई राज्य र जात व्यवस्थाविरुद्ध हो, सुनारले भने । मंगलगढीबाट सुरु भई घण्टाघर अगाडि हुने कार्यक्रममा राष्ट्रिय स्तरमा ख्यातिप्राप्त कलाकारहरू दलित समुदायको अधिकारको सवालमा सांगितिक प्रस्तुति दिने अभियानले जनाएको छ ।"
"भारतमा उपचाररत कांग्रेस नेता भण्डारीलाई सामान्य आहार प्रदान","काठमाडौं : नेपाली कांग्रेसका नेता एवं प्रतिनिधिसभा सदस्य डा चन्द्रकान्त भण्डारीलाई समान्य आहार दिन सुरु गरिएको छ । बुद्धनगरस्थित निजी निवासमा गत फागुन ३ गते ग्यास लिक भएर आगलागीबाट घाइते भएपछि भारतको मुम्बईस्थित नेसनल बर्न सेन्टरमा उपचाररत भण्डारीलाई सामान्य आहार दिन सुरु गरिएको हो । आगलागीबाट गम्भीर घाइते हुनुभएका डा भण्डारीको आज ३३ दिन पुग्दा स्वास्थ्यमा सुधार भइरहेको र अनुहारको छाला राम्रो हुँदै गएको डा भण्डारीका दाजु मीनप्रसाद भण्डारीले जानकारी दिए । 'डा भण्डारीको फिजियोथेरापी भइरहेको छ, कलमी गरिएको छालाले राम्रो प्रतिक्रिया दिइरहेको छ । स्वास्थ्यमा राम्रो सुधार भइरहेको छ,' दाजु मीनप्रसादले भने । डा भण्डारीको फिजियोथेरापी जारी रहेको र केही समय सहयोगबिना बस्न थाल्नुभएको दाजु मीनप्रसादको भनाइ थियो । अनुहारको छाला राम्रो हुँदै गएकाले तत्काल अप्रेसन गर्नुनपर्ने चिकित्सकले बताएका छन् । सङ्क्रमण नियन्त्रण गर्न अस्पताल प्रशासनले आगन्तुकलाई कडाइका साथ निषेध गरेको छ । आगलागीमा परी सांसद भण्डारी र उहाँकी आमा हरिकला भण्डारी गम्भीर घाइते हुनुभएको थियो । हरिकलाको भने उपचारका क्रममा कीर्तिपुर अस्पतालमा फागुन ४ गते नै निधन भएको थियो ।"
"लागूऔषधसहित एकजना पक्राउ","ढल्केवर(धनुषा) : धनुषाबाट लागूऔषधसहित एक जनालाई प्रहरीले पक्राउ गरेको छ । पक्राउ पर्नेमा धनुषाको मिथिला नगरपालिका६ ढल्केवर बस्ने ३७ वर्षीय रामहित साह रहेको प्रहरीले जनाएको छ । विशेष सूचनाका आधारमा इलाका प्रहरी कार्यालय ढल्केवरका प्रहरी निरीक्षक कबिन राईको कमाण्डमा खटिएको प्रहरी टोलीले साहको घरमा खानतलाशी गर्दा घर भित्र लुकाई छिपाई राखेको प्रतिबन्धित लागूऔषध एक्सिप्लोन १०० एमएलको ४० बोतल बरामद गरेको हो । लागूऔषधसहित पक्राउ परेका साहलाई लागूऔषध मुद्दामा म्याद लिई थप अनुसन्धान भइरहेको धनुषाको प्रहरी प्रवक्ता प्रहरी नायव उपरीक्षक वेदप्रसाद गौतमले जानकारी दिए ।"
"उपराष्ट्रपति यादवलाई भारतीय समकक्षीको बधाई","काठमाडौं : उपराष्ट्रपति रामसहायप्रसाद यादवलाई भारतीय समकक्षी जगदीप धनकरले बधाई दिएका छन् । धनकरले सोमबार सामाजिक सञ्जालमार्फत् उपराष्ट्रपति यादवलाई सफल कार्यकालको शुभकामना समेत दिएका छन् । उनले भारत र नेपालबीचको सम्बन्धनलाई प्रगाढ बनाउन सहकार्य गर्न तत्पर रहेको उल्लेख गरेका छन् । उनले भारत र नेपालको सम्बन्ध अनौठो र बहुआयामिक भएको भन्दै दुई देशबीचको मित्रतालाई बलियो बनाउँदै लैजानुपर्ने उल्लेख गरेका छन् ।"
"इलामका चार क्याम्पसमा अखिलको नेतृत्व","इलाम : स्वतन्त्र विद्यार्थी युनियनको आइतबार सम्पन्न निर्वाचनबाट इलामका चार क्याम्पसमा नेकपा (एमाले) निकट अनेरास्ववियुका अध्यक्ष निर्वाचित भएका छन् । त्रिविअन्तर्गत रहेका इलामस्थित महेन्द्ररत्न बहुमुखी क्याम्पस अनेरास्ववियुका दर्शन राईको अध्यक्षतामा उनको प्यानल नै विजयी भएको छ । महेन्द्ररत्नमा अनेरास्ववियु, नेकपा (माओवादी केन्द्र)निकट अनेरास्ववियु (क्रान्तिकारी) र राष्ट्रिय प्रजातन्त्र पार्टी निकट राष्ट्रिय प्रजातान्त्रिक विद्यार्थी संगठनको स्वतन्त्र प्यानल नै विजयी भएको हो । सचिवमा अनेरास्ववियु (क्रान्तिकारी)का राजेन्द्र लोहार र कोषाध्यक्षमा अनेरास्ववियुका विशाल कार्की निर्वाचित भएका छन् । सदस्यहरूमा शम्भु राई, मनीषा दुलाल, गोपीराज लिम्बू, ज्ञानेन्द्र चापागाईं, पुष्कर बोहोरा, उज्ज्वल पौडेल र बबिता खनाल निर्वाचित भएका छन् । देउमाई नगरपालिकास्थित मंगलबारे बहुमुखी क्याम्पसमा फुर्वा तामाङ अध्यक्ष निर्वाचित भएका छन् । मंगलबारे क्याम्पसको सचिवमा पनि अनेरास्ववियुकै रुद्रप्रसाद पौडेल र कोषाध्यक्षमा अनेरास्ववियु (क्रान्तिकारी)का विशाल तामाङ निर्वाचित भएका छन् । सदस्यहरूमा केशव निरौला, सलिना श्रेष्ठ, मनीषा बमजन, प्रकाश चौलागाईं र प्रवीण बाँस्तोला विजयी भएका छन् । कफोकथुमको एकतप्पा बहुमुखी क्याम्पसमा निविरोध नेतृत्व चयन भएको छ । त्यहाँ अध्यक्षमा अनेरास्ववियुकी प्रतीक्षा खनाल, उपाध्यक्षमा नेविसंघकी आइस्मा खड्का, सचिवमा नेविसंघका भविन्द्र श्रेष्ठ, सहसचिवमा नेविसंघकै निशा बजगाईं तथा कोषाध्यक्षमा नेविसंघकी डम्बरकुमारी श्रेष्ठ चयन भएका छन् । सदस्यहरूमा राम शर्मा, रञ्जना थापा, इन्दिरा बस्नेत, रोहन परियार र सरु दियाली चयन भएका छन् । माई नगरपालिकाको गरुवा बहुमुखी क्याम्पसमा अनेरास्ववियुका गोपाल आचार्य निर्विरोध निर्वाचित भएका छन् । उपाध्यक्षमा अनेरास्ववियुकै सुमन पाण्डे चयन भएका छन् भने सचिवमा नेविसंघका चेतन कार्की चयन भएका छन् । सहसचिवमा क्रान्तिकारीकी जेनिका राई र कोषाध्यक्षमा नेविसंघकी शान्ता गिरी छानिएका छन् । सदस्यहरूमा छत्रकुमारी लिम्बू, मनिमाया तामाङ, मनोज थापा, अञ्जना सिन्च्युरी, समीक्षा भारती, मिलन लिम्बू चयन भएका छन् ।"
"नेपाल भारतसँग ४१ गोलले पराजित","काठमाडौं : साफ यू१७ महिला च्याम्पियनशिप फुटबल प्रतियोगिताको पहिलो खेलमा नेपाल भारतसँग पराजित भएको छ । बंगलादेशको ढाकास्थित वीर श्रेष्ठ शहीद सिपाही मुस्तफा कमल स्टेडियममा आज भएको खेलमा भारतले नेपाललाई ४१ गोलअन्तर पराजित गरेको हो । भारतको जितमा शिल्जी शाजीले ह्याट्रिक पूरा गरिन् भने पूजाले एक गोल गरिन् । नेपालका लागि वर्षा ओलीले एक गोल फर्काइन् । खेलको दसौं मिनेटमा भारतकी शिल्जी शाजीले गोल गर्दै सुरुआती अग्रता दिलाइन् । त्यस्तै खेलको ४०औँ मिनेटमा शाजीले व्यक्तिगत दोस्रो गोल गर्दै भारतलाई २० को अग्रता दिलाइन् । खेलको पहिलो हाफको ४१औँ मिनेटमा पूजाले एक गोल थपिन् । त्यसपछि खेलको ५४औँ मिनेटमा नेपालकी खेलाडी वर्षा ओलीले गोल गर्दै खेललाई ३१ को स्थितिमा ल्याइन् । त्यस्तै खेलको ८०औँ मिनेटमा शाजीले ह्याट्रिक पूरा गर्दै भारतलाई ४१ को जित दिलाइन् । जितसँगै भारतले पहिलो खेलमा ३ अंक जोडेको छ । प्रतियोगितामा आयोजक बंगलादेश, नेपाल, भारत, भुटान र रसियाको सहभागिता रहेको छ । नेपालले आफ्नो दोस्रो खेलमा बुधबार भुटानसँग खेल्नेछ ।"
"विराट गोल्डकपको सम्पूर्ण तयारी पूरा","विराटनगर : विराटनगरमा आयोजना हुन लागेको सातौं संस्करणको ऐतिहासिक विराट गोल्डकपको सम्पूर्ण तयारी पूरा भएको छ । विराटनगरमा सोमबार पत्रकार सम्मेलन गर्दै आयोजकले गोल्डकपको सम्पूर्ण तयारी पूरा भएको जनाएको छ । आयोजक विराट गोल्डकप ट्रष्टका अनुसार चैत्र ९ देखि १७ गते चल्ने गोल्डकपमा घरेलुसहित नेपाली र विदेशी गरी कुल ८ वटा टिमले सहभागिता जनाउने छन् । प्रतियोगितामा ३ विभागीयसहित नेपालका ६ र विदेशका २ वटा टिमको सहभागिता रहने विराट गोल्डकपका सहसंयोजक सुभाषिश कोइरालाले बताए । विभागीय टिमबाट प्रतियोगितामा त्रिभूवन आर्मी क्लब, नेपाल पुलिस क्लब र सशस्त्र प्रहरी बल (एपीएफ) को सहभागिता रहने उनले जानकारी दिए । विराटनगरस्थित शहिद रंगशालामा आयोजना हुने गोल्डकपमा संकटा क्लब, जावलाखेल युथ क्लब र घरेलु टिम विराटनगर सीटी फुटबल क्लबको समेत सहभागिता रहने आयोजकले जनाएको छ । आयोजकका अनुसार गोल्डकपमा विदेशी टिमका रूपमा डुक ल्युल फुटबल क्लब भुटान र केरलाको लुका सकर क्लबको समेत सहभागिता निश्चित भएको छ । गोल्डकपको विजेता टिमले २० लाख १५ हजार र उपविजेताले १० लाख १५ हजार नगद पुरस्कार प्राप्त गर्ने छन् । विधागततर्फ उत्कृष्ट खेलाडीलाई २५ हजार नगद पुरस्कार प्रदान गरिने विराट गोल्डकप ट्रष्टले जनाएको छ । ट्रष्टका अनुसार प्रतियोगिताको प्लेयर अफ द म्याचलाई समेत ११ हजार पुरस्कार दिइने छ । यसअघि भएको छैठौं संस्करणको गोल्डकपमा विजेताले १५ लाख १५ हजार र उपविजेताले ७ लाख ५१ हजारको पुरस्कार प्राप्त गरेका थिए । खेलाडीहरूको मनोबल उच्च बनाउन यसपटक पुरस्कारको राशी थप गरिएको आयोजकको भनाइ छ । विराटनगरमा २०१८ सालबाट महेन्द्र गोल्डकपका नाममा फुटबल प्रतियोगिता आयोजना हुँदै आएको छ । महेन्द्र गोल्डकपका नाममा २७ औँ संस्करणसम्म प्रतियोगिता आयोजना भएपछि २०६८ सालबाट नाम परिवर्तन गरेर गोल्डकप आयोजना हुँदै आएको छ । यसपटकको प्रतियोगिता आयोजना गर्न २ करोड ५० लाख रुपैयाँ खर्च हुने अनुमान छ । प्रतियोगितामा सहभागी हुने दर्शकले क्वाटरफाइनल खेलसम्म २०० रुपैयाँ प्रतिगोटाका दरले टिकट खरिद गर्न पाउने आयोजकले जनाएको छ । आयोजकका अनुसार क्वाटर फाईनलपछिको खेलका लागि खल्ती एपमार्फत् ४०० र रंगशालामै ५०० रुपैयाँका दरले टिकट खरिद गर्न सकिने छ ।"
"युट्युब च्यानललाई निगरानी गर्दै प्रेस काउन्सिल","काठमाडौं : प्रेस काउन्सिल नेपालले पत्रकार आचारसंहिताको चरम उल्लंघन गर्ने ३५ वटा युट्युब च्यानललाई विशेष अनुगमनमा राखेको छ । काउन्सिलअन्तर्गत आचारसंहिता अनुगमन उपसमितिको सोमबार बसेको बैठकले विशेष निगरानीमा राखिएका युट्युब च्यानलका विषयवस्तु, त्यसमाथि परेका उजुरी, स्वअनुगमनसमेत अध्ययन गरी १५ दिनभित्र प्रतिवेदन तयार गर्ने निर्णय गरेको हो । काउन्सिलले कुनै मिडियाअन्तर्गत आबद्ध नभएका युट्युब च्यानललाई अनुसन्धान गरी कारबाही गर्न नेपाल प्रहरी (साइबर ब्युरो)मा सिफारिस गर्ने र यस्ता च्यानलले सम्प्रेषण गरेका सामग्री र आकर्षित ऐन, नियम, निर्देशिका, आचारसंहिताबारे उल्लेख गरी कारबाहीका लागि युट्युब कम्पनीलाई अनुरोध गर्ने भएको छ । काउन्सिल अध्यक्ष बालकृष्ण बस्नेतको संयोजकत्वमा बसेको उपसमितिको बैठकले कतिपय युट्युब च्यानल प्रचलित ऐन, नियम, निर्देशिका, आचारसंहिताबारे जानकारीसमेत नभएका, के गर्नेनगर्ने भन्ने सामान्य ज्ञानसमेत नभएको देखिएको भन्दै व्यावसायिकरूपमा सञ्चालन हुन चाहने युट्युब च्यानललक्षित एक दिने अभिमुखीकरण कार्यक्रम सञ्चालन गर्ने निर्णय गरेको छ । बैठकमा अध्यक्ष बस्नेतले युट्युब च्यालनलाई मर्यादित, जिम्मेवार र विश्वसनीय बनाउन काउन्सिलले विशेष अभियान थालेको जानकारी दिए । युट्युब च्यानल आफैँमा सूचना सम्प्रेषणका उपयुक्त माध्यम हुन् । युट्युबबाट भरपर्दो, विश्वसनीय र जिम्मेवारपूर्ण सूचना सम्प्रेषण हुनु जरुरी छ,' बस्नेतले भने, युट्युबको दुरूपयोग होइन, विश्वसनीय र रचनात्मक बनाउन हामी केन्द्रित हुनुपर्छ । बैठकमा नेपाल पत्रकार महासंघका अध्यक्ष विपुल पोखरेल, काउन्सिलका सदस्यहरू दिपक पाण्डे, दुर्गा भण्डारी पौडेल, ठाकुर बेलबासे, लालबाबु शेख, बार एसोसिएसनका तर्फबाट प्रतिनिधि महासचिव अञ्जिता खनाल, काउन्सिलका मुख्य अधिकृत झबिन्द्र भुसाल र उपप्रशासकीय अधिकृत एवं सहप्रवक्ता रामशरण बोहराको सहभागिता रहेको थियो । काउन्सिलले यसअघि नै युट्युबलगायत सामाजिक सञ्जालको नियमन तथा व्यवस्थापनका लागि सुझाव दिन कार्यदल गठन गरी उक्त कार्यदलको प्रतिवेदनसहित सरकारलाई सुझावसमेत पेस गरिसकेको थियो ।"
"स्वीकृति नलिई पात्रो र भित्तेपात्रो प्रकाशन गरे एक लाखसम्म जरिवाना","काठमाडौं : नेपाल पञ्चाङ्ग निर्णायक विकास समितिको स्वीकृति नलिई प्रकाशन गरिने भित्तेपात्रो (क्यालेन्डर) र पात्रो (पञ्चाङ्ग) का सञ्चालकलाई १० हजारदेखि एक लाख रुपैयाँसम्म कारबाही गरिने भएको छ । संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालयले समितिको आन्तरिक दिग्दर्शन, २०७९ स्वीकृत गरी विधिसम्मत रुपमा प्रकाशन नहुने भित्तेपात्रो र पात्रोका सञ्चालकलाई कानुनी कारबाही गर्ने निर्णय गरेको हो । मन्त्रिपरिषद्ले २०७७ पुस २० गते समितिको गठन आदेश स्वीकृत गरी नेपाल राज्यभरबाट प्रकाशन हुने पात्रो र भित्तेपात्रोको स्वीकृति दिने अधिकार समितिलाई दिएको थियो । गठन आदेश सरकारले २०७८ साउनमा नेपाल राजपत्रमा प्रकाशन गरेको थियो । समितिको स्वीकृति नलिई प्रकाशन हुने पात्रो र भित्तेपात्रोको अनुगमन गर्न मन्त्रालयका संस्कृति महाशाखा प्रमुख सहसचिव डा सुरेशसुरस श्रेष्ठको संयोजकत्वमा पाँच सदस्यीय केन्द्रीय अनुगमन समिति गठन गरिएको छ । समितिमा गृह मन्त्रालय, आन्तरिक व्यवस्था महाशाखाका उपसचिव भीमकान्त शर्मा, संस्कृति मन्त्रालयका उपसचिव पुण्यमाया गुरागाईं, समितिका कार्यकारी निर्देशक सूर्यप्रसाद ढुङ्गेल र पञ्चाङ्गकार मुरारीराज पाण्डे सदस्य रहेका छन् । समितिले आवश्यकताअनुसार उपसमिति पनि गठन गर्न सक्ने व्यवस्था दिग्दर्शनमा गरिएको छ । दिग्दर्शनमा विद्युतीय पात्रो र भित्तेपात्रोले पनि समितिको स्वीकृति लिनुपर्ने व्यवस्था गरिएको छ । अनुगमनका क्रममा स्वीकृति नलिएको पाइएमा कानुनअनुसार विद्युतीय पात्रो र भित्तेपात्रोलाई पनि कारबाही गरिने समितिका कार्यकारी निर्देशक ढुङ्गेलले बताए । अनुगमन समितिले अनधिकृत रुपमा ७७ जिल्लाबाटै प्रकाशन हुने पात्रो र भित्तेपात्रोको अध्ययन गरी सूचना संकलन गर्ने भएको छ । यसका लागि संस्कृति मन्त्रालयले गृह मन्त्रालयमार्फत ७७ जिल्लाका प्रमुख जिल्ला अधिकारीलाई परिपत्र गर्ने तयारी गरेको छ । समितिमा हालसम्म आगामी वर्ष २०८० का लागि एक सय ५० भित्तेपात्रोले स्वीकृति लिएका छन् । हाल अनलाइनमार्फत स्वीकृति लिने भित्तेपात्रोको सङ्ख्या बढिरहेको कार्यकारी निर्देशक ढुङ्गेलले बताए । समितिको स्वीकृति लिएर १५ वटा पात्रो भने गत माघमै प्रकाशन भइसकेका छन् ।"
