"शीर्षक","विवरण"
"कोदालोले हानेर श्रीमतीको हत्या","बागलुङ : बागलुङमा कोदालोले हानेर श्रीमानले श्रीमतीको हत्या गरेका छन् । जिल्लाको जैमिनी नगरपालिका२ दमेकका ४५ वर्षीय केशव नेपालीले आफ्नी श्रीमती ३५ वर्षीया राधा नेपालीलाई बिहीबार दिउँसो बाउसो (कोदालो)ले हानेर हत्या गरेको जिल्ला प्रहरी कार्यालय बागलुङका प्रहरी नायव उपरीक्षक गंगाबहादुर थापाले बताए । नेपालीले बारीमा आलु खन्ने क्रममा बाउसोको पछाडिको भागले श्रीमतीको टाउकोमा प्रहार गरी गम्भीर घाइते बनाएका थिए । राधालाई बेहोस् अवस्थामा आफन्तले उपचारका लागि धौलागिरी अस्पताल बागलुङ बजारमा ल्याए पनि अस्पतालले मृत्त घोषणा गरेको प्रनाउ थापाले बताए । प्रहरीले केशवलाई बिहीबार नै नियन्त्रणमा लिएको छ । नेपालीलाई नियन्त्रणमा लिएर अनुसन्धान अगाडि बढाएको प्रनाउ थापाले बताए ।"
"पोखरा अन्तर्राष्ट्रिय विमानस्थल : सौर्य एयरलाइन्सले गर्यो पहिलो रात्रिकालीन उडान","पोखरा : पोखरा अन्तर्राष्ट्रिय विमानस्थलबाट सौर्य एयरलाइन्सले पहिलो पटक रात्रिकालीन उडान गरेको छ । सौर्यले बुधबार राति ९: ५ मा पोखरा अन्तर्राष्ट्रिय विमानस्थलबाट काठमाडौं उडान भरेको हो । सौर्यको यो रात्रिकालीन उडान सेडुअल उडान भने नरहेको विमानस्थलका प्रमुख बिक्रम गौतमले बताए । दिउँसोको उडान मौसमका कारण ढिला हुँदा सौर्यले राति उडान भरेको विमानस्थल प्रमुख गौतमले जानकारी दिए । काठमाडौंबाट बुधबार राति ३३ जना यात्रु लिएर उडेको विमान राति ९ बजे पहिलो पटक पोखरा अन्तर्राष्ट्रिय विमानस्थलमा अवतरण गरेको हो । पोखराबाट ४७ जना यात्रु लिएर राति ९:५ मा पहिलो पटक काठमाडौंका लागि रात्रिकालीन उडान भरेको पनि गौतमले जानकारी दिए । सौर्यको बिहीबार राति रात्रिकालीन उडानको सेडुअल नरहेको पनि विमानस्थल प्रमुख गौतमले जानकारी दिए । विमानस्थल फागुन ११ गते बिहीबारदेखि रात्रिकालीन उडान र अन्तर्राष्ट्रिय उडानका लागि तयार भएको थियो । विमानस्थलमा इन्स्ट्रमेन्ट प्लाइट रुल्स (आइएफआर) प्रणाली लागू भएसँगै रात्रिकालीन र अन्तर्राष्ट्रिय उडानका लागि विमानस्थल तयार भएको थियो । विमानस्थलमा इन्स्ट्रमेन्ट प्लाइट रुल्स लागू भएसँगै रातिको समयमा पनि सहज रूपमा उडान र अवतरण गर्न सकिने गरी तयार भएको हो । फेब्रुअरी २३ देखि यो प्रणालीबाट विमान उडान र अवतरण भइरहेको छ । आइएफआर प्रणालीको परीक्षण गरेपछि फागुन ११ गतेदेखि पूर्ण रूपमा आइएफआर प्रणालीबाट जहाजले उडान र अवतरण सुरु भएको थियो । यो प्रणाली लागु हुनु अघिसम्म पोखरा विमानस्थलमा बिहान मौसम अनुसार ६ बजेदेखि दिउँसो ५:३० बजेसम्म मात्र उडान हुँदै आएकोमा अब भने १८ घण्टा सम्म उडान हुने गरी विमानस्थल तयार भएको छ । यो प्रणाली लागु भएसँगै बिहान ६ बजेदेखि राति १२ बजेसम्म १८ घण्टा जहाज उडान भर्न सक्ने गरी तयारी अवस्थामा रहेको विमानस्थलका प्रमुख गौतमले बताए । १८ घण्टा नै सेवा दिन सक्ने अवस्था रहे पनि जहाज उडानको चाप कम भएकाले आवश्यक्ता अनुसार बढाउने गरी अहिलेलाई भने राति ९ बजेसम्म उडान हुने विमानस्थले जनाएको छ । यो प्रणाली (आइएफआर) पूर्ण यान्त्रिक भएकोले भिजुअल फ्लाइट रुल्स (भिएफआर) को तुलनामा निकै सहज र सुरक्षित रहने प्राधिकरणले जनाएको छ । यो सेवा सुरु सँगै रात्रिकालीन उडान र अन्तर्राष्ट्रिय उडानका लागि पोखरा अन्तर्राष्ट्रिय विमानस्थल तयार भए पनि अन्तर्राष्ट्रिय उडान कहिलेबाट सुरु हुन्छ भन्ने अझै एकिन भएको छैन् । रात्रिकालीन उडानका लागि पोखरा अन्तर्राष्ट्रिय विमानस्थल तयार भए सँगै बुद्ध एयरले (मार्च ९) फागुन २५ गतेदेखि रात्रिकालीन सेवा सुरु गर्ने बताएको छ । बुद्ध एयरका मार्केटीङ डाइरेक्टर रुपेश जोसीले रात्रिकालीन उडानका लागि ४ वटा जहाज पोखरामा रहने पनि जानकारी दिएका छन् । बुद्धले पोखराबाट काठमाडौं, नेपालगञ्ज र भद्रपुरमा रात्रिकालीन उडान गर्ने गरी तयारी गरिरहेको जोसीले बताए ।"
"चैतमा म्याग्दी कप हुने","बेनी : बेनीमा आगामी चैत १ देखि १० गतेसम्म म्याग्दी कप जिल्ला लिग फुटबल प्रतियोगिता सञ्चालन हुने भएको छ । जिल्ला फुटबल संघ म्याग्दी र म्याग्दी कप २०७९ व्यवस्थापन समितिले बिहीबार पत्रकार सम्मेलन गरेर प्रतियोगिताका बारेमा जानकारी गराएका हुन् । म्याग्दीमा पहिलो पटक आमन्त्रित फुटबल प्रतियोगिता आयोजना गरिएको हो । संयोजक बिक्रम सुवेदीले आमन्त्रित खेलमा तोकिएका क्लवहरूको मात्र प्रतिनिधित्व हुने बताए । म्याग्दीका ८ र जलजला गाउँपालिका वारी बेनीको उत्साही समूह र विकु फ्यामिलीले प्रतियोगितामा सहभागिता जनाउनेछन् । कालीपुल, एभरग्रिन, दोभान, वौद्ध, मनसुन, अर्थुङ्गे युनाइटेड, रिभरसाइड, जनप्रिय भूपु र पश्चिम दरवाङ युवा क्लवको सहभागिता हुनेछ । प्रतियोगितामा विजेता र उपविजेतालाई क्रमशः कप, ट्रफी, मेडल, प्रमाणपत्र सहित नगद एक लाख १५ हजार रुपैयाँ र सत्तरी हजार रुपैयाँ पुरस्कारको व्यवस्था गरिएको छ । उत्कृष्ट खेलाडी, गोलकिपर, डिफेण्डर, स्ट्राइकर, अनुशाषित टिमलाई पुरस्कार तथा प्रत्येक खेलमा म्यान अफ द म्याच घोषणा गरिने जिल्ला फुटबल संघ म्याग्दीका सचिव कुमार बानियाँले बताए ।"
"चितुवाले दारेर एक पुरुष घाइते","गोरखा : पालुङ्टार नगरपालिका८ दुभारका एक पुरुष चितुवाले दारेर घाइते भएका छन् । जंगलमा गाईवस्तु चराउन गएका ६२ वर्षीय रामकुमार कुमाल चितुवाको आक्रमणबाट घाइते भएका स्थानीय शंकर कँडेलले जानकारी दिए । उनको टाउको, छाती र पाखुरामा गहिरो चोट लागेको प्रहरीले जनाएको छ । उपचारका लागि चितवन मेडिकल कलेजमा पठाइएको प्रहरीले जनाएको छ । एक महिलालाई लखेट्दै गरेको देखेर कुमालले चितुवालाई ढुंगाले हानेपछि महिलालाई छाडेर चितुवाले पुरुषलाई झम्टिएको प्रहरीको भनाइ छ । प्रहरीका अनुसार गोठालो गएका अरू पुरुषहरू पनि धुरिएपछि चितुवा त्यहाँबाट भागेको थियो ।"
"यूएईसँग नेपाल ६८ रनले पराजित","यूएई : आईसीसी विश्वकप क्रिकेट लिग २ अन्तर्गत त्रिदेशीय शृंखलामा नेपालले घरेलु टिम यूएईसँग ६८ रनको लज्जास्पद पराजय बेहोरेको छ । दुबई अन्तर्राष्ट्रिय क्रिकेट मैदानमा टस हारेर ब्याटिङ थालेको यूएईले आठ विकेट गुमाएर दुई सय सात रनको योगफल तयार गरेको थियो । दोस्रो इनिङमा दुई सय आठ रनको लक्ष्यसहित जवाफी ब्याटिङमा उत्रिएको नेपालले ३१५ ओभरमा सबै विकेट गुमाएर एक सय ३९ रन मात्रै बनाउन सक्यो । नेपालका लागि ५३ बलको सामना गरेका कुशल मल्लले ९ चौका र एक छक्कासहित ६० रनको अर्धशतकीय इनिङ खेले । यस्तै, ओपनर आसिफ शेखले १७ र सन्दीप लामिछानेले अविजित २६ रनबाहेक अन्य ब्याटरले दोहोरो अंकमा रन बनाउन सकेनन् । यूएईका लागि रोहन मुस्ताफाले ३१ रन खर्चेर तीन विकेट लिए । यस्तै, कार्तिक मेयाप्पनल ८५ ओभरमा २६ रन खर्चेर समान तीन विकेट लिए । जुनेद सिद्धिकीले दुई विकेट लिए । यस्तै, साबिर अली र जहुर खानले एकएक विकेट लिए । पहिलो इनिङमा यूएईका लागि आसिफ खानले ९९ बलमा पाँच चौका र तीन छक्काहित ७२ रनको अर्धशतकीय इनिङ खेले । यस्तै, पाँचौं नम्बरमा क्रिजमा उत्रिएका रोहन मुस्ताफाले ७६ बलमा दुई चौकासहित ५२ रनको अविजित इनिङ खेले । मुस्ताफासँग ५८ रनको साझोदारी गरेका आर्यन लाक्राले ३६ बलमा २८ रन बनाएका थिए । यस्तै, कप्तान सिपी रिजवान २२ तथा वृत्य अरविन्द १८ रन बनाएर पेभेलियन फर्किँदा अन्य ब्याटरले उल्लेख्य प्रदर्शन गर्न सकेनन् । नेपालका लागि १० ओभरमा २७ रन खर्चिएका सन्दीप लामिछानेले सर्वाधिक तीन विकेट लिए । यस्तै, कुशल मल्लले पाँच ओभरमा १७ रन खर्चिएर एक विकेट लिए । आरिफ शेखले ९ ओभरमा ३३ रन खर्चिएर एक विकेट लिएका थिए । दीपेन्द्रसिंह ऐरी १० ओभरमा ३५ रन खर्चिएर एक मेडन मात्रै राख्न सके । करण केसीले सात ओभरमा ४० रन खर्चिएर एक मेडनसहित एक विकेट लिए । हारसँगै नेपालको शीर्ष तीनमा रहँदै विश्वकपको ग्लोबल छनोट खेल्ने सम्भावना चुनौतीपूर्ण बनेको छ । बाँकी ६ खेलमा जित निकाले मात्रै नेपालले १२ अंक जोड्दा नामिबियालाई उछिन्ने छ । नेपालको अहिले २८ अंक छ । नामिबियाको ३९ अंक छ । स्कटल्यान्ड यसअघि नै लिग २ च्याम्पियन बनिसकेको छ भने ओमानले पनि दोस्रो स्थान सुरक्षित गरिसकेको छ । नेपालले भोलि पपुवा न्युगिनी (पीएनजी)सँग र सोमाबर यूएईसँग यो शृंखलाको अन्तिम एकदिवसीय खेल्ने छ । मार्च ९ देखि कीर्तिपुरमा नेपालले लिग २ को अन्तिम शृंखलाको आयोजना गर्नेछ । अब एउटा मात्रै खेलमा पराजित भए पनि नेपालको शीर्ष तीनमा पुग्ने सम्भावना समाप्त हुनेछ । यस्तै, एकदिवसीय शृंखला जोगाउन पनि शीर्ष पाँचमा पुग्नुपर्ने दबाब छ ।"
"दुई वर्षीया छोरीको हत्या","बागलुङ : बागलुङको जैमिनी नगरपालिका४ सर्कुवामा आफ्नै बाबुले दुई वर्षीया नाबालिका छोरीको हत्या गरेका छन् । बागलुङ नगरपालिका१२ अमलाचौर घरभई हाल सर्कुवा मौलाछ बस्ने २७ वर्षीय सयरदिन मियाले बुधबार साँझ आफ्नी १८ महिनाकी छोरी अर्सा खातुनको हत्या गरेको जिल्ला प्रहरी कार्यालय बागलुङका प्रहरी नायव उपरीक्षक गंगाबहादुर थापाले बताए । घरमा कोही नभएको मौका पारेर सायरले छोरीको टाउकोमा प्रहार गरेका थिए । टाउकोमा गहिरो चोट लागेकी आरिसाको घटनास्थलमै मृत्यु भएको प्रनाउ थापाले जानकारी दिए । हत्यामा संलग्न भएको आरोपमा सायर दिनलाई प्रहरीले बुधबार नै नियन्त्रणमा लिएको छ । छोरीको हत्यापछि घर छाडेर भागेका मियालाई प्रहरीले गाउँमै लुकीछिपी बसेको अवस्थामा पक्राउ गरेको थियो । मियालाई बिहीबार जिल्ला अदालत बागलुङबाट पाँच दिनको म्याद थप गरी अनुसन्धान अगाडि बढाइएको उनले बताए । सायरले के कारणले छोरीको हत्या गरे भन्ने विषय नखुलेको प्रनिउ थापाले बताए । बालिकाको शव धौलागिरी अस्पताल बागलुङमा बिहीबार पोष्टमार्टम गरिएको छ ।"
"जनशक्ति नभएको भन्दै सशस्त्रले १० लाख बढीको अवैध कोइला छाड्यो","परासी : नवलपरासीमा सशस्त्र प्रहरीले जनशक्ति नभएको भन्दै अवैध रुपमा ल्याइएको कोइला बरामद नगरी छाडेको छ । बिहीबार भारतीय सीमा नाकाबाट ल्याउँदै गरेको ५ ट्याक्टरमध्ये तीनवटा ट्याक्टरको कोइला बरामद गरिएको छ । अन्य दुई ट्याक्टरबाट ल्याइएको कोइला जनशक्ति नभएको भन्दै त्यसै छाडिएको हो । जिल्लाको भूजहवा र पचफेडा नाकाबाट पाँचवटा ट्याक्टरमा भन्सार छलेर कोइला ल्याइएको थियो । नेपाल प्रहरीको पचफेडा चौकी हुँदै ल्याइएको कोइलालाई सशस्त्र प्रहरीले बरामद गरेको हो । तर दुईवटा ट्याक्टरमा ल्याइएका कोइला खन्याएर फालेको भन्दै सशस्त्रले उठाएको छैन । तीनवटा ट्याक्टरबाट बरामद भएको ६० क्विण्टल कोइलाको मूल्य १६ लाख ८० हजार रहेको सशस्त्र प्रहरीले जनाएको छ । सीमा नाकासँग जोडिएको प्रतापपुर गाउँपालिका४ हरकपुरामा रहेको गोदाममा स्टक गर्न कोइला ल्याइएको बताइएको छ । टिनको छाना राखेर बनाइएको गोदाम वरपर अहिले १० लाख बराबरको करिब ४० क्विण्टल अवैध कोइला रहेको बताइएको छ । अवैध कोइला नउठाइएको बारे सशस्त्र प्रहरी बल नेपाल नं २६ हेक्वाका उपरीक्षक (एसपी) धीरेन्द्र न्यौपानेले दुई वटा ट्याक्टर कोइला खन्याएर भागेको र जनशक्ति नभएकाले त्यसै छाडिएको बताए । जनशक्ति छैन । कसरी उठाउनु । त्यसलाई त्यसै छाडिदियौं, उनले भने । बरामद भएको कोइला महेशपुर पठाइने उनले बताए । जनशक्तिको बहानामा अवैध सामान छाड्न मिल्न भन्ने जिज्ञासा राख्न खोज्दा सशस्त्र प्रहरी लुम्बिनी प्रदेश प्रमुख (डीआइजी) विदुर खड्कासँगको पटक पटकको मोबाइल सम्पर्क उठ्न सकेन । जिल्ला सुरक्षा समितिका अध्यक्ष एवं प्रमुख जिल्ला अधिकारी विश्व प्रकाश अर्यालले अवैध सामान कुनै पनि बहानामा छाड्न नमिल्ने बताए । मलाई तीन वटा ट्याक्टरको मात्र जानकारी दिइएको छ । अन्य दुई वटाका बारेमा जानकारी भएन । जनशक्ति भएन भनेर अवैध सामान छाड्न मिल्दैन । त्यसबारे के रहेछ सशस्त्रसँग बुझौला, प्रजिअ अर्यालले भने । सशस्त्र प्रहरीको मिलेमतोमा कोइला छाडिएको आरोप छ । छाडिएको कोइलालाई रातको समयमा कारोबारी आएर उठाउने भएकाले आर्थिक प्रलोभनमा परेर छाडिएको एक स्थानीयले दाबी गरे । इँटा उद्योगमा कोइलाको प्रयोग हुने गरेको छ । स्थानीय उद्योगमा प्रयोग गर्नका लागि कोइला ल्याइएको बताइएको छ । कोइलाको न्यूनतम ८ रुपैयाँ प्रतिकेजी भन्सार लाग्ने गरेको महेशपुर भन्सार कार्यालयका निमित्त प्रमुख खेम थापाले बताए । कोइलाको भन्सार मूल्य न्यूनतम् ८ रुपैयाँ छ । कोइलाको श्रेणी हुने भएकाले दर भाउमा कम बेसी हुने भए कारण भारतीय बिल हेरेर १० देखि १४ रुपैयाँ प्रतिकेजी पनि पर्न सक्छ, निमित्त भन्सार प्रमुख थापाले भने ।"
"मुलुक अर्लि इलेक्सनमा जान सक्छ : राजनीतिक विश्लेषक दाहाल (भिडियोवार्ता)","काठमाडौं : राजनीतिक विश्लेषक डाविष्णु दाहाल मुलुक अर्लि इलेक्सनमा जाने वा संविधान परिमार्जन सभा बनाउनेमा जान सक्ने बताएका छन् । विदेशी शक्तिको चलखेल र आन्तरिक विमेलका कारण यस्तो सम्भावना रहेको उनले बताएका हुन् । उनले भने, 'राजनीति पाइला पाइलामा अविश्वासमा गयो । यो क्रम जारी रहन्छ । फागुन २५ पछिको परिस्थिति फेरिन्छ ।'"
"अराजक व्यवहारप्रत्ति बैंकर्स संघको ध्यानाकर्षण","काठमाडौं : नेपाल बैंकर्स संघले बैंकवित्तीय तथा लघुवित्त संस्थाविरुद्ध आन्दोलन गर्नेप्रति आपत्ति जनाएको छ । नकारात्मक टिप्पणीले कर्मचारी हतोत्साही हुने गरेको संघले जनाएको छ । धम्कीपूर्ण अभिव्यक्ति र अराजक व्यवहारप्रत्ति बैंकर्सहरूले आपत्ति जनाएका हुन् । नेपाल बैंकर्स संघ, डेभलपमेण्ट बैंकर्स एशोसिएसन नेपाल, नेपाल वित्तीय संस्था संघ र नेपाल लघुवित्त बैंकर्स संघले संयुक्त रूपमा बिहीबार विज्ञप्ति जारी गर्दै पछिल्लो समय केही व्यक्तिहरूले गरेको गतिविधिप्रति गम्भीर ध्यानाकर्षण भएको उल्लेख गरेका छन् । बैंकवित्तीय तथा लघुवित्त संस्थाको ग्राहकसँग रही आएको सुमधुर सम्बन्धलाई एकाध नकारात्मक क्रियाकलापले बिथोल्न नसक्ने संघको धारणा छ । कुनै पनि बैंकवित्तीय तथा लघुवित्त संस्थाबाट ऋण लिए पछि नियमित रूपमा कर्जाको साँवाकिस्ता तिर्नु ऋणीको पहिलो दायित्व हुनेमा दुई मत छैन विज्ञप्तिमा भनिएको छ, बैंक तथा वित्तीय संस्थाबाट कर्जा लिए पछि नतिर्ने भन्नु अराजक हुनु हो ।"
"यूएईविरुद्ध रोमाञ्चक जितसँगै नेपाल यू १९ विश्वकपमा छनोट","काठमाडौं : यूएईविरुद्ध सात रनको जित निकाल्दै नेपाल यू १९ अर्को वर्ष श्रीलंकामा हुने आईसीसी यू १९ विश्वकपमा छनोट भएको छ । यूएईको अज्मानस्थित इडेन गार्डेन ओभलमा भएको खेलमा नेपालले घरेलु टिमसामू एक सय ९२ रनको योगफल तयार गरेका थियो । जवाफी ब्याटिङमा उत्रिएको यूएईले ४८ ओभरमा सबै विकेट गुमाएर एक सय ८४ रन मात्रै बनाउन सक्यो ।"
