"शीर्षक","विवरण"
"जापानको सहयोगमा विद्यालय भवन निर्माण","नुवाकोट : भूकम्पले क्षति पुगेको नुवाकोटको पिपलटारस्थित चन्द्रज्योति माविको पक्की भवन निर्माण गरिएको छ । जापान अन्तर्राष्ट्रिय सहयोग नियोग (जाइका) को आर्थिक सहयोगमा तीन तल्ले नौ कोठे पक्की भवन निर्माण गरिएको हो । भवन निर्माणका लागि दुई करोड रुपैयाँ खर्च भएको विद्यालयले जनाएको छ । सो विद्यालयमा तीनसय ५० जना विद्यार्थी अध्ययनरत छन् ।"
"सिमल र फलेदोले शृंगारिएको पोखरा","पोखराः पर्यटकीय शहर पोखरा र वरपर यति बेला अग्ला सिमलको रुखमा राता फूल ढकमक्क छन् । बजारमा फलेदोका फूलले सुन्दरता पनि उस्तै छ । पोखरा बजारमा पछिल्लो समयमा सिमल र फलेदोका रुख मासिँदै गएका छन् । जति छन् ढकमक्क फुलेर मनोरम बनाएका छन् । बसुन्धरा पार्क, कोमागाने पार्कमा फेलेदो र सिमलका फूलले बेग्लै रौनक भरेको छ । सिमलको रातो र सुन्तला रंगको फूल देखिन्छ । जिल्ला प्रशासन कार्यलय कास्की, मुख्यमन्त्रीको कार्यालय परिसर सिमलको फूलले आकर्षक बनाएको छ । सिमल नै सिमल भएर सिमलचौर नामाकरण गरिएको ठाउँमा भने आजभोलि सिमलका रुख देख्न पाइँदैन । भरतपोखरी, निर्मलपोखरी, लेखनाथ, अर्मला, पोखरा ७को नुवारथोक, पोखरा १८ को मेथलाङ लगायतका क्षेत्र सिमल र फलेदोको फूलले शृंगारिएका छन् । सिमल र फलेदो मात्र होइन आरु, चेरीलगायतका वनस्पतिका फूलले पोखरामा सुन्दरता थपेको छ । अग्ला सिमल र फलेदोको रुखमा फूलको रस चुस्त आएका चराचुरुङ्गीको चिरबिर आवाजले वातावरण थप रोमाञ्चित बनाएको छ । सिमलका अग्ला रुख गिद्धको वासस्थान पनि हो । पोखराको निर्मलपोखरी, घाचोक, पुम्दी, भरतपोखरी क्षेत्रका अग्ला सिमलको रुखमा यति बेला हिमाली डंगर, सेतो गिद्धलगायत देखिन्छन् । पछिल्लो समयमा सिमल र फलेदोका रुखहरु लोप हुने अवस्थामा रहेको डिभिजन वन कार्यालय कास्कीका सहायक वन अधिकृत शालिकराम पराजुलीले बताए । सिमलको पात, फूल, जरा, बोक्रामा औषधीय गुण हुने विश्वास छ ।"
"विद्यालयमा कृषि कर्म सिक्दै विद्यार्थी","जोमसोम: मुस्ताङको जनआदर्श अमरसिंह माध्यमिक विद्यालयले विद्यार्थीमा कृषिका सैद्धान्तिक र व्यवहारिक विषय शिक्षा सिकाउँदै आएको छ । विद्यालयमा पढ्ने विद्यार्थी सामुहिक खेतीपातीको काम गर्छन् । कृषि शिक्षकको निर्देशनमा उनीहरुले विभिन्न फलफूल तथा तरकारी लगाउने र गोडमेल गर्ने काम गर्छन् । विद्यार्थीलाई फिल्डको कृषि तालिम दिएर शिक्षा दिँदा सिकाई प्रभावकारी भएको छ । जसले शिक्षक र विद्यार्थी दुवै उत्साहित छन् । जनआदर्श विद्यालय २०१७ सालमा स्थापना भएको थियो । सुरुवाती निमावि तहको विद्यालयले २०३९ सालमा माध्यमिक तहको शैक्षिक पठनपाठन गर्न पाउने अनुमती पायो । मावि स्वीकृत भएको दोस्रो वर्षमै विद्यालयले कृषि प्राविधिक पढाई सञ्चालन गर्यो । मावि तहको कृषि शिक्षा संञ्चालन गरेको जनआदर्श विद्यालयले २०७३ सालदेखि प्लस टु सम्मको कृषि प्राविधिक शिक्षा दिन थालेको छ । यहाँ कृषि विषयमा प्लस टु उर्तीण विद्यार्थी कृषि विषयको ब्याचलर पढ्न पोखराकाठमाडौँ जाने गरेका छन् । विद्यालयमा अहिले ८ जना कृषि प्राविधिक विषय पढाउने शिक्षक छन् । जनआदर्श अमरसिंह मावि कोवाङले विद्यार्थीलाई व्यवहारिक र सैद्धान्तिक शिक्षा प्रदान गर्दैआईरहेको विद्यालयका प्रधानाध्यापक खेम गुरुङले बताए । अहिले यो विद्यालयमा कृषि विषयमा कक्षा ९ देखि १२ सम्म ७० जना विद्यार्थी छन् । विद्यालयमा कुल विद्यार्थी संख्या १६८ छ । जनआदर्श विद्यालयको आफ्नै स्वामित्वमा ६४ रोपनी जग्गा छ । सोही ज्गामा विद्यार्थीले कृषि शिक्षा पढ्ने र प्रयोगात्मक काम गर्ने गरेका छन् ।"
"खोलामा डुबेर किशोरको मृत्यु","तानसेन : खोलामा डुबेर किशोरको मृत्यु भएको छ । पाल्पाको रैनादेवी छहरा गाउँपालिका७ र ८ को कञ्चन खोलामा डुबेर वडा नम्बर ७ जोगदमारका १७ वर्षीय भीमबहादुर रानाको मृत्यु भएको हो । शनिबार १० बजे पौडी खेल्न घरबाट हिँडेका रानाको खोलामा डुबैको अवस्थामा शव फेला परेको जिल्ला प्रहरी कार्यालयले जनाएको छ । घटनाको विषयमा थप अनुसन्धान भइरहेको जिल्ला प्रहरी कार्यालयका प्रहरी नायव उपरीक्षक वीरेन्द्र थापाले जानकारी दिए ।"
"बागलुङमा भुस्याहा कुकुर नियन्त्रण गर्न निःशुल्क बन्ध्याकरण","बागलुङ : जिल्लाका दुई नगरपालिकाले भुस्याहा कुकुरको संख्यासँगै रेविज रोग नियन्त्रण गर्ने लक्ष्यका साथ निःशुल्क बन्ध्याकरण शिविर सञ्चालन गरेका छन् । केन्द्रीय रिफरल अस्पताल काठमाडौंको आयोजना तथा स्थानीय तह कृषि तथा पशु शाखा र भेटेरिनरी अस्पताल तथा पशुसेवा विज्ञ केन्द्र बागलुङको स्थानीय व्यवस्थापनमा जैमिनी र बागलुङमा घरपालुवा तथा सडकमा रहेका कुकुरको निःशुल्क बन्ध्याकरण शिविर सञ्चालन गरिएको हो । शिविरमा घरपालुवा कुकुर घरमालिकहरूले ल्याएका थिए । छाडा कुकुर स्थानीय तह पशु शाखामा कार्यरत जनशक्तिको सहयोगमा बजार क्षेत्रका सडक तथा चोक चोकबाट छोपेर पशु एम्बुलेन्समा संकलन गरी ल्याइएको थियो । सडकमा रहेका भुस्या कुकुरको संख्या नियन्त्रणसँगै रेविज रोग नियन्त्रण गर्नका लागि शिविर सञ्चालन गरिएको पशुविज्ञ केन्द्र बागलुङका वरिष्ठ पशु चिकित्सक तथा पशु अधिकारी केशव पौडेलले बताए । शिविरमा जैमिनी नगरपालिकामा ४७ घरपालुवा र २६ छाडा कुकुरको बन्ध्याकरण गरिएको छ । बागलुङ नगरपालिकामा घरपालुवा तथा छाडा गरी ५१ वटा कुकुरको स्थायी बन्ध्याकरण गरिएको पौडेलले जानकारी दिए । सडकमा रहेका छाडा कुकुरका कारण नागरिकले समस्या भोग्दै आएकाले बन्ध्याकरण गरी व्यवस्थापन गर्न अभियान सञ्चालन गरिएको पौडेलले बताए । बन्ध्याकरणका लागि ल्याइएका सबै कुकुरलाई रेबिज विरुद्धको खोप पनि उपलब्ध गराएको पौडेलले बताए । छाडा छोडिएका सामुदायिक कुकुरले स्थानीयलाई दुःख दिएपछि गत वर्ष बागलुङ नगरपालिका र गलकोट नगरपालिकामा शिविर सञ्चालन गरिएको थियो ।"
"आत्म शान्तिका लागि ध्यान","तानसेन: ओशो आश्रम चितवन सौराहाका स्वामी मैत्रेयले दैनिक एक घण्टा ध्यान गरे जीवन सफल हुने बताएका छन् । पाल्पाली ओशो मनले तानसेनको श्रीनगरमा आयोजना गरेको शिविरमा ओशो स्वामी मैत्रेयले तन, मन र धनको व्यबस्थापन नै ध्यान रहेको बताए । ध्यानबाट नै सबै किसिमको सुख आनन्द प्राप्त हुने भएकोले दैनिक २४ घण्टामा एक घण्टा मात्र ध्यान गरे जीवन पूर्ण हुने बताए । मानिसले गर्ने हरेक काम गतिविधि सकारात्मक सोचका साथ भए जीवन सफल हुने ओशो परिवारको विश्वास छ । मानिसमा बढ्दै गएको तनाव, लोभ, मोह, क्रोध, अनियमिता, भष्ट्राचार अनैतिकता नियन्त्रण गर्न पनि ध्यानको आवश्यकता रहेको मैत्रेयले बताए ।"
"आरन व्यवसायीलाई कोइला अभाव","रामपुर : विश्वकर्मा समुदायको पुर्ख्यौली व्यवसायका रुपमा आरन व्यवसायलाई लिइन्छ । यस समुदायका सबैका घरघरमा पहिले आरन व्यवसाय अनिवार्यजसो चलाइन्थ्यो । विश्वकर्मा समुदायको पुर्खादेखि नै जीविका चलाउने माध्यम नै आरन व्यवसाय हो । हिजोआज भने गाउँघरमा पहिलेजसो व्यावसायिक रुपमा आरन चलाउने कमै छन् । यो व्यवसाय चलाउन कोइलाको अभाव र बाउबाजेले धान्दै आएको व्यवसाय युवापुस्ताले अवलम्बन नगर्दा व्यावसायिक रुपमा आरन धान्ने कम छन् । पाल्पाको बगनासकाली गाउँपालिका९ बगनास बस्ने ४६ वर्षीय राजु विश्वकर्माले कोइलाको अभावमा व्यवसाय धान्न समस्या रहेको गुनासो गरे । बाउबाजेको पालादेखि नै चलाउँदै आएको व्यवसाय अहिले आफूले पनि निरन्तर रुपमा धान्दै आएको उनी बताउँछन् । गाउँघरमा कोइलाको अभावले गर्दा आरन व्यवसाय धान्न अप्ठ्यारो परेको उनले बताए । 'आरन व्यवसाय धान्न कोइलाको समस्या छ, गाउँमा हिजोआज कोइला पाइन छाड्यो', उनले भने, 'किनेर चलाउनु पर्दा व्यवसाय धान्न अप्ठ्यारो परिरहेको छ, कोइलाको बन्दोबस्त कतैबाट नहुँदा व्यवसाय कसरी धान्ने भन्ने पिरलो छ ।' उनले अहिले कोइला किनेर दुःखसुखले पुर्खौली व्यवसाय धानिरहेका छन् । हँसिया, कोदालो, कुटो, बञ्चरोलगायत फलामबाट बन्ने घरायसी प्रयोजनका सबैजसो औजार बनाउँछन् । पाल्पाको प्रख्यात बगनासे साँचोसमेत उनले तयार पार्छन् । उनले न्यूनतम दुई सयदेखि एक हजार तीन सय मूल्यसम्मका सामग्री तयार पारेर बिक्री गर्छन् । उनले यस व्यवसायबाट मासिक ३० हजार बराबरको कमाई गर्दै आएका छन् । उनले भने, 'बाउबाजेबाट सीप सिकेर अहिलेसम्म निरन्तरता दिइरहेको छु, आरनबाटै घरखर्च चलाइरहेको छु, व्यावसायिक रुपमा काम गर्ने कम छन्, दैनिक घरायसी प्रयोजनका लागि चाहिने सामग्री भएकाले टाढा टाढाबाट ग्राहक खोजी खोजी आउँछन् ।' अहिले उनले भैसी बाँध्ने गोठमा आरन व्यावसाय चलाइरहेका छन् । व्यवसायमा वेल्डिङ मेशिन, काट्ने मेशिन, छेड्ने मेशिन, कोइलाको आवश्यकता रहेको हुँदा विभिन्न संघसंस्थाबाट उनले सहयोगको अपेक्षा गरेका छन् । सबैले छाड्दै गएको अवस्थामा आफूले भने यो व्यवसायलाई सकेसम्म नछाड्ने अठोट राखेका छन् । उनले घरमा तयार पारिएका विभिन्न सामग्री तानसेनको नारायणस्थान बजारको सडक छेउमा बसेर बिक्री गरिरहेका छन् । विश्वकर्मा विभिन्न स्थानमा हुने मेला महोत्सवमा बिक्रीका लागि सामग्री बोकेर पुग्छन् । उनी वैदेशिक रोजगारको सिलसिलामा कतार र साउदीमा करिब सात वर्ष काम गरेर स्वदेश फर्केपछि घरमै बसेर आरन व्यवसायमा रमाइरहेका छन् । उनले अर्काको देशमा दुःख गर्नुभन्दा हातमा सीप भएपछि घरमै बसेर काम गर्दा रमाइलो लागिरहेको अनुभव सुनाए । उनले आफ्नै घरमा स्वतन्त्रसँग परिवारको साथमा आफ्नो सीपलाई व्यावसायिक रुपमा प्रयोग गरिरहेका छन् । रामपुर नगरपालिका५ सुन्दरटोलका ६५ वर्षीय इन्द्रबहादुर विक पनि यस व्यवसायमा संलग्न छन् । उनले घरको एक छेउमा जस्तापाता लगाएको छानोमुनि बसेर आरनको काम गर्छन् । उमेर बुढ्यौलीपन लागे पनि समुदायबाट यो व्यवसाय लोप हुँदै गएकामा उनी चिन्ता व्यक्त गर्छन् । विकले यो व्यवसाय साढे चार दशकदेखि निरन्तर धान्दै आएका छन् । घरमै बसेर एक महिनामा २० हजारदेखि ३० हजारसम्म कमाउन सकिने उनले बताए । उनले हातले कुदेर कलात्मक रुप दिई गाग्री, ताउला, आम्खोरा, आरी, माना, पाथी फलामबाट कुटो, कोदालो, बञ्चरो, हँसिया लगायतका विभिन्न सामग्री बनाउने गर्छन् । हातले कुँदेर बनाइएको कोदालो, बञ्चरो आकार हेरेर रु छ सयदेखि एक हजार, हँसिया एकदेखि तीन सयसम्ममा बिक्री गर्ने गरेको उनले बताए । पहिले गाउँमा प्रशस्त मात्रामा कोइला पाउँदा व्यवसाय सजिलोसँग धानिए पनि अहिले भने कोइला पाउन गाह्रो हुँदा सबैले छाड्दै गएको विक बताउँछन् । गाउँघरमा भने पछिल्लो समय आरन चलाउने युवा कोही पनि छैनन् । विश्वकर्मा समुदायका पाका पुस्ता आरन व्यवसाय लोप हुँदै जाँदा चिन्ता व्यक्त गरिरहेका छन् । स्थानीय सरकारले कोइला र आरन व्यवसायका लागि आवश्यक पर्ने औजार र छाप्रो व्यवस्थापनमा सहयोग गरिदिए व्यवसायलाई व्यवस्थित बनाउने सम्बद्ध व्यवसायीको माग छ । घरमै बसेर जुनसुकै समय व्यवसाय चल्ने भएकाले यसबाट राम्रै कमाउन सकिन्छ ।"
"फेवातालमा डुंगा पल्टिँदा एकको मृत्यु","पोखरा : पोखरामा शनिबार दिउँसो ४:१० बजे चलेको हावाहुरीका कारण फेवातालमा डुंगा (प्याडलबोट) पल्टिँदा घाइते एक जनाको मृत्यु भएको छ । डुंगामा सवार पाँच जनामध्ये प्याडलबोट पल्टिएर च्यापिँदा गम्भीर घाइते भएकी पोखरा१ बगरकी ७० वर्षीया यम माया गिरीको उपचारका क्रममा मृत्यु भएको जिल्ला प्रहरी कार्यालय कास्कीका प्रवक्ता श्रवर्ण विकले जानकारी दिए । गम्भीर घाइते अवस्थामा उद्धार गरी उपचारका लागि गण्डकी मेडिकल कलेज लगिएकोमा ५ : २५ बजे चिकित्सकले मृत घोषणा गरेको जिल्ला प्रहरी कार्यालय कास्कीले जनाएको छ । हावाहुरीले फेवातालको बीचमा रहेको ताल बाराही मन्दिर पछाडि प्याडलबाट पल्टिएपछि डुंगा व्यवसायी, सशस्त्र प्रहरी, नेपाल आर्मीले बोटमा सवार पाँच जनाको सकुसल उद्धार गरेको थियो भने सोही डुंगामा सवार गिरीलाई घाइते अवस्थामा तालबाट निकालेर अस्पताल लगिएको थियो । यो पनि पढ्नुहोस ठूलो हावाहुरीका कारण फेवातालमा प्याडलबोट दुर्घटना"
"यस वर्षको पृथ्वी पुरस्कार राजेश अहिराजलाई","गोरखा : प्रदेश नम्बर २ का पूर्व प्रदेश प्रमुख डाक्टर राजेश अहिराज पृथ्वी पुरस्कारबाट सम्मानित भएका छन् । बेलायतस्थित संयुक्त राष्ट्रवादी नेपाली संगठनले शनिबार गोरखामा एक समारोह गरी उनलाई एक लाख रुपैयाँ राशीको पुरस्कार प्रदान गरेको हो । संगठनका अध्यक्ष भरत क्षेत्रीले उक्त पुरस्कार प्रदान गरेका हुन् । ३०१ औँ पृथ्वीजयन्ती तथा राष्ट्रिय एकता दिवसका अवसरमा घोषणा गरिएको पुरस्कार प्रदान गरिएको अध्यक्ष क्षेत्रीले बताए । कुनै पनि राजनीतिक दलमा आबद्ध नभएको, राष्ट्रनिर्माता पृथ्वीनारायण शाहको बारेमा लेख, रचनाहरू लेख्ने, उच्च राष्ट्र छवि भएको र विभिन्न क्षेत्रबाट राष्ट्रलाई महत्वपूर्ण योगदान पुर्याएको व्यक्तिलाई उक्त पुरस्कारबाट सम्मान गर्दै आएको अध्यक्ष क्षेत्रीले बताए । यसअघि डाक्टर सुरेन्द्र केसीलाई प्रदान गरिएको उनले बताए । उनले नेपाल एकीकरणको क्रममा राष्ट्रनिर्माण पृथ्वीनारायण शाहले पुर्याएको योगदान तथा उनका दिव्योपदेशका बारेमा अझै धेरै छलफल र बहसहरू हुनुपर्ने बताएका थिए । विद्यालयका पाठ्यपुस्तकमा शाहका बारेमा पर्याप्त कुराहरू नआएको बताउदै शाहले नेपाल एकीकरणमा गरेको योगदानहरू विस्तृतमा समेटिनुपर्ने बताए । डाक्टर अहिराजले पृथ्वीनारायण शाहको दिव्योपदेशकै आधार बनाएर भारत र चीनले विकासको फड्को मारेको तर नेपालले बेवास्ता गरेकाले अहिले पिछडिनु परेको बताएका थिए । नेपालीहरूको सोचमा साझापन नहुँदा देश विकास हुन नसकेको बताउँदै सबै जातजाति एकजुट भएर समृद्ध राष्ट्र बनाउनमा लाग्नुपर्नेमा जोड दिए । नेपाल अविकसित नभई अव्यस्थित मुलुक बनेको उनले बताए । नेपालमा सबै कुरा भएको तर नेपालीले आफ्नो माटोको महत्व बुझ्न नसकेको उनले बताए । उनले तत्कालीन समयमा राष्ट्रनिर्माणमा सबै जातजातिको समान भूमिका रहेकाले गोरखा संग्रहालय भित्र मिश्र, मधेसी र मुस्लिमलाई सम्बोधन हुने खालका ग्यालरी हुनुपर्ने माग गरे ।"
"दण्ड र पुरस्कारको असल अभ्यास नै शासनप्रणाली हो : प्रधानमन्त्री","काठमाडौं: प्रधानमन्त्री पुष्पकमल दाहाल 'प्रचण्ड'ले दण्ड र पुरस्कारको असल अभ्यास नै राज्यव्यवस्था र शासनप्रणाली भएको बताएका छन् । प्रधानमन्त्री निवास बालुवाटारमा तलव सुविधा उच्चस्तरीय आयोगको प्रतिवेदन बुझ्दै प्रधानमन्त्रीले दण्ड र पुरस्कारको असल अभ्यास गरेर मात्र सुशासन र समृद्धिको आधार तयार पार्न सकिनेमा जोड दिए । प्रधानमन्त्री प्रचण्डले भने, 'तपाईहरूको प्रतिवेदनमा कर्मचारीहरूले तलवमानका साथै अर्थतन्त्रको स्थिति, चुनौती र सम्भावनाको संक्षेपमा अध्ययनसमेत रहेछ, यसले सरकारको आगामी नीतिका लागिसमेत सहयोग पुग्नेछ । शासन व्यवस्था भनेकै आखिरमा दण्ड र पुरस्कारको असल अभ्यास नै हो । हाम्रो कर्मचारी प्रशासनमा समेत त्यो कुरा लागू गर्नुपर्दछ ।' 'कर्मचारीहरूको सेवा सुविधा कम हुँदा एकातर्फ कार्यक्षमतामा ह्रास आउँछ, अर्कोतर्फ वित्तीय अराजकता पनि बढ्ने खतरा रहन्छ' प्रधानमन्त्रीले भने, 'तलवले जीवनयापनका निम्ति पर्याप्त आधार तयार नहुँदा कि त विदेसिनुपर्ने कि त वित्तीय अराजकता वा लामो हात गर्ने ठाउँमा पुगेका उदाहरण पनि हामीकहाँ छन् । त्यसैले आजको परिस्थिति र आवश्यकताअनुसार कर्मचारीहरूको तलवमान र सेवासुविधामा पुनर्विचार गर्न आवश्यक छ ।' 'हामी उच्चस्तरीय प्रशासन सुधार आयोग गठनको अन्तिम तयारीमा छौँ, यो प्रतिवेदनले त्यसलाई समेत मद्दत पुग्ने देखेको छु' उनले भने, 'देशका लागि कति कर्मचारी आवश्यक हो, कुन कुन संरचना आवश्यक हो, त्यसको उचित अध्ययन गरेर निर्मम निर्णय लिन आवश्यक छ । यसो नगर्दा राज्यलाई ओभरलोड हुने तर परिणाम नदेखिने समस्या झेलिरहनुपर्ने हुन्छ ।' प्रधानमन्त्री प्रचण्डले आयोगको प्रतिवेदनमा उल्लेखित नीतिगत विषयमा गृहकार्य गर्दै जाने, कानुनी विषयहरू संघीय निजामति ऐनमा नै व्यवस्था गर्ने र व्यवहारिक सुझावहरू तत्काल कार्यान्वयनमा लैजाने बताए । प्रतिवेदन हस्तान्तरण गर्दै आयोगका संयोजक लीलामणि पौडेलले 'नेपालको अर्थतन्त्रको संक्षिप्त विश्लेषण, दक्षिण एसियाली मुलुकहरूमा कर्मचारीहरूको सेवा सुविधाको अवस्था, सेवा सुविधासम्बन्धि नयाँ प्रस्ताव, उपचार खर्च, विदासम्बन्धि व्यवस्था, कर्मचारी आवाससम्बन्धि व्यवस्था, यातायात सुविधासम्बन्धि व्यवस्था र वर्तमानमा देखिएका बेथितिहरूको नियमनसम्बन्धि व्यवस्था, कर्मचारी दरबन्दीमा कटौती, एक पद एक पेन्सन नीति, दोहोरो तलव र पेन्सनको नियमन, पेन्सनबाट राज्यलाई पर्ने भारमा कटौती गर्ने बिकल्पहरू, श्रमिकहरूको न्यूनतम ज्याला निर्धारणका लागि सुझाव, सामाजिक सुरक्षा भत्ता र राजश्व छुट सम्बन्धि नयाँ व्यवस्थाका लागि प्रस्ताव, वैदेशिक अनुदानको परिचालनसम्बन्धि राष्ट्रिय नीति, अन्तर्राष्ट्रिय गैरसरकारी संस्थाहरूको नियमन, कर्मचारीहरूको कार्यबिवरणको मूल्यांकन लगायतका विषयहरू प्रतिवेदनमा समेटिएको' जानकारी दिए । गत भदौ ६ गते पूर्वमुख्यसचिव पौडेलको संयोजक र विमल वाग्ले र शिवदेव पाण्डे सदस्य रहनेगरि गठन भएको आयोगलाई ३ महिनाभित्र प्रतिवेदन पेश गर्ने कार्यादेश दिइएको थियो ।"
