"शीर्षक","विवरण"
"सडक विस्तार गर्न मकवानपुरका राजनीतिक दलहरू एकजुट","हेटौंडा : पूर्व पश्चिम राजमार्ग अन्तर्गत हेटौंडा बजार क्षेत्रमा पर्ने सडक विस्तारको सन्दर्भमा मकवानपुरका राजनीतिक दलहरूले ऐक्यबद्धता जनाएका छन् । लामो समयदेखि सडकको दायाँबायाँ २५२५ मिटर विस्तार गर्ने चर्चा भए पनि हालसम्म पनि हेटौंडामा सडक विस्तार हुन नसकेको स्थितिमा मकवानपुरका सबै राजनीतिक दलहरूले सडक विस्तार हुनुपर्छ भन्दै ऐक्यबद्धता जनाएका हुन् । आइतबार नेपाली कांग्रेस नगर समितिको समन्वयमा बसेको संयुक्त बैठकले सडक डिभिजन कार्यालय मकवानपुरले गत असार १० गते निकालेको ३५ दिने सूचना अनुरूप नै सडक विस्तार गर्ने साथै सो कामका लागी सम्बन्धित कार्यालयलाई अनुरोध गर्ने निर्णय गरेको हो । यस्तै राजनीतिक दलहरूको सयुक्त बैठकले सडक विस्तार गर्दा सम्मानित सर्वोच्च अदालतको फैसला बमोजिम तथा ऐन कानुन अनुसार घरधनीहरूको हकमा उचित मुअज्जा तथा क्षतिपूर्ति र सोही स्थानमा व्यवसाय गरेर बसेका व्यवसायीहरूलाई उचित व्यवस्थापन गर्न सम्बन्धित निकायमा अनुरोध गर्ने निर्णय गरेको छ । यसअघि हेटौंडा उपमहानगरले आफ्नो नगरसभाबाट सडक विस्तार गर्ने भन्दै निर्णय गरिसकेको छ । नेपाली कांग्रेस नगरसभापति उत्सव इटेनीको सभाध्यक्षतामा भएको संयुक्त बैठकमा हेटौंडा उपमहानगरका उपमेयर राजेश बानिँया,नेकपा एमाले जिल्ला अध्यक्ष एवम् प्रदेशसभा सदस्य एकालाल श्रेष्ठ,कांग्रेस जिल्ला सभापति बुद्ध लामा, जिल्ला समन्वय समिति प्रमुख ललितबहादुर घलान लगायत विभिन्न राजनीतिक दलका प्रमुख एवम् प्रतिनिधिहरूको सहभागिता रहेको थियो । उता आइतबार नै आफूहरूलाई उचित क्षतिपूर्ति,व्यवस्थापन नगरी सडक विस्तार गर्न खोजिएमा त्यसको प्रतिकार गर्ने भन्दै घरधनी र व्यवसायीहरूले सडक डिभिजन कार्यालय घेराउ समेत गरेका थिए ।"
"ऐन नहुँदा दुई दर्जन बढी प्रतिबन्धित रासायनिक विष निर्वाध रूपमा प्रयोग","काठमाडौं : सरकारले विष मापनको विश्व मापदण्ड बनाउने ऐनको मस्यौदा थन्काउँदा आम उपभोक्ताहरू यसको मारमा परेको भन्दै ध्यानाकर्षण गराइएको छ । ऐन नहुँदा नेपालमा प्रयोग भइरहेका करिब २४ भन्दा बढी प्रतिबन्धित रासायनिक विषहरू अहिलेसम्म निर्वाध रूपमा प्रयोग भइरहेको कृषि विज्ञ कृष्णप्रसाद पौडेलले सरकारको ध्यानाकर्षण गराएका हुन् । खाद्यका लागि कृषि अभियानले संसद सदस्यसँग आइतबार राजधानीमा आयोजित नेपाली कृषिको भविष्य : सम्भावना तथा चुनौती विषयक अन्तरक्रियामा कृषि विज्ञ पौडेलले कृषि र खाद्यसँग सम्बन्धी कानुनी व्यवस्था नहुँदा भएको विकृतिप्रति सचेत गराएका छन् । यसै क्रममा नेपालमा कृषिजन्य उत्पादित वस्तुमा दुई दर्जन बढी प्रतिबन्धित रासायनिक विष प्रयोग भएकाले यसको नियमन गर्न नियम बनाउन सहभागी सांसदहरूलाई अनुरोध गरे । पौडेल भन्छन्, हामीसँग भएका संरचना र संयन्त्रले काम गर्न सकेको छैन । अहिले पनि विष मापनको विश्व मापदण्ड बनाउने ऐनको मस्यौदा थन्किएर बसेको छ । अवशेष मापदण्डदसँगै अनुगमन ऐन बनायएर यसलाई अभिलम्ब अगाडि बढाउनु पर्छ । यस्तै, कृषक अभियन्ता उद्धव अधिकारी रासायनिक मल, विषको प्रयोगले करिब ६५ प्रतिशत भन्दा बढी माटो अम्लीय भइसकेकाले यसलाई सुधार गर्न ठूलो लगानी आवश्यक पर्ने बताउँछन् । तर सरकार प्राङ्गारिक मललाई जोड दिनुभन्दा रासायनिक मल कारखाना खोल्नका लागि लगानी बोर्डमार्फत अगाडि बढेकोमा दुःख व्यक्त गर्छन् । रासायनिक मलको विकल्पमा सयौं विकल्प छन् । तर रासायनिक मल कारखाना समाधानको बाटो होइन । यससँगै कृषि विज्ञ पौडेलले सवल नीति र सक्षम संस्थागत वातावरण तय गर्न खाना र खेतिपातीको मौलिक हक, एकीकृत कृषि ऐन, कृषि विकास रणनीति, विषादी अवशेष मापदण्डदसँगै अनुगमन ऐन र कृषि विकास संयन्त्रहरूको पुनर्संरचना जरुरी भएको औंल्याए । यसकारण ऐन कार्यन्वयनको व्यवस्था मस्यौदा र ऐन निर्माण, असान्दर्भिक बनेको कृषि विकास रणनीतिको परिमार्जन र स्थानीय स्तरको सेवामा जोड दिन उनले प्रस्ताव पेश गरेका छन् । अहिले सरकारले एकीकृत संघीय कृषि ऐन बनाउने भनेर घोषणा गरे पनि अझै टुङ्गो नलागेको प्रति पनि ध्यानाकर्षण गराए । कृषिलाई सफा गर्न पनि यो ऐन महत्वपूर्ण रहेको उनको तर्क छ । नेपालको कृषि विकास रणनीतिको परिमार्जन गर्नुपर्नेमा जोड दिँदै उनले मुलुक संघीयतामा जानुअघि सरकारले एसियाली विकास बैंकको २० करोड रकम सहायता लिएर कृषि विकास रणनीति बनाएकोमा टिप्पणी गरे । मुलुक संघीयतामा जाने भएकाले हतार नगर्न भनेका थियौं । तर कसैले सुनेन । २० करोड रूपैयाँ पचाउने काम भए । त्यो रणनीति लागू भएको पनि करिब ८ वर्ष भयो । कृषिको स्थिति सुध्रेको छैन । यसको जवाफदेहिता कसरी कसले लिने ? यो बनाउने तत्कालीन सरकार मन्त्रालय जिउँदै छन तर अझै संघीय कृषि ऐन समेत आएको छैन । त्यतिबेलाको सम्झँदै उनले आक्रोस पोखे । यसकारण अहिलेको महत्वपूर्ण सवाल नेपालको कृषिको ढाँचा नै नभएको उनको तर्क छ । उनका अनुसार कृषिलाई कसरी उन्नत बनाउने भनेर दृष्टिकोण पुगेको छैन । रासायनिकमा आधारित कृषिको ढाँचा बनाएर व्यावसायिक, आधुनिक र यान्त्रिकीकरण कृषि भनेर लगानी गरिरहेका छौं, उनले थपे । जुन ढाँचाले ५० वर्षदेखि नेपालको कृषिले खुट्टा टेक्न सकेको छैन त्यसैलाई ढाँचा बनाउनु गलत भएको टिप्पणी गर्छन् । यसैले अब नयाँ प्रस्ताव जरुरी भएको औंल्याए । सांसदहरूले मौलिक अधिकारका थुपै व्यवस्थालाई ऐनमार्फत नियमन गरेको राम्रो भए पनि यसलाई कार्यान्वयन गर्ने कार्यविधिहरू अझै नबनेकाले यसलाई उठाउन अनुरोध गरे । यसैगरी नेपाली कृषिका समसामयिक सवाल र सम्बोधनको प्रस्ताव अन्तर्गत कृषि विकासको ढाँचा स्थानीय विशेषतामा आधारित हुनुपर्ने, खानाका लागि खेतिपाती, तुलनात्मक लाभका कृषि उद्यमशील किसानी, खेतिपातीको सहकारीकरण (व्यावसायिक उत्पादन)लाई सम्वोधन गर्न सुझाव दिएका छन् । यस्तै, उपयुक्त कृषि प्रविधि, अनुसन्धान र प्रसारको सवालमा जैविक र वातावरणीय कृषि अनुसन्धान (चिस्यान व्यवस्थापन, बिउ, मल र प्रविधि), पशुपालन, फलफूल र नर्सरीमा जोड दिन र सामुदायिक कृषि प्रसारलाई सम्बोधन गर्नुपर्नेमा उनले सरोकारवालाको ध्यानाकर्षण गराए । आयात निर्यातको वासलातका आधारमा आयात आयात प्रतिस्थापनको रणनीति तथा कार्ययोजना, प्रशोधन उद्यम विकास र तुलनात्मक लाभका कृषि उपजको निर्यात प्रवर्द्धन गर्नुपर्नेमा उनले जोड दिए । रैथाने खाना र कृषि पर्यटनको प्रवर्द्धनलाई प्राथमिकतामा राख्न सुझाए । यस्तै, भूउपयोग र बाँझो जमिन व्यवस्थापनको सवालमा जमिनको वर्गीकरणका आधारमा रेखांकन र बाँझो जमिन स्थानीय सरकारलाई जिम्मा दिने व्यवस्था ल्याउन पनि अनुरोध गरे । कार्यक्रममा सरोकारवालाहरूले गरेका सवाल माथि सहभागी संसदहरूले कतिपय विषयलाई संसद भवनमा पहल गरिरहेको र थप विषयलाई पनि जोड दिने बताएका छन् ।"
"कोरला नाकामा भूप्राविधिक अध्ययन सुरु","जोमसोम : चीनको स्वशासित क्षेत्र तिब्बत र मुस्ताङको उत्तरी कोरला नाकाको सीमा क्षेत्रमा भूप्राविधिक अध्ययन अर्थात् माटो परीक्षण सुरु गरिएको छ । कोरला नाकाको दशगजा दक्षिण नेपालतर्फको भूभागमा सरकारले भूप्राविधिक अध्ययन सुरु गरेको हो । कोरला नाकामा सरकारले दीर्घकालीन उद्देश्यले भन्सार, अध्यागमन,सुरक्षा पोस्ट,क्वारेन्टाइन र सुख्खा बन्दरगाह लगायतका संरचना निर्माण गर्न भूप्राविधिक अध्ययन अध्ययन अघि बढाएको हो । कोरलानाका क्षेत्रमा भवन संरचना लगायतका पूर्वाधार निर्माण गर्नका लागि भूप्राविधिक अध्ययन सुरु गरिएको हो । भूप्राविधिक अध्ययन अर्थात् माटो परीक्षणको अध्ययन गर्ने जिम्मा ट्रेसेवल मेजरमैंट कम्पनीले लिएको हो । यसका लागि गत असार १३ गते मुस्ताङका प्रजिअ अनुप केसीलाई माटो परीक्षण अध्ययन विषयमा जानकारी गराएको थियो । असार १४ गते कोरला नाका सीमाक्षेत्रको लोमान्थाङ र लोघेकर दाामोदरकुण्ड गाउँपालिकाका अध्यक्ष टसीनर्बु गुरुङ र लोप्साङ छोम्फेल विष्टको समन्वयमा छिमेकी देश चीनका प्रतिनिधिलाई भूप्राविधिक अध्ययन कार्यक्रमका बारेमा विस्तृत जानकारी गराएको थियो । मुस्ताङ प्रशासन र स्थानीय पालिकाको समन्वयमा चीन पक्षलाई जानकारी गराइएपछि गत असार १५ गतेदेखि कोरला नाकामा पूर्वाधार निर्माण गर्न भूप्राविधिक अध्ययन अर्थात् माटो परीक्षण गर्ने कार्य अघि बढाइएको कम्पनी अन्तर्गत माटो परीक्षणमा खटिएका सिनियर इन्जिनियर हरिकुमार अधिकारीले जानकारी दिए ।"
"व्यवसायी हतोत्साही हुने काम नगर्न निजी क्षेत्रको आग्रह","काठमाडौं : अदालतले दोषी ठहर नगर्दै कुनै पनि व्यवसायीलाई थुन्ने जस्ता कार्य भएकाले यसबाट निजी क्षेत्र त्रसित भएको गुनासो छ । निजी क्षेत्रका तीनवटा छाता संगठन नेपाल उद्योग महासंघ, नेपाल उद्योग परिसंघ र नेपाल चेम्बर्स अफ कमर्सले आइतबार संयुक्त विज्ञप्ति जारी गर्दै व्यवसायी हतोत्साही हुने काम नगर्न आग्रह गरेका छन् । व्यवसायीहरू आरोप पुष्टि नभई व्यवसायीलाई थुन्ने प्रवृत्तिले हतोत्साही हुने र अर्थतन्त्रलाई प्रभाव पर्ने भन्दै यसो नगर्न अनुरोध गरेका हुन् । कुनै पनि विषयमा आरोप लागेपछि व्यवसायीलाई थुनिहाल्ने नभएर राज्यले व्यवसायीका कुरा सुनिदिनुपर्छ, विज्ञप्तिमा भनिएको छ, राज्यको यस्तो प्रवृतिले उद्यमी व्यवसायीको मनोबल कमजोर भई हतोत्साही हुने तथा मुलुकको अर्थतन्त्र संकटमा रहेका बेला साना ठूला व्यवसायी एवं उद्यमीप्रतिको यस्तो व्यवहारले नकारात्मक असर पर्ने भएकाले आवश्यक परेमा अग्रिम जमानत लिने र आरोप प्रमाणित भएपछि मात्रै कानुनी कारबाहीको प्रक्रिया अघि बढाउन आग्रह गर्दछौं । कानून विपरीत काम गरेको प्रमाणित भएमा जो कोही पनि कारबाहीको भागिदार हुनुपर्छ र कारबाही गरिनुपर्नेमा निजी क्षेत्रले स्वीकार गरेको छ । तर कुनै पनि विषयमा आरोप लाग्दैमा उद्यमी व्यवसायीलाई अमर्यादित व्यवहार गर्ने, थुन्ने जस्ता कार्य गर्न नहुनेमा निजी क्षेत्रले आपत्ति जनाएको हो । यस्ता कार्यले निजी क्षेत्रलाई कमजोर बनाउने मात्रै नभई समग्र मुलुकको आर्थिक विकासमा नकारात्मक असर पर्न सक्ने तर्फ सम्बन्धित पक्षको ध्यानाकर्षण गराएको छ । मुलुकको अर्थतन्त्रमा ८१ प्रतिशत हिस्सा रहेको निजी क्षेत्र अहिले समस्यामा परेको भन्दै व्यवसायीमाथि यस्ता व्यवहार नगर्न अनुरोध गरेको छ । यसै क्रममा निजी क्षेत्रले उद्यम व्यवसाय संकुचित हुँदा अर्थतन्त्रमा बहुआयामिक असर परेको बताएका छन् । देशको अर्थतन्त्रको प्रमुख संवाहक रहेका उद्यमी व्यवसायीमाथि पछिल्लो समयमा भइरहेको धरपकडले पनि लगानी थप निरूत्साहित हुन सक्ने देखिएको भन्दै यसप्रति सरकारको ध्यानाकर्षण गराएको छ । न्यून मागका कारण लगानी विस्तार हुन नसक्दा कुल गार्हस्थ्य उत्पादन अपेक्षित भन्दा ६ प्रतिशत विन्दु कम भएको छ भने राजश्व संकलन गत वर्षभन्दा १३ प्रतिशतले घटेको छ । १० महिनायता मूल्य वृद्धिदर ७ प्रतिशत माथि छ ।"
"""बिहानैदेखि सीआइबीको निगरानीमा थिए सञ्चार सचिव राउत","विमान चढ्नै लाग्दा पक्राउ परे"",काठमाडौं : सञ्चार तथा सूचना प्रविधि मन्त्रालयका सचिव कृष्णबहादुर राउत यती एयरलाइन्सको उडान नम्बर ७९३ बाट विराटनगर जान विमानस्थल पुगेका थिए । बोर्डिङ पास लिएर उनी जहाजको प्रतीक्षामा थिए । साढे ४ बजेको नियमित उडानमा विराटनगर जाने तयारीमा रहेका राउतको जहाज झण्डै ४० मिनेट ढिलो गरी उड्ने तयारीमा थियो । उनलाई आइतबार बिहानैदेखि केन्द्रीय अनुसन्धान ब्यूरो (सीआईबी) को टोलीले निगरानीमा राखेको थियो । यती एयरलाइन्सका कर्मचारीले बोर्डिङ चेक गरेर राउतलाई विमान चढ्न पठाइरहेका थिए । सोही बेला सीआईबीको टोलीले सचिव राउतलाई ५:१० मा नियन्त्रणमा लियो । केहीबेर विमान पर्खिरहेका अन्य यात्रुहरूबीच कानेखुसी चलेको स्रोतले बताएको छ । ललिता निवास प्रकरणमा सीआईबीले सञ्चार सचिव राउतलाई आइतबार बेलुकी नियन्त्रणमा लिइएको थियो ।"
"बासी भात खान दिएको भन्दै आमाको हत्या","ढल्केवर(धनुषा) : आफ्नै सौतेनी आमालाई कुटपिट गरी हत्या गरेको आरोपमा धनुषा प्रहरीले एक जनालाई पक्राउ गरेको छ । पक्राउ पर्नेमा भारतको वेतिया जिल्ला नरकटियागंज थाना केयुनिया घर भई धनुषाको गणेशमान चारनाथ नगरपालिका४ पथलैयास्थित अशोक जैसवालको घर भाडामा लिएर बस्दै आएका १९ वर्षीय प्रेम भगत रहेको प्रहरीले जनाएको छ । खानामा बासी भात दिएको भन्दै उनले ३९ वर्षीया आमा मिरा देवी भगतलाई कुटपिट गरी हत्या गरेको प्रहरी समक्ष स्वीकारेको धनुषाका प्रहरी प्रवक्ता प्रहरी नायव उपरीक्षक वेदप्रसाद गौतमले जानकारी दिए । उनका अनुसार आइतबार दिउँसो मिरा बस्दै आएको घरमा टाउकोमा चोट लागेको तथा शरीरका विभिन्न भाग जलेको अवस्थामा उनी मृत फेला परेको हो । अनुसन्धानका क्रममा प्रेमलाई नियन्त्रणमा लिई अनुसन्धान गर्दै जाँदा उनले आमाको हत्या गरेको स्वीकारेको प्रहरीले जनाएको छ । आमासँग खाना माग्दा बासी भात खान दिएको र आफू बासी भात खान्न बरु होटेलमा गएर खाना खान्छु भन्दा आमाले आफूलाई बुवाको समेत नाम जोडेर अनेक प्रकारको अपशब्द प्रयोग गरी गाली गलौज गर्दा आवेशमा आएर आमालाई धक्का दिँदा आमा भुइँमा लडेको भन्ने प्रेमले बयान दिएको छ, प्रहरी नायव उपरीक्षक गौतमले भने । प्रेमको बयानलाई उद्धृत गर्दै गौतमले भने आमाले आफूलाई त्यहाँ रहेको काठको चिर्पटले हान्न खोज्दा आफूले सो चिर्पट खोसेर आमाको पिठ्युँमा हान्दा टाउकोमा लागेर सोही ठाउँमा आमाको मृत्यु भयो । मिराको मृत्यु भए लगत्तै घटनालाई ढाकछोप गर्न प्रेमले उनको शरीरमा आगो लगाई जलाएको प्रहरीले जनाएको छ ।"
"मुस्ताङमा स्याउ ग्रेडिङ तथा कोल्ड स्टोर निर्माण","जोमसोम : स्याउको राजधानी मानिएको मुस्ताङको घरपझोङ गाउँपालिका४ जोमसोममा स्याउ ग्रेडिङ र स्याउलाई साबिक जस्तै ताजा राख्न कोल्ड स्टोर (चिस्यान केन्द्र) निर्माण गरिएको छ । चालु आर्थिक वर्ष २०७९०८० का लागि विनियोजित संघीय सरकारको सशर्त अनुदान ९५ लाख ५९ हजार लागतमा जोमसोममा २० टन क्षमताको कोल्ड स्टोरसहित स्याउ ग्रेडिङ उपकरणको व्यवस्था गरिएको हो । जोमसोममा संघीयताअघि साविक शहरी विकास तथा भवन डिभिजन बाग्लुङले निर्माण गरेको पुरानो भवनमा कोल्ड स्टोर तथा ग्रेडिङ उपकरण लगायतका भौतिक संरचना निर्माण गरिएको घरपझोङ गाउँपालिकाका सकलदेव शर्माले जानकारी दिए । शर्माका अनुसार कुल बजेट मध्येबाटै खर्च गर्ने गरी जीर्ण भवनको स्तरोन्नति गरी कोल्ड स्टोर स्थापना गरिएको हो । कोल्ड स्टोर रहेको क्षेत्र सशस्त्र प्रहरी बल ३३ नम्बर गुल्म नजिकै दक्षिणतर्फ कम्पाण्डसहित तीन रोपनी क्षेत्रफलमा कोल्ड स्टोर पूर्वाधार निर्माण गरिएको उनले बताए । घरपझोङ४ जोमसोममा निर्माण गरिएको कोल्ड स्टोर तथा ग्रेडिङ उपकरणको निर्माण गर्ने जिम्मा बिआर कन्ट्रक्सन दिक्तेलले लिएको थियो । निर्माण गरिएको कोल्ड स्टोरको ग्रडिङ तथा वासिङ मेसिन उपकरणले प्रतिघण्टा ५ सय केजी स्याउलाई ग्रेडिङ र वासिङ गर्ने क्षमता रहेको शर्माको भनाइ छ । जोमसोममा स्याउ भण्डार गर्ने कोल्ड स्टोर निर्माण भएसँगै जोमसोमका कृषकहरू उत्साहित भएका छन् । घरपझोङ गाउँपालिकाको समन्वयमा निर्माण गरिएको कोल्डले बेमौसममा समेत मुस्ताङ आउने पर्यटकले ताजा स्याउको स्वाद चाख्न पाउने जोमसोमका किसान अजित थकालीले जानकारी दिए । शनिबार जोमसोमका स्याउ किसान, समूह, सहकारी र फार्महरूलाई कोल्ड स्टोरका बारेमा जानकारी गराइएको थियो । गाउँपालिकाको अनुगमनपछि पालिकालाई हस्तान्तरण हुने बताइएको छ । चालु आर्थिक वर्ष नै २०७९०८० का लागि विनियोजित गण्डकी प्रदेशको कृषि विकास निर्देशनालयको स्याउ विशेष कार्यक्रम अन्तर्गत मुस्ताङको घरपझोङ२ मार्फा र थासाङ१ टुकुचेमा सयसय टन क्षमताको दुई वटा बृहत् कोल्ड स्टोर निर्माणको काम अघि बढाएको छ । कृषि विकास निर्देशनालयको स्याउ विशेष कार्यक्रम अन्तर्गत मुस्ताङको मार्फास्थित मार्फा कृषि सहकारी संस्था र टुकुचेको स्यालमा बहुद्देश्यीय सहकारी संस्थालाई ८५ प्रतिशत अनुदान सहुलियत दिने गरी बृहत् कोल्ड स्टोर निर्माणको पूर्वाधार भइरहेको कृषि विकास निर्देशनालय पोखराका निर्देशक बासुदेव रेग्मीले जानकारी दिए । रेग्मीका अनुसार कोल्ड स्टोरलाई चाहिने सबै पूर्वाधार निर्माण गर्न एक कोल्ड स्टोर निर्माण गर्न अधिकतम १ करोड २५ लाख रुपैयाँसम्म अनुदान दिइने र यो अहिलेसम्मकै ठूलो लगानीमा निर्माण गर्न लागिएको उनले बताए ।"
"साना किसान र आरएमडिसी लघुवित्तको एकीकृत कारोबार","काठमाडौं : साना किसान विकास लघुवित्त वित्तीय संस्था र आरएमडिसी लघुवित्त वित्तीय संस्थाको एकीकृत कारोबार सुरु गरेका छन् । आइतबार राजधानीमा आयोजित कार्यक्रममा उक्त दुई संस्था गाभिएसँगै कुल चुक्ता पूँजी ८ अर्ब १२ करोड पुगेको छ । उक्त लघुवित्तको स्वाप रेसियो १ बराबर ०८७ रहेको छ । यसको मतलव साना किसान विकास लघुवित्तको प्रति कित्ता सेयर १ सय हुदा आरएमडिसीको ०८७ पुगेको छ । संस्थाका अनुसार गाभिएपछि हुम्लाबाहेक ७६ जिल्लामा करिब १ लाख २० हजार ऋणी सदस्य पुगेका छन् भने कर्मचारी १ सय ४५ जना रहेका छन् । उक्त लघुवित्तको एकीकृत कारोबारको शुभारम्भ गर्दै अर्थमन्त्री डा प्रकाशशरण महतले लघुवित्त संस्थाले लक्ष्य बिर्सन नहुने बताए । मर्जरपछि यसको क्षमता र सेवा दिने लक्ष्य अझ घनिभूत हुनुपर्नेमा उनले जोड दिए । सरकारको गरिबी निवारणको लक्ष्य, सन् २०३० सम्म दिगो विकासको लक्ष्यमा साना किसान लघु वित्तीय संस्थाले ठूलो भूमिका खेल्ने उनको भनाइ छ । यद्यपी वित्तीय संस्थामा समस्या देखिएको बारे पनि उनले प्रसंग निकाले । स्वाभाविक रूपमा साना किसानलाई यसले सेवा दिने भएकाले अहिलेको चुनौती भनेको यसको ब्याज रहेको उनले बताए । समग्रमा जनसंख्याको आकालाई लघुवित्तले समेटेको बताउँदै अर्थमन्त्री डा महतले भने, १२ लाख साना किसान परिवार सहकारी मार्फत् सेवा प्राप्त गरिरहेका छन् । यो ठूलो संख्या हो । ४५ अर्ब र सहकारी आफैले सञ्चालन गरेको स्थानीय वित्तीय श्रोतबाट ६७ अर्ब रुपैयाँ किसानलाई आवश्यक सेवा दिएको जानकारी प्राप्त भएको छ । यसमा ८० प्रतिशत महिला, आदिवासी जनजातिको ३८ प्रतिशत, दलितको संख्या ११ प्रतिशत तथ्यांक देखिन्छ । यो राम्रो हो ।"
"सोमबार देशका यी स्थानमा हुने छ वर्षा","काठमाडौं : सोमबार देशभर सामान्यदेखि पूर्ण बदली रहनेछ । मौसम पूर्वानुमान महाशाखाका अनुसार सबै प्रदेशका केही स्थानहरूमा हल्कादेखि मध्यम वर्षाको सम्भावना रहेको छ । कोशी, बागमती, गण्डकी र कर्णाली प्रदेशका एकदुई स्थानमा मेघगर्जनचट्याङसहित भारी वर्षाको समेत सम्भावना रहेको छ । सोमबार राति देशभर सामान्यदेखि पूर्ण बदली रहनेछ । कोशी र गण्डकी प्रदेश लगायत देशका तराईका केही स्थानहरूमा तथा बाँकी भूभागका थोरै स्थानहरूमा हल्कादेखि मध्यम वर्षाको सम्भावना रहेको छ । कोशी, मधेस, गण्डकी र लुम्बिनी प्रदेशका एकदुई स्थानमा मेघगर्जनचट्याङसहित भारी वर्षाको समेत सम्भावना रहेको महाशाखाले जनाएको छ ।"
"निर्माणाधीन घरको दोस्रो तलाबाट लडेर मृत्यु","विराटनगर : मोरङको बेलबारीमा निर्माणाधीन घरको दोस्रो तलाबाट लडेर आइतबार दिउँसो एक जना मजदुरको मृत्यु भएको छ । बेलबारी नगरपालिका२ लालभित्तीका माधव ओझाको घर निर्माणमा खटिएका भोजपुर छिनामखुका ३५ वर्षीय ज्ञानेन्द्र बस्नेतको मृत्यु भएको हो । मोरङ प्रहरीका प्रवक्ता डीएसपी रन्जनकुमार दाहालका अनुसार दिउँसो ४:३० बजेतिर सेटिङको काम गर्दै गरेको अवस्थामा निर्माणाधीन घरको दोस्रो तलाबाट खसेर बस्नेत घाइते थिए । गम्भीर घाइते अवस्थाका उनलाई उपचारका लागि नोबेल शिक्षण अस्पताल ल्याइएको थियो । अस्पताल ल्याइपुर्याउना साथ चिकित्सकले मृत घोषित गरेको जानकारी दाहालले दिए । उनले घटनाको अनुसन्धान सुरु गरिएको बताए ।"
